Lionel Messi,利昂内尔·梅西
Lionello Manfredonia,廖内洛·曼弗雷多尼亚
Giuseppe Cavanna,朱塞佩·卡万纳
Elisa Di Francisca,埃莉萨·迪弗朗西丝卡
Daniela Ceccarelli,达妮埃拉·切卡雷利
Stefano Rossini,斯特凡诺·罗西尼
Gianni Versace,詹尼·范思哲
Elena Runggaldier,埃琳娜·朗格迪爾
Adriano Galliani,阿德里亚诺·加利亚尼
Giammario Piscitella,吉亞馬里奥·皮斯奇特拉
Pietro Serantoni,彼得罗·塞兰托尼
Irene Camber,伊雷妮·坎贝尔
Gabriele Veneziano,加布里埃莱·韦内齐亚诺
Silvio Martinello,西尔维奥·马丁内洛
Bianca Castafiore,碧安卡·卡斯塔菲歐蕾
Francesco Caputo,弗朗切斯科·卡普托
Marco Mengoni,马尔科·曼格尼
Girolamo Quaglia,杰罗拉莫·夸利亚
Franco Tancredi,佛朗哥·坦克雷迪
Domenico Calcagno,道明·卡爾卡尼奧
Giovanni Zucchi (canottiere),乔瓦尼·祖基
Sergio Toppi,塞爾吉奧·托皮
Umberto Colombo,翁貝托·可倫坡
Arianna Valcepina,阿里安娜·瓦爾切皮納
Marco Belinelli,马尔科·贝里内利
Paolo Maurensig,帕羅·莫倫希
Leonardo De Lorenzo,莱昂纳多·德·洛伦佐
Gabriella Paruzzi,加布里埃拉·帕鲁齐
Raimundo Orsi,雷蒙多·奥尔西
Andrés Nocioni,安德烈斯·诺西奥尼
Edwige Fenech,愛雲·芬芝
Azeglio Vicini,阿泽利奥·维奇尼
Franco De Pedrina,佛朗哥·德佩德里纳
Giovanni Viola,乔瓦尼·维奥拉
Ferruccio Manza,费鲁乔·曼扎
Alessio Romagnoli,阿萊西奧·羅馬尼奧利
Luciano Dalla Bona,卢恰诺·达拉博纳
Giovanni Franceschi,乔瓦尼·弗朗切斯奇
Alessia Trost,阿莱西娅·特罗斯特
Carlo Annovazzi,卡洛·安诺瓦齐
Eros Pisano,伊洛斯·皮薩諾
Roberta Brunet,罗伯塔·布鲁内
Sabrina Ferilli,莎賓娜·費蕊麗
Antonella Confortola,安东内拉·孔福尔托拉
Alessandro De Pol,亚历山德罗·德波尔
Kim Rossi Stuart,吉姆·罗斯·斯图尔特
Karin Moroder,卡琳·莫罗德尔
Manuela Di Centa,曼努埃拉·迪琴塔
Don Vito Corleone,維托·柯里昂
Mauro Sarmiento,毛罗·萨尔米恩托
Paolo Nicolai,保罗·尼古拉
Beniamino Stella,本雅明·斯泰拉
Ruben Buriani,鲁本·布里亚尼
Claudio Coldebella,克劳迪奥·科尔代贝拉
Francesco Romano,弗朗切斯科·罗马诺
Michele Benedetti,邁克·貝內德蒂
Marco Crugnola,馬可·克魯尼奧拉
Roberto Vitiello,羅伯托·維蒂埃洛
Mara Carfagna,玛拉·卡尔法尼亚
Roberto Alagna,羅伯托·阿藍尼亞
Lucia Bosè,露西娅·波塞
Francesco Musso,弗朗切斯科·穆索
Ciro Polito,奇羅·波利托
Niccolò Campriani,尼科洛·坎普里亚尼
Andrea Seculin,安德雷·塞庫林
Vittorio Gliubich,维托里奥·柳比奇
Gianni Caldana,詹尼·卡尔达纳
Tullio Gonnelli,图利奥·贡内利
Elio Ragni,埃利奥·拉尼
Simone Cercato,西莫内·切尔卡托
Diego Fuser,迭戈·富塞尔
Massimo Giacoppo,马西莫·贾科波
Maurizio Randazzo,毛里齐奥·兰达佐
Angelo Mazzoni,安杰洛·马佐尼
Fljura Bulatova,弗柳拉·阿巴特-布拉托娃
Ottavia Piccolo,奥塔维娅·皮科洛
Elisabetta Perrone,伊丽莎白·佩罗内
Gian Carlo Menotti,吉安·卡洛·梅诺蒂
Lina Bo Bardi,莉娜·博·巴尔迪
Tana French,塔娜·法蘭琪
Marisa Pavan,玛丽萨·帕万
Giovanni Messe,喬瓦尼·梅塞
Anna Piaggi,安娜·皮亞姬
Giuseppe Favalli,朱塞佩·法瓦利
Paolo Virno,保罗·维尔诺
Aldo Donati (calciatore),阿尔多·多纳蒂
Cristiano Biraghi,克里斯蒂亞諾·比拉吉
Ladislao Mittner,拉迪斯勞·密特那
Giorgio Ferrini,乔治·费里尼
Ernesto Castano,埃内斯托·卡斯塔诺
Federico Agliardi,費德里科·阿格利亞迪
Walter Außendorfer,瓦尔特·奥森多费尔
Lukas Hofer,卢卡斯·霍费尔
Mino De Rossi,米诺·德罗西
Sebastiano Nela,塞巴斯蒂亚诺·内拉
Bogdan Rath,波格丹·拉特
Mirco Antenucci,米爾科·安特努西
Vincenzo Maenza,温琴佐·马恩扎
Federico Capasso,费德里科·卡帕索
Beniamino Vignola,贝尼亚米诺·维尼奥拉
Barbara Fusar Poli,芭芭拉·富萨尔-波利
Amintore Fanfani,阿明托雷·范范尼
Claudio Rivalta,克劳迪奥·里瓦尔塔
Fabrizia D'Ottavio,法布里齐娅·多塔维奥
Mattia Valoti,馬蒂亞·瓦洛蒂
Roberto Insigne,羅伯托·因西涅
Daniela Masseroni,达妮埃拉·马塞罗尼
Mattia Perin,馬迪亞·比連
Luciano Re Cecconi,卢恰诺·雷切科尼
Giovanni Evangelisti,乔瓦尼·埃万杰利斯蒂
Riccardo Meggiorini,里卡多·梅吉奥里尼
Delfo Bellini,德尔福·贝利尼
Daniele Scarpa,达尼埃莱·斯卡尔帕
Angelo Scalzone,安杰洛·斯卡尔佐内
Pasquale Vivolo,帕斯夸莱·维沃洛
Federico Piovaccari,費德里科·皮奥瓦卡里
Gianluca Pegolo,詹盧卡·佩戈羅
Marcelo Damião,马塞洛·达米昂
Salvatore Fresi,萨尔瓦托雷·弗雷西
Giuseppe Martinelli (ciclista),朱塞佩·马丁内利
Billy More,比利·默爾
Federico Pellegrino,费代里科·佩莱格里诺
Fulvio Valbusa,富尔维奥·瓦尔布萨
Francesca Porcellato,弗兰切斯卡·波尔切拉托
Raffaele Ametrano,拉法埃莱·阿梅特拉诺
Salvatore Ferragamo,薩爾瓦托勒·菲拉格慕
Marco Pantani,马尔科·潘塔尼
Fabio Pecchia,法比奥·佩基亚
Claudio Magris,克劳迪奥·马格里斯
Ylenia Scapin,伊莱尼娅·斯卡平
Renzo Nostini,伦佐·诺斯蒂尼
Arianna Errigo,阿里安娜·埃里戈
Sabina Valbusa,萨比娜·瓦尔布萨
Vito Mannone,維托·曼諾尼
Xuxa,舒莎
Elsa Morante,艾尔莎·莫兰黛
Gigi Riva,路易吉·里瓦
Susanna Agnelli,苏珊娜·阿涅利
Riccardo Muti,里卡多·穆蒂
Luigi Tarantino,路易吉·塔兰蒂诺
Aldo Campatelli,阿尔多·坎帕泰利
Christian Presciutti,克里斯蒂安·普雷休蒂
Luciano Savorini,卢恰诺·萨沃里尼
Jennifer Isacco,珍妮弗·伊萨科
Cristian Raimondi,克里斯蒂安·萊蒙迪
Giuseppe Materazzi,朱塞佩·马特拉齐
Raffaele Palladino,拉菲尔·帕拉迪诺
Alessandro Agostini,亞歷桑德羅·阿戈斯蒂尼
Michelangelo Albertazzi,米切爾朗基羅·阿爾貝塔奇
Tiberio Guarente,蒂貝里奥·瓜倫特
Claudio Sala,克劳迪奥·萨拉
Claudio Terzi,克勞迪奥·特澤
Gabriele Perico,加布里埃爾·佩里科
Raimondo D'Inzeo,拉伊蒙多·丁泽奥
Luca Antei,盧卡·安迪
Denis Marconato,丹尼斯·马尔科纳托
Frank Lentini,弗朗西斯科·伦蒂尼
Fabiola Gianotti,法比奥拉·吉亞諾提
Antonino Lo Surdo,安东尼诺·洛苏尔多
Amos Mariani,阿莫斯·马里亚尼
Melissa Satta,梅丽莎·萨塔
Paulo André Cren Benini,保罗·安德烈·克伦·贝尼尼
Natalina Sanguinetti,纳塔利娜·圣圭内蒂
Ferdinando Terruzzi,费迪南多·泰鲁齐
Paola Pezzo,保拉·佩佐
Renato Perona,雷纳托·佩罗纳
John Elkann,約翰·埃爾坎
Mario Pizziolo,马里奥·皮齐奥洛
Laura Betti,劳拉·贝蒂
Ezio Pascutti,埃齐奥·帕斯库蒂
Luciano Alfieri,卢恰诺·阿尔菲耶里
Giuseppe Aliberti,朱塞佩·阿利贝蒂
Igor Cassina,伊戈尔·卡西纳
Anželika Savrajuk,安热莉卡·萨夫拉尤克
Vittorio Erspamer,維托里奧·埃爾斯巴美爾
Diego Tardelli,迭戈·塔尔德利
Elisabetta Canalis,伊莉莎贝塔·卡娜丽斯
Guido Marilungo,圭多·馬里倫戈
Dacia Maraini,达契亚·玛拉依妮
Costanza II di Sicilia,科斯坦察二世
Rodolfo Rombaldoni,鲁道夫·龙巴尔多尼
Tommaso Montano,托马索·蒙塔诺
Antonio Riva (aviatore),李安东·(飞行员)
Paolo Tagliavento,保罗·塔伊亚文托
Maurizio Domizzi,毛里齊奥·多米齊
Leandro Faggin,莱安德罗·法金
Celso Costantini,刚恒毅
Sergio Floccari,塞爾吉奧·弗洛卡里
Fulco Ruffo di Calabria,富爾科·魯佛·迪·卡拉布里亞
Francesco Dell'Uomo,弗朗切斯科·德洛莫
Francesco Antonazzi,弗朗切斯科·安东纳齐
Paola Cardullo,保拉·卡尔杜洛
Mario Lanzi,马里奥·兰齐
Fabio Galante,法比奥·加兰特
Mario Sampirisi,马里奥·桑皮里西
Andrea Arnaboldi,安德烈亞·阿爾納博爾迪
Maino Neri,马伊诺·内里
Agnese Allegrini,阿涅塞·阿莱格里尼
Alessandra Mussolini,亞歷山德拉·墨索里尼
Sergio Pininfarina,塞尔吉奥·宾尼法利纳
Domenico Dolce,多梅尼科·多爾切
Cipriano Chemello,奇普里亚诺·凯梅洛
Elisa Togut,埃莉萨·托古特
Roberto Di Donna,罗伯托·迪唐纳
Ferdinando Meglio,费迪南多·梅利奥
Paolo Sardi,保禄·萨尔蒂
Cristian Savani,克里斯蒂安·薩瓦尼
Carlo Furno,嘉祿·福諾
Cristian Brandi,克里斯蒂安·布兰迪
Daniele Masala,达尼埃莱·马萨拉
Gianluigi Quinzi,詹路易吉·昆齊
Danio Bardi,达尼奥·巴尔迪
Franco Zaninetta,佛朗哥·扎尼内塔
Renato Olmi,雷纳托·奥尔米
Gino Rossi (pugile),吉诺·罗西·(拳击运动员)
Giovanni Azzini,乔瓦尼·阿齐尼
Emilio Badini,埃米利奥·巴迪尼
Lanfranco Dettori,戴圖理
Sibilla Aleramo,西比拉·阿勒拉莫
Tania Cagnotto,塔尼娅·卡尼奥托
Alessandra Martines,亚历桑德拉·马提尼斯
Riz Ortolani,里兹·欧特拉尼
Diego Occhiuzzi,迭戈·奥基乌齐
Marco Branca,马尔科·布兰卡
Moreno Mannini,莫雷诺·曼尼尼
Velleda Cesari,韦莱达·切萨里
Giovanni Cheli,若望·凱利
Salvatore Sanzo,萨尔瓦托雷·桑佐
Arturo Di Modica,阿圖羅·迪·莫迪卡
Emiliano Tarana,埃米利亚诺·塔拉纳
Gioconda Belli,希奥孔达·贝利
Giulio Berruti,朱力歐·貝羅堤
Riccardo Pittis,里卡尔多·皮蒂斯
Fernando Altimani,费尔南多·阿尔蒂马尼
Guido Ara,圭多·阿拉
Mario Ardissone,马里奥·阿尔迪索内
Arrigo Sacchi,艾列高·沙基
Umberto Nobile,翁贝托·诺毕尔
Luciano Giovannetti,卢恰诺·焦万内蒂
Mauro Fiore,慕洛·費奧利
Ferdinando Mandrini,费迪南多·曼德里尼
Stefano Donagrandi,斯特凡诺·多纳格兰迪
Giovanni Lodetti,乔瓦尼·洛代蒂
Federico Peluso,費德里科·佩魯索
Yvonne Rüegg,伊冯娜·吕埃格
Bruno Chizzo,布鲁诺·基佐
Bruno Corbucci,布鲁诺·科尔布奇
Giuseppe Mangiarotti,朱塞佩·曼贾罗蒂
Gastone Baldi,加斯托内·巴尔迪
Diego Natale Bona,迭戈迪·納塔萊·博納
Giovanni Gallavotti,乔瓦尼·加拉沃蒂
Eleonora Lo Bianco,埃莱奥诺拉·洛比安科
Maria Pia di Savoia (1934),薩伏依的瑪麗亞·皮婭
Alberto Franceschini,阿尔贝托·弗朗切斯基尼
Luca Rigoni (calciatore),盧卡·里戈尼
Bruno Monti (ciclista),布鲁诺·蒙蒂
Aldo Boffi,阿尔多·博菲
Stefano Pioli,斯特凡诺·皮奥利
Stefano Gabbana,史蒂法诺·加巴纳
Gianfranco Bersani,詹弗兰科·贝尔萨尼
Vittorio Miele,维托里奥·米勒
Luca Fusi,卢卡·富西
Giuseppe Bellusci,朱塞佩·貝盧斯奇
Federico Balzaretti,费德里科·巴尔扎雷蒂
Walter Zenga,沃尔特·曾加
Filippino Lippi,菲利皮诺·利皮
Silvio Piola,西尔维奥·皮奥拉
Filippo Galli (calciatore),菲利波·加利
Antonio Oppes,安东尼奥·奥佩斯
Vincenzo Fiorillo,溫琴佐·菲奧里洛
Mario Martone,馬利歐·馬爾多那
Sergio Brighenti,塞尔吉奥·布里根蒂
Dave Rodgers,戴夫·羅傑斯
Patrizio Oliva,帕特里齐奥·奥利瓦
Renato Corti,雷纳托·科蒂
Elio Germano,艾利歐·傑曼諾
Romano Fogli,罗马诺·福利
Lucia Traversa,露西娅·特拉韦尔萨
Mario Draghi,馬里奧·德拉吉
Roberto Donadoni,罗伯托·多纳多尼
Angelo Peruzzi,安杰洛·佩鲁齐
Umberto Giordano,翁贝托·焦尔达诺
Maurilio De Zolt,毛里利奥·德佐尔特
Davide Tizzano,达维德·蒂扎诺
Cigoli (pittore),齐戈里
Federico Colbertaldo,费代里科·科尔贝塔尔多
Bruno Rubeo,布魯諾·魯貝奧
Bruno Mora,布鲁诺·莫拉
Bruno Pellizzari,布鲁诺·佩利扎里
Bruno Rossi,布鲁诺·罗西
Carlo Peretti,卡洛·佩雷蒂
Simone Vanni,西莫内·万尼
Lisandro López (calciatore 1983),利桑德罗·洛佩斯
Davide Santon,达维德·桑顿
Alessandro Baricco,亞歷山卓·巴利科
Salvatore Schillaci,薩爾瓦托雷·斯基拉奇
Ercole Gallegati,埃尔科莱·加莱加蒂
Galliano Rossini,加利亚诺·罗西尼
Sergio Fantoni,塞吉歐·芬托尼
Libero De Rienzo,利贝罗·德·里恩佐
Gennaro Delvecchio,真拿路·迪維基奧
Roberto Rosetti,羅拔圖·洛錫迪
Roberto Premier,罗伯托·普雷米耶
Nicola Rodigari,尼古拉·罗迪加里
Salvatore Sirigu,萨尔瓦托雷·西里古
Serse Cosmi,塞尔塞·科斯米
Remo Ruffini,雷莫·鲁菲尼
Dominik Windisch,多米尼克·温迪施
Roberto Abbondanzieri,罗伯托·阿邦丹谢里
Massimo Moratti,马西莫·莫拉蒂
Vincenzo Montella,溫琴佐·蒙特拉
Vittorio Emanuele Orlando,维托里奥·埃曼努尔·奥兰多
Elia Viviani,埃利亚·维维安尼
Cesare Maldini,切萨雷·马尔蒂尼
Dino De Laurentiis,迪诺·德·劳伦提斯
Carlo Caglieris,卡洛·卡列里斯
Lorenzo Bosisio,洛伦佐·博西西奥
Matteo Bisiani,马泰奥·比夏尼
Leonardo Benvenuti,李奥纳多·本维努提
Giorgio Parisi,乔治·帕里西
Paolo Bettini,保罗·贝蒂尼
Simone Barone,西蒙尼·巴罗内
Giorgio Morandi,乔治·莫兰迪
Abdon Pamich,阿布东·帕米克
Paola Fantato,保拉·凡塔托
Carlo Ponti,卡洛·蓬蒂
Pierre Cardin,皮爾·卡登
Fabrizio Ravanelli,法布里齐奥·拉瓦内利
Gaetano Scirea,加塔诺·西雷阿
Maria Beatrice di Savoia (1943),薩伏依的瑪麗亞·貝亞特麗切
Sandro Cois,山德罗·科伊斯
Francesco Bolzoni,弗朗西斯科·博爾佐尼
Claudio Vandelli,克劳迪奥·万代利
Luigi Cozzi,路易吉·柯齊
Andrea Masi,安德烈·馬西
Leopoldo Conti,莱奥波尔多·孔蒂
Fabio Ongaro,法比奧·翁加羅
Cristiano Del Grosso,克里斯蒂亞諾·德爾格羅索
Francesco Gabriotti,弗朗切斯科·加布廖蒂
Paolo Milanoli,保罗·米拉诺利
Arnaldo Andreoli,阿纳尔多·安德烈奥利
Gaetano Arturo Crocco,加埃塔诺·阿尔图罗·克罗科
Alessandro Giannessi,亞歷山德羅·詹內西
Renato Raffaele Martino,勒內·辣法耳·馬爾蒂諾
Leonardo Benevolo,莱昂纳多·本奈沃洛
Gianluigi Saccaro,詹路易吉·萨卡罗
Cristiano Lucarelli,基斯坦奴·盧卡利尼
Luca Antonini (calciatore),卢卡·安东尼尼
Francesco Pisano,弗朗切斯科·皮薩諾
Nicola Pozzi,尼古拉·波齊
Toni Negri,安东尼奥·奈格里
Palmiro Togliatti,帕尔米罗·陶里亚蒂
Giovanni Parisi,乔瓦尼·帕里西
Pietro Aradori,皮爾特洛·阿拉多里
Piero Pastore,皮耶罗·帕斯托雷
Gioia Marzocca,焦娅·马尔佐卡
Joe Profaci,喬·普羅法奇
Luciano Spalletti,卢西亚诺·斯帕莱蒂
Angelo Palombo,安杰洛·帕隆博
Cristian Brocchi,克里斯蒂安·布罗基
Giorgio Agamben,乔治·阿甘本
Nicola Legrottaglie,尼古拉·莱罗塔列
John Aloisi,约翰·阿洛伊西
Emanuele Terranova,埃曼紐爾·特拉諾瓦
Igor Protti,伊戈尔·普罗蒂
Umberto Betti,温贝尔托·贝蒂
Franco Nero,法蘭高·尼路
Mario Perniola,马里奥·佩尔尼奥拉
Leandro Greco,萊昂德羅·格雷科
Armando Segato,阿尔曼多·塞加托
Giovanni Calabrese,乔瓦尼·卡拉布雷塞
Giovanni Marchese (calciatore),吉奥瓦尼·馬切塞
Fabio Lanzoni,法比奧·蘭佐尼
Luca Garritano,盧卡·加里塔諾
Giacomo Beretta,賈科莫·貝雷塔
Sergio Fubini,塞尔焦·富比尼
Dante Ferretti,丹特·法拉提
Benny Benassi,班尼·班納西
Rolando Bianchi,羅蘭多·比安奇
Paolo Cannavaro,保羅·卡納瓦羅
Joel McHale,喬爾·麥克哈爾
Matteo Garrone,马提欧·加洛尼
Francesca Ferretti,弗兰切斯卡·费雷蒂
Giuseppe Ungaretti,朱塞培·翁加雷蒂
Massimo Margiotta,马西莫·马尔焦塔
Lando Buzzanca,蘭杜·布山卡
Massimo Brambati,马西莫·布兰巴蒂
Franco Rasetti,佛朗哥·拉塞蒂
Giorgio Zampori,乔治·赞波里
Stefano Battistelli,斯特凡诺·巴蒂斯泰利
Alfredo Guzzoni,阿尔弗雷多·古佐尼
Ivo Stefanoni,伊沃·斯特凡诺尼
Dragan Travica,德拉甘·特拉維察
Facundo Ferreyra,法昆多·費雷拉
Giovanni Lajolo,若望·拉約洛
Ferruccio Lamborghini,費魯喬·藍寶堅尼
Paolo Borsellino,保罗·博尔塞利诺
Andrea Dossena,安德雷亚·多塞纳
Maxi López,马克西·洛佩斯
Salvatore Riina,萨尔瓦托雷·里纳
Mario Ravagnan,马里奥·拉瓦尼安
Daniele Padelli,達尼埃萊·帕德利
Luciano Petech,畢達克
Guido Masetti,圭多·马塞蒂
Alessio Boni,亚力希欧·波尼
Renato Bruson,雷纳托·布鲁松
Daniele Gatti,丹尼尔·加蒂
Carlo Aymonino,卡洛·艾莫尼诺
Carlo Becchi,卡洛·贝基
Stephen Spinella,史蒂芬·史賓尼拉
Alfredo Massazza,阿尔弗雷多·马萨扎
Mark Bresciano,馬克·比斯安奴
Marco Tardelli,马尔科·塔尔代利
Rosso Fiorentino,罗索·菲奥伦蒂诺
Curzio Malaparte,马拉帕尔泰
Milena Miconi,米萊納·米科尼
Carlo Massullo,卡洛·马苏洛
Carlo Monti,卡洛·蒙蒂
Carlo Mazzone,卡洛·马佐尼
Gonzalo di Borbone-Dampierre,岡薩洛·(阿基坦公爵)
Mario Bertini,马里奥·贝尔蒂尼
Edgardo Toetti,埃德加多·托埃蒂
Edmondo Fabbri,埃德蒙多·法布里
Vincenzo Nibali,溫琴佐·尼巴利
Giuseppe Di Stefano,朱塞佩·德·史帝法諾
Fabio Scozzoli,法比奥·斯科佐里
Luigi Radice,路易吉·拉迪切
Giuseppe Giurato,朱塞佩·朱拉托
Dario Hübner,达里奥·许布纳
Alessandro Pistone,亚历山德罗·皮斯托内
Gino Pivatelli,吉诺·皮瓦泰利
Carlo Ceresoli,卡洛·切雷索利
Dante Boninfante,丹特·博寧范特
Arcadio Venturi,阿尔卡迪奥·文图里
Dario Mangiarotti,达里奥·曼贾罗蒂
Luigi Serafini (artista),路易吉·塞拉菲尼·(藝術家)
Franco Riccardi,佛朗哥·里卡尔迪
Alessandro Gassmann,亞利桑德羅·加斯曼
Luigi De Canio,路易吉·德卡尼奥
Lucio Fontana,卢齐欧·封塔纳
Alessandro Gamberini,亞歷山德羅·甘貝里尼
Daniel Hackett,丹尼爾·哈科特
Tinto Brass,丁度·巴拉斯
Francesco Attolico,弗朗切斯科·阿托利科
Giorgio Moroder,乔治·莫罗德尔
Mario Del Monaco,马里奥·德·摩纳哥
Angelo Ogbonna,安杰洛·奥邦纳
Mauro Tassotti,毛罗·塔索蒂
Carlo Parola,卡洛·帕罗拉
Carlo Recalcati,卡洛·雷卡尔卡蒂
Carlo Pavesi,卡洛·帕韦西
Carlo Rovelli,卡洛·羅威利
Diego Alves,迭戈·阿尔维斯
Emiliano Moretti,埃米利亚诺·莫雷蒂
Cristiano Zanetti,克里斯蒂亞諾·扎內蒂
Antonio Janni,安东尼奥·扬尼
Giovanni Scalzo,乔瓦尼·斯卡尔佐
Oscar De Pellegrin,奥斯卡·德佩莱格林
Enzo Bearzot,恩佐·贝阿尔佐特
Gianluca Pagliuca,詹盧卡·帕柳卡
Saverio Ragno,萨韦里奥·拉尼奥
Edoardo Menichelli,愛德華·梅尼切利
Pasquale Carminucci,帕斯夸莱·卡尔米努奇
Ivanoe Bonomi,伊万诺埃·博诺米
Luca Caldirola,盧卡·卡爾迪羅拉
Alessandro Pirzio Biroli,亚历山德罗·皮尔齐奥·比罗利
Giacomo Conti (bobbista),贾科莫·孔蒂
Giorgio Vanzetta,乔治·万泽塔
Marco Parolo,馬爾科·帕羅洛
Lamberto Dalla Costa,兰贝托·达拉科斯塔
Franco Corelli,佛朗哥·科雷利
Andrés D'Alessandro,安德列斯·达历山德罗
Ciro Ferrara,奇罗·费拉拉
Luigi Di Biagio,路易吉·迪比亚吉奥
Ricardo Ezzati Andrello,利則·埃扎蒂·安德雷略
Cristian Molinaro,克里斯蒂安·莫利納羅
Andrea Ranocchia,安德雷亚·拉诺基亚
Egisto Pandolfini,埃吉斯托·潘多尔菲尼
Sandro Bellucci,山德罗·贝卢奇
Fritz Dennerlein,弗里茨·登纳莱因
Giuseppe De Luca (baritono),朱塞佩·德盧卡
Simone Bolelli,西莫內·博萊利
Angelo Schiavio,安哲羅·史基亞維奧
Claudio Gentile,克劳迪奥·真蒂莱
Paolo Barison,保罗·巴里松
Elvio Banchero,埃尔维奥·班凯罗
Alessandro Grandoni,亚历山德罗·格兰多尼
Luciano Favero,卢西亚诺·法维罗
Savino Guglielmetti,萨维诺·古列尔梅蒂
Luigi Luca Cavalli-Sforza,路易吉·路卡·卡瓦利-斯福扎
Nicola Rizzoli,尼古拉·列佐里
Sandro Mazzola,桑德罗·马佐拉
Giovanni Pisano,乔凡尼·皮萨诺
Isabella Ferrari,伊莎貝拉·法雷利
Manuel Belleri,曼努埃爾·貝萊里
Cristian Rodríguez,基斯甸·洛迪古斯
Ettore Bugatti,埃托雷·布加蒂
Ottavio Barbieri,奥塔维奥·巴尔别里
Simone Inzaghi,西蒙尼·因扎吉
Salvatore Bocchetti,薩爾瓦托雷·博凱蒂
Andrea Bargnani,安德烈亚·巴尔尼亚尼
Giorgio Santelli,乔治·圣泰利
Raffaello Leonardo,拉法埃洛·莱奥纳尔多
Nevio De Zordo,内维奥·德佐尔多
Aldo Montano,阿尔多·蒙塔诺·(1978年)
Emilio Trivini,埃米利奥·特里维尼
Gerhard Plankensteiner,格哈德·普兰肯施泰纳
Eugenio Garin,欧金尼奥·加林
Sergio Battistini,塞尔焦·巴蒂斯蒂尼
Davide Bassi (calciatore),戴維·巴斯·(足球運動員)
Mario Perazzolo,马里奥·佩拉佐洛
Giorgetto Giugiaro,喬蓋托·喬治亞羅
Valerio Fiori,瓦莱里奥·菲奥里
Cristian Daniel Ledesma,克里斯蒂安·萊德斯馬
Renato Ruggiero,雷納托·魯傑羅
Marco Donadel,馬爾科·多納代爾
Damiano Caruso,达米亚诺·卡鲁索
Paolo De Ceglie,保羅·德切列
Alberto Zaccheroni,阿爾貝托·扎凱羅尼
Federico Barocci,费德里科·巴罗奇
Manlio Brosio,曼利奥·布罗西奥
Lorenzo Bertini,洛伦佐·贝尔蒂尼
Bruno Mascarenhas,布鲁诺·马什卡雷尼亚什
Marco Bortolami,馬爾科·博托拉米
Salvatore Antibo,萨尔瓦托雷·安蒂博
Enrico Sabbatini,恩里科·薩巴蒂尼
Elena Viviani,埃莱娜·维维亚尼
Norbert Huber,诺贝特·胡贝尔
Marco Albarello,马尔科·阿尔巴雷洛
Gianfranco Leoncini,詹弗兰科·莱翁奇尼
Fabrizio Poletti,法布里齐奥·波莱蒂
Alessandro Florenzi,亚历桑德罗·弗洛伦齐
Giovanni Pettenella,乔瓦尼·佩泰内拉
Paolo Emilio Taviani,保罗·埃米利奥·塔维亚尼
Massimo Bulleri,马西莫·布莱里
Massimo Mauro,马西莫·毛罗
Pietro Generali (cestista),彼得罗·杰内拉利
Gipi,Gipi
Giuseppe Savoldi,朱塞佩·萨沃尔迪
Carlo Fassi,卡洛·法西
Alfonso Buonocore,阿方索·博诺科雷
Franco Franchi (ciclista),佛朗哥·弗兰基
Alessandro Tuia,亞歷山德羅·圖亞
Nicola Zingaretti,尼古拉·津加雷蒂
Pierluigi Marzorati,皮耶路易吉·马尔佐拉蒂
Paolo Vidoz,保罗·维多兹
Luca Guadagnino,盧卡·格達戈尼諾
Oreste Puliti,奥雷斯特·普利蒂
Rossano Galtarossa,罗萨诺·加尔塔罗萨
Emanuele Birarelli,埃馬努埃萊·比拉雷利
Francesco Martino (ginnasta),弗朗切斯科·马蒂诺
Renzo De Vecchi,伦佐·德韦基
Matteo Salvini,馬泰奧·薩爾維尼
Luca Colombo,卢卡·科隆博
Sebastián Dubarbier,塞巴斯蒂安·杜巴比爾
Roland Thöni,罗兰·特尼
Giuseppe Caprio,若瑟·卡普里奧
Fulvio Bernardini,富尔维奥·贝尔纳迪尼
Mario Zenari,瑪略·澤納里
Alexandra Araujo,亚历山德拉·阿劳若
Pietro Lombardi,彼得罗·隆巴尔迪
Emiliano Bonazzoli,埃米利亞諾·博納佐利
Luciano Spinosi,卢恰诺·斯皮诺西
Pietro Bianchi (ginnasta),彼得罗·比安基·(体操运动员)
Luca Pellegrini (calciatore 1963),卢卡·佩莱格里尼·(1963年)
Luciano Castellini,卢恰诺·卡斯泰利尼
Giovanni Bramucci,乔瓦尼·布拉穆奇
Mauro Simonetti,毛罗·西莫内蒂
Franco Menichelli,佛朗哥·梅尼凯利
Renato Zaccarelli,雷纳托·扎卡雷利
Ignazio Fabra,伊尼亚齐奥·法布拉
Johann Passler,约翰·帕斯勒
Ferdinando Gentile,费迪南多·真蒂莱
Mauro Bonomi,毛罗·博诺米
Gianfranco Bozzao,詹弗兰科·博扎奥
Matteo Anesi,马泰奥·阿内西
Emilio Caprile,埃米利奥·卡普里莱
Oswald Haselrieder,奥斯瓦尔德·哈泽尔里德
Rodolfo Volk,鲁道夫·沃尔克
Francesco Morini,弗朗切斯科·莫里尼
Josef Polig,约瑟夫·波利希
Alberto Alesina,阿尔贝托·阿莱西那
Norberto Oberburger,诺尔贝托·奥贝布格尔
Werner Kiem,维尔纳·基姆
Erwin Stricker,艾文·斯特里克
Francesco Giacomo Tricomi,弗朗切斯科·特里科米
Nicolao Dumitru,尼克勞·杜米特魯
Luigi Mastrangelo,路易吉·馬斯特蘭傑洛
Matteo Soragna,马泰奥·索拉尼亚
