Massachusetts,マサチューセッツ州
1940 World Series,1940年のワールドシリーズ
1941 World Series,1941年のワールドシリーズ
1942 World Series,1942年のワールドシリーズ
1944 Major League Baseball season,1944年のメジャーリーグベースボール
1945 World Series,1945年のワールドシリーズ
1946 Major League Baseball season,1946年のメジャーリーグベースボール
1948 Democratic National Convention,1948年民主党全国大会
1951 New York Film Critics Circle Awards,第17回ニューヨーク映画批評家協会賞
1952 Democratic National Convention,1952年民主党全国大会
1953 Major League Baseball All-Star Game,1953年のMLBオールスターゲーム
1957 Major League Baseball season,1957年のメジャーリーグベースボール
Deerfield Beach station,ディアフィールドビーチ駅
Tanglewood Music Center,タングルウッド音楽センター
All Platinum Records,オール・プラチナム・レコード
Ambush of Geary,ギアリーの待ち伏せ
Anderson Street station,アンダーソン・ストリート駅
Andrew Jackson State Park,アンドリュー・ジャクソン州立公園
Andrew W. Mellon Foundation,アンドリュー・メロン財団
"Blooming, Oregon",ブルーミング・(オレゴン州)
"Boise, Portland, Oregon",ボイジー・(ポートランド)
Boldnesian,ボールドネシアン
Bolero Project,Bolero・Project
Boroughitis,ボロ指向
Bowling Green–South Ferry shuttle,ボウリング・グリーン-サウス・フェリー・シャトル
Brady Handgun Violence Prevention Act,ブレイディ法
Breeders' Cup Juvenile Turf,ブリーダーズカップ・ジュヴェナイルターフ
Brockton Rox,ブロックトン・ロックス
Bronxville station,ブロンクスビル駅
Uptown Station,ブルーミントン・ノーマル駅
Bureau of Colored Troops,アメリカ合衆国有色軍局
Café Bohemia,カフェ・ボヘミア
Calumet Farm,カルメットファーム
"Canal Street, New Orleans",カナル・ストリート
Carbondale station,カーボンデール駅・(イリノイ州)
Cascade (train),カスケード・(旅客列車)
Protected areas of California,カリフォルニア州の自然保護地域
Grant County International Airport,グラント郡国際空港
List of airports in Guam,グアムの空港の一覧
National Board of Review Awards 1938,ナショナル・ボード・オブ・レビュー賞・(1938年)
National Board of Review Awards 2008,ナショナル・ボード・オブ・レビュー賞・(2008年)
Pitcairn PCA-2,ピトケアンPCA-2
Battle of the Head of Passes,ヘッドオブパッシーズの海戦
Bible Broadcasting Network,BBN聖書放送
Christianity in the United States,アメリカ合衆国の現代キリスト教
Community Memory,コミュニティメモリ
UFC 158,UFC・158
Battle of Lake Pontchartrain,ポンチャートレイン湖の湖上戦
Staten Island Yankees,スタテンアイランド・ヤンキース
1905 Major League Baseball season,1905年のメジャーリーグベースボール
Bluefin Labs,Bluefin・Labs
IV Corps (Union Army),第4軍団・(北軍)
1967 New York Film Critics Circle Awards,第33回ニューヨーク映画批評家協会賞
1970 Major League Baseball season,1970年のメジャーリーグベースボール
1971 New York Film Critics Circle Awards,第37回ニューヨーク映画批評家協会賞
1979 New York Film Critics Circle Awards,第45回ニューヨーク映画批評家協会賞
1980 New York Film Critics Circle Awards,第46回ニューヨーク映画批評家協会賞
1983 New York Film Critics Circle Awards,第49回ニューヨーク映画批評家協会賞
1984 Major League Baseball draft,1984年のMLBドラフト
1984 New York Film Critics Circle Awards,第50回ニューヨーク映画批評家協会賞
1985 New York Film Critics Circle Awards,第51回ニューヨーク映画批評家協会賞
1986 New York Film Critics Circle Awards,第52回ニューヨーク映画批評家協会賞
1991 New York Film Critics Circle Awards,第57回ニューヨーク映画批評家協会賞
1995 Major League Baseball draft,1995年のMLBドラフト
1996 National League Division Series,1996年のナショナルリーグディビジョンシリーズ
1998 New York Film Critics Circle Awards,第64回ニューヨーク映画批評家協会賞
1999 American League Division Series,1999年のアメリカンリーグディビジョンシリーズ
3rd Reconnaissance Battalion,第3偵察大隊
7th Michigan Cavalry Regiment,第7ミシガン義勇騎兵連隊
ALCO RS-27,アルコRS-27形ディーゼル機関車
Avatar Reality,Avatar・Reality
Centreville Military Railroad,センターヴィル軍用鉄道
Charles Whittingham Stakes,チャールズウィッティンガムステークス
Christ for the Nations Institute,クライスト・フォー・ザ・ネイションズ
Cincinnati chili,シンシナティ・チリ
Cincinnati Kelly's Killers,シンシナティ・ポーカーズ
"Cincinnati Township, Harrison County, Iowa",シンシナティ郡区・(アイオワ州ハリソン郡)
Daily Racing Form,デイリーレーシングフォーム
Deaf President Now,デフ・プレジデント・ナウ
Delaware General Assembly,デラウェア州議会
Delta Air Lines Flight 1288,デルタ航空1288便エンジン爆発事故
Denver Tramway,デンバー軌道
USS Haddo (SS-255),ハッド・(潜水艦)
Eternal Flame Falls,永遠の炎の滝
First Battle of Deep Bottom,第一次ディープボトムの戦い
First inauguration of Richard Nixon,1969年リチャード・ニクソン大統領就任式
National Parents Organization,父親と家族
"Pleasant Township, Hardin County, Iowa",プレザント郡区・(アイオワ州ハーディン郡)
Cavalry scout,Cavalry・scout
CSS Neuse,ニュース・(装甲艦)
RITA Award,リタ賞
Brightline West,エクスプレスウエスト
"Chapter 7, Title 11, United States Code",連邦倒産法第7章
Denison University,デニソン大学
Alpha Pup Records,Alpha・Pup
American election campaigns in the 19th century,19世紀アメリカ合衆国の選挙運動
"Arbor Lodge, Portland, Oregon",アーバー・ロッジ・(ポートランド)
Ardmore station (Oklahoma),アードモア駅・(オクラホマ州)
Arlington Classic,アーリントンクラシックステークス
Army of the Gulf,メキシコ湾岸軍
"Aroma, Indiana",アロマ・(インディアナ州)
Asbury University,アズベリー大学
Asian Cultural Council,アジアン・カルチュラル・カウンシル
Athearn,アサーン
Autism Society of America,アメリカ自閉症協会
Avalanche Lake (New York),アヴァランチ湖・(ニューヨーク州)
Ayusa,アユサ
Ballistic Research Laboratory,弾道研究所
Battle of Thomas Creek,トマスクリークの戦い
Burger Chef,バーガーシェフ
USS Thornback,ソーンバック・(潜水艦)
Guam Premier Outlets,グアム・プレミア・アウトレット
Hughes Airwest Flight 706,ヒューズ・エア・ウエスト706便空中衝突事故
Hungry Bear Restaurant,ハングリーベア・レストラン
Lemon v. Kurtzman,レモン対カーツマン事件
Silver Republican Party,銀共和党
M-Line Trolley,M-Line
"Free Union, Virginia",フリー・ユニオン・(バージニア州)
Frist Art Museum,フリスト・センター・フォー・ヴィジュアル・アーツ
"Furman, Alabama",ファーマン・(アラバマ州)
Game On Dude,ゲームオンデュード
Hills Bros. Coffee,ヒルスコーヒー
2 Broadway,2・ブロードウェイ
2012 Pulitzer Prize,2012年ピューリッツァー賞
2013 Indianapolis 500,2013年のインディ500
Barrett-Jackson,バレットジャクソン
Battery Park City Ferry Terminal,バッテリー・パーク・シティ・フェリー・ターミナル
Battery Place station,バッテリー・プレイス駅
Berlin station (Connecticut),バーリン駅・(コネチカット州)
Billionaire Boys Club,ビリオネア・ボーイズ・クラブ
Center for Victims of Torture,拷問被害者センター
Children's Hospital Colorado,デンバー小児病院
"Church of the Ascension (Mt. Sterling, Kentucky)",マウントスターリングの主の昇天教会
City Hall Post Office and Courthouse (New York City),市庁舎郵便局と裁判所・(ニューヨーク市)
Cold Spring station (Metro-North),コールド・スプリング駅
College of Staten Island,ニューヨーク市立大学スタテンアイランド校
Collegiate Reformed Protestant Dutch Church,協同改革派プロテスタント・オランダ教会
Colt Stadium,コルト・スタジアム
Columbia Park,コロンビア・パーク
Comair Flight 3272,コムエアー3272便墜落事故
Venture Church Network,保守バプテスト同盟
Virginia–Virginia Tech football rivalry,コモンウェルス・カップ
Coaster (rail service),コースター・(南カリフォルニア)
Corban University,コーバン大学
Corporate Airlines Flight 5966,コーポレート航空5966便墜落事故
Crestwood station,クレストウッド駅
Crime in the United States,アメリカ合衆国の犯罪と治安
Crown Castle,クラウンキャッスル
D.C. Armory,DCアーモリー
Daz 3D,DAZ・3D
Kooba,クーバ・(ブランド)
Fitbit,Fitbit
Floral Park station,フローラル・パーク駅
Forever Marilyn,フォーエバー・マリリン
Fort Myers Mighty Mussels,フォートマイヤーズ・ミラクル
Fort Richardson National Cemetery,フォート・リチャードソン国立墓地
Fox Music,フォックス・ミュージック
Francis Lake (California),フランシス湖
Fred Harvey Company,フレッド・ハーヴィ・カンパニー
High Standard Manufacturing Company,ハイスタンダード・(銃器メーカー)
Jane Blalock v. Ladies Professional Golf Association,ジェーン・ブラロック対LPGA事件
Bell Road (Phoenix Metro),ベル・ロード
Bellevue Square,ベルビュースクウェア
Benson Hotel,ベンソン・ホテル
Beth Israel Deaconess Medical Center,ベス・イスラエル・ディーコネス医療センター
Bethpage Branch,ベスページ支線
Bethpage station,ベスページ駅
Black River (Alcona County),ブラック川・(ミシガン州アルコナ郡)
York Street/Freemason station,ヨーク・ストリート/フリーメイソン駅
Cox Models,COX
DASH diet,ダッシュダイエット
Digital Manga,デジタル・マンガ
Directors Guild of America Award for Outstanding Directing – Feature Film,全米監督協会賞・長編映画監督賞
Dobbs Ferry station,ドブス・フェリー駅
Douglas A-33,A-33・(航空機)
Downtown New Orleans,ダウンタウン・(ニューオーリンズ)
Dr. Yen Sin,ドクター・イェン・シン
Duke University Medical Center Patient Rapid Transit,デューク大学医療センター患者高速輸送機関
Eagle Mine (Colorado),イーグル鉱山
Earl of Sandwich (restaurant),アール・オブ・サンドウィッチ
East Glacier Park station,イースト・グレイシャー・パーク駅
Office of the Secretary of Defense,アメリカ合衆国国防長官府
Gazelle Stakes,ガゼルステークス
Geography and ecology of the Everglades,エバーグレーズの地形と生態系
History of the Democratic Party (United States),アメリカ合衆国民主党の歴史
Hokubei Mainichi Newspaper,北米毎日新聞
Honolulu Zoo,ホノルル動物園
Horizon Lines,ホライゾンラインズ
Jacobs School of Music,ジェイコブズ音楽院
Jaipur Stakes,ジャイプールインビテーショナルステークス
James E. Rogers College of Law,アリゾナ大学ロースクール
List of Gold Glove Award winners at pitcher,ゴールドグラブ賞受賞者一覧・(投手)
Operation Ivy Bells,アイヴィー・ベル
Peavy Arboretum,ピービー樹木園
Super Chief,スーパー・チーフ
The Hit Factory,ザ・ヒット・ファクトリー
USS Gudgeon (SS-211),ガジョン・(SS-211)
USS Gunnel,ガンネル・(潜水艦)
USS Haddock (SS-231),ハダック・(潜水艦)
USS Pargo (SS-264),パーゴ・(潜水艦)
USS Puffer (SS-268),パファー・(潜水艦)
GLAAD Media Award for Outstanding Film – Wide Release,GLAADメディア賞映画賞・(拡大公開部門)
E. Howard %26 Co.,ハワード・(時計)
Eclipse 550,エクリプス・550
Elmira Pioneers,エルマイラ・パイオニアーズ
"Embassy of Myanmar, Washington, D.C.",在アメリカ合衆国ミャンマー大使館
Emery Worldwide Airlines,エメリー・ワールドワイド
FedEx Express Flight 647,フェデックス647便着陸失敗事故
Georgia Republican Party,ジョージア共和党・(アメリカ合衆国)
Getaround,ゲットアラウンド
Glen Head station,グレンヘッド駅
Golden Gate (train),ゴールデン・ゲート・(旅客列車)
Icarus Publishing,イカロス・パブリッシング
No Fear,ノー・フィア・(アパレル)
Susupe,ススペ
"Union Station (Jackson, Mississippi)",ユニオン駅・(ジャクソン)
Union Station (New Haven),ユニオン駅・(ニューヘイブン)
USS Hoe,ホー・(潜水艦)
Joseph P. Riley Jr. Park,ジョゼフ・P・ライリー・ジュニア・パーク
Jones Day,ジョーンズ・デイ
Jordan Schnitzer Museum of Art,ジョーダン・シュニッツァー美術館
La Troienne Stakes,ラトロワンヌステークス
Lake Washington Shipyard,レイク・ワシントン造船所
Lakeland University,レイクランド大学
Lapeer station,ラピーア駅・(ミシガン州)
Leary v. United States,リアリー対合衆国裁判
Good Technology,グッド・テクノロジー
Governor of Hawaii,ハワイ州知事
Grand Traverse Bay,グランドトラバース湾
Green Line (MARTA),グリーンライン・(アトランタ・マルタ)
Greensboro Grasshoppers,グリーンズボロ・グラスホッパーズ
Greenwich Avenue,グリニッジ・アベニュー
GridPoint,グリッドポイント・(企業)
Gyrodyne RON Rotorcycle,ジャイロダイン・RON・ローターサイクル
"Hamilton Hotel (Portland, Oregon)",ハミルトン・ホテル・(ポートランド)
Hamlet station,ハムレット駅
Hammerstein Ballroom,ハマースタイン・ボールルーム
HM-14,第14ヘリコプター機雷掃海飛行隊・(アメリカ海軍)
HSC-25,第25ヘリコプター海上戦闘飛行隊・(アメリカ海軍)
HSC-4,第4ヘリコプター海上戦闘飛行隊・(アメリカ海軍)
HT-18,第18ヘリコプター訓練飛行隊・(アメリカ海軍)
Los Angeles County Fire Department,ロサンゼルス郡消防局
Social Security number,社会保障番号
Westgate station (Las Vegas Monorail),LVH%3Dラスベガス・ホテル・アンド・カジノ駅
UFC Fight Night: Silva vs. Irvin,UFC・Fight・Night:・Silva・vs.・Irvin
Pride 32,PRIDE.32
UFC Fight Night: Florian vs. Lauzon,UFC・Fight・Night:・Florian・vs.・Lauzon
"Burns, Oregon",バーンズ・(オレゴン州)
Japan Air Lines Cargo Flight 46E,日本航空46E便エンジン脱落事故
Japanese School of Detroit,デトロイトりんご会補習授業校
Japanese Village (Dugway Proving Ground),日本村
"Japantown, San Jose",ジャパンタウン・(サンノゼ)
K%26N Engineering,K%26Nエンジニアリング
KOCO-TV,KOCO-TV
Kansas City Monarchs (American Association),カンザスシティ・モナークス
Katonah station,カトナ駅
Kew Gardens station (LIRR),キューガーデン駅・(LIRR)
International Association for Professional Base Ball Players,インターナショナル・アソシエーション・(野球)
International Coal Group,インターナショナル・コール・グループ
International Women of Courage Award,国際勇気ある女性賞
Irvine–Michigan–Brookhaven (detector),アーバイン＝ミシガン＝ブルックヘブン
"Irwin, California",アーウィン・(カリフォルニア州)
John Adams Birthplace,ジョン・アダムズ生家
J.Crew,J.クルー
Erznoznik v. City of Jacksonville,エルズノズニック対ジャクソンビル市事件
Essex Junction station,エセックス・ジャンクション駅
Fandango Media,ファンダンゴ・メディア
FedEx Express Flight 14,フェデックス14便着陸失敗事故
Fenelon Place Elevator,フェネロン・プレイス・エレベーター
Fessenden School,フェッセンデン・スクール
Fine Air,ファイン・エア
Harada House,ハラダハウス
Harlem Line,メトロノース鉄道ハーレム線
Harrison station (PATH),ハリソン駅・(パストレイン)
Harvard T.H. Chan School of Public Health,ハーバード公衆衛生大学院
Havre de Grace (horse),ハバディグレイス・(競走馬)
Hawaiʻi Community College,ハワイ・コミュニティーカレッジ
Hawaii Winter Baseball,ハワイ・ウィンターリーグ
Judiciary of Hawaii,ハワイの司法制度
UFC Fight Night: Nogueira vs. Davis,UFC・Fight・Night:・Nogueira・vs.・Davis
Inauguration of John Quincy Adams,1825年ジョン・クィンシー・アダムズ大統領就任式
Information Security Oversight Office,アメリカ合衆国情報安全保障監督局
Kaiser-Fleetwings A-39,XA-39・(航空機)
KTNV-TV,KTNV-TV
Kingston–Rhinecliff Bridge,キングストン・ラインクリフ・ブリッジ
Kirkwood station (Missouri),カークウッド駅・(ミズーリ州)
Natural Law Party (United States),自然法党・(アメリカ)
Little Brown Jug (horse race),リトルブラウンジャグ・(競馬のレース)
"Little Saint James, U.S. Virgin Islands",リトル・セント・ジェームズ島
Lycoming College,ライコミング大学
South End Grounds,サウス・エンド・グラウンズ
"Marshall Street, Syracuse",マーシャル・ストリート
McComb station,マコーム駅・(ミシシッピ州)
McKenzie College (Texas),マッケンジー・カレッジ・(テキサス州)
Menifee,メニフィー・(競走馬)
Mesa Solar Sox,メサ・ソーラーソックス
Leper colony money,ハンセン病療養所の特殊通貨
Lincoln Saltdogs,リンカーン・ソルトドッグス
1984 Los Angeles Film Critics Association Awards,第10回ロサンゼルス映画批評家協会賞
1991 Los Angeles Film Critics Association Awards,第17回ロサンゼルス映画批評家協会賞
Little Free Library,小さな図書館
Lost Coast,ロスト海岸
Lowline (park),ロウライン
Permanent members of the United Nations Security Council,国際連合安全保障理事会常任理事国
Magazine Street,マガジン・ストリート・(ニューオーリンズ)
Manhattan Handicap,マンハッタンステークス
"Manheim Township, Lancaster County, Pennsylvania",マンハイム郡区・(ペンシルベニア州ランカスター郡)
Manitowoc Shipbuilding Company,マニトワック造船
Marathon Technologies,マラソンテクノロジーズ
Mid Pacific Air,ミッドパシフィックエア
Mill Neck station,ミルネック駅
Milwaukee Intermodal Station,ミルウォーキー駅
Mineola station (Texas),ミネオラ駅・(テキサス州)
Minnesota Starvation Experiment,ミネソタ飢餓実験
Minnesota Wrecking Crew (professional wrestling),ミネソタ・レッキング・クルー
Mitsuwa Marketplace,ミツワマーケットプレイス
Mojave Aerospace Ventures,モハーヴェ・エアロスペース・ベンチャーズ
Mom %2B Pop Music,マム・アンド・ポップ・ミュージック
Oshman's Sporting Goods,オッシュマンズ・スポーティング・グッズ
Osprey Packs,オスプレー
Shanghai Bobby,シャンハイボビー
Shostakovich v. Twentieth Century-Fox Film Corp.,ショスタコーヴィチ対20世紀フォックス事件
Siege of Fort Stanwix,スタンウィックス砦包囲戦
Silicon Beach,シリコンビーチ
Npm,Npm・(パッケージ管理ツール)
Marine Aircraft Group 26,第26海兵航空群
Military Extraterritorial Jurisdiction Act,軍事域外管轄権法
NYCE,NYCE
National Airlines Flight 193,ナショナル航空193便着水事故
National Hispanic Heritage Month (United States),ヒスパニック文化遺産月間
National Socialist Party of America,アメリカ国家社会党
National Technical Information Service,アメリカ合衆国商務省科学技術情報サービス
New Alchemy Institute,ニュー・アルケミー・インスティテュート
New Hamburg station,ニュー・ハンバーグ駅
New Hampshire statistical areas,ニューハンプシャー州の都市圏の一覧
New Mexico statistical areas,ニューメキシコ州の都市圏の一覧
New York Public Library Main Branch,ニューヨーク公共図書館本館
New York Stakes,ニューヨークステークス
Newark Peppers,ニューアーク・ペパー
Newport International University (Wyoming),ニューポート国際大学
Northeast Air Command,北東航空軍団
Occupational Information Network,職業情報ネットワーク
Ojo Alamo Formation,オホアラモ累層
More (cigarette),モア・(たばこ)
Music City Center,ミュージック・シティ・センター
MusiCares,ミュージケアーズ
New York Central Hudson,ニューヨークセントラル鉄道Jクラス蒸気機関車
Orphan Train,孤児列車
Pittock Mansion,ピトック邸
Pontiac station (Illinois),ポンティアック駅
Popular Astronomy (US magazine),ポピュラー・アストロノミー
Portage station,ポーティジ駅
Portland Transportation Center,ポートランド・トランスポーテーション・センター
Portland's Centers for the Arts,ポートランド舞台芸術センター
Portrait of a Carthusian,カルトジオ会修道士の肖像
Potomac Nationals,ポトマック・ナショナルズ
Powhatan Arrow,ポワンタン・アロー
Precisionist (horse),プレシジョニスト
Princessnesian,プリンセスネシアン
Providence station,プロビデンス駅
Puerto Rico National Guard,プエルトリコ州兵
Purdy's station,パーディーズ駅
Psychonomic Society,心理科学協会
OutSystems,OutSystems
Park Ridge station (NJ Transit),パーク・リッジ駅
Patterson station (Metro-North),パターソン駅・(ニューヨーク州)
Pea Patch Island,ピーパッチ島
Pfitzner Flyer,フィツナー・フライヤー
Phantom Ranch,ファントム・ランチ
Phillips University,フィリップス大学
Picayune station,ピカユーン駅
Quizlet,Quizlet
Red Line (MARTA),レッドライン・(アトランタ・マルタ)
Reeve Aleutian Airways,リーブ・アリューシャン航空
SoftLayer,SoftLayer
Songza,Songza
The Shops at Nanuet,ナニュエット・モール
The Valley Library,バレー図書館
Thomas %26 Betts,トーマスアンドベッツ
Time in Florida,フロリダ時間
Time in Texas,テキサス時間
S1C reactor,S1C・(原子炉)
Sterling Records (US),スターリング・レコード・(アメリカ合衆国)
Suffern station,サファーン駅
Sulphur Dell,サルファー・デル
"Sumner, Portland, Oregon",サムナー・(ポートランド)
"Sunset High School (Beaverton, Oregon)",サンセット高等学校・(オレゴン州ビーバートン)
TWA Flight 843,トランス・ワールド航空843便大破事故
Operation Nifty Package,ニフティ・パッケージ作戦
Orange and Alexandria Railroad,オレンジ・アンド・アレクサンドリア鉄道
Orchard House,オーチャード・ハウス
Oregon Legislative Assembly,オレゴン州議会
Pan Am Flight 845,パンアメリカン航空845便離陸衝突事故
Paramount Animation,パラマウント・アニメーション
Pennsylvania Railroad class H6,ペンシルバニア鉄道H6形蒸気機関車
Southern California Railway Museum,南カリフォルニア鉄道博物館
Quantico station,クアンティコ駅
R179 (New York City Subway car),ニューヨーク市地下鉄R179形電車
Raja Baba,ラジャババ
Randolph station (Vermont),ランドルフ駅・(バーモント州)
Robert C. Williams Paper Museum,ロバート・C.・ウィリアムズ製紙博物館
Rockland Community College,ロックランド・コミュニティ・カレッジ
Roger Clemens Award,ロジャー・クレメンス賞
Rohwer War Relocation Center,ローワー戦争移住センター
Route 128 station,ルート128駅
Royal Blue (train),ロイヤル・ブルー・(列車)
School of Advanced Military Studies,高等軍事研究院
Second Battle of Memphis,第二次メンフィスの戦い
Second inauguration of George Washington,1793年ジョージ・ワシントン大統領就任式
Second inauguration of William McKinley,1901年ウィリアム・マッキンリー大統領就任式
Big East Conference,ビッグ・イースト・カンファレンス
Toadstool Geologic Park,トウドゥストゥール地質学公園
Tompkinsville station,トンプキンスヴィル駅
Transtar (US Company),トランスター
Triple Bend Stakes,トリプルベンドインビテーショナルハンデキャップ
USS Porpoise (SS-172),ポーパス・(SS-172)
Willow Springs International Motorsports Park,ウィロースプリングス・レースウェイ
Wilson station (North Carolina),ウィルソン駅
Winsor McCay Award,ウィンザー・マッケイ賞
Woodburn Premium Outlets,ウッドバーン・カンパニー・ストアーズ
Woodford Reserve,ウッドフォードリザーブ
Salt pork,塩豚
Samoan Americans,サモア系アメリカ人
San Antonio station (Texas),サンアントニオ駅・(テキサス州)
San Diego Film Critics Society Award for Best Foreign Language Film,サンディエゴ映画批評家協会賞・外国語映画賞
San Marcos station,サンマルコス駅
Santa Anita Derby,サンタアニタダービー
Saratoga Dew,サラトガデュー
Scarsdale Public Schools,スカースデイル公立学区
Scarsdale station,スカースデイル駅
"School of International and Public Affairs, Columbia University",コロンビア大学国際公共政策大学院
Scottsdale Stadium,スコッツデール・スタジアム
Sea Hero,シーヒーロー
SS Columbia (1902 steamboat),コロンビア・(蒸気船)
Skyhorse Publishing,スカイホース・パブリッシング
Snyder v. Phelps,スナイダー対フェルプス事件
South Carolina gubernatorial elections,サウスカロライナ州知事選挙
South Dakota's 1st congressional district,サウスダコタ州第1選挙区
South Ferry (Manhattan),サウス・フェリー・(マンハッタン)
South Ferry station (IRT elevated),サウス・フェリー駅・(IRT高架線)
Southern Pacific 4449,サザン・パシフィック鉄道4449号蒸気機関車
"Southwest Hills, Portland, Oregon",サウスウェスト・ヒルズ・(ポートランド)
Sports Authority,スポーツオーソリティ
Critics' Choice Movie Awards,クリティクス・チョイス・アワード
Sportsman's Park,スポーツマンズ・パーク
St. Paul Saints,セントポール・セインツ
Stability and support operations,安定化%26支援作戦
State of Scott,スコット自由独立州
Stearman-Hammond Y-1,ステアマン＝ハモンド・Y-1
TVLine,TVLine
Taylor County Airport (Kentucky),テイラー郡空港・(ケンタッキー州)
Taylor County Airport (Wisconsin),テイラー郡空港・(ウィスコンシン州)
Tehachapi Pass,テハチャピ峠
Teledyne Technologies,テレダイン・テクノロジーズ
Teletype Corporation,テレタイプ・(企業)
Tenmile River station,テンマイル・リバー駅
Tennessee State Museum,テネシー州立博物館
STP-Paxton Turbocar,STP-パクストン・ターボカー
The Rest of the Story,ザ・レスト・オブ・ザ・ストーリー
U.S. Bank Stadium,USバンク・スタジアム
Ventra,Ventra
Vulture Glacier (Montana),バルチャー氷河・(アメリカ合衆国・モンタナ州)
Wakarusa River,ワカルサ川
Warren Alpert Foundation Prize,ウォーレン・アルパート財団賞
Wells Street Terminal,ウェルズ・ストリート・ターミナル
West Hawaii Today,ウェスト・ハワイ・トゥデイ
Westchester Country Club,ウェストチェスターカントリークラブ
Western Pacific Airlines,ウエスタン・パシフィック航空
Western Wyoming Community College,ウエスタンワイオミング・コミュニティーカレッジ
White elephant gift exchange,ホワイト・エレファント・ギフト・エクスチェンジ
Wildhorse Saloon,ワイルドホース・サルーン
XVI Corps (Union Army),第16軍団・(北軍)
XXV Corps (Union Army),第25軍団・(北軍)
USS C-5,C-5・(潜水艦)
Fairmont Orchid,フェアモント・オーキッド・ホテル
Tennessee statistical areas,テネシー州の都市圏の一覧
Tetrazzini,テトラッツィーニ
Turf Classic Stakes,オールドフォレスター・ターフクラシックステークス
Twin Cities 400,ツイン・シティ400
Tyrone station,タイロン駅
1996 Quincy Airport disaster,ユナイテッド・エクスプレス5925便地上衝突事故
Kansas City Union Station,ユニオン駅・(カンザスシティ)
List of ambassadors of the United States to Argentina,在アルゼンチンアメリカ合衆国大使
Union Bank Tower,ユニオン・バンク・オブ・カリフォルニア・タワー
United Nations Secretariat Building,国際連合事務局ビル
Utah Warriors,ユタ・ウォリアーズ
Varian Associates,ヴァリアン・アソシエイツ
Verve Forecast Records,ヴァーヴ・フォアキャスト・レコード
VII Corps (Union Army),第7軍団・(北軍)
USS Quillback,クィルバック・(潜水艦)
Wittnauer,ウィットナー
TurboSquid,TurboSquid
UFC Fight Night: Thomas vs. Florian,UFC・Fight・Night:・Thomas・vs.・Florian
UFC Ultimate Fight Night 3,Ultimate・Fight・Night・3
USBC Masters,USBCマスターズ
Breeders' Cup Juvenile,ブリーダーズカップ・ジュヴェナイル
U.S. territorial sovereignty,アメリカ合衆国の領土
United States Strike Command,アメリカ打撃軍
University of Hawaiʻi Maui College,マウイ・コミュニティーカレッジ
Ursinus College,アーサイナス大学
"Vienna, Alabama",ビエナ・(アラバマ州)
2009 WPS All-Star Game,2009・WPSオールスターゲーム
Vox Media,Vox・Media
WBTS-CD,WBTS-CD
WSM (AM),WSM・(AM)
WSVN,WSVN
Williamsburgh Savings Bank,ウィリアムズバーグ貯蓄銀行
USS E-2,E-2・(潜水艦)
USS N-7,N-7・(潜水艦)
USS Sea Leopard,シーレパード・(潜水艦)
W64 (nuclear warhead),W64・(核弾頭)
World Atlantic Airlines,ワールド・アトランティック航空
World Federation for Mental Health,世界精神保健連盟
Zivko Aeronautics,ジブコ・エアロノーティクス
Miami Police Department,マイアミ市警察
"Bristol Township, Greene County, Iowa",ブリストル郡区・(アイオワ州グリーン郡)
"Eldora Township, Hardin County, Iowa",エルドラ郡区・(アイオワ州ハーディン郡)
"Flint River Township, Des Moines County, Iowa",フリントリバー郡区・(アイオワ州デモイン郡)
"Grant Township, Greene County, Iowa",グラント郡区・(アイオワ州グリーン郡)
"Mott Township, Franklin County, Iowa",モット郡区・(アイオワ州フランクリン郡)
"Osceola Township, Franklin County, Iowa",オセオラ郡区・(アイオワ州フランクリン郡)
JFK Express,JFKエクスプレス
Houston station (Texas),ヒューストン駅
Murder of Bobby Kent,ボビー・ケント殺害事件
Immersion Corporation,Immersion
Yoga Alliance,全米ヨガアライアンス
University of Wisconsin System,ウィスコンシン大学
EDAW,EDAW
Oregon Blue Book,オレゴン・ブルー・ブック
Klondike bar,クロンダイクバー
USS Grenadier (SS-525),グレナディアー・(SS-525)
Minneapolis Japanese School,ミネアポリス日本語補習授業校
"Irvington, Portland, Oregon",アーヴィントン・(ポートランド)
Bridgeport Bluefish,ブリッジポート・ブルーフィッシュ
Brooklyn Nets accomplishments and records,ブルックリン・ネッツのチーム記録
Gordon W. Prange Collection,プランゲ文庫
Illinois Derby,イリノイダービー
Indiana Women's Prison,インディアナ州女子刑務所
Indianapolis Hoosiers (American Association),インディアナポリス・フージャーズ・(1884年)
New York Dada,ニューヨーク・ダダ
LeSportsac,レスポートサック
MagiQuest,マジクエスト
United Air Lines Flight 389,ユナイテッド航空389便墜落事故
United League Baseball,ユナイテッドリーグ・ベースボール
La Brea Stakes,ラブレアステークス
Women's Basketball Development Association,WBCBL
Mt. SAC Relays,マウント・サック・リレー
Phoenix Pictures,フェニックス・ピクチャーズ
Battle of Crooked Billet,クルックドビレットの戦い
Tango (software),Tango・(アプリケーション)
2013 Billboard Music Awards,ビルボード・ミュージック・アワード2013
Association for Asian Studies,アジア研究協会・(アメリカ)
New Bridge Landing station,ニュー・ブリッジ・ランディング駅
Southold station,サウソールド駅
Washington Square (Oregon),ワシントン・スクエア・(オレゴン州)
"Willow Glen, San Jose",ウィローグレン
WSMH,WSMH
Section 230,通信品位法230条
Medford station,メドフォード駅
2013 Moore tornado,2013年ムーア竜巻
