衛德明,ヘルムート・ウィルヘルム
刘国梁,劉国梁
吕小军,呂小軍
王稼祥,王稼祥
陈全国,陳全国
刘云山,劉雲山
杨振亚,楊振亜
沙孟海,沙孟海
北岛,北島
雷頌德,マーク・ルイ
蒋荣发,マース
姬胜德,姫勝徳
季婷,季婷
吉翔,吉翔
翦伯赞,翦伯賛
简艺,簡芸
蒋方舟,蔣方舟
陳潔,ジ・チェン
沈从文,沈従文
馬賢達,馬賢達
馬榮成,馬栄成
馬岳梁,馬岳梁
董程,董程
王冠寅,王冠寅
毛阿敏,毛阿敏
蒋树声,蒋樹声
姜武,姜武
符浩,符浩
章启月,章啓月
張也,張也
黃智雯,マンデー・ウォン
诺博士,ドクター・ノオ
俞灏明,兪灝明
梁文博,梁文博
劉伯明,劉伯明
冯友兰,馮友蘭
桑吉悦希,天宝
林镕,林鎔
陈又生,陳又生
王健林,王健林
劉國正,劉国正
江洪杰,江洪杰
姜积弘,姜積弘
毛致用,毛致用
楼云,楼雲
王蒙,王蒙
唐国强,唐国強
鄒文懷,レイモンド・チョウ
傅聰,フー・ツォン
王美银,ワン・メイイン
王展玲,メリンダ・ワン
杨雄,楊雄
秦俊杰,秦俊傑
邱钟惠,邸鐘恵
鄒凱光,マット・チョー
張建宗,張建宗
莫少聰,モク・シウチョン
張可頤,マギー・チョン
麥齊光,麦斉光
徐少华,徐少華
张喜云,張喜雲
张博,張博
梁漱溟,梁漱溟
孙祥,孫祥
李德生,李徳生
彭勃,彭勃
吕正操,呂正操
马蕴雯,馬蘊雯
蠍子 (真人快打),スコーピオン (モータルコンバット)
张莉,張莉
关金林,関金林
梁羽生,梁羽生
华罗庚,華羅庚
葛民輝,エリック・コット
董驃,トン・ピョウ
李雪尧,李雪尭
陳浩鈴,陳浩鈴
吳奕輝,ジョン・ゴコンウェイ
丁立人,丁立人
胡军,胡軍
江铸久,江鋳久
唯色,ツェリン・オーセル
周璇,周璇
丁建军,丁建軍
錢鍾書,銭鍾書
哈那提·斯拉木,ハナティ・シラム
李长春,李長春
拉巴平措,拉巴平措
眭祿,眭禄
蒋雪莲,蒋雪蓮
馬偉豪,ジョー・マ
谢晋,謝晋
麥寶嬋,麦宝嬋
陳德森,テディ・チャン
謝賢,パトリック・チュー
姬鹏飞,姫鵬飛
房祖名,ジェイシー・チャン
陸思敬,ジン・ルージ
馬楚成,ジングル・マー
欧阳万成,ジミー・O・ヤン
王鳳,王鳳
汪峰,汪峰
汪涵,汪涵
金毓嶂,金毓嶂
周文健,マイケル・チャウ
姚莉,姚莉
鄧健泓,パトリック・タン
周海媚,キャシー・チャウ
钱萍,銭萍
魏巍,魏巍
刘慈欣,劉慈欣
金立群,金立群
石堅,シー・キエン
陈云,陳雲
李云迪,ユンディ・リ
胡春华,胡春華
古力,古力
胡启立,胡啓立
王丹,王丹
周有光,周有光
胡彥斌,胡彦斌
陆锡麒,ケイ・ルーク
湯鎮宗,湯鎮宗
孟宪实,孟憲實
孙必干,孫必干
李國麟,李国麟
高麗虹,ジョイス・コウ
王建,ジャン・ワン
王林,王林
麥浚龍,ジュノ・マック
徐子珊,ケイト・ツイ
陳家洛,ケネス・チャン
梁繼昌,梁継昌
李方桂,李方桂
董栋,董棟
黄珊汕,黄珊汕
刘华清,劉華清
吾爾開希,ウーアルカイシ
柴玲,柴玲
裘小龙,ジョー・シャーロン
裴钢,裴鋼
闵恩泽,閔恩沢
李名强,李名強
张成龙,張成龍
王宏伟,王宏偉
平措汪杰,プンツォク・ワンギャル
计成,ジ・チェン
王楠,王楠
王培生,王培生
李名覺,ミン・チョー・リー
費明杰,ミン・フェイ
江鸣久,江鳴久
陳詩慧,ミズ・エヴァ
姚依林,姚依林
郑律成,鄭律成
汪东兴,汪東興
羅卓睿,マイケル・アンドリュー・ロー
陳惠敏,マイケル・チャン
曾轶可,曾軼可
伍健,伍健
聂绀弩,聶紺弩
宁静,寧静
張光直,張光直
程虹,程虹
何晟铭,何晟銘
唐国强 (外交官),唐国強
张曙光,張曙光
劉雪庵,劉雪庵
劉兆銘,ラウ・シウミン
刘洪才,劉洪才
刘为民,劉為民
倪文亞,倪文亜
喻林祥,喩林祥
趙南起,趙南起
杨秀峰,楊秀峰
南怀瑾,南懐瑾
王立群,王立群
王龍威,ワン・ロンウェイ
穆青,穆青
穆罕默德·伊敏,ムハンマド・アミーン・ブグラ
谢觉哉,謝覚哉
王洛宾,王洛賓
刘文金,劉文金
韋家輝,ワイ・カーファイ
雷政富,雷政富
靳雲鵬,靳雲鵬
宋平,宋平
欧阳予倩,欧陽予倩
夏衍,夏衍
王军,王軍
康月,康月
康德·潘,カント・パン
刘惜君,劉惜君
薛玉洋,薛玉洋
鄧紫棋,鄧紫棋
羅文,ロマン・タム
吳良鏞,呉良鏞
楊千嬅,ミリアム・ヨン
照那斯图,ショウナスト
寇磊,コウ・レイ
地下浩多,地下浩多
汪明荃,リザ・ウォン
華春瑩,華春瑩
李富春,李富春
俞孔坚,兪孔堅
莫小棋,モニカ・モク
李 綺欣,李綺欣
索达吉堪布,ケンポ・ソダルジェ
诚静容,誠静容
韓釐王,釐王
苑瓊丹,キングダム・ユン
孔令文,孔令文
姜至鹏,姜至鵬
孔飞,孔飛
王文华 (足球运动员),王文華 (サッカー選手)
陶驷驹,陶駟駒
罗隆基,羅隆基
盛宗亮,盛宗亮
巴特尔,バトル
崔天凯,崔天凱
马晓天,馬曉天
巴桑拉毛,パッサン・ラモ
王锐,王鋭
王显波,王顕波
李凯尔,カイル・アンダーソン
蔡廷锴,蔡廷カイ
李濟深,李済深
陈赓,陳賡
陈望道,陳望道
鮑起靜,ニナ・パウ
童第周,童第周
任達華,サイモン・ヤム
金鲁贤,金魯賢
张湘祥,張湘祥
陳茂波,陳茂波
基奧,パウル・ングェ
楊寶玲,ポーリン・ヨン
刘晓庆,劉暁慶
李宇春,李宇春
唐生智,唐生智
欧阳鲲鹏,欧陽鯤鵬
欧阳中石,欧陽中石
歐陽曉芳,欧陽暁芳
欧阳自远,欧陽自遠
潘兵,潘兵
邓文迪,ウェンディ・デン
歐陽震華,ボビー・アウヨン
李致和,李致和(Daniel Lee Chi Wo)
容祖兒,容祖兒
古巨基,レオ・クー
馮曦妤,フィオナ・フォン
姜广涛,姜広涛
郎營來,郎営来
榮智健,栄智健
鍾楚紅,チェリー・チェン
曹臻,曹臻
高瑜,高瑜
李雪梅,李雪梅
王治郅,王治郅
赵喜进,趙喜進
赖润明,頼潤明
黎耀輝,黎耀輝
單仲偕,單仲偕
顾汝章,顧汝章
王一,王一
王玥人,王月人
何志平,パトリック・ホー
趙朝均,趙朝均
张充仁,張充仁
列确,レーチョク
彭桓武,彭桓武
陈舜臣,陳舜臣
張智霖,ジュリアン・チョン
夏雨,夏雨
王歆博,王偉龍
王雅梦,ワン・ヤンメン
潘长江,潘長江
潘石屹,潘石屹
羅永昌,ロー・ウィンチョン
文章,ウェン・ジャン
翁康強,翁康強
藍潔瑛,ヤミー・ラム
王英凡,王英凡
王瑜,王瑜
刘诗昆,劉詩昆
洪学智,洪学智
王树声,王樹声
元奎,ユン・ケイ
周晓文,チョウ・シャオウェン
周雅菲,周雅菲
魏秋月,魏秋月
劉丹,ラウ・ダーン
黄奕,黄奕
李小鵬,李小鵬
俞强声,兪強声
郭追,フィリップ・コク
鄭中基,ロナルド・チェン
顧嘉輝,ジョセフ・クー
劉慧卿,エミリー・ラウ
黃維,黄維
袁弘,袁弘
江志強,ウィリアム・コン
金海心,金海心
尚氣,シャン・チー
曾雍雅,曽雍雅
劉鋼,リュウ・カン
林學曦,林学曦
水蓝,ラン・シュイ
李家傑,李家傑
徐刚,シュー・ガン
特伟,特偉
郭敬明,郭敬明
陳竺,陳竺
吴景彪,呉景彪
温永毅,温永毅
裴芳,裴芳
汤晓茵,湯曉茵
孙雅薇,孫雅薇
伍允龍,フィリップ・ン
駱俊,駱俊
李秉滔,李秉滔
賴　平,ピンキーライ
陳云根,陳云根
吴文光 (导演),呉文光
吴曦,呉曦
石挥,石揮
施之皓,施之皓
巫丹,巫丹
張瑞,張瑞
努·賽伯特,ヌーブ・サイボット
徐丽丽,徐麗麗
刘淇,劉淇
孫連仲,孫連仲
王明,王明
馮坤,馮坤
吴阿顺,呉阿順
孫明明,孫明明
周俊偉,ローレンス・チョウ
陳寶珠,コニー・チャン(女優)
韩鹏,韓鵬
王若望,王若望
俞琤,兪琤
黃錦星,黄錦星
利國偉,利国偉
吳雨霏,キャリー・ン
趙學而,ボンディ・チウ
陳百祥,ナタリス・チャン
林夕,林夕
王振义,王振義
王忠诚,王忠誠
王竹溪,王竹溪
熊十力,熊十力
李健和,李健和
柯召,チャオ・カ
李锐,李鋭
王助,王助
黃定光,黄定光
汪禹,ウォン・ユー
胡志偉,胡志偉
温麟衍,リアナ・ウェン
李运秋,李運秋
柳絮飛,柳絮飛
李晨,李晨
席澤宗,席澤宗
劉浩龍,ウィルフレッド・ラウ
泰迪羅賓,テディ・ロビン・クァン
张雨绮,キティ・チャン
譚江柏,譚江柏
蓝燕 (演员),レニー・ヤン
萬紹芬,万紹芬
雷聲,雷声
佘詩曼,カーメイン・シェー
李守信,李守信
刘心武,劉心武
吴汉雄,呉漢雄
吳耀宗,呉耀宗
吳光正,呉光正
黄敬,兪啓威
吴孟超,呉孟超
吴楠,呉楠
吴美锦,呉美錦
吴鹏根,呉鵬根
泳兒,泳児
李日朗,ドン・リー
林立果,林立果
郑筱萸,鄭篠萸
吳景略,呉景略
张首晟,張首晟
韦永丽,韋永麗
梁翹柏,梁翹柏
李达,李達
鄧錫侯,鄧錫侯
黃紹竑,黄紹コウ
李从军,李従軍
吳秀波,呉秀波
吴有训,呉有訓
金桂华,金桂華
顧冠忠,顧冠忠
张万年,張万年
刘亚楼,劉亜楼
熊向晖,熊向暉
章士釗,章士釗
张承志,張承志
陈飞,陳飛
吳子牛,呉子牛
奚鸿雁,奚鴻雁
李德全,李徳全
李范文,李範文
周龍,周龍
张磊,張磊
宋丹丹,ソン・タンタン
楊鍾健,楊鍾健
李玄旭,李玄旭
習明澤,習明沢
夏鼐,夏ダイ
朱凱廸,朱凱廸
劉峙,劉峙
程潛,程潜
陳潔如,陳潔如
叶飞,葉飛
黄易,黄易 (小説家)
李潔,リー・ジエ
黎锦熙,黎錦熙
羅康瑞,ビンセント・ロウ
李惠敏,アマンダ・リー
林海峰,林海峰
梁家輝,レオン・カーフェイ
秦剛,秦剛
向艳梅,向艶梅
肖建刚,肖建剛
萧军,蕭軍
萧乾,蕭乾
麥子豪,デニス・マック
賀龍,賀竜
梅汝璈,梅汝コウ
李立三,李立三
张馨予,張馨予
吳弘达,呉弘達
狄龍,ティ・ロン
熊飞 (足球运动员),熊飛
熊庆来,熊慶来
景甜,景甜
吳少湘,呉少湘
吴树根,呉樹根
罗瑞卿,羅瑞卿
芒克,芒克
鄭秀文,サミー・チェン
濮存昕,プー・ツンシン
朴树 (歌手),朴树
浦玮,浦瑋
浦志强,浦志強
唐薇依,唐薇依
唐灵生,唐霊生
韦唯,韋唯
李惠荣,李恵栄
张恒,張恒
姜皓文,フィリップ・キョン
李 佳祺,李佳祺
李捷,李捷
李博,李博
李默庵,李黙庵
李毅凱,李毅凱
萧淑娴,蕭淑嫻
肖智,肖智
李荣融,李栄融
李文良,李文良
谢彦泽,謝彦澤
戚务生,戚務生
李松松,リー・ソンソン
李彤 (田径),李彤
钱李仁,銭李仁
钱信忠,銭信忠
钱宇平,銭宇平
强卫,強衛(zh)
张太雷,張太雷
林伯渠,林伯渠
于斌,于斌
陳偉霆,陳偉霆
張兆輝,チョン・シウファイ
劉美君,劉美君
林躍,林躍
陳山聰,陳山聡
李典,李典
李志清,李志清
李雪健,李雪健
宫力,リー・ゴン
李国豪,李国豪
李少杰,李少傑
李思忠,李思忠
龐炳勛,龐炳勲
张闻天,張聞天
陈炳德,陳炳徳
徐光宪,徐光憲
许海燕,許海燕
徐旭生,徐旭生
董其武,董其武
黃曉明,黄暁明
刘伯承,劉伯承
朴文垚,朴文尭
張耀揚,ロイ・チョン
苗可秀,ノラ・ミャオ
曹大元,曹大元
王祖藍,王祖藍
李克农,李克農
李磊,李磊
李賽鳳,ムーン・リー
周士第,周士弟
乔振宇,喬振宇
秦昊,秦昊
許誠毅,ラマン・ヒュイ
拉麵人,ラーメンマン
许还山,許還山
徐嘉余,徐嘉余
秦嵐,秦嵐
王毅,王毅
黃毓民,黄毓民
赵洪祝,趙洪祝
王子平,王子平
徐立之,ラップチー・ツイ
谢娜,謝娜
丘樂,丘楽
邱少云,邱少雲
张瑞敏,張瑞敏
瞿颖,瞿穎
黃百鳴,レイモンド・ウォン
杨博尊,楊博尊
杨超,楊超
杨晨,楊晨
杨臣刚,楊臣剛
杨鼎新,楊鼎新
苏萌,スー・メン
方大同,方大同
徐田龍子,徐田龍子
徐瑛,徐瑛
许兆晓,許兆暁
刘小光,劉小光
陈慕华,陳慕華
聂荣臻,聶栄臻
齐佳,斉佳
陸奇,陸奇
姚滨,姚濱
汪洋,汪洋
謝安琪,ケイ・ツェー
薛暮桥,薛暮橋
阎崇年,閻崇年
徐囡囡,徐囡囡
许巍,許巍
李振声,李振声
李珍珠,李珍珠 (陸上選手)
錢嘉樂,チン・カーロウ
林雪,林雪
李志堅,李志堅
李勇,李勇
李咏,李詠
李月明,李月明
李樟煜,李樟煜
杨昊,楊昊
杨炼,楊煉
杨丽萍,楊麗萍
杨沫,楊沫
罗伯特·李,ロバート・リー
李振輝,李振輝
童玲,童玲
倪红,倪紅
湯景之,湯景之
滿大人,マンダリン (マーベル・コミック)
李延禄,李延禄
张民,張民
严歌苓,ゲリン・ヤン
谷開來,谷開来
徐向前,徐向前
李成江,李成江
黄奕中,黄奕中
刘文辉,劉文輝
吴爱英,呉愛英
田野 (滑雪运动员),田野
谢育新,謝育新
郭艾伦,郭艾倫
任重非,任重非
里卡多·古拉特,リカルド・グラール
高伯新,リチャード・ギブソン
严屹宽,厳屹寛
梁富亮,梁富亮
梁丽珍,梁丽珍
梁实秋,梁実秋
任美锷,任美鍔
黃伊汶,エンメ・ウォン
吴家丽,ン・カーライ
李琰,李琰
李阳,李楊
刘家义,劉家義
范漢傑,范漢傑
順子,シュン・ツ
王一梅,王一梅
陈国令,陳国令
劉源,劉源
陶嘉明,陶嘉明
孫楠,孫楠
張家輝,ニック・チョン
黃智賢,ウォン・チーイン
邵醉翁,邵酔翁
叶企孙,葉企孫
闫妮,閆妮
阎学通,閻学通
杨芳,楊芳
杨福家,楊福家
杨焕明,楊煥明
陈建国,陳建国
林超賢,ダンテ・ラム
罗京,羅京
罗清泉,羅清泉
梁文冲,梁津萬
马岩松,マー・ヤンソン
姚桐斌,姚桐斌
陳薩,サ・チェン
岑浩輝,岑浩輝
陳果,フルーツ・チャン
王海滨,王海濱
王镇,王鎮
簡慧真,レジーナ・ケント
任航,任航
任继愈,任継愈
姜瑜,姜瑜
高洪波,高洪波
景瑞雪,景瑞雪
司天峰,司天峰
孟克·巴特尔,巴特爾
王羽,ジミー・ウォング
杨霞,楊霞
楊錫蘭,楊錫蘭
許淵冲,許淵冲
许宗衡,許宗衡
薛晓璐,薛暁路
铁凝,鉄凝
李玲娟,李玲娟
馬堅,馬堅
杨云 (足球运动员),楊雲
王李丹妮,王李丹妮
于娜,干娜
张弦,シャン・ジャン
陳木勝,ベニー・チャン
王楠,王楠
杨永信,楊永信
林志美,サマンサ・ラム
杨卫,楊衛
王楠,王楠
李震,李震
朱珠,チュウ・チュウ
田璐菡,田璐菡
孙晔,孫曄
谭淼,譚淼
单田芳,単田芳
上官云相,上官雲相
劉振忠,劉振忠
李玟,ココ・リー
梁宗岱,梁宗岱
廖晓义,シェリ・リアオ
廖耀湘,廖耀湘
沈祖伦,沈祖倫
沈志华,沈志華
盛雪,盛雪
韓雯雯,ハン・ウェンウェン
鲍彤,鮑彤
于大宝,于大宝
林虎,林虎
杨以伦,楊以倫
尹丽丽,尹麗麗
李金羽,李金羽
马海德,ジョージ・ハテム
李雷雷,李雷雷
李宏基,李宏基
曹建明,曹建明
武大偉,武大偉
张云川,張雲川
劉京,劉京
张烁,張爍
李锡铭,李錫銘
殷茵,殷茵
葉繼歡,葉継歓
夏宝龙,夏宝龍
许昕,許昕
俞濟時,兪済時
于藍,于藍
于敏,于敏
吕思清,呂思清
凌云,凌雲 (国家安全部長)
陈祚,陳祚
林大輝,林大輝
陳奕迅,イーソン・チャン
林永健,林永健
弋腾,弋騰
李麗麗,リリー・リー
林百欣,林百欣
林更新,林更新
曹緣,曹縁
杜鵑,ドゥ・ジュアン
劉詩詩,劉詩詩
陈思诚,陳思成
汪诗诗,汪詩詩
諸葛紫岐,諸葛梓岐
黄绮珊,黄綺珊
袁宝华,袁宝華
袁家驊,袁家驊
袁珂,袁珂
袁克定,袁克定
袁腾飞,袁騰飛
竇驍,ショーン・ドウ
沈君山,沈君山
俞平伯,兪平伯
于小雨,于小雨
赵蕊蕊,趙蕊蕊
李佳军,李佳軍
高圆圆,高円円
于贵君,于貴君
劉德海 (音樂家),劉徳海
钟天使,鍾天使
沈静思,沈静思
沈玮,シェン・ウェイ
柳海龙,柳海龍
史金波,史金波
巍子,巍子
石小群,石筱群
黄继光,黄継光
黃少谷,黄少谷
鄭少秋,アダム・チェン
李煥之,李煥之
黄旭,黄旭
陳倩揚,スカイ・チャン
葉錦添,ティミー・イップ
黄渤,ホァン・ボー
姜大衛,姜大衛
鄧萃雯,シェレン・タン
石峰,石峰 (競泳選手)
吳鎭宇,フランシス・ン
王刚,王剛
吴化文,呉化文
余利君,余利君
孫越崎,孫越崎
許崇清,許崇清
于树德,于樹徳
杨虎,楊虎
高華柱,高華柱
賀耀組,賀耀組
李培基,李培基
錢大鈞,銭大鈞
史萬成,史万成
赵菁,趙菁
王平 (上将),王平
王首道,王首道
李常受,ウィットネス・リー
张琳芃,張琳芃
黃建新,黄建新
刘军宁,劉軍寧
廖國文,廖國文
吕志武,呂志武
刘宾雁,劉賓雁
吴晗,呉カン
王磊,王磊 (フェンシング選手)
叶永烈,葉永烈
张光斗,張光斗
张国强,張国強
李鹏新,李鵬新
黄兰香,黄蘭香
何长工,何長工
李贞 (少将),李貞
關淑怡,シャーリー・クァン
胡秀英,胡秀英
汤灿,湯燦
方芳,方芳 (歌手)
宋冬,宋冬
宋冬伦,宋冬伦
宋清龄,宋清齢
刘东生,劉東生
刘古昌,劉古昌
孙骁骁,孫驍驍
黄雅莉,黄雅莉
柳岩,柳岩
吴铁城,呉鉄城
陳明仁,陳明仁
陳鼓應,陳鼓応
載濤,載涛
宋涛,宋涛
施雅风,施雅風
石钟慈,石鐘慈
施永青,施永青
成奎安,シン・フィオン
曾梵志,曾梵志
刘佩琦,劉佩琦
關錦鵬,スタンリー・クワン
陈坤,陳坤
曾宪义,曽憲義
查阜西,査阜西
张积慧,張積慧
張繼青,張継青
宋任穷,宋任窮
刘成军,劉成軍
安树新,安樹新
李瑞环,李瑞環
"羅維,",ロー・ウェイ
王学圻,ワン・シュエチー
杜鸣心,杜鳴心
邵力子,邵力子
沈怡 (官員),沈怡
張學銘,張学銘
周钟岳,周鍾嶽
赵光宸,趙光宸
陈世骧,陳世驤
韓敘,韓敘
黄镇,黄鎮
何东昌,何東昌
区梦觉,区夢覚
李丰平,李豊平
袁伟时,袁偉時
谭元元,ヤンヤン・タン
斯琴高娃,スーチン・ガオワー
张又侠,張又侠
王全安,ワン・チュアンアン
罗干,羅幹
黃文歡,ホアン･ヴァン･ホアン
韩大辉,韓大輝
蔡培,蔡培
王义夫,王義夫
劉家良,ラウ・カーリョン
马寅初,馬寅初
刘震云,劉震雲
刘炜,劉煒
张伯笠,張伯笠
張成林,張成林
李四光,李四光
羅烈,ロー・リエ
张鸥影,張欧影
韩宁夫,韓寧夫
水华,水華
张淼,張淼
王亚平,王亜平
王克,王克
曹火星,曹火星
谷景生,谷景生
林妙可,林妙可
陳友,アンソニー・チェン
金莎,金莎
黄华华,黄華華
周桓,周桓
刘精松,劉精松
李天佑,李天佑
刘镇武,劉鎮武
赖传珠,賴傳珠
裴怀亮,裴懐亮
陶伯钧,陶伯鈞
尚钺,尚鉞
舒同,舒同
孙海英,孫海英
陶斯亮,陶斯亮
孙旭,孫旭
王大雷,王大雷
李仁港,ダニエル・リー (映画監督)
梁詠琪,ジジ・リョン
劉嘉玲,カリーナ・ラウ
张翠平,張翠平
张伏佳,張伏佳
郑汛,鄭汛
陳國坤,陳國坤
姜波,姜波
李偉光,李応章
罗哲文,羅哲文
刘仁静,劉仁靜
譚啟龍,譚啓龍
谭维维,譚維維
小野珠實,小野珠実
譚海,譚海 (サッカー審判員)
谭晶,譚晶
黃翠珊,スーザン・ウォン
鄭周敏,鄭周敏
谭中怡,譚中怡
张鹤,張鶴
张洪波,張洪波
蘇杏璇,ソー・ハンシュン
宋春丽,宋春雨
隗福临,隗福臨
张连忠,張連忠
杜汶澤,チャップマン・トウ
叶冲,葉冲
趙文卓,チウ・マンチェク
张昌平,張昌平
吕东,呂東
朱文泉,朱文泉
侯树森,侯樹森
刘震,劉震(zh)
李来柱,李来柱
李乾元,李乾元
張一白,張一白
王人美,王人美
伍修权,伍修権
张崴,張威 (フィギュアスケート選手)
金人庆,金人慶
陈丕显,陳丕顕
李讷,李訥
惠英紅,恵英紅
吳孟達,ン・マンタ
許靖華,ケネス・シュー
于广洲,于広洲
朱開軒,朱開軒
周鲠生,周鯁生
陈希同,陳希同
陶鋳,陶鋳
陳法拉,陳法拉
廖亦武,廖亦武
王耀武,王耀武
凌波,凌波
譚耀宗,譚耀宗
張學思,張学思
李晓红,李暁紅
楊靜仁,楊静仁
张劲夫,張勁夫
陈雨露,陳雨露
李錄,李録
罗青长,羅青長
唐韻,唐韻
陶然成,陶然成
陶伟,陶偉
张晓彬,張暁彬
张晓光,張曉光
劉青雲,ラウ・チンワン
王晶,王晶
孙亚芳,孫亜芳
孙忠焕,孫忠煥
邓华,鄧華
陈伯钧,陳伯鈞
杨至成,楊志成
唐淼,唐淼
聂璧初,聶璧初
萧望东,蕭望東
田野 (足球运动员),田野
杨天娲,ティアンワ・ヤン
蒂芬妮·埃斯佩森,ティファニー・エスペンセン
余 佩詩,余佩詩
唐嫣,唐嫣
张伊伊,張伊伊
刘毅,劉毅
汤洪高,湯洪高
贾那布尔,賈那布爾
房凤友,房鳳友
刘振起,劉振起
孙建国 (上将),孫建国
王伟光,王偉光
王刚,王剛
黄圣依,黄聖依
英若诚,英若誠
王胜俊,王勝俊
陈川平,陳川平
张孝文,張孝文
张欣,張欣
章新胜,章新胜
马之庚,馬之庚
龙新民,龍新民
车俊,車俊
陳潤兒,陳潤児
蔡英挺,蔡英挺
陈宝生,陳宝生
于振武,于振武
唐吉田,唐吉田
唐君毅,唐君毅
杜导正,杜導正
谷善庆,谷善慶
钱国梁,銭国梁
陈士榘,陳士榘
彭绍辉,彭紹輝
李涛 (解放军),李濤 (上将)
王新亭,王新亭
苏振华,蘇振華
萧华,蕭華
贺炳炎,賀炳炎
李景 (上将),李景
李耀文,李耀文
张定发,張定発
胡彦林,胡彦林
张萍,張萍
张澜,張瀾
陈华癸,陳華癸
高景德,高景徳
杨岳 (福州市委书记),楊岳
张育林,張育林
张玉宁,張玉寧
吴国华,呉国華
张志英,張志英
张子谦,張子謙
张宗逊,張宗遜(zh)
赵宝桐,趙宝桐
曾泽生,曽沢生
侯树栋,侯樹棟
刘昌毅,劉昌毅
赵建国,赵建国
宋普选,宋普選
周杰,周傑
周克華,周克華
曹和庆,曹和慶(zh)
李作成,李作成
李凤洲,李鳳洲
尹子維,テレンス・イン
陈琏,陳璉
黎春秋,黎春秋
黎石秋,黎石秋
孙金龙,孫金竜
马明方,馬明方
胡和平,胡和平
宋景华,宋景華
郑钧,鄭鈞
陈江华,陳江華
陈至立,陳至立
陳銘樞,陳銘枢
张丰毅,張豊毅
丁薛祥,丁薛祥
杜家毫,杜家毫
石泰峰,石泰峰
高广滨,高广浜
何立峰,何立峰
金壮龙,金壮龍
贾廷安,賈廷安
张轩,張軒
支树平,支樹平
唐德剛,唐徳剛
区丁平,トニー・オウ
趙樸初,趙朴初
郑龙,鄭龍
郑爽,鄭爽
李希,李希
张择,ジャン・ザ
张召忠,張召忠
刘玉浦,劉玉浦
刘粤军,劉粤軍
赵丽蓉,趙麗蓉
赵明剑,趙明剣
赵忠祥,趙忠祥
鄭達真,鄭達真
郑成思,鄭成思
郑怀颖,鄭懐穎
叶正大,叶正大
周家鼎,周家鼎
周衣冰,周衣氷
张稀哲,張稀哲
鄭振瑤,鄭振瑶
钟文靖,鍾文靖
王学军,王学軍
吴显国,呉顯国
咸辉,咸輝
徐粉林,徐粉林
杨松,楊松
余欣荣,余欣栄
周麟,チョウ・リン
周其凤,周其鳳
周汝昌,周汝昌
陈堃𨱇,陳堃銶
徐德操,徐徳操
方槐,方槐
柁嘉熹,柁嘉熹
铁木尔·达瓦买提,トムル・ダワマト
袁家军,袁家軍
张仕波,張仕波
张裔炯,張裔炯
张连珍,張連珍
張國清,張国清
赵勇,趙勇
张晓刚,張曉剛
张成寅,張成寅
张福森,張福森
邹瑜,鄒瑜
苏士亮,蘇士亮
陈武,陳武 (政治家)
乙晓光,乙曉光
殷方龙,殷方竜
郑群良,鄭群良
努尔兰·阿不都满金,ヌルラン・アビルマジヌリ
赵树丛,趙樹叢
龚克,龔克
江腾蛟,江騰蛟
熊兆仁,熊兆仁
杜瀚滔,杜瀚滔
童恩正,童恩正
桐华,桐華
佟麗婭,トン・リーヤー
余远辉,余遠輝
叶冬松,葉冬松
徐一天,徐一天
申维辰,申維辰
肖亚庆,肖亜慶
黎原,黎原
蒋南翔,蔣南翔
孙志远,孫志遠
倪岳峰,倪岳峰
欧阳坚,欧陽堅
任学锋,任学鋒
阮成发,阮成発
吴长海,呉長海
王文涛,王文濤
张国宝,張国宝
竺延风,竺延風
郭家麒,クオック・カキィー
何澤堯,チャクイウ・ホー
张毅 (中共官员),張毅 (中華人民共和国の政治家)
吴双战,呉双戦
万学远,万学遠
魏文伯,魏文伯
周纯全,周純全
许光达,許光達
阳安江,陽安江
叶小文,葉小文
王榮,王栄
周云,周雲
朱大卫,朱大衛
朱德熙,朱徳熙
郭涛,郭涛
郭锡章,郭錫章
金仁燮,金仁燮
陈启智,陳啓智
陈培民,陳培民
庄佳杰,庄佳傑
林虎 (中将),林虎
王成斌,王成斌
王建民 (中将),王建民
王辉忠,王輝忠
王宁,王寧 (上将)
于伟国,于偉国
魏凤和,魏鳳和
张玉台,張玉台
苗华,苗華
宗璞,宗璞
鄒德佳,鄒德佳
邹静之,鄒静之
周贺玺,周賀璽
马秉臣,馬秉臣
方強,方強
黄新廷,黄新廷
梁兴初,梁興初
皮定钧,皮定鈞
聂鹤亭,聶鶴亭
郝鹏,郝鵬
韩勇,韓勇
黄坤明,黄坤明
蒋伟烈,蒋偉烈
李宪生,李憲生
蓝天立,藍天立
林铎 (哈尔滨市委书记),林鐸
毛超峰,毛超峰
马建堂,馬建堂
马正其,馬正其
古永锵,古永鏘
张洁清,張潔清
李长才,李長才
周子健,周子健
邵华泽,邵華沢
朱建荣,朱建栄
周伟,周偉
周曉蘭,周暁蘭
刘康,劉康 (サッカー選手)
刘西元,劉西元
布赫,ブヘ
宝晓峰,宝暁峰
万超尘,万超塵
刘维明 (副省长),劉維明
朱丽兰,朱麗蘭
谌贻琴,諶貽琴
钟燕群,鐘燕群
蒙曼,蒙曼
阿不都热依木·阿米提,阿不都熱依木・阿米提
艾丽娅,アイ・リーヤー
赵东寰,趙東寰
邓克明,鄧克明
孙奇,孫奇
刘光涛,劉光涛
铁瑛,鉄瑛
苏支前,蘇支前
刘毅 (中将),劉毅
岑旭,岑旭
张展南,張展南
