"Мигунова, Елена Сергеевна",옐레나 미구노바
Борис Ефимович Немцов,보리스 넴초프
Борис Петрович Михайлов,보리스 미하일로프
"Радионова, Елена Игоревна",옐레나 라디오노바
Алексей Валерьевич Серебряков,알렉세이 세레브랴코프
Сергей Петрович Никоненко,세르게이 니코넨코
Валентин Иосифович Гафт,발렌틴 가프 트
Леонид Аркадьевич Якубович,레오니트 야쿠보비치
Алексей Алексеевич Венедиктов,알렉세이 베네딕토프
"Штаркман, Наум Львович",나움 슈타르크만
Александр Пугачёв,알렉상드르 푸가치요프
Курбан Бекиевич Бердыев,쿠르반 베르디예프
Сергей Михайлович Миронов,세르게이 미로노프
Александр Борисович Градский,알렉산더 그라드 스키
Максим Концевич,막심 콘체비치
Артур Римович Юсупов,아르투르 유수포프
Михаил Иванович Барсуков,미하일 바르수코프
Александра Евгеньевна Яковлева,알렉산드라 야코블레바
Гавриил Абрамович Илизаров,가브릴 일리자로프
Александр Евгеньевич Лебедев,알렉산드르 레베데프
Сергей Владимирович Шнуров,세르게이 시누로프
Роман Сергеевич Мадянов,로만 마댜노프
Дмитрий Вячеславович Лоськов,드미트리 로스코프
"Кононенко, Олег Дмитриевич",올레크 코로넨코
Олеж Маскаев,올레크 마스카예프
Андрей Николаевич Илларионов,안드레이 일라리오노프
Александр Константинович Котт,알렉산더 코트
Андрей Николаевич Тихонов,안드레이 니콜라예비치 티호노프
"Норштейн, Юрий Борисович",유리 노르시테인
Тимур Родригез,티무르 로드리게즈
Анна Валерьевна Чурина,안나 추리나
"Коржаков, Александр Васильевич",알렉산드르 코르자코프
Алексей Геннадьевич Смертин,알렉세이 스메르틴
Алексей Юрьевич Немов,알렉세이 네모프
"Емелин, Алексей Вячеславович",알렉세이 예멜린
Татьяна Люсьеновна Друбич,타티야나 드루비치
Игорь Александрович Смольников,이고르 스몰니코프
Ангелина Анатольевна Варганова,안겔리나 바르가노바
"Миронов, Дмитрий Олегович",드미트리 미로노프
Андрей Краско,안드레이 크라스코
Лев Александрович Кулиджанов,레프 쿨리자노프
Валерий Григорьевич Резанцев,발레리 레잔체프
Артур Сергеевич Смольянинов,아르투르 스몰랴니노프
Анна Леонидовна Ковальчук,안나 코발 치크
Александр Шалвович Пороховщиков,알렉산드르 포로홉시코프
"Вистингаузен, Анфиса Владимировна",안휘사 비스스트링하우젠
Максим Сергеевич Марцинкевич,막심 마르친케비치
Евгения Павловна Симонова,예브게니야 시모노바
Игорь Сергеевич Иванов,이고리 이바노프
"Садовый, Евгений Викторович",예브게니 사도비
Татьяна Котова,타티야나 코토바
Екатерина Лычёва,카탸 리초바
"Ахвледиани, Эрлом Сергеевич",에를롬 아흐블레디아니
Кэри-Хироюки Тагава,캐리 히로유키 다가와
Валдис Эйженович Пельш,발디스 펠슈
Лариса Ивановна Удовиченко,라리사 우도비첸코
Эдмонд Кеосаян,에드먼드 케사얀
Алексей Анатольевич Козлов,알렉세이 코즐로프
Владимир Александрович Крючков,블라디미르 크류츠코프
Алексей Станиславович Елисеев,알렉세이 옐리세예프
Ильсур Раисович Метшин,일수르 멧신
Геворк Андреевич Вартанян,게보르크 바르타냔
Юрий Владимирович Усачёв,유리 우사초프
Иван Александрович Скобрев,이반 스코브레프
"Григорьев, Владимир Викторович",블라디미르 그리고리예프
Сергей Вячеславович Лазарев,세르게이 라자레프
Лолита Милявская,로리타 밀리 스카 야
"Павлова, Надежда Васильевна",나데즈다 파블로바
"Стечкин, Сергей Борисович",세르게이 스테치킨
Николай Николаевич Красовский,니콜라이 크라솝스키
Вадим Валентинович Зудилин,바딤 주딜린
"Яблонский, Сергей Всеволодович",세르게이 야블론스키
Красный Омега,오메가 레드
"Моисеев, Никита Николаевич",니키타 모이세예프
Александр Сергеевич Самедов,알렉산드르 사메도프
"Милосердов, Валерий Владимирович",발레리 밀로세르도프
"Грушко, Александр Викторович",알렉산드르 그루시코
Кирилл Серебренников,키릴 세레브렌니코프
Иосиф Давыдович Кобзон,이오시프 코브존
Роланд Львович Добрушин,롤란트 도브루신
Павел Валерьевич Дацюк,파벨 다추크
Владимир Сергеевич Ивашов,블라디미르 이바소프
Алексей Геннадьевич Дюмин,알렉세이 듀민
"Ширяева, Людмила Валентиновна",류드밀라 시랴예바
Анна Селезнёва,안나 셀레즈뇨바
Марат Алимжанович Башаров,마라트 바샤로프
Ролан Антонович Быков,롤란 비 코프
"Кривощёков, Платон Викторович",플라톤 크리보쇼코프
Семён Сергеевич Слепаков,세묜 슬레파코프
Егор Вадимович Бероев,예고르 베로예프
Игорь Николаев,이고르 니콜라이예프
"Ладыгин, Фёдор Иванович",표도르 라디긴
Андрей Макин,안드레이 마킨
Сергей Николаевич Юран,세르게이 유란
Александр Генрихович Бородюк,알렉산드르 보로듀크
Дмитрий Алексеевич Хлестов,드미트리 흘레스토프
"Набоков, Евгений Викторович",예브게니 나보코프
"Тихонов, Виктор Васильевич",빅토르 티호노프 (1930년)
Анастасия Юрьевна Волочкова,아나스타샤 볼로 코바
"Тменов, Тамерлан Русланович",타메를란 트메노프
"Канайкин, Владимир Алексеевич",블라디미르 카나이킨
Александр Цекало,알렉산드르 체칼로
Борис Юльевич Кагарлицкий,보리스 카갈리츠키
Ольга Александровна Будина,올가 부디나
Александр Глебович Невзоров,알렉산드르 네브조로프
Марио Фернандес,마리우 피게이라 페르난지스
Аран Хакутора,아란 하쿠토라
Алентова Вера Валентиновна,베라 알렌토바
Николай Иванович Носков,니콜라이 노스코프
"Мугу, Айдамир Хизирович",아이다미르 무구
Митя Фомин,미타 포민
Гарик Сукачёв,가리크 수카초프
Омари Михайлович Тетрадзе,오마리 테트라제
Вера Васильевна Горностаева,베라 고르노스타예바
"Логунова, Татьяна Юрьевна",타티아나 로구노바
Максим Леонидович Траньков,막심 트란코프
"Куренцов, Виктор Григорьевич",빅토르 쿠렌트소프
Данила Козловский,다닐라 코즐롭스키
Ольга Геннадьевна Вилухина,올가 빌루히나
Елена Викторовна Бережная,옐레나 베레즈나야
Владимир Станиславович Милов,블라디미르 밀로프
"Падерина, Наталья Фёдоровна",나탈리야 파데리나
Дмитрий Владимирович Нагиев,드미트리 나기예프
Татьяна Владимировна Черниговская,타티야나 체르니곱스카야
Екатерина Сергеевна Васильева,카테리나 바실리에바
Юлия Викторовна Началова,율리야 나찰로바
"Голованова, Елизавета Игоревна",옐리자베타 골로바노바
Валерий Николаевич Кубасов,발레리 쿠바소프
Сергей Анатольевич Федоровцев,세르게이 페도롭체프
Василий Александрович Кудинов,바실리 쿠디노프
"Хржановский, Андрей Юрьевич",안드레이 흐르자놉스키
Александр Николаевич Большаков,알렉산드르 볼샤코프
Сархат Ибрагимовна Рашидова,사르핫 라쉬도바
Екатерина Сергеевна Андреева,예카테리나 안드레바
Сергей Викторович Скрипаль,세르게이 스크리팔
Нина Аркадьевна Шацкая,니나 샤츠카야
Николай Николаевич Губенко,니콜라이 구벤코
Таисия Повалий,타시아 포 발리
Ник Перумов,닉 페루모프
Константин Меладзе,콘스탄틴 멜라 제
"Васильев, Олег Владимирович",올레크 바실리예프
"Ильченко, Ирина Анатольевна",이리나 일첸코
Дмитрий Маликов,드미트리 말리 코브
"Лопырёва, Виктория Петровна",빅토리아 로피레바
"Якубовский, Дмитрий Олегович",드미트리 야쿠봅스키
Бари Каримович Алибасов,바리 알리바소프
Марина Голуб,마리나 골럽
Владимир Михайлович Алпатов,블라디미르 알파토프
"Грачёва, Татьяна Александровна",타티야나 그라초바
Нина Евгеньевна Меньшикова,니나 멘시코바
Елена Всеволодовна Сафонова,옐레나 사포노바
Надежда Никитична Михалкова,나데즈다 미할코바
"Старшова, Екатерина Игоревна",카테리나 스타소바
Тамара Гвердцители,타마르 그베르드치텔리
"Козлова, Валерия Сергеевна",발레리아 코즐 로바
Эцио Гамба,에치오 감바
Иосиф Григорьевич Аллилуев,이오시프 알릴루예프
Геннадий Бондаренко,겐나디 본다렌코
"Донгузашвили, Теа Гайозовна",테아 돈구자시빌리
Лариса Долина,라리사 돌리나
Нина Уланова,니나 울라노바
Наталья Георгиевна Гундарева,나탈리야 군다레바
"Бронштейн, Михаил Цалевич",미하일 브론시테인
"Джалилов, Манучехр Насруллоевич",마누체흐르 잘릴로프
Евгения Альбац,예브게니야 알바츠
"Касперская, Наталья Ивановна",나탈리아 카스퍼스키
"Черязова, Лина Анатольевна",리나 체랴조바
Мрачный охотник,그림 헌터
Всеволод Васильевич Санаев,브 세볼로드 사나 예브
Игорь Юрьевич Савочкин,이고리 사보치킨
Мария Кожевникова,마리야 코제브니코바
Юрий Фёдорович Маликов,율리 말리 코프
"Зелепукин, Валерий Михайлович",발레리 젤레푸킨
Меседа Абдулларисовна Багаудинова,메사 바구 디노바
Павел Быков,파벨 비코프
Павел Владимирович Санаев,파벨 사나 예프
Юлия Александровна Высоцкая,율리야 비소츠카야
"Малахов, Владимир Игоревич",블라디미르 말라호프
Вячеслав Геннадьевич Буцаев,뱌체슬라프 부차예프
"Кульчий, Александр Николаевич",알략산드르 쿨치
"Филипенко, Егор Всеволодович",예고르 필리펜코
Иван Алексеевич Жидков,이반 지드코브
Алексей Борисович Ерёменко,알렉세이 예료멘코
Николь Госвияни,니콜 고스비아니
"Онищенко, Александр Романович",올렉산드르 오니셴코
"Нургалиева, Олеся Леонидовна",올레샤 누르갈리예바
"Шадрин, Владимир Николаевич",블라디미르 샤드린
Нурзия Яхиновна Багманова,누르지야 바그마노바
Сергей Викторович Ходос,세르게이 호도스
Женя Гребенников,제니아 그레베니코브
"Рубаков, Валерий Анатольевич",발레리 루바코프
"Садовская, Татьяна Кирилловна",타티야나 사돕스카야
"Хисамутдинов, Шамиль Шамшатдинович",샤밀 히사무트디노프
"Фёдоров-Давыдов, Герман Алексеевич",게르만 표도로프다비도프
Екатерина Владимировна Сканави,카티아 스카나비
"Таов, Хасанби Урусбиевич",하산비 타오프
Ольга Георгиевна Харлампович,올가 하를람포비치
Лев Геннадьевич Воронин,레프 보로닌
"Некрасов, Сергей Владимирович",세르게이 네크라소프
"Филиппов, Дмитрий Рудольфович",드미트리 필리포프 (핸드볼 선수)
"Хаджибеков, Артём Александрович",아르툠 하지베코프
Юлия Петровна Гаврилова,율리야 가브릴로바
"Неструев, Михаил Валерьевич",미하일 네스트루예프
"Урсуляк, Александра Сергеевна",알렉산드라 우르술랴크
"Маисурадзе, Нодари Отариевич",노다리 마이수라제
Вячеслав Валерьевич Дацик,뱌체슬라프 다치크
Юрий Шатунов,유리 샤투 노브
Евгения Брик,예브게니야 히립스카야
"Бухштабер, Виктор Матвеевич",빅토르 부흐시타베르
"Берлинская, Людмила Валентиновна",류드밀라 베를린스카야
Лев Концевич,레프 라파일로비치 콘체비치
"Белякова, Ольга Владимировна",올가 벨랴코바
КГБист,KG비스트
"Песьяков, Сергей Александрович",세르게이 페시야코프
Алимжан Турсунович Тохтахунов,알림잔 토흐타후노프
Катя Лель,카티아 엘
Татьяна Вениаминовна Веденеева,타티야나 베네데예바
Татьяна Ковылина,타티야나 코빌리나
Наталья Анненко,나탈리야 안넨코
Нонна Гришаева,논나 그리샤예바
Пётр Чернышёв,피터 체르니쇼프
"Рязанский, Сергей Николаевич",세르게이 랴잔스키
Баста,바스타
Мария Порошина,마리야 포로시나
Мария Изольдовна Зверева,마리야 즈베레바
Сергей Захаров,세르게이 자카로프
Марина Вячеславовна Зудина,마리나 주디나
"Трухно, Вячеслав Леонидович",뱌체슬라프 트루흐노
Алёна Апина,알레 나 아피나
Ольга Серябкина,올가 세럅키나
Владимир Лем,블라디미르 렘
Араз Агаларов,아라스 아갈라로프
"Мартюшева, Анастасия Васильевна",아나스타시야 마르튜셰바
Владимир Юрьевич Антюфеев,블라디미르 안튜페예프
Таир Мамедов,타이르 마메도프
Вадим Николаевич Красносельский,바딤 크라스노셀스키
"Максимов, Владимир Салманович",블라디미르 막시모프
"Апарина, Алевтина Викторовна",알렙티나 아파리나
Ирина Апексимова,이리나 아펙시모바
Оксана Охлобыстина,옥사나 아르부조바
Лок Дог,LOC-개
Олег Александрович Шатов,올레크 샤토프
Анатолий Иванович Антонов,아나톨리 안토노프
Оксана Александровна Почепа,옥사나 포셰파
"Исакова, Наталья Леонидовна",나탈리야 이사코바
Наталия Гусева,나탈리야 무라시케비치
Владимир Евгеньевич Фортов,블라디미르 포르토프
Михаил Викторович Ардов,미하일 아르도프
Борис Викторович Ардов,보리스 아르도프
Анна Борисовна Ардова,안나 아르도바
"Голодец, Ольга Юрьевна",올가 골로데츠
"Энберт, Александр Юрьевич",알렉산드르 옌베르트
"Бучневич, Павел Андреевич",파벨 뷰 니 비치
"Абдусаламов, Магомед Магомедгаджиевич",마고메트 아브두살라모프
Вячеслав Зарлыканович Дусмухаметов,비야체스라프 두스무카메모프
"Абальян, Борис Георгиевич",보리스 아발리얀
"Фаткулина, Ольга Александровна",올가 팟쿨리나
Загалав Абдулбекович Абдулбеков,자갈라프 압둘베코프
Александр Александрович Ведерников,알렉산드르 베데르니코프
"Абдулбасиров, Магомедтагир Меджидович",마고메타기르 아브둘바시로프
Елизавета Николаевна Арзамасова,리자 아르자마소바
Мира Валерьяновна Ардова,미라 아르도바
Анна Адольфовна Арланова,안나 알라노바
Татьяна Альбертовна Абрамова,타티야나 아브라모바
Павел Алексеевич Воля,파벨 볼랴
Ольга Альбертовна Арнтгольц,올가 아르곤
"Шерешевская, Рена Мидхат кызы",레나 셰레솁스카야
Виктор Антонович Садовничий,빅토르 사도브니치
Сергей Ервандович Кургинян,세르게이 쿠르기냔
"Иванова, Наталья Николаевна",나탈리야 이바노바
"Шелепень, Полина Сергеевна",폴리나 셸레펜
"Морозов, Станислав Александрович",스타니슬라우 모로조우
Михаил Анатольевич Кержаков,미하일 케르자코프
"Шляхтуров, Александр Васильевич",알렉산드르 실랴흐투로프
"Невзоров, Владимир Михайлович",블라디미르 네브조로프
Павел Григорьевич Шеремет,파벨 샤라메트
"Ещенко, Андрей Олегович",안드레이 예셴코
Анастасия Юрьевна Заворотнюк,아나스타샤 자 보라 토니 쿠
Лев Валерьянович Лещенко,레프 레셴코
Георгий Борисович Габулов,게오르기 가불로프
"Елистратов, Семён Андреевич",세묜 옐리스트라토프
Рената Муратовна Литвинова,레나타 리트비노바
Сергей Леонидович Гармаш,세르게이 가마시
Василий Семёнович Лановой,바실리 라노보이
"Авилов, Виктор Васильевич",빅토르 아빌로프
Павел Артемьевич Артемьев,파벨 아르테 예프
"Агашков, Сергей Николаевич",세르게이 아가시코프
Валерий Меладзе,발레리 멜라 제
"Арцыбышева, Екатерина Николаевна",예카테리나 아르치비셰바
Александр Владимирович Мартынович,알략산드르 마르티노비치
"Корабельников, Валентин Владимирович",발렌틴 코라벨니코프
Александр Петрович Баркашов,알렉산드르 바르카쇼프
Сергей Светлаков,세르게이 스베틀라코프
Сергей Дворцевой,세르게이 드보르체보이
Роман Романович Качанов,로만 카차노프
Ляйсан Альбертовна Утяшева,랴이산 우탸셰바
Елена Олеговна Серова,옐레나 세로바
"Зива, Владимир Петрович",블라디미르 지바
Полина Владимировна Агуреева,폴리나 아구레예바
Сергей Викторович Пугачёв,세르게이 푸가치요프
Сергей Александрович Орджоникидзе,세르게이 오르조니키제
Виктор Михайлович Калашников,빅토르 칼라시니코프
Владимир Иванович Хотиненко,블라디미르 호티넨코
Евгений Иванович Шапошников,예브게니 샤포시니코프
"Ходьков, Олег Викторович",올레크 호디코프
"Сукосян, Павел Алексеевич",파벨 수코샨
"Баскова, Светлана Юрьевна",스베틀라나 바스코바
"Агеевец, Владимир Ульянович",블라디미르 아게예베츠
"Караев, Алан Таймуразович",알란 카라예프
"Уфимцев, Пётр Яковлевич",표트르 우핌체프
Валентин Георгиевич Смирнитский,발렌틴 스미르니츠키
Пётр Олегович Авен,페트르 아벤
Екатерина Константиновна Гусева,예카테리나 구세바
"Кокорев, Борис Борисович",보리스 코코레프
Татьяна Тихоновна Гринденко,타티야나 그린덴코
Татьяна Борисовна Найник,타티아나 나이닉
Даниил Олегович Трифонов,다닐 트리프노프
Андрей Пионтковский,안드레이 피온트콥스키
Игорь Владимирович Старыгин,이고리 스타리긴
Хабиб Абдулманапович Нурмагомедов,하비프 누르마고메도프
Александр Сергеевич Асташёнок,알렉산드르 아스타시 요크
Виктор Александрович Соснора,빅토르 소스노라
"Улюкаев, Алексей Валентинович",알렉세이 울류카예프
Дина Фагимовна Гарипова,디나 가리포바
"Купченко, Ирина Петровна",이리나 쿱첸코
"Сигалевич, Валерий Львович",발레리 시갈레비치
"Илюхина, Екатерина Сергеевна",예카테리나 일류히나
"Нифонтов, Иван Витальевич",이반 니폰토프
Сабина Гюльбалаевна Ахмедова,사비나 아흐메도바
Берл Лазар,베를 라자르
Анатолий Ильич Бибилов,아나톨리 비빌로프
"Айвазов, Имран  Мусейбович",알렉산드르 아이바조프
Елена Игоревна Проклова,옐레나 프로클로바
Мирослава Олеговна Карпович,미로슬라바 카르포비치
Владимир Мединский,블라디미르 메딘스키
Юлия Викторовна Снигирь,율리아 스니기르
Александр Владимирович Сластин,알렉산드르 슬라스틴
"Козлова, Мария Владимировна",마리야 코즐로바
Владимир Яглыч,블라디미르 야글리크
Владимир Петрович Заманский,볼로디미르 자만스키
Игорь Станиславович Ашманов,이고리 아시마노프
Ашурков Владимир Львович,블라디미르 아슈르코프
"Таянович, Вениамин Игоревич",베니아민 타야노비치
"Овчинников, Сергей Анатольевич",세르게이 옵친니코프
Алексей Китаев,알렉세이 키타예프
"Лоза, Евгения Фёдоровна",이브기니야 로자
Алёна Олеговна Бабенко,알료나 바벤코
Кристина Константиновна Бабушкина,크리스티나 바부시키나
Валерия Львовна Кудрявцева,발레리아 쿠드 랴브 세바
Екатерина Валерьевна Редникова,예카테리나 레드니코바
"Соболев, Алексей Александрович",알렉세이 소볼레프
Анна Александровна Азарова,안나 아자 로바
Екатерина Щёкина,카탸 쇼키나
Александр Александрович Мисуркин,알렉산드르 미수르킨
Надежда Георгиевна Бабкина,나데즈다 밥키나
Андрей Вадимович Макаревич,안드레이 마카레비치
Игнатий Романович Акрачков,이그나트 아카크코브
Мэджик,매직
Екатерина Александровна Климова,예카테리나 클리모바
Шамиль Анвярович Тарпищев,샤밀 타르피셰프
"Бадалов, Карэн Карлосович",카렌 바달로프
Александр Лукин,알렉산드르 루킨
Самуил Иосифович Алёшин,사무일 알료신
Борис Александрович Покровский,보리스 포크 로브 스키
Марина Андреевна Александрова,마리나 알렉산드로바
"Алдонин, Сергей Эдуардович",세르게이 알도닌
Алексей Игоревич Хованский,알렉세이 코반스키
"Подкользин, Павел Николаевич",파벨 폿콜진
Сергей Петрович Новиков,세르게이 노비코프
Олег Георгиевич Газенко,올레크 가젠코
Екатерина Бычкова,예카테리나 비치코바
"Михайлин, Александр Вячеславович",알렉산드르 미하일린
"Барабаш, Алексей Игоревич",알렉세이 바라바시
"Кованова, Баира Сергеевна",바이라 코바노바
Анна Борисовна Банщикова,안나 반쉬치코바
"Жевнов, Юрий Владимирович",유리 제브노프
"Яковлев, Павел Владимирович",파벨 야코블레프
Анна Сергеевна Вьялицына,앤 비알리치나
Станислав Валерьевич Барецкий,스타니슬라프 바레츠키
"Баржанова, Маргарита Валерьевна",마르가리타 바르자노바
Красная звезда,레드 스타
Иван Драго,이반 드라고
Ирина Александровна Винер-Усманова,이리나 비네르
Сергей Геннадьевич Алифиренко,세르게이 알리피렌코
"Павлов, Юрий Викторович",유리 파블로프
Фёдор Васильевич Кудряшов,표도르 쿠드랴쇼프
Владислав Николаевич Радимов,블라디슬라프 라디모프
Симон Набатов,사이먼 나바토프
Алексей Геннадьевич Гуськов,알렉세이 구스코프
Инна Зобова,인나 조보바
Семён Соломонович Герштейн,세묜 게르시테인
"Геутваль, Клавдия Ивановна",클라브디야 게우트발
"Космачёва, Татьяна Владимировна",타티아나 코스마체바
Андрей Сергеевич Болдыков,안드레이 볼디코프
Тёмная звезда,다크스타
Фёдор Сергеевич Бондарчук,표도르 본다르추크
"Коробейникова, Лариса Викторовна",라리사 코로베이니코바
"Мантуров, Денис Валентинович",데니스 만투로프
"Барковский, Сергей Дмитриевич",세르게이 바르코브스키
"Карданов, Мурат Наусбиевич",무라트 카르다노프
Алексей Сергеевич Ионов,알렉세이 이오노프
Алла Давидовна Балтер,알라 발터
"Динерштейн, Александр Григорьевич",알렉산드르 디네르시테인
"Бархатов, Василий Алексеевич",바실리 바르하토프
Анастасия Баранова,아나스타샤 바라 노바
"Бочаров, Никита Владимирович",니키타 보차로프
Алексей Чадов,알렉세이 차도프
Юрий Антонов,유리 안토노프
Владимир Наумович Наумов,블라디미르 나우모프
Тимур Тахирович Батрутдинов,티무르 바트루트디노프
Сергей Станиславович Говорухин,세르게이 고보루힌
Александр Владимирович Дворников,알렉산드르 드보르니코프
Максим Эммануилович Виторган,막심 비토르간
Сергей Витальевич Глушко,세르게이 글루 시코
Алексей Сергеевич Глызин,알렉세이 글린
Дато Бахтадзе,다토 박타드제
"Брулетова, Любовь Александровна",류보비 브룰레토바
Геннадий Николаевич Бачинский,겐나디 바친스키
Василий Васильевич Головачёв,바실리 골로바초프
Михаил Делягин,미하일 델랴긴
"Гозева, Оксана Александровна",옥사나 고제바
Борис Лазаревич Вишневский,보리스 비시넵스키
"Девотченко, Алексей Валерьевич",알렉세이 데보첸코
"Брызгалов, Сергей Владимирович",세르게이 브리즈갈로프
Елена Андреевна Брызгунова,옐레나 브리즈구노바
Влад Сташевский,블라드 스타 셰프 스키
Андрей Иванович Денисов,안드레이 데니소프
Ольга Игоревна Бузова,올가 부 조바
Джиган,지간
Александр Николаевич Баширов,알렉산드르 바시로프
Михаил Башкатов,미하일 바쉬카토프
"Беленькая, Майя Петровна",마리야 벨렌카야
"Внуков, Константин Васильевич",콘스탄틴 브누코프
Ангелина Вовк,안겔리나 봅크
"Бубнов, Степан Кузьмич",스테판 부브노프
Александр Юрьевич Дрозденко,알렉산드르 드로즈덴코
"Букловская, Анна Викторовна",안나 부클롭스카야
Леонид Михайлович Волков,레오니트 볼코프
Олег Михайлович Бударгин,올레크 부다르긴
"Белов, Константин Петрович",콘스탄틴 벨로프
Сергей Юрьевич Белоконев,세르게이 벨로코네프
"Диденко, Николай Наумович",니콜라이 나우모프
"Войтинский, Александр Сергеевич",알렉산드르 보이틴스키
Анастасия Валентиновна Вознесенская,아나스타시야 보즈네센스카야
Дмитриев Кирилл Александрович,키릴 드미트리예프
Алина Леонидовна Булынко,알리나 부린코
Ольга Владимировна Волкова,올가 볼코바
Анатолий Александрович Белый,아나톨리 벨리
"Воронин, Александр Никифорович",알렉산드르 보로닌
Женя Белоусов,제냐 벨루 소프
Антонина Ивановна Дмитриева,안토니나 이바노프나 드미트리예바
Наталья Олеговна Бурмистрова,나탈리야 부르미스트로바
"Воробьёв, Михаил Васильевич",미하일 보로비요프
"Бурунов, Сергей Вандалович",세르게이 부루노프
Оксана Генриховна Дмитриева,옥사나 드미트리예바
Виктор Фёдорович Добронравов,빅토르 도브론라보프
"Бурдонский, Александр Васильевич",알렉산드르 부르돈스키
Алла Александровна Довлатова,알라 도브 라토 바
Владимир Абрамович Долинский,블라디미르 돌린스키
Юрий Викторович Беляев,유리 베리야예
"Горшкова, Анна Андреевна",안나 고르 스 코바
Роман Доброхотов,로만 도브로호토프
Александра Горячкина,알렉산드라 고랴치키나
"Градова, Екатерина Георгиевна",예카테리나 그레도바
Дмитрий Анатольевич Быковский,드미트리 비코프스키 - 로마샤프
Алёна Высотская,알레나 입스카야
"Дорожкин, Михаил Анатольевич",미하일도 로진
Доминик Джокер,도미닉 조커
Леван Габриадзе,레반 가브리 아기
"Граф, Ольга Борисовна",올가 그라프
Юлия Беретта,율리야 베레타
Андрей Александрович Бирин,안드레이 비린
Марюс Вайсберг,마리우스 발추나스
Елена Григорьевна Драпеко,옐레나 드라페코
Мария Берсенева,마리야 베르시네바
Михаил Гребенщиков,미하일 그레벤슈치코프
Алиса Борисовна Гребенщикова,알리사 그레벤슈치코바
Полина Гагарина,폴리나 가가리나
Андрей Григорьев-Апполонов,안드레이 그리 고프 - 아폴로 노프
Ваканохо Тосинори,와카노호 도시노리
Эвелина Висвалдисовна Блёданс,에블리나 블로던스
"Валюшкина, Елена Викторовна",엘레나 발류시키나
Станислав Дужников,스타니슬라프 두즈니코프
"Гришко, Валерий Викторович",발레리 글리시코
Борис Сергеевич Галкин,보리스 갈킨
Ярослав Михайлович Блантер,야로슬라프 블란테르
Олег Алексеевич Гриневский,올레크 그리넵스키
"Дьяконов, Евгений Георгиевич",예브게니 디야코노프
Анна Владимировна Дыбо,안나 디보
Ирина Викторовна Дубцова,이리나 두트 소바
Максим Исаакович Дунаевский,막심두 나이예프스키
"Громова, Жанна Фёдоровна",잔나 그로모바
Наталья Валерьевна Громушкина,나탈리아 그로무스키 나
"Галкин, Александр Абрамович",알렉산드르 갈킨
Владимир Абдуалиевич Васильев,블라디미르 바실리예프
Пётр Дмитриевич Грушин,피터 그루신
Маргарита Гаспарян,마르가리타 가스파랸
Михаил Николаевич Боголюбов,미하일 보골류보프
Алина Дунаевская,알리나 두나에프스카야
"Богатова, Галина Александровна",갈리나 보가토바
Лада Дэнс,라다 댄스
"Ганелин, Евгений Рафаилович",예브게니 가넬린
Игорь Вдовин,이고리 브도빈
Татьяна Григорьевна Васильева,타티야나 바실리예바
Дмитрий Геннадьевич Гудков,드미트리 굿코프
"Евтушенко, Юрий Гаврилович",유리 옙투셴코
Жанна Андреевна Болотова,잔나 볼로토바
Наталия Гулькина,나탈리야 굴 키나
Елена Сергеевна Великанова,옐레나 벨리 카노 바
Сергей Маратович Гуриев,세르게이 구리예프
Виталий Дёмочка,비탈리 됴모치카
"Дёмушкин, Дмитрий Николаевич",드미트리 됴무시킨
Алексей Сергеевич Вертков,알렉세이 베르트코프
Андрей Николаевич Болтнев,안드레이 볼트네프
Мария Андреевна Болтнева,마리야 볼트네바
Екатерина Болдышева,카테리나 볼드 체바
Аристарх Викторович Венес,아리스타르흐 베네스
"Венгеров, Геннадий Аронович",게 나디 벵 게 노브
"Бондарев, Виктор Николаевич",빅토르 본다레프
"Емельянов, Владимир Владимирович",블라디미르 예멜리야노프
"Емельянов, Кирилл Леонидович",키릴 엠리야노프
Дарья Николаевна Екамасова,다리야 예카마소바
Лия Бондарко,리야 본다르코
"Великов, Николай Матвеевич",니콜라이 벨리코프
"Жилкин, Роман Анатольевич",로만 질킨
"Жильцова, Светлана Алексеевна",스베틀라나 질초바
"Жигарев, Сергей Александрович",세르게이 지가레프
Игорь Верник,이고리 베르니크
Наталья Игоревна Ветлицкая,나탈리아 베 틀리 스카 야
Владимир Георгиевич Епифанцев,블라디미르 예피판체프
"Гусейн-Заде, Сабир Меджидович",사비르 구세인자데
"Глазовская, Мария Альфредовна",마리야 글라좁스카야
Ирина Забияка,이리나 자 비야 카
"Данилова, Елена Юрьевна",옐레나 다닐로바
Наталья Еприкян,나탈리야 예프리캰
"Ерёмин, Олег Адольфович",올레그 에레민
"Житомирская, Сарра Владимировна",사라 지토미르스카야
Илья Ильич Глинников,일리아 글린코코프
Дарья Александровна Жукова,다샤 주코바
"Жуковская, Лидия Петровна",리디야 주콥스카야
"Дашук-Нигматулин, Саид Талгатович",사이드 다슈크-니그마투린
Екатерина Николаевна Двигубская,예카테리나 드비굽스카야
Никита Михайлович Ефремов,니키타 에프 레 모프
Ирина Ортман,이리나 오트 만
"Журбин, Александр Борисович",알렉산더 주빈
Виктория Евгеньевна Исакова,빅토리야 이사코바
"Дарьялова, Наталья Аркадьевна",나탈리야 다리얄로바
Павел Есенин,파벨 예 센
Равиль Исьянов,레이빌 이시아노브
"Каримов, Роман Леонидович",로마 카리모프
"Каган, Моисей Самойлович",모이세이 카간
