Paris,パリ
Nouvelle cuisine,ヌーベルキュイジーヌ
Paris Match,パリ・マッチ
Saint-Savin (Vienne),サン＝サヴァン
Arrondissement de Chalon-sur-Saône,シャロン＝シュル＝ソーヌ郡
Gare de Nice-Ville,ニース駅
Ria-Sirach,リア＝シラック
Équipe du Pays basque de football,サッカーバスク代表
Route européenne 62,E62号線
Saint-Gobain,サンゴバン
Herbignac,エルビニャック
Mont Dolent,モンドラン
Canton de Gamaches,ガマシュ小郡
Tour de France 1999,ツール・ド・フランス1999
Supercoupe de l'UEFA 1996,1996・UEFAスーパーカップ
Pornic,ポルニック
LGV Méditerranée,LGV地中海線
Maquis (résistance),マキ・(抵抗運動)
Montjoie-en-Couserans,モンジョワ＝アン＝クズラン
Confédération internationale des sociétés d'auteurs et compositeurs,著作権協会国際連合
Nouvelles-Hébrides (condominium),共同統治領ニューヘブリディーズ
Championnat de France de football 2002-2003,リーグ・アン2002-2003
Salon d'Automne,サロン・ドートンヌ
Équipe de Martinique de football,サッカーマルティニーク代表
Avessac,アヴェサック
Saugues,ソーグ
Château de Vaux-le-Vicomte,ヴォー＝ル＝ヴィコント城
Juliénas,ジュリエナ
Saint-Macaire-en-Mauges,サン＝マケール＝アン＝モージュ
Saint-Cyprien (Pyrénées-Orientales),サン＝シプリアン・(ピレネー＝オリアンタル県)
Arrondissements de Paris,パリの行政区
Football aux Jeux olympiques de 1900,1900年パリオリンピックのサッカー競技
Woincourt,ヴォアンクール
Château-Chalon,シャトー＝シャロン
Maisoncelles-Pelvey,メゾンセル＝ペルヴェ
Élections législatives françaises de 2007,2007年フランス議会総選挙
Vierville-sur-Mer,ヴィエルヴィル＝シュル＝メール
Les Ponts-de-Cé,レ・ポン＝ド＝セ
Beaupréau,ボープレオ
Brinon-sur-Beuvron,ブリノン＝シュル＝ブーヴロン
Firfol,フィルフォル
Tour de Romandie 2010,ツール・ド・ロマンディ2010
Marsac-sur-Don,マルサック＝シュル＝ドン
Tuileries (métro de Paris),テュイルリー駅
Arrondissement de Nice,ニース郡
Beaujeu (Rhône),ボジュー・(ローヌ県)
Traité de Paris (1814),パリ条約・(1814年)
Assemblée nationale (métro de Paris),アサンブレ・ナシオナル駅
Pariser Kanonen,パリ砲
Saint-Philbert-des-Champs,サン＝フィルベール＝デ＝シャン
Roissy-en-France,ロワシー＝アン＝フランス
EDHEC Business School,EDHEC経営大学院
Notre-Dame de Paris (comédie musicale),ノートルダム・ド・パリ・(ミュージカル)
Saint-Chély-d'Aubrac,サン＝シェリ＝ドブラック
Ledru-Rollin (métro de Paris),ルドリュ＝ロラン駅
Gallicanisme,ガリカニスム
Autorité européenne des marchés financiers,欧州証券市場監督局
Dailymotion,Dailymotion
Simple messieurs des Internationaux de France 2009,2009年全仏オープン男子シングルス
Giromagny,ジロマニー
Moulins-Saint-Hubert,ムーラン＝サンテュベール
Oudon,ウドン・(ロワール＝アトランティック県)
Conseil d'État (France),国務院・(フランス)
Grande-Synthe,グランド＝シント
Nanteuil-le-Haudouin,ナントゥイユ＝ル＝オドゥアン
Hockey sur glace aux Jeux olympiques de 1924,1924年シャモニー・モンブランオリンピックのアイスホッケー競技
Vaugirard (métro de Paris),ヴォージラール駅
Hockey sur glace aux Jeux olympiques de 1992,1992年アルベールビルオリンピックのアイスホッケー競技
Stade aurillacois Cantal Auvergne,スタッド・オーリヤコワ・カンタル・オーヴェルニュ
Patinage artistique aux Jeux olympiques de 1924,1924年シャモニー・モンブランオリンピックのフィギュアスケート競技
Tour de France 1974,ツール・ド・フランス1974
Main Street Vehicles,メインストリート・ヴィークル
Stade départemental Yves-du-Manoir,スタッド・デパルトモンタル・イヴ＝デュ＝マノワール
Internationaux de France de tennis 2012,2012年全仏オープン
Water-polo aux Jeux olympiques de 1900,1900年パリオリンピックの水球競技
Durance,デュランス川
Gaullisme,ド・ゴール主義
Exposition universelle de 1900,パリ万国博覧会・(1900年)
Moliets-et-Maa,モリエ＝エ＝マー
Ligne A du RER d'Île-de-France,RER・A線
Bassin parisien,パリ盆地
Tour de France 1989,ツール・ド・フランス1989
Tour de France 1991,ツール・ド・フランス1991
Via Aurelia,アウレリア街道
Stade rochelais,スタッド・ロシュレ
Prix Renaudot,ルノードー賞
Pauillac (AOC),ポーイヤックAOC
Villeneuve-lès-Maguelone,ヴィルヌーヴ＝レ＝マグローヌ
Traité naval de Londres,ロンドン海軍軍縮会議
Maine (affluent de la Loire),メーヌ川
Aviron aux Jeux olympiques de 1900,1900年パリオリンピックのボート競技
Gare de Paris-Est,パリ東駅
La Chapelle-sur-Erdre,ラ・シャペル＝シュル＝エルドル
Choiseul (Haute-Marne),ショワズール・(オート＝マルヌ県)
Tour de France 1926,ツール・ド・フランス1926
Charolais (pays),シャロレー
Croix-de-Feu,クロア・ド・フー
Assemblée des notables,名士会
Route européenne 44,E44号線
Aubrac,オーブラック
Prato-di-Giovellina,プラト＝ディ＝ジョヴェリーナ
Internationaux de France de tennis 1963,1963年全仏選手権・(テニス)
France aux Jeux olympiques,オリンピックのフランス選手団
Pentathlon moderne aux Jeux olympiques d'été de 1924,1924年パリオリンピックの近代五種競技
Givenchy,ジバンシィ
Aubervilliers - Pantin - Quatre Chemins (métro de Paris),オーベルヴィリエ＝パンタン＝キャトル・シュマン駅
Atos,アトス・(企業)
Massacre d'Ascq,アスクの虐殺
Simple messieurs des Internationaux de France 2011,2011年全仏オープン男子シングルス
Championnat de France de football 1950-1951,ディヴィジオン・ナシヨナル1950-1951
Camp de Gurs,ギュルス収容所
Siège de Toulon (1707),トゥーロン包囲戦・(1707年)
Manifeste de Brunswick,ブラウンシュヴァイクの宣言
Nougatine,ブリトル
Tour de France 1997,ツール・ド・フランス1997
Rangiroa,ランギロア環礁
Utah Beach,ユタ・ビーチ
Tour de France 1955,ツール・ド・フランス1955
Mantes-la-Ville,マント＝ラ＝ヴィル
Arts et Métiers (métro de Paris),アール・ゼ・メティエ駅
Bourg (Gironde),ブール・(ジロンド県)
Institut national du football de Clairefontaine,クレールフォンテーヌ国立研究所
Musée Picasso (Paris),ピカソ美術館・(パリ)
Sauternes (AOC),ソーテルヌ・(ワイン)
Stade lavallois Mayenne Football Club,スタッド・ラヴァル
Drôme (rivière),ドローム川
Facel Vega,ファセル
Les Verts (France),緑の党・(フランス)
Veolia Eau,ヴェオリア・ウォーター
Ordre des Palmes académiques,教育功労章
Brocciu,ブロッチュ
Jeu parti,パルティマン
Charcé-Saint-Ellier-sur-Aubance,シャルセ＝サンテリエ＝シュル＝オバンス
Arthon-en-Retz,アルトン＝アン＝レ
Ordre des Arts et des Lettres,芸術文化勲章
Pontault-Combault,ポントー＝コンボー
Siège de Valenciennes (1656),ヴァランシエンヌの戦い・(1656年)
Objat,オブジャ
Allianz Trade,ユーラーヘルメス信用保険会社
Association internationale du film d'animation,国際アニメーション映画協会
Aven (fleuve),アヴェン川
Ministère de l'Europe et des Affaires étrangères,外務省・(フランス)
Championnat de France de football 1958-1959,ディヴィジオン・ナシヨナル1958-1959
Madiran,マディラン
Tour de France 1979,ツール・ド・フランス1979
Louveciennes,ルーヴシエンヌ
Grimaud (Var),グリモー
Ablancourt,アブランクール
Avidemux,Avidemux
Aviation légère de l'Armée de terre,陸軍軽航空司令部・(フランス陸軍)
Le Temple (Gironde),ル・タンプル・(ジロンド県)
Saint-Rémy-lès-Chevreuse,サン＝レミ＝レ＝シュヴルーズ
Pelote basque aux Jeux olympiques,1900年パリオリンピックのバスクペロタ競技
Tour d'Italie 1910,ジロ・デ・イタリア・1910
Fronton (Haute-Garonne),フロントン
Aviron bayonnais Football Club,アヴィロン・バイヨンヌFC・(サッカー)
Avis (entreprise),エイビスレンタカー
Internationaux de France de tennis 1973,1973年全仏オープン
Maison de La Trémoille,ラ・トレモイユ家
Avrillé (Maine-et-Loire),アヴリレ
Axe historique de Paris,パリの歴史軸
Oulipo,ウリポ
Groupe ADP,ADPグループ
Biathlon aux Jeux olympiques de 1992,1992年アルベールビルオリンピックのバイアスロン競技
Aérotrain,アエロトラン
Sud-Aviation SA321 Super Frelon,SA・321・(航空機)
Gymnastique aux Jeux olympiques d'été de 1924,1924年パリオリンピックの体操競技
Cathédrale Notre-Dame de Strasbourg,ストラスブール大聖堂
Istres Football Club,FCイストル
Bravia,ブラビア
BYG Records,BYGレコード
Colonie du Dahomey,フランス領ダホメ
Guinée française,フランス領ギニア
Simple dames des Internationaux de France 2006,2006年全仏オープン女子シングルス
Saint-Paul-de-Salers,サン＝ポール＝ド＝サレール
Biathlon aux Jeux olympiques de 1968,1968年グルノーブルオリンピックのバイアスロン競技
Aéroport international Félix-Éboué,カイエンヌ・フェリックス・エブエ国際空港
Arsenal de Brest,ブレスト海軍工廠
Saint-Placide (métro de Paris),サン＝プラシッド駅
Prix Apollo,アポロ賞
Église catholique en France,フランスのカトリック
Aiglun (Alpes-Maritimes),エグラン・(アルプ＝マリティーム県)
Safran Aircraft Engines,スネクマ
Bic (entreprise),ビック・(フランス企業)
Paulhac-en-Margeride,ポーラック＝アン＝マルジュリド
Saint-Symphorien (Sarthe),サン＝サンフォリアン・(サルト県)
Luzenac Ariège Pyrénées,リュゼナックAP
Ligne de Saint-Gervais-les-Bains-Le Fayet à Vallorcine (frontière),コル・デ・モンテ線
Bataille d'Aix,アクアエ・セクスティアエの戦い
Bibliothèque Mazarine,マザラン図書館
VAL 208,VAL・208
Championnats du monde de VTT marathon 2012,世界選手権自転車競技大会マウンテンバイクマラソン2012
Baccalauréat en France,バカロレア・(フランス)
Babolat,バボラ
Poissonnière (métro de Paris),ポワソニエール駅
Championnats du monde de badminton 2010,2010年世界バドミントン選手権大会
La Berrichonne de Châteauroux,LBシャトールー
Montparnasse - Bienvenüe (métro de Paris),モンパルナス＝ビヤンヴニュ駅
Angers Sporting Club de l'Ouest,アンジェSCO
Juno Beach,ジュノー・ビーチ
Montrevault,モントルヴォー
Colomars,コロマール
Gare d'Aix-en-Provence TGV,エクス＝アン＝プロヴァンスTGV駅
Gare de Bordeaux-Saint-Jean,ボルドー＝サン＝ジャン駅
Gare d'Auber,オーベール駅
Gare de l'aéroport Charles-de-Gaulle 2 TGV,シャルル・ド・ゴール空港第2TGV駅
Gare de Châtelet - Les Halles,シャトレ-レ・アル駅
Gare de Champagne-Ardenne TGV,シャンパーニュ＝アルデンヌTGV駅
Gare du Champ de Mars - Tour Eiffel,シャン・ド・マルス＝トゥール・エッフェル駅
Gare de Calais - Fréthun,カレー・フレタン駅
Charles de Gaulle - Étoile (métro de Paris),シャルル・ド・ゴール＝エトワール駅
Gare d'Haussmann - Saint-Lazare,オスマンサンラザール
Gare du Creusot TGV,クルーゾTGV駅
Gare de Denfert-Rochereau,ダンフェール＝ロシュロー駅
Gare de Lille-Flandres,リール＝フランドル駅
Gare de Lille-Europe,リール・ユーロップ駅
Chiroubles (Rhône),シルーブル
Parc Walt Disney Studios,ウォルト・ディズニー・スタジオ・パーク
Caméra d'or,カメラ・ドール
Gare de Strasbourg-Ville,ストラスブール駅
Gare de Saint-Michel - Notre-Dame,サン＝ミッシェル＝ノートルダム駅
Constitution française du 4 octobre 1958,フランス共和国憲法
DécaNation,デカネーション
Internationaux de France de tennis 2005,2005年全仏オープン
Gare de Massy - Palaiseau,マッシー・パレゾー駅
Gare de Massy TGV,マッシーTGV駅
Gare de Marne-la-Vallée - Chessy,マルヌ＝ラ＝ヴァレ＝シェシー駅
Gare de Lyon-Saint-Exupéry TGV,リヨン・サン＝テグジュペリTGV駅
Bobsleigh aux Jeux olympiques de 1968,1968年グルノーブルオリンピックのボブスレー競技
Bobsleigh aux Jeux olympiques de 1992,1992年アルベールビルオリンピックのボブスレー競技
Coupe du monde de cyclisme sur piste 2010-2011,UCIトラックワールドカップ2010-2011
Gare TGV Haute-Picardie,TGVオート・ピカルディ駅
Ligne de Marseille-Saint-Charles à Vintimille (frontière),マルセイユ・ヴェンティミーリア線
Ligne de Metz-Ville à Zoufftgen,メス・-・ズーフゲン線
Le Petit-Bornand-les-Glières,ル・プティ＝ボルナン＝レ＝グリエール
Seyssel (Haute-Savoie),セセル・(オート＝サヴォワ県)
Calvinet,カルヴィネ
Ligne de Saint-Étienne à Andrézieux,サン＝テティエンヌ-アンドレジュー鉄道
Ligne de Strasbourg à Lauterbourg,ストラスブール・-・ローテルブール線
Ligne de Réding à Metz-Ville,レダン・-・メス線
Ligne de Creil à Jeumont,クレイユ-ジュモン線
Bal des ardents,燃える人の舞踏会
Prix de l'Équerre d'argent,銀の定規賞
Ballet de l'Opéra national de Paris,パリ・オペラ座バレエ
Salle du Jeu de paume,球戯場
Fortifications de Vauban inscrites à l'Unesco,ヴォーバンの防衛施設群
Corbon (Calvados),コルボン・(カルヴァドス県)
Groupe Louis-Dreyfus,ルイ・ドレフュス
Tour de France 1984,ツール・ド・フランス1984
Cyclisme aux Jeux olympiques de 1900,1900年パリオリンピックの自転車競技
Tour de France 1998,ツール・ド・フランス1998
Chantiers de l'Atlantique,アトランティーク造船所
Hex'air,エグゼール
International Space University,国際宇宙大学
Ballon d'or 2008,2008年のバロンドール
Ballon d'or 2007,2007年のバロンドール
Patrimonio,パトリモニオ
Conseil de Paris,パリ議会
2e régiment de hussards (France),第2驃騎兵連隊・(フランス軍)
Lhospitalet,ロスピタレ・(ロット県)
Ballon d'or 2009,2009年のバロンドール
Festival de Cannes 1977,第30回カンヌ国際映画祭
Université de Montpellier,モンペリエ大学
Bataille d'Orange,アラウシオの戦い
Glay (Doubs),グレ・(ドゥー県)
Castillon (Alpes-Maritimes),カスティヨン・(アルプ＝マリティーム県)
Scandale de Panama,パナマ運河疑獄
Arc (entreprise),アルク・インターナショナル
Alignements de Carnac,カルナック列石
Équipe cycliste Groupama-FDJ,グルパマ・FDJ
Château de Chantilly,シャンティイ城
Vignoble de la côte de Nuits,コート・ド・ニュイ
Grand Prix de Plouay 2008,GP西フランス・プルエー2008
Tour de France 2000,ツール・ド・フランス2000
Banque de France,フランス銀行
BPCE,BPCE
Maincy,マンシー・(フランス)
Internationaux de France de tennis 1928,1928年全仏選手権・(テニス)
Tour de France 1978,ツール・ド・フランス1978
Europe (métro de Paris),ウロップ駅
Mervent,メルヴァン
Université du Mans,ル・マン大学
Institut Confucius,孔子学院
Montpensier,モンパンシエ
Bréguet - Sabin (métro de Paris),ブレゲ＝サバン駅
Lamativie,ラマティヴィ
La Varenne (Maine-et-Loire),ラ・ヴァレンヌ・(メーヌ＝エ＝ロワール県)
Seiches-sur-le-Loir,セシュ＝シュル＝ル＝ロワール
Barrage de Malpasset,マルパッセダム
Marnay (Haute-Saône),マルネー・(オート＝ソーヌ県)
Bleu du Vercors-Sassenage,ブルー・デュ・ヴェルコール＝サスナージュ
1er régiment de hussards parachutistes,第1驃騎兵落下傘連隊
Caussols,コソル
Marie Claire,Marie・claire
Saint-Estève,サンテステーヴ
Lépin-le-Lac,レパン＝ル＝ラック
Dzaoudzi,ザウジ
Chasseneuil-du-Poitou,シャスヌイユ＝デュ＝ポワトゥー
Saint-Félix-Lauragais,サン＝フェリックス＝ロラゲ
Chambre des représentants (France),代議院・(百日天下)
Courmes,クルム・(アルプ＝マリティーム県)
Place de la Bastille,バスティーユ広場
Site archéologique d'Alésia,アレシア
Viaduc du Viaur,ヴィオール橋
Championnat d'Europe masculin de basket-ball 1951,1951年バスケットボール男子欧州選手権
Bourguignon (Doubs),ブルギニョン・(ドゥー県)
Ytrac,イトラック
Championnat d'Europe masculin de basket-ball 1999,1999年バスケットボール男子欧州選手権
Bastide (ville),バスティッド・(都市)
Bataclan,バタクラン・(劇場)
Championnats du monde de beach-volley 1999,1999年ビーチバレーボール世界選手権
Football Club Auch Gers,FCオーシュ・ジェール
Épinay-sur-Odon,エピネ＝シュル＝オドン
Gers (rivière),ジェール川
Maupiti,マウピティ島
Eutelsat,ユーテルサット
Nueil-les-Aubiers,ニュエイユ＝レゾビエ
Peyrat-le-Château,ペラ＝ル＝シャトー
France aux Jeux olympiques d'hiver de 1980,1980年レークプラシッドオリンピックのフランス選手団
Chambre de commerce internationale,国際商業会議所
Château Pichon Longueville Comtesse de Lalande,シャトー・ピション・ロングヴィル・コンテス・ドゥ・ラランド
Caisse des dépôts et consignations,預金供託金庫
Boucheron,ブシュロン
Siège de Meaux (1421-1422),モー包囲戦
LGV Paris - Londres par Amiens,LGVパリ-ロンドン線
Ligne nouvelle Provence Côte d'Azur,LGVプロヴァンス＝アルプ＝コート・ダジュール線
Tillières,ティリエール
Verteuil-sur-Charente,ヴェルトゥイユ＝シュル＝シャラント
Gassin,ガッサン
Stade de la Mosson,スタッド・ドゥ・ラ・モッソン
Siège de Paris (885-887),パリ包囲戦・(885年-886年)
Siège de Toulon (1793),トゥーロン攻囲戦
Pernod Ricard,ペルノ・リカール
Sommet du G7 de 1982,第8回先進国首脳会議
Brains,ブラン・(ナント郡)
Ansost,アンソスト
Marigny (Allier),マリニー・(アリエ県)
Saint-Maximin-la-Sainte-Baume,サン＝マクシマン＝ラ＝サント＝ボーム
Saint-Germain-le-Châtelet,サン＝ジェルマン＝ル＝シャトレ
Raiatea,ライアテア島
Grande école,グランゼコール
Simple messieurs des Internationaux de France 2006,2006年全仏オープン男子シングルス
Internationaux de France de tennis 2000,2000年全仏オープン
Internationaux de France de tennis 1999,1999年全仏オープン
Chartreuse (liqueur),シャルトリューズ
Festival de Cannes 1956,第9回カンヌ国際映画祭
Vignoble de Provence,プロヴァンスワイン
Vendémiaire,葡萄月
La Chapelle-Basse-Mer,ラ・シャペル＝バス＝メール
Tiffauges,ティフォージュ
Belle-Île-en-Mer,ベル＝イル＝アン＝メール
Brissac-Quincé,ブリサック＝カンセ
L'Équipe,レキップ
Simple messieurs des Internationaux de France 2010,2010年全仏オープン男子シングルス
Tour de France 1969,ツール・ド・フランス1969
Belleville (métro de Paris),ベルヴィル駅
Bellême,ベレーム
La Fourche (métro de Paris),ラ・フルシュ駅
Varengeville-sur-Mer,ヴァランジュヴィル＝シュル＝メール
Ceinture alpine,アルプス・ヒマラヤ造山帯
Beaufort (fromage),ボーフォール・(チーズ)
Savenay,サヴネ
Coyolles,コワイヨル
Saut à ski aux Jeux olympiques de 1924,1924年シャモニー・モンブランオリンピックのスキージャンプ競技
Championnat de France de football 1994-1995,ディヴィジオン・アン1994-1995
Tour de France 1964,ツール・ド・フランス1964
Tour de France 1933,ツール・ド・フランス1933
Paris-Nice 2011,パリ〜ニース2011
Plougrescant,プルグレスカン
Tour de France 1913,ツール・ド・フランス1913
Tour de France 1911,ツール・ド・フランス1911
Tour de France 1957,ツール・ド・フランス1957
CC 92000,イギリス国鉄92形電気機関車
Saint-Germain-des-Prés (métro de Paris),サン＝ジェルマン＝デ＝プレ駅
Curling aux Jeux olympiques de 1924,1924年シャモニー・モンブランオリンピックのカーリング競技
Boulevard périphérique de Paris,ペリフェリック
Brétigny-sur-Orge,ブレティニー＝シュル＝オルジュ
Beaumont-Hamel,ボーモンタメル
Commes,コム・(カルヴァドス県)
Soubise (Charente-Maritime),スービーズ
Norolles,ノロル
Tour de France 1922,ツール・ド・フランス1922
Tour de France 1950,ツール・ド・フランス1950
Tour de France 1951,ツール・ド・フランス1951
Fontaine (Isère),フォンテーヌ・(イゼール県)
Dammartin-les-Templiers,ダマルタン＝レ＝タンプリエ
Martigné-Briand,マルティニェ＝ブリアン
Amfreville (Calvados),アンフルヴィル・(カルヴァドス県)
Opio,オピオ
Valcanville,ヴァルカンヴィル
Périgord,ペリゴール
Beuchat International,ブッシャー・インターナショナル
Pouzauges,プゾージュ
École nationale supérieure de techniques avancées,国立先端技術学校
Patinage artistique aux Jeux olympiques de 1992,1992年アルベールビルオリンピックのフィギュアスケート競技
Saint-Ilpize,サンティルピズ
Malicorne (Allier),マリコルヌ
Bataille de Vouillé,ヴイエの戦い
Gouvernement provisoire de la République française,フランス共和国臨時政府
Le Luc,ル・リュック
Delahaye,ドライエ
Équipe unifiée aux Jeux olympiques d'hiver de 1992,1992年アルベールビルオリンピックのEUN選手団
Bataille de Tertry,テルトリーの戦い
Ergué-Gabéric,エルゲ＝ガベリック
Commissariat à l'énergie atomique et aux énergies alternatives,原子力・代替エネルギー庁
Erquy,エルキ
La Rotonde (brasserie),ラ・ロトンド
Anisy,アニジー
Beaumais,ボーメ
Water-polo aux Jeux olympiques d'été de 1924,1924年パリオリンピックの水球競技
Muséum national d'histoire naturelle,国立自然史博物館・(フランス)
Festival de Cannes 1946,第1回カンヌ国際映画祭
Tour de France 1921,ツール・ド・フランス1921
Bentley Speed 8,ベントレー・スピード8
Communautés de l'Arche (Jean Vanier),ラルシュ共同体
Talmont-Saint-Hilaire,タルモン＝サンティレール
Trois-Villes,トロワ＝ヴィル
Les Rousses,レ・ルース
Combiné nordique aux Jeux olympiques de 1968,1968年グルノーブルオリンピックのノルディック複合競技
Internationaux de France de tennis 2001,2001年全仏オープン
Grande-Rivière (Jura),グランド＝リヴィエール
Montreuil-Bellay,モントルイユ＝ベレ
La Chapelle-du-Genêt,ラ・シャペル＝デュ＝ジュネ
Tour horloge,時計台
Saint-Affrique,サンタフリク
Campandré-Valcongrain,カンパンドレ＝ヴァルコングラン
Automobile Club de l'Ouest,フランス西部自動車クラブ
Hommell (entreprise),ホメル・(自動車)
Nort-sur-Erdre,ノール＝シュル＝エルドル
Saint-Gilles-Croix-de-Vie,サン＝ジル＝クロワ＝ド＝ヴィ
Mouriez,ムーリエ
Chablais,シャブレー
Stade Bollaert-Delelis,スタッド・フェリックス・ボラール
Mandriva,Mandriva
Baccarat (cristallerie),バカラ・(ガラス)
Saint-Maurice-Navacelles,サン＝モーリス＝ナヴァセル
Grenoble École de management,Grenoble・ecole・de・management
5e méridien est,東経5度線
Autoroute A12 (France),オートルート・A12
Autorité de sûreté nucléaire,原子力安全局
Autoroute A13 (France),オートルート・A13
Autoroute A11 (France),オートルート・A11
Autoroute A10 (France),オートルート・A10
Sées,セー・(オルヌ県)
Autoroute A50 (France),オートルート・A50
Autoroute A5 (France),オートルート・A5
Autoroute A3 (France),オートルート・A3
Tancarville,タンカルヴィル
Gave de Pau,ポー川・(フランス)
Centre CEA de Cadarache,カダラッシュ
Internationaux de France de tennis 1996,1996年全仏オープン
Internationaux de France de tennis 1997,1997年全仏オープン
Biarritz olympique Pays basque,ビアリッツ・オランピック
Le Nouvion-en-Thiérache,ル・ヌヴィオン＝アン＝ティエラシュ
Port-aux-Français,ポルトーフランセ
Sissonne (Aisne),シソンヌ・(エーヌ県)
Clermont Foot 63,クレルモン・フット
Vannes Olympique Club,ヴァンヌOC
Autoroute A837 (France),オートルート・A837
Autoroute A7 (France),オートルート・A7
Mercurey,メルキュレ
Autoroute A9 (France),オートルート・A9
Auverland,オーバーランド・(自動車メーカー)
Bibliothèque de la Pléiade,プレイヤード叢書
Musée d'Art moderne de Paris,パリ市立近代美術館
Mouvement pour la France,フランスのための運動
Lutte ouvrière,労働者の闘争
Corbières (Aude),コルビエール・(オード県)
La Chapelle-Haute-Grue,ラ・シャペル＝オート＝グリュ
Durtal,デュルタル
Championnat de France de football 1940-1941,シャンピオナ・ドゥ・ゲール1940-1941
Bataille du Rhône,ローヌ渡河戦
Morteaux-Coulibœuf,モルトー＝クリブフ
Aéroport de Nice-Côte d'Azur,コート・ダジュール空港
Fleury-les-Aubrais,フルーリー＝レゾブレ
Montagne (Révolution française),山岳派
Championnat de France de football 1941-1942,シャンピオナ・ドゥ・ゲール1941-1942
Championnat de France de football 1944-1945,シャンピオナ・ドゥ・ゲール1944-1945
Petit Palais,プティ・パレ
Championnat de France fédéral de football 1943-1944,シャンピオナ・ドゥ・ゲール1943-1944
Armée de l'air (France),フランス航空宇宙軍
Tours Football Club,トゥールFC
Renault Trucks,ルノートラック
Cap Corse,カップ・コルス
Mephisto (chaussure),メフィスト・(革靴ブランド)
Notre-Dame du Laus,ロウの聖母
Saint-Nectaire,サン＝ネクテール・(ピュイ＝ド＝ドーム県)
Codolet,コドレ
Voujeaucourt,ヴジョクール
Administration des chemins de fer d'Alsace et de Lorraine,アルザス＝ロレーヌ鉄道
Berria,ベリア・(新聞)
Union pour la démocratie française,フランス民主連合
Championnats du monde de lutte 1992,1992年レスリング世界選手権
Berry,ベリー・(フランス)
Tour de France 1990,ツール・ド・フランス1990
Tour de France 2002,ツール・ド・フランス2002
Internationaux de France de tennis 2006,2006年全仏オープン
Agence internationale de l'énergie,国際エネルギー機関
Galerie Bernheim-Jeune,ベルネーム＝ジューヌ画廊
Le Monde diplomatique,ル・モンド・ディプロマティーク
Condrieu,コンドリュー
Prats-de-Mollo-la-Preste,プラ＝ド＝モロ＝ラ＝プレスト
Clarbec,クラルベック
Luge aux Jeux olympiques de 1968,1968年グルノーブルオリンピックのリュージュ競技
Coupvray,クヴレ
Pontigny,ポンティニー
Théâtre national de l'Opéra-Comique,オペラ＝コミック座
Championnat du monde féminin de handball 2007,2007年世界女子ハンドボール選手権
Prix d'interprétation féminine du Festival de Cannes,カンヌ国際映画祭・女優賞
Sablé-sur-Sarthe,サブレ＝シュル＝サルト
Oô,オウ・(オート＝ガロンヌ県)
Ligne de Rémilly à Stiring-Wendel,レミリ・-・ザールブリュッケン線
Hauteville (Aisne),オートヴィル・(エーヌ県)
Tour de France 1981,ツール・ド・フランス1981
Club des cordeliers,コルドリエ・クラブ
Castelnau-de-Montmiral,カステルノー＝ド＝モンミラル
Le Pin-en-Mauges,ル・パン＝アン＝モージュ
Institut d'études politiques de Paris,パリ政治学院
Choranche,ショランシュ
Chozeau,ショゾー
Montjoie-le-Château,モンジョワ＝ル＝シャトー
Saint-Mont,サン＝モン
Chanas,シャナ・(フランス)
Condé-sur-Aisne,コンデ＝シュル＝エーヌ
Saint-Rémy-en-Mauges,サン＝レミ＝アン＝モージュ
Big Thunder Mountain,ビッグサンダー・マウンテン
Protectorat français au Maroc,フランス保護領モロッコ
Sainte-Gemmes-d'Andigné,サント＝ジャンム＝ダンディニェ
Saint-Étienne-au-Mont,サン＝テティエンヌ＝オ＝モン
Tour de France 1956,ツール・ド・フランス1956
Tour de France 1953,ツール・ド・フランス1953
Tour de France 1960,ツール・ド・フランス1960
Tour de France 1961,ツール・ド・フランス1961
Delsey,デルセー
Bataille de Bouvines,ブーヴィーヌの戦い
Tour de France 1993,ツール・ド・フランス1993
Besson (facteur d'instruments),ベッソン・(企業)
Saint-Généroux,サン＝ジェネルー
Syndicat national de l'édition phonographique,全国音楽出版組合・(フランス)
Saint-Hilaire-Peyroux,サンティレール＝ペルー
Lichères,リシェール
Saint-Jouin-de-Marnes,サン＝ジュアン＝ド＝マルヌ
Double dames des Internationaux de France 2011,2011年全仏オープン女子ダブルス
Festival de Cannes 2012,第65回カンヌ国際映画祭
Saint-Martin-de-Mieux,サン・ヴィゴール・ド・ミュー礼拝堂
Bure-les-Templiers,ビュル＝レ＝タンプリエ
Groupe des Six (musique),フランス6人組
Mouchamps,ムーシャン
Montaigu (Vendée),モンテギュ・(ヴァンデ県)
Creuse (affluent de la Vienne),クルーズ川
Coaraze,コアラーズ
Cormeilles-en-Parisis,コルメイユ＝ザン＝パリジ
Simple dames des Internationaux de France 2010,2010年全仏オープン女子シングルス
Internationaux de France de tennis 2003,2003年全仏オープン
La Madeleine (Nord),ラ・マドレーヌ・(ノール県)
Christofle,クリストフル
Vigneux-sur-Seine,ヴィニュー＝シュル＝セーヌ
Duché de Normandie,ノルマンディー公国
Mons-en-Barœul,モン＝ザン＝バルール
Internationaux de France de tennis 1994,1994年全仏オープン
Labergement-Sainte-Marie,ラベルジュマン＝サント＝マリー
Institut du monde arabe,アラブ世界研究所
Canal Saint-Martin,サン・マルタン運河
Tennis aux Jeux olympiques de 1900,1900年パリオリンピックのテニス競技
Cahiers du cinéma,カイエ・デュ・シネマ
