党委书记,党委員会の責任者
陇海铁路,隴海線
2008年夏季奧林匹克運動會自行車比賽－男子團體追逐賽,2008年北京オリンピックの自転車競技・男子団体追い抜き
相山区,相山区
昆明巫家坝国际机场,昆明巫家壩国際空港
虎山长城,虎山長城
1992年夏季奥林匹克运动会中国代表团,1992年バルセロナオリンピックの中国選手団
中国西南地区,中国西南部
濟南輕騎,軽騎
运城盐湖,解池
賈湖遺址,賈湖遺跡
姜寨遗址,姜寨
内蒙古全国重点文物保护单位列表,内モンゴル自治区の歴史的文化遺産
郓城县,鄆城県
香港足球會,香港フットボールクラブ
上海港,上海港
中华人民共和国国家发展和改革委员会,中華人民共和国国家発展改革委員会
灯塔市,灯塔市
邓州市,鄧州市
武侯区,武侯区
龍泉驛區,竜泉駅区
蕉岭县,蕉嶺県
北京马拉松,北京国際マラソン
全国重点文物保护单位,中華人民共和国全国重点文物保護単位
延吉朝阳川机场,延吉朝陽川空港
广州城足球俱乐部,広州城足球倶楽部
小皇帝综合症,小皇帝
青岛海牛足球俱乐部,青島中能足球倶楽部
改革开放,改革開放
农安县,農安県
蓟州区,薊州区
阳新县,陽新県
通山县,通山県
南丰县,南豊県
兴国县,興国県
靖安县,靖安県
青藏鐵路,青蔵鉄道
米兰遗址,ミーラン遺跡
横峰县,横峰県
信丰县,信豊県
孔子和平獎,孔子平和賞
沱江,沱江
2008年中國摩托車大獎賽,2008年の中国グランプリ
2007年中國摩托車大獎賽,2007年の中国グランプリ
辉县市,輝県市
滕州市,滕州市
玛旁雍錯,マナサロワール湖
中国美术馆,中国美術館
吉安县,吉安県
攸县,攸県
永丰县,永豊県
十九局站,十九局駅
和平路站,和平路駅
四五運動,四五天安門事件
東亞運動會,東アジア競技大会
2008年夏季奧林匹克運動會射箭比賽,2008年北京オリンピックのアーチェリー競技
2008年夏季奧林匹克運動會柔道比賽,2008年北京オリンピックの柔道競技
蜗牛数字,蝸牛数字
建阳区,建陽区
玉田县,玉田県
合福客运专线,合福客運専用線
维扬区,維揚区
戒台寺,戒台寺
荆江分洪工程,荊江分洪工程
九佛堂組,九佛堂層
九龙河,九龍河
吉州窑,吉州窯
肥西县,肥西県
东北平原,東北平原
北京第二外国语学院,北京第二外国語大学
云安区,雲安区
米泉市,米泉市
香港迪士尼樂園度假區,香港ディズニーランド・リゾート
梁山县,梁山県
甲子,甲子
重庆轨道交通,重慶軌道交通
少林寺,嵩山少林寺
夹江县,夾江県
北京五环路,北京五環路
阜康市,阜康市
阿克赛钦,アクサイチン
南唐二陵,南唐二陵
通城县,通城県
寻乌县,尋烏県
宁都县,寧都県
左权县,左権県
左云县,左雲県
香港海洋公園,香港海洋公園
中国天主教,中国のカトリック教会
港珠澳大橋,港珠澳大橋
汝州市,汝州市
湖北武汉职业足球俱乐部,湖北武漢職業足球倶楽部
德兴市,徳興市
民丰县,ニヤ県
伊宁县,グルジャ県
瑞昌市,瑞昌市
武汉民生银行大厦,中国民生銀行ビル
婺源县,婺源県
开元寺 (泉州市),開元寺
喀纳斯湖,カナス湖
岗日嘎布山脉,カンリガルポ
临淄区,臨淄区
邹城市,鄒城市
民和回族土族自治县,民和回族トゥ族自治県
互助土族自治县,互助トゥ族自治県
玛多县,瑪多県
中国共产党中央纪律检查委员会,中国共産党中央規律検査委員会
嘉峪關,嘉峪関
上海幫,上海幇
滦河,灤河
黄骅市,黄驊市
临清市,臨清市
承德机场,承徳普寧空港
稻城亞丁機場,稲城亜丁空港
大庆萨尔图机场,大慶空港
赤峰玉龙机场,赤峰玉竜空港
丹东浪头机场,丹東浪頭空港
北京地铁,北京地下鉄
塔里木河,タリム川
南京条约,南京条約
万年县,万年県
岳阳县,岳陽県
华容县,華容県
全南县,全南県
嵩明县,嵩明県
繁峙县,繁峙県
合武铁路,合武線
荆州,荊州
泽当街道,ザダン
泽库县,沢庫県
第十二届全国人民代表大会,第12期全国人民代表大会
昆山南站,崑山南駅
霞浦县,霞浦県
哲蚌寺,デプン寺
中國足球协会甲級聯賽,中国サッカー・甲級リーグ
米东区,米東区
水磨沟区,水磨溝区
德清县,徳清県
德庆县,徳慶県
威海大水泊机场,威海大水泊空港
乌什县,ウシュトゥルファン県
策勒县,チラ県
和田市,ホータン市
信興廣場,信興広場
蓮湖區,蓮湖区
雁塔區,雁塔区
閻良區,閻良区
元宝区,元宝区
观音阁镇,観音閣鎮
沪苏通铁路,滬通線
华中科技大学,華中科技大学
鳳地站,鳳地駅
武漢體育中心,武漢体育中心
上海美术馆,上海美術館
東莞軌道交通,東莞地下鉄
苏班西里河,サバンシリ川
松嫩平原,松嫩平原
幸福航空,幸福航空
宣武门天主堂,宣武門天主堂
香港國際電影節,香港国際映画祭
九龍城,九龍城
首都博物馆,首都博物館
公主岭市,公主嶺市
霍州市,霍州市
寿光市,寿光市
松滋市,松滋市
西安事變,西安事件
中信廣場,CITICプラザ
哈大客运专线,哈大旅客専用線
长江三角洲,長江デルタ
黑瞎子岛,黒瞎子島
南岭,南嶺山脈
六和塔,六和塔
柯坪县,カルピン県
墨玉县,カラカシュ県
精河县,精河県
军都山,軍都山
吉祥航空,吉祥航空
破四旧,破四旧
居延漢簡,居延漢簡
须弥山石窟,須弥山石窟
凯里組,開里累層
宋陵,宋陵
唐十八陵,唐の十八陵
蓬莱区,蓬莱区
江州区,江州区
右江区,右江区
尼雅镇,ニヤ鎮
五家寨铁路桥,五家寨鉄道橋
爱辉区,愛輝区
西貢市,西貢市
五丈原之戰,五丈原の戦い
上林县,上林県
覃塘区,覃塘区
巨浪-2潜射弹道导弹,JL-2
新北区,新北区
上海申鑫足球俱乐部,南昌八一衡源足球倶楽部
武威市,武威市
石室圣心大教堂,石室聖心大聖堂
聖母無原罪主教座堂,聖母無原罪司教座堂
北京五棵松体育中心棒球场,五棵松野球場
電視廣播有限公司,無綫電視
岳阳楼,岳陽楼
袁州区,袁州区
广昌县,広昌県
久治县,久治県
湟源县,湟源県
江油市,江油市
三江侗族自治县,三江トン族自治県
于田县,ケリヤ県
纳溪区,納渓区
襄城区,襄城区
九龍,九龍
半島酒店,ザ・ペニンシュラ香港
屯門,屯門
荃灣,荃湾
中国新疆航空,中国新疆航空
老河口市,老河口市
沁阳市,沁陽市
邛崃市,邛崍市
四会市,四会市
马王堆汉墓,馬王堆漢墓
曾侯乙墓,曾侯乙墓
土木堡之变,土木の変
怀安县,懐安県
石首市,石首市
兴义市,興義市
神农架林区,神農架林区
栖霞市,棲霞市
吉隆县,キドン県
海晏县,海晏県
德格县,徳格県
拉孜县,ラツェ県
中國人民銀行,中国人民銀行
珠江城大廈,珠江タワー
中国宝武钢铁集团有限公司,中国宝武鋼鉄集団
江北區,江北区
大觉寺,大覚寺
中國-中亞天然氣管道,中央アジア・中国パイプライン
2010年亚洲运动会,2010年アジア競技大会
盐城自然保护区,塩城自然保護区
汉族地区佛教全国重点寺院,漢族地区仏教全国重点寺院
岭澳核电站,嶺澳原子力発電所
田湾核电站,田湾原子力発電所
琉璃河遗址,瑠璃河遺跡
和硕特,ホシュート
香港足球代表隊,サッカー香港代表
白云区,白雲区
滘西洲,キョウ西洲
南亞路德會沐恩中學,南亜路徳会沐恩中学
宏觀調控,包括的統制
小河区,小河区
陆良县,陸良県
梅县区,梅県区
调兵山市,調兵山市
资阳区,資陽区
囊谦县,嚢謙県
真觉寺,真覚寺
伊河,伊水
直辖市,直轄市
饶平县,饒平県
雷州市,雷州市
牡丹江海浪机场,牡丹江海浪空港
民族自治地方,中華人民共和国の民族自治区
电白区,電白区
雙龍站,双竜駅
垫江县,墊江県
满城区,満城区
兖州区,エン州区
鸡泽县,鶏沢県
孟村回族自治县,孟村回族自治県
邢台县,邢台県
文安县,文安県
运河区,運河区
武邑县,武邑県
雄县,雄県
南市区,南市区
余干县,余干県
颍泉区,潁泉区
青州市,青州市
绵竹市,綿竹市
连城县,連城県
高州市,高州市
南和区,南和区
永清县,永清県
香河县,香河県
理塘河,理塘河
中国广核集团,中国広核集団
灵江,霊江
乃琼寺,ネチュン寺
舟山岛,舟山島
巨鹿县,巨鹿県
蔚县,蔚県
迁西县,遷西県
路北区,路北区
卓穷壁,カンシュン・フェイス
108国道,G108国道
台特玛湖,タイテマ湖
娘子关,娘子関
鹽井聖心聖母堂,塩井天主堂
卢龙县,盧竜県
隆尧县,隆堯県
广宗县,広宗県
襄都区,襄都区
锦江区,錦江区
清河县,清河県
唐县,唐県
曲周县,曲周県
双滦区,双灤区
邯山区,邯山区
肥东县,肥東県
50度線,北緯50度線
顺昌县,順昌県
巩义市,鞏義市
金牛区,金牛区
中国金字塔,中国ピラミッド
邛崃山,邛崍山脈
高碑店市,高碑店市
徐水区,徐水区
定兴县,定興県
内丘县,内丘県
平泉市,平泉市
新华区,新華区
隆化县,隆化県
双桥区,双橋区
大埔足球會,大埔足球会
九龍半島,九龍半島
阿里巴巴集团,アリババグループ
华蓥市,華鎣市
滦平县,灤平県
开平区,開平区
中華人民共和國與大規模殺傷性武器,中華人民共和国の大量破壊兵器
宣化县,宣化県
凯里市,凱里市
洪湖市,洪湖市
2014年夏季青年奧林匹克運動會,2014年南京ユースオリンピック
国家游泳中心,北京国家水泳センター
太原卫星发射中心,太原衛星発射センター
荃灣綫,荃湾線
小雁塔,小雁塔
白毫银针,白毫銀針
虎林市,虎林市
双辽市,双遼市
合山市,合山市
开远市,開遠市
小榄镇,小欖鎮
东方既白,東方既白
潞城站,潞城駅
里昂商学院,Emlyon経営大学院
拉卜楞寺,ラプラン寺
邓小平南巡,南巡講話
副省级市,副省級市
鹽田仔,塩田仔
蒲台群島,蒲台群島
索罟群島,索罟群島
燕京大學,燕京大学
聂当乡,ニェタン
国家网球中心,北京国家テニスセンター
201国道,G201国道
中国传媒大学,中国伝媒大学
六冲河,六沖河
一大会址·黄陂南路站,黄陂南路駅
阿拉山口站,阿拉山口駅
中华人民共和国审查制度,中国における検閲
达隆寺,タクルン寺
太平镇,太平鎮
基里克达坂,キリク峠
滇越铁路,滇越鉄道
明水县,明水県
外文出版社,外文出版社
214国道,G214国道
会稽山,会稽山
库布其沙漠,クブチ砂漠
民族文化宫,民族文化宮
塔尔寺,クンブム・チャンパーリン寺
拉萨河,ラサ川
乾安县,乾安県
永吉县,永吉県
通榆县,通楡県
通化县,通化県
330国道,G330国道
炳靈寺石窟,炳霊寺石窟寺院
武汉阳逻长江大桥,武漢陽邏長江大橋
嘉陵区,嘉陵区
項城市,項城市
金水区,金水区
武城县,武城県
雁山区,雁山区
洋山港,洋山深水港
浑河,渾河
平潭县,平潭県
南安市,南安市
須彌福壽之廟,須弥福寿之廟
珠穆朗瑪峰基地營,エベレスト・ベースキャンプ
中国人民革命军事博物馆,中国人民革命軍事博物館
可可西里,フフシル
槐荫区,槐蔭区
惠济区,恵済区
荥阳市,滎陽市
彭州市,彭州市
阜南县,阜南県
滦南县,灤南県
高阳县,高陽県
邯郸县,邯鄲県
额尔古纳市,アルグン市
新林区,新林区
塘沽区,塘沽区
滴道区,滴道区
下城区,下城区
拱墅区,拱墅区
余杭区,余杭区
罗源县,羅源県
屏南县,屏南県
龍江縣,竜江県
帽天山页岩,澄江動物群
龙门山,龍門山脈
大白兔奶糖,大白兔奶糖
北京东方君悦大酒店,グランドハイアット北京
明清北京城,北京城
东坡区,東坡区
中国农业大学,中国農業大学
永新县,永新県
日喀则市,シガツェ市
台风悟空,ウーコン
叠彩区,畳彩区
蝶山区,蝶山区
绥滨镇,綏浜鎮
阜城县,阜城県
滦州市,灤州市
盐山县,塩山県
乐亭县,楽亭県
武义县,武義県
嘉善县,嘉善県
龙泉市,竜泉市
定南县,定南県
万全区,万全区
下花园区,下花園区
桃城区,桃城区
邱县,邱県
定结县,ディンキェ県
定海区,定海区
鼎湖区,鼎湖区
固安县,固安県
海港区,海港区
临漳县,臨漳県
围场满族蒙古族自治县,囲場満族モンゴル族自治県
河口瑶族自治县,河口ヤオ族自治県
疊溪大地震,茂県地震
鼎城区,鼎城区
上城区,上城区
磐石市,磐石市
清原满族自治县,清原満族自治県
后海,後海
南京农业大学,南京農業大学
老山山地自行车场,老山マウンテンバイク場
中国人民保险集团股份有限公司,中国人民保険集団
永定门,永定門
北京之春,北京の春
五华区,五華区
杭锦旗,ハンギン旗
大西客运专线,大西旅客専用線
南开大学,南開大学
昔阳县,昔陽県
平定县,平定県
阳原县,陽原県
矿区,砿区
1996年亞洲冬季運動會,1996年アジア冬季競技大会
桥西区,橋西区
路南区,路南区
丰润区,豊潤区
普济寺,普済寺
喀喇昆仑走廊,カラコルム回廊
河北大学“10·16”交通肇事案,河北大学飲酒運転ひき逃げ事件
辽宁日报,遼寧日報
普兰店区,普蘭店区
二滩水电站,二灘大壩ダム
凤城市,鳳城市
东辽县,東遼県
長沙灣廣場,長沙湾広場
桐庐县,桐廬県
故城县,故城県
涉县,渉県
青县,青県
新河县,新河県
宇通客車,宇通客車
香达镇,嚢謙県
福清市,福清市
康保县,康保県
武强县,武強県
魏县,魏県
新民市,新民市
路氹城,コタイ
伊利集团,伊利集団
穆棱市,穆リョウ市
地王国际商会中心,地王国際商会中心
新邱区,新邱区
广灵县,広霊県
沈阳军区,瀋陽軍区
黎城县,黎城県
兰州军区,蘭州軍区
五台县,五台県
绿园区,緑園区
洛南县,洛南県
双阳区,双陽区
灵寿县,霊寿県
沈北新区,瀋北新区
静海区,静海区
聯洲國際有限公司,TP-LINK
三一重工股份有限公司,三一重工
小昭寺,ラモチェ
漕溪路站,漕渓路駅
东南汽车,東南汽車
深州市,深州市
凌海市,凌海市
常州奔牛机场,常州奔牛空港
长海大长山岛机场,長海大長山島空港
长白山机场,長白山空港
中国驻叙利亚大使列表,中華人民共和国駐シリア大使
拉姆拉错,ラモイ・ラツォ湖
中街,中街
中国实验快堆,中国高速実験炉
和顺县,和順県
芮城县,芮城県
偏关县,偏関県
陵川县,陵川県
宽城满族自治县,寛城満族自治県
垣曲县,垣曲県
天津经济技术开发区,天津経済技術開発区
广平县,広平県
南海一號,南海一号
环海南岛国际公路自行车赛,ツアー・オブ・ハイナン
潭柘寺,潭柘寺
南京博物院,南京博物院
于都县,于都県
于洪区,于洪区
宽城区,寛城区
铁西区,鉄西区
淞沪会战,第二次上海事変
广开四马路站,広開四馬路駅
离石区,離石区
杜尔伯特蒙古族自治县,ドルボド・モンゴル族自治県
龙沙区,竜沙区
多吉扎寺,ドルジェタク寺
新城區,新城区
东滩,東灘
东兴市,東興市
东源县,東源県
和平区,和平区
裕华区,裕華区
梁平区,梁平区
井陉县,井ケイ県
神龙汽车,神龍汽車
东港市,東港市
东光县,東光県
金州区,金州区
绥中县,綏中県
奉节县,奉節県
辽中地区环线高速公路,遼中環状高速道路
连山区,連山区
中国投资有限责任公司,中国投資
鄂爾多斯國際賽車場,オルドス国際サーキット
实际控制线,実効支配線
东湖区,東湖区
东宁市,東寧市
东胜区,東勝区
柳河县,柳河県
伊通满族自治县,伊通満族自治県
江东区,江東区
青田县,青田県
石家庄正定国际机场,石家荘正定国際空港
木雅语,ムニャ語
1998年 吉隆坡,トマス杯&ユーバー杯1998
天津富力大厦,天津R&F広東タワー
云岭,雲嶺
文汇报,文匯報
維多利亞公園,ヴィクトリアパーク
馬鞍山鋼鐵股份,馬鞍山鋼鉄
入境事務處,入境事務処
平乡县,平郷県
馆陶县,館陶県
广阳区,広陽区
右玉县,右玉県
定远县,定遠県
拔萃男書院,抜萃男書院
盘营客运专线,盤営旅客専用線
高安市,高安市
梨树县,梨樹県
沛县,沛県
抚松县,撫松県
那曲镇,ナクチュ鎮
龙江镇 (龙江县),竜江鎮
澳門廣播電視股份有限公司,マカオラジオテレビ
森木塞姆千佛洞,シムシム石窟
塔什库尔干野生动物自然保护区,タシュクルガン自然保護区
青岛理工大学,青島理工大学
天津先行者,天津栄鋼籃球倶楽部
克孜尔千佛洞,キジル石窟
清城区,清城区
嘉鱼县,嘉魚県
碾子山区,碾子山区
淅川县,淅川県
濉溪县,スイ渓県
南禅寺,南禅寺
桥东区,橋東区
苏家屯区,蘇家屯区
行唐县,行唐県
东北大学,東北大学
东区,東区
东昌区,東昌区
东川区,東川区
祁县,祁県
阜平县,阜平県
万荣县,万栄県
东经80度线,東経80度線
贡塘寺,ツェルグンダン寺
天龙山石窟,天竜山石窟
天宁禅寺,天寧寺
西藏民族大学,チベット民族学院
首钢集团,首鋼集団
天津普利司通女排,天津ブリヂストン女子バレーボールクラブ
圓玄學院,圓玄学院
壶关县,壷関県
鹰手营子矿区,鷹手営子鉱区
天镇县,天鎮県
涞源县,ライ源県
武乡县,武郷県
海兴县,海興県
三年大饑荒,中華人民共和国大飢饉
鼓楼,鼓楼
东经90度线,東経90度線
居延海,居延湖
赛里木湖,サリム湖
大鹏半岛,大鵬半島
临济寺,臨済寺 (河北省)
500米口径球面射电望远镜,500メートル球面電波望遠鏡
横沙岛,横沙島
古田镇,古田鎮
觀塘瑪利諾書院,観塘瑪利諾書院
中华人民共和国国道,中国の国道
南华寺,南華寺
斗门区,斗門区
高邮市,高郵市
216国道,G216国道
忻府区,忻府区
襄汾县,襄汾県
平顺县,平順県
定襄县,定襄県
宁武县,寧武県
青冈县,青岡県
汾西县,汾西県
西安区,西安区
北緯53度線,北緯53度線
安定门,安定門
202国道,G202国道
211国道,G211国道
金溪县,金渓県
乐业县,楽業県
介休市,介休市
中国人民武装警察部队,中国人民武装警察部隊
聂拉木通拉山口,ニャラムトン・ラ
通教寺,通教寺
陡山沱,陡山沱累層
和平共处五项原则,平和五原則
北纬35度线,北緯35度線
北纬25度线,北緯25度線
北緯49度線,北緯49度線
南普陀寺,南普陀寺
云南奔牛,雲南ブルズ
泰达足球场,泰達足球場
四川广播电视台,四川広播電視台
杭州地铁,杭州地下鉄
沁县,沁県
盐湖区,塩湖区
五寨县,五寨県
香港道教聯合會鄧顯紀念中學,香港道教聯合会鄧顕紀念中学
灵光寺,霊光寺
祥鵬航空,雲南祥鵬航空
泸定桥,瀘定橋
上海市第一百货商店,上海市第一百貨商店
中国人民解放军火箭军,中国人民解放軍ロケット軍
寿阳县,寿陽県
绛县,絳県
平陆县,平陸県
临猗县,臨猗県
天主教长沙总教区,カトリック長沙大司教区
尖扎县,尖扎県
都安瑶族自治县,都安ヤオ族自治県
巫山县,巫山県
端州区,端州区
香港賽馬會,香港ジョッキークラブ
北緯27度線,北緯27度線
福耀集团,フーヤオ
北緯19度線,北緯19度線
北緯26度線,北緯26度線
北緯28度線,北緯28度線
东洲区,東洲区
东至县,東至県
乳山市,乳山市
北纬30度线,北緯30度線
平安保险,中国平安保険
北緯45度線,北緯45度線
高邑县,高邑県
平山县,平山県
江陵县,江陵県
高平市,高平市
五大连池市,五大連池市
宣化区,宣化区
潼南区,潼南区
交口县,交口県
乡宁县,郷寧県
矿区,砿区
望奎县,望奎県
都兰县,都蘭県
环青海湖国际公路自行车赛,ツアー・オブ・チンハイレイク
多伦县,ドロンノール県
文昌航天发射场,文昌衛星発射センター
香港盃,香港カップ
万州长江大桥,万州長江大橋
青岛奥林匹克帆船中心,青島オリンピック・セーリング・センター
北京大学体育馆,北京大学体育馆
土耳其驻华大使馆,在中華人民共和国トルコ大使館
大连有轨电车,大連有軌電車
加查县,ギャツァ県
洛扎县,ロダク県
萨迦县,サキャ県
灵石县,霊石県
新荣区,新栄区
朔城区,朔城区
沁源县,沁源県
新绛县,新絳県
革吉县,ゲギェ県
乃东区,ネドン区
同仁市,同仁市
屯留区,屯留区
神池县,神池県
怀来县,懐来県
河曲县,河曲県
隰县,隰県
七宝镇,七宝鎮
罗浮山,羅浮山
鹿台岗遗址,鹿台崗遺跡
武汉中心,武漢中心
國際中華小姐競選,國際華裔小姐競選
北緯51度線,北緯51度線
国际关系学院,国際関係学院
仡隆語,村語
春申路站,春申路駅
納西語,ナシ語
琉璃厂,琉璃厰
孔教學院何郭佩珍中學,孔教学院大成何郭佩珍中学
奥体中心体育馆,奥体中心体育館
中歐班列,中欧班列
东林寺,東林寺
天合光能,トリナ・ソーラー
广州都城隍庙,広州都城隍廟
澳門羽毛球公開賽,マカオ・オープン
石崗機場,石崗飛行場
深水灣,深水湾
麦积山石窟,麦積山石窟
2008年攀枝花地震,攀枝花地震
直贡梯寺,ディグンティ寺
陆川县,陸川県
阿拉套山,ジュンガル・アラタウ山脈
2008年中国雪灾,2008年の中国雪害
长春有轨电车,長春有軌電車
千岛湖,千島湖
中国国家女子水球队,水球女子中国代表
西藏百万农奴解放纪念日,チベット農奴解放記念日
中国俄罗斯族,オロス族
特克斯县,テケス県
新和县,トクス県
107国道,G107国道
庐阳区,廬陽区
应县,応県
东山区,東山区
盂县,盂県
清河区,清河区
靈谷寺,霊谷寺
云南红塔足球俱乐部,雲南紅塔足球倶楽部
上海大鲨鱼,上海シャークス
九八五工程,985工程
華銳風電,華鋭風電
加加镇,ジャジャ
太阳岛,太陽島
中国哈尔滨国际冰雪节,ハルビン氷祭り
北緯24度線,北緯24度線
琼结县,チョンギェー県
合作市,合作市
217国道,G217国道
103国道,G103国道
314国道,G314国道
315国道,G315国道
301国道,G301国道
苏宁易购,蘇寧電器
端午节,龍船節
分宜县,分宜県
香港地理,香港の地理
汀江,汀江
湘湖站,湘湖駅
瑶海区,瑶海区
蜀山区,蜀山区
利辛县,利辛県
迭部县,テウォ県
天主教南京总教区,南京教区
吉木乃县,ジェミナイ県
恒山区,恒山区
尧都区,堯都区
新兴区,新興区
蒲县,蒲県
京口区,京口区
HK Express,香港エクスプレス航空
泰兴市,泰興市
巫溪县,巫渓県
岚县,嵐県
嘉荫县,嘉蔭県
金山屯区,金山屯区
常州经济技术开发区,常州経済技術開発区
外交学院,外交学院
正阳门西站,前門駅
首都剧场,首都劇場 (北京市)
水产路站,水産路駅
瞻园,瞻園・太平天国歴史博物館
西北大学,西北大学
北京化工大学,北京化工大学
艾比湖,エビ湖
河南航空8387號班機空難,河南航空8387便墜落事故
赤瓜礁,ジョンソン南礁
卧龙岗,臥龍崗
兴安区,興安区
乌马河区,烏馬河区
石楼县,石楼県
海陵区,海陵区
丰满区,豊満区
红星区,紅星区
柳林县,柳林県
东川路站,東川路駅
上海文庙,上海文廟
曼日寺,メンリ僧院
中國新左派,中国の新左翼
巩留县,トックズタラ県
克拉玛依区,カラマイ区
尼勒克县,ニルカ県
摩梭人,モソ族
包头东河机场,包頭東河空港
龙岩冠豸山机场,龍岩冠豸山空港
庆阳机场,慶陽空港
润州区,潤州区
友好区,友好区
前进区,前進区
太平区,太平区
德钦县,徳欽県
得荣县,得栄県
劳动教养,労働教養
津秦高速铁路,津秦旅客専用線
北緯48度線,北緯48度線
北緯46度線,北緯46度線
北緯47度線,北緯47度線
北緯29度線,北緯29度線
北緯20度線,北緯20度線
崇圣寺三塔,パゴダ
红原县,紅原県
朗县,ナン県
桑日县,サンリ県
谢通门县,シェートンムン県
天宫三号,天宮3号
上海旗忠森林体育城网球中心,上海旗忠森林体育城テニスセンター
BMW大师赛,BMWマスターズ
长春电影节,長春映画祭
北京国际电影节,北京国際映画祭
勉方言,ヤオ語
山东省体育中心体育场,山東省体育中心体育場
西山,西山
西藏地理,チベットの地理
海信集团,海信
中華人民共和國民主運動,中国民主化運動
武钢集团,武漢鋼鉄
合浦县,合浦県
212国道,G212国道
开州区,開州區
扬中市,揚中市
锡山区,錫山区
土家语,トゥチャ諸語
近江站,近江駅
杭州萧山国际机场,杭州蕭山国際空港
向阳区,向陽区
五营区,五営区
上甘岭区,上甘嶺区
绥棱县,綏棱県
武进区,武進区
兴县,興県
西市区,西市区
文水县,文水県
长春龙嘉国际机场,長春龍嘉国際空港
雨花台区,雨花台区
桂林兩江國際機場,桂林両江国際空港
上海双年展,上海二年展
109国道,G109国道
112国道,G112国道
305国道,G305国道
都昌县,都昌県
南汇区,南匯区
杜集区,杜集区
白马寺,白馬寺
华宁路站,華寧路駅
江孜镇,ジャンツー
大悲禅院,大悲院
腾中重工,騰中重工
八一火箭,八一ロケッツ
2009 大獎賽中國站,2009年中国杯
洛阳北郊机场,洛陽北郊空港
天台山國清寺,天台山国清寺
西千佛洞,西千仏洞
义乌机场,義烏空港
扎仓,ダツァン
灌云县,灌雲県
嘉峪关机场,嘉峪関空港
永康市,永康市
上犹县,上猶県
加格达奇区,加格達奇区
汤旺河区,湯旺河区
新浦区,新浦区
铜山区,銅山区
亭湖区,亭湖区
徐州观音机场,徐州観音空港
219国道,G219国道
汨罗江,汨羅江
梅里雪山,梅里雪山
乌海机场,烏海空港
溧阳市,溧陽市
蓬莱阁,蓬莱閣
襄阳刘集机场,襄陽劉集空港
恩施许家坪机场,恩施許家坪空港
赣州黄金机场,贛州黃金空港
兴义机场,興義空港
闸弄口站,閘弄口駅
曲水镇,チュシュル鎮
灵山大佛,霊山大仏
长江中下游平原,長江中下游平原
乌伊岭区,烏伊嶺区
美溪区,美渓区
东风区,東風区
射阳县,射陽県
盐都区,塩都区
深圳东海商务中心,東海商務広場
東星航空,東星航空
東方足球隊,東方足球隊
海伦市,海倫市
茶山镇,茶山鎮
善琏镇,善璉鎮
三乡镇,三郷鎮
阿勒泰机场,アルタイ空港
怀远县,懐遠県
尖山区,尖山区
营山县,営山県
武穴市,武穴市
岭南,嶺南
五口通商附粘善後條款,虎門寨追加条約
清河区,清河区
东海县,東海県
海州区,海州区
九里区,九里区
连云区,連雲区
南阳姜营机场,南陽姜営空港
香港法定古蹟,法定古蹟
常州現代傳媒中心,モダン・メディア・センター
深圳大学,深圳大学
贡嘎县,ゴンカル県
罗江区,羅江県
阿迪人,アディ族
新宾满族自治县,新賓満族自治県
阿拉善左旗,アルシャー左旗
新巴尔虎左旗,新バルグ左旗
科尔沁右翼前旗,ホルチン右翼前旗
南芬区,南芬区
阳曲县,陽曲県
新干县,新干県
邺,鄴
睢宁县,睢寧県
建邺区,建鄴区
灌南县,灌南県
鄂伦春语,オロチョン語
宽甸满族自治县,寛甸満族自治県
江南,江南
铁岭县,鉄嶺県
金安橋大壩,金安橋ダム
龙泉窑,龍泉窯
广陵区,広陵区
方山县,方山県
洪洞县,洪洞県
庆安县,慶安県
中國丹霞,中国丹霞
县,県
广福镇 (蕉岭县),広福鎮
萨雷阔勒岭,サリコル山
镇坪路站,鎮坪路駅
2010–2011 北京,2010/2011 ISUグランプリファイナル
东大直街耶稣圣心主教座堂,ハルビン聖心天主教堂
宝安商会王少清中学,宝安商会王少清中学
北京四环路,北京四環路
北京六环路,北京六環路
颍上县,潁上県
舞钢市,舞鋼市
宿城区,宿城区
宿豫区,宿豫区
三山区,三山区
炭河里遗址,炭河里遺跡
雁门关,雁門関
中国环球电视网阿拉伯语频道,CGTNアラビア語
悬空寺,懸空寺
澳門經濟,マカオの経済
富春江,富春江
中印边界,中印国境
阿爾泰油氣管道,アルタイ・ガス・パイプライン
农安镇,農安鎮
218国道,G218国道
312国道,G312国道
318国道,G318国道
香港道教聯合會圓玄學院第二中學,香港道教聯合会円玄学院第二中学
211工程,211工程
忠路镇,忠路鎮
繁昌区,繁昌区
枝城镇,枝城鎮
乐从镇,楽従鎮
武宁县,武寧県
将乐县,将楽県
铁锋区,鉄鋒区
协格尔镇,シェーカル
开元寺,開元寺
万部华严经塔,万部華厳経塔
万寿岩遗址,万寿岩遺跡
万忠墓,万忠墓
海城大地震,海城地震
六合区,六合区
淮阴区,淮陰区
洪泽区,洪沢県
2010中国杯世界花样滑冰大奖赛,2010年中国杯
柳條邊,柳条辺牆
石河子大学,石河子大学
友谊路站,友誼路駅
新民主主义,新民主主義論
春丕河谷,チュンビ谷
儋州话,儋州話
雍布拉康,ユムブラカン宮殿
颛桥站,顓橋駅
溧水区,溧水区
贾汪区,賈汪区
云龙区,雲竜区
德輔道,德輔道
义马市,義馬市
中国大陆人口,人口地理学上の中国
昂坪360,昂坪360
