Paris,パリ
Cotentin,コタンタン半島
Camlez,カンレ
palmarès du Tour de France,ツール・ド・フランス総合優勝者一覧
Carspach,カルシュパッハ
Septème,セプテム
Conservatoire national supérieur de musique et de danse de Paris,パリ国立高等音楽・舞踊学校
Saint-Germain-lès-Corbeil,サン＝ジェルマン＝レ＝コルベイユ
affaire du collier de la reine,首飾り事件
Citroën DS,シトロエン・DS
batterie de Merville,メルヴィル砲台
Sept-Sorts,セット＝ソール
Maisons-Laffitte,メゾン＝ラフィット
Gaîté,ゲテ駅
énergie nucléaire en France,フランスの原子力発電
Morée,モレー
Belle Époque,ベル・エポック
Saint-joseph,サン・ジョゼフAOC
palais de l'Europe,ヨーロッパ宮殿
Festival du court métrage de Clermont-Ferrand,クレルモン＝フェラン国際短編映画祭
rue Jean-Goujon,ジャン・グジョン通り
Corbeny,コルベニ
Essises,エシス
château La Tour Blanche,シャトー・ラ・トゥール・ブランシュ
Omaha Beach,オマハ・ビーチ
Côtes-de-duras,コート・ド・デュラス
abbaye de Fontenay,フォントネーのシトー会修道院
Le Grand-Bornand,ル・グラン・ボルナール
Savigneux,サヴィニュー
château d'Amboise,アンボワーズ城
abbaye de Royaumont,ロワイヨモン修道院
17e régiment d'infanterie,第17歩兵連隊
Mers-les-Bains,メール＝レ＝バン
Varambon,ヴァランボン
Thalys,タリス
Sospel,ソスペル
Rabodanges,ラボダンジュ
P8 ex-Prusse,プロイセン邦有鉄道P8型蒸気機関車
Forêts,フォレ県
liste des communes des Pyrénées-Atlantiques,ピレネー＝アトランティック県のコミューン
Corps européen,欧州合同軍
Tour de France 1919,ツール・ド・フランス1919
Entente Florale,花のまちコンクール
place Charles-de-Gaulle,シャルル・ド・ゴール広場
centrale nucléaire de Flamanville,フラマンヴィル原子力発電所
Folembray,フォランブレー
Arcueil,アルクイユ
Mirepoix,ミルポワ
Blotzheim,オー＝ラン県
Hérisson,エリソン
Saint-Simon,サン＝シモン
Touques,トゥック
Aspach-le-Haut,アスパッハ＝ル＝オー
Pouilly-fuissé,プイィ・フュイッセ
pont Alexandre-III,アレクサンドル3世橋
Flavy-le-Martel,フラヴィー＝ル＝マルテル
Motul,モチュール
22e cérémonie des César,第22回セザール賞
Saint-Julien-Beychevelle,サン＝ジュリアン＝ベイシュヴェル
Néris-les-Bains,ネリ＝レ＝バン
Robin Aircraft,ロバン
Autorail Bugatti,ブガッティ気動車
Bandol,バンドール
Breteuil,ブルタイユ
mémorial de Caen,メモリアル・ド・カーン
Cierges,シェルジュ
Cœuvres-et-Valsery,コーヴル＝エ＝ヴァルゼリー
Sainte-Croix-Vallée-Française,サント＝クロワ＝ヴァレ＝フランセーズ
Nontron,ノントロン
Compagnie des chemins de fer du Midi et du Canal latéral à la Garonne,ミディ鉄道
École nationale supérieure de mécanique et d'aérotechnique,機械航空高等国立大学
France AEROTECH,France AEROTECH
QuattroPole,クアトロポール
Internationaux de France de tennis 2008,2008年全仏オープン
Hesdin,エダン
Bouquet,ブーケ
Radio en France,フランスのラジオ放送
La Roche-Posay,ラ・ロッシュ＝ポゼ
Plogoff,プロゴフ
Tour de France 1985,ツール・ド・フランス1985
La Grande-Motte,ラ・グランド＝モット
institut Pasteur,パスツール研究所
Labeaume,ラボーム
Saint-Maurice-de-Gourdans,サン＝モーリス＝ド＝グルダン
Mouvement des étudiants pour la réforme de l'enseignement de l'économie,脱自閉経済学
Tour de France 1980,ツール・ド・フランス1980
Effectif des équipes à la Coupe du monde de football 1938,1938 FIFAワールドカップ参加チーム
Thouars,トアル
Bray-Dunes,ブレイデューンズ
Simple messieurs des Internationaux de France 2008,2008年全仏オープン男子シングルス
Billy-Berclau,ビリー＝ベルクロー
Vogüé,ヴォギュエ
Vaujours,ボージュール
Gouvernement Alain Juppé I,第1次ジュペ内閣
APEX Aviation,CAPアビエーション
musée Rolin,ロラン美術館
Confrérie des Chevaliers du Tastevin,利き酒騎士団
Hondschoote,オンショオット
Faremoutiers,ファルムティエ
Landerneau,ランデルノー
Guipavas,ギパヴァ
Beaurieux,ボーリュー (エーヌ県)
Guînes,ギネ (フランス)
Loue,ルー川
Saint-Michel-de-Montjoie,サン＝ミシェル＝ド＝モンジョワ
Besse-et-Saint-Anastaise,ベス＝エ＝サンタナステーズ
Pérouges,ペルージュ
Atlas Atlantique Airlines,アトラス・アトランティーク・エアラインズ
université de Haute-Alsace,上アルザス大学
Guewenheim,グエヴェンハイム
Poma 2000 de Laon,ポマ2000
Centre national de la recherche scientifique,フランス国立科学研究センター
Gercy,ジェルシー
A1 Team France,A1チームフランス
Fons,フォン
Mayenne,マイエンヌ川
Tour de France 1968,ツール・ド・フランス1968
La Malmaison,ラ・マルメゾン
Cargèse,カルジェーズ
Ermenonville,エルムノンヴィル
Coupe du monde de rugby à XIII 1972,1972 ラグビーリーグ・ワールドカップ
Tain-l'Hermitage,タン＝レルミタージュ
Planoise,プラノワーズ
équitation aux Jeux olympiques d'été de 1900,1900年パリオリンピックの馬術競技
Grand Prix moto de France 2003,2003年のフランスグランプリ
siège de Gergovie,ゲルゴウィアの戦い
Paris-Nice,パリ〜ニース
camp des Milles,レ・ミル収容所
École normale supérieure de jeunes filles,女子高等師範学校
Missions étrangères de Paris,パリ外国宣教会
commune française,フランスの基礎自治体
Gandelu,ガンドルー
Champeix,シャンペイ
Tergnier,テルニエ
Agay,アゲ（地名）
cimetière de Picpus,ピクプス墓地
Caramany,カラマニー
Ingouches,イングーシ人
Saint-Pierre-lès-Nemours,サン＝ピエル＝レ＝ヌムール
Fronsac,フロンサックAOC
Paris Saint-Germain F.C.,パリ・サンジェルマン
Paris-Tours 2007,パリ〜ツール2007
Xambes,グザンブ
Ferrette,フェレット
Fontaine Stravinsky,ストラヴィンスキーの噴水
Montagne,山岳党
autoroute A8,オートルート A8
Bataillon français de l'ONU,国連フランス大隊
Wallis,ウベア島
cathédrale Saint-Étienne de Sens,サンス＝サン＝テチエンヌ大聖堂
Simple messieurs des Internationaux de France 2004,2004年全仏オープン男子シングルス
élection présidentielle française de 2012,2012年フランス大統領選挙
Marest-Dampcourt,マレスト＝ダンプクール
Groupe IONIS,IONIS教育グループ
Anaa,アナア環礁
Simple messieurs des Internationaux de France 1988,1988年全仏オープン男子シングルス
Manzat,マンザ
Sentheim,ゼントハイム
Majorette,マジョレット
cap Gris-Nez,グリネ岬
championnat de France de football 1957-1958,ディヴィジオン・ナシヨナル1957-1958
Compagnie d'ordonnance,王令部隊
siège d'Orléans,オルレアン包囲戦
Louannec,ルアンネック
Arquian,アルキアン
Lusigny,リュシニー
La Chapelle-Saint-Géraud,ラ・シャペル＝サン＝ジェロー
Crépy,クレピー
Andelle,アンデル川
Ver,ヴェール
Groupe Bel,ベル (乳製品メーカー)
Agenais,アジュネ
Agence nationale de la recherche,フランス国立研究機構
Agence nationale de sécurité du médicament et des produits de santé,フランス医薬品・保健製品安全庁
gouvernement Jean-Pierre Raffarin I,第1次ジャン＝ピエール・ラファラン内閣
grande mosquée de Paris,グランド・モスケ・ド・パリ
bataille de la crête de Vimy,ヴィミー・リッジの戦い
Agly,アグリ川
Malons-et-Elze,マロン＝エ＝エルズ
vol 245 Air India,エア・インディア245便墜落事故
Breteuil,ブルトゥイユ
Villepreux,ヴィルプルー
Agout,アグー川
Parti de la loi naturelle,自然法党
politique linguistique de la France,フランスの言語政策
Mametz,マメ
archidiocèse de Tours,トゥール大司教座
La Chapelle-Huon,ラ・シャペル＝ユオン
Tour de France 1931,ツール・ド・フランス1931
Tour de France 1963,ツール・ド・フランス1963
Conservatoire américain de Fontainebleau,アメリカ音楽院
hôpital américain de Paris,アメリカンホスピタル
US Créteil-Lusitanos,USクレテイユ＝リュシタノ
Renault Scénic,ルノー・セニック
Chevreuse,シュヴルーズ
agrégation,アグレガシオン
Mareuil-Caubert,マルイユ＝コベール
Méaulte,メオルト
Pouillé-les-Côteaux,プイエ＝レ＝コトー
Corrèze,コレーズ
Cristallerie de Saint-Louis,サン・ルイ
brasserie Fischer,フィッシャー・ブルワリー
Chaville,シャヴィル
Bougival,ブージヴァル
Landunvez,ランドゥンヴェス
Mussidan,ミュシダン
rue du Faubourg-Saint-Antoine,フォブール＝サンタントワーヌ通り
relations entre la Corée du Sud et la France,フランスと大韓民国関係
Mouvement normand,ノルマン運動
Vers-Pont-du-Gard,ヴェール＝ポン＝デュ＝ガール
Condé-sur-l'Escaut,コンデ＝シュル＝レスコー
université de Rouen-Normandie,ルーアン＝ノルマンディー大学
université de Tours,フランソワ・ラブレー大学
Nouvelle Hanse,新ハンザ同盟
La Forêt-du-Temple,ラ・フォレ＝デュ＝タンプル
Lampaul-Ploudalmézeau,ランポール＝プルダルメゾー
Aniane,アニアーヌ
Manicamp,マニカン
Saint-Nic,サン＝ニック
Costières-de-nîmes,コスティエール・ド・ニーム
Brueil-en-Vexin,ブルーイル＝アン＝ヴェクシン
Bar,バール
route nationale 7,7国道
parc des Buttes-Chaumont,ビュット・ショーモン公園
Tuchan,テュシャン
Wintzenheim,ヴィンツェンハイム
presque'île de Crozon,クロゾン半島
Carrières-sur-Seine,キャリエール＝シュル＝セーヌ
Ingersheim,インガーサイム
Hannapes,アナプ
Pechiney,ペシネー
Bédoin,ベドワン
Monségur,モンセギュール
Formentin,フォルモンタン
Quatre Cantons - Stade Pierre-Mauroy,Quatre Cantons - Grand Stade
Cité Scientifique - Professeur Gabillard,Cité Scientifique - Professeur Gabillard
Olympia Press,オリンピア・プレス
25e cérémonie des César,第25回セザール賞
Mouthoumet,ムトゥメ
La Villette,ラ・ヴィレット
Margaux,マルゴーAOC
La Roche-Canillac,ラ・ロッシュ＝カニヤック
Tinténiac,タンテニアック
Ahe,アヘ環礁
Saint-Laurent-des-Arbres,サン＝ローラン＝デ＝ザルブル
Amendement Mirguet,ミルギュ修正条項
Aignan,エニャン
Parti nationaliste basque,バスク民族主義党 (フランス)
"Aide-toi, le ciel t'aidera",天は自ら助くる者を助く
Aigle,エーグル
Saint Thomas Basket Le Havre,STBル・アーヴル
Simple messieurs des Internationaux de France 1991,1991年全仏オープン男子シングルス
championnat de France de football 1997-1998,ディヴィジオン・アン1997-1998
boulevard Saint-Germain,サンジェルマン大通り
aiguille du Midi,エギーユ・デュ・ミディ
Oisy-le-Verger,オワジー＝ル＝ヴェルジェル
Aiguillon,エギュイヨン (ロット＝エ＝ガロンヌ県)
Bohars,ボアール
Massiac,マシアック
bureau central de renseignements et d'action,情報・行動中央局
Internationaux de Nouvelle-Calédonie,ニューカレドニア国際
Aigre,エグル川
Aibre,エーブレ
circonscription Île-de-France,イル＝ド＝フランス
circonscription Ouest,西部フランス
circonscription Sud-Est,南東部フランス
Europe Écologie,ヨーロッパ・エコロジー
Affiche rouge,赤いポスター
Cambrésis,カンブレジ
Saarbahn,ザールバーン
Cast,カスト
Landudec,ランデュデック
Annecy-le-Vieux,アヌシー＝ル＝ヴュー
Montignac-Lascaux,モンティニャック＝ラスコー
Paris-Roubaix 1926,パリ〜ルーベ1926
Paris-Roubaix 1919,パリ〜ルーベ1919
Paris-Roubaix 1921,パリ〜ルーベ1921
Le Cordon Bleu,コルドン・ブルー料理学校
Revel,ルベル
Lauter,ローター川
Ménerbes,メネルブ
langues régionales ou minoritaires de France,フランスの言語
Les Drus,プティ･ドリュ
Ailette,エレット川
Montoison,モントワゾン
Leuhan,ルアン (フランス)
Les Pavillons-sous-Bois,レ・パヴィヨン＝スー＝ボワ
Folimage,フォルマージュ
gouvernement Dominique de Villepin,ド・ヴィルパン内閣
Gardon,ガルドン川
Mornas,モルナス
Sausset-les-Pins,ソセ・レ・パン
équipe de Guadeloupe de football,サッカーグアドループ代表
Marsonnas,マルソナス
relations entre l'Allemagne et la France,フランスとドイツの関係
Auberive,オーブリーヴ
Trévou-Tréguignec,トレヴー=トレギネック
Plonévez-Porzay,プロネヴェ＝ポルゼ
Maillane,マイヤーヌ
jardin remarquable,フランスの著名な庭園の一覧
Amillis,アミイィー
Rome,ローム駅
championnat de France de football 1966-1967,ディヴィジオン・ナシヨナル1966-1967
Tonnerre,トネール
Hauteville-sur-Mer,オートヴィル＝シュル＝メール
Brienne-le-Château,ブリエンヌ
27e cérémonie des César,第27回セザール賞
BNP Paribas,BNPパリバ
Hautmont,オーモン
Lamotte-du-Rhône,ラモット＝デュ＝ローヌ
Clain,クラン川
Athie,アティエ
Théoule-sur-Mer,テウル＝シュル＝メール
Paris-Tours,パリ〜ツール
Ornans,オルナン
Festival de Cannes 1962,第15回カンヌ国際映画祭
Sarrians,サリアン (ヴォクリューズ県)
Boitron,ボワトロン
Saint-Gervais-les-Bains,サン＝ジェルヴェ＝レ＝バン
arrondissement de Beauvais,ボーヴェ郡
Falguière,ファルギエール駅
Ribérac,リベラック
Isigny-sur-Mer,イシニー＝シュル＝メール
équipe de France de basket-ball,バスケットボールフランス代表
Louvre-Lens,ルーヴル美術館ランス別館
Saint-Guilhem-le-Désert,サン＝ギレム＝ル＝デゼール
Tour de Picardie,ツール・ド・ピカルディ
Aime,エメ
Mont-Dore,モン＝ドール
université Lille-I,リール第1大学
Air Antilles,エア・アンティルス
Air Austral,エール・オーストラル
Air Calédonie,エール・カレドニー
AZ,AZ
Ain,アン川
Mirande,ミランド
L'Aigle,レーグル
Pontmain,ポンマン (マイエンヌ県)
Aire,エール川
Aire,エール川
Ouilly-du-Houley,ウイリー＝デュ＝ウレ
vol 296 Air France,エールフランス296便事故
vol 4590 Air France,コンコルド墜落事故
bataille de La Rothière,ラ・ロシエールの戦い
Arnac-Pompadour,アルナック＝ポンパドゥール
Jaurès,ジョレス駅
Festival international du film fantastique de Gérardmer,ジェラルメ国際ファンタスティカ映画祭
canton de Berck,ベルク
12e cérémonie des César,第12回セザール賞
Villefranche-de-Conflent,ヴィルフランシュ＝ド＝コンフラン
Villeblevin,ヴィルブルヴァン
Le Journal du dimanche,ジュルナル・デュ・ディマンシュ
Orchamps,オルシャン
université Paris-Est-Marne-la-Vallée,東パリ・マルヌ＝ラ＝ヴァレ大学
OVHcloud,OVH
Simple dames des Internationaux de France 1994,1994年全仏オープン女子シングルス
Air Caraïbes,エア・カライベス
Air Charter,エア・チャーター・インターナショナル
Air Bourbon,エール・コモロ・インターナショナル
Air Corsica,CCM航空
Air France-KLM,エールフランス‐KLM
Air Inter,エールアンテール
Air liquide,エア・リキード
Air Littoral,エールリトラル
Air Méditerranée,エール・メディテラネ
Air Saint-Pierre,エール・サン＝ピエール
ES Troyes AC,トロワAC
Mareuil,マレイユ
Aizenay,エズネ
université de Caen-Normandie,カーン大学
Corrèze,コレーズ川
Vignobles de la côte chalonnaise,コート・シャロネーズ
Métropole européenne de Lille,Lille Métropole リール メトロポリス
lycée Saint-Louis,リセ・サン＝ルイ校
Châtillon,シャティヨン (ローヌ県)
Airlinair,エールリネール
Mont-Tonnerre,モン＝トネール県
bataille de Fromelles,フロメルの戦い
Flers,フレール
Rambervillers,ランベルヴィレール
Meuse-Inférieure,ムーズ＝アンフェリウール県
attentats de mars 2012 en France,ミディ＝ピレネー連続銃撃事件
Dune du Pilat,ピラ砂丘
Essonne,エソンヌ川
Look Cycle,LOOKサイクルインターナショナル
Foucart,フカール
Airvault,エルヴォー
Aircalin,エア・カレドニア・インターナショナル
Aire-sur-l'Adour,エール＝シュル＝ラドゥール
Vertus,ヴェルテュ伯
Torfou,トルフー
Thérondels,テロンデル
Cloyes-sur-le-Loir,クロワー＝シュル＝ル＝ロワール
Nogent-le-Roi,ノゲント＝レ＝ロイ
Ajax,エイジャックス
Changis-sur-Marne,シャンジー＝シュル＝マルヌ
La Chapelle-Saint-Sulpice,ラ・シャペル＝サン＝シュルピース
Tournus,トゥールニュ
Marennes,マレンヌ
Juifs mizrahim,ミズラヒム
Bibliothèque municipale de Bordeaux,ボルドー市立図書館
Termignon,テルミニヨン
Châteaubleau,シャトーブロー
archidiocèse de Rouen,ルーアン大司教
Anse-Bertrand,アンス＝ベルトラン
Chanteloup-en-Brie,シャントルー＝アン＝ブリー
Académie Charles-Cros,フランス・ディスク大賞
Akamaru,アカマル島
Akiaki,アキアキ環礁
Paradou,パラドゥー
Saint-Georges-du-Vièvre,サン＝ジョルジュ＝デュ＝ヴィエーヴル
Badonviller,バドンヴィレ
Artagnan,アルタニャン
Quantic Dream,クアンティック・ドリーム
ligne de Bourg-en-Bresse à Bellegarde,オー＝ビュジェ線
Île-de-Batz,イル＝ド＝バ
Morzine,モルジヌ
Miquelon-Langlade,ミクロン＝ラングラード
hôtel de Toulouse,トゥールーズ伯邸
musée des Beaux-Arts de Caen,カン美術館
ligne d'Appenweier à Kehl,アッペンヴァイアー-ストラスブール線
Fay-aux-Loges,ファイ＝オー＝ロジュ
Les Chapelles-Bourbon,レ・シャペル＝ブルボン
Charmentray,シャルマントレー
communauté urbaine,フランスの都市共同体
Armagnac,アルマニャック
Gouvernement Alain Juppé II,第2次ジュペ内閣
Vélodrome Jacques-Anquetil,ヴェロドローム・ド・ヴァンセンヌ
26e cérémonie des César,第26回セザール賞
Sainte-Vaubourg,サント＝ヴォーブール
championnats du monde de cyclisme sur route 1947,世界選手権自転車競技大会ロードレース1947
Château-Gaillard,シャトー＝ガイヤール
Guérande,ゲランド
Dijon FCO,ディジョンFCO
bataille de Verneuil,ボージェの戦い
liste des communes de la Haute-Savoie,オートサボア部門のコミューン
Simple messieurs des Internationaux de France 2007,2007年全仏オープン男子シングルス
Nieuport IV,ニューポール IV
pont de Normandie,ノルマンディー橋
Remiremont,ルミルモン
liste des communes de la Guadeloupe,グアドループのコミューンの一覧
HMS Keith,キース
Dranse,ドランス川
Paris-Nice 2010,パリ〜ニース2010
Natixis,ナティクシス・アセット
Bibliothèque François-Mitterrand,ビブリオテーク・フランソワ・ミッテラン駅
La Charité-sur-Loire,ラ・シャリテ＝シュル＝ロワール
Bourgueil,ブルグイユ
Aubigny-sur-Nère,オービニー＝シュル＝ネール
bataille de Laon,ランの戦い
place Stanislas,ナンシーのスタニスラス広場、カリエール広場、アリアンス広場
Porte de la Villette,ポルト・ド・ラ・ヴィレット駅
Sewen,セウエン
bataille de Buzenval,ビュザンヴァルの戦い
Tour d'Italie 2000,ジロ・デ・イタリア 2000
Prix de l'Arc de Triomphe,凱旋門賞
Golfe-Juan-Vallauris,ゴルフ＝ジュアン＝ヴァロリス駅
communauté de communes,コミューン共同体
îles Gambier,ガンビエ諸島
L'Isle-sur-la-Sorgue,リル＝シュル＝ラ＝ソルギュ
LVMH Moët Hennessy Louis Vuitton,LVMH
Saint-Brice-sous-Forêt,サン＝ブリス＝スー＝フォレ
université Sorbonne-Nouvelle,新ソルボンヌ大学
église Saint-Nicolas de Strasbourg,ストラスブール聖ニコラ教会
Boulogne - Jean Jaurès,ブローニュ＝ジャン・ジョレス駅
Apremont,アプルモン
route nationale 338,国道338号線
Vacqueyras,ヴァッケラス
Nexter,ネクスター
Cabrerets,カブルレ
Hautot-sur-Mer,オート＝シュル＝メール
Plouhinec,プルイネック
église abbatiale Saint-Maurice d'Ebersmunster,聖マウリティウス教会
Sully-sur-Loire,シュリー＝シュル＝ロワール
Framatome,アレヴァNP
Beaumont,ボーモン
Vaison-la-Romaine,ヴェゾン＝ラ＝ロメーヌ
Verzenay,ヴェルゼネ
Soulvache,スルヴァシュ
Vouvray,ヴーヴレ
Ayen,アヤン
Saint-Junien,サンジュニアン
Cabrespine,カブルスピーヌ
Roman de Renart,狐物語
Tour du Haut-Var,ツール・デュ・オー・ヴァル
Vatan,バタン（フランス）
Fangataufa,ファンガタウファ環礁
Feurs,フール
Tahuata,タフアタ島
Tableau des médailles des Jeux olympiques d'été de 1900,1900年パリオリンピックのメダル受賞数一覧
Tableau des médailles des Jeux olympiques d'été de 1924,1924年パリオリンピックのメダル受賞数一覧
bataille de Verdun,ヴェルダンの戦い
université de Pau et des pays de l'Adour,ポー大学
Automobiles René Bonnet & Cie,オトモビル・ルネ・ボネ
région naturelle de France,フランスの自然地域
Beaumont-en-Argonne,ボーモン＝アン＝アルゴンヌ
Château-Bernard,シャトー＝ベルナール
Marignac,マリニャック
route européenne 512,E512号線
Cousolre,クソルル
palais des Rois de Majorque,マジョルク王宮
Internationaux de France de tennis 1952,1952年全仏選手権
Le Journal illustré,ル・ジュルナル・イリュストレ
Tour de France 1903,ツール・ド・フランス1903
opération Chariot,サン＝ナゼール強襲
Saint-Floret,サン＝フロレ
Néac,ネアック
Ignaucourt,イノークール
championnat de France de football 1953-1954,ディヴィジオン・ナシヨナル1953-1954
Blesle,ブレール
Chassignieu,シャシニュー
Champs,シャン
Bateau-Lavoir,洗濯船
Déols,デオル
Avocourt,アヴォクール
Miribel,ミリベル
Mavic,マヴィック
Gand-Wevelgem 2012,ヘント〜ウェヴェルヘム2012
SNCASE SE.100,シュド・エスト SE.100
référendum en France,フランスの国民投票
limousin,リムーザン語
Chimilin,シミラン
Dives-sur-Mer,ディーヴ＝シュル＝メール
Dizy-le-Gros,ディジー＝ル＝グロ
maison de Broglie,ブロイ公
Brives-Charensac,ブリーヴ＝シャランサック
Heurtevent,ウルトヴァン
cathédrale Saint-Just-et-Saint-Pasteur à Narbonne,ナルボンヌ大聖堂
Terra Lliure,テーラ・リウラ
La Garnache,ラ・ガルナシュ
Châteauvilain,シャトーヴィラン
La Chapelle-Glain,ラ・シャペル＝グラン
Grande Motte,グランドモット
Chèzeneuve,シェーズヌーヴ
Chichilianne,シシリアンヌ
Bombon,ボンボン
Barenton-sur-Serre,バラントン＝シュル＝セール
Bastille,バスティーユ駅
Parti radical de gauche,左翼急進党
maison d'Avesnes,アヴェーヌ家
bourguignon-morvandiau,ブルゴーニュ語
canton de la Vallée-du-Sausseron,ラ・ヴァレ・デュ・ソスロン小郡
La Canourgue,ラ・カヌルグ
aéroport de Montpellier-Méditerranée,モンペリエ・メディテラネ空港
France 4,フランス4
Lorraine-Dietrich,ロレーヌ・ディートリッヒ
Riviera Express,リヴィエラ・エクスプレス
Montréjeau,モントレジョー
prix de Rome,ローマ賞
Modane,モダーヌ
Étoile de Bessèges 2012,エトワール・ド・ベセージュ2012
FC Gueugnon,FCグーニョン
Cacharel,キャシャレル
parc des Sports,パルク・デ・スポール (アヌシー)
équipe de France de Coupe Davis,デビスカップフランス代表
Batignolles,バティニョール地区
Notre-Dame-de-Lorette,ノートル＝ダム＝ド＝ロレット駅
Loi Gayssot,ゲソ法
Paris-Roubaix 1901,パリ〜ルーベ1901
observatoire de Nice,ニース天文台
Albaret-le-Comtal,アルバレ＝ル＝コンタル
Pigalle,ピガール
Golf Disneyland,ゴルフ・ディズニーランド
Festival d'Avignon,アヴィニョン演劇祭
château de Coucy,クーシー城
Le Quesnoy-en-Artois,ル・ケノワ＝アン＝アルトワ
Chanac,シャナック
musée des Beaux-Arts de Nancy,ナンシー美術館
Station de biologie marine de Concarneau,コンカルノー海洋生物試験場
Paris-Roubaix 1982,パリ〜ルーベ1982
La Gaude,ラ・ゴード
Decathlon,デカトロン
Anoux,アヌー
arrondissement de Toulon,トゥーロン郡
Cuinchy,キャンシー
Tro Bro Leon,トロ・ブロ・レオン
Brassempouy,ブラサンプイ
Rassemblement démocratique africain,アフリカ民主連合
championnat de France de rugby à XV de 2e division fédérale,フェデラレ2
Alcatel-Lucent,アルカテル・ルーセント
Palais Omnisports de Paris-Bercy,ベルシー・アレナ
tunnel ferroviaire du Fréjus,フレジュス鉄道トンネル
Saint-Maurice-de-Rémens,サン＝モーリス＝ド＝レマン
Cité de l'architecture et du patrimoine,シティドアーキテクチャーエデュパトリモーヌ
Simple dames des Internationaux de France 1981,1981年全仏オープン女子シングルス
maison de Noailles,ノアイユ公爵
Fontaine-le-Port,フォンテーヌ＝ル＝ポール
Courvaudon,クルヴォドン
lac d'Annecy,アヌシー湖
Ardèche Classic,レ・ブークル・デュ・スュド・アルデシュ
Saint-Vulbas,サン＝ヴルバ
maison de Courtenay,コートネイ家
Tour de France 1904,ツール・ド・フランス1904
aviron aux Jeux olympiques d'été de 1924,1924年パリオリンピックのボート競技
Ploubezre,プルベザール
club des Feuillants,フイヤン派
loi Création et Internet,インターネット上の創作物の頒布及び保護を促進する法
Carcans,カルカン
château de Champlâtreux,シャトー・ド・シャンプラートルー
Les Herbiers,レ・ゼルビエ
Sallertaine,サレルテーヌ
ministère de la Justice,司法・自由省
Bosc-Roger-sur-Buchy,ボスク＝ロジェ＝シュル＝ビュシー
autoroute A43,オートルート A43
jardin d'agronomie tropicale,ヴァンセンヌ熱帯植物園
Paris-Roubaix 1959,パリ〜ルーベ1959
prix de la mise en scène du Festival de Cannes,カンヌ国際映画祭 監督賞
Andrezé,アンドルゼ
Saint-Valery-sur-Somme,サン＝ヴァレリー＝シュル＝ソンム
Pradelle,プラデル (ドローム県)
Jeux paralympiques d'hiver de 1992,1992年アルベールビルパラリンピック
musée des Blindés de Saumur,ソミュール戦車博物館
stade Nungesser,スタッド・ナンジェッセ
Le Tréport,ル・トレポール
Bobigny - Pablo Picasso,ボビニー＝パブロ・ピカソ駅
université de Toulouse,トゥールーズ大学
Cartier,カルティエ
tuerie de Nanterre,ナンテール事件
Sorgues,ソルグ
Renault 8 et 10,ルノー・8
Gournay-en-Bray,グルネー＝アン＝ブレイ
Belleau,ベロー
Festival de Cannes 2001,第54回カンヌ国際映画祭
Les Marêts,レ・マレー
Cressin-Rochefort,クレサン＝ロシュフォール
Bardigues,バルディグ
Fleurance,フルーランス
Barcelonne-du-Gers,バルセロンヌ＝デュ＝ジェール
Cormontreuil,コルモントルイユ
Courtry,クルトリー
Lectoure,レクトゥール
Festival de Cannes 2011,第64回カンヌ国際映画祭
Tour méditerranéen cycliste professionnel,ツール・メディテラネアン
franc-comtois,フランシュ＝コンテ語
Marciac,マルシアック
Ennetières-en-Weppes,エンヌティエール
Barentin,バロンタン
Le Tronchet,ル・トロンシェ (イル＝エ＝ヴィレーヌ県)
Tour cycliste international de la Guadeloupe,ツール・ド・グアドループ
Tinqueux,タンクー
francique lorrain,ロートリンゲン・フランケン語
La Bourboule,ラ・ブルブール
Marolles-en-Hurepoix,マロル＝アン＝ユルポワ
Festival de Cannes 1961,第14回カンヌ国際映画祭
Longpont,ロンポン
palais du Tau,トー宮殿
Brussels Cycling Classic,パリ〜ブリュッセル
Soisy-sur-Seine,ソワジー＝シュル＝セーヌ
Wuenheim,ヴエンハイム
ski de fond aux Jeux olympiques de 1924,1924年シャモニー・モンブランオリンピックのクロスカントリースキー競技
Blars,ブラール
Cumières,クミエール
Eurosport,ユーロスポーツ
col Agnel,アニェル峠
maison de la Radio et de la Musique,メゾン・ド・ラジオ・フランス
Arnayon,ドローム県
La Bonneville-sur-Iton,ボヌヴィル＝シュル＝イトン
Nans-les-Pins,ナン＝レ＝パン
Amora Maille,アモラ
Noves,ノヴ
Verlans,ヴェルランス
Double dames des Internationaux de France 1973,1973年全仏オープン女子ダブルス
Morigny-Champigny,モリニー＝シャンピニー
prix Lumières de la meilleure actrice,リュミエール主演女優賞
Tourcoing Lille Métropole Volley-Ball,トゥールコワン
Éclaron-Braucourt-Sainte-Livière,エクラロン＝ブロクール＝サント＝リヴィエール
Institut de recherche et coordination acoustique/musique,IRCAM
Serein,セラン川
Simple dames des Internationaux de France 1969,1969年全仏オープン女子シングルス
arrondissement de Thann,タン郡
Pegasus Bridge,ペガサス橋
Chevroux,シュヴルー
Veyrac,ヴェイラック
Simple dames des Internationaux de France 1971,1971年全仏オープン女子シングルス
La Plaine-des-Palmistes,ラ・プレンヌ・デ・パルミスト
Auderville,オーデルヴィル
Vic-sur-Cère,ヴィック＝シュル＝セール
Brionne,ブリオンヌ
Hauteville-la-Guichard,オートヴィル＝ラ＝ギシャール
Vignoble de Bergerac,ベルジュラックのワイン
Varennes-sur-Allier,ヴァレンヌ＝シュル＝アリエ
