Kazimierz II Sprawiedliwy,카지미에시 2세
Anna Kalczyńska,안나 칼친스카
Agnieszka Więdłocha,아그니에슈카 비엥드워하
Bartosz Żukowski,바르토시 주코프스키
Bartosz Sztybor,바르토시 슈티보르
Bronisław Tusk,브로니스와프 투스크
Grzegorz Brzęczyszczykiewicz,그제고시 브젱치슈치키에비치
Bartłomiej Kwiatkowski,바르트워미에이 크비아트코프스키
Anna Powierza,안나 포비에자
Bartłomiej Nowosielski,바르틀로미에이 노보시엘스키
Elżbieta Rafalska,엘주비에타 라팔스카
Anna Zalewska,안나 잘레프스카
Elżbieta Romanowska,엘주비에타 로마노프스카
Elżbieta Woźniak,엘주비에타 보지니아크
Błażej Wyszkowski,브와제이 비슈코프스키
Anna Wendzikowska,안나 벤지코프스카
Anna Streżyńska,안나 스트레진스카
Anna Szarek,안나 샤레크
Grzegorz Kwiatkowski,그제고시 크비아트코프스키
Emilia Komarnicka-Klynstra,에밀리아 코마르니츠카
Beata Pawlikowska,베아타 파블리코프스카
Grzegorz Królikiewicz,그제고시 크롤리키에비치
Beata Świecka,베아타 시비에츠카
Antoni Królikowski,안토니 크룰리코프스키
Halina Kwiatkowska,할리나 크비아트코프스카
Halina Rowicka,할리나 로비츠카
Halina Wyrodek,할리나 비로데크
Ewa Kuryło,에바 쿠리워
Bogusław Baniak,보구스와프 바니아크
Ewa Pacuła,에바 파추와
Ewa Skibińska,에바 스키빈스카
Dariusz Garbocz,다리우시 가르보치
Dariusz Paradowski,다리우시 파라도프스키
Feliks Rączkowski,펠릭스 롱치코프스키
Artur Dziurman,아르투르 지우르만
Rafał Skarbek-Malczewski,라파우 스카르베크말체프스키
Dawid Ogrodnik,다비트 오그로드니크
Ferdynand Feldman,페르디난트 펠드만
Rafał Trzaskowski,라파우 트샤스코프스키
Dominika Wielowieyska,도미니카 비엘로비에이스카
Dominika Kluźniak,도미니카 클루지니아크
Dorota Arciszewska-Mielewczyk,도로타 아르치셰프스카미엘레프치크
Robert Kwiatkowski,로베르트 크비아트코프스키
Honorata Witańska,호노라타 비탄스카
Jan Szyszko,얀 시슈코
Sonia Bohosiewicz,소니아 보호시에비치
Radosław Krzyżowski,라도스와프 크시조프스키
Stanisław Bereś,스타니스와프 베레시
Stanisław Brudny,스타니스와프 브루드니
Rafał Królikowski,라파우 크룰리코프스키
Tadeusz Paradowicz,타데우시 파라도비치
Ryszard Andrzejak,리샤르트 안제야크
Waldemar Chrostowski,발데마르 흐로스토프스키
Tadeusz Słobodzianek,타데우시 스와보지아네크
Stefan Sutkowski,스테판 수트코프스키
Ryszard Petru,리샤르트 페트루
Stanisław Kostrzewski,스타니스와프 코스트셰프스키
Stefan Żeromski,스테판 제롬스키
Ryszard Terlecki,라이스자드 털레키
Szczepan Twardoch,슈체판 트바르도흐
Sebastian Fabijański,세바스티안 파비얀스키
Szymon Hołownia,시몬 호워브니아
Teresa Wargocka,테레사 바르고츠카
Tomasz Ciachorowski,토마시 치아호로프스키
Tomasz Grodzki,토마시 그로츠키
Stanisław Michalkiewicz,스타니스와프 미할키에비치
Wiesław Kwiatkowski,비에스와프 크비아트코프스키
Tomasz Kwiatkowski,토마시 크비아트코프스키
Wojciech Cugowski,보이치에흐 추고프스키
Tomasz Mandes,토마시 만데스
Wiesław Władyka,비에스와프 브와디카
Tomasz Organek,토마시 오르가네크
Tomasz Schuchardt,토마시 슈하르트
Wojciech Kwiatkowski,보이치에흐 크비아트코프스키
Wojciech Narębski,보이치에흐 나렘프스키
Wojciech Mecwaldowski,보이치에흐 메츠발도프스키
Tadeusz Chomicki,타데우쉬 호미츠키
Wojciech Nowicki,보이치에흐 노비츠키
Tomasz Wołek,토마시 보웨크
Tomasz Świątek,토마시 시비옹테크
Tymon Tymański,티몬 티만스키
Wojciech Waglewski,보이치에흐 바글레프스키
Wojciech Stawowy,보이치에흐 스타보비
Stanisław Szczuka,스타니스와프 슈추카
Wojciech Wencel,보이치에흐 벤첼
Tadeusz Kwiatkowski,타데우시 크비아트코프스키
Filip Szcześniak,타코 헤밍웨이
Zbigniew Buczkowski,즈비그니에프 부치코프스키
Andrzej Zieliński,안제이 지엘린스키
Andrzej Szczepkowski,안제이 슈쳅코프스키
Halina Łabonarska,할리나 와보나르스카
Władysław Kowalski,브와디스와프 코발스키
Antoni Chlondowski,안토니 흘론도프스키
Ignacy Karpowicz,이그나치 카르포비치
Arkadiusz Wojnarowski,아르카디우시 보이나로프스키
Zbigniew Pakleza,즈비그니에프 파클레자
Bartłomiej Frykowski,바르트워미에이 프리코프스키
Zbigniew Rau,즈비그니에프 라우
Irena Koprowska,이레나 코프로프스카
Borys Budka,보리스 부트카
Władysław Winawer,브와디스와프 비나베르
Borys Mańkowski,보리스 만코프스키
Zbigniew Waleryś,즈비그니에프 발레리시
Łukasz Starowicz,우카시 스타로비치
Zbigniew Wodecki,즈비그니에프 보데츠키
Łukasz Warzecha,우카시 바제하
Izabela Kuna,이자벨라 쿠나
Łukasz Witt-Michałowski,우카시 비트미하워프스키
Jacek Braciak,야첵 브라치아크
Włodzimierz Czarzasty,브워지미에시 차자스티
Jacek Banaszkiewicz,야체크 바나슈키에비치
Jeremi Przybora,예레미 프시보라
Maciej Jodko,마치에이 요트코
Dariusz Radosz,다리우시 라도시
Jacek Krzaklewski,야체크 크샤클레프스키
Dariusz Wiktorowicz,다리우시 빅토로비치
Jadwiga Gadulanka,야드비가 가둘란카
Dominika Łakomska,도미니카 와콤스카
Marcin Koszałka,마르친 코샤우카
Jagna Janicka,자냐 자니 카
Paweł Łukaszewski,파베우 우카셰프스키
Mieczysław Wolfke,미에치스와프 볼프케
Konstanty Kulka,콘스탄티 안제이 쿨카
Mirosław Złotkowski,미로스와프 즈워트코프스키
Elżbieta Rabsztyn,엘주비에타 랍슈틴
Jakub Wesołowski,야쿠프 베소워프스키
Jan Aleksandrowicz-Krasko,얀 크라스코
Jakub Żulczyk,야쿠프 줄치크
Jan Tombiński,얀 톰빈스키
Zofia Dybowska-Aleksandrowicz,조피아 디보우스카 - 알렉산드로비츠
Jan Grabiec,얀 그라비에츠
Filip Starzyński,필리프 스타진스키
Andrzej Blumenfeld,안제이 블루멘펠트
Jan Komasa,얀 코마사
Gabriela Pietrucha,가브리엘라 피에트루하
Janusz Dunin,아누시 두닌
Jan Krzysztof Ardanowski,얀 크시슈토프 아르다노프스키
Janusz Józefowicz,야누시 유제포비치
Jolanta Fraszyńska,욜란타 프라신스카
Andrzej Kwiatkowski,안제이 크비아트코프스키
Jolanta Dylewska,욜 란타 데일 스카
Jerzy Jastrzębowski (ur. 1951),예지 야스트솅보프스키
Józef Łodyński,유제프 워딘스키
Joanna Szczerbic,요안나 슈체르비츠
Jowita Budnik,요비타 부드니크
Jędrzej Krakowski,옌제이 크라코프스키
Julian Dziedzina,율리안 지에지나
Kacper Kuszewski,카츠페르 쿠셰프스키
Julian Kawalec,율리안 카발레츠
Julia Rosnowska,율리아 로스노프스카
Jan Piechociński,얀 피에호친스키
Jan Pospieszalski,얀 포스피에샬스키
Kamila Boruta,카밀라 보루타
Justyna Pochanke,유스티나 포한케
Jan Pęczak,얀 펭차크
Janusz Świtkowski,야누쉬 시비트코프스키
Karolina Sawka,카롤리나 사프카
Jarosław Mikołajewski,야로스와프 미코와예프스키
Katarzyna Gniewkowska,카타지나 그니에프코프스카
Kazimierz Kropidłowski,카지미에시 크로피드워프스키
Katarzyna Maciąg,카타지나 마치옹크
Katarzyna Feldman,카타지나 펠드만
Krzysztof Kalczyński,크시슈토프 칼친스키
Kazimierz Kwiatkowski,카지미에시 크비아트코프스키
Krzysztof Konecki,크시슈토프 코네츠키
Kazimierz Olesiak,카지미에시 올레시아크
Krzysztof Kwiatkowski,크시슈토프 크비아트코프스키
Krzysztof Majka,크쉬슈토프 마이카
Krzysztof Ożóg,크시슈토프 오주크
Joanna Duda-Gwiazda,요안나 두다그비아즈다
Joanna Fabicka,요안나 파비츠카
Joanna Koroniewska,요안나 코로니에프스카
Joanna Osyda,요안나 오시다
Klaudia Halejcio,클라우디아 할레이치오
Krzysztof Wyszkowski,크시슈토프 비슈코프스키
Joanna Orleańska,요안나 오를레안스카
Krzysztof Zimnoch,크시슈토프 짐노흐
Krzysztof Szczerski,크시슈토프 슈체르스키
Klaudiusz Baran,클라우디우시 바란
Joanna Schmidt,요아나 미후카
Maciej Sikała,마치에이 시카와
Maciej Zakościelny,마치에이 자코시치엘니
Marek Kalita,마레크 칼리타
Marek Kwiatkowski,마레크 크비아트코프스키
Krystian Wieczorek,크리스티안 비에초레크
Magda Mołek,마그다 모웨크
Leon Andrzejewski,레온 안드레제예프스키
Marieta Żukowska,마리에타 주코프스카
Marika,마리카
Leon Orłowski,레온 오르워프스키
Magda Grąziowska,마그달레나 그롱지오프스카
Marek Kłoczko,마렉 클로츠코
Marek Piekarczyk,마레크 피에카르치크
Marina Łuczenko-Szczęsna,마리나 우첸코
Krystyna Pawłowicz,크리스티나 파브워비치
Magdalena Masny,마그달레나 마스니
Magdalena Popławska,마그달레나 포프와프스카
Magdalena Waligórska,마그달레나 발리구르스카
Magdalena Szczerkowska,마그달레나 슈체르코프스카
Magdalena Szczerbowska,마그달레나 슈체르보프스카
Maja Bohosiewicz,마야 보호시에비치
Maja Hirsch,마야 히르슈
Maja Frykowska,마야 프리코프스카
Malwina Kopron,말비나 코프론
Marek Zagórski,마레크 자구르스키
Marek Skwarnicki,마레크 스크바르니츠키
Marta Bitner,마르타 비트네르
Krzysztof Cugowski,크시슈토프 추고프스키
Maria Czubaszek,마리아 추바셰크
Marcel Chyrzyński,마르첼 히진스키
Krzysztof Gradowski,크시슈토프 그라도프스키
Marta Ścisłowicz,마르타 시치스워비치
Marcin Hycnar,마르친 히츠나르
Marcin Dorociński,마르친 도로친스키
Maria Koterbska,마리아 코테르프스카
Krzysztof Jaroszyński,크시슈토프 야로신스키
Marcin Kierwiński,마르친 키에르빈스키
Marcin Korcz,마르친 코르치
Lidia Wasiak,리디아 바시아크
Michał Świder,미하우 시비데르
Mieczysław Gracz,미에치스와프 그라치
Marcin Kwaśny,마르친 크바시니
Mateusz Morawiecki,마테우시 모라비에츠키
Marcin Mastalerek,마르친 마스탈레레크
Maria Wiłkomirska,마리아 비우코미르스카
Mateusz Pospieszalski,마테우시 포스피에샬스키
Marcin Pospieszalski,마르친 포스피에샬스키
Marcin Najman,마르친 나이만
Mieczysław Karłowicz,미에치스와프 카르워비치
Mieczysław Kosz,미에치스와프 코시
Mieczysław Lurczyński,미에치스와프 루르친스키
Paweł Królikowski,파베우 크룰리코프스키
Paweł Karpiński,파벨 카르핀스키
Mieczysław Struk,미에치스와프 스트루크
Marian Kwiatkowski,마리안 크비아트코프스키
Małgorzata Szejnert,마우고자타 셰이네르트
Małgorzata Rozenek-Majdan,마우고자타 로제네크
Małgorzata Pieńkowska,마우고자타 피엔코프스카
Małgorzata Tarasiewicz,마우고자타 타라시에비치
Paweł Sapieha,파베우 사피에하
Paweł Smoleński,파베우 스몰렌스키
Mela Koteluk,멜라 코텔루크
Paweł Wakarecy,파베우 바카레치
Michał Dworczyk,미하우 드보르치크
Michał Czernecki,미하우 체르네츠키
Michał Englert,마셀 엔그레르트
Tomasz Kwiatkowski,토마시 크비아트코프스키
Zygmunt Januszewski,지그문트 야누셰프스키
Michał Kruk,미하엘 크룩
Piotr Cugowski,피오트르 추고프스키
Zbigniew Hołdys,즈비그니에프 호우디스
Przemysław Frankowski,프셰미스와프 프란코프스키
Piotr Głowacki,피오트르 그워바츠키
Piotr Jaroszyński,피오트르 야로신스키
Monika Kuszyńska,모니카 쿠신스카
Paweł Dawidowicz,파베우 다비도비츠
Monika Sołubianka,모니카 소우비안카
Michał Rolnicki,미하우 롤니츠키
Monika Dryl,모니카 드릴
Wiesław Szlachetka,비에스와프 슐라헤트카
Katarzyna Bratkowska,카타지나 브라트코프스카
Natalia Przybysz,나탈리아 프시비시
Michał Rożek,미하우 로제크
Michał Skolimowski,미하우 스콜리모프스키
Krzysztof Czyżewski,크시슈토프 치제프스키
Paweł Teclaf,파베우 테츨라프
Piotr Mochnaczewski,피오트르 모흐나체프스키
Jerzy Kapliński,예지 카플린스키
Olga Frycz,올가 프리치
Piotr Najsztub,피오트르 나이슈투프
Olga Sarzyńska,올가 사진스카
Dawid Kwiatkowski,다비트 크비아트코프스키
Paulina Chruściel,파울리나 흐루시치엘
Patryk Jaki,파트리크 야키
Lydia Benecke,리디아 베네케
Krzysztof Kasztelan,크리스토퍼 카자란
Agata Trzebuchowska,아가타 트셰부호프스카
Piotr Swend,피오트르 스벤트
Aleksander Milwiw-Baron,알렉산데르 밀비프바론
Piotr Siejka,피오트르 시에이카
Piotr Siejka,피오트르 시에이카
Cleo,클레오
Margaret,마거릿
Piotr Żurawski,피오트르 주라프스키
Piotr Żyżelewicz,피오트르 지젤레비치
Miłka Malzahn,미우카 말잔
Dariusz Kwiatkowski,다리우시 크비아트코프스키
Ewelina Kamczyk,에벨리나 캄치크
Mikołaj Roznerski,미코와이 로즈네르스키
Natalia Janoszek,나탈리아 야노셰크
Olga Szomańska,올가 쇼만스카
Rafał Zawierucha,라파엘 자와이어처
Kari Amirian,카리 아미리안
Joanna Jędrzejczyk,요안나 옝제이치크
Helena Dunicz-Niwińska,헬레나 두니치니빈스카
Ewa Pajor,에바 파요르
Dawid Kownacki,다비트 코브나츠키
Przemysław Stippa,프셰미스와프 스티파
Józef Lubański,요제프 루반스키
Izabela Zwierzyńska,이자벨라 즈비에진스카
Gabriela Grzywińska,가브리엘라 그지빈스카
Rafał Malczewski,라파우 말체프스키
Robert Bernatowicz,로베르토 베르나토비치
Bartosz Ciura,바르토시 치우라
Sławomir Szewiński,스와보미르 셰빈스키
Olga Kalicka,올가 칼리츠카
Krzysztof Środa,크시슈토프 시로다
Jan Bednarek,얀 베드나레크
Paulina Sykut-Jeżyna,파울리나 시쿠트예지나
Krzysztof Kamiński,크리스토프 카민스키
Filip Jagiełło,필리프 야기에워
Oktawia Nowacka,옥타비아 노바츠카
Zofia Łoś,조피아 워시
Kazimierz Kwiatkowski,카지미에시 크비아트코프스키
Paweł Poljański,파베우 폴랸스키
Katarzyna Kiedrzynek,카타지나 키에지네크
Włodzimierz Szomański,브워지미에시 쇼만스키
Mateusz Kwiatkowski,마테우시 크비아트코프스키
Łukasz Żal,우카시 잘
Maria Pawłowska,마리아 파블로프스카
Magdalena Ogórek,막달레나 오고렉
Paweł Domagała,파베우 도마가와
Katarzyna Bonda,카타지나 본다
Hanna Zaremska,한나 자렘스카
Damian Szymański,다미안 시만스키
Paweł Tanajno,파베우 타나이노
Małgorzata Tusk,마우고자타 투스크
Michał Tusk,미하우 투스크
Katarzyna Tusk,카타지나 투스크
Mikołaj Tusk,미코와이 투스크
Anna Smołowik,안나 스모워비크
Jerzy Snopek,예지 스노페크
Krystian Bielik,크리스티안 비엘리크
Krzysztof Charamsa,크리스토프 하람사
Stefan Pawłowski,스테판 파브워프스키
Zofia Wichłacz,조피아 비흐와치
Stanisława Gierek-Ciaciura,스타니스와바 기에레크치아치우라
Małgorzata Tracz,마우고자타 트라치
Maurycy Popiel,마우리치 포피엘
Jan Duda,얀 타데우시 두다
Wojciech Kolarski,보이치에흐 콜라르스키
Bartosz Kapustka,바르토시 카푸스트카
Natalia Nykiel,나탈리아 니키엘
Sandra Kubicka,산드라 쿠비카
Janina Zielińska,야니 나 지 린의 카
Mateusz Wieteska,마테우시 비에테스카
Henryk Hescheles,헨리크 헤스헬레스
Piotr Stramowski,피오트르 스트라모프스키
Aleksandra Sikora,알렉산드라 시코라
Bartłomiej Drągowski,바르트워미에이 드롱고프스키
Andrzej Kwiatkowski,안제이 크비아트코프스키
Przemysław Czarnek,프셰미스와프 차르네크
Julia Kijowska,율리아 키요프스카
Adrian Zandberg,아드리안 잔드베르크
Karol Świderski,카롤 시비데르스키
Babatunde Aiyegbusi,다바 케이토
Małgorzata Smoleńska-Kwiatkowska,마우고자타 스몰렌스카크비아트코프스카
Joanna Augustynowska,요안나 아우구스티노프스카
Barbara Dolniak,바르바라 돌니아크
Kamila Gasiuk-Pihowicz,카밀라 가시우크피호비치
Ewa Piaskowska,에바 피아스코프스카
Jacek Góralski,야체크 구랄스키
Elżbieta Zielińska,엘주비에타 보로프스카
Paulina Hennig-Kloska,파울리나 헨니크클로스카
Antoni Duda,안토니 두다
Oskar Zawada,오스카르 자바다
Ewa Lieder,에바 리에데르
Katarzyna Lubnauer,카타지나 루브나우에르
Krzysztof Łapiński,크시슈토프 와핀스키
Marta Golbik,마르타 골비크
Matty Cash,매티 캐시
Zofia Szymanowska-Lenartowicz,조피아 시마노프스카레나르토비치
Andrzej Stankiewicz,안제이 스탄키에비치
Anna Kwiecień,안나 크비에치엔
Paweł Pudłowski,파베우 푸드워프스키
Arkadiusz Marchewka,아르카디우시 마르헤프카
Halina Ogarek-Czoj,할리나 오가레크초이
Mirosław Suchoń,미로스와프 수혼
Piotr Misiło,피오트르 미시워
Joanna Scheuring-Wielgus,요아나 쇼이링비엘구스
Adam Szłapka,아담 슈왑카
Paweł Szramka,파베우 슈람카
Agnieszka Ścigaj,아그니에슈카 시치가이
Łukasz Rzepecki,우카시 제페츠키
Tomasz Rzymkowski,토마시 짐코프스키
Jarosław Sachajko,야로스와프 사하이코
Zbigniew Stonoga,즈비그니에프 스토노가
Barbara Nowacka,바르바라 노바츠카
Kornelia Wróblewska,코르넬리아 브루블레프스카
Witold Zembaczyński,비톨트 젬바친스키
Anna Woźniacka,안나 보즈니아키
Grzegorz Długi,그제고시 드우기
Marek Całka,마렉 차우카
Jan Pawlowski,Jan Pawlowski
Remigiusz Mróz,레미기우시 므루스
Jan Kwiatkowski,얀 크비아트코프스키
Daniel Obajtek,다니엘 오바이테크
Tomasz Oświeciński,토마시 오시비에친스키
Piotr Ostaszewski,피오트르 오스타셰프스키
Henryk Gradkowski,헨리크 그라트코프스키
Zofia Zborowska,조피아 즈보로프스카
Krzysztof Piątek,크리지스토프 피아텍
Włodzimierz Dzieduszycki,브워지미에시 지에두시스키
Aleksandra Ciupa,올라 치우파
Michał Kwiatkowski,미하우 크비아트코프스키
Michał Andryszak,미하우 안드리샤크
Iga Świątek,이가 시비옹테크
Mateusz Surma,마테우스 수르마
Mateusz Kijowski,마테우시 키조프스키
Jadwiga Emilewicz,야드비가 에밀레비치
Krzysztof Śmiszek,크시슈토프 시미셰크
Robert Gumny,로베르트 굼니
Krzysztof Szpetmański,크시슈토프 슈페트만스키
Jerzy Ciapała,예지 치아파와
Przemysław Krompiec,프셰므스와브 크롬피에츠
Kazimierz Jerzy Czartoryski,카지미에시 예지 차르토리스키
Dawid Celt,다비트 첼트
Wojciech Niżyński,보이치에흐 니진스키
Maja Chwalińska,마야 흐발린스카
Michalina Olszańska,미할리나 올샨스카
Jacek Styszyński,야체크 스티신스키
Roman Kwiatkowski,로만 크비아트코프스키
Jacek Buko,야체크 부코
Maciej Kopeć,마치에이 코페치
Dominik Rozkrut,도미니크 로스크루트
Przemysław Kwiatkowski,프셰미스와프 크비아트코프스키
Kryscina Cimanouska,크리스치나 치마노우스카야
Aleksandra Terpińska,알렉산드라 테르핀스카
Kamil Lemieszewski,카밀 레미에쉐브스키
Daria Zawiałow,다리아 자비아워프
Sebastian Szymański,세바스티안 시만스키
Dariusz Dudek,다리우시 두데크
Barbara Czerwijowska,바르바라 체르비요프스카
Rafał Jonkisz,라파우 욘키시
Joanna Opozda,요안나 오포즈다
Dominika Kryszczyńska,도미니카 크리슈친스카
Julia Wieniawa,율리아 비에니아바
Jakub Józef Orliński,야쿠프 유제프 오를린스키
Jacek Andrzejewski,자첵 안드레제 에프 스키
Krzysztof Ciebień,크쥐슈또프 체벤
Monika Braun,모니카 브라운
Aleksandra Domańska,알렉산드라 도만스카
Szymon Żurkowski,시몬 주르코프스키
Milena Suszyńska,밀레나 수신스카
Halina Szymańska,할리나 시만스카
Bartosz Cichocki,바르토시 치호츠키
Olga Jankowska,올가 얀코프스카
Bartosz Czarnecki,바르토시 차르네츠키
Anna Terpiłowska,안나 테르피워프스카
Oskar Kwiatkowski,오스카르 크비아트코프스키
Kamila Stormowska,카밀라 스토르모프스카
Mariusz Wróblewski,마리우스 로블르스키
Aleksandra Adamska,알렉산드라 아담스카
Elżbieta Czerczuk,엘주비에타 체르추크
Marta Gałuszewska,마르타 가우셰프스카
Adrianna Kalska,아드리안나 칼스카
Weronika Łukaszewska,베로니카 우카셰프스카
Joanna Grudzińska,요안나 그루진스카
Iga Krefft,이가 크레프트
Michał Kołodziejski,미하우 코워지에이스키
Mieczysław Inglot,미에치스와프 인글로트
Małgorzata Manowska,마우고자타 마노프스카
Izabella Krzan,이자벨라 크샨
Marcel Ponitka,마르첼 포니트카
Kamil Grabara,카밀 그라바라
Marta Knoch,마르타 부이치크
Gosia Rdest,고시아 르데스트
Lukasz Kuczynski,우카시 쿠친스키
Błażej Spychalski,브와제이 스피할스키
Aleksandra Dulkiewicz,알렉산드라 둘키에비치
Alicja Konieczek,알리차 코니에체크
Jan Antoni Czochralski,얀 안토니 초흐랄스키
Arkadiusz Smoleński,아르카디우시 스몰렌스키
Kinga Flaga-Gieruszyńska,킹가 플라가기에루신스카
Michalina Sosna,미할리나 소스나
Diane Sellier,디아네 셀리에
Marcin Bułka,마르친 부우카
Sebastian Kaleta,세바스티안 칼레타
Blanka Lipińska,블란카 리핀스카
Nicola Zalewski,니콜라 잘레프스키
Michał Skóraś,미하우 스쿠라시
Natalia Zambrzycka,나탈리아 잠브지츠카
Mateo Klimowicz,마테오 클리모비치
Izabela Lutosławska,이자벨라 루토스와프스카
Maciej Kawulski,마치에이 카불스키
Teoniki Rożynek,테오니키 로지네크
Tatiana Tokarczuk,타티아나 토카르추크
Jakub Kiwior,야쿠프 키비오르
Jakub Kamiński,야쿠프 카민스키
Marcin Jankowski,마르친 얀코프스키
Kamil Piątkowski,카밀 피옹트코프스키
Józef Elsner,유제프 엘스네르
Adrian Meronk,아드리안 메론크
Zbigniew Dylewski,즈비그니에프 딜레프스키
Barbara Białowąs,바르바라 비아워봉스
Wojciech Jama,우지에 치 자마
Gabriel Slonina,가브리엘 슬로니나
Witold Skrzydlewski,비톨트 스크시들레프스키
Sanah,사나
Malwina Wędzikowska,말비나 벵지코프스카
Adriana Achcińska,아드리아나 아흐친스카
Bartosz Grzybowski,바르토슈 그쥐보프스키
Anna-Maria Sieklucka,안나마리아 시에클루츠카
Karolina Bielawska,카롤리나 비에라프스카
Maciej Musiałowski,마치에이 무시아워프스키
Grzegorz Kowal,그제코시 코발
Bartosz Czuba,바르토시 추바
Stanisław Frejlak,스타니스와프 프레이라크
Mateusz Łasowski,마테우스 라소스키
Piotr Sierzputowski,피오트르 시에슈푸토프스키
Margot,마르고트
Natalia Jamróz,Natalia Jamróz
Filip Kalczyński,필리프 칼친스키
Brunon Kamiński,브루논 카민스키
Julia Słupecka,Julia Słupecka
Beata Jasińska,Beata Jasińska
Stanisław Bryliński,스타니스와프 브릴린스키
Helena Górska,헬레나 구르스카
Daniel Berlinski,Daniel Berlinski
Barbara Lem,바르바라 렘
Andrzej Pietras,안제이 피에트라스
Monika Witusik-Perkowska,모니카 위투식페르코프스카
Aneta Konieczek,아네타 코니에체크
Oliwia Bieniuk,올리비아 비에니우크
Krystian Ochman,크리스티안 오크만
Michał Niewiński,미하우 니에빈스키
Agnieszka Żelewska,Agnieszka źelewska
Wojciech Fuliński,보이치에흐 풀린스키
Przemysław Pawlak,프셰미스와프 파블라크
Helena Skrzydlewska,헬레나 스크시들레프스카
Blanka Stajkow,블랑카 스타이코프
Jann,잔
