Figueras,피게레스
Copa del Rey de Fútbol 1916,코파 델 레이 1916
Copa del Rey de Fútbol 1915,코파 델 레이 1915
Copa del Rey de fútbol 1919,코파 델 레이 1919
Copa del Rey de Fútbol 1917,코파 델 레이 1917
Copa del Rey de Fútbol 1918,코파 델 레이 1918
Copa del Rey de fútbol 1920,코파 델 레이 1920
Copa del Rey de fútbol 1989-90,코파 델 레이 1989-90
Copa del Rey de fútbol 1993-94,코파 델 레이 1993-94
Copa del Rey de Fútbol 1930,코파 델 레이 1930
Copa del Rey de fútbol 1992-93,코파 델 레이 1992-93
Copa del Rey de fútbol 1990-91,코파 델 레이 1990-91
Copa del Rey de fútbol 1991-92,코파 델 레이 1991-92
Copa del Presidente de la República de Fútbol 1932,코파 델 프레시덴테 데 라 레푸블리카 1932
Copa del Rey de Fútbol 1928,코파 델 레이 1928
Copa del Rey de Fútbol 1922,코파 델 레이 1922
Copa del Rey de Fútbol 1923,코파 델 레이 1923
Copa del Rey de Fútbol 1928-29,코파 델 레이 1928-29
Copa del Rey de Fútbol 1926,코파 델 레이 1926
Copa del Rey de Fútbol 1921,코파 델 레이 1921
Copa del Rey de Fútbol 1924,코파 델 레이 1924
Cornisa cantábrica,에스파냐 베르데
Himno de las Cortes,코르테스 찬가
Virgen de la Almudena,알무데나의 성모
Árabe andalusí,안달루시아 아랍어
Historia del constitucionalismo español,스페인 헌법
Costa de la Luz,코스타데라루스
Estadio José Zorrilla (1940),에스타디오 호세 소리야 (1940년)
Desierto de Tabernas,타베르나스 사막
Serie 130 de Renfe,렌페 130급
Recopa de Europa 1996-97,1996-97년 UEFA 컵위너스컵
Primera División de España 1977-78,라리가 1977-78
Primera División de España 1979-80,라리가 1979-80
Primera División de España 1972-73,라리가 1972-73
Primera División de España 1940-41,라리가 1940-41
Primera División de España 1947-48,라리가 1947-48
Primera División de España 1951-52,라리가 1951-52
Chupa Chups,츄파춥스
IBEX 35,IBEX 35
Copa del Generalísimo de fútbol 1967-68,코파 델 헤네랄리시모 1967-68
Copa del Presidente de la República de Fútbol 1934,코파 델 프레시덴테 데 라 레푸블리카 1934
Copa del Generalísimo de fútbol 1966-67,코파 델 헤네랄리시모 1966-67
Aeropuerto de Gran Canaria,그란카나리아 공항
Copa del Generalísimo de fútbol 1965-66,코파 델 헤네랄리시모 1965-66
Teneguía,테네기아
Copa del Generalísimo de fútbol 1951,코파 델 헤네랄리시모 1951
Copa del Generalísimo de fútbol 1946,코파 델 헤네랄리시모 1946
Copa del Generalísimo de fútbol 1947,코파 델 헤네랄리시모 1947
Copa del Generalísimo de fútbol 1955,코파 델 헤네랄리시모 1955
Copa del Generalísimo de fútbol 1961-62,코파 델 헤네랄리시모 1961-62
Copa del Generalísimo de fútbol 1959-60,코파 델 헤네랄리시모 1959-60
Copa del Generalísimo de fútbol 1960-61,코파 델 헤네랄리시모 1960-61
Copa del Generalísimo de fútbol 1958,코파 델 헤네랄리시모 1958
Copa del Generalísimo de fútbol 1956,코파 델 헤네랄리시모 1956
Copa del Generalísimo de fútbol 1954,코파 델 헤네랄리시모 1954
Ruta europea E82,유럽 고속도로 82호선
Iberismo,이베리스모
Concierto de Aranjuez,아랑후에스 협주곡
Bosníacos,보슈냐크인
Universidad de Las Palmas de Gran Canaria,라스팔마스데그란카나리아 대학교
Valle de los Caídos,전몰자의 계곡
Escondite inglés,무궁화 꽃이 피었습니다
Parque de Atracciones Tibidabo,티비다보 놀이공원
Juegos Mediterráneos de 2005,2005년 지중해 게임
Nou Mestalla,노우 메스타야
Parque del Retiro de Madrid,레티로 공원
Comisión Internacional para la Conservación del Atún Atlántico,대서양참치보존위원회
Metro Ligero de Madrid,마드리드 경전철
Mazamorra,마사모라
Segunda División de España 1953-54,세군다 디비시온 1953-54
Paralelo 39 norte,북위 39도
Copa del Rey de fútbol 2003-04,코파 델 레이 2003-04
Copa del Rey de fútbol 2001-02,코파 델 레이 2001-02
Copa del Rey de fútbol 1994-95,코파 델 레이 1994-95
Copa del Rey de fútbol 1999-2000,코파 델 레이 1999-2000
Copa del Rey de fútbol 1995-96,코파 델 레이 1995-96
Copa del Rey de fútbol 2002-03,코파 델 레이 2002-03
Copa del Rey de fútbol 1998-99,코파 델 레이 1998-99
Copa del Rey de fútbol 1996-97,코파 델 레이 1996-97
Copa del Rey de fútbol 2007-08,코파 델 레이 2007-08
Copa del Rey de fútbol 2009-10,코파 델 레이 2009-10
Copa del Rey de fútbol 2006-07,코파 델 레이 2006-07
Copa del Rey de fútbol 2004-05,코파 델 레이 2004-05
Copa del Rey de fútbol 2005-06,코파 델 레이 2005-06
Copa del Rey de fútbol 2008-09,코파 델 레이 2008-09
Puerta de Europa,푸에르타 데 에우로파
Club de Fútbol Reus Deportiu,CF 레우스 데포르티우
Centro de Satélites de la Unión Europea,유럽연합 인공위성 센터
Puerta de Alcalá,푸에르타 데 알칼라
Anexo:Patrimonio de la Humanidad en España,스페인의 세계유산
Aeropuerto de Gerona,히로나-코스타 브라바 공항
Campo de la calle Industria,캄 데 라 인두스트리아
Renfe Cercanías AM,FEVE
Segunda División de España 1943-44,세군다 디비시온 1943-44
Segunda División de España 1941-42,세군다 디비시온 1941-42
Segunda División de España 1946-47,세군다 디비시온 1946-47
Segunda División de España 1988-89,세군다 디비시온 1988-89
Segunda División de España 1986-87,세군다 디비시온 1986-87
Segunda División de España 1992-93,세군다 디비시온 1992-93
Segunda División de España 1978-79,세군다 디비시온 1978-79
Restauración borbónica en España,스페인 왕정복고
Castilla la Vieja,카스티야라비에하
Dorsal de Cumbre Vieja,쿰브레비에하
Fallas de Valencia,파야스
Vía Domitia,도미티아 가도
Unión Progreso y Democracia,"연합, 진보, 민주주의"
Tratado de Zaragoza,사라고사 조약
Torre de Collserola,콜세롤라 타워
Hegoalde,에고알데
Torre del Oro,황금의 탑
Camper (empresa),캠퍼 (기업)
Segunda División de España 1975-76,세군다 디비시온 1975-76
Segunda División de España 1983-84,세군다 디비시온 1983-84
Segunda División de España 1980-81,세군다 디비시온 1980-81
Segunda División de España 2003-04,세군다 디비시온 2003-04
El Hierro,엘이에로섬
Arreglo de Madrid (1891),마드리드 의정서
Ciudadanos (España),시민-시민권당
Segunda División de España 1952-53,세군다 디비시온 1952-53
Racing Club de Ferrol,라싱 페롤
Segunda División de España 1951-52,세군다 디비시온 1951-52
Segunda División de España 1948-49,세군다 디비시온 1948-49
Copa del Rey de fútbol 2010-11,코파 델 레이 2010-11
Cheles,첼레스
Recopa de Europa 1971-72,1971-72년 유러피언컵위너스컵
Recopa de Europa 1978-79,1978-79년 유러피언컵위너스컵
Recopa de Europa 1981-82,1981-82년 유러피언컵위너스컵
Zumárraga,수마라가
La Mancha,라만차
Final de la Copa de Europa de Naciones de 1964,1964년 유러피언 네이션스컵 결승전
Museo de Juguetes y Autómatas,장난감과 로봇 박물관
Masters de Madrid,마드리드 마스터스
Estadio José Rico Pérez,에스타디오 호세 리코 페레스
Segunda División de España 1969-70,세군다 디비시온 1969-70
Campeonato Mundial de Clubes de la FIFA 2001,2001년 FIFA 클럽 세계 선수권 대회
Guerras carlistas,카를로스파 전쟁
Presidente del Gobierno de España,스페인의 총리
Mundo Deportivo,엘 문도 데포르티보
Día de las Letras Gallegas,갈리시아 문학의 날
Instituto Nacional de Estadística (España),스페인 통계청
Cartagena Fútbol Club Efesé,카르타헤나 FC
Puerto Real,푸에르토레알
Beasáin,베아사인
Pasajes,파사이아
Selección femenina de fútbol de España,스페인 여자 축구 국가대표팀
Constitución española de 1978,스페인 헌법 (1978년)
Aeropuerto de Alicante-Elche Miguel Hernández,알리칸테 엘체 공항
Segunda División de España 2011-12,세군다 디비시온 2011-12
CaixaBank,카이샤은행
Aeropuerto de Ciudad Real,시우다드레알 공항
Aeropuerto Federico García Lorca Granada-Jaén,그라나다 국제공항
Aeropuerto de Ibiza,이비사 공항
Vino de España,스페인 와인
Fuente Mágica de Montjuic,몬주이크 마법의 분수
Aeropuerto de Asturias,아스투리아스 공항
Paralelo 40 norte,북위 40도
Islas Alhucemas,알우세마스 제도
Paralelo 37 norte,북위 37도
Educación en España,스페인의 교육
Cinturón alpino,알프스-히말라야 조산대
Anexo:Diócesis de España,스페인의 로마 가톨릭 교구 목록
Instituto Nacional de Técnica Aeroespacial,스페인 국립 항공우주 기술 기구
Madrid Arena,마드리드 아레나
Archidiócesis de Toledo,가톨릭 톨레도 대교구
Aeropuerto César Manrique-Lanzarote,란사로테 공항
Catedral de Santa María (Valencia),발렌시아 대성당
Aeropuerto de La Coruña,라코루냐 공항
Aeropuerto de San Sebastián,산세바스티안 공항
África Occidental Española,스페인령 서아프리카
La Rambla,람블라 거리
Templo Expiatorio del Sagrado Corazón,사그랏 코르
La Graciosa,그라시오사섬
Catedral de la Almudena,알무데나 대성당
Guetaria,게타리아
Aeropuerto de Valladolid,바야돌리드 공항
Aeropuerto de Santiago-Rosalía de Castro,산티아고 로살리아 데 카스트로 공항
Faro de Chipiona,치피오나 등대
Paseo de la Castellana,파세오 데 라 카스테야나
Burgos Club de Fútbol,부르고스 CF
Cesta punta,하이알라이
Anexo:Islas de España,스페인의 섬 목록
Sucesión al trono de España,스페인의 왕위 계승 순위
Himno de Galicia,갈리시아의 국가
Gobierno de España,스페인 정부
Tratado de Sevilla (1729),세비야 조약
Iberdrola,이베르드롤라
Club Deportivo Badajoz (2012),CD 바다호스
Buñol,부뇰
Wamos Air,와모스 항공
WOW Cargo Alliance,와우 얼라이언스
Cine español,스페인 영화
Biblioteca de Cataluña,카탈루냐 국립도서관
Isla de Santa Catalina (España),산타카탈리나섬 (스페인)
Exposición Universal de Sevilla de 1992,1992년 세계 박람회 (세비야)
Aquarium de Barcelona,바르셀로나 수족관
Rodelero,로델레로
Arte en España,스페인의 미술
Línea 8 (Metro de Madrid),마드리드 지하철 8호선
Sevilla Atlético,세비야 아틀레티코
Rois,로이스 (스페인)
Valga,발가 (스페인)
Villagarcía de Arosa,빌라가르시아데아로우사
Spania GTA,스파니아 GTA
Alpedrete,알페드레테
Segunda División de España 1929-30,세군다 디비시온 1929-30
Expedición de Magallanes-Elcano,마젤란-엘카노 주항
Segunda División de España 1931-32,세군다 디비시온 1931-32
Pegaso (automóviles),페가소
Paradores de Turismo de España,파라도르
Supercopa de Europa 1992,1992년 UEFA 슈퍼컵
Primera División de España 1999-2000,라리가 1999-2000
Serie 730 de Renfe,렌페 730급
Siemens Gamesa,지멘스 가메사
Copa del Generalísimo de fútbol 1957,코파 델 헤네랄리시모 1957
Echévarri,에체바리
The Sporting News,스포팅 뉴스
Ramal (Metro de Madrid),마드리드 지하철 라말선
Catedral de Segovia,세고비아 대성당
Estadio Martínez Valero,에스타디오 마누엘 마르티네스 발레로
Usera,우세라
Torre de Cristal,토레 데 크리스탈
Sónar (festival),소나르 페스티벌
Junta de Valladolid,바야돌리드 회의
Premio Don Balón,돈 발론 상
Historia medieval de España,스페인의 중세사
Puente de San Martín (Toledo),산마르틴 다리
Balenciaga (empresa),발렌시아가
Plaza de Cibeles,시벨레스 광장
Selección de voleibol de España,스페인 배구 국가대표팀
Anexo:Gobernadores coloniales de Filipinas,스페인령 필리핀 총독
Queso de Mahón-Menorca,마온 치즈
Grupo ACS,ACS (기업)
Grupo Compostela,콤포스텔라 그룹
Universidad de Lérida,례이다 대학교
Campeonato Mundial de Natación en Piscina Corta de 1993,1993년 세계 쇼트 코스 수영 선수권 대회
Línea 12 (Metro de Madrid),마드리드 지하철 12호선
Línea 5 (Metro de Madrid),마드리드 지하철 5호선
Rioja (vino),리오하 (포도주)
Aya,아이아
Fútbol tiquitaca,티키타카
Real Madrid Club de Fútbol "C",레알 마드리드 C
Villaviciosa de Odón,비야비시오사데오돈
Salamanca (Madrid),살라망카 (마드리드)
Tetuán (Madrid),테투안 (마드리드)
Plaza de España (Santa Cruz de Tenerife),스페인 광장 (산타크루스데테네리페)
Asociación Internacional de Sociología,국제사회학회
Anchuelo,안추엘로
Juntas de Ofensiva Nacional-Sindicalista,국민생디칼리슴 공세평의회
Final de la Copa del Rey de fútbol 2010-11,2011 코파 델 레이 결승전
Himno de Ceuta,세우타의 국가
Ducado de Medinaceli,메디나셀리 공작
Himno de Melilla,멜리야의 국가
Real Club Deportivo de La Coruña Fabril,데포르티보 파브릴
España napoleónica,조제프 보나파르트 치하의 스페인
Arroyomolinos (Madrid),아로요몰리노스 (마드리드주)
Transportes Metropolitanos de Barcelona,바르셀로나 광역 교통
Leiro,레이로
Nacionalismo catalán,카탈루냐 내셔널리즘
Gastronomía de Cataluña,카탈루냐 요리
Montiel,몬티엘
Copa del Rey de fútbol 1979-80,코파 델 레이 1979-80
Trofeo Miguel Muñoz,트로페오 미겔 무뇨스
Alameda del Valle,알라메다델바예
Copa del Generalísimo de fútbol 1972-73,코파 델 헤네랄리시모 1972-73
Reino de Granada (Corona de Castilla),그라나다 왕국
Real Jardín Botánico de Madrid,마드리드 왕립식물원
Palacio Vistalegre,팔라시오 비스탈레그레
Isla del Trocadero,트로카데로섬
Softonic,소프트오닉
Algemesí,알헤메시
Línea 3 (Metro de Madrid),마드리드 지하철 3호선
Línea 4 (Metro de Madrid),마드리드 지하철 4호선
Línea 1 (Metro de Madrid),마드리드 지하철 1호선
Línea 7 (Metro de Madrid),마드리드 지하철 7호선
Línea 2 (Metro de Madrid),마드리드 지하철 2호선
Club Deportivo Calahorra,CD 칼라오라
Supercopa de España de Fútbol 2011,수페르코파 데 에스파냐 2011
Muniesa,무니에사
Palacio de Cibeles,시벨레스궁
La Romana (Alicante),라로마나 (스페인)
Jalón (Alicante),할론 (알리칸테도)
Nogales (Badajoz),노갈레스 (스페인)
Stadium Metropolitano,에스타디오 메트로폴리타노 데 마드리드
Era Galáctica del Real Madrid,은하 군단
La Acebeda,라아세베다
Productores de Música de España,푸로무시카에
École pour l'informatique et les nouvelles technologies,에피텍
Priorato (vino),프리오라트 포도주
Estación de Argüelles,아르궤예스역
Línea 9 (Metro de Madrid),마드리드 지하철 9호선
Chamberí,참베리
Línea 10 (Metro de Madrid),마드리드 지하철 10호선
Centro (Madrid),센트로 (마드리드)
Estación de Lago,라고역
Ciudad Lineal,시우다드리네알
Universidad Politécnica de Cataluña,카탈루냐 공과대학교
Espronceda (Navarra),에스프론세다
Metro de Málaga,말라가 지하철
Hortaleza,오르탈레사
Estación de Sol,솔역
Estación de La Elipa,라 엘리파역
Clasificación de Conmebol para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 남미 지역 예선
Chamartín,차마르틴
Iberia Express,이베리아 익스프레스
Villa de Vallecas,비야데바예카스
Mora (Toledo),모라 (스페인)
Teleférico de Montserrat,몬세라트 케이블카
Plaza de Oriente,오리엔테 광장
Estación de Plaza de España/Noviciado,플라사 데 에스파냐 / 노비시아도역
Estación de Canal,카날역
Estación de Pavones,파보네스역
Estación de Ríos Rosas,리오스 로사스역
Estación de República Argentina,레푸블리카 아르헨티나역
Estación de Rivas Vaciamadrid,리바스 바시아마드리드역
Estación de Rivas-Urbanizaciones,리바스 우르바니사시오네스역
Estación de Alto del Arenal,알토 델 아레날역
Estación de Pacífico,파시피코역
Estación de Bilbao (Metro de Madrid),빌바오역
Estación de Méndez Álvaro,멘데스 알바로역
Estación de San Cipriano,산 시프리아노역
Estación de Lista,리스타역
Estación de Sierra de Guadalupe,시에라 데 과달루페역
Pestiño,페스티뇨
Estación de Vinateros,비나테로스역
España en los Juegos Olímpicos de París 1924,1924년 하계 올림픽 스페인 선수단
Estación de O'Donnell,오도넬역
Estación de Tribunal,트리부날역
Estación de Vicálvaro (Metro de Madrid),비칼바로역
Estación de Miguel Hernández,미겔 에르난데스역
Estación de Buenos Aires (Metro de Madrid),부에노스 아이레스역
Estación de Villaverde Alto,비야베르데 알토역
Estación de Bambú,밤부역
El Álamo (Comunidad de Madrid),엘알라모
Estación de La Rambla,라 람블라역
Estación de Las Tablas,라스 타블라스역
Estación de Estadio Metropolitano,에스타디오 메트로폴리타노역
Estación de Hospital Infanta Sofía,오스피탈 인판타 소피아역
Estación de Cuzco,쿠스코역
Estación de Las Musas,라스 무사스역
Estación de Barrio del Puerto,바리오 델 푸에르토역
Estación de Antonio Machado,안토니오 마차도역
Estación de Canillas,카니야스역
Estación de Colón,콜론역
Estación de Esperanza,에스페란사역
Estación de Banco de España,방코 데 에스파냐역
Estación de Alonso Martínez,알론소 마르티네스역
Estación de Alonso Cano,알론소 카노역
Estación de Alfonso XIII,알폰소 XIII역
Estación de Palos de la Frontera,팔로스 데 라 프론테라역
Estación de Simancas,시망카스역
Estación de Ascao,아스카오역
Estación de Campamento,캄파멘토역
Estación de San Lorenzo,산 로렌소역
Estación de Arturo Soria,아르투로 소리아역
Estación de Quintana,킨타나역
Estación de Serrano,세라노역
Estación de Velázquez (Metro de Madrid),벨라스케스역
Estación de Suanzes,수안세스역
Estación de García Noblejas,가르시아 노블레하스역
Estación de El Carmen,엘 카르멘역
Estación de Parque de las Avenidas,파르케 데 라스 아베니다스역
Estación de Parque de Santa María,파르케 데 산타 마리아역
Estación de Opañel,오파녤역
Estación de Laguna,라구나역
Estación de Valdezarza,발데사르사역
Estación de Lacoma,라코마역
Estación de San Blas,산 블라스역
Estación de Avenida de la Ilustración,아베니다 데 라 일루스트라시온역
Estación de Alto de Extremadura,알토 데 엑스트레마두라역
Estación de Puerta del Ángel,푸에르타 델 앙헬역
Estación de Begoña,베고냐역
Estación de Vicente Aleixandre,메트로폴리타노역
Estación de Carpetana,카르페타나역
Estación de Guzmán el Bueno,구스만 엘 부에노역
Estación de Ciudad Universitaria,시우다드 우니베르시타리아역
Estación de Aviación Española,아비아시온 에스파뇰라역
Estación de Pan Bendito,판 벤디토역
Estación de Universidad Rey Juan Carlos,우니베르시다드 레이 후안 카를로스역
Estación de Carabanchel Alto,카라반첼 알토역
Estación de Parque Oeste,파르케 오에스테역
Alginet,알히네트
Estación de Abrantes,아브란테스역
Estación de Pradillo,프라디요역
Estación de La Peseta,라 페세타역
Estación de Hospital de Móstoles,오스피탈 데 모스톨레스역
Estación de Parque de los Estados,파르케 데 로스 에스타도스역
Estación de Parque Europa,파르케 에우로파역
Estación de Puerta del Sur,푸에르타 델 수르역
Estación de Julián Besteiro,훌리안 베스테이로역
Estación de San Nicasio,산 니카시오역
Oreja de cerdo,돼지 귀
Estación de Los Espartales,로스 에스파르탈레스역
Estación de Hospital Severo Ochoa,오스피탈 세베로 오초아역
Estación de Casa del Reloj,카사 델 렐로역
Estación de Getafe Central,헤타페 센트랄역
Estación de Loranca,로랑카역
Estación de Manuela Malasaña,마누엘라 말라사냐역
Estación de Arroyo Culebro,아로요 쿨레브로역
Estación de Alonso de Mendoza,알론소 데 멘도사역
Estación de El Bercial,엘 베르시알역
Estación de El Carrascal,엘 카라스칼역
Demografía de España,스페인의 인구
Derbi barcelonés,바르셀로나 더비
Supercopa de España de Fútbol 2012,수페르코파 데 에스파냐 2012
Animadrid,마드리드 국제 애니메이션 영화제
Sobrino de Botín,소브리노 데 보틴
Club de Fútbol Badalona Futur,CF 바달로나 푸투르
Semana Internacional de Cine de Valladolid,바야돌리드 국제 영화제
Catedral de San Pedro (Vic),비크 성당
Club de Fútbol Rayo Majadahonda,CF 라요 마하다온다
Estación de Príncipe Pío,프린시페 피오역
Marbella Fútbol Club,마르베야 FC
Volotea,볼로테아
Clasificación de CAF para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 아프리카 지역 예선
ASL Airlines Spain,ASL 항공 스페인
Reino de Toledo (Corona de Castilla),톨레도 왕국
Estadio Nuevo Mirandilla,에스타디오 누에보 미란디야
Estación de Hospitalet/Rambla Just Oliveras,루스피탈레트데류브레가트역
Ecce Homo de Borja,에케 호모 (엘리아스 가르시아 마르티네스)
Elecciones en España,스페인의 선거
Radio Nacional de España,RNE
Estación de Bellvitge Rambla Marina,벨비제역 (바르셀로나 지하철)
Campeonato Mundial de Gimnasia Rítmica de 1985,1985년 세계 리듬 체조 선수권 대회
Supercopa de España de Fútbol 2010,수페르코파 데 에스파냐 2010
Estación de Acacias / Embajadores,아카시아스 / 엠바하도레스역
Estradiote,스트라디오트
Estación de Florida,플루리다역
Copa de la Paz 2003,2003년 피스컵
Unión Deportiva Almería "B",UD 알메리아 B
Arganzuela,아르간수엘라
San Blas-Canillejas,산블라스카니예하스
Retiro (Madrid),레티로 (마드리드)
Sociedad Deportiva Lemona,SD 레모나
Estación de Sainz de Baranda,사인스 데 바란다역
Puente Nuevo (Ronda),누에보 다리
Estación de Cruz del Rayo,크루스 델 라요역
Estación de Torrassa,토라사역
La puerta del Infierno (escultura),지옥의 문
Puente Viejo (Ronda),비에호 다리
Puente de Vallecas,푸엔테데바예카스
Supercopa de España de Fútbol 2007,수페르코파 데 에스파냐 2007
Copa del Rey de fútbol 1980-81,코파 델 레이 1980-81
Estación de Ventas,벤타스역
Estación del Arte,아토차역 (마드리드 지하철)
Supercopa de España de Fútbol 1988,수페르코파 데 에스파냐 1988
Supercopa de España de Fútbol 1983,수페르코파 데 에스파냐 1983
Fútbol Club Barcelona "C",FC 바르셀로나 C
Domain hack,도메인 핵
Estación de Mar de Cristal,마르 데 크리스탈역
Supercopa de España de Fútbol 2003,수페르코파 데 에스파냐 2003
Plaza de España (Barcelona),에스파냐 광장 (바르셀로나)
Supercopa de España de Fútbol 1998,수페르코파 데 에스파냐 1998
Valla de Ceuta,세우타 국경철책
McDonald's Championship FIBA-NBA,맥도날드 챔피언십
Supercopa de España de Fútbol 1985,수페르코파 데 에스파냐 1985
Moncloa-Aravaca,몽클로아아라바카
Copa del Rey de fútbol 1982-83,코파 델 레이 1982-83
Estación de Pinar del Rey,피나르 델 레이역
Denominación de Origen Vinagre de Jerez,셰리 식초
Estación de El Casar,엘 카사르역
Supercopa de España de Fútbol 2000,수페르코파 데 에스파냐 2000
Supercopa de España de Fútbol 1995,수페르코파 데 에스파냐 1995
Estación de Hostafrancs,우스타프랑스역
Estación de Can Serra,칸 세라역
Estación de Aeropuerto T4,아에로푸에르토 T4역
Estación de Ventura Rodríguez,벤투라 로드리게스역
Estación de Avenida Carrilet,아빙구다 카릴레트역
Estación de Hospital de Bellvitge,우스피탈 데 벨비제역
Estación de Santa Eulàlia,산타 에울랄리아역
Universiada de invierno de 2015,2015년 동계 유니버시아드
Irizar,이리사르
Parque de María Luisa,마리아 루이사 공원
Copa del Rey de Fútbol 1914,코파 델 레이 1914
Palacio de Linares,리나레스궁
Tata Hispano,타타 이스파노
Estadio Carlos Tartiere (1932),에스타디오 카를로스 타르티에레 (1932년)
Supercopa de España de Fútbol 2009,수페르코파 데 에스파냐 2009
Estación de Ciudad de los Ángeles,시우다드 데 로스 앙헬레스역
Estación de Alameda de Osuna,알라메다 데 오수나역
Copa Intercontinental 1974,1974년 인터콘티넨털컵
Estación de Cuatro Caminos,콰트로 카미노스역
Copa Federación (España),코파 페데라시온
Club de Madrid,마드리드클럽
Selección de fútbol sub-23 de España,스페인 U-23 축구 국가대표팀
Estación de Pío XII,피오 XII역
Estación de Ciudad Lineal,시우다드 리네알역
Estación de Plaza de Sants,플라사 데 산츠역
Clasificación de UEFA para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 유럽 지역 예선
Primavera Sound,프리마베라 사운드
Estación de Henares,에나레스역
Línea 1 (Metro Ligero de Madrid),마드리드 경전철 1호선
Estación de Fuencarral (Metro de Madrid),푸엥카랄역
Estación de Batán,바탄역
Estación de Montecarmelo,몬테카르멜로역
Estación de La Moraleja,라 모랄레하역
Estación de Reyes Católicos (Metro de Madrid),레예스 카톨리코스역
Estación de Puerta de Arganda,푸에르타 데 아르간다역
Estación de Aluche,알루체역
Estación de Peñagrande,페냐그란데역
Estación de Jarama,하라마역
Estación de Cartagena (Metro de Madrid),카르타헤나역
Estación de San Fernando (Metro de Madrid),산 페르난도역
Estación de San Fermín-Orcasur,산 페르민-오르카수르역
Estación de Eugenia de Montijo,에우헤니아 데 몬티호역
Montes vascos,바스크산맥
Estación de Estrecho,에스트레초역
Estación de Callao,카야오역
Estación de San Bernardo (Metro de Madrid),산 베르나르도역
Estación de Diego de León,디에고 데 레온역
Estación de Rivas Futura,리바스 푸투라역
Estación de Conde de Casal,콘데 데 카살역
Estación de Moncloa,몽클로아역
Horchata,오르차타
Río Tirón,티론강
Estación de Sevilla (Metro de Madrid),세비야역
Estación de Hortaleza,오르탈레사역
Estación de Carabanchel,카라반첼역
Estación de Legazpi,레가스피역
Estación de Prosperidad,프로스페리다드역
Estación de Villaverde Bajo-Cruce,비야베르데 바호-크루세역
Estación de El Capricho,엘 카프리초역
Estación de Puerta de Toledo,푸에르타 데 톨레도역
Estación de Empalme,엠팔메역
Estación de Retiro,레티로역
Estación de Oporto,오포르토역
Estación de Manuel Becerra,마누엘 베세라역
Estación de Rubén Darío,루벤 다리오역
Estación de Marqués de Vadillo,마르케스 데 바디요역
Estación de Pirámides,피라미데스역
Estación de Valdeacederas,발데아세데라스역
Estación de Gregorio Marañón,그레고리오 마라뇬역
Estación de San Cristóbal,산 크리스토발역
Estación de Arganda del Rey,아르간다 델 레이역
Estación de Arganzuela-Planetario,아르간수엘라-플라네타리오역
Estación de Torre Arias,토레 아리아스역
Estación de San Francisco,산 프란시스코역
Estación de Colonia Jardín,콜로니아 하르딘역
Estación de Cuatro Vientos,콰트로 비엔토스역
Estación de Colombia,콜롬비아역
Estación de Herrera Oria,에레라 오리아역
Estación de Plaza de Castilla,플라사 데 카스티야역
Copa Intercontinental 1992,1992년 인터콘티넨털컵
Supercopa de España de Fútbol 2002,수페르코파 데 에스파냐 2002
Estación de Ibiza,이비사역
Estación de Estrella,에스트레야역
Eclipse solar del 12 de agosto de 2026,2026년 8월 12일 일식
Municipio (España),스페인의 무니시피오
Copa del Sol,코파 델 솔
Palacio de San Telmo,산텔모궁
Estación de Valdebernardo,발데베르나르도역
Estación de Urgel,우르헬역
Meridiano 1 este,동경 1도
Betis Deportivo Balompié,베티스 데포르티보
Estación de Pitis,피티스역
Estación de Nueva Numancia,누에바 누만시아역
Estación de Barrio de la Concepción,바리오 데 라 콘셉시온역
Estación de Barrio del Pilar,바리오 델 필라르역
Estación de Concha Espina,콘차 에스피나역
Estación de Atocha-Cercanías,아토차-세르카니아스역
Paseo del Prado,파세오 델 프라도
Moratalaz,모라탈라스
Comité Olímpico Español,스페인 올림픽 위원회
Copa del Generalísimo de fútbol 1947-48,코파 델 헤네랄리시모 1947-48
Supercopa de España de Fútbol 2006,수페르코파 데 에스파냐 2006
Estación de Aeropuerto T1-T2-T3,아에로푸에르토 T1-T2-T3역
Museo Nacional de Antropología (España),국립 인류학 박물관 (스페인)
Renfe,렌페
Supercopa de España de Fútbol 1982,수페르코파 데 에스파냐 1982
Supercopa de España de Fútbol 1999,수페르코파 데 에스파냐 1999
Estación de Portazgo,포르타스고역
Estación de Puente de Vallecas,푸엔테 데 바예카스역
Estación de La Poveda,라 포베다역
Estación de Menéndez Pelayo,메넨데스 펠라요역
Estación de Barajas,바라하스역
Paralelo 43 norte,북위 43도
Estación de Tirso de Molina,티르소 데 몰리나역
Estación de Antón Martín,안톤 마르틴역
Plaza de la Villa,비야 광장
Estación de Nuevos Ministerios,누에보스 미니스테리오스역
MercurySteam,머큐리스팀
Nacionalcatolicismo,국민가톨릭
Tratado de San Lorenzo (1795),핑크니 조약
Meridiano 5 oeste,서경 5도
Estación de Santiago Bernabéu,산티아고 베르나베우역
Estación de Feria de Madrid,페리아 데 마드리드역
Pulpo a la gallega,폴부 아 페이라
Estadio Municipal de Montilivi,에스타디 무니시팔 데 몬틸리비
Radio Exterior de España,라디오 엑스테리오르 데 에스파냐
Estación de Santo Domingo,산토 도밍고역
Estación de Gran Vía,그란 비아역
El Miguelete,미겔레테탑
