Deutschland,ドイツ
Helvetia (Zug),ヘルヴェティア・(列車)
Kronach,クローナハ
Glücksburg (Ostsee),グリュックスブルク
Mönchberg,メンヒベルク
Wachenroth,ヴァッヒェンロート
Bad Karlshafen,バート・カールスハーフェン
Fehmarnbelt,フェーマルン・ベルト海峡
Apfeldorf,アプフェルドルフ
Gelnhausen,ゲルンハウゼン
Collenberg,コレンベルク
Thale,ターレ
Marktheidenfeld,マルクトハイデンフェルト
Angewandte Chemie (Zeitschrift),アンゲヴァンテ・ケミー
Röttingen,レッティンゲン
Poxdorf (Oberfranken),ポックスドルフ・(オーバーフランケン)
Bad Schwalbach,バート・シュヴァルバッハ
Löwenstein,レーヴェンシュタイン
Aremberg,アレンベルク
Wunsiedel,ヴンジーデル
Grünberg (Hessen),グリューンベルク
Kelberg,ケルベルク
Mainfränkische Dialekte,マインフランク語
Oldenburg in Holstein,オルデンブルク・イン・ホルシュタイン
Diedorf,ディードルフ
Rodewald,ローデヴァルト
Bad Neuenahr-Ahrweiler,バート・ノイェンアール＝アールヴァイラー
Auerstedt,アウエルシュテット
NSU-Fiat,ネッカー・(自動車メーカー)
Nebelhorn Trophy,ネーベルホルン杯
Schwarzach (Odenwald),シュヴァルツァハ・(オーデンヴァルト)
Pfedelbach,プフェーデルバッハ
Waldbrunn (Odenwald),ヴァルトブルン・(オーデンヴァルト)
Massenbachhausen,マッセンバッハハウゼン
Bad Arolsen,バート・アーロルゼン
Quakenbrück,クヴァーケンブリュック
Meersburg,メーアスブルク
Bad Krozingen,バート・クロツィンゲン
Oberdachstetten,オーバーダハシュテッテン
Wieseth,ヴィーゼト
Blankenbach,ブランケンバッハ
Untergruppenbach,ウンターグルッペンバッハ
Obrigheim (Baden),オーブリヒハイム・(バーデン)
Mulfingen,ムルフィンゲン
Alsbach-Hähnlein,アルスバッハ＝ヘーンライン
Philharmonisches Staatsorchester Hamburg,ハンブルク・フィルハーモニカー
Schefflenz,シェフレンツ
Landolfshausen,ランドルフスハウゼン
Schöntal,シェーンタール
Duderstadt,ドゥーダーシュタット
Unkel,ウンケル
Mertingen,メルティンゲン
Bundesministerium der Finanzen,連邦財務省・(ドイツ)
Marxistisch-Leninistische Partei Deutschlands,ドイツ・マルクス・レーニン主義党
Sonneberg,ゾンネベルク
Estorf (Landkreis Stade),エストルフ・(シュターデ郡)
Westertimke,ヴェスターティムケ
Blender (Landkreis Verden),ブレンダー・(フェルデン郡)
J. G. Anschütz,アンシュッツ・(銃器メーカー)
Don Karlos (Schiller),ドン・カルロス・(戯曲)
Bundesministerium der Justiz,連邦司法省・(ドイツ)
Diepholz,ディープホルツ
Rotenburg (Wümme),ローテンブルク・(ヴュンメ)
Rinteln,リンテルン
Northeim,ノルトハイム
Birstein,ビルシュタイン・(マイン＝キンツィヒ郡)
Badisches Staatstheater Karlsruhe,カールスルーエ・バーデン州立劇場
Jühnde,ユーンデ
Korbach,コルバッハ
Hellwege,ヘルヴェーゲ
Hemslingen,ヘムスリンゲン
Jastorf-Kultur,ヤストルフ文化
Lilienthal,リリエンタール
Hipstedt,ヒプシュテット
Hassendorf,ハッセンドルフ
Freinsheim,フラインスハイム
Stinstedt,シュティンシュテット
Balje,バリエ
Farven,ファルフェン
Beilstein (Württemberg),バイルシュタイン・(ハイルブロン郡)
Krautheim,クラウトハイム・(ホーエンローエ郡)
Rhens,レンス
Battenberg (Eder),バッテンベルク・(エーダー)
Melsungen,メルズンゲン
Nastätten,ナシュテッテン
Kaisersesch,カイザーゼッシュ
Biedenkopf,ビーデンコプフ
Laufach,ラウファッハ
Kirchardt,キルヒャルト
Kastellaun,カステラウン
Markt Berolzheim,マルクト・ベロルツハイム
Ravenstein,ラーヴェンシュタイン
Visselhövede,フィッセルヘーヴェデ
Burgwedel,ブルクヴェーデル
Kirchtimke,キルヒティムケ
Emmelshausen,エンメルスハウゼン
Groß-Bieberau,グロース＝ビーベラウ
Wolfhagen,ヴォルフハーゲン
Landschaftspark Duisburg-Nord,デュースブルク・ノルト景観公園
Schlitz (Vogelsbergkreis),シュリッツ・(フォーゲルスベルク郡)
Ransbach-Baumbach,ランスバッハ＝バウムバッハ
Katlenburg-Lindau,カトレンブルク＝リンダウ
Bad Iburg,バート・イーブルク
Oyten,オイテン
Schleswig,シュレースヴィヒ・(都市)
Pattensen,パッテンゼン
SAP,SAP・(企業)
Hardheim,ハルトハイム
Strullendorf,シュトルレンドルフ
Bacharach,バッハラッハ
Steinkirchen (Altes Land),シュタインキルヒェン・(アルテス・ラント)
Thurnau,ツルナウ
Asbach-Bäumenheim,アスバッハ＝ボイメンハイム
Langensendelbach,ランゲンゼンデルバッハ
Deutsche Oper am Rhein,ライン・ドイツ・オペラ
Bahnstrecke Berlin–Hamburg,ベルリン-ハンブルク線
DR-Baureihe ET 91,ドイツ国鉄ET91形電車
Waldeck (Stadt),ヴァルデック
Oldendorf (Landkreis Stade),オルデンドルフ・(シュターデ郡)
Bassum,バッスム
Osterbruch,オースターブルーフ
Ebersdorf (Niedersachsen),エーバースドルフ・(ニーダーザクセン)
Aufseß,アウフゼス
Siegelsbach,ジーゲルスバッハ
Freistatt,フライシュタット
Bremervörde,ブレーマーフェルデ
Neuenkirchen (Altes Land),ノイエンキルヒェン・(アルテス・ラント)
Dornier Do 32,ドルニエ・Do・32
Bahnstrecke Goldshöfe–Crailsheim,上ヤクスト線
Brest (Niedersachsen),ブレスト・(ニーダーザクセン)
Scheeßel,シェーセル
Friedberg (Bayern),フリートベルク・(バイエルン)
Bad Belzig,バート・ベルツィヒ
Herrenknecht,ヘレンクネヒト
Rosa-Luxemburg-Stiftung,ローザ・ルクセンブルク財団
Widdern,ヴィッデルン
Erlenbach am Main,エルレンバッハ・アム・マイン
Kirchzell,キルヒツェル
FC Bayern München (Frauenfußball),FCバイエルン・ミュンヘン・(女子)
Nieder-Olm,ニーダー＝オルム
Glattbach,グラットバッハ
Gößweinstein,ゲスヴァインシュタイン
Veitsbronn,ファイツブロン
DB Schenker,DBシェンカー
Samtgemeinde Eilsen,ザムトゲマインデ・アイルゼン
Internationale Filmfestspiele Berlin 1996,第46回ベルリン国際映画祭
DR-Baureihe 05,ドイツ国鉄05形蒸気機関車
Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz,ベルリン＝ブランデンブルク＝シュレージシェ・オーバーラウジッツ福音主義教会
Marklohe,マルクローエ
Tierpark Hagenbeck,ハーゲンベック動物園
Wischhafen,ヴィシュハーフェン
Beckdorf,ベックドルフ
Schwarzenbach am Wald,シュヴァルツェンバッハ・アム・ヴァルト
Seedorf (bei Zeven),ゼードルフ・(ローテンブルク郡)
Waldmohr,ヴァルトモア
Deutsche Meisterschaften im Eiskunstlauf,ドイツフィギュアスケート選手権
Feuchtwangen,フォイヒトヴァンゲン
SG Wattenscheid 09,SGヴァッテンシャイト
Heppenheim (Bergstraße),ヘッペンハイム
Reckendorf,レッケンドルフ
Eberstadt (Württemberg),エーバーシュタット・(ハイルブロン郡)
Rieneck,リーネック
Gelchsheim,ゲルヒスハイム
Graben (Lechfeld),グラーベン・(シュヴァーベン)
Langerringen,ランゲルリンゲン
Heideck,ハイデック
Windsbach,ヴィンツバッハ
Petersaurach,ペータースアウラハ
Wilburgstetten,ヴィルブルクシュテッテン
Basketball-Bundesliga,バスケットボール・ブンデスリーガ
Nidderau,ニッデラウ
Neuenkirchen (Land Hadeln),ノイエンキルヒェン・(ハーデルン)
Waldenburg (Württemberg),ヴァルデンブルク・(ホーエンローエ郡)
Kirchenlamitz,キルヒェンラーミッツ
Gundelsheim (Oberfranken),グンデルスハイム・(オーバーフランケン)
Seckach,ゼッカハ
Kaub,カウプ
Rednitzhembach,レドニッツヘムバッハ
Traben-Trarbach,トラーベン＝トラーバッハ
Grafschaft Sayn,ザイン伯領
Frankfurter Engel,フランクフルトの天使像
Kröv,クレフ・(ドイツ)
Drögmöller,ドレクメーラー
Wilhermsdorf,ヴィルヘルムスドルフ
Lorsch,ロルシュ
Ronshausen,ロンスハウゼン
Bürstadt,ビュールシュタット
Schwaigern,シュヴァイゲルン
Diebach,ディーバッハ
Bundesministerium des Innern und für Heimat,連邦内務省・(ドイツ)
Igensdorf,イゲンスドルフ
Issigau,イシガウ
Rehburg-Loccum,レーブルク＝ロックム
Wolframs-Eschenbach,ヴォルフラムス＝エッシェンバッハ
Elsdorf (Niedersachsen),エルスドルフ・(ニーダーザクセン)
Döhlau,デーラウ
Wallenfels,ヴァレンフェルス
Schauenstein,シャウエンシュタイン
Gräfenberg,グレーフェンベルク
Teuschnitz,トイシュニッツ
Lichtenberg (Oberfranken),リヒテンベルク・(オーバーフランケン)
Penzing (Bayern),ペンツィング・(バイエルン)
Daimler-Benz,ダイムラー・ベンツ
Neckargerach,ネッカーゲラハ
Oschersleben (Bode),オシャースレーベン・(ボーデ)
Dieburg,ディーブルク
Berliner Ringbahn,ベルリン環状線
Pürgen,ピュルゲン
Asendorf (Landkreis Diepholz),アーゼンドルフ・(ディープホルツ郡)
Berg (Oberfranken),ベルク・(オーバーフランケン)
Karlstadt,カールシュタット
Kleinostheim,クラインオストハイム
Deinste,ダインステ
Weismain,ヴァイスマイン
Baisweil,バイスヴァイル
Kalchreuth,カルヒロイト
Freiburg/Elbe,フライブルク/エルベ
Wohnste,ヴォーンステ
Hoechst,ヘキスト・(化学メーカー)
Weißenthurm,ヴァイセンツルム
Internationale Filmfestspiele Berlin 1993,第43回ベルリン国際映画祭
Bad Breisig,バート・ブライジク
Baumholder,バウムホルダー
Bad Sachsa,バート・ザクサ
Birkenfeld,ビルケンフェルト・(ナーエ)
Bad Friedrichshall,バート・フリードリヒスハル
Bürgstadt,ビュルクシュタット
Miltenberg,ミルテンベルク
Erlenbach bei Marktheidenfeld,エルレンバッハ・バイ・マルクトハイデンフェルト
Himmelstadt,ヒンメルシュタット
Marktredwitz,マルクトレドヴィッツ
Prosselsheim,プロッセルスハイム
Westendorf (Landkreis Augsburg),ヴェステンドルフ・(アウクスブルク郡)
Ohrdruf,オーアドルフ
Greiz,グライツ
Creußen,クロイセン
Cochem,コッヘム
Wemding,ヴェムディング
Bad Wildbad,バート・ヴィルトバート
Frickenhausen am Main,フリッケンハウゼン・アム・マイン
Mühltal,ミュールタール
Lehrberg,レールベルク
Irrel,イアレル
Kobern-Gondorf,コーバン＝ゴンドルフ
Kleinheubach,クラインホイバッハ
Riedenheim,リーデンハイム
TUIfly,TUIフライ・ドイッチュラント
Sandbostel,ザントボステル
Hallerndorf,ハレルンドルフ
Höchberg,ヘーヒベルク
Gössenheim,ゲッセンハイム
Mittelsinn,ミッテルジン
Birkenfeld (Unterfranken),ビルケンフェルト・(ウンターフランケン)
Eisenheim,アイゼンハイム
Oberpleichfeld,オーバープライヒフェルト
Hafenlohr,ハーフェンロール
Gattendorf (Oberfranken),ガッテンドルフ・(オーバーフランケン)
Kalbe (Niedersachsen),カルベ・(ニーダーザクセン)
Tiste,ティステ
Wassertrüdingen,ヴァッサートリューディンゲン
Gersthofen,ゲルストホーフェン
Forchtenberg,フォルヒテンベルク
Obertrubach,オーバートルバッハ
Faulbach,ファウルバッハ
Lauffen am Neckar,ラウフェン・アム・ネッカー
Weibersbrunn,ヴァイバースブルン
Theilheim,タイルハイム
Denklingen,デンクリンゲン
Estenfeld,エステンフェルト
Herrstein,ヘルシュタイン
Auhausen,アウハウゼン
Buch am Wald,ブーフ・アム・ヴァルト
Scholen,ショーレン
Marktgraitz,マルクトグライツ
Schwaförden,シュヴァフェルデン
Rhade,ラーデ
Eggolsheim,エゴルスハイム
Ehrenburg (Niedersachsen),エーレンブルク・(ニーダーザクセン)
Braunfels,ブラウンフェルス・(ヘッセン)
Idstein,イトシュタイン
Waake,ヴァーケ
Nestlé Purina PetCare,ネスレピュリナペットケア
Sudwalde,ズートヴァルデ
Dentlein am Forst,デントライン・アム・フォルスト
Geroldsgrün,ゲロルツグリュン
Dorfprozelten,ドルフプロツェルテン
Stemshorn,シュテムスホルン
Kirchehrenbach,キルヒエーレンバッハ
Rehden,レーデン・(ドイツ)
Schwarme,シュヴァルメ
Burgoberbach,ブルクオーバーバッハ
Wilstedt,ヴィルシュテット・(ニーダーザクセン)
Ellgau,エルガウ
Liste der Verkehrsflughäfen in Deutschland,ドイツの空港の一覧
Hausen (bei Aschaffenburg),ハウゼン・(ミルテンベルク郡)
Rothenbuch,ローテンブーフ
Theilenhofen,タイレンホーフェン
Höttingen,ヘッティンゲン
Westheim (Landkreis Weißenburg-Gunzenhausen),ヴェストハイム・(ミッテルフランケン)
Haundorf,ハウンドルフ
Mansfeld,マンスフェルト
Wingst,ヴィングスト
Stadtprozelten,シュタットプロツェルテン
Klingenberg am Main,クリンゲンベルク・アム・マイン
Marktoberdorf,マルクトオーバードルフ
Burgsalach,ブルクザラハ
Pfofeld,プフォフェルト
Jünkerath,ユンケラート
Steinfeld (Unterfranken),シュタインフェルト・(ウンターフランケン)
Kleinrinderfeld,クラインリンダーフェルト
Neuhütten (Unterfranken),ノイヒュッテン・(ウンターフランケン)
Rechtenbach,レヒテンバッハ
Hettstadt,ヘットシュタット
Neuenkirchen (bei Bassum),ノイエンキルヒェン・(ディープホルツ郡)
Neuendettelsau,ノイエンデッテルザウ
Stemmen (Landkreis Rotenburg),シュテンメン
Otting,オッティング
Meinheim,マインハイム
Wirges,ヴィルゲス
Neustadt am Main,ノイシュタット・アム・マイン
Urspringen,ウアシュプリンゲン
Triefenstein,トリーフェンシュタイン
Enercon,エネルコン
Hausen bei Würzburg,ハウゼン・バイ・ヴュルツブルク
Schneeberg (Unterfranken),シュネーベルク・(ウンターフランケン)
Retzstadt,レッツシュタット
Eisingen (Bayern),アイジンゲン・(バイエルン)
Bonstetten (Schwaben),ボンシュテッテン・(シュヴァーベン)
Liebenau (Niedersachsen),リーベナウ・(ニーダーザクセン)
Hamann Motorsport,ハーマンモータースポーツ
Ettenstatt,エッテンシュタット
Roden (Unterfranken),ローデン・(ウンターフランケン)
Deep Silver,Deep・Silver
Großheubach,グロースホイバッハ
Schillingsfürst,シリングスフュルスト
Flachslanden,フラハスランデン
Neustadt (Hessen),ノイシュタット・(ヘッセン)
Elsenfeld,エルゼンフェルト
Dürrwangen,デュルヴァンゲン
Ebensfeld,エーベンスフェルト
Dombühl,ドムビュール
Heroldsbach,ヘーロルツバッハ
S-Bahn Rhein-Neckar,ラインネッカーSバーン
Stadtbahn Bochum,ボーフム・シュタットバーン
Braubach,ブラウバッハ
Osten (Oste),オーステン・(オーステ)
Mittelstenahe,ミッテルステナーエ
Beverstedt,ベーヴァーシュテット
Nennslingen,ネンスリンゲン
Neuerburg,ノイアーブルク
Oldenburg (Oldenburg) Hauptbahnhof,オルデンブルク中央駅
Bad Nenndorf,バート・ネンドルフ
Arzfeld,アルツフェルト
Manderscheid,マンダーシャイト・(ベルンカステル＝ヴィットリヒ)
Betzdorf,ベッツドルフ・(ドイツ)
Saarburg,ザールブルク
Münchner Stadtderby,ミュンヘン・ダービー
Bülkau,ビュルカウ
Hollnseth,ホルンゼート
Neuhaus (Oste),ノイハウス・(オーステ)
Deutsche Akademie der Naturforscher Leopoldina,国立科学アカデミー・レオポルディーナ
Westerngrund,ヴェステルングルント
Hiltpoltstein,ヒルトポルトシュタイン
Hollfeld,ホルフェルト
Biberbach (Schwaben),ビーバーバッハ・(シュヴァーベン)
Egloffstein,エグロフシュタイン
Obernburg am Main,オーベルンブルク・アム・マイン
Dormitz,ドルミッツ
Hochstadt am Main,ホーホシュタット・アム・マイン
Wüstenrot,ヴュステンロート
Loxstedt,ロクスシュテット
Belum,ベルム・(クックスハーフェン郡)
Kutzenhausen,クッツェンハウゼン・(バイエルン)
Walsdorf (Oberfranken),ヴァルスドルフ・(オーバーフランケン)
Marktzeuln,マルクトツォイルン
Wiesenthau,ヴィーゼンタウ
Buchdorf,ブーフドルフ
Straßenbahn München,ミュンヘン市電
Heraeus (Unternehmen),ヘレウス
Aurach (Landkreis Ansbach),アウラハ・(アンスバッハ郡)
Pinzberg,ピンツベルク
Kleinsendelbach,クラインゼンデルバッハ
Flein,フライン
Kleinkahl,クラインカール
Königsbrunn,ケーニヒスブルン
Konzerthausorchester Berlin,ベルリン・コンツェルトハウス管弦楽団
Panzerbrigade 39,第39装甲旅団・(ドイツ連邦陸軍)
Eichenbühl,アイヒェンビュール
Tapfheim,タプフハイム
Weilerbach,ヴァイラーバッハ
Hahnstätten,ハンステッテン
Hilter am Teutoburger Wald,ヒルター・アム・トイトブルガー・ヴァルト
Binnen,ビンネン
Kirchheim (Unterfranken),キルヒハイム・(ウンターフランケン)
Langenselbold,ランゲンゼルボルト
Langweid am Lech,ラングヴァイト・アム・レヒ
Geroldshausen,ゲーロルツハウゼン
Thalmässing,タールメッシング
Gaukönigshofen,ガウケーニヒスホーフェン
Glashütten (Oberfranken),グラースヒュッテン・(オーバーフランケン)
Neuenstadt am Kocher,ノイエンシュタット・アム・コッハー
Neuendorf (Unterfranken),ノイエンドルフ・(ウンターフランケン)
Merkendorf (Mittelfranken),メルケンドルフ・(ミッテルフランケン)
Krombach (Unterfranken),クロムバッハ・(ウンターフランケン)
Konz,コンツ・(ドイツ)
Herzberg am Harz,ヘルツベルク・アム・ハルツ
Dörzbach,デルツバッハ
Goldkronach,ゴルトクローナハ
Waischenfeld,ヴァイシェンフェルト
Bremer Vulkan,ブレーマー・フルカン造船所
Samtgemeinde Rodenberg,ザムトゲマインデ・ローデンベルク
Kammerstein,カンマーシュタイン
Greußenheim,グロイセンハイム
Stadthagen,シュタットハーゲン
Rollshausen,ロルスハウゼン
Neusäß,ノイゼス
Unterdießen,ウンターディーセン
Aystetten,アイシュテッテン
Bad Essen,バート・エッセン
Büchenbach,ビューヒェンバッハ
Bieberehren,ビーベレーレン
Willingen (Upland),ヴィリンゲン・(ウプラント)
Hösbach,ヘスバッハ
Holzkirchen (Unterfranken),ホルツキルヒェン・(ウンターフランケン)
Ingelfingen,インゲルフィンゲン
Schwabmünchen,シュヴァープミュンヘン
Horstedt (Sottrum),ホルシュテット・(ニーダーザクセン)
Maasen,マーゼン
Marl (Dümmer),マール・(ニーダーザクセン)
Stadtbergen,シュタットベルゲン
Gebsattel,ゲープザッテル
Turn-Weltmeisterschaften 1994,1994年世界体操競技選手権・(団体)
Turn-Weltmeisterschaften 1989,1989年世界体操競技選手権
Magirus,マギルス
Bechhofen (Mittelfranken),ベヒホーフェン・(フランケン)
Kirchdorf (bei Sulingen),キルヒドルフ・(ニーダーザクセン)
Vorwerk (Niedersachsen),フォアヴェルク・(ニーダーザクセン)
Lamstedt,ラムシュテット
Talheim (Landkreis Heilbronn),タールハイム・(ハイルブロン郡)
Weihenzell,ヴァイエンツェル
Walldürn,ヴァルデュルン
Neudenau,ノイデナウ
Dietenhofen,ディーテンホーフェン
Hüde,ヒューデ
Untermeitingen,ウンターマイティンゲン
Untereisesheim,ウンターアイゼスハイム
Harburg (Schwaben),ハールブルク・(シュヴァーベン)
Effeltrich,エッフェルトリヒ
Ried (bei Mering),リート・(バイエルン)
Düdenbüttel,デューデンビュッテル
Hetzles,ヘッツレス
Huisheim,ヒュースハイム
Uettingen,ユッティンゲン
Geslau,ゲスラウ
Puderbach,プダーバッハ
Evangelisch-lutherische Landeskirche Hannovers,ハノーファー福音ルター派州教会
Stuttgarter Ballett,シュトゥットガルト・バレエ団
Bahnhof Berlin Savignyplatz,サヴィニー広場駅
Sindelsdorf,ジンデルスドルフ
Laudenbach (Unterfranken),ラウデンバッハ・(ウンターフランケン)
Küstrin-Kietz,キュストリン
Buttenheim,ブッテンハイム
Emersacker,エーマースアッカー
Untrasried,ウントラスリート
Thierstein (Fichtelgebirge),ティーエルシュタイン
Künzelsau,キュンツェルスアウ
Mudau,ムーダウ
Schönbrunn im Steigerwald,シェーンブルン・イム・シュタイガーヴァルト
Gerbrunn,ゲルブルン
Wolferstadt,ヴォルファーシュタット
Irsee,イールゼー
Gerolfingen,ゲーロルフィンゲン
Schollbrunn,ショルブルン
Bütthard,ビュットハルト
Tuchenbach,トゥーヒェンバッハ
Reichenbach (Landkreis Kronach),ライヒェンバッハ・(オーバーフランケン)
Schwarzenbach an der Saale,シュヴァルツェンバッハ・アン・デア・ザーレ
Twistringen,ツヴィストリンゲン
Nörten-Hardenberg,ネルテン＝ハルデンベルク
Trogen (Oberfranken),トローゲン・(オーバーフランケン)
Kreiensen,クライエンゼン
Harsdorf,ハルスドルフ
Wirsol,ヴィルソル
Johannesberg (Bayern),ヨハネスベルク・(バイエルン)
Auschwitzprozesse,フランクフルト・アウシュビッツ裁判
Deutsche Gesellschaft für Schädlingsbekämpfung,デゲッシュ・(企業)
Murr (Fluss),ムル川
Langfurth,ラングフルト
Höchstadt an der Aisch,ヘーヒシュタット・アン・デア・アイシュ
Gremsdorf,グレムスドルフ
Wechingen,ヴェヒンゲン
Günzach,ギュンツァハ
Güntersleben,ギュンタースレーベン
United States European Command,アメリカ欧州軍
Egling an der Paar,エーグリング・アン・デア・パール
Hamm (Westfalen) Hauptbahnhof,ハム駅
Wallerstein,ヴァラーシュタイン
Grafengehaig,グラーフェンゲハイク
Thedinghausen,テディングハウゼン
Ködnitz,ケドニッツ
Fichtelberg (Oberfranken),フィヒテルベルク・(オーバーフランケン)
Weidenbach (Mittelfranken),ヴァイデンバッハ・(ミッテルフランケン)
Oberkotzau,オーバーコッツァウ
Obersinn,オーバージン
Fellen,フェレン
Sopor Aeternus,Sopor・Aeternus・and・The・Ensemble・of・Shadows
Naila,ナイラ・(オーバーフランケン)
Daiting,ダイティング
Polle,ポレ
Bruckberg (Mittelfranken),ブルックベルク・(ミッテルフランケン)
Wonsees,ヴォンゼース
Hohenaltheim,ホーエンアルトハイム
Reimlingen,ライムリンゲン
Marktoffingen,マルクトオフィンゲン
Marktleugast,マルクトロイガスト
Tropical Islands,トロピカル・アイランズ
Haag (Oberfranken),ハーク・(オーバーフランケン)
Gunzenhausen,グンツェンハウゼン
Bohmte,ボームテ
Europastraße 531,E531号線
Rattelsdorf,ラッテルスドルフ・(オーバーフランケン)
Lemförde,レムフェルデ
Lengenwang,レンゲンヴァング
Deutsch-japanische Beziehungen,日独関係
Samtgemeinde Niedernwöhren,ザムトゲマインデ・ニーデルンヴェーレン
Obergriesbach,オーバーグリースバッハ
Neudrossenfeld,ノイドロッセンフェルト
Speichersdorf,シュパイヒャースドルフ
Insingen,インジンゲン
Prebitz,プレビッツ
Plankenfels,プランケンフェルス
Presseck,プレセック
Steindorf (Schwaben),シュタインドルフ
Mitteleschenbach,ミッテルエッシェンバッハ
Ehingen am Ries,エーインゲン・アム・リース
Prem,プレム
Karbach (Unterfranken),カルバッハ・(ウンターフランケン)
Osterburken,オスターブルケン
Welden,ヴェルデン
Wolfstein,ヴォルフシュタイン・(ラインラント＝プファルツ)
Täferrot,テーファーロート
Wadern,ヴァーダーン
Lohra,ローラ・(ドイツ)
Ronnenberg,ロネンベルク
Boffzen,ボフツェン
Vahlbruch,ファールブルーフ
Coppenbrügge,コッペンブリュッゲ
Burgdorf (Region Hannover),ブルクドルフ・(ハノーファー広域連合)
Klein Meckelsen,クライン・メッケルゼン
Eckental,エッケンタール
Twistetal,ツヴィステタール
Bubenreuth,ブーベンロイト
Kühlenthal,キューレンタール
Krummendeich,クルンメンダイヒ
Fintel,フィンテル
Pähl,ペール
Kemmern,ケンメルン
Langenaltheim,ランゲンアルトハイム
Gasteig,ガスタイク
Breitengüßbach,ブライテンギュスバッハ
Gablingen,ガプリンゲン
Derental,デーレンタール
Wiedensahl,ヴィーデンザール
Cleebronn,クレーブロン
Cadenberge,カーデンベルゲ
Riedenburg,リーデンブルク
Seeg,ゼーク
Rückholz,リュックホルツ
Salzhemmendorf,ザルツヘンメンドルフ
Frammersbach,フランメルスバッハ
Rain (Lech),ライン・(レヒ)
Genderkingen,ゲンダーキンゲン
Sommerhausen,ゾンマーハウゼン
Ludwigschorgast,ルートヴィヒショルガスト
Frensdorf,フレンスドルフ
Schwanstetten,シュヴァンシュテッテン
Samtgemeinde Altes Amt Lemförde,ザムトゲマインデ・アルテス・アムト・レムフェルデ
Burgwindheim,ブルクヴィントハイム
Samtgemeinde Nienstädt,ザムトゲマインデ・ニーンシュテット
Hagen Hauptbahnhof,ハーゲン中央駅
Samtgemeinde Lindhorst,ザムトゲマインデ・リントホルスト
Gesees,ゲゼース
Stötten am Auerberg,シュテッテン・アム・アウアーベルク
Rettenbach am Auerberg,レッテンバッハ・アム・アウアーベルク
Ronsberg,ロンスベルク
Syke,ジーケ
Oberammergau,オーバーアマガウ
Wustrow (Fischland),ヴストロ
Unterthingau,ウンターティンガウ
Ruderatshofen,ルーデラーツホーフェン
Guttenberg (Oberfranken),グッテンベルク・(オーバーフランケン)
Pappenheim,パッペンハイム
Mensur (Studentenverbindung),メンズーア
Dransfeld,ドランスフェルト
Bundestagswahl 2013,2013年ドイツ連邦議会選挙
Breuna,ブロイナ
Weißdorf,ヴァイスドルフ
Großenwörden,グローセンヴェルデン
Bahrenborstel,バーレンボルステル
Mönchsdeggingen,メンヒスデッギンゲン
Barenburg,バーレンブルク
Harsefeld,ハルゼフェルト
Burgsinn,ブルクジン
Hainsfarth,ハインスファルト
Hamersen,ハマーゼン
Guderhandviertel,グーダーハントフィーアテル
Oberndorf am Lech,オーベルンドルフ・アム・レヒ
Stöttwang,シュテットヴァング
Geltendorf,ゲルテンドルフ
Sonderhofen,ゾンダーホーフェン
Mehlmeisel,メールマイゼル
Samtgemeinde Barnstorf,ザムトゲマインデ・バルンストルフ
Luftfahrzeug-Gesellschaft,ルフト・ファールツォイク・ゲゼルシャフト
Bischberg,ビシュベルク
Priesendorf,プリーゼンドルフ
Lloyd (Automarke),ロイト・(自動車)
Feinwerkbau,ファインベルクバウ
Apensen,アペンゼン
Krolloper,クロルオーパー
Enkenbach-Alsenborn,エンケンバッハ＝アルゼンボルン
Konradsreuth,コンラーツロイト
Töpen,テーペン
Himmelpforten,ヒンメルプフォルテン
Ostereistedt,オスターアイシュテット
Kirchenpingarten,キルヒェンピンガルテン
Offenau,オッフェナウ
Borsig (Unternehmen),ボルジッヒ
Finning,フィニング
Röllbach,レルバッハ
Besatzungsstatut,占領法
Vilgertshofen,フィルゲルツホーフェン
Birkenau (Odenwald),ビルケナウ・(オーデンヴァルト)
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,ヘルムート・シュミット大学ハンブルク
Gnotzheim,グノッツハイム
Wörnitz (Gemeinde),ヴェルニッツ
Trebgast,トレプガスト
Eußenheim,オイセンハイム
Stockheim (Oberfranken),シュトックハイム・(オーバーフランケン)
Fünfstetten,フュンフシュテッテン
Waffenstillstand von Ulm,ウルムの和約・(1647年)
Halbe,ハルベ
Bad Pyrmont,バート・ピルモント
Oettingen in Bayern,エッティンゲン・イン・バイエルン
Dollern,ドレルン
Quernheim,クヴェルンハイム
Grünendeich,グリューネンダイヒ
Gnarrenburg,グナレンブルク
Oederquart,エーダークヴァルト
Sailauf,ザイラウフ
Gessertshausen,ゲッセルツハウゼン
Kleinaitingen,クラインアイティンゲン
Fußball-Bundesliga 1989/90,ドイツ・ブンデスリーガ1989-1990
Schwabsoien,シュヴァープゾイエン
Sommerkahl,ゾンマーカール
Langenneufnach,ランゲンノイフナハ
Weißer Main,白マイン川
Voltlage,ヴォルトラーゲ
Helvesiek,ヘルフェジーク
Friesenried,フリーゼンリート
Diez,ディーツ・(ドイツ)
Bruchhausen-Vilsen,ブルーフハウゼン＝フィルゼン
Hollern-Twielenfleth,ホレルン＝ツヴィーレンフレート
Bischbrunn,ビシュブルン
Lengenbostel,レンゲンボステル
Dickel,ディッケル
Dinkelscherben,ディンケルシェルベン
Jagstzell,ヤクストツェル
Gschwend,クシュヴェント
