Silbo gomero,シルボ
Iberia Sport Club,イベリアSC
Fuentes de León,フエンテス・デ・レオン
Lobón,ロボン
Universidad de Alcalá,アルカラ大学
Operación Puerto,オペラシオン・プエルト
Marmita de bonito,マルミタコ
Serie 440 de Renfe,レンフェ440系電車
Túnel de Gibraltar,ジブラルタルトンネル
Universidad Autónoma de Madrid,マドリード自治大学
Anexo:Pentatlón moderno en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの近代五種競技
Club Balonmano Ciudad Real,BMシウダー・レアル
Binter Canarias,ビンター・カナリア
Caudal Deportivo,カウダル・デポルティーボ
Vuelta a España 2006,ブエルタ・ア・エスパーニャ2006
Clickair,クリックエアー
Coruxo Fútbol Club,コルショFC
Real Madrid Club de Fútbol "C",レアル・マドリードC
BH (empresa),BH・Bikes
Queso de Valdeón,ケソ・デ・バルデオン
Fundación Joan Miró,ミロ美術館
Club Portugalete,クルブ・ポルトゥガレテ
Circuito de Albacete,アルバセテ・サーキット
San Ciprián de Viñas,サン・シブラーオ・ダス・ビーニャス
Manifestación «Som una nació. Nosaltres decidim»,2010年カタルーニャ自治抗議
Coalición Canaria,カナリア連合
Clásica de Almería,クラシカ・デ・アルメリア
Universidad Carlos III de Madrid,マドリード・カルロス3世大学
Queso de Cabrales,カブラレス
Anexo:Judo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの柔道競技
La Teijeira,ア・テイシェイラ
Pabellón Fuente de San Luis,パベリョー・ムニシパル・フォント・デ・サン・リュイス
Cabañas (La Coruña),カバーナス・(ア・コルーニャ県)
Villarmayor (La Coruña),ビラルマイヨール
Melón con jamón,生ハムメロン
Islas Gimnesias,ジムネジアス群島
Banco de España,スペイン銀行
Grupos Antiterroristas de Liberación,反テロリスト解放グループ
Parlamento Vasco,バスク自治州議会
Dover (banda),ドーベル
Accidente de Los Alfaques,ロス・アルファケス大惨事
Astilleros Euskalduna,エウスカルドゥナ
Barakaldo Club de Fútbol,バラカルドCF
Torneo WTA de Barcelona,バルセロナ・レディース・オープン
Comarca de Bergantiños,コマルカ・デ・ベルガンティーニョス
Oficina de Propiedad Intelectual de la Unión Europea,欧州連合知的財産庁
Ruta europea E80,E80号線
Diócesis de Urgel,ウルヘル司教
Avión (Orense),アビオン
Semana Catalana de Ciclismo,セトマナ・カタラナ
Selección femenina de rugby de España,ラグビー女子スペイン代表
Jove (Lugo),ショーベ
Batalla de Belchite,ベリシテの戦い・(1938年)
Azcoitia,アスコイティア
Bizkaibus,ビスカイバス
Bizkaia Arena,ビスカヤ・アレナ
Cambre,カンブレ・(スペイン)
Cedeira,セデイラ
Añana,アニャナ
Agencia EFE,EFE
Endesa,エンデサ
Anexo:Gimnasia en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの体操競技
Latina (Madrid),ラティーナ・(マドリード)
Mobile World Congress,モバイルワールドコングレス
Bilbao Athletic,ビルバオ・アスレティック
Leyes de Burgos,ブルゴス法
Festival de Cine de Sitges,シッチェス・カタロニア国際映画祭
Vista de Toledo,トレド風景
Bloque Nacionalista Galego,ガリシア民族主義ブロック
Bloque por Asturies,アストゥリエス・ブロック
Aranga,アランガ
Culleredo,クジェレード
Premio Alfaguara de Novela,アルファグアラ賞
Club Balonmano Granollers,クルブ・バロンマーノ・グラノリェース
Campeonato Mundial de Bádminton de 2006,2006年世界バドミントン選手権大会
Barcelona-Estación de Francia,フランサ駅
Navarra (vino),ナバーラ・(DO)
Boltaña,ボルターニャ
Ictíneo I,イクティネオI
Catedral de Santa María de Palma de Mallorca,パルマ大聖堂・(スペイン)
Jardín botánico Viera y Clavijo,カナリア・ビエラ・イ・クラビホ植物園
Estación de Abando Indalecio Prieto,ビルバオ＝アバンド駅
Estación de Barcelona-Sans,バルセロナ・サンツ駅
Puerto de Ibañeta,イバニェタ峠
Valdepeñas (Ciudad Real),バルデペーニャス
Selección de fútbol de Canarias,サッカーカナリア諸島代表
Casa de Borbón (España),スペイン・ブルボン朝
Tour de Francia 2014,ツール・ド・フランス2014
Villamanín,ビジャマニン
Palacio Real Mayor de Barcelona,パラウ・レイアル・マジョール
Estación de Valencia-Joaquín Sorolla,バレンシア＝ホアキン・ソローリャ駅
Baquio,バキオ
Vuelta a España 2007,ブエルタ・ア・エスパーニャ2007
Ciudadela (Baleares),シウタデリャ・デ・メノルカ
Ferrocarril en España,スペインの鉄道
Tour de Francia 1976,ツール・ド・フランス1976
Anexo:Saltos en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの飛込競技
BBVA,ビルバオ・ビスカヤ・アルヘンタリア銀行
Grifols,グリフォルス
Aeropuerto de Pamplona,パンプローナ空港
Catalán de Baleares,バレアレス諸島方言
Fraga (Huesca),フラガ
Ribeira,リベイラ
Batalla del Cabo Ortegal,オルテガル岬の海戦
Tour de Francia 1949,ツール・ド・フランス1949
Touro,トウロ
Banesto,バネスト
Bankia,バンキア
Barajas,バラハス
Comarca del Barbanza,コマルカ・ド・バルバンサ
Campeonato Mundial de Hockey sobre Hielo Masculino de 1994,1994年アイスホッケー世界選手権
Bodegas Torres,ミゲル・トーレス・(ワイナリー)
Paralelo 41 norte,北緯41度線
Selección de béisbol de España,野球スペイン代表
Pabellón alemán (Barcelona),バルセロナ・パビリオン
Estadio El Toralín,エスタディオ・エル・トラリン
Estación de Portbou,ポルトボウ駅
Paralelo 42 norte,北緯42度線
Campeonato Mundial de Ciclismo en Pista de 1984,世界選手権自転車競技大会トラックレース1984
MotorLand Aragón,モーターランド・アラゴン
Ruta europea E9,E09号線
Barranco de Badajoz,バダホス峡谷
Orden Hospitalaria de San Juan de Dios,聖ヨハネ病院修道会
Anexo:Categorías regionales de fútbol de España,ディビシオネス・レヒオナレス
Tour de Francia 1961,ツール・ド・フランス1961
Comarca de Pontevedra,コマルカ・デ・ポンテベドラ
Modernismo catalán,モデルニスモ
Montjuic (Barcelona),ムンジュイック
Monterroso,モンテローソ
Estadio Ciudad de Valencia,エスタディオ・シウダ・デ・バレンシア
Catedral de Toledo,トレド大聖堂
Plaza Mayor de Madrid,マヨール広場・(マドリード)
Ejército de Tierra (España),スペイン陸軍
Real Academia de Bellas Artes de San Fernando,王立サン・フェルナンド美術アカデミー
Tratado de Madrid (1526),マドリード条約・(1526年)
Y vasca,バスクY
La Manga del Mar Menor,ラ・マンガ
Anexo:Halterofilia en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのウエイトリフティング競技
Anexo:Final de la Copa Mundial de Fútbol de 1982,1982・FIFAワールドカップ・決勝
Sestao,セスタオ
Campeonato Europeo de Baloncesto Masculino de 1973,1973年バスケットボール男子欧州選手権
Vuelta al País Vasco 2012,バスク一周2012
Campeonato Europeo de Baloncesto Masculino de 1997,1997年バスケットボール男子欧州選手権
Copa Mundial de Baloncesto de 2014,2014年FIBAバスケットボール・ワールドカップ
Vuelta al País Vasco 2006,バスク一周2006
Vuelta al País Vasco 2009,バスク一周2009
Vuelta al País Vasco 2010,バスク一周2010
Vuelta al País Vasco 2008,バスク一周2008
Campeonato de Europa de Béisbol 2007,2007年ヨーロッパ野球選手権大会
Sandianes,サンディアス
Selección de fútbol de Andalucía,サッカーアンダルシア州代表
Güímar,グイマル
Telescopio Óptico Nórdico,北欧光学望遠鏡
San Lorenzo del Cardezar,サン・リュレンス・ダス・カルダサー
Anexo:Premio Donostia del Festival de San Sebastián,ドノスティア賞
Línea de alta velocidad Madrid-Levante,マドリード-レバンテ高速鉄道線
Unió Esportiva Sant Andreu,UEサン・アンドレウ
Basílica de Santa María del Mar,サンタ・マリア・ダル・マル教会
Trofeo Zamora,サモラ賞
Selección de fútbol de Galicia,サッカーガリシア代表
Imperio español en Asia y Oceanía,スペイン領東インド
ElPozo Murcia,エルポソ・ムルシアFS
Oyarzun,オイアルツン
Elipsos,エリプソス
Batalla de Brihuega,ブリウエガの戦い
Generación del 98,98年世代
Estadio de Balaídos,エスタディオ・デ・バライードス
Alcázar de Toledo,アルカサル・(トレド)
El Correo,エル・コレオ
Puigpelat,プッチパラート
Belchite,ベルチテ
Sitio de Sagunto,サグントゥム包囲
Islas Pitiusas,ピティウザス群島
Airbus Defence and Space (España),コンストルクシオネス・アエロナウティカス・S.A.
Convergencia Democrática de Cataluña,カタルーニャ民主集中
Copa Cataluña,コパ・カタルーニャ
Judeoconverso (España),コンベルソ
Unió Mallorquina,マヨルカ連合
Selección de fútbol sub-21 de España,U-21サッカースペイン代表
Adidas Tango España,タンゴ・エスパーニャ
Gran Teatro del Liceo,リセウ大劇場
Sociedad Cultural Deportivo Recreativa Anaitasuna,SCDRアナイタスナ
Els Quatre Gats,四匹の猫
Escuela de Salamanca,サラマンカ学派
Aeropuerto de Reus,レウス空港
Vuelo 610 de Iberia,イベリア航空610便墜落事故
La Boquería,ラ・ボケリア
Liga ACB,リーガACB
Catedral basílica de Nuestra Señora del Pilar (Zaragoza),ヌエストラ・セニョーラ・デル・ピラール聖堂
Lendakari,レンダカリ
Enagás,エナガス
Estadio de Sarriá,エスタディ・デ・サリア
El Punt,アル・プン
Romería de El Rocío,エル・ロシーオの巡礼
Parque nacional de la Sierra de Guadarrama,グアダラマ国立公園
Cobi,コビー・(マスコットキャラクター)
Electrotren,エレクトロトレン
Plaza de España (Madrid),スペイン広場・(マドリード)
BEHER,BEHER
Fútbol Club Barcelona (fútbol sala),FCバルセロナ・(フットサル)
Estadio Municipal de Anduva,エスタディオ・ムニシパル・デ・アンドゥバ
Estadio Ángel Carro,エスタディオ・アンヘル・カロ
Estadio de los Juegos Mediterráneos,エスタディオ・デ・ロス・フエゴス・メディテラネオス
Gran Premio de Cataluña de Motociclismo de 2011,2011年のカタルーニャグランプリ
Carnaval de Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェのカーニバル
Gran Premio de España de motociclismo de 2011,2011年のスペイングランプリ・(ロードレース)
Mellid,メリーデ
Gran Premio de España de Motociclismo,スペイングランプリ・(ロードレース)
Santañí,サンタニー
San José (Baleares),サン・ジュゼブ・ダ・サ・タラヤ
Copa de Campeones de División de Honor Juvenil,コパ・デ・カンペオネス・フベニール
Copa Eva Duarte,コパ・エバ・ドゥアルテ
Copa de la Coronación,コパ・デ・ラ・コロナシオン
Erandio,エランディオ
Base Aérea de Getafe,ヘタフェ空軍基地
Estadio de Vallecas,カンポ・デ・フトボル・デ・バジェカス
Conferencia de Paz de Madrid,中東和平会議
Aeropuerto de Sevilla,セビリア空港
Tranvía de Vélez-Málaga,ベレス＝マラガ・トラム
Ensaimada de Mallorca,エンサイマダ
Comarcas de España,スペインのコマルカ
La Puebla,サ・ポブラ
San Luis (Baleares),サン・リュイス
Pico Viñamala,ヴィニュマール
Línea 5 (Metro de Barcelona),バルセロナ地下鉄5号線
Línea 2 (Metro de Barcelona),バルセロナ地下鉄2号線
Plan España,プラン・インターナショナル
Línea 1 (Metro de Barcelona),バルセロナ地下鉄1号線
Puerto de Barcelona,バルセロナ港
Museo Arqueológico Nacional (España),国立考古学博物館・(スペイン)
Posadas (Córdoba),ポサーダス・(スペイン)
Benicarló,ベニカルロ
Unión de Ligas Europeas de Baloncesto,欧州バスケットボールリーグ連合
San Sadurní de Noya,サン・サドゥルニ・ダノヤ
Orden de Frailes Menores,小さき兄弟会
Aeropuerto de Gran Canaria,グラン・カナリア空港
Momias guanches,グアンチェ族のミイラ
Kelme,ケルメ・(ブランド)
Palacio de la Aljafería,アルハフェリア宮殿
Ames (La Coruña),アメス
Monforte de Lemos,モンフォルテ・デ・レモス
Mérida Unión Deportiva,メリダUD
Jumilla,フミーリャ
Ribadavia,リバダビア・(スペイン)
Trasmiras,トラスミーラス
Segura de León,セグーラ・デ・レオン
Olimpiada Popular,人民オリンピック
Campeonato Mundial de Atletismo en Pista Cubierta de 1991,1991年世界室内陸上競技選手権大会
Marca (periódico),マルカ・(新聞)
El Bulli,エル・ブジ
Estadio de Anoeta,エスタディオ・アノエタ
Mieres,ミエーレス
Foz,フォス・(スペイン)
Samos (Lugo),サモス・(スペイン)
Tafalla,タファリャ
Tomelloso,トメジョーソ
Roncesvalles,ロンセスバーリェス
Vega de Valcarce,ベガ・デ・バルカルセ
Trofeo Teresa Herrera,トロフェオ・テレサ・エレーラ
Fuerzas Aeromóviles del Ejército de Tierra,陸軍航空隊・(スペイン)
Canfranc,カンフランク
Granada 74 Club de Fútbol,グラナダ74CF
Valencia Club de Fútbol Mestalla,バレンシアCF・メスタージャ
Santurce (España),サントゥルツィ
Noya,ノイア
Molina de Segura,モリナ・デ・セグラ
La rendición de Breda,ブレダの開城
Ciudad Rodrigo,シウダ・ロドリーゴ
Ginzo de Limia,シンソ・デ・リミア
Consuegra,コンスエグラ
Campo de Las Corts,カンプ・ダ・ラス・コルツ
Copa del Rey de baloncesto,コパ・デル・レイ・(バスケットボール)
Copa del Rey de balonmano,コパ・デル・レイ・デ・バロンマノ
Sierra de Gredos,グレドス山脈
Onda (Castellón),オンダ・(スペイン)
Paralelo 39 norte,北緯39度線
Meseta Central,メセタ
Serie 289 de Renfe,レンフェ289形電気機関車
Serie 279 de Renfe,レンフェ279形電気機関車
Aeropuerto de Tenerife Sur,テネリフェ・スール空港
Sahagún (España),サアグン・(スペイン)
Plaza de Cataluña,カタルーニャ広場
Cabo Finisterre,フィニステレ岬
Villaverde,ビリャベルデ
Cornisa cantábrica,エスパーニャ・ベルデ
Himno del Fútbol Club Barcelona,カン・ダル・バルサ
Orbea,オルベア
Costa Vasca,コスタ・バスカ
Eroski,エロスキ
Batalla de Bailén,バイレンの戦い
Ribadeo,リバデオ
Tuy (Pontevedra),トゥイ・(スペイン)
Parla,パルラ
Árbol de Guernica,ゲルニカの木
Cola Cao,コラカオ
Torre Picasso,トーレ・ピカソ
SEAT León,セアト・レオン
Berria,ベリア・(新聞)
Bershka,ベルシュカ
Grupo Osborne,オズボーン・グループ
Federación Española de Baloncesto,スペインバスケットボール連盟
Vuelta a España 1978,ブエルタ・ア・エスパーニャ1978
El Escorial,エル・エスコリアル
Vejer de la Frontera,ベヘール・デ・ラ・フロンテーラ
Tomatina,トマティーナ
Puebla del Brollón,ア・ポブラ・ド・ブロジョン
Cambrils,カンブリス
Anexo:Waterpolo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの水球競技
Árabe andalusí,アル・アンダルス＝アラビア語
Costa de la Luz,コスタ・デ・ラ・ルス
Real Balompédica Linense,レアル・バロンペディカ・リネンセ
El Mundo (España),エル・ムンド・(スペイン)
Trofeo Zarra,サラ賞
Nou Mestalla,ノウ・メスタージャ
Don (tratamiento),ドン・(尊称)
Calzada de Calatrava,カルサーダ・デ・カラトラーバ
Palacio de la Moncloa,モンクロア宮殿
Cabana de Bergantiños,カバーナ・デ・ベルガンティーニョス
Castroverde,カストロベルデ
Almarza (Soria),アルマルサ
Batalla de Montiel,モンティエルの戦い
Carnota (La Coruña),カルノータ
Laredo (Cantabria),ラレド・(スペイン)
Obras de Antoni Gaudí (Patrimonio de la Humanidad),アントニ・ガウディの作品群
Aldealices,アルデアリセス
Cariño (La Coruña),カリーニョ
Narón,ナロン
Castro de Rey,カストロ・デ・レイ
Antas de Ulla,アンタス・デ・ウジャ
Oza de los Ríos,オサ・ドス・リオス
Abejar,アベハール
FON,FON
Alentisque,アレンティスケ
Aldealafuente,アルデアラフエンテ
Anexo:Esgrima en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのフェンシング競技
Adradas,アドラーダス
OHLA,OHLA
Base Aérea de Morón,モロン空軍基地
Estadio Romano,エスタディオ・ロマーノ
Cerceda (La Coruña),セルセーダ
Estadio Carlos Belmonte,エスタディオ・カルロス・ベルモンテ
Estadio Cartagonova,エスタディオ・カルタゴノバ
Estadio El Alcoraz,エスタディオ・エル・アルコラス
Estadio Helmántico,エスタディオ・エルマンティコ
Dodro,ドドロ
Laracha,ア・ララーチャ
Estaca de Bares,エスタカ・デ・バレス岬
Oroso,オローソ
Coristanco,コリスタンコ
Boqueijón,ボケイション
Navaluenga,ナバルエンガ
Ugarana,ニヴェル川
Estadio de Mendizorroza,エスタディオ・デ・メンディソロツァ
Estadio Las Gaunas,エスタディオ・ラス・ガウナス
Estadio Municipal de Butarque,エスタディオ・ムニシパル・デ・ブタルケ
Estadio Nueva Balastera,エスタディオ・ヌエバ・バラステラ
Universidad de Navarra,ナバーラ大学
Gran Premio de Cataluña de Motociclismo,カタルーニャグランプリ
Ferrocarril de Sóller,ソーリェル鉄道
Premio Nadal,ナダール賞・(文学)
Estadio Municipal de Chapín,エスタディオ・ムニシパル・デ・チャピン
Junquera de Ambía,シュンケイラ・デ・アンビーア
Festina,フェスティナ
Lluchmayor,リュグマジョー
Leiro,レイロ
Sena de Luna,セナ・デ・ルナ
Castro Caldelas,カストロ・カルデーラス
La Merca,ア・メルカ
Santa Cruz del Retamar,サンタ・クルス・デル・レタマール
Manzanares (Ciudad Real),マンサナーレス・(スペイン)
PS10,プランタ・ソラール10
Coalició Compromís,コンプロミス
Estrella Damm,エストレージャ・ダム
Aprovechamiento tipo,容積率
Estadio Santo Domingo,エスタディオ・ムニシパル・デ・サント・ドミンゴ
Estadio Carlos Tartiere (2000),エスタディオ・カルロス・タルティエレ
Cruz de Santiago,聖ヤコブ十字
Estadio Nuevo Vivero,エスタディオ・ヌエボ・ビベーロ
Lago de Bañolas,バニョラス湖
Estadio Metropolitano (Madrid),エスタディオ・メトロポリターノ
Seseña,セセーニャ
Dos Torres,ドス・トーレス
El Barco de Valdeorras,オ・バルコ・デ・バルデオーラス
Silleda,シジェーダ
Meaño,メアーニョ
Moraña,モラーニャ
Villa de Cruces,ビラ・デ・クルセス
Urdiales del Páramo,ウルディアーレス・デル・パラモ
Campo Lameiro,カンポ・ラメイロ
Gondomar,ゴンドマール・(スペイン)
Carballino,オ・カルバジーニョ
Rúa,ア・ルーア
Esgos,エスゴス
Anexo:Ronda de Barcelona de GP2 Series 2005,2005年GP2スペインラウンド
Openbravo,Openbravo
Carballeda de Valdeorras,カルバジェーダ・デ・バルデオーラス
Muiños,ムイーニョス
Padrenda,パドレンダ
Cenlle,センジェ
Castrelo del Valle,カストレーロ・ド・バル
Val de San Lorenzo,バル・デ・サン・ロレンソ
Coliseum (Getafe),コリセウム・アルフォンソ・ペレス
Proceso de Barcelona,欧州・地中海パートナーシップ
Lalín,ラリン
Constitución española de 1812,スペイン1812年憲法
Club Natació Atlètic Barceloneta,CNアトレティック・バルセロネタ
Fene,フェネ
Premio Biblioteca Breve,ビブリオテーカ・ブレーベ賞
Instituto Nacional de Técnica Aeroespacial,スペイン国立航空宇宙技術研究所
Estadio El Molinón,エスタディオ・ムニシパル・エル・モリノン
El Grove,オ・グローベ
Ortigueira,オルティゲイラ
Alonsótegui,アロンソテギ
Madrid Arena,マドリード・アリーナ
Campeonato Mundial de Atletismo en Pista Cubierta de 1995,1995年世界室内陸上競技選手権大会
Ruta europea E82,E82号線
Sarreaus,サレアウス
Pico Veleta,ベレッタ山
Línea 11 (Metro de Barcelona),バルセロナ地下鉄11号線
Elecciones generales de España de 2008,2008年スペイン総選挙
Campeonato Mundial de Ciclismo en Pista de 1992,世界選手権自転車競技大会トラックレース1992
Curtis,クルティス
Golosalvo,ゴロサルボ
Camariñas,カマリーニャス
Parada del Sil,パラーダ・デ・シル
Vendrell,アル・バンドレイ
Sociedad Deportiva Compostela (2004),SDコンポステラ
Montroig,ムンロッチ・ダル・カム
Centro Europeo de Astronomía Espacial,欧州宇宙天文学センター
Bicicleta Vasca,エウスカル・ビシクレタ
Euskaltel,エウスカルテル
Las Ventas de San Julián,ラス・ベンタス・デ・サン・フリアン
Freixenet,フレシネ
Baños de Molgas,バーニョス・デ・モルガス
Bueu,ブエウ
Illán de Vacas,イリャン・デ・バカス
Hontanar,オンタナール
Almedina,アルメディーナ
Alcubillas,アルクビージャス
Elecciones generales de España de 1996,1996年スペイン総選挙
Elecciones generales de España de 1993,1993年スペイン総選挙
Palmeral de Elche,エルチェの椰子園
Palau Blaugrana,パラウ・ブラウグラナ
Yecla,イェクラ
Vergara,ベルガラ
Aeropuerto de La Coruña,ア・コルーニャ空港
Aeropuerto de Asturias,アストゥリアス空港
Aeropuerto César Manrique-Lanzarote,ランサローテ空港
Baralla,バラージャ
Jorquera (Albacete),ホルケーラ
Exposición Universal de Barcelona (1888),バルセロナ万国博覧会・(1888年)
Aeropuerto de Ciudad Real,シウダ・レアル・セントラル空港
Aeropuerto de Castellón-Costa Azahar,カステリョン＝コスタ・アサアール空港
Central nuclear de Almaraz,アルマラス原子力発電所
Aeropuerto Federico García Lorca Granada-Jaén,グラナダ空港
Aeropuerto de Fuerteventura,フエルテベントゥラ空港
Aeropuerto de Ibiza,イビサ空港
Aeropuerto de Madrid-Cuatro Vientos,マドリード＝クアトロ・ビエントス空港
Rally Dakar de 2008,2008年のダカール・ラリー
Aeropuerto de San Sebastián,サン・セバスティアン空港
Aeropuerto Seve Ballesteros-Santander,サンタンデール空港
Vino de España,スペインワイン
Aeródromo de Teruel,テルエル空港
Unión del Pueblo Navarro,ナバーラ住民連合
Aeropuerto de Valladolid,バリャドリッド空港
Rías Baixas (vino),リアス・バイシャス・(DO)
Aeropuerto de Santiago-Rosalía de Castro,サンティアゴ・デ・コンポステーラ空港
Deva (Guipúzcoa),デバ
Alcira,アルジーラ
Málaga (vino),マラガ・(ワイン)
Aeródromo de San Luis,サン・リュイス飛行場
Elecciones generales de España de 2004,2004年スペイン総選挙
Club de Fútbol Reus Deportiu,CFレウス・デポルティウ
Centro de Satélites de la Unión Europea,欧州連合衛星センター
Alfoz (Lugo),アルフォス
Cabrillanes,カブリジャーネス
Ciudadanos (España),シウダダノス
Barreiros (Lugo),バレイロス
Las Nieves (Pontevedra),アス・ネベス
Placencia de las Armas,ソラルセ＝プラセンシア・デ・ラス・アルマス
Primera División de fútbol sala,プリメーラ・ディビシオン・(フットサル)
Cármenes,カルメネス
Lasarte-Oria,ラサルテ＝オリア
Fútbol base del Fútbol Club Barcelona,ラ・マシア
Guardia Civil,治安警備隊・(スペイン)
Foro Asturias,フォロ・アストゥリアス
Iberdrola,イベルドローラ
Orden de las Artes y las Letras de España,スペイン芸術文学勲章
Allariz,アジャリス
Volta a Cataluña 2007,カタルーニャ一周2007
Golfo de Rosas,ロザス湾
Premios Fotogramas de Plata,フォトグラマス・デ・プラータ
Hernani,エルナニ・(スペイン)
Aeropuerto de Tenerife Norte-Ciudad de La Laguna,テネリフェ・ノルテ空港
Línea de alta velocidad La Sagra-Toledo,ラ・サグラ・-・トレド高速鉄道線
Bandera de la Comunidad Valenciana,バレンシア州の旗
Riotorto,リオトルト
Sober (Lugo),ソベール
Universidad Internacional Menéndez Pelayo,メネンデス・ペラヨ国際大学
Villamartín,ビリャマルティン
Santoña,サントーニャ
Swiftair,スウィフトエア
Santa Comba,サンタ・コンバ
San Saturnino (La Coruña),サン・サドゥルニーニョ
Rois,ロイス
Solana de los Barros,ソラーナ・デ・ロス・バーロス
Santiso,サンティソ
Villagarcía de Arosa,ビラガルシーア・デ・アロウサ
Órdenes,オルデス
Moeche,モエーチェ
Carracedelo,カラセデーロ
Carucedo,カルセード
Corullón,コルジョン
Somozas,アス・ソモーサス
Puentes de García Rodríguez,アス・ポンテス・デ・ガルシーア・ロドリゲス
Teo,テオ
Alsasua,アルツァス/アルサスア
Neda (La Coruña),ネダ
Mazaricos,マサリコス
Monfero,モンフェーロ
Mugardos,ムガルドス
Lesaca,レサカ
Cegama,セガマ
Alhambra (Ciudad Real),アランブラ・(シウダー・レアル県)
Mondariz-Balneario,モンダリス＝バルネアリオ
Abenójar,アベノハル
Carrión de Calatrava,カリオン・デ・カラトラーバ
Dozón,ドソン
Pazos de Borbén,パソス・デ・ボルベン
Palacio Vistalegre,パラシオ・ビスタ・アレグレ
Carballedo,カルバジェード
Rábade,ラバデ
Lanz,ランツ
Trofeo Guruceta,グルセタ賞
Orol,オウロル
Real Escuela Andaluza del Arte Ecuestre,王立アンダルシア馬術学校
Navia de Suarna,ナビア・デ・スアルナ
SEAT Marbella,セアト・マルベーリャ
Priorato (vino),プリオラート・(DOQ)
Productores de Música de España,プロムシカエ
École pour l'informatique et les nouvelles technologies,パリ・デジタルイノベーション大学院
Láncara,ランカラ
Avellanes-Santa Liña,ラス・アベリャーナス・イ・サンタ・リーニャ
Portillo de Toledo,ポルティージョ・デ・トレード
Cospeito,コスペイト
Coria del Río,コリア・デル・リオ
Paderne de Allariz,パデルネ・デ・アジャリス
Pol (Lugo),ポル
Valle de Ancares,カンディン
Peranzanes,ペランサーネス
Mansilla de la Sierra,マンシージャ・デ・ラ・シエラ
Vall de Uxó,ラ・ヴァイ・ドゥイショー
La Vecilla,ラ・ベシージャ
Eskorbuto,エスコルブト
Brión (La Coruña),ブリオン
Batalla del cabo de Palos (1938),パロス岬沖海戦
Lorenzana (Lugo),ロウレンサー
Folgoso de Caurel,フォルゴーソ・ド・コウレル
Saviñao,オ・サビニャーオ
Trazo (La Coruña),トラソ
Vedra,ベドラ
Miño (La Coruña),ミーニョ
El Bollo,オ・ボーロ
Páramo (Lugo),オ・パラモ
Manises,マニゼス
Trabada (Lugo),トラバーダ
Pantón,パントン・(スペイン)
Vimianzo,ビミアンソ
Nogales (Badajoz),ノガーレス・(スペイン)
Frades,フラーデス
Chantada,チャンターダ
Porriño,オ・ポリーニョ
Cervo (Lugo),セルボ・(スペイン)
Nigrán,ニグラン
Moaña,モアーニャ
Sada (La Coruña),サダ・(ア・コルーニャ県)
Sallent de Gállego,サリェント・デ・ガリェゴ
Chamberí,チャンベリ
Centro (Madrid),セントロ・(マドリード)
Ciudad Lineal,シウダー・リネアル
Maceda,マセーダ
Oencia,オエンシア
Motrico,ムトゥリク
Villamartín de Valdeorras,ビラマルティン・デ・バルデオーラス
Noáin,ノアイン
Elgóibar,エルゴイバル
Lousame,ロウサーメ
Caldas de Reyes,カルダス・デ・レイス
Meira (Lugo),メイラ
Burela,ブレーラ・(スペイン)
Hogaza,ローフ
Puerto del Son,ポルト・ド・ソン
Puenteceso,ポンテセソ
Valle del Dubra,バル・ド・ドゥブラ
Lage (La Coruña),ラシェ
Irijoa,イリショーア
Puebla de Trives,ア・ポブラ・デ・トリーベス
Monterrey (España),モンテレイ・(スペイン)
Orio,オリオ
Chamartín,チャマルティン
La Estrada,ア・エストラーダ
Nou Estadi de Tarragona,ノウ・エスタディ・コスタ・ダウラダ
Puente Nuevo,ア・ポンテノーバ
Fonsagrada,ア・フォンサグラーダ
Pastoriza,ア・パストリーサ
Central nuclear de Ascó,アスコー原子力発電所
Batalla del Betis Superior,バエティス川の戦い
Mundo Deportivo,ムンド・デポルティーボ
Tratado de Badajoz (1801),バダホス条約・(1801年)
Vuelta a la Comunidad de Madrid,ブエルタ・ア・ラ・コムニダ・デ・マドリー
Batalla de Teruel,テルエルの戦い
Catedral de Santa María (Valencia),バレンシア大聖堂
Orbest Orizonia Airlines,イベルワールド
Universidad de Deusto,デウスト大学
Distrito de San Andrés (Barcelona),サン・アンドレウ
Ribeiro,リベイロ・(DO)
Renfe Trenhotel,トレンオテル
Fuerzas y cuerpos de seguridad (España),スペインの警察
Universidad de Santiago de Compostela,サンティアゴ・デ・コンポステーラ大学
Vuelta a Castilla y León,ブエルタ・ア・カスティーリャ・イ・レオン
Paradores de Turismo de España,パラドール
Pegaso (automóviles),ペガソ
Peñalara,ペニャラーラ
Virgen del Pilar,ピラールの聖母
Rías Bajas,リアス・バイシャス
Primera División de España 1999-2000,リーガ・エスパニョーラ1999-2000
Siemens Gamesa,シーメンスガメサ・リニューアブル・エナジー
Gara,ガラ・(新聞)
Stadium Gal,スタジアム・ガル
Anexo:Empresas de España,スペインの企業一覧
