George Washington,조지 워싱턴
Morgan Lily,모건 릴리
Yo-Yo Ma,요요 마
Tamika Catchings,타미카 캐칭스
Donna Tartt,도나 타트
Jewel,주얼 드 나일
Hyapatia Lee,하이아파샤 리
Mike Posner,마이크 포즈너
Laura Benanti,로라 베넌티
Kevin Porter,케빈 포터
James Best,제임스 베스트
Mike Stern,마이크 스턴
Laura Dern,로라 던
Emilio Estevez,에밀리오 에스테베즈
Sarah Clarke,세라 클라크
Michelle Dessler,미셸 데슬러
Joe Trohman,조 트로먼
Carol Burnett,캐럴 버넷
Sandra Dee,샌드라 디
Vera Rubin,베라 루빈
Samaire Armstrong,서미어 암스트롱
Kathryn McCormick,캐스린 매코믹
Rachel Corrie,레이철 코리
Mädchen Amick,매션 아믹
Tyne Daly,타인 데일리
Bob Goalby,밥 골비
Olga San Juan,올가 샌 후안
Kay Francis,케이 프랜시스
Stephanie Swift,스테파니 스위프트
Jason Aldean,제이슨 올딘
Trent Dilfer,트렌트 딜퍼
Chuck Palahniuk,척 팔라닉
Ray Romano,레이 로마노
Allison Mack,앨리슨 맥
Mary McCarthy,메리 매카시
Hayley Atwell,헤일리 앳웰
Alisha Klass,알리샤 클라스
Amandla Stenberg,어맨들라 스텐버그
Jackie Robinson,재키 로빈슨
Wynter Gordon,윈터 고든
Alexander Berkman,알렉산더 버크만
T-Pain,티페인
Giuseppe Rossi,주세페 로시
Lauryn Williams,로린 윌리엄스
Amy Irving,에이미 어빙
G. D. Spradlin,G. D. 스프래들린
Jack Knight,잭 나이트
Mihajlo Pupin,미하일로 푸핀
Logan Lerman,로건 러먼
Lynne Cheney,린 체니
Olga Korbut,올가 코르부트
Hilary Putnam,힐러리 퍼트넘
Kim Batten,킴 배튼
Gracie Allen,그레이시 앨런
Edith Head,이디스 헤드
Kimberly Williams-Paisley,킴벌리 윌리엄스페이즐리
Alexandra Paul,알렉산드라 폴
Mitzi Gaynor,미치 게이너
Susan Peters,수전 피터스
Joey Ryan,조이 라이언
Faye Kellerman,페이 켈러먼
Amanda Detmer,어맨다 데트머
Jim Thorpe,짐 소프
Jane Sibbett,제인 시벳
Joan D. Vinge,조앤 D. 빈지
Wendy Schaal,웬디 샬
Sherri Shepherd,셰리 셰퍼드
Dean Lister,딘 리스터
Barbara Hutton,바버라 허턴
Eve Arden,이브 아덴
Anita Baker,애니타 베이커
Shirley Walker,셜리 워커
Agnes Ayres,애그니스 에어스
Eddie Vedder,에디 베더
Jason Newsted,제이슨 뉴스테드
Ned Williamson,네드 윌리엄슨
Verna Felton,버나 펠턴
Mary T. Meagher,메리 T. 머허
Marley Shelton,말리 셸턴
Poppy Montgomery,포피 몽고메리
Titus O'Neil,새디어스 불라드
Russell Westbrook,러셀 웨스트브룩
Paul Stanton,폴 스탠턴
Joseph Whipp,조셉 윕
Mike Portnoy,마이크 포트노이
Betty Compson,베티 콤슨
Monica Keena,모니카 키나
Jennifer Granholm,제니퍼 그랜홈
Eileen Chang,장아이링
Bonnie Bedelia,보니 베델리아
Rita Coolidge,리타 쿨리지
Josie Bissett,조시 비셋
Lori Singer,로리 싱어
Patricia A. McKillip,퍼트리샤 A. 매킬립
Marla Sokoloff,말라 소콜로프
Ed Wood,에드 우드
Katie Morgan,케이티 모건
Leigh-Allyn Baker,리앨린 베이커
Anita Ward,애니타 워드
Scotty McCreery,스코티 매크리리
Vartan Malakian,바탄 말라키안
Juli Ashton,줄리 애슈턴
Regina Hall,레지나 홀
Betty Robinson,베티 로빈슨
Jason Kidd,제이슨 키드
Jaden Smith,제이든 스미스
Lezley Zen,레즐리 젠
Jeb Bush,젭 부시
Gilbert Gottfried,길버트 갓프리드
Marija Gimbutas,마리야 김부타스
Bree Olson,브리 올슨
Maya Lin,마야 린
Brandi Chastain,브랜디 채스테인
Kristen Cloke,크리스틴 클로크
Tallulah Bankhead,탈룰라 뱅크헤드
William Walker,윌리엄 워커
Penelope Ann Miller,퍼넬러피 앤 밀러
Zhong Lin Wang,왕중린
Kelsey Grammer,켈시 그래머
Helen Walton,헬렌 월턴
Chanel Iman,샤넬 이만
Mare Winningham,메어 위닝햄
Dorothy Comingore,도로시 코민고어
Rosemary Radford Ruether,로즈마리 래드포드 류터
Jerry Goldsmith,제리 골드스미스
Eleanor Powell,엘리너 파월
Ted Kaczynski,시어도어 카진스키
Sam Havadtoy,샘 허배토이
Amy Madigan,에이미 매디건
Debra Jo Rupp,데브라 조 럽
David S. Garland,데이비드 S. 갈런드
Benita Fitzgerald-Brown,베니타 피츠제럴드브라운
Kathleen Cavendish,캐슬린 캐번디시
Kathleen Turner,캐슬린 터너
Courtney Love,코트니 러브
Mary Baker Eddy,메리 베이커 에디
Frank Nelson,프랭크 넬슨
Ruth St. Denis,루스 세인트데니스
Mimi Leder,미미 레더
Simon Barere,시몬 바레레
Maria Ouspenskaya,마리아 우스펜스카야
Wayne Duvall,웨인 듀발
Laura Allen,로라 앨런
Laurie Anderson,로리 앤더슨
Sally Mann,샐리 맨
Kobe Tai,코베 타이
Michael Weatherly,마이클 웨덜리
Betty Garrett,베티 개릿
Holland Taylor,홀랜드 테일러
Anna Moffo,안나 모포
Carly Fiorina,칼리 피오리나
Douglas MacArthur II,더글러스 맥아더 2세
Eva Marcille,에바 마실
Mia Hamm,미아 햄
Emmy Clarke,에미 클라크
Susana Martinez,수재나 마르티네스
Eartha Kitt,어사 키트
Blanchard Ryan,블랜처드 라이언
Linda Kozlowski,린다 커즐라우스키
Frances Farmer,프란시스 파머
Marsha Mason,마샤 메이슨
Jane Kaczmarek,제인 카츠마레크
Iman,이만 압둘마지드
Jonas Salk,조너스 소크
Jonathan Banks,조너선 뱅크스
Hilary Rhoda,힐러리 로다
Paula Cole,폴라 콜
Mae Young,매이 영
Rob Pinkston,롭 핑크턴
Michelle Kwan,미셸 콴
Movita Castaneda,모비타 카스타네다
Sally Kirkland,샐리 커클랜드
Wanda Jackson,완다 잭슨
Sarah Wright,세라 라이트
Michael Lee Jackson,마이클 리 잭슨
Richard Rodgers,리처드 로저스
Leighton Meester,레이턴 미스터
Sasha Cohen,사샤 코언
Alyson Hannigan,앨리슨 해니건
George Akerlof,조지 애컬로프
Jelena Jensen,젤레나 젠슨
Lisa Nicole Carson,리사 니콜 카슨
Chloe O'Brian,클로이 오브라이언
Stefanie Powers,스테퍼니 파워스
Flower Tucci,플라워 투치
Barbara McClintock,바버라 매클린톡
Joseph Losey,조지프 로지
Alison Mosshart,앨리슨 모스하트
Pat Benatar,팻 베네타
Alicia Silverstone,얼리시아 실버스톤
Cindy Crawford,신디 크로퍼드
Karl Malone,칼 멀론
Mary Elizabeth Mastrantonio,메리 엘리자베스 매스트런토니오
Brooke Adams,브룩 애덤스
Catherine Oxenberg,캐서린 옥센버그
Harry Reems,해리 림스
Fred Gwynne,프레드 그윈
John Lasseter,존 래시터
Sarah Steele,사라 스틸
Chloe Bridges,클로에 브리지스
Susan Flannery,수전 플래너리
Harrison Barnes,해리슨 반스
2 Pistols,2 피스톨스
Linda B. Buck,린다 B. 벅
Jennifer Morrison,제니퍼 모리슨
Amy Smart,에이미 스마트
Jaclyn Smith,재클린 스미스
Chet Culver,쳇 컬버
Sean Stone,숀 스톤
James Baker,제임스 베이커
Robert Knepper,로버트 네퍼
Patti Scialfa,패티 스캘파
Miranda July,미란다 줄라이
Sabrina Bryan,사브리나 브라이언
Edna Purviance,에드나 퍼바이언스
Jill Stein,질 스테인
Olivia Wilde,올리비아 와일드
Illeana Douglas,일리나 더글러스
Richard LaGravenese,리처드 라그라버니즈
Chad Smith,채드 스미스
Beni,베니
Stanley Tucci,스탠리 투치
Taryn Terrell,타린 터럴
Frank Morgan,프랭크 모건
Amanda Bearse,어맨다 버스
Ann Sothern,앤 소던
Florence Lawrence,플로렌스 로렌스
Martha Chase,마사 체이스
Steven Strait,스티븐 스트레이트
Victoria Justice,빅토리아 저스티스
Raini Rodriguez,레이니 로드리게스
Robert Z. Leonard,로버트 Z. 레오나드
June Anderson,준 앤더슨
Marilyn Burns,마릴린 번즈
Chris Shiflett,크리스 시프렛
Lauren Vélez,로런 벨레스
Lucius Shepard,루시어스 셰퍼드
Alice Greczyn,앨리스 그레친
Tom Welling,톰 웰링
John C. Reilly,존 C. 라일리
Henry King,헨리 킹
Debby Boone,데비 분
Barbara Carrera,바바라 카레라
Carol Kane,캐럴 케인
Peggy Lipton,페기 립턴
Alexis Jordan,알렉시스 조던
Sean Hayes,숀 헤이즈
Diana Muldaur,다이애나 멀도어
Michelle Phillips,미셸 필립스
Jill Biden,질 바이든
Bella Swan,벨라 스완
Dale W. Jorgenson,데일 W. 조겐슨
Christy Carlson Romano,크리스티 칼슨 로마노
Bohuslav Martinů,보후슬라프 마르티누
Allie DeBerry,알리 디베리
Nancy Marchand,낸시 마천드
Bryce Larkin,브라이스 라킨
Mena Suvari,미나 수바리
Devendra Banhart,데벤드라 반하트
Marguerite MacIntyre,마거릿 매킨타이어
Skyler Samuels,스카일러 새뮤얼스
Paige O'Hara,페이지 오하라
Brooke Elliott,브룩 엘리엇
Jayne Meadows,제인 미도우
Laura Linney,로라 리니
Josh Radnor,조시 래드너
Allan McLeod Cormack,앨런 코맥
Lana Clarkson,라나 클락슨
Meagan Good,미건 굿
Roger Y. Tsien,로저 첸
Christy Canyon,크리스티 캐니언
Martina McBride,마티나 맥브라이드
Stan Kirsch,스탠 커시
Trina,트리나
Alison Brie,앨리슨 브리
Britt Robertson,브릿 로버트슨
Mary Fallin,메리 폴린
Daniel D. Tompkins,다니엘 D. 톰프킨스
Jonathan Roberts,조너선 로버츠
Danny Trejo,대니 트레조
Tyson Gay,타이슨 게이
Paula Trickey,폴라 트리키
Barry Levinson,배리 레빈슨
Heather Graham,헤더 그레이엄
Walter Lang,월터 랭
Wynn Stewart,윈 스튜어트
Jim Caviezel,짐 커비즐
Ivana Miličević,이바나 밀리체비치
Thomas Ian Nicholas,토머스 이언 니컬러스
Robert Moog,로버트 모그
Kayden Kross,케이든 크로스
Hilary Hahn,힐러리 한
P. T. Barnum,P. T. 바넘
Lexi Randall,렉시 랜들
Meredith Eaton,메러디스 이튼
Daphne Maxwell Reid,대프니 맥스웰 리드
Martha Nussbaum,마사 누스바움
Shelley Duvall,셸리 듀발
DMX,DMX
Sarah Attar,세라 아타르
Virginia Weidler,버지니아 웨이들러
Don Rickles,돈 리클스
Voltairine de Cleyre,볼테린 드 클레어
Cassandra Clare,커샌드라 클레어
Madeleine L'Engle,메들렌 렝글
Loretta Devine,로레타 더바인
Erykah Badu,에리카 바두
Donna Reed,도나 리드
Wes Craven,웨스 크레이븐
John Foster Dulles,존 포스터 덜레스
Margo Martindale,마고 마틴데일
Greg Kinnear,그레그 키니어
Tim Howard,팀 하워드
January Jones,재뉴어리 존스
John E. McLaughlin,존 E. 매클로플린
Marielle Jaffe,매리엘 재피
Julie White,줄리 화이트
'Anwar al-Awlaqi,안와르 알아울라키
Lana Turner,라나 터너
Kathy Hilton,캐시 힐턴
Sally Hemings,샐리 헤밍스
Wes Anderson,웨스 앤더슨
Giovanni Ribisi,조반니 리비시
Margaret Cho,마거릿 조
Kristine Sutherland,크리스틴 서덜랜드
Robert Ludlum,로버트 러들럼
Larry Flynt,래리 플린트
Beverly Sills,베벌리 실스
Connie Britton,코니 브리튼
Nicole Eggert,니콜 에거트
Michelle Clunie,미셸 클러니
Barbara Harris,바버라 해리스
Patrick Spencer Johnson,스펜서 존슨
Dennis Quaid,데니스 퀘이드
Julianna Guill,줄리아나 길
Kim Dickens,킴 디킨스
LeToya Luckett,레토야 러켓
Florence Ballard,플로렌스 발라드
Ali Cobrin,알리 코브린
Brenda Joyce,브렌다 조이스
Frances Drake,프랜시스 드레이크
Tony Goldwyn,토니 골드윈
Peggy Whitson,페기 휫슨
Alma Gluck,알마 글루크
Bahar Soomekh,바하 수멕
Taylor Schilling,테일러 실링
Kathy Najimy,캐시 나지미
Cobie Smulders,코비 스멀더스
Anne Francis,앤 프랜시스
Sheryl Crow,셰릴 크로
Kim Rhodes,킴 로즈
Daniela Ruah,대니얼라 루아
Jackson Rathbone,잭슨 라스본
Gale Anne Hurd,게일 앤 허드
Melora Hardin,멜로라 하딘
Nancy Meyers,낸시 마이어스
Eleanor H. Porter,엘리너 포터
Ashley Crow,애슐리 크로
Dan Fogelberg,댄 포글버그
Aaron L. Ford,에런 L. 포드
Barbara Bonney,바바라 보니
Cerina Vincent,세리나 빈센트
P. J. Soles,P. J. 솔스
Lee Barnes,리 반스
Bobby Dixon,보비 딕슨
Margaret Hamilton,마거릿 해밀턴
Brooke Langton,브룩 랭턴
Yvonne Alexander Elliman,이본 엘리먼
Anne Meara,앤 메라
Kenneth Appel,케네스 아펠
Taraji P. Henson,타라지 P. 헨슨
Chris Bosh,크리스 보시
Chelsea Johnson,첼시 존슨
Delbert Mann,델버트 만
Tiffany Williams,티퍼니 윌리엄스
Phillis Whetley,필리스 휘틀리
Sue Carol,수 캐롤
Joe Kubert,조 큐버트
Robert Steinberg,로베르트 스테인베르그
Harry Partch,해리 파치
Georgia Coleman,조지아 콜먼
David Mamet,데이비드 매밋
Gerald Wilson,제럴드 윌슨
Margaret Fuller,마가렛 풀러
Traylor Howard,트레일러 하워드
Torrey DeVitto,토리 더비토
Rich Swann,리치 스완
Edgar Stiles,에드거 스타일스
Steve Berry,스티브 베리
Woody Harrelson,우디 해럴슨
Carolyn Porco,캐럴린 포코
Sarah Paulson,세라 폴슨
Brian Schmidt,브라이언 슈밋
Janis Ian,재니스 이언
Fanny Crosby,패니 크로스비
Vivian Maier,비비언 마이어
Paul Wesley,폴 웨슬리
Naomi Foner Gyllenhaal,나오미 포너 질런홀
Lisa Leslie,리사 레슬리
Mix Diskerud,미켈 디스케루트
Bix Beiderbecke,빅스 바이더벡
Stacy Valentine,스테이시 밸런타인
Patricia Tallman,퍼트리샤 톨먼
Bebel Gilberto,베베우 지우베르투
Colleen Atwood,콜린 애투드
Duke R. Lee,듀크 R. 리
Suzy Amis Cameron,수지 에이미스
Nina Foch,니나 포크
Robert Bruce Merrifield,로버트 브루스 메리필드
Rachael Yamagata,레이철 야마가타
Anne Tyler,앤 타일러
Jack Jones,잭 존스
Hayley Williams,헤일리 윌리엄스
Sarah Wayne Callies,세라 웨인 캘리스
John Berg,존 버그
Afroman,아프로맨
Nestor Carbonell,네스터 카보넬
William H. Macy,윌리엄 H. 메이시
LaTasha Jenkins,러타샤 젱킨스
Kiely Williams,킬리 윌리엄스
Allison Miller,앨리슨 밀러
Billie Burke,빌리 버크
Abigail Breslin,애비게일 브레슬린
Eliza Schneider,일라이자 슈나이더
David Koepp,데이비드 켑
Christian Serratos,크리스천 세라토스
Nancy Kyes,낸시 카이스
Dennis Rodman,데니스 로드먼
Dee Wallace,디 월리스
Laura Innes,로라 이네스
Sheila Kelley,실라 켈리
Lillian Copeland,릴리언 코플랜드
Jimmy Jones,지미 존스
Robin Antin,로빈 앤틴
Destinee Hooker,데스티니 후커
Tia Texada,티아 텍사다
Jesse Spencer,제시 스펜서
Brooke Smith,브룩 스미스
Kellan Lutz,켈런 러츠
Margaret Burbidge,마거릿 버비지
Nicholle Tom,니콜 톰
Eve Kosofsky Sedgwick,이브 세지윅
Anthony Mann,안소니 만
Ashlynn Yennie,애슐린 예니
Henry Gibson,헨리 깁슨
Philip Showalter Hench,필립 쇼월터 헨치
Martha Coolidge,마사 쿨리지
Michael Mann,마이클 맨
Elizabeth Daily,엘리자베스 데일리
Zoë Keating,조이 키팅
Ryan Lochte,라이언 록티
Mariel Zagunis,매리얼 재거니스
Jean Hagen,진 헤이건
Kellie Martin,켈리 마틴
Laurel Holloman,로럴 홀러먼
Gabrielle Carteris,개브리엘 카테리스
Randy Williams,랜디 윌리엄스
Nick Jonas,닉 조너스
Jeanne Shaheen,진 섀힌
Shirley Verrett,셜리 베럿
Beth Riesgraf,베스 리스그래프
Susan Seidelman,수잔 세이들먼
Lois Smith,로이스 스미스
Joel Gretsch,조엘 그레치
Annie Leibovitz,애니 리보비츠
Madison De La Garza,매디슨 드 라 가자
Edward Said,에드워드 사이드
Lissie,리시
Busy Philipps,부시 필립스
Teena Marie,티나 마리
Judith Barsi,주디스 바시
Eva Gabor,에바 가보르
Edward Witten,에드워드 위튼
Rachel Summers,레이철 서머스
Andrea Anders,앤드리아 앤더스
Crystal Reed,크리스털 리드
Annette Charles,아넷 찰스
Liz Phair,리즈 페어
Geraldine Page,제럴딘 페이지
Joni Huntley,조니 헌틀리
Aileen Riggin,에일린 리진
Laura Ziskin,로라 지스킨
Charles W. Fairbanks,찰스 W. 페어뱅크스
Patti LuPone,패티 루폰
Elizabeth Bishop,엘리자베스 비숍
Gladys Knight,글래디스 나이트
Kelly Clark,켈리 클라크
Clifford Shull,클리퍼드 슐
Ruth Prawer Jhabvala,루스 프라워 자브발라
Zoë Kravitz,조이 크래비츠
Zoë Wanamaker,조이 워너메이커
Saoirse Ronan,시얼샤 로넌
Wendy O. Williams,웬디 O. 윌리엄스
Adam Scott,애덤 스콧
David Lee,데이비드 모리스 리
Anne Smith,앤 스미스
Susan Francia,수전 프런치어
Patricia Highsmith,퍼트리샤 하이스미스
Mabel Normand,메이블 노먼드
Jennifer Ehle,제니퍼 일리
Justina Machado,저스티나 마샤도
Chloë Sevigny,클로이 세비니
Daniel C. Tsui,대니얼 추이
Lisa Cholodenko,리사 촐로덴코
Ashley Judd,애슐리 저드
Emma Roberts,에마 로버츠
Marcheline Bertrand,마셸린 버트런드
Svetlana Alliluyeva,스베틀라나 알릴루예바
Ben Bernanke,벤 버냉키
Samantha Smith,서맨사 스미스
"Richard Kirman, Sr.",리처드 커먼
Van Hansis,밴 핸지스
Summer Phoenix,서머 피닉스
Clint Dempsey,클린트 뎀시
Jess Harnell,제스 하넬
Freddie Jenkins,프레디 젱킨스
Brooke Bennett,브룩 베닛
AnnaLynne McCord,애나린 매코드
Zorro,조로
Ethel Skakel Kennedy,에델 케네디
Shelley Hennig,셸리 헤닉
Taylor Dooley,테일러 둘리
Terry Farrell,테리 패럴 (배우)
Wilhelmina Cooper,빌헬미나 쿠퍼
Robert H. Grubbs,로버트 그럽스
Chris Sanders,크리스 샌더스
Suzanne Collins,수잔 콜린스
Veronica Hart,베로니카 하트
Erin Heatherton,에린 헤더튼
Morgan Fairchild,모건 페어차일드
George Clinton,조지 클린턴
Krysten Ritter,크리스틴 리터
Sarah Hendrickson,사라 헨드릭슨
Emma Bell,에마 벨
Gianna Michaels,지아나 마이클스
Renee O'Connor,러네 오코너
Jenny Holzer,제니 홀저
Ann Harding,앤 하딩
Hayley McFarland,헤일리 맥팔랜드
Paul Mazursky,폴 마저스키
Richard Roeper,리차드 로퍼
Fortune Gordien,포춘 고디엔
David Hasselhoff,데이비드 해셀호프
Kathy Acker,캐시 애커
Vanessa Lachey,버네사 미닐로
India.Arie,인디아 아리
Shelley Winters,셸리 윈터스
Shanna Moakler,샤나 모클러
John McTiernan,존 맥티어넌
Patty Murray,패티 머리
Christian Cantwell,크리스티안 캔트웰
Susan George,수전 조지
Melissa Etheridge,멀리사 에서리지
Laura Granville,로라 그랜빌
Cynthia Nixon,신시아 닉슨
Ashley Massaro,애슐리 마사로
Jillian Hall,질리언 홀
Rose Troche,로즈 트로치
Harriet Sansom Harris,해리엇 샌섬 해리스
Michael Vartan,미카엘 바르탕
Stephanie Brown Trafton,스테퍼니 브라운 트래프턴
Landon Donovan,랜던 도노반
Alexandra Hedison,알렉산드라 헤디슨
Ali Larter,앨리 라터
Kristinia DeBarge,크리스티니아 드바지
Christa B. Allen,크리스타 B. 앨런
Mary Lou Retton,메리 루 레턴
Henry Taube,헨리 토브
Rosario Dawson,로사리오 도슨
AJ Michalka,어맨다 미샤카
Cam Gigandet,캠 지간데이
Anne Sexton,앤 섹스턴
Hank Azaria,행크 아자리아
Sharon Tate,샤론 테이트
Burt Reynolds,버트 레이놀즈
Richard R. Schrock,리처드 R. 슈록
Walter Matthau,월터 마타우
Paul Bostaph,폴 보스타프
Chad Michael Murray,채드 마이클 머리
Kelly Kelly,켈리 켈리
Angie Dickinson,앤지 디킨슨
Casey Affleck,케이시 애플렉
Phyllis Thaxter,필리스 새스터
Ruth Benedict,루스 베니딕트
Olga Tañón,올가 타뇬
Darlene Love,달린 러브
Lea Michele,레아 미첼
Debra Messing,데브라 메싱
Andrew Fire,앤드루 파이어
Christa Miller,크리스타 밀러
Jay Brannan,제이 브래넌
Larry Bagby,래리 바그비
Willow Shields,윌로 실즈
Perry Lopez,페리 로페즈
Buffalo Bill,버펄로 빌
Piper Perabo,파이퍼 페라보
Bob Montgomery,밥 몽고메리
Julia Sweeney,줄리아 스위니
Mary Chapin Carpenter,메리 채핀 카펜터
Kathy Baker,캐시 베이커
Katherine Moennig,캐서린 메니그
Shannon Elizabeth,섀넌 엘리자베스
Roma Maffia,로마 마피아
Rooney Mara,루니 마라
Margaret Abbott,마거릿 애벗
Geoffrey F. Miller,제프리 밀러
John Morrison,존 모리슨
Peg Entwistle,페그 엔트위슬
Sandra Bernhard,샌드라 버나드
Daphne Zuniga,데픈 주니거
Alicia Witt,얼리샤 윗
Marilu Henner,마릴루 헨너
Leah Dizon,리아 디존
Carey Lowell,캐리 로웰
Anna Belknap,애나 벨냅
Linda Perry,린다 페리
Joan Chen,진충
Sheryl Swoopes,셰릴 스우프스
Zulay Henao,술라이 에나오
Jada Pinkett Smith,제이다 핀켓 스미스
Maggie Gyllenhaal,매기 질런홀
Carla Gugino,칼라 구지노
Tracy McGrady,트레이시 맥그래디
Jason Segel,제이슨 시걸
Téa Leoni,테아 레오니
Lauren Graham,로런 그레이엄
Mashona Washington,머쇼나 워싱턴
Olivia Holt,올리비아 홀트
Mickie James,미키 제임스
Aly Michalka,앨리 미샤카
Paulina Porizkova,폴리나 포리스코바
Colbie Caillat,콜비 컬레이
Gail O'Grady,게일 오그래디
David Ogden Stiers,데이비드 오그던 스티어스
Dorothy Parker,도로시 파커
Adrienne Rich,아드리안 리치
Anoushka Shankar,아누슈카 샹카르
Whitney Port,휘트니 포트
Dot Jones,닷 존스
Ilene Woods,아일린 우즈
Katherine Paterson,캐서린 패터슨
G Hannelius,G. 하넬리우스
Bill Haley,빌 헤일리
Al Kaline,앨 케일라인
Kate Jackson,케이트 잭슨
Romina Power,로미나 포베르
Jonathan Davis,조나단 데이비스
Linda McCartney,린다 매카트니
Hattie McDaniel,해티 맥대니얼
Elle Fanning,엘 패닝
Justin Chon,저스틴 전
Suzanne Vega,수잔 베가
Reggie Miller,레지 밀러
Gloria Gaynor,글로리아 게이너
Anne Baxter,앤 백스터
Mary J. Blige,메리 J. 블라이지
Amy Goodman,에이미 굿먼
Judy Greer,주디 그리어
Valerie Perrine,밸러리 페린
Sylvia Miles,실비아 마일스
Olene S. Walker,올렌 워커
Eva Marie Saint,에바 마리 세인트
Dana Delany,데이나 딜레이니
Charles Curtis,찰스 커티스
Jane Lynch,제인 린치
Marina Orlova,마리나 오를로바
Donna D'Errico,도나 데리코
Marcia Gay Harden,마샤 게이 하든
Anna Gunn,애나 건
Alice Coachman,앨리스 코치맨
Chris Cornell,크리스 코넬
Paula Marshall,폴라 마셜
Jackie DeShannon,재키 데샤논
Emily Rose,에밀리 로즈
Mageina Tovah,머게이나 토바
Gene Morgan,진 모건
Dianna Agron,디애나 애그런
Zuleyka Rivera Mendoza,술레이카 리베라
Richard Kiley,리처드 카일리
Tiffany Young,티파니 영
Melissa Rauch,멀리사 로치
Amar'e Stoudemire,아마레 스타더마이어
Paul Drayton,폴 드레이턴 (육상 선수)
Jessica Sutta,제시카 수타
Julie Strain,줄리 스트레인
Yolanda Adams,욜란다 애덤스
Yeardley Smith,야들리 스미스
Julie Kavner,줄리 캐브너
Rachel G. Fox,레이철 G. 폭스
Tonya Harding,토냐 하딩
Maribel Vinson,마리벨 빈슨
Fiona Apple,피오나 애플
Mia Farrow,미아 패로
Erika Brown,에리카 브라운
Dean Smith,딘 스미스
Jackie Evancho,재키 이베잉코
Martha Scott,마샤 스코트
Mary Alice,메리 앨리스
Jerry Lee Lewis,제리 리 루이스
Nicola Peltz,니콜라 펠츠
Stacie Orrico,스테이시 오리코
Priscilla Pointer,프리실라 포인터
Andrea Jung,앤드리아 정
Eudora Welty,유도라 웰티
Shantel VanSanten,샨텔 반샌튼
Kim Stanley,킴 스탠리
Barbara Hale,바바라 헤일
Sean Cunningham,숀 커닝햄
June Lockhart,준 록하트
Ally Walker,앨리 워커
Peggy Fleming,페기 플레밍
Tricia Helfer,트리시아 헬퍼
Janet Napolitano,재닛 나폴리타노
Lacey Nymeyer,레이시 나이마이어
Shauna Grant,쇼나 그랜트
Hope Davis,호프 데이비스
Michael Welch,마이클 웰치
H.D.,힐다 둘리틀
Katrina Bowden,카트리나 보든
Debra Winger,데브라 윙거
Seimone Augustus,세이몬 오거스터스
Rose Kennedy,로즈 케네디
Jessica Walter,제시카 월터
Kathleen Quinlan,캐슬린 퀸런
Olivia Munn,올리비아 먼
María Conchita Alonso,마리아 콘치타 알론소
Geraldine Fitzgerald,제럴딘 피츠제럴드
CCH Pounder,C. C. H. 파운더
Sally Struthers,샐리 스트러더스
Nancy Olson,낸시 올슨
Leslie Mann,레슬리 맨
Rebecca Romijn,리베카 로메인
Sarah Silverman,세라 실버먼
Jewel,주얼
Allison Iraheta,앨리슨 이라히타
Sarah Roemer,세라 로머
Vanessa Williams,버네사 윌리엄스
Ester Dean,이스터 딘
Liana Liberato,라이아나 리버라토
Ed Wynn,에드 윈
Ronee Blakley,로니 블레이클리
Jessica Szohr,제시카 조어
Stevie Ray Vaughan,스티비 레이 본
Haylie Duff,헤일리 더프
Barbara Hershey,바버라 허시
Diane Sawyer,다이앤 소여
Lindsay Ellingson,린지 엘링슨
May Robson,메이 롭슨
Flea,플리
Shawn Johnson East,숀 존슨
Melissa McCarthy,멀리사 매카시
Beau Garrett,보 개릿
Lizzy Caplan,리지 캐플런
Teri Polo,테리 폴로
Dana Davis,데이나 데이비스
Faith Evans,페이스 에번스
Edie Falco,이디 팰코
Ella Raines,엘라 레인스
Clara Rockmore,클라라 락모어
Rebecca Ward,리베카 워드
Mae West,메이 웨스트
Siri Hustvedt,시리 허스트베트
Susan Saint James,수잔 세인트 제임스
Billy Bob Thornton,빌리 밥 손턴
Jan Sterling,잰 스털링
Thelma Todd,셀마 토드
Azealia Banks,아질리아 뱅크스
Joanna Cassidy,조애나 캐시디
Lauren Tom,로런 톰
Martha Wainwright,마사 웨인라이트
Dyan Cannon,다이언 캐넌
Heather O'Reilly,헤더 오라일리
Irma Thomas,어마 토머스
Vanessa del Rio,버네사 델 리오
Sandahl Bergman,샌달 버그먼
Maya Rudolph,마야 루돌프
Molly Sims,몰리 심스
Tori Spelling,토리 스펠링
Hilarie Burton,힐러리 버턴
John Archibald Wheeler,존 휠러
bell hooks,벨 훅스
Laurie Metcalf,로리 멧커프
Elizabeth George,엘리자베스 조지
Christine Baranski,크리스틴 바란스키
James H. Brady,제임스 H. 브레이디
John Morris,존 모리스
Nicole Parker,니콜 파커
Anika Noni Rose,아니카 노니 로즈
Peggy Lee,페기 리
Kelly McGillis,켈리 맥길리스
Michelle Williams,미셸 윌리엄스
Judith O'Dea,주디스 오디
Beth Phoenix,베스 피닉스
Jeri Ryan,제리 라이언
Leonard Susskind,레너드 서스킨드
Meg Tilly,메그 틸리
Kay Panabaker,케이 패너베이커
Summer Glau,서머 글라우
Julianne Nicholson,줄리앤 니콜슨
Julie Harris,줄리 해리스
Marié Digby,마리 딕비
Phillip Glasser,필립 글래저
Amy Yasbeck,에이미 야스벡
Christine Magnuson,크리스틴 매그너슨
Terry Crews,테리 크루스
Viola Davis,바이올라 데이비스
Daryl Sabara,다릴 사바라
