Россия,러시아
Усть-Ордынский,우스티오르딘스키
Женская сборная России по волейболу,러시아 여자 배구 국가대표팀
Столбовой (остров),스톨보보이섬
Остров Ратманова,라트마노프섬
Чара (приток Олёкмы),차라강
Учур,우추르강
Поной,포노이강
Марийский язык,마리어
Нива (река),니바강
Ротор (футбольный клуб),FC 로토르 볼고그라드
Нюя,뉴야강
Нагатинская (станция метро),나가틴스카야역
Крайний Север,크라이니 세베르
Yota,요타 (이동통신)
Взрывы жилых домов в России в сентябре 1999 года,러시아 아파트 폭탄 테러
Верхняя Ангара,베르흐냐야안가라강
Экарма,예카르마섬
Марьино (станция метро),마리노역
"Горьковская (станция метро, Санкт-Петербург)",고리콥스카야역 (상트페테르부르크 지하철)
Рыбачий (полуостров),리바치반도
Зарубино (Приморский край),자루비노 (프리모르스키 지방)
Матч за звание чемпиона мира по шахматам 1966,1966년 세계 체스 선수권 대회
Воздушно-десантные войска Российской Федерации,러시아 공수군
Бауманская (станция метро),바우만스카야역
Тарутинский бой,타루티노 전투
Солнечное затмение 6 января 2019 года,2019년 1월 6일 일식
Чулымцы,출림인
Тёплое озеро,툐플로예호
Солнечное затмение 9 апреля 2043 года,2043년 4월 9일 일식
Малый Таймыр,말리타이미르섬
Остров Жохова,조호바섬
Гимн России,러시아의 국가
Владивосток Авиа,블라디보스토크 항공
Мариинский дворец (Санкт-Петербург),마린스키궁 (상트페테르부르크)
112 (экстренный номер),112 (응급 전화번호)
ВЛ80,VL80
"Достоевская (станция метро, Санкт-Петербург)",도스토옙스카야역 (상트페테르부르크 지하철)
"Достоевская (станция метро, Люблинско-Дмитровская линия)",도스토옙스카야역 (모스크바 지하철)
Литературный институт имени А. М. Горького,막심 고리키 문학 대학
Матч за звание чемпиона мира по шахматам 1969,1969년 세계 체스 선수권 대회
Добрынинская (станция метро),도브리닌스카야역
Ишимбайский район,이심바이스키군
Петергоф (дворцово-парковый ансамбль),페테르고프궁
Славянское неоязычество,로드노베리에
48-я параллель северной широты,북위 48도
Административно-территориальное деление Чувашии,추바시 공화국의 행정 구역
80-я параллель северной широты,북위 80도
49-я параллель северной широты,북위 49도
45-я параллель северной широты,북위 45도
Росбанк,로스은행
"Октябрьская (станция метро, Новосибирск)",옥탸브리스카야역 (노보시비르스크 지하철)
Административно-территориальное деление Иркутской области,이르쿠츠크주의 행정 구역
Одноклассники (социальная сеть),오드노클라스니키
Жемчужина-Сочи,FC 젬추지나 소치
Сайменский канал,사이마 운하
Ульчский район,울치스키군
Женская сборная России по баскетболу,러시아 여자 농구 국가대표팀
Административно-территориальное деление Республики Коми,코미 공화국의 행정 구역
Кронштадтский район,크론슈타츠키구
Сочи (аэропорт),소치 국제공항
РусЛайн,러스라인
Шиашкотан,시아시코탄섬
Канал Грибоедова,그리보예도프 운하
"Лама (река, впадает в Иваньковское водохранилище)",라마강
Дворцовая площадь,궁전광장
Государственный университет управления,러시아 국립 경영대학교
Бухта Козьмина,코즈미노
Изборск,이즈보르스크
Авачинская бухта,아바차만
Катастрофа АПЛ «Курск»,쿠르스크 호 침몰 사고
Объединённая авиастроительная корпорация,통합항공기제작사
Динамо (Москва),디나모 모스크바
Калининский район (Санкт-Петербург),칼리닌스키구 (상트페테르부르크)
Адмиралтейский округ,아드미랄테이스키 자치구
"Динамо (футбольный клуб, Барнаул)",FC 디나모 바르나울
Приморский район (Санкт-Петербург),프리모르스키구 (상트페테르부르크)
Эвены,라무트인
Кинематограф России,러시아 영화
Московский комсомолец,모스콥스키 콤소몰레츠
Охотская плита,오호츠크판
Бульвар Рокоссовского (станция метро),불바르 로코솝스코보역 (소콜니체스카야선)
"Площадь Александра Невского (станция метро, Невско-Василеостровская линия)",플로샤디 알렉산드라 넵스코고 I역
Сахалинский государственный университет,국립 사할린 대학교
Плоская Дальняя,우시코프스키
Келля,켈산
КАМАЗ (футбольный клуб),FC 카마스 나베레즈니예첼니
30-й меридиан восточной долготы,동경 30도
Правительство Российской Федерации,러시아 연방정부
Государственный исторический музей,국립역사박물관 (모스크바)
Тузла (остров),투즐라섬
Роснефть,로스네프트
Норникель,노르니켈
Орлан (скафандр),올란 우주복
Sonic Team,소닉 팀
Чумикан,추미칸
Маловишерский район,말로비셰르스키군
Корела (крепость),코렐라 요새
Горнозаводск (Сахалинская область),고르노자보츠크 (사할린주)
Административно-территориальное деление Приморского края,프리모르스키 변경주의 행정 구역
Атран (авиакомпания),ATRAN 항공
Административно-территориальное деление Мурманской области,무르만스크주의 행정 구역
Крестецкий район,크레스테츠키군
Энцы,에네츠인
Рыбачий (Калининградская область),리바치
Удская губа,우츠카야만
Селькупы,셀쿠프인
Фрунзенский район (Санкт-Петербург),프룬젠스키구
Красногвардейский район (Санкт-Петербург),크라스노그바르데이스키구
Хрустальный остров,크리스탈 아일랜드
Ледник Карпинского,카르핀스키산
Сапсан (электропоезд),삽산
В тылу врага 2,페이스 오브 워
Президентские выборы в России (1996),1996년 러시아 대통령 선거
Останкино (усадьба),오스탄키노궁
Солнечное затмение 10 июня 2021 года,2021년 6월 10일 일식
Духоборы,두호보르파
Псковское озеро,프스콥스코예호
"Спартак (стадион, Новосибирск)",스파르타크 스타디움 (노보시비르스크)
Удэгейцы,우데게족
Турксиб,튀르키스탄-시베리아 철도
Которосль,코토로슬강
Наро-Фоминский городской округ,나로포민스키군
Крымский троллейбус,크림반도의 트롤리버스
Министерство обороны Российской Федерации,러시아 국방부
Пушкиногорский район,푸시키노고르스키군
Воскресенский район (Московская область),보스크레센스키군
Вад (река),바트강
Тубалары,투발라르족
Онежский полуостров,오네가반도
Чеховская (станция метро),체홉스카야역
"Савёловская (станция метро, Серпуховско-Тимирязевская линия)",사뵬롭스카야역 (세르푸홉스코 티미랴젭스카야선)
Симушир,시무시르섬
Знаменское (Чечня),즈나멘스코예
"Комсомольская (станция метро, Сокольническая линия)",콤소몰스카야역 (소콜니체스카야선)
Туношна (аэропорт),투노시나 공항
Ленинградский зоопарк,레닌그라드 동물원
Фишт (стадион),피시트 올림픽 스타디움
Лефортовский тоннель,레포르토보 터널
42-я параллель северной широты,북위 42도
Дмитровская (станция метро),드미트롭스카야역
"Динамо (станция метро, Москва)",디나모역
"Таганская (станция метро, Кольцевая линия)",타간스카야역 (콜체바야선)
Тао-Русыр,타오-루시르 칼데라
Пролив Дмитрия Лаптева,드미트리랍테프 해협
Общевойсковая академия Вооружённых сил Российской Федерации,러시아 군사 종합 아카데미
Летняя Универсиада 1973,1973년 하계 유니버시아드
Танаис (город),타나이스
МСК%2B3,옴스크 시간
Челябинск (аэропорт),첼랴빈스크 공항
Проект:Россия/Списки/Список островов России,러시아의 섬 목록
Казыр,카지르강
Якутск (аэропорт),야쿠츠크 공항
Иркутск (аэропорт),이르쿠츠크 국제공항
Чемпионат мира по водным видам спорта 2015,2015년 세계 수영 선수권 대회
"Маяковская (станция метро, Санкт-Петербург)",마야콥스카야역 (상트페테르부르크 지하철)
VK (компания),VK (기업)
53-я параллель северной широты,북위 53도
Матуа,마투아섬
Европейский маршрут E105,유럽 고속도로 105호선
Никольское (Камчатский край),니콜스코예
Немо (вулкан),네모 화산
Московское перемирие (1944),모스크바 휴전 협정
Урал,우랄 지역
Богашёво (аэропорт),보가쇼보 공항
Сетунь (нижний приток Москвы),세툰강
Горелый (вулкан),고렐리산
Евразийство,유라시아주의
Бабаевский район,바바옙스키군
ВИМ-Авиа,VIM 항공
Октябрьская железная дорога,옥탸브리스카야선
Колпинский район,콜핀스키구
Храброво (аэропорт),크라브로와 공항
Красноярск (аэропорт),예밀야노보 공항
Магадан (аэропорт),소콜 공항
Минеральные Воды (аэропорт),미네랄니예보디 공항
Быково (аэропорт),비코보 공항
Остафьево (аэропорт),오스타피예보 국제공항
Казанский вокзал,카잔스키역
Ростов-на-Дону (аэропорт),로스토프나도누 공항
Институт космических исследований РАН,러시아 우주 연구소
Транспортный переход между Сахалином и Хоккайдо,사할린-홋카이도 터널
ПАК ДА,투폴레프 PAK DA
Восточная Карелия,동카리알라
Государственный строй России,러시아의 정치
Толмачёво (аэропорт),톨마초보 공항
Ярославский вокзал,야로슬랍스키역
"Электрозаводская (станция метро, Арбатско-Покровская линия)",옐렉트로자보츠카야역 (아르바츠코 포크롭스카야선)
Российский национальный оркестр,러시아 내셔널 오케스트라
Академический симфонический оркестр Московской филармонии,모스크바 필하모니 교향악단
Российская партия пенсионеров за социальную справедливость,러시아 사회정의연금당
Административно-территориальное деление Сахалинской области,사할린주의 행정 구역
Петроградская,페트로그라츠카야역
Марьяновка (Омская область),마리야노프카
Европейский маршрут E95,유럽 고속도로 95호선
Нарвская (станция метро),나릅스카야역
Кольцово (аэропорт),콜초보 공항
Роза Хутор,로자 후토르 스키 센터
Хасанский район,하산스키군
SAT Airlines,SAT 항공
Алмаз-Антей,알마즈-안테이
Россиянка (футбольный клуб),WFC 로시얀카
Тихоокеанский флот ВМФ России,러시아 태평양 함대
Мечел,메첼
Цунтинский район,춘틴스키군
Площадь Гарина-Михайловского (станция метро),플로샤디 가가리나 미하일롭스코고역
Восточный (космодром),보스토치니 우주기지
Семёновский (остров),세묘놉스키섬
Российско-японские отношения,러시아-일본 관계
Первый Курильский пролив,쿠릴 해협
Большая золотая медаль имени М. В. Ломоносова,로모노소프 황금 메달
Красные Ворота (станция метро),크라스니예 보로타역
"Парк культуры (станция метро, Кольцевая линия)",파르크 쿨투리역 (콜체바야선)
"Юго-Западная (станция метро, Москва)",유고자파드나야역
Газпромбанк,가스프롬방크
Александринский театр,알렉산드린스키 극장
Театр имени Е. Б. Вахтангова,바흐탄고프 극장
Цветной бульвар (станция метро),츠베트노이 불바르역
Тимирязевская (станция метро),티미랴젭스카야역 (세르푸홉스코 티미랴젭스카야선)
44-я параллель северной широты,북위 44도
125-й меридиан восточной долготы,동경 125도
Боровицкая,보로비츠카야역
Бибирево (станция метро),비비레보역
Аннино (станция метро),안니노역
Владыкино (станция метро),블라디키노역 (세르푸홉스코 티미랴젭스카야선)
Петровско-Разумовская (станция метро),페트롭스코 라주몹스카야역
Сойоты,소요트족
Кропоткинская,크로폿킨스카야역
Тверская (станция метро),트베르스카야역
"Спортивная (станция метро, Москва)",스포르티브나야역 (모스크바 지하철)
"Парк культуры (станция метро, Сокольническая линия)",파르크 쿨투리역 (소콜니체스카야선)
I fly,I-플라이
Лада-Тольятти,FC 라다 톨리야티
Уссури (автодорога),M60 간선도로
Военная академия Генерального штаба Вооружённых сил Российской Федерации,러시아 합동군사참모대학교
Верхнемамонский район,베르흐네마논스키군
"Фрунзенская (станция метро, Москва)",프룬젠스카야역 (모스크바 지하철)
Чистые пруды (станция метро),치스티예 프루디역
Башня на Набережной,나베르자나야 타워
Ленинградский вокзал,레닌그라츠키역
Кунаширский пролив,쿠나시르 해협
Тульская (станция метро),툴스카야역
Нагорная (станция метро),나고르나야역
Севастопольская (станция метро),세바스토폴스카야역
Бульвар Дмитрия Донского (станция метро),불바르 드미트리야 돈스코보역
Улица Академика Янгеля (станция метро),울리차 아카데미카 얀겔랴역
Полиция России,러시아 경찰
Чертановская (станция метро),체르타놉스카야역
Южная (станция метро),유즈나야역
"Павелецкая (станция метро, Замоскворецкая линия)",파벨레츠카야역 (자모스크보레츠카야선)
Нахимовский проспект (станция метро),나히몹스키 프로스펙트역
Red Wings Airlines,레드 윙스 항공
Восточный Нортбрук,노르트브루크섬
Московско-Петроградская линия,모스콥스코 페트로그라츠카야 선
Когалымавиа,코갈리마비아 항공
Коньково (станция метро),콘코보역
"Проспект Мира (станция метро, Калужско-Рижская линия)",프로스펙트 미라역 (칼루시스코 리시스카야선)
"Молодёжная (станция метро, Москва)",몰로됴즈나야역
Пахра,파흐라강
"Родина (партия, Россия)",로디나
Ставропольские туркмены,트루흐멘인
Кыштымская авария,키시팀 사고
Нефтегорск (Сахалинская область),넵테고르스크 (사할린주)
120-й меридиан восточной долготы,동경 120도
135-й меридиан восточной долготы,동경 135도
"Белорусская (станция метро, Замоскворецкая линия)",벨로루스카야역 (자모스크보레츠카야선)
Советский (Ленинградская область),소베츠키 (레닌그라드주)
Лукойл Арена,옷크리티예 아레나
Авача,아바차강
Чиринкотан,치링코탄섬
Газпром нефть,가즈프롬 네프트
Технологический институт (станция метро),테흐놀로기체스키 인스티투트역
Матч-турнир за звание чемпиона мира по шахматам 1948,1948년 세계 체스 선수권 대회
Рын-пески,린 사막
Негидальцы,네기달인
Александровский сад (Москва),알렉산드롭스키 정원
Рижский вокзал,리시스키역
Герб Карелии,카렐리야 공화국의 문장
Вепсская национальная волость,벱스카야 나치오날나야 볼로스티
Марсово поле (Санкт-Петербург),마르스 광장 (상트페테르부르크)
Калининградский зоопарк,칼리닌그라드 동물원
"Сокольники (станция метро, Сокольническая линия)",소콜니키역
"Университет (станция метро, Москва)",우니베르시테트역
Охотный Ряд (станция метро),오호트니 랴트역
"Проспект Мира (станция метро, Кольцевая линия)",프로스펙트 미라역 (콜체바야선)
"Маяковская (станция метро, Москва)",마야콥스카야역 (모스크바 지하철)
Красносельская (станция метро),크라스노셀스카야역
Воронья,보로냐강
Черкизовская,체르키좁스카야역
Преображенская площадь (станция метро),프레오브라젠스카야 플로샤디역
Западная Сибирь,서시베리아
Русский Букер,러시아 부커상
Буддизм в России,러시아의 불교
Кудьма (приток Волги),쿠디마강
Рособоронэкспорт,로소보로넥스포르트
Райкоке,라이코케섬
Ульчи,울치인
Новосибирский государственный технический университет,국립 노보시비르스크 기술 대학교
Восточная Сибирь,동시베리아
Бросно,브로스노호
Ашинский район,아신스키군
Фиагдон,피아그돈강
Министерство внутренних дел Российской Федерации,러시아 내무부
Гимн Карелии,카렐리야 공화국의 국가
Большой симфонический оркестр имени П. И. Чайковского,모스크바 방송 차이코프스키 교향악단
Восточная Сибирь — Тихий океан,ESPO
Смоленский район (Смоленская область),스몰렌스키군
Банковский мост,반콥스키 다리
День народного единства,국민 단결의 날
Невский район,넵스키구
Санкт-петербургская телебашня,상트페테르부르크 TV 타워
Азиатская часть России,아시아 러시아
Верхневилюйский улус,베르흐네빌류이스키군
Большой Уссурийский,볼쇼이우수리스키섬
Труд (газета),트루드
Государственный космический научно-производственный центр имени М. В. Хруничева,흐루니체프
Землетрясение в Чечне (2008),2008년 체첸 지진
Межа (приток Западной Двины),메자강
Силовик,실로비크
Якутия (авиакомпания),야쿠티아 항공
"Павелецкая (станция метро, Кольцевая линия)",파벨레츠카야역 (콜체바야선)
"Проспект Вернадского (станция метро, Сокольническая линия)",프로스펙트 베르나츠코보역 (소콜니체스카야선)
Министерство финансов Российской Федерации,러시아 재정부
Спортакадемклуб (футбольный клуб),FC 스포르타뎀클럽 모스크바
Сокол (скафандр),소콜 우주복
Лопатка (мыс),로팟카곶
Воркута (река),보르쿠타강
Гимн Татарстана,타타르스탄의 국가
Новослободская (станция метро),노보슬로보츠카야역
"Театральная (станция метро, Москва)",테아트랄나야역
"Комсомольская (станция метро, Кольцевая линия)",콤소몰스카야역 (콜체바야선)
Новокузнецкая,노보쿠즈네츠카야역
"Речной вокзал (станция метро, Москва)",레치노이 보크잘역 (모스크바 지하철)
Воробьёвы горы (станция метро),보로비요비 고리역
Белорусский вокзал,벨로루스키역
Саратовские авиалинии,사라토프 항공
Космические войска,러시아 우주군
Министерство транспорта Российской Федерации,러시아 수송부
Золотая медаль имени И. В. Курчатова,쿠르차토프 메달
Россия на летних Олимпийских играх 1908,1908년 하계 올림픽 러시아 선수단
Пулково (авиапредприятие),풀코보 항공
Теракт в Будённовске,부됴놉스크 병원 인질극
Оренбургские авиалинии,오렌에어
Гимн Крыма,크림 공화국의 국가
Малый театр,말리 극장
Малый Семячик,말리세먀치크산
Мир (кимберлитовая трубка),미르 광산
Большой Кремлёвский дворец,크렘린 대궁전
Кидекша,키덱샤
Ракета (часы),라케타
Малокурильское,말로쿠릴스코예
Претенденты на российский престол после 1917 года,러시아의 차르위 계승 순위
The Moscow Times,모스크바 타임스
50-я параллель северной широты,북위 50도
Герб Крыма,크림 공화국의 문장
Славянка (Приморский край),슬라뱐카
Корф (Камчатский край),코르프
Административно-территориальное деление Якутии,사하 공화국의 행정 구역
Европейский маршрут E115,유럽 고속도로 115호선
Путин должен уйти,푸틴은 떠나야 한다
Узон,우존산
Симфонический оркестр Санкт-Петербургской филармонии,상트페테르부르크 필하모니 교향악단
Евразия (Москва-Сити),유라시아 타워
Ключи (Камчатский край),클류치 (캄차카 지방)
Почта России,러시아 우정
Альфа-банк,알파 은행 (러시아)
Альшеевский район,알셰옙스키군
Теленгиты,텔렝기트족
Русское имя,러시아인의 성명
Мегафон (компания),메가폰 (기업)
Климов (компания),크리모프
Медиаобразование,미디어 리터러시
ТВ Центр,테베 첸트르
Санкт-Петербургский политехнический университет Петра Великого,국립 상트페테르부르크 폴리테크닉 대학교
Невско-Василеостровская линия,넵스코 바실레오스트롭스카야 선
Площадь Восстания (станция метро),플로샤디 보스타니야역
Партия роста,성장당
Александровский сад (станция метро),알렉산드롭스키 사트역
Третьяковская (станция метро),트레티야콥스카야역
Обнинская АЭС,오브닌스크 원자력 발전소
Трансмашхолдинг,트랜스마시홀딩
Проспект Ветеранов (станция метро),프로스펙트 베테라노프역
Посьет,포시예트
Невский проспект (станция метро),넵스키 프로스펙트역
Ярославль-Главный,야로슬라블역
Российский союз эсперантистов,러시아 에스페란티스토 연방
Тропарёво (станция метро),트로파료보역
Валдгейм,발트게임
Административно-территориальное деление Забайкальского края,자바이칼 변경주의 행정 구역
"Кунцевская (станция метро, Арбатско-Покровская и Филёвская линии)",쿤쳅스카야역 (아르바츠코 포크롭스카야선과 필룝스카야선)
Рязанское гвардейское высшее воздушно-десантное командное училище,랴잔 육군 고급공수지휘학교
ИрАэро,이르아에로
Государственный Кремлёвский дворец,국립 크렘린궁
Катастрофа Ту-204 во Внукове,레드 윙스 항공 9268편 추락 사고
Административно-территориальное деление Чечни,체첸 공화국의 행정 구역
Московский международный кинофестиваль 1971,제7회 모스크바 국제 영화제
Павелецкий вокзал,파벨레츠키역
Н010 Жук,Zhuk
Канавинская (станция метро),카나빈스카야역 (니즈니노브고로드 지하철)
Русгидро,루스기드로
Спартак (станция метро),스파르타크역
ВСМПО-Ависма,브슴포-아비스마
Столичная,스톨리치나야
Гостиный двор (станция метро),고스티니 드보르역
Бухарестская (станция метро),부하레스츠카야역
Оймяконское плоскогорье,오이먀콘 고원
Ирбитский мотоциклетный завод,IMZ 우랄
Латышские стрелки,라트비아 소총병
Банк ВТБ,VTB 은행
Международная (станция метро),메즈두나로드나야역 (상트페테르부르크 지하철)
Сахалинский регион Дальневосточной железной дороги,사할린 철도
Российский государственный университет нефти и газа,굽킨 러시아 국립 석유 가스 대학교
Баня,바냐
Радио России,라디오 로시
Партия народной свободы,인민자유당
Уралвагонзавод,우랄바곤자보드
Озерки (станция метро),오제르키역
Тувинцы-тоджинцы,토주 투바인
Манежная площадь (Москва),마네즈나야 광장 (모스크바)
Серия терактов в Москве (1977),1977년 모스크바 폭탄 테러
Левый фронт (Россия),좌파전선 (러시아)
Политехническая (станция метро),폴리테흐니체스카야역
Воронеж (радиолокационная станция),보로네시 (레이더)
Кёрлинг на зимних Олимпийских играх 2014,2014년 동계 올림픽 컬링
Группа НЛМК,노볼리페츠크 스틸
Российско-белорусские отношения,러시아-벨라루스 관계
Купчино (станция метро),쿱치노역
"Партизанская (станция метро, Москва)",파르티잔스카야역
Истра (река),이스트라강
Большая российская энциклопедия,러시아 대백과사전
Культура России,러시아의 문화
Патриотическая песня,애국가 (글린카)
"Пролетарская (станция метро, Санкт-Петербург)",프롤레타르스카야역 (상트페테르부르크 지하철)
Фрунзенско-Приморская линия,프룬젠스코 프리모르스카야 선
Пор-Бажын,포르바진
Матч за звание чемпиона мира по шахматам 1961,1961년 세계 체스 선수권 대회
Техснабэкспорт,테넥스
Сириус Арена,아들레르 아레나
Русский мир (фонд),루스키 미르 재단
Другая Россия Э. В. Лимонова,E. V. 리모노프의 다른 러시아당
"Гагаринская (станция метро, Новосибирск)",가가린스카야역 (레닌스카야선)
Сенная площадь (станция метро),센나야 플로샤디역
"Амба (река, впадает в Амурский залив)",암바강
Чернышевская (станция метро),체르니솁스카야역
Балтийская (станция метро),발티스카야역 (상트페테르부르크 지하철)
Богатырь (хребет),보가티르산
Коммерсантъ,콤메르산트
Сибирские татары,시베리아 타타르인
РАТАН-600,RATAN-600
Дом Советов (Калининград),소비에트 회관 (칼리닌그라드)
Адмиралтейские верфи,아드미랄티 조선소
Елизово (аэропорт),페트로파블롭스크캄차즈키 공항
Лахтинско-Правобережная линия,프라보베레즈나야선
"Арбатская (станция метро, Филёвская линия)",아르바츠카야역 (필룝스카야선)
Ушканьи острова,우시칸 군도
Царское Село (музей-заповедник),차르스코예 셀로
Татарстан (авиакомпания),타타르스탄 항공
Косоворотка,루바슈카
Татнефть,타트네프트
Эволюция (башня),에볼루션 타워
"Киевская (станция метро, Филёвская линия)",키옙스카야역 (필룝스카야선)
"Пушкинская (станция метро, Москва)",푸시킨스카야역 (모스크바 지하철)
ВДНХ (станция метро),VDNKh역
Матч за звание чемпиона мира по шахматам 1960,1960년 세계 체스 선수권 대회
Красногорск (Сахалинская область),크라스노고르스크 (사할린주)
Чемпионат мира по плаванию на короткой воде 2002,2002년 세계 쇼트 코스 수영 선수권 대회
Сочи (река),소치강
Кубок Премьер-лиги,러시아 프리미어리그컵
Кукрыниксы,쿠크리닉시
Орден «За заслуги перед Отечеством»,조국공헌훈장
Украинка (авиабаза),우크라인카 공군기지
"Пушкинская (станция метро, Санкт-Петербург)",푸시킨스카야역 (상트페테르부르크 지하철)
Чехов (Сахалинская область),체호프 (사할린주)
Грановитая палата,그라노비타야궁
"Звенигородская (станция метро, Санкт-Петербург)",즈베니고로츠카야역
Курчатовский институт,쿠르차토프 연구소
Волжская (станция метро),볼시스카야역
СПБ Биржа,상트페테르부르크 증권거래소
Центральный военный округ (Россия),중부군관구
Южный военный округ (Россия),남부군관구
Чёрная гвардия,흑위대
Крестьянский интернационал,농민 인터내셔널
Европейский маршрут E262,유럽 고속도로 262호선
Российско-украинские отношения,러시아-우크라이나 관계
Южно-Курильский район,유즈노쿠릴스키군
"Ленинский проспект (станция метро, Санкт-Петербург)",레닌스키 프로스펙트역 (상트페테르부르크 지하철)
Гражданский проспект (станция метро),그라즈단스키 프로스펙트역
Садовая (станция метро),사도바야역
Девяткино (станция метро),데뱟키노역
"Академическая (станция метро, Санкт-Петербург)",아카데미체스카야역 (상트페테르부르크 지하철)
Электросила (станция метро),옐렉트로실라역
"Фрунзенская (станция метро, Санкт-Петербург)",프룬젠스카야역 (상트페테르부르크 지하철)
Новосибирский государственный университет,국립 노보시비르스크 대학교
Сабантуй,사반투이
Выборгский залив,비보르크만
Обухово (станция метро),오부호보역
Обводный канал (станция метро),오브보드니 카날역
"Парк Победы (станция метро, Москва)",파르크 포베디역 (모스크바 지하철)
Оренбург (футбольный клуб),FC 오렌부르크
ЮТэйр-Экспресс,유테이르 익스프레스
Каширская,카시르스카야역
Циолковский (город),치올콥스키 (아무르주)
Михайловский замок,미하일롭스키성
Матч за звание чемпиона мира по шахматам 1963,1963년 세계 체스 선수권 대회
СНВ-III,뉴 스타트
Российский экономический университет имени Г. В. Плеханова,플레하노프 경제대학교
Победа (часы),포베다 (시계)
МСК%2B5,이르쿠츠크 시간
Митино (станция метро),미티노역
Полюс (компания),폴리우스
"Лесная (станция метро, Санкт-Петербург)",레스나야역
Волоколамская (станция метро),볼로콜람스카야역
Северо-Курильский район,세베로쿠릴스키군
"Спортивная (станция метро, Санкт-Петербург)",스포르티브나야역 (상트페테르부르크 지하철)
Омонимичные домены,도메인 핵
Оренбург (аэропорт),오렌부르크 첸트랄니 공항
Транссибирская автомагистраль,시베리아 횡단 도로
Русский национализм,러시아 국민주의
Савёловский вокзал,사뵬롭스키역
Автово (станция метро),압토보역
Ростех,로스텍
Площадь Мужества (станция метро),플로샤디 무제스트바역
Угольный (аэропорт),우고니 공항
Московский монорельс,모스크바 모노레일
"Речной вокзал (станция метро, Новосибирск)",레치노이 보크잘역 (노보시비르스크 지하철)
Солнечное затмение 30 марта 2033 года,2033년 3월 30일 일식
Сибирская (станция метро),시비르스카야역
Уфа (футбольный клуб),FC 우파
Nordwind Airlines,노드윈드 항공
Ленинский коммунистический союз молодёжи Российской Федерации,러시아 연방 레닌주의 청년 공산주의자 동맹
"Площадь Александра Невского (станция метро, Правобережная линия)",플로샤디 알렉산드라 넵스코고 II역
Транснефть,트랜스네프트
Тазы (народ),타즈족
Народный артист Российской Федерации,러시아 인민예술가상
"Московская (станция метро, Нижний Новгород)",모스콥스카야역 (니즈니노브고로드 지하철)
Алма-Атинская (станция метро),알마 아틴스카야역
Ozon,오존 (기업)
Чёрные Братья,초르니예브라티야섬
Министерство культуры Российской Федерации,러시아 문화부
Владивостокский трамвай,블라디보스토크 트램
Московские ворота (станция метро),모스콥스키예 보로타역
Северо-Восточный федеральный университет имени М. К. Аммосова,북동연방대학교
Ловушки,로브스키섬
Дальневосточноевропейское время,극동유럽 표준시
Заельцовская (станция метро),자옐촙스카야역
Солнечное затмение 12 августа 2026 года,2026년 8월 12일 일식
Китай-город (станция метро),키타이 고로드역
Стрелка Васильевского острова,구 상트페테르부르크 증권거래소와 로스트랄 등대
Религия в России,러시아의 종교
Золотая Нива (станция метро),졸로타야 니바역
Красный проспект (станция метро),크라스니 프로스펙트역
Синарка,시나르카산
"Студенческая (станция метро, Новосибирск)",스투덴체스카야역 (노보시비르스크 지하철)
Кировский завод (станция метро),키롭스키 자보트역
Бунинская аллея (станция метро),부닌스카야 알레야역
Улица Горчакова (станция метро),울리차 고르차코바역
Улица Старокачаловская (станция метро),울리차 스타로카찰롭스카야역
Пятницкое шоссе (станция метро),퍄트니츠코예 쇼세역
Берёзовая роща (станция метро),베료조바야 로샤역
Ладожская (станция метро),라도시스카야역
Площадь Маркса (станция метро),플로샤디 마륵사역
Кантемировская (станция метро),칸테미롭스카야역
Зябликово (станция метро),자블리코보역
Социал-демократическая партия России (2001),러시아 사회민주당 (2001년)
Выборы в Государственную думу Российской империи I созыва,1906년 러시아 총선
Курильский район,쿠릴스키군
100-й меридиан восточной долготы,동경 100도
Адмиралтейская,아드미랄테이스카야역
51-я параллель северной широты,북위 51도
145-й меридиан восточной долготы,동경 145도
Империя (небоскрёб),임페리아 타워
Новокосино (станция метро),노보코시노역
"Академия (футбольный клуб, Тольятти)",FC 아카데미야 톨리야티
Шипиловская (станция метро),시필롭스카야역
"Технопарк (станция метро, Москва)",테흐노파르크역
Музыка России,러시아 음악
Солнцевская организованная преступная группировка,솔른쳅스카야 브라트바
Сахалин (футбольный клуб),FC 사할린 유즈노사할린스크
Борисово (станция метро),보리소보역
Московская биржа,모스크바 증권거래소
Жуковский (аэропорт),주콥스키 국제공항
175-й меридиан западной долготы,서경 175도
Новочеркасская,노보체르카스카야역
Административно-территориальное деление Чукотского автономного округа,축치 자치구의 행정 구역
Ясенево (станция метро),야세네보역
Административно-территориальное деление Белгородской области,벨고로드주의 행정 구역
Административно-территориальное деление Ростовской области,로스토프주의 행정 구역
Чечень,체첸섬
Валдайское озеро,발다이호
Приморская (станция метро),프리모르스카야역
Административно-территориальное деление Хабаровского края,하바롭스크 변경주의 행정 구역
Административно-территориальное деление Пермского края,페름 변경주의 행정 구역
52-я параллель северной широты,북위 52도
Юрий (остров),유리섬
Пыталовский район,피탈롭스키군
Кура (полигон),쿠라 미사일 시험장
Дворец Юсуповых на Мойке,모이카궁
Тургеневская,투르게넵스카야역
"Академическая (станция метро, Калужско-Рижская линия)",아카데미체스카야역 (모스크바 지하철)
Новоясеневская,노보야세넵스카야역
Тёплый Стан (станция метро),툐플리 스탄역
Таватуй,타바투이호
