Stefano Cerioni,斯特凡诺·切廖尼
Romeo Sacchetti,罗密欧·萨凯蒂
Marracash,马拉卡什
Achille Polonara,阿切列·波羅納拉
Massimo Ceccherini,马西莫·切凯里尼
Giovanni Marra,喬瓦尼·馬拉
Matteo Liviero,馬特奥·利維亞路
Massimo Dapporto,马西莫·达波尔托
Massimo Mazzucco,马西莫·马祖可
Pier Luigi Pizzaballa,皮耶路易吉·皮扎巴拉
Sergio Buso,塞爾吉奧·布索
Valter Dario Maggi,懷德·達里奧·馬希
Vincenzo Florio,温琴佐·弗洛里奥
Gianfranco Contri,詹弗兰科·孔特里
Irene Vecchi,伊蓮·維奇
Enzo Moavero Milanesi,恩佐·莫阿韋羅·米蘭尼斯
Virgilio Felice Levratto,维尔吉利奥·莱夫拉托
Andrea Gardini,安德烈·加蒂尼
Ignazio Canazei,耿其光
Alessandro Melli,亚历山德罗·梅利
Giovanni Scanavino,若望·斯卡納維諾
Sandro Gamba,山德罗·甘巴
Renato Villalta,雷纳托·维拉尔塔
Maurizio Bonuglia,莫里齊歐·博奴亞
Maurizio Calvesi,毛里齐奥·凯尔维斯
Giuliana Berlinguer,朱莉安娜·贝林格
Giuliana Gamba,朱丽安娜·岗巴
Girolamo Mazzola Bedoli,吉羅拉莫·馬佐拉·貝多利
Marino Perani,馬里諾·佩拉尼
Mauro Roman,毛罗·罗曼
Marcello Fois,马切洛·福伊斯
Maicol Verzotto,麥科·韋爾佐托
Giovanni Zerbini,若望·澤爾比尼
Marina Sciocchetti,玛丽娜·肖凯蒂
Marco Zanchi,马尔科·赞基
Ferdinando De Giorgi,費爾德南多·德·吉奧吉
Ignazio Sanna,依納爵·桑納
Marco Bracci,馬爾科·布拉奇
Renzo Vecchiato,伦佐·韦基亚托
Massimo Felisatti,马西莫·费利萨蒂
Massimo Gaudioso,马西莫·高迪奥索
Elia Luini,埃利亚·卢伊尼
Giancarlo Cadé,吉安卡羅·卡德
Marco Belotti,馬爾科·貝羅蒂
Piero Piccioni,皮耶羅·畢奇奧尼
Davide Succi,戴維·蘇西
Mauro Zuliani,毛罗·祖利亚尼
Fabrizio Cacciatore,法比里西奥·卡恰托雷
Augusto Binelli,奥古斯托·比内利
Riccardo Stracciari,里卡多·斯特拉恰里
Silvano Arieti,西爾瓦諾·阿瑞提
Luca Vigiani,盧卡·維賈尼
Ippolito Sanfratello,伊波利托·圣弗拉泰洛
Lucio Gaudino,盧奇歐·高第諾
Mauro Bianchi,毛罗·比安奇
Mauro Covacich,毛罗·科瓦西奇
Mauro Meacci,毛祿·梅奇
Walter Santesso,華特·桑特索
Filippo Silvestri,菲利浦·西爾維斯特利
Ondřej Hotárek,霍塔列克
Gabriele Salviati,加布里埃莱·萨尔维亚蒂
Zeffiro Furiassi,泽菲罗·富里亚西
Michele Maffei,米凯莱·马费伊
Giulio Battiferri,朱里奥·巴蒂费里
Michelangelo Riccardo Maria Tiribilli,彌額爾-安傑洛·利則·瑪利亞·蒂里比利
Marina Lotar,玛丽娜·海德曼
Mauro Numa,毛罗·努马
Simona Rinieri,西蒙娜·里涅里
Giuseppe Amato,朱塞佩·阿馬托
Giulio Manfredonia,吉乌里奥·曼弗雷多尼
Giuseppe Antonio Borgese,G.A. 波尔杰塞
Paolo Bossini,保罗·博西尼
Luigi Cagni,路易吉·卡尼
Stefano Zacchiroli,斯特凡諾·扎基羅利
Giuseppe Fiorello,朱塞佩·费奥雷罗
Giuseppe Capotondi,吉塞佩·卡波通蒂
Franca Viola,弗蘭卡‧維奧拉
Gaetano Bonicelli,加耶當·博尼切利
Gaetano Kanizsa,盖塔诺·卡尼萨
Roberto Innocenti,羅伯特·英諾桑提
Gaetano Pesce,加埃塔諾·佩謝
Ivo Baldi Gaburri,毅夫·巴爾迪-加布里
Gaetano Galbusera Fumagalli,嘉耶當·加爾布塞拉-富馬加利
Jacopo Comin,雅克布·柯敏
Michele Scandiffio,彌額爾·斯坎迪菲奧
Michele Padovano,米歇尔·帕多瓦诺
Michele Marelli,米歇爾·馬雷利
Giuseppe Petrocchi,若瑟·彼得羅基
Mosè Marcia,梅瑟·馬西亞
Tommaso Rinaldi,托馬索·里納爾迪
Marco Lanna,马尔科·拉纳
Nadir Caselli,纳蒂尔·卡塞利
Tobia Scarpa,托比亞·斯卡帕
Giuseppe Franzelli,若瑟·弗蘭澤利
Giuseppe M. Gaudino,朱塞佩·高迪諾
Jack Dragna,傑克·卓格納
Serena Michelotti,塞雷娜·米凯洛蒂
Maria Francesca di Savoia,瑪麗亞·弗朗西斯公主
Manlio Rocchetti,曼利奧·洛切蒂
Mário Pasqualotto,瑪略·帕斯夸洛托
Giuseppe Ogna,朱塞佩·奥尼亚
Giuseppe Papadopulo,朱塞佩·帕帕多普洛
Matteo Martino,馬特奧·馬爾提諾
Pietro Scalia,皮托·史凱利亞
Mostro di Firenze,佛羅倫薩怪獸
Narcissus Quagliata,水仙大師
Pierino Fanna,彼得罗·凡纳
Giancarlo Corradini,吉安卡里奥.科拉迪尼
Paolo Zanetti,保羅·扎內蒂
Natalino Pescarolo,纳塔利诺·佩斯卡罗洛
Paul Hildgartner,保罗·希尔德加特纳
Pieralberto Carrara,皮耶拉尔贝托·卡拉拉
Wilfried Huber,维尔弗里德·胡贝尔
Nadia Urbinati,娜迪亚·乌尔比纳蒂
Gavino Ledda,加维诺·凌达
Paolo Romani,保罗·罗马尼
Samuel Pizzetti,薩謬埃爾·皮澤蒂
Giuseppe Sulfaro,朱塞佩·蘇法羅
Giuseppe Vari,朱塞佩·瓦里
Staffan de Mistura,斯塔凡·德米斯圖拉
Renato Mocellini,雷纳托·莫切利尼
Stefano Bontate,斯特法罗·邦塔德
Giuseppe Matarrese,若瑟·馬塔雷塞
Nello Carrara,内洛·卡拉拉
Paola Paggi,保拉·帕吉
Valentino Degani,瓦伦蒂诺·德加尼
Vincenzo Scaramuzza,文欽佐·斯卡拉穆扎
Sara Varone,萨拉·瓦罗内
Nerio Bernardi,尼利歐·貝納第
Roberto Infascelli,罗伯托·英法斯凯利
Andrea Pazzagli,安德里亚·帕扎利
Vincenzo Scotti,温琴佐·斯科蒂
Goffredo Fofi,戈弗雷多·佛菲
Niccolò Castiglioni,尼科洛·卡斯蒂廖尼
Nick Nostro,尼克·诺斯特
Gerardo Pierro,吉拉·皮耶羅
Salvatore Cascio,薩瓦特利·卡西歐
Sigisfredo Mair,西格弗里德·迈尔
Nicola Samale,尼古拉·薩馬萊
Roberto Colciago,羅伯托·科爾西亞戈
Sergio Padt,佩特
Ignacio Scocco,伊赫納西奧·斯科科
Andrea Lo Cicero,安德烈·洛切萊羅
Francesco Rizzo,弗朗切斯科·里佐
Margherita Missoni,瑪格莉達·米遜里
Felice Gasperi,费利切·加斯佩里
Giovanni Giacomazzi,乔瓦尼·贾科马齐
Stefano Desideri,斯特凡诺·德西代里
Enrico Rivolta,恩里科·里沃尔塔
Silvio Pietroboni,西尔维奥·彼得罗博尼
Vittorio Emanuele di Savoia-Aosta,维托里奥·埃曼努埃莱
Gonzalo Canale,貢薩羅·卡納萊
Alberto Bressan,阿尔贝托·布莱森
Piero Campelli,皮耶罗·坎佩利
Antonio Allocchio,安东尼奥·阿洛基奥
Silvia Mezzanotte,瑟尔维亚·梅扎诺特
Ginevra Elkann,吉内芙拉·埃尔坎
Nathalie,娜塔莉
Benito Rigoni,贝尼托·里戈尼
Leo Valiani,列奥·瓦利亚尼
Domenico Cattarinich,米莫·卡塔里尼奇
George Hilton,乔治·希尔顿
Adriano Frassinelli,阿德里亚诺·弗拉西内利
Silverio Blasi,西爾維斯特·布拉茜
Simone Massi,西蒙尼·馬西
Silvano Ippoliti,西爾瓦諾·伊波利蒂
Ludovica Modugno,卢多维卡·莫杜尼奥
Silvia Annichiarico,西尔维娅·安尼切尔科
Giacomo Piperno,贾科莫·皮沛诺
Guido Vincenzi,圭多·温琴齐
Andrea Marrazzi,安德烈亚·马拉齐
Paolo Angioni,保罗·安焦尼
Pietro Bianchi,彼得罗·比安基 (举重运动员)
Mario Checcacci,马里奥·凯卡奇
Marino Morettini,马里诺·莫雷蒂尼
Dino Ciani,迪诺·西亚尼
Ylenia Carrisi,伊莉亚·卡瑞西
Enzo Bartolini,恩佐·巴尔托利尼
Joseph Janni,約瑟夫·珍妮
Vincenzo Amato,文森佐·阿馬托
Gian Carlo Wick,吉安·卡罗·威克
Umberto Bonadè,翁贝托·博纳德
Giancarlo Bastianoni,贾恩卡洛·巴斯蒂安尼
Carlo Rancati,卡洛·兰卡蒂
Michele Tito,米凯莱·蒂托
Silvio Branco,西尔维奥·布兰科
Nino Fuscagni,尼诺·福斯卡尼
Nino Bibbia,尼诺·比比亚
Ninni Bruschetta,安东尼奥·布鲁斯凯塔
Giancarlo Ferrando,賈恩卡洛·費爾蘭多
Andrea Camplone,安德烈亚·坎普洛内
Cencio Mantovani,琴乔·曼托瓦尼
Giacomo Mari,贾科莫·马里
Ottorino Quaglierini,奥托里诺·夸列里尼
Daniele Gastaldello,達尼埃萊·加斯塔德羅
Lino Marzorati,利諾·馬佐拉蒂
Pippo Franco,皮波·佛朗哥
Michele Camporese,米凱萊·坎波雷塞
Oreste Grossi,奥雷斯特·格罗西
Giancarlo Prete,蒂莫西·布伦特
Giampaolo Lomi,詹保罗·洛米
Alessandro Barbucci,亚历山德罗·巴布奇
Philip Tattaglia,菲利普·塔塔基利亞
Gino Sopracordevole,吉诺·索普拉科尔代沃莱
Daniele Capelli,達尼埃萊·卡佩里
Salvatore Cardillo,萨尔瓦多·卡尔迪罗
Gianfranco De Bosio,吉安弗蘭科·德·波西奧
Lorenzo Carboncini,洛伦佐·卡尔邦奇尼
Germana Malabarba,杰尔马娜·马拉巴尔巴
Giuseppe Ravano,朱塞佩·拉瓦诺
Mario Vallotto,马里奥·瓦洛托
Salvatore Giovanni Rinaldi,薩維·若望·里納爾迪
Virginio Pizzali,维尔吉尼奥·皮扎利
Ferdinando Pio di Borbone-Due Sicilie,费迪南多·皮奥
Nicolangelo Carnimeo,尼科朗傑洛·卡尼梅奧
Gianfranco Baldanello,詹弗兰科·巴尔达内洛
Alessandro Natta,阿雷桑德罗·纳塔
Alfonso Negro,阿方索·内格罗
Ines Vercesi,伊内斯·韦尔切西
Carlo Mornati,卡洛·莫尔纳蒂
Antonio Tartaglia,安东尼奥·塔尔塔利亚
Hristo Zlatanov,弗里斯托·斯拉塔諾夫
Giulio Cappelli,吉乌里奥·卡裴利
Antonio Pagani,安东尼奥·帕加宁
Arturo Schwarz,阿圖羅·須瓦茲
Alfredo Pitto,阿尔弗雷多·皮托
Luigina Perversi,路易吉娜·佩尔韦西
Libero Marchini,利贝罗·马尔基尼
Carolina Tronconi,卡罗琳娜·特龙科尼
Rita Vittadini,丽塔·维塔迪尼
Vincenzo Rossello,Vincenzo Rossello
Sofia Goggia,索菲娅·戈吉亚
Alberto Manni,阿尔贝托·曼尼
Gino Cappello,吉诺·卡佩洛
Nicola Sartori,尼古拉·萨尔托里
Alberto Grifi,阿爾貝托·格里菲
Nino Franchina,尼诺·弗兰奇纳
Santo Trafficante Sr.,聖·特拉菲坎特拉
Giacinto Brandi,贾钦托·布兰迪
Caterina Bosetti,小波塞蒂
Diana Pizzavini,黛安娜·皮扎维尼
Lavinia Gianoni,拉维尼娅·贾诺尼
Gastone Pierini,加斯托内·皮耶里尼
Alberto da Zara,阿爾貝托·達扎拉
Fulvio Nesti,富尔维奥·内斯蒂
Francesca Lollobrigida,弗蘭切絲卡·洛洛布里吉達
Elisabetta Dami,伊丽莎白·达米
Marco Capuano,馬爾科·卡普亞諾
Berel Lazar,贝雷尔·拉扎尔
Maurizio Lobina,墨里奇奧·洛比納
Pasquale Marino,帕斯夸莱·马里诺
Lorenzo Milani,洛倫佐·米蘭尼
Paolo Viganò,保罗·维加诺
Alessandro Colizzi,亚历山德罗·科利齐
Pietro Genovesi,彼得罗·杰诺韦西
Piero Regnoli,皮耶罗·雷格诺利
Francesco Golisano,弗朗切斯科·戈里薩諾
Augusto Magli,奥古斯托·马利
Davide Grassi,达韦德·卡纳斯
Fabrizio Della Fiori,法布里齐奥·德拉菲奥里
Luca Dotto,盧卡·多托
Virginio Rognoni,维吉尼奥·罗尼奥尼
Ennio Mattarelli,恩尼奥·马塔雷利
Nello Musumeci,尼罗·穆苏梅奇
Spartaco Bandinelli,斯帕尔塔科·班迪内利
Lucia Bosetti,盧西亞·波塞蒂
Andrea Mirò,安道尔·米尔
Roberto Bordi,羅勃·博爾迪
Francesca Dellera,弗兰切斯卡·德莱拉
Flavio Anastasia,弗拉维奥·阿纳斯塔西亚
Antonella Del Core,安東內拉·戴爾蔻兒
Bice Vanzetta,比切·万泽塔
Alessio Figalli,阿莱西奥·菲加利
Corrado Dal Fabbro,科拉多·达尔法布罗
Lippo di Dalmasio,利波·迪·達爾馬西奧
Alessandro De Marchi,亞歷山德羅·代·馬奇
Gianmarco Tamberi,吉安馬科·坦貝里
Mino Raiola,米诺·拉伊奥拉
Cecco Bravo,塞科·布拉沃
Andrea Facchin,安德烈亚·法金
Angelo Carbone,安杰洛·卡博尼
Brunello Spinelli,布鲁内洛·斯皮内利
Gianluca Caprari,卡柏拉里
Alessio Allegrini,阿萊西奧·阿列格里尼
Gottlieb Taschler,戈特利布·塔施勒
Pietro Ubaldi,皮特罗·波第
Vincenzo Grifo,文森佐·格里弗
Louis Dorigny,鲁多维科·多里尼
Amos Cardarelli,阿莫斯·卡尔达雷利
Luigi Chiatti,路易吉·齐亚蒂
Alex Infascelli,亚历克斯·因法斯塞利
Alessandro Quaroni,亚历山德罗·冠罗尼
Francesco D'Aniello,弗朗切斯科·达尼埃洛
Antonio Scaduto,安东尼奥·斯卡杜托
Franco Vázquez,弗蘭科·巴斯克斯
Tommaso Benvenuti,托馬索·本維努提
Ventzislav Simeonov,文齐斯拉夫·西梅奥诺夫
Mirko Corsano,米尔科·科尔萨诺
Paolo Cozzi,保罗·科齐
Alex Liddi,亚历克斯·利迪
Jessica Tomasi,杰茜卡·托马西
Lorenzo Insigne,洛倫佐·因西涅
Rino Marchesi,里諾·馬凱西
Aimone di Savoia-Aosta,埃莫恩王子 (阿普利亚公爵)
Benito Carbone,賓列圖·卡邦尼
Giuseppe Marotta,朱塞佩·马罗塔
Mario Prada,馬里奧·普拉達
Oscar Brazzi,奧斯卡·布拉齐
Vincenzo Mangiacapre,温琴佐·曼贾卡普雷
Mario Moretti,马里奥·莫雷蒂
Osmany Juantorena,奥斯马尼·胡安托雷纳
Ottavio Alessi,奥塔维奥·艾希列
Abelardo Olivier,阿贝拉尔多·奥利维耶
Adolfo Tunesi,阿道夫·图内西
Carlo Fregosi,卡洛·弗雷戈西
Massimo Vignelli,馬西莫·維涅里
Alex Baresi,亚历克斯·巴雷西
Ambrogio Molteni,安布罗焦·莫尔蒂尼
Vincenzo Vinciguerra,文森佐·文西格拉
Giovanni Stroppa,巴比倫尼亞山
Edoardo Ballerini,愛德華多·巴萊里尼
Stefano Sannino,斯特凡诺·圣尼诺
Paul Bonifacio Parkinson,保罗·博尼法西奥·帕金森
Margherita di Borbone-Parma,瑪格麗特公主 (波旁-帕爾馬)
Massimiliano Alajmo,馬西米利亞諾·阿拉傑莫
Jimmy Fratianno,吉米·弗拉蒂安諾
Gloria Banditelli,格洛里亚·班迪特利
Edoardo Reja,埃多阿爾多·雷亞
Carlo Gabriel Nero,卡洛·加布里埃尔·尼罗
Roberto De Zerbi,罗伯托·德泽尔比
Stefano Carobbi,斯特凡诺·卡罗比
Girolamo Giovinazzo,吉罗拉莫·焦维纳佐
Sebastiano Visconti Prasca,塞巴斯蒂亞諾·維斯孔蒂·普拉斯卡
Pino Colizzi,皮诺·科莉齐
Stefano Incerti,斯蒂法诺·因赛尔迪
Guido Boni,圭多·博尼
Donato Creti,多納托·克雷蒂
Amedeo Ambron,阿梅代奥·安布龙
Nicole Della Monica,妮可·德拉莫妮卡
Alberta Ferretti,阿爾伯特·菲爾蒂
Luigi Falorni,路易吉·法洛尼
Ovidio G. Assonitis,奥维迪奥·G·阿索尼蒂斯
Laura Negrisoli,劳拉·内格里索利
Diego Hernán Valeri,迪亞高·華拿里
Martina Grimaldi,马丁娜·格里马尔迪
Maurizio Zamparini,毛里奇奧·赞帕里尼
Paolo Berlusconi,保罗·贝卢斯科尼
Osvaldo Civirani,奥斯瓦尔多·奇维拉尼
Osvaldo Desideri,奥斯瓦尔多·德西代里
Marco D'Alessandro,馬爾科·德亞歷山德羅
Mauro De Mauro,毛罗·德·毛罗
Franco Sancassani,佛朗哥·圣卡萨尼
Marco Aurelio Fontana,马尔科·奥雷利奥·丰塔纳
Guerino Di Tora,圭里諾·迪-托拉
Otello Colangeli,奥特洛·科兰杰利
Maurizio Mannelli,毛里齐奥·曼内利
Tullio Pandolfini,图利奥·潘多尔菲尼
Raffaele Maiello,拉斐爾·梅爾羅
Paolo Canè,保罗·卡内
Guido Colonna di Paliano,圭多·科隆納·迪·帕利亞諾
Pasquale Buonocore,帕斯夸莱·博诺科雷
Guido Altarelli,圭多·阿塔雷利
Stefano Rolla,斯蒂法諾·蘿拉
Paolo Ferrero,保罗·费雷罗
Dino Alfieri,迪诺·阿尔菲耶里
Roberto Alajmo,罗伯托·阿拉约莫
Guglielmo Del Bimbo,古列尔莫·德尔宾博
Stefano Sibaldi,斯蒂法诺·西巴尔迪
Alessandro Del Mar,亞歷山德羅·德瑪
Rosario Parmegiani,罗萨里奥·帕尔梅贾尼
Pappi Corsicato,帕皮·科西嘉托
Guido Fiandino,圭多·菲安迪諾
Camilla Ferranti,卡米拉·费兰蒂
Andrea Lazzari,安德雷·拉扎里
Antonio Pallavicini Gentili,安多尼·帕拉維奇尼
Laudec,洛德
Cesare Milani,切萨雷·米拉尼
Raffaello Gambino,拉法埃洛·甘比诺
Vincenzo Polito,恩佐·波利托
Riccardo Schicchi,里卡多·斯基基
Gianfranco Pandolfini,詹弗兰科·潘多尔菲尼
Guido Malatesta,圭多·马拉泰斯塔
Cesare Natali,塞薩雷·納塔利
Paolo Nori,保罗·诺伊
Paolo Moffa,保罗·莫法
Renato Anselmi,雷纳托·安塞尔米
Giancarlo Bergamini,贾恩卡洛·贝尔加米尼
Giulio Basletta,朱利奥·巴斯莱塔
Nino Benvenuti,尼诺·本韦努蒂
Davide Moscardelli,大卫·莫斯卡尔德利
Cosimo Antonelli,科西莫·安东内利
Mike Sylvester,米夏埃尔·西尔韦斯特
Massimo Bruno,馬西莫·布魯諾
Massimo Fabbrizi,马西莫·法布里齐
Paolo Dall'Oglio,保羅·達洛利奧
Simone Venier,西莫内·韦涅尔
Piero Cassano,皮埃羅·卡薩諾
Jenny Barazza,詹尼·巴拉扎
Paolo Tofoli,保羅·托佛利
Luca Tesconi,卢克·泰斯科尼
Guido Pontecorvo,基多·龐蒂科夫
Alfredo Pezzana,阿尔弗雷多·佩扎纳
Vincenzo Pinton,温琴佐·平通
Luigi Contessi,路易吉·孔泰西
Giovanni Tubino,乔瓦尼·图比诺
Michele Mastromarino,米凯莱·马斯特罗马里诺
Mario Vegetti,馬里奧·韋吉蒂
Marco Fabbri,马可·法布尼
Matías Vecino,马蒂亚斯·维西诺
Tommaso Maestrelli,托馬索·馬斯特雷利
Paolo Seganti,保罗·塞甘蒂
Angelo Scuri,安杰洛·斯库里
Giulio Sarrocchi,朱利奥·萨罗基
Giorgio Pessina,乔治·佩西纳
Guido Santin,圭多·桑廷
Ubaldo Maria Del Colle,乌巴尔多·玛丽亚·德尔·科莱
Lello Arena,雷奥·阿雷纳
Renato Bracci,雷纳托·布拉奇
Ugo Fabrizio Giordani,乌戈·法布里佐·乔丹尼
Simone Parodi,西蒙尼·帕羅蒂
Massimo Sarchielli,馬西莫·薩奇艾里
Ugo Pignotti,乌戈·皮尼奥蒂
Fiorenzo Marini,菲奥伦佐·马里尼
Renzo Minoli,伦佐·米诺利
Gioacchino Guaragna,焦阿基诺·瓜拉尼亚
Matteo Bobbi,马泰奥·博比
Vittorio Sodano,維托里奧·索達諾
Remo Bodei,雷莫·博代
Vittorio Tamagnini,维托里奥·塔马尼尼
Sergio Gori,塞尔焦·戈里
Susanna Capurso,苏珊娜·卡普尔索
Angelo Bruno,安傑洛·布魯諾
Pasquale Festa Campanile,帕斯夸莱·费斯达·康巴尼勒
Renato William Jones,雷納托·威廉·瓊斯
Pasquale Catalano,帕斯夸莱·卡塔拉诺
Raimondo Inconis,雷蒙多·因科尼斯
Nikola Radulović,尼古拉·拉杜洛维奇
Selen,塞伦
Pierino Gabetti,皮耶里诺·加贝蒂
Patrizio Bertelli,帕崔茲奧‧貝特利
Vittorio Cioni,维托里奥·乔尼
Riccardo Perpetuini,里卡多·佩普圖尼
Domenico Matteucci,多梅尼科·马泰乌奇
Guido De Filip,圭多·德菲利普
Enrico Garzelli,恩里科·加尔泽利
Giovanni Plazzer,乔瓦尼·普拉泽尔
Renato Barbieri,雷纳托·巴尔别里
Marco Marin,马尔科·马林 (击剑运动员)
Giorgio Anglesio,乔治·安格莱西奥
Giuseppe Tonani,朱塞佩·托纳尼
Giovanni Reggio,乔瓦尼·雷焦
Sara Anzanello,萨拉·安扎内洛
Ibrahim Kodra,易卜拉欣·科德拉
Roberto Alpi,罗伯托·阿尔皮
Giovanni Scher,乔瓦尼·斯凯尔
Tonino Delli Colli,東尼諾·戴笠·寇利
Ugo Cerletti,乌戈·塞来提
Michele Greco,米歇尔·格雷科
Corrado Barazzutti,科拉多·巴拉祖蒂
Mario Paci,梅百器
Nicola Franceschina,尼古拉·弗兰切斯基纳
Maurizio Felugo,毛里齐奥·费卢戈
Diego Fabbrini,迭戈·法布里尼
Aldo Ceccato,阿尔多·切卡托
Daniela Dessì,丹妮拉·德西
Andrea Giani,安德烈·吉亞尼
Marco Giampaolo,马尔科·詹保罗
Paride Tumburus,帕里德·通布鲁斯
Dino Barsotti,迪诺·巴尔索蒂
Laura Giuliani,劳拉·朱利亚尼
Francesco Cossu,弗朗切斯科·科苏
Carlo Costigliolo,卡洛·科斯蒂廖洛
Deni Fiorentini,德尼·菲奥伦蒂尼
Gianmarco Pozzecco,詹马尔科·波泽科
Giovanni Steffè,乔瓦尼·斯泰费
Antonio Ghiardello,安东尼奥·吉亚尔代洛
Giancarlo Ghirardi,吉安卡洛·吉拉爾迪
Bruno Boni,布鲁诺·博尼
Alan Marangoni,艾伦·马兰戈尼
Alberto Frison,阿爾貝托·弗里森
Piersanti Mattarella,皮耶尔桑蒂·马塔雷拉
Leonardo Bonzi,萊昂納多·邦奇
Mario Balleri,马里奥·巴莱里
Antonio Rozzi,安東尼奧·羅斯
Enrico Silvestrin,恩里科·西尔韦斯特林
David Sassoli,大卫·萨索利
Roberto Vestrini,罗伯托·韦斯特里尼
Mattia Pesce,馬提亞·佩齊
Ermenegildo Arena,吉尔多·阿雷纳
Travis Diener,特拉维斯·迪安纳
Ilaria Salvatori,伊拉里娅·萨尔瓦托里
Danilo Dolci,达尼洛·道尔奇
Valentina Marchei,瓦伦蒂娜·马切伊
Franco Cristaldi,法蘭柯·克里斯塔爾迪
Luigi Scarabello,路易吉·斯卡拉贝洛
Roberto Cravero,罗伯托·克拉韦罗
Antonio Ingroia,安东尼奥·英格罗娅
Pietro Bottaccioli,彼得·博塔喬利
Marcello Venusti,馬爾切洛•維努斯蒂
Paolo Gillet,保祿·吉萊特
Matteo Rivolta,馬特奧·里沃爾塔
Alice Mizzau,愛麗絲·密朝
Luigi Scattini,路易吉·史卡蒂尼
Nicolás Blandi,白蘭迪
Giampaolo Menichelli,詹保罗·梅尼凯利
Teobaldo Depetrini,特奥巴尔多·德佩特里尼
DJ Mad Dog,DJ疯
Beniamino Bonomi,贝尼亚米诺·博诺米
Anna Casagrande,安娜·卡萨格兰德
Ettore Balestrero,埃托雷·巴萊斯特雷羅
Simone Raineri,西莫内·拉伊内里
Giorgio Ferroni,喬治·費羅尼
Valerio Vermiglio,巴列里奧·維爾米格里奥
Peter Kolosimo,彼得·科洛西莫
Manfredo Tafuri,曼弗雷多·塔夫里
Román González,罗曼·冈萨雷斯 (篮球运动员)
Carlo Galli,卡洛·加利
Carlo Agostoni,卡洛·阿戈斯托尼
Clorindo Testa,克洛林多·特斯塔
Secondo Campini,塞康多·卡皮尼
Andrea Meneghin,安德烈亚·梅内金
Pia Carmen Lionetti,皮娅·廖内蒂
Lorenzo Voltolini Esti,老楞佐·沃爾托利尼-埃斯蒂
Lino Del Fra,里諾·德爾·法拉
Néstor Fabbri,内斯托尔·法布里
Lucas Viatri,卢卡斯·比亚特里
Salvatore Amitrano,萨尔瓦托雷·阿米特拉诺
Nadia Centoni,纳迪娅·琴托尼
Giorgio Ghezzi,乔治·盖齐
Roberto Chiacig,罗伯托·基亚奇格
Gaia Bassani Antivari,加亚·巴萨尼·安蒂瓦里
Ania Pieroni,安雅·佩羅尼
Ottorino Barassi,奧托里諾·巴拉西
Massimo Filippo Antongiulio Maria Freccia,馬西莫·弗瑞契亞
Piergiorgio Gay,皮耶吉歐吉歐·蓋伊
Giovanni De Prà,乔瓦尼·德普拉
Matej Černič,马泰·切尔尼奇
Liliana Segre,莉莉安娜·塞格雷
Stefania Bonfadelli,斯特凡尼亚·邦法德利
Volterrano,巴爾達薩列·弗朗切斯基尼
Rosalba Forciniti,罗萨尔芭·福尔奇尼蒂
Jessica Rossi,杰西卡·罗西
Piero Vivarelli,皮耶罗·维瓦雷利
Dario Dentale,达里奥·登塔莱
Ennio Falco,恩尼奥·法尔科
Ettore Tosi,埃托雷·托西
Marco Carrara,馬可·卡拉拉
Tebaldo,提伯爾特
Caberto Conelli,卡贝尔托·科内利
Riccardo Nowak,里卡尔多·诺瓦克
Philipp Pamer,菲利普·J·帕默
Andrea Benelli,安德烈亚·贝内利
Emilio Bulgarelli,埃米利奥·布尔加雷利
Alfredo Rota,阿尔弗雷多·罗塔
Pier Giorgio Bellocchio,皮埃尔·乔治·贝罗奇奥
Pierbattista Pizzaballa,伯鐸·皮扎巴拉
Maria Perrusi,玛丽亚·佩吕
Pino Ammendola,皮诺·阿门多拉
Michelangelo Abbado,米开朗基罗·阿巴多
Carlo di Borbone-Due Sicilie,卡斯特罗公爵卡洛王子
Pino Maddaloni,朱塞佩·马达洛尼
Giulio De Vita,朱利奧·德·维达
Carlo Pinsoglio,卡洛·平索里奥
Marco Ferrante,马尔科·费兰特
Yang Min,杨敏 (1963年)
Paolo De Matteis,帕罗·德·麦缇斯
Andrea Zorzi,安德烈·佐兹
Pietro Meloni,伯多祿·梅洛尼
Simona Gioli,西蒙娜·姬奧莉
Stefano Rusconi,斯特凡诺·鲁斯科尼
Giovanni Reale,乔凡尼·雷亚莱
Catello Amarante,卡泰洛·阿马兰特
Renzo Furlan,伦左·福兰
Nicola Trussardi,尼古拉·特鲁萨尔迪
Paolo Pucci,保罗·普奇
Manlio Sgalambro,曼利奥·斯加兰布罗
Molella,莫雷利亚
Lucia Morico,露西娅·莫里科
Giampiero Pastore,詹皮耶罗·帕斯托雷
Valentino Gallo,瓦伦蒂诺·加洛
Renzo Alverà,伦佐·阿尔韦拉
Roberto Tozzi,罗伯托·托齐
Tommaso Dazzi,托马索·达莉齐
Matteo Aicardi,马泰奥·艾卡尔迪
Giacomo Pastorino,贾科莫·帕斯托里诺
Michela Quattrociocche,米凯拉·夸特罗乔凯
Tiziana Lodato,蒂兹亚娜·罗达托
Marcello Catalano,马尔切洛·卡塔拉诺
Tito Vuolo,蒂托·沃洛
Tito Solari Capellari,弟鐸·索拉里-卡佩拉里
Boris Vsevolodovič Petrušanskij,鲍里斯·彼得拉斯坦斯基
Annibale Frossi,安尼巴莱·弗罗西
Piero Pizzi Cannella,彼也洛·彼基·卡內拉
Tonino De Bernardi,托尼洛·狄·柏納迪
