Hebe Camargo,赫柏·卡马戈
Gabriela Duarte,加布里埃拉·杜阿尔特
Reynaldo Gianecchini,雷纳多·贾内奇尼
Arnaldo Jabor,阿納爾多·雅伯
Affonso Beato,阿豐索·貝亞托
Affonso Eduardo Reidy,阿方索·愛德華多·雷迪
Givanildo Oliveira,吉萬尼爾多·奧利維拉
Matuzalém,马图扎莱姆
Robert Scheidt,罗伯特·沙伊特
Jaques Morelenbaum,莫倫蘭·鮑姆
Heleno de Freitas,赫萊諾·德弗雷塔斯
Jorge Stolfi,豪爾赫·斯托菲
Carlinhos Brown,卡連浩斯·伯恩
Muricy Ramalho,墨里西·拉马略
Aurélio de Lira Tavares,奧雷利奧·德·里拉
Barbosa Lima Sobrinho,巴博萨·利马·索布里尼奥
Luiz Carlos Nascimento Júnior,路爾斯·卡路士·納斯文杜·祖利亞
Afonso Guimarães da Silva,阿方索·吉馬良斯·達席爾瓦
Lima Barreto,利馬·巴雷托
Bartolomeu Bueno da Silva,巴爾托洛梅烏·布埃諾·達·席爾瓦
Hélder Câmara,赫尔德·加马拉
Serginho Chulapa,塞爾吉尼奧·楚拉帕
Bento Gonçalves,本托·贡萨尔韦斯·达·席尔瓦
Sandro da Silva Mendonça,桑德罗·达·席尔西·曼东沙
Luís Antônio Corrêa da Costa,繆勒
Betty Faria,贝蒂·法利亚
Mert Nobre,馬爾西奧
Alberto Cavalcanti,奧伯托·卡非肯提
Nelsinho Baptista,内尔西尼奥·巴普蒂斯塔
Alexandre Levy,亞歷山大·拉維
Martinho da Vila,马提尼奥·达·维拉
Paulo Amaral,保罗·利马·阿马拉尔
Chico Anysio,奇科·安西奥
Josimar Higino Pereira,若西马尔
Lucas Saatkamp,盧卡斯·斯特坎普
Flávio Almeida da Fonseca,弗拉維奧·美努亞諾
Eliseu Visconti,埃利塞乌·维斯孔蒂
Sidnei Rechel da Silva Junior,西内·雷谢尔
Matheus Henrique do Carmo Lopes,马修斯·亨里克·多·卡莫·洛佩斯
Antônio Delfim Netto,安東尼奧·德爾芬·內托
Weldon Santos de Andrade,威尔顿·桑托斯·德·安德拉德
Assis Lopes,阿西斯·洛佩斯
José Reinaldo de Lima,雷纳尔多
Marílson Gomes dos Santos,馬里爾森·戈麥斯·多斯·桑托斯
Ricardo Sperafico,里卡多·斯佩拉菲科
Menotti Del Picchia,梅诺蒂·德尔·皮齐亚
Nelson Pereira dos Santos,内尔松·佩雷拉·多斯桑托斯
Douglas Costa,道格拉斯·科斯塔
José de Anchieta Fontana,荷西·德·安切塔·豐塔納
Leonízio Fantoni,萊奧尼迪奧·凡托尼
Carlinhos Paraíba,卡連奴斯·柏拉巴
Marc van Roosmalen,馬克·范·羅斯瑪倫
Carlos Lessa,卡洛斯·雷薩
Pedro de Alcântara Gastão de Orléans e Bragança,佩德罗·加斯顿
Ruy Guerra,魯伊·葛拉
Walter Casagrande,沃尔特·卡萨格兰
Frei Caneca,弗雷·卡内卡
Golbery do Couto e Silva,戈尔伯里·杜·库托·席尔瓦
Ciro Gomes,西羅·戈麥斯
Osmar Donizete Cândido,多尼泽特·潘得拉
Rogério Sampaio,罗热里奥·桑帕约
Alan Kardec,阿倫·卡迪斯
Marcelo Boeck,馬些路·保斯克
Eduardo Gomes,愛德華多·戈麥斯
Elon Lages Lima,埃隆·拉格斯·利馬
Deborah Secco,德博拉·赛科
Carla Camurati,卡拉·卡穆拉蒂
Delfim Moreira,德尔芬·莫雷拉
Campos Sales,坎波斯·萨莱斯
Kita,基塔 (足球运动员)
Gilberto Ribeiro Gonçalves,吉尔伯托·里贝罗·贡萨尔维斯
Dalton Trevisan,道尔顿·特雷维桑
Fábio Barreto,法比歐·巴雷托
Felipe Félix,费利佩·菲利克斯
Ricardo Roberto Barreto da Rocha,列卡度洛查
Luís Carlos Prestes,路易斯·卡洛斯·普列斯特斯
Karim Aïnouz,卡里姆·埃诺兹
Francesco Matarazzo,弗朗切斯科·马塔拉佐伯爵
João de Deus Mena Barreto,梅納·巴雷托
Charles Miller,查尔斯·米勒
Gilmar Mendes,吉尔马·门德斯
Antônio Fagundes,安东尼奥·弗格朗斯
Pedro Henrique de Orléans e Bragança,佩德罗·恩里克
José Mojica Marins,何塞·莫金卡·馬林斯
Marcos Antônio Malachias Júnior,马科斯·安东尼奥·马拉切斯·儒尼奥尔
Wagner Lopes,呂比須
Oswaldo Silva,奧斯瓦爾多·達席爾瓦
Airto Moreira,艾尔托·莫雷拉
Rosalia de Souza,蘿莎莉亞
Felipe Nasr,費利佩·納斯爾
Agenor Girardi,阿吉諾·吉拉迪
Agnelo Rossi,阿格內洛·羅西
Beatriz Haddad Maia,比阿特丽斯·哈达德·麦雅
Frans Krajcberg,弗蘭斯·克拉傑伯格
Augusto da Costa,奧古斯托·達科斯塔
Franz Weissmann,弗朗茲·魏斯曼
Raul Togni Neto,勞爾·內托
João Mangabeira,若奧·曼加貝拉
Fabiana Silva,法比安娜·席尔瓦
Romarinho,罗马里奥·里卡多·席尔瓦
João Lins Vieira Cansanção de Sinimbu,若昂·林斯·维埃拉
Ricardo Ferretti,里卡多·费雷蒂
André Francisco Williams Rocha da Silva,安德烈·威廉
Cláudia Ohana,克劳迪亚·奥纳
Sálvio Spínola Fagundes Filho,法根迪斯
Wellington Luís de Sousa,韦宁顿
Niède Guidon,聂德·吉东
Véra Clouzot,維拉·克魯佐
Pretinha,普雷蒂尼娅
Jairo Rui Matos da Silva,雅伊羅·勞得力·馬托斯-達-西爾瓦
Magalhães Pinto,何塞·德·马加良斯·平托
Max Wilson,马克斯·威尔逊
Luís Gastão de Orléans e Bragança,路易斯
Rafaela Silva,拉斐拉·席尔瓦
Maria Suellen Altheman,玛利亚·苏伦·阿尔泽曼
Maria Elisa Antonelli,瑪利亞•安東內利
Francisco Rezek,佛朗西斯科·任傑克
Bruno Giorgi,布魯諾·喬治
Augusto Álvaro da Silva,奧斯定·達-西爾瓦
Felipe França,费莉佩·席尔瓦
Roberto Carlos,罗伯托·卡洛斯
Levir Culpi,莱维尔·库尔皮
Ivo Wortmann,伊沃·沃特曼
Imre Simon,伊姆雷·西蒙
Cássia Kis,卡西亚·基什
José Wilker,若泽·威尔克
Paulo Vítor Barbosa de Carvalho,保罗·维托尔
Maria Ribeiro,玛丽亚·里贝罗
João Evangelista Martins Terra,若望·馬爾廷斯-特拉
Edivaldo Rojas Hermoza,路查斯
Joaquim Roriz,若阿金·羅里什
Tunga,通加
Aymoré Moreira,埃莫雷·莫雷拉
Francileudo Santos,弗蘭西萊多·桑托斯
José Maria da Silva Paranhos,何塞·帕拉纽什
Luciano Emílio,盧斯亞諾·艾美路
Oscar Lorenzo Fernández,奥斯卡·洛伦索·费尔南德斯
Éder Guterres Silveira,埃德·高喬
Aloísio José da Silva,阿洛伊西奥·丘拉帕
Fernanda Machado,费尔南达·马查多
João Pedro Geraldino dos Santos Galvão,若昂·佩德羅
Augusto Boal,奧古斯托·波瓦
Afonso Pedro de Alcântara de Bragança,阿方索
Alex Sandro da Silva,阿歷斯·施華
Formiga,福尔米加
Júnior Baiano,儒尼奥尔·巴亚诺
Ricardo Gomes,里卡多·戈梅斯
Felipe Anderson,费利佩·安德森
Danilo Luiz da Silva,達尼洛·路易斯·達·席爾瓦
Diego Walsh,迭戈·瓦尔施
Marcos Suzano,Marcos Suzano
Bruno Andrade,B.安達迪
Marcelo Melo,馬塞洛·梅洛
André Sá,安德烈·薩
Carlos Chagas,卡羅斯·查加斯
Fernando Meligeni,費爾南多·梅利傑尼
Affonso de Azevedo Évora,阿丰索·埃沃拉
Fernanda Venturini,費爾南達·文圖里尼
Daniel Lopes Silva,索伯萊恩斯
Alberto da Costa e Silva,阿尔贝托·达·科斯塔·席尔瓦
Tesourinha,奧斯馬爾·福特斯·巴塞洛斯
Cláudio Christovam de Pinho,克勞迪奧·克里斯托萬·德·皮尼奧
Herson Capri,赫森·卡普里
Demian Maia,德米安·玛雅
Antônio Pereira,安東尼奧·佩雷拉
Danilo Larangeira,达尼洛·拉朗杰拉
Camila Brait,卡米拉·布萊特
Cristiano Cordeiro,高尼路
Túlio de Melo,图里奥·德·梅洛
"José Maria da Silva Paranhos Júnior, barão do Rio Branco",布兰科男爵
Bernardo Vieira de Souza,貝爾納多·比埃拉·德·蘇扎
Djanira da Motta e Silva,賈尼拉·達·莫塔·席爾瓦
Marcelo Gleiser,马塞洛·格莱泽
Nelson Freire,内尔森·弗莱雷
Adaílton José dos Santos Filho,艾達頓·荷西·杜斯·山度士·菲略
Nicolas Oliveira,尼古拉斯·奥利韦拉
Alcione,阿西奥
Everaldo Marques da Silva,艾華拿度
Orlando Peçanha de Carvalho,奧蘭多·佩薩尼亞
Juarez Távora,华雷斯·塔沃拉
Daniel Filho,丹尼尔·菲略
Marcos Magno Morales Tavares,塔瓦雷斯
Sylvio Pirillo,施維奧·皮里洛
José Roberto Guimarães,何塞·羅伯托·吉馬良斯
Lincoln,林肯
Otto Glória,奧托·格羅利亞
Osório Duque-Estrada,奥索里奥·杜克·埃斯特拉达
Oscar Schmidt,奥斯卡·施密特
Eduardo Gonçalves de Oliveira,埃杜·貢薩爾維斯·德·奧利維拉
Maurício Rua,墨里西歐·魯阿
Warwick Estevam Kerr,沃里克·埃斯特万·克尔
Mahau Suguimati,马奥·苏吉马蒂
Bernardo Carvalho,贝尔纳多·卡瓦略
Jaqueline Mourão,杰奎琳·莫朗
Ana Cláudia Lemos da Silva,安娜·克勞迪婭·萊莫斯
Marco Maciel,马尔科·马西埃尔
Maria das Graças Foster,格拉萨斯·福斯特
Rafael Verga,拉斐尔‧维尔加
Waldir Pires,委樂得·皮雷斯
Nívea Stelmann,妮维雅·斯泰尔曼
Isaías de Noronha,伊薩伊亞斯·德·諾羅尼亞
Pedro Aleixo,佩德羅·阿雷克索
Pedro de Araújo Lima,佩德罗·德·阿劳若利马
Edmundo,埃德蒙多·艾維斯·迪·蘇沙
Elaine Davidson,伊萊恩·戴維森
Fernanda Brandão,费尔南达·布兰
Rosenery Mello,罗森内里·梅洛·度·纳斯西门托
Daishiro Yoshimura,吉村大志郎
Alex Tjong,亚历克斯·汤
David Neeleman,大衛·尼爾曼
Regina Duarte,里贾纳·杜阿尔特
Paulo Roberto Bacinello,卡斯卡維
Antônio João de Orléans e Bragança,安東尼奧
Larissa Costa,拉里萨·科斯塔
Jedaias Capucho Neves,热达
Ado,阿多
Joel Camargo,喬爾·卡馬戈
Edi Wilson José dos Santos,蒂尼奥
Dirceu José Guimarães,迪尔塞乌
Hélio Gracie,艾里奥·格雷西
Marcelo Saragosa,马些路·沙拉高沙
Marco Antônio de Mattos Filho,馬昆奴
Manuel de Araújo Porto-Alegre,曼努埃尔·德阿劳霍·波尔图·阿雷格里
Benedito Beni dos Santos,本篤·貝尼·多斯-桑托斯
Ruy Ohtake,魯伊·大竹
Juniti Saito,齊藤準一 (巴西空軍將領)
Emiliano Di Cavalcanti,埃米利亞諾·迪·卡瓦爾坎蒂
Giba,吉巴
Shelda Bede,謝爾達·比德
José de Alencar,若澤·德·阿倫卡爾
Plínio Salgado,普利尼奧薩爾加多
Raoni,郝倪
Ney Franco,內伊·佛朗哥
Carlos Alexandre Torres,亚历山大·托里斯
Joaquim Barbosa,若阿金·巴爾博薩
Robson Ponte,笠臣·邦迪
Harison da Silva Nery,夏里臣·達·施華·尼爾
Rychely,列捷尼
Léo San,李安特·亨利基斯·迪·施華
Osvaldo Brandão,賓度
Nívea Maria,尼维亚·玛丽亚
Antônio Lopes,安东尼奥·洛佩斯
Família Gracie,格雷西家族
Claudinei Cardoso Félix da Silva,尼爾
Mário Fernandes,马里奥·费南迪斯
Hélio Castroneves,海立爾·卡斯特羅
Joaquim Cruz,若阿金·克鲁斯
Luiz Razia,路易斯·拉齐亚
Miúcha,缪查
Jonatas Cristian de Jesus,若纳塔斯·德·热苏斯
Roberto Szidon,羅伯托·西登
Sabrina Sato,萨布里娜·萨托
Gérson Magrão,馬加奧
Alberto Marson,阿尔贝托·马尔松
Renato Carlos Martins Júnior,列拿度·卡路士·馬田斯·祖利亞
Heitor Marcelino Domingues,埃托雷·馬塞利諾·多明戈斯
Claiton Alberto Fontoura dos Santos,卡爾頓·阿爾拔圖·方杜拉·度斯·山度士
Rita Cadillac,丽塔·凯迪拉克
Luciana Souza,露西安娜·索莎
Tiago Camilo,蒂亚戈·卡米洛
Axel Rodrigues de Arruda,阿克塞尔
Kátia Cilene,卡蒂娅
Raimundo Pedrosa,雷蒙多·佩德罗萨
Maria Lenk,瑪麗亞·蓮克
Zé Eduardo,泽·埃杜阿尔多
Cintia Dicker,歆缇娅·迪克
Baltazar Maria de Morais Júnior,巴爾塔扎爾·馬利亞·莫賴斯·儒尼奧爾
Ilsinho,伊西尼奥
Juan Guilherme Nunes Jesus,胡安·古伊列梅·努内斯·赫苏斯
Amarildo Tavares da Silveira,阿马里尔多
Diego Souza,迭戈·索萨
Michael Jefferson Nascimento,米高·謝佛遜·拿斯文度
Ana Paula Henkel,安娜·葆拉·康內莉
Blairo Maggi,布雷罗·博格斯·马吉
Everson Rodriguez Ratinho,拉蒂尼奥
Borges,温贝利托·博尔热斯·特谢拉
Flora Purim,弗洛拉·珀林
brasileiros,巴西人
Vicente Feola,维森特·费奥拉
Rafael Alcântara,拉菲尼亞 (1993年出生)
Daniel da Silva,丹尼尔·达·席尔瓦
Gilberto Carlos Nascimento,吉尔伯托·卡洛斯·纳西门托
Leonardo de Matos Cruz,莱奥·马托斯
Lauro Escorel,劳罗·埃斯科雷尔
Emanuela de Paula,艾马努埃拉·德·保拉
Ulysses Guimarães,尤利西斯·吉马良斯
Victor Brecheret,維克多·布雷謝雷
Marcelo Ferreira,费雷拉·马塞洛
Sidiclei de Souza,薛迪利·達·蘇沙
Luís Morais,路易斯·莫赖斯
Alfredo dos Santos,阿尔弗雷多
Hélio Hermito Zampier Neto,内托
Sissi,茜茜
Zuzu Angel,茱茱·安琪尔
Laurindo Guizzardi,勞林多·吉扎爾迪
Renato Marsiglia,雷納托·馬爾斯利亞
Diego Tardelli,迭戈·塔尔德利
Mauro Raphael,毛羅·拉斐爾
Pedro Afonso de Bragança,佩德罗
Henrique Almeida,軒歷基·艾美達
Ketleyn Quadros,凯特琳·夸德罗斯
Yane Marques,雅尼兹·马克斯
António Gastão de Orléans e Bragança,安東尼奧·加斯頓
Natália Guimarães,纳塔利娅·吉马良斯
Mitsuyo Maeda,前田光世
Rômulo Souza Orestes Caldeira,罗慕洛
Cássio Ramos,卡斯奧·拉莫斯
Rafael Paulo de Lara Araújo,拉菲尔·阿劳约
Matheus Nachtergaele,马修斯·纳克加勒
Leopoldo Miguez,里奥波尔多·米格斯
Gleisi Hoffmann,格列西·霍夫曼
Jacqueline Silva,傑基·席爾瓦
Valdemar Rodrigues Martins,奥雷科
Beth Carvalho,贝丝·卡瓦略
Welliton Soares Morais,威利顿
Yoná Magalhães,約納·馬嘉禮斯
Rodrigo José Lima dos Santos,洛迪高·利馬
Franco Ferreiro,佛朗哥·费雷罗
Preguinho,普雷济尼奥
Allan Marques Loureiro,阿兰·马克斯·洛雷罗
Lea T,萊亞
Norma Bengell,诺玛·本热尔
Francisco Rodrigues,弗朗西斯科·羅德里格斯 (巴西足球運動員)
Eronilde Araújo,埃罗尼尔德·德·阿劳霍
Carlos Gracie,卡洛斯·格雷西
Wagner Moura,瓦格纳·莫拉
Falcão,法爾考
Manuel Resende de Matos Cabral,尼連奴
Fernando Luiz Rosa,费尔南迪尼奥
Alcides Araújo Alves,艾斯迪斯·阿拉魯祖·艾華斯
Marshall Brickman,馬歇爾·布瑞克曼
Camila Alves,卡米拉·阿尔维斯
Diego Costa,迭戈·科斯塔
Sandra Corveloni,桑德拉·科维洛尼
Dercy Gonçalves,德西·贡萨尔维斯
Rosângela Santos,羅桑杰拉·桑托斯
Cacá Bueno,卡卡·布埃诺
Bruno Cortês,布鲁诺·科尔特斯
Rui Campos,瑞·坎波斯
Roberto Emílio da Cunha,羅伯托·埃米利奧·達·庫尼亞
Guilherme de Cássio Alves,吉列尔梅·德·卡西奥·阿尔维斯
Ruy Barbosa,魯伊·巴爾博薩
Gláuber Leandro Honorato Berti,格魯巴
César Santin,施薩·辛坦
Vivianne Pasmanter,维维安娜·帕斯曼特
Edivaldo Martins da Fonseca,埃迪瓦尔多·马丁斯·达·丰塞卡
Carlos Oliveira,卡洛斯·奥利维拉
Antônio Rinaldo Gonçalves,連拿度
Virna Dias,维露娜·迪亚斯
Maicon Santos,馬伊康·桑托斯
Stênio Garcia,施特尼奥·加西亚
Elba de Pádua Lima,厄爾巴·德·帕多瓦·利馬
Matheus Leite Nascimento,马修斯·雷特·纳西门托
Alan Patrick,阿倫·帕特利克
José Nadson Ferreira,拿達臣
Ederson Honorato Campos,埃德森·奥诺拉托·坎波斯
Juliana Knust,朱莉安娜·克努斯
Mauro Galvão,毛罗·加尔旺
Romeu Pellicciari,罗梅乌·佩利恰里
Émerson Carvalho da Silva,埃默森·卡瓦略·达席尔瓦
Walter Carvalho,沃尔特·卡瓦略
Isabel do Brasil,伊莎贝尔
Willian José,威廉·荷西
Luís Eduardo Schmidt,路易斯·愛德華多·施密特
Heitor Pereira,艾特·培瑞拉
Walter Salles,華特·薩勒斯
Wanderlei Silva,萬德雷·席爾瓦
Antonio Eduardo dos Santos,埃杜·曼加
Wallid Ismail,瓦里德·依斯馬爾
Arouca,阿罗卡
Ricardo Alves Pereira,列卡度·艾华斯·彭利拿
José Carlos Nepomuceno Mozer,卡洛斯·莫泽
Rafael de Souza Pereira,拉斐尔·卡里奥卡
Emanuel Rego,伊曼紐·雷果
Jair Eduardo Brito da Silva,贾伊尔·埃杜阿尔多·布里托·达·席尔瓦
Felipe Augusto de Almeida Monteiro,菲利普·奧古斯托·德·阿爾梅達·蒙泰羅
Leandro de Almeida,萊昂德羅
Marcos Daniel,馬科斯·丹尼爾
Mauro Ramos de Oliveira,毛罗·拉莫斯
Ricardo Henrique da Silva dos Santos,里卡多·桑托斯 (足球运动员)
Lygia Fagundes Telles,莉吉娅·特莱斯
Ney Rosauro,奈·羅薩羅
Elis Regina,埃莉斯·蕾吉娜
Marcelo Ramos,马塞洛·拉莫斯
Moacir Claudino Pinto,莫阿塞爾
Fábio Carbone,法比奥·卡博内
Murilo Benício,莫里奥·本尼西奥
Carlos Latuff,卡洛斯·拉特福
Clodoaldo,科洛達爾多
Fagner Conserva Lemos,法格納
Marta Suplicy,瑪塔·蘇普利西
Sandra Pires,桑德拉·皮雷斯
Joel Antônio Martins,喬爾·安東尼奧·馬丁斯
Renato Sobral,雷納托·索布拉爾
José Francisco Rezende Dias,若瑟·方濟各·雷森德-迪亞斯
Douglão,道格拉斯·费雷拉
Renzo Gracie,倫佐·格雷西
Sthefany Brito,斯蒂芬妮·布莉托
Michel Temer,米歇爾·特梅爾
Romualdo Arppi Filho,羅穆阿爾·阿魯皮·菲略
Roberto Ierusalimschy,罗伯托·耶鲁萨林斯希
Mário Peixoto,馬里歐·皮索托
Ronaldão,罗纳尔多·罗德里格斯·德·热苏斯
Marinho Chagas,马里尼奥·查加斯
Paulo Nunes,保羅·努內斯
Milton Cruz,米尔顿·克鲁斯
João Ramos do Nascimento,唐丁霍
Jymmy Dougllas França,弗蘭卡
Andreas Kisser,安德烈亞斯·基瑟
Carlos María de Alvear,卡洛斯·马里亚·德·阿尔韦亚尔
Milton Hatoum,米尔顿·哈图姆
Silvio Lagreca,西爾維奧·拉格瑞卡
David Cortes da Silva,达维 (1963年)
Hugo Alcântara,曉高·阿簡達寧
Francisco Aramburu,弗朗西斯科·阿蘭布魯
Maicon Oliveira,麦孔·佩雷拉·德·奥利维拉
Thyago Alves,蒂亚戈·阿尔维
Roberto Carlos,羅貝托·卡洛斯
Lucas Dos Santos Rocha Da Silva,卢卡斯·罗查
José Luiz Guimarães Sanabio Júnior,何塞·儒尼奥尔
Paulo Valentim,保羅·瓦倫廷
Aloísio Pires Alves,阿洛伊西奥 (1963年)
Daniela Mercury,达妮埃拉·玛克丽
Fernanda Torres,佛南達·托瑞絲
Dudu Cearense,杜都
Washington Stecanela Cerqueira,华盛顿·斯泰卡奈罗·塞凯拉
Raffael Caetano de Araújo,拉斐尔·卡塔诺·德·阿劳约
Céu,Céu
Renato Silva,雷纳托·席尔瓦
Luís Trochillo,路易斯·圖切羅
Ibson Barreto da Silva,伊布森
Tarsila do Amaral,塔尔西拉·杜阿马拉尔
Juliana Paes,朱莉安娜·帕爱斯
Fabiano Medina da Silva,法比亚诺·梅迪纳·达·席尔瓦
Ademilson,艾迪美臣·巴拉加
Lohaynny Vicente,洛海尼·维森特
Euclides da Cunha,欧克利德斯·达库尼亚
Rubem Fonseca,鲁本·丰塞卡
Lázaro Ramos,拉薩羅·拉莫斯
Renan Bardini Bressan,雷南·布雷桑
Vigolvino Wanderley Mariz,万德莱·马里斯
George Kobayashi,小林乔治
Lélis Lara,勒里斯·拉拉
Charlie Byrd,查理·伯德
Maya Harrisson,玛雅·哈里森
Paulo Henrique Carneiro Filho,保罗·恩里克·卡尔内鲁·费里奥
Valdo Cândido de Oliveira Filho,瓦尔多·菲略
Marcelo Fernandes,马塞洛·费尔南德斯
Marcelo Odebrecht,马塞洛·奥德布雷希特
Joaquim Pedro de Andrade,若阿金·佩德羅·德·安德拉德
Júlio César de Melo e Sousa,马尔巴·塔罕
Jorge Luís Andrade da Silva,安德拉德 (1957年)
Rafael Silva,拉斐尔·席尔瓦
Luana Vicente,卢瓦娜·维森特
David Braz de Oliveira Filho,大卫·布拉兹
Marcelo Pinto Carvalheira,馬塞洛·平托·卡瓦列拉
Ronny Carlos da Silva,隆尼·卡洛斯·达·席尔瓦
Diogo Luís Santo,桑托
Vicente Marotta Rangel,维森特·马罗塔·兰热尔
Aluísio Chaves Ribeiro Moraes Júnior,儒尼奥尔·莫拉埃斯
Nilo Murtinho Braga,尼羅·穆爾蒂紐·布拉加
Ruth Kedar,露丝·基达
Luiz Mattar,路易斯·马塔尔
Pipo Derani,皮波·德拉尼
Murilo Krieger,穆里洛·拉莫斯·克列傑爾
Antônio Silva,安东尼奥·席尔瓦
Guido Beck,圭多·贝克
Kaio Márcio de Almeida,凯奥·德阿尔梅达
Marcolino Gomes Candau,馬戈林諾·戈梅斯·坎道
Wandeir de Oliveira dos Santos,萬德伊爾
Rodolfo Barteczko,魯道夫·巴特斯科
Luís Mesquita de Oliveira,路易斯·梅斯基塔·德·奧利維拉
Ricardo Teixeira,理查多·特谢拉
Fábio Simplício,法比奧·森比斯奧
Zenny de Azevedo,阿尔戈当
Amílcar Barbuy,阿米爾卡·巴拜
Ana Ariel,安娜·埃里尔
Ana Marcela Cunha,安娜·玛赛拉·库尼亚
Alessandra Negrini,亚历山德拉·内格里尼
Itamar Franco,伊塔馬爾·佛朗哥
Pepe,克普勒·拉韦兰·利马·费雷拉
Paula Fernandes,保拉·费尔南德斯
Rivaldo,里瓦尔多
Almir Lopes de Luna,艾美亞·盧比斯·迪·路拿
Alexandro da Silva Batista,阿歷山杜
Luiz Soares Vieira,類斯·索阿雷斯-維韋拉
Ana Beatriz Corrêa,阿納·比阿特麗斯·科雷亞
Ana Carolina (cineasta),安娜·卡洛莉娜
Aurora Miranda,奥罗拉·米兰达
Luiz Carlos Guedes Stukas,卡路士
Claudemir de Souza,克劳德米尔·德索萨
Milton Santos,米尔顿·桑托斯
Cabore,艾維拿度·達·耶和·彭利拿
Seu Jorge,索·豪黑
Tomie Ohtake,大竹富江
José Carlos Bernardo,若泽·卡洛斯·贝尔纳多
Thiago Schumacher,麥爾·桑托斯
Ronaldo da Costa,罗纳尔多·达科斯塔
Dinélson,迪尼尔森
Éverton Cardoso da Silva,埃弗顿
Gilda de Melo e Sousa,吉尔达·代·美罗·埃·索萨
Michel Teló,米歇爾·泰洛
Victor Simões de Oliveira,維克多·西蒙斯
Robson Conceição,罗布松·孔塞桑
Marco Eugénio Galrão Leite de Almeida,瑪爾谷·恩仁·加爾朗-萊特-德-阿爾梅達
Alberto Antônio de Paula,阿尔伯特·安东尼奥·德·保拉
Walter Michael Ebejer,懷德·彌額爾·埃貝耶爾
Zezé Moreira,泽塞·莫雷拉
Gilberto Kassab,吉爾伯托·卡薩布
Silvio Paiva,西尔维尼奥 (1958年)
Sepé Tiaraju,塞佩提阿納淤
João Soares da Mota Neto,慕達
Tiago Jorge Honório,吉亚哥·若尔热·奥诺里奥
Magno Alves,马格诺·阿尔维斯
Daniella Sarahyba,达妮埃拉·萨拉伊巴
Klebber Toledo,克雷贝·托莱多
Antônio Rogério Silva Oliveira,安東尼奧·洛加利奧·施華·奧利華拉
Olivio da Rosa,奥利维奥·达罗萨
Leonardo Rodriguez Pereira,萊昂納多·羅德里格斯·佩雷拉
Renaldo Lopes da Cruz,雷纳尔多
Caíque Silva Rocha,凯克·罗查
Anderson Cléber Beraldo,安達臣
Anderson Silva de França,安德森·席尔瓦
Albano Bortoletto Cavallin,阿尔巴诺·博托莱托·卡瓦林
Eduardo Antunes Coimbra,埃杜·科因布拉
Anderson Luís de Abreu Oliveira,安德森·路易斯·迪·阿布努·奧利維拉
Adriano Chuva,艾杜安奴·祖華
Tomé de Sousa,多美·蘇薩
Edvaldo Nogueira,埃德瓦尔多·诺盖拉
Zélia Duncan,塞莉亚·邓肯
Lima Barreto,利馬·巴雷托
André Luiz Moreira,安德烈·路易斯·莫瑞拉
Alex Ribeiro Garcia,亚历克斯·加西亚
Djalma Dias,贾尔马·迪亚斯
André Luiz Tavares,安德烈·路易斯·塔瓦雷斯
Alípio de Miranda Ribeiro,阿里皮奥·德·米兰达-里贝罗
Anderson Ricardo dos Santos,安德森·里卡多·多斯·桑托斯
Camilo Sanvezzo,卡美洛·聖維佐
Denilson Martins Nascimento,德尼尔森·马丁斯·纳西门托
José Roberto Rodrigues Mota Júnior,何塞·莫塔
Giuseppe Occhialini,朱塞佩·奥基亚利尼
Dimba,丁巴
Elisabeth Dobrzensky de Dobrzenicz,伊莉莎白·多布倫斯卡
Waldemar Lemos,瓦尔德马尔·莱蒙斯
Felipe Azevedo,菲臘比·艾斯維度·杜斯·山度士
Francisco Manuel da Silva,弗朗西斯科·曼纽尔·达·席尔瓦
Aureliano Chaves,奧雷利亞諾·查維斯
Carlos Alberto Silva,卡洛斯·阿尔贝托·席尔瓦
Martial Gueroult,马夏尔·盖鲁
José Ferreira Franco,澤奎尼亞
Pedro de Alcântara de Orléans e Bragança,佩德羅·德·阿爾坎塔拉
Serafim Fernandes de Araújo,塞拉菲姆·費爾南德斯·德·阿勞若
Danilo Moreira Serrano,達尼羅·莫雷拉·塞拉諾
Alfredo Vicente Scherer,歐爾發·舍雷爾
Alberto Thiago Constancia,泰亞高·康斯坦西亞
Bérgson Gustavo Silveira da Silva,柏格森·达·席尔瓦
Vágner Luiz da Silva,瓦格纳·路易斯·达席尔瓦
Jair Marinho de Oliveira,雅伊爾·馬里尼奧
Mengálvio Pedro Figueiró,门加尔维奥·佩德罗·菲盖罗
Altair Gomes de Figueiredo,阿泰爾
Gilberto Macedo da Macena or Gilberto Macena,吉尔伯托·马塞纳
Dirceu Lopes Mendes,迪尔塞乌·洛佩斯
Vanderlei Eustáquio de Oliveira,帕霖辛哈 (1950年生)
Geraldo Alckmin,熱拉爾多·奧克明
Frederico Rodrigues Santos,弗雷德·罗德里格斯
Deivid de Souza,戴维德
Fabrício Lopes Alcântara,盧比斯
Alexsandro de Souza,亞歷士
Bruno Uvini,布鲁诺·乌维尼
Aécio Neves,阿埃西奧·內維斯
Aurélio Miguel,奥雷利奥·米格尔
Ganga Zumba,甘加尊巴舞
Felipe Jorge Loureiro,菲利普
Paulo Antônio de Oliveira,保羅·安東尼奧·達·奧利華拉
Tiago Prado,蒂亚戈·普拉多
