Dudon de Saint-Quentin,聖·昆汀杜多
Alexandre Prémat,亞歷山大·普雷馬特
André Marie Constant Duméril,安德烈·马里·康斯坦·迪梅里
Louise d'Aumont,路易絲·德·歐蒙
Marie Pierre Kœnig,马里-皮埃尔·柯尼希
Gabriel Jean Joseph Molitor,加布里埃尔·让·约瑟夫·莫利托
Yvonne de Gaulle,伊冯娜·戴高乐
Anne-Louis Girodet,安·路易·吉罗代·特里奥松
Stanley Weber,斯坦利·韋伯
Pierre Granier-Deferre,皮埃尔·格兰尼亚-德弗利
Auguste Regnaud de Saint-Jean d'Angély,奥古斯特·雷尼奥·德·圣-让·当热利
Reynaldo Hahn,雷纳尔多·哈恩
Charlotte Valandrey,夏洛特·瓦朗德雷
Cyril Domoraud,西里爾·杜莫羅
Giacomo Perez-Dortona,賈科莫·佩雷斯-多托納
Tony Gatlif,托尼·加列夫
Louis François de Bourbon-Conti,路易-弗朗索瓦
Jean-Baptiste Rondelet,让-巴蒂斯特·龙德莱
Benoît Vermander,"魏明德,"
Édouard Jean Baptiste Pichon,爱德华·皮雄
Jean-Luc Warsmann,让-吕克·瓦尔斯曼
Auguste François,方苏雅
Alexandra Stewart,亞莉珊德拉·史都華
Geneviève Page,热纳维耶芙·帕日
Ovidie,奥维迪
Jean Nicolas,尼可拉斯
Diane d'Orléans,黛安，符騰堡公爵夫人
Christine Pascal,克莉斯汀·帕斯卡爾
Françoise Arnoul,弗朗索瓦丝·阿努尔
Jean Fernandez,让·费尔南德斯
Constance Le Grip,樂格佩·吉普
Phœbus de Châteaupers,費比斯隊長
Claude Lévi-Strauss,克勞德·李維-史陀
Jean Isidore Harispe,让·伊西多尔·哈里斯佩
Étienne Aymonier,艾蒂安·艾莫尼爾
Guillaume II de Villehardouin,威廉姆二世
Christine Petit,克里斯蒂娜·珀蒂
René Lalique,雷內‧拉利克
Charles André Pozzo di Borgo,卡洛·安德烈亚·波佐·迪博尔戈
Olga Khokhlova,歐嘉·畢卡索
Danijel Ljuboja,丹尼杰尔·柳博亚
Nathalie Stutzmann,娜塔莉·斯图兹曼
Henri Désiré Landru,亨利·德西雷·朗德呂
Marie Dubois,玛丽·迪布瓦
Yamina Benguigui,亚米娜·本吉吉
Bernard Lyot,貝爾納·費迪南·李奧
Aldo Maccione,阿尔多·马奇奥内
Charles Pisot,查理·皮索特
Catherine Frot,凱瑟琳·弗侯
Charlotte de Turckheim,夏洛特·德·特汉姆
Alice de Lencquesaing,阿丽丝·德·朗克桑
Boniface de Castellane,埃斯普里·维克多·博尼费斯·德·卡斯特拉内
Luc Alphand,呂克·阿爾方
Christian Gourcuff,克里斯蒂安·古尔屈夫
Jacques Villeglé,雅克·维格莱
Dominique Boschero,多米尼克·博舍罗
Amadeo Roldán,阿马德奥·罗尔丹
Alain Casanova,艾倫·卡薩諾瓦
Jean-Pierre Ricard,让-皮埃尔·里卡尔
Catherine Jourdan,凯瑟琳·乔丹
Fallou Diagne,法盧·迪亞涅
Barthélémy Catherine Joubert,巴泰勒米·卡特林·儒贝尔
Nicolas Obouhov,尼可萊·歐布科夫
Gustave Cabaret,古斯塔夫·卡巴雷
Pascal Fauvel,帕斯卡尔·福韦尔
Jules Lefebvre,儒勒·勒費弗爾
Charles Gleyre,夏尔·格莱尔
Dina Dreyfus,蒂娜·德雷福斯
Anaïs Demoustier,阿娜伊斯·德穆斯捷
Charles de Saint-Évremond,查爾斯·德·聖-艾雷蒙
Thomas Joannes Stieltjes,湯姆斯·斯蒂爾吉斯
Louis de Lorraine,吉斯
Eugénie Cotton,欧仁妮·戈登
Claude Puel,佩爾
Georges Canguilhem,乔治·冈圭朗
Mylène Jampanoï,米兰妮·詹姆帕诺米
Gabriel Pierné,加布里埃尔·皮埃内
Béatrice de Bourgogne,波旁女爵勃艮第的比阿特丽斯
Lilyan Chauvin,麗蓮·沙文
Louis Vernet,路易·韦尔内
Paul Gervais,保罗·热尔韦
Romane Bohringer,罗曼娜·波琳热
Denise Grey,丹妮絲·格列
Frédéric Bourdin,弗雷德里克·布尔丹
Claire Chazal,克莱尔·沙扎尔
Antoine-Louis Barye,安東尼-路易斯·巴里
Camille Catala,卡米耶·卡塔拉
Henri d'Orléans,奧爾良的亨利
Leopold Trepper,利奥波德·特雷伯
Gilles Panizzi,吉爾斯·潘尼茲
Georges Périnal,喬治·佩利納
Michel Aglietta,米歇尔·阿列塔
José Saez,何塞·賽斯
Charles Amédée Philippe van Loo,查尔斯·阿米迪·菲利普·范·卢
Bruno Martini,布鲁诺·马丁尼
"Henry Sydney, 1er comte de Romney",第一代罗姆尼伯爵亨利·悉尼
Anne-Sophie Bion,安蘇菲·比安
Philippe Garrel,菲利普·卡黑
Françoise Cachin,法蘭西絲·卡湘
Lucien Muller,吕西安·穆勒
Jean-François Richet,让-弗朗索瓦·里歇
Grégory Pujol,格雷高里·普热尔
Élie Baup,埃利·鮑普
Laïla Marrakchi,莱拉·马拉喀什
Ginette Garcin,吉内特·加西
Henri Labrouste,H. 拉布鲁斯特
Arnaud Amaury,阿尔诺·阿莫里
Gaëtan Bong,加坦·邦格
Nicole Bricq,妮科尔·布里克
Monique Boulestin,莫尼克·布莱斯坦
Michaëlle Jean,庄美楷
Nicole Garcia,妮可·加西亞
Anthony Le Tallec,安東尼·拿泰歷
Daniel Roth,丹尼尔·罗特
Pierre Jolivet,皮埃尔·祖利维
Placide Cappeau,普拉西德·卡波
Philippe Lebon,菲利普·勒邦
Raph,蒙布雷雪伯爵乔治·拉斐尔·贝特诺
Raphaël Personnaz,拉斐尔·佩尔索纳
Jean-François Moulin,让-弗朗索瓦-奥古斯特·穆兰
Caroline Loeb,凱洛琳·蘿柏
Marguerite-Catherine Haynault,玛格丽特-卡特琳·艾诺
Napoléon-Jérôme Bonaparte,拿破崙親王
Joseph-Louis Lambot,约瑟夫-路易·朗博
Pierre Joseph Bonnaterre,皮埃尔·约瑟夫·博纳泰尔
Frédéric Le Play,弗雷德里克·勒普莱
Clémentine Célarié,克莱芒汀·塞拉利耶
Lola Créton,萝拉·克雷顿
Armelle Deutsch,阿梅勒·德奇
"Étienne de Veniard, sieur de Bourgmont",艾蒂安·文雅德·布爾格蒙特
Cyril Raffaelli,西里恩·瑞費里
Jean-Guy Talamoni,让-吉·塔拉莫尼
Paul Chocque,保罗·肖克
Garra Dembélé,加拉·登贝莱
Frédéric Antonetti,安東列迪
Gabriel Josipovici,加布里埃尔·乔西波维奇
Marielle de Sarnez,马里埃尔·代·萨尼斯
Christian Louboutin,克里斯提·魯布托
Michèle Delaunay,米歇尔·德洛奈
Benoît Cœuré,贝努瓦·科尔
Niède Guidon,聂德·吉东
Jean-Loup Chrétien,让-卢·克雷蒂安
Charlotte de Robespierre,夏洛特·罗伯斯庇尔
Barbe-Nicole Clicquot-Ponsardin Veuve Clicquot,芭布-妮科尔·克利科-蓬萨尔丹
Linda Hardy,琳達·哈蒂
Catherine-Dominique de Pérignon,多米尼克·凱瑟林·德·佩里尼翁
Paul Pogba,保罗·博格巴
Henri de Massue,亨利·德·馬絮
Martine Clémenceau,馬丹·克列孟梭
Louis Charles César Le Tellier,路易·夏爾·德·埃斯特雷
Victor Cousin,维克托·库赞
Jacques Philippe Marie Binet,雅可·比内
Kali,卡利
Claude Miller,克洛德·米勒
Irena Pavlovic,伊雷娜·帕夫洛维奇
Jean Vallière,吉恩·瓦萊爾
George Steiner,喬治·史坦納
Amaury de Nesle,內勒的阿馬爾里克
Amaury VI de Montfort,阿莫利四世
Amaury de Chartres,贝纳的亚马里克
Louis-René Caradeuc de La Chalotais,拉夏洛泰
Mathieu de Foix-Castelbon,马蒂厄
René Barjavel,赫内·巴赫札维勒
Thomas Pesquet,托馬斯·皮沙特
Philippe Ariès,菲利普·阿里埃斯
Pierre Baillot,貝洛特
Georges Delerue,乔治·德勒吕
Marpessa Dawn,馬爾佩薩·唐
Christophe Galtier,克里斯多夫·加爾蒂
Noëlle Châtelet,諾埃爾·夏特萊
Lise Delamare,利斯·德拉马尔
Henri Michel,亨利·米切尔
Pierre Soulé,皮埃爾·蘇勒
Amaury III de Montfort,阿毛里·德·蒙福爾
Fouquier-Tinville,安托万·康坦·富基耶-坦维尔
Amaury Ier de Montfort,蒙福尔的阿莫里一世
Philippe de Noailles,菲利普·德·诺阿耶
Gaspard de Saulx,加斯帕尔·德索
Sylvie Landra,西爾維亞·蘭德拉
Charles IV de Bourbon,夏爾四世·德·波旁
Pierre Charles Le Monnier,皮埃尔·夏尔·勒莫尼耶
Armand Joseph Bruat,阿爾芒·約瑟夫·Bruat
Jacques Clément,雅克·克莱芒
Michelle Ferre,法拉美穗
Anne-Jules de Noailles,安妮·朱爾·德諾瓦耶
John Berry,约翰·贝里
Richard Dembo,里夏尔·登博
Corinne Touzet,科琳·图泽
Mansour Bahrami,曼蘇爾·巴納米
Anne Jean Marie René Savary,安纳·让·马里·勒内·萨瓦里
Danièle Dubroux,丹妮葉·莒柏哈斯
Louis II d'Anjou,路易二世
Ortal,瑪麗·奧塔爾·馬爾卡
Esther Duflo,艾絲特·杜芙若
Véra Clouzot,維拉·克魯佐
Théodore Guérin,聖狄奧多‧格倫姆姆
Foulques le Vénérable,福爾克
Christine Minier,克里斯汀·米納
Odette Joyeux,歐黛·如華
Louis Ier de Bourbon,路易一世·德·波旁
Willy Ronis,维利·罗尼
Jean Hamburger,让·昂比尔热
Angelo Parisi,安杰洛·帕里西
Jacques de Lacretelle,雅克·德·拉克勒泰尔
Bérenger de Tours,貝倫加爾
Marie-Victoire de Noailles,瑪麗-維克圖瓦·德·諾瓦耶
Albert de Broglie,阿尔贝·德·布罗伊，第四代布罗伊公爵
Dorothea Klumpke,朵罗西·克隆普克-罗伯特
Pierre Monteux,皮爾·蒙特
Gabriel Voisin,加布里埃尔·沃依辛
Anne Parillaud,安娜·芭麗瑤
Guillaume Farel,威廉‧法路爾
Louis Georges Gouy,路易·乔治·古伊
Édouard Bouët-Willaumez,爱德华·布埃-维尧姆兹
Julien Duvivier,朱利安·杜維維耶
Chantal Dallenbach,尚塔尔·达伦巴赫
Alexandre Colonna Walewski,瓦萊夫斯基伯爵
Sylvie Germain,西爾維·熱爾曼
Gérard Lenorman,傑拉德·勒諾爾曼
Fernand Lamaze,拉玛泽
Paul Janet,保羅·珍妮特
René Dreyfus,雷內·德雷福斯
Caroline Champetier,卡洛琳·尚普蒂耶
Paul Méfano,保羅·法諾
Noëlle Cordier,諾艾爾·寇迪耶
Jean-Baptiste Regnault,让-巴蒂斯特·勒尼奥
Alain Mimoun,阿兰·米蒙
Anne Goursaud,安妮·高爾桑
Suzanne Flon,蘇珊娜·弗龍
Roger Pfund,羅傑·福德
Roselyne Bachelot,罗斯利娜·巴舍洛
Jacqueline Doyen,雅克琳·杜瓦安
Lucien Goldmann,卢西安·戈尔德曼
Quentin Dupieux,昆汀·杜皮爾
Alexandra Lacrabère,亚历山德拉·拉克拉韦尔
Léonce Perret,莱昂斯·佩雷
Virginie Cueff,維吉尼·庫艾弗
Laurence Boccolini,劳伦斯·博科利尼
Florence Arthaud,弗洛倫斯·阿爾托
Catherine Serre,凯瑟琳·塞尔
Marion Vernoux,玛丽安·费尔努
Michel Auclair,米歇尔·奥克莱尔
Luc Dagobert,呂克-西梅翁-奧古斯特·達戈貝爾
Boris Vildé,鮑里斯·維爾德
Louis de Bourbon,克萊蒙伯爵路易
Anne de Bourbon,波旁的安妮
Anne de Joyeuse,安妮·德茹瓦約斯
Anne du Bourg,安·柏格
Anne d'Alençon,阿朗松的安娜
Amanda Filipacchi,阿曼达·菲利普基
Annick Thoumazeau,安尼克·瑟馬索
Emmanuèle Bernheim,伊曼紐爾·貝爾南
Antoni Clavé,安東尼·克萊夫
Jérôme Gay,热罗姆·盖
Jérôme Lejeune,热罗姆·勒热纳
George Albert Boulenger,乔治·阿尔贝·布兰洁
Catherine Martin,凯瑟琳·马丁
Alphonse Bertillon,阿方斯·贝蒂荣
Meg Giry,梅格·吉瑞
Georges Claude,喬治·克勞德
Louis-Marie Aubert du Petit-Thouars,路易-马里·奥贝尔·迪珀蒂图阿尔
François de Neufville de Villeroy,弗朗索瓦·德·纽夫维尔
Louis-Joseph de Montcalm,路易斯-約瑟夫·德·蒙卡爾姆
Henriette de France,法蘭西的亨麗埃特
Anne Hilarion de Costentin de Tourville,安娜·伊拉里翁·德·科唐·圖爾維爾
Anne L'Huillier,安妮·呂利耶
Pierre-Daniel Huet,皮埃尔·丹尼尔·休特
Sophie Arnould,蘇菲·阿爾努
Isaac Casaubon,伊萨克·卡索邦
Raymond Poulidor,雷蒙德·普利多
Youssouf Hadji,約瑟夫·哈吉
Anne Couppier de Romans,安娜·库皮耶·德·罗芒
Antonio Seguí,安東尼奧·塞吉
Antoine de Jussieu,安托万·代·朱西厄
Raymond Loewy,雷蒙德·洛威
Suzanne Duchamp,苏珊·杜尚
Cédric Klapisch,塞德里克·柯拉皮許
Claudine Guérin de Tencin,克劳汀·盖因·德·唐森
Louis d'Aurelle de Paladines,路易·多雷勒·德·帕拉迪纳
Raymond Aubrac,雷蒙·欧布拉克
Pierre Dumoulin-Borie,伯多祿·博里
Fernande Olivier,費爾蘭迪·奧莉維亞
Lise London,利丝·隆东
Amanda Lear,阿曼达·里尔
Jean V de Bretagne,約翰五世
Sándor Végh,維格·桑鐸
Anna Held,安娜·海爾德
Stéphane Mifsud,斯特凡·米夫苏德
Yvan Beck,伊万·贝克
Marie Anne Mancini,玛丽·安娜·曼奇尼
Jérémy Morel,傑雷米·格雷爾
Pierre Pinoncelli,皮耶·皮農切利
Henri d'Orléans,亨利
Henri Desgrange,亨利∙德斯格朗吉
Valérie Kaprisky,范蕾丽尔·卡帕里斯基
Alain Perrin,艾倫·佩連
Amandine Leynaud,阿曼汀·雷諾
Léon Boëllmann,莱昂·波尔曼
Alexandre Alexeïeff,亚历山大·阿列克谢耶夫
Viviane Wade,薇薇安·瓦德
Charly B,查理·B
Arthur III de Bretagne,里奇蒙治安官
Charles de Blois,夏尔·德·布卢瓦
Annie Goetzinger,安妮·格辛格
Emily Atef,艾米莉·阿特夫
Hervé de Luze,埃尔维·德卢兹
Jean Lecanuet,让·勒卡尼埃
Charles-Hugues de Bourbon-Parme,卡洛斯·烏戈
Louis Alibert,路易·阿利贝尔
Tsilla Chelton,齐莉娅·切尔顿
Thierry Escaich,提耶里·埃斯凱希
Michel Albert,米歇尔·阿尔伯特
Guy Roux,居伊·鲁
Julie Gayet,茱莉·嘉叶
Robert Party,羅伯特·帕迪
Patrick Battiston,巴迪斯頓
Louis Legendre,路易·勒讓德爾
Ary Scheffer,阿里·謝弗
Louis François de Monteynard,路易斯·弗朗索瓦·德·蒙泰納爾
Julien Doré,朱利安·多雷
Henriette Louise de Waldner de Freundstein,亨麗葉特·路薏絲·德·華德納·德·福倫斯堡
Charles Estienne,夏尔·艾蒂尔
Louis François Joseph de Bourbon-Conti,路易-弗朗索瓦-约瑟夫
Bérangère Sapowicz,贝朗热·萨波维奇
Rodrigue Beaubois,罗德里格·布博瓦
Emmanuelle Riva,艾曼紐·麗娃
Olivier Schoenfelder,奥利维尔·斯彻恩菲尔德
David Ospina,戴维·奥斯皮纳
Amanda de Cadenet,阿曼达·德·卡德内特
Anseau de Garlande,加尔朗德的昂索一世
Marc Simenon,马克·西默农
Juliette Welfling,朱麗葉·維弗靈
Nicolas Changarnier,尼古拉斯·尚加尼爾
Isabelle Gélinas,伊莎贝尔·杰利纳斯
Gaston Paris,加斯东·帕里
Annabella,安娜貝拉
Jeanne Barret,珍妮·芭蕾
Louis-René-Madeleine de Latouche-Tréville,路易斯-雷內·勒瓦索爾·德·拉托切·特雷維爾
Armand Guillaumin,阿尔芒德·基约曼
Sabrina Ouazani,萨巴纳·奥扎尼
Mélina Robert-Michon,梅莉娜·罗伯特-米切
Dalida,黛莉達
Louis Roederer,路易侯德
François d'Orléans,弗朗索瓦·奥尔良
Jacqueline Mazéas,雅克利娜·马泽亚
Ferdinand Brunot,费尔迪南·布吕诺
Robert Ier de Bar,羅貝爾 (巴爾)
Sophie Moniotte,索菲·莫妮奥特
Robert de Cotte,罗贝尔·德·科特
Amandine Bourgeois,阿曼丁·布爾喬瓦
Amandine Henry,阿芒迪娜·亨利
Laurent Robert,劳伦特·罗伯特
Antoine Alphonse Chassepot,安托万·阿方斯·沙瑟波
Claude de Rohan-Gié,克洛德·德·罗昂-吉埃
Louis d'Orléans,路易·夏尔·腓力·拉斐尔
Denis Lenoir,丹尼斯·勒努亞
Ludmila Mikaël,路德米拉·米卡尔
André Blondel,安德烈·布隆代尔
André-Georges Haudricourt,安德烈-乔治·奥德里古
Véronique Genest,维罗尼克·热内
Odette de Champdivers,奥黛特·德·尚迪韦尔
Michel Périn,米歇尔·佩林
Michel Ordener,米歇尔·奥德内
Marc Madiot,马克·马迪奥
Julie Vlasto,朱莉·弗拉斯托
Wendie Renard,温迪·勒纳尔
Annie Famose,安妮·法莫斯
Jean Cavaillès,卡瓦耶斯
Édouard III de Bar,巴爾公爵愛德華三世
Mathieu II de Lorraine,馬蒂厄二世（洛林）
Géraud Réveilhac,热罗·热维耶
Robert Marjolin,罗贝尔·马若兰
Valérie Pécresse,瓦莱丽·佩克雷斯
Jean Baptiste Clément,让-巴蒂斯塔·克莱芒
Andrzej Seweryn,安德烈·瑟韋林
Morgane Dubled,莫嘉妮·杜勒
Bob Denard,鲍勃·德纳尔
Josiane Balasko,若西亚娜·巴拉斯科
Félix Kir,菲利克斯·基尔
Marie-Josèphe Yoyotte,玛丽-约瑟夫·约约特
Francis Wurtz,法蘭西斯·烏爾茨
Kévin Monnet-Paquet,凯文·莫内-帕凯
Just Jaeckin,贾斯特·杰克金
Gaston Mercier,加斯东·梅西耶
Raymond de Poitiers,普瓦捷的雷蒙
Céline Deville,塞利娜·德维尔
Amara Diané,阿馬拉·迪亞內
Pierre Favre,伯鐸·法伯爾
Blanche de France,法蘭西的布朗歇
Sabine Crossen,萨比恩·克洛森
Marie Line,瑪麗·萊
Catherine Suire,凯瑟琳·萨尔
Antoine Chézy,安東尼·蔡希
Patricia Girard,帕特里夏·吉拉尔-勒诺
Isabelle Mir,伊莎贝尔·米尔
Lucie Aubrac,烽火一世情
Max Gallo,马克斯·加洛
Charles Lecocq,夏尔·勒科克
Priscilla Betti,普莉西拉·贝蒂
Tabatha Cash,塔巴莎·卡什
Georges Gilles de la Tourette,乔治·吉勒·德拉图雷特
Franca di Rienzo,法蘭卡·迪·里恩佐
Nicolas Bacri,尼古拉·巴克里
Jean Sauvagnargues,让·索瓦尼亚格
Antoine Griezmann,安托万·格里兹曼
Hugues Doneau,雨果·多诺
Willy Boly,威利·博利
Sarah Bouhaddi,薩拉·布哈迪
Louis Georges Érasme de Contades,路易·乔治·埃拉斯姆·德·孔塔德
Mademoiselle Du Parc,马基斯-泰蕾兹·德戈拉
Jean-Baptiste Sénac,尚巴提·德·塞納
Albert Calmette,愛伯特·卡脈特
Morgan Amalfitano,艾馬菲達奴
Sophie Garel,索菲·加勒尔
Marie-José Nat,玛丽-若斯·纳特
Henri de Marcy,亨利·德·馬爾恰克
Jean Hyppolite,让·伊波利特
Justine Lévy,潔絲汀·莉維
Alain de Benoist,阿蘭·德伯努瓦
Henri Brocard,亨利·布罗卡德
Thiébaud II de Lorraine,蒂埃博二世
Raoul de Lorraine,洛林公爵
Thiébaud Ier de Lorraine,蒂埃博一世
Jean Snella,讓·斯內拉
Sofia Essaïdi,蘇菲亞·艾瑟迪
Kenzō Takada,高田贤三
Noëlle Boisson,諾爾·柏松
Franck Sauzée,弗兰克·索泽
Isabelle Candelier,伊莎贝尔·康德利耶
Dezydery Chłapowski,德兹德里·恰波夫斯基
Yannis Tafer,雅尼斯·塔費
Jean Allemane,尚·阿勒曼
François-Benoît Hoffmann,弗朗索瓦-伯努瓦·霍夫曼
Anne Consigny,安娜·孔西尼
Elizabeth F. Neufeld,伊丽莎白·诺伊费尔德
Juliette Mayniel,茱麗葉·麥涅勒
Benoît Magimel,伯努瓦·马吉梅
Antoine Brumel,安托萬·布魯梅爾
Sandrine Soubeyrand,桑德琳·蘇貝朗
Philippe de Commynes,菲利普·德·科米纳
Catherine Ferry,凱瑟琳·費里
France Anglade,法兰西·安格拉德
Jean-Marie Guéhenno,让-马里·盖埃诺
Jacques Barrot,雅克‧巴羅
Anna Maria Ferrero,安娜-玛利亚·费莱罗
Vincent Péricard,樊尚·佩里卡尔
Céline Tran,卡楚米
Henri Leconte,亨利·勒孔特
Louis IV Henri de Bourbon-Condé,路易四世·亨利·德·波旁
Françoise Gilot,弗朗索瓦·吉洛
Thomas Alexandre Dumas,托马-亚历山大·迪马
Bruno Cheyrou,般奴·芝禾爾
André Auffray,安德烈·奥弗雷
Charles Alexandre de Calonne,夏尔·亚历山大·德·卡洛纳
Henri Herz,亨利·赫茨
Claire Feuerstein,克莱尔·弗尔斯坦
Michel Barnier,米歇爾·巴尼耶
Jean Wahl,让·瓦尔
Guy Mardel,蓋伊·馬德爾
Anthony Delon,安东尼·德龙
Catherine Spaak,凱瑟琳·斯巴克
Marisol Escobar,玛丽索·埃斯科巴
Vitalic,Vitalic
François Rebel,弗朗索瓦·雷貝爾
Pascal Dusapin,帕斯卡尔·达萨平
Françoise Bettencourt Meyers,馮斯瓦絲·貝登古·麥爾斯
Charles Diehl,查尔斯·迪尔
André Ayew,安德雷·阿尤
Henri Jeanson,亨利·让松
Anthony Benna,安东尼·伯纳
André Bloc,安德烈·布洛克
Claude Dagens,克劳德·达让
André-Louis Cholesky,安德烈·路易·科列斯基
Waléran II de Luxembourg-Ligny,瓦勒良二世 (盧森堡-利尼)
Gustave Flourens,古斯塔夫·弗路朗斯
Marie de Rohan,谢弗勒兹公爵夫人
Katerina Golubeva,叶卡捷琳娜·戈卢别娃
André Bauchant,安卓·龐象
Ernest Reyer,埃内斯特·雷耶
Jean-Daniel Cadinot,让·丹尼尔·卡迪诺特
Sotha,索莎
Alain Traoré,阿兰·特劳雷
Ariane Labed,阿里安·拉贝德
France Nuyen,弗兰丝·纽恩
Jacqueline Joubert,賈奎琳·喬伯特
Mapou Yanga-Mbiwa,馬普·恩加-麥比華
Henry Darcy,亨利·達西
Michael Jones,邁克爾·瓊斯
Justin Ahomadegbé,朱斯坦·阿奧馬德貝－托莫坦
Alexandre Tuffèri,亞歷山大·圖菲爾
Amaury Bischoff,阿莫里·比紹夫
Emma Daumas,艾玛·道玛斯
Delphine Chanéac,戴爾芬·尚內亞克
Alexandre de Beauharnais,亞歷山大·德·布哈奈
Deimantė Daulytė,戴曼特·科內特
Serge Silberman,塞尔日·西尔伯曼
Jean de Jandun,若丹的约翰
Charles Auguste Frossard,夏爾·奧古斯特·弗羅薩
Pascal Greggory,帕斯卡·格里高利
Jean-Pierre-André Amar,讓-皮埃爾-安德烈·阿馬爾
André Aubréville,安德烈·奥布雷维尔
Louisa Necib,路易莎·内奇布
Bracha L. Ettinger,布拉查·艾汀格
Anthony Losilla,安东尼·洛西亚
Justin Clinchant,朱斯坦·克兰尚
Pierre-Gaspard Chaumette,皮埃爾·加斯帕德·肖梅特
Géraldine Nakache,杰拉尔丁·纳卡什
Jean-François Carteaux,让·弗朗索瓦·卡尔托
Louis-Bernard Guyton-Morveau,路易-贝尔纳·吉东·德·莫尔沃
Stéphane Ruffier,魯菲耶
André Hercule de Fleury,弗勒里
Charles Eugène Gabriel de La Croix de Castries,夏尔·欧仁·加布里埃尔·德·拉·克鲁瓦
Victor Basch,维克多·巴斯奇
Anthony Modeste,安東尼·莫迪斯迪
Henri Queuille,亨利·克耶
Hafsia Herzi,阿弗西娅·埃尔齐
Catherine Noël Worlee,卡特琳·格朗
Anthony da Silva,安东尼·达席尔瓦
Henri II de Bar,巴尔伯爵亨利二世
Louis Stanislas de Girardin,路易·斯坦尼斯拉斯·德·吉拉尔丹
Gilbert Amy,吉尔贝·阿米
Jean-François Revel,讓-弗朗索瓦·何維爾
Charles Kaboré,查理斯·卡博雷
Vanessa Gusmeroli,瓦内萨·古斯梅洛利
Louis Paul Cailletet,路易·保罗·卡耶泰
Elvire Popesco,埃爾維拉·波佩斯庫
Amaury Leveaux,阿莫里·勒沃
Pierre Samuel du Pont de Nemours,皮埃爾·塞繆爾·杜邦·德·內穆爾
Dora Doll,多拉·多尔
Alphonse Milne-Edwards,米奈·愛德華
Pierre Cartier,皮埃爾·卡地亞
Jules Bastien-Lepage,朱爾·巴斯蒂安-勒帕吉
Jacques Pucheran,雅克·普什朗
Yona Friedman,尤纳·弗莱德曼
Jean Chassagne,让·沙萨涅
François l'Olonnais,法蘭索瓦·羅羅內
Nicole Rieu,妮可·瑞歐
André Brochant de Villiers,安德烈-讓-弗朗索瓦-馬里·布羅漢德·維里爾斯
André Bettencourt,安德烈·贝唐库尔
Auguste-Joseph Franchomme,奥古斯特·弗朗肖姆
Ernest Esclangon,埃内斯特·埃斯克朗贡
Natalia Gorbanevskaïa,娜塔莉亚·戈尔巴内夫斯卡娅
Nathalie Arthaud,娜塔莉·阿尔托
André Brugiroux,安德烈·布吕吉鲁
Antoine Sibierski,安东尼·西比尔斯基
Valérien Ismaël,瓦勒里安·伊斯梅尔
France Rumilly,France Rumilly
Georges Frêche,乔治斯·弗雷奇
Jean-Antoine Letronne,让-安托万·勒特罗纳
Serge Vinçon,塞尔日·万松
Françoise Fabian,弗兰西丝·法比安
Youssef El-Arabi,約瑟夫·埃爾阿拉比
Philippe de Longvilliers de Poincy,菲利普·德·隆维利耶·德·普安西
Charles Dullin,夏尔·迪兰
Jocelyne LaGarde,乔斯林尼·拉加德
Josée Dayan,荷赛·达阳
Élisabeth Morin-Chartier,伊丽莎白·莫兰
Roger Duchêne,罗歇·迪谢纳
Antide Janvier,安迪德·讓維埃
Marie,瑪麗-弗朗絲·迪富爾
Betty Mars,貝蒂·瑪斯
Anicée Alvina,安妮丝·阿尔维娜
Raphaël Mathieu,拉斐尔·马蒂厄
Henri de La Rochejaquelein,亨利·德·拉罗什雅克兰
Marina Foïs,玛琳娜·佛伊丝
Rudy Riou,魯迪·利奧
Suzanne Bianchetti,蘇珊娜·比安凱蒂
Sonia Bompastor,索尼娅·邦帕斯托
Albert Dauzat,阿尔贝·多扎
Pierre-Emmanuel Le Goff,皮耶-艾曼紐·勒·格夫
Fabrice Jeannet,法布里斯·让内
Richard Virenque,理查德·维伦克
Francis Kerbiriou,弗朗西斯·凯尔比里乌
Gilbert Cousin,吉尔贝尔·库桑
François Berléand,佛罕索瓦·貝蘭
André Chapelon,安德烈·沙普隆
Domergue Sumien,多梅尔格·叙米安
Jacques de Morgan,雅克·德·摩根
André Cayatte,安德烈·卡耶特
André Chamson,安德烈·查姆森
André Caplet,安德烈·卡普莱
Pierre Chambiges,皮埃尔·尚比热
André Cardinal Destouches,安德烈·卡迪纳·德图什
Bernard-Pierre Donnadieu,贝尔纳-皮埃尔·多纳迪约
Colette Marchand,科莱特·玛钱德
Charles Philippe Lafont,查理士·飛利浦·拉楓特
André Castaigne,安德烈·卡斯泰根
André Castanet,安德烈·卡斯塔内
Sophie Auconie,索菲·奥科涅
Jean Epstein,让·爱泼斯坦
Pierre de Castelnau,皮埃爾·德·卡斯泰爾諾
Elli Medeiros,艾莉·梅德罗斯
François Delecour,弗朗索瓦·德勒古
Alain Sars,艾倫·薩爾斯
René Thomas,勒内·托马
Ulrick Chavas,于尔里克·沙瓦斯
Yves Lacoste,伊夫·拉科斯特
Guillaume Dubois,纪尧姆·杜布瓦
François de Joyeuse,方濟各·德·若約塞
Richard Belzer,理查·貝爾澤
Philippe de Dreux,德勒的菲利普
Florine de Bourgogne,勃艮第的弗洛林
Philippe Séguin,菲利普·塞金
Nathalie Pâque,娜塔莉·帕克
