Douglas Adams,ダグラス・アダムズ
Oliver Stapleton,オリヴァー・ステイプルトン
Nicholas Hytner,ニコラス・ハイトナー
Jon Halliday,ジョン・ハリディ
Jack Hobbs,ジャック・ホッブス・(クリケット選手)
Henry Drysdale Dakin,ヘンリー・デーキン
Robert Aickman,ロバート・エイクマン
Armando Iannucci,アーマンド・イアヌッチ
Warren Clarke,ウォーレン・クラーク
George Albert Smith (filmmaker),ジョージ・アルバート・スミス・(映画監督)
Luke Donald,ルーク・ドナルド
Richard Taylor (mathematician),リチャード・テイラー・(数学者)
Paul Kennedy,ポール・ケネディ
Rick Wills,リック・ウィルス
Chris Hughes (musician),クリス・ヒューズ
Brian Auger,ブライアン・オーガー
Brian Barry,ブライアン・バリー
Sydney Chapman (mathematician),シドニー・チャップマン
Arthur Schuster,アーサー・シュスター
Martin Lowry,マーチン・ローリー
Arthur Symons,アーサー・シモンズ
Tommy Hampson,トーマス・ハンプソン・(陸上選手)
Stuart Tosh,スチュアート・トッシュ
Bunny Austin,ヘンリー・オースチン
Mal Evans,マル・エヴァンズ
Isaac Hempstead Wright,アイザック・ヘンプステッド＝ライト
Howard Devoto,ハワード・ディヴォート
Gerald Moore,ジェラルド・ムーア
Arthur Waley,アーサー・ウェイリー
Colin Lloyd,コリン・ロイド
Crispian Mills,クリスピアン・ミルズ
Johanna Konta,ジョアンナ・コンタ
George Friend,ジョージ・フレンド
Augustus Edward Hough Love,オーガストゥス・ラブ
Paul Parker (footballer),ポール・パーカー
"Liam Kelly (footballer, born 1990)",リアム・ケリー・(1990年生のサッカー選手)
Liam Cooper,リアム・クーパー
E. T. Whittaker,エドマンド・テイラー・ホイッテーカー
Luke Goss,ルーク・ゴス
Marc Wilson (footballer),マーク・ウィルソン・(アイルランドのサッカー選手)
Helen Elizabeth Morgan,ヘレン・モーガン
Owney Madden,オウニー・マドゥン
Edward Bach,エドワード・バッチ
Jonny Howson,ジョニー・ハウソン
Colin Turkington,コリン・ターキントン
Shane Ferguson,シェーン・ファーガソン
Brian Gibson (director),ブライアン・ギブソン
Brian Godding,ブライアン・ゴディング
Brian Davison (drummer),ブライアン・デヴィソン
Len Hutton,レン・ハットン
Harry Kane,ハリー・ケイン
Francis L. Sullivan,フランシス・L・サリヴァン
George MacKay (actor),ジョージ・マッケイ・(俳優)
Cosmo Duff-Gordon,コズモ・ダフ＝ゴードン・(第5代準男爵)
Peter Dronke,ピーター・ドロンケ
George Dyson (composer),ジョージ・ダイソン
Philemon Pownoll,フィルモン・ポウノル
Mark Davis (actor),マーク・デイビス・(ポルノ俳優)
Montague Summers,モンタギュー・サマーズ
Albus Dumbledore,アルバス・ダンブルドア
Solomon Cutner,ソロモン・(ピアニスト)
Danny Dyer,ダニー・ダイア
Howard Jones (British musician),ハワード・ジョーンズ
Bill Nicholson (footballer),ビル・ニコルソン
Brandon Hurst,ブランドン・ハースト
Tom Boyd (Scottish footballer),トム・ボイド
Ian Hunter (singer),イアン・ハンター・(歌手)
Peter Hacker,ピーター・ハッカー
Mike Doyle (footballer),マイク・ドイル
Jack Beresford,ジャック・ベレスフォード
Lancelot Royle,ランスロット・ロイル
George Blake,ジョージ・ブレイク
Jim Redman,ジム・レッドマン
Nathan Baker,ネイザン・ベイカー・(サッカー選手)
Tim Sherwood,ティム・シャーウッド
Howard McFarlane,ハワード・マクファーレン
Dennis Robertson (economist),デニス・ロバートソン
Tom Blomqvist,トム・ブロンクビスト
David Cotterill,デイビッド・コッテリル
Nick Yelloly,ニック・イェロリー
Ryan Dalziel,ライアン・ダルジール
Rory McCann,ロリー・マッキャン
Lady Sarah McCorquodale,セーラ・マッコーコデール
Brian Rust,ブライアン・ラスト
Brian Trenchard-Smith,ブライアン・トレンチャード＝スミス
Kieran Agard,キーラン・アガード
Justin Tipuric,ジャスティン・ティプリック
Tim Brooke-Taylor,ティム・ブルック＝テイラー
Charles Rosher,チャールズ・ロッシャー
Sona Jobarteh,ソナ・ジョバルテ
Chris Martin,クリス・マーティン
Oliver Wallace,オリバー・ウォレス
Alan Ayckbourn,アラン・エイクボーン
James Kirkup,ジェイムズ・カーカップ
Brian Lumley,ブライアン・ラムレイ
Cameron Mackintosh,キャメロン・マッキントッシュ
Edward Woodward,エドワード・ウッドワード
Ed Clancy,エド・クランシー
Passenger (singer),パッセンジャー・(歌手)
James Wilby,ジェームズ・ウィルビー
Graham King,グレアム・キング
James Anderson (cricketer),ジェームズ・アンダーソン・(クリケット選手)
Luke Chambers,ルーク・チェンバース
John Mayhew (musician),ジョン・メイヒュー
Michael Crawford,マイケル・クロフォード
Austin Osman Spare,オースティン・オスマン・スパー
Max Sciandri,マキシミリアン・シャンドリ
"James Ramsay, 17th Earl of Dalhousie",ジェームズ・ラムゼイ・(第17代ダルハウジー伯爵)
Frank Sinclair,フランク・シンクレア
Stephen South,スティーブン・サウス
Sirius Black,シリウス・ブラック
Gary Bailey,ゲーリー・ベイリー
John Goldthorpe,ジョン・ゴールドソープ
Alex Cox,アレックス・コックス
Wyndham Lewis,パーシー・ウインダム・ルイス
Julian Rhind-Tutt,ジュリアン・リンド＝タット
Vic Buckingham,ヴィク・バッキンガム
John Mortimer,ジョン・モーティマー
George Fenton,ジョージ・フェントン
Dave Sinclair,デイヴ・シンクレア
Randolph Turpin,ランディ・ターピン
William Ling (referee),ウィリアム・リング
Ben Hinchliffe,ベン・ヒンチリフ
Shaun Evans,ショーン・エヴァンス
Vini Reilly,ヴィニ・ライリー
Wilfried Zaha,ウィルフレッド・ザハ
Herbert Giles,ハーバート・ジャイルズ
David Healy (psychiatrist),デイヴィッド・ヒーリー
Alan Bennett,アラン・ベネット
Edwin Mills (athlete),エドウィン・ミルズ・(アスリート)
Mark King (musician),マーク・キング・(ベーシスト)
Keith Reid,キース・リード
Gerald Finzi,ジェラルド・フィンジ
Paul Bonhomme,ポール・ボノム
Robin Orr,ロビン・オール
Dennis Brain,デニス・ブレイン
Chris Bonington,クリス・ボニントン
Jimmy Hastings,ジミー・ヘイスティングス
Simon Baron-Cohen,サイモン・バロン＝コーエン
David Seidler,デヴィッド・サイドラー
Kingsley Dunham,キングスレー・チャールズ・ダナム
Dean Stoneman,ディーン・ストーンマン
Danny Cohen (cinematographer),ダニー・コーエン
Edgar Bainton,エドガー・ベイントン
Léon Goossens,レオン・グーセンス
Leo G. Carroll,レオ・G・キャロル
Neil Adams (judoka),ニール・アダムス・(柔道)
Sam Ferris,サミュエル・フェリス
Edward Hardwicke,エドワード・ハードウィック
"John FitzRoy, 9th Duke of Grafton",ジョン・フィッツロイ・(第9代グラフトン公爵)
Richard Eyre,リチャード・エアー
Jonathan Nott,ジョナサン・ノット
Lizzy Yarnold,リジー・ヤーノルド
Dominic Keating,ドミニク・キーティング
Jonathan Firth,ジョナサン・ファース
Gavin Bryars,ギャヴィン・ブライアーズ
Jasper Fforde,ジャスパー・フォード
Nathaniel Clyne,ナサニエル・クライン
Robert Gerhard,ロベルト・ジェラール
Mike Lindup,マイク・リンダップ
Max Richter,マックス・リヒター
Frederick Fleet,フレデリック・フリート
Jamie Muir,ジェイミー・ミューア
Martyn Rooney,マーティン・ルーニー
Sandy Jardine,サンディ・ジャーディン
Bill Steer,ビル・スティアー
Chris Stewart (author),クリス・スチュワート・(作家)
Jimmy Savile,ジミー・サヴィル
Mad Professor,マッド・プロフェッサー
Roy Wood,ロイ・ウッド
Keith Relf,キース・レルフ
Michael Bisping,マイケル・ビスピン
White Town,ホワイト・タウン
James Thompson (racing driver),ジェームス・トンプソン・(レーサー)
David Soskice,デヴィッド・ソスキス・(経済学者)
Steve Peat,スティーブ・ピート
David Wise (composer),デビッド・ワイズ
Simon Russell Beale,サイモン・ラッセル・ビール
Emma Pollock,エマ・ポロック
Paul Caddis,ポール・カディス
Neil Innes,ニール・イネス
Richard Wiseman,リチャード・ワイズマン
Julian Morris,ジュリアン・モリス
Ernest Marsden,アーネスト・マースデン
Max Irons,マックス・アイアンズ
Jolyon Palmer,ジョリオン・パーマー
Oliver Norwood,オリヴァー・ノーウッド
Edward Gordon Craig,エドワード・ゴードン・クレイグ
George Rodger,ジョージ・ロジャー
Gary Gardner,ゲイリー・ガードナー
Patrick McGrath (novelist),パトリック・マグラア
T. H. Marshall,トマス・ハンフリー・マーシャル
Albert Oldman,アルバート・オールドマン
Limahl,リマール
Alan Rusbridger,アラン・ラスブリッジャー
LTJ Bukem,LTJブケム
Jon Harris (film editor),ジョン・ハリス・(編集技師)
Martin Walsh (film editor),マーティン・ウォルシュ
Thomas Cruise (footballer),トーマス・クルーズ・(サッカー選手)
"Henry Stafford, 2nd Duke of Buckingham",ヘンリー・スタッフォード・(第2代バッキンガム公爵)
"Henry Beaufort, 3rd Duke of Somerset",ヘンリー・ボーフォート・(第3代サマセット公)
Darren Barr,ダレン・バー
Robbie Earle,ロビー・アール
John Lennox,ジョン・レノックス
Barrington J. Bayley,バリントン・J・ベイリー
Neville Duke,ネヴィル・デューク
James Wordie,ジェイムズ・ワーディー
Ben Green (mathematician),ベン・グリーン
Barry Ackroyd,バリー・アクロイド
Joe Mattock,ジョー・マトック
Jamie Dornan,ジェイミー・ドーナン
Louis Wain,ルイス・ウェイン
Basil Bernstein,バジル・バーンステイン
Joseph Boxhall,ジョセフ・ボックスホール
Steve Morison,スティーヴ・モリソン
Mick Audsley,ミック・オーズリー
Joe Ingles,ジョー・イングルス
David Barron (film producer),デヴィッド・バロン
Barry Wordsworth,バリー・ワーズワース
Barry Smith (ontologist),バリー・スミス
Barry Morse,バリー・モース
John Hassall (musician),ジョン・ハッサール
Lewis Namier,ルイス・バーンスタイン・ネイミア
Darren Potter,ダレン・ポッター
Jack Peñate,ジャック・ペニャーテ
Collingwood Ingram,コリングウッド・イングラム
Rupert Croft-Cooke,レオ・ブルース
Oliver Turvey,オリバー・ターベイ
Clive Russell,クライヴ・ラッセル
C. W. Nicol,C・W・ニコル
Terry Yorath,テリー・ヨラス
Sarah Jane Morris (singer),サラ・ジェーン・モリス・(歌手)
JJ Feild,JJ・フィールド
Neil Ardley,ニール・アードレイ
Steve Howey (footballer),スティーヴ・ハウィー・(サッカー選手)
Simon Critchley,サイモン・クリッチリー
Toby Regbo,トビー・レグボ
Nymphadora Tonks,ニンファドーラ・トンクス
Peter Frankl,ペーター・フランクル
Nigel Rogers,ナイジェル・ロジャース
Herbert Hall Turner,ハーバート・ターナー
James Perch,ジェームズ・パーチ
Chip Tsao,陶傑
Stuart Baxter,スチュアート・バクスター
Robert of Chester,チェスターのロバート
Alex Moulton,アレックス・モールトン
Roy Kinnear,ロイ・キニア
Stafford Beer,スタッフォード・ビーア
Mike Dean (referee),マイク・ディーン
Pino Palladino,ピノ・パラディーノ
Cat Deeley,キャット・ディーリー
John Williams (actor),ジョン・ウィリアムズ・(俳優)
Paul Laverty,ポール・ラヴァーティ
Alan Moorehead,アラン・ムーアヘッド
William Orpen,ウィリアム・オーペン
Jamie Stevenson (orienteer),ジェイミー・スティーブンソン
Joe Royle,ジョー・ロイル
Ciarán McMenamin,キアラン・マクメナミン
Niall Mackenzie,ニール・マッケンジー
Peter Honess,ピーター・ホーネス
Raymond Unwin,レイモンド・アンウィン
Steve Beresford,スティーヴ・ベレスフォード
Colin Friels,コリン・フリールズ
Colin McFarlane,コリン・マクファーレン
Anthony D. Smith,アントニー・D・スミス
Jim Carter (actor),ジム・カーター
"Hugh Lowther, 5th Earl of Lonsdale",ヒュー・ラウザー・(第5代ロンズデール伯爵)
Barbara Wyatt,バーバラ・ワイアット
Moshé Feldenkrais,モーシェ・フェルデンクライス
Barry Adamson,バリー・アダムソン
Barry Hearn,バリー・ハーン
Barry Gray,バリー・グレイ
Rodric Braithwaite,ロドリク・ブレースウェート
John Foulds,ジョン・フォウルズ
Alan Gilzean,アラン・ギルツェーン
Philip Jones (musician),フィリップ・ジョーンズ
Pops Mensah-Bonsu,ポップス・メンサー＝ボンス
Russell Page,ラッセル・ペイジ
Colin Rowe,コーリン・ロウ
Dolores Umbridge,ドローレス・アンブリッジ
Steven Cousins,スティーブン・カズンズ
Gary Mabbutt,ギャリー・マバット
Archibald Sayce,アーチボルド・セイス
Basil Hall Chamberlain,バジル・ホール・チェンバレン
Bat for Lashes,バット・フォー・ラッシーズ
Basil Williams (figure skater),ベージル・ウィリアムズ
Basil Heatley,ベイジル・ヒートリー
Jim McCarty,ジム・マッカーティ
Edgar Syers,エドガー・サイアーズ
Curt Smith,カート・スミス
Chris Thomas (record producer),クリス・トーマス
John McConnell Black,ジョン・マコーネル・ブラック
G. N. Watson,ジョージ・ネビル・ワトソン
John Giblin,ジョン・ギブリン
James D'Arcy,ジェームズ・ダーシー
Kim Newman,キム・ニューマン
Jill Vidal,ジル・ビダル
Craig Thomas (author),クレイグ・トーマス
Shakin' Stevens,シェイキン・スティーブンス
David Wheater,デヴィッド・ウィーター
Barry Robson,バリー・ロブソン
Cecil Griffiths,セシル・グリフィス
Russell Tovey,ラッセル・トーヴィー
Peter White (musician),ピーター・ホワイト
Patrick Magee (actor),パトリック・マギー
Derek Hay,ベン・イングリッシュ
Ben Collins (racing driver),ベン・コリンズ・(レーサー)
Ben Goldacre,ベン・ゴールドエイカー
Ben Aaronovitch,ベン・アーロノヴィッチ
Durward Knowles,ダーウォード・ノウルズ
Craig Jones (motorcyclist),クレイグ・ジョーンズ・(レーサー)
Trevor Cherry,トレヴァー・チェリー
Johnny Harris (actor),ジョニー・ハリス・(1973年生の俳優)
Duke McKenzie,デューク・マッケンジー
Deryck Guyler,デリク・ガイラー
Shane Taylor (actor),シェーン・テイラー
Stuart Craig,スチュアート・クレイグ
G. E. L. Owen,G・E・L・オーエン
Duncan Mackay (musician),ダンカン・マッケイ
Jordan King,ジョーダン・キング
Declan Rudd,デクラン・ラッド
James Potter (character),ジェームズ・ポッター
"William Cavendish, Marquess of Hartington",ウィリアム・キャヴェンディッシュ・(1917-1944)
"Alexander, Crown Prince of Yugoslavia",アレクサンダル2世カラジョルジェヴィチ
James Arthur,ジェイムス・アーサー
"James Graham, 1st Marquess of Montrose",ジェイムズ・グラハム・(初代モントローズ侯爵)
Ken Robinson (educationalist),ケン・ロビンソン
Ove Arup,オヴ・アラップ
Jeffrey Weeks (sociologist),ジェフリー・ウィークス・(社会学者)
David Bedford,デヴィッド・ベッドフォード
Freddie Wolff,フレデリック・ウォルフ
Nigel Benn,ナイジェル・ベン
Gary Daniels,ゲイリー・ダニエルズ
Ben Lee (violinist),ベン・リー・(ヴァイオリニスト)
Ben Miller,ベン・ミラー
Benjamin Daydon Jackson,ベンジャミン・デイドン・ジャクソン
Ben Thatcher,ベン・サッチャー
Benedict Kiely,ベネディクト・カイリー
Gervase de Peyer,ジェルヴァース・ドゥ・ペイエ
Matt Haig,マット・ヘイグ・(作家)
Israel Regardie,イスラエル・リガルディー
Walter de la Mare,ウォルター・デ・ラ・メア
Paul Ingle,ポール・イングル
Simon Ward,サイモン・ウォード
Alfred Deller,アルフレッド・デラー
John Surman,ジョン・サーマン
Grace Williams,グレース・ウィリアムズ
Antonio Pappano,アントニオ・パッパーノ
Conleth Hill,コンリース・ヒル
I. A. Richards,アイヴァー・リチャーズ
Lionel Tertis,ライオネル・ターティス
Chris Eubank,クリス・ユーバンク
Owen Farrell,オーウェン・ファレル
James Holden (producer),ジェームス・ホールデン
Phil Méheux,フィル・メヒュー
Freddy Kempf,フレディ・ケンプ
Steve Robertson (racing driver),スティーブ・ロバートソン・(レーサー)
Jonny Buckland,ジョニー・バックランド
Benno Moiseiwitsch,ベンノ・モイセイヴィチ
Will Champion,ウィル・チャンピオン
Roy Evans,ロイ・エヴァンス
Martin Atkinson,マーティン・アトキンソン
Ivan Cooper,アイヴァン・クーパー
Algernon Kingscote,アルガーノン・キングスコート
Richard Gough,リチャード・ゴフ
Toby Kebbell,トビー・ケベル
Joe Corrigan,ジョー・コリガン
Garry Birtles,ギャリー・バートルズ
Victor Feldman,ヴィクター・フェルドマン
Oli Sykes,オリヴァー・サイクス
Enzo Maccarinelli,エンゾ・マカリネリ
George Kerr (runner),ジョージ・カー・(陸上選手)
Julian Barbour,ジュリアン・バーバー
Nick Evans (trombonist),ニック・エヴァンス・(トロンボーン奏者)
"Bernard Fitzalan-Howard, 16th Duke of Norfolk",バーナード・フィッツアラン＝ハワード・(第16代ノーフォーク公)
Courtney Jones (figure skater),コートニー・ジョーンズ
Burn Gorman,バーン・ゴーマン
Albert Austin,アルバート・オースチン
Cyriak,スィリアック・ハリス
Cornelius Cardew,コーネリアス・カーデュー
Donald Bailey (civil engineer),ドナルド・ベイリー
Roy Dotrice,ロイ・ドートリス
Edward Granville Browne,エドワード・グランヴィル・ブラウン
Ian Botham,イアン・ボサム
Ian Charleson,イアン・チャールソン
Mitch Harris,ミッチ・ハリス
Nick Moran,ニック・モラン
Craig MacLean,クレイグ・マクリーン
Craig Reedie,クレイグ・リーディー
Courtney Pine,コートニー・パイン
Guy Butler (athlete),ガイ・バトラー
Alex James (musician),アレックス・ジェームス
Richard O'Brien,リチャード・オブライエン
Christopher Hill (historian),クリストファー・ヒル・(歴史学者)
Michael Kenna (photographer),マイケル・ケンナ
Barnes Wallis,バーンズ・ウォリス
Richard Barrett (composer),リチャード・バーレット
Young MC,ヤングMC
Bertie Peacock,バーティー・ピーコック
Michael I of Romania,ミハイ1世・(ルーマニア王)
Sam Vokes,サム・ヴォークス
Eva Morris,エヴァ・モリス
Anri Okita,沖田杏梨
Howard Arman,ハワード・アーマン
Nigel McGuinness,ナイジェル・マッギネス
Albert Ingham,アルバート・イングハム
Peter Vaughan,ピーター・ヴォーン
Ryan Sharp,ライアン・シャープ
Christian Cooke,クリスチャン・クック
John Lennard-Jones,ジョン・レナード＝ジョーンズ
Mark Foster (swimmer),マーク・フォスター
Don Letts,ドン・レッツ
Matthew Bourne,マシュー・ボーン
Rob Elliot,ロブ・エリオット
Micky Moody,ミッキー・ムーディ
Dan Abnett,ダン・アブネット
Nellee Hooper,ネリー・フーパー
Steve Jones (runner),スティーブ・ジョーンズ・(陸上選手)
Raymond Leppard,レイモンド・レッパード
Malcolm Muggeridge,マルコム・マゲリッジ
Roger Chapman,ロジャー・チャップマン
Harry Hinsley,ハリー・ヒンズリー
Professor X,プロフェッサーX・(マーベル・コミック)
Simon Beaufoy,サイモン・ボーファイ
Rod Temperton,ロッド・テンパートン
George P. L. Walker,ジョージ・P・L・ウォーカー
Martin Buchan,マーティン・バカン
Samuel Peploe,サミュエル・ペプロー
"John Collins (footballer, born 1968)",ジョン・コリンズ・(サッカー選手)
Sam Houser,サム・ハウザー
Michael Aris,マイケル・アリス
Wally Hammond,ウォーリー・ハモンド
Mark Read (singer),マーク・リード
Steve White (drummer),スティーヴ・ホワイト
Robert Milsom,ロバート・ミルソム
Lucius Malfoy,ルシウス・マルフォイ
Philip Selway,フィル・セルウェイ
Michael Conlan (boxer),マイケル・コンラン
Liam Tancock,リアム・タンコック
Timothy Williamson,ティモシー・ウィリアムソン
Rupert Gregson-Williams,ルパート・グレッグソン＝ウィリアムズ
S. J. Watson,S・J・ワトソン
Graham Bond,グレアム・ボンド
Chris Sharrock,クリス・シャーロック
David Jenkins (sprinter),デヴィッド・ジェンキンス・(陸上選手)
Paul Willis,ポール・ウィリス
Carlos Acosta,カルロス・アコスタ
Dale Tempest,デール・テンペスト
Martin Crewes,マーティン・クルーズ
Alan Wakeman,アラン・ウェイクマン
Eddy Offord,エディ・オフォード
Edward Lucas (journalist),エドワード・ルーカス
David Lowe (television and radio composer),デヴィッド・ロウ・(作曲家)
Iwan Rheon,イワン・リオン
Graham Joyce,グレアム・ジョイス
Alastair Fothergill,アラステア・フォザーギル
Luke Evans,ルーク・エヴァンズ
N. E. Brown,ニコラス・エドワード・ブラウン
Armando Dippet,アーマンド・ディペット
Colin Greenwood,コリン・グリーンウッド
David Davis (footballer),デイヴィッド・デイヴィス・(サッカー選手)
George Alagiah,ジョージ・アレガイアー
Chris Patterson (co-driver),クリス・パターソン
Ed O'Brien,エド・オブライエン
Mr. Scruff,ミスター・スクラフ
Osbert Salvin,オズバート・サルヴィン
Charlie Mulgrew,チャールズ・マルグルー
David Munrow,デイヴィッド・マンロウ
Oswald Morris,オズワルド・モリス
John Neville (actor),ジョン・ネヴィル・(俳優)
John Mayow,ジョン・メーヨー
Mark Mazower,マーク・マゾワー
Kirk Degiorgio,カーク・ディジョージオ
Edward Carpenter,エドワード・カーペンター
Don Snow,ドン・スノー
Rick Savage,リック・サヴェージ
Tim Harford,ティム・ハーフォード
Leroy Lita,リロイ・リタ
Peter Warlock,ピーター・ウォーロック
Gareth David-Lloyd,ギャレス・デヴィッド＝ロイド
Peter MacDonald (director),ピーター・マクドナルド
Gareth McAuley,ガレス・マコーリー
David Tomlinson,デヴィッド・トムリンソン
"Bryan Guinness, 2nd Baron Moyne",ブライアン・ギネス・(第2代モイン男爵)
Bruce Welch,ブルース・ウェルチ
Bruce Robinson,ブルース・ロビンソン
William Boyd (writer),ウィリアム・ボイド・(作家)
Julien Temple,ジュリアン・テンプル
Douglas Henshall,ダグラス・ヘンシュオール
Stuart Burrows,スチュアート・バロウズ
Tom Kiely,トム・カイリー
"Nicholas Eden, 2nd Earl of Avon",ニコラス・イーデン
Ryan Tunnicliffe,ライアン・タニクリフ
Bradley Smith (motorcyclist),ブラッドリー・スミス
Gethin Jenkins,ゲシン・ジェンキンス
Graham Broadbent,グレアム・ブロードベント
Peter Chalmers Mitchell,ピーター・チャルマーズ・ミッチェル
Ross Edgar,ロス・エドガー
Corry Evans,コリー・エヴァンス
Craig Beattie,クレイグ・ビーティ
David Tattersall,デヴィッド・タッターサル
Michael Ball,マイケル・ボール・(俳優)
"David Edwards (footballer, born 1986)",デイヴィッド・エドワーズ
Bryan R. Wilson,ブライアン・R・ウィルソン
Freddie Frith,フレディー・フリース
Damien Walters,ダミアン・ウォルターズ
Edward Downes,エドワード・ダウンズ
Eleanor Mildred Sidgwick,エレノア・ミルドレッド・シジウィック
DMX Krew,DMXクルー
Doreen Massey (geographer),ドリーン・マッシー・(地理学者)
Colin Gregory,コリン・グレゴリー
Denis Twitchett,デニス・C・トゥウィチェット
Justin Rose,ジャスティン・ローズ
Ken Stott,ケン・ストット
Phil Read,フィル・リード
Michael Winner,マイケル・ウィナー
Roger Lloyd-Pack,ロジャー・ロイド＝パック
James Dreyfus,ジェームズ・ドレイファス
Chris Cunningham,クリス・カニンガム
Chris Basham,クリス・バシャム
Chris Blackwell,クリス・ブラックウェル
Rolfe Kent,ロルフ・ケント
C. J. Sansom,C・J・サンソム
Chris Adams (wrestler),クリス・アダムス
Dan Houser,ダン・ハウザー
Laurence Juber,ローレンス・ジューバー
Tyson Fury,タイソン・フューリー
Daniel Massey (actor),ダニエル・マッセイ
Dan Lydiate,ダン・リディエイト
Dan Biggar,ダン・ビガー
Dan McKenzie (geophysicist),ダン・マッケンジー
Duncan Haldane,ダンカン・ホールデン
F. W. Bain,F・W・ベイン
Daniel Jones (composer),ダニエル・ジョーンズ・(作曲家)
Giles Martin,ジャイルズ・マーティン
Hogan Ephraim,ホーガン・エフレイム
Paul Hartley,ポール・ハートリー
Phil Mogg,フィル・モグ
William Robinson (swimmer),ウィリアム・ロビンソン・(競泳選手)
"Bill Brown (footballer, born 1931)",ビル・ブラウン・(サッカー選手)
Bill Beaumont,ビル・ボーモント
Bill Ivy,ビル・アイビー
Bill Lomas,ビル・ロマス
Nigel Calder,ナイジェル・コールダー
Alfred Ewing,ジェームズ・アルフレッド・ユーイング
Philip Reeve,フィリップ・リーヴ
Phil Miller,フィル・ミラー
John Kidd (chemist),ジョン・キッド・(化学者)
John Wark,ジョン・ウォーク
Will Keane,ウィル・キーン
"George Windsor, Earl of St Andrews",ジョージ・ウィンザー・(セント・アンドルーズ伯爵)
Giles Barnes,ジレス・バーンズ
Conor Coady,コナー・コーディ
Henry Dudeney,ヘンリー・アーネスト・デュードニー
Luke Garbutt,ルーク・ガーバット
John Regis (athlete),ジョン・レジス
Danny McGrain,ダニー・マクグレイン
Billy Bingham,ビリー・ビンガム
Billy Fury,ビリー・フューリー
John Martin (painter),ジョン・マーティン
Howard Ferguson (composer),ハワード・ファーガソン
Jake Dennis,ジェイク・デニス
Alan Marshall (producer),アラン・マーシャル・(映画プロデューサー)
Paul Hardcastle,ポール・ハードキャッスル
Neil Ruddock,ナイル・ルドック
Danny Thompson,ダニー・トンプソン
Darren Manning,ダレン・マニング
Danny Williams (boxer),ダニー・ウィリアムズ
Edmundo Ros,エドムンド・ロス
Storm Thorgerson,ストーム・ソーガソン
Matthew Garber,マシュウ・ガーバー
"John Wilkinson (footballer, born 1979)",ジョン・ウィルキンソン・(1979年生のサッカー選手)
Buster Martin,バスター・マーティン
Doogie White,ドゥギー・ホワイト
Nick Rhodes,ニック・ローズ
Leigh Griffiths,リー・グリフィス
Malcolm Wilson (rally driver),マルコム・ウィルソン
Danny Cannon,ダニー・キャノン
Bill Roberts (athlete),ウィリアム・ロバーツ
Bertram Thomas,バートラム・トマス
Billy J. Kramer,ビリー・J・クレイマー
Billy Joe Saunders,ビリー・ジョー・ソーンダース
Jason Shackell,ジェイソン・シャッケル
Ronald Fairbairn,ロナルド・フェアバーン
John Kerr (figure skater),ジョン・ケアー
Kevin Beattie,ケヴィン・ビーティー
Gary Gillespie,ギャリー・ギレスピー
Martin Tyler,マーティン・タイラー
Neil Back,ニール・バック
Steven Mead,スティーブン・ミード
Thomas Andrew Knight,トーマス・アンドルー・ナイト
Lionel Jeffries,ライオネル・ジェフリーズ
Donald Tovey,ドナルド・フランシス・トーヴィー
Richard Lyons (racing driver),リチャード・ライアン
Charley Boorman,チャーリー・ブアマン
Steve Soper,スティーブ・ソパー
Stuart Wilson (actor),スチュアート・ウィルソン
George Thorne (footballer),ジョージ・ソーン
Ryan Garry,ライアン・ギャリー
Carl Cort,カール・コート
David Armitage (historian),デイヴィッド・アーミテイジ
Davey Graham,デイヴィ・グレアム
Dave Simmonds,デイブ・シモンズ
Alfred Piccaver,アルフレット・ピッカバー
Dave Greenslade,デイヴ・グリーンスレイド
Wilfrid Edward Francis Jackson,ウィルフリッド・エドワード・フランシス・ジャクソン
John Burnet (classicist),ジョン・バーネット
Robert Stevenson (filmmaker),ロバート・スティーヴンソン・(映画監督)
Ron Geesin,ロン・ギーシン
W. K. C. Guthrie,W・K・C・ガスリー
Seth Johnson,セス・ジョンソン
Ross Antony,ロス・アントニー
William Gemmell Cochran,ウィリアム・ゲメル・コクラン
Nicol Williamson,ニコール・ウィリアムソン
"Paul Robinson (footballer, born December 1978)",ポール・ロビンソン・(1978年12月生のサッカー選手)
Alex McCarthy,アレックス・マッカーシー
Ross Ford,ロス・フォード
Archibald Joyce,アーチボルド・ジョイス
Guthrie Govan,ガスリー・ゴーヴァン
"Ben Watson (footballer, born July 1985)",ベン・ワトソン・(1985年7月生のサッカー選手)
Ron Haslam,ロン・ハスラム
Lady Sarah Chatto,サラ・チャット
Paul Nihill,ポール・ニヒル
Paul Day (musician),ポール・デイ
Eileen Nearne,アイリーン・ニアン
Wayne Barnes,ウェイン・バーンズ
R. C. Sherriff,ロバート・C・シェリフ
James Guthrie (artist),ジェイムズ・ガスリー・(画家)
Leslie Graham,レスリー・グラハム
David Atherton,デイヴィッド・アサートン
Carol Drinkwater,キャロル・ドリンクウォーター
David Button,デイビッド・バットン
David C. H. Austin,デヴィッド・C・H・オースティン
Chad Varah,チャド・ヴァラー
Edmund Blunden,エドマンド・ブランデン
Jamie Staff,ジェミー・スタッフ
Ivor Allchurch,アイヴァー・オールチャーチ
David Morrissey,デビッド・モリシー
Burt Kwouk,バート・クウォーク
Rob Terry,ロブ・テリー
Jamie Baulch,ジェイミー・ボールチ
Lee Evans (comedian),リー・エヴァンス
