梅澤貴史,우메자와 타카시
高島礼子,타카시마 레이코
藤井哲也,후지이 데쓰야
今井雅隆,이마이 마사타카
柊瑠美,히이라기 루미
堀田正盛,마사모리 홋타
大森房吉,오모리 후사키치
二井原実,니이하라 미노루
山本嘉次郎,야마모토 가지로
石井慧,이시이 사토시
佐々木登,사사키 미노루
志村けん,시무라 겐
在原行平,아리와라노 유키히라
倍賞美津子,바이쇼 미츠코
鈴木京香,스즈키 교카
浅田次郎,아사다 지로
木村多江,기무라 다에
本木雅弘,모토키 마사히로
木村良平,기무라 료헤이
鎌苅健太,가마카리 겐타
岩崎貴文,이와사키 다카후미
石井輝男,이시이 데루오
原田知世,하라다 도모요
岸本加世子,기시모토 가요코
岩佐真悠子,이와사 마유코
古歩道ベンジャミン,벤자민 풀포드
一川保夫,이치카와 야스오
林董,하야시 다다스
原田美枝子,하라다 미에코
永作博美,나가사쿠 히로미
山﨑努,야마자키 쓰토무
堤幸彦,쓰쓰미 유키히코
森田芳光,모리타 요시미쓰
吾妻ひでお,아즈마 히데오
児玉清,고다마 기요시
生瀬勝久,나마세 카츠히사
水川あさみ,미즈카와 아사미
尾関優哉,오제키 유야
篠原信一,시노하라 신이치
田中宏和,타나카 히로카즈
渡辺三男,와타나베 미쓰오
名取篤,나토리 아쓰시
森安洋文,모리야스 히로후미
内田裕也,우치다 유야
宮吉拓実,미야요시 다쿠미
細川頼之,호소카와 요리유키
郷本直也,고모토 나오야
清水翔太,시미즈 쇼타
市瀬秀和,이치노세 히데카즈
秋本治,아키모토 오사무
藤原兼家,후지와라노 가네이에
長澤奈央,나가사와 나오
今西和男,이마니시 카주오
高橋康,다카하시 야스시
岡本久敬,오카모토 히사타카
見崎充洋,미사키 미쓰히로
朝倉義景,아사쿠라 요시카게
高山みなみ,타카야마 미나미
北村邦夫,키타무라 쿠니오
河上徹太郎,가와카미 데쓰타로
山口悟,야마구치 사토시
田中真二,타나카 신지
石原裕次郎,이시하라 유지로
星新一,호시 신이치
森山泰行,모리야마 야스유키
平林俊夫,히라바야시 토시오
源義仲,미나모토노 요시나카
山下洋輔,야마시타 요스케
菅原文太,스가와라 분타
黒木為楨,구로키 다메모토
柴門ふみ,사이몬 후미
KAZMA SAKAMOTO,가즈마
大河原邦男,오카와라 구니오
神山健治,카미야마 켄지
ダイスケはん,쓰다 다이스케
花井蘭子,하나이 란코
高村光太郎,다카무라 고타로
日野晃博,히노 아키히로
行德浩二,교토쿠 고지
黒木聖仁,구로기 마사토
越後和男,에치고 카즈오
後藤邑子,고토 유코
岸尾だいすけ,기시오 다이스케
伊藤美紀,이토 미키
湯屋敦子,유야 아쓰코
石井康嗣,이시이 고지
豊永利行,도요나가 도시유키
佐藤大輔,사토 다이스케
直木和,나오키 카주
狩撫麻礼,츠치야 가론
井上真央,이노우에 마오
高橋美佳子,타카하시 미카코
橘慶太,타치바나 캐이타
菊原志郎,키쿠하라 시로
柱谷幸一,하시라타니 코이치
北村栄基,키타무라 에이키
塩屋翼,시오야 요쿠
三浦惺,사토시 미우라
喜多建介,기타 겐스케
森村昂太,모리무라 고타
園田拓也,소노다 다쿠야
佐藤健太郎,사토 겐타로
桒田慎一朗,구와다 신이치로
千住明,센주 아키라
中井貴一,나카이 기이치
五十嵐隼士,이가라시 슌지
南央美,미나미 오미
浅川悠,아사카와 유
岩井俊二,이와이 슌지
野中藍,노나카 아이
本並健治,혼나미 켄지
島田敏,시마다 빈
徳川斉昭,도쿠가와 나리아키
石黒彩,이시구로 아야
三浦泰年,미우라 야스토시
小林ゆう,코바야시 유우
阿部謙作,아베 겐사쿠
林丈統,하야시 다케노리
竹内彬,다케우치 아키라
中山博貴,나카야마 히로키
富沢美智恵,토미자와 미치에
柚木涼香,유즈키 료카
富野由悠季,토미노 요시유키
エレノア・マツウラ,엘리너 마츠라
水沼貴史,미즈누마 다카시
渡辺明乃,와타나베 아케노
中島みゆき,나카지마 미유키
伊丹十三,이타미 주조
相沢恵子,아이자와 케이코
本田将也,혼다 마사야
小川慶治朗,오가와 게이지로
川田まみ,가와다 마미
皆口裕子,미나구치 유코
坂本昌行,사카모토 마사유키
高取ヒデアキ,다카토리 히데아키
國分優香里,코쿠분 유카리
安藤駿介,안도 슌스케
深見梨加,후카미 리카
藤井みほな,후지이 미호나
藤木直人,후지키 나오히토
森岡亮太,모리오카 료타
鶴田道弘,쓰루타 미치히로
新田義貞,닛타 요시사다
平井伸治,히라이 신지
玉藻前,타마모노마에
大本忠輝,오모토 타다테루
山口由里子,야마구치 유리코
篠原恵美,시노하라 에미
空知英秋,소라치 히데아키
新井健二,아라이 켄지
内田智也,우치다 도모야
中谷勇介,나카타니 유스케
岡崎律子,오카자키 리쓰코
高林隆,타카바야시 타카시
佐藤弘明,사토 히로아키
横谷政樹,요코타니 마사키
清雲栄純,키요쿠모 에이준
細谷佳正,호소야 요시마사
小野賢章,오노 켄쇼
中野竹子,나카노 다케코
秦基博,하타 모토히로
八代みなせ,야시로 미나세
豊川悦司,도요카와 에쓰시
内山勝,우치야마 마사루
松木安太郎,마쓰키 야스타로
菊地光将,기쿠치 고스케
武田治郎,타케다 지로
平松大志,히라마쓰 다이시
大野毅,오노 타케시
佐藤長栄,사토 초에이
中村祐也,나카무라 유야
藤田祥史,후지타 요시히토
寺田紳一,데라다 신이치
茂木敏充,모테기 도시미쓰
山本一太,야마모토 이치타
紺野あさ美,곤노 아사미
黒田博樹,구로다 히로키
福留孝介,후쿠도메 고스케
小野篁,오노노 다카무라
村井かずさ,무라이 카즈사
藤嶋昭,후지시마 아키라
綾波レイ,아야나미 레이
日向瞳,휴가 히토미
清水小百合,시미즈 사유리
斉藤明雄,사이토 아키오
津田逸夫,쓰다 이쓰오
北村龍平,기타무라 류헤이
たてかべ和也,타테카베 카즈야
梅田彩佳,우메다 아야카
氷川きよし,히카와 기요시
中島沙樹,나카지마 사키
矢島舞美,야지마 마이미
頭山満,도야마 미쓰루
宇田鋼之介,우다 고노스케
小村壽太郎,고무라 주타로
水野英子,미즈노 히데코
国枝強,쿠니에다 쓰요시
長山洋子,나가야마 요코
森山直太朗,모리야마 나오타로
福山雅治,후쿠야마 마사하루
横山智佐,요코야마 지사
タイナカ彩智,다이나카 사치
崇源院,스겐인
松永碩,마쓰나가 세키
桑原勝義,쿠와하라 카쓰요시
宗義智,소 요시토시
手越祐也,데고시 유야
白鳥由里,시라토리 유리
中村義洋,나카무라 요시히로
坂本將貴,사카모토 마사타카
稲田朋美,이나다 도모미
種田孝一,오이타 코이치
生天目仁美,나바타메 히토미
鈴木千尋,스즈키 치히로
岩田光央,이와타 미쓰오
池端花奈恵,이케하타 가나에
菅原智恵子,스가와라 치에코
飯田蛇笏,이다 다코쓰
増田貴久,마스다 다카히사
斎藤工,사이토 다쿠미
大塚翔平,오쓰카 쇼헤이
清野智秋,세이노 도모아키
北島義生,기타지마 요시오
宮崎光平,미야자키 고헤이
岩屋毅,이와야 다케시
下村博文,시모무라 하쿠분
星原健太,호시하라 겐타
古川毅,후루카와 쓰요시
岩元洋成,이와모토 히로나리
古賀一成,코가 카즈나리
安藤淳,안도 쥰
斉藤大介,사이토 다이스케
古橋達弥,후루하시 다쓰야
金田喜稔,카네다 노부토시
佐藤昌吉,사토 쇼키치
松川友明,마쓰카와 토모아키
古邊芳昇,후루베 요시노리
門脇舞以,카도와키 마이
楳図かずお,우메즈 가즈오
矢口真里,야구치 마리
岡井千聖,오카이 지사토
河西智美,카사이 토모미
茂原岳人,시게하라 다케히토
青嶋文明,아오시마 후미아키
石神直哉,이시가미 나오야
横手美智子,요코테 마치코
源満仲,미나모토노 미쓰나카
首藤剛志,슈도 다케시
椎橋寛,시이바시 히로시
山本貴司,야마모토 다카시
さいとうちほ,사이토 치호
高崎晃,다카사키 아키라
吉水法生,요시미주 노리오
佐々木康治,사사키 코지
尾亦弘友希,오마타 히로유키
上里一将,우에사토 가즈마사
松井謙弥,마쓰이 겐야
福圓美里,후쿠엔 미사토
神谷浩史,카미야 히로시
高田一美,타카다 카주미
渡辺由一,와타나베 요시이치
近江友介,오미 유수케
鴇田正憲,토키타 마사노리
加藤正明,카토 마사아키
魔裟斗,마사토
太田雄貴,오타 유키
毛利輝元,모리 데루모토
瀬戸内寂聴,세토우치 자쿠초
藤本美貴,후지모토 미키
末岡圀孝,수에오카 쿠니타카
金成汗,김성간
宇都宮健児,우쓰노미야 겐지
山崎はるか,야마자키 하루카
興津大三,오키쓰 다이조
阿部文一朗,아베 본이치로
柴村直弥,시바무라 나오야
七瀬葵,나나세 아오이
間島淳司,마지마 준지
竹内結子,다케우치 유코
山口一郎,야마구치 이치로
西岡詩穂,니시오카 시호
横内昭展,요코우치 아키노부
西村弘司,니시무라 고지
林芳正,하야시 요시마사
真田信之,사나다 노부유키
柳生三厳,야규 미쓰요시
土橋正樹,쓰치하시 마사키
上田文人,우에다 후미토
朝比奈隆,아사히나 다카시
永山則夫,나가야마 노리오
天海,덴카이
松たか子,마쓰 다카코
中川郁子,나카가와 유코
玉木宏,다마키 히로시
吉澤ひとみ,요시자와 히토미
中島早貴,나카지마 사키
ゆかな,유카나
秋川雅史,아키카와 마사후미
牧野真二,마키노 신지
冨田晋矢,도미타 신야
川口卓哉,카와구치 타쿠야
篠原涼子,시노하라 료코
木村佳乃,기무라 요시노
辻仁成,쓰지 히토나리
松永久秀,마쓰나가 히사히데
真田アサミ,사나다 아사미
宮本充,미야모토 미츠루
カズ・ハヤシ,가즈 하야시
今井翼,이마이 쓰바사
清滝信宏,기요타키 노부히로
豊田英二,도요다 에이지
横山雄次,요코야마 유지
宇賀神友弥,우가진 도모야
茨田陽生,바라다 아키미
橋本和,하시모토 와타루
杉本健勇,스기토모 켄유
小泉歓晃,고이즈미 요시아키
埜下荘司,노노시타 쇼지
堂森勝利,도모리 카쓰토시
谷山紀章,다니야마 기쇼
有馬暎夫,아리마 하루오
上久雄,카미 히사오
安倍なつみ,아베 나쓰미
亀井郁夫,가메이 이쿠오
生田長江,이쿠타 조코
藤崎義孝,후지사키 요시타카
佐野友昭,사노 토모아키
岩瀬健,이와세 켄
宇喜多秀家,우키타 히데이에
井上麻里奈,이노우에 마리나
竹内実生,다케우치 미오
栗原克志,쿠리하라 카쓰시
浅井長政,아자이 나가마사
こおろぎさとみ,코로오기 사토미
白石稔,시라이시 미노루
二宮寛,니노미야 히로시
加藤信幸,카토 노부유키
水島大宙,미즈시마 타카히로
日野聡,히노 사토시
立木文彦,다치키 후미히코
風間八宏,카자마 야히로
川淵三郎,카와부치 사부로
植木繁晴,우에키 시게하루
田渕龍二,타부치 류지
扇原貴宏,오기하라 다카히로
松丸貞一,마쓰마루 테이이치
松井清隆,마쓰이 키요타카
藤口光紀,후지구치 미쓰노리
堀江忠男,호리에 타다오
入江昭,이리에 아키라
赤﨑勇,아카사키 이사무
諏訪部順一,스와베 준이치
水谷隼,미즈타니 준
相田翔子,아이다 쇼코
小早川隆景,고바야카와 다카카게
南部利直,난부 도시나오
丸山眞男,마루야마 마사오
浅野幸長,아사노 요시나가
碇シンジ,이카리 신지
藤井貴,후지이 다카시
横谷繁,요코타니 시게루
武田洋平,다케다 요헤이
池上遼一,이케가미 료이치
坂井泉水,사카이 이즈미
千葉紗子,치바 사에코
平沢周策,히라사와 슈사쿠
高橋武夫,타카하시 타케오
九条良経,구조 요시쓰네
荷田春満,가다노 아즈마마로
紀里谷和明,키리야 카즈아키
玄田哲章,겐다 텟쇼
深山静夫,미야마 시주오
藤本主税,후지모토 치카라
義堂周信,기도 슈신
奥山恵美子,오쿠야마 에미코
中森明菜,나카모리 아키나
松田翔太,마쓰다 쇼타
新谷良子,신타니 료코
竹内まりや,다케우치 마리야
加茂正五,카모 쇼고
藤島信雄,후지시마 노부오
石川梨華,이시카와 리카
堤真一,쓰쓰미 신이치
春山泰雄,하루야마 야수오
浅岡朝泰,아사오카 토모야스
伊原剛志,이하라 쓰요시
落合弘,오치아이 히로시
杉村正二郎,수기무라 쇼지로
伊瀬茉莉也,이세 마리야
出雲阿国,이즈모노 오쿠니
井伊直政,이이 나오마사
上地雄輔,가미지 유스케
三好絵梨香,미요시 에리카
浪川大輔,나미카와 다이스케
岡田唯,오카다 유이
柴田あゆみ,시바타 아유미
島津斉彬,시마즈 나리아키라
畑健二郎,하타 켄지로
仲間由紀恵,나카마 유키에
鈴木愛理,스즈키 아이리
彌永昌吉,이야나가 쇼키치
相原信行,아이하라 노부유키
坂本修一,사카모토 슈이치
原正文,하라 마사후미
山田勝彦,야마다 가쓰히코
神坂一,칸자카 하지메
内藤泰弘,나이토 야스히로
石破茂,이시바 시게루
村田蓮爾,무라타 렌지
寂蓮,자쿠렌
本村碧唯,모토무라 아오이
茂木弘人,모기 히로토
飯富虎昌,오부 도라마사
宮川彬良,미야가와 아키라
松原仁,마쓰바라 진
北野貴之,기타노 다카시
黒河貴矢,구로카와 다카야
若林竹雄,와카바야시 타케오
園部勉,소노베 쓰토무
西邑昌一,니시무라 쇼이치
神西清,진자이 기요시
津田孝,쓰다 다카시
大仁邦彌,다이니 쿠니야
林健太郎,하야시 켄타로
右近徳太郎,우콘 토쿠타로
野間清治,노마 세이지
宝井其角,다카라이 기카쿠
石田波郷,이시다 하쿄
石井漠,이시이 바쿠
木村和司,키무라 카즈시
高岡蒼佑,다카오카 소스케
遠藤雄弥,엔도 유야
竜星涼,류세이 료
中田喜直,나카다 요시나오
前川和也,마에카와 카즈야
竹内悌三,타케우치 테이조
後藤靱雄,고토 유키오
加藤久,카토 히사시
高台院,고다이인
千姫,센히메
梅津和時,우메즈 카즈토키
戸田茂睡,도다 모스이
たかはし智秋,타카하시 치아키
一木清直,이치키 기요나오
鈴木省吾,스즈키 쇼고
湯山邦彦,유야마 쿠니히코
吉田光範,요시다 미쓰노리
斎藤才三,사이토 사이조
岩谷俊夫,이와타니 토시오
高木礼子,타카기 레이코
窪塚洋介,구보즈카 요스케
川端龍子,가와바타 류시
下村観山,시모무라 간잔
斎藤隆夫,사이토 다카오
有澤孝紀,아리사와 다카노리
成海璃子,나루미 리코
池田司信,이케다 시노부
寺尾悟,데라오 사토루
長田重一,나가타 시게카즈
永井隆,나가이 다카시
鶴田義行,쓰루타 요시유키
船越優蔵,후나코시 유조
福嶋晃子,후쿠시마 아키코
山根巌,야마네 이와오
手島志郎,테시마 시로
本田長康,혼다 나가야수
松田優作,마쓰다 유사쿠
岡本信彦,오카모토 노부히코
山本泰一郎,야마모토 야스이치로
曽禰好忠,소네노 요시타다
山内積良,야마우치 세키료
須藤元気,스도 겐키
内博貴,우치 히로키
三浦春馬,미우라 하루마
てらそままさき,테라소마 마사키
堀川りょう,호리카와 료
前田愛,마에다 아이
宇垣一成,우가키 가즈시게
宇垣纏,우가키 마토메
高橋栄,타카하시 사카에
瀬田龍彦,세타 타쓰히코
玉の海正洋,다마노우미 마사히로
伴都美子,반 토미코
栗原圭介,구리하라 게이스케
横山知伸,요코야마 도모노부
土岐田洸平,도키타 고헤이
菅又哲男,스가마타 테쓰오
平川弘,히라카와 히로시
德永英明,도쿠나가 히데아키
伊藤英明,이토 히데아키
岩隈久志,이와쿠마 히사시
YUKI,YUKI
岸奥裕二,키시오쿠 유지
木下杢太郎,기노시타 모쿠타로
小橋建太,고바시 겐타
近藤隆,곤도 다카시
源為朝,미나모토노 다메토모
海老沼匡,에비누마 마사시
阪倉裕二,사카쿠라 유지
太田吉彰,오타 요시아키
平田広明,히라타 히로아키
小宮有紗,코미야 아리사
重松良典,시게마쓰 요시노리
鈴木みのる,스즈키 미노루
佐藤俊二,사토 슌지
高橋隆篤,다카하시 다카아쓰
戸塚洋二,도쓰카 요지
池辺晋一郎,이케베 신이치로
磯﨑憲一郎,이소자키 겐이치로
山本悌二郎,야마모토 데이지로
曽田雄志,소다 유시
香椎由宇,가시이 유
真田昌幸,사나다 마사유키
あおきさやか,아오키 사야카
妻夫木聡,쓰마부키 사토시
本郷奏多,혼고 가나타
大嶽直人,오타케 나오토
池内友次郎,이케노치 도모지로
佐藤亜美菜,사토 아미나
阿部力,아베 쓰요시
倉持明日香,구라모치 아스카
大竹洋平,오타케 요헤이
廣瀬智靖,히로세 도모야스
市川雅彦,이치카와 마사히코
永田鉄男,나가타 데쓰오
木村カエラ,기무라 카에라
鈴木杏,스즈키 안
小池徹平,고이케 뎃페이
賀茂真淵,가모노 마부치
長瀬智也,나가세 도모야
多部未華子,다베 미카코
棚田伸,타나다 신
藏川洋平,구라카와 요헤이
細川忠興,호소카와 다다오키
城島健司,조지마 겐지
本部朝基,모토부 조키
谷川浩司,타니가와 코지
渡辺美佐,와타나베 미사
工藤壮人,구도 마사토
山田孝之,야마다 다카유키
ラマーズP,라마즈P
安倍晴明,아베노 세이메이
久保亘,구보 와타루
山下治広,야마시타 하루히로
野中郁次郎,노나카 이쿠지로
味里,미사토
中村忠,나카무라 타다시
小原章吾,고바라 쇼고
塩谷伸介,시오타니 신스케
梶野智,카지노 사토시
渡部大輔,와타베 다이스케
井上雄幾,이노우에 유키
石井秀典,이시이 히데노리
中村太亮,나카무라 다이스케
三門雄大,미카도 유타
青柳徹,아오야나기 도루
内藤昌豊,나이토 마사토요
山口芳忠,야마구치 요시타다
三ツ矢雄二,미츠야 유지
新井里美,아라이 사토미
登里享平,노보리자토 쿄헤이
笹川陽平,사사카와 요헤이
橋本欣五郎,하시모토 긴고로
岡野雅行,오카노 마사유키
関浩二,세키 코지
南雄太,미나미 유타
田畑輝樹,타바타 테루키
河村隆一,가와무라 류이치
木暮郁哉,고구레 후미야
椋原健太,무쿠하라 겐타
滝澤邦彦,다키자와 구니히코
田澤純一,다자와 준이치
田中公平,다나카 고헤이
佐藤直紀,사토 나오키
遊佐浩二,유사 코지
湯元進一,유모토 신이치
中尾隆聖,나카오 류세이
松永太,마쓰나가 후토시
前田利益,마에다 도시마스
武藤信義,무토 노부요시
藤春廣輝,후지하루 히로키
市橋時蔵,이치하시 토키조
悠木碧,유키 아오이
八木秀次,야기 히데쓰구
麻生久美子,아소 구미코
古賀稔彦,고가 도시히코
松本孝弘,마츠모토 타카히로
古屋圭司,후루야 게지
高市早苗,다카이치 사나에
貝原益軒,"카이바라, 에키켄,"
赤根和樹,아카네 가즈키
名越稔洋,나고시 토시히로
平田篤胤,히라타 아쓰타네
唐十郎,가라 주로
山本寛,야마모토 유타카
三宅観瀾,미야케 간란
小笠原長生,오가사와라 나가나리
佐藤寿治,사토 도시하루
大黒屋光太夫,다이코쿠야 고다유
浅田舞,아사다 마이
小沢昭一,오자와 쇼이치
TARAKO,TARAKO
近藤淳,곤도 준
八奈見乗児,야나미 조지
堂本光一,도모토 고이치
小川誠一,오가와 세이이치
里田まい,사토다 마이
竹本正男,다케모토 마사오
玉乃淳,다마노 쥰
有村光史,아리무라 고지
海本慶治,가이모토 겐지
澤登正朗,사와노보리 마사아키
平瀬智行,히라세 도모유키
小野恵令奈,오노 에레나
金田和也,가네다 가즈야
前田憂佳,마에다 유우카
下川凹天,시모카와 오텐
田村直也,다무라 나오야
田口光久,타구치 미쓰히사
北条氏綱,호조 우지쓰나
直江兼続,나오에 가네쓰구
津田青楓,쓰다 세이후
石塚運昇,이시즈카 운쇼
金丸淳一,가네마루 준이치
勝矢寿延,카쓰야 토시노부
武宮正樹,다케미야 마사키
大川七瀬,오카와 나나세
菊池彩花,기쿠치 아야카
川上貞奴,가와카미 사다얏코
飯島澄男,이지마 스미오
武田信繁,다케다 노부시게
渡邊守章,와타나베 모리아키
野田燎,노다 료
福原黎三,후쿠하라 레이조
藤原忠通,후지와라노 다다미치
北条時頼,호조 도키요리
佳子内親王,아키시노노미야 가코
蒼樹うめ,아오키 우메
杉山紀彰,스기야마 노리아키
泉政伸,이주미 마사노부
佐藤久佳,사토 히사요시
井上康生,이노우에 고세이
和田彩花,와다 아야카
江川央生,에가와 히사오
真殿益蔵,마도노 마수조
大榎克己,오에노키 카쓰미
永井良和,나가이 요시카주
生田斗真,이쿠타 토마
岩瀬仁紀,이와세 히토키
布施明,후세 아키라
倉田安治,쿠라타 야스하루
下田崇,시모다 다카시
森久保祥太郎,모리쿠보 쇼타로
西紀寛,니시 노리히로
内田利広,우치다 토시히로
古川昌明,후루카와 마사아키
Salyu,Salyu
岩渕聡,이와부치 사토시
速水奨,하야미 쇼
大木喬任,오키 다카토
木藤亜也,키토 아야
日野重文,히노 시게후미
尾崎行雄,오자키 유키오
早見沙織,하야미 사오리
彩菜,아야나
池広一夫,이케히로 가즈오
安国寺恵瓊,안코쿠지 에케이
来島通総,구루시마 미치후사
河井継之助,카와이 츠기노스케
仮名垣魯文,가나가키 로분
三宅ひとみ,미야케 히토미
渡辺広大,와타나베 고다이
花江夏樹,하나에 나츠키
池田勇太,이케다 유타
大柴健二,오시바 켄지
伊藤翔,이토 쇼
山岸秀匡,야마기시 히데타다
森雅之,모리 마사유키 (배우)
かわぐちかいじ,가와구치 가이지
金鶴泳,김학영
佐々木望,사사키 노조무
丸山茂樹,마루야마 시게키
白土三平,시라토 산페이
山名宗全,야마나 소젠
天野正道,아마노 마사미치
堀江美都子,호리에 미츠코
木内秀信,기우치 히데노부
板垣信方,이타가키 노부카타
Tony,토니
藤原定方,후지와라노 사다카타
明石康,아카시 야스시
高橋瞳,다카하시 히토미
吉田弘,요시다 히로시
川尻善昭,가와지리 요시아키
佐藤聡美,사토 사토미
城田優,시로타 유
宮田幸季,미야타 코우키
谷原章介,다니하라 쇼스케
西森博之,니시모리 히로유키
樋口橘,히구치 다치바나
伊藤裕之,이토 히로유키
菊田裕樹,키쿠타 히로키
石井浩一,이시이 코이치
豊田貞次郎,도요다 데이지로
羽多野渉,하타노 와타루
渡辺直人,와타나베 나오토
織田信秀,오다 노부히데
立浪和義,다쓰나미 가즈요시
恩田祐一,온다 유이치
藤原紀香,후지와라 노리카
土井美加,도이 미카
柏尾誠一郎,가시오 세이이치로
八神庵,야가미 이오리
坂下博之,사카시타 히로유키
高原郁夫,타카하라 이쿠오
竹中直人,다케나카 나오토
錦戸亮,니시키도 료
小沢通宏,오자와 미치히로
二村昭雄,니무라 테루오
阿部敏之,아베 도시유키
川本克彦,가와모토 가쓰히코
克・亜樹,가쓰 아키
広瀬勝貞,히로세 가쓰사다
平兼盛,다이라노 가네모리
藤原敦忠,후지와라노 아쓰타다
坂井秀至,사카이 히데유키
佐田の山晋松,사다노야마 신마쓰
上田竜也,우에다 다쓰야
山南敬助,야마나미 케이스케
ken,ken
片山晋呉,가타야마 신고
舎人親王,도네리 친왕
田中美南,다나카 미나
清水佐紀,시미즈 사키
宮迫博之,미야사코 히로유키
中山優馬,나카야마 유마
尾高惇忠,오타카 아쓰타다
柏戸剛,가시와도 쓰요시
桂宮宜仁親王,가쓰라노미야 요시히토
清水金二郎,시미주 킨지로
小松姫,코마츠히메
山口誓子,야마구치 세이시
山口青邨,야마구치 세이손
吉原由香里,요시하라 유카리
本田泰人,혼다 야스토
西東三鬼,사이토 산키
カトキハジメ,카토키 하지메
釈由美子,샤쿠 유미코
沢田研二,사와다 겐지
平野孝,히라노 다카시
西宮伸一,니시미야 신이치
國府田マリ子,코우다 마리코
サージ,서지
高木琢也,다카기 다쿠야
佐藤すみれ,사토 스미레
野村靖,노무라 야스시
会田誠,아이다 마코토
坂上是則,사카노우에노 고레노리
壬生忠見,미부노 다다미
藤原朝忠,후지와라노 아사타다
千葉和彦,지바 가즈히코
藤原師実,후지와라노 모로자네
大木民夫,오오키 타미오
青木功,아오키 이사오
斉藤由貴,사이토 유키
山下達郎,야마시타 다쓰로
松平健,마쓰다이라 켄
森カンナ,모리 간나
平田裕香,히라타 유카
内田一二四,우치다 히후요
石田徹也,이시다 데쓰야
ZAQ,ZAQ
西島秀俊,니시지마 히데토시
瀬古利彦,세코 도시히코
Kaya,Kaya
柱谷哲二,데쓰지 하시라타니
伊藤直司,이토 나오지
今藤幸治,콘도 코지
宮崎歩,미야자키 아유미
長谷川アーリアジャスール,하세가와 아리아 자스루
野比のび太,노진구
武藤雄樹,무토 유키
松村亮,마쓰무라 료
藤原義江,후지와라 가극단
谷正之,다니 마사유키
高森泰男,타카모리 야수오
佐藤春夫,사토 하루오
安達景盛,아다치 가게모리
森成利,모리 나리토시
安元洋貴,야스모토 히로키
中村雅俊,나카무라 마사토시
佐々木譲,사사키 조
幾原邦彦,이쿠하라 구니히코
遠藤綾,엔도 아야
梶裕貴,가지 유키
白鳥英美子,시라토리 에미코
船本幸路,후나모토 코지
柳瀬正夢,야나세 마사무
関口久雄,세키구치 히사오
西村昭宏,니시무라 아키히로
村上和雄,무라카미 가즈오
風魔小太郎,후마 코타로
吉松隆,요시마쓰 다카시
堀江謙一,호리에 겐이치
調所広郷,즈쇼 히로사토
松平忠昌,마쓰다이라 다다마사
上田正治,우에다 마사하루
片山義美,가타야마 요시미
村川梨衣,무라카와 리에
松本利夫,MATSU
TAKAHIRO,TAKAHIRO
小山内佳彦,오사나이 요시히코
草薙京,쿠사나기 쿄
橋本麗香,하시모토 레이카
林家志弦,하야시야 시즈루
鈴木勝吾,스즈키 쇼고
中村知世,나카무라 치세
原博実,하라 히로미
山田暢久,야마다 노부히사
佐々木健介,사사키 겐스케
大嶋和也,오시마 가즈야
大前茜,오마에 아카네
海田明里,카다 아카리
明戸和巳,아케도 가즈미
大田朱美,오타 아케미
椎名あゆみ,시이나 아유미
さいねい龍二,사이네이 류지
多田愛佳,오타 아이카
加藤正夫,가토 마사오
藤原頼通,후지와라노 요리미치
モンキー・パンチ,몽키 펀치
戸田恵子,토다 케이코
西村朗,니시무라 아키라
古原靖久,후루하라 야스히사
加藤光雄,카토 미쓰오
生駒友彦,이코마 토모히코
奥寺佐渡子,오쿠데라 사토코
横山正文,요코야마 마사후미
佐藤満,사토 미쓰루
渥美清,아쓰미 기요시
青地清二,아오치 세이지
小早川秀秋,고바야카와 히데아키
桝本頼兼,마스모토 요리카네
北斗晶,호쿠토 아키라
松本寛也,마츠모토 히로야
葵みのり,아오이 미노리
別府あゆみ,벳푸 아유미
生稲晃子,이쿠이나 아키코
伊藤彰,이토 아키라
森和俊,모리 가즈토시
藤村歩,후지무라 아유미
緒形拳,오가타 겐
飯田圭織,이이다 가오리
中谷雄英,나카타니 다케히데
冨田尚弥,도미타 나오야
糟屋武則,가스야 다케노리
安達利昌,아다치 도시마사
米倉よし子,요네쿠라 요시코
南波杏,난바 안
青木喜久代,아오키 기쿠요
鳴瀬喜博,나루세 요시히로
秋山光和,아키야마 테루카즈
木村公宣,기무라 기미노부
雷陣明,라이진 아키라
戸澤陽,토자와 아키라
羽田健太郎,하네다 겐타로
皆川賢太郎,미나가와 겐타로
高橋健一,다카하시 겐이치
塚本高史,쓰카모토 다카시
小川麻琴,오가와 마코토
桜井和寿,사쿠라이 가즈토시
保田圭,야스다 게이
川島和津実,가와시마 아즈미
佐原秀樹,사하라 히데키
甲斐麻美,카이 아사미
小城得達,오기 아리타쓰
加藤嘉明,가토 요시아키
斎賀みつき,사이가 미츠키
伊藤健太郎,이토 겐타로
篠島秀雄,시노지마 히데오
竹中正久,다케나카 마사히사
豪鬼,아쿠마
田中雅美,다나카 마사미
いとうのいぢ,이토 노이지
中田譲治,나카타 죠지
鳥海浩輔,도리우미 고스케
佐藤利奈,사토 리나
藤原啓治,후지와라 게이지
Miz,Miz
有地品之允,아리치 시나노조
在原元方,아리와라노 모토카타
百々麻子,도도 아사코
戸高一生,도타카 가즈미
かかずゆみ,카카즈 유미
塚田真希,츠카다 마키
安部智凛,아베 도모리
成瀬巳喜男,나루세 미키오
真田幸隆,사나다 유키타카
石村舞波,이시무라 마이하
秋山次郎,아키야마 지로
山内重保,야마우치 시게야스
内藤哲也,나이토 데쓰야
石川知裕,이시카와 도모히로
尚泰王,쇼타이왕
