"Фоменко, Анатолий Тимофеевич",阿纳托利·季莫费耶维奇·福缅科
"Ивашов, Владимир Сергеевич",弗拉基米尔·谢尔盖耶维奇·伊瓦绍夫
"Дюмин, Алексей Геннадьевич",阿列克谢·久明
"Гаврилов, Сергей Анатольевич",谢尔盖·阿纳托利耶维奇·加夫里洛夫
DJ Smash,DJ·Smash
"Бойко, Светлана Анатольевна",斯韦特兰娜·博伊科
"Сэвилл, Дарья",达里娅·萨维尔
Аран Хакутора,阿覽歐虎
"Гагарина, Полина Сергеевна",波琳娜·加加林娜
"Гаганова, Валентина Ивановна",瓦莲京娜·加甘诺娃
"Бетова, Маргарита Меликовна",玛加丽塔·贝托娃
"Галиев, Шаукат Галиевич",蕭卡特·加列耶夫
"Газманов, Олег Михайлович",奧列格·加兹馬諾夫
"Харитонов, Николай Михайлович",尼古拉·哈里托诺夫
"Галенович, Юрий Михайлович",尤里·加列诺维奇
"Гаккель, Всеволод Яковлевич",弗谢沃洛德·加克尔
"Козловский, Данила Валерьевич",丹尼拉·科茲洛夫思基
"Бзаров, Руслан Сулейманович",魯斯蘭·蘇萊曼諾維奇·巴扎羅夫
"Путинцева, Юлия Антоновна",尤利婭·普丁塞瓦
"Яковлев, Геннадий Павлович",根纳季·帕夫洛维奇·雅科夫列夫
"Дубов, Даниил Дмитриевич",丹尼爾·杜博夫
"Коршунов, Владислав Сергеевич",弗拉迪斯拉夫·卡爾索諾夫
"Гамба, Эцио",埃齐奥·甘巴
"Ельцина, Наина Иосифовна",奈娜·叶利钦娜
"Кудинов, Василий Александрович",瓦西里·庫季諾夫
"Геворгян, Кирилл Горациевич",基里爾·格沃吉安
"Бичуков, Анатолий Андреевич",阿纳托利·比丘科夫
"Грешневиков, Анатолий Николаевич",阿纳托利·格列什涅维科夫
"Богомолов, Олег Тимофеевич",奥列格·波戈莫洛夫
"Григорьев, Анатолий Иванович (физиолог)",阿纳托利·格里戈里耶夫
"Гартунг, Валерий Карлович",瓦列里·哈通
"Гасанов, Джамаладин Набиевич",贾迈勒丁·哈桑诺夫
"Васильев, Валерий Витальевич",瓦列里·维塔利耶维奇·瓦西里耶夫
"Васильев, Владимир Абдуалиевич",弗拉基米尔·阿卜杜阿里耶维奇·瓦西里耶夫
"Варданян, Рубен Карленович",鲁本·瓦尔达尼扬
"Граф, Ольга Борисовна",奥莉加·格拉夫
"Бармин, Владимир Павлович",弗拉基米尔·巴尔明
"Бирюкова, Александра Павловна",亚历山德拉·比留科娃
"Герман, Алексей Алексеевич",小阿爾克謝·蓋爾曼
"Блохин, Николай Дмитриевич",尼古拉·布洛欣
"Гиренок, Фёдор Иванович",费奥多尔·伊万诺维奇·吉列诺克
"Варшалович, Дмитрий Александрович",德米特里·瓦尔沙洛维奇
"Гильмутдинов, Ильдар Ирекович",伊利达尔·吉利穆季诺夫
"Борисов, Александр Александрович (политик)",亚历山大·亚历山德罗维奇·鲍里索夫
"Богданов, Владимир Леонидович",弗拉基米爾·波格丹諾夫
"Ведерников, Александр Филиппович",亞歷山大·菲利波維奇·韋傑爾尼科夫
"Глушенко, Евгения Константиновна",叶夫根尼娅·格卢申科
"Драчевский, Леонид Вадимович",列昂尼德·德拉切夫斯基
"Драпеко, Елена Григорьевна",叶连娜·德拉佩科
"Варнава, Екатерина Владимировна",叶卡捷琳娜·瓦尔纳瓦
"Васильев, Станислав Николаевич",斯坦尼斯拉夫·尼古拉耶维奇·瓦西里耶夫
"Васильев, Николай Иванович (политик)",尼古拉·伊万诺维奇·瓦西里耶夫
"Бондарев, Виктор Николаевич",维克托·邦达列夫
"Васильев, Анатолий Ильич",阿纳托利·瓦西里耶夫
"Васильев, Алексей Михайлович (учёный)",阿列克谢·米哈伊洛维奇·瓦西里耶夫
"Борисов, Вениамин Иванович",韋尼阿明·伊萬諾維奇·鮑里索夫
"Доренко, Сергей Леонидович",謝爾蓋·多連科
"Васильев, Юрий Сергеевич (гидротехник)",尤里·瓦西里耶夫
"Говорун, Олег Маркович",奥列格·戈沃伦
"Голубев, Александр Титович",亚历山大·戈卢别夫
"Голубев, Василий Юрьевич",瓦西里·尤里耶維奇·戈盧別夫
"Гуницкий, Анатолий Августович",阿纳托利·古尼茨基
"Величко, Владимир Макарович",弗拉基米尔·韦利奇科
"Велихов, Евгений Павлович (физик)",叶夫根尼·韦利霍夫
"Веллер, Алексей Борисович",阿列克谢·韦勒
"Голованов, Олег Сергеевич",奥列格·戈洛瓦诺夫
"Глебов, Пётр Петрович",彼得·彼得罗维奇·格列博夫
"Гуляев, Владимир Леонидович",弗拉基米尔·古利亚耶夫
"Гусев, Владимир Кузьмич",弗拉基米尔·古谢夫
"Дубинин, Николай Петрович",尼古拉·杜比宁
"Дымшиц, Вениамин Эммануилович",维尼亚明·德姆什茨
"Дыбо, Анна Владимировна",安娜·德博
"Дудка, Вячеслав Дмитриевич",维亚切斯拉夫·杜德卡
"Горбунов, Геннадий Александрович",根纳季·戈尔布诺夫
"Гочияев, Ачимез Шагабанович",阿切梅兹·戈奇亚耶夫
"Горячкина, Александра Юрьевна",亚历山德拉·戈里亚奇金娜
"Дегтярёва, Тамара Васильевна",塔玛拉·捷格佳廖娃
"Дедов, Иван Иванович",伊万·杰多夫
"Дегтярёв, Михаил Владимирович",米哈伊尔·杰格佳廖夫
"Ермаков, Виктор Фёдорович",维克托·叶尔马科夫
"Борисова, Юлия Константиновна",尤利娅·康斯坦丁诺夫娜·鲍里索娃
"Боровик, Артём Генрихович",阿尔乔姆·博罗维克
"Захариков, Александр Михайлович",亚历山大·扎哈里科夫
"Дейнекин, Пётр Степанович",彼得·杰伊涅金
"Дёмушкин, Дмитрий Николаевич",德米特里·杰姆什金
"Горб, Татьяна Владимировна",塔季扬娜·戈尔布
"Вербицкая, Людмила Алексеевна",柳德米拉·韦尔比茨卡娅
"Веремеенко, Сергей Алексеевич",谢尔盖·韦列梅延科
"Ботян, Алексей Николаевич",阿列克谢·博强
"Денисов, Андрей Иванович (дипломат)",安德烈·伊万诺维奇·杰尼索夫
"Виноградов, Владимир Викторович (банкир)",弗拉基米尔·维克托罗维奇·维诺格拉多夫
"Калашников, Вячеслав Андреевич",維亞切斯拉夫·卡拉什尼科夫
"Нигматуллина, Ульяна Николаевна",烏利亞娜·尼格馬圖林娜
"Калашников, Леонид Иванович (политик)",列昂尼德·卡拉什尼科夫
"Егоров, Николай Дмитриевич",尼古拉·德米特里耶维奇·叶戈罗夫
"Егоров, Владимир Григорьевич",弗拉基米尔·叶戈罗夫
"Захаров, Руслан Альбертович",魯斯蘭·扎哈羅夫
"Золотов, Виктор Васильевич",维克托·佐洛托夫
"Жданов, Юрий Андреевич",尤里·日丹诺夫
"Золотова, Галина Александровна",加林娜·佐洛托娃
Жасмин (певица),茉莉·(歌手)
"Дворников, Александр Владимирович",亚历山大·德沃尔尼科夫
"Замятин, Леонид Митрофанович",列昂尼德·扎米亚京
"Езерский, Николай Николаевич (политик)",尼古拉·叶泽尔斯基
"Дербунов, Виктор Иванович",域陀·德普洛夫
"Дерябкин, Виктор Ефимович",维克托·杰里亚布金
"Джугашвили, Евгений Яковлевич",叶夫根尼·朱加什维利
"Дмитриев, Олег Михайлович",奥列格·米哈伊洛维奇·德米特里耶夫
"Дмитриев, Иван Петрович",伊万·德米特里耶夫
"Делягин, Михаил Геннадьевич",米哈伊尔·杰利亚金
"Власов, Валентин Викторович",瓦连京·维克托罗维奇·弗拉索夫
"Власов, Александр Владимирович",亚历山大·弗拉索夫
"Власов, Валентин Степанович",瓦连京·斯捷潘诺维奇·弗拉索夫
"Водолацкий, Виктор Петрович",维克托·沃多拉茨基
"Капитонов, Иван Васильевич",伊万·卡皮托诺夫
"Волков, Леонид Михайлович (политик)",列昂尼德·沃尔科夫
"Добрецов, Николай Леонтьевич",尼古拉·列昂季耶维奇·多布列佐夫
"Лаленкова, Евгения Михайловна",叶夫根尼娅·拉连科娃
"Завальный, Павел Николаевич",帕维尔·扎瓦利内
"Зорич, Владимир Антонович",弗拉基米尔·安东诺维奇·卓里奇
"Капто, Александр Семёнович",亚历山大·卡普托
Иван Константинович (князь оболенский),伊凡·康斯坦丁诺维奇·奥博连斯基
"Волошин, Александр Стальевич",亚历山大·沃洛申
"Волчек, Галина Борисовна",加林娜·沃尔切克
"Вольский, Аркадий Иванович",阿尔卡季·沃尔斯基
"Догужиев, Виталий Хуссейнович",维塔利·多古日耶夫
"Жукова, Дарья Александровна",達莎·朱可娃
"Журавлёв, Алексей Александрович",阿列克谢·茹拉夫廖夫
"Карцев, Роман Андреевич",羅曼·安德烈耶維奇·卡爾采夫
"Воловченко, Иван Платонович",伊万·沃洛夫琴科
"Волож, Аркадий Юрьевич",阿爾卡季·沃洛日
"Дианов, Евгений Михайлович",叶夫根尼·季阿诺夫
"Воробьёв, Андрей Иванович",安德烈·伊万诺维奇·沃罗比约夫
"Воробьёв, Вячеслав Михайлович (учёный)",维亚切斯拉夫·米哈伊洛维奇·沃罗比夫
"Козлов, Михаил Михайлович (военный)",米哈伊尔·科兹洛夫
"Иванов, Николай Николаевич (политик)",尼古拉·尼古拉耶维奇·伊万诺夫·(政治人物)
"Зюзин, Игорь Владимирович",伊戈尔·弗拉基米罗维奇·久津
"Кропачев, Николай Михайлович",尼古拉·米哈伊洛维奇·克罗帕切夫
"Козлов, Александр Петрович",亚历山大·科兹洛夫
"Карасёв, Сергей Геннадьевич",謝爾蓋·卡拉肖夫·(裁判)
"Зубов, Андрей Борисович",安德雷·祖博夫
"Козловский, Евгений Александрович",叶夫根尼·科兹洛夫斯基
"Кашлев, Юрий Борисович",尤里·卡什列夫
"Кашин, Владимир Иванович",弗拉基米尔·卡申
"Зайнуллин, Габдулзямиль Габдулхакович",扎米尔·扎伊努林
"Воронин, Александр Никифорович",亚历山大·沃罗宁
"Долуханова, Зара Александровна",扎拉·多魯哈諾娃
"Игнатьев, Михаил Васильевич",米哈伊尔·瓦西里耶维奇·伊格纳季耶夫
"Игошин, Игорь Николаевич",伊戈尔·伊戈申
"Карпинский, Лен Вячеславович",列恩·维亚切斯拉夫维奇·卡尔宾斯基
"Литовская, Мария Аркадьевна",玛丽亚·阿尔卡季耶夫娜·利托夫斯卡娅
"Лихачёв, Виталий Викторович",维塔利·利哈乔夫
"Крюков, Василий Михайлович",劉華夏
"Качкаев, Павел Рюрикович",帕维尔·卡奇卡耶夫
"Комоцкий, Борис Олегович",鲍里斯·科莫茨基
"Кузьмин, Иосиф Иосифович",约瑟夫·库兹明
"Коломейцев, Николай Васильевич",尼古拉·瓦西里耶维奇·科洛梅伊采夫
"Кокошин, Андрей Афанасьевич",安德烈·科科申
"Лосик, Олег Александрович",奥列格·洛西克
"Лунин, Валерий Васильевич",瓦列里·瓦西里耶维奇·卢宁
"Лукьянов, Анатолий Евгеньевич",阿纳托利·叶夫根尼耶维奇·卢基扬诺夫
"Луньков, Николай Митрофанович",尼古拉·卢尼科夫
"Кузнецов, Юрий Викторович",尤里·库兹涅佐夫
"Кавагоэ, Сергей Сирович",谢尔盖·川越
"Кобылкин, Дмитрий Николаевич",德米特里·科贝尔金
"Купляков, Юрий Викторович",尤里·库普利亚科夫
"Лобов, Владимир Николаевич",弗拉基米尔·洛博夫
"Исаев, Андрей Константинович",安德烈·伊萨耶夫
"Шеварднадзе, Софико Паатовна",索菲柯·谢瓦尔德纳泽
"Клинских, Юрий Николаевич",尤里·尼古拉耶维奇·克林斯基赫
"Хлебников, Борис Игоревич",鲍里斯·赫列布尼科夫
"Константинов, Владимир Андреевич",弗拉基米爾·安德烈耶維奇·康斯坦丁諾夫
"Ковальчук, Юрий Валентинович",尤里·科瓦利丘克
"Конюхова, Татьяна Георгиевна",塔季扬娜·科纽霍娃
"Копнина, Татьяна Владимировна",塔季扬娜·科普宁娜
"Курбанов, Ризван Даниялович",里兹万·库尔班诺夫
"Лядова, Людмила Алексеевна",柳德米拉·利亚多娃
"Миронов, Борис Николаевич",鲍里斯·尼古拉耶维奇·米罗诺夫
"Майданов, Денис Васильевич",丹尼斯·迈达诺夫
"Миронов, Владимир Васильевич",弗拉基米尔·瓦西里耶维奇·米罗诺夫
"Кормилов, Сергей Иванович",谢尔盖·伊万诺维奇·科尔米洛夫
"Корниенко, Алексей Викторович",阿列克谢·维克托罗维奇·科尔尼延科
"Коротич, Виталий Алексеевич",维塔利·科罗季奇
"Ковалёв, Олег Иванович",奥列格·伊万诺维奇·科瓦廖夫
"Макарихин, Игорь Юрьевич",伊戈尔·尤里耶维奇·马卡里欣
"Макаров, Андрей Михайлович",安德烈·米哈伊洛维奇·马卡罗夫
"Макаров, Игорь Викторович (бизнесмен)",伊戈爾·維克托羅維奇·馬卡羅夫
"Макаров, Вячеслав Серафимович",维亚切斯拉夫·马卡罗夫
"Михайлов, Вячеслав Саввич",维亚切斯拉夫·萨维奇·米哈伊洛夫
"Михайлов, Александр Николаевич (политик)",亚历山大·尼古拉耶维奇·米哈伊洛夫
"Никонов, Вячеслав Алексеевич",维亚切斯拉夫·尼科诺夫
"Никонов, Виктор Петрович",维克托·尼科诺夫
"Мисник, Борис Григорьевич",鲍里斯·米斯尼克
"Митрофанов, Алексей Валентинович",阿列克謝·米特羅法諾夫
"Корнуков, Анатолий Михайлович",阿納托利·科爾努科夫
"Костечко, Николай Николаевич",尼古拉·科斯捷奇科
"Косолапов, Ричард Иванович",理查德·科索拉波夫
"Косминский, Евгений Алексеевич",叶夫根尼·科斯明斯基
"Коткин, Сергей Николаевич",谢尔盖·科特金
"Марданшин, Рафаэль Мирхатимович",拉斐尔·马尔丹申
"Макаровец, Николай Александрович",尼古拉·马卡罗维茨
"Нилов, Олег Анатольевич",奥列格·尼洛夫
"Нилов, Ярослав Евгеньевич",雅罗斯拉夫·尼洛夫
"Лавёров, Николай Павлович",尼古拉·拉维奥罗夫
"Кычанов, Евгений Иванович",葉夫根尼·克恰諾夫
"Новак, Александр Валентинович",亚历山大·诺瓦克
"Максюта, Николай Кириллович",尼古拉·马克休塔
"Ларина, Анна Михайловна",安娜·拉林娜
"Овчинников, Всеволод Владимирович",弗谢沃洛德·奥夫钦尼科夫
"Малышев, Юрий Николаевич",尤里·尼古拉耶维奇·马雷舍夫
"Мишустин, Михаил Владимирович",米哈伊尔·米舒斯京
"Новицкий, Вячеслав Викторович",维亚切斯拉夫·维克托罗维奇·诺维茨基
"Новожилов, Генрих Васильевич",亨里希·诺沃日洛夫
"Крамаренко, Сергей Макарович",谢尔盖·克拉马连科
"Новиков, Владимир Николаевич",弗拉基米尔·尼古拉耶维奇·诺维科夫
"Новиков, Дмитрий Георгиевич",德米特里·诺维科夫
"Лебедев, Олег Александрович",奥列格·亚历山德罗维奇·列别杰夫
"Моргулов, Игорь Владимирович",伊戈尔·莫尔古洛夫
"Костомаров, Виталий Григорьевич",维塔利·科斯托马罗夫
"Лацис, Отто Рудольфович",奥托·鲁道夫维奇·拉齐斯
"Моисеев, Илья Иосифович",伊利亚·莫伊谢耶夫
"Обухов, Сергей Павлович",谢尔盖·奥布霍夫
"Орехов, Лев Николаевич",列夫·奥列霍夫
"Кочетков, Афанасий Иванович",阿法纳西·科切特科夫
"Леньков, Александр Сергеевич",亞歷山大·連科夫
"Краснопольский, Владимир Аркадьевич",弗拉基米尔·克拉斯诺波利斯基
"Морозов, Сергей Иванович",谢尔盖·伊万诺维奇·莫罗佐夫
"Морозов, Олег Славиевич",奥列格·斯拉维耶维奇·莫罗佐夫
"Морозов, Олег Викторович",奥列格·维克托罗维奇·莫罗佐夫
"Левченко, Сергей Георгиевич",谢尔盖·格奥尔基耶维奇·列夫琴科
"Муравьёв, Владимир Сергеевич",弗拉基米爾·穆拉維約夫
"Лиепа, Илзе Марисовна",伊尔泽·里耶帕
"Пинчук, Сергей Михайлович",謝爾蓋·平丘克
"Красов, Андрей Леонидович",安德烈·克拉索夫
"Осипьян, Юрий Андреевич",尤里·奥西皮扬
"Масюк, Елена Васильевна",葉蓮娜·馬修克
"Муров, Евгений Алексеевич",叶夫根尼·穆罗夫
"Матвеев, Михаил Николаевич",米哈伊尔·尼古拉耶维奇·马特维耶夫
"Павлов, Сергей Павлович",谢尔盖·帕夫洛夫
"Липницкая, Юлия Вячеславовна",尤利婭·利普尼茨卡婭
"Красовский, Антон Вячеславович",安东·克拉索夫斯基
"Крашенинников, Павел Владимирович",帕维尔·克拉舍宁尼科夫
"Лисовский, Сергей Фёдорович",谢尔盖·利索夫斯基
"Мукабенова, Марина Алексеевна",玛丽娜·穆卡别诺娃
"Меньшиков, Лев Николаевич",列夫·尼古拉耶维奇·缅希科夫
"Напсо, Юрий Аисович",尤里·纳普索
"Неверов, Сергей Иванович",谢尔盖·涅韦罗夫
"Рашкин, Валерий Фёдорович",瓦列里·拉什金
"Ревенко, Евгений Васильевич",叶夫根尼·列文科
"Подорога, Валерий Александрович",瓦列里·亚历山德罗维奇·波多罗加
"Мельников, Иван Иванович (политик)",伊万·伊万诺维奇·梅利尼科夫
"Наздратенко, Евгений Иванович",叶夫根尼·伊万诺维奇·纳兹德拉坚科
"Назарчук, Александр Григорьевич",亚历山大·纳扎尔丘克
"Парфёнов, Иван Андреевич",伊万·帕尔菲诺夫
"Парфенчиков, Артур Олегович",阿尔图尔·帕尔芬奇科夫
"Покровский, Валентин Иванович",瓦连京·波克罗夫斯基
"Погорелов, Сергей Валентинович",谢尔盖·波戈列洛夫
"Панков, Николай Александрович (военачальник)",尼古拉·亚历山德罗维奇·潘科夫
"Полозков, Иван Кузьмич",伊万·波洛兹科夫
"Плотников, Владимир Николаевич",弗拉基米尔·尼古拉耶维奇·普洛特尼科夫
"Месяц, Валентин Карпович",瓦连京·梅夏茨
"Резник, Владислав Матусович",弗拉季斯拉夫·列兹尼克
"Нечаев, Сергей Юрьевич (дипломат)",谢尔盖·尤里耶维奇·涅恰耶夫
"Немцова, Жанна Борисовна",然娜·涅姆佐娃
"Пастухов, Борис Николаевич",鲍里斯·帕斯图霍夫
"Пересильд, Юлия Сергеевна",尤利娅·别列希尔德
"Переломов, Леонард Сергеевич",嵇辽拉
"Ройзман, Евгений Вадимович",葉夫根尼·羅伊茲曼
"Рифтин, Борис Львович",李福清
"Рогачёв, Игорь Алексеевич",罗高寿
"Ротенберг, Аркадий Романович",阿尔卡季·罗滕贝格
"Петров, Сергей Валериевич",谢尔盖·瓦列里耶维奇·彼得罗夫
"Семигин, Геннадий Юрьевич",根纳季·谢米金
"Метшин, Айдар Раисович",艾达尔·梅特申
"Родионов, Алексей Алексеевич",阿列克谢·罗季奥诺夫
"Петров, Александр Андреевич (актёр)",亞歷山大·安德烈耶維奇·彼得羅夫
"Пономарёв, Илья Владимирович",伊利亚·波诺马廖夫
"Петров, Юрий Владимирович (политический деятель)",尤里·弗拉基米罗维奇·彼得罗夫
"Петров, Юрий Александрович (политик)",尤里·亚历山德罗维奇·彼得罗夫
"Петров, Сергей Анатольевич (предприниматель)",谢尔盖·阿纳托利耶维奇·彼得罗夫
"Песков, Дмитрий Сергеевич",德米特里·谢尔盖耶维奇·佩斯科夫
"Петраков, Николай Яковлевич",尼古拉·彼特拉科夫
"Попов, Николай Сергеевич",尼古拉·谢尔盖耶维奇·波波夫
"Попов, Сергей Алексеевич (депутат)",谢尔盖·阿列克谢耶维奇·波波夫
"Попов, Сергей Александрович (политик)",谢尔盖·亚历山德罗维奇·波波夫
"Попов, Сергей Анатольевич",谢尔盖·阿纳托利耶维奇·波波夫
"Петровский, Борис Васильевич",鲍里斯·彼得罗夫斯基
"Починок, Александр Петрович",亚历山大·波奇诺克
"Поткин, Владимир Иванович",弗拉基米尔·伊万诺维奇·波特金
"Русаков, Константин Викторович",康斯坦丁·鲁萨科夫
"Прокопьев, Александр Сергеевич",亚历山大·谢尔盖耶维奇·普罗科皮耶夫
"Поляков, Василий Иванович (партийный деятель)",瓦西里·波利亚科夫
"Спирин, Александр Сергеевич",亚历山大·斯皮林
"Семёнов, Андрей Сергеевич",安德烈·謝苗諾夫
"Сунгоркин, Владимир Николаевич",弗拉基米尔·孙戈尔金
"Сурков, Михаил Семёнович",米哈伊尔·苏尔科夫
"Труфанов, Виктор Трофимович",维多克·特鲁法诺夫
"Трутнев, Юрий Алексеевич",尤里·阿列克谢耶维奇·特鲁特涅夫
"Стрельченко, Александра Ильинична",亚历山德拉·斯特列利琴科
"Трояновский, Олег Александрович",奥列格·特罗扬诺夫斯基
"Умаханов, Мурад Мустафаевич",穆拉德·乌马哈诺夫
"Пузанов, Александр Михайлович",亚历山大·普扎诺夫
"Умаханов, Сайгидпаша Дарбишевич",赛吉德帕夏·乌马哈诺夫
"Рясной, Василий Степанович",瓦西里·里亚斯诺伊
"Ульянов, Георгий Владимирович",格奧爾基·弗拉基米羅維奇·烏里揚諾夫
"Ульянов, Дмитрий Николаевич",德米特里·尼古拉耶維奇·烏里揚諾夫
"Садовский, Михаил Александрович",米哈伊尔·萨多夫斯基
"Суровикин, Сергей Владимирович",谢尔盖·苏罗维金
"Савенко, Юрий Алексеевич",尤里·阿列克谢耶维奇·萨文科
"Симановский, Леонид Яковлевич",列昂尼德·西马诺夫斯基
"Тарбаев, Сангаджи Андреевич",桑加吉·塔尔巴耶夫
"Тяжлов, Анатолий Степанович",阿纳托利·佳日洛夫
"Симоньян, Маргарита Симоновна",玛格丽塔·西蒙尼扬
"Тарасов, Артём Михайлович",阿爾喬姆·塔拉索夫
"Тарасенко, Михаил Васильевич",米哈伊尔·塔拉先科
"Прокофьев, Юрий Анатольевич",尤里·普罗科菲耶夫
"Тенишев, Эдхям Рахимович",埃德希亚姆·捷尼舍夫
"Тен, Юрий Михайлович",尤里·郑
"Рябов, Яков Петрович",雅科夫·里亚博夫
"Савельев, Сергей Вячеславович",谢尔盖·维亚切斯拉沃维奇·萨韦利耶夫
"Сыромолотов, Олег Владимирович",奧列格·瑟羅莫洛托夫
"Пушков, Алексей Константинович",阿列克谢·普什科夫
"Савченко, Олег Витальевич",奥列格·维塔利耶维奇·萨夫琴科
"Сухоруков, Дмитрий Семёнович",德米特里·苏霍鲁科夫
"Тайсаев, Казбек Куцукович",卡兹别克·泰萨耶夫
"Сидоров, Валентин Михайлович",瓦连京·米哈伊洛维奇·西多罗夫
"Сушков, Владимир Петрович",弗拉基米尔·苏什科夫
"Разов, Сергей Сергеевич",谢尔盖·谢尔盖耶维奇·拉佐夫
"Фатеев, Алексей Викторович",阿列克謝·維克托羅維奇·法捷耶夫
Саид Бурятский,赛义德·布里亚茨基
"Терентьев, Михаил Борисович",米哈伊尔·捷连季耶夫
"Расторгуев, Николай Вячеславович",尼古拉·拉斯托尔古耶夫
"Титаренко, Михаил Леонтьевич",米哈伊尔·季塔连科
"Ушаков, Юрий Викторович",尤里·乌沙科夫
"Хованская, Галина Петровна",加林娜·霍万斯卡娅
"Усов, Виктор Николаевич",维克托·尼古拉耶维奇·乌索夫
"Сайкин, Валерий Тимофеевич",瓦列里·赛金
"Рахманин, Олег Борисович",奥列格·拉赫马宁
"Рахманин, Владимир Олегович",弗拉基米尔·奥列格维奇·拉赫马宁
"Тихвинский, Сергей Леонидович",齐赫文
"Салюков, Олег Леонидович",奥列格·萨柳科夫
"Филимонов, Вадим Донатович",瓦季姆·菲利莫诺夫
"Филатов, Сергей Александрович",谢尔盖·菲拉托夫
"Ткаченко, Леонид Анисимович",列昂尼德·特卡琴科
"Смирнов, Виталий Георгиевич",维塔利·斯米尔诺夫
"Хучбаров, Руслан Тагирович",鲁斯兰·胡奇巴罗夫
"Хоружий, Сергей Сергеевич",谢尔盖·谢尔盖耶维奇·霍鲁日
"Хорошавин, Александр Вадимович",亚历山大·瓦季莫维奇·霍罗沙温
"Хор, Глеб Яковлевич",格列布·霍尔
"Тизяков, Александр Иванович",亚历山大·季贾科夫
"Соболев, Виктор Викторович",维克托·维克托罗维奇·索博列夫
"Цветков, Юрий Владимирович",尤里·弗拉基米罗维奇·茨维特科夫
"Толубеев, Никита Павлович",尼基塔·托卢别耶夫
"Топалов, Владислав Михайлович",法蘭·特帕洛夫
"Толстой, Пётр Олегович",彼得·奥列戈维奇·托尔斯泰
"Смирнова-Марцинкевич, Светлана Сергеевна",斯韦特兰娜·斯米尔诺娃-马尔钦克维奇
"Саралиев, Шамсаил Юнусович",沙姆赛尔·萨拉利耶夫
"Толоконский, Виктор Александрович",维克托·托洛孔斯基
"Топилин, Максим Анатольевич",马克西姆·托皮林
"Смоленский, Александр Павлович",亚历山大·斯摩棱斯基
"Смолин, Олег Николаевич",奥列格·斯莫林
"Сафронов, Виталий Александрович",维塔利·萨夫罗诺夫
"Фёдоров, Евгений Алексеевич",叶夫根尼·阿列克谢耶维奇·费奥多罗夫
"Хабиров, Радий Фаритович",拉季·哈比罗夫
"Хаджиев, Саламбек Наибович",萨拉姆贝克·哈吉耶夫
"Сафаров, Рафаэль Суренович",拉斐尔·萨法罗夫
"Смирнов, Леонид Васильевич",列昂尼德·瓦西里耶维奇·斯米尔诺夫
"Шевченко, Валентина Анатольевна",瓦伦蒂娜·舍甫琴科
"Фонда, Ольга",奧嘉·方達
"Фрейдкин, Марк Иехиельевич",馬克·佛烈金
"Христианович, Сергей Алексеевич",谢尔盖·阿列克谢耶维奇·赫里斯季安诺维奇
"Сахаров, Андрей Николаевич",安德烈·尼古拉耶维奇·萨哈罗夫
"Свешников, Алексей Георгиевич",阿列克谢·斯韦什尼科夫
"Фёдоров, Валентин Петрович",瓦连京·彼得罗维奇·费奥多罗夫
"Фёдоров, Владимир Александрович",弗拉基米尔·亚历山德罗维奇·费奥多罗夫
"Хасиков, Бату Сергеевич",巴图·哈西科夫
"Хинштейн, Александр Евсеевич",亚历山大·欣施泰因
"Ященко, Зоя Николаевна",卓娅·尼古拉耶芙娜·亚先科
"Сокол, Сергей Михайлович",谢尔盖·索科尔
"Цой, Сергей Петрович",謝爾蓋·崔
"Яцкевич, Борис Александрович",鲍里斯·亚历山德罗维奇·亚茨克维奇
"Яхонтов, Сергей Евгеньевич",谢尔盖·雅洪托夫
"Спасский, Игорь Дмитриевич",伊戈尔·斯派斯基
"Соколов, Николай Александрович (художник)",尼古拉·索科洛夫
"Халилов, Валерий Михайлович",瓦列里·哈利洛夫
"Саритов, Альберт Рамазанович",阿尔贝特·萨里托夫
"Чижиков, Виктор Александрович",维克托·奇日科夫
"Шпорт, Вячеслав Иванович",维亚切斯拉夫·什波特
"Вдовина, Дарья Олеговна",達莉亞·弗多維娜
"Черняев, Анатолий Сергеевич",阿纳托利·切尔尼亚耶夫
"Кузяев, Далер Адьямович",达勒尔·库兹亚耶夫
"Овчинин, Алексей Николаевич",阿列克谢·奥夫奇宁
Данг Ван Лам,邓文林
"Чучалин, Александр Григорьевич",亚历山大·乔千能
"Степанова, Александра Николаевна",亚历山德拉·斯捷潘诺娃
"Шайхутдинов, Рифат Габдулхакович",里法特·沙伊胡特季诺夫
"Шумейко, Владимир Филиппович",弗拉基米尔·舒梅科
"Шумский, Вячеслав Михайлович",维亚切斯拉夫·米哈伊洛维奇·舒姆斯基
"Шуралёв, Владимир Михайлович",弗拉基米尔·舒拉廖夫
"Шурчанов, Валентин Сергеевич",瓦连京·谢尔盖耶维奇·舒尔恰诺夫
"Кравчук, Константин Владимирович",康斯坦丁·克拉夫丘克
"Чуковская, Елена Цезаревна",叶莲娜·采扎列夫娜·楚科夫斯卡娅
"Мельникова, Марина Анатольевна",瑪琳娜·梅利妮科娃
"Тимофеев, Лев Михайлович",列夫·米哈伊洛维奇·季莫费耶夫
"Эткинд, Александр Маркович",亚历山大·埃特金德
"Эрнст, Константин Львович",康斯坦丁·恩斯特
"Скворцов, Алексей Константинович",阿列克谢·康斯坦丁诺维奇·斯克沃尔佐夫
"Шаманов, Борис Иванович",鮑里斯·沙馬諾夫
