Beijing,北京
Gabasumdo,尕巴松多镇
Fuxing Linchang,复兴村
Fengyi,凤仪
Fenglu,凤麓
Fengjia,冯家
Shuangzhucun,双珠
Fengchuancun,封川
Anxi,安溪
Fengcheng,Hsin-feng-hsien-ch’eng
Fanshi,繁城
Fanzhuang,范庄
Douhudi,Gong’an
Dongxi Liandao,连岛
Dongxiang Dao,东庠岛
Xuanhan,东乡
Dongxi,东溪
Tongtou Dao,Tung-t’ou Shan
Dongting,锡山区
Dongshan Bandao,东山半岛
Dongshan,江宁区
Dongnigu,东泥沽
Dongling,东岭
Dongji Dao,东矶岛
Dingjun Shan,定军山
Dingzhuangcun,丁庄村
Dinghaicun,定海
Dingcheng,定安县
Dianzhang,店张
Decheng,德城
Dazuocun,大岞
Dazhe,大柘
Daxue,大峃
Daxie Dao,大榭岛
Dawanshan Dao,大万山岛
Dawangcun,大王村
Dawangtai,大王台
Dawangjia Dao,大王家岛
Datongcun,大同村
Datong Hu,大通湖
Datiancun,大田村
Danyang,丹阳
Ningchang,宁厂镇
Dashan Dao,达山岛
Dangan Liedao,担杆列岛
Dangan Dao,担杆岛
Danxi,丹西
Dalin Dao,大霖岛
Dajie,大街镇
Daiyue,岱岳
Shangguan,Tai-hsien-ch’eng
Dahuanglong Dao,大黄龙岛
Shawan,沙湾
Rensha,仁沙
Shangbocun,上柏村
Shandongtou Shequ,山东头社区
Shaliuhe,刚察县
Fengsha Hu,枫沙湖
Shahe,临泽县
Sanzao Dao,三灶岛
Sanyuan,三元
Sanjiantangcun,三间堂村
Sanjiang,三江镇
Sanjiang,三江
Rende,仁德
Rulong,茹龙镇
Rucheng,乳城
Rongwo,同仁县
Ronggui,容桂
Rongmei,容美镇
Rongxian,容州
Rizhuang,日庄
Riyue Shan,日月山
Renhou,仁厚
Hengzhou,恒州
Lechang,乐昌
Qushui,曲水
Anguo,安国
Qixucun,戚圩村
Qingyuan,清源
Qingxi,清溪
Qinglan Xushequ,清澜墟社区
Qinghai Nanshan,青海南山
Qingbang Dao,青浜岛
Qikoucun,歧口村
Wanrongjiang,万溶江乡
Bamei,八美
Qiancheng,黔城
Qiancangcun,钱仓村
Qabqa,共和县
Puzi,普子镇
Pudong,浦东新区
Wangge’ertang,王格尔塘
Po Hu,泊湖
Pishan Dao,披山岛
Pingtan,平滩镇
Pingjibu,平吉堡
Guanshan,平定
Panzhuang,潘庄
Nantian Dao,南田岛
Xinxing,东港市
Daba Shan,大巴山
Shuren,树人镇
Ninghua,翠江
Cuijiaji,崔家集
Cizhu,茨竹
Cili,Tz’u-li-hsien
Cicheng,慈城
Chuxiong,楚雄
Zhiqing Songduo,久治
Chishicun,赤石
Chitu,赤土
Chibakou,尺八
Chenshancun,辰山村
Sheng Shan,嵊山
Chengshan Jiao,成山角
Cheng’anpucun,承安铺村
Chaolian Dao,潮连岛
Changning,寻乌
Changdang Hu,长荡湖
Changchi,长赤
Changba,长坝
Longxing,龙形
Beilicun,北黎村
Beijian Dao,北尖岛
Beiguan Dao,北关岛
Beibucun,北堡
Baiyang,白羊镇
Shuanglong,巴雾河
Baxucun,八圩村
Batang,八塘
Baoluan,包鸾镇
Banqiao,板桥镇
Baili Dao,白沥岛
Baidang Hu,白荡湖
Qingyang,安镇坝
Fucheng,Fu-ch’eng-chen
Chang’an,临湘市
Ertangcun,二塘
Lingshan Dao,灵山岛
Linfeng,邻封镇
Lianhecun,莲河村
Liangxiongdi Dao,两兄弟岛
Liangheguancun,两河关村
Leizhou Bandao,雷州半岛
Leigangcun,雷港村
Leizhou,雷州
Langgangshan Liedao,浪岗山列岛
Kaijiang,新宁
Jurong,句容
Aikou,隘口
Chengjiao,城郊
Wuqiang,武强
Jiulicun,九里
Jiufeng,九峰
Jinxiu,金秀
Jinzhou,晋县
Jinhua,金华
Xiangshui,香水
Xiluodu,溪落渡
Echeng,鹅城
Jing’an,井岸
Jinfo Shan,金佛山
Jinchuan,金川
Jiekou,街口
Jiaoshi,焦石
Jiaocheng,蕉城
Jianshan,尖山
Gujiang,Tszyan’syan
Jiangpinghe Shequ,江坪河乡
Jiangkou,江口镇
Hengshan,衡山
Anju,安居
Anbian,安边
Luxucun,陆圩村
Nurbag,努尔巴格村
Qarachi,哈拉奇村
Jimsar,吉木萨尔镇
Jeminay,吉木乃
Khutubi,呼图壁镇
Hoboksar,和布克赛尔
Hejing,和静
Hadadong,哈达墩村
Habahe,哈巴河
Gurt,古尔图镇
Fukang,博峰
Dure,杜热乡
Dulayti,杜来提乡
Dabancheng,达坂城
Chaiwopu,柴窝堡
Argan,阿拉干
Bashikule Hu,巴什库勒湖
Yingku’er Haizi,英库尔海子
Saisayi Tekule Hu,赛萨依特库勒湖
Akbulak,阿克布拉克村
Egiztobe,也格孜托别
Kostik,阔斯特克
Alakak,阿拉哈克
Olatay,乌拉台哈萨克民族乡
Yuli,尉犁
Xiyanchi,西盐池
Xiaowan,小宛
Xiehelicun,协合力村
Turpan Pendi,吐鲁番盆地
Toli,托里
Toksun,托克逊
Tikanlik,铁干里克
Tikan Kurukecun,提坎库如克村
Temeke,铁买克
Shuangcheng,双城
Shanshan,鄯善县
Qongkol,群克尔
Qinghe,青河
Chimen,老其满村
Manasi,玛纳斯
Luntai,轮胎
Laoyemiao Kou’an,老爷庙口岸
Kuytun,奎屯
Küysu,奎苏镇
Qizilto,克孜勒套村
Kizil,克孜尔
Karlik Shan,哈尔里克山
Beicun,北门口
Ezhen Dang,鹅真荡
Cao Hu,漕湖
Kuilei Hu,傀儡湖
Guoliang,国梁
Yongxi,油坊坡
Pulü,蒲吕镇
Jinshan,大堡场
Huilong,回龙镇
Tieshan,铁山镇
Yuanjue,远觉镇
Tonggu,铜鼓镇
Hebao,河包镇
Damiao,大庙
Jinlong,金龙镇
Nanbei Hu,南北湖
Chipengcun,池鹏村
Yangdeng Xihu,阳澄西湖
Shengze Dang,盛泽荡
Nanxing Hu,南星湖
Fangjiahe Toucun,河头
Wanglang Ziran Baohuqu Guanlisuo Muyangchang,王朗自然保护区管理所牧羊场
Bashan,巴山
Yuan Dang,元荡
Pingjiang,平江口
Jutou,嘴头
Zhongshan,中山
Yangmeiling,杨梅岭
Yuanshan Dang,苑山荡
Kilik Pass,吉里克达坂
Khunjerab Pass,红其垃甫达坂
Gasherbrum II Feng,加舒尔布鲁木II峰
Arix,阿日希
Yengibag,英巴格
Nezer Tashqir,乃扎塔什克尔
Qixiang Cuo,其香错
Qunjirap,红其拉甫
Guoba,过巴
Korqug,解放公社
Korgan,库尔干
Karasay,喀拉萨依村
Karamiran Shankou,喀拉米兰山口
Karamiran,喀拉米兰
Karakoram Pass,喀喇昆仑山口
Kalmakkuduk,喀勒马克库都克
Jurhen Ul Shan,祖尔肯乌拉山
Jungsi,买玛公社
Jinding,金顶
Jam Co,江错
Jaggang,曲康
Jagbung,来绪那
Hoh Xil Hu,可可西里湖
Hoh Sai Hu,库赛湖
Gyungcang,且钦
Gyonub,马尼公社
Gyitang,隆子
Gyirong,吉隆
Jindong,金东乡
Gyarab,Jiarao
Gyamug,Jiamo
Gyamotang,丁青县
Gyablung,前锋公社
Gurban Anggir,古尔班安格尔
Gulug Co,苟仁错
Goinsargoin,根沙贡
Gengqing,更庆
Jiding,谢通门县
Gartog,芒康县
Garla Lhamco,朶拉拉错湖
Kambaxoi,岗巴县
Gala,嘎拉
Gai Hai,Ga Hai
Sima Waticun,斯马瓦提村
Dung Co,懂错
Doxong,多雄
Dorsoidong Co,多尔索洞错
Dorge Co,错仁德加
Domartang,边坝县
Duoqing Cuo,多庆错
Dogaicoring Qiangco,多格错仁强错
Dingchog,定昌公社
Deru,德汝
Dianjiao,碟穆绰克
Dawaxung,达雄区
Daru Co,达如错
Da Qaidam Hu,大柴达木湖
Da Qaidam,大柴旦
Qingwa Hu,青蛙湖
Dangqing,果祖公社
Damxoi,措美
Dainkog,洛须
Dagzhuka,大竹卡
Daglung,打隆
Co Rabarngodang,错拉巴鄂阿东湖
Co Ngoin,错鄂
Chongdui,聂拉木县
Cona,错那
Co Mudigjongzham,错木斗江章湖
Chigu Co,哲古错
Ze Cuo,泽错
Changmar,昌玛尔
Chainjoin Co,振泉错
Caka Yanhu,茶卡盐湖
Burog Co,布若错
Burhan Budai Shan,布尔汗步达山
Buksamaral,白格塞姆
Bora,博热村
Bong Co,崩错
Bilung,布隆
Bextograk,拜什托格腊克
Baidoi Co,帕度错
Baidi,白地
Azghan,阿亚格阿孜干村
Aqqan,阿羌
Aweng Cuo,阿翁错
Angdar Co,昂达尔错
Amu Co,阿木错
Alag Hu,阿拉克湖
Sumchêng,松昌
Zongga,宗嘎
Zhongxin,建塘
Zhasa,斯纳囊古
Zhamog,扎木镇
Zhadong,扎东
Zêtang,泽当
Zara,扎日
Zapug,扎普村
Zaindainxoi,赞丹学
Yopurga,岳普湖
Yeyik,叶亦克
Kumu Bagecun,库木巴格村
Yanduo,烟多
Yaxing Co,雅西错
Yarzhong,亚中
Yaggain Canco,雅根查错
Xuru Co,许如错
Xoka,雪卡
Xoi,曲水
Xireg,希里沟
Xincheng,新城
Xijir Ulan Hu,西金乌兰湖
Xiao Qaidam Hu,小柴达木湖
Xêgar,协嘎尔
Xarsingma,卓木县
Xagar,帕拉公社
Xabyai,加玉
Wuqia,乌恰
Woinbodol,汪布堆
Wenbo,温波
Uxu,吾需
Ulan Ul Hu,乌兰乌拉湖
Tuzluq,吐孜鲁克
Tungdor,东多
Tulai Shan,托莱山
Tuglung,玉寨公社
Darya Boyi,达里雅布依乡
Toding,托林
Togatax,土格塔什
Telashi Hu,特拉什湖
Tazghun,托格热塔孜滚村
Tarrong,塔荣
Tangmai,通麦
Tanglhai,汤莱
Tanggula Shankou,当拉
Takla Makan Desert,塔克拉玛干沙漠
Tagchagpu Ri,塔查普日
Sumxi Co,松木希错
Sughun,八盘水磨
Soila,所拉
Shiquanhe,狮泉河
Shengping,升平
Shaluli Shan,沙鲁里山
Saibu Cuo,赛布错
Shenduo,申多
Sangba,桑巴
Sanyan,三岩
Sanagda,杰村
Samsang,桑木张
Samcang,恰公社
Saghan,萨干村
Rubba,若巴
Rigan Peicuo,日干配错
Raixarma,惹夏玛
Racaka,热扎卡
Rabgyailing,热布加林
Qusum,曲松
Qungdo'gyang,邱多江
Qumigxung,曲米雄
Qugaryartang,Qugayatang
Qonggyaixoi,琼结
Qira,策勒镇
Tibetan Plateau,青藏高原
Qingshui,清水
Chimgen,巴什其木干
Qayü,加玉
Guobu,羌多
Qiangqinxue,强钦雪
Jiajuedibu,申扎县
Qagong Co,恰贡错
Pur Co,普尔错
Pung Co,蓬错
Pengcuolin,彭错林
Pongyin Co,朋彦错
Pisha,皮亚
Guma,固玛镇
Patkaklik,帕特喀格里克
Palung Co,帕龙错
Pagri,帕里镇
Pagnag,帕那
Omsha,噢木夏
Norma Co,诺尔玛错
Ngoqudoima,Ejuduoma
Nganggug,昂古
Ngangca,查仓公社
Nairi Pingcuo,乃日平措
Nau Co,纳屋错
Geji,革吉县
Nangxian,Langxian
Namoding,晓久公社
Namling,仁伍
Nagarzê,浪卡子
Muztag,慕士山
Mucuo Bingni,姆错丙尼
Menshi,门士
Niya,尼雅
Maiqiong Cuo,麦穷错
Mazartagh,玛扎塔克
Mekit,麦盖提
Mani,玛尼
Maindu,自日公社
Maindong,门董
Lungsang,龙桑
Lumachomo,申亚公社
Lop,洛浦镇
Logtang,麦日公社
Lingza,多吉区
Lhainag,团结公社
Xicha Hu,西岔湖
Baisha Hu,白沙湖
Matang Hu,麻塘湖
Yasi Hu,鸦寺湖
Sha Hu,沙湖
Yi Hu,沂湖
Kau Co,高务错
Gomang Co,戈芒错
Gomo,戈木
Gorqung Lhai,各琼莱
Goidag Lhai,哥达莱
Gejin Cuo,格金错
Kung Co,贡错
Gongqujiangdong,贡曲江冬
Gongxisediyancai,贡西色地演菜
Kongxi Co,贡希错
Gusoi Co,古索错
Guobaniyayangcai,过巴尼亚央才
Gogbug,果布
Goigain Co,果根错
Gobukongtog,果普巩托
Gopug Co,果普错
Gowang,果旺
Goixung,果雄
Gowaqumig,郭阿曲米
Kuru’kyamgoinba,郭尔坚贡巴
Koggyaling,郭加林
Goipu Co,郭普错
Harrai Lhai,哈热莱
Hang Co,夯错
Togamtang,多刚塘
Duojiuma,多纠玛
Tokamba,多康巴
Domar Co,多玛错
Duoma Laiqin,多玛莱钦
Duopu Laiqin,多普莱钦
Duoqiao,多巧
Caicha,才察
Cêmar Co,才玛尔错
Cêr Lhai,采尔莱
Caigungtang Banshichu,菜公堂办事处
Caiqiongtuosa,彩穹托萨
Cangrachokug Lhai,仓惹卓库莱
Chadima,茶蒂玛
Cadokongma,茶多空玛
Chagbo Co,查波错
Chag Co,查错
Chagcoka,查错卡
Chaglunggarbo,查龙嘎布
Chagmar Co,查玛错
Chagnag Co,查那错
Chagrisumkor,查日松科
Chazug’ogma,察祖俄马
Cheti Cuo,扯体错
Chen Cuo,沉错
Chumba Yumco,冲巴雍错
Chumpudara,冲波达热
Chungchung Co,冲冲错
Chuguogongba,楚郭贡巴
Choinba,川巴
Chuanbawenyue,川巴温约
Ciuru Co,次乌如错
Co’ngoingor,措俄果
Cora Co,措热错
Comarkangog,措玛喀果
Co Cholung,错戳龙
Co Gor,错果
Co Hointor,错晃东
Co Gya,错加
Co Gyakor,错加科
Co Gyakom,错加孔
Co Gyara,错加热
Co Gyaringma,错加仁玛
Co Jangku,错江库
Cuokong Cuonie,错孔错涅
Co Lung,错龙
Co Lunggyog,错陇角
Co Lungyo,错陇涌
Co Marbo,错马布
Co Mar,错玛尔
Cuo Mailong,错麦隆
Como Ruwa,错莫如瓦
Comjai Co,错母加错
Co Nag,错纳
Co Nag,错纳
Co Nagcha,错纳查
Co Nagma,错纳麻
Cuo Nazhe,错纳折
Co Nyoinba,错娘巴
Cuo Padi,错帕迪
Cuo Qinma,错钦玛
Co Ringma,错仁玛
Co Ring,错仍
Co Ri,错日
Cuo Ruiwa,错锐洼
Co Tongri,错同日
Co Ogma,错卧莫
Co Yagma,错亚玛
Co Yangqag,错阳恰
Co Yangqag,错阳恰
Co Zham,错占
Co Zhinchung,错直仲
Darngo Co’ngoin,达尔沃错温
Dagobug,达果布
Targyailing,达吉岭
Tara Co,达拉错
Darlung,达隆
Daglungkapu,达隆喀布
Dagluqangma,达鲁强马
Dagma,达玛
Darug Co,达如错
Datog Co,达托错
Daxoindo,达兴多
Dagcha,达扎
Dazho Lhai,达召莱
Dainzinzalung,丹增杂隆
Danggo,当郭
Damlhai Ogma,当莱约玛
Damlungda,当龙达
Tangqung Co,当穹错
Dêwa Lhai,德阿莱
Dorakongma,多惹孔马
O’ngar Co,俄阿错
Oma Co,俄玛错
Ngorong Lhai,俄绒莱
Ngoco Co,哦坐错
Ogcom Co,鄂葱错
Erongdiru,鄂荣堤汝
Orong Lhaisumzug,鄂荣莱松祖
Ngosingmatongquka,鄂斯玛冬曲卡
Ngosingmadoxongjain,鄂斯玛多雄见
Eya Cuo,鄂雅错
Ngoinyar Coqung,鄂雅错琼
Garbonalung,嘎保拿隆
Gabcangnubmai Lhai,嘎仓奴玛莱
Gardo,嘎尔多
Gajiaosongke,嘎绞松科
Gaju Cuo,嘎举错
Gala Co,嘎拉错
Kalingkong,嘎灵公
Garmoogdong,嘎木沃东
Ganiulongba,嘎纽隆巴
Gaqin Lai,嘎钦莱
Garing Co,嘎仁 错
Gaijiama,盖加玛
Gai Lai,盖莱
Gangtang Co,冈塘错
Ganggyisumdo,刚几松多
Gangguonima,岗果尼玛
Gaqoi,岗久
Gamlungmu,岗龙木
Youcaopai,油槽排
Tiuchawo,德吾仇
Dingring,登仁
Têgo’ngoin,地郭鄂
Dicharu,迪查如
Dizima,迪孜玛
Dikajue,底卡觉
Dirang Bicuo,蒂让碧错
Ding Co,丁错
Dingmo Co,丁木错
Dingnarong,丁那绒
Dingxang,丁香
Tunggar Co,东嘎错
Dong Lhai,东莱
Dungqag Co,东卡错
Tomqung Co,冬琼错
Tomrai Co,冬日错
Tung Co,冻错
Tomgo Co,冻果错
Dongmar,董玛尔
Dongbu Cuo,懂布错
Tüwuri,杜俄日
Tug Co,都错
Dulung,堆隆
Dunqugoinba,顿曲贡巴
Dorang Cogo,夺让错果
Dogbo’ngori,多布俄日
Dogdai,多德
Shanghai World Financial Center,上海环球金融中心
Bituo Cuocha,比托错查
Piutangka,比吾塘嘎
Biluo Cuo,毕洛错
Bikyung Koglhai,壁琼考莱
Bieruo Zecuo,别若则错
Boglung,勃龙
Buji Cuo,布吉错
Puqu,布久
Bugkamqung,布康琼
Bur Lhai,布莱
Burangxung,布让雄
Burangze,布让则
Bugragri,布惹日
Butogka,布托卡
Bogchana’ngomo,布扎那敖矛
Cadai Cailai,擦带才莱
Cadainaru,擦带纳如
Canian,擦念
Carog Co,擦若错
Cagsim,擦僧
Acangjomsa,阿仓炯萨
Argog Co,阿果错
Amaodongqie,阿毛洞切
Ampagma,阿木帕玛
Aranagbo Lhai,阿惹纳保莱
Asur,阿苏
Aog Lhai,阿约莱
Arza Co,阿扎错
Ainba,安巴
Ancodo,安错多
Amjog Co,安觉错
Nangchakaikug,昂查开库
Nganggug Co,昂古错
Angqingzatang,昂青扎塘
Ngangqungsumna,昂穹松纳
Angren Jincuo,昂仁金错
Babu Cuo,八布错
Bayi,八一
Pagzagang,巴擦岗
Bar,巴尔
Baru Lhai,巴如莱
Payain Lhai,巴彦莱
Pagza Lhai,巴杂莱
Batungtang,吧通塘
Baidigongma,白底贡玛
Baimazhub Co,白玛珠错
Baitang,白塘
Pangdag Lhai,邦达莱
Bangding Co,邦当错
Banggailung,邦改隆
Bugngatêmar,保阿迪玛
Pobsêr Co,瀑塞尔错
Beilei Cuo,北雷错
Bumba,本巴
Bum Co,本错
Bensong Cuo,本松错
Bengkuoyancai,崩括演菜
Bengze Cuo,崩则错
Lingangxian,林岗畲
Youmakeng,油麻坑
Shangyangjing,上洋迳
Xiajing,下迳
Matoushan,下马头山
Fenghuangjing,凤凰
Shiting,石亭
Modaowu,磨刀坞
Jianjiao Daotian,尖角稻田
Wenjia,文家湾
Bowangshan,博望山
Gaodongqiao,高洞桥
Shuanglong,双龙
Fei’ecun,飛鵝
Jiangxin Zhou,江心洲
Bar,巴尔
Cam Co,仓木错
Gongtang,公塘
Menshi,门士
Qumig,曲美
Saicun,邦柏
Sangri,雪巴
Samai,色麦
Sangri,尚日
Shen Cuo,申错
Xoisar,雪萨
Zaring,扎仁
Lang Co,朗错
Langdatangka,朗达塘嘎
Langqing Cuo,朗青错
Lingja,冷加
Lengqingduo,冷青多
Lungba’ngoinboqugra,龙巴鄂布秋惹
Lunggarmo,龙嘎木
Lunggarnang,龙嘎囊
Lunggyu Co,龙纠错
Longwa Lhai,陇阿莱
Longjoi Co,陇觉错
Lungmarka,陇玛卡
Longqieda,陇切达
Langqungda,陇琼达
Longsai Balai,陇塞巴莱
Lungyag Co,陇亚错
Longyuejiaku,隆约加库
Luma’ngoinmo,鲁玛鄂毛
Lumaharzhajain,鲁玛哈扎间
Lumamarri,鲁玛马日
Lumamarri,鲁玛玛日
Lumanagdang,鲁玛纳当
Luma Chagco,鲁玛扎错
Lumoweiba,鲁莫卫巴
Luxung Co,鲁雄错
Luzong Lhai,鲁宗来
Luri Cocha,路日错查
Marbomina,马包米纳
Marxai Co,马尔下错
Mayom Co,马勇错
Mabogu,玛波古
Marbobog,玛勃布
Marchakongma Lhai,玛查公玛莱
Marding Cocha,玛登错查
Marchipu,玛尔尺布
Margong’ogma,玛公俄玛
Markung,玛贡
Marnang Co,玛朗错
Mana Laiqin,玛那莱钦
Marri Co,玛日错
Marxoiraqung,玛血热穹
Marku Co,麻库错
Maima,买玛
Maibaruwa,麦巴若瓦
Maiduopure,麦多普热
Maiduobama,麦夺巴玛
Maijiongdong,麦炯洞
Maila Co,麦拉错
Mainzhainnaka,麦展纳喀
Maiduo,脉多
Mam Co,满错
Meiduojian,美多建
Meixueyuema,梅学约玛
Mangqung,孟穷
Mipayuema,米帕约马
Mainri,米瑞
Modi,莫第
Mojitang,莫基塘
Mognagsumkor,莫纳松可
Mugboquna,木波曲纳
Mudi Cuo,木地错
Mowo’ngoqung Lhai,木鄂琼莱
Mugqu Co,木纠错
Naggai,那格
Nagekayue,那格喀约
Nagzog,那克左
Nalung,那隆
Narisogar Co,那日素嘎错
Naruoqie,那若切
Nasaxarma,那萨夏玛
Nagding Co,纳丁错
Nado,纳多
Nageire,纳给惹
Naiqam Co,纳江错
Namka Co,纳卡错
Nakanaggyog,纳喀那角
Na Lhai,纳莱
Nalung Co,纳陇错
Nanamngoin,纳囊欧
Nakug,纳欧
Nagqungchoinba,纳琼冲巴
Naru,纳汝
Naroragba,纳若热巴
Nawuqie Cuo,纳吾且错
Nanagtig,拿纳剃
Horxoi,霍雪
Gyibdo,吉多
Jige Pucuo,吉格普错
Gyigo Co,吉故错
Jirituga Cuo,吉日吐嘎错
Gyixong,吉雄
Gyibug,基布
Gyadingma,加定玛
Jialong Laiqin,加隆莱钦
Qamang Co,加芒错
Jagqung Co,加穹错
Jiate Cuo,加特错
Qapoi Cocha,加吾错查
Gyaxongma,加雄玛
Gyazoibagra,加作巴热
Gyabra,甲布热
Jiare Bucuo,甲热布错
Gyaro Co,甲若错
Jagwo Co,嘉屋错
Qain Co,建错
Jangcang Co,江沧错
Jianggamo Laiqin,江嘎莫莱钦
Gyanbur,姜布尔
Jangchai Co,姜拆错
Gyangnyisoggar,姜尼素嘎
Jie Lai,捷莱
Jobgyuggyugsa,觉纠久萨
Karuo Laiqin,喀若莱钦
Jangmoina,江莫那
Gyangqu Co,江曲错
Jangcang,江藏
Gyangzham,江展
Jiangzi Chengguanqu,江孜城关区
Qangdong Lhai,姜冬莱
Gyungmo Co,炯莫错
Jiongye,炯叶
Gyugbatang Lhai,久巴唐莱
Quru Co,玖如错
Kabjisumdo,卡吉松多
Kalung,卡龙
Kaxarqog,卡下觉
Kagbo,喀波
Kaigar,开嘎
Kang Co,康错
Kamshogma,康硕马
Gaibataizar,克巴塔渣
Kaijinang,克节朗
Kainag Kailhai,克纳格莱
Keningnai,克宁乃
Kung Co,孔错
Kunglungluma,孔隆鲁玛
Kuqinnajia,苦钦纳加
Kormar,扩玛尔
Kuolailazai,括来拉宰
Kuoqin,阔钦
Labdi,拉布底
Ladeng,拉登
Lhaika,拉嘎
Lhalung,拉隆
Lhalu Co,拉罗错
Laqinquri,拉钦曲日
Lasarriqamnagdong,拉萨日强纳冬
Laxar,拉吓
Laxang Co,拉相错
Lai Adai,莱阿代
Lhai Aru,莱阿柔
Lhai Bug,莱布
Lhai Chixub,莱尺休
Lhai Garbo,莱嘎包
Lai Kongyue,莱孔约
Lhai Markung,莱玛贡
Lhai Mugkug,莱木库
Lai Nimadesa,莱尼马德萨
Lhai Xongba,莱雄巴
Seguojin,色果金
Sekazhi Cuo,色卡执错
Selin Cuo,色林错
Semo Cuo,色莫错
Seqiong Cuo,色穷错
Sexutang,色许塘
Sengejialong,森格加隆
Shajiajiawo,沙家夹窝
Sindo,申多
Songqin,松钦
Soba Chalhai,索巴查莱
Suobodibao,索勃底保
Suokapadijiari,索喀帕蒂加日
Tar Co,它日错
Taring,塔仁
Xarsingmazhen,下司马镇
Qagar Co,吓嘎错
Xagbai Co,虾别错
Xapoorong,夏勃鄂绒
Xardai Co,夏达错
Xialaning,夏拉宁
Xalung,夏隆
Xarmarri,夏玛日
Qanagling,夏那林
Xarnalhoma,夏纳洛马
Xasêr Co,夏塞尔错
Xazhug Co,夏珠错
Xanag Co,辖那错
Xianqie Cuo,先且错
Xiangbei,香贝
Xangzhag,香扎
Xiaobuding,肖卜顶
Xiegama,协嘎玛
Xingla,新拉
Naisuiluoma,乃随洛玛
Naizhoogma,乃卓俄玛
Naizhokongma,乃卓贡玛
Nanjiaoding,南角顶
Nangqara,囊恰惹
Nyaikung Co,尼孔错
Nimalonggunci,尼马龙棍次
Ninaqian,尼那迁
Nagzug,尼亚格祖
Nyainlung,年隆
Nyainzhakagmang,年扎喀旺
Nyangba,娘巴
Nyainmodong Lhai,聂木东莱
Nyaintamarqai,聂塔玛恰
Nieba,涅巴
Nyakaxung,涅喀雄
Nyagnyikongma,涅尼贡玛
Norsob Comar,挪索错玛
Norbom Lhai,诺崩莱
Norcang,诺仓
Nordor Co,诺多错
Norsai Nalhai,诺色那莱
Baidoitanggar,帕度塘嘎
Paxoi Co,帕学错
Peiku Cuo,佩枯错
Pum Co,彭错
Butogka,坡吐卡
Pozi Cuo,坡孜错
Puga Cuo,普嘎错
Pugzong,普棕
Qibxung,齐布雄
Qigai Co,齐格错
Qiugoinba,齐吾贡巴
Kyimo,其毛
Qinimagongma Cuo,其尼玛贡玛错
Qinimawoma Cuo,奇尼玛窝玛错
Qibra,起布让
Qagam Co,恰岗错
Qiaouduo,恰欧多
Qamngoinbokaidong,强俄勃格东
Qamngoin,强鄂
Qianggaijidong,强改吉冬
Qanglung,强隆
Qonam,乔拿木
Qiemarena,切玛惹纳
Kyiru Co,切如错
Kyingo,秦果
Qungocharing,琼果查仁
Qiongguogami,琼果嘎米
Qoichicocha,丘尺错查
Qoichi Lhai,秋池莱
Qubadigongma,曲巴地贡玛
Quzhang Co,曲昌错
Quresaijue,曲惹赛觉
Qurikongma,曲日贡玛
Quru,曲汝
Qurui Lai,曲瑞莱
Qubsangdo,曲桑多
Qusumdo,曲松多
Qusumdo,曲松多
Qomo Co,确姆错
Ramba Co,然巴错
Rongbodoi,让布冬
Ragba,热巴
Rabgyai Co,热不杰错
Rabxig,热布西
Reqin,热钦
Raziogma,热孜俄马
Rebadaju,惹巴达菊
Rapo Lhai,惹宝莱
Rabka,惹布喀
Ragoi Yumco,惹果雍错
Reqin Cuona,惹钦错纳
Ren Cuo,日吾错
Ren Cuo,仁错
Rixu Cuo,日许错
Ringco Ogma,仁错约玛
Qiangongdang,千工塘
Cuijiapo,崔家坡
Shangluheng,横路上
Yagu Cuo,亚古错
Ya Lhai,亚莱
Yarlhai’ngori,亚勒俄日
Yagtoi Co,亚吐错
Yayomtang,亚雍塘
Yaggai Co,雅根错
Yaggain Co,雅根错
Nyag Lhai,雅莱
Yalhai Ngori,雅莱傲日
Nyaqung Co,雅琼错
Yarrumangbo,雅日芒保
Yagxakongma,雅夏贡玛
Yangxung Lhai,央雄莱
Yangding Co,羊丁错
Yigong Cuo,易贡错
Yongqin Cuo,拥钦错
Yu’ngoin,雍鄂
Yumqog,雍木却
Yougenabi,尤各纳比
Yunjang,尤江
Yucha Co,玉查错
Yugongba,玉贡巴
Yurai,玉热
Yobdain,月典
Yoqag Co,越恰错
Zalhai Co,杂莱错
Zabramarkor,杂惹玛果
Zarug Co,杂如错
Zainzong Co,赞宗错
Zangmuqin,藏木钦
Zigui Cuo,孜桂错
Ziriduo,孜日多
Zixarong,孜夏绒
Zumuxiongqin Lai,祖木雄钦莱
Zugrida,祖日达
Zogang Xian Muchang,左贡县牧场
Zodangxarna,佐当夏纳
Xongra’ogma,雄让俄马
Xongra’ogma Co,雄让俄马错
Xongranubma,雄让努马
Xongranubma Co,雄让努马错
Xungru,雄如
Xogor Co,徐果错
Tangxargo,汤夏尔果
Tangxonggarbo,躺雄嘎波
Tom Co,同错
Toichikug,吐车库
Tug Co,吐错
Tuwa Co,吐坡错
Tuiren,推仁
Tonagri,托那日
Tochig,驼赤
Wagei Cuo,瓦给错
Ngoinbog,温宝
Ngoquxung,窝具雄
Ogqung,窝琼
Wukayuema,乌喀约玛
Ngomotingting Co,乌木丁丁错
Urri,乌热
Nyaba Co,亚巴错
Zabdê’ngorug,泽地俄若
Cirab,择绕
Zengbudida,增布底达
Zhaba Laiqin,扎巴莱钦
