Portugal,葡萄牙
Teixeira,Teixeira
Loivos do Monte,Loivos do Monte
Grilo,格里卢
São Pedro Fins,São Pedro Fins
Ovil,Ovil
Valadares,Valadares
Freixo de Baixo,Freixo de Baixo
Santa Cruz do Douro,Santa Cruz do Douro
Travanca,特拉万卡
Carneiro,卡尔内鲁
Vila Nova da Telha,特利亚新镇
Estádio Comendador Joaquim de Almeida Freitas,若阿金·德阿爾梅達塔斯公園球場
Sampaio,Sampaio (Vila Flor)
Mofreita,Mofreita
Baixo Vouga,拜蘇沃加
Baião,巴扬
Balança,Balança (Terras de Bouro)
Barbudo,巴布多
Barca,巴尔卡 (马亚)
Vermoim,Vermoim
Freixo de Cima,Freixo de Cima
Padronelo,Padronelo
São Tomé de Covelas,São Tomé de Covelas
Aeroporto de Santa Maria,聖瑪利亞機場
Aeródromo de São Jorge,圣若热机场
lista de governadores de Macau,澳门总督列表
Aeródromo de Braga,布拉加機場
Aeródromo Municipal de Bragança,布拉干薩機場
Vimeiro,维梅鲁
Pedreira,Pedreira
Alhadas,阿利亚达什
Bairro,拜罗 (法马利康新镇)
Bairros,Bairros
Baixa de Lisboa,庞巴尔下城
Baixo Alentejo,下阿连特茹地方
Guetim,Guetim
Gove,Gove
Mancelos,Mancelos
Loivos da Ribeira,Loivos da Ribeira
Santa Cristina de Figueiró,Santa Cristina de Figueiró
Aeroporto do Pico,皮庫島
Aeroporto João Paulo II,蓬塔德爾加達
Aeroporto do Porto Santo,聖港島
Melres,梅尔里什
Beire,贝里
Beiriz,贝里兹
Lomba,Lomba
Balazar,巴拉扎尔 (吉马良斯)
Baleizão,巴莱藏
Santuário de Cristo Rei,里斯本大耶穌像
Baltar,Baltar (Paredes)
Banco Espírito Santo,圣灵银行
Banco Nacional Ultramarino,大西洋銀行
Parque das Nações,萬國公園
Varzim Sport Club,巴希姆
Capelins (Santo António),卡佩林什
Aradas,Aradas
"Metropolitano de Lisboa, E.P.E.",里斯本地铁公司
Bemposta,Bemposta
Belazaima do Chão,Belazaima do Chão
Belinho,贝利尼奥
Belmonte,貝爾蒙蒂
Baçal,Baçal
Beira,贝拉省
Beira Grande,大贝拉
Rebordãos,Rebordãos
Matela,马特拉 (维苗苏)
Arcos,Arcos (Anadia)
Vale das Fontes,Vale das Fontes
Beringel,贝林热尔
Parada,帕拉达
CP Urbanos de Lisboa,里斯本城市鐵路
transferência da soberania de Macau,澳門回歸
Covilhã,科維良
Belas,貝拉什
Bente,本特
Ilhéus das Formigas,福米加斯角
Fornelo,Fornelo
Carvalhais,卡尔瓦利艾什
Guarda,瓜達區
Santarém,圣塔伦
Comunidade Intermunicipal Viseu Dão Lafões,维塞乌杜奥拉福斯地方
espigueiro,霍雷奧
Seleção Portuguesa de Futebol,葡萄牙國家足球隊
Castelo Branco,布朗庫堡區
Torreira,Torreira
Monte Córdova,蒙蒂科尔多瓦
Monte Real,蒙蒂雷亞爾
Vila de Ala,阿拉镇
Paradela,Paradela
Remondes,Remondes
Fresulfe,Fresulfe
Friande,Friande (Felgueiras)
Mosteiro dos Jerónimos,熱羅尼莫斯修道院
Barros,巴鲁什
Barrô,Barrô (Águeda)
Basto,巴什图
Odivelas,奧迪韋拉什
Palmela,帕爾梅拉
Batalha,巴塔利亞
Estádio do Dragão,火龍球場
Besteiros,Besteiros (Amares)
Besteiros,Besteiros (Paredes)
Clube de Futebol Estrela da Amadora,艾馬多拉
Almeirim,阿尔梅林
Barqueiros,巴凯鲁什 (巴塞卢什)
Grupo Desportivo Fabril do Barreiro,法比爾體育會
orogenia hercínica,法利斯葛造山運動
Ordem de Cristo,大十字功績勳章
Miragaia,Miragaia (Porto)
São Miguel do Couto,São Miguel do Couto
Paço da Ribeira,利庇喇宮
Olo,奥卢
Base Aérea de Monte Real,蒙蒂雷亞爾空軍基地
eleições legislativas portuguesas de 1976,葡萄牙1976年立法选举
Duque de Bragança,布拉甘薩家族－布拉甘薩公爵
Mindelo,Mindelo (Vila do Conde)
Múrias,Múrias
Vale da Madre,Vale da Madre
Fonte Longa,丰蒂隆加
Lista de instituições de ensino superior de Portugal,葡萄牙大学列表
Tratado de Lisboa (1668),里斯本條約
eleições legislativas portuguesas de 2011,2011年葡萄牙議會選舉
Seixezelo,Seixezelo
Universidade dos Açores,亞速爾大學
Arouca,阿罗卡 (葡萄牙堂区)
Travanca,Travanca (Vinhais)
Moreira,Moreira (Maia)
Ribatejo,里巴特茹
Euronext,泛歐交易所
Clube de Futebol União de Lamas,迪拉马什联足球俱乐部
Arquipélago das Berlengas,贝伦加斯群岛
Estado Novo,新國家
Viseu,維塞烏區
Moreira de Cónegos,莫雷拉德科尼戈斯
Mosteiró,Mosteiró (Vila do Conde)
Évora,埃武拉區
Eucísia,Eucísia
Valverde,Valverde
Soeima,Soeima
Sambade,Sambade
Cascais,卡斯凯什
Estádio Municipal de Braga,布拉加市政球场
Alcácer do Sal,薩爾堡
Marmelos,Marmelos
Matosinhos,馬托西紐什
Cartaxo,卡爾塔舒
Mozelos,莫泽洛斯
A1 Team Portugal,A1葡萄牙車隊
Santa Maria,Santa Maria
Air Luxor,葡萄牙高飛航空
Vila de Cucujães,库库让伊什镇
Caçarilhe,Caçarilhe
Quintanilha,金塔尼利亚
Sé do Porto,波尔图主教座堂
Beirã,Beirã
Vilar do Paraíso,Vilar do Paraíso
Mourão,Mourão (Vila Flor)
Vilarinho de Agrochão,Vilarinho de Agrochão
Espadanedo,埃什帕内杜
Carrapatas,卡拉帕塔什
Castro Vicente,卡斯特罗维森特
Selores,Selores
Moure,Moure (Felgueiras)
Série 2600 da CP,葡萄牙铁路2600型电力机车
Série 4700 da CP,葡萄牙铁路4700型电力机车
Série 5600 da CP,葡萄牙铁路5600型电力机车
Bico,比科 (阿马雷斯)
Bicos,比库什
Diocese de Vila Real,天主教雷亞爾城教區
Vilela,Vilela (Paredes)
Castelo de Silves,锡尔维什城堡
Diocese de Santarém (Portugal),天主教聖塔倫教區 (葡萄牙)
Diocese de Setúbal,天主教塞圖巴爾教區
estrada europeia 80,欧洲E80公路
Urrós,Urrós (Mogadouro)
Setúbal,塞圖巴爾區
padrão,發現碑
Urrô,Urrô (Penafiel)
MEO Arena,阿尔蒂斯竞技场
Palácio de São Bento,圣本笃宫
Luso-tropicalismo,葡萄牙熱帶主義
Montijo,蒙蒂茹
Peredo,佩雷多
Parque Nacional da Peneda-Gerês,佩內達-格雷斯國家公園
Várzea do Douro,Várzea do Douro
Caniço,卡尼苏
Caniçal,卡尼萨尔
Franco,弗朗库
Sanhoane,Sanhoane
França,弗朗萨 (布拉干萨)
Sousa,索萨 (费尔盖拉什)
Frazão,弗拉藏
Frechas,弗雷沙斯
Lamas de Orelhão,Lamas de Orelhão
Vila Verde,韦尔迪镇
Penas Róias,Penas Róias
CTT Correios de Portugal,葡萄牙郵政
São Martinho de Angueira,São Martinho de Angueira
Linhares,Linhares
Antime,Antime
Associação Desportiva Ovarense,AD奥瓦伦塞
Caldas da Rainha,卡爾達斯達賴尼亞
Óbidos,奧比杜什
Instituto Camões,卡蒙斯學院
Globos de Ouro,葡萄牙金球獎
Aldoar,阿尔多阿尔
Ramalde,Ramalde
São Nicolau,São Nicolau
Abadim,Abadim (Cabeceiras de Basto)
Abambres,阿班布雷斯
Federação Portuguesa de Futebol,葡萄牙足球總會
Estádio José Alvalade,阿爾瓦拉德球場
Marinha Grande,大馬里尼亞
Aboadela,阿博阿德拉
Saldonha,Saldonha
Presidente da República Portuguesa,葡萄牙總統
Diocese do Funchal,天主教豐沙爾教區
Diocese da Guarda,天主教瓜達教區
Diocese de Leiria-Fátima,天主教萊里亞-花地瑪教區
Diocese de Portalegre-Castelo Branco,天主教波塔萊格雷-布朗庫堡教區
Resende,雷森迪
Penedono,佩內多諾
Mortágua,莫爾塔瓜
Moimenta da Beira,莫伊門塔達貝拉
Vale Benfeito,瓦莱本费托
Vale de Asnes,Vale de Asnes
Lagoaça,Lagoaça
Fradizela,弗拉迪泽拉
Convento do Carmo,卡尔莫修道院
Paranhos,帕拉纽什
São João Baptista,圣若昂-巴普蒂斯塔
Fronteira,Fronteira (freguesia)
Sendim da Ribeira,Sendim da Ribeira
Vale Pereiro,Vale Pereiro
Parambos,帕兰博斯
Vilar Chão,维拉尔尚
Mós,Mós (Torre de Moncorvo)
Museu do Design e da Moda,里斯本設計博物館
Santa Clara de Louredo,圣克拉拉-迪洛雷杜
Diocese de Beja,天主教貝雅教區
Diocese do Algarve,天主教法魯教區
Castelãos,卡斯特朗什
Ferreira,费雷拉
Pereiros,Pereiros
Freixo,Freixo (Marco de Canaveses)
Boavista dos Pinheiros,博阿维斯塔-杜什皮涅鲁什
Sport TV,Sport TV (葡萄牙)
Vinhas,维尼亚什
Abade de Vermoim,Abade de Vermoim
Bitarães,比塔朗伊什
Bloco de Esquerda,左翼集團
Aboim,阿博因 (法菲)
Aboim,阿博因
Aboim da Nóbrega,Aboim da Nóbrega
Arcozelo,阿尔科泽卢 (韦尔迪镇)
São Vicente,聖維森特
Abade de Neiva,阿巴迪迪-迪内瓦
Porto,波爾圖區
A Bola,足球报
Igreja de São Domingos (Santa Justa),圣多明我堂
Universidade Nova de Lisboa,里斯本新大學
Oliveira de Frades,奧利韋拉迪弗拉迪什
Borba,博爾巴
Borba de Montanha,博巴-迪蒙塔尼亚
Borba de Godim,Borba de Godim
Ílhavo,伊利亞武
Óis da Ribeira,Óis da Ribeira
ANA Aeroportos de Portugal S.A.,ANA葡萄牙機場集團
Castro Daire,代雷堡
Santa Comba Dão,聖孔巴當
Cinfães,辛方伊什
Nogueira da Regedoura,Nogueira da Regedoura
São Paio de Oleiros,São Paio de Oleiros
Alpalhão,阿尔帕良
Póvoa,Póvoa
Castelo Branco,卡斯特卢布兰库
Viana do Castelo,維亞納堡區
Grijó,格里若
Associação Naval 1º de Maio,拿華
Universidade da Beira Interior,贝拉英特拉大学
Partido Socialista,社會黨
Lajes das Flores,拉日斯达什弗洛里什
Cortiçadas,库尔蒂萨达什-迪拉夫勒
Palácio Nacional da Ajuda,阿茹达宫
Fânzeres,凡泽里什
Gebelim,Gebelim
Meirinhos,Meirinhos
Vilarinho do Monte,Vilarinho do Monte
Olmos,Olmos
Vale de Porco,瓦莱-迪波尔库
Pereira,佩雷拉
Cedães,Cedães
Saldanha,Saldanha
São Miguel do Mato,São Miguel do Mato (Arouca)
Alfena,阿尔费纳
Navais,纳瓦伊什
Beja,貝雅區
Bouça,Bouça
Branca,Branca (Albergaria-a-Velha)
Rali de Portugal,葡萄牙拉力赛
Valverde,Valverde
Sezulfe,Sezulfe
Lamas,拉马什
Sendim da Serra,Sendim da Serra
Murçós,Murçós
Silva,Silva
Vales,Vales
Legião Portuguesa,國家軍團
Académico Viseu Futebol Club,維塞烏學院足球會
Soutelo Mourisco,Soutelo Mourisco
Vilares de Vilariça,Vilares de Vilariça
Mascarenhas,Mascarenhas
Salselas,Salselas
Talhas,塔利亚什
Navalho,Navalho
Lagoa,拉戈阿
Vale de Salgueiro,瓦莱-迪萨尔盖鲁
Tó,托镇
Travanca,特拉万卡
Cabeceiras de Basto,卡贝塞拉什-德巴什图 (堂区)
Vila do Conde,孔迪镇 (葡萄牙堂区)
Castanheiro,卡什塔涅鲁
áreas metropolitanas de Portugal,都会区_(葡萄牙)
Santa Combinha,Santa Combinha
Moimenta,Moimenta (Vinhais)
Pombal,Pombal
demografia de Portugal,葡萄牙人口
Jardim da Praça do Império,帝国广场
São Pedro do Sul,南聖佩德羅
Bornes,博尼什
Borralha,博拉利亚
Jardim Botânico da Madeira,马德拉植物园
Boticas,博蒂卡什
"Embaixada dos Emirados Árabes Unidos em Lisboa, Portugal",阿拉伯联合酋长国驻葡萄牙大使馆
Ataque à Embaixada da Turquia em Lisboa,1983年土耳其驻葡萄牙大馆攻击事件
Adaúfe,阿达乌费
Adeganha,阿德加尼亚
Carta Constitucional portuguesa de 1826,1826年宪章
Braga,布拉加區
Almada,阿爾馬達
Estado Português da Índia,葡屬印度
Combate da Roliça,羅利薩戰役
Bonfim,Bonfim (Porto)
Arquitetura barroca em Portugal,葡萄牙的巴洛克建築
Volta a Portugal,环葡萄牙自行车赛
Bombarral,邦巴拉爾
Política externa de Portugal,葡萄牙外交
Corpo de Fuzileiros,葡萄牙海軍陸戰隊
Feira,Feira
Maia,Maia (freguesia)
Capelas,卡佩拉斯
Carrazeda de Ansiães,Carrazeda de Ansiães (freguesia)
Macedo de Cavaleiros,Macedo de Cavaleiros (freguesia)
boneco gigante,巨人和大头
Selvagem Pequena,小萨维奇岛
Banda das Três Ordens,三聯大十字勳章
Sever do Vouga,沃加河畔塞維爾
Aguada de Cima,上阿瓜达
Abrantes,阿布兰特什
TVI,獨立電視台
Ouca,Ouca
Aborim,阿博林
Abragão,阿布拉冈
Universidade de Coimbra,科英布拉大學
Terceira Travessia do Tejo,塔霍河三桥
Monumento Nacional,國家紀念物
Douro Litoral,海岸杜羅省
Miranda do Douro,Miranda do Douro (freguesia)
Rossas,Rossas (Arouca)
Freixo de Espada à Cinta,Freixo de Espada à Cinta (freguesia)
Cernadelo,塞尔纳德卢
Novelas,Novelas
Edroso,埃德罗索
Morais,莫赖斯
Mogo de Malta,Mogo de Malta
Travassô,Travassô
Barrancos,巴兰库什
Trás-os-Montes e Alto Douro,山後-上杜羅省
Cabanelas,Cabanelas (Vila Verde)
Caravelas,卡拉韦拉什
São Martinho do Peso,São Martinho do Peso
Valverde,Valverde
Talhinhas,Talhinhas
Vale da Porca,瓦莱达波卡
Paisagem da Cultura da Vinha da Ilha do Pico,皮库岛葡萄园文化的景观
Euronext Lisboa,Euronext里斯本
Open da Madeira,马德拉群岛公开赛
Selecção Portuguesa de Futebol de Praia,葡萄牙国家沙滩足球队
Cabreiros,卡布雷鲁斯 (布拉加)
Parque Natural de Montesinho,蒙特西尼奧自然公園
Parque Natural do Alvão,奥望自然公园
Cabeçudos,卡贝苏多斯
Pinhal do Norte,Pinhal do Norte
Palaçoulo,Palaçoulo
Futebol Clube Paços de Ferreira,费雷拉足球俱乐部
Izeda,伊泽达
Carrazedo,卡拉泽杜
Fornos,福尔努什
Abreiro,阿布雷罗
província ultramarina de Portugal,葡萄牙海外省
Relíquias,Relíquias
Lamalonga,Lamalonga
Cabeça Boa,卡贝萨博阿
Fornos,福尔努什
Poiares,Poiares
Cabeça Gorda,Cabeça Gorda
Passos,Passos
Valongo do Vouga,Valongo do Vouga
diversidade sexual em Portugal,葡萄牙LGBT權益
Sobreiró de Baixo,Sobreiró de Baixo
Pombal,蓬巴爾
Vilarinho das Azenhas,维拉里纽-达什阿泽尼亚什
Tróleis de Coimbra,科英布拉無軌電車
Clube de Futebol Andorinha de Santo António,安多里尼亞足球俱樂部
região de Portugal,葡萄牙大区
Banco de Portugal,葡萄牙銀行
Vila Real,雷阿爾城區
Tavira,塔維拉
Miranda do Corvo,科爾武河畔米蘭達
Castelo Branco,布朗库堡
Ponta Delgada (São José),圣荷西
RTP África,葡萄牙廣播電視公司非洲頻道
estrada europeia 90,欧洲E90公路
Várzea da Ovelha e Aliviada,Várzea da Ovelha e Aliviada
Favões,Favões
Vale de Prados,瓦莱-迪普拉杜什
Vila Boa do Bispo,Vila Boa do Bispo
São Miguel de Lousada,São Miguel de Lousada
Milheirós de Poiares,Milheirós de Poiares
Sonae,索奈
Estação Marquês de Pombal,蓬巴爾侯爵站
Estação Jardim Zoológico,動物園站
Podence,Podence
Luso,卢苏
Faílde,Faílde
Forças Populares 25 de Abril,人民力量 4 月 25 日
Ribeira de Nisa,Ribeira de Nisa
SIC,独立广播协会
Provedor de Justiça,申訴專員 (葡萄牙)
Livraria Lello,萊羅書店
subdivisão administrativa de Portugal,葡萄牙行政區劃
Adães,阿当伊斯
Grande Prémio de Portugal de 1989,1989年葡萄牙大獎賽
Parque Eduardo VII,爱德华七世公园
Sines,锡尼什
Batalha do Cabo de São Vicente,聖文生角戰役
Miranda do Douro,杜羅河畔米蘭達
Bragança,布拉干薩區
Albufeira,阿尔布费拉
relações entre Brasil e Portugal,巴西－葡萄牙關係
Lavradio,拉夫拉迪乌
Santa Maria de Belém,贝伦区
RTP3,葡萄牙廣播電視公司第三台
relações entre Espanha e Portugal,葡萄牙－西班牙關係
relações entre Portugal e França,法国－葡萄牙关系
Polícia de Segurança Pública,治安警察局（葡萄牙）
Vale,Vale
Seia,塞亞
Soalhães,Soalhães
Paço Ducal de Vila Viçosa,維拉維索薩公爵宮
Bilhete de identidade,葡萄牙國民身份證
Cerco de Almeida (1811),封鎖阿爾梅達
Vila Boa de Quires,Vila Boa de Quires
Constance,Constance
Chacim,Chacim
Vila Chã de Braciosa,Vila Chã de Braciosa
Rio de Galinhas,Rio de Galinhas
relações entre Bulgária e Portugal,保加利亚－葡萄牙关系
Clube Desportivo Arrifanense,阿里芬倫斯
Aguçadoura,阿古萨多拉
Estádio do Futebol Clube de Vizela,FC維薛拿體育場
Estádio de São Miguel,圣米格尔球场 (蓬塔德尔加达)
Estarreja,埃斯塔雷雅
Mealhada,梅阿利亞達
Aguiar,阿吉亚尔 (巴塞卢什)
Aguiar de Sousa,阿吉亚尔-迪索萨
Aguieiras,Aguieiras
Central Tejo,特茹发电站的历史
Club Sport Marítimo B,馬里迪莫體育會B隊
Clube Futebol Benfica,本菲卡C.F.
Cabo de Santa Maria,圣玛利亚角
Aveleda,阿韦莱达
São Jacinto,São Jacinto
Alfândega da Fé,阿尔凡德加-达菲 (堂区)
Gafanha da Encarnação,Gafanha da Encarnação
Estádio das Antas,安塔斯球场
Manhuncelos,Manhuncelos
São Bernardo,São Bernardo (Aveiro)
Padroense Futebol Clube,帕德罗恩斯足球俱乐部
Vila Chã,Vila Chã (Vale de Cambra)
Partido Republicano Português,葡萄牙共和党
PSR,革命社会党
Pessoas–Animais–Natureza,動物與自然黨
Parada de Todeia,Parada de Todeia
Sporting Clube de Portugal B,葡萄牙士砵亭B隊
Tabuado,塔布阿杜
Sport Clube Vila Real,雷阿尔体育俱乐部
Sport Clube de Mirandela,米蘭德拉體育俱樂部
Sport União Sintrense,辛特倫斯體育會
Sporting Clube de Pombal,彭巴體育會
Estação Olaias,奧萊亞斯站
Batalha do Buçaco,布薩高戰役
Agadão,阿加当
Penha Longa,Penha Longa
Fundão,豐當
Folhada,福利亚达
Mosteiro de Santa Cruz,圣十字修道院
Os Três Grandes,三巨頭
União Sport Clube Paredes,帕雷德斯联体育俱乐部
Airães,Airães
Airó,艾罗
Aião,Aião
Tribunal de Contas (Portugal),審計法院
Três F,3F政策
União Desportiva Vilafranquense,維拉法昆斯
Ajude,Ajude
Organização dos Estados Ibero-americanos,伊比利亚-美洲国家组织
Zona Internacional de Tânger,丹吉尔国际区
Sociedade de Geografia de Lisboa,里斯本地理學會
VIII Governo Constitucional de Portugal,第8届
VII Governo Constitucional de Portugal,第7届
Lista de entidades da mitologia lusitana,琉息太尼亞宗教
Vilanovense Futebol Clube,維拉奧雲斯
NOVA School of Business and Economics,NOVA商業與經濟學院
Agilde,阿吉尔迪
Anadia,阿納迪亞
Aliança Democrática,葡萄牙民主聯盟
Roios,Róios
M.R.P.P.,葡萄牙工人共产党/无产阶级政党重组运动
Partido Liberal Republicano,葡萄牙共和自由党
Ergue-te!,國家革新者黨
Torre de Dona Chama,Torre de Dona Chama
Vila Verde de Ficalho,菲卡柳绿镇
Quintos,Quintos
Madail,Madaíl
cinema de Portugal,葡萄牙電影
Barbacena,巴尔巴塞纳 (埃尔瓦什)
Aeródromo Municipal Bissaya Barreto,科英布拉機場
Campeonato Europeu de Futebol Sub-21 de 2006,2006年歐洲U-21足球錦標賽
Campo da Constituição,宪法球场
Carbonária Portuguesa,葡萄牙燒炭黨
Careto,波登西狂欢节
Vale de Cambra,瓦萊迪坎布拉
Agrela,阿格雷拉 (法菲)
Agrela,阿格雷拉 (圣蒂尔苏)
Agrobom,阿格罗博姆
Agrochão,Agrochão
Castelo de Paiva,派瓦堡
União Desportiva Oliveirense,奧利維倫斯體育會
São Marcos da Ataboeira,São Marcos da Ataboeira
Sobretâmega,Sobretâmega
Cartas de Inglaterra,英格兰来信
Penhas Juntas,Penhas Juntas
Aeroporto Internacional das Lajes,拉日什機場
Café A Brasileira,巴西人咖啡馆
Força Marítima Europeia,歐盟海上部隊
RTP2,葡萄牙廣播電視公司第二台
Estoril Open de 2008,伊斯托里爾公開賽
Aguada de Baixo,下阿瓜达
Agualva-Cacém,阿瓜尔瓦-卡森
Vasconcelos,瓦康塞洛斯
Diocese de Viana do Castelo,天主教維亞納堡教區
Sebolido,Sebolido
Astromil,阿斯特罗米尔
Rio Arade,阿拉德河
Travanca,Travanca
Eclipse solar de 12 de agosto de 2026,2026年8月12日日食
Taça da Liga de 2011–12,2011年至2012年葡萄牙联赛杯
São Salvador,Ílhavo (freguesia)
Perosinho,Perosinho
Cantanhede,坎塔涅迪
Arganil,阿加尼爾
Alto Alentejo,上阿連特茹
Vila Nova de Poiares,波亞里什新鎮
arquipélago da Madeira,马德拉群岛
Góis,戈伊什
Monção,蒙桑
Alter do Chão,阿爾特杜尚
Alto Alentejo,上阿連特茹
São João de Ovar,圣若昂-迪奥瓦尔
Aeroporto de Lisboa Humberto Delgado,里斯本机场
Vagos,瓦戈斯
Castelo de Monsanto,孟山都城堡
Castelo de Monsaraz,蒙薩拉什城堡
São Martinho do Campo,圣马蒂纽-杜坎普
Telheiras,泰萊拉斯站
Constituição portuguesa de 1976,葡萄牙憲法
Selecção Portuguesa de Futebol sub-17,葡萄牙 U17
Pena de morte em Portugal,葡萄牙死刑制度
Santa Maria Maior,大圣母玛丽亚（丰沙尔）
Beduído,贝杜伊杜
Estação Entre Campos,恩特雷坎波斯站
Campeonato da Europa de Equipas de 2009,2009年歐洲團體錦標賽
Oliveira de Azeméis,奧利韋拉迪阿澤梅什
Peroguarda,Peroguarda
Observatório Astronómico de Lisboa,里斯本天文台
Mateus (vinho),蜜桃紅
Amendoeira,Amendoeira (Macedo de Cavaleiros)
Batalha de Lagos,拉各斯海战
Ovar,奧瓦爾
Oliveira do Bairro,奧利韋拉-杜拜魯
Alvor,阿沃爾
Castelo de Almourol,阿爾莫羅城堡
São Martinho,圣马尔滕（丰沙尔）
Entre Douro e Minho,杜罗与米尼奥河间省
Exército Português,葡萄牙軍隊
Comité Olímpico de Portugal,葡萄牙奧林匹克委員會
Alvarelhos,阿尔瓦雷柳什
Pedroso,Pedroso (Vila Nova de Gaia)
Selmes,塞尔梅什
Salvador,萨尔瓦多
Missões diplomáticas de Portugal,葡萄牙駐外機構列表
Santa Maria de Lamas,Santa Maria de Lamas
Música de Portugal,葡萄牙音乐
Castelo de Óbidos,奧比杜什城堡
Arquitetura de Portugal,葡萄牙建筑
Santo António,聖安東尼奧
Pinela,Pinela
Sé de Lisboa,里斯本主教座堂
Alvaiázere,阿爾瓦亞澤里
Sé de Aveiro,阿威羅主教座堂
Intervenção Democrática,民主干预联盟
Castelo de Marvão,馬爾旺城堡
Vila Nova de São Bento,Vila Nova de São Bento
Estação Ferroviária do Rossio,羅西烏車站
Alverca do Ribatejo,阿爾華卡
Ordem do Império,殖民帝国勋章
Juromenha,Juromenha (Nossa Senhora do Loreto)
Quinta da Regaleira,雷加莱拉宫
lista do Património Mundial em Portugal,葡萄牙世界遺產列表
Santuário de Fátima,花地瑪聖母朝聖地
Covelas,Covelas (Trofa)
Figueira da Foz,菲蓋拉-達福什
Alvelos,阿尔韦卢什
Colégio Militar,葡萄牙軍事學院
Parque Natural da Serra da Estrela,埃什特雷拉山自然公園
Estádio 1.º de Maio (Braga),五月一日體育場
Estádio de São Luís,聖路易斯體育場
Alfarelos,阿爾法雷盧什
Cova da Iria,依利亞山谷
Amares,阿馬里什
Igreja de Santa Clara (Porto),聖克萊爾教堂
Grande Prêmio de Portugal de 2006 (MotoGP),2006年葡萄牙摩托車大獎賽
Grande Prémio de Portugal de 2005,2005年葡萄牙摩托車大獎賽
Capela dos Ossos,人骨礼拜堂
Movimento Nacional-Sindicalista,葡萄牙国家工团
Islão em Portugal,葡萄牙伊斯蘭教
Sanfins,Sanfins
Amarante,阿马兰蒂
Amareleja,Amareleja
geografia de Portugal,葡萄牙地理
Ruínas de Estoi,罗马米尔雷乌神庙
CP Urbanos do Porto,波爾圖城市鐵路
Assunção,Assunção (Elvas)
Campeonatos Internacionais de Badminton de Portugal,葡萄牙羽毛球國際賽
Portugal pro Vida,葡萄牙原生
Final da Liga dos Campeões da UEFA de 2013–14,2014年歐洲冠軍聯賽決賽
Mosteiró,Mosteiró
Aljubarrota,阿尔茹巴罗塔
Instituto Politécnico de Coimbra,科英布拉理工学院
Pombeiro de Ribavizela,Pombeiro de Ribavizela
história de Portugal (1834–1910),葡萄牙歷史
Igreja da Conceição Velha,圣母无玷始胎旧堂
escudo português,葡萄牙士姑度
Câmara dos Digníssimos Pares do Reino,贵族院
relações entre China e Portugal,中葡關係
Alvite,Alvite (Cabeceiras de Basto)
Alvites,Alvites
Alvito,阿爾維圖
Campeonato Português de Futebol – III Divisão,葡萄牙足球丙级联赛
Federação Portuguesa de Atletismo,葡萄牙田徑聯合會
eleições presidenciais portuguesas de 1958,1958年葡萄牙总统选举
Altice Portugal,葡萄牙電訊
Cruz Vermelha Portuguesa,葡萄牙红十字会
Amorim,Amorim
Gouveia,Gouveia (Alfândega da Fé)
castro,堡垒
São Gonçalo,圣贡萨洛（丰沙尔）
São Mamede de Recezinhos,São Mamede de Recezinhos
Candemil,坎德米尔
Copa Europeia/Sul-Americana de 1987,1987年洲際盃
Rans,Rans
Roge,Roge
Arões,Arões (Vale de Cambra)
Amora,阿莫拉
Assembleia Constituinte,葡萄牙制憲會議
Câmara Corporativa,葡萄牙协商会议
Golpe de 25 de Novembro de 1975,亲共产主义政变和温和派的反政变
Paralelo 38 N,北纬38度线
Lixa,利沙
Aveiro,阿威罗
Santa Luzia,圣卢西亚（丰沙尔）
Governador do Timor Português,葡属帝汶总督
Ancede,安塞迪
Paredes de Coura,帕雷迪什迪科拉
Ponte de Lima,蓬蒂迪利馬
Final da Liga dos Campeões da UEFA de 2003-04,2004年歐洲冠軍聯賽決賽
Portugal no Festival Eurovisão da Canção,葡萄牙在歐洲歌唱大賽之歷年表現
Aldreu,阿尔德雷乌
Alheira,阿列拉
Academia das Ciências de Lisboa,里斯本科学院
Vila Real,雷阿爾城
Chaves,查韋斯
Espiche,埃斯皮切
Saint Dominic's International School,聖多明各國際學院
Lisbon & Estoril Film Festival,里斯本與愛斯多尼影展
Estremadura,埃斯特马杜拉省
Estádio D. Afonso Henriques,安豐索·亨利克斯球場
São Romão do Coronado,São Romão do Coronado
Sanche,Sanche
Grande Prémio de Portugal de 1958,1958年葡萄牙大獎賽
São Mamede de Negrelos,São Mamede de Negrelos
Sandim,Sandim
Retorta,Retorta
Diário de Notícias,每日新聞報
Final do Campeonato Europeu de Futebol de 2004,2004年歐洲足球錦標賽決賽
Santiago de Bougado,Santiago de Bougado
Área Metropolitana do Porto,波尔图都市区
Sé de Braga,布拉加主教座堂
Grande Prémio de Portugal de 1960,1960年葡萄牙大獎賽
Lajes,拉日什
arquipélago dos Açores,亚速尔群岛
Argoncilhe,Argoncilhe
Arrifana,Arrifana (Santa Maria da Feira)
Associação dos Escoteiros de Portugal,葡萄牙童子軍協會
relações entre Timor-Leste e Portugal,東帝汶－葡萄牙關係
Eléctrico Futebol Clube,伊雷特克
Lacóbriga,拉科布里加
saúde em Portugal,葡萄牙國家醫療保健
Banho e Carvalhosa,巴纽和卡尔瓦略萨
Minho,米尼奧省
Murça,穆爾薩
São Julião de Palácios,聖茹利昂-迪帕拉西烏什
relações entre Dinamarca e Portugal,丹麦－葡萄牙关系
alferes,Alférez (軍銜)
