日本の元号,日本年號
尾幌駅,尾幌車站
落石駅,落石車站
西和田駅,西和田車站
GA文庫,GA文庫
下北条駅,下北條車站
国道26号,國道26號·(日本)
近鉄山田線,山田線·(近畿日本鐵道)
御来屋駅,御來屋車站
五色町,五色町
知覧町,知覽町
浦安駅・(鳥取県),浦安車站·(鳥取縣)
讃岐財田駅,讚岐財田站
下高井戸駅,下高井戶車站
津軽国定公園,津輕國定公園
高野龍神国定公園,高野龍神國定公園
薬院駅,藥院車站
与那国島海底地形,與那國島海底地形
黒木町,黑木町
二丈町,二丈町
立花町,立花町
中央公論新社,中央公論新社
明治の森箕面国定公園,明治之森箕面國定公園
浜岡原子力発電所,濱岡核電廠
野方駅,野方站
天橋立,天橋立
UBE・(企業),UBE·(企業)
奥羽越列藩同盟,奧羽越列藩同盟
水戸学,水戶學
宮崎大学,宮崎大學
とき・(列車),朱鷺號列車
丹沢大山国定公園,丹澤大山國定公園
平塚競技場,平塚競技場
日南海岸国定公園,日南海岸國定公園
大和青垣国定公園,大和青垣國定公園
六本木ヒルズ,六本木新城
高松城・(備中国),高松城·(備中國)
佐賀城,佐賀城
法隆寺,法隆寺
八幡市,八幡市
桜新町駅,櫻新町站
烏森駅,烏森站
紫香楽宮,紫香樂宮
初田牛駅,初田牛車站
元中,元中
応安,應安
明和,明和
至徳・(日本),至德·(日本)
暦応,曆應
寛文,寬文
康応,康應
正保,正保
貞享,貞享
沢駅,澤站
羽場駅・(長野県),羽場站·(長野縣)
ルビコン・(企業),陸必功
伊那松島駅,伊那松島站
宮木駅,宮木站
対馬市,對馬市
伊那新町駅,伊那新町站
木ノ下駅,木之下站
1-UPスタジオ,1-UP工作室
上田駅,上田車站
電撃文庫,電擊文庫
慶安,慶安·(日本)
貞治,貞治
日本の国立公園,日本国立公园
栗林公園,栗林公園
成田線,成田線
日本の裁判所,日本裁判所
つくば駅,筑波站
NHK放送センター,NHK广播电视中心
WiiConnect24,WiiConnect24
東京理科大学,東京理科大學
興福寺,興福寺·(奈良市)
ももいろクローバーZ,桃色幸運草Z
伊豆大島,伊豆大島
承応,承應
元亀,元龜
宝永,寶永
延文,延文
嘉慶・(日本),嘉慶·(日本)
総武快速線,總武快速線
天和・(日本),天和·(日本)
万治,萬治
宇和島藩,宇和島藩
小涌谷駅,小涌谷站
帝国劇場,帝國劇場
日高山脈襟裳国定公園,日高山脈襟裳國定公園
旭川市旭山動物園,旭川市旭山動物園
八戸城,八戶城
沖縄都市モノレール線,沖繩都市單軌電車線
渡島小島,渡島小島
箕輪城,箕輪城
印刷博物館,印刷博物館
妙義山,妙義山
MOODYZ,MOODYZ
別子銅山,別子銅山
延宝,延寶
元文,元文·(日本)
松本山雅FC,松本山雅足球會
寛延,寬延
秩父郡,秩父郡
こどもの日,儿童之日
昆布盛駅,昆布盛車站
相見駅,相見車站·(日本)
上尾幌駅,上尾幌車站
仙北町駅,仙北町車站
黒川駅・(香川県),黑川站·(香川縣)
とうきょうスカイツリー駅,東京晴空塔站
淀江駅,淀江車站
近鉄生駒線,生駒線
花咲駅,花咲站
坪尻駅,坪尻站
近鉄鈴鹿線,鈴鹿線
日本の経済史,日本經濟史
Yahoo!・JAPAN,Yahoo!·Japan
LUMIX,松下Lumix系列
文和,文和
西本願寺,西本願寺
弘和,弘和
永徳,永德·(日本)
永和・(日本),永和·(日本)
寛保,寬保
日本野球機構,日本棒球機構
松前郡,松前郡
嘉永,嘉永
新潟大学,新潟大学
カトリック長崎大司教区,天主教長崎總教區
宮山駅,宮山站
北見市,北見市
野間郡,野間郡
レイジングスピリッツ,忿怒雙神
伊予大平駅,伊予大平站
小田原市,小田原市
国見駅・(高知県),國見站·(高知縣)
熊本市交通局,熊本市交通局
土佐岩原駅,土佐岩原站
磯部駅・(群馬県),磯部站·(群馬縣)
南流山駅,南流山車站
土佐長岡駅,土佐長岡站
姉別駅,姉別車站
土佐穴内駅,土佐穴內站
なすの・(列車),那須野號列車
阿波川口駅,阿波川口站
北剣淵駅,北劍淵站
土佐北川駅,土佐北川站
大田口駅,大田口站
東北新幹線,東北新幹線
北高崎駅,北高崎站
大歩危駅,大步危站
黒井駅・(新潟県),黑井站·(新潟縣)
九十九里浜,九十九里濱
第二水俣病,第二水俁病
八幡町・(山形県),八幡町·(山形縣)
ニセコ積丹小樽海岸国定公園,新雪谷積丹小樽海岸國定公園
宮ノ下駅,宮之下站
菖蒲町,菖蒲町
騎西町,騎西町
生駒山,生駒山
吉原市,吉原市
結城藩,結城藩
西鉄福岡（天神）駅,西鐵福岡（天神）車站
大溝藩,大溝藩
大島・(愛媛県今治市),大島·(愛媛縣今治市)
桂川駅・(京都府),桂川站·(京都府)
龍谷大学,龍谷大學
千葉テレビ放送,千葉電視台
千葉工業大学,千葉工業大學
今治城,今治城
早良区,早良區
千葉銀行,千葉銀行
西大路駅,西大路站
剣淵駅,劍淵站
士別駅,士別站
山田西町駅,山田西町站
西鉄天神大牟田線,天神大牟田線
大杉駅,大杉站
後免駅,後免車站
角茂谷駅,角茂谷站
小歩危駅,小步危站
納沙布岬灯台,納沙布岬燈塔
近鉄吉野線,吉野線
土佐山田駅,土佐山田站
名鉄尾西線,尾西線
新改駅,新改站
東六線駅,東六線站
風連駅,風連站
木曽山脈,木曾山脈
飛騨山脈,飛驒山脈
国鉄EF81形電気機関車,日本国铁EF81型电力机车
高槻駅,高槻站
福山城・(備後国),福山城·(備後國)
兼六園,兼六園
富山の役,越中征伐
強羅駅,強羅車站
尾山神社,尾山神社
大沼国定公園,大沼國定公園
南林間駅,南林間站
佐渡島,佐渡岛
戸越公園駅,戶越公園站
地下鉄サリン事件,東京地鐵沙林毒氣事件
水戸藩,水戶藩
人形町駅,人形町站
新宿三丁目駅,新宿三丁目站
日本選手権シリーズ,日本大賽
父島,父岛
東京都立大学・(2020-),東京都立大學
東京メトロ丸ノ内線,丸之內線
富山大学,富山大學
奈良女子大学,奈良女子大學
東京メトロ東西線,東西線·(東京地鐵)
隠岐空港,隱岐機場
鳥取大学,鳥取大學
通天閣,通天閣
安城市,安城市·(日本)
羽村市,羽村市
一宮市,一宮市
石巻市,石卷市
枚方市,枚方市
静内町,靜內町
メルコホールディングス,Melco控股集團
尼崎藩,尼崎藩
北川辺町,北川邊町
厄神駅,厄神車站
富士町・(佐賀県),富士町·(佐賀縣)
岩槻藩,岩槻藩
玉泉寺・(下田市),玉泉寺·(下田市)
虻田町,虻田町
大和町・(佐賀県),大和町·(佐賀縣)
足利市駅,足利市站
熊石町,熊石町
菊池寛賞,菊池寬獎
穂別町,穗別町
洞爺村,洞爺村
東海寺・(柏市),東海寺·(柏市)
北長門海岸国定公園,北長門海岸國定公園
室戸阿南海岸国定公園,室戶阿南海岸國定公園
滋賀大学,滋賀大學
鈴鹿国定公園,鈴鹿國定公園
壱岐対馬国定公園,壹岐對馬國定公園
蔵王国定公園,藏王國定公園
早池峰国定公園,早池峰國定公園
デフスターレコーズ,DefSTAR·Records
愛知高原国定公園,愛知高原國定公園
西中国山地国定公園,西中國山地國定公園
揖斐関ヶ原養老国定公園,揖斐關原養老國定公園
安中藩,安中藩
道仁会,道仁會
万博記念公園駅・(大阪府),萬博紀念公園車站·(大阪府)
白川郷,白川鄉
犬山藩,犬山藩
栗橋町,栗橋町
道明寺の戦い,道明寺之戰
龍谷大前深草駅,龍谷大前深草站
富士河口湖町,富士河口湖町
豊岡藩,豐岡藩
久留里藩,久留里藩
鹿苑寺,鹿苑寺
ナゴヤドーム前矢田駅,名古屋巨蛋前矢田車站
長府藩,長府藩
加賀藩,加賀藩
エーザイ,卫材
小田原藩,小田原藩
花王,花王
金野駅,金野站·(日本)
塩釜口駅,鹽釜口車站
氷ノ山後山那岐山国定公園,冰之山後山那岐山國定公園
塚本駅,塚本站
三河湾国定公園,三河灣國定公園
北九州国定公園,北九州國定公園
日豊海岸国定公園,日豐海岸國定公園
室生赤目青山国定公園,室生赤目青山國定公園
JR東西線,JR東西線
秋吉台国定公園,秋吉台國定公園
九州中央山地国定公園,九州中央山地國定公園
尼崎駅・(JR西日本),尼崎站·(JR西日本)
浜名湖,濱名湖
ギラヴァンツ北九州,北九州向日葵
長治,長治·(日本)
静岡大学,靜岡大學
函館本線,函館本線
奈良駅,奈良車站
愛西市,愛西市
立川市,立川市
祖谷口駅,祖谷口站
諫早駅,諫早站
歯舞村,齒舞村
下山事件,下山事件
ダイヤと花の大観覧車,鑽石與花大摩天輪
陸前高田市,陸前高田市
飛鳥山公園,飛鳥山公園
三縄駅,三繩站
下士別駅,下士別站
近鉄南大阪線,南大阪線
土佐大津駅,土佐大津站
犀潟駅,犀潟車站
大徳寺,大德寺·(京都市)
パパドル!,爸爸偶像
名寄高校駅,名寄高校站
大日本愛国党,大日本愛國黨
山形自動車道,山形自動車道
長崎電気軌道,長崎電氣軌道
名寄駅,名寄站
多寄駅,多寄站
泰阜村,泰阜村
瑞穂駅,瑞穗站·(北海道)
名鉄竹鼻線,竹鼻線
近鉄長野線,長野線·(近畿日本鐵道)
繁藤駅,繁藤站
豊永駅,豐永站
大分県立芸術文化短期大学,大分县立艺术文化短期大学
池の浦駅,池之浦站
稚内市,稚內市
南浦和駅,南浦和車站
藩閥,藩閥
治安・(元号),治安·(日本)
天治,天治
ミッドタウン・タワー,中城大厦
嘉応,嘉應·(日本)
新日本プロレス,新日本職業摔角
泊村,泊村
京王堀之内駅,京王堀之內站
浦賀駅,浦賀站
高松宮殿下記念世界文化賞,高松宮殿下紀念世界文化獎
近鉄丹波橋駅,近鐵丹波橋站
損保ジャパン本社ビル,日本损害保险总部大楼
日本留学試験,日本留学考试
三千院,三千院
七五三,七五三
鳥海国定公園,鳥海國定公園
朝日町・(北海道),朝日町·(北海道)
千早赤阪村,千早赤阪村
南三陸金華山国定公園,南三陸金華山國定公園
大野城・(越前国),大野城·(越前國)
北檜山町,北檜山町
大成町,大成町
風連町,風連町
大阪湾,大阪灣
大滝村・(北海道),大瀧村·(北海道)
秋田蘭画,秋田蘭畫
雲仙市,雲仙市
上磯町,上磯町
ビジュアルアーツ,VISUAL·ARTS
関西大学,关西大学
立正大学,立正大學
京阪神,京阪神
横浜スタジアム,橫濱球場
熊本大学,熊本大學
築上町,築上町
筑紫郡,筑紫郡
男鹿国定公園,男鹿國定公園
筑北村,筑北村
築上郡,築上郡
小県郡,小縣郡
筑前町,筑前町
九州工業大学,九州工业大学
東金線,東金線
犬神,犬神
トイズファクトリー,TOY'S·FACTORY
千早城,千早城
名古屋工業大学,名古屋工業大學
徳島大学,德島大學
イオン・(企業),永旺
船橋市,船橋市
釧路市,釧路市
津軽海峡,津轻海峡
北星学園大学,北星学园大学
日本の民族問題,日本民族問題
舞岡駅,舞岡車站
信越化学工業,信越化學工業
宮川町,宫川町
水晶島,水晶島
三井物産,三井物產
砂田橋駅,砂田橋車站
弓道,弓道
成田市,成田市
いわき市,磐城市
つくば市,筑波市
別府市,別府市
A3チャンピオンズカップ2004,2004年A3冠军杯
松代藩,松代藩
熱田神宮西駅,熱田神宮西車站
福井藩,福井藩
三ツ沢上町駅,三澤上町車站
八事日赤駅,八事日赤車站
弘前藩,弘前藩
国際花と緑の博覧会,國際花與綠博覽會
西高蔵駅,西高藏車站
千歳山・(沖縄県),黄毛峰
岡山藩,岡山藩
徳山藩,德山藩
膳所藩,膳所藩
糸島市,絲島市
カラーテレビゲーム,Color·TV-Game
有田中井手の戦い,有田中井手之戰
東京メトロ銀座線,銀座線
海老江駅,海老江站
大阪天満宮駅,大阪天滿宮站
ケツメイシ,決明子·(團體)
鳥羽水族館,鳥羽水族館
入谷駅・(東京都),入谷站·(東京都)
Osaka・Metro千日前線,千日前線
南房総国定公園,南房總國定公園
山科駅,山科車站
四谷三丁目駅,四谷三丁目站
新中野駅,新中野站
オリエンタルエアブリッジ,東方空橋
参勤交代,參勤交代
Osaka・Metro南港ポートタウン線,南港港城線
片町線,片町線
古都における歴史的風土の保存に関する特別措置法,古都歷史的風土保存相關特別措置法
堺田駅,堺田車站
京橋駅・(大阪府),京橋站·(大阪府)
大和路線,大和路線
北新地駅,北新地站
Superfly,Superfly
日本製鉄,日本製鐵
北硫黄島,北硫磺島
根室本線,根室本線
梅田スカイビル,梅田藍天大廈
明石城,明石城
隼人,隼人
国立競技場駅,國立競技場站
中井駅,中井站
内閣総理大臣,內閣總理大臣
西区・(大阪市),西區·(大阪市)
はやぶさ・(探査機),隼鸟号探测器
外苑前駅,外苑前站
中野坂上駅,中野坂上站
名神高速道路,名神高速公路
小泉藩,小泉藩
フジテック,富士達
沼津藩,沼津藩
大洲藩,大洲藩
朝日町・(福井県),朝日町·(福井縣)
足利駅,足利站
剣山国定公園,劍山國定公園
蹴上駅,蹴上車站
国立公文書館,國立公文書館
石鎚国定公園,石鎚國定公園
玄海国定公園,玄海國定公園
関東地震,關東大地震
早稲田大学,早稻田大学
小伝馬町駅,小傳馬町站
築地駅,築地站
仲御徒町駅,仲御徒町站
比婆道後帝釈国定公園,比婆道後帝釋國定公園
三ノ輪駅,三之輪站
法住寺・(京都市),法住寺·(京都府)
神谷町駅,神谷町站
島根大学,島根大學
神戸駅・(兵庫県),神戶站·(兵庫縣)
茨木駅,茨木站
鳥取藩,鳥取藩
琉球独立運動,琉球独立运动
静岡新聞,靜岡新聞
中日新聞,中日新聞
北日本,北日本
DHC,DHC
八ヶ岳,八岳
郵政省,郵政省
在日ロシア人,在日俄羅斯人
国民栄誉賞,國民榮譽獎
芝公園駅,芝公園站
峰山藩,峰山藩
嵯峨野線,嵯峨野線
南阿佐ケ谷駅,南阿佐谷站
新福島駅,新福島站
和歌山城,和歌山城
八丁堀駅,八丁堀站
麻田藩,麻田藩
宍道湖,宍道湖
フジロックフェスティバル,日本富士搖滾音樂祭
三田駅・(東京都),三田站·(東京都)
会津大学,会津大学
宇摩郡,宇摩郡
南日本,南日本
国家公安委員会,國家公安委員會
日高市,日高市
泉岳寺駅,泉岳寺站
麻生内閣,麻生內閣
岡崎藩,岡崎藩
根室振興局,根室振興局
留萌振興局,留萌振興局
函館駅,函館車站
松坂城,松坂城
文化の日,文化之日
えちぜん鉄道,越前鐵道
文化庁,文化廳
文永,文永
白樺派,白桦派
参宮橋駅,參宮橋站
JRバス,JR巴士
金沢美術工芸大学,金泽美术工艺大学
梅宮大社,梅宮大社
練馬春日町駅,練馬春日町站
落合南長崎駅,落合南長崎站
新江古田駅,新江古田站
J1リーグ,日本甲組職業足球聯賽
西新宿五丁目駅,西新宿五丁目站
貴船神社,貴船神社
同人ゲーム,同人遊戲
成田空港駅,成田機場站
中越地方,中越地方
糸魚川静岡構造線,糸魚川靜岡構造線
中央林間駅,中央林間站
東武伊勢崎線,伊勢崎線
京王動物園線,動物園線
博多南駅,博多南車站
海浜幕張駅,海濱幕張站
京王相模原線,相模原線
桜田門駅,櫻田門站
晴明神社,晴明神社
東灘区,東灘區
溜池山王駅,溜池山王站
鳥島・(沖縄県),鳥島·(沖繩縣)
第37回世界卓球選手権,1983年世界乒乓球锦标赛
A-1・Pictures,A-1·Pictures
日本の鉄道信号,日本铁路信号
2008年北京パラリンピックの日本選手団,2008年夏季殘疾人奧林匹克運動會日本代表團
仙川駅,仙川站
天竜峡駅,天龍峽站
千代駅,千代站
東日本橋駅,東日本橋站
第2次小泉内閣,第二屆小泉內閣
自衛隊,自卫队
幕張本郷駅,幕張本鄉站
オリックス・(企業),歐力士
京王八王子駅,京王八王子車站
第19回参議院議員通常選挙,第19屆日本參議院議員通常選舉
東京テレポート駅,東京電訊站
白馬村,白馬村
軽井沢町,輕井澤町
岩間町,岩間町
女川町,女川町
羽田空港第1・第2ターミナル駅,羽田機場第1、第2航站樓站
越中国,越中國
台場駅,台場站
京急空港線,機場線·(京濱急行電鐵)
名古屋市営地下鉄名城線,名城線
肥前国,肥前國
明大前駅,明大前站
船岡駅・(宮城県),船岡車站·(宮城縣)
札沼線,札沼線
一乗谷城の戦い,一乘谷之戰
室蘭本線,室蘭本線
幕府,幕府·(日本)
愛媛大学,愛媛大學
三陸はるか沖地震,三陆遥冲地震
東京都庁,東京都廳
千歳線,千歲線
岡崎城,岡崎城
ローレル賞,桂冠獎
二条城,二條城
小田原城,小田原城
岡山城,岡山城
川越城,川越城
帯広駅,帶廣車站
甲子園口駅,甲子園口站
鳥取城,鳥取城
山口大学,山口大學
釧路駅,釧路車站
旭川駅,旭川車站
狭山藩,狹山藩
福井城,福井城
唐津城,唐津城
高知城,高知城
東大前駅,東大前站
長浜城・(近江国),長濱城·(近江國)
龍野藩,龍野藩
中城城,中城城
あさま,淺間號列車
スーパーはくと,超級白兔號列車
彦根城,彥根城
首里城,首里城
中国新聞,中國新聞·(日本)
京成上野駅,京成上野站
文藝春秋,文藝春秋
練馬駅,練馬站
横浜高速鉄道,橫濱高速鐵道
豊島園駅,豐島園站
東ソー,東曹株式會社
小谷城の戦い,小谷城之戰
板橋本町駅,板橋本町站
福岡市地下鉄箱崎線,箱崎線
郡山城・(大和国),郡山城·(大和國)
天草飛行場,天草飛行場
春日駅・(東京都),春日站·(東京都)
六本木一丁目駅,六本木一丁目站
SNK・(1978年設立の企業),SNK
山梨大学,山梨大學
小樽駅,小樽站
浜松城,濱松城
上川総合振興局,上川綜合振興局
立命館大学,立命馆大学
お茶の水女子大学,御茶水女子大學
西湖・(富士五湖),西湖·(富士五湖)
小樽商科大学,小樽商科大學
小川町駅・(東京都),小川町站·(東京都)
知多半島,知多半島
GIZA・studio,GIZA·studio
忍城,忍城
神宮寺,神宮寺
大島支庁・(東京都),大島支廳·(東京都)
心斎橋駅,心齋橋站
新下関駅,新下關車站
保谷市,保谷市
堺筋本町駅,堺筋本町站
神護寺,神護寺
上智大学,上智大學
三重大学,三重大學
天竜奥三河国定公園,天龍奧三河國定公園
東京芸術大学,東京藝術大學
理化学研究所,理化学研究所
安房郡,安房郡
幸区,幸區
山武郡,山武郡
代官山町,代官山町
金沢区,金澤區
入間郡,入間郡
神崎町,神崎町
栄区,榮區
加賀国,加賀國
武蔵国,武藏國
大和国,大和國
阿波国,阿波國
Sky・Dream・Fukuoka,天空之夢福岡
春日町・(愛知県),春日町·(愛知縣)
ゆうちょ銀行,郵貯銀行
長門国,長門國
陸奥国,陸奧國
桃山学院大学,桃山學院大學
鉄道総合技術研究所,鐵道綜合技術研究所
小値賀空港,小值賀機場
内子町,內子町
寺ヶ池,寺池
桜美林大学,櫻美林大學
2006年自由民主党総裁選挙,2006年自由民主党总裁选举
水郷筑波国定公園,水鄉筑波國定公園
東京メトロ千代田線,千代田線
西区・(さいたま市),西區·(埼玉市)
大里郡,大里郡
三宅島,三宅島
千代田・(千代田区),千代田·(千代田區)
久慈郡,久慈郡
比企郡,比企郡
大館能代空港,大館能代機場
祖母傾国定公園,祖母傾國定公園
第88回天皇杯全日本サッカー選手権大会,2008年日本天皇盃
ペッパーランチ,胡椒廚房
下北半島国定公園,下北半島國定公園
本渡市,本渡市
尊属殺重罰規定違憲判決,杀害尊亲属罪法定刑违宪事件
玉川上水,玉川上水
高家,高家
野田城の戦い,野田城之戰
二俣城の戦い,二俁城之戰
松江藩,松江藩
南区・(横浜市),南區·(橫濱市)
都筑区,都筑區
旭区・(横浜市),旭區·(橫濱市)
港南区,港南區·(日本)
Rhythm・zone,Rhythm·zone
瀬谷区,瀨谷區
室町幕府,室町幕府
中山道,中山道
琉球エアーコミューター,琉球空中通勤
福知山線,福知山線
三河湾,三河灣
吉良町,吉良町
平泉町,平泉町
東村,東村·(沖繩縣)
恩納村,恩納村
利府町,利府町
難波,難波
カシオペア・(列車),仙后座號列車
猿島郡,猿島郡
北群馬郡,北群馬郡
佐波郡,佐波郡
全国高等学校野球選手権大会,全國高等學校棒球錦標賽
邑楽郡,邑樂郡
中京区,中京區
多野郡,多野郡
原村,原村
城里町,城里町
宜野座村,宜野座村
神流町,神流町
下市町,下市町
下條村,下條村
読売日本交響楽団,讀賣日本交響樂團
Osaka・Metro中央線,中央線·(大阪市高速電氣軌道)
北海道新聞,北海道新聞
大阪フィルハーモニー交響楽団,大阪愛樂交響樂團
伊予国,伊予國
ドクターイエロー,黃博士
京急久里浜線,久里濱線
海峡線,海峽線
Leaf,Leaf
在日トルコ人,突厥裔日本人
沖ノ鳥島,冲之鸟岛
新千歳空港,新千歲機場
1964年東京オリンピックの射撃競技,1964年夏季奥林匹克运动会射击比赛
テレビ朝日,朝日電視台
クラレ,可樂麗
TVQ九州放送,TVQ九州放送
東大島駅,東大島站
神社本庁,神社本廳
福岡市地下鉄空港線,機場線·(福岡市地下鐵)
仙台市地下鉄南北線,仙台市地下鐵南北線
馬印,馬印
日本国政府と中華人民共和国政府の共同声明,中日聯合聲明
秋田朝日放送,秋田朝日放送
平戸島,平戶島
房総半島,房總半島
佐渡空港,佐渡機場
奥尻町,奧尻町
暴走族,暴走族
岡南飛行場,岡南飛行場
小笠原村,小笠原村
コンピュータエンターテインメント協会,计算机娱乐供应商协会
洞爺湖町,洞爺湖町
シング・(企業),Cing
太地町,太地町
天安・(日本),天安·(日本)
中央区・(千葉市),中央區·(千葉市)
承和・(日本),承和·(日本)
美浜区,美濱區
Navel,Navel
貞観・(日本),貞觀·(日本)
中区・(浜松市),中區·(濱松市)
花見川区,花見川區
西京区,西京區
相楽郡,相樂郡
吉岡町,吉岡町
浦和区,浦和區
南区・(京都市),南區·(京都市)
西加茂郡,西加茂郡
幡豆町,幡豆町
灘区,灘區
見沼区,見沼區
結城郡,結城郡
草食系,草食男
吉野郡,吉野郡
西区・(神戸市),西區·(神戶市)
上北山村,上北山村
田原本町,田原本町
黒滝村,黑瀧村
三郷町,三鄉町
東吉野村,東吉野村
高森町・(長野県),高森町·(長野縣)
井手町,井手町
扶桑町,扶桑町
紀宝町,紀寶町
売木村,賣木村
元興寺,元興寺
日本国際賞,日本国际奖
びわ湖放送,琵琶湖放送
新検見川駅,新檢見川站
幕張駅,幕張站
山形藩,山形藩
東船橋駅,東船橋站
浪江町,浪江町
双葉町,雙葉町
富岡町,富岡町
ジャパン・オープン・テニス選手権,日本網球公開賽
宇久町,宇久町
平井駅・(東京都),平井站·(東京都)
ワコール,華歌爾
城下町,城下町
下関市立大学,下關市立大學
水戸駅,水戶車站
山門郡,山門郡
巌流島,巖流島
今治藩,今治藩
宇和島城,宇和島城
岐阜薬科大学,岐阜藥科大學
産業技術総合研究所,產業技術綜合研究所
若葉区,若葉區
北の丸公園,北之丸公園
森永製菓,森永製菓
塩尻峠の戦い,盐尻峠之战
表参道ヒルズ,表参道Hills
稲毛区,稻毛區
日本の首都,日本首都
長崎駅,長崎站
浜益村,濱益村
モード学園コクーンタワー,Mode學園蟲繭大廈
栗沢町,栗澤町
河内町,河內町
大野町,大野町
阿南町,阿南町
エー・シー・ジー・ティー,A.C.G.T
RKB毎日放送,RKB每日放送
陸奥湾,陸奧灣
町奉行,町奉行
陣屋,陣屋
盛岡藩,盛岡藩
貝塚市,貝塚市
みよし市,三好市·(愛知縣)
千代田町,千代田町
山田町,山田町
東海村,東海村
上関町,上關町
大治町,大治町
宇治田原町,宇治田原町
武豊町,武豐町
山添村,山添村
京丹波町,京丹波町
皇室,日本皇室
石高,石高
仙洞御所,仙洞御所
稲毛駅,稻毛站
福島藩,福島藩
小浜城・(若狭国),小濱城·(若狹國)
NHK総合テレビジョン,NHK綜合頻道
棚倉藩,棚倉藩
日本ニュースネットワーク,日本新聞網·(日本電視台)
日本標準時,日本標準時間
名古屋テレビ放送,名古屋電視台
三池郡,三池郡
箱根温泉,箱根溫泉
一関藩,一關藩
二本松藩,二本松藩
ニッポン放送,日本放送
備後福山藩,福山藩·(備後國)
北相馬郡,北相馬郡
尺貫法,尺貫法
南区・(さいたま市),南區·(埼玉市)
厚田村,厚田村
岩国飛行場,岩國飛行場
北村・(北海道),北村·(北海道)
大阪芸術大学,大阪藝術大學
久世郡,久世郡
胆振線,膽振線
カルピス,可爾必思
本荘駅,本莊站·(福井縣)
古川橋駅,古川桥站
日本維新の会・(2012-2014),日本維新會·(2012年)
香川県立医療短期大学,香川县立医疗短期大学
日野江城,日野江城
西三荘駅,西三莊站·(日本)
門真市駅,門真市站
全日本吹奏楽コンクール,全日本吹奏樂大賽
玖島城,玖島城
北区・(京都市),北區·(京都市)
磯城郡,磯城郡
美方郡,美方郡
上伊那郡,上伊那郡
須磨区,須磨區
北足立郡,北足立郡
里庄町,里庄町
上水内郡,上水內郡
明石駅,明石站
刈羽郡,刈羽郡
精華町,精華町
上高井郡,上高井郡
東筑摩郡,東筑摩郡
岩船郡,岩船郡
養老郡,養老郡
北安曇郡,北安曇郡
明和町・(三重県),明和町·(三重縣)
野迫川村,野迫川村
大網白里市,大網白里市
由良町,由良町
南牧村・(長野県),南牧村·(長野縣)
山科区,山科區
甘楽郡,甘樂郡
内之浦宇宙空間観測所,內之浦宇宙空間觀測所
那珂川,那珂川
下京区,下京區
利根郡,利根郡
日本経済新聞,日本經濟新聞
マツダスピード,Mazdaspeed
札幌市電,札幌市電車
中海,中海
大化,大化·(日本)
沖縄自動車道,沖繩自動車道
富士郡,富士郡
愛川町,愛川町
明和町・(群馬県),明和町·(群馬縣)
横芝光町,橫芝光町
与謝野町,與謝野町
浦和市,浦和市
多摩区,多摩區
日本の交通,日本交通
2000年シドニーオリンピックの日本選手団,2000年夏季奧林匹克運動會日本代表團
今市市,今市市
高津区,高津區
宮前区,宮前區
長崎本線,長崎本線
霞ヶ浦,霞浦·(湖泊)
名古屋市営地下鉄上飯田線,上飯田線
中央本線,中央本線
浦安駅・(千葉県),浦安站·(千葉縣)
スターダストプロモーション,星塵傳播
和歌山大学,和歌山大學
新大塚駅,新大塚站
茗荷谷駅,茗荷谷站
稲敷郡,稻敷郡
綴喜郡,綴喜郡
三宅村,三宅村
中巨摩郡,中巨摩郡
南佐久郡,南佐久郡
東茨城郡,東茨城郡
一色町,一色町
阪和線,阪和線
早稲田駅,早稻田站
新高円寺駅,新高圓寺站
西蒲原郡,西蒲原郡
東蒲原郡,東蒲原郡
吉備国,吉備國
方南町駅,方南町站
東高円寺駅,東高圓寺站
淡路町駅,淡路町站
東銀座駅,東銀座站
田方郡,田方郡
新温泉町,新溫泉町
81プロデュース,81·Produce
日の出町,日之出町
お盆,御盆節
中魚沼郡,中魚沼郡
田上町,田上町
太子町・(兵庫県),太子町·(兵庫縣)
稲美町,稻美町
緑区・(名古屋市),綠區·(名古屋市)
上郡町,上郡町
西方町,西方町
大紀町,大紀町
野木町,野木町
清水町・(静岡県),清水町·(靜岡縣)
美浦村,美浦村
長南町,長南町
中川区,中川區
神河町,神河町
香美町,香美町
阿智村,阿智村
白子町,白子町
本所吾妻橋駅,本所吾妻橋站
上中里駅,上中里站
CON-CANムービーフェスティバル,魂观电影节
鷲宮町,鷲宮町
佐倉藩,佐倉藩
沖縄県の歴史,琉球历史
菊池市,菊池市
日本の学校制服,日本校服
東京都交通局日暮里・舎人ライナー,日暮里-舍人線
日本鉄道,日本鐵道
東本願寺,東本願寺
小机駅,小机車站
大蔵省,大藏省
聚楽第,聚樂第
蘇我氏,蘇我氏
東京農業大学,东京农业大学
牛郎織女,牛郎织女
アイスホッケー女子日本代表,日本国家女子冰球队
駒澤大学,駒澤大學
播但線,播但線
横浜市営地下鉄グリーンライン,綠線·(橫濱市營地下鐵)
倉賀野駅,倉賀野站
北鎌倉駅,北鎌倉站
寄居駅,寄居站
高麗川駅,高麗川站
東北学院大学,東北學院大學
初詣,初詣
城西国際大学,城西国际大学
ジャパン女子オープンテニス,日本女子网球公开赛
法務省,法務省
葉栗郡,葉栗郡
NTTデータグループ,NTT數據
普天間飛行場,普天間飛行場
ラブホテル,情侣酒店
花とゆめ,花與夢
青山霊園,青山靈園
三石町・(北海道),三石町
