Paris,파리
autoroute A8,오토루트 8호선
traité de Versailles,베르사유 조약
Loir,루아르강
jardin du rocher des Doms,로셰 데 돔
Sochaux,소쇼
armistice de 1918,콩피에뉴 휴전 협정
La Vernarède,라베르나레드
Éditions Gallimard,갈리마르 출판사
Festival de Cannes 1997,1997년 칸 영화제
Tourouzelle,투루젤
Champagne,샹파뉴
7e cérémonie des César,제7회 세자르상
Opéra de Paris,파리 국립 오페라
Pointe du Hoc,프앙테 뒤 오크
quartier administratif de Paris,파리의 행정 카르티에
Festival de Cannes 1988,1988년 칸 영화제
équipe de Saint-Martin de football,생마르탱 축구 국가대표팀
Festival de Cannes 1975,1975년 칸 영화제
Maringues,마랭그
quartier latin,카르티에 라탱
Houilles,우일
Vandœuvre-lès-Nancy,방되브르르낭시
Colombey-les-Deux-Églises,콜롱베레되제글리즈
Saint-Herblain,생테르블랭
Malakoff,말라코프
Viry-Châtillon,비리샤티용
La Valette-du-Var,라발레트뒤바르
éliminatoires du championnat d'Europe de football 1984,UEFA 유로 1984 예선
pont d'Avignon,생베네제 교
Institut de France,프랑스 학사원
Pierrefitte-sur-Seine,피에르피트쉬르센
Quick,퀵
Saint-Bauzile,생보질
17e régiment d'infanterie,제17보병연대
Épernon,에페르논
Bagnols-sur-Cèze,바뇰쉬르세즈
Les Lilas,레릴라
Époisses,에푸아스
Cap-d'Ail,카프다이
Bretagne Classic,GP 우에스트 프랑스
Wattrelos,우아트를로
Ris-Orangis,리조랑지스
Massy,마시
Loos,로스
Le Touquet-Paris-Plage,르투케파리플라주
abondance,아봉당스
Abondance,아봉당스
tunnel du Mont-Blanc,몽블랑 터널
Gravelines,그라블린
19e cérémonie des César,제19회 세자르상
Pau Football Club,포 FC
Saint-Maurice,생모리스
Tour Montparnasse,몽파르나스 타워
Saint-Germain-de-Montgommery,생제르맹드몽고므리
Les Epesses,레제페스
Ain,앵강
Argy,아르지
vol 4590 Air France,에어프랑스 4590편
phare de Nividic,니비딕 등대
Air Austral,에어 오스트랄
Air Calédonie,에어 칼레도니
Air Caraïbes,에어 카라이브
Air Corsica,에어 코르시카
Air France-KLM,에어 프랑스-KLM
Longues-sur-Mer,롱그쉬르메르
Gournay-sur-Aronde,구르네쉬르아롱드
Lectoure,레크투르
Air liquide,에어리퀴드
Air Guyane Express,에어 기아나 익스프레스
Air Inter,에어 인터
Aircalin,에어칼린
Marciac,마르시악
Airlinair,에어린에어
Gouvernement Alain Juppé II,제2차 쥐페 내각
Vélodrome Jacques-Anquetil,벨로드롬 드 뱅센
26e cérémonie des César,제26회 세자르상
centre pénitentiaire de Paris-La Santé,라상테 교도소
Île-de-Batz,일드바츠
Étretat,에트르타
Mortain,모르탱
Rimplas,랭플라스
fusilier-marin ou fusilière-marin,경보병 해병대
pont Mirabeau,미라보 다리
Saint-Jean-le-Centenier,생장르상트니에
Nonant,노낭
Les Eyzies-de-Tayac-Sireuil,레제지드타야크시뢰유
Houdain,우댕
Essoyes,에수아
Reviers,르비에
îles Lavezzi,라베치 군도
Rodez Aveyron Football,로데스 AF
île aux Cygnes,시뉴섬
îles du Salut,살뤼섬
limousin,리무쟁어
Samoussy,사무시
îles du Duc de Gloucester,듀크오브글로스터제도
église Saint-Sulpice de Paris,생 쉴피스 교회
Parti radical de gauche,좌익급진당
Crépon,크레퐁
AS Beauvais Oise,AS 보베 우아즈
AS Cannes,AS 칸
Réaux,레오
Labarrère,라바레르
Fontaine-Henry,퐁텐앙리
Rezé,르제
Sainte-Foy-de-Montgommery,생트푸아드몽고므리
Mazingarbe,마쟁가르브
Armagnacs,아르마냐크파
Port,포르
fête nationale française,혁명 기념일
Peyriat,페리아
Maillat,마야
Procès de Louis XVI,루이 16세의 재판
épidémie de gastro-entérite et de syndrome hémolytique et urémique de 2011 en Europe,2011년 독일 슈퍼박테리아 확산
route européenne 40,유럽 고속도로 40호선
liste des communes du Cher,셰르주의 코뮌 목록
opération Nordwind,노드윈드 작전
Cosne-Cours-sur-Loire,콘쿠르쉬르루아르
Tournefeuille,투른푀유
Six-Fours-les-Plages,시푸르레플라주
équipe de Nouvelle-Calédonie de football,누벨칼레도니 축구 국가대표팀
Joigny,주아니
cathédrale Notre-Dame de Rouen,루앙 대성당
liste des communes de la Charente-Maritime,샤랑트마리팀주의 코뮌 목록
Caloire,칼루아르
canal de Corse,코르시카 해협
Festival de Cannes 1989,1989년 칸 영화제
Festival de Cannes 1983,1983년 칸 영화제
Vertou,베르투
Savigny-le-Temple,사비니르탕플
Coupe de la Ligue française de football,쿠프 드 라 리그
Monflanquin,몬플랑퀸
Festival de Cannes 2009,2009년 칸 영화제
affaire des Placards,벽보 사건
Bures-sur-Yvette,뷔르쉬르이베트
Saint-Joseph,생조제프
élections législatives françaises de 1881,1881년 프랑스 총선
Le Havre AC,르아브르 AC
Lannilis,라닐리스
centre spatial guyanais,기아나 우주 센터
Rocamadour,로카마두르
Coray,코레
France Football,프랑스 풋볼
Lacoste,라코스테
orléanisme,오를레앙파
Alstom,알스톰
Arianespace,아리안스페이스
Courseulles-sur-Mer,쿠르쇨쉬르메르
Caumont-l'Éventé,코몽
pièces en euro de la France,프랑스의 유로 주화
Bretons,브르타뉴인
Forces armées françaises,프랑스군
château de Villandry,빌랑드리성
ligne Hindenburg,힌덴부르크선
US Boulogne CO,US 불로뉴
jardin du Luxembourg,뤽상부르 공원
Saint-Benoît,생브누아
élections législatives françaises de 1824,1824년 프랑스 총선
Le Creusot,르크뢰조
Landivisiau,랑디비지오
Saint-Marcel-d'Ardèche,생마르셀다르데슈
10e cérémonie des César,제10회 세자르상
palais du Luxembourg,뤽상부르궁
Villefranche-le-Château,빌프랑슈르샤토
Palais-Royal,팔레 루아얄
Dexia,덱시아
finale de la Ligue des champions de l'UEFA 2005-2006,2006 UEFA 챔피언스리그 결승전
église de la Madeleine,성 마리 마들렌느 성당
Saint-Priest,생프리스트
bataille des Cardinaux,키브롱 만 해전
Alzette,알제트강
purisme,순수주의
Altillac,알틸락
Chamaléa,참족
Planoise,플라누아즈
Creil,크레유
Aéroport de Paris,파리 공항
Institut français,프랑스 문화원
Transdev,트란스데브
vieux néerlandais,고대 네덜란드어
Missions étrangères de Paris,파리 외방전교회
Paris Saint-Germain F.C.,파리 생제르맹 FC
Avion,아비옹
mémorial de la Shoah,쇼아 기념관
Ingouches,인구시인
La Chapelle-Saint-Luc,샤펠생뤼크
Saint-Ségal,생세갈
commune française,코뮌
élection présidentielle française de 2012,2012년 프랑스 대통령 선거
Bataillon français de l'ONU,프랑스 대대
La Trinité,라트리니테
liste des communes des Hautes-Alpes,오트잘프주의 코뮌 목록
Brennilis,브렌닐리스
Red Star FC,레드 스타 FC
liste des communes des Yvelines,이블린주의 코뮌 목록
château de Chaumont-sur-Loire,쇼몽성
Thonon Évian Grand Genève Football Club,에비앙 토농 가야르 FC
Granville,그랑빌
Athies-sous-Laon,아티수랑
abbaye de Saint-Germain-des-Prés,생제르맹데프레 수도원
La Ricamarie,라리카마리
Le Teil,르테유
US Créteil-Lusitanos,US 크레테유-뤼시타노
relations entre la Corée du Sud et la France,대한민국-프랑스 관계
Buzançais,뷔장세
Délégation générale du Québec à Paris,주파리 퀘벡 정부 대표부
Parnasse,고답파
pont Neuf,퐁뇌프
Clairefontaine-en-Yvelines,클레르퐁텐앙이블린
Académie des inscriptions et belles-lettres,금석문·문예 아카데미
Académie des beaux-arts,미술 아카데미
Pointe-à-Pitre,푸앵타피트르
24e cérémonie des César,제24회 세자르상
École des Annales,아날학파
Académie de la Grande-Chaumière,그랑드 쇼미에르 아카데미
Direction générale de la sécurité extérieure,프랑스 대외 안보 총국
Académie des sciences morales et politiques,윤리·정치학 아카데미
ministère de la Culture,프랑스 문화부
Académie Suisse,아카데미 쉬스
Académie Julian,줄리안느 아카데미
Areva,아레바
liste des communes du Val-de-Marne,발드마른주의 코뮌 목록
extension ligne Genève - Chêne-Bourg - Annemasse,CEVA 철도
Fos-sur-Mer,포쉬르메르
Saint-Sébastien-sur-Loire,생세바스티앙쉬르루아르
Saint-Louis,생루이
Ville-d'Avray,빌다브레
drapeau de La Réunion,레위니옹의 기
Le Cordon Bleu,르 꼬르동 블루
France 2,프랑스 2
Équipe de France masculine de handball,프랑스 핸드볼 국가대표팀
gouvernement Pierre Bérégovoy,베레고부아 내각
plongeon aux Jeux olympiques d'été de 1924,1924년 하계 올림픽 다이빙
Grand Palais,그랑 팔레
langues régionales ou minoritaires de France,프랑스의 언어
Les Pavillons-sous-Bois,레파비용수부아
Manot,마노
Air Tahiti Nui,에어 타히티 누이
Mèze,메즈
Cyclisme aux Jeux olympiques de 1900 – 25 kilomètres hommes,1900년 하계 올림픽 사이클 남자 25km
Wassigny,와시니
équipe de Guadeloupe de football,과들루프 축구 국가대표팀
gouvernement Pierre Mauroy II,재2차 모루아 내각
gouvernement Dominique de Villepin,드 빌팽 내각
place du Tertre,테르트르 광장
Corsair International,코스에어 국제항공
élections régionales françaises de 2004,2004년 프랑스 레지옹 선거
arrondissement de Nanterre,낭테르 아롱디스망
Festival de Cannes 1963,1963년 칸 영화제
géant de processions et de cortèges,행렬의 거인
équipe de France de basket-ball,프랑스 농구 국가대표팀
Sainte-Marie-aux-Mines,생트마리오민
Action contre la faim,기아대책행동
Groupe Actéon,아크테온 제도
Pérignon,동 페리뇽
Rillieux-la-Pape,릴리외라파프
université Lille-I,대학 캠퍼스1
gouvernement Pierre Mauroy I,재1차 모루아 내각
Tricolore,트리콜로
Festival de Cannes 1996,1996년 칸 영화제
Grande-Terre,그랑드테르
Sainte-Anne,생탄
27e cérémonie des César,제27회 세자르상
BNP Paribas,BNP 파리바
Lourmarin,루르마랭
archidiocèse d'Avignon,가톨릭 아비뇽 대교구
Hachette,아셰트
ES Troyes AC,트루아 AC
Quartier des Halles,알
Avions de transport régional,ATR
En avant Guingamp,EA 갱강
stade Chaban-Delmas,스타드 샤방델마스
Nogent-le-Roi,노겐트르로이
Livarot,리바로
Dassault Aviation,다소 항공
Monte-Carlo Masters,몬테카를로 마스터스
Trappes,트라프
liste des communes de la Loire,루아르주의 코뮌 목록
Louhans,루앙
Pléiade,플레야드파
Sucy-en-Brie,쉬시앙브리
Villeparisis,빌파리지
Juifs mizrahim,미즈라흐 유대인
Lion-sur-Mer,리옹쉬르메르
Vélizy-Villacoublay,벨리지빌라쿠블레
observatoire de Paris - PSL,파리 천문대
Sainte-Foy-lès-Lyon,생트푸아레리옹
La Brigue,라브리그
Mathieu,마티외
Merville-Franceville-Plage,메르빌프랑스빌플라주
vol Turkish Airlines 981,터키 항공 981편 추락 사고
Clermont,클레르몽
Club de Paris,파리 클럽
Conservatoire national supérieur de musique et de danse de Paris,파리 음악원
Maisons-Laffitte,메종라피트
Polo aux Jeux olympiques de 1900,1900년 하계 올림픽 폴로
Dombasle-sur-Meurthe,동발쉬르뫼르트
Sevran,세브랑
Firminy,피르미니
Cotentin,코탕탱반도
Dijon FCO,디종 FCO
îles Gambier,강비에 제도
Chaource,샤우르스
