Portugal,葡萄牙
Futebol Clube de Arouca,阿洛卡足球會
Gare do Oriente,里斯本东站
Estação Ferroviária de Porto-Campanhã,坎帕尼揚車站
Distrito de Viana do Castelo,維亞納堡區
Volta a Portugal,环葡萄牙自行车赛
Distrito de Braga,布拉加區
Arquitetura barroca em Portugal,葡萄牙巴洛克
Marzagão (Carrazeda de Ansiães),马尔扎冈·(卡拉泽达-迪安西昂伊什)
Caíde de Rei,卡伊迪-迪雷
Rebordãos,雷博尔当什
Massarelos,马萨雷卢什
Vitória (Porto),维多利亚·(波尔图)
Meixedo (Bragança),梅谢杜·(布拉干萨)
Amares (freguesia),阿马里什·(堂区)
Abrantes,阿布兰特什
Almada,阿爾馬達·(葡萄牙)
Abreiro,阿布雷罗
Província ultramarina,海外省·(葡萄牙)
Fajozes,法若齐什
Santiago de Subarrifana,圣地亚哥-迪苏巴里法纳
Silvares (Lousada),锡尔瓦里什·(洛萨达)
Foz do Douro,杜罗河畔福斯
Louredo (Paredes),洛雷杜·(帕雷迪什)
Faro do Alentejo,法鲁-杜阿连特茹
Nossa Senhora da Graça dos Degolados,格拉萨圣母城-杜什德戈拉杜什
Paços de Gaiolo,帕苏什-迪加约卢
São Lourenço do Douro,圣洛伦索-杜多鲁
Matela (Vimioso),马特拉·(维苗苏)
Arcos (Anadia),阿尔库什·(阿纳迪亚)
Vale das Fontes,瓦莱-达什丰迪什
Serapicos (Bragança),塞拉皮库什·(布拉干萨)
Medas,梅达什
Aguada de Cima,上阿瓜达
Sever do Vouga,沃加河畔塞維爾
Basto (Cabeceiras de Basto),巴什图
Barrô (Águeda),巴罗·(阿格达)
Beire,贝里·(葡萄牙)
Conde (Guimarães),孔德·(吉马良斯)
Beiriz,贝里兹
Beira (Portugal),贝拉省·(葡萄牙)
Batalha (Portugal),巴塔利亞·(葡萄牙)
Baçal,巴萨尔
Beira Grande,大贝拉
Bemposta (Mogadouro),本波斯塔
Ferradosa,费拉多萨
Aradas,阿拉达什
Barros (Vila Verde),巴鲁什
Grupo Desportivo Fabril do Barreiro,法比爾體育會
Palácio da Bolsa,证券交易所宫·(波尔图)
Estádio da Madeira,馬德拉體育場
Cepães,塞庞埃斯
Adaúfe,阿达乌费
Adeganha,阿德加尼亚
Paço da Ribeira,里韦拉宫
Miragaia (Porto),米拉加亚·(波尔图)
São Miguel do Couto,圣米格尔-杜科图
Pedreira (Felgueiras),佩德雷拉·(费尔盖拉什)
Mindelo (Vila do Conde),明德卢·(孔迪镇)
Universidade de Coimbra,科英布拉大學
Travassô,特拉瓦索
Barrancos,巴兰库什
Gondesende,贡德森迪
Campeonato Mundial de Esgrima de 2002,2002年世界击剑锦标赛
Belmonte (Portugal),貝爾蒙蒂·(葡萄牙)
Belazaima do Chão,贝拉宰马-杜尚
Belinho,贝利尼奥
Fermentelos,费尔门特卢什
Felgar,费尔加尔
Felgueiras (Torre de Moncorvo),费尔盖拉什·(托里-迪蒙科尔武)
Bente,本特
Beringel,贝林热尔
Paramos,帕拉穆什
Folgosa (Maia),福尔戈萨·(马亚)
Clube Desportivo das Aves,艾維斯體育會
Calvos (Guimarães),卡沃斯·(吉马良斯)
Gemunde,热蒙迪
Ferreiró (Vila do Conde),费雷罗·(孔迪镇)
Festival RTP da Canção,葡萄牙音樂節
Tavira,塔維拉
Batalha do Cabo de São Vicente (1797),聖文生角海戰·(1797年)
Sines,锡尼什
Almeirim (Portugal),阿尔梅林
Cartaxo,卡爾塔舒
Ribatejo,里巴特茹省
Matosinhos,馬托西紐什
Distrito de Bragança,布拉干薩區
Miranda do Douro,杜羅河畔米蘭達
Castelo Branco,布朗库堡
São Gonçalo (Amarante),圣贡萨洛·(阿马兰蒂)
Instituto Nacional de Estatística (Portugal),国家统计研究所·(葡萄牙)
Fridão,弗里当
Primeira Liga de 2011–12,2011年至2012年葡萄牙足球超级联赛
Euronext,泛歐交易所
Clube Desportivo de Tondela,唐迪拉體育會
Teixeira (Baião),泰谢拉·(拜昂)
Clube Desportivo Trofense,泰羅芬斯體育會
Loivos do Monte,洛伊武什-杜蒙蒂
Sobrado (Castelo de Paiva),索布拉杜·(派瓦堡)
Freixiel,弗雷谢尔
São Pedro de Sarracenos,圣佩德罗-迪萨拉塞努什
Soeira,索埃拉
Universidade do Porto,波爾圖大學
Moreira (Maia),莫雷拉·(马亚)
Travanca (Vinhais),特拉万卡·(维尼艾什)
Mosteiró (Vila do Conde),莫斯泰罗·(孔迪镇)
Moure (Felgueiras),莫里·(费尔盖拉什)
Albufeira,阿尔布费拉
Grande Prémio de Portugal de 1989,1989年葡萄牙大獎賽
Santa Maria de Belém,贝伦区
Estádio Municipal de Braga,布拉加市政球场
Covilhã,科維良
Partido Socialista (Portugal),社會黨·(葡萄牙)
Transferência da soberania de Macau,澳門回歸
Associação Naval 1.º de Maio,拿華
Roios,罗尤什
Banco de Portugal,葡萄牙銀行
Distrito de Vila Real,雷阿尔城区
Organização territorial de Portugal,葡萄牙行政區劃
Melres,梅尔里什
Viariz,维亚里什
Madalena (Amarante),马达莱纳·(阿马兰蒂)
Cavez,塞韦兹
Alcácer do Sal,薩爾堡·(塞圖巴爾區)
Odivelas,奧迪韋拉什·(里斯本區)
Série 4700 da CP,葡萄牙铁路4700型电力机车
Série 2600 da CP,葡萄牙铁路2600型电力机车
Série 5600 da CP,葡萄牙铁路5600型电力机车
Palmela,帕爾梅拉·(塞圖巴爾區)
Adães,阿当伊斯
Bico (Amares),比科·(阿马雷斯)
Mourão (Vila Flor),莫朗·(费洛尔镇)
Vila de Cucujães,库库让伊什镇
Trás-os-Montes e Alto Douro,山后-上杜罗省
RTP África,葡萄牙廣播電視公司非洲頻道
Estrada europeia 90,欧洲E90公路
Aldão,阿尔当
Costa (Guimarães),科斯塔·(吉马良斯)
Fregim,弗雷任
Gondim,贡丁
Palácio de Mateus,馬特烏斯宮
Freixo de Baixo,弗雷舒-迪拜舒
Campelo (Baião),坎佩卢·(拜昂)
Travanca (Amarante),特拉万卡·(阿马兰蒂)
Jazente,雅曾蒂
Carneiro (Amarante),卡尔内鲁·(阿马兰蒂)
Santa Cruz do Douro,圣克鲁什-杜多鲁
Vila Nova da Telha,特利亚新镇
Bicos,比库什
Arnoia,阿尔诺亚·(葡萄牙)
Vila Garcia (Amarante),加尔西亚镇·(阿马兰蒂)
Vila Caiz,凯什镇
Tresouras,特雷索拉什
Nogueira (Maia),诺盖拉·(马亚)
Real (Amarante),雷亚尔·(阿马兰蒂)
Salvador do Monte,萨尔瓦多-杜蒙蒂
Mesquinhata,梅什吉尼亚塔
São Martinho de Sardoura,圣马蒂纽-迪萨尔多拉
Frende,弗伦迪
Telões (Amarante),特隆伊什·(阿马兰蒂)
Aeródromo do Corvo,科尔武机场
Vila Cova (Penafiel),科瓦镇·(佩纳菲耶尔)
Santa Maria de Sardoura,圣玛丽亚-迪萨尔多拉
Parque das Nações,万国公园
Monte Córdova,蒙蒂科尔多瓦
Monte Real,蒙蒂雷亞爾
Arouca (freguesia),阿罗卡·(葡萄牙堂区)
Moimenta da Beira,莫伊門塔達貝拉
Penedono,佩內多諾
Mortágua,莫爾塔瓜
Resende (Portugal),雷森迪·(葡萄牙)
Igreja de São Domingos (Santa Justa),圣多明我堂·(里斯本)
Fronteira (freguesia),弗龙泰拉·(葡萄牙堂区)
Mealhada,梅阿利亞達
Estarreja,埃斯塔雷雅
Figueira dos Cavaleiros,菲盖拉-杜斯卡瓦莱鲁什
Campeonato Europeu de Futebol Sub-21 de 2006,2006年歐洲U-21足球錦標賽
Aveleda (Vila do Conde),阿韦莱达·(孔迪镇)
Mofreita,莫夫雷塔
Figueiró (Paços de Ferreira),菲盖罗·(帕库什-迪费雷拉)
Santa Comba Dão,聖孔巴當
Castro Daire,代雷堡
Cinfães,辛方伊什
Oliveira de Frades,奧利韋拉迪弗拉迪什
Fornelo,福尔内卢
Paraíso (Castelo de Paiva),帕拉伊苏·(派瓦堡)
Cepelos (Amarante),塞佩卢什·(阿马兰蒂)
São Pedro Fins (Maia),圣佩德罗-芬什
Grilo (Baião),格里卢·(拜昂)
Valadares (Baião),瓦拉达里什·(巴扬)
Ovil,奥维尔·(葡萄牙堂区)
Sé do Porto,波尔图主教座堂
Quintanilha,金塔尼利亚
Ramalde,拉马尔迪
São Nicolau (Porto),圣尼古劳·(波尔图)
Paranhos (Porto),帕拉纽什·(波尔图)
São João Batista (Beja),圣若昂-巴普蒂斯塔
Aldoar,阿尔多阿尔
Miranda do Corvo,科爾武河畔米蘭達
Santa Clara de Louredo,圣克拉拉-迪洛雷杜
Caçarilhe,卡萨里利
Vilar do Paraíso,维拉尔-杜帕拉伊苏
Vilela (Paredes),维莱拉·(帕雷迪什)
Mós (Torre de Moncorvo),莫什·(托里-迪蒙科尔武)
Beirã,贝朗·(葡萄牙)
Futebol Clube Paços de Ferreira,費利拿柏蘇斯足球會
Estado Novo (Portugal),新國家·(葡萄牙)
Luso-tropicalismo,葡萄牙熱帶主義
Castelo de Silves,锡尔维什城堡
Alfena,阿尔费纳
Navais,纳瓦伊什
Club Football Estrela da Amadora,艾馬多拉足球會
Besteiros (Paredes),贝斯泰鲁什·(帕雷迪什)
Montijo,蒙蒂茹·(葡萄牙)
Besteiros (Amares),贝斯泰鲁什·(阿马里什)
Gueifães,盖方伊什
Orogenia hercínica,华力西造山运动
História da Central Tejo,特茹发电站的历史
São Jacinto (Aveiro),圣雅辛图
Alfândega da Fé (freguesia),阿尔凡德加-达菲·(堂区)
Estação Olaias,奧萊亞斯站
Manhuncelos,马尼温塞卢什
Gafanha da Encarnação,加法尼亚-达恩卡尔纳桑
Diocese de Beja,天主教貝雅教區
Diocese da Guarda,天主教瓜達教區
Diocese do Algarve,天主教法魯教區
Diocese do Funchal,天主教豐沙爾教區
Agrochão,阿格罗尚
Vale de Cambra,瓦萊迪坎布拉
Agrela (Fafe),阿格雷拉·(法菲)
Agrela (Santo Tirso),阿格雷拉·(圣蒂尔苏)
Agrobom,阿格罗博姆
Diocese de Portalegre-Castelo Branco,天主教波塔萊格雷-布朗庫堡教區
Estrada europeia 80,欧洲E80公路
Diocese de Setúbal,天主教塞圖巴爾教區
Diocese de Vila Real,天主教雷亞爾城教區
Diocese de Leiria-Fátima,天主教萊里亞-花地瑪教區
Diocese de Santarém,天主教聖塔倫教區·(葡萄牙)
Santa Leocádia (Baião),圣莱奥卡迪亚·(巴扬)
Rebordosa,雷博尔多萨
Ribadouro,里巴多鲁
Bitarães,比塔朗伊什
Fornos (Castelo de Paiva),福尔努什·(派瓦堡)
Boticas,博蒂卡什
Bornes,博尼什
Borralha,博拉利亚
Castelo de Paiva,派瓦堡
Capelins (Santo António),卡佩林什·(圣安东尼奥)
Ovar,奧瓦爾·(葡萄牙)
Vagos,瓦戈斯
Aeroporto Humberto Delgado,里斯本機場
Oliveira do Bairro,奧利韋拉-杜拜魯
Louredo (Amarante),洛雷杜·(阿马兰蒂)
Santa Marinha do Zêzere,圣马里尼亚-杜泽泽里
Teixeiró,泰谢罗
Oliveira (Amarante),奥利韦拉·(阿马兰蒂)
Universidade Nova de Lisboa,里斯本新大學
Demografia de Portugal,葡萄牙人口
Branca (Albergaria-a-Velha),布兰卡·(旧阿尔贝加里亚)
Terceira Travessia do Tejo,塔霍河三桥
Bouça (Mirandela),博萨·(葡萄牙)
Final da Liga Europa da UEFA de 2013–14,2014年歐霸盃決賽
Províncias de Portugal,省·(葡萄牙)
Douro Litoral,滨海杜罗省
Basílica da Santíssima Trindade,法蒂玛天主圣三教堂
Aguada de Baixo,下阿瓜达
Agualva-Cacém,阿瓜尔瓦-卡森
Aguçadoura,阿古萨多拉
Aguiar de Sousa,阿吉亚尔-迪索萨
Aguiar (Barcelos),阿吉亚尔·(巴塞卢什)
Aguieiras,阿吉埃拉斯
Saldonha,萨尔多尼亚
Bloco de Esquerda,左翼集團·(葡萄牙)
Boavista dos Pinheiros,博阿维斯塔-杜什皮涅鲁什
Oliveira de Azeméis,奧利韋拉迪阿澤梅什
Airães,艾朗伊斯
Airó,艾罗
Aião,艾昂·(葡萄牙)
Anadia (Portugal),阿納迪亞·(葡萄牙)
Agilde,阿吉尔迪
Agadão,阿加当
São Miguel do Mato (Arouca),圣米格尔-杜马图·(阿罗卡)
Romariz,罗马里什
Sé Velha de Coimbra,科英布拉旧主教座堂
Bombarral,邦巴拉爾
São Paio de Oleiros,圣帕约-迪奥莱鲁什
Alpalhão,阿尔帕良
Remondes,雷蒙迪什
Carvalhais (Mirandela),卡尔瓦利艾什·(米兰德拉)
Paradela (Mogadouro),帕拉德拉·(莫加多鲁)
Vila de Ala,阿拉镇
Maia (freguesia),马亚·(葡萄牙堂区)
Religião em Portugal,葡萄牙宗教
Eleições presidenciais portuguesas de 1949,1949年葡萄牙总统选举
Áreas metropolitanas de Portugal,都会区·(葡萄牙)
Partido Comunista (Reconstruído),共产党（重建）
Ministério da Educação (Portugal),葡萄牙教育部
Cabeceiras de Basto (freguesia),卡贝塞拉什-德巴什图·(堂区)
Vila do Conde (freguesia),孔迪镇·(葡萄牙堂区)
Rua Augusta (Lisboa),奥古斯塔街凯旋门
Rio Meão,里奥梅昂
Mosteiro de Tibães,蒂班耶什圣玛尔定修道院
Ajude,阿茹迪
Góis,戈伊什
Organização dos Estados Ibero-americanos,伊比利亚-美洲国家组织
Borba de Godim,博巴-迪戈丁
Borba (Portugal),博爾巴·(葡萄牙)
Borba de Montanha,博巴-迪蒙塔尼亚
Bonfim (Porto),邦芬·(波尔图)
Torreira,托雷拉
Guetim,盖廷
Vermoim (Maia),韦尔莫因·(马亚)
Santa Cristina de Figueiró,圣克里斯蒂娜-迪菲盖罗
Gove,戈维
Loivos da Ribeira,洛伊武什-达里贝拉
Freixo de Cima,弗雷舒-迪西马
Mancelos,曼塞卢什
Lomba (Amarante),隆巴·(阿马兰蒂)
Padronelo,帕德罗内卢
Nogueira da Regedoura,诺盖拉-达雷热多拉
São Tomé de Covelas,圣多美-迪科韦拉什
Parada (Alfândega da Fé),帕拉达·(阿尔凡德加-达菲)
Diocese de Viana do Castelo,天主教維亞納堡教區
Monção (Portugal),蒙桑·(維亞納堡區)
Vila Nova de Poiares,波亞里什新鎮
Sebolido,塞博利杜
Arganil,阿加尼爾
Astromil,阿斯特罗米尔
Cantanhede (Portugal),坎塔涅迪·(葡萄牙)
Alto Alentejo (província),上阿连特茹省
Figueira da Foz,菲蓋拉-達福什
Covelas (Trofa),科韦拉什·(特罗法)
Geografia de Portugal,葡萄牙地理
Valverde (Mogadouro),瓦尔韦尔迪·(莫加多鲁)
São Martinho de Angueira,圣马蒂纽-迪安盖拉
Linhares (Carrazeda de Ansiães),利尼亚里什·(卡拉泽达-迪安西昂伊什)
Eucísia,欧西西亚
Soeima,索埃马
Carrapatas,卡拉帕塔什
Castro Vicente,卡斯特罗维森特
Espadanedo (Macedo de Cavaleiros),埃什帕内杜·(马塞杜-迪卡瓦莱鲁什)
Vilarinho de Agrochão,维拉里纽-迪阿格罗尚
Selores,塞洛里什
Estação Ferroviária do Rossio,羅西烏車站
Vila Nova de São Bento,圣本图新镇
Pinela,皮内拉
Novelas (Penafiel),诺韦拉什
Cernadelo,塞尔纳德卢
Múrias,穆里亚什
Freixo de Espada à Cinta (freguesia),弗雷舒-德埃什帕达阿辛塔·(葡萄牙堂区)
Miranda do Douro (freguesia),米兰达-杜多鲁·(葡萄牙堂区)
Rossas (Arouca),罗萨什·(阿罗卡)
Louredo (Santa Maria da Feira),洛雷杜·(圣玛丽亚-达费拉)
Freguesias e organização administrativa de Guimarães,基馬拉斯自治市
Rio Corgo,科尔戈河
Alvelos (Barcelos),阿尔韦卢什·(巴塞卢什)
Alvarelhos (Trofa),阿尔瓦雷柳什·(特罗法)
Alvites,阿尔维蒂什
Alvito,阿爾維圖·(葡萄牙)
Alvite (Cabeceiras de Basto),阿尔维蒂·(卡贝塞拉什-德巴什图)
Ferreira (Macedo de Cavaleiros),费雷拉·(马塞杜-迪卡瓦莱鲁什)
Vinhas,维尼亚什
Pereiros (Carrazeda de Ansiães),佩雷鲁什·(卡拉泽达-迪安西昂伊什)
Castelo Branco (Mogadouro),卡斯特卢布兰库·(莫加多鲁)
Póvoa (Miranda do Douro),波瓦·(米兰达-杜多鲁)
Sé de Lisboa,里斯本主教座堂
Sendim da Ribeira,森丁-达里贝拉
Sambade,桑巴迪
Vale Pereiro,瓦莱-佩雷鲁
Marmelos,马尔梅卢什
Carrazeda de Ansiães (freguesia),卡拉泽达·(葡萄牙堂区)
Macedo de Cavaleiros (freguesia),马塞杜-迪卡瓦莱鲁什·(葡萄牙堂区)
Vilar Chão (Alfândega da Fé),维拉尔尚·(阿尔凡德加-达菲)
Parambos,帕兰博斯
Lagoaça,拉戈阿萨
Vale Benfeito,瓦莱本费托
Fradizela,弗拉迪泽拉
Vale de Asnes,瓦莱-迪阿斯尼什
Académico de Viseu Futebol Clube,維塞烏學院足球會
Euronext Lisboa,Euronext里斯本
Alvaiázere,阿爾瓦亞澤里
Feira (Santa Maria da Feira),费拉·(圣玛丽亚-达费拉)
Alter do Chão,阿爾特杜尚
Grijó (Macedo de Cavaleiros),格里若·(马塞杜-迪卡瓦莱鲁什)
Pereira (Mirandela),佩雷拉·(米兰德拉)
Cedães,塞当伊什
Saldanha (Mogadouro),萨尔达尼亚·(莫加多鲁)
Vale de Porco,瓦莱-迪波尔库
Ouca,欧卡
TVI,獨立電視台·(葡萄牙)
Valongo do Vouga,瓦隆古-杜沃加
Vilarinho das Azenhas,维拉里纽-达什阿泽尼亚什
Política externa de Portugal,葡萄牙外交
Sobreiró de Baixo,索布雷罗-迪拜舒
Relíquias (Odemira),雷利基亚什
Parque Natural do Alvão,奥望自然公园
Milheirós de Poiares,米列罗什-迪波亚里什
Mateus (vinho),蜜桃紅
Amareleja,阿马雷莱雅
Amarante (Portugal),阿马兰蒂
Amares,阿馬里什
Edroso,埃德罗索
Castanheiro (Carrazeda de Ansiães),卡什塔涅鲁·(卡拉泽达-迪安西昂伊什)
Morais,莫赖斯
Amendoeira (Macedo de Cavaleiros),阿门多埃拉·(马塞杜-迪卡瓦莱鲁什)
Penas Roias,佩纳什罗亚什
Tó,托镇
Lamas de Orelhão,拉马什-迪奥雷良
Vila Verde (Mirandela),韦尔迪镇·(米兰德拉)
Vale de Salgueiro,瓦莱-迪萨尔盖鲁
Ribeira de Nisa,里贝拉-迪尼萨
Parque Eduardo VII,爱德华七世公园
Relações entre Brasil e Portugal,巴西—葡萄牙關係
Livraria Lello,萊羅書店
RTP3,葡萄牙廣播電視公司第三台
Relações entre França e Portugal,法国—葡萄牙关系
Relações entre Espanha e Portugal,葡萄牙—西班牙關係
Provedor de Justiça (Portugal),申訴專員·(葡萄牙)
Franco (Mirandela),弗朗库·(米兰德拉)
Fonte Longa (Carrazeda de Ansiães),丰蒂隆加·(卡拉泽达-迪安西昂伊什)
Vale da Madre,瓦莱-达马德里
Vilarinho do Monte,维拉里纽-杜蒙蒂
Sanhoane (Mogadouro),萨尼奥阿尼·(莫加多鲁)
Gebelim,热贝林
Meirinhos,梅里纽什
Castelãos,卡斯特朗什
Olmos,奥尔穆什
Peredo,佩雷多
Final do Campeonato Europeu de Futebol de 2004,2004年歐洲足球錦標賽決賽
São Mamede de Recezinhos,圣马梅迪-迪雷塞齐纽什
Candemil (Amarante),坎德米尔·(阿马兰蒂)
Diário de Notícias (Portugal),新闻日报
Observatório Astronómico de Lisboa,里斯本天文台
Rans,兰什
Copa Europeia/Sul-Americana de 1987,1987年洲際盃
Club Sport Marítimo B,馬里迪莫體育會B隊
Cerco de Almeida (1811),封鎖阿爾梅達
Escudo português,葡萄牙士姑度
Batalha de Lagos,拉各斯海战
Amora (Seixal),阿莫拉
Vila Chã (Vale de Cambra),尚镇·(瓦莱-迪坎布拉)
Vale (Santa Maria da Feira),瓦莱·(圣玛丽亚-达费拉)
Relações entre Angola e Portugal,安哥拉—葡萄牙關係
Relações entre Argentina e Portugal,阿根廷—葡萄牙關係
Gouveia (Alfândega da Fé),戈韦亚·(阿尔凡德加-达菲)
Paralelo 38 N,北纬38度线
Amorim,阿莫林·(葡萄牙)
Lixa (Portugal),利沙
Aveiro,阿威罗
Ancede,安塞迪
Parada de Todeia,帕拉达-迪托德亚
São Bernardo (Aveiro),圣贝纳尔杜·(阿威罗)
Ponte da Barca,蓬蒂達巴爾卡
Melgaço (Portugal),梅爾加蘇·(葡萄牙)
Valença (Portugal),瓦倫薩·(維亞納堡區)
Paredes de Coura,帕雷迪什迪科拉
Ponte de Lima,蓬蒂迪利馬
Arcos de Valdevez,阿爾庫什迪瓦爾德維什
Taça da Liga de 2011–12,2011年至2012年葡萄牙联赛杯
Sporting Clube de Portugal B,葡萄牙士砵亭B隊
Sport Clube de Mirandela,米蘭德拉體育俱樂部
Seia (freguesia),塞亞·(瓜達區)
Partido Socialista Revolucionário (Portugal),革命社会党·(葡萄牙)
Chaves (Portugal),查韋斯·(葡萄牙)
Partido Republicano Português,葡萄牙共和党
Pessoas–Animais–Natureza,人民-动物-自然
Rio Arade,阿拉德河
Travanca (Santa Maria da Feira),特拉万卡·(圣玛利亚-达费拉)
Peroguarda,佩罗瓜尔达
União Desportiva Oliveirense,奧利維倫斯體育會
São Marcos da Ataboeira,圣马尔库什-达阿塔博埃拉
Nazaré (Portugal),納扎雷·(葡萄牙)
Final da Liga dos Campeões da UEFA de 2003–04,2004年歐洲冠軍聯賽決賽
Portugal no Festival Eurovisão da Canção,葡萄牙在歐洲歌唱大賽之歷年表現
Vila Real,雷阿爾城·(葡萄牙)
Ergue-te,民族革新者党
Partido Comunista dos Trabalhadores Portugueses,葡萄牙工人共产党/无产阶级党重组运动
Torre de Dona Chama,托里-迪多纳沙马
Madail,马达伊尔
Vila Verde de Ficalho,菲卡柳绿镇
Salvador (Beja),萨尔瓦多·(葡萄牙堂区)
Quintos,金图什
Penhas Juntas,佩尼亚什容塔什
Café A Brasileira (Lisboa),巴西人咖啡馆
Entre Douro e Minho,杜罗与米尼奥河间省
Comité Olímpico de Portugal,葡萄牙奧林匹克委員會
Capela dos Ossos,人骨礼拜堂
Sanfins (Santa Maria da Feira),桑芬什·(圣玛丽亚-达费拉)
Missões diplomáticas de Portugal,葡萄牙駐外機構列表
Aeroporto Internacional das Lajes,拉日什機場
Islamismo em Portugal,葡萄牙伊斯蘭教
Bilhete de identidade,葡萄牙國民身份證
Paço Ducal de Vila Viçosa,維索薩大公宮
Selmes,塞尔梅什
Pedroso (Vila Nova de Gaia),佩德罗苏·(加亚新城)
Barbacena (Elvas),巴尔巴塞纳·(埃尔瓦什)
Mosteiro de Santa Cruz,圣十字修道院·(科英布拉)
RTP2,葡萄牙廣播電視公司第二台
Minho (província),米尼奥省
Banho e Carvalhosa,巴纽和卡尔瓦略萨
Murça,穆爾薩
Praça da Batalha (Porto),战斗广场·(波尔图)
Combate de Pombal,蓬巴爾戰役
Estádio de São Miguel,圣米格尔球场·(蓬塔德尔加达)
Zona Internacional de Tânger,丹吉爾國際區
Sé de Braga,布拉加主教座堂
Assunção (Elvas),阿孙桑·(埃尔瓦什)
Castelo de Marvão,馬爾沃城堡
Intervenção Democrática,民主干预
Relações entre Moçambique e Portugal,莫桑比克—葡萄牙關係
Perosinho,佩罗西纽
Ílhavo (São Salvador),伊利亚武·(葡萄牙堂区)
Beduído,贝杜伊杜
Santa Maria de Lamas,圣玛丽亚-迪拉马什
Castelo de Óbidos,奧比杜什城堡
Parque Natural da Serra da Estrela,埃什特雷拉山自然公園
Estádio de São Luís,聖路易斯運動場
São João de Ovar,圣若昂-迪奥瓦尔
Pena de morte em Portugal,葡萄牙死刑制度
III Divisão,葡萄牙足球丙级联赛
Aldreu,阿尔德雷乌
Mosteirô (Santa Maria da Feira),莫斯泰罗·(圣玛丽亚-达费拉)
Alheira (Barcelos),阿列拉·(巴塞卢什)
Santuário de Fátima,花地瑪聖母朝聖地
Lista do Património Mundial em Portugal,葡萄牙世界遺產列表
Aljubarrota,阿尔茹巴罗塔
Jardim da Torre de Belém,贝伦塔花园
Jardim de São Pedro de Alcântara,阿尔坎塔拉圣伯多禄花园
Relações entre Malta e Portugal,馬爾他—葡萄牙關係
Praça 25 de Abril (Lisboa),四月二十五日广场·(里斯本)
Miradouro de Santa Luzia,圣卢西亚观景台
Merelinense Futebol Clube,米列蘭尼斯足球會
Largo das Portas do Sol,太阳门广场·(里斯本)
Miradouro da Senhora do Monte,山上圣母观景台
Praça da Alegria (Lisboa),喜悦广场
Quinta da Regaleira,雷加莱拉宫
Sé de Aveiro,阿威羅主教座堂
Constituição portuguesa de 1976,葡萄牙共和國憲法
Lista de embaixadas em Portugal,駐葡萄牙外交機構列表
Final da Liga dos Campeões da UEFA de 2013–14,2014年歐洲冠軍聯賽決賽
São Martinho do Campo,圣马蒂纽-杜坎普
Juromenha,茹洛梅尼亚·(洛雷图圣母城)
Ordem do Império,殖民帝国勋章
Castelo de Almourol,阿爾莫羅城堡
Eleições presidenciais portuguesas de 1958,1958年葡萄牙总统选举
Pombeiro de Ribavizela,蓬贝鲁-迪里巴维泽拉
Portugal International,葡萄牙羽毛球國際賽
Castelo de Guimarães,吉马良斯城堡
Seleção Portuguesa de Futebol Sub-19,葡萄牙19歲以下國家足球隊
Basílica da Estrela,埃什特雷拉圣殿
Arões (Vale de Cambra),阿龙伊什·(瓦莱-迪坎布拉)
Roge,罗吉·(葡萄牙堂区)
Sete Maravilhas de Portugal,葡萄牙七大奇迹
Turismo em Portugal,葡萄牙觀光
Transferência da corte portuguesa para o Brasil,葡萄牙王室遷移至巴西
Parque Natural do Litoral Norte,北部沿海自然公園·(葡萄牙)
Igreja da Conceição Velha,圣母无玷始胎旧堂
Relações entre China e Portugal,中國—葡萄牙關係
Arquidiocese de Évora,天主教埃武拉總教區
São Mamede de Negrelos,圣马梅迪-迪内格雷卢什
Retorta,雷托尔塔
Miradouro Sophia de Mello Breyner Andresen,恩宠观景台
Cultura de Portugal,葡萄牙文化
"Ajuda, Salvador e Santo Ildefonso",阿茹达
Ponte de São João,圣乔安桥
Arrifana (Santa Maria da Feira),阿里法纳
Argoncilhe,阿尔贡西利
Lista de bandeiras de Portugal,葡萄牙旗幟列表
Relações entre Portugal e Timor-Leste,東帝汶—葡萄牙關係
Casa dos Bicos,尖石宫
Rio Mau (Vila do Conde),里奥毛·(孔迪镇)
Rates,拉蒂什
Sortes,索尔蒂什
São Julião de Palácios,圣茹利昂-迪帕拉西乌什
Santa Cruz (Vinhais),圣克鲁什·(维尼艾什)
Seixo de Manhoses,塞舒-迪马尼奥西什
Santa Comba de Vilariça,圣孔巴-迪维拉里萨
Clube Oriental de Lisboa,里斯本奧利安圖足球會
Igreja de Santo Ildefonso,圣伊尔德丰索堂·(波尔图)
Vandoma,万多马
Valtorno,瓦莱-迪托尔努
Uva (Vimioso),乌瓦·(维苗苏)
Vale de Gouvinhas,瓦莱-迪戈维尼亚什
Copa do Mundo FIFA de Futebol de Areia de 2015,2015年國際足協沙灘足球世界盃
Tougues,托吉什
Senhora da Hora,塞尼奥拉-达奥拉
Sandim,桑丁
Santiago de Bougado,圣地亚哥-迪博加杜
RTP1,葡萄牙廣播電視公司第一台
Guisande (Santa Maria da Feira),吉桑德·(圣玛丽亚达费拉)
Gião (Santa Maria da Feira),吉昂·(圣玛丽亚-达费拉)
Relações entre Portugal e Rússia,葡俄关系
Sequeiró,塞凯罗
Custoias (Matosinhos),库斯托亚什·(马托西纽什)
Sanche,桑希·(葡萄牙堂区)
São Romão do Coronado,圣罗芒-杜科罗纳杜
Espargo (Santa Maria da Feira),埃什帕尔古
Confederação Geral dos Trabalhadores Portugueses — Intersindical Nacional,葡萄牙总工会—全国工团
Serra do Buçaco,布薩庫山
