André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Elizabeth Cervantes,エリサベス・セルバンテス
Elmer Dessens,エルマー・デセンス
Antonio Ortiz Mena,アントニオ・オルティス・メナ
Emilio Charles,エミリオ・チャレス・ジュニア
Emilio Diez Barroso,エミリオ・ディエス・バロッソ
José Luis Ramírez,ホセ・ルイス・ラミレス
Bernardo Sepúlveda Amor,ベルナルド・セプルベダ・アモール
Luis Alberto Orozco,ルイス・アルベルト・オロスコ
Alicia Bárcena Ibarra,アリシア・バルセナ・イバラ
Esteban Loaiza,エステバン・ロアイザ
Mando Guerrero,マンド・ゲレロ
Marlene Favela,マリーン・ファヴェーラ
Óliver Pérez,オリバー・ペレス
Raquel Olmedo,ラケル・オルメド
Manuel Vargas,マヌエル・バルガス
Marco Antonio Rubio,マルコ・アントニオ・ルビオ
Tito Guízar,ティト・グィザー
Antonio DeMarco,アントニオ・デマルコ
Fernando Colunga,フェルナンド・コルンガ
Rodrigo López,ロドリゴ・ロペス
Bianca Marroquín,ビアンカ・マロキン
Gastón Guzmán,ガストン・グスマン
Arath de la Torre,アラス・デ・ラ・トール
Elsa García,エルザ・ガルシア
Alicia Villarreal,アリシア・ビジャレアル
Juan Luis Barrios,フアン・ルイス・バリオス
Enrique Lucero,エンリケ・ルセロ
Fernanda Castillo,フェルナンダ・カスティージョ
Enrique Diemecke,エンリケ・ディエミケ
Ephesto,エフェスト
Eric Ortiz,エリック・オルティス
Hermenegildo Galeana,エルメネヒルド・ガレアーナ
Lydia Mendoza,リディア・メンドーサ
Ana Martín,アンナ・マルティン
Andrés Soler,アンドレス・ソレル
Lupita Nyong'o,ルピタ・ニョンゴ
Braulio Proculo Luna,ブラウリオ・ルナ
Carlos Cuarón,カルロス・クアロン
Nicolás Echevarría,ニコラス・エチェバリア
Miguel Lerdo de Tejada,ミゲル・レルド・デ・テハーダ
Enrique Romo,エンリケ・ロモ
Juan Pablo Villalobos,フアン・パブロ・ビジャロボス
Oralia Domínguez,オラリア・ドミンゲス
Karla Martínez,カーラ・マルティネス
Bill Meléndez,ビル・メレンデス
Cuauhtémoc Cárdenas Solórzano,クアウテモク・カルデナス
Yahel Castillo,ヤエル・カスティージョ
Mario Trejo,マリオ・トレホ
Super Parka,スペル・パルカ
Baby Arizmendi,ベイビー・アリスメンディ
Amanda Crowe,アマンダ・クロウ
Mario González,マリオ・ゴンサレス
Blas Galindo,ブラス・ガリンド
Arturo Alfonso González González,アルフォンソ・ゴンサレス
Arturo de Córdova,アルトゥーロ・デ・コルドヴァ
Atotoztli II,アトトストリ
Mario Schjetnan,マリオ・シェトナン
Julio Ruelas,フリオ・ルエラス
Ximena Herrera,キシメナ・エレーラ
Emilio Carballido,エミリオ・カルバリィード
Alejandra Valencia,アレハンドラ・バレンシア
Tatiana Huezo,タチアナ・ウエソ
Tezozomoc,テソソモク
Vibe,バイブ
Leandro Izaguirre,レアンドロ・イサギレ
Julio César Domínguez,ジュリオ・セサール・ドミンゲス
Blue Demon,ブルー・デモン
Duilio Davino,ドゥイリオ・ダヴィーノ
Mister Cartoon,ミスター・カートゥーン
Ruben Acosta Hernandez,ルーベン・アコスタ
Ricardo Peláez,リカルド・ペラエス
Gilbert Roland,ギルバート・ローランド
Guillermo Rojas,メモ・ロハス Jr.
Alfonso Arau,アルフォンソ・アラウ
Tzuki,ツキ
Luis Spota,ルイス・スポタ
Carlos Palomino,カルロス・パロミノ
Miguel M. Delgado,ミゲル・M・デルガド
Silvia Salgado Cavazos,シルビア・サルガド
Aldo de Nigris,アルド・デ・ニグリス
Último Guerrero,ウルティモ・ゲレーロ
Isela Vega,イセラ・ヴェガ
José Antonio Noriega,ホセ・アントニオ・ノリエガ
José Mojica,ジョーセ・モジカ (修道士)
Cien Caras,シエン・カラス
Julio Scherer García,フリオ・シェーレル・ガルシア
Ernesto Fonseca Carrillo,エルネスト・フォンセカ・カリロ
Lalo Guerrero,ラロ・ゲレーロ
Faustino Miranda,ファウスティノ・ミランダ
Silvia Navarro,シルビア・ナバロ
Brigitte Alexander,ブリギッテ・アレクサンダー
Sara Cobo,サラ・コボ
Alejandro Aragón,アレハンドロ・アラゴン
Javier Hernández Gutiérrez,ハビエル・エルナンデス・グティエレス
Ilan Stavans,イラン・スタバンス
Miguel Angel Moyron,ミゲル・エンジェル・マイロン
Ezequiel Padilla Peñaloza,エセキエル・パディーリャ・ペニャロサ
José María Pino Suárez,ホセ・マリア・ピノ・スアレス
Isidro Pérez,イシドロ・ペレス
Héctor Guerrero,ヘクター・ゲレロ
Carlos Riquelme,カルロス・リケルメ
Humberto Zurita,ウンベルト・ズリタ
Tomás Mejía,トマス・メヒア
Luis Mandoki,ルイス・マンドーキ
José Ángel Gurría,アンヘル・グリア
Oswaldo Alanis,オスワルド・アラニス
Eulalio González,エウラリオ・ゴンザレス
Margarito Esparza,マルガリート・エスパルサ
Vicente Carrillo Fuentes,ビセンテ・カリージョ・フエンテス
Celestino Gorostiza,セレスティーノ・ゴロスティサ
Lourdes Arruti,ルルド・アルティ
Benito Guerra Jr.,ベニート・ゲラ
Memo Gidley,ミーモ・ギドリー
Manuel Molina Solís,マヌエル・モリーナ・ソリス
Dragón Rojo,ドラゴン・ロホ・ジュニア
Eréndira Ibarra,エレンディラ・イバラ
Manuel Ojeda,マヌエル・オヘイダ
Dino Cazares,ディーノ・カザレス
José de León Toral,ホセ・デ・レオン・トラル
Ricardo Anaya Cortés,リカルド・アナヤ
Jaime Lozano,ハイメ・ロサーノ
Blue Demon Jr.,ブルー・デーモン・ジュニア
Marius de Zayas,マリウス・デ・サヤス
Jorge Mester,ホルヘ・メスター
José Mariano Salas,ホセ・マリアーノ・サラス
Estrella Blanca,エストレージャ・ブランカ
Estrellita,エストレジータ
José María de Tavira,ホセ・マリア・デ・タビラ
Augusto Benedico,アウグスト・ベネディコ
Héctor Beltrán Leyva,ヘクトル・ベルトラン・レイバ
Super Caló,ラファエル・ガルシア
Rey Misterio Sr.,レイ・ミステリオ・シニア
Vanessa Guzmán,ヴァネッサ・グスマン
Lourdes Portillo,ロールデス・ポルティージョ
Juan Nepomuceno Guerra Cárdenas,フアン・ネポムセーノ・ゲーラ
Paco Stanley,パコ・スタンリー
Felipe Orucuta,フェリペ・オルクタ
Angélica Morales von Sauer,アンヘリカ・モラレス・フォン・ザウアー
Juan Cortina,フアン・コルティナ
Joakim Soria,ホアキム・ソリア
Eugenia León,エウヘニア・レオン
Andrea Martí,アンドレア・マーティン
Ignacio de la Torre y Mier,イニャシオ・デ・ラ・トーレ・イ・ミエル
Alfonso Gómez,アルフォンソ・ゴメス
Nicolás Zúñiga y Miranda,ニコラス・スニガ・イ・ミランダ
Sam Dreben,サム・ドレベン
Daniel Francisco Cabeza de Vaca,ダニエル・フランシスコ・カベサ・デ・バカ
Eusebio Leal,ウセビオ・レアル
Eduardo Vladimiro Mata Asiain,エドゥアルド・マータ
Alejandro Castro Flores,アレハンドロ・カストロ・フローレス
José Horacio Gómez,ホセ・オラシオ・ゴメス
Ralph O'Neill,ラルフ・オニール
Alberto Pérez-Gómez,アルベルト・ペレス＝ゴメス
Joaquín Cervantes Bassoco,ホアキン・セルバンテス・バスコ
César del Campo,セサル・デル・カンポ
Ernesto de Lucas Hopkins,エルネスト・デ・ルーカス・ホプキンズ
Luis Enrique Flores,ルイス・フローレス
Manuel Lapuente,マヌエル・ラプエンテ
Isidoro Díaz Mejía,イシドロ・ディアス
Jesús-Mario Lozano,ジーサス・マリオ・ロザーノ
Gonzalo Pineda,ゴンサロ・ピネダ
Eduardo Matos Moctezuma,エドゥアルド・マトス・モクテスマ
Ramón Ramírez,ラモン・ラミレス
Carlos Hermosillo,カルロス・エルモシージョ
Fernando Cámara,フェルナンド・カメラ
Alfredo Tena,アルフレード・テナ
Marcos Arturo Beltrán-Leyva,アルトゥロ・ベルトラン・レイバ
Rodrigo Plá,ロドリゴ・プラ
Fernando Romero,フェルナンド・ロメロ
Martí Batres,マルティ・バトレス
Fernando Quirarte,フェルナンド・キラルテ
Omar Chaparro,オマール・チャパーロ
Fishman,フィッシュマン
Antonio Ezequiel Cárdenas Guillén,アントニオ・エセキエル・カルデナス・ギリェン
Ignacio Coronel Villarreal,イグナシオ・コロネル・ビジャレアル
Emilio Echevarría,エミリオ・エチェバリア
Jacob Vargas,ジェイコブ・バルガス
Rafael Osuna,ラファエル・オスナ
Miguel España,ミゲル・エスパーニャ
Valentín Elizalde,バレンタイン・エリザベス
Juan Pío Pérez,ピオ・ペレス
Estela Núñez,エステラ・ヌニェス
Eugenio Martínez,エウジェーニオ・マルティネス
Francisco Barrios,フランシスコ・バリオス
Francisco Bojado,フランシスコ・ボハド
Luis Alfonso de Alba Góngora,ルイス・アルフォンソ・デ・アルバ
Jaime Heliódoro Rodríguez Calderón,ハイメ・ロドリゲス・カルデロン
El Santo,エル・サント
Pablo Larios Iwasaki,パブロ・ラリオス
Manuel Lorenzo Justiniano de Zavala y Sáenz,ロレンソ・デ・サバラ
Rubén Jaramillo,ルベン・ハラミージョ
Francisco Colmenero,フランシスコ・コルメネロ
Francisco Córdova,フランシスコ・コルドバ
Dionicio Escalante,ディオニーシオ・エスカランテ
Francisco Campos,フランシスコ・カンポス
Francisco Flores,フランシスコ・フローレス
José Manuel de la Torre,ホセ・マヌエル・デ・ラ・トーレ
Pedro Vargas,ペドロ・バルガス
Laredo Kid,ラレド・キッド
Eulalio Ferrer,エウラリオ・フェレール
Susana Harp,スサナ・ハープ
Francisco Alcaraz,フランシスコ・アルカラス
Aristóteles Sandoval Díaz,アリストテレス・サンドヴァル
Manuel Vidrio,マヌエル・ビドリオ
Ignacio Flores Ocaranza,イグナシオ・フローレス
Héctor Pulido,エクトル・プリード
Martín Dihigo,マーティン・ディーゴ
Antonio Villegas Villalobos,アントニオ・ビジェガス・ビジャロボス
Raúl Ramírez Lozano,ラウル・ラミレス
Gustavo Alatriste,グスタボ・アラトリステ
José Becerra,ホセ・ベセラ
Lauro Salas,ラウロ・サラス
Gregorio Blasco Sánchez,グレゴリオ・ブラスコ
Maxtla,マシュトラ
Francisco Blake Mora,フランシスコ・ブレイク・モラ
Armando Vega Gil,アルマンド・ベガ・ヒル
Osiel Cárdenas Guillén,オシエル・カルデナス・ギリェン
Michel Rojkind,ミチェル・ロイキンド
Fuego,フエゴ
Fuerza Guerrera,フエルサ・ゲレーラ
Fátima Leyva,ファティマ・レイバ
José Abella,ホセ・アベージャ
Israel Vázquez,イスラエル・バスケス
Artemio de Valle Arizpe,アルテミオ・デ・バジェ・アリスペ
José Guadalupe Velázquez,ホセ・ベラスケス
José Flores,ホセ・フローレス
Gabriel Chavez,ガブリエル・チャベス
José García Valseca,ホセ・ガルシア・バルセカ
Humberto Mauro Gutiérrez,ウンベルト・グティエレス
Fernando Soto,フェルナンド・ソト
Humberto Cota,ハンベルト・コタ
Audomaro Molina Solís,アウドマロ・モリーナ・ソリス
Juan Aldama,ファン・アルダマ
Eduardo Verástegui,エドゥアルド・ヴェラステーギ
Gabriel Romero,ガブリエル・ロメーロ
Carlos Carsolio,カルロス・カルソリオ
Javier Sicilia,ハビエル・シシリア
José Ignacio Dávila Garibi,イグナシオ・ダビラ・ガリビ
José Chávez Trowe,ホセ・チャベス
Benjamín Cann,ベンジャミン・カン
Enrique Rocha,エンリケ・ロチャ
Germán Gedovius,ヘルマン・ヘドビウス
Luis Díaz,ルイス・ディアス
César Soto,セサール・ソト
Ángel Tavira,アンヘル・タビラ
Gabriel Porras,ガブリエル・ポラス
Gerardo García Pimentel,ヘラルド・ガルシア・ピメンテル
José Juan Vázquez,ホセ・フアン・バスケス
Gilberto Ramírez,ギルベルト・ラミレス
Hermila Galindo,エルミラ・ガリンド
Carlos Fierro,カルロス・フィエッロ
Gerardo Taracena,ヘラルド・タラセナ
Bernardo Gómez Pimienta,ベルナルド・ゴメス=ピミエンタ
José María Yazpik,ホセ・マリア・ヤスピク
José Luis Martínez Rodríguez,ホセ・ルイス・マルティネス・ドロリゲス
Francisco Javier Mora,フランシスコ・モラ
Rodolfo Lavín,ロドルフォ・ラヴィン
Lilia Aragón,リリア・アラゴン
Germán Durán,ヘルマン・デュラン
Germán Torres,ヘルマン・トーレス
Gerónimo Gil,ジェロニモ・ギル
Félix Pérez Amador,フェリックス・ペレス・アマドル
Súper Nova,スペル・ノバ
Manuel Márquez de León,マヌエル・マルケス・デ・レオン
Tun Tun,ホセ・レネ・ルイズ
Félix Parra,フェリックス・パラ
Gloria Guinness,グロリア・ギネス
Chamín Correa,チャミン・コレア
Manuel Uribe y Troncoso,マヌエル・ウリベ・イ・トロンコーソ
Carlos Alberto de Icaza González,カルロス・デ・イカサ・ゴンサレス
Gabriela Roel,ガブリエラ・ロエル
Goya Kong,ゴヤ・コング
Guillermo Velasquez,ギレルモ・ベラスケス
Roberto González,ロベルト・ゴンザレス
Hiroka Yaginuma,柳沼寛香
Juan Carlos Martín del Campo,フアン・カルロス・マルティン・デル・カンポ
Gregorio Casal,グレゴリオ・カザル
Huracán Ramírez,ウラカン・ラミレス
Cinna Lomnitz,シナ・ロムニッツ
Ciriaco Vázquez,シリアコ・バスケス
Claudia Ruiz Massieu,クラウディア・ルイス・マシエウ
Claudia Sheinbaum,クラウディア・シェインバウム
Halloween (luchador),ハロウィン
Gustavo Sainz,グスタボ・サインス
Margarita Sanz,マルガリータ・サンス
Mario Iván Martínez,マリオ・イバン・マルティネス
Rafael Peralta Romero,ラファエル・ペラルタ
Juan Martínez Hernández,フアン・マルティネス・エルナンデス
Aarón Sandoval,アーロン・サンドバル
Daga,ダガ
Gustavo Cárdenas Gutiérrez,グスタボ・カーデナス・グティエレス
Juan Hernández,フアン・エルナンデス
Roberto Antonio Nurse,ロベルト・ヌルセ
Agustín Arrieta,アグスティン・アリエタ
María Conesa,マリア・コネサ
Gustavo Rodríguez,グス・ロドリゲス
Adán Augusto López Hernández,アダン・アウグスト・ロペス
Wigberto Jiménez Moreno,ウィグベルト・ヒメネス・モレーノ
Juan Cordero de Hoyos,フアン・コルデロ
Adriana Roel,アドリアナ・ロエル
Darwin Cerén,ダルウィン・セレン
María Aura,マリア・オーラ
Emilio Vázquez Gómez,エミリオ・バスケス・ゴメス
Juan Carlos Burgos,ファン・カルロス・ブルゴス
Héctor Garza,エクトール・ガルサ
Máscara Dorada,マスカラ・ドラダ
Andrade El Idolo,ラ・ソンブラ
Lázaro Blanco,ラザーロ・ブランコ
Alejandro Calva,アレハンドロ・カルバ
Mauricio García Vega,マウリシオ・ガルシア・ベガ
Héctor Velázquez,ヘクトール・ベラスケス
Volador,ボラドール・ジュニア
Jürgen Damm,ユルゲン・ダム
Maya Zapata,マヤ・ザパタ
Héctor Espino,エクトル・エスピーノ
Karla Díaz-Leal Arreguín,カルラ・ディアス＝レアル・アレギン
Irene Azuela,アイリーン・アズエラ
Indira Vizcaíno Silva,インディラ・ビスカイーノ・シルバ
Houston Jiménez,ヒューストン・ヒメネス
Ivón Mercedes Ramírez Morillo,イボン・メルセデス・ラミレス・モリーリョ
Eduardo Cisneros,エドゥアルド・シスネロス
Alexander Callens,アレハンデル・カジェンス
El Fuerte (Street Fighter),エル・フォルテ
Isaac Bustos,イサック・ブストス
Alfonso Navarrete Prida,アルフォンソ・ナバレテ
Alfonso Mejía,アルフォンソ・メヒア
Alfredo del Mazo Maza,アルフレッド・デル・マゾ・マサ
Miguel María de Echegaray,ミゲル・マリア・デ・エチュガライ
Miguel N. Lira,ミゲル・N・リラ
Miguel Ángel Navarro Quintero,ミゲル・アンヘル・ナバーロ・キンテロ
Irma Dorantes,イルマ・ドランテス
Alfonso Zayas,アルフォンソ・ザヤス
Lorenzo Servitje,ロレンソ・セルヴィッツェ
Issa López,イッサ・ロペス
Alfonso Obregón Inclán,アルフォンソ・オブレゴン
Javier Camarena,ハビエル・カマレーナ
Javier Corral Jurado,ハビエル・コラル・ジュラド
Alma Delia Fuentes,アルマ・デリア・フエンテス
Alfredo Rueda Quijano,アルフレード・ルエダ・クイジャーノ
Alfonso Taracena,アルフォンソ・タラセナ
Javier Díaz Dueñas,ハビエル・ディアス・ドゥエニャス
Ana Ofelia Murguía,アナ・オフェリア・ムルギア
Miguel Ángel Yunes Linares,ミゲル・アンヘル・ユネス・リナレス
Javier Rojo Gómez,ハビエル・ロホ・ゴメス
Jesús Rodríguez Almeida,ヘスス・ロドリゲス
Mónica Mayer,モニカ・メイヤー
Mónica Miguel,モニカ・ミゲル
Kung Fu,クン・フー
Nadia Haro Oliva,ナディア・アロ・オリバ
Nayeli Rangel,ナイェリ・ランヘル
Luis González Obregón,ルイス・ゴンザレス・オブレゴン
Super Muñeco,スペル・ムニェコ
Jesús Rodríguez Hernández,ヘスス・ロドリゲス
"Stuka, Jr.",ストゥーカ・ジュニア
Starman,スターマン
Stella Inda,エステラ・インダ
Kristoff Raczynski,クリストフ・ラシンスキ
Olegario Molina,オレガリオ・モリーナ
Lady Afrodita,レイディ・アフロディータ
Lane Hughes,レーン・ヒューズ
Latin Lover,ラテン・ラヴァー
Luis Gerardo Méndez,ルイス・ジェラルド・メンデス
Vadhir Derbez,ヴァディール・デルベス
Valiente,バリエンテ
Teddy Higuera,テディ・ヒゲーラ
Tarzán López,タルサン・ロペス
La Amapola,ラ・アマポーラ
La Comandante,ラ・コマンダンテ
La Diabólica,ラ・ディアボリカ
La fiera,ラ・フィエラ
La Parkita,ラ・パルキータ
Edward S. O'Reilly,テックス・オライリー
Tomas Villa,トマス・ビジャ
Laura Munana,ラウラ・ムナナ
Tony Ferguson,トニー・ファーガソン
Pascal Beltrán del Río,パスカル・ベルトラン・デル・リオ
Viktor Manoel,ヴィクトル・マノエル
Villaño II,ビジャノ2号
Villaño I,ビジャノ1号
Villaño IV,ビジャノ4号
Vinicio Castilla,ビニー・カスティーヤ
Rosalinda López Hernández,ロサリンダ・ロペス・エルナンデス
Paco Malgesto,パコ・マルジェスト
Macaria,マカリア
Rodolfo Herrero,ロドルフォ・エレーロ
Vicente Carrillo Leyva,ビセンテ・カリージョ
Jesús Vega,ヘスス・タデオ・ベガ
Jesús Murillo Karam,ヘスス・ムリージョ・カラム
Tiffany,ティファニー (プロレスラー)
Tiger Kid,タイガー・キッド
Sergio Guzmán Silva,ティグレ・ブランコ
Tinieblas,ティニエブラス
Verónica Pérez,ベロニカ・ペレス
Lilia Michel,リリア・ミシェル
Virus,ヴィールス (プロレスラー)
Víctor Junco,ビクトル・フンコ
Lorenzo Mata,ロレンソ・マタ
Los Perros del Mal,ペロス・デル・マール
Lluvia,ジュビア
Lola Gonzales,ローラ・ゴンザレス
Rubén Rocha Moya,ルベン・ロチャ・モヤ
Trauma II,トラウマ2号
Universo 2000,ウニベルソ・ドスミル
"Lizmark, Jr.",エル・イホ・デル・リスマルク
Black Cat,ブラック・キャット (プロレスラー)
Victor Regalado,ビクター・レガラド
Victor Terrazas,ビクトル・テラサス
Victor Ulloa,ビクトル・ウジョア
Genaro García,ヘナロ・ガルシア
Víctor Zaleta,ビクトル・サレタ
Maria Laura Almirão,マルタ・ビジャロボス
Dralístico,ドラゴン・リー
Jackie Nava,ジャッキー・ナバ
Salomón Jara Cruz,サロモン・ハラ・クルス
Luis Alfonso García,ルイス・ガルシア (1978年生の内野手)
Luis Carlos García,ルイス・ガルシア (1975年生の外野手)
Leopoldo Gout,レオポルド・ゴウト
Pedro Miguel de Cervantes Salvadores,ペドロ・セルバンテス
Luis Alberto Rivera Morales,ルイス・リベラ (陸上選手)
Rolando Hinojosa,ローランド・ヒノホサ
Víctor Burgos,ホセ・ビクトル・ブルゴス
William Yarbrough,ウィリアム・ヤーブロー
Willie Jorrín,ウィリー・ホーリン
Yolanda Ventura,ヨランダ・ベンチュラ
Luis Felipe Bravo Mena,ルイス・フェリーペ・ブラーボ・メナ
Isidro Baldenegro López,イシドロ・バルデネグロ・ロペス
Salvador Cienfuego,サルバドル・シエンフエゴス
Begoña Palacios,ベゴナ・パラシオス
Mano Negra,マノ・ネグラ (プロレスラー)
Manolo Muñoz,マノーロ・ムニョス
Pedro de Urdimalas,ペドロ・デ・ウルディマーラス
Sangre Azteca,サングレ・アステカ
Ismael Zambada García,イスマエル・サンバダ・ガルシア
Luis Demetrio,ルイス・デメトリオ
Irma Sánchez,イルマ・サンチェス
Mario García Covalles,マリオ・ガルシア・コバレス
Marisa Sistach,マリーズ・シスタック
Pedro Tenorio Lezama,ペドロ・テノリオ・レサマ
Adan Canto,エイダン・カント
Luna Mágica,ルナ・マヒカ
Rafael Herrera,ラファエル・エレア
Isaac Brizuela,イサーク・ブリスエラ
Rafael Barajas Durán,エル・フィスゴン
Walter Ibarra,ウォルター・イバラ
Luke Munana,ルーク・ムナナ
Luis Rey,ルイス・レイ
Isador Cortez,イサドール・マチェッティ
Lyn May,リン・メイ
Óscar Ornelas,オスカル・オルネラス
Óscar Robles,オスカー・ロブレス
Zuleyma,スレイマ
Manuel Vizcarra,マヌエル・ヴィスカラ
Manuel de Lardizábal y Uribe,マヌエル・デ・ラルディサバル・イ・ウリベ
Manny Banuelos,マニー・バヌエロス
Mayda Navarro,メイダ・ナバーロ
Alejandra Ávalos,アレハンドラ・アヴァロス
Manuel Antonio Chaves,マヌエル・チャベス
Manuel Capetillo,マヌエル・カペティージョ
Alejandro de la Madrid,アレハンドロ・デ・ラ・マドリード
Arely Muciño,アレリー・ムシーニョ
Francisco X. Stork,フランシスコ・X.ストーク
Marco Antonio Muñiz,マルコ・アントニオ・ムニス
Marco Antonio Nazareth,マルコ・アントニオ・ナザレス
Marco Antonio Peribán,マルコ・アントニオ・ペリバン
Álvaro Guerrero,アルバロ・ゲレロ
Ángel Azteca,アンヘル・アステカ
Ángel Blanco,アンヘル・ブランコ
Mephisto,メフィスト
Jaime Baksht,ジェイミー・バクシュト
Mariana Villanueva,マリアナ・ビジャヌエバ
Marcel Delgado,マルセル・デルガド
Marcela,マルセラ (プロレスラー)
Mario Castañeda,マリオ・カスタネダ
Jair Alejandro Pereira Rodríguez,ジャイール・ペレイラ・ダ・シウヴァ
Rafael Ramírez Heredia,ラファエル・ラミレス・エレディア
MS-1,MS1
Villano V,ビジャノ5号
Luz González Cosío de López,ルス・ゴンサレス・コシオ・デ・ロペス
Sergio Villarreal,セルジオ・ビジャレアル
Carlos Antonio Aguirre Rojas,カルロス・ロハス
Carlos Emiliano Salinas,エミリオ・サリナス
Jaime Durán,ハイメ・デュラン
Jaime Fernández,ハイメ・フェルナンデス
Mario Macias,マリオ・マシアス
Mario Martínez,マリオ・マルチネス
Mari Apache,マリー・アパッチェ
Blanca Sánchez,ブランカ・サンチェス
Blanca de Lizaur,ブランカ・デ・リサウル
Mario Rodríguez,マリオ・ロドリゲス
Mario Valdez,マリオ・バルデス
Mario Valenzuela,マリオ・バレンズエラ
Mario Gutierrez,マリオ・グティエレス
Humberto Vélez,ハンバート・ベレス
María Teresa Lara,マリア・テレサ・ララ
Roger Huerta,ロジャー・ウエルタ
Roger Cudney,ロジャー・カドニー
Mary Ro Reyes,メリー・ロー・レイエス
Raúl Lavista,ラウル・ラビスタ
Iván Morales,イバン・モラレス
Raúl Méndez,ラウル・メンデス
Martín Castillo,マーティン・カスティーリョ
Felipe Braun,フェリペ・ブラウン
Alan-Peter Gadiot,ピーター・ガディオット
Donato Guerra,ドナト・ゲラ
Lizmark,リスマルク
Rayo de Jalisco,ラヨ・デ・ハリスコ
Ténoch Huerta Mejía,テノッチ・ウエルタ
Masakre,マサクレ
Mascarita Dorada,マスカリータ・ドラダ
Mascarita Sagrada,マスカラ・サグラダ
Eduardo Ávila,エドゥアルド・アビラ
Emil Lewis Holmdahl,エミール・ルイス・ホルムデール
Miguel Couturier,ミゲル・クチュリエ
"Guerrero Negro, Jr.",ゲレロ・ネグロ・ジュニア
Trauma I,トラウマ1号
Tito Junco,ティト・フンコ
Joan Sebastian,ジョン・セバスチャン
Mauricio González,マウリシオ・ゴンサレス
Maximo,マキシモ (プロレスラー)
Ulises de la Torre,ユリシーズ・デ・ラ・トーレ
Rafael Alejandro Micalco,ラファエル・アレハンドロ・ミカルコ
Eterno,エテルノ
El Hijo de Dr. Wagner Jr.,イホ・デ・ドクトル・ワグナー・ジュニア
Hooligan,ルシフェルノ
José María Flores (gobernador),ホセ・マリア・フローレス
Jorge R. Gutiérrez,ホルヘ・グティエレス (アニメーター)
Melchor Cob Castro,メルチョ・コブ・カストロ
Miguel del Toro,ミゲール・デルトロ
Ángel de Oro,アンヘル・デ・オロ
Black Terry,ブラック・テリー
Alfonso Celis Jr,アルフォンソ・セリスJr.
Miguel Puente,M.プエンテ
Miguel Roman,ミゲル・ローマン
"Espanto, Jr.",エル・エスパント・ジュニア
Jorge Muñiz,ホルヘ・ムニス
Miguel Berchelt,ミゲール・ベルチェット
Mr. Niebla,ミステル・ニエブラ
Máscara Año 2000,マスカラ・アニョ・ドスミル
José Silva,ホセ・シルバ (野球)
Miguel Ojeda,ミゲル・オヘーダ
Javier Valdez Cárdenas,ハビエル・バルデス・カルデナス
Jonás Cuarón,ホナス・キュアロン
Mona Rico,モナ・リコ
Monica Equihua,モニカ・エキフア
Monna Bell,モナ・ベル
Víctor Manuel Castro Cosío,ビクトル・マヌエル・カストロ・コシオ
"Misterioso, Jr.",ミステリオッソ・ジュニア
José Hernández,ホセ・ヘルナンデス
Javier Arévalo,ハビエル・アレバロ
Vidal Francisco Soberón Sanz,ビダル・フランシスコ・ソベロン・サンス
Mike Segura,マイク・セグラ
Manuel Quezada,マヌエル・ケサダ
Diego De La Hoya,ディエゴ・デ・ラ・ホーヤ
Shadito Cruz,シャディト・クルス
Negro Navarro,ネグロ・ナバーロ
La Vaquerita,ラ・バケリータ
Marisela Escobedo Ortiz,マリセラ・エスコベド・オルティス
Juan García "El peralvillo",フアン・ガルシア
Sergio Thompson,セルヒオ・トンプソン
María Teresa Jiménez Esquivel,マリア・テレサ・ヒメネス・エスキベル
Gabriel Luna,ガブリエル・ルナ
Natalia Juárez,ナタリア・フアレス
Ángel Guillermo Heredia Hernández,アンヘル・ギジェルモ・エレディア
Rodolfo Pizarro,ロドルフォ・ピサーロ
Marco Treviño,マルコ・トレヴィーニョ
Valeria Luiselli,バレリア・ルイセリ
Ángel de Iturbide,アンヘル・デ・イトゥルビデ・イ・ウアルテ
La Parka/El muerto,ラ・パルカ
Nicolás Pereda,ニコラス・ペレーダ
Stigma,スティグマ
Olga Segura,オルガ・セグラ
Ofelia Montesco,オフェリア・モンテスコ
Noé Maya,ノエ・マヤ
Diego Sinhue Rodríguez Vallejo,ディエゴ・ロドリゲス・バジェホ
Titán,ティタン
Raymundo Capetilo,ライムンド・カペティージョ
Pedro Valtierra,ペドロ・ヴァルティエッラ
Noe Muñoz,ノエ・ムニョス
Néstor Garza,ネストール・ガルサ
Pedro Rangel,ペドロ・ランヘル
Fénix,フェニックス
Hanna Jaff,ハンナ・ジャフ
Japhet Amador,ジャフェット・アマダー
José Antonio Garcia,ホセ・アントニオ・ガルシア
Felipe de Goicoechea,フェリペ・デ・ゴイコエチェア
Oro,オロ (プロレスラー)
Alex Arnold León,アーノルド・レオン
Yuvanna Montalvo,ユバンナ・モンタルボ
Juan Enríquez Cabot,フアン・エンリケス
Pablo Ortega,パブロ・オルテガ
Omar Salado,オマール・サラド
Omar Treviño Morales,オマール・トレビーニョ・モラレス
Sergio Aponte Polito,セルジオ・アポンテ・ポリート
Jesús Chong,ヘスス・チョン
Jesús Enrique Rejón Aguilar,ヘスス・エンリケ・レホン・アギラール
Pablo César Cano,パブロ・セサール・カノ
Marina de Tavira,マリーナ・デ・タビラ
Jesús Sánchez,ヘスス・サンチェス
Jonathan Paredes,ジョナサン・パレデス
Joaquín Martínez,ホアキン・マルティネス
