George Washington,乔治·华盛顿
Madeleine Astor,瑪德琳·阿斯特
Kate Spade,凱特·絲蓓
Sada Jacobson,萨达·雅各布森
Anne M. Mulcahy,安妮·麦卡伊
Hubert Humphrey,休伯特·汉弗莱
Merle Oberon,梅尔·奥勃朗
David Patrick Kelly,大衛·派屈克·凱利
Mary Blair,玛丽·布莱尔
Marie Colvin,玛丽·科尔文
Joan Jett,瓊·傑特
Mayim Bialik,马伊姆·拜力克
Morena Baccarin,莫雷纳·巴卡林
Norman Rockwell,諾曼·洛克威爾
Shailene Woodley,莎蓮·活莉
Marion Lorne,玛丽昂·洛恩
Martha Hyer,玛莎·海尔
Melinda Dillon,梅林達·狄龍
Sam Raimi,山姆·雷米
Shareeka Epps,莎蕾卡·埃普斯
Milton Latham,米尔顿·莱瑟姆
Jovan Belcher,約萬·貝爾徹
Vivian Vance,维维安·万斯
Isabel Sanford,伊莎贝尔·桑福德
Claudia Kolb,克劳迪娅·科尔布
Heather O'Rourke,海瑟·歐羅克
Dania Ramirez,丹妮亚·拉米雷兹
Coretta Scott King,科丽塔·斯科特·金
Amber Tamblyn,愛波·塔布琳
Kelly Hu,胡凯莉
Jenny McCarthy,珍妮·麥卡錫
Amanda Beard,阿曼达·比尔德
Patty Murray,派蒂·莫瑞
Torrie Wilson,托瑞·威爾遜
Christian Cantwell,克里斯蒂安·坎特韦尔
Jayma Mays,杰玛·梅斯
Jenny Thompson,珍妮·湯普森
Patricia Heaton,帕特里夏·希顿
Alexandra Hedison,亚历山德拉·哈迪森
Laura Granville,勞拉·格蘭維爾
David Bushnell,大卫·布什内尔
Abraham Flexner,亚伯拉罕·弗莱克斯纳
Julia Stiles,茱莉亞·史緹爾
Louis Kahn,路易·康
Charles Greeley Abbot,查尔斯·格里利·阿博特
Jaime Pressly,潔米·佩絲莉
Gloria Steinem,格洛丽亚·斯泰纳姆
Peter Fonda,彼得·方達
Miranda Lambert,米蘭達·蘭伯特
Kevin Jonas,凱文·強納斯
Julie London,茱莉·倫敦
Billy Ray Cyrus,比利·雷·赛勒斯
Agnes Moorehead,阿格尼丝·穆尔黑德
Emmylou Harris,愛美蘿·哈里斯
Khloé Kardashian,科勒·卡戴珊
Kimmie Meissner,金米·梅斯纳尔
Patricia Wettig,帕特里夏·韦蒂格
Amy Ryan,艾米·瑞恩
Dana Vollmer,达娜·沃尔默
Kate Mara,凱特·瑪拉
Helen Parkhurst,海倫·帕克赫斯特
Marilyn French,玛丽莲·弗伦奇
John Morrison (wrestler),約翰·莫里森
Barbara Walters,芭芭拉·沃尔特斯
Patrick Ewing,帕特里克·尤因
Chuck Yeager,查克·葉格
Peg Entwistle,佩格·恩特維斯特
Mike Powell (long jumper),邁克·鮑威爾
Geoffrey Miller (psychologist),杰弗里·米勒
James Van Allen,詹姆斯·范·艾倫
Kay Lenz,凯·伦兹
Anchee Min,闵安琪
Kristen Wiig,克莉絲汀·薇格
Nora Roberts,诺拉·罗伯茨
Hayley McFarland,海莉·麦可法兰德
Willow Shields,薇洛·西爾德斯
Bernadette Peters,贝尔纳黛特·彼得斯
Sara Gilbert,莎拉·吉爾伯特
Jacque Fresco,雅克·法斯科
Lawrence Eagleburger,劳伦斯·伊格尔伯格
Amaury Nolasco,阿莫瑞·諾拉斯克
Richard E. Byrd,李察·柏德
Eliza Dushku,伊丽莎·杜什库
Dennis Tito,丹尼斯·蒂托
Elliott Smith,艾略特·史密斯
Joseph Nye,約瑟夫·奈爾
Elizabeth Gilbert,伊丽莎白·吉尔伯特
Dina Meyer,迪娜·迈耶
Amy Goodman,艾米·古德曼
Rosemary Casals,罗斯玛丽·卡萨尔斯
Greta Gerwig,葛莉塔·葛薇
Kathryn Hahn,凱薩琳·哈恩
Eddie Van Halen,埃迪·范海伦
Mark Hamill,馬克·漢米爾
Christina Hendricks,克莉絲汀娜·韓翠克絲
J. Edgar Hoover,約翰·埃德加·胡佛
Robert Langdon,羅柏·蘭登
Aubrey Plaza,奧布瑞·普拉扎
Alex Groza,亚历克斯·格罗扎
Eudora Welty,尤多拉·韦尔蒂
Don Cheadle,唐·钱德尔
Valerie Perrine,瓦莱丽·珀赖因
Jessica Walter,杰茜卡·沃尔特
Sally Struthers,萨莉·斯特拉瑟斯
Alice Hamilton,艾丽斯·汉密尔顿
Natasha Hastings,娜塔莎·哈斯廷斯
Jamaica Kincaid,牙買加·金凱德
John Kinsella (swimmer),约翰·金塞拉
Sarah Hammer,莎拉·哈默尔
Dotsie Bausch,多茜·鲍施
Ellen Burstyn,艾倫·鮑絲汀
Ray Liotta,雷·利奥塔
Jody Williams,乔迪·威廉斯
Audrey Meadows,奥德丽·梅多斯
Ruby Keeler,鲁比·基勒
Adriana Caselotti,阿德里亚娜·卡塞洛蒂
Edward James Olmos,爱德华·詹姆斯·奥莫斯
Atle Selberg,阿特勒·塞爾伯格
Rose McGowan,罗丝·麦高恩
Michael Porter,迈克尔·波特
Tracy Middendorf,崔西·米登朵夫
Edwin Austin Abbey,埃德温·奥斯汀·阿贝
Ed Wynn,埃德·温
Jan Sterling,简·斯特林
Jacqueline Obradors,杰奎琳·奥拉德丝
Dean Koontz,迪安·雷·孔茨
Glenda Farrell,格伦达·法雷尔
Siri Hustvedt,希莉·哈斯特维特
Susan Saint James,苏珊·圣詹姆斯
Barbara Hale,芭芭拉·黑尔
Jack White,傑克·懷特
Bell hooks,贝尔·胡克斯
Wade Williams,韦德·威廉姆斯
Katharine Cornell,凯瑟琳·康奈尔
Andrew Rossi,安德魯·羅西
Mary Pierce,玛丽·皮尔斯
Tara Reid,泰拉·蕾
Reid Hoffman,里德·霍夫曼
Jaco Pastorius,傑可·帕斯透瑞斯
Hannibal Lecter,汉尼拔·莱克特
E. O. Wilson,E.·O.·威尔逊
Kim Stanley,金·斯坦利
DeLisha Milton-Jones,德丽莎·米尔顿-琼斯
Enoch L. Johnson,伊努·L·強森
Julianne Nicholson,茱莉安娜·妮克遜
Christine Magnuson,克里斯蒂娜·马格努森
Lindsay Ellingson,蘭茜·艾靈臣
Nicole Parker,妮可·帕克
Constance Talmadge,康斯坦斯·塔尔梅奇
Franklin D. Roosevelt Jr.,小富兰克林·德拉诺·罗斯福
Diann Roffe,黛安·罗夫
Julie Ertel,朱莉·厄特尔
Joan Wallach Scott,琼·瓦拉赫·斯科特·(历史学家)
Christine Elise,克莉絲汀·愛麗絲
Chen Yueling,陈跃玲
Angel McCoughtry,安杰尔·麦考特里
Julie Otsuka,裘莉·大塚
Jessie Andrews,潔西·安德絲
Agnes Martin,艾格尼丝·马丁
Ingrid Daubechies,英格丽·多贝西
Kristin Cashore,克莉絲汀·卡修
Stark Sands,斯塔克·桑德斯
Olivia Culpo,奥利维亚·卡波
Kate del Castillo,凱特·戴卡斯提洛
Spike Jonze,斯派克·琼斯
John J. Pershing,约翰·潘兴
Kirsten Vangsness,克里斯汀·范奈丝
Nina Berberova,尼娜·别尔别罗娃
Tillie Olsen,蒂莉·奧爾森
Jean Kennedy Smith,珍妮·肯尼迪·史密斯
Diane von Fürstenberg,黛安·馮·菲斯滕貝格
Lou Ferrigno,卢·弗里基诺
Kate Millett,凱特·米列
Michel Legrand,米歇尔·勒格朗
Henry Wilson,亨利·威尔逊
Jim Yong Kim,金墉
Angus T. Jones,安格斯·琼斯
Phil Murphy,菲爾·墨菲
David Schramm (astrophysicist),大衛·施拉姆·(天文學家)
Chandra Cheeseborough,钱德拉·奇斯伯勒
Diana Gabaldon,黛安娜·蓋伯頓
Hornswoggle,小精靈·(摔角手)
Jane Powell,简·鲍威尔
Catherine Asaro,凱薩琳·艾薩蘿
Andrea Mead Lawrence,安德烈娅·米德·劳伦斯
Mariska Hargitay,瑪莉絲卡·哈吉塔
Harry Markowitz,哈利·馬可維茲
Susan Blakely,苏珊·布莱克利
Samuel Marinus Zwemer,塞繆爾·馬里努斯·茨維默
Victoria Woodhull,维多利亚·伍德哈尔
Vivian Kubrick,薇薇安·寇比力克
John Hancock,约翰·汉考克
Brian Austin Green,布萊恩·奧斯汀·格林
Skeeter Davis,史琪特·戴维丝
Martha Hudson,玛莎·赫德森
Lynn-Holly Johnson,蓮荷麗·瓊蓀
Becky Sauerbrunn,贝姬·索尔布伦
Paz de la Huerta,帕茲·德·拉·維爾塔
Katherine Dunham,凯瑟琳·邓翰
David Miliband,文禮彬
Jearl Miles Clark,吉尔·迈尔斯·克拉克
Roman Reigns,羅曼·瑞恩斯
Florence Foster Jenkins,佛羅倫斯·佛斯特·珍金絲
Sara Teasdale,莎拉·蒂斯黛尔
Franklin D. Roosevelt III,富兰克林·德拉诺·罗斯福三世
Frances Hodgson Burnett,法蘭西絲·霍森·柏納特
Kimberly Derrick,金伯莉·德里克
Joe Perry (musician),乔·佩里·(音乐家)
Tom Brady,汤姆·布雷迪
Jason Lezak,贾森·莱扎克
Jonah Hill,喬納·希爾
James Van Der Beek,詹姆士·范德比克
Liviu Librescu,利維烏·利布雷斯庫
Cormac McCarthy,戈馬克·麥卡錫
Lewis H. Morgan,路易斯·亨利·摩尔根
Charles Taze Russell,查尔斯·泰兹·罗素
Michael Chabon,麥可·謝朋
Priscilla Ahn,普莉西雅·安
Edith Wharton,伊迪丝·华顿
Jim Varney,吉姆·瓦尼
Taina Elg,塔伊纳·埃尔格
John G. Avildsen,約翰·艾維森
Brea Grant,布瑞亚·格兰特
Ray Harryhausen,雷·哈利豪森
Gary Coleman,加利·高文
Eva Amurri,伊娃·阿穆里
Yaya DaCosta,雅雅·達克斯塔
Sprague Grayden,斯普雷吉·格雷登
John Harsanyi,夏仙義·亞諾什·卡羅伊
Candy Reynolds,坎迪·雷诺兹
Daddy Yankee,洋基老爹
Tsering Wangmo Dhompa,卓巴·茨仁旺姆
Karlie Kloss,卡莉·克劳斯
Ann Veneman,安·维尼曼
AJ McLean,A·J·迈克林
George Shultz,乔治·普拉特·舒尔茨
Héctor Elizondo,赫克托·埃里仲杜
Evander Holyfield,依凡德·何利菲德
Erich Wolfgang Korngold,埃里希·科恩戈尔德
Thomas Harris,湯瑪斯·哈里斯
Butch Cassidy,布屈·卡西迪
Susan Faludi,蘇珊·法露迪
Sheila Young,希拉·扬
Robin Wright,羅蘋·萊特
Benjamin Smith Barton,本杰明·史密斯·巴顿
J. Christopher Stevens,約翰·史蒂文斯
Paul Tibbets,保罗·蒂贝茨
Alexander Payne,亚历山大·佩恩
Rita Gam,丽塔·加姆
Jessie Cross,杰茜·克罗斯
Loretta McNeil,洛蕾塔·麦克尼尔
Terri Schiavo,特丽·夏沃
Toni Frissell,托尼·弗里塞尔
Michael Emerson,迈克尔·爱默生
Brandon Roy,布兰顿·罗伊
Penny Fuller,彭妮·富勒
Megyn Kelly,梅根·凯利
Donnie Wahlberg,唐尼·華伯格
Cathy McMorris Rodgers,凱西·麥克莫里斯·羅傑斯
Stephen Covey,史蒂芬·柯维
Earl Boykins,厄尔·博伊金斯
Dikembe Mutombo,迪肯贝·穆托姆博
Grandma Moses,摩西奶奶
Annabel Chong,郭盈恩
Stefanie Scott,史蒂芬妮·史考特
Nia Long,妮雅·隆
Bonnie Hunt,邦妮·亨特
Joan Cusack,瓊安·庫薩克
Sunny Leone,珊妮·里昂
Bobby Bright,博比·布萊特
Joe Dassin,喬·達辛
David Arquette,大衛·阿奎特
Robert Byrd,羅伯特·伯德
Benjamin West,本杰明·韦斯特
Matthew Gray Gubler,馬修·葛雷·古博勒
Jermaine O'Neal,杰梅因·奥尼尔
Penny Pritzker,潘妮·普利茨克
Oscar De La Hoya,奥斯卡·德拉奥亚
Warren Christopher,沃伦·克里斯托弗
James Brendan Connolly,詹姆斯·康诺利·(田径运动员)
Adam Brody,亞當·布羅迪
Lionel Hampton,萊諾·漢普頓
Rip Torn,雷普·汤恩
Alan Silvestri,亚伦·史维斯查
Ronald Evans (astronaut),罗纳德·埃万斯
Joe Flanigan,喬·弗拉尼甘
Richard Hamilton (basketball),理查德·汉密尔顿·(篮球运动员)
Peter Jacobson,彼得·雅各布森
Sidney Bechet,西德尼·贝彻
Apl.de.ap,Apl.de.ap
Baron Davis,貝倫·戴維斯
Ryan Phillippe,瑞恩·菲利普
Greg Oden,格雷格·奥登
Meriwether Lewis,梅里韦瑟·刘易斯
Michael Redd,迈克尔·里德
Henry Norris Russell,亨利·诺利斯·罗素
Eunice Kennedy Shriver,尤妮斯·玛丽·肯尼迪
Megan Rapinoe,梅甘·拉皮诺
Kristen Schaal,克里斯汀·沙爾
Paul Rudd,保羅·路德
Rosie O'Donnell,蘿西·歐唐納
Loretta Lynn,洛丽塔·琳恩
Lil Jon,利尔·乔恩
Neil Diamond,尼爾·戴門
Brian Dennehy,布萊恩·丹內利
William Baldwin,威廉·鮑德溫
Estelle Harris,爱丝黛儿·哈里斯
Lesley Gore,莱斯利·戈尔
Vidal Sassoon,維達·沙宣
Ryan O'Neal,瑞恩·奥尼尔
Jules Dassin,朱爾斯·達辛
Aimee Mullins,艾美·慕琳斯
Kay Parker,凱·帕克
Barbara Mikulski,芭芭拉·米庫斯基
Norma Talmadge,诺玛·塔尔梅奇
Lincoln Burrows,布利恒
J. E. B. Stuart,詹姆斯·尤厄尔·布朗·斯图尔特
Vanilla Ice,香草冰
Sequoyah,塞闊雅
William James Sidis,威廉·詹姆斯·席德斯
Billy Crudup,比利·克鲁德普
Eric Mabius,艾力·馬比烏斯
Michael Chiklis,麥克·切克里斯
Cody Linley,寇帝·林利
Matt Dallas,馬特·達拉斯
Kevin Sorbo,凱文·索柏
Neil Peart,尼爾·佩爾特
Jack Dempsey,杰克·登普西
Joseph P. Kennedy Sr.,老约瑟夫·P·肯尼迪
Ross Perot,罗斯·佩罗
Jason Schwartzman,詹森·舒瓦兹曼
Roxanne Seeman,洛珊·西門
Patsy Cline,帕特西·克莱恩
Mary Washburn,玛丽·沃什伯恩
Anne Osborn Krueger,安妮·克鲁格
Monique Hennagan,莫妮克·亨纳甘
Karen McDougal,凱倫·麥克道格
Matthew Meselson,馬修·梅瑟生
Malik Sealy,馬里克·希利
A. J. Pierzynski,A·J·皮爾辛斯基
James Randi,詹姆斯·兰迪
Raphael Sbarge,拉斐爾·斯巴格
John Scalzi,約翰·史卡奇
Alexander Markovich Polyakov,亚历山大·泊里雅科夫
Daniel Wu,吳彥祖
Gerald Fitch,杰拉尔德·菲奇
R. Kelly,劳·凯利
Keke Palmer,琪琪·帕瑪
Jerry Lewis,傑利·路易斯
Robert Patrick,罗伯特·帕特里克
Duane Allman,杜安·奧爾曼
Tiffany Cohen,蒂法妮·科恩
Drake Bell,德雷克·贝尔
Wynton Marsalis,溫頓·馬沙利斯
Sam Shepard,山姆·谢泼德
Nguyễn Văn Thiệu,阮文紹
Martin Landau,马丁·兰道
Cornelius Vanderbilt,康内留斯·范德比尔特
Corin Nemec,科林·內美克
Harry Connick Jr.,小亨利·康尼克
John Kennedy Toole,約翰·甘迺迪·涂爾
Lauren German,劳伦·日尔曼
John Searle,约翰·瑟尔
David Caruso,大衛·卡羅素
Richard Pryor,李察·普瑞爾
Ali Landry,爱丽·兰德里
John B. Weller,约翰·B·韦勒
Jon Arbuckle,乔恩·阿布库
Cab Calloway,凱伯·凱洛威
Topher Grace,托弗·格雷斯
Andrei Kirilenko,安德烈·根纳季耶维奇·基里连科
Matthew Morrison,馬修·莫里森
A.C. Green,A·C·格林
William Randolph Hearst,威廉·赫斯特
Paul Robeson,保罗·罗伯逊
Nancy Hogshead-Makar,南希·霍格斯黑德-马卡尔
Peter Stormare,彼得·斯特曼
Adrianne Palicki,阿德琳妮·帕里奇
Barbara Kruger,芭芭拉·克鲁格·(艺术家)
George Whipple,喬治·惠普爾
A. J. Burnett,A·J·柏奈特
Richie Sambora,瑞奇·山伯拉
Joel Schumacher,乔·舒马赫
P. G. T. Beauregard,P·G·T·博雷加德
King C. Gillette,金·坎普·吉列
Johnny Knoxville,強尼·諾克斯維爾
Aaron Spelling,艾倫·斯班林
Tony Hawk,東尼·霍克·(運動員)
George Wallace,乔治·华莱士
George Lakoff,喬治·萊考夫
Jerry Falwell,老傑瑞·法威爾
Edward Steichen,愛德華·史泰欽
Carlos Bernard,卡洛斯·伯纳德
Robert Picardo,罗伯特·皮卡多
Dean Cain,迪恩·凱恩
Casper Van Dien,卡斯柏·范狄恩
Anthony Anderson,安東尼·安德森
Nouriel Roubini,魯里埃爾·魯比尼
Albert Ellis,阿尔伯特·艾利斯
Brian Littrell,布萊恩·萊特爾
Mortimer J. Adler,莫蒂默·杰尔姆·阿德勒
Weldon Olson,韦尔登·奥尔森
Richard Donner,李察·唐納
Nicki Aycox,妮基·艾考克斯
Herbert Spencer Gasser,赫伯特·斯潘塞·加塞
Elizabeth Loftus,伊丽莎白·洛夫图斯
Joe Louis,喬·路易斯
Chris Cooper,克里斯·庫柏
James Baldwin,詹姆斯·鲍德温
David Scott,大卫·斯科特
Bonnie Somerville,邦妮·桑莫薇
Rod Steiger,洛·史泰格
John C. Breckinridge,约翰·C·布雷肯里奇
George Westinghouse,乔治·威斯汀豪斯
William G. Morgan,韦廉姆·G·摩根
Maxwell D. Taylor,馬克斯維爾·泰勒
Andranik,安德拉尼克·奧扎尼安
John Leguizamo,約翰·李古查摩
Metta Sandiford-Artest,慈善·辛迪福特-阿堤斯
Floyd Patterson,弗洛伊德·帕特森
Ellery Harding Clark,埃勒里·克拉克
Thomas Burke (athlete),托马斯·伯克
Hakeem Olajuwon,哈基姆·奥拉朱旺
Les Paul,萊斯·保羅
Roald Hoffmann,罗德·霍夫曼
A. J. Jacobs,阿諾德·史蒂芬·賈各布斯
Henry Gantt,亨利·甘特
Mr. T,T先生
Corey Taylor,科里·泰勒
Shirin Neshat,詩琳·娜夏特
Ruth Ann Minner,露丝·安·明纳
Antonio Meucci,安東尼奧·穆齊
Lauren Faust,蘿倫·福斯特
Clyde Drexler,克莱德·德雷克斯勒
Ben Wallace (basketball),本·华莱士
Scarecrow (DC Comics),稻草人·(漫画)
A. R. Ammons,A·R·阿门斯
A. M. Homes,艾美·賀姆
Travie McCoy,崔維·麥考伊
Jamie Hyneman,杰米·海纳曼
Anton Yelchin,安東·葉爾欽
Tom Regan,汤姆·里根
Edward Zwick,愛德華·茲維克
Mark Dacascos,馬克·德可斯可
George Mikan,乔治·迈肯
Abel Ferrara,阿貝爾·費拉拉
Alben W. Barkley,阿尔本·W·巴克利
Hannibal Hamlin,汉尼巴尔·哈姆林
Kelly Curtis,凯利·柯蒂斯
Arthur Melvin Okun,亞瑟·奧肯
Irving Johnson,欧文·约翰逊
William Henry Howell,威廉·亨利·豪威爾
Gore Verbinski,高爾·韋賓斯基
Bobby Jindal,鮑比·金達爾
Judith Rich Harris,朱迪斯·里奇·哈里斯
Edie McClurg,伊迪·迈克莱尔
Joan Hackett,琼·哈克特
Charles Dillon Perrine,查尔斯·狄龙·珀赖因
Mitch Pileggi,米徹·佩勒吉
Harry Dean Stanton,哈里·迪恩·斯坦頓
Eben Moglen,伊本·莫格林
Patty Fendick,帕蒂·芬迪克
Lizzie Magie,莉茲·瑪姬
Dorothy Hamill,桃樂絲·漢彌爾
Margaret Spellings,玛格丽特·斯佩林斯
Lewis A. Swift,路易斯·斯威夫特
Joseph Campbell,約瑟夫·坎伯
Lawrence Ferlinghetti,劳伦斯·弗林盖蒂
John Vincent Atanasoff,约翰·文森特·阿塔纳索夫
Michel Fokine,米哈伊尔·福金
Chris Witty,克丽丝·威蒂
Hazel Hotchkiss Wightman,黑兹尔·霍奇基斯·怀特曼
Darren Criss,達倫·克里斯
Thomas Wolfe,湯瑪斯·伍爾夫
Jason Becker,傑森·貝克
Gregory Bateson,格雷戈里·贝特森
Roger Zelazny,羅傑·澤拉茲尼
Frank Darabont,法蘭·達拉本特
Mikhail Baryshnikov,米哈伊尔·巴里什尼科夫
Buddy Guy,巴迪·盖伊
Laura Ramsey,蘿拉·琳賽
Lionel Barrymore,賴尼爾·巴利摩
Geena Davis,吉娜·戴维斯
David H. Hubel,大衛·休伯爾
Robert F. Engle,罗伯特·F·恩格尔
Two-Face,双面人
Huey Long,休伊·皮尔斯·朗
Robert Christgau,羅伯特·克里斯特高
H. Robert Horvitz,H·罗伯特·霍维茨
Brian McBride,布赖恩·麦克布莱德
Enos Slaughter,伊諾斯·史勞特
Rube Waddell,魯布·瓦德爾
Brandon Jennings,布兰登·詹宁斯
Kirk Hinrich,柯克·韓瑞克
Chris Webber,克里斯·韋伯
Murray Perahia,穆雷·佩拉西亚
Dudley W. Morton,达德利·沃克·莫顿
Anna Sui,蕭志美
Steve Reich,斯蒂夫·莱奇
John Frankenheimer,約翰·法蘭克海默
Karen Moe,卡伦·莫
Ginny Duenkel,金妮·丁克尔
Monet Mazur,莫內·瑪佐
Sasha Mitchell,薩沙·米切爾
John Romero,约翰·罗梅洛
Tayshaun Prince,泰夏安·普林斯
John Paul Jones,约翰·保罗·琼斯
George Bass (archaeologist),乔治·巴斯
David O. Russell,大卫·欧·拉塞尔
Luther Green,卢瑟·格林
Earl Averill,厄爾·艾佛瑞爾
William Bernbach,威廉·伯恩巴克
Creighton Abrams,克雷頓·艾布蘭
Rolando Blackman,罗兰多·布莱克曼
Arthur Kornberg,阿瑟·科恩伯格
Kevin McHale (actor),凱文·麥克海爾·(演員)
Harold E. Varmus,哈羅德·瓦慕斯
Michael Stuart Brown,麥可·斯圖亞特·布朗
Jason Biggs,贾森·比格斯
William Vickrey,威廉·维克里
George Davis Snell,乔治·斯内尔
Harry Reid,哈里·瑞德
Sharrod Ford,沙罗德·福特
Mickey Cochrane,米奇·寇克蘭
John Oates,約翰·奧茲
Leo Burnett,李奥·贝纳
Peter Hardeman Burnett,彼得·哈德曼·伯内特
Farnsworth Wright,法恩斯沃思·萊特
Daniel Nathans,丹尼爾·那森斯
Vernon L. Smith,弗农·史密斯
George Wald,乔治·沃尔德
Johnny Galecki,约翰尼·盖尔克奇
Erving Goffman,厄文·高夫曼
Harold Lasswell,哈羅德·拉斯威爾
Jason Reitman,贾森·雷特曼
Rockmond Dunbar,洛克蒙·鄧巴
Edward Burns,愛德華·賓斯
Kevin Nash,凱文·奈許
Gig Young,吉格·扬
Mark Pellegrino,马克·佩雷格里诺
John Fogerty,約翰·弗格蒂
Rob Morrow,羅伯·莫羅
Paul Winfield,保罗·温菲尔德
John Mahoney,約翰·馬奧尼
Jack Albertson,杰克·艾伯森
Miles D. White,白千里
John Glover (actor),約翰·葛洛佛
Lee Iacocca,李·艾科卡
Philip Zimbardo,菲利普·津巴多
Alfred Molina,阿尔弗雷德·莫里纳
Dustin Rhodes,達斯汀·羅茲
Andy Samberg,安迪·萨姆伯格
David Otunga,大衛·奧騰加
Ferid Murad,費瑞·慕拉德
Joey Jordison,喬依·喬迪森
Kenny G,肯尼·基
Eddie Murray,艾迪·莫瑞
Harry Hooper,哈利·胡珀
Leland H. Hartwell,利兰·哈特韦尔
Richard Chamberlain,李察·張伯倫
Sam Cooke,山姆·库克
Edgar Mitchell,艾德加·米切尔
Douglas Tompkins,道格拉斯·湯普金斯
Maurice Sendak,莫里斯·桑達克
Sidney Mintz,文思理
Elliott Gould,埃利奥特·古尔德
Hal Holbrook,賀爾·賀爾布魯克
Luke Appling,路克·艾普林
Julian Schnabel,朱利安·許納貝
Harry Shearer,哈里·希勒
Calvin Smith,卡尔文·史密斯
Eli Whitney,伊莱·惠特尼
Leslie Orgel,莱斯利·奥格尔
Scott Caan,斯科特·凯恩
George Phillips Bond,乔治·菲利普斯·邦德
Harry Nilsson,哈利·尼爾森
Leslie Groves,莱斯利·理查德·格罗夫斯
Harlow Shapley,哈罗·沙普利
Lawrence Klein,勞倫斯·克萊因
William Cranch Bond,威廉·邦德
Robert Silverberg,羅伯特·西爾柏格
Elijah Muhammad,以利亚·穆罕默德
Ben McKenzie,班傑明·麥肯錫
Dean Stockwell,狄恩·史達威爾
Marshall Sahlins,馬歇爾·薩林斯
Luke Macfarlane,盧克·麥克法蘭
Adam Goldberg,亞當·戈德堡
George Burns,乔治·伯恩斯
Adam Yauch,亚当·约赫
Winslow Homer,温斯洛·霍默
Evan Bayh,埃文·贝赫
Curt Hennig,柯爾提·漢尼格
Donald Kirkpatrick,唐納德·L·柯克派屈克
Sam Harris,山姆·哈里斯
John Cazale,約翰·卡佐爾
Alex Haley,艾利斯·哈利
George Pólya,喬治·波利亞
Misha Collins,米沙·克林斯
Barry Bonds,貝瑞·邦茲
Kevin McCarthy (actor),凯文·麦卡锡·(演员)
Thomas Bushnell,湯瑪斯·布什內爾
Larry Steele,拉里·斯蒂尔
Samuel J. Tilden,塞缪尔·蒂尔顿
John Philip Sousa,約翰·菲利普·蘇沙
MC Hammer,MC哈默
Terence Tao,陶哲轩
Jeff Fahey,傑夫·法赫
Derek Fisher,德里克·费舍尔
Ethan Suplee,伊森·索普
Robert Parish,罗伯特·帕里什
Jon Favreau,強·法夫洛
Ioan Gruffudd,艾恩·古福特
George Herbert Mead,喬治·賀伯特·米德
Babyface (musician),娃娃臉·(藝人)
Ted DiBiase,泰德·迪比亞西
Mickey Mantle,米奇·曼托
Jerry Lawler,傑利·勞勒
Matthew Davis,馬修·戴維斯·(演員)
Michael Graves,麥可·葛瑞夫
Yokozuna (wrestler),横綱·(摔角手)
Lou Boudreau,盧·布德羅
Buddy Jeannette,巴迪·吉纳特
Maurice Greene (sprinter),莫里斯·格連·(田徑運動員)
Trent Reznor,特倫特·雷澤諾
Lamar Odom,拉马尔·奥多姆
David Morse,大衛·摩斯
Samuel Gompers,龔帕斯
Justin Gimelstob,賈斯汀·吉梅爾斯托布
Jon Lovitz,喬恩·拉威茨
Rob Lowe,罗伯·劳
Joseph Silk,约瑟夫·西尔克
Terrence Howard,泰伦斯·霍华德
Alfred G. Gilman,艾爾佛列·古曼·吉爾曼
Blake Clark,布莱克·克拉克
Andrew Bynum,安德鲁·拜纳姆
Henry L. Stimson,亨利·刘易斯·史汀生
Robert Vaughn,勞勃·法蘭西斯·華根
Jackie Earle Haley,傑基·厄爾·哈利
Paul Revere,保羅·里維爾
Patrik Eliáš,帕特里克·埃利亚什
John Waters,約翰·華特斯
Anthony Edwards (actor),安東尼·愛德華
Vladimir K. Zworykin,弗拉基米尔·佐利金
Jeff Dunham,杰夫·邓纳姆
Frank Jack Fletcher,法蘭克·傑克·弗萊徹
Patrick Stump,派崔克·史坦普
David Anders,大衛·安德斯
Michael Richards,邁克·里察斯
Jonathan Littell,乔纳森·利特尔
Henry-Russell Hitchcock,亨利-罗素·希区柯克
William L. Shirer,威廉·勞倫斯·夏伊勒
George David Birkhoff,乔治·戴维·伯克霍夫
Sean Flynn (photojournalist),肖恩·弗林
Daredevil (Marvel Comics character),夜魔俠
Keith Sonnier,基斯·索尼尔
Thad Allen,撒德·艾伦
Tom Mix,汤姆·米克斯
John Mellencamp,約翰·麥倫坎普
W. Averell Harriman,威廉·埃夫里尔·哈里曼
Anita Page,艾妮塔·佩吉
Nancy Allen (actress),南茜·艾伦
Ralph Lauren,拉尔夫·劳伦
Cyrus Vance,赛勒斯·万斯
A. E. van Vogt,范·沃格特
James Brolin,詹姆斯·布洛林
David Brin,大衛·布林
Garry Marshall,蓋瑞·馬歇爾
Jeremy Piven,傑瑞米·皮文
Jason Robards,贾森·罗巴兹
Frank Welker,弗兰克·维尔克
Chris Miller (animator),克里斯·米勒
Carol Gilligan,卡罗尔·吉利根
Nina Li Chi,利智
John Elkann,約翰·埃爾坎
Ken Anderson (wrestler),甘迺迪先生
Kevin Love,凯文·乐福
William H. Seward,威廉·H·苏厄德
Oswald Avery,奥斯瓦尔德·埃弗里
Al López,艾爾·羅培茲
John Peterson (wrestler),约翰·彼得森
Ben Peterson,本·彼得森
Harold Bloom,哈羅德·布魯姆
Bobby Morrow,博比·莫罗
Roger B. Chaffee,罗杰·查菲
