George Washington,ジョージ・ワシントン
Seneca,セネカ国
Vickie Guerrero,ヴィッキー・ゲレロ
Valerie Brisco-Hooks,バレリー・ブリスコ＝フックス
Bonnie Blair,ボニー・ブレア
Alexis Smith,アレクシス・スミス
Matthew Fox,マシュー・フォックス
Chris Leitch,クリス・リーチ
Terri Schiavo,テリー・シアボ事件
Sara Gilbert,サラ・ギルバート
Bernadette Peters,バーナデット・ピーターズ
Harry Benjamin,ハリー・ベンジャミン
Paula Abdul,ポーラ・アブドゥル
Larry King,ラリー・キング
Billy Graham,ビリー・グレアム
Cameron Richardson,キャメロン・リチャードソン
Gladys George,グラディス・ジョージ
Betty Ford,ベティ・フォード
Olivia Olson,オリヴィア・オルソン
Carla Laemmle,カーラ・レムリ
B. F. Skinner,バラス・スキナー
Carlos Bocanegra,カルロス・ボカネグラ
Kelly Lynch,ケリー・リンチ
Catherine Lucile Moore,C・L・ムーア
Alexandra Daddario,アレクサンドラ・ダダリオ
Jesse James,ジェシー・ジェイムズ
Johann Most,ヨハン・モスト
Bill Cosby,ビル・コスビー
Nana Visitor,ナナ・ヴィジター
Miriam Hopkins,ミリアム・ホプキンス
Ashlee Simpson,アシュリー・シンプソン
Friedrich Wilhelm von Steuben,フリードリッヒ・ヴィルヘルム・フォン・シュトイベン
Edie Brickell,エディ・ブリッケル
Clare Kramer,クレア・クレイマー
Ted Sutton,テッド・サットン
Sandra Warfield,サンドラ・ワーフィールド
Samuel Marinus Zwemer,サミュエル・ツエマー
Jack McGurn,ジャック・マクガーン
Virginia Bruce,ヴァージニア・ブルース
David Turpie,デヴィッド・ターピー
Susan Blakely,スーザン・ブレイクリー
Edna May Oliver,エドナ・メイ・オリヴァー
Olivia Thirlby,オリヴィア・サールビー
Annabella Sciorra,アナベラ・シオラ
Kristina Rose,クリスティナ・ローズ
Molly Ringwald,モリー・リングウォルド
Katherine Applegate,K・A・アップルゲイト
Danica Patrick,ダニカ・パトリック
Ralph Bunche,ラルフ・バンチ
Judy Reyes,ジュディ・レイエス
Diane Neal,ダイアン・ニール
Embeth Davidtz,エンベス・デイヴィッツ
Patricia Cornwell,パトリシア・コーンウェル
Roberta Flack,ロバータ・フラック
Vanessa Marcil,ヴァネッサ・マーシル
Sylvia Sidney,シルヴィア・シドニー
Charisma Carpenter,カリスマ・カーペンター
Sara Paxton,サラ・パクストン
will.i.am,ウィル・アイ・アム
Chris Wedge,クリス・ウェッジ
Daniel Keyes,ダニエル・キイス
Mike Myers,マイク・マイヤーズ
Anne Fletcher,アン・フレッチャー
Megan Rapinoe,ミーガン・ラピーノー
Grace Zabriskie,グレイス・ザブリスキー
Mamie Gummer,メイミー・ガマー
Grandma Moses,グランマ・モーゼス
Julie Gonzalo,ジュリー・ゴンザロ
Amy Jo Johnson,エイミー・ジョー・ジョンソン
Raul Hilberg,ラウル・ヒルバーグ
Anatole Litvak,アナトール・リトヴァク
Hans Richter,ハンス・リヒター
Flo Rida,フロー・ライダー
Rudolf Serkin,ルドルフ・ゼルキン
Leah Remini,リア・レミニ
Marlin Perkins,マーリン・パーキンス
Phil Vassar,フィル・ヴァッサー
Henry Mancini,ヘンリー・マンシーニ
Douglas Diamond,ダグラス・W・ダイアモンド
Jeanna Fine,ジーナ・ファイン
Brea Bennett,ブレア・ベネット
Annabel Chong,アナベル・チョン
Margaret Mahler,マーガレット・マーラー
Amitai Etzioni,アミタイ・エツィオーニ
Monica,モニカ
Jessica Stroup,ジェシカ・ストループ
Nico Tortorella,ニコ・トルトレッラ
Louisa May Alcott,ルイーザ・メイ・オルコット
Odette Annable,オデット・アナブル
Carolyn S. Shoemaker,キャロライン・シューメーカー
Foxy Brown,フォクシー・ブラウン
Rena Sofer,レナ・ソファー
Greg Mankiw,グレゴリー・マンキュー
Patricia Churchland,パトリシア・チャーチランド
Tori Black,トーリ・ブラック
Kara DioGuardi,カーラ・ディオガルディ
Kate Upton,ケイト・アプトン
Sunny Leone,サニー・レオーネ
Hudson Leick,ハドソン・レイク
Leo Stein,レオ・スタイン
Arthur Rosenberg,アルトゥル・ローゼンベルク
Moriz Rosenthal,モーリツ・ローゼンタール
Belladonna,ベラドンナ
Joseph Cheesman Thompson,ジョゼフ・チーズマン・タムソン
Kim Kardashian,キム・カーダシアン
Sarah Lancaster,サラ・ランカスター
Mary Higgins Clark,メアリ・H・クラーク
Kendra Wilkinson,ケンドラ・ウィルキンソン
Herbert Bayer,ヘルベルト・バイヤー
Barry White,バリー・ホワイト
John Kenneth Galbraith,ジョン・ケネス・ガルブレイス
Ann Rutherford,アン・ラザフォード
Christina Grimmie,クリスティーナ・グリミー
Chasey Lain,チェシー・レイン
Natalie Maines,ナタリー・メインズ
Norma Talmadge,ノーマ・タルマッジ
Luther Martin Kennett,ルーサー・M・ケネット
Kathleen Hanna,キャスリーン・ハンナ
Tura Satana,トゥラ・サターナ
John Howard Griffin,ジョン・ハワード・グリフィン
Susan Faludi,スーザン・ファルディ
Jim Jordan,ジム・ジョーダン
Madeleine Carroll,マデリーン・キャロル
Katherine Kelly Lang,キャサリン・ケリー・ラング
Shay Jordan,シェイ・ジョーダン
Shawna Lenee,ショーナ・レニー
Wolfgang Köhler,ヴォルフガング・ケーラー
Tom Selleck,トム・セレック
Lukas Foss,ルーカス・フォス
Joy Lauren,ジョイ・ローレン
Pauley Perrette,ポーリー・ペレット
Meg Cabot,メグ・キャボット
Marilyn Manson,マリリン・マンソン
Rudolph Minkowski,ルドルフ・ミンコフスキー
Kazimierz Fajans,カジミール・ファヤンス
Kristin Chenoweth,クリスティン・チェノウェス
Phil Spector,フィル・スペクター
Gustav Struve,グスタフ・シュトルーヴェ
Dashiell Hammett,ダシール・ハメット
Liu Yifei,劉亦菲
Eva LaRue,エヴァ・ラルー
Kat Dennings,カット・デニングス
Naomi Novik,ナオミ・ノヴィク
Jacky Terrasson,ジャッキー・テラソン
John Scurti,ジョン・スカーティ
Tammi Terrell,タミー・テレル
Sheila Young,シーラ・ヤング
Kim Delaney,キム・デラニー
Jorja Fox,ジョージャ・フォックス
Jules Dassin,ジュールズ・ダッシン
Robert Ferdinand Wagner,ロバート・ファーディナンド・ワーグナー
Adolf Busch,アドルフ・ブッシュ
Babe Ruth,ベーブ・ルース
Emily Procter,エミリー・プロクター
Hailee Steinfeld,ヘイリー・スタインフェルド
Bridgit Mendler,ブリジット・メンドラー
Hermann Rauschning,ヘルマン・ラウシュニンク
Walter Reisch,ヴァルター・ライシュ
Jenna Haze,ジェナ・ヘイズ
Linda Lingle,リンダ・リングル
John Taras,ジョン・タラス
Francis Fukuyama,フランシス・フクヤマ
Natalie Cole,ナタリー・コール
Joseph Strauss,ジョゼフ・シュトラウス
Barbara Mikulski,バーバラ・ミクルスキ
Kay Parker,ケイ・パーカー
Gabrielle Union,ガブリエル・ユニオン
Berenice Abbott,ベレニス・アボット
Sofía Vergara,ソフィア・ベルガラ
Szymon Goldberg,シモン・ゴールドベルク
Judith Malina,ジュディス・マリナ
Annise Parker,アニース・パーカー
Walter Laqueur,ウォルター・ラカー
Ottmar Mergenthaler,オットマー・マーゲンターラー
Mika,ミーカ
Sasha Alexander,サッシャ・アレクサンダー
Mahlon Pitney,マローン・ピツニー
Joey Bishop,ジョーイ・ビショップ
Kay Hagan,ケイ・ヘイガン
Bernard B. Fall,バーナード・フォール
Lorenzo Brentano,ロレンツ・ブレンターノ
Friedrich Schorr,フリードリヒ・ショア
Max Wertheimer,マックス・ヴェルトハイマー
Phylicia Rashad,フィリシア・ラシャド
Naima Mora,ナイマ・モラ
Genevieve Padalecki,ジュヌヴィエーヴ・コルテーゼ
Mary McCormack,メアリー・マコーマック
Dyanna Lauren,ダイアナ・ローレン
Marian Anderson,マリアン・アンダーソン
Sterling Sharpe,スターリング・シャープ
Mary Ainsworth,メアリー・エインスワース
Aimee Mullins,エイミー・マリンズ
Kelly Stables,ケリー・ステイブルズ
Julian Schwinger,ジュリアン・シュウィンガー
Paul Walker,ポール・ウォーカー
Seth Green,セス・グリーン
Riccardo Giacconi,リカルド・ジャコーニ
Lincoln Burrows,リンカーン・バローズ
Guy Ecker,ガイ・エッカー
Jason Earles,ジェイソン・アールズ
Jim Jones,ジム・ジョーンズ
Surya Bonaly,スルヤ・ボナリー
Paul Bettany,ポール・ベタニー
Joan Blondell,ジョーン・ブロンデル
Cathy Moriarty,キャシー・モリアーティ
Patricia McPherson,パトリシア・マクファーソン
Meredith Monroe,メレディス・モンロー
Khandi Alexander,カンディ・アレキサンダー
Peter Zinner,ピーター・ツィンナー
Ann-Margret,アン＝マーグレット
Oliver E. Williamson,オリバー・ウィリアムソン
Nicolás Jaar,ニコラス・ジャー
Paul Edwards,ポール・エドワーズ
Sigurd Raschèr,シグールト・ラッシャー
Charles de Tolnay,シャルル・ド・トルナイ
Gretel Bergmann,グレーテル・ベルクマン
Julia Louis-Dreyfus,ジュリア・ルイス＝ドレイファス
"Gilbert du Motier, Marquis de Lafayette",ラファイエット
Phoebe Dollar,フィービー・ダラー
Blair Brown,ブレア・ブラウン
Jane Alexander,ジェーン・アレクサンダー
Sydney Tamiia Poitier,シドニー・ターミア・ポワチエ
Matthew Meselson,マシュー・メセルソン
Nellie Tayloe Ross,ネリー・ロス
Angela Bassett,アンジェラ・バセット
Pat Metheny,パット・メセニー
Marcus Goldman,マーカス・ゴールドマン
Eduard Steuermann,エドゥアルト・シュトイアーマン
Erin Brockovich,エリン・ブロコビッチ
Elizabeth Perkins,エリザベス・パーキンス
Arielle Kebbel,アリエル・ケベル
James Newton Howard,ジェームズ・ニュートン・ハワード
Alfred Kinsey,アルフレッド・キンゼイ
Barbara Garrick,バーバラ・ギャリック
Willis Lamb,ウィリス・ラム
Robert Peary,ロバート・ピアリー
George S. Patton,ジョージ・パットン
Monique Hennagan,モニーク・ヘンナガン
Anne Osborn Krueger,アン・クルーガー
William Steinberg,ウィリアム・スタインバーグ
Stefan Wolpe,シュテファン・ヴォルペ
George Foreman,ジョージ・フォアマン
Marilyn Horne,マリリン・ホーン
Sonya Noskowiak,ソニア・ノスコゥヤック
Joan Osborne,ジョーン・オズボーン
Billy Gilbert,ビリー・ギルバート
Matt LeBlanc,マット・ルブランク
Roxanne Seeman,ログザンヌ・シーマン
Erin Cummings,エリン・カミングス
Nora Zehetner,ノラ・ゼヘットナー
Minnie Riperton,ミニー・リパートン
Rachael Leigh Cook,レイチェル・リー・クック
Billy Crystal,ビリー・クリスタル
Babe Didrikson Zaharias,ベーブ・ディドリクソン・ザハリアス
Gwen Torrence,グウェン・トーレンス
Steve Morse,スティーヴ・モーズ
Kelly Le Brock,ケリー・ルブロック
Ethel Waters,エセル・ウォーターズ
Jaime Bergman,ジェイミー・バーグマン
Mark Tobey,マーク・トビー
Kerry Washington,ケリー・ワシントン
Michael Mann,ミヒャエル・マン
William Steinway,ウィリアム・スタインウェイ
Mary Astor,メアリー・アスター
Karen McDougal,カレン・マクドゥーガル
Cynthia Gibb,シンシア・ギブ
Hillel Slovak,ヒレル・スロヴァク
Lana Wood,ラナ・ウッド
Melora Walters,メローラ・ウォルターズ
Meg Foster,メグ・フォスター
Elaine Stritch,エレイン・ストリッチ
Lydia Lunch,リディア・ランチ
Charlie Furbush,チャーリー・ファーブッシュ
William Cameron Menzies,ウィリアム・キャメロン・メンジーズ
Summer Bishil,サマー・ビシル
Meryl Davis,メリル・デイヴィス
Sindee Coxx,シンディー・コックス
Trina Michaels,トリーナ・マイケルズ
Nadia Bjorlin,ナディア・ビョーリン
Jordan Hinson,ジョーダン・ヒンソン
Carole Landis,キャロル・ランディス
Laura Marano,ローラ・マラノ
Lil Mama,リル・ママ
Lauren Ambrose,ローレン・アンブローズ
Kristin Cavallari,クリスティン・カヴァラーリ
Diana Scarwid,ダイアナ・スカーウィッド
Ellen McLain,エレン・マクレイン
Kevin Yoder,ケビン・ヨーダー
David Carradine,デビッド・キャラダイン
Mona Marshall,モナ・マーシャル
Virginia Mayo,ヴァージニア・メイヨ
Linda Blair,リンダ・ブレア
Lynda Carter,リンダ・カーター
Faith Ford,フェイス・フォード
Lisa Eilbacher,リサ・アイルバッハー
Drake Bell,ドレイク・ベル
Amy Davidson,エイミー・デビッドソン
Ingrid Michaelson,イングリッド・マイケルソン
Erica Campbell,エリカ・キャンベル
Toni Basil,トニー・バジル
Sally Field,サリー・フィールド
T.I.,T.I.
Claus Spreckels,クラウス・シュプレッケルス
Julieta Venegas,フリエッタ・ベネガス
Mackenzie Rosman,マッケンジー・ロスマン
Richard Davalos,リチャード・ダヴァロス
Lauren German,ローレン・ジャーマン
Wiard Ihnen,ウィアード・イーネン
Oscar Hammerstein I,オスカー・ハマースタイン
Otto Kirchheimer,オットー・キルヒハイマー
Herbert Busemann,ハーバート・ビュースマン
Aristid von Grosse,アリスティッド・フォン・グローセ
Gerald Neugebauer,ゲリー・ノイゲバウアー
Dev,デヴ
40 Glocc,40グロック
Tracy Chevalier,トレイシー・シュヴァリエ
Peter Medawar,ピーター・メダワー
Lauryn Hill,ローリン・ヒル
Fantasia Barrino,ファンテイジア・バリーノ
Nicole Anderson,ニコール・ゲイル・アンダーソン
Rita Mae Brown,リタ・メイ・ブラウン
Naomi Russell,ナオミ
Charles Follen,カール・フォレン
Philip Roth,フィリップ・ロス
Rudolf Dreikurs,ルドルフ・ドライカース
Rudolph Reti,ルドルフ・レティ
Krystal Meyers,クリスタル・マイヤーズ
Helen Levitt,ヘレン・レヴィット
Robert Burns Woodward,ロバート・バーンズ・ウッドワード
Red Badgro,レッド・バドグロ
Lori Petty,ロリ・ペティ
Rudolf Kolisch,ルドルフ・コーリッシュ
Susan Lucci,スーザン・ルッチ
Suzanne Somers,スザンヌ・サマーズ
Jean Peters,ジーン・ピーターズ
Lady Randolph Churchill,ジャネット・ジェローム
Jan Meyerowitz,ヤン・マイエロヴィツ
Francis Wolff,フランシス・ウルフ
Gerhard Weinberg,ガーハード・ワインバーグ
Debra Hill,デブラ・ヒル
Richard Donner,リチャード・ドナー
Navi Rawat,ナヴィ・ラワット
Piper Laurie,パイパー・ローリー
William W. Hallo,ウィリアム・W・ハロ
Weldon Olson,ウェルドン・オルソン
Rachel Ticotin,レイチェル・ティコティン
Stanley Cohen,スタンリー・コーエン
Roseanne Barr,ロザンヌ・バー
Dave Mustaine,デイヴ・ムステイン
Ayaan Hirsi Ali,アヤーン・ヒルシ・アリ
Julia Child,ジュリア・チャイルド
Joseph Rochefort,ジョセフ・ロシュフォート
Roger Sperry,ロジャー・スペリー
Mae Whitman,メイ・ホイットマン
Nick Carter,ニック・カーター
Adolphus Busch I,アドルファス・ブッシュ
Maurice Pate,モーリス・ペイト
Rachel Miner,レイチェル・マイナー
Chris Volstad,クリス・ボルスタッド
Nicki Aycox,ニッキー・エイコックス
Velvet Sky,ベルベット・スカイ
Mary Kay Bergman,メアリー・ケイ・バーグマン
Danica McKellar,ダニカ・マッケラー
Muse Watson,ミューズ・ワトソン
Thomas De Lage Sumter,トーマス・デ・ラーゲ・サムター
Paul Auster,ポール・オースター
Robert J. Kleberg,ロバート・J・クレバーグ
Elizabeth Loftus,エリザベス・ロフタス
Amy Sedaris,エイミー・セダリス
Elvis Perkins,エルヴィス・パーキンス
Erin Cafaro,エリン・カファーロ
Zell Miller,ゼル・ミラー
Cat Power,キャット・パワー
Barbara Kruger,バーバラ・クルーガー
Alfred H. Colquitt,アルフレッド・H・コルキット
Nora Ephron,ノーラ・エフロン
Alison Knowles,アリソン・ノウルズ
Kristi Terzian,クリスティ・テルジアン
Jessi Colter,ジェシー・コルター
Frederik Prausnitz,フレデリク・プラウスニッツ
Andy Williams,アンディ・ウィリアムズ
Henry Miller,ヘンリー・ミラー
Elizabeth Moon,エリザベス・ムーン
"Marie-Chantal, Crown Princess of Greece",マリー・シャンタル
Natalie Curtis,ナタリー・カーティス
Barbara Eden,バーバラ・イーデン
Elizabeth Peña,エリザベス・ペーニャ
Andy Hunt,アンドリュー・ハント
Ali Landry,アリ・ランディー
Torri Edwards,トーリ・エドワーズ
Rachel Dratch,レイチェル・ドラッチ
Adrianne Palicki,エイドリアンヌ・パリッキ
Jeannette Rankin,ジャネット・ランキン
Lisa Bonet,リサ・ボネット
George Westinghouse,ジョージ・ウェスティングハウス
Raymond Walburn,レイモンド・ウォルバーン
Alexis Amore,アレクシス・アモーレ
Teanna Kai,ティアンナ・カイ
Tawny Roberts,タウニー・ロバーツ
Karen Black,カレン・ブラック
Zelda Rubinstein,ゼルダ・ルビンスタイン
Robert Zemeckis,ロバート・ゼメキス
Jascha Heifetz,ヤッシャ・ハイフェッツ
Conchata Ferrell,コンチャータ・フェレル
Leo Baekeland,レオ・ベークランド
Hilla von Rebay,ヒラ・ヴォン・レバイ
Dottie West,ドティ・ウエスト
Yuan T. Lee,李遠哲
Zeke Jones,ジーク・ジョーンズ
Richard Portman,リチャード・ポートマン
Zelda Fitzgerald,ゼルダ・セイヤー
Jason Derulo,ジェイソン・デルーロ
John Dillinger,ジョン・デリンジャー
Jill Craybas,ジル・クレイバス
Laurel Clark,ローレル・クラーク
C.F. Theodore Steinway,C・F・セオドア・スタインウェイ
Effa Manley,エファ・マンリー
Nicholas Kazan,ニコラス・カザン
Nancy Hogshead-Makar,ナンシー・ホグスヘッド
Howard Temin,ハワード・マーティン・テミン
Mandy Moore,マンディ・ムーア
Charles Sanders Peirce,チャールズ・サンダース・パース
Selman Abraham Waksman,セルマン・ワクスマン
Barbara Bel Geddes,バーバラ・ベル・ゲデス
Derek Nikitas,デレク・ニキータス
Dudley R. Herschbach,ダドリー・ハーシュバック
Louis Sullivan,ルイス・サリヴァン
William Boeing,ウィリアム・ボーイング
Zelda Williams,ゼルダ・ウィリアムズ
Douglass North,ダグラス・ノース
Ken Kesey,ケン・キージー
Dean Acheson,ディーン・アチソン
Bonnie Somerville,ボニー・サマーヴィル
Tamara E. Jernigan,タマラ・E・ジャーニガン
Edie Sedgwick,イーディ・セジウィック
Bridget Moynahan,ブリジット・モイナハン
Robert Knight,ロバート・ナイト
Chief Jay Strongbow,チーフ・ジェイ・ストロンボー
Bayard Rustin,バイヤード・ラスティン
Lamar Hunt,ラマー・ハント
Lida Howell,マチルダ・ハウエル
Willa Ford,ウィラ・フォード
Yoichiro Nambu,南部陽一郎
John Turturro,ジョン・タトゥーロ
Alexei Abrikosov,アレクセイ・アブリコソフ
Sonia Levitin,ソニア・レヴィティン
Calvin Klein,カルバン・クライン
Jerome Isaac Friedman,ジェローム・アイザック・フリードマン
Les Paul,レス・ポール
Wally Yonamine,与那嶺要
Tracy Chapman,トレイシー・チャップマン
Karen Grassle,カレン・グラッスル
Kathy Ireland,キャシー・アイアランド
Tanya Roberts,タニア・ロバーツ
Anna May Wong,アンナ・メイ・ウォン
Pete Seeger,ピート・シーガー
Robin Givens,ロビン・ギヴンズ
Ruth Ann Minner,ルース・アン・ミナー
Roy Geary,ロイ・ギアリー
Samuel Fuller,サミュエル・フラー
Connie Sellecca,コニー・セレッカ
Pitbull,ピットブル
Mathew Benjamin Brady,マシュー・ブレイディ
Nick Nolte,ニック・ノルティ
Lauren Faust,ローレン・ファウスト
Janine Turner,ジャニアン・ターナー
David Archuleta,デヴィッド・アーチュレッタ
Clara Barton,クララ・バートン
Shirin Neshat,シリン・ネシャット
Connie Stevens,コニー・スティーブンス
Esther Williams,エスター・ウィリアムズ
Shannyn Sossamon,シャニン・ソサモン
Patty Duke,パティ・デューク
Chelsea Handler,チェルシー・ハンドラー
Joseph Erlanger,ジョセフ・アーランガー
George Stigler,ジョージ・スティグラー
Estelle Parsons,エステル・パーソンズ
Macy Gray,メイシー・グレイ
Ani DiFranco,アーニー・ディフランコ
Judith Rich Harris,ジュディス・リッチ・ハリス
Frederica Sagor Maas,フレデリカ・サゴル・マース
Margaret Spellings,マーガレット・スペリングス
Charles J. Pedersen,チャールズ・ペダーセン
George Minot,ジョージ・リチャーズ・マイノット
Thomas Eakins,トマス・エイキンズ
Gordon Moore,ゴードン・ムーア
Dita Von Teese,ディタ・フォン・ティース
Richard Bach,リチャード・バック
Andre Reed,アンドレ・リード
Miyoshi Umeki,ミヨシ・ウメキ
Ruth Schönthal,ルート・シェーンタール
Charles H. Schneer,チャールズ・H・シュニア
William S. Burroughs,ウィリアム・S・バロウズ
Tim Brown,ティム・ブラウン
John Breathitt,ジョン・ブレシット
Emile Hirsch,エミール・ハーシュ
Lloyd Shapley,ロイド・シャープレー
Kathryn Joosten,キャスリン・ジューステン
Amy Brenneman,エイミー・ブレネマン
Andrew Frank Schoeppel,アンドルー・F・シェッペル
Jill Scott,ジル・スコット
Toni Kukoč,トニー・クーコッチ
Priscilla Barnes,プリシラ・バーンズ
Ted Deutch,テッド・ドイチ
Tania Raymonde,タニア・レイモンド
JonBenét Ramsey,ジョンベネ・ランジー
Beatrice Straight,ベアトリス・ストレイト
Martha Grimes,マーサ・グライムズ
Eydie Gormé,イーディ・ゴーメ
Joseph Schlitz,ジョセフ・シュリッツ
Walter Mosley,ウォルター・モズリイ
Edward Neumeier,エドワード・ニューマイヤー
Edina Gallovits-Hall,エディナ・ガロビッツ
Ruth Gordon,ルース・ゴードン
Christina Applegate,クリスティナ・アップルゲイト
Lewis A. Coser,ルイス・A・コーザー
Harry Belafonte,ハリー・ベラフォンテ
J. J. Abrams,J・J・エイブラムス
John Banaszak,ジョン・バナザック
Damian Kulash,ダミアン・クラッシュ
Anthony Boucher,アントニー・バウチャー
Langston Hughes,ラングストン・ヒューズ
Mary Todd Lincoln,メアリー・トッド・リンカーン
Arthur Kaufmann,アルトゥール・カウフマン
George Engelmann,ジョージ・エンゲルマン
Thomas Nast,トーマス・ナスト
Tracey Gold,トレイシー・ゴールド
Azura Skye,アズラ・スカイ
Majandra Delfino,マハンドラ・デルフィノ
Julianne Hough,ジュリアン・ハフ
Kath Soucie,キャス・スーシー
Rogers Hornsby,ロジャース・ホーンスビー
Abel Ferrara,アベル・フェラーラ
Maurice Blocker,モーリス・ブロッカー
Haley Bennett,ヘイリー・ベネット
Temple Grandin,テンプル・グランディン
Leon Panetta,レオン・パネッタ
Jascha Horenstein,ヤッシャ・ホーレンシュタイン
Willard Van Orman Quine,ウィラード・ヴァン・オーマン・クワイン
Edie McClurg,エディ・マックラーグ
Jamie Chung,ジェイミー・チャン
Maurice Abravanel,モーリス・アブラヴァネル
Frank Lucas,フランク・ルーカス (政治家)
Faith Leon,フェイス・レオン
George Armstrong Custer,ジョージ・アームストロング・カスター
Jannero Pargo,ジャンネロ・パーゴ
Travis Tritt,トラヴィス・トリット
Lilian Jackson Braun,リリアン・J・ブラウン
Dorothy Hamill,ドロシー・ハミル
Joyce DeWitt,ジョイス・デウィット
John Stevens,ジョン・スティーブンス
Roman Coppola,ロマン・コッポラ
Koko Taylor,ココ・テイラー
Estelle Getty,エステル・ゲティ
Gertrude Stein,ガートルード・スタイン
Otto Hermann Kahn,オットー・ヘルマン・カーン
Debbie Harry,デボラ・ハリー
Rocky Marciano,ロッキー・マルシアノ
Nicole Richie,ニコール・リッチー
Michelle Akers,ミシェル・エイカーズ
Seth MacFarlane,セス・マクファーレン
Cree Summer,クリー・サマー
Elizabeth Strout,エリザベス・ストラウト
Norman Reilly Raine,ノーマン・ライリー・レイン
Troy Dumais,トロイ・デュマス
Annett Davis,アネット・デービス
William Styron,ウィリアム・スタイロン
Richard Fleischer,リチャード・フライシャー
John Goodman,ジョン・グッドマン
Laura Ramsey,ローラ・ラムジー
Kristen Dalton,クリステン・ダルトン
Alissa Czisny,アリッサ・シズニー
Steve Reich,スティーヴ・ライヒ
John Frankenheimer,ジョン・フランケンハイマー
Kerri Walsh Jennings,ケリー・ウォルシュ・ジェニングス
Minka Kelly,ミンカ・ケリー
Joaquim de Almeida,ジョアキム・デ・アルメイダ
Erin Hamlin,エリン・ハムリン
Marcus Foligno,マーカス・フォリーニョ
Hillary Scott,ヒラリー・スコット
Jessica Hardy,ジェシカ・ハーディ
Lucy Liu,ルーシー・リュー
Vikram Chandra,ヴィクラム・チャンドラ
Irene Worth,アイリーン・ワース
Jenna Dewan,ジェナ・ディーワン
Gabrielle Anwar,ガブリエル・アンウォー
Jennifer Jason Leigh,ジェニファー・ジェイソン・リー
Lacey Chabert,レイシー・シャベール
Shelley Long,シェリー・ロング
Victoria Principal,ヴィクトリア・プリンシパル
Cole Porter,コール・ポーター
Emily Osment,エミリー・オスメント
Caryn Kadavy,カリン・カダヴィ
Katharine Ross,キャサリン・ロス
Rebecca De Mornay,レベッカ・デモーネイ
Kara Monaco,カーラ・モナコ
Alison Sweeney,アリソン・スウィーニー
Anna Sui,アナスイ
Jeff Wilkins,ジェフ・ウィルキンス
Isaac Bruce,アイザック・ブルース
Aron Gurwitsch,アロン・ギュルヴィッチ
Paul Czinner,パウル・ツィンナー
Daniel Dennett,ダニエル・デネット
Don Rhymer,ドン・ライマー
DJ Khalil,DJカリル
Kai Lenny,カイ・レニー
Theodosius Dobzhansky,テオドシウス・ドブジャンスキー
Doyle Bramhall II,ドイル・ブラムホール2世
Wade Boggs,ウェイド・ボッグス
Shelly Manne,シェリー・マン
A. M. Rosenthal,エイブ・ローゼンタール
Skin Diamond,スキン・ダイアモンド
Leroy Dixon,リロイ・ディクソン
Michael Stipe,マイケル・スタイプ
William Tecumseh Sherman,ウィリアム・シャーマン
Doctor Destiny,ドクター・デスティニー
Roy Orbison,ロイ・オービソン
Willem Dafoe,ウィレム・デフォー
Helen Dukas,ヘレン・デュカス
Clarence Zener,クラレンス・ツェナー
John Mayer,ジョン・メイヤー
Meir Kahane,メイル・カハネ
Irving Wallace,アーヴィング・ウォーレス
Goldie Hawn,ゴールディ・ホーン
Rick Perry,リック・ペリー
Eric S. Raymond,エリック・レイモンド
Aline MacMahon,アリーン・マクマホン
Drew Gordon,ドリュー・ゴードン
Jerry Yang,ジェリー・ヤン
Jordin Sparks,ジョーダン・スパークス
Manish Dayal,マニシュ・ダヤル
Questlove,アミール“クエストラヴ”トンプソン
Rick Marotta,リック・マロッタ
David Schwimmer,デヴィッド・シュワイマー
Jack Horner,ジャック・ホーナー
Lalo Schifrin,ラロ・シフリン
Dan Calichman,ダニエル・カリッチマン
Alvan Graham Clark,アルヴァン・グラハム・クラーク
Bianca Kajlich,ビアンカ・カジリッチ
Jason Day,ジェイソン・デイ
Robert Lansing,ロバート・ランシング
Trent Green,トレント・グリーン
Cedar Walton,シダー・ウォルトン
Bianca Knight,ビアンカ・ナイト
Andrew Prine,アンドリュー・プライン
Elaine Pagels,エレーヌ・ペイゲルス
Edmund Goulding,エドマンド・グールディング
Mercedes Ruehl,マーセデス・ルール
Kathryn Morris,キャスリン・モリス
Bebe Neuwirth,ビビ・ニューワース
Bill Macy,ビル・メイシー
Emily Greene Balch,エミリー・グリーン・ボルチ
Barbara Bain,バーバラ・ベイン
Robert J. Flaherty,ロバート・フラハティ
Christine Lahti,クリスティン・ラーティ
Martin Deutsch,マーティン・ドイッチュ
Richard Rorty,リチャード・ローティ
Erica Leerhsen,エリカ・リーセン
Jordan Mechner,ジョーダン・メックナー
Hulk,ハルク
Deborah Ann Woll,デボラ・アン・ウォール
Raven-Symoné,レイヴン・シモーネ
June Allyson,ジューン・アリソン
Chris Kilmore,クリス・キルモア
Lizz Wright,リズ・ライト
Linda Hunt,リンダ・ハント
Eric Maskin,エリック・マスキン
Mimi Rogers,ミミ・ロジャース
Hugh Quincy Alexander,ヒュー・クインシー・アレクサンダー
Gertrude Ederle,ガートルード・エダール
Alyssa Milano,アリッサ・ミラノ
William Gibson,ウィリアム・ギブスン
Zellig S. Harris,ゼリグ・ハリス
Dean Martin,ディーン・マーティン
Portia de Rossi,ポーシャ・デ・ロッシ
Billy Branch,ビリー・ブランチ
Edsel Dope,エドセル・ドープ
