Campinas,カンピーナス
Grêmio Esportivo Inhumense,グレミオ・エスポルチーヴォ・イニュメンセ
Taça Olímpica,タッサ・オリンピカ
Uraí,ウライ (ブラジル)
Superliga Brasileira de Voleibol Masculino,スーパーリーガ
Cambará,カンバラ
União Esporte Clube,ウニオンEC
Aeroporto Regional de Lábrea,ラブレア空港
Ubiratan Esporte Clube,ウビラタンEC
Unisul Esporte Clube (voleibol masculino),ウニスルEC (バレーボール)
Universidade do Vale do Itajaí,ヴァレ・ド・イタジャイ大学
União Esportiva Portuguesa,UEポルトゥゲーザ
União Sportiva,SAウニオン・エスポルチーヴァ
Taguatinga Esporte Clube,タグアチンガEC
Tarianas,タリアナ族
Templo de Salomão,ソロモン神殿
Aeroporto de Minaçu,ミナスー空港
Ypiranga Clube,イピランガ・クルーベ
Zero Hora,ゼロ・ホラ
Águas Claras,アグアス・クララス
Paiçandu,パイサンドゥ (ブラジル)
Santa Rosa de Lima,サンタ・ロサ・デ・リマ
Tombos,トンボス
Tibau,チバウ
São Gonçalo do Amarante,サン・ゴンサーロ・ド・アマランテ
Vasco da Gama Futebol Clube,ヴァスコ・ダ・ガマFC (マラニョン州)
Vilavelhense Futebol Clube,ヴィラヴェリェンセ
Vitória do Mar Futebol Clube,ヴィトーリア・ド・マルFC
Base Aérea de Natal,ナタール空軍基地
Rabello Futebol Clube,ラベーロFC
Recanto das Emas,レカント・ダス・エマス
Rio Cotingo,コティンゴ川
Borba,ボルバ
Cornélio Procópio,コルネーリオ・プロコーピオ
Rio Branco de Andradas Futebol Clube,リオ・ブランコ・ジ・アンドラダスFC
Joaquim Távora,ジョアキム・ターヴォラ
Ilha de Itaparica,イタパリカ島
relações entre Argentina e Brasil,アルゼンチンとブラジルの関係
relações entre Brasil e França,ブラジルとフランスの関係
Lapa,ラパ
Astorga,アストルガ
Escola Politécnica da Universidade Federal do Rio de Janeiro,リオデジャネイロ州のエスコーラ・ポリテクニカ
Ilha de São Francisco do Sul,サン・フランシスコ・ド・スル島
Porecatu,パラナ州
Pirapemas,ピラペマス
2013 no Brasil,2013年のブラジル
clima do Brasil,ブラジルの気候
Poder Judiciário do Brasil,ブラジルの司法制度
Superior Tribunal de Justiça,上級司法裁判所
Taça Independência,タッサ・インデペンデンシア
Pinacoteca do Estado de São Paulo,サンパウロ州立ピナコテッカ美術館
Pena de morte no Brasil,ブラジルにおける死刑
Ato Institucional Número Dois,令第２条
Ato Institucional Número Um,令第１条
Ilha Brasileira,ブラジレイラ島
Rio Araguari,アラグアリ川
Campeonato Sul-Americano de Futebol Feminino de 1995,1995 スダメリカーノ・フェメニーノ
Aeroporto Campo dos Amarais,カンポ・ドス・アマライス空港
Apodi,アポジ (リオグランデ・ド・ノルテ州)
Rio Pelotas,ペロタス川
Aeroporto Internacional de São Gonçalo do Amarante,ナタール
Produção de café no Brasil,ブラジルにおけるコーヒー生産
Ourilândia do Norte,オウリランディア・ド・ノルテ
Xinguara,シングァラ
chá mate,マテ・コシード
saúde no Brasil,ブラジルの保健
Milagre econômico brasileiro,ブラジルの奇跡
Ministério do Desenvolvimento Agrário e Agricultura Familiar,農業開発省
Tavares,タヴァレス
Rio Surumu,スルム川
Associação Brasileira de Normas Técnicas,ABNT規格
Associação Desportiva Classista Intelli,ADCインテリ
Clube Esportivo e Recreativo Atlântico,CERアトランティコ
Atlético Monte Azul,アトレチコ・モンテ・アズル
São João do Araguaia,サン・ジョアン・ド・アラグアイア
Campeonato Paulista de Futebol - Série A2,カンピオナート・パウリスタ・セリエA2
Quinta do Sol,キンタ・ド・ソル
Rio Ibirapuitã,イビラプイタン川
Rio Ijuí,イフイ川
Rio Jurupari,ジュルパリ川
Bonsucesso,ボンスセッソ
Rio Timbó,チンボー川
Aeroporto de Monte Dourado,モンテ・ドウラード空港
Aeroporto de Montes Claros,モンテス・クラロス空港
Cerejeiras,セレジェイラス
Rio Peperi-Guaçu,ペペリグアス川
Rio Laranjeiras,ラランジェイラス川
Magalhães Barata,マガリャエンイス・バラタ
Pimenta Bueno,ピメンタ・ブエノ
uaurá,ワウラ語
Língua yabahana,ヤバーナ語
Língua Yawalapiti,ヤワラピティ語
Festa do Divino Espírito Santo,ペンテコステ
Língua wapixana,ワピシャナ語
Santa Quitéria Futebol Clube,サンタ・キテーリアFC
Santo Antônio Futebol Clube,サント・アントニオFC
Santos Futebol Clube (Manaus),サントスFC (アマゾナス州)
Santos Futebol Clube Amapá,サントスFC
Tribunal Superior Eleitoral,高等選挙裁判所
Ministério Público no Brasil,検察庁
Procurador-Geral da República,ブラジル連邦検察庁長官
língua brasileira de sinais,ブラジル手話
Língua Katukina-Kanamari,カナマリ語
Rodovia Castelo Branco,ロドヴィア・カステロ・ブランコ
Salgueiro,サルゲイロ (ペルナンブーコ州)
Santana do Araguaia,サンタナ・ド・アラグアイア
Canasvieiras,カナスヴィエイラス
Rio Içana,イチャナ川
River Atlético Clube,リヴェルAC
Saad Esporte Clube,サージEC
Teatro Nacional Cláudio Santoro,クラウディオ・サントロ国立劇場
Santa Cruz Futebol Clube (Maceió),サンタクルスFC (アラゴアス州)
Grandes Rios,グラン・デスリオス
Progresso,プログレッソ (ブラジル)
Sengés,センジェス
Copa União,コパ・ウニオン
pé de moleque,ペ・デ・モレケ
Dois Vizinhos,ドイス・ヴィジーニョス
Cianorte,シアノルテ
Bandeira do estado de São Paulo,サンパウロ州旗
Sociedade Esportiva Juventude,SEジュヴェントゥージ
Sociedade Desportiva Serra Futebol Clube,セッラ
Sociedade Esportiva Nova Andradina,SEノヴァ・アンドラジーナ
Sociedade Esportiva Unaí Itapuã,パラカトゥFC
Sociedade Esportiva Ypiranga Futebol Clube,イピランガ
Sociedade Esportiva e Recreativa Chapadão,ソシエダージ・エスポルチーヴァ・イ・レクレアチーヴァ・シャパドン
Sociedade Esportiva e Recreativa São José,SERサン・ジョゼ
Departamento de Ciência e Tecnologia Aeroespacial,ブラジル空軍技術センター
Tijuca,ティジュカ
São Miguel das Missões,サン・ミゲウ・ダス・ミソエンス
Senado Federal do Brasil,元老院
Copa São Paulo de Futebol Júnior,コパ・サンパウロ・ジ・フチボル・ジュニオール
pele de porco,ポーク・スクラッチング
Cascavel Futsal Clube,カスカヴェウFC
Basquetebol do Club Athletico Paulistano,クラブ・アトレチコ・パウリウターノ
Amazônia Legal,法定アマゾン
Angra dos Reis Esporte Clube,アングラ・ドス・レイスEC
Batalha de Fornovo di Taro,コッレッキオの戦い
Sampaio,サンパイオ
Santa Maria,サンタ・マリア
Resende Futebol Clube,レゼンデFC
Apucarana Atlético Clube,アプカラナAC
Estatuto da Cidade,都市憲章
Viana,ビアナ (マラニョン州)
Sociedade Imperatriz de Desportos,ソシエダージ・インペラトリズ・ジ・デスポルトス
Sorriso Esporte Clube,ソヒーゾEC
Sport Club Americano,SCアメリカーノ (エスピリトサント州)
Sport Club Internacional,SCインテルナシオナル (バイーア州)
Sport Club Luso Brasileiro,SCルゾ・ブラジレイロ
Sport Club Sírio,SCシリオ
Marumbi,マルンビ
América Futebol Clube (Pernambuco),アメリカ-PE
América Futebol Clube,アメリカFC (セルジッペ州)
América Futebol Clube (Três Rios),アメリカFC (トレス・リオス)
Rio Anauá,アナウア川
Sport Club Penedense,SCペネデンテ
Sport Club Santos Dumont,SCサントス・ドゥモント
Aeroporto de Arapoti,アラポチ空港
Aeroporto de Arapongas,アラポンガス空港
Aeroporto de Araraquara,アララクアラ空港
Araripina Futebol Clube,アラリピカFC
Gamboa,ガンボア
Boiuna,ボイウナ
Diário Oficial da União,連邦官報
Jardim Alegre,ジャルジン・アレグレ
Itaocara,イタオカーラ
Laranjeiras do Sul,ラランジェイラス・ド・スル
Campeonato Internacional de Tênis de Campinas,カンピーナス・チャレンジャー
Campeonato Brasileiro de Futebol de 1968 (Torneio Roberto Gomes Pedrosa),1968 トルネイロ・ホベルト・ゴメス・ペドローザ
Campeonato Brasileiro de Futebol de 1969,1969 トルネイロ・ホベルト・ゴメス・ペドローザ
Clube Atlético Assisense,CAアシセンセ
Clube Atlético Bandeirante,クルーベ・アトレチコ・タグアチンガ
Clube Atlético Castelo Branco,CAカステロ・ブランコ
Clube Atlético Ferroviário (Curitiba),CAフェロヴィアリオ (パラナ州)
Clube Atlético Guaçuano,CAグアスアーノ
Clube Atlético Joseense,サン・ジョゼ・ドス・カンポスFC
Cratera de Araguainha,アラグァイニャ・クレーター
Campeonato Brasileiro de Futebol de 1970,1970 トルネイロ・ホベルト・ゴメス・ペドローザ
Campeonato Brasileiro de Futebol de 1967 (Torneio Roberto Gomes Pedrosa),1967 トルネイロ・ホベルト・ゴメス・ペドローザ
União do Vegetal,ウニオン・ド・ヴェジタル
Eleição presidencial brasileira de 1989,1989年ブラジル大統領選挙
Eleições gerais no Brasil em 2002,2002年ブラジル総選挙
Grand Prix de Futsal de 2006,2006 グランプリ・デ・フットサル
Grand Prix de Futsal de 2010,2010 グランプリ・デ・フットサル
Grêmio Esportivo Renner,GEレンネル
Guará,グアラ
Sport Club Americano (São Paulo),SCアメリカーノ (サンパウロ州)
Supercampeonato Paulista de Futebol de 2002,スーパー・カンピオナート・パウリスタ
Superliga de Futsal,スーペルリーガ・ヂ・フットサル
São Caetano Futsal,サン・カエターノ・フットサル
Campeonato Brasileiro de Futebol de 1962,1962 タッサ・ブラジル
Campeonato Brasileiro de Futebol de 1960,1960 タッサ・ブラジル
Campeonato Brasileiro de Futebol de 1961,1961 タッサ・ブラジル
Campeonato Brasileiro de Futebol de 1963,1963 タッサ・ブラジル
Campeonato Brasileiro de Futebol de 1966,1966 タッサ・ブラジル
Campeonato Brasileiro de Futebol de 1964,1964 タッサ・ブラジル
Campeonato Brasileiro de Futebol de 1965,1965 タッサ・ブラジル
Campeonato Brasileiro de Futebol de 1968 (Taça Brasil),1968 タッサ・ブラジル
São Sebastião,サン・セバスチアン
Jardim Gramacho,ジャウジン・グラマーショ
Kaleidoscópio,カレイド (音楽ユニット)
Comercial Futebol Clube,コメルシアウFC (リベイラン・プレト)
Aeroporto Regional de Bonito,ボニート空港
Aeroporto de Bragança Paulista,ブラガンサ・パウリスタ空港
Festa da Uva,葡萄祭
incêndio na boate Kiss,サンタマリアナイトクラブ火災
Vila Isabel,ヴィラ・イサベル
Federação Paulista de Futebol,サンパウロ州サッカー連盟
Clube Atlético Taboão da Serra,CAタボン・ダ・セーハ
Clube Atlético Votuporanguense,CAヴォトゥポランゲンセ
Clube Esportivo Aimoré,CEアイモレ
Clube Esportivo Lajeadense,CEラジェアデンセ
Clube Esportivo Paysandu,CEパイサンドゥ
Clube Esportivo de Futebol,クルービ・エスポルチーヴォ・ジ・フチボウ
Centro de Futebol Amazônia,セントロ・ジ・フチボウ・アマゾニア
Clube de Regatas Flamengo (RO),CRフラメンゴ (ロンドニア州)
Associação Esportiva e Recreativa Santo Ângelo,AERサント・アンジェロ
Associação Ferroviária de Esportes,アソシアソン・フェロヴィアリア・ジ・エスポルチス
Associação Maga Esporte Clube,マガFC
Associação Portuguesa Londrinense,アソシアソン・ポルトゥゲーザ・ロンドリネンセ
Confederação Brasileira de Voleibol,ブラジルバレーボール連盟
Confederação Nacional dos Trabalhadores na Agricultura,全国農業労働者総連盟
Confiança Esporte Clube,コンフィアンサEC
Conselho Federal de Medicina,ブラジル連邦医師評議会
Partido Republicano Conservador,保守共和党
Conservatório Dramático e Musical de São Paulo,サンパウロ演劇音楽院
Consolidação das Leis do Trabalho,統合労働法
Clube Atlético Lençoense/Bariri,CAレンソエンセ / バリリ
Clube Atlético Linense,CAリネンセ
Clube Atlético Monte Alegre,CAモンテ・アレグレ
Clube Atlético Patrocinense,CAパトロシネンセ
Clube Atlético Penapolense,CAペナポレンセ
Clube Atlético Pimentense,ピメンテンセ
Clube Atlético Pirassununguense,CAピラスヌンゲンセ
Clube Atlético Taquaritinga,CAタクアリチンガ
Aeroporto de Búzios,アルマサン・ドス・ブージオス空港
Língua aruã,アルアン語
Arsenal de Marinha do Rio de Janeiro,リオ・デ・ジャネイロ海軍工廠
Artsul Futebol Clube,アルトスウFC
Colorado Esporte Clube,コロラドEC
Colégio Culto à Ciência,コレジオ・クウト・ア・シエンシア
Jardim América,ジャルジーム・アメリカ
AmBev,アンベブ
Fritz Dobbert,フリッツ・ドッベルト
Mangueira,マンゲイラ
Universidade Federal do Rio Grande do Norte,北大河連邦大学
Arena Joinville,アレーナ・ジョインヴィレ
Allianz Parque,アリアンツ・パルケ
Aeroporto de Aripuanã,アリプアナン空港
Ariquemes Futebol Clube,アリケメスFC
Associação Atlética Flamengo,AAフラメンゴ
Associação Atlética Guarany,AAグアラニー
Associação Atlética Internacional (Bebedouro),AAインテルナシオナル (ベベドウロ)
Associação Atlética Santa Rita,AAサンタ・リタ
Associação Atlética São Bento,AAサンベント (サンパウロ州)
Associação Cultural e Desportiva Potyguar Seridoense,ACDポチグアル・セリドエンセ
Associação Desportiva Cabense,ADカベンセ
Estação Ecológica,エコロジカル・ステーション
Queijo coalho,ケージョ・コアーリョ
Aeroporto de Assis,アシス空港
Associação Acadêmica e Desportiva Vitória das Tabocas,AADヴィトーリア・ダス・タボカス
Associação Atlética Alvorada,AAアウヴォラダ
Associação Atlética Batel,AAバテル
Associação Atlética Cori-Sabbá,AAコリ＝サバ
Coimbra Esporte Clube,コインブラ・エスポルチ・クルベ
Colinas Esporte Clube,コリナスEC
Comercial Futebol Clube (Alagoas),コメルシアウFC (アラゴアス州)
Manifesto Antropófago,食人運動
Parque Nacional do Araguaia,アラグアイア国立公園
Esporte Clube Aracruz,アラクルス
Arapongas Esporte Clube,アラポンガスEC
Clube Atlético Sorocaba,アトレチコ・ソロカーバ
Associação Botafogo Futebol Clube,アソシアソン・ボタフォゴFC
Agência Nacional de Energia Elétrica,国家電力庁
Aeroporto de Cacoal,カコアウ空港
Aeroporto de Caldas Novas,カルダスノバス
Aeroporto de Cabo Frio,カボ・フリオ
Aeroporto do Cachimbo,カチンボ空軍基地
Aeroporto de Caçador,カサドル空港
Palácio Guanabara,グアナバラ宮殿
Aeroporto de Apucarana,アプカラナ空港
Aeroporto de Aracati,アラカティ空港
Pornochanchada,ポルノシンシャーダ
Sol Linhas Aéreas,SOL航空
Indústria automobilística no Brasil,ブラジルの自動車産業
Conselho Administrativo de Defesa Econômica,経済防衛行政審議会
Atlético Cajazeirense de Desportos,アトレチコ・カジャゼイレンセ・ジ・デスポルトス
Atlético Clube Lagartense,ACラガルテンセ
Atlético Clube Paranavaí,ACパラナヴァイ
Araxá Esporte Clube,アラシャEC
Aeroporto de Araxá,アラシャ空港
Aeroporto de Araçatuba,アラサトゥバ
Cordino Esporte Clube,コルジノEC
Aeroporto de Cornélio Procópio,コルネーリオ・プロコーピオ空港
Vilhena Esporte Clube,ヴィリェナ
Ministério da Guerra do Brasil,陸軍省
Aeroporto de Sinop,シノップ空港
Grêmio Esportivo Novorizontino,GEノヴォリゾンチーノ
Copa Dubai 2008,ドバイカップ2008
Mercado Municipal de São Paulo,サンパウロ市営市場
Museu da Imigração de São Paulo,サンパウロ州立移民博物館
Basquetebol do Minas Tênis Clube,ミナス・テニスクラブ
Museu TAM,TAM航空博物館
Avibras,アヴィブラス
Marituba,マリトゥバ
Associação Desportiva Guarujá,ADグアルジャ
Associação Desportiva Socorrense,ADソコレンセ
Associação Desportiva Vitória,ヴィトーリア
Associação Desportiva e Recreativa São José,ADRサン・ジョゼ
Associação Esportiva Araçatuba,AEアラサツーバ
Associação Esportiva Real,AEレアル
Associação Esportiva Recreativa Engenheiro Beltrão,AERエンジェネイロ・ベウトラン
Associação Esportiva Santacruzense,AEサンタクルゼンセ
Associação Esportiva Velo Clube Rioclarense,AEヴェロ・クルーベ・リオクラレンセ
Reserva Biológica do Guaporé,グアポレ生物保護区
Guarany Futebol Clube (Camaquã),グアラニFC (リオグランデ・ド・スル州)
Estação Ecológica de Guaraqueçaba,ガレケ＝サバ生態系保護拠点
Área de Proteção Ambiental de Guaraqueçaba,グワラケ＝サバ景観保護地域
Aeroporto Tancredo Thomas de Farias,タンクレド・トーマス・デ・ファリアス空港
Grêmio Esportivo Catanduvense,グレミオ・エスポルチーヴォ・カタンドゥヴェンセ
Grêmio Esportivo Mauaense,GEマウアエンセ
Grêmio Esportivo Osasco,グレミオ・エスポルチーヴォ・オザスコ
Grêmio Esportivo Sapucaiense,グレミオ・エスポルチーヴォ・サプカイエンセ
Guanabara Esporte Clube,グアナバラEC
Aeroporto de Guanambi,グァナンビ空港
Crateús Esporte Clube,クラテウスEC
Formação Crato,クラト層
Gurupi Esporte Clube,グルピEC
Palácio do Congresso Nacional,国会議事堂 (ブラジル)
Copa Integração,コパ・インテグラシオン
Copa Paraná de Futebol,コパ・パラナ
Copa Paulista de Futebol,コパ・パウリスタ
Copa Peregrino,コパ・ペレグリーノ
Copa Rio,コパ・リオ
Arena Copacabana,アレーナ・コパカバーナ
Breves,ブレーヴェス
Brejo de altitude,ブレジョ
Andirá,アンジラー
Torneio Bicentenário da Austrália,オーストラリア・バイセンテナリー・ゴールドカップ
Auto Esporte Clube (Paraíba),アウトEC
Estádio Coronel Emílio Gomes,エスタジオ・コロネル・エミリオ・ゴメス
Anime Friends,Anime Friends
Ji-Paraná Futebol Clube,ジ＝パラナFC
Sport Club São Paulo,SCサンパウロ
Esporte Clube Internacional,ECインテルナシオナル
Companhia Brasileira de Cartuchos,コンパニア・ブラジレイラ・デ・カルトゥショス
Concórdia Futebol Clube,コンコールジアFC
Confederação Brasileira de Beisebol e Softbol,ブラジル野球ソフトボール連盟
Estádio Evandro Almeida,エスタジオ・エヴァンドロ・アウメイダ
Grande Prêmio Brasil,ブラジル大賞
Grande Rio Bréscia Clube,グランデ・リオ・ブレシア・クルーベ
Ministério da Fazenda,財務省 (ブラジル)
Agência Nacional de Aviação Civil,国家民間航空局
Partido da Frente Liberal,民主党
Voo VASP 168,VASP航空168便墜落事故
Grupo Silvio Santos,シルヴィオ・サントス・グループ
Grêmio Atlético Sampaio,グレミオ・アトレチコ・サンパイオ
Grêmio Catanduvense de Futebol,グレミオ・カタンドゥヴェンセ・ジ・フチボウ
Grêmio Atlético Farroupilha,GAファロウピーリャ
Grêmio Esportivo Glória,GEグロリア
Encouraçado de Esquadra Riachuelo,リアシュエロ
Estádio Hailé Pinheiro,エスタジオ・ハイレ・ピニェイロ
Arena da Floresta,アレナ・ダ・フロレスタ
Estádio Nelson Peixoto Feijó,エスタジオ・ネウソン・ペイショット・フェイジョ
Esporte Clube Pau Grande,ECパウ・グランデ
Estádio Antonio Accioly,エスタジオ・アントニオ・アッシオリー
Estádio Presidente Vargas,プレジデンテ・ヴァルガス
Estádio Gustavo Paiva,エスタジオ・グスタヴォ・パイヴァ
Conselho de Controle de Atividades Financeira,金融活動管理審議会
Presidente do Brasil,ブラジル連邦共和国大統領
Beach Park,ビーチパーク
Cerveja no Brasil,ブラジルのビール
Belo Jardim Futebol Clube,ベロ・ジャルジンFC
Centro Olímpico de Hipismo,セントロ・オリンピコ・ジ・イピスモ
Banco Nacional,ナシオナル銀行
Guerra hispano-portuguesa (1776-1777),スペイン・ポルトガル戦争 (1776年-1777年)
Cametá Sport Club,カメタSC
"Ministério da Ciência, Tecnologia e Inovação",科学技術通信省
Ipupiara,イプピアーラ
Museu de Zoologia da Universidade de São Paulo,サンパウロ大学動物学博物館
Independente Atlético Clube (Tucuruí),インデペンデンテAC (パラー州)
História da Internet no Brasil,ブラジルのインターネット
Aeroporto de Guaíra,グアイラ空港
Aeroporto de Gurupi,グルピ空港
Grupo de Ações Táticas Especiais,特殊戦術実行部隊 (サンパウロ州)
Estádio Estadual Lourival Baptista,エスタジオ・エスタドゥアル・ロウリヴァル・バプチスタ
Estádio Antonio Lins Ribeiro Guimarães,エスタジオ・アントニオ・リンス・リベイロ・ギマランイス
Aeroporto de Bom Jesus da Lapa,ボン・ジェズス・ダ・ラパ空港
Atlético Rio Negro Clube (Roraima),アトレチコ・リオ・ネグロ・クルーベ
Serrano Foot Ball Club,セラーノFBC
Complexo Cultural da República,ブラジル国立美術館
Rio Tabatinga,タバティンガ川
Auto Esporte Clube,アウト・エスポルテ・クルーベ
Sistema Telebras,テレブラス
Embratel,エンブラテル
Universidade Federal de São Paulo,サンパウロ連邦大学
Candidatura de Tóquio para os Jogos Olímpicos de Verão de 2016,2016年東京オリンピック構想
Centro de Futebol Zico do Rio Sociedade Esportiva,CFZ
World Puzzle Championship,世界パズル選手権
Conan (RPG),ガープスの書籍一覧
Osasco Futebol Clube,オザスコFC
Sociedade Esportiva River Plate,SEリヴェル・プラテ
Petrópolis Esporte Clube,ペトロポリスEC
Botafogo Esporte Clube,ボタフォゴEC
"Instituto Federal de Educação, Ciência e Tecnologia da Bahia",バイーア連邦研究所
Barra Mansa Futebol Clube,バラ・マンサFC
Barras Futebol Club,バラスFC
Barreto,バレト
Aeroporto de Barretos,バレトス空港
Barretos Esporte Clube,バレットスEC
Mafersa,マフェルサ
Campeonato Sul-Americano de Futebol Feminino Sub-20 de 2008,2008 U-20スダメリカーノ・フェメニーノ
Porto Alegre Futebol Clube,ポルト・アレグレFC
prostituição no Brasil,ブラジルにおける売春
Prumo,LLXロジスチカ
D.O.M.,D.O.M.
Datafolha,ダッタフォーリャ
Rio de Contas,コンタス川
Aeroporto de Sorocaba,ソロカーバ空港
Aeroporto de São José do Rio Preto,サン・ジョゼー・ド・リオ・プレト
Aeroporto de Presidente Prudente,プレジデンテ・プルデンテ
Aeroporto de Jundiaí,ジュンディアイ空港
Aeroporto Lauro Kurtz,パッソフンド
Terminal Intermodal Jabaquara,ジャバクアラ駅
Estação Vila Madalena,ヴィラ・マダレナ駅
Linha 12 do Trem Metropolitano de São Paulo,12号線
Linha 10 do Trem Metropolitano de São Paulo,サンパウロ都市圏鉄道会社10号線
Estádio Eduardo Guinle,エスタジオ・エドゥアルド・ギンレ
Penarol Atlético Clube,ペナロルAC
Censo demográfico no Brasil,ブラジルの国勢調査
Censo demográfico do Brasil de 2010,2010年ブラジル国勢調査
Cidade Alta,シダージ・アルタ
Cidade Baixa,シダージ・バイシャ
Ilha de Santo Amaro,サント・アマロ島
Linha 11 do Trem Metropolitano de São Paulo,11号線
Linha 9 do Trem Metropolitano de São Paulo,サンパウロ都市圏鉄道会社9号線
Aeroporto de Vilhena,ビリェナ空港
Aeroporto Pedro Otacílio Figueiredo,ビトリア・ダ・コンキスタ
Aeroporto de Marabá/João Correa da Rocha,マラバ空港
Deckdisc,デックディスク
Estádio Alair Corrêa,エスタジオ・アライール・コレア
Cotinguiba Esporte Clube,コチンギーバEC
Brasil nos Jogos Paralímpicos,パラリンピックのブラジル選手団
Aeroporto Regional de Maués,マウエース空港
Aeroporto de Governador Valadares,コロネル・アルチーノ・マシャード・ジョ・オリベイラ空港
Língua guajá,グアジャ語
Dialeto mbiá,ムビア・グアラニー語
Batatais Futebol Clube,バタタイスFC
Batalha de Itaparica,イタパリカの戦い
Batalha do Jaguarão,ジャグアランの戦い
1969 no Brasil,1969年のブラジル
Black House (MMA),ブラック・ハウス
Rio Jauaperi,ジャウアペリ川
Marina da Glória,マリーナ・ダ・グロリア
Edifício Martinelli,マルティネッリ・ビル
BandSports,バンドスポーツ
Banda de Ipanema,バンダ・デ・イパネマ
Bandeirante Esporte Clube,バンデイランテEC
Aeroporto Dix-Sept Rosado,モッソロー空港
Moto Esporte Clube,モト・クルベ
Rio Mucajaí,ムカジャイ川
HBO Brasil,ブラジルHBO
Banco HSBC,ブラジルHSBC銀行＝バンコ・マルチプロ
Bienal do Mercosul,メルコスール・ビエンナーレ
Força Nacional de Segurança Pública,国家公安部隊
Aeroporto Brigadeiro Antônio Cabral,ディビノポリス
Universidade Federal do Pará,パラー連邦大学
Ministério da Educação (Brasil),教育省
Ministério da Agricultura e Pecuária,農牧供給省
Bragantino Clube do Pará,ブラガンチーノ・クルービ・ドゥ・パラー
Brasil Central Linhas Aéreas,VOTEC航空
Mineração no Brasil,ブラジルの鉱業
Ministério da Saúde (Brasil),保健省
Miramar Esporte Clube,ミラマルEC
Comunicações do Brasil,ブラジルの通信
Ilha das Cobras,イリャ・ダス・コブラス
Varig Nordeste,ノルデステ航空
Universidade Federal de Viçosa,ヴィソーザ連邦大学
Língua matanawí,マタナウイ語
Aeroporto de Matupá,マトゥパ空港
Tocantins Futebol Clube,トカンチンスFC
Província magmática do Paraná-Etendeka,パラナ玄武岩
Fundação Universidade Federal do Tocantins,トカンティンス連邦大学
Bosque Formosa Esporte Clube,ボスケ・フォルモザEC
Ciclo do ouro,ブラジル・ゴールドラッシュ
Brasil nos Jogos Paraolímpicos de Verão de 1972,1972年ハイデルベルクパラリンピックのブラジル選手団
Brasil nos Jogos Paralímpicos de Verão de 1976,1976年トロントパラリンピックのブラジル選手団
Brasil nos Jogos Pan-Americanos de 1991,1991年パンアメリカン競技大会のブラジル選手団
Brasil nos Jogos Paralímpicos de Verão de 1996,1996年アトランタパラリンピックのブラジル選手団
Brasil nos Jogos Pan-Americanos de 1995,1995年パンアメリカン競技大会のブラジル選手団
Brasil nos Jogos Pan-Americanos de 1999,1999年パンアメリカン競技大会のブラジル選手団
BIG Bompreço,ボンプレッソ
Universidade da Amazônia,アマゾン大学
Era Vargas,ヴァルガス時代
Grand Prix de Futsal de 2011,2011 グランプリ・デ・フットサル
Ato Adicional,アト・アディシオナル
Turma da Mônica Jovem,モニカと仲間たち 若者編
Morrinhos Futebol Clube,モリニョスFC
Morro do Careca,モーホ・ド・カレッカ
Rio Marmelos,マルメロス川
Nacional Atlético Clube (Cabedelo),ナシオナルAC (カベデロ)
Nacional Atlético Clube (Muriaé),ナシオナルAC (ミナスジェライス州)
Nacional Atlético Clube (Patos),ナシオナルAC (パトス)
Nacional Atlético Clube (São Paulo),ナシオナルAC (サンパウロ州)
Nacional Futebol Clube (Uberaba),ナシオナルFC (ミナスジェライス州)
Desmatamento no Brasil,ブラジルの森林破壊
Independente Futebol Clube,インデペンデンテFC
terra indígena no Brasil,ブラジルの先住民区域
Serviço Social da Indústria,社会工業サービス
Indústria no Brasil,ブラジルの産業
moeda sul-americana,南米共通通貨
Comando Militar do Leste,東部軍 (ブラジル軍)
Editora JBC,JBC出版社
Museu Aeroespacial,リオデジャネイロ航空宇宙博物館
Náutico Futebol Clube,ナウチコFC
"Instituto Nacional de Metrologia, Normalização e Qualidade Industrial",国家度量衡・規格・工業品質院
Centro Nacional de Tiro,セントロ・ナシオナル・ジ・チーロ
Eleição presidencial brasileira de 1891,1891年ブラジル大統領選挙
Eleição presidencial brasileira de 1955,副大統領選挙
eleições gerais no Brasil em 2014,2014年ブラジル総選挙
Estádio Municipal Prefeito Dilzon Luiz de Melo,エスタジオ・ムニシパル・プレフェイト・ジウゾン・ルイス・ジ・メロ
Osvaldo Cruz Futebol Clube,オズヴァウド・クルスFC
Aeroporto de Ourilândia do Norte,オウリランディア・ド・ノルテ空港
Aeroporto de Ourinhos,オウリニョス空港
ténis de mesa nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの卓球競技
Rio Irengue,イレング川
Seleção Brasileira de Rugby Sevens Feminino,7人制ラグビー女子ブラジル代表
Brazilian Decimetric Array,ブラジリアン・デシメトリック・アレイ
Campeonato brasileiro de Fórmula 3,フォーミュラ3
Hino à Bandeira do Brasil,ブラジルの国旗のアンセム
Alemão brasileiro,ブラジルドイツ語
Instituto Brasileiro de Direito de Família,ブラジル家族法学会
Ação Integralista Brasileira,ブラジル統合主義運動
Campeonato Brasileiro de Jiu-Jitsu,ブラジレイロ
Brigada de Operações Especiais,特殊戦司令部
Miss Terra Brasil,ミス・アース・ブラジル
Cemitério São João Batista,サン・ジョアン・バチスタ墓地
Instituto Moreira Salles,モレイラ・サレス協会
