Angela Merkel,アンゲラ・メルケル
Karl Brandt (Mediziner),カール・ブラント
Herbert Wehner,ヘルベルト・ヴェーナー
Willy Messerschmitt,ウィリー・メッサーシュミット
Karl Brugmann,カール・ブルークマン
Felix Wankel,フェリクス・ヴァンケル
Heinrich Mayr,ハインリッヒ・マイル
Fritz Fischer (Historiker),フリッツ・フィッシャー・(歴史学者)
Walther Meißner,ヴァルター・マイスナー
Karl von Fischer-Treuenfeld,カール・フォン・フィッシャー＝トロイエンフェルト
Egon Schultz,エゴン・シュルツ
Kevin Vennemann,ケビン・ベネマン
Franz Xaver Dorsch,フランツ・クサーヴァー・ドルシュ
Stefanie Böhler,シュテファニー・ベーラー
Friedrich von Huene,フリードリヒ・フォン・ヒューネ
Detlef Schrempf,デトレフ・シュレンプ
Christian Oliver,クリスチャン・オリヴァー
Fritz Albert Lipmann,フリッツ・アルベルト・リップマン
Ernst Heinkel,エルンスト・ハインケル
Georg Krauß (Industrieller),ゲオルク・クラウス
Wilhelm Maybach,ヴィルヘルム・マイバッハ
Rosi Mittermaier,ロジー・ミッターマイヤー
Uwe Johnson,ウーヴェ・ヨーンゾン
Ernst May,エルンスト・マイ
Eugen Fink,オイゲン・フィンク
Lilli Lehmann,リリー・レーマン
Hans Speidel (General),ハンス・シュパイデル
Fritz Sauckel,フリッツ・ザウケル
Klaus Barbie,クラウス・バルビー
Karl Jatho,カール・ヤトー
Otto Dietrich,オットー・ディートリヒ
Nikolaus Pevsner,ニコラウス・ペヴズナー
Thomas Anders,トーマス・アンダース
Adolf Windaus,アドルフ・ヴィンダウス
Rolf Thiele,ロルフ・ティーレ
Bert Schenk,バート・シェンク
Rudolf Uhlenhaut,ルドルフ・ウーレンハウト
Conrad Hansen,コンラート・ハンゼン
Nike Wagner,ニケ・ワーグナー
Leo Strauss,レオ・シュトラウス
Kurt Lewin,クルト・レヴィン
Friedrich Jeckeln,フリードリヒ・イェッケルン
Max Dehn,マックス・デーン
Rudolf Peierls,ルドルフ・パイエルス
Carl Adam Petri,カール・アダム・ペトリ
Mille Petrozza,ミレ・ペトロッツァ
Robert von Greim,ローベルト・フォン・グライム
Walther Gerlach,ヴァルター・ゲルラッハ
Gerd Faltings,ゲルト・ファルティングス
Carl Schelenz,カール・シュレンツ
Maximilian Götz,マクシミリアン・ゲッツ
Kurt Hensel,クルト・ヘンゼル
Friedrich Hirzebruch,フリードリッヒ・ヒルツェブルフ
Arthur Schoenflies,アルトゥール・モーリッツ・シェーンフリース
Pascual Jordan,パスクアル・ヨルダン
Carl Brandan Mollweide,カール・モルワイデ
Helmut Hasse,ヘルムート・ハッセ
Georg Wittig,ゲオルク・ウィッティヒ
Florian Mayer (Tennisspieler),フロリアン・マイヤー
Carl Schmitt,カール・シュミット
Philipp Kohlschreiber,フィリップ・コールシュライバー
Mona Barthel,モナ・バルテル
Julia Görges,ユリア・ゲルゲス
Luise Charlotte zu Mecklenburg,ルイーゼ・シャルロッテ・ツー・メクレンブルク
Georg Wilhelm von Hannover,ゲオルク・ヴィルヘルム・フォン・ハノーファー・(1915-2006)
Hermann I. (Thüringen),ヘルマン1世・(テューリンゲン方伯)
Friedrich Michael (Pfalz-Birkenfeld-Bischweiler),フリードリヒ・ミヒャエル・フォン・プファルツ＝ビルケンフェルト
Otto Loewi,オットー・レーヴィ
Christiane Nüsslein-Volhard,クリスティアーネ・ニュスライン＝フォルハルト
Constantin Fehrenbach,コンスタンティン・フェーレンバッハ
Friedrich Ferdinand (Schleswig-Holstein-Sonderburg-Glücksburg),フリードリヒ・フェルディナント・(シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝グリュックスブルク公)
Maria Augusta von Thurn und Taxis,マリー・アウグステ・フォン・トゥルン・ウント・タクシス
Petra Pau,ペトラ・パウ
Sahra Wagenknecht,ザーラ・ヴァーゲンクネヒト
Annika Beck,アニカ・ベック
Dustin Brown (Tennisspieler),ダスティン・ブラウン
Georges J. F. Köhler,ジョルジュ・J・F・ケーラー
Anna Thalbach,アンナ・タールバッハ
Rudolf Jaenisch,ルドルフ・イエーニッシュ
Hans Joachim Morgenthau,ハンス・モーゲンソー
Richard von Greiffenklau zu Vollrads,リヒャルト・フォン・グライフェンクラウ
Angelique Kerber,アンゲリク・ケルバー
Benjamin Becker,ベンヤミン・ベッカー
Marc Hennerici,マルク・ヘンネリシ
Eric Hilgendorf,エリック・ヒルゲンドルフ
Inga Busch,インガ・ブッシュ
Otto E. Rössler,オットー・レスラー
Margot Käßmann,マルゴート・ケースマン
Lothar III. (HRR),ロタール3世・(神聖ローマ皇帝)
Georg Bruchmüller,ゲオルク・ブルフミュラー
Carl-Heinz Birnbacher,カール＝ハインツ・ビルンバッハー
Daniel J. Bernstein,ダニエル・バーンスタイン
Lutz Heilmann,ルッツ・ハイルマン
Horst Zuse,ホースト・ツーゼ
Wilhelm Cuno,ヴィルヘルム・クーノ
Philipp Petzschner,フィリップ・ペッシュナー
Wilhelm Marx,ヴィルヘルム・マルクス
Emil Jannings,エミール・ヤニングス
Arno Fischer (Fotograf),アルノ・フィッシャー
Karl Heinz Mai,カール・ハインツ・マイ
Oskar Morgenstern,オスカー・モルゲンシュテルン
Friedrich Wührer,フリードリヒ・ヴューラー
Kurt Schröder (Dirigent),クルト・シュレーダー
Christian Gerhaher,クリスティアン・ゲルハーヘル
Joachim Grzega,ヨアヒム・グルツェガ
Bill Lawrence (Musiker),ビル・ローレンス
Johann III. (Bayern),ヨハン3世・(バイエルン公)
Albrecht I. (Bayern),アルブレヒト1世・(バイエルン公)
Wilhelm I. (Bayern),ヴィルヘルム1世・(バイエルン公)
Florens II. (Holland),フロリス2世・(ホラント伯)
LaFee,ラフェー・(ドイツの歌手)
Nikias Arndt,ニキアス・アルント
Helmut Jahn (Architekt),ヘルムート・ヤーン
Hennig Brand,ヘニッヒ・ブラント
Dieter Seebach,ディーター・ゼーバッハ
Walter Mandler,ウォルター・マンドラー
Guido Buchwald,ギド・ブッフバルト
Carina Vogt,カリーナ・フォークト
Ekkehard I. von Scheyern,エッケハルト1世・(シェイエルン伯)
Vesselin Stoykov,ヴェセリン・ストイコフ
Sena Jurinac,セーナ・ユリナッチ
Walter Warlimont,ヴァルター・ヴァルリモント
Arno Schmidt,アルノ・シュミット
Annemarie Kleinert-Ludwig,アンネマリー・クライネルト
Franz-Ulrich Hartl,フランツ＝ウルリッヒ・ハートル
Otto Hersing,オットー・ヘルジンク
Hans Richter-Haaser,ハンス・リヒター＝ハーザー
Wilhelm von Gayl,ヴィルヘルム・フライヘル・フォン・ガイル
Johann Nikolaus Götz,ヨハン・ニコラウス・ゲッツ
Johann Joachim Quantz,ヨハン・ヨアヒム・クヴァンツ
Otto Grotewohl,オットー・グローテヴォール
Georg Elser,ゲオルク・エルザー
Doro Pesch,ドロ・ペッシュ
Colin Kolles,コリン・コレス
Hartmut Maurer,ハルトムート・マウラー
Axel Ullrich,アクセル・ウルリッヒ
Johann Christoph Pezel,ヨハン・クリストフ・ペツェル
Julia Fischer (Geigerin),ユリア・フィッシャー
Andreas Gryphius,アンドレアス・グリューフィウス
Julius Klengel,ユリウス・クレンゲル
Olaf Manthey,オラフ・マンタイ
Günther Viezenz,ギュンター・フィーツェン
Reichard (Pfalz-Simmern-Sponheim),ライヒャルト・(プファルツ＝ジンメルン＝シュポンハイム公)
Jacob Matschenz,ヤコブ・マッチェンツ
Simon Dach,ジーモン・ダッハ
Friedrich III. (Sachsen),フリードリヒ3世・(ザクセン選帝侯)
Philipp I. (Baden),フィリップ1世・(バーデン辺境伯)
Corinna Schumacher,コリーナ・シューマッハ
Regina von Sachsen-Meiningen,レギーナ・フォン・ザクセン＝マイニンゲン
Philipp III. (Baden-Rodemachern),フィリップ3世・(バーデン＝ローデマヒェルン辺境伯)
Ernst Wandersleb,エルンスト・ヴァンデルスレプ
Max Berek,マックス・ベレーク
Barbara Krause (Schwimmerin),バーバラ・クラウゼ
Barney Dreyfuss,バーニー・ドレイファス
Otto Pöggeler,オットー・ペゲラー
Stefan Hell,シュテファン・ヘル
Hardy Krüger,ハーディ・クリューガー
Maria Josepha von Bayern,マリア・ヨーゼファ・フォン・バイエルン
Herbert Fröhlich,ヘルベルト・フレーリッヒ
Anton Hackl,アントーン・ハックル
Maren Ade,マーレン・アデ
Felix Sturm,フェリックス・シュトルム
Abdul Ahad Momand,アブドゥルアフド・ムハンマド
Rangin Dadfar Spanta,ランギーン・ダードファル・スパンター
Juliane Koepcke,ユリアナ・ケプケ
Richard Holm,リヒャルト・ホルム
Theodor Geiger,テオドール・ガイガー
Johann Siegwald Dahl,ヨハン・ジークヴァルト・ダール
John Degenkolb,ジョン・デゲンコルプ
Fritz Schumacher,フリッツ・シューマッハー
Johann Tobias Krebs (Musiker),ヨハン・トビアス・クレープス
Paul Hector Mair,パウルス・ヘクトル・マイアー
Marcus Burghardt,マルクス・ブルクハルト
Johannes Widmann (Mathematiker),ヨハネス・ヴィトマン
Marco Holzer,マルコ・ホルツァー
Marc Albrecht,マルク・アルブレヒト
Odisseas Vlachodimos,オディッセアス・ヴラホディモス
Victor Ehrenberg,ヴィクトル・エーレンベルク
Benjamin Kleibrink,ベンヤミン・クライブリンク
Karl Harrer,カール・ハラー
Ludwig Steeg,ルートヴィヒ・シュテーク
Hinrich Lohse,ヒンリヒ・ローゼ
Max Vasmer,マックス・ファスマー
Carl Joachim Friedrich,カール・ヨアヒム・フリードリッヒ
Julia Stegner,ジュリア・ステグナー
Stefan Hussong,シュテファン・フッソング
Friedrich Domin,フリードリヒ・ドミン
Helmut Maucher,ヘルムート・マウハー
Fried Walter,フリート・ヴァルター
Max Strub,マックス・シュトループ
Joachim Kaiser,ヨアヒム・カイザー
Rudolf Querner,ルドルフ・クヴェルナー
Thomas Risse,トーマス・リッセ
Heinz Gollwitzer,ハインツ・ゴルヴィツァー
Ricarda Lisk,リカルダ・リスク
Wolf von Engelhardt,ヴォルフ・フォン・エンゲルハート
Ina Menzer,イナ・メンツァー
Mari-Doris Vartmann,マリ・ヴァルトマン
Werner Streib,ヴェルナー・シュトライプ
Sandra Köppen-Zuckschwerdt,サンドラ・ケッペン
Nathalie Weinzierl,ナタリー・ヴァインツィアール
Sigfrid Riedel,ジークフリート・リーデル
Dimitri Terzakis,ディミトリー・テルツァキス
Fritz Streletz,フリッツ・シュトレーレッツ
Richard Paul Wagner,リヒャルト・ワーグナー・(鉄道技術者)
Heinrich Mendelssohn (Unternehmer),ハインリヒ・メンデルスゾーン
Fritz Werner (Komponist),フリッツ・ヴェルナー
Florian Just,フロリアン・ユスト
Gerhard Taschner,ゲルハルト・タシュナー
Ferdinand Heinrich Thieriot,フェルディナント・ティエリオ
Karl Joseph Wilhelm Juchheim,カール・ユーハイム
Thomas Thieme,トーマス・ティーメ
Ernst Casimir II. zu Ysenburg und Büdingen,エルンスト・カジミール2世・ツー・イーゼンブルク・ウント・ビューディンゲン
Rudolf Schündler,ルドルフ・シュンドラー
Johann Liechtenauer,ヨハンネス・リヒテナウアー
Martin Haller (Architekt),マルティン・ハラー
Jutta Kleinschmidt,ユタ・クラインシュミット
Rebecka Dirichlet,レベッカ・メンデルスゾーン
Rebecca Handke,レベッカ・ハントケ
Robert Hübner,ロベルト・ヒュプナー
Stanislaw Tillich,スタニスラフ・ティリッヒ
Daniel Didavi,ダニエル・ディダヴィ
Paul Heinrich Gerhard Möhring,パウル・ハインリヒ・ゲルハルト・メーリンク
Friedrich Casimir Medicus,フリードリヒ・メディクス
Egon von Eickstedt,エーゴン・アイクシュテット
Joseph Helffrich,ヨーゼフ・ヘルフリッヒ
Katharina von Geldern,カタリーナ・ファン・エフモント
Georg Schreiber (Politiker),ゲオルク・シュライバー
Volker Strycek,フォルカー・ストレイチェック
Jacob Marschak,ヤコブ・マルシャック
Elisabeth von Braunschweig-Wolfenbüttel (1593–1650),エリーザベト・フォン・ブラウンシュヴァイク＝ヴォルフェンビュッテル・(1593-1650)
Richard A. Werner,リチャード・ヴェルナー
Leni Stern,レニ・スターン
Hans Adalbert Schlettow,ハンス・アダルベルト・フォン・シュレットウ
Valentin Weigel,ヴァレンティン・ヴァイゲル
Marianne Koch,マリアンネ・コッホ
Marcus Nispel,マーカス・ニスペル
Ingeborg Schwenzer,インゲボルグ・シュヴェンツァー
Julia Sahin,ジュリア・サヒン
Volker Bertelmann,ハウシュカ
Wolf Henzler,ヴォルフ・ヘンツラー
Theodor Loos,テオドル・ロース
Curt Siodmak,カート・シオドマク
Hans Carossa,ハンス・カロッサ
Emanuel Goldberg,エマヌエル・ゴルトベルク
Oswald Schmiedeberg,オスヴァルト・シュミーデベルク
Fritz von Below,フリッツ・フォン・ベロウ
Georg Joos,ゲオルク・ヨース
Ernst Gadermann,エルンスト・ガーデルマン
Paul Leni,パウル・レニ
Hans Werner Aufrecht,ハンス・ヴェルナー・アウフレヒト
Eduard Weiter,エドゥアルト・ヴァイター
Lisa Thomsen,リザ・トムゼン
Axel Becke,アクセル・D・ベッケ
Andreas Floer,アンドレアス・フレアー
Hans Freudenthal,ハンス・フロイデンタール
Ernst Kantorowicz,エルンスト・カントロヴィチ
Sebastian Zbik,セバスチャン・ズビク
Hellmuth Kneser,ヘルムート・クネーザー
Maria Margaretha Kirch,マリア・マルガレータ・キルヒ
Albert Ellmenreich (Schauspieler),アルベルト・エルメンライヒ
Ellen Lohr,エレン・ローア
Hanno Koffler,ハンノ・コフラー
Birgit Thumm,ビルギト・トゥム
Uwe Ommer,ウーヴェ・オンマー
Peter Gojowczyk,ペーター・ゴヨフチク
Sascha Anderson,サシャ・アンダーソン
Jürgen Brähmer,ユルゲン・ブリーマー
Bernhard von Hülsen,ベルンハルト・フォン・ヒュルゼン
François Goeske,フランソワ・ゲシュケ
Ruwen Filus,ルーウェン・フィルス
Hans Melchior,ハンス・メルヒオール
Franz Gerhard Wegeler,フランツ・ゲルハルト・ヴェーゲラー
Matthias Dolderer,マティアス・ドルダラー
Michael Raucheisen,ミヒャエル・ラウハイゼン
Thomas Finck (Mathematiker),トーマス・フィンケ
Karl Groos,カール・グロース
Ida Noddack,イーダ・ノダック
Walther Kossel,ワルター・コッセル
Gerhard Schrader (Chemiker),ゲルハルト・シュラーダー
Fatmire Alushi,ファトミレ・バイラマイ
Hilde Domin,ヒルデ・ドミーン
Walter Abendroth,ワルター・アーベントロート
Carl Christian Gottsche,カール・ゴッチェ
Adolf Rosenberger,アドルフ・ローゼンベルガー
Heinz Kokott,ハインツ・ココット
Franz Wegner,フランツ・ウェグナー
Dieter Mann,ディーター・マン
Hermann III. (Schwaben),ヘルマン3世・(シュヴァーベン大公)
Martin Wagner (Architekt),マルティン・ヴァグナー
Thomas Ruff,トーマス・ルフ
Israhel van Meckenem der Jüngere,イスラエル・ファン・メッケネム
Heinrich Julius (Braunschweig-Wolfenbüttel),ハインリヒ・ユリウス・(ブラウンシュヴァイク＝ヴォルフェンビュッテル公)
Hugo von Freytag-Loringhoven,フーゴ・フォン・フライターク＝ローリングホーフェン
Johann Gustav Hermes,ヨハン・グスタフ・ヘルメス
Joachim Wach,ヨアヒム・ワッハ
Ferdinand Oechsle,フェルディナント・エクスレ
Yasemin Şamdereli,ヤセミン・サムデレリ
Chloe Vevrier,クロエ・ヴェヴリエ
Euricius Cordus,エウリキウス・コルドゥス
Josef Anton Riedl,ヨーゼフ・アントン・リードル
Hans Lange (Dirigent),ハンス・ランゲ
Murat Bosporus,ムーラット・ボスポラス
Engelbert-Maria von Arenberg,エンゲルベルト・マリア・フォン・アーレンベルク
Friedrich von Sachsen-Weimar (1596–1622),フリードリヒ・フォン・ザクセン＝ヴァイマル・(1596–1622)
Adam Gottlob von Moltke,エーダム・ゴトロプ・モルトケ
Karl Walter Lindenlaub,カール・ウォルター・リンデンローブ
Paul Bader (General),パウル・バーダー
Uli Edel,ウーリ・エーデル
Jakob III. (Baden-Hachberg),ヤーコプ3世・(バーデン＝ハッハベルク辺境伯)
Antonio Rüdiger,アントニオ・リュディガー
York Höller,ヨーク・ヘラー
Anton von Radziwill,アントニ・ヴィルヘルム・ラジヴィウ
Hans Talhoffer,ハンス・タールホファー
Matthias Hues,マシアス・ヒューズ
Christoph Jacob Trew,クリストフ・ヤーコブ・トロゥー
Georg Ludwig Jochum,ゲオルク・ルートヴィヒ・ヨッフム
Wilhelm Fraenger,ヴィルヘルム・フレンガー
Friedrich Jobst Volckamer von Kirchensittenbach,フリードリヒ＝ヨープスト・フォルカマー・フォン・キルヒェンジッテンバッハ
Heinrich Oster,ハインリヒ・オスター
Alexander Neumeister,アレクサンダー・ノイマイスター
Christina Rau,クリスティーナ・ラウ
Friedrich-Carl Rabe von Pappenheim,フリードリヒ＝カール・ラーベ・フォン・パッペンハイム
Fritz Nallinger,フリッツ・ナリンガー
Hanns Kräly,ハンス・クレイリー
Ulrich Noethen,ウルリッヒ・ネーテン
Thomas Sieverts,トーマス・ジーバーツ
Curt von Gottberg,クルト・フォン・ゴットベルク
Wilder Peter von Hameln,野生児ピーター
Otto I. von Salm,オットー1世・(ザルム伯)
Kurt Bühligen,クルト・ビューリゲン
Thor Freudenthal,トール・フロイデンタール
Doris Dörrie,ドーリス・デリエ
Lotte Eisner,ロッテ・アイスナー
Eike von Repgow,アイケ・フォン・レプゴー
Julius Falkenstein (Schauspieler),ユリウス・ファルケンシュタイン・(俳優)
Heiner Lauterbach,ハイナー・ラウターバッハ
Robin Yalçın,ロビン・ヤルチン
Jan Jelinek (Musikproduzent),ヤン・イェリネック
Atika Bouagaa,アティカ・バガー
Johannes Winkler (Raumfahrtingenieur),ヨハネス・ヴィンクラー
Andreas Nischwitz,アンドレアス・ニシュヴィッツ
Friedrich Wilhelm Berner,フリードリヒ・ヴィルヘルム・ベルナー
Ursula Franklin,アーシュラ・フランクリン
Dorothea Hedwig von Braunschweig-Wolfenbüttel,ドロテア・ヘートヴィヒ・フォン・ブラウンシュヴァイク＝ヴォルフェンビュッテル
Valerie Niehaus,ヴァレリー・ニーハウス
Anja Brandt,アンニャ・ブラント
Martin Haspelmath (Linguist),マーティン・ハスペルマート
Otto Lueger,オットー・リューガー
Paul Wolfskehl,パウル・ヴォルフスケール
Eleonore Maria Anna von Löwenstein-Wertheim,エレオノーレ・ツー・レーヴェンシュタイン＝ヴェルトハイム＝ロシュフォール
Christoph Biemann,クリストフ・ビーマン
Frank Griebe,フランク・グリーベ
Anne Löwenstein-Wertheim,アン・サヴィル
Ludwig Schupmann,ルードヴィッヒ・シュプマン
Roland Claus,ローラント・クラウス
Armin Meier (Schauspieler),アルミン・マイアー
Ferdinand Maria Innozenz von Bayern,フェルディナント・フォン・バイエルン・(1699-1738)
August Euler,アウグスト・オイラー
Bruno zu Ysenburg und Büdingen,ブルーノ・ツー・イーゼンブルク・ウント・ビューディンゲン
Eberhard Eimler,エーベルハルト・エイムラー
Carl Friedrich Meerwein,カルル・フリードリヒ・メールヴァイン
Georg Samuel Dörffel,ゲオルク・ザムエル・デルフェル
Ulf Hoelscher,ウルフ・ヘルシャー
Kristin Wieczorek,クリスティン・ヴィツォレク
Georg Wetzell,ゲオルク・ヴェッツェル
Hans Sotin,ハンス・ゾーティン
Anike Hage,アニケ・ハーゲ
Werner Nekes,ヴェルナー・ネケス
Hermann Flohn,ヘルマン・フローン
Marga von Etzdorf,マルガ・フォン・エッツドルフ
Joachim-Friedrich Huth,ヨアヒム＝フリードリヒ・フート
Klaus Fesser,クラウス・フェッサー
Albert Heilmann,アルベルト・ハイルマン
Alfred Hause,アルフレッド・ハウゼ
Klaus Pringsheim senior,クラウス・プリングスハイム
Klaus Wüsthoff,クラウス・ヴュストホーフ
Susanne Lautenbacher,ズザーネ・ラウテンバッハー
Daniel Simon (Designer),ダニエル・サイモン
Eberhard Otto (Ägyptologe),エーベルハルト・オットー
Johann Adam Kulmus,ヨハン・アダム・クルムス
Fritz Moritz Heichelheim,フリッツ・ハイヒェルハイム
Mathias Spahlinger,マティアス・シュパーリンガー
Sophie von Kühn,ゾフィー・フォン・キューン
Tillmann Uhrmacher,ティルマン・ウルマッハー
Mijk van Dijk,マイク・ヴァン・ダイク
Max Müller (Philosoph),マックス・ミューラー
Stephan Hermlin,シュテファン・ヘルムリン
Julian Nida-Rümelin,ユリアン・ニーダ・リューメリン
Saskia Vester,ザスキア・フェスター
Rufus Beck,ルーファス・ベック
Ivar Lissner,イヴァル・リスナー
Günther Schack,ギュンター・シャック
Thea Dorn,テア・ドルン
Hans Erich Nossack,ハンス・エーリヒ・ノサック
Adelgunde von Bayern,アーデルグンデ・フォン・バイエルン・(1870-1958)
Andreas Cleyer,アンドレアス・クレイエル
Konrad II. (Meranien),コンラート2世・(メラーン公)
Philip Wiegratz,フィリップ・ウィーグラッツ
Hannelore Schmatz,ハンネローレ・シュマッツ
Peter Wellnhofer,ペーター・ヴェルンホファー
Sascha Fischer,サシャ・フィッシャー
Heinz Sielmann,ハインツ・ジールマン
Branka Musulin,ブランカ・ムスリン
Chalid Arrab,ハリッド"ディ・ファウスト"
Ernst von Beling,エルンスト・ベーリング
Hans Welzel,ハンス・ヴェルツェル
Helmut Müller-Brühl,ヘルムート・ミュラー＝ブリュール
Conrad Willgerodt,コンラッド・ヴィルゲロット
Herbertus Bikker,ヘルベルトゥス・ビッカー
Dietrich Klagges,ディートリヒ・クラゲス
Julius Falkenstein (Afrikaforscher),ユリウス・ファルケンシュタイン・(探検家)
Christian Jankowski,クリスチャン・ヤンコフスキー
Norbert Vollertsen,ノルベルト・フォラツェン
Ellen Schwiers,エレン・シュヴィールス
Harald Wust,ハラルド・ヴスト
Reinhard Goering,ラインハルト・ゲーリング
Friedrich von Bodelschwingh der Jüngere,フリードリヒ・フォン・ボーデルシュヴィング・(1877年生)
Waldemar von Preußen (1817–1849),ヴァルデマール・フォン・プロイセン・(1817-1849)
Amalie Sophie von Wallmoden,アマーリエ・ゾフィー・フォン・ヴァルモーデン
Lassa Oppenheim,ラサ・オッペンハイム
Paul Mendelssohn Bartholdy der Ältere,パウル・メンデルスゾーン・(化学者)
William Prager,ウィリアム・プラーガー
Wilhelm Meisel,ヴィルヘルム・マイゼル
Alexander Stolz,アレクサンダー・シュトルツ
Denise Hanke,デニーゼ・ハンケ
Alexandre Imperatori,アレキサンドレ・インペラトーリ
Ernst Hermann Meyer,エルンスト・ヘルマン・マイヤー
Melli Beese,メリ・ベーゼ
Joachim Helbig,ヨアヒム・ヘルビッヒ
Ilse Junkermann,イルゼ・ユンカーマン
Christiane Berger,クリスティアーネ・ベルガー
Friedrich Wilhelm von Dossow,フリードリヒ・ヴィルヘルム・フォン・ドッソウ
Frederick Mayer,フレデリック・マイヤー
Rainer Bock,ライナー・ボック
Ernst Forsthoff,エルンスト・フォルストホフ
Gustav Meyer (Gartenarchitekt),グフタフ・マイヤー
Kurt Kusenberg,クルト・クーゼンベルク
Wolfgang Gönnenwein,ヴォルフガング・ゲンネンヴァイン
Kristin Lang,クリスティン・シルベライセン
Johann Carl Freiesleben,ヨハン・カール・フライエスレーベン
Alexander Binder (Fotograf),アレクサンダー・バインダー・(写真家)
Erich Ponto,エリッヒ・ポント
Otto Ambros (Chemiker),オットー・アンブローズ
Adolf Busemann (Ingenieur),アドルフ・ブーゼマン
Hermann August Seger,ヘルマン・ゼーゲル
Andreas Baum (Politiker),アンドレアス・バウム
Mechthild von der Pfalz,メヒティルト・フォン・デア・プファルツ
Hans-Georg Bürger,ハンス＝ゲオルグ・ブルガー
Adam Ankenbrand,アダム・アンケンブラント
Gustav René Hocke,グスタフ・ルネ・ホッケ
Philipp Ernst zu Hohenlohe-Schillingsfürst,フィリップ・エルンスト・ツー・ホーエンローエ＝シリングスフュルスト
Armin Hahne,アルミン・ハーネ
Hermann Soyaux,ヘルマン・ソヨー
Heinz Bosl,ハインツ・ボスル
Günter Meisner,ギュンター・マイスナー
Franz von Rintelen,フランツ・フォン・リンテレン
Dieter Berkmann,ディーター・ベルクマン
Kimiko Douglass-Ishizaka,キミコ・ダグラス＝イシザカ
Jochen Bleicken,ヨッヘン・ブライケン
Albert Ziegler (Pilot),アルベルト・ツィーグラー・(パイロット)
Leopold Engel,レオポルト・エンゲル
Carl Seemann,カール・ゼーマン
August von Rothmund,アウグスト・フォン・ロートムント
Hans Joachim Schädlich,ハンス・ヨアヒム・シェートリヒ
Hans Groß (Luftschiffkonstrukteur),ハンス・G・F・グロス
Walther Hubatsch,ヴァルター・フーバッチュ
Siegfried in Bayern,ジークフリート・イン・バイエルン
Philipp von der Pfalz (1627–1650),フィリップ・フォン・デア・プファルツ・(1627-1650)
Manfred Stahnke,マンフレート・シュターンケ
Roland Bock,ローラン・ボック
Hermann zu Solms-Hohensolms-Lich,ヘルマン・ツー・ゾルムス＝ホーエンゾルムス＝リッヒ
Michail Lifits,ミハイル・リフィッツ
Heinrich Panofka,ハインリッヒ・パノフカ
Emil Busch,エミール・ブッシュ
Hans-Peter von Kirchbach,ハンス＝ペーター・フォン・キルヒバッハ
Camilla Spira,カミラ・スピラ
Dieter Schlüter,ディータル・シュルーター
Christian Wilhelm von Brandenburg,クリスティアン・ヴィルヘルム・フォン・ブランデンブルク
Georg Gustav (Pfalz-Veldenz),ゲオルク・グスタフ・(プファルツ＝フェルデンツ公)
Ruth Glass,ルース・グラス
Walter Wolfrum,ヴァルター・ヴォルフルム
Christian Menzel,クリスチャン・メンツェル
Walther-Peer Fellgiebel,ヴァルター＝ペール・フェルギーベル
Kurt Fricke,クルト・フリッケ
Theodor Goldstücker,テーオドール・ゴルトシュテュッカー
Hermann Wedekind,ヘルマン・ヴェーデキント
Sibylle von Bayern,ジビュレ・フォン・バイエルン
Marga Höffgen,マルガ・ヘフゲン
Heinz von Lichberg,ハインツ・フォン・リヒベルク
Johann Georg Siegesbeck,ヨハン・ゲオルク・ジーゲスベック
Georg Maercker,ゲオルク・メルカー
Nele Neuhaus,ネレ・ノイハウス
Karl Michael Komma,カール・ミヒャエル・コンマ
Renate Mayntz,レナーテ・マインツ
Robert Radecke,ロベルト・ラデッケ
Rola El-Halabi,ローラ・エル・ハラビ
Alwin Seifert,アルヴィン・ザイフェルト
Jenny Gröllmann,イェニー・グレルマン
Luise Büchner,ルイーゼ・ビューヒナー
Carl Hermann Busse,カール・ブッセ
Horst Brünner,ホルスト・ブリュンナー
Wilhelm Karl Prinz von Preußen,ヴィルヘルム・カール・フォン・プロイセン
Heinrich Band,ハインリヒ・バンド
Ralf D. Bode,ラルフ・D・ボード
Sidonie von Krosigk,シドニー・フォン・クロージック
Heinrich Georg Stahmer,ハインリヒ・ゲオルク・スターマー
Mojib Latif,モジブ・ラティフ
Margarethe Meyer-Schurz,マルガレーテ・シュルツ
Johannes Lecküchner,ヨハンネス・レキュヒナー
Alexander Müller (Rennfahrer),アレックス・ミュラー
Friedhelm Waldhausen,フリートヘルム・ヴァルトハウゼン
Reinhard Günzel,ラインハルト・ギュンツェル
Benyamin Nuss,ベンヤミン・ヌス
Luise Marie von der Pfalz,ルイーゼ・マリー・フォン・デア・プファルツ
Berit Kauffeldt,ベリト・カウフフェルト
Helmuth Förster,ヘルムート・フェルスター
Jean Pütz,ヤン・ピュッツ
Ernst Schneppenhorst,エルンスト・シュネッペンホルスト
Gerhard Lehmbruch,ゲァハルト・レームブルッフ
Michael Balling,ミヒャエル・バリング
Thomas Südhof,トーマス・スードフ
Altfrid Heger,アルフリート・ヘーガー
Wilhelm II. (Weimar),ヴィルヘルム2世・(ヴァイマル伯)
Herbert Henck,ヘルベルト・ヘンク
Hans Wolf (Funktionshäftling),ハンス・ヴォルフ
Hermann Hogeback,ヘルマン・ホーゲバック
Gernot Böhme,ゲルノート・ベーメ
Ilse Langner,イルゼ・ラングナー
Horst Bosetzky,ホルスト・ボゼツキー
