Diego Velázquez,ディエゴ・ベラスケス
Nayim,モハメド・アリ・アマル
Javier López Rodríguez (futbolista español),ハビ・ロペス
José Gallegos y Arnosa,ホセ・ガジェゴス・イ・アルノサ
José Canalejas (actor),ホセ・カナレハス
Unai Vergara,ウナイ・ベルガラ
Peio Uralde,ペドロ・ウラルデ
Juanjo Guarnido,フアンホ・ガルニド
Albert Miralles,アルベルト・ミラジェス
Mariano Cañardo,マリアーノ・カニャルド
José María Lacalle,ホセ・ラカジェ
Joaquín Alonso,ホアキン・アロンソ
Quique Estebaranz,キケ・エステバランス
Carlos de Aragón de Gurrea y de Borja,カルロス・デ・アラゴン・デ・グレア・イ・デ・ボルハ
Juanma López,フアンマ・ロペス
Miguel Ángel Tena,ミゲル・アンヘル・テナ
Iker Muniain,イケル・ムニアイン
Diego Capel,ディエゴ・カペル
Fernando Amorebieta,フェルナンド・アモレビエタ
Miguel Torres Gómez,ミゲル・トーレス・(スペインのサッカー選手)
Pablo Ibáñez,パブロ・イバニェス
Sergio Asenjo,セルヒオ・アセンホ
Ariel Ibagaza,アリエル・イバガサ
Raúl Bravo,ラウール・ブラボ
Marcel Granollers,マルセル・グラノリェルス
Albert Jorquera,アルベルト・ジョルケラ
Oleguer Presas,オレゲール・プレサス
Joaquim Rodríguez,ホアキン・ロドリゲス
Fran Mérida,フラン・メリダ
Juan de Borbón,フアン・(バルセロナ伯)
Adrián López Álvarez,アドリアン・ロペス・アルバレス
Dani Pedrosa,ダニ・ペドロサ
Enrique Collar,エンリケ・コリャル
Federico Madrazo,フェデリコ・デ・マドラーソ
José Patiño Rosales,ホセ・パティーニョ
Isacio Calleja,イサシオ・カジェハ
Albert Tomàs,アルベルト・トーマス
Alfonso Ponce de León,アルフォンソ・ポンセ・デ・レオン
Pablo Sorozábal,パブロ・ソロサバル
Juan Antonio Marín,フアン・アントニオ・マリン
Juan Alonso,フアン・アロンソ・(スペインのサッカー選手)
Francisco Bayeu,フランシスコ・バイユー
Carlos Francisco de Croix,カルロス・フランシスコ・デ・クロワ
Mario Sabán,マリオ・サバン
David Mateos,ダビド・マテオス
Diego López Rodríguez,ディエゴ・ロペス・ロドリゲス
Carlos Velasco Carballo,カルロス・ベラスコ・カルバージョ
Pierre Webó,ピエール・ウェボ
Lauren Bisan-Etame,ローレン・エタメ・マイヤー
Antonio Soler Ramos,アントニオ・ソレール
Juanma Barrero,フアン・マヌエル・バレーロ・バレーロ
Sebastián Losada,セバスティアン・ロサーダ
Javier Espinosa,ハビエル・エスピノサ
Per-Ingvar Brånemark,ペル・イングヴァール・ブローネマルク
Marcelino Martínez Cao,マルセリーノ・マルティネス
David Billabona,ダビド・ビジャボナ
Recesvinto,レケスウィント
César Sánchez Domínguez,セサル・サンチェス・ドミンゲス
Luis Fernández (fútbol),ルイス・フェルナンデス・(サッカー選手)
Fermin Muguruza,フェルミン・ムグルサ
Ramón Carnicer y Batlle,ラモン・カルニセール
Manuel Palau Boix,マヌエル・パラウ
Juan Carlos Sánchez Martínez,フアン・カルロス・マルティネス
Joseba del Olmo,ホセバ・デル・オルモ
Fernando Echávarri,フェルナンド・エチャバリ
María Cristina de Borbón y Borbón,マリア・クリスティーナ・デ・ボルボン・(1833-1902)
Antón Paz,アントン・パス
Luis José de Vendôme,ルイ・ジョゼフ・ド・ブルボン
Bernal Díaz del Castillo,ベルナル・ディアス・デル・カスティリョ
Carlos Salinas de Gortari,カルロス・サリナス・デ・ゴルタリ
José Manuel Calderón,ホセ・カルデロン
Andrés Gimeno,アンドレス・ヒメノ
Francisco Suárez,フランシスコ・スアレス
Manuel Godoy,マヌエル・デ・ゴドイ
Juan Luis Vives,フアン・ルイス・ビベス
Julio Jiménez Muñoz,フリオ・ヒメネス
Dídac Vilà,ディダク・ビラ
Víctor Sánchez Mata,ビクトル・サンチェス・マタ
Ricardo Bofill,リカルド・ボフィル
Eric Ragnor Sventenius,エリック・ラグナー・スヴェンソン
José Luis Laguía,ホセ・ルイス・ラギア
Alejandra Andreu,アレハンドラ・アンドレウ
Juan van der Hamen,フアン・バン・デル・アメン
Juan de Mendoza y Luna,フアン・デ・メンドーサ・イ・ルナ
Jorge Garbajosa,ホルヘ・ガルバホサ
Julio González,フリオ・ゴンサレス・(彫刻家)
Mateo Alemán,マテオ・アレマン
Albert Ferrer,アルベルト・フェレール
Iván Campo,イバン・カンポ
Raúl García Escudero,ラウール・ガルシア
Pablo Laso,パブロ・ラソ
Julio Romero de Torres,フリオ・ロメロ・デ・トーレス
Joaquín Mir,ジョアキム・ミール
Yū Shirota,城田優
Víctor Espasandín,ビクトル・エスパサンディン・ファカル
Carlos Sánchez García,カルロス・サンチェス・ガルシア
Francisco García Guerra,フランシスコ・ガルシア・ゲラ
José Manuel Rodríguez Delgado,ホセ・デルガード
Coke Andújar,ホルヘ・アンドゥハル・モレノ
Ken Niimura,ケン・ニイムラ
Lucas Pérez,ルーカス・ペレス
Jesús Arámbarri,ヘスース・アランバリ
Koldo Aguirre,コルド・アギーレ
Alejandro Ferrant y Fischermans,アレハンドロ・フェラント
Kike García,エンリケ・ガルシア・マルティネス
Nenê (futbolista),アンデルソン・ルイス・デ・カルヴァーリョ
Manuel Vázquez Montalbán,マヌエル・バスケス・モンタルバン
Mariano Pernía,マリアーノ・ペルニア
Iván de la Peña,イバン・デ・ラ・ペーニャ
José de Anchieta,ジョゼ・デ・アンシエタ
Jordi Savall,ジョルディ・サバール
Juanfran Moreno,フアン・フランシスコ・モレノ
Gabriel de Avilés y del Fierro,ガブリエル・デ・アビレス・イ・デル・フィエーロ・(第2代アビレス侯)
Vladimir Gusinsky,ウラジーミル・グシンスキー
Feliciano Rivilla,フェリシアーノ・リビジャ
Pepe de Lucía,ペペ・デ・ルシア
Ignacio Kortabarria,イナシオ・コルタバリア
José Murcia González,ホセ・ムルシア・ゴンサレス
Andoni Imaz,アンドニ・イマス
Emma Suárez,エマ・スアレス
Sebastián Gabriel de Borbón y Braganza,セバスティアン・ガブリエル・デ・ボルボン
Txiki Begiristain,アイトール・ベギリスタイン
Andoni Iraola,アンドニ・イラオラ
Manuel Enrique Mejuto González,マヌエル・メフト・ゴンサレス
Alfonso Pérez,アルフォンソ・ペレス
Fernando Savater,フェルナンド・サバテール
Andrés Nin,アンドレウ・ニン
Albert Costa,アルベルト・コスタ
Lluís Domènech i Montaner,リュイス・ドメネク・イ・ムンタネー
Joaquín Turina,ホアキン・トゥリーナ
Javier Oliva,ハビエル・オリバ
Néstor Basterretxea,ネストル・バステレチェア
Sergio Rodríguez García,セルヒオ・ロドリゲス・ガルシア
Koldo Etxeberria,ルイス・マリア・エチェベリア
Marta Andrade,マルタ・アンドラーデ
Manuel Orantes,マニュエル・オランテス
Abelardo Fernández,アベラルド・フェルナンデス・アントゥーニャ
Gonzalo Fernández de Córdoba,ゴンサロ・フェルナンデス・デ・コルドバ
Abel Antón,アベル・アントン
Abel Resino,アベル・レシーノ
Javier Aguirresarobe,ハビエル・アギーレサロベ
Pedro de Cevallos,ペドロ・アントニオ・デ・セバーヨス
Albert Ràfols-Casamada,アルベルト・ラフォルス・カサマダ
Manuel Alonso de Areyzaga,マニュエル・アロンソ
Joaquim Homs,ホアキン・オムス
Oiana Blanco Echevarría,オイアナ・ブランコ
Mista,ミゲル・アンヘル・フェレール
Salva García,サルバドル・ガルシア
Pepu Hernández,ペップ・エルナンデス
Fernando Fernán Gómez,フェルナンド・フェルナン・ゴメス
Manolo Sanchís Hontiyuelo,マヌエル・サンチス・オンティジュエロ
Baltasar Garzón,バルタサール・ガルソン
Luis Helguera,ルイス・エルゲラ
José María Arizmendiarrieta,ホセ・マリーア・アリスメンディアリエタ
Paco Bienzobas,パコ・ビエンソバス
Ramón Margalef,ラモン・マルガレフ
Kenji Uematsu,ケンジ・ウエマツ
Jesús Aranguren,ヘスス・アラングレン
José María de Areilza,ホセ・マリア・デ・アレイルサ
José Araquistáin,ホセ・アラキスタイン
Ilie Sánchez,イリエ・サンチェス・ファレス
Txomin Nagore,チョミン・ナゴーレ
Pedro Moya de Contreras,ペドロ・モヤ・デ・コントレラス
Juan Antonio Larrañaga,フアン・アントニオ・ララニャガ
Jordi Codina,ジョルディ・コディーナ
Juan Garaizabal,フアン・ガライサバル
José Mari Bakero,ホセ・マリア・バケーロ
Pablo Orbaiz,パブロ・オルバイス
José Manuel Moreno Periñán,ホセ・マヌエル・モレノ・(自転車選手)
Léo Baptistão,レオナルド・カリーリョ・バチストン
José de Viera y Clavijo,ホセ・ビエラ・イ・クラビホ
Rafael del Pino,ラファエル・デル・ピノ
Francisco Marroquín,フランシスコ・マロキン
Vicente Miera,ビセンテ・ミエラ
Pedro López Muñoz,ペドロ・ロペス・ムニョス
Jacobo Sanz,ハコボ・サンス
Miguel Ángel Gómez Martínez,ミゲル・ゴメス＝マルティネス
Juan González de Mendoza,フアン・ゴンサーレス・デ・メンドーサ
Juan Guillermo Ripperdá,フアン・グリェルモ・リッペルダ
Carmen Calvo,カルメン・カルボ
Pablo de La Llave,パブロ・デ・ラ・ジャーベ
Carlos Coloma Nicolás,カルロス・コロマ・ニコラス
Toti Soler,トティ・ソレール
Rodrigo de Vivero,ロドリゴ・デ・ビベロ
José de Amézola,ホセ・デ・アメソラ・イ・アスピスア
Ignacio Eizaguirre,イグナシオ・エイサギーレ
Luis de Pablo,ルイス・デ・パブロ
Francisco Romero (torero),フランシスコ・ロメロ
Pichi Alonso,ピチ・アロンソ
Juan Carlos Rodríguez Moreno,フアン・カルロス・ロドリゲス・モレノ
Kiko Femenía,フランシスコ・フェメニア
Javi Guerra,ハビエル・ゲーラ・ロドリゲス
Félix Calleja,フェリクス・カジェハ
José Sacristán,ホセ・サクリスタン
Nacho Pérez,イグナシオ・ペレス・サンタマリア
Serafín Aedo,セラフィン・アエド
Juanlu Gómez,フアン・ルイス・ゴメス・ロペス
Hugo Mallo,ウーゴ・マージョ
Luis Fernando de Orleans y Borbón,ルイス・フェルナンド・デ・オルレアンス
Francisco Guerrero Marín,フランシスコ・ゲレーロ・マリン
Abraham Olano,アブラハム・オラーノ
José Zorrilla,ホセ・ソリーリャ
José Luis Oltra,ルイス・オルトラ
Jony López,ジョナタン・ロペス・ロドリゲス
Darío de Regoyos,ダリオ・デ・レゴヨス
Mario Bermejo,マリオ・ベルメホ
José María Usandizaga,ホセ・マリア・ウサンディサーガ
Antonio Pascual de Borbón,アントニオ・パスクアル・デ・ボルボン
Óscar Sielva,オスカル・シエルバ・モレノ
Toni Velamazán,トニ・ベラマサン
Daniel Ibañes Caetano,ダニエル・イバニェス・カエターノ
Conde de Floridablanca,ホセ・モニーノ
Genar Andrinua,ヘナル・アンドリヌア
Alfredo Pérez Rubalcaba,アルフレード・ペレス・ルバルカバ
Quim Monzó,キム・ムンゾー
Ramón Calderón,ラモン・カルデロン
Fernando II de las Dos Sicilias,フェルディナンド2世・(両シチリア王)
José Diego Álvarez,ホセ・ディエゴ・アルバレス
Rubén Rayos,ルベン・ラジョス・セルナ
Juan Valera Espín,フアン・バレーラ
Francisco Morazán,フランシスコ・モラサン
Iñaki Descarga,イニャキ・デスカルガ
Kílian Jornet,キリアン・ジョルネ
Ramón Grosso,ラモン・グロッソ
Sebastián de Belalcázar,セバスティアン・デ・ベラルカサル
Juan de Arellano,フアン・デ・アレラーノ
Miguel Hernández,ミゲル・エルナンデス
Jordi Lardín,ジョルディ・ラルディン
Jonathan Viera,ジョナタン・ビエラ
Francisco Villota,フランシスコ・ビリョータ
Antonio de Orleans y Borbón,アントニオ・デ・オルレアンス・イ・ボルボーン
Víctor Casadesús,ビクトル・カサデスス
Juan Pantoja de la Cruz,フアン・パントーハ・デ・ラ・クルス
Sabino Arana,サビノ・アラナ
David Zurutuza,ダビド・スルトゥサ
Marc Valiente,マルク・バリエンテ
Míchel Macedo,ミシェル・マセド・ローシャ・マシャド
Ramón Nomar,ラモン・ノマー
Marc Pedraza,マルク・ペドラサ
Luis Née,ルイ・ネ
Miguel Ángel Sánchez Muñoz,ミゲル・アンヘル・サンチェス・ムニョス
Iñaki Goitia,イニャキ・ゴイティア
Nacho Vigalondo,ナチョ・ビガロンド
José Ufarte,ホセ・ウファルテ
Martí Riverola,マルティ・リベロラ・バタレル
Antonio Gisbert,アントーニオ・ヒスベルト
Javier Magro Matilla,ハビエル・マグロ・マティージャ
Gallego (futbolista),フランシスコ・フェルナンデス・ロドリゲス
Luis Serrano Alarcón,ルイス・セラーノ・アラルコン
Francisco Higuera,フランシスコ・イゲラ
Tomás Pina,トマス・ピナ
María de los Dolores de Borbón-Dos Sicilias y Orleans,マリア・デ・ロス・ドロレス・デ・ボルボン＝ドス・シシリアス
Luciano Vietto,ルシアーノ・ビエット
Xavier Cugat,ザビア・クガート
Guido Pizarro,ギド・ピサーロ
Manolo Blahnik,マノロ・ブラニク
Julio Cardeñosa,フリオ・カルデニョサ
Cundi,セクンディノ・スアレス・バスケス
Francisco Javier Uría,フランシスコ・ウリア
Carlota Ciganda,カルロタ・シガンダ
Pepe Romero,ペペ・ロメロ
Alfonso Salmerón,アルフォンソ・サルメロン
Champi Herreros,マヌエル・ヘレロス
Julián Orbón,フリアン・オルボーン
Sak Noel,サック・ノエル
Alberto Iglesias (compositor),アルベルト・イグレシアス
Gai Assulin,ガイ・アスリン
Marc Crosas,マルク・クロサス
Fernando Zambrano,フェルナンド・サンブラーノ
Tomás Reñones,トマス・レニョネス
Carlos Pérez Rial,カルロス・ペレス・(カヌー選手)
Paco Jémez,フランシスコ・ヘメス・マルティン
Luis Alfonso de Borbón,ルイス・アルフォンソ・デ・ボルボーン
Luis Bar Boo,ルイス・バルブー
Luis Carrión,ルイス・カリオン
Lluís Carreras,ルイス・カレーラス
Juanjo Cobo,フアン・ホセ・コーボ
Pedro Delgado,ペドロ・デルガド
Javier Arizmendi,アンヘル・アリスメンディ
Fermín Cacho,フェルミン・カチョ
Jordi Sabater Pi,ジョルディ・サバテール・ピ
José Carlos Martínez (bailarín),ジョゼ・マルティネス
José Ignacio Zahínos,ホセ・イグナシオ・サイーノス
Kiko Olivas,キコ・オリバス
Santiago Urkiaga,サンティアゴ・ウルキアガ
Rodrigo Cortés,ロドリゴ・コルテス
Esteban Gómez,エステバン・ゴメス
Joaquín Nin-Culmell,ホアキン・ニン＝クルメル
Blanca Suárez,ブランカ・スアレス
Raúl Arévalo,ラウール・アレバロ
Joaquín Nin,ホアキン・ニン
Juan Mari Arzak,フアン・マリ・アルサック
Beatriz Corrales,ベアトリス・コラレス
Robert Fernández,ロベルト・フェルナンデス・ボニーロ
Agustín Aranzabal,アグスティン・アランサバル
Miguel González Pérez,ミゲル・ゴンサレス・ペレス
Francisco Jiménez de Cisneros,フランシスコ・ヒメネス・デ・シスネロス
Miki Roqué,ミゲル・ロケ・ファレーロ
Iker Romero,イケル・ロメロ
José Samitier,ジョゼップ・サミティエール
Sergi Barjuan,セルジ・バルフアン
Nacho Monreal,ナチョ・モンレアル
Sergio Matabuena,セルヒオ・マタブエナ
Rolando Uríos,ローランド・ウリオス
José Antonio Ardanza,ホセ・アントニオ・アルダンサ・ガロ
Gabriel de Borbón,ガブリエル・デ・ボルボーン
Luis Cembranos,ルイス・センブラーノス
Jon Juaristi,ホン・フアリスティ
José Benlliure,ホセ・ベンリューレ
Rafael Orozco Flores,ラファエル・オロスコ
Sonia Lafuente,ソニア・ラフエンテ
Laura Orgué,ラウラ・オルグエ
Francisco Rabal,フランシスコ・ラバル
Guillermo Amor,ギジェルモ・アモール
Luis Medina Cantalejo,ルイス・メディナ・カンタレホ
Carlos María Isidro de Borbón,カルロス・マリア・イシドロ・デ・ボルボーン
David Navarro,ダビド・ナバーロ
Ernesto Lecuona,エルネスト・レクオーナ
Juan José de Vértiz y Salcedo,フアン・ホセ・デ・ベルティス・サルセド
Fernando Niño de Guevara,枢機卿フェルナンド・ニーニョ・デ・ゲバラの肖像
Mario Mola,マリオ・モーラ
Vega (Street Fighter),バルログ・(ストリートファイター)
Isidro Nonell,イシドラ・ノネイ
Mateo Cerezo,マテオ・セレッソ
Juan Señor,フアン・セニョール
Javier Manjarín,ハビエル・マンハリン
Álvaro Manrique de Zúñiga,アルバロ・マンリケ・デ・スニガ
Apel·les Fenosa,アペル・レ・フェノザ
Alberto Belsué,アルベルト・ベルスエ
Jaime Jiménez Merlo,ハイメ・ヒメネス・メルロ
Francisco Javier García Pimienta,ガルシア・ピミエンタ
Paul Naschy,ポール・ナッシー
Gerard Autet,ヘラルド・アウテット
Antonio María de Bucareli y Ursúa,アントニオ・マリア・デ・ブカレリ
Ferrer Ferran,フェレール・フェラン
María Manuela Kirkpatrick,マリア・マヌエラ・キルクパトリック
Ana Carrascosa,アナ・カラスコサ
José de Madrazo,ホセ・デ・マドラーソ
Luis de Borbón y Farnesio,ルイス・アントニオ・デ・ボルボーン・イ・ファルネシオ
Anne Hidalgo,アンヌ・イダルゴ
Carlos Lapetra,カルロス・ラペトラ
Carme Forcadell,カルマ・フルカデイ・イ・リュイス
Luis Ángel Maté,ルイス・マテ・マルドネス
Jaume Plensa,ジャウメ・プレンサ
Javi Moreno Bazán,ハビエル・モレノ
Patric,パトリシオ・ガバロン
Álvaro Vadillo,アルバロ・バディージョ
Benjamín Zarandona,ベンハミン・サランドーナ
Francisco Álvarez-Cascos,フランシスコ・アルバレス＝カスコス
David Bagration de Mujrani,ダヴィッド・バグラチオン・ムフラニ
Alejandro Arribas,アレハンドロ・アリバス
Fermín Vélez,フェルミン・ベレス
Fernando Caruncho,フェルナンド・カルンチョ
Odón Alonso Ordás,オドン・アロンソ
Aureliano de Beruete,アウレリアーノ・デ・ベルエーテ
Fernando León de Aranoa,フェルナンド・レオン・デ・アラノア
Karlos Arguiñano,カルロス・アルギニャーノ
Facundo Campazzo,ファクンド・カンパッソ
Borja Bastón,ボルハ・バストン
María Amparo Muñoz y Borbón,マリア・アンパロ・ムニョス
Juan Manén,フアン・マネン
Daniel Toribio Gutiérrez,ダニエル・トリビオ
Iván Silva,イバン・シルバ
Julio Alberto Moreno,フリオ・アルベルト・モレーノ
Anthony Rodriguez,アントニー・ロドリーグ
Antonio de Brugada,アントニオ・デ・ブルガダ
Vicente Calderón,ビセンテ・カルデロン
Quim Torra,キム・トーラ
Jaume Sobregrau,ジャウメ・ソブレグラウ
Antonio Luna Rodríguez,アントニオ・ルナ・(サッカー選手)
Óscar Téllez,オスカル・テジェス
Eduardo Iturralde González,イトゥラルデ・ゴンサレス
Antonia San Juan,アントニア・サン・フアン
Miguel Molina,ミゲル・モリーナ
Ramón Pichot,ラモン・ピチョット
Iñigo Urkullu,イニゴ・ウルクリュ
Antonio Orozco,アントニオ・オロスコ
Germán Álvarez Beigbeder,ヘルマン・アルバレス・ベイグベデル
Juan Antonio Villacañas,フアン・アントニオ・ビジャカーニャス
Juan Francisco de Bette,ジャン＝フランソワ＝ニコラ・ド・ベット・(第3代レーデ侯爵)
Paco Liaño,フランシスコ・リアーノ
Jorge Pulido,ホルヘ・プリード
Nicolás de Bobadilla,ニコラス・ボバディリャ
Alejo Fernández,アレホ・フェルナンデス
José Manuel Catalá,ホセ・マヌエル・カタラ
Gustavo Daniel Cabral,グスタボ・カブラル
Ito (futbolista),アントニオ・アルバレス・ペレス
Vicente Biurrun,ビセンテ・ビウルン
Joan Crespí Fiol,フアン・クレスピ
Miguel García Tébar,ミゲル・アンヘル・ガルシア・テバル
Jordi Trias,ジョルディ・トリアス
Jaime Penedo,ハイメ・ペネド
Juan Acuña,フアン・アクーニャ
Rubén García Santos,ルベン・ガルシア
Ricardo Palacios,リカルド・パラシオス
Borja García Freire,ボルハ・ガルシア
Joan Tomás Campasol,ジョアン・トマス・カンパソル
Maialen Chourraut,マイアレン・コラント
Iker Martínez,イケル・マルティネス
David de la Cruz,ダビド・デ・ラ・クルス
Ander Elosegi,アンデル・エロセギ
Francisco Xavier Venegas,フランシスコ・ハビエル・ベネガス
Jesús Glaría,ヘスス・グラリア
Fidel Uriarte,フィデル・ウリアルテ
Dino Valls,ディーノ・ヴァルス
Miguel Ángel Portugal,ミゲル・アンヘル・ポルトゥガル
Juanjo Camacho,フアンホ・カマーチョ
Juanmi Callejón,フアン・ミゲル・カジェホン・ブエーノ
José María Belauste,ホセ・マリア・ベラウステ
Rafa Paz,ラファエル・パス
Pedro Mari Zabalza,ペドロ・マリア・サバルサ
Roberto Ríos,ロベルト・リオス
Roberto López Ufarte,ロベルト・ロペス・ウファルテ
Antonio José Martínez Palacios,アントニオ・ホセ
Emma Vilarasau,エマ・ビララサウ
Francisco Sans Cabot,フランシスコ・サンス・カボット
Francisco Rivera,パキーリ
José Ramón Esnaola,ホセ・ラモン・エスナオラ
Francisco Rodríguez García,フランシスコ・ロドリゲス・ガルシア
Sergio Álvarez Díaz,セルヒオ・アルバレス・ディアス
Eugenio Leal,エウヘニオ・レアル
Enrique Gaspar,エンリケ・ガスパール
Juan Cruz Sol,フアン・ソル
Isidoro San José,イシドロ・サン・ホセ
Antonio Biosca,アントニオ・ビオスカ
Antonio Guzmán Núñez,アントニオ・グスマン・ヌニェス
Pachín,エンリケ・ペレス・ディアス
Alfonso Martínez,アルフォンソ・マルティネス
Bittor Alkiza,ビトール・アルキサ
Víctor Bravo de Soto Vergara,ビクトル・ブラボ
Francisco de Rojas Zorrilla,フランシスコ・デ・ロハス・ソリーリャ
Iván Cuéllar,イバン・クエジャル
Miguel de la Grúa Talamanca,ミゲル・デ・ラ・グルア・タラマンカ
Augusto César Lendoiro,アウグスト・セサル・レンドイロ
Enrique Fernández Arbós,エンリケ・フェルナンデス・アルボス
Francisco Barrera,フランシスコ・バレラ
Guillermo Falasca,ギリェルモ・ファラスカ
Miguel Ángel Revilla,ミゲル・アンヘル・レビージャ
José Ignacio Sáenz,ホセ・イグナシオ
José de Carvajal y Lancaster,ホセ・デ・カルバハール・イ・ランカステル
Joan Garriga,ファン・ガリガ
Diego Fernández de Córdoba (marqués de Guadalcázar),ディエゴ・フェルナンデス・デ・コルドバ
José María Maguregi,ホセ・マリア・マグレギ
Antonio Barrios,アントニオ・バリオス
Óscar Miñambres,オスカル・ミニャンブレス
David Córcoles,ダビド・コルコレス
Germán Cobos,ジェルマン・コボス
Antonio de Herrera y Tordesillas,アントニオ・デ・エレーラ・イ・トルデシリャス
Rodolfo Halffter,ロドルフォ・アルフテル
Marcos García,マルコス・ガルシア・(自転車選手)
Iván Zulueta,イバン・スルエタ
Rodri Ríos,ロドリゴ・リオス
José Javier Barkero,ホセ・バルケーロ
Pepe Mel,ペペ・メル
José Campaña,ホセ・カンパーニャ
Tente Sánchez,テンテ・サンチェス
Juan Vicente de Güemes,フアン・ビセンテ・デ・グエメス
Mariano Benlliure,マリアーノ・ベンリューレ
Enrique Jordá,エンリケ・ホルダ
Antonio Mercero,アントニオ・メルセロ
María Cristina de Borbón y Battenberg,マリア・クリスティーナ・デ・ボルボン・イ・バッテンベルグ
Jorge Mistral,ホルヘ・ミストラル
Cayetano de Borbón-Parma,ガエターノ・ディ・ボルボーネ＝パルマ
Fabri González,ファブリシアーノ・ゴンサレス
José Manuel Rueda,ホセ・マヌエル・ルエダ・サンペドロ
Jonás Ramalho,ホナス・ラマーリョ
Gregorio Fuentes,グレゴリオ・フエンテス
Goyo Benito,グレゴリオ・ベニト
Luisa Fernanda Rudi,ルイサ・フェルナンダ・ルディ・ウベダ
Juan Carlos Garrido Fernández,フアン・カルロス・ガリード
Manolo Reina,マノロ・レイナ
Juan de Oñate,フアン・デ・オニャーテ
Jorge Molina Vidal,ホルヘ・モリーナ
Carmelo González,カルメロ・ゴンサレス
Natxo Insa,ナチョ・インサ
Luis Ricardo Falero,ルイス・リカルド・ファレロ
Albert Rivera,アルベール・リベラ
Pedro Subijana,ペドロ・スビハナ
Willy Hernangómez,ウィリー・エルナンゴメス
Rafael Barradas,ラファエル・バラダス
Cristóbal Parralo,クリストバル・パラーロ
Tito García,ティトー・ガルシア
Paco Roca,パコ・ロカ
Juan María Fernández Krohn,フアン・マリア・フェルナンデス・イ・クロン
Juan José Lucas,フアン・ホセ・ルーカス
Federico Krutwig,フェデリコ・クルトヴィッヒ
Luis Fermín de Carvajal,ルイス・フィルミン・デ・カルバハル・(ラ・ウニオン伯爵)
Saúl Craviotto,サウル・クラビオット
Vicente Engonga,ビセンテ・エンゴンガ
Catanha,エンリケ・ゲデス・ダ・シウヴァ
Manuel Anatol,マヌエル・アナトル
Quique Setién,キケ・セティエン
Jordi Masip,ジョルディ・マシップ
Patricio Guzmán,パトリシオ・グスマン
Esteban Batista,エステバン・バティスタ
Francisco López Alfaro,フランシスコ・ロペス・アルファロ
Miguel Ángel Guerrero Martín,ミゲル・ゲレーロ
Sebastián Blanco,セバスティアン・ブランコ
Francisco Javier Pérez Villarroya,フランシスコ・ビリャローヤ
Macarena Gómez,マカレナ・ゴメス
Sietes (futbolista),ホセ・マヌエル・スアレス・リバス
Bernardo Espinosa,ベルナルド・エスピノサ
Pitu Comadevall,ジョゼプ・マリア・コマデバール
Jorge Aizkorreta,ホルヘ・アイスコレタ
Julio de Urquijo,フリオ・デ・ウルキホ
Juan de Uceda,フアン・デ・ウセーダ
Cesc Gay,セスク・ゲイ
Juan Santisteban,フアン・サンティステバン
Juan de Palafox,フアン・デ・パラフォクス・イ・メンドーサ
Paola Tirados,パオラ・ティラドス
Alberto Núñez Feijóo,アルベルト・ヌーニェス・フェイホー
Alfonso de Orleans y Borbón,アルフォンソ・デ・オルレアンス
Xabier Fernández,シャビエル・フェルナンデス
Isabel Alfonsa de Borbón-Dos Sicilias y Borbón,イサベル・アルフォンサ・デ・ボルボン＝ドス・シシリアス
Alberto Górriz Echarte,アルベルト・ゴリス
Juan Sánchez Moreno,フアン・サンチェス・モレノ
Víctor Laguardia,ビクトル・ラグアルディア
Dani Aquino,ダニエル・アキーノ・ピントス
Andrea Fuentes,アンドレア・フエンテス
Francisco Javier Sáenz de Oiza,フランシスコ・ハビエル・サエンス・デ・オイサ
Juan Carlos Ablanedo,フアン・カルロス・アブラネード
Iván Benítez,イバン・ベニテス
José Ruiz y Blasco,ホセ・ルイス・イ・ブラスコ
Joan Margarit,ジョアン・マルガリット・イ・コンサルナウ
Gabriel Aresti,ガブリエル・アレスティ
Miguel Sanz,ミゲル・サンス
Marcelino Pérez,マルセリーノ・ペレス
Enrique Cerezo,エンリケ・セレソ
Koldo Mitxelena,コルド・ミチェレナ
Moisés García León,モイセス・ガルシア
Fernando Sánchez Cipitria,フェルナンド・サンチェス
Antonio de la Torre Martín,アントニオ・デ・ラ・トーレ
Juan Vicente Herrera,フアン・ビセンテ・エレーラ
Carme Ruscalleda,カルメ・ルスカイェーダ
Tamara Rojo,タマラ・ロホ
Leopoldo Querol,レオポルド・ケロル
Raúl Ruiz Matarín,ラウール・ルイス
Miguel Fuentes Azpiroz,ミゲル・フエンテス
Rafa Berges,ラファエル・ベルヘス
Juan Ramón López Muñiz,フアン・ラモン・ロペス・ムニス
Margarita Nelken,マルガリータ・ネルケン
Alfonso María de Borbón y Borbón,アルフォンソ・マリア・デ・ボルボン・イ・ボルボン
Kepa Arrizabalaga,ケパ・アリサバラガ
Diego de Arana,ディエゴ・デ・アラーナ
Ricardo Otxoa,リカルド・オチョア
Lucas Mondelo,ルーカス・モンデーロ
Eduardo del Pueyo,エドゥアルド・デル・プエヨ
Pedro Jaro,ペドロ・ハロ
Jordi Ferrón,ジョルディ・フェロン
Adolfo Aldana,アドルフォ・アルダーナ
Isaac Carasso,イサーク・カラッソ
Jorge Mijáilovich Románov (1981),ゲオルギー・ミハイロヴィチ・ロマノフ
Rafel Sastre,ラファエル・サストレ
Agustín Eizaguirre,アグスティン・エイサギーレ
Paco Herrera,フランシスコ・エレーラ・ロレンソ
