정주시,定州市
부전호반역,赴戦湖畔駅
시,北朝鮮の市
재일 조선인 북송사업,在日朝鮮人の帰還事業
제4기 최고인민회의 대의원 선거,第四期最高人民会議代議員選挙
조선문학예술총동맹,朝鮮文学芸術総同盟
조선민주주의인민공화국 최고검찰소,中央検察所
조선민주주의인민공화국의 문법론,朝鮮民主主義人民共和国の文法論
주체농법,主体農法
청진 궤도전차,清津市電
평양제1백화점,平壌第一百貨店
해주청년역,海州青年駅
홍의역,洪儀駅
서창선,ソチャン線
2019년 6월 북미정상회담,2019年6月米朝首脳会談
성평선,城坪線
성진제강련합기업소,城津製鋼所
대안의 사업체계,大安の事業体系
대각선,大角線
천성탄광선,天聖炭鉱線
관하선,官下線
천내선,川内線
평양방어사령부,平壌防御司令部
형봉선,亨鳳線
률동체조,律動体操
덕남선,徳南線
문천항선,文川港線
신성선,新城線
신흥철도,新興鉄道
일본 역사 잔재,日帝残滓
창흥선,昌興線
명당선,明堂線
최고인민회의 상임위원회,最高人民会議常任委員会
보위사령부,朝鮮人民軍保衛司令部
조선불교도련맹,朝鮮仏教徒連盟
강계역,江界駅
개마총,鎧馬塚
개성 첨성대,開城瞻星台
검은모루동굴유적,コムンモル洞窟
경성읍성,鏡城邑城
계명산 (평안남도),桂明山
고대산 (함경남도),高大山
고산역 (고산),高山駅
관모봉,冠帽峰
구천각,九千閣
국제관계대학,国際関係大学
귀주사 (함주군),帰州寺
금옥역,金玉駅
금장암 사자탑,金蔵庵獅子塔
길주청년역,吉州青年駅
김일성 배지,金日成バッジ
남강덕역,南康徳駅
다사도역,多獅島駅
대박산 (평양),大朴山
북한민주화네트워크,北朝鮮民主化ネットワーク
비날론역,ビナロン駅
빨치산파,パルチザン派
사리원신천고속도로,沙里院信川高速道路
삼봉역,三峰駅
삼일포,三日浦
삼일포역,三日浦駅
성천강,城川江
송산역 (봉산),松山駅
수성역,輸城駅
신강령역,新康翎駅
신남포역,新南浦駅
동대역,東坮駅
랑림역,狼林駅
랑림산,狼林山
로동자구,労働者区
룡반역,龍蟠駅
룡문탄광선,龍門炭鉱線
룡성역,龍城駅
립석리역,立石里駅 (黄海北道)
명천역,明川駅
모란봉극장,牡丹峰劇場
무산역,茂山駅
배천역,白川駅 (黄海南道)
백금산역,白金山駅
베개봉역,ペゲ峰駅
벽성역,碧城駅
복계역,福渓駅
부전강,赴戦江
부전령산맥,赴戦嶺山脈
부포역,釜浦駅
조선민주주의인민공화국의 대량살상무기,朝鮮民主主義人民共和国の大量破壊兵器
조선민주주의인민공화국 금융정보국,朝鮮民主主義人民共和国金融情報局
한중 해저 터널,中韓海底トンネル
2.8비날론련합기업소,2・8ビナロン連合企業所
9·19 군사분야 남북합의서,9・19南北軍事合意
경성온천,鏡城温泉
공민증,公民証
목란비데오,木蘭ビデオ
아시아의 코로나19 범유행,アジアにおける新型コロナウイルス感染症の流行状況
평양종합병원,平壌総合病院
조선민주주의인민공화국의 과학,朝鮮民主主義人民共和国の科学
평양평야,平壌平野
2020년 한국 집중호우,2020年朝鮮半島大洪水
조선로동당 제8차 대회,朝鮮労働党第8次大会
연평도 해역 공무원 피격 사망 사건,延坪島沖公務員銃撃死亡事件
조국통일오개방침,祖国統一の五大方針について
화성-17형,火星17
《화성-8》형,火星8
조선로동당 제8기 중앙위원회,朝鮮労働党第8期中央委員会
조선로동당 중앙위원회 비서국,朝鮮労働党中央委員会書記局
조선로동당 중앙검사위원회,朝鮮労働党中央検査委員会
조선민주주의인민공화국 원자력공업성,原子力工業省
양지역,陽地駅 (咸鏡南道)
대동강수산물식당,大同江水産物食堂
조선민주주의인민공화국산 석탄 대한민국 반입 사건,朝鮮民主主義人民共和国産石炭大韓民国搬入事件
정릉사,定陵寺
덕흥리고분,徳興里古墳
북한인,北朝鮮人
주 복한 인도네시아 대사관,駐朝鮮民主主義人民共和国インドネシア共和国大使館
2.8체육단,2.8体育団
창골역,倉ゴル駅
답촌역,畓村駅
원리역,院里駅
람전역,藍田駅
포태역,胞胎駅
봉명역,鳳鳴駅
판막역,板幕駅
서부역,西部駅
풍년역,豊年駅 (平安北道)
대령강역,大寧江駅
백운역,白雲駅
팔영역,八営駅
방현역,方峴駅
대장역,大将駅
코로나바이러스감염증-19 유행,新型コロナウイルス感染症 (COVID-19) の世界的流行
청산리방법,青山里方式
청년전위,青年前衛
마평선,馬坪線
룡암선,龍岩線
조선민주주의인민공화국 주석,朝鮮民主主義人民共和国主席
평성역,平城駅 (平安南道)
오만동역,烏蔓洞駅
각호산 (황해도),角虎山
갈전로동자구,葛田労働者区
강건종합군관학교,姜健総合軍官学校
주 북한 이란 대사관,駐朝鮮民主主義人民共和国イラン大使館
조선 중앙 통계국,北朝鮮の中央統計局
동,洞
화성구역,和盛区域
2021년 북한 원전 건설 추진 문건 사건,2021年文政権の北朝鮮への原発建設推進疑惑
과일역,クァイル駅
은률역,殷栗駅
함지원역,咸地院駅
경흥역,慶興駅
동흥역,東興駅
송하역,松下駅 (咸鏡南道)
흥덕역,興徳駅
조선민주주의인민공화국의 코로나바이러스감염증-19 범유행,北朝鮮における新型コロナウイルス感染症の流行状況
2020년 남북공동연락사무소 폭파사건,2020年南北共同連絡事務所爆破事件
김정은국방종합대학,金正恩国防大学
북미정상회담,米朝首脳会談
종다리,ジョンダリ
판문구역,板門区域
조선민주주의인민공화국의 기후,朝鮮民主主義人民共和国の気候
조선민주주의인민공화국 내각사무국,朝鮮民主主義人民共和国内閣事務局
신전역,新田駅
제로코비드,ゼロコロナ
외국어서점,外国語書店
영수역,永綏駅
도내역,島内駅
청년거리,青年通り
위대한 수령,偉大な首領
위대한 영도자,偉大な領導者
조선의 출판물,朝鮮の出版物
대성산아이스크림공장,大城山アイスクリーム工場
훤화역,萱花駅
낙동강,洛東江
조선민주주의인민공화국 국가과학원,朝鮮民主主義人民共和国国家科学院
문수거리,紋繡通り
신의주 원형아파트,「一心団結」建物
봉화산려관,烽火山ホテル
2017년 8월 29일 조선민주주의인민공화국 미사일 발사,2017年8月29日の北朝鮮によるミサイル発射
2017년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験
피도,避島
김군옥영웅함,金君玉英雄艦
샛별-4형,セッピョル-4
국가체육지도위원회,国家体育指導委員会
재북인사의 묘,在北人士の墓
2018년 동계 올림픽 조선민주주의인민공화국 선수단,2018年平昌オリンピックの北朝鮮選手団
라선국제상업은행,羅先国際商業銀行
두만강은행,豆満江銀行
동대은행,東大銀行
라선개발금융회사,羅先開発金融会社
모학선,慕鶴線
조선민주주의인민공화국 부주석,朝鮮民主主義人民共和国副主席
추평선,楸坪線
문악역,文岳駅
연포역,煙浦駅
림토역,林土駅
십리동역,十里洞駅
자강삼강역,慈江三江駅
2018년 조선민주주의인민공화국,2018年の朝鮮民主主義人民共和国
조선료리협회,朝鮮料理協会
미카 3형 증기 기관차,朝鮮総督府鉄道ミカサ形蒸気機関車
차가평역,車家坪駅
파시 4형 증기 기관차,朝鮮総督府鉄道パシシ形蒸気機関車
국가관광총국,朝鮮民主主義人民共和国国家観光総局
조선민주주의인민공화국의 병역 제도,北朝鮮の徴兵制度
목란광명회사,木蘭光明会社
2018년 2차 남북정상회담,南北首脳会談 (2018年5月)
판문각,板門閣
조선로동당 선전선동부,朝鮮労働党宣伝煽動部
2018년 아시안 게임 남북 단일 선수단,2018年アジア競技大会南北合同チーム選手団
주청진 중국 총영사관,在清津中華人民共和国総領事館
봉화 진료소,烽火診療所
선군의 기치를 더 높이 추켜들고 최후승리를 향하여 힘차게 싸워나가자,先軍の旗を高く掲げ最後の勝利に向けて力強く戦って行こう
김일성고급당학교,金日成高級党学校
2018년 1차 남북정상회담,2018年南北首脳会談
통일각,統一閣
조선민주주의인민공화국의 국가 원수 부인,朝鮮民主主義人民共和国のファーストレディ
평양제1중학교,平壌第1中学校
백화원 영빈관,百花園迎賓館
대동강철교,大同江鉄橋
동림호텔,東林ホテル
류경동,柳京洞
신해방지구,新解放地区
려도,麗島
모학역,慕鶴駅
제14기 최고인민회의 대의원 선거,2019年朝鮮民主主義人民共和国最高人民会議選挙
문암역,門岩駅
쌍암역,双岩駅
곡구역,谷口駅
조선엑스포닷컴,朝鮮エキスポ
2019년 조선민주주의인민공화국,2019年の朝鮮民主主義人民共和国
