Campinas,カンピーナス
Eleição da cidade-sede dos Jogos Olímpicos de Verão de 2016,2016年夏季オリンピックの開催地選考
Superliga Brasileira de Voleibol Masculino,スーパーリーガ・(バレーボール)
Campeonato Sul-Americano de Voleibol Feminino de 1967,1967年バレーボール女子南米選手権
Campeonato Potiguar de Futebol,カンピオナート・ポティグァル
Campo Grande Atlético Clube,カンポ・グランデAC
Igreja de Nossa Senhora do Carmo da Antiga Sé,リオデジャネイロ旧大聖堂
Cuiabá Esporte Clube,クイアバEC
Lista das embarcações da Marinha do Brasil,ブラジル海軍艦艇一覧
Light S/A,ライト・(電気事業者)
Virgem com o Menino e São João Batista Criança (Botticelli),聖母子と幼児聖ヨハネ・(ボッティチェッリ、サンパウロ美術館)
Campeonato Sul-Americano de Futebol Feminino de 1995,1995・スダメリカーノ・フェメニーノ
Campeonato Sul-Americano de Futebol Feminino Sub-17 de 2010,2010・U-17スダメリカーノ・フェメニーノ
Esporte Clube XV de Novembro (Jaú),ECキンゼ・ジ・ノヴェンブロ・(ジャウー)
Associação Desportiva Bahia de Feira,ADバイーア・ジ・フェイラ
Grêmio Osasco Audax,グレミオ・オザスコ・アウダックス
Minuano (vento),ミヌアノ
Copa Centro-Oeste,コパ・セントロ＝オエステ
Technos,テクノス
Riocentro,リオセントロ
Torneio dos Campeões da CBF de 1982,トルネイオ・ドス・カンピオンイス
Catedral-Basílica Primacial de São Salvador,サルヴァドール大聖堂
VS-30,VS-30
MMX Mineração,MMXミネラカオ
Campeonato Sul-Americano de Futebol Feminino Sub-20 de 2012,2012・U-20スダメリカーノ・フェメニーノ
Produção de café no Brasil,ブラジルにおけるコーヒー生産
Chute Boxe,シュートボクセ・アカデミー
Cielo,シエロ・(企業)
Lista de aeroportos do Brasil,ブラジルの空港の一覧
Vice-presidente do Brasil,ブラジル連邦共和国副大統領
Clube Atlético Tubarão,CAトゥバロン
Clube Náutico Marcílio Dias,CNマルシリオ・ジアス
Clube Atlético Carlos Renaux,CAカルロス・レナウシュ
Aquidabã (encouraçado de esquadra),アキダバン・(装甲艦)
Banco Palmas,パルマス銀行
Maranhão Atlético Clube,マラニョンAC
Lista de partidos políticos do Brasil,ブラジルの政党
Guampa,グアンパ
Embraer E-Jets,エンブラエル・E-Jet
Resende Futebol Clube,レゼンデFC
Estação da Luz,ルス駅
Lista de ilhas do Brasil,ブラジルの島の一覧
Lista de aves do Brasil,ブラジルの野鳥一覧
Esporte Clube São Bento,ECサンベント
Tectoy,Tectoy
Cyrela,シレラ・ブラジル・リアルティ
Democrata Futebol Clube,デモクラータFC
Taurus Judge,トーラス・ジャッジ
Copa Libertadores da América de Futebol Feminino de 2011,コパ・リベルタドーレス・フェメニーナ2011
Cosan,コザン
Veranópolis Esporte Clube Recreativo e Cultural,ヴェラノポリスECRC
Jardim Botânico de São Paulo,サンパウロ植物園
União Esporte Clube (Rondonópolis),ウニオンEC
Galícia Esporte Clube,ガリシアEC
Copa União,コパ・ウニオン
Greco-brasileiro,ギリシャ系ブラジル人
Seleção Brasileira de Rugby Sevens Masculino,7人制ラグビー男子ブラジル代表
Lojas Renner,ロジャス・レナー
Gafisa,ガフィーザ
TV Cultura,TVクルトゥーラ
Rossi Residencial,ロッシ・レジデンシャル
Americanas,アメリカナス
Estádio Bruno José Daniel,エスタジオ・ブルーノ・ジョゼ・ダニエウ
Dexco,デュラテックス
Esporte Clube Comercial,ECコメルシアウ
Esporte Clube Primeiro Passo Vitória da Conquista,ECPPヴィトリア・ダ・コンキスタ
ISA CTEEP,サンパウロ送電
Direito do Brasil,ブラジルの法
Telecomunicações de São Paulo,テレスプ
Língua terena,テレーノ語
Incidente de Varginha,ヴァルジーニャ事件
Sociedade Esportiva Matsubara,SEマツバラ
Fritz Dobbert,フリッツ・ドッベルト
AMBEV,アンベブ
Nova Iguaçu Futebol Clube,ノヴァ・イグアスFC
Palácio do Congresso Nacional,国会議事堂・(ブラジル)
Angra dos Reis Esporte Clube,アングラ・ドス・レイスEC
Sociedade Esportiva e Recreativa Juventude,SERジュベントゥージ
União Agrícola Barbarense Futebol Clube,ウニオン・アグリーコラ・バルバレンセFC
Ministério do Desenvolvimento Agrário e Agricultura Familiar,農業開発省
Copa Dubai 2008,ドバイカップ2008
Grêmio Esportivo Anápolis,GEアナポリス
Dommo Energia,OGXペトロレオ
Natura,ナチュラ
Estação Sé,セー駅・(サンパウロ地下鉄)
Associação Desportiva Classista Intelli,ADCインテリ
"Ministério da Ciência, Tecnologia e Inovação",科学技術イノベーション通信省・(ブラジル)
Atlético Monte Azul,アトレチコ・モンテ・アズル
PDG S/A,PDGリアルティ
Voo VASP 168,VASP航空168便墜落事故
Riachuelo (encouraçado de esquadra),リアシュエロ・(装甲艦)
Milagre de Belo Horizonte,アメリカ・VS・イングランド・(1950・FIFAワールドカップ)
Arapongas Esporte Clube,アラポンガスEC
Amazônia Legal,法的なアマゾン地域
Guerra hispano-portuguesa (1776–1777),スペイン・ポルトガル戦争・(1776年-1777年)
Serra dos Carajás,カラジャス
Ipupiara (criptozoologia),イプピアーラ
Clube Atlético Sorocaba,アトレチコ・ソロカーバ
Grêmio Esportivo Novorizontino,グレミオ・エスポルチーヴォ・ノヴォリゾンチーノ
Itabuna Esporte Clube,イタブナEC
Tuna Luso Brasileira,トゥナ・ルーゾ・ブラジレイラ
Instituto Chico Mendes de Conservação da Biodiversidade,シコ・メンデス生物多様性保全研究所
Anime Friends,Anime・Friends
Voo TAM 402,TAM航空402便離陸失敗事故
Auto Esporte Clube (Piauí),アウト・エスポルテ・クルーベ・(ピアウイ州)
Candidatura de Tóquio para os Jogos Olímpicos de Verão de 2016,2016年東京オリンピック構想
Sport Club São Paulo,SCサンパウロ
Ji-Paraná Futebol Clube,ジ＝パラナFC
Embratel,エンブラテル
Universidade Federal de São Paulo,サンパウロ連邦大学
Esporte Clube Internacional,ECインテルナシオナル・(リオグランデ・ド・スル州)
Telecomunicações Brasileiras S.A.,テレブラス
Allianz Parque,アリアンツ・パルケ
Araxá Esporte Clube,アラシャEC
Hercílio Luz Futebol Clube,エルシリオ・ルスFC
Artsul Futebol Clube,アルチスウFC
Associação Esportiva Recreativa Engenheiro Beltrão,AERエンゲニェイロ・ベウトロン
Associação Esportiva Araçatuba,AEアラサトゥバ
Associação Ferroviária de Esportes,アソシアソン・フェロヴィアリア・ジ・エスポルテス
Coimbra Sports,コインブラ・エスポルチ・クルベ
Futebol Clube SKA Brasil,FCスカ・ブラジル
Conan (RPG),ガープスの書籍一覧
World Puzzle Championship,世界パズル選手権
Centro de Futebol Zico do Rio Sociedade Esportiva,CFZ
Associação Atlética Internacional (Bebedouro),AAインテルナシオナル・(ベベドウロ)
Associação Atlética Batel,AAバテウ
Associação Atlética Flamengo,AAフラメンゴ
Sport Club Santa Rita,SCサンタ・リタ
Confederação Nacional dos Trabalhadores na Agricultura,全国農業労働者総連盟
Confederação Brasileira de Voleibol,ブラジルバレーボール連盟
Confederação Brasileira de Beisebol e Softbol,ブラジル野球ソフトボール連盟
Clube Atlético Penapolense,CAペナポレンセ
Clube Atlético Linense,CAリネンセ
Clube Atlético Taboão da Serra,CAタボン・ダ・セーハ
Clube Atlético Guaçuano,CAグアスアーノ
Conservatório Dramático e Musical de São Paulo,サンパウロ演劇音楽院
Conselho Federal de Medicina,ブラジル連邦医師評議会
Clube Atlético Votuporanguense,CAヴォトゥポランゲンセ
Clube Esportivo Lajeadense,CEラジェアデンセ
Pururuca,ポーク・スクラッチング
Atlético Clube Paranavaí,ACパラナヴァイ
Belo Jardim Futebol Clube,ベロ・ジャルジンFC
Batalha de Itaparica,イタパリカの戦い
Instituto Federal da Bahia,バイーア連邦研究所
Copa Paulista de Futebol,コパ・パウリスタ
Seleção Brasileira de Rugby Sevens Feminino,7人制ラグビー女子ブラジル代表
Ação Integralista Brasileira,ブラジル統合主義運動
Campeonato brasileiro de Fórmula 3,ブラジル・フォーミュラ3選手権
River Atlético Clube,リヴェルAC
Santos Futebol Clube (Macapá),サントスFC・(アマパー州)
Incêndio na boate Kiss,サンタマリアナイトクラブ火災
Presidente do Brasil,ブラジル連邦共和国大統領
Banco Nacional,ナシオナル銀行
Rio Timbó,チンボー川
Campeonato Brasileiro de Futebol de 1987,1987・カンピオナート・ブラジレイロ・イエローモジュール
Piauí (monitor),ピアウイ・(モニター)
Brasil (corveta),ブラジル・(装甲艦)
Alagoas (monitor),アラゴアス・(モニター)
Tamandaré (encouraçado),タマンダーレ・(装甲艦)
Rio de Janeiro (encouraçado),リオ・デ・ジャネイロ・(装甲艦)
Grande Prêmio Brasil,ブラジル大賞
Barroso (encouraçado),バローゾ・(装甲艦)
Pará (monitor),パラ・(モニター)
Ceará (monitor),セアラ・(モニター)
Programa espacial brasileiro,ブラジルの宇宙開発
Terminal Intermodal Jabaquara,ジャバクアラ駅
Black House (MMA),ブラック・ハウス
Grêmio Esportivo Glória,GEグロリア
Grêmio Catanduvense de Futebol,グレミオ・カタンドゥヴェンセ・ジ・フチボウ
Grêmio Esportivo Osasco,グレミオ・エスポルチーヴォ・オザスコ
Eleições gerais no Brasil em 2014,2014年ブラジル総選挙
Santa Catarina (monitor),サンタ・カタリナ・(モニター)
Rio Grande (monitor),リオ・グランデ・(モニター)
Kaleidoscópio,カレイド・(音楽ユニット)
Aeroporto Regional de Bonito,ボニート空港
Club de Regatas Vasco da Gama,CRヴァスコ・ダ・ガマ
Estação Vila Madalena,ヴィラ・マダレナ駅
Campeonato Sul-Americano de Futebol Feminino Sub-20 de 2008,2008・U-20スダメリカーノ・フェメニーノ
História do Império do Brasil,ブラジル帝国の歴史
Mafersa,マフェルサ
Esporte Clube Taubaté,ECタウバテ
Esporte Clube Jacuipense,ECジャクイペンセ
Esporte Clube Avenida,ECアヴェニダ
Tênis de mesa nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの卓球競技
Universidade Federal de Viçosa,ヴィソーザ連邦大学
Editora JBC,JBC出版社
Comando Militar do Leste,東部軍・(ブラジル軍)
Esporte Clube Rio Verde,ECヒオ・ヴェルジ
Catedral Metropolitana Ortodoxa,メトロポリタン正教会聖堂
Recopa Sul-Americana de 2014,レコパ・スダメリカーナ2014
Copa América de 2019,コパ・アメリカ2019
Eleição da sede da Copa do Mundo FIFA de 2014,2014・FIFAワールドカップ開催地決定の経緯
Formação Irati,イラティ層
Rio Ituí,イトゥイ川
Prostituição no Brasil,ブラジルにおける売春
Porto Alegre Futebol Clube,ポルト・アレグレFC
Prumo (empresa),LLXロジスチカ
Capivariano Futebol Clube,カピヴァリアーノFC
Tênis nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのテニス競技
Roma Esporte Apucarana,ローマ・エスポルチ・アプカラナ
Festa junina no Brasil,フェスタジュニーナ
Cia. Hering,エーリング
Paraná Soccer Technical Center,パラナ・サッカー・テクニカル・センター
Estádio Olímpico Pedro Ludovico Teixeira,エスタディオ・オリンピコ・ペドロ・ルドヴィコ・テイシェイラ
Estádio Olímpico Regional Jacy Miguel Scanagatta,エスタジオ・オリンピコ・ヘギオナウ・アルナウド・ブサット
Fernandópolis Futebol Clube,フェルナンドポリスFC
Comando Militar do Nordeste,北東軍・(ブラジル軍)
Comando Militar do Sudeste,南東軍・(ブラジル軍)
Serviços Aéreos Cruzeiro do Sul,クルゼイロ航空
Comando Militar do Planalto,プラナルト軍
Plano Collor,コロールプラン
Comando Militar do Sul,南部軍・(ブラジル軍)
Linha 17 do Metrô de São Paulo,サンパウロ地下鉄17号線
Linha 15 do Metrô de São Paulo,サンパウロ地下鉄15号線
Comando Militar do Oeste,西部軍・(ブラジル軍)
Villa Rio Esporte Clube,ヴィラ・リオEC
Futebol Clube Santa Cruz,FCサンタクルス
Salonpas Cup,サロンパスカップ・女子バレーボール国際大会
Grêmio de Esportes Maringá,グレミオ・ジ・エスポルテス・マリンガ
Golfe nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのゴルフ競技
Esporte Clube Água Santa,ECアグア・サンタ
Nova União (MMA),ノヴァウニオン
Cerco de Caxias,カシアス包囲戦
Voo Varig 967,ヴァリグ・ブラジル航空967便遭難事故
Lagarto Futebol Clube,ラガルトFC
Lemense Futebol Clube,SCアチバイア
Sociedade Esportiva Matonense,SEマトネンシ
Futebol Clube Cascavel,FCカスカヴェウ
Jungle Fight 1,Jungle・Fight・1
Natação nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの競泳競技
Serra Macaense Futebol Clube,セラ・マカエンシFC
Morro do Careca,モーホ・ド・カレッカ
Vela nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのセーリング競技
Lista de prefeitos da cidade do Rio de Janeiro,リオデジャネイロ市長
Campo de Golfe Olímpico,カンポ・オリンピコ・ジ・ゴウフィ
Arena Fonte Nova,アレーナ・フォンチ・ノヴァ
Rio Traíra,タライラ川
Estação Japão-Liberdade,リベルダージ駅
Bonsucesso Futebol Clube,ボンスセッソFC
Universidade Federal do Recôncavo da Bahia,レコンカボ・ダ・バイーア連邦大学
Hóquei sobre a grama nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのホッケー競技
Tema da Vitória,勝利のテーマ・(ヘジ・グローボ)
Rio Manacapuru,マナカプル川
UFC on Fuel TV: Nogueira vs. Werdum,UFC・on・Fuel・TV・10
Duquecaxiense Futebol Clube,ドゥケカシエンセFC
Foz do Iguaçu Futebol Clube,フォス・ド・イグアスFC
Rio Piorini,ピオリーニ川
Universidade Federal de Sergipe,セルジペ連邦大学
Tocantinópolis Esporte Clube,トカンチノポリスEC
Prêmio São Paulo de Literatura,サンパウロ文学賞
Protestantismo no Brasil,ブラジルのプロテスタント
Voo Transbrasil 303,トランス・ブラジル航空303便墜落事故
Troféu HQ Mix,Troféu・HQ・Mix
Estação Botafogo,ボタフォゴ駅
Clube Atlético Lemense,CAレメンセ
Estação Carioca / Centro,カリオカ駅
Olímpia Futebol Clube,オリンピアFC
Rua Tonelero,トネレロ通り
Rugby sevens nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのラグビー競技
União Recreativa dos Trabalhadores,ウニオン・レクレアチーヴァ・ドス・トラバリャドレス
Associação Brasileira de Preservação Ferroviária,ブラジル保存鉄道協会
Universidade Federal de Goiás,ゴイアス州連邦大学
Terra Indígena do Vale do Javari,ジャヴァリ谷
Discos Marcus Pereira,マルクス・ペレイラ・(レーベル)
Estação Flamengo,フラメンゴ駅
Estado-Maior do Exército (Brasil),陸軍参謀本部・(ブラジル陸軍)
Estaleiro Atlântico Sul,アトランチコスル造船所
Conjunto Arquitetônico da Pampulha,パンプーリャの近代建築群
Estrada de Ferro Oeste de Minas (ferrovia turística),オエステ・デ・ミナス鉄道
Copa do Mundo FIFA de 2014 – Grupo F,2014・FIFAワールドカップ・グループF
Copa do Mundo FIFA de 2014 – Grupo B,2014・FIFAワールドカップ・グループB
Copa do Mundo FIFA de 2014 – Grupo D,2014・FIFAワールドカップ・グループD
Copa do Mundo FIFA de 2014 – Grupo A,2014・FIFAワールドカップ・グループA
Copa do Mundo FIFA de 2014 – Grupo C,2014・FIFAワールドカップ・グループC
Copa do Mundo FIFA de 2014 – Grupo G,2014・FIFAワールドカップ・グループG
Copa do Mundo FIFA de 2014 – Grupo E,2014・FIFAワールドカップ・グループE
Copa do Mundo FIFA de 2014 – Grupo H,2014・FIFAワールドカップ・グループH
Huaska,フアスカ
Grupo Raça,グルーポ・ハーサ
Grêmio Novorizontino,グレミオ・ノヴォリゾンチーノ
Grande Prêmio Cruzeiro do Sul,クルセイ・ド・スル賞
Museu SPTrans dos Transportes Públicos - Gaetano Ferolla,サンパウロ公共交通博物館
Hipódromo de Cidade Jardim,シダーデジャルディン競馬場
Kinkaku-ji do Brasil,ブラジル金閣寺
Monotrilho de Poços de Caldas,ポソス・デ・カルダス・モノレール
NAsH Doutor Montenegro (U-16),ドトール・モンテネグロ・(病院船)
NT Marajó (G-27),マラジョ・(補給艦)
Ministério das Cidades,都市省
Ministério do Esporte (Brasil),スポーツ省・(ブラジル)
Ministério das Comunicações (Brasil),通信省・(ブラジル)
"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",開発・商工貿易省
Relações entre Brasil e China,中国とブラジルの関係
Relações entre Brasil e Líbano,ブラジルとレバノンの関係
Sagrado Coração da Terra,サグラド・コラソン・ダ・テッラ
Santo Amaro (Recife),サント・アマロ・(レシフェ)
Só Preto sem Preconceito,ソー・プレート・セイム・プレコンスィート
Presidente Prudente Futebol Clube,プレジデンテ・プルデンテFC
Maringá Futebol Clube,マリンガFC
TUE Série 3000 (SuperVia),SuperVia3000形電車
Voo Transbrasil 801,トランス・ブラジル航空801便墜落事故
Voo Cruzeiro do Sul 109,クルゼイロ航空109便墜落事故
Campeonato Sul-Americano de Voleibol Masculino de 2013,2013年バレーボール男子南米選手権
Tiro com arco nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのアーチェリー競技
Judô nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの柔道競技
Handebol nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのハンドボール競技
Boxe nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのボクシング競技
Pentatlo moderno nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの近代五種競技
Campeonato Mundial de Judô de 2013,2013年世界柔道選手権大会
Badminton nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのバドミントン競技
Nado sincronizado nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのシンクロナイズドスイミング競技
Remo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのボート競技
Lutas nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのレスリング競技
Ciclismo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの自転車競技
Polo aquático nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの水球競技
Saltos ornamentais nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの飛込競技
Ginástica nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの体操競技
Caxirola,カシローラ
Futebol nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのサッカー競技
Nikkey Shimbun,ニッケイ新聞
Escola Japonesa de São Paulo,サンパウロ日本人学校
Athleta,アスレタ
Jungle Fight,ジャングル・ファイト
Campeonato Sul-Americano de Futebol Feminino Sub-19 de 2004,2004・U-19スダメリカーノ・フェメニーノ
Centenário da imigração japonesa ao Brasil,日本ブラジル交流年
Linha 16 do Metrô de São Paulo,サンパウロ地下鉄16号線
Voleibol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016年リオデジャネイロオリンピックのバレーボール競技・男子トーナメント
Convocações para a Copa do Mundo FIFA de 2014,2014・FIFAワールドカップ参加チーム
Cenibra,セニブラ
Torneio de tênis do Rio de Janeiro,リオ・オープン
Tiro nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの射撃競技
Liga Mundial de Voleibol de 2015,2015年FIVBバレーボール・ワールドリーグ
Hipismo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの馬術競技
Campeonato Brasileiro de Futebol de 2014 - Série A,2014・カンピオナート・ブラジレイロ・セリエA
UFC Fight Night: Machida vs. Mousasi,UFC・Fight・Night:・Machida・vs.・Mousasi
UFC Fight Night: Miocic vs. Maldonado,UFC・Fight・Night:・Miocic・vs.・Maldonado
Jornadas de Junho,2013年ブラジル抗議運動
Belém (Pará),ベレン・(パラー州)
Copa do Mundo FIFA de 2014 – Fase final,2014・FIFAワールドカップ・決勝トーナメント
Esgrima nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのフェンシング競技
Crowdin,Crowdin
Atletismo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの陸上競技
Brasil 1–7 Alemanha (2014),ミネイロンの惨劇
Copa América Feminina de 2014,2014・コパ・アメリカ・フェメニーナ
Beneficência Nipo-Brasileira de São Paulo,サンパウロ日伯援護協会
Basquetebol nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのバスケットボール競技
Final da Copa do Mundo FIFA de 2014,2014・FIFAワールドカップ・決勝
Grande Prêmio do Brasil de 2014,2014年ブラジルグランプリ
Paranapiacaba,パラナピアカバ駅
Clube Atlético Tricordiano,CAトリコルジアーノ
Miss Bumbum Brasil,ミス・ブンブン
Triatlo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのトライアスロン競技
Cerimônia de abertura dos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの開会式
Voleibol nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのバレーボール競技
Monotrilho de Manaus,マナウス・モノレール
Voleibol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016年リオデジャネイロオリンピックのバレーボール競技・女子トーナメント
Não Deixe o Samba Morrer,愛のサンバは永遠に
Afogados da Ingazeira Futebol Clube,アフォガドス・ダ・インガゼイラFC
Brasil nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのブラジル選手団
Eliminatórias da Copa do Mundo FIFA de 2018 - América do Sul,2018・FIFAワールドカップ・南米予選
Futebol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016年リオデジャネイロオリンピックのサッカー競技・女子
Operação Lava Jato,オペレーション・カー・ウォッシュ
Futebol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016年リオデジャネイロオリンピックのサッカー競技・男子
Luxemburgo Leaks,ルクセンブルク・リークス
Campeonato Brasileiro de Futebol de 2015 - Série A,2015・カンピオナート・ブラジレイロ・セリエA
Tapajós Futebol Clube,タパジョスFC
Halterofilismo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのウエイトリフティング競技
Avianca Costa Rica,アビアンカ・コスタリカ
CCXP,Comic・Con・Experience
Vinícius e Tom,ビニシウスとトム
Cerimônia de encerramento dos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの閉会式
2015 no Brasil,2015年のブラジル
Seleção Brasileira de Softbol Feminino,ソフトボール女子ブラジル代表
Taekwondo nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのテコンドー競技
Grande Prêmio do Brasil de 2015,2015年ブラジルグランプリ
Voleibol nos Jogos Olímpicos de Verão de 2016 - Qualificação masculina,2016年リオデジャネイロオリンピックのバレーボール競技・男子出場国決定プロセス
Torneio Pré-Olímpico de Voleibol Masculino de 2016 - Europa,2016年リオデジャネイロオリンピックのバレーボール競技・男子ヨーロッパ予選
Canoagem nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのカヌー競技
Gioventù,若さ・(ヴィスコンティの絵画)
Voleibol nos Jogos Olímpicos de Verão de 2016 - Qualificação feminina,2016年リオデジャネイロオリンピックのバレーボール競技・女子出場国決定プロセス
Atletas Olímpicos Independentes nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの独立参加選手団
Cais do Valongo,ヴァロンゴ埠頭の考古遺跡
UFC Fight Night: Belfort vs. Henderson III,UFC・Fight・Night:・Belfort・vs.・Henderson・3
Copa do Mundo FIFA Sub-17 de 2019,2019・FIFA・U-17ワールドカップ
Campeonato Sul-Americano de Voleibol Masculino de 2015,2015年バレーボール男子南米選手権
Associação Vôlei Bauru,アソシアソン・ヴォレイ・バウル
Campeonato Brasileiro de Futebol de 2016 - Série A,2016・カンピオナート・ブラジレイロ・セリエA
Epidemia de febre zica em 2015–2016,アメリカ大陸におけるジカ熱の流行・(2015年-2016年)
Atletismo nos Jogos Olímpicos de Verão de 2016 - Maratona feminina,2016年リオデジャネイロオリンピックの陸上競技・女子マラソン
Atletismo nos Jogos Olímpicos de Verão de 2016 - Maratona masculina,2016年リオデジャネイロオリンピックの陸上競技・男子マラソン
2016 no Brasil,2016年のブラジル
Tabatinga (Amazonas),タバチンガ
Vitória da Conquista,ヴィトリア・ダ・コンキスタ
Grande Prêmio do Brasil de 2016,2016年ブラジルグランプリ
Basquetebol em cadeira de rodas nos Jogos Paralímpicos de Verão de 2016,2016年リオデジャネイロパラリンピックの車いすバスケットボール競技
Natação nos Jogos Olímpicos de Verão de 2016 - 50 m livre masculino,2016年リオデジャネイロオリンピックの競泳競技・男子50m自由形
Natação nos Jogos Olímpicos de Verão de 2016 - 50 m livre feminino,2016年リオデジャネイロオリンピックの競泳競技・女子50m自由形
Revezamento da tocha dos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの聖火リレー
Equipe Olímpica de Refugiados nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックの難民選手団
Estádio de Deodoro,デオドロ競技場
Tênis nos Jogos Olímpicos de Verão de 2016 - Simples masculino,2016年リオデジャネイロオリンピックのテニス競技・男子シングルス
Polo aquático nos Jogos Olímpicos de Verão de 2016 - Masculino,2016年リオデジャネイロオリンピックの水球競技・男子
Tênis nos Jogos Olímpicos de Verão de 2016 - Duplas masculinas,2016年リオデジャネイロオリンピックのテニス競技・男子ダブルス
Tênis nos Jogos Olímpicos de Verão de 2016 - Duplas femininas,2016年リオデジャネイロオリンピックのテニス競技・女子ダブルス
Tênis nos Jogos Olímpicos de Verão de 2016 - Duplas mistas,2016年リオデジャネイロオリンピックのテニス競技・混合ダブルス
Conexão Metrô-Aeroporto,メトロ-アエロポルト連絡線
Parque Nacional da Serra do Gandarela,セーハ・ド・ガンダレラ国立公園
Tênis nos Jogos Olímpicos de Verão de 2016 - Simples feminino,2016年リオデジャネイロオリンピックのテニス競技・女子シングルス
Atletismo nos Jogos Olímpicos de Verão de 2016 - Salto em altura feminino,2016年リオデジャネイロオリンピックの陸上競技・女子走高跳
Cidade Perdida de Z,失われた都市Z
2017 no Brasil,2017年のブラジル
Liga Mundial de Voleibol de 2017,2017年FIVBバレーボール・ワールドリーグ
Atletismo nos Jogos Olímpicos de Verão de 2016 - 100 m feminino,2016年リオデジャネイロオリンピックの陸上競技・女子100m
Atletismo nos Jogos Olímpicos de Verão de 2016 - 800 m feminino,2016年リオデジャネイロオリンピックの陸上競技・女子800m
Atletismo nos Jogos Olímpicos de Verão de 2016 - 400 m masculino,2016年リオデジャネイロオリンピックの陸上競技・男子400m
Eleições gerais no Brasil em 2018,2018年ブラジル総選挙
Seleção Brasileira de Futsal,フットサルブラジル代表
Crise econômica brasileira de 2014,2014年から2017年のブラジル経済危機
Ilhas Faroé nos Jogos Paralímpicos de Verão de 2016,2016年リオデジャネイロパラリンピックのフェロー諸島選手団
Quadro de medalhas dos Jogos Paralímpicos de Verão de 2016,2016年リオデジャネイロパラリンピックでの国・地域別メダル受賞数一覧
Tênis de mesa nos Jogos Olímpicos de Verão de 2016 - Individual masculino,2016年リオデジャネイロオリンピックの卓球競技・男子シングルス
Quadro de medalhas dos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのメダル受賞数一覧
Atletismo nos Jogos Olímpicos de Verão de 2016 - Lançamento de martelo masculino,2016年リオデジャネイロオリンピックの陸上競技・男子ハンマー投
Atletismo nos Jogos Olímpicos de Verão de 2016 - 10000 m feminino,2016年リオデジャネイロオリンピックの陸上競技・女子10000m
Rugby em cadeira de rodas nos Jogos Paralímpicos de Verão de 2016,2016年リオデジャネイロパラリンピックの車いすラグビー競技
Tênis de mesa nos Jogos Olímpicos de Verão de 2016 - Individual feminino,2016年リオデジャネイロオリンピックの卓球競技・女子シングルス
Brasil nos Jogos Olímpicos de Inverno de 2018,2018年平昌オリンピックのブラジル選手団
