México,墨西哥
Isla San Pedro Nolasco,聖佩德羅諾拉斯科島
Valle de Zaragoza,巴耶-德萨拉戈萨自治区
Tamiahua,塔米亞瓦
San Pablo del Monte,圣巴勃罗德尔蒙特
Guazapares,瓜萨帕雷斯自治区
El Naranjo,埃爾納蘭霍 (聖路易斯波托西州)
línea 9 del Metro de la Ciudad de México,墨西哥城地鐵9號線
Línea A del Metro de la Ciudad de México,墨西哥城地鐵A線
línea B del Metro de la Ciudad de México,墨西哥城地鐵B線
Jocotitlán,霍科蒂特蘭
Municipio de Chacaltianguis,查卡尔蒂安吉斯
Diócesis de Tampico,天主教坦皮科教區
Diócesis de Tapachula,天主教塔帕丘拉教区
Diócesis de Tehuacán,天主教特瓦坎教區
Diócesis de Tenancingo,天主教特南辛戈教區
Chínipas,奇尼帕斯自治区
San Francisco de Borja,圣弗朗西斯科-德博尔哈自治区
Morelos,莫雷洛斯自治区
Ascensión,阿森松
Catorce,卡托爾塞
Saucillo,绍西约自治区
Tequisquiapan,德基斯基亞潘
Mina de Naica,奈卡礦坑
"Instituto Nacional de Astrofísica, Óptica y Electrónica",國家天文物理、光學與電子學研究所
Santa Rosalía,圣罗萨利亚
Diócesis de Gómez Palacio,天主教戈麥斯帕拉西奧教區
Diócesis de Colima,天主教科利馬教區
Diócesis de Córdoba,天主教科爾多瓦教區 (墨西哥)
Comalcalco,科馬爾卡爾科
Diócesis de Ecatepec,天主教埃卡提佩教區
Diócesis de Ensenada,天主教恩塞纳达教区
Broncos de Reynosa,雷諾沙野馬
Acereros de Monclova,蒙克洛瓦鐵人
Río Coatzacoalcos,夸察夸尔科斯河
Diócesis de Cuautitlán,天主教夸奧蒂特蘭教區
Diócesis de Culiacán,天主教庫利亞坎教區
Diócesis de Cuernavaca,天主教庫埃納瓦卡教區
Municipio de Aquila,阿基拉
Diócesis de Ciudad Victoria,天主教維多利亞城教區
Diócesis de Coatzacoalcos,天主教夸察夸爾科斯教區
Saraperos de Saltillo,薩爾蒂約瑟拉佩人
Guerreros de Oaxaca,瓦哈卡勇士
Vaqueros Laguna,拉古納牛仔
Olmecas de Tabasco,塔巴斯科奧爾梅克
Piratas de Campeche,坎佩切海盜
El Jorullo,霍魯約山
Minatitlán,米納蒂特蘭 (科利馬州)
Coalcomán de Vázquez Pallares,科阿尔科曼
Municipio de Tingüindín,丁金丁
Aeropuerto Internacional General Heriberto Jara,韋拉克魯斯州國際機場
Aeropuerto Internacional de Ciudad Acuña,阿庫尼亞國際機場
Cuerpo de Infantería de Marina,墨西哥海軍陸戰隊
Sitio de Puebla,普埃布拉战役
Municipio de Cuautla,夸奧特拉
Tenabo,特纳沃市镇
Desierto de monterrey,奇瓦瓦沙漠
Aeropuerto Internacional de la Ciudad de México,墨西哥城贝尼托·胡亚雷斯国际机场
Reserva de la biosfera de la Mariposa Monarca,莫那其蝴蝶生物圈保护区
Puerto Vallarta,巴亚尔塔港
San Francisco Ixhuatán,旧金山伊克瓦坦
San Francisco de Borja,圣弗朗西斯科-德博尔哈
Diócesis de Ciudad Valles,天主教巴耶斯城教區
Batopilas,巴托皮拉斯自治区
Diócesis de Ciudad Altamirano,天主教阿爾塔米拉諾城教區
Diócesis de Ciudad Guzmán,天主教古斯曼城教區
Diócesis de Lázaro Cárdenas,天主教拉薩羅卡德納斯教區
Diócesis de Ciudad Obregón,天主教奧夫雷貢城教區
Templo de la Ciudad de México,墨西哥墨西哥城聖殿
San Francisco Javier de Satevó,圣弗朗西斯科-哈维尔-德萨特沃
economía de México,墨西哥经济
Diócesis de San Cristóbal de las Casas,天主教聖克里斯托瓦爾-德拉斯卡薩斯教區
Diócesis de San Juan de los Lagos,天主教聖胡安德洛斯拉戈斯教區
Enchilada,安吉拉捲
Isla Montague,蒙塔古島
Tecolutla,特科盧特拉
Salina Cruz,薩利納克魯斯
Valle del Río Grande,里奧格蘭德山谷
Chihuahua,奇瓦瓦自治区
Diócesis de Mexicali,天主教墨西卡利教区
Diócesis de Nuevo Casas Grandes,天主教新大卡薩斯教區
Diócesis de Nuevo Laredo,天主教新拉雷多教區
Diócesis de Orizaba,天主教奧里薩巴教區
Diócesis de Parral,天主教帕拉爾教區
Diócesis de Apatzingán,天主教阿帕欽甘教區
Namiquipa,纳米基帕
Bachíniva,巴奇尼瓦
Corona Extra,科罗娜
Diócesis de Aguascalientes,天主教阿瓜斯卡連特斯教區
Diócesis de La Paz,天主教南下加利福尼亚的拉巴斯教区
Diócesis de Linares,天主教利納雷斯教區 (墨西哥)
Petróleos Mexicanos,墨西哥石油公司
Diócesis de Matehuala,天主教馬特瓦拉教區
Diócesis de Matamoros,天主教馬塔莫羅斯教區
Diócesis de Huajuapan de León,天主教瓦華潘德萊昂教區
Diócesis de Huejutla,天主教韋胡特拉教區
Diócesis de Irapuato,天主教伊拉普阿托教區
Naranjeros de Hermosillo,納蘭熱羅斯·德·埃莫西約
Aeropuerto Internacional General Rodolfo Sánchez Taboada,墨西卡利国际机场
Universidad de Colima,科利马大学
La Jornada,劳动报
Teotihuacan de Arista,聖胡安特奥蒂瓦坎
San Francisco de Conchos,孔乔斯河畔圣弗朗西斯科自治区
Ozumba,奥津巴
Municipio de Tolimán,托利曼
Distrito de Etla,埃特拉區
San Miguel el Alto,上圣米格爾
Aeropuerto Internacional Ángel Albino Corzo,圖斯特拉古鐵雷斯國際機場
Aeropuerto Internacional General Pedro José Méndez,Pedro J. Méndez將軍國際機場
Aeropuerto Internacional General Guadalupe Victoria,瓜達盧佩·維多利亞將軍國際機場
Aeropuerto Internacional General Francisco Javier Mina,坦皮科國際機場
Boca del Río,博卡德爾里奧 (韋拉克魯斯州)
Xalisco,哈利斯科
Felipe Carrillo Puerto,费利佩卡里略波多
lenguas de México,墨西哥語
Club de Fútbol Indios,华雷斯城印第奥斯
Diócesis de Valle de Chalco,天主教查爾科鎮教區
Diócesis de Veracruz,天主教韦拉克鲁斯教区
Diócesis de Zacatecas,天主教薩卡特卡斯教區
Diócesis de Zamora en México,天主教薩莫拉教區 (墨西哥)
Centro histórico de Morelia,莫雷利亚历史中心
Insurgentes,起义者大道站
Servicio Meteorológico Nacional,國家氣象局
Mexica,墨西加人
Diócesis de Piedras Negras,天主教彼德拉斯內格拉斯教區
Diócesis de Puerto Escondido,天主教埃斯孔迪多港教區
Diócesis de Querétaro,天主教克雷塔羅教區
Diócesis de Saltillo,天主教薩爾蒂約教區
Diócesis de San Andrés Tuxtla,天主教聖安德烈圖斯特拉教區
Colegio de la Santa Cruz de Tlatelolco,特拉特洛尔科圣克鲁斯学院
Municipio de Guerrero,格雷罗自治区
Rebelión de Fredonia,弗雷多尼亞之亂
Temascalapa,特馬斯卡拉帕
Papalotla,罂粟花
Laguna de Términos,特爾米諾斯潟湖
Otumba,奥托潘
Peña de Bernal,伯纳尔巨石
Madera,马德拉自治区
Lázaro Cárdenas,拉萨罗·卡德纳斯市镇
Municipio de San Lucas (Michoacán),圣卢卡斯市
Palacio Legislativo de San Lázaro,墨西哥國會大廈
Aeropuerto Nacional El Tajín,波薩里卡
Anexo:Municipios de Guanajuato,格雷羅州自治區
Arquidiócesis de Toluca,天主教托盧卡教區
Diócesis de Torreón,天主教托雷翁教區
Diócesis de Tula,天主教圖拉教區
Diócesis de Tuxpan,天主教圖斯潘教區
Diócesis de Tuxtepec,天主教圖圖特佩克教區
Parque Fundidora,芬迪多拉公園
San Felipe del Progreso,圣费利佩·德尔普罗格雷索
Escritura mixteca,米斯特文字
Metrobús,墨西哥城大巴士
neozapatismo,新萨帕塔主义
Anexo:Tiro en los Juegos Olímpicos de México 1968,1968年夏季奥林匹克运动会射击比赛
Coyame del Sotol,科亚梅-德尔索托尔自治区
Doctor Arroyo,阿羅約博士市
Masacre de Tlatelolco,特拉特洛尔科事件
México en la Copa Mundial de Fútbol de 1986,1986年世界杯足球赛墨西哥队
Instituto Nacional de Lenguas Indígenas,墨西哥國家原住民語言協會
Diócesis de Teotihuacan,天主教特奧蒂瓦坎教區
Diócesis de Tepic,天主教特皮克教區
Diócesis de Texcoco,天主教特斯科教區
Diócesis de Tlapa,天主教特拉帕教區
Diócesis de Tlaxcala,天主教特拉斯卡拉教區
Instituto Mexicano de Cinematografía,墨西哥電影協會
Instituto Nacional de Bellas Artes y Literatura,國家藝術總局
Instituto Tecnológico Autónomo de México,墨西哥管理學院
elecciones federales de México de 1952,1952年墨西哥大选
Centro Internacional de Mejoramiento de Maíz y Trigo,國際玉米和小麥改良中心
Othón P. Blanco,奧頓·P.布蘭科
Tulum,圖盧姆市
Bacalar,巴拉卡尔市镇
Municipio de Tepezalá,特佩萨拉 (市镇)
Mier y Noriega,米耶尔和诺列加
Allende,阿连德
Instituto Nacional de Antropología e Historia,國家人類學和歷史學研究所
Polotitlán,波兰-伊卢斯特拉恩
Ocuilan,欧克兰
lucha libre mexicana,墨西哥摔角
Emperador de México,墨西哥君主列表
Bolsa Mexicana de Valores,墨西哥證券交易所
Anexo:Diócesis latinas de México,墨西哥天主教教区列表
Tlacotalpan,特拉科塔尔潘
El Manatí,埃爾馬納蒂
Urique,乌里克自治区
Tepetitán,特佩提坦
Isla Mujeres,穆赫雷斯岛
Ángel de la Independencia,独立纪念柱
Municipio de Jalostotitlán,哈洛斯托蒂特兰
Catedral de Guadalajara,瓜达拉哈拉圣母升天圣殿主教座堂
Aeropuerto Internacional de Chetumal,切圖馬爾國際機場
Bacalar,巴拉卡尔
Municipio de Poncitlán,蓬西特蘭
Bádminton en los Juegos Panamericanos de 2011,2011年泛美運動會羽毛球比賽
Tequila Herradura,赫雷多雅集團
Campeonato Mundial de Voleibol Masculino de 1974,1974年世界男子排球錦標賽
Guadalupe,瓜达卢佩
Campeche,坎佩切市镇
Champotón,钱波通市镇
San José Mogote,圣何塞莫戈特
Escárcega,埃斯卡塞加市镇
Hidalgo,伊達爾戈站
Presa La Yesca,拉耶斯卡坝
Cerro de las Mesas,塞罗-德拉斯梅萨斯遗址
Puerto Escondido,埃斯孔迪多港
Mesa del Centro,墨西哥高原
Distrito de Zaachila,扎奇拉區
Distrito de Ejutla,埃胡特拉區
Uruachi,乌鲁阿奇自治区
Coronado,科罗纳多自治区
Camino Real de Tierra Adentro,皇家內陸大道
isla Contoy,孔托伊島
La Venta,拉本塔
Cuatro Ciénegas,四泉市
Sierra de Santa Ana,圣塔安娜山
Armada de México,墨西哥海軍
Santa Rosalía de Camargo,卡馬勾
Valles Centrales de Oaxaca,瓦哈卡谷
Elota,埃洛塔
Orden de Frailes Menores,方濟會小修士
San Nicolás de los Garza,聖尼古拉斯市
Área nuclear olmeca,奧爾梅克中心地帶
Sky México,天空墨西哥
Fuerzas de Liberación Nacional,国民解放军
Agua de Jamaica,洛神花茶
Horario del este de Norteamérica,北美东部时区
San Juan de los Lagos,圣胡安-德洛斯拉戈
Juchitán de Zaragoza,茱次丹薩拉戈薩
Final de la Copa América 1993,1993年美洲杯决赛
Empalme,恩帕尔梅
pandemia de gripe A (H1N1) de 2009-2010 en México,2009年H1N1流感大流行墨西哥情況
Parque nacional Cumbres del Ajusco,阿胡斯科山國家公園
Parque nacional Cerro de Garnica,加尼卡峰國家公園
Komchén,科姆琴
Muralismo,墨西哥壁畫運動
Cuautla,夸奧特拉
Tepito,特皮托
Miss Universo 2007,2007年度環球小姐比賽
Guadalajara-M. Hidalgo y Costilla,瓜達拉哈拉國際機場
Julimes,胡利梅斯
Calaca,卡拉維拉人偶
Pijijiapan,皮希希亚潘
Lambityeco,兰比提科
Gómez Palacio,戈麥斯帕拉西奧
Matanza de Acteal,Acteal大屠殺
Agencia Espacial Mexicana,墨西哥航天局
Distrito de Ocotlán,奧科特蘭區
Distrito de Tlacolula,特拉科盧拉區
Distrito de Zimatlán,齊馬特蘭區
Tratados de Teoloyucan,特奥洛尤坎条约
Torneo de Monterrey 2009 (individual femenino),蒙特雷
Casas Grandes,大卡萨斯
Municipio de Juárez,华雷斯自治区
Templo de las Inscripciones,铭文寺
Six Flags México,六旗墨西哥樂園
Cártel de Guadalajara,瓜達拉哈拉販毒集團
línea 7 del Metro de la Ciudad de México,墨西哥城地鐵7號線
San Miguel de Cozumel,圣米格尔德科苏梅尔
Región Costa Grande,哥斯達格蘭德
Carretera Federal 95,95号联邦公路
Museo del Templo Mayor,大神庙博物馆
Museo Tamayo Arte Contemporáneo,魯菲諾·塔馬約博物館
Ciudad Apodaca,阿波達卡
Bella Vista,贝亚维斯塔
Tenosique,特诺西克市镇
Coacalco de Berriozábal,科亞卡科
Izamal,伊萨马尔市镇
Homún,洪蒙市
Excélsior,至上报
Alameda Central,墨西哥城阿拉梅达中央公园
Organización Editorial Mexicana,墨西哥出版集團
Isabel la Católica,伊莎贝拉一世站
Balbuena,巴尔布埃纳站
Cuatro Caminos,四大街 (墨西哥城)
Cuauhtémoc,库奥特莫克站
Zócalo/Tenochtitlán,索卡洛站
Comitán de Domínguez,科米坦
Tren ligero de la Ciudad de México,霍奇米爾科輕鐵
Milpa Alta,米爾帕阿爾塔
China (México),奇納
Torneo Apertura 2012 (México),2012年至2013年墨西哥超級足球聯賽
Universidad Panamericana,汎美大學
Lázaro Cárdenas,拉薩羅卡德納斯
Turismo en México,墨西哥旅游
línea 3 del Metro de la Ciudad de México,墨西哥城地鐵3號線
Baluarte,巴鲁阿特河
Coahuila y Texas,科阿韋拉及德克薩斯州
Maní,马尼
Municipio de Dolores Hidalgo,多洛雷斯-伊达尔戈
Estadio Francisco I. Madero,弗朗西斯科·馬德羅體育場
Masacre de San Fernando de 2010,2010年聖費爾南多屠殺
Iztacalco,伊斯塔卡尔科区
Municipio de Penjamillo,米卻肯州
Metepec,梅特佩克
Tonalá,托納拉
terremoto de México de 1985,1985年墨西哥城大地震
churrigueresco,丘里格拉风格
Guerrero Negro,格雷罗内格罗
Parque nacional Nevado de Colima,科利馬雪山國家公園
Santa Catarina,聖卡塔琳娜
Acámbaro,阿坎巴罗
Torre Latinoamericana,拉丁美洲塔
Torre Ejecutiva Pemex,墨西哥石油公司總部大樓
Pantitlán,潘蒂特蘭站
Torres de Satélite,五支衛星巨塔
Santa María Colotepec,圣玛丽亚科洛特佩克自治区
San Juan Ozolotepec,圣胡安－奧索洛特佩克
Aeropuerto Internacional Lic. Adolfo López Mateos,墨西哥城/托魯卡
NEXUS,NEXUS卡
Cenote sagrado de Chichén Itzá,神聖之井
Metrorrey,蒙特雷地鐵
Estado Mayor Presidencial,總統衛隊 (墨西哥)
Parque nacional Insurgente Miguel Hidalgo y Costilla,拉馬克薩斯國家公園
Parque nacional Lagunas de Zempoala,森波阿拉潟湖國家公園
Parque nacional Los Mármoles,洛斯馬莫萊斯國家公園
Estadio Víctor Manuel Reyna,維克托·文奴爾·利拿球場
Tultepec,圖爾特佩克
Leones Negros de la Universidad de Guadalajara,瓜达拉哈拉大学俱乐部
Gran Telescopio Milimétrico,大型毫米波望遠鏡
Batalla de Buena Vista,布耶那維斯達戰役
Segunda División de México,墨西哥足球乙级联赛
Santa Fe,圣塔菲
Tampico Madero,坦皮科馬德羅
Sombrerete,松布雷特
Calakmul,卡拉克穆尔市镇
Isla del Carmen,卡門島
Xicotepec,布科特佩克
Cunduacán,昆杜阿坎
Terremoto de Oaxaca de 1999,1999年瓦哈卡地震
Arquidiócesis de Morelia,天主教莫雷利亞總教區
Puerto Aventuras,阿凡陀斯港
Delincuencia en México,墨西哥治安
Práxedis G. Guerrero,普拉塞迪斯希尔韦托-格雷罗自治区
Plan de Casa Mata,卡萨马塔计划
Autlán de Navarro,奥特兰
San Juan del Río,濱河聖胡安
Yaxuná,亚舒纳
Fresnillo,弗雷斯尼約
Salamanca,薩拉曼卡
Partido Socialdemócrata,墨西哥社会民主党
San Francisco del Oro,圣弗朗西斯科-德尔奥罗自治区
López,洛佩斯自治区
Atlautla,阿特劳特拉
Ciudad Madero,馬德羅城
Instituto Mexicano del Petróleo,墨西哥石油研究所
Librería Porrúa,博路亞書店
Jiutepec,休特佩克
Colonia Del Valle,科洛尼亞德爾瓦萊
Municipio de Jojutla,霍胡特拉
Palacio Postal,墨西哥邮政宫
Pedregal de San Ángel,佩德雷加尔公园
Iglesia católica en México,墨西哥天主教会
Aeropuerto Internacional Licenciado Jesús Terán Peredo,Lic. Jesús Terán Peredo國際機場
Municipio Martínez de la Torre,馬丁內斯德拉托雷
Ferromex,墨西哥鐵路
Aviación Naval Mexicana,墨西哥海軍航空兵
La Paz,拉巴斯
Loreto,洛雷托
Sultanes de Monterrey,蒙特雷蘇丹
Tepatitlán de Morelos,特帕蒂特蘭
Universidad Autónoma Metropolitana,大都会自治大学
Tepezalá,特佩萨拉
Calkiní,卡尔基尼市镇
Imperio purépecha,塔拉斯卡城邦
Río Yaqui,亚基河
Isla San Esteban,圣埃斯特万岛
El Rosario,罗萨里奥
Nuevo Casas Grandes,新大卡萨斯
San Juan Quiotepec,圣胡安奎托佩克
San Pedro Huamelula,圣佩德罗华梅卢拉
Santiago Astata,聖地亞哥·阿斯塔塔
Tepache,帖帕奇
Heroica Nogales,諾加萊斯
Monclova,蒙克洛瓦
Playa del Carmen,普拉亞德爾卡曼
Juárez,胡亞雷斯
Miguel Hidalgo,米格尔-伊达尔戈
Batopilas,巴托皮拉斯
Huetamo,韦塔莫
Ciudad del Carmen,卡門城
Distrito Centro,中心區
Saludo del Poder Negro en los Juegos Olímpicos de 1968,1968年黑人權力致敬事件
Mapimí,马皮米
Bolsón de Mapimí,马皮米洼地
Tapachula de Córdova y Ordóñez,塔帕丘拉
Ek Balam,埃克巴蘭
Córdoba,科爾多瓦
Heroica Guaymas,瓜伊馬斯
Allende,阿连德市
Xico,濟科
Aeropuerto Intercontinental de Querétaro,克雷塔罗国际机场
Aeropuerto Internacional Ponciano Arriaga,聖路易斯波托西市
Aeropuerto Internacional Ing. Alberto Acuña Ongay,阿尔贝托·阿库尼亚·翁盖国际机场
Cuautitlán,夸奧蒂特蘭
Balleza,巴耶萨自治区
Municipio de Dr. Belisario Domínguez,贝利萨里奥·多明格斯博士自治区
Gran Morelos,大莫雷洛斯自治区
Janitzio,哈尼齊奧島
Aeropuerto Internacional de Ixtapa-Zihuatanejo,印坦巴/芝華塔尼歐
eclipse solar del 8 de abril de 2024,2024年4月8日日食
Religión en México,墨西哥宗教
Escuela Nacional de Antropología e Historia,国立人类学与历史学校
Calavera de alfeñique,头骨
Nazas,纳萨斯
San Luis Río Colorado,聖路易斯里奧科羅拉多
Bahía de Chetumal,切圖馬爾灣
Navojoa,納沃華
Azcapotzalco,阿斯卡波察尔科区
Relaciones Argentina-México,阿根廷－墨西哥关系
Inmigración en México,移民到墨西哥
Bocoyna,博科伊纳自治区
Plaza de las Tres Culturas,三种文化广场
lista de Universidades en México,墨西哥大学列表
Región Huasteca,瓦斯特克文明
Villa de Álvarez,阿爾瓦雷斯鎮
Piedras Negras,彼德拉斯內格拉斯
Pedro Meoqui,佩德罗-梅奥基
Acuerdos de San Andrés,聖安德列斯协定
Ciudad Fernández,費南迪斯城
Tenis en los Juegos Panamericanos de 2011,2011年泛美运动会网球比赛
Boulevard Puerto Aéreo,机场大道站
Aeropuerto Internacional Playa de Oro,曼薩尼約國際機場
muro fronterizo Estados Unidos-México,美墨边界围栏
Taxco de Alarcón,塔斯科
Minatitlán,米納蒂特蘭
Aeropuerto Internacional General Leobardo C. Ruiz,薩卡特卡斯國際機場
Hecelchakán,埃塞尔查坎
Tlatilco,忒萊帝克
Ejército Constitucionalista,立宪军队
Meteorito Allende,阿連達隕石
Parras de la Fuente,帕拉斯-德拉富恩特
San Pedro Tapanatepec,聖佩德羅塔帕納特佩克
Arco Etrusco,伊特鲁里亚拱门
Río Pánuco1,帕努科河
Antara Polanco,安塔拉波蘭科
Club Atlas de Guadalajara,阿特拉斯足球俱乐部
Orizaba,奧里薩巴
Complejo Chicontepec,奇孔特佩克油田
Laguna de Catemaco,卡特馬科潟湖
Saucillo,绍西约
Parque nacional Arrecifes de Cozumel,科蘇梅爾礁國家公園
Municipio de Bachíniva,巴奇尼瓦自治区
Riego en México,墨西哥的灌溉
parque nacional Cumbres de Monterrey,蒙特雷山國家公園
Municipio de Tuxpan,圖斯潘
Minatitlán,米納蒂特蘭
Celestún,塞莱斯通
Selección de baloncesto de México,墨西哥國家男子籃球隊
Ciudad Hidalgo,伊達爾戈城
Tecámac,特卡馬卡
Municipio de Altotonga,阿尔托通加
Tonalá,托納拉
Banco Azteca,阿兹特克银行
Banco Chinchorro,班科克羅
Banco Nacional de Comercio Exterior,國家對外貿易銀行
Banderas monumentales de México,蒙特瑞旗杆
Municipio de Villa de Zaachila,萨奇拉镇
Azoyú,阿佐尤
Cuetzalan,库埃察兰
Acatlán de Osorio,阿卡特蘭-德奧索里奧
Apaseo el Alto,上阿帕塞奧
Volcán Bárcena,巴爾塞納火山
Ríoverde,里奧貝爾德 (聖路易斯波托西州)
Campeonato Nacional Abierto de México 2009,2009年墨西哥羽毛球國際賽
Campeonato Internacional de Badminton México 2010,2010年墨西哥羽毛球國際賽
selección de fútbol sub-23 de México,墨西哥U23
Universidad Autónoma de Baja California,下加利福尼亞自治大學
Universidad Autónoma de Chihuahua,奇瓦瓦自治大学
Universidad Autónoma de Tamaulipas,塔毛利帕斯州自治大學
Aviación del Noroeste,墨西哥西北航空
Tecate,特卡特
Cabo San Lucas,卡布聖盧卡斯
Aeropuerto Internacional de Loreto,洛雷托
Aeropuerto Nacional de Ciudad Constitución,憲法城機場
San Pedro Garza García,聖佩德羅加爾薩加西亞
municipio de México,墨西哥的市镇
Mulegé,穆萊赫
Rosarito,羅薩里多
Loreto,洛雷托
Poza Rica,波薩里卡
Cholula,乔卢拉
Valladolid,巴亚多利德
Premundial Femenino Concacaf de 2010,2010年中北美洲及加勒比海足球协会女子金杯赛
Área metropolitana de San Diego-Tijuana,聖地牙哥-蒂華納都市圈
Auditorio del Estado,禮堂體育館
Izamal,伊萨马尔
isla Mujeres,穆赫雷斯岛
Manuel Benavides,曼努埃尔-贝纳维德斯
Los Reyes Acaquilpan,洛斯雷耶斯阿卡基爾潘
Chilapa de Álvarez,奇拉帕
Corregidora,科雷希多拉
Silao,錫勞
Club Deportivo Estudiantes Tecos,特科斯大学生
Club Deportivo Irapuato,伊拉普阿托足球會
Tiburones Rojos de Veracruz,維拉克魯斯
Club Zacatepec,萨卡特佩克竞技
Ciudad Lerdo,萊爾多
Comitán de Domínguez,科米坦德多明格斯
Valle de Santiago,巴耶德聖地亞哥
Comonfort,科蒙福爾
Urique,乌里克
Chicoloapan,奇科洛阿潘
Chalco de Díaz Covarrubias,查爾科
Almoloya de Juárez,阿爾莫洛亞華雷斯
Apaseo el Grande,大阿帕塞奧
Tetecala,特特卡拉
Maxcanú,马克斯卡努市镇
Municipio de Jiménez,希门尼斯自治区
Matamoros,马塔莫罗斯自治区
Casas Grandes,大卡萨斯自治区
Ciudad Valles,巴耶斯城
Instituto Panamericano de Alta Dirección de Empresa,IPADE商学院
Lomas de Chapultepec,洛马斯德查普尔特佩克社区
Municipio La Antigua,拉安提瓜
Punta Allen,蓬塔阿倫
Pinotepa de Don Luis,皮诺特帕—德唐路易斯
Sierra Madre del Sur,南马德雷山脉
Bahía de Banderas,班德拉斯湾
Guadalupe,瓜達盧佩
Zona Metropolitana de Puebla,普埃布拉都會區
Ejido Punta Colonet,蓬塔科洛内特
Biblioteca Cervantina,塞萬提斯圖書館
Biblioteca Palafoxiana,帕拉福西亚那图书馆
Cabo Catoche,卡多切角
Heroica Caborca,卡波卡
Cacaxtla,卡卡斯特拉
Tacubaya,塔庫巴亞
San Andrés Tuxtla,圣安德烈斯－图斯特拉
Mérida,梅里達市鎮
Río Bravo (Tamaulipas),里奧布拉沃
Naco,納科
Delicias,德利西亚斯自治区
Heroica Ciudad de Tlaxiaco,特拉希亞科
Pátzcuaro,帕茨夸罗
Guerra de Bandidos,土匪战争
Barrios mágicos de Ciudad de México,神奇社區
Parque nacional Cascada de Basaseachi,巴薩賽奇瀑布國家公園
Basílica de Nuestra Señora de la Soledad,圣母七苦圣殿
basílica de Zapopan,萨波潘圣母像
Tepoztlán,特波斯特兰
Creel,克里爾
Lerma,萊爾馬
Suchiate,蘇恰特河
Tantoyuca,坦托尤卡
Zinacantepec,錫納坎特佩克
Matamoros,馬塔莫羅斯
San Martín Peras,聖馬丁佩拉斯
Santa María Huatulco,圣玛丽亚瓦图尔科
fronteras de México,墨西哥邊界
Zona de Tolerancia,男孩城
Valle de Chalco Solidaridad,查爾科鎮
Macuspana,馬庫斯帕納
Heroica Cárdenas,卡德納斯
San Luis de la Paz,聖路易斯德拉巴斯
Ojo de Agua (estado de México),奧霍-德阿瓜莊園
Campeón de Campeones,墨西哥冠军杯
Rosales,罗萨莱斯自治区
Panteras de Aguascalientes,阿瓜斯卡連特斯黑豹
Cusihuiriachi,库西维里亚奇自治区
Nuevo Casas Grandes,新大卡萨斯自治区
Huejotitán,韦霍蒂坦自治区
Glorieta de los Insurgentes,起义者环岛
Huimanguillo,維曼吉約
Nepantla de Sor Juana Inés de la Cruz,圣米格尔-内潘特拉
Soles de Mexicali,墨西卡利太陽
Catedral Basílica de León,光明圣母圣殿主教座堂
Huejotitán,韦霍蒂坦
Pluma Hidalgo (Oaxaca),普盧馬伊達爾戈
Tulancingo de Bravo,圖蘭辛戈
Las Margaritas,瑪格利塔
Delicias,德利西亞斯
Namiquipa,纳米基帕自治区
Municipio de Camargo,卡马戈自治区
Municipio de Manuel Benavides,曼努埃尔-贝纳维德斯自治区
Santa Bárbara,圣巴巴拉自治区
El Salto,埃爾薩爾托
Soledad de Graciano Sánchez,索萊達德格拉西亞諾桑切斯
Nicolás Romero,尼古拉斯羅梅羅
Movimiento al Socialismo,社會主義運動（墨西哥）
Orquesta Sinfónica Nacional,国家交响乐团
Mexicanal,墨西哥人電視臺
Policía Judicial Federal,墨西哥联邦司法警察
Centro Federal de Readaptación Social n.º 1,聯邦社會適應中心第1號监狱
Gobierno Federal de México,墨西哥聯邦政府
Félix U. Gómez (Metrorrey),菲力兹·乌勒斯提·戈麦斯站
Heroica Zitácuaro,錫塔夸羅
Ixtlahuaca,伊斯特拉瓦卡德拉永
Ciudad Hidalgo,伊達爾戈城
San Martín Texmelucan,聖馬丁特斯梅盧坎
Temósachic,特莫萨奇自治区
Cusihuiriachi,库西维里亚奇克
Estadio Centenario Los Mochis,百年紀念運動場 (洛斯莫奇斯)
Pénjamo,彭哈莫
Tlajomulco de Zúñiga,特拉霍穆爾科
Lagos de Moreno,拉戈斯德莫雷諾
Papantla,帕潘特拉
San Pedro Cholula,聖佩德羅喬盧拉
tepecano,泰佩卡诺语
Soto la Marina,索托拉馬里納
Centros de Transferencia Modal,换乘中心
F. C. Itzaes,伊察人足球俱乐部
Fondo Nacional para la Cultura y las Artes,墨西哥国家文化艺术基金
Santa Magdalena Jicotlán,圣玛格达莱娜-希科特兰
Princess Mundo Imperial,蒙多帝国公主饭店
Fernández Racing,费尔南德斯车队
Ferrocarril del Pacífico (México),墨西哥太平洋铁路
Ferrocarriles Unidos de Yucatán,尤卡坦聯合鐵路
Ferrocarriles Unidos del Sureste,东南联合铁路
Estadio Telmex de Atletismo,哈利斯科騎士體育場
Carretera Federal 185,墨西哥185号高速公路
Carretera Federal 200,墨西哥200号高速公路
Catedral de Ciudad Juárez,华雷斯城大教堂
Explosión de la Torre Ejecutiva Pemex,墨西哥石油公司总部大楼爆炸事故
política de visa de México,墨西哥簽證政策
Panteón de San Fernando,聖費爾南多萬神殿
Estadio Guasave 89,阿曼多·科里·雷森運動場
elecciones estatales del Estado de México de 2005,2005年墨西哥州州长选举
elecciones federales de México de 1824,1824年墨西哥大选
elecciones federales de México de 1828,1828年墨西哥大選
Bahía Asunción,巴伊亞亞松森
