Hebe Camargo,이비 카마르구
Éder Luiz Lima de Souza,에데르 루이스 리마 지 소자
Ada Pellegrini Grinover,아다 펠레그리니 그리노베르
Tutinha,Tutinha
Camila Rodrigues,카밀라 호드리게스
Rafael Costa,하파엘 코스타
Rafael Cruz Ojer,테드 크루즈
Chay Suede,샤이 수에지
Caio Gullane,카이우 굴라니
Dani Ornellas,다니 오르넬라스
Ricardo Goulart,히카르두 골라르트
Ricardo Kotscho,히카르두 코추
Daniel Dalcin,다니에우 다우싱
Daniel Dantas,다니엘 댄타스
Yū Kamiya,카미야 유우
Danilo Cruz,다닐루 다 크루스 올리베이라
Carlos Bolsonaro,카를루스 보우소나루
Ricardo Boechat,히카르두 보에샤트
Marcelo Ribeiro (ator),마르셀로 리베이로
Marco Pigossi,마르쿠 피고시
Rodrigo Hilbert,호드리구 이우베르트
Rubens Ricupero,후벵스 히쿠페루
Rodrigo Ely,호드리구 엘리
Rodrigo Fernandes Valete,호드리구 페르난지스 발레치
Roger Gaúcho,호제르 가우슈
Dias Toffoli,지아스 토폴리
Thiago Martins,치아구 마르칭스
Rubenilson Monteiro Ferreira,후베니우송 몬테이루 페헤이라
Diogo Vilela,지오구 빌렐라
Selmir dos Santos Bezerra,세우미르 두스 산투스 베제하
Armando Babaioff,아르만두 바바이오프
Arolde de Oliveira,아로우지 지 올리베이라
Sidarta Ribeiro,싯다르타 히베이루
Luiz Felipe Fonteles,루이스 펠리피 폰텔리스
Fernanda Souza,페르난다 소자
Bárbara Paz,바바라 파스
Douglas Santos,도글라스 산투스
Hugo Carvana,휴고 카바나
Joelisson Fernandes da Silva,조엘리손 페르난데스 다 시우바
Fluvia Lacerda,플루비아 라세르다
Flávia Garrafa,플라비아 가하파
Flávio Bolsonaro,플라비우 보우소나루
Gléguer,글레겔 졸진
Eryk Rocha,이리크 호샤
Jair Bolsonaro,자이르 보우소나루
Leonardo Henrique Santos de Souza,레오 미네이루
José Eduardo Cardozo,조제 에두아르두 카르도주
Henan Faria da Silveira,에낭 파리아 다 시우베이라
Fábio Porchat,파비우 포르샤트
Fábio Luís Santos de Almeida,파비우 루이스 산투스 지 아우메이다
Jeferson De,제페르송 지
Fernanda Andrade,페르난다 안드라지
Gabriel Wainer,가브리에우 와이네르
Felipe Amorim,펠리피 다 시우바 아모링
José Loreto,호세 로레토
Rildo de Andrade Felicissimo,히우두 지 안드라지 펠리시시무
Felipe Wu,펠리피 아우메이다 우
Juliano Cazarré,줄리아누 카자헤
Luiz Edson Fachin,이드송 파싱
Júlio Andrade,줄리오 안드라데
Jussara Freire,주사라 프레이리
Joaquim Nabuco,조아킹 나부쿠
Luiza Valdetaro,루이자 바우데타루
Luiza Ambiel,루이자 암비에우
Luiza Helena de Bairros,루이자 바이후스
Klara Castanho,클라라 카스타뉴
Marcelo Saback,마르셀루 사바크
Marcius Melhem,마르시우스 멜롕
Larissa Maciel,라리사 마시에우
Moisés Lima Magalhães,모이세스 리마 마갈량이스
Leandro Hassum,레안드루 아숭
Leandro Karnal,레안드루 카르나우
Marcos Pitombo,마르코스 피톤보
Marcia Tiburi,마르시아 치부리
Marcos Veras,마르쿠스 베라스
Murilo Ribeiro de Almeida,무릴루 드 알메이다
Marcélia Cartaxo,마르셀리아 카르타슈
Maria Clara Gueiros,마리아 클라라 게이루스
Maisa Silva,마이사 시우바
João Schmidt,주앙 슈미트
Manu Gavassi,마누 가바시
Lins Lima de Britto,린스 리마 지 브리투
Juliana Brizola,줄리아나 브리졸라
Juliana Paiva,줄리아나 파이바
Luciano do Valle,루시아누 두 발리
Neusinha Brizola,네우지냐 브리졸라
Manuela d'Ávila,마누엘라 다빌라
Pedro Barros,페드루 바후스
Ney Latorraca,네이 라토하카
Pedro Bromfman,페드로 브롬프만
Onyx Lorenzoni,오니스 로렌조니
Miguel Gustavo,미겔 구스타브
Robson Souza dos Santos,호브송 소자 두스 산투스
Perivaldo Lúcio Dantas,페리발두
Vanessa Barum,바네사 바룽
Suely Franco,수엘리 프랑쿠
Sophia Abrahão,소피아 아브라앙
Suzana Herculano-Houzel,수자나 허큘라노-하우젤 (Suzana Herculano-Houzel)
Sueli Carneiro,수엘리 카르네이루
Rogério Márcico,호제리우 마르시쿠
Roger Agnelli,로저 아녤리
Rogerio Prateat,호제리우 프라테아트
Quitéria Chagas,키테리아 샤가스
Projota,프로조타
Rosamaria Murtinho,호자마리아 무르치뉴
Rafael Berger,하파에우 베르게르
Nicanor de Carvalho,니카노르 지 카르발류
Paulinho Boca de Cantor,파울리뉴 보카 지칸토르
Rui Costa,후이 쿠스타 두스 산투스
Rebeca Andrade,레베카 안드라데
Paulo César de Souza,파울로 세자르 데 쏘우자
Tetê Espíndola,테테 이스핀돌라
Thalita Carauta,탈리타 카라우타
Theodoro Cochrane,테오도루 코시라니
Thelmo Fernandes,테르 모 페르난데스
Tiago Cipreste Pereira,치아구 시프레스치 페레이라
Paulo Silvino,파울루 시우비누
Wesley Alex Maiolino,웨즐레이 알레스 마이올리누
Índio do Buraco,구덩이의 남자
Thalles Lima de Conceição Penha,탈리스 리마 지 콘세이상 페냐
Toninho Moura,토니뉴 모라
Rincon Sapiencia,힝콩 사피엔시아
Ricky Tavares,리키 타바레스
Ronaldo Marques Sereno,호나우두 마르퀘스 세레노
Tony da Gatorra,토니 다가토하
Wallace,월러스
Júnior Caiçara,주니오르 카이사라
Danilo Soares,다닐루 소아리스
Gabriela Cé,가브리엘라 세
Carlos Alberto Carvalho da Silva Júnior,카를루스 아우베르투 카르발류 다 시우바 주니오르
Yago Pikachu,야구 피카슈
Adriano Pardal,아드리아누 파르다우
Diego Carlos Santos Silva,지에구 카를루스
Fernando Karanga,페르난두 카랑가
Leandro Pereira,레안드루 페레이라
Josiel Alves de Oliveira,조시에우 아우베스 지 올리베이라
Jemerson,제메르송
Diogo Acosta,지오구 다 시우바 파리아스
Douglas Coutinho,도글라스 코치뉴
Matheus Pereira,마테우스 페레이라
Léo Cittadini,레우 시타지니
José Viana de Oliveira Paula,젤리투 비아나
Paulo Victor de Menezes Melo,파울리뉴
Silvinho,시우비우 주니오르
Ana Braga,아나 브라가
Bethe Correia,베치 코헤이아
Bruno Cardoso Gonçalves Santos,브루누 카르도수 곤사우베스 산투스
Bonifácio José Tamm de Andrada,보니파시우 지안드라다
Sérgio Ricardo dos Santos Júnior,세르지우 히카르두 두스 산투스 주니오르
Bruno Fagundes,브루노 파군데스
Thiago Elias do Nascimento Silva,티아구 일리아스 두 나시멘투 시우바
Marlene José Bento,마를레니 조제 벤투
Andréa dos Santos Teixeira,안드레아 테이셰이라
Giovanna Lancellotti,조반나 란첼로티
Beto Fuscão,베투 푸스캉
Bernardo Velasco,베르나르두 벨라스쿠
Ana Carolina da Silva,아나 시우바
Barbara Fialho,바르바라 피알류
Sérgio Antônio Soler de Oliveira Júnior,세르지우 안토니우 솔레르 지 올리베이라 주니오르
Reiner Ferreira,헤이네르 페헤이라
Cícero Moraes,시세로 모라에스
Felipe Gedoz,펠리피 제도스
Antônio Fragoso,안토니우 프라고주
Marcio Takara,마르시우 다카라
Djairo Guedes de Figueiredo,자이루 게지스 지피게이레두
Gilberto Moraes Junior,지우베르투 주니오르
Malcom Filipe Silva de Oliveira,마우콩
Maria João,마리아 조 아우
Nathan Allan de Souza,나당 알랑 지 소자
Fernando Henrique da Conceição,페르난지뉴
Luan Silva,루안 실바
Roberto Azevêdo,호베르토 아제베두
Carlos Eduardo Alves Albina,카를루스 에두아르두 아우베스 아우비나
Luan Guilherme de Jesus Vieira,루앙 비에이라
Paula Gonçalves,파울라 크리스치나 곤사우베스
Clèmerson Merlin Clève,클레메르송 메를링 클레비
Pedro Cardoso,페드로 카도소
Mel Maia,메우 마이아
Armando da Silva Martins,아르만두 다시우바 마르칭스
Clóvis Maméde,클로비스 마메지
Lucas Lucco,루카스 루쿠
Caio Manhente,카이우 마녠치
Anitta,아니타
Gabriel Barbosa,가브리엘 바르보사
Gabriel Paulista,가브리엘 파울리스타
Éderson Alves Ribeiro Silva,에데르송 아우베스 히베이루 시우바
Caio Lucas Fernandes,카이우 루카스 페르난지스
Robert Kenedy Nunes do Nascimento,호베르트 케네지
Maria Casadevall,마리아 카자데바우
Cristovam Roberto Ribeiro da Silva,크리스토방 호베르투 히베이루 다 시우바
Ludmilla,루드밀라
Pocah,포카
Catharina Choi,최송이
William Barbio,윌리엄 바비오
Victor Vinícius Coelho dos Santos,비치뉴
Larissa Oliveira,라리사 올리베이라
Willyan da Silva Barbosa,윌리앙 다 시우바 바르보자
Wendell Nascimento Borges,웬데우 나시멘투 보르지스
Farley Vieira Rosa,파를리 비에이라 호자
Ryder Matos Santos,히데르 마투스
Lucas Lima,루카스 리마
Alex Telles,알렉스 텔레스
Ricardo Lucarelli de Souza,히카르두 루카렐리
Alcir de Oliveira Fonseca,아우시르 지 올리베이라 폰세카
Leandro Narloch,레안드루 나를로시
Carlos Eduardo Bendini Giusti,카를루스 에두아르두 벤지니 지우스치
Marcus Vinicius D'Almeida,마르쿠스 비니시우스 다우메이다
Rodrigo Paraná,호드리구 도밍구스 두스 산투스
Maurício Borges Almeida Silva,마우리시우 보르지스 시우바
Fábio Virginio de Lima,파비우 비르지니우 데 리마
Joaquim Levy,조아킹 레비
Octávio Merlo Manteca,옥타비우
Daniela Braga,다니엘라 브라가
Fábio Ferrari Porchat de Assis,파비우 페하리 포르샤트 지아시스
Wellington Daniel Bueno,웰링통 다니에우 부에누
Gerson Santos da Silva,제르송 산투스 다 시우바
Qusai Ali Al Farsi,세자르 페르난두 시우바 두스 산투스
Aldo Baldin,아우두 바우징
Alexandre Gama,알렉산드레 가마
Stefano Pinho,스테파누 피뉴
Auro,아우루 아우바루 다 크루스 주니오르
Luiz Eduardo dos Santos Gonzaga,루이스 에두아르두 두스 산투스 곤자가
Cauly Oliveira Souza,카울리 올리베이라 소우자
Luis Lobianco,루이스 로비앙코
Artur Vieira,아르투르 비에이라
Ricardo Lopes,히카르두 로페스
Lexa,렉사
Jimmy Durano,지미 듀레이노
Rainer Cadete,하이네르 카데치
Rafael Lima Pereira,하파에우 리마 페레이라
Ítalo Ferreira,이탈루 페헤이라
Rodolfo de Almeida Guimarães,호도우푸 지 아우메이다 기마랑이스
Milton Mendes,미우통 멘지스
Nathaly Kurata,나탈리 쿠라타
Wanderson Ferreira de Oliveira,완데르송 페헤이라 지 올리베이라
Yago Moreira Silva,야구 모레이라 시우바
Wanderson Carvalho de Oliveira,완데르송 카르발류 지 올리베이라
Ricardo Galvão,히카르두 가우방
Macris Carneiro,마크리스 카르네이루
Danilo Barbosa da Silva,다닐루 바르보자 다 시우바
Lukian Araújo de Almeida,루키앙 아라우주 지 아우메이다
Alisson Becker,알리송 베케르
Rosamaria Montibeller,호자마리아 몬치벨레르
Rafael da Silva,하파에우 다 시우바
Beatriz Zaneratto João,베아트리스 자네라투 주앙
Rafael Vitti,라파엘 비티
Rafael Ratão,하파에우 하탕
Sérgio Guizé,세르지우 기제
Allan Rodrigues de Souza,알랑 호드리게스 지 소자
Thomas Kuc,토마스 쿠크
Fellipe Bertoldo,펠리프 베르톨두
Niltinho,니우통 소아레스 호드리게스
Richarlison,히샤를리송
Samira Fernandes,사미라 페르난지스
Adaílton dos Santos da Silva,아다이우통 두스 산투스 다 시우바
Jonatas Belusso,조나타스 벨루수
Eduardo Bolsonaro,에두아르두 보우소나루
Crysan Queiroz Barcelos,크리장
Erik Nascimento Lima,에리크 리마
Jailson Marcelino dos Santos,자이우송 마르셀리누 두스 산투스
Felipe Dorta,펠리피 마르칭스 도르타
Diana Abla,지아나 아블라
Charles Chibana,찰스 치바나
Ederson Santana de Moraes,이데르송 모라이스
Carolina Meligeni Alves,카롤리나 멜리제니 아우베스
Bruno Cunha Cantanhede,브루노 칸탄하데
Anderson José Lopes de Souza,안데르송 로페스
João Olivir Gabardo,주앙 올리비르 가바르두
Joelinton Cassio Apolinário de Lira,조엘린통
Marcelo Goiano,마르셀루 고이아누
Matheus Pereira da Silva,마테우스 페레이라
Allano,알라누
Jorge Marco de Oliveira Moraes,조르지 마르쿠 지 올리베이라 모라에스
Murilo Henrique Pereira Rocha,무릴루 엔리키 페헤이라 호샤
Everton Sousa Soares,에베르통 소아리스
Sergio Moro,세르지우 모루
Paula Gaitán,파울라 가이탕
Douglas Willian da Silva Souza,도글라스 탄키
Rita Elmôr,히타 이우모르
Laura Rizzotto,라우라 히조투
Enedina Alves Marques,이네지나 아우베스 마르케스
Ricardo César Dantas da Silva,히카르두 세자르 당타스 다시우바
Camila Márdila,카밀라 마르질라
Edinho Silva,이지뉴 시우바
Pedro Henrique de Santana Almeida,페드루 엔히키 지 산타나 아우메이다
Tainá Mayara da Paixão,타이나 파이샹
Ronan Jerônimo,호낭 다비드 제로니무
Gustavo Scarpa,구스타부 스카르파
Rômulo José Pacheco da Silva,호물루 조제 파셰쿠 다 시우바
Gabriel Fernando de Jesus,가브리에우 제주스
Isabella Santoni,이자벨라 산토니
Luiz Henrique Mandetta,루이스 엔히키 만데타
Julia Dalavia,줄리아 달라비아
Pabllo Vittar,파블루 비타르
Whindersson Nunes,윈데르송 누니스
Camila Queiroz,카밀라 케이로스
Carlos Gorito,카를로스 고리토
Romarinho,호마링요
Ronielson da Silva Barbosa,호니에우송 다 시우바 바르보사
Willian Popp,윌리앙 포프
Matheus Lisboa,마테우스 리스보아
Caio César da Silva Silveira,카이오 세사르
Helga Nemeczyk,에우가 네메치크
Lucas Mineiro,루카스 미네이루
Bruno Nunes,브루누 페르난지스 누니스
João Pedro Gebran Neto,주앙 페드루 제브랑 네투
Raphael Dias Belloli,하파에우 지아스 벨롤리
Liniker,리니카
Igor Julio dos Santos de Paulo,이고르 줄리우
Dalbert Henrique,다우베르트 엔히크
Marcos Vinicius Amaral Alves,마르쿠스 비니시우스 아마라우 아우베스
Gustavo Sauer,구스타부 사우에르
Marília Mendonça,마릴리아 멘돈사
Walterson Silva,바우테르송 시우바
Maicon de Andrade,마이콩 시케이라
Danilo das Neves Pinheiro,체체
Vinicius Júnior,비니시우스 주니어
Sandro Lima,산드루 리마
Bruno Lamas,브루노 라마스
Matheus Oliveira Santos,마테우스 올리베이라 산투스
Danilo Almeida Alves,다닐루 아우메이다 아우비스
Renato Kayzer de Souza,헤나투 카이제르 지 소자
Marquinhos Trad,마르키뉴스 트라드
Hygor Cleber Garcia Silva,이고르 클레베르 가르시아 시우바
Fernando Viana,페르난두 비아나
Andrigo,안드리구 올리베리아 지 아라우주
Bruno Baio,브루누 바이우
Douglas Luiz Soares de Paulo,더글라스 루이스
Jadson,자드송
Bruna Hamú,브루나 아무
Osman,오즈망 주니오르
Filipe Matzembacher,필리피 마트젬바케르
Bernardo Fernandes da Silva Junior,베르나르두 페르난지스 다 시우바 주니오르
Bo Bichette,보 비솃
José Coelho de Souza,주앙 코엘료 더 소우자
Mauro Job Pontes Júnior,마우루 조브 폰치스 주니오르
José Calasans,José Calasans
Wagner da Silva Souza,바기니뉴
Ricardo Nezinho,히카르두 네지뉴
Felipe Meligeni Alves,펠리피 멜리제니 아우베스
Leonardo Kalil Abdala,레오나르두 카리우 아브달라
Andrew Eric Feitosa,안드레우 에리크 페이토사
Gabriel dos Santos Magalhães,가브리에우 두스 산투스 마갈량이스
Ava Rocha,아바 호샤
Daniel Cargnin,다니에우 카르그닝
Djamila Ribeiro,자밀라 히베이루
Bruno Viana Willemen da Silva,브루노 비아나
Melody,멜로디
Deltan Dallagnol,데우탕 달라그노우
Éder Militão,에데르 밀리탕
Gustavo Henrique Sousa,구스타부 엔히키 다 시우바 소우자
Lucas Tolentino Coelho de Lima,루카스 파케타
Francisco Hyun-sol Kim,김현솔
Thiago Jefferson da Silva,치아구 제페르송 다 시우바
Wenderson Galeno,갈레누
Emerson Aparecido Leite de Souza Junior,이메르송 로얄
Iza,이자
David Neres,다비드 네리스
Bruno Gadiol,브루노 가디올
André Luiz Frambach,안드레 프람바시
Silvero Pereira,시우베루 페레이라
André Luis,안드레 루이스
Eike Duarte,아이케 두아르테
Leonardo Nascimento Lopes de Souza,레오나르두 나시멘투 로페스 지 수자
Jucimar José Teixeira,주시마르 조제 테이셰이라
Ana Hikari,아나 히카리
Luísa Sonza,루이자 손자
Henrique Zaga,엔리케 자가
Rogério,호제리우 올리베이라 다 시우바
Dandara Mariana,단다라 마리아나
Karine Teles,카리네 텔레스
Mailson Francisco de Farías,마이우송 프란시스쿠 지 파라이스
Hamilton Mourão,아미우통 모랑
Cynthia Aparecida,신시아 세네크
Wanderson de Macedo Costa,완데르송 지 마세두 코스타
Carlos Vinícius Alves Morais,카를루스 비니시우스
Valentina Sampaio,발렌티나 삼파이우
Matheus Cunha,마테우스 쿠냐
Gloria Groove,글로리아 그루브
Luisa Arraes,루이자 아하이스
Naomi Munakata,무나카타 나오미
Marcos Serrato,마르코스 세라토
Bruno da Silva Costa,브루누 다 시우바 코스타
Tom Karabachian,통 카라바시앙
Gleison Bremer Silva Nascimento,글레이송 브레메르
Thiago Seyboth Wild,치아구 세이보트 위우드
Eduardo Gabriel Aquino Cossa,페페
Arthur Henrique Ramos de Oliveira Melo,아르투르 멜루
Renan Lodi,헤낭 로지
Arthur Mendonça Cabral,아르투르 카브라우
Kaio Jorge,카이우 조르즈
Wilson José Witzel,위우송 위체우
Danilo Pereira da Silva,다닐루
Francisco Edson Moreira da Silva,이지뉴
Roger Ibañez da Silva,호제르 이바녜스
Rahima Dirkse,라히마 아일라 디르크서
MC Fioti,엠씨 피오티
Yara Charry,야라 샤리
Rodrigo Nascimento França,호드리구 베캉
Rodrigo Maranhão,호드리구 마라냥
Léo Ortiz,레오 오르티즈
Pedro Guilherme Abreu dos Santos,페드루
Jessica Alves,제시카 알베스
Rodrygo Góes,호드리구 고이스
Mateus Cardoso Lemos Martins,테테
Oriovisto Guimarães,오리오비스투 기마랑이스
Bruno Guimarães,브루누 기마랑이스
Laryssa Ayres,라리사 아이리스
Carlos Augusto,카를루스 아우구스투
Gustavo Vintecinco,구스타부 빈치싱쿠
Gabriel Teodoro Martinelli Silva,가브리엘 마르티넬리
Éderson José dos Santos Lourenço da Silva,에데르송
Carla Zambelli,카를라 잠벨리
Antony Matheus dos Santos,안토니
Yago César,야구 세자르 다 시우바
Felipe de Sousa Silva,펠리피 지 소우자 시우바
Davi de Oliveira Pinheiro,다비 데 올리베이라 피네이로
Damares Alves,다마리스 아우베스
Henry Bugalho,엔히 부갈류
Leonardo Coelho Santos,레오나르두 코엘류 산투스
Marcella Bragio,마르첼라 브라기오
Paula Mourão,파울라 모랑
Odijas Carvalho de Souza,오지자스 카르발류 지소자
Larissa Albuquerque,라리사 알부케르케
Aldo Parisot,알도 패리소
João Pedro Junqueira de Jesus,주앙 페드루
Reinier Jesus Carvalho,헤이니에르 제주스
Ricardo Milos,히카르두 밀루스
Rayssa Leal,하이사 레아우
Bela Fernandes,벨라 페르난데스
Vitor Gabriel,비토르 가브리에우 클라우지누 헤구 페헤이라
Jurema Werneck,주레마 웨르네크
Giulia Be,지울리아 비
Careca,하이안데르송 다 코스타 모라이스
Igor Paixão,이고르 파이샹
Thati Lopes,타치 로페스
Rayssa Teixeira,하이사 테이셰이라
Natália Araújo,나탈리아 아라우주
Igor Jesus Maciel da Cruz,이고르 제주스
Tainara Lemes Santos,타니아라 산투스
Kelvin Hoefler,케우빙 호플레르
Hebert Conceição,에베르트 콘세이상
Lucio Luiz,루시오 루이스
Samuel Lino,사무엘 리누
Vinicius Souza,비니시우스 소자
Fabio Wajngarten,파비우 바잉가르텡
Angélica Santos,안젤리카 산투스
Sávio Moreira de Oliveira,사비우
Jessica Senra,제시카 센라
Tardeli Barros Machado Reis,바로스 타르델리
Rodrigo Bassani,바사니
Raphael Utzig,하파에우 쇼어 우치히
Junior Messias,주니오르 메시아스
Matheus Pato,마테우스 파투
Francisco Evanilson de Lima Barbosa,이바니우송
Gabriel Ramos da Penha,가브리에우 하무스 다 페냐
Paulo Paulino Guajajara,파울로 파울리노 구아자라
Gabriel Veron,가브리에우 베론
Danilo dos Santos de Oliveira,다닐루
Flavio Soares,플라비오 소아레스
Natan Bernardo de Souza,나탕
Yan Couto,얀 코투
Ângelo Gabriel,안젤루 가브리에우
Fessin (futebolista),제페르송 가브리에우 나시멘투 브리투
Victor Bobsin,빅토르 보브싱 페레이라
Marcelo Pitaluga,마르셀루 피탈루가
João Victor Gomes da Silva,주앙 고메스
Ivo Storniolo,Ivo Storniolo
André Trindade,안드레
Jefferson Galego,제페르송 페르난두 이시디우
Luiz Henrique André Rosa da Silva,루이스 엔히키
Tiago Pereira da Silva,티아고 오로보
Marcos Leonardo Santos Almeida,마르쿠스 레오나르두
João Vitor Xavier de Almeida,샤비에르
Paulo Marinho,파울루 마리뉴
Morato (futebolista),펠리피 호드리기스 다 시우바
Yasmin Bachour,야스민 바쿠어
Marcelo Valle Silveira Mello,Marcelo Valle Silveira Mello
Anderson Canhoto,안데르송 카르도수 지 캄푸스
Hernandes,에르난지스 호드리게스 다 시우바
Luan Rodrigues,루안 로드리게스
Matheus Nunes,마테우스 누네스
Andrey Santos,안드레이 산투스
Vanderson de Oliveira Campos,반데르송
Antonia Leonora Van der Meer,안토니아 반 데르 미어
Thelma Assis,델마 어시스
Matheus França,마테우스 프랑카
Ana Cristina de Souza,아나 크리스치나 지소자
Marcus Vinicius Oliveira Alencar,마르키뉴스
Nyeme Costa,니에미 코스타
Adriane Lopes,아드리안 로페스
Vinicius Tobias,비니시우스 토비아스
Vanderlan,반데를랑
Bruno Pereira,브루노 페레이라
Eduardo Riedel,에두아르두 히에데우
Endrick Felipe,엔드리키 펠리피
Lucas Beraldo,루카스 베랄두
Deivid Washington,데이비드 워싱턴
Julia Kudiess,줄리아 쿠지에스
Fred Nicácio,프레드 니카시오
Robert Renan,호베르치 헤낭
Raphael Sander,라파엘 샌더
Luís Guilherme,루이스 길례르미
Pablo Maia,파블로 마이아
Estevão Willian,에스테반 윌리앙
Vitor Roque,비토르 호케
Bruno Campos,브루누 캄푸스
Isnairo Reis Silva Morais,이스나이루 헤이스 시우바 모라이스
