九龍塘,가우룽통
西昌市,시창시
临淄区,린쯔구
冈仁波齐峰,카일라스산
邹平市,쩌우핑시
邹城市,쩌우청시
全国公安工作信息化工程,금순공정
察哈尔右翼中旗,차하얼 우익중기
上海图书馆,상하이 도서관
瓦房店市,와팡뎬시
敖汉旗,아오한 기
中国人民解放军北京军区,베이징 군구
景东彝族自治县,징둥 이족 자치현
通川区,퉁촨구
苏州国际金融中心,쑤저우 IFS
平塘县,핑탕현
贡山独龙族怒族自治县,궁산 두룽족 누족 자치현
金口河区,진커우허구
市中区·(乐山市),스중구 (러산시)
马边彝族自治县,마볜 이족 자치현
罗甸县,뤄뎬현
中国西北地区,시베이
西峰区,시펑구
孟连傣族拉祜族佤族自治县,멍롄 다이족 라후족 와족 자치현
富县,푸현 (옌안시)
市中区·(内江市),스중구 (네이장시)
平川区,핑촨구
华亭市,화팅시
柳北区,류베이구
汉滨区,한빈구
黄龙县,황룽현
西和县,시허현
杨陵区,양링구
康乐县,캉러현
临渭区,린웨이구
卫辉市,웨이후이시
应城市,잉청시
铁力市,톄리시
陇西县,룽시현
临潭县,린탄현
西乡塘区,시샹탕구
江南区·(南宁市),장난구
玉泉区,위취안구
武冈市,우강시 (사오양시)
新沂市,신이시 (쉬저우시)
禹州市,위저우시
嫩江市,넌장시
左云县,쭤윈현
左权县,쭤취안현
阿克赛钦,악사이친
遵化市,쭌화시
播州区,보저우구
少林寺,소림사
北京第二外国语学院,베이징 제2외국어 대학
耿马傣族佤族自治县,겅마 다이족 와족 자치현
西盟佤族自治县,시멍 와족 자치현
香港電台,홍콩라디오텔레비전
宜川县,이촨현 (옌안시)
印江土家族苗族自治县,인장 투자족 먀오족 자치현
思南县,쓰난현
丽江古城,리장 고성
世界科幻大会,월드콘
云安区,윈안구
牡丹江,무단강
厦门大学,샤먼 대학
山东航空,산둥 항공
中国共产党中央委员会宣传部,중국공산당 중앙선전부
甘泉县,간취안현
隆德县,룽더현
旬邑县,쉰이현
商南县,상난현
香港政治,홍콩의 정치
2008年夏季奧林匹克運動會跳水比賽—男子3米彈板,2008년 하계 올림픽 다이빙 남자 3m 스프링보드
2008年夏季奧林匹克運動會跳水比賽—女子10米高臺,2008년 하계 올림픽 다이빙 여자 10m 플랫폼
郧西县,윈시현
敦煌莫高國際機場,둔황 공항
礼泉县,리취안현
康县,캉현
石泉县,스취안현
甘谷县,간구현
略阳县,뤠양현
凤翔区,펑샹구
彭阳县,펑양현 (구위안시)
金塔县,진타현
石拐区,스과이구
泾阳县,징양현
平利县,핑리현
兴庆区,싱칭구
始兴县,스싱현
普宁市,푸닝시
瓮安县,웡안현
芦山县,루산현 (야안시)
荥经县,잉징현
金凤区,진펑구
赛罕区,싸이한구
回民区,후이민구
新城区·(呼和浩特市),신청구 (후허하오터시)
瑪旁雍錯,마나사로와르호
中国美术馆,중국미술관
北京地铁,베이징 지하철
青藏铁路,칭짱 철로
平遥县,핑야오현
第二次世界大战对日战争胜利纪念日,대일 전승 기념일
孔林,공림
达川区,다촨구
中华人民共和国外交部,중화인민공화국 외교부
中国国家棒球队,중국 야구 국가대표팀
大安区·(自贡市),다안구 (쯔궁시)
雷峰塔,뇌봉탑
毛主席纪念堂,마오주석 기념당
汾河,펀허
洪泽湖,훙쩌호
九华山,주화산
中国民主同盟,중국 민주 동맹
原州区,위안저우구 (구위안시)
南郑区,난정구
东河区,둥허구
民乐县,민러현
宁县,닝현
惠农区,후이눙구
昆都仑区,쿤두룬구
静宁县,징닝현
乾县,첸현
广河县,광허현
麦积区,마이지구
环县,환현 (칭양시)
环江毛南族自治县,환장 마오난족 자치현
和平县,허핑현
惠来县,후이라이현
曲江区,취장구 (사오관시)
新丰县,신펑현 (사오관시)
广南县,광난현
西畴县,시처우현
马关县,마관현
富宁县,푸닝현 (원산)
北京太庙,태묘
愉園體育會,해피밸리 AA
九龍,가우룽
夹江县,자장현
阜康市,푸캉시
庐山,루산
旅顺口区,뤼순커우구
阿鲁科尔沁旗,아루커얼친 기
繁峙县,판스현
2008年夏季奧林匹克運動會女子400米混合泳比賽,2008년 하계 올림픽 수영 여자 400m 개인혼영
嵩明县,쑹밍현
阿拉尔市,아라얼시
罗霄山脉,뤄샤오산맥
哈尔滨太平国际机场,하얼빈 타이핑 국제공항
伊吾县,이우현 (신장 위구르 자치구)
青島流亭國際機場,칭다오 류팅 국제공항
大东区,다둥구
信興廣場,션힝 스퀘어
和田市,호탄시
松山区·(赤峰市),쑹산구 (츠펑시)
泸沽湖,루구호
金湾区,진완구
沙坡头区,사포터우구
澳門威尼斯人,베니션 마카오
盐池县,옌츠현
岷县,민현 (딩시시)
大城县,다청현
临泽县,린쩌현
同心县,퉁신현
瓜州县,과저우현
华池县,화츠현
港北区·(贵港市),강베이구
茫崖市,망야시
襄城区,샹청구 (샹양시)
唐古拉山脉,탕구라산맥
南京条约,난징 조약
大关县,다관현
大港区·(天津市),다강구
大观区,다관구
大化瑶族自治县,다화 야오족 자치현
大方县,다팡현
塔里木河,타림강
中國香港足球總會,홍콩 축구 협회
大柴旦行政委员会,다차이단 행정위원회
三反五反运动,삼반 오반 운동
大巴山,다바산맥
陕甘宁盆地,오르도스고원
冷湖行政委员会,렁후 행정위원회
玛曲县,마취현
富川瑶族自治县,푸촨 야오족 자치현
柳南区,류난구
通渭县,퉁웨이현
鄂托克旗,어퉈커 기
大别山,다볘산맥
大埔县,다부현
准噶尔盆地,중가르 분지
大厂回族自治县,다창 후이족 자치현
焉耆,카라샤르
2010年亚洲运动会,2010년 아시안 게임
白云区·(贵阳市),바이윈구 (구이양시)
2014年夏季青年奧林匹克運動會,2014년 하계 청소년 올림픽
国家游泳中心,베이징 국가수영센터
中信廣場·(廣州),시틱 플라자
西安事变,시안 사건
北京工人体育场,베이징 노동자 경기장
哲蚌寺,드레풍 사원
霞浦县,샤푸현
香港足球代表隊,홍콩 축구 국가대표팀
宕昌县,당창현
大连人职业足球俱乐部,다롄 프로
大明宫,대명궁
鄂托克前旗,어퉈커 전기
西乌珠穆沁旗,시우주무친 기
乌拉特中旗,우라터 중기
乌审旗,우선 기
砀山县,당산현
杭锦后旗,항진 후기
科尔沁区,커얼친구
科尔沁左翼后旗,커얼친 좌익후기
根河市,건허시
宁城县,닝청현
扎鲁特旗,짜루터 기
满城区,만청구
泽库县,쩌쿠현
哈大客运专线,하다 여객전용선
兖州区,옌저우구
秀山土家族苗族自治县,슈산 투자족 먀오족 자치현
突泉县,투취안현
中国大陆对维基媒体的封锁,중국 대륙의 위키미디어 접속 차단
五原县,우위안현 (바옌나오얼시)
天津广播电视塔,톈진 방송탑
晨曦體育會,싼헤이
两当县,량당현
碌曲县,루취현
崆峒区,쿵퉁구
和政县,허정현
礼县,리현 (룽난시)
泾川县,징촨현
惠民县,후이민현
阳信县,양신현 (빈저우시)
南岗区,난강구 (하얼빈시)
二道区,얼다오구
灵台县,링타이현
合水县,허수이현
山阳县,산양현
嫩江省,넌장성
遼北省·(中華民國),랴오베이성
樊城区,판청구
東經120度線,동경 120도
寿县,서우현
福州长乐国际机场,푸저우 창러 국제공항
四川大熊猫栖息地,쓰촨 대왕판다 서식지
刚察县,강차현
2008年夏季奧林匹克運動會自行車比賽—男子BMX賽,2008년 하계 올림픽 사이클 남자 BMX
福鼎市,푸딩시
大荔县,다리현
岱山县,다이산현
代县,다이현 (신저우시)
岱岳区,다이웨구
2008年夏季奧林匹克運動會男子200米蛙泳比賽,2008년 하계 올림픽 수영 남자 200m 평영
副省级市,부성급시
莘庄站·(中国铁路),신좡역 (중국철도)
商業間諜,산업 스파이
丹江口市,단장커우시
上海世茂国际广场,시마오 인터내셔널 플라자
丹寨县,단자이현
丹徒区,단투구
中国国民党革命委员会,중국국민당 혁명위원회
丹棱县,단렁현
红古区,훙구구
中国金字塔,중국의 피라미드
陆良县,루량현
小河区,샤오허구
滘西洲,카우사이차우섬
濮阳县,푸양현
新邵县,신사오현
阳高县,양가오현
798艺术区,798예술구
小金县,샤오진현
抖音百科,후둥
和县,허현
蓝田县,란톈현
三里屯酒吧街,싼리툰
桐乡市,퉁샹시
2008年夏季奧林匹克運動會女子4×200米自由泳接力比賽,2008년 하계 올림픽 수영 여자 800m 계영
天祝藏族自治县,톈주 티베트족 자치현
清水河县,칭수이허현
土默特左旗,투모터 좌기
2008年夏季奧林匹克運動會自行車比賽—男子個人追逐賽,2008년 하계 올림픽 사이클 남자 개인 추발
2008年夏季奧林匹克運動會自行車比賽—男子記分賽,2008년 하계 올림픽 사이클 남자 포인트
乐都区,러두구
龙胜各族自治县,룽성 각족 자치현
卓尼县,줘니현
和林格尔县,허린거얼현
横州市,헝저우시
石林彝族自治县,스린 이족 자치현
铁山港区,톄산강구
忻城县,신청현
象州县,샹저우현
上海申鑫足球俱乐部,상하이 선신
武威市,우웨이시
中国人民银行,중국인민은행
昆山南站,쿤산난역
武川县,우촨현
库伦旗,쿠룬 기
天峻县,톈쥔현
乌兰县,우란현
门源回族自治县,먼위안 후이족 자치현
开鲁县,카이루현
中国宝武钢铁集团,바오우
江北区·(重庆市),장베이구 (충칭시)
上海轨道交通6号线,상하이 지하철 6호선
汉南区,한난구
金鵬航空,수파르나 항공
哈巴河县,하바허현
当涂县,당투현
当阳市,당양시
北京橙丰足球俱乐部,베이징 런허
吐和高速公路,투허 고속공로
桓台县,환타이현
哈尔滨工业大学,하얼빈 공업대학
奶酒,아르히
临洮县,린타오현
陇海铁路,룽하이 철로
伊春区,이춘구 (이춘시)
相山区,샹산구 (화이베이시)
道县,다오현
2008年夏季奧林匹克運動會自行車比賽—男子團體追逐賽,2008년 하계 올림픽 사이클 남자 단체 추발
道里区,다오리구
美姑县,메이구현
达日县,다르현
稻城县,다오청현
古田县,구톈현
2008年夏季奧林匹克運動會跳水比賽—女子雙人10米高臺,2008년 하계 올림픽 다이빙 여자 10m 플랫폼 싱크로나이즈
舒兰市,수란시
隆林各族自治县,룽린 각족 자치현
洛河·(黄河),뤄허강 (허난성)
金秀瑶族自治县,진슈 야오족 자치현
良庆区,량칭구
七星区,치싱구
青秀区,칭슈구
田林县,톈린현
平南县,핑난현 (구이강시)
海城区,하이청구
邕宁区,융닝구
平果市,핑궈시
桐庐县,퉁루현
福清市,푸칭시
绿园区,루위안구
雁山区,옌산구
西安碑林,비림
武城县,우청현
榆阳区,위양구
洛南县,뤄난현
洋山深水港,양산심수항
大余县,다위현
大英县,다잉현
大竹县,다주현
大邑县,다이현 (청두시)
德安县,더안현
湘乡市,샹샹시
辉县市,후이셴시
滕州市,텅저우시
文登区,원덩구
龙口市,룽커우시
肥西县,페이시현
东北平原,둥베이 평원
都匀市,두윈시
黄骅市,황화시
霍州市,훠저우시
临清市,린칭시
公主岭市,궁주링시
金堂县,진탕현
瑞丽市,루이리시
仁怀市,런화이시
蒲江县,푸장현 (청두시)
腾冲市,텅충시
五华区,우화구
高碑店市,가오베이뎬시
南开大学,난카이 대학
杭锦旗,항진 기
平远县,핑위안현 (메이저우시)
万源市,완위안시
海丰县,하이펑현
连南瑶族自治县,롄난 야오족 자치현
温江区,원장구
2008年夏季奧林匹克運動會跆拳道比賽—女子67公斤級,2008년 하계 올림픽 태권도 여자 67kg급
永新县,융신현
330国道,국도 제330호선 (중국)
嘉陵区,자링구
钦南区,친난구
东辽县,둥랴오현
岚皋县,란가오현
歼-10,청두 J-10
离石区,리스구
2008年夏季奧林匹克運動會男子400米自由泳比賽,2008년 하계 올림픽 수영 남자 400m 자유형
东坡区,둥포구
淞沪会战,상하이 전투
陆河县,루허현
龙川县,룽촨현 (허위안시)
蕉岭县,자오링현
武侯区,우허우구
龙泉驿区,룽취안이구
滕国,등 (희성)
玉田县,위톈현 (탕산시)
建阳区,젠양구
维扬区,웨이양구 (양저우시)
合福客运专线,허푸 고속철도
怀仁市,화이런시
兴安县,싱안현
大冶市,다예시
改革开放,개혁·개방
2008年夏季奧林匹克運動會射擊比賽—男子50米手槍,2008년 하계 올림픽 사격 남자 50m 권총
汉阳区,한양구
农安县,눙안현
蓟州区,지저우구 (톈진시)
灵山县,링산현
鹿寨县,루자이현
防城区,팡청구
上思县,상쓰현
大姚县,다야오현
大祥区,다샹구
道孚县,다오푸현
大武口区,다우커우구
大同区·(大庆市),다퉁구 (다칭시)
克鲁伦河,케룰렌강
大石桥市,다스차오시
大田县,다톈현
大通区,다퉁구 (화이난시)
大通回族土族自治县,다퉁 후이족 투족 자치현
云州区,윈저우구
大洼区,다와구
古县,구현 (린펀시)
土豆网,Tudou
郓城县,윈청현
廣州東站,광저우 동역
深水埗,삼서이보
九三学社,구삼 학사
北緯33度線,북위 33도
台湾民主自治同盟,대만 민주자치동맹
德保县,더바오현
德昌县,더창현
德城区,더청구
鼓楼区·(开封市),구러우구 (카이펑시)
德化县,더화현
2008年夏季奧林匹克運動會女子200米背泳比賽,2008년 하계 올림픽 수영 여자 200m 배영
乌什县,우스현
策勒县,처러현
汝州市,루저우시 (핑딩산시)
德兴市,더싱시
湖北武汉职业足球俱乐部,우한 광구
精河县,징허현
柯坪县,커핑현
荆州·(古代),형주
墨玉县,모위현
民丰县,민펑현
上高县,상가오현
铅山县,옌산현 (상라오시)
通城县,퉁청현
临川区,린촨구
乐安县,러안현
吉水县,지수이현
华容县,화룽현
寻乌县,쉰우현
宁都县,닝두현
万年县,완녠현
岳阳县,웨양현
宜丰县,이펑현
鄱阳县,포양현
永兴县,융싱현
广信区,광신구
宜黄县,이황현
吉州区,지저우구 (지안시)
中华人民共和国审查制度,중국의 검열
宇通客車,위퉁 자동차
一大会址·黄陂南路站,황피난루역
北纬40度线,북위 40도
北緯44度線,북위 44도
中国民主党,중국 민주당
中华人民共和国国家发展和改革委员会,중화인민공화국 국가발전개혁위원회
上海港,상하이항
磴口县,덩커우현
花地瑪堂區,노사세뇨라드파티마 당구
东经125度线,동경 125도
北緯37度線,북위 37도
聖安多尼堂區,산투안토니우 당구
米东区,미둥구
中国足球协会甲级联赛,중국 갑급리그
瑞昌市,뤼창시
伊宁县,이닝현
香港海洋公園,홍콩해양공원
兴国县,싱궈현
阳新县,양신현 (황스시)
通山县,퉁산현
靖安县,징안현
南丰县,난펑현
信丰县,신펑현 (간저우시)
德格县,더거현
拉孜县,라쯔현
水磨沟区,수이모거우구
吉隆县,지룽현
海晏县,하이옌현 (하이베이)
全南县,취안난현
横峰县,헝펑현
囊谦县,낭첸현
监利市,젠리시
万安县,완안현
東莞軌道交通,둥관 궤도교통
丹东浪头机场,단둥 랑터우 공항
幸福航空,조이 에어
吉安县,지안현
稻城亞丁機場,다오청 야딩 공항
香港理工大學,홍콩 이공대학
灯塔市,덩타시
邓州市,덩저우시
瑞芯微電子,록칩
澳門廣播電視股份有限公司,TDM (마카오)
中银大厦·(上海),중국은행 타워 (상하이)
保良局,보량국
玛多县,마둬현
武汉民生银行大厦,민생은행 빌딩
婺源县,우위안현 (상라오시)
互助土族自治县,후주 투족 자치현
广昌县,광창현
袁州区,위안저우구 (이춘시)
久治县,주즈현
湟源县,황위안현
民和回族土族自治县,민허 후이족 투족 자치현
永丰县,융펑현
居延漢簡,거연한간
吉祥航空,준야오 항공
覃塘区,탄탕구
巨浪-2型潜射弹道导弹,JL-2
调兵山市,댜오빙산시
梅县区,메이셴구
上林县,상린현
新北区·(常州市),신베이구
于田县,케리야현
攸县,유현 (주저우시)
资阳区,쯔양구
三江侗族自治县,싼장 둥족 자치현
纳溪区,나시구
杭州地铁,항저우 지하철
喀纳斯湖,카나스호
石家庄正定国际机场,스자좡 정딩 국제공항
澳門警察足球隊,폴리시아 드 세구란사 푸블리카
中国人民武装警察部队,중국 인민무장경찰부대
四川广播电视台,쓰촨 방송국
电白区,뎬바이구
直辖市·(中华人民共和国),직할시 (중화인민공화국)
垫江县,뎬장현
伊河,이허
北京马拉松,베이징 국제 마라톤
全国重点文物保护单位,전국중점문물보호단위
中国人民解放军陆军,중국 인민해방군 육군
中国蒙古族,중국 몽골족
雷州市,레이저우시
牡丹江海浪国际机场,무단장 하이랑 국제공항
四会市,쓰후이시
饶平县,라오핑현
邛崃市,충라이시
香港國際電影節,홍콩 국제 영화제
绵竹市,몐주시
高州市,가오저우시
连城县,롄청현
松滋市,쑹쯔시
右江区,유장구 (바이써시)
蓬莱区,펑라이구
江州区,장저우구
寿光市,서우광시
元宝区,위안바오구
阎良区,옌량구
雁塔区,옌타구
莲湖区,롄후구
和硕特,코슈트부
东经80度线,동경 80도
明水县,밍수이현
外文出版社,외문출판사
东经90度线,동경 90도
北緯50度線,북위 50도
屏南县,핑난현 (닝더시)
罗源县,뤄위안현
顺昌县,순창현
米泉市,미취안시
甲子,갑자
中国西南地区,시난 (중국)
肥东县,페이둥현
梁山县,량산현
香港迪士尼樂園度假區,홍콩 디즈니랜드 리조트
九龍城,가우룽싱
首都博物馆,수도박물관
昆明巫家坝国际机场,쿤밍 우자바 국제공항
虎山长城,호산장성
老河口市,라오허커우시
神农架林区,선눙자 임구
栖霞市,치샤시
沁阳市,친양시
爱辉区,아이후이구
西貢市,사이궁시
平潭县,핑탄현
额尔古纳市,어얼구나시
浑河,훈허
南安市,난안시
新林区,신린구
江油市,장유시
石首市,스서우시
凯里市,카이리시
洪湖市,훙후시
荃灣,췬완
大埔·(香港),다푸
半島酒店,더 페닌슐라 홍콩
屯門,튄문
大连有轨电车,다롄 노면전차
2008年中国雪灾,2008년 중국 설해
琉璃厂,류리창
納西語,나시어
广州城足球俱乐部,광저우 시티 FC
孔子和平獎,공자 평화상
小皇帝综合症,소황제
沱江,타강
青岛海牛足球俱乐部,칭다오 하이뉴 (1990년)
五道口,우다오커우
德庆县,더칭현 (자오칭시)
德清县,더칭현 (후저우시)
延吉朝阳川国际机场,옌지 차오양촨 국제공항
中国天主教,중국의 로마 가톨릭교회
威海大水泊机场,웨이하이 다슈이보 공항
滴道区,디다오구
九龍半島,가우룽반도
大埔足球會,다푸 FC
塘沽区,탕구구
港珠澳大橋,강주아오 대교
東亞運動會,동아시아 경기 대회
重庆轨道交通,충칭 궤도교통
四五运动,1976년 천안문 사건
米兰遗址,미란
嘉峪关,가욕관
定结县,딩제현
鼎城区,딩청구
江泽民派系,상하이방
中国共产党中央纪律检查委员会,중국공산당 중앙기율검사위원회
小雁塔,소안탑
白毫银针,백호은침
长江三角洲,장강 삼각주
荃灣綫,췬완선
库布齐沙漠,쿠부치 사막
201国道,국도 제201호선 (중국)
武汉中心,우한 센터
珠穆朗瑪峰基地營,에베레스트 베이스캠프
舟山岛,저우산섬
邓小平南巡,남순강화
拉卜楞寺,라브랑 사원
柳河县,류허현
龙江县,룽장현 (치치하얼시)
北京东方君悦大酒店,그랜드 하얏트 베이징
北緯51度線,북위 51도
中国太原卫星发射中心,타이위안 위성발사센터
滦河,롼허
上海美术馆,상하이 미술관
武漢體育中心,우한 스포츠 센터
卢浦大桥,루푸 대교
北京国际电影节,베이징 국제 영화제
中国长春电影节,창춘 영화제
上海久事大鲨鱼篮球俱乐部,상하이 샤크스
精工體育會,세이코 SA
土家语,투자어
海信集团,하이센스
中华人民共和国民主运动,중국 민주화 운동
定南县,딩난현
鼎湖区,딩후구
定远县,딩위안현
定海区,딩하이구
台风悟空,태풍 우쿵
叠彩区,뎨차이구
日喀则市,르카쩌시
蝶山区,뎨산구
河口瑶族自治县,허커우 야오족 자치현
穆棱市,무링시
巩义市,궁이시
高安市,가오안시
金牛区,진뉴구
合山市,허산시 (라이빈시)
兴义市,싱이시
开远市,카이위안시 (훙허)
锦江区,진장구
荥阳市,싱양시
彭州市,펑저우시
惠济区,후이지구
槐荫区,화이인구 (지난시)
项城市,샹청시
金水区,진수이구
阿里巴巴集团,알리바바 그룹
华蓥市,화잉시
阜南县,푸난현
颍泉区,잉취안구
余干县,위간현
黑瞎子岛,볼쇼이우수리스키섬
南岭,난링산맥
六和塔,육화탑
马王堆汉墓,마왕퇴
電視廣播有限公司,TVB
曾侯乙墓,증후을묘
东川区,둥촨구
岳阳楼,악양루
土木堡之变,토목의 변
香港地理,홍콩의 지리
嘉鱼县,자위현
新邱区,신추구
米仓山,미창산
北京市交通,베이징시의 교통
清城区,칭청구
濉溪县,쑤이시현 (화이베이시)
东区·(攀枝花市),둥구 (판즈화시)
东昌区,둥창구
碾子山区,녠쯔산구
淅川县,시촨현
双辽市,솽랴오시
青州市,칭저우시
虎林市,후린시
乾安县,첸안현
通化县,퉁화현
沛县,페이현 (쉬저우시)
抚松县,푸쑹현
通榆县,퉁위현
梨树县,리수현
永吉县,융지현
东港市,둥강시
东光县,둥광현
东湖区,둥후구
上城区,상청구
余杭区,위항구
于都县,위두현
拱墅区,궁수구
辽中地区环线高速公路,랴오중 순환 고속공로
连山区,롄산구
中国投资有限责任公司,중국 투자 공사
河北大学“10·16”交通肇事案,리강 사건
中印边境实际控制线,실질통제선
海城大地震,1975년 하이청 지진
东宁市,둥닝시
东胜区,둥성구
东兴市,둥싱시
伊通满族自治县,이퉁 만족 자치현
江东区·(宁波市),장둥구
武义县,우이현 (진화시)
青田县,칭톈현
龙泉市,룽취안시
嘉善县,자산현
下城区,샤청구
乐亭县,라오팅현
唐县,탕현
阜城县,푸청현 (헝수이시)
滦州市,롼저우시
盐山县,옌산현 (창저우시)
曲周县,취저우현
高阳县,가오양현
双滦区,솽롼구
邯郸县,한단현
滦平县,롼핑현
清河县,칭허현 (싱타이시)
邯山区,한산구
滦南县,롼난현
北纬35度线,북위 35도
和平共处五项原则,평화 5원칙
北緯26度線,북위 26도
北緯28度線,북위 28도
北緯19度線,북위 19도
北纬30度线,북위 30도
中国平安,핑안보험
北緯49度線,북위 49도
北纬25度线,북위 25도
北緯45度線,북위 45도
江陵县,장링현
高邑县,가오이현
平山县,핑산현 (스자좡시)
高平市,가오핑시
苏家屯区,쑤자툰구
潼南区,퉁난구
桥东区·(石家庄市),차오둥구 (스자좡시)
宣化区,쉬안화구
行唐县,싱탕현
入境事務處,홍콩 입경사무처
中国人民解放军火箭军,중국 인민해방군 로켓군
卢龙县,루룽현
文安县,원안현
隆尧县,룽야오현
孟村回族自治县,멍춘 후이족 자치현
鸡泽县,지쩌현
怀安县,화이안현
邢台县,싱타이현
襄都区,샹두구
南和区,난허구
运河区,윈허구
雄县,슝현
武邑县,우이현 (헝수이시)
广宗县,광쭝현
乳山市,루산시 (웨이하이시)
东源县,둥위안현
东洲区,둥저우구
东至县,둥즈현
永清县,융칭현
新城区·(西安市),신청구 (시안시)
杜尔伯特蒙古族自治县,두얼보터 몽골족 자치현
龙沙区,룽사구
中国文昌航天发射场,원창 위성발사센터
于洪区,위훙구
清原满族自治县,칭위안 만족 자치현
宽城区,콴청구
磐石市,판스시
铁西区·(沈阳市),톄시구 (선양시)
灵寿县,링수현
双阳区,솽양구
静海区,징하이구
沈北新区,선베이 신구
绥中县,쑤이중현
金州区,진저우구
香河县,샹허현
路北区,루베이구
巨鹿县,쥐루현
迁西县,첸시현
南市区·(保定市),난스구
平泉市,핑취안시
蔚县,위현 (장자커우시)
高邮市,가오유시
斗门区,더우먼구
端午节,단오
500米口径球面射电望远镜,직경 500미터 구면 전파망원경
白山长白山机场,창바이산 공항
定兴县,딩싱현
内丘县,네이추현
新华区·(沧州市),신화구 (창저우시)
隆化县,룽화현
双桥区,솽차오구 (청더시)
徐水区,쉬수이구
和平区·(沈阳市),허핑구 (선양시)
乐业县,러예현
介休市,제슈시
凌海市,링하이시
金溪县,진시현
中华人民共和国国道,중화인민공화국의 일반 국도
TP-Link,티피링크
中国实验快堆,CEFR
北緯27度線,북위 27도
分宜县,펀이현
奉节县,펑제현
北緯24度線,북위 24도
福耀集团,푸야오
新民市,신민시
宣化县,쉬안화현
桥西区·(张家口市),차오시구 (장자커우시)
丰润区,펑룬구
1996年亞洲冬季運動會,1996년 동계 아시안 게임
路南区,루난구
中華人民共和國與大規模殺傷性武器,중화인민공화국의 대량살상무기
开平区,카이핑구
裕华区,위화구 (스자좡시)
井陉县,징싱현
五大连池市,우다롄츠시
梁平区,량핑구
維多利亞公園,빅토리아 공원 (홍콩)
云岭,윈링산맥
漕溪路站,차오시루역
新民主主义,신민주주의 (마오쩌둥 사상)
路氹城,코타이
普兰店区,푸란뎬구
深州市,선저우시
凤城市,펑청시 (단둥시)
柳條邊,유조변
武强县,우창현
临漳县,린장현
康保县,캉바오현
固安县,구안현
魏县,웨이현 (한단시)
海港区·(秦皇岛市),하이강구
东经110度线,동경 110도
中国人民解放军南部战区海军,남해함대
长春轨道交通,창춘 궤도교통
故城县,구청현 (헝수이시)
下花园区,샤화위안구
涉县,서현 (한단시)
围场满族蒙古族自治县,웨이창 만족 몽골족 자치현
新河县,신허현 (싱타이시)
万全区,완취안구
青县,칭현
北緯47度線,북위 47도
北緯29度線,북위 29도
北緯20度線,북위 20도
北緯48度線,북위 48도
北緯46度線,북위 46도
都安瑶族自治县,두안 야오족 자치현
陆川县,루촨현
都昌县,두창현
巫山县,우산현 (충칭시)
南汇区,난후이구
端州区,돤저우구
加查县,자차현
祥鵬航空,럭키 에어
尖扎县,젠자현
响堂山石窟,샹탕산 석굴
平乡县,핑샹현
广平县,광핑현
邱县,추현
桃城区,타오청구
宽城满族自治县,콴청 만족 자치현
垣曲县,위안취현
天津经济技术开发区,톈진 경제기술개발구
万荣县,완룽현
馆陶县,관타오현
阜平县,푸핑현 (바오딩시)
广阳区,광양구
右玉县,유위현
祁县,치현 (진중시)
杜集区,두지구
平定县,핑딩현
昔阳县,시양현
阳原县,양위안현
中国人民解放军沈阳军区,선양 군구
广灵县,광링현
怀远县,화이위안현
营山县,잉산현 (난충시)
尖山区,젠산구
合浦县,허푸현
多伦县,둬룬현
白马寺,백마사
都兰县,두란현
洛扎县,뤄자현
琼结县,충제현
萨迦县,싸자현
合作市,허쭤시
乃东区,나이둥구
同仁市,퉁런시 (황난 티베트족 자치주)
红原县,훙위안현
革吉县,거지현
澳門歷史城區,마카오 역사지구
中华人民共和国文化部,중화인민공화국 문화관광부
比亚迪,비야디
锦江乐园站,진장러위안역
天镇县,톈전현
黎城县,리청현
鹰手营子矿区,잉서우잉쯔 광구
中国人民解放军兰州军区,란저우 군구
五台县,우타이현
壶关县,후관현
武乡县,우샹현
五寨县,우자이현
海兴县,하이싱현
和顺县,허순현
芮城县,루이청현
涞源县,라이위안현
沁县,친현
神池县,선츠현
灵石县,링스현
怀来县,화이라이현
盐湖区,옌후구
屯留区,툰류구
得荣县,더룽현
劳动教养,노동교양
212国道,국도 제212호선 (중국)
德钦县,더친현
邺城遗址,업 (지명)
南芬区,난펀구
朗县,랑현
阳曲县,양취현
新干县,신간현
202国道,국도 제202호선 (중국)
216国道,국도 제216호선 (중국)
桑日县,쌍르현
谢通门县,셰퉁먼현
庐阳区,루양구
瑶海区,야오하이구
利辛县,리신현
迭部县,뎨부현
蜀山区,수산구
美的集團,메이디그룹
长春站,창춘역
中国足球协会超级杯,중국 FA 슈퍼컵
经开体育场,개발구 경기장
沁源县,친위안현
新荣区,신룽구
朔城区,숴청구
陵川县,링촨현 (진청시)
偏关县,팡관현
新绛县,신장현
平陆县,핑루현
东山区·(鹤岗市),둥산구 (허강시)
绛县,장현 (윈청시)
寿阳县,서우양현
临猗县,린이현 (윈청시)
应县,잉현
悬空寺,현공사
中国环球电视网阿拉伯语频道,CGTN 아랍어
東方足球隊,이스턴 SC
尼勒克县,니러커현
克拉玛依区,카라마이구
吉木乃县,지무나이현
巩留县,궁류현
清河区,칭허구 (톄링시)
青冈县,칭강현
隰县,시현 (린펀시)
宁武县,닝우현
河曲县,허취현
盂县,위현 (양취안시)
金安桥水电站,진안차오 댐
铁岭县,톄링현
海伦市,하이룬시
上犹县,상유현
长江中下游平原,양자평원
301国道,국도 제301호선 (중국)
103国道,국도 제103호선 (중국)
