George Washington,乔治·华盛顿
Tamlyn Tomita,塔姆琳·托米塔
Lewis A. Coser,刘易斯·科塞
Amos Vogel,阿莫斯·沃格爾
Robert S. Hartman,羅伯特·哈特曼
Diamanda Galás,迪安曼達·加拉斯
Harry Belafonte,哈利·貝拉方提
Dolley Madison,多莉·麦迪逊
Matthew McConaughey,马修·麦康纳
"James W. McCord, Jr.",小詹姆斯·W·麦考德
Mostafa El-Sayed,穆斯塔法·艾尔-赛义德
Amina Wadud,阿米娜·瓦杜德
Clifton A. Woodrum,克利夫顿·伍德拉姆
Kenny Cooper,肯尼·庫珀
Renée Taylor,蕾妮·泰勒
Skye McCole Bartusiak,丝凯·麦柯·巴楚沙
James Naismith,詹姆斯·奈史密斯
B. B. King,B·B·金
George Darden,喬治·達登
Ellen Muth,艾伦·穆斯
David Schwimmer,大卫·史威默
Jim McGreevey,吉姆·麥格雷韋
Maurice Prendergast,莫里斯·普伦德加斯特
Melissa Rosenberg,梅麗莎·羅森堡
Frances Dee,弗朗西絲·迪伊
Buckethead,布赖恩·帕特里克·卡罗尔
Janet L. Kavandi,珍妮特·卡万迪
William Tecumseh Sherman,威廉·特库姆塞·舍曼
Cornstalk,康史達克
John Dale Ryan,約翰·雷恩
Eric S. Raymond,埃里克·雷蒙
Lady Bird Johnson,小瓢蟲·約翰遜
John Goodman,約翰·古德曼
Susan Hayward,苏珊·海沃德
John Templeton,約翰·坦伯頓
Ty Burrell,泰·布利爾
Maria Menounos,瑪麗亞·曼努諾斯
Cole Porter,科尔·波特
Debbie Harry,黛比·哈里
Crawford Williamson Long,克劳福德·朗
Cliff Burton,克利夫·伯顿
Otto Hermann Kahn,奥托·赫尔曼·卡恩
Peter Joseph Osterhaus,彼得·約瑟·奧斯特豪斯
Thomas Eakins,湯姆·艾金斯
Maurice Abravanel,莫里斯·阿布拉瓦内尔
Frances Cleveland,弗朗西丝·克利夫兰
Lillian Hellman,麗蓮·海爾曼
Aron Gurwitsch,阿龙·古尔维奇
Rick Perry,里克·佩里
Mary Todd Lincoln,玛丽·托德
Lou Reed,卢·里德
James Blish,詹姆斯·布利什
Xzibit,艾勒比
Lou Henry Hoover,卢·亨利·胡佛
Alyssa Milano,艾莉莎·米兰诺
Richard Rorty,理查德·罗蒂
Louisa Adams,路易莎·亞當斯
Loyd Blankenship,洛伊德·布兰肯希普
John Frusciante,約翰·伏許安
Bess Truman,貝絲·杜魯門
Angelica Singleton Van Buren,安杰莉卡·辛格顿·范布伦
Emily Greene Balch,爱米莉·巴尔奇
Elmer Layden,艾爾瑪·雷頓
Charles Allen Moser,查尔斯·艾伦·莫泽
Michael Jai White,邁克·賈·懷特
William Gibson,威廉·福特·吉布森
Lee Miller,李·米勒
Howard Hughes,霍华德·休斯
Jad Fair,杰德·菲爾
Zellig S. Harris,泽里格·哈里斯
Kim Rhode,金伯利·罗德
Missi Pyle,蜜西·派兒
Kevin Garnett,凯文·加内特
Sean Astin,辛·艾斯丁
Michael Stipe,邁可爾·斯蒂佩
Kevin Richardson,凯文·理查德森
Louella Parsons,露艾拉·帕森斯
Irving Moskowitz,欧文·莫斯科维兹
Sidney Dillon Ripley,悉尼·狄龙·里普利
Mamie Eisenhower,玛米·艾森豪威尔
Black Dahlia,黑色大理花懸案
Alison Arngrim,阿丽森·恩格瑞姆
Alana de la Garza,阿兰娜·德拉·伽兹
Charlie Ray,查理·雷
Joanna Russ,乔娜安·拉斯
Ashley Jones,阿什莉·琼斯
Betty Field,比提·菲露
Meilen Tu,涂美倫
J. Z. Knight,傑西奈
Constance Bennett,康斯坦斯·贝内特
Makenzie Vega,麦肯锡·维加
Sylvia Beach,西尔维娅·毕奇
Leslie Easterbrook,莱斯利·伊斯特布鲁克
John Brown,约翰·布朗
Brooke Shields,布鲁克·希尔兹
Shannon Lucid,珊农·露茜德
Peggy Guggenheim,佩吉·古根海姆
Irina Levitina,列莉娜·列维蒂娜
Columbus Short,柯倫布斯·雪兒
Edward Zorinsky,爱德华·佐林斯基
Keith Herron,基斯·赫伦
Marcella Sembrich,M. 森布里希
Carla Bley,卡拉·貝利
Vanessa Ferlito,凡妮莎·費麗托
JoJo,JoJo
Anneliese van der Pol,安娜丽莎·梵·德·波
Debbie Gibson,黛比·吉布森
Fairuza Balk,费尔鲁扎·鲍克
Joseph McCarthy,约瑟夫·雷芒德·麦卡锡
George Eastman,喬治·伊士曼
Daniel Dennett,丹尼爾·丹尼特
Matthew Talbot,馬修·塔爾博特
Amanda Seyfried,阿曼達·西耶弗里德
Rosemary Kennedy,露絲瑪麗·肯尼迪
Me'Lisa Barber,梅莉莎·巴伯
John Mayer,約翰·梅爾
Benedict Gross,本尼迪克特·格罗斯
Laurence J. Burton,勞倫斯·J·伯頓
Gloria Stuart,葛羅莉·史都華
Helena Blavatsky,海倫娜·布拉瓦茨基
Andy Garcia,安迪·加西亞
William Merritt Chase,威廉·梅里特·切斯
Leontyne Price,李奧汀·普萊絲
Julian Alfred Steyermark,朱利安·阿尔弗雷德·斯特耶马克
Robert Baumle Meyner,罗伯特·B·梅纳
Lori McNeil,蘿莉·麥克尼爾
Teo Macero,蒂奥·马塞洛
Judith Miller,朱迪思·米勒
Ann Sheridan,安·謝里丹
Ryan Miller,瑞安·米勒
Skylar Grey,斯盖拉·格蕾
Zen Gesner,泽恩·格斯纳
Zena Grey,齊娜·格雷
Hans Hofmann,汉斯·霍夫曼
Adolf Leo Oppenheim,阿道夫·里奧·奧本海姆
Mýa,美雅
Jenna Ushkowitz,珍娜·乌什克维兹
Samuel A. Taylor,塞繆爾·A·泰勒
Lindsey McKeon,琳赛·麦基翁
Amy Lowell,艾美·羅威爾
Jo Van Fleet,喬·范·弗利特
Gale Sondergaard,蓋兒·桑德嘉
Pam Grier,潘·葛蕾兒
Susan Strasberg,蘇珊·斯塔絲伯格
Chris Quigg,克里斯·奎格
James V. Hansen,詹姆斯·V·漢森
Brian De Palma,布赖恩·德帕尔马
George Grizzard,喬治·格里扎德
Dean Martin,迪安·马丁
Bernard G. Weiss,伯納德·韋斯
Michael E. Ryan,邁克爾·萊恩
J,鄭在英(J)
Madeleine Martin,馬德琳·馬丁
David Palmer,大衛·帕默
Zendaya,赞达亚
Jennifer Taylor,詹妮弗·泰勒
Henry Grunwald,亨利·格伦沃尔德
Jennifer Jones,珍妮弗·琼斯
Lore Segal,蘿爾·西格
Katherine Heigl,凱瑟琳·海格
Ileana Ros-Lehtinen,羅斯蕾緹南
Ray Cummings,瑞伊·卡明斯
Melvin Schwartz,梅尔文·施瓦茨
Marcia Cross,瑪莎·歌絲
Linda Kasabian,琳達·卡薩比安
Corinne Brinkerhoff,肯妮·貝兒布林克霍夫
Portia de Rossi,波蒂亞·德·羅西
Alice Brady,愛麗絲·布雷迪
Jerry Yang,楊致遠
Ariana Kukors,阿里亚娜·库克尔斯
Teri Shields,特麗·雪德絲
Kay Redfield Jamison,凯·雷德菲尔德·杰米森
Rosalind Russell,羅莎琳德·拉塞爾
Jennifer Lawrence,珍妮佛·勞倫斯
Jordin Sparks,喬丁·斯帕克斯
John Savage,约翰· 萨维奇
Stephen F. Austin,史蒂芬·F.奥斯汀
John Bloomfield Jervis,約翰·B·哲畢斯
Edward Bunker,愛德華·邦克
Marvin Gaye,马文·盖伊
William F. Ruddiman,威廉·拉迪曼
Angela Bettis,安吉拉·贝蒂斯
Elizabeth McGovern,伊莉莎白·麥戈文
Consuelo Vanderbilt,康斯薇露·范德比尔特
Gina Philips,吉娜·菲利普斯
Deborah Shelton,德博拉·謝爾頓
CM Punk,CM Punk
Kevin Federline,凯文·费德林
Donald Judd,唐纳德·贾德
Crystal Bernard,克莉斯托·貝爾納
Natalia Mishkutenok,娜塔莉婭·米什庫特諾科
Carrie Underwood,卡麗·安德伍
Eva Hesse,伊娃·海瑟
Nikki Cox,妮基·考克斯
Elizabeth Montgomery,伊丽莎白·蒙哥马利
Lucas Grabeel,卢卡斯·格拉贝尔
Frederica von Stade,弗雷德里卡·馮·斯塔迪
Eileen Davidson,艾琳·戴維森
Theodore William Richards,西奥多·威廉·理查兹
Jacqueline Emerson,杰奎琳·埃默森
James McHenry,詹姆斯·麦克亨利
Betty Grable,蓓蒂·葛萊寶
Mario Capecchi,马里奥·卡佩奇
Richard Bartholdt,理查·巴爾托特
Sunny,李順圭
Wesley Snipes,韋斯利·斯奈普斯
Claire Trevor,嘉麗·杜莉華
Jessica Jung,鄭秀妍
Edward Cronjager,愛德華·克倫傑格
Philip Glass,菲利普·格拉斯
Cynthia Rhodes,辛西婭·羅德斯
Terrence Malick,泰倫斯·馬利克
Tim Cook,提摩西·唐納德·庫克
Ernest Gold,欧内斯特·戈尔德
Mark Bomback,馬克·鮑姆貝克
Linda McMahon,琳达·麦克马洪
Frances Conroy,弗兰西丝·康罗伊
Teri Garr,泰瑞·卡兒
Allen Iverson,艾倫·艾佛森
The Game,Game
Marion Jones Farquhar,瑪麗安·瓊斯·法誇爾
Diane Baker,戴安·碧嘉
Nicolaas Bloembergen,尼古拉斯·布隆伯根
Larry Bird,拉里·伯德
Waylon Jennings,韋倫·詹寧斯
Margaret Geller,瑪格利特·蓋勒
Brooke Burns,布鲁克·伯恩斯
Charlotte Rae,夏洛特·雷伊
Zoe Saldaña,佐伊·索尔达娜
Natalie Zemon Davis,娜塔莉·澤蒙·戴維斯
Frederick Douglass,弗雷德里克·道格拉斯
Arthur Leonard Schawlow,阿瑟·肖洛
Joseph Barbera,約瑟·巴貝拉
Theodore Bikel,西奧多·比凱爾
Dieter Dengler,迪特爾·丹格拉
Jennifer Esposito,珍妮弗·艾斯波西多
June Mathis,琼·马西斯
Adam Hicks,亞當·希克斯
Jim Jackson,吉姆·杰克逊
Omid Abtahi,歐米德·阿塔西
Charlotte Moore Sitterly,夏洛特·摩爾·西特利
Hank Aaron,漢克·阿倫
Nancy Sinatra,南茜·辛纳特拉
Sherwood Anderson,舍伍德·安德森
Kate Voegele,凱特·芙格麗
Albert Claude,阿爾伯特·克勞德
Oscar Florianus Bluemner,奥斯卡·弗洛里安斯·布鲁姆纳
Holly Black,霍利·布莱克
Johnathon Schaech,強納森·史凱奇
Emilie de Ravin,艾蜜莉·迪瑞文
Clyde Tombaugh,克莱德·汤博
Henry Way Kendall,亨利·肯德尔
Willard Libby,威拉得·利比
Ashley Greene,艾希莉.葛林
Robert B. Laughlin,羅伯特·勞夫林
Jerry Seinfeld,杰瑞·宋飞
Bette Midler,贝蒂·米勒
Alexander Kipnis,亚历山大·基普尼斯
George Mosse,格爾奧格·摩瑟
Una Merkel,尤娜·默克爾
Theodore Schultz,西奥多·舒尔茨
Barbara Barrie,芭芭拉·貝瑞
Jack Dennis,傑克·丹尼斯
Jeff Buckley,傑夫·巴克利
Jimmy Rave,吉米·瑞夫
Jeffrey Osborne,傑佛瑞·奧斯朋
Betsy Blair,貝琪·布萊爾
Sally Kellerman,莎莉·姬勒曼
Belinda Carlisle,貝琳達卡萊兒
Ellen Pompeo,艾蓮·朋佩歐
Loni Anderson,羅妮·安德森
C. Pope Caldwell,波普·考德威尔
Álvaro Corrada del Rio,阿爾瓦羅·科拉達-德爾里奧
Sheila E.,希拉·E
Peggy Wood,佩姬·伍德
Tiffany,提芬妮
Carroll Baker,卡洛·貝克
Wang Leehom,王力宏
Anna Jarvis,安娜·賈维斯
John Milnor,约翰·米尔诺
Philip W. Anderson,菲利普·安德森
Vincent Mauro,文森·毛羅
Chris Eigeman,克里斯·埃吉曼
Jared Padalecki,傑瑞·帕達里基
Wilhelm Weitling,威廉·魏特林
Roy Chapman Andrews,安得思
Yaphet Kotto,耶佛·哥圖
Jacob Schiff,雅各布·希夫
Peter Max,彼得·馬克斯
Adam Lambert,亚当·兰伯特
Captain America,美國隊長
C. J. Cherryh,C·J·彻里
Felicity Huffman,费利西蒂·赫夫曼
Rhea Perlman,蕾雅·皮爾蒙
Nancy Kelly,南希·凱利
Abraham Joshua Heschel,亞伯拉罕·約書亞·赫舍爾
Peter Blau,布劳
Severo Ochoa,塞韦罗·奥乔亚
Daniel Kahneman,丹尼尔·卡内曼
Michael Johnson,麥可·詹森
William Daniel Phillips,威廉·丹尼尔·菲利普斯
James Rainwater,利奥·雷恩沃特
Nathalia Ramos,娜塔莉亞·羅蒙絲
Itzhak Perlman,伊扎克·帕尔曼
Alice Walker,愛麗絲·華克
Eadweard Muybridge,埃德沃德·迈布里奇
Gary Becker,加里·贝克尔
Ann Coulter,安·寇特
Brian Tyler,布萊恩·泰勒
James Massey,詹姆斯·马西
Victor Borge,維托·埔柱
Joanna Angel,喬安娜·安琪
Millie Perkins,米莉·佩金斯
Yakov Malkiel,雅科夫·马尔基尔
Fritz Julius Kuhn,弗里茲·庫恩
Toichiro Kinoshita,木下东一郎
Eric Schopler,艾瑞克·修普勒
Jaromír Weinberger,雅罗米尔·魏因贝格尔
Annette Bening,安妮特·班寧
Charles Loewner,查尔斯·娄威纳
Barbara Bach,芭芭拉·巴赫
Tammy Wynette,泰咪·懷尼特
Nicholas Hammond,妮可拉斯·漢墨德
Jim Parsons,吉姆·帕森斯
Fay Wray,費·芮
Kristen Johnston,克丽丝滕·约翰斯顿
Mariel Hemingway,瑪瑞兒·海明威
Marie Smith Jones,玛丽·史密斯·琼斯
Seweryn Bialer,塞维林·比亚勒
Heman Allen,赫曼·艾伦
Patricia Arquette,帕特里夏·阿奎特
Marilyn vos Savant,瑪麗蓮·沃斯·莎凡特
Megan Mullally,梅根·穆拉利
Salomon Bochner,薩洛蒙·博赫納
Lothar Wolfgang Nordheim,羅特哈·諾德海姆
Fritz John,弗瑞茲·約翰
Barbara Bush,芭芭拉·布什
Valentine Bargmann,華倫泰·巴格曼
Martin Richards,馬田·理察茲
Elizabeth Hartman,伊莉沙伯·夏雯
Rita Wilson,麗塔·威爾遜
Edward Sapir,愛德華·薩丕爾
Rosemary Harris,蘿絲瑪莉·哈里斯
Rosie Perez,蘿西·培瑞茲
Henry A. Wallace,亨利·阿加德·华莱士
Lupe Ontiveros,露貝·安緹維洛
Jeffrey Boam,傑佛瑞·鮑姆
Noah Hathaway,诺亚·哈撒韦
Gilda Radner,吉爾達·瑞德爾
Sissy Spacek,西席·斯貝西克
Mascha Kaléko,马沙·卡莱科
Dean Heller,狄恩·海勒
Wiley Wiggins,威利·维金斯
Kevin Mahogany,凯文·马哈戈尼
James Wong Howe,黃宗霑
Chuck Schuldiner,查克·舒爾迪那
Mark Lenzi,马克·伦齐
Vinnie Moore,菲尼·摩爾
Link Wray,林克·雷
Diane Ladd,黛安·拉德
Anne Ramsey,安妮·拉姆西
Albert O. Hirschman,阿爾伯特·赫希曼
Leonard Bloomfield,伦纳德·布龙菲尔德
Kathryn Grayson,凯瑟琳·格雷森
Jane Curtin,珍·科廷
Leroy Van Dyke,勒罗伊·凡·戴克
Geoffrey Mason,杰弗里·梅森
Merna Kennedy,肯尼迪·梅尔纳
Louie Bellson,路易斯·贝尔森
Rebecca Schaeffer,丽贝卡·希弗
Jenna von Oy,珍納·馮·奧伊
Carrie Snodgress,卡利·紹德萊斯
Susan Tyrrell,苏珊·泰瑞尔
Cristián de la Fuente,克斯汀·戴·拉·芬特
Friedrich Hirth,夏德
Wesley A. Clark,韋斯利·A·克拉克
Irene Cara,艾瑞尼·卡拉
Becki Newton,碧姬·紐頓
Madeline Kahn,瑪德蓮·卡恩
Sandy Duncan,珊蒂·鄧肯
Pat LaFontaine,帕特·拉方丹
Theodore E. Burton,西奧多·E·伯頓
Jim Henson,吉姆·亨森
Cindy Williams,辛蒂·威廉斯
Patricia Neal,帕翠夏·尼爾
Jordan Burroughs,佐敦·歐內斯特·巴勒斯
"Lewis F. Powell, Jr.",劉易斯·鮑威爾
Gene Roddenberry,金·羅登貝瑞
Manuel Aurelio Cruz,厄瑪奴耳·奧萊流斯·克魯斯
Jeff Turner,杰夫·特纳
Ambrose Bierce,安布罗斯·比尔斯
Duff McKagan,達夫·麥卡根
Natasha Lyonne,娜塔莎·雷昂
Walter Mischel,沃尔特·米歇尔
Lipman Bers,利普曼·伯斯
Benny Mardones,本尼·马多内斯
Spencer Breslin,史賓塞·布雷斯林
Lorraine Gary,洛琳·加里
Friedrich Hecker,弗雷德里希·黑克
Emile Zuckerkandl,埃米尔·扎克坎德
Jane Wyatt,简·怀亚特
Lucretia Garfield,盧克麗霞·加菲爾德
Caroline Harrison,卡羅琳·哈里森
Melinda Clarke,美琳達·克拉克
Bethany Hamilton,贝萨妮·汉密尔顿
Linda Cardellini,琳达·卡德里尼
Linda Gray,琳达·格雷
Lucy Webb Hayes,露西·韦伯·海斯
Nan Goldin,南·戈丁
Anna Chlumsky,安娜·克倫斯基
Tadeusz Kościuszko,塔德乌什·柯斯丘什科
Val Kilmer,方·基默
John Pemberton,约翰·彭伯顿
Tom Wolfe,汤姆·沃尔夫
Francis Daniel Pastorius,法蘭西斯·丹尼爾·帕斯透瑞斯
Nicholas Rescher,尼古拉斯·雷切尔
Rudy Boschwitz,鲁迪·博施维茨
Carl Rogers,卡爾·羅哲斯
Laura San Giacomo,劳拉·桑·吉亚科莫
Margaux Hemingway,瑪歌·海明威
Sharon Lawrence,莎朗·劳伦斯
Harvey Keitel,哈维·凯特尔
Zephaniah Platt,泽弗奈亚·普拉特
Joe Jonas,喬·強納斯
Gunther Plaut,冈瑟·普劳特
Dian Fossey,戴安·弗西
Anjelica Huston,安杰丽卡·休斯顿
Vinessa Shaw,維妮薩·邵
Megyn Price,梅金·普莱斯
Nina Hartley,尼娜·哈特利
Oliver Smithies,奥利弗·史密西斯
Nicky Hilton,妮琪·希爾頓
Phoebe Snow,菲比·斯諾
Garth Brooks,加斯·布鲁克斯
Edward Cullen,愛德華·庫倫
Ellen Axson Wilson,埃伦·亚克森·威尔逊
Sarah Childress Polk,莎拉·查尔德瑞斯·波尔克
Margaret Hoelzer,玛格丽特·赫尔策
Sandra Faber,珊德拉·法貝爾
Scott Joplin,斯科特·喬普林
Pat Cadigan,帕特·卡蒂甘
Margaret Truman,瑪格麗特·杜魯門
Teemu Selänne,泰穆·塞兰内
Robert Urich,勞勃·尤瑞奇
Laura Ingraham,勞拉·英格拉漢姆
Beatrice Rosen,毕崔斯·罗森
Abigail Fillmore,阿比蓋爾·菲爾莫爾
Dominique Swain,多明妮克·史旺
Cecily von Ziegesar,塞西莉·馮·齊格薩
Eva Zeisel,伊娃·蔡塞尔
Joseph Weydemeyer,約瑟夫·魏德邁
Margaret Colin,玛格丽特·柯林
Stonewall Jackson,石牆傑克森
Gene Wilder,吉恩·怀尔德
Upton Sinclair,厄普顿·辛克莱
Larry Corcoran,賴瑞·寇科朗
Dorothea Tanning,多蘿西婭·坦寧
Michelle Wie West,魏圣美
Ludwig Marcuse,路德维希·马尔库塞
Jazmine Sullivan,潔絲敏·蘇莉雯
John Donahoe,约翰·多纳霍
Frederick Reines,弗雷德里克·莱因斯
Steve Carell,史提夫·卡爾
Martha Washington,马莎·华盛顿
Jim Jarmusch,吉姆·賈木許
Polly Bergen,波莉·伯根
Zero Mostel,澤羅·莫斯苔
Rudolf Wittkower,維寇爾
Nahum Goldmann,納烏姆·戈德曼
S. D. Perry,S·D·佩里
Burton Richter,伯顿·里克特
Rick Berg,里克·博格
Jesse McCartney,傑西·麥卡尼
Monica Potter,莫妮卡·波特
Lindsay Price,琳賽·普萊斯
Valentina Lisitsa,瓦倫提娜·李希特薩
Shenae Grimes,雪芮·格萊姆絲
Lucretia Mott,盧克麗霞·莫特
Zooey Deschanel,柔伊·黛絲香奈
Mandy Patinkin,曼迪·帕廷金
Brett Favre,布雷特·费弗
Eliza McCardle Johnson,伊莱莎·麦卡德尔·约翰逊
Jane Jacobs,簡·雅各布斯
Iris Chang,张纯如
Grace Coolidge,格雷丝·柯立芝
Valerie Bertinelli,凡萊麗·柏帝內
Beth Botsford,贝丝·博茨福德
Ignacy Jan Paderewski,伊格纳奇·扬·帕德雷夫斯基
Judy Holliday,茱蒂·霍利德
Ruby Dee,露比·迪
Rebbie Jackson,瑞比·傑克森
Margaret Taylor,玛格丽特·泰勒
Josh Holloway,喬許·霍洛威
Shirley Booth,雪莉·布思
Melody Gardot,美樂蒂·佳朵
Peter Facinelli,彼得.費西奈利
Robert McNamara,罗伯特·麦克纳马拉
Lynn Burke,琳恩·伯克
Vanessa Marano,凡妮莎·馬拉諾
Peyton List,珮頓·利斯特
Lynndie England,琳迪·英格蘭
Christie Brinkley,克里斯蒂·布林克利
Mia Sara,米亞·莎拉
Connie Francis,科尼·弗朗西斯
Helen Thomas,海倫·湯瑪斯
Marisa Tomei,瑪麗莎·托梅
Jaimie Alexander,杰米·亚历山大
Roy Scheider,罗伊·谢德
Robert Johnson,羅伯特·勒魯瓦·約翰遜
Gypsy Rose Lee,吉普賽·羅斯·李
James W. Marshall,詹姆斯·馬歇爾
Loretta Young,洛蕾塔·扬
Robin Hobb,羅蘋·荷布
Anita O'Day,安妮塔·奥黛
Herman Hollerith,赫爾曼·何樂禮
Nicole Haislett,妮科尔·海斯利特
Rob Schneider,勞伯·許奈德
Ed White,爱德华·怀特
Rosalind Chao,赵家玲
Thomas Addis,托马斯·艾迪斯
Kris Holmes,克莉絲·荷姆斯
Annie Potts,安妮·帕茲
Ally Sheedy,艾爾利·沙迪
Shirley Babashoff,雪莉·巴巴绍夫
Solomon Loeb,所罗门·勒布
Evelyn Keyes,伊芙蓮·姬綺
Adrienne Frantz,阿德琳妮·佛朗兹
Joseph Murray,约瑟夫·默里
Felicia Day,費莉西亞·戴伊
Tina Majorino,蒂娜·米喬里諾
Carolyn Schuler,卡罗琳·舒勒
Keena Rothhammer,基娜·罗思哈默
Josh Hutcherson,喬許·哈卻森
Susan B. Anthony,苏珊·安东尼
Jane Russell,珍·羅素
Resi Stiegler,雷希·施蒂格勒
Lindsay Wagner,林赛·瓦格纳
Jolene Blalock,茱蓮娜·布蕾羅克
Stanisław Ulam,斯塔尼斯拉夫·乌拉姆
Sam Houston,山姆·休士頓
Stella Stevens,斯特拉·史蒂文斯
Paul Anka,保羅·安卡
Janelle Monáe,賈奈兒·夢內
Dyanne Thorne,迪娅尼·索恩
Shanice,仙妮絲
Aaron Copland,阿隆·科普兰
Marie Dressler,瑪麗·杜絲勒
Samuel Barber,塞缪尔·巴伯
Paul Cohen,保罗·寇恩
Eugene Merle Shoemaker,尤金·舒梅克
George Hincapie,乔治·因卡皮耶
Franzi Groszmann,芙蘭茲·格羅茲曼
Richard Thorpe,雷邱·索普
L. Ron Hubbard,L·罗恩·哈伯德
Adrienne Barbeau,阿德里安娜·巴博
Valerie Mahaffey,維勒莉·瑪哈菲
Linda Evans,琳达·埃文斯
Beverley Mitchell,贝弗利·米切尔
Jerry Bruckheimer,傑瑞·布洛克海默
Donna Haraway,唐娜·哈拉维
Theresa Russell,泰莉莎·拉塞尔
Denise Crosby,丹妮詩·克勞斯比
Viveca Lindfors,维韦卡·林德福什
Kenny Rogers,肯尼·羅傑斯
Sean Combs,尚恩·库姆斯
Margot Kidder,瑪葛·潔德
Roxann Dawson,羅克斯山·道森
Paul Butcher,保罗·布切
Kris Allen,克里斯·艾倫
Robert Fulton,罗伯特·富尔顿
Max More,马克思·摩尔
Jack Ruby,杰克·鲁比
Beverly D'Angelo,比佛莉·德安姬罗
Annie Ross,安妮·羅斯
Meredith Monk,梅芮迪斯·蒙克
Lee Meriwether,李·梅里韋瑟
Danny Glover,丹尼·葛洛佛
Simon Kuznets,西蒙·史密斯·库兹涅茨
Martha Plimpton,玛莎·普林顿
Jason Mraz,傑森·瑪耶茲
Julia Gardiner Tyler,朱丽娅·加德纳·泰勒
Alexa Nikolas,亞莉克莎·尼古拉斯
Adrianne Curry,雅芝·加里
Camryn Manheim,坎姆雷恩·曼海姆
Jennifer Hudson,珍妮弗·赫德森
Marin Hinkle,玛琳·辛科
David Letterman,大卫·莱特曼
Bridget Marquardt,布麗奇特•馬奎德
Rufus Wainwright,洛福斯·温莱特
Vladimir Horowitz,弗拉基米爾·薩莫伊洛維奇·霍羅威茨
Jane Badler,珍·包德勒
Chick Corea,奇克·柯瑞亞
Jodi Picoult,茱迪·皮考特
Kellie Pickler,凯莉·皮克雷
George Andrew Olah,乔治·安德鲁·欧拉
Casey Jones,鐵馬英雄
Gates McFadden,盖茨·迈克范登
Karina Lombard,卡莉娜·倫芭
Willa Holland,薇拉·賀蘭德
Raquel Castro,拉奎爾·卡斯特羅
Andrea Barber,安卓雅·巴柏
John Robert Gregg,约翰·罗伯特·格雷格
Crooked I,弯曲我
Grace Moore,格蕾丝·摩尔
Renee Olstead,蕾妮·欧丝黛
Gregory Hoblit,奎葛利·霍里
Nancy Fraser,南希·弗雷泽
Lynn Margulis,琳·馬古利斯
Rachael Harris,瑞秋‧哈里斯
Vitamin C,科里·菲茲派翠克
Miles Teller,麥爾斯·泰勒
Ashley Johnson,艾希莉·強森
Margaret Rhea Seddon,里娅·塞顿
Flannery O'Connor,弗兰纳里·奥康纳
Ted Bundy,泰德·邦迪
Johannes Kelpius,约翰内斯·克皮乌斯
Harold Smith,哈罗德·史密斯
Melanie Mayron,梅勒妮·梅隆
LaTasha Colander,拉塔莎·科兰德
Harry Betts,哈里·贝茨
Ashley Scott,阿什利·斯科特
Elizabeth Blackwell,伊丽莎白·布莱克韦尔
Bessie Coleman,貝西·科爾曼
Rumer Willis,拉莫·威利斯
Izabella Miko,伊莎貝拉·美高
Cassandra Peterson,卡桑德拉·彼得森
Marilynne Robinson,瑪莉蓮·羅賓遜
Vera-Ellen,维拉-艾伦
Tony Levin,東尼·萊文
Carol Heiss,卡羅·海斯
Ming-Na Wen,温明娜
Grant Wood,格兰特·伍德
La Toya Jackson,拉托亞·傑克森
Ariel Gade,阿瑞尔·盖德
Joy Bryant,喬伊·布蘭特
Orson Scott Card,奥森·斯科特·卡德
Jessica Lynch,杰茜卡·林奇
Nichelle Nichols,妮雪兒·尼柯斯
Kenneth Arrow,肯尼斯·约瑟夫·阿罗
Amy Frazier,艾美·弗雷澤
Betty Friedan,貝蒂·傅瑞丹
Ryan Reynolds,萊恩·羅尼·雷諾斯
Colleen Dewhurst,科琳·杜赫斯特
Hikaru Utada,宇多田光
John Edwards,约翰·爱德华兹
Gail Devers,蓋兒·戴佛斯
Shawn Colvin,夏恩·柯文
John B. Watson,约翰·布罗德斯·华生
Jimmie Johnson,吉米·強森
Natalie Martinez,娜塔麗·馬丁內茲
Annette Rogers,安妮特·罗杰斯
Aaron Eckhart,艾伦·艾克哈特
Brooke Hogan,布魯克·霍肯
Ben Hecht,本·赫克特
Theda Bara,蒂達·巴拉
Christine Jorgensen,克莉丝汀·约根森
Louise Bryant,刘易斯·布莱恩特
Dawn Staley,唐·斯特丽
Klaudia Kovacs,克劳迪娅·科瓦奇
Alexis Arquette,艾利西斯·艾奎特
Elizabeth Olsen,伊丽莎白·奥尔森
Vladko Maček,弗拉德科·馬切克
Emily Donelson,艾米丽·多内尔森
Diane Arbus,黛安娜·阿伯斯
Herman Kahn,赫爾曼·卡恩
Joyce Carol Oates,乔伊斯·卡罗尔·欧茨
Nikka Costa,妮卡·酷絲塔
Martha Stewart,瑪莎·海倫·史都華
Joseph Hooton Taylor,约瑟夫·泰勒
SoShy,Soshy
Edmund Phelps,埃德蒙·费尔普斯
Stephanie Herseth Sandlin,斯蒂芬妮·赫塞斯·桑德林
Spotted Tail,斑尾
Walter Gilbert,沃特·吉爾伯特
Joker,小丑
Robert Coleman Richardson,罗伯特·科尔曼·理查森
Blanche Sweet,布兰奇·斯威特
Michael Spivak,麥克·斯皮瓦克
Charles Barkley,查尔斯·巴克利
Alexis Bledel,艾麗絲·布莉達
Mary Arthur McElroy,玛丽·亚瑟·麦克罗伊
William Louis Dickinson,威廉·路易斯·迪金森
