España,스페인
Autovía del Atlántico,오토비아 델 아틀란티코 (스페인)
Autovía del Camino Catalán,오토비아 델 까미노 카탈루냐 (스페인)
Accidente del camping de Los Alfaques,로스알파케스 참사
Chiva,치바
puente de Alconétar,알코네타르 다리
Autopista Radial 2,오토피스타 래디얼 2 (스페인)
Autopista Radial 3,오토피스타 래디얼 3 (스페인)
Autopista Radial 5,오토피스타 래디얼 5 (스페인)
Autovía de Alicante,알리칸테 고속도로 (스페인)
Autovía del Altiplano,오토비아 델 알티플라노 (스페인)
Autovía Almansa-Játiva,알만사-하티바 고속도로 (스페인)
Buñol,부뇰
Belalcázar,벨랄카사르
Autovía A-38,A-38 고속도로 (스페인)
Copa de Ferias 1963-64,1963-64년 인터시티스 페어스컵
Copa de Ferias 1962-63,1962-63년 인터시티스 페어스컵
Autovía A-73,A-73 고속도로 (스페인)
Autovía A-75,A-75 고속도로 (스페인)
Autovía Badajoz-Granada,바다호즈-그라나다 고속도로 (스페인)
Loewe,로에베
Club Deportivo Badajoz,CD 바다호스
Autovía de Tierra de Campos,오토비아 데 티에라 데 캄포스 (스페인)
Autopista Zaragoza-Mediterráneo,사라고사-지중해 고속도로 (스페인)
Autopista Madrid-Toledo,마드리드-톨레도 고속도로 (스페인)
Autopista de las Pedrizas,오토피스타 데 라스 페드리사 (스페인)
Meeting de Atletismo Madrid,마드리드 육상 대회
Autovía Pontevedra-Vigo,폰테베드라-비고 고속도로 (스페인)
Autovía Oviedo-La Espina,오비에도-라 에스피나 고속도로 (스페인)
Autovía Oviedo-Villaviciosa,오비에도-빌라비시오사 고속도로 (스페인)
Falange Española Tradicionalista y de las JONS,팔랑헤당
Estación de Iglesia,이글레시아역
Autopista Radial 4,오토피스타 래디얼 4 (스페인)
Derbi madrileño,엘 데르비 마드릴레뇨
Autovía del Jiloca,오토비아 델 질로카 (스페인)
Autovía Pirenaica,오토비아 피레네이카 (스페인)
Autovía Tarragona-Montblanch,타라고나-몽블랑쉬 고속도로 (스페인)
Autovía del Ebro,오토비아 델 에브로 (스페인)
Autovía Cantabria-Meseta,오토비아 칸타브리아-메세타 (스페인)
Autovía Monforte-Chantada,몬포르테-찬타다 고속도로 (스페인)
Autovía de Murcia,무르시아 고속도로 (스페인)
Autovía del Este,오토비아 델 에스테 (스페인)
Autovía Linares-Albacete,리나레스-알바세테 고속도로 (스페인)
Autovía del Duero,오토비아 델 두에로 (스페인)
Autovía del Camino de Santiago,오토비아 델 까미노 데 산티아고 (스페인)
Autovía A-13,A-13 고속도로 (스페인)
Ajalvir,아잘비르
Juegos Paralímpicos de Barcelona 1992,1992년 하계 패럴림픽
plaza de Colón,콜론 광장
Autovía de la Alcarria,오토비아 데 라 알카리아 (스페인)
Autovía de Huelva,오토비아 데 우엘바 (스페인)
Autovía de La Mariña,오토비아 데 라 마리냐 (스페인)
Autovía A-91,A-91 고속도로 (스페인)
Banco de España,스페인 은행
Club Deportivo Leganés,CD 레가네스
Latina,라티나
Bilbao Athletic,빌바오 아틀레틱
Culleredo,쿠예레도
Caminito del Rey,카미니토 델 레이
Himno de Canarias,카나리아 제도의 국가
Hospital de la Santa Caridad,오스피탈 데 라 카리다드
Serie 594 de Renfe,렌페 594급
Agencia EFE,EFE
Museo Nacional de Arte de Cataluña,카탈루냐 미술관
Oficina de Propiedad Intelectual de la Unión Europea,유럽 공동체 상표청
Autovía Ciudad Real-Puertollano,시우다드 레알-푸에르톨라노 고속도로 (스페인)
Autovía de Toledo,오토비아 데 톨레도 (스페인)
Autovía de la Costa de la Luz,오토비아 데 라 코스타 데 라 루즈 (스페인)
Cedeira,세데이라
Villahermosa,비야에르모사
Escuela Técnica Superior de Arquitectura de Madrid,마드리드 건축학교
Port Vell de Barcelona,벨 항구
La Latina,라 라티나 역
Exposición Internacional de Zaragoza,2008년 세계 박람회
ruta europea E15,유럽 고속도로 15호선
Iglesia católica en España,스페인의 로마 가톨릭교회
relaciones internacionales de España,스페인의 대외 관계
Amigos para siempre,Amigos para Siempre
Paralelo 41 norte,북위 41도
Autovía del Cantábrico,오토비아 델 칸타브리코 (스페인)
Copa del Generalísimo de fútbol 1969,코파 델 헤네랄리시모 1969
Costa Granadina,코스타트로피칼
Copa del Rey de fútbol 1988-89,코파 델 레이 1988-89
Bandera de Ceuta,세우타의 기
Biescas,비에스카스
Museo de Cera de Barcelona,바르셀로나 왁스 박물관
Rosalejo,로살레호
Fundación Joan Miró,미로 미술관
Transición Española,스페인의 민주화
historia económica de España,스페인의 경제사
Mobile World Congress,모바일 월드 콩그레스
ruta europea E09,유럽 고속도로 09호선
Región de León,레온
Teatre Nacional de Catalunya,카탈루냐 국립극장
"Pabellón alemán, Barcelona",바르셀로나 독일관
Cobi,코비
Batalla de Santa Cruz de Tenerife,Battle of Santa Cruz de Tenerife
plaza de España,스페인 광장
Estadio Abanca Balaídos,에스타디오 데 발라이도스
Banco Bilbao Vizcaya Argentaria,BBVA
Grupo Santander,산탄데르 은행
Parque Nacional,스페인의 국립공원 목록
Selección de béisbol de España,스페인 야구 국가대표팀
Paralelo 42 norte,북위 42도
clima de España,스페인의 기후
Anexo:Yudo en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 유도
Real Academia de Bellas Artes de San Fernando,산 페르난도 왕립 예술원
Alcázar de Toledo,알카사르
cultura de España,스페인의 문화
Festival de Cine de Sitges,시체스 영화제
Gran Vía,그란비아
Huracán Valencia Club de Fútbol,우라칸 발렌시아 CF
balear,발레아레스어
Bankia,방키아
Barajas,바라하스
Batalla de Brihuega,브리우에가 전투
Orden Hospitalaria de San Juan de Dios,천주의 성 요한 수도회
Copa del Generalísimo de fútbol 1956,코파 델 헤네랄리시모 1956
Copa del Generalísimo de fútbol 1958,코파 델 헤네랄리시모 1958
Copa del Generalísimo de fútbol 1959-60,코파 델 헤네랄리시모 1959-60
Copa del Generalísimo de fútbol 1961-62,코파 델 헤네랄리시모 1961-62
Copa del Generalísimo de fútbol 1960-61,코파 델 헤네랄리시모 1960-61
Copa del Generalísimo de fútbol 1965-66,코파 델 헤네랄리시모 1965-66
selección de fútbol de Galicia,갈리시아 축구 국가대표팀
ruta europea E80,유럽 고속도로 80호선
Ilustración en España,스페인의 계몽주의
diócesis de Urgel,우르젤 교구
Liga ACB,리가 ACB
catedral de Toledo,톨레도 대성당
Estadio de Sarriá,에스타디 데 사리아
Montjuic,몬주이크
Estadio Ciudad de Valencia,발렌시아 시립 경기장
Plaza Mayor de Madrid,마요르 광장
Campeonato Mundial de Baloncesto de 2014,2014년 FIBA 농구 월드컵
Museo de Historia de Madrid,마드리드 역사박물관
Eusko Abendaren Ereserkia,바스크 지방의 국가
Trofeo Zamora,트로페오 리카르도 사모라
Selección de fútbol de Andalucía,안달루시아 축구 국가대표팀
Beach Soccer Worldwide,비치 사커 월드와이드
Ciudadela de Menorca,시우타데야데메노르카
Anexo:Saltos en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 다이빙
Monarquía Española,스페인의 군주
Aeropuerto de Reus,레우스 공항
Adidas Tango España,탱고 에스파냐
Vista de Toledo,톨레도 풍경
Pacto Ibérico,이베리아 조약
línea 1 del Metro de Barcelona,바르셀로나 지하철 1호선
Fraga,프라가
Puerto de Barcelona,바르셀로나 항구
Y vasca,바스크 Y
Estadio de los Juegos Mediterráneos,에스타디오 데 로스 후에고스 메디테라네오스
Copa del Rey de Fútbol 1905,코파 델 레이 1905
Copa del Rey de Fútbol 1904,코파 델 레이 1904
red ferroviaria española,스페인의 철도 교통
Estadio Municipal de Anduva,에스타디오 무니시팔 데 안두바
Convergència Democràtica de Catalunya,카탈루냐 민주 집중
judeoconverso,콘베르소
Copa Eva Duarte,코파 에바 두아르테
Metro de Palma de Mallorca,팔마 지하철
Destinos de Iberia,이베리아 항공의 운항 노선
Selección de fútbol sub-21 de España,스페인 U-21 축구 국가대표팀
Copa del Generalísimo de fútbol 1944,코파 델 헤네랄리시모 1944
Copa del Generalísimo de fútbol 1946,코파 델 헤네랄리시모 1946
Copa del Generalísimo de fútbol 1947,코파 델 헤네랄리시모 1947
Copa del Generalísimo de fútbol 1951,코파 델 헤네랄리시모 1951
Copa del Generalísimo de fútbol 1954,코파 델 헤네랄리시모 1954
Copa del Generalísimo de fútbol 1955,코파 델 헤네랄리시모 1955
Copa de la Coronación,코파 데 라 코로나시온
Copa del Generalísimo de fútbol 1940,코파 델 헤네랄리시모 1940
Copa del Generalísimo de fútbol 1939,코파 델 헤네랄리시모 1939
Copa del Generalísimo de fútbol 1941,코파 델 헤네랄리시모 1941
Copa del Generalísimo de fútbol 1942,코파 델 헤네랄리시모 1942
Copa del Generalísimo de fútbol 1944-45,코파 델 헤네랄리시모 1944-45
Copa del Rey de Fútbol 1920,코파 델 레이 1920
Copa del Rey de Fútbol 1921,코파 델 레이 1921
Copa del Rey de Fútbol 1922,코파 델 레이 1922
Copa del Rey de Fútbol 1923,코파 델 레이 1923
Copa del Rey de Fútbol 1924,코파 델 레이 1924
Copa del Rey de Fútbol 1926,코파 델 레이 1926
Aeropuerto de La Palma,라 팔마 공항
comarca de España,스페인의 자치 주
Copa del Rey de Fútbol 1913,코파 델 레이 1913
Copa del Rey de Fútbol 1908,코파 델 레이 1908
Copa del Rey de Fútbol 1909,코파 델 레이 1909
Copa del Rey de Fútbol 1911,코파 델 레이 1911
Copa del Rey de Fútbol 1910,코파 델 레이 1910
Copa del Rey de Fútbol 1912,코파 델 레이 1912
First meeting of the Internet Governance Forum,인터넷 거버넌스 포럼
Copa del Rey de fútbol 1983-84,코파 델 레이 1983-84
Copa de España de Fútbol 1936,코파 델 프레시덴테 데 라 레푸블리카 1936
Copa del Generalísimo de fútbol 1966-67,코파 델 헤네랄리시모 1966-67
Copa del Generalísimo de fútbol 1967-68,코파 델 헤네랄리시모 1967-68
Copa de España de Fútbol 1934,코파 델 프레시덴테 데 라 레푸블리카 1934
Aeropuerto de Gran Canaria,그란카나리아 공항
Copa de España de Fútbol 1935,코파 델 프레시덴테 데 라 레푸블리카 1935
Universiada de Invierno 1981,1981년 동계 유니버시아드
Selección de fútbol de Canarias,카나리아 제도 축구 국가대표팀
La Boquería,라 보케리아
Pozoblanco,포소블랑코
Copa del Rey de Fútbol 1916,코파 델 레이 1916
Copa del Rey de Fútbol 1915,코파 델 레이 1915
Copa del Rey de Fútbol 1917,코파 델 레이 1917
Copa del Rey de Fútbol 1918,코파 델 레이 1918
Copa del Rey de Fútbol 1919,코파 델 레이 1919
Aeropuerto de Sevilla,세비야 공항
Conferencia de Paz de Madrid,마드리드 회담
Copa de la Paz 2009,2009년 피스컵
Ensaimada de Mallorca,엔사이마다
Parque del Retiro,레티로 공원
Plan España,플랜 인터내셔널
Museo Arqueológico Nacional,국립 고고학 박물관
Kelme,켈미
Copa del Rey de Fútbol 1928,코파 델 레이 1928
Copa del Rey de Fútbol 1929,코파 델 레이 1928-29
Copa del Rey de Fútbol 1930,코파 델 레이 1930
Copa de España de Fútbol 1932,코파 델 프레시덴테 데 라 레푸블리카 1932
Copa del Rey de fútbol 1989-90,코파 델 레이 1989-90
Copa del Rey de fútbol 1990-91,코파 델 레이 1990-91
Copa del Rey de fútbol 1991-92,코파 델 레이 1991-92
Copa del Rey de fútbol 1992-93,코파 델 레이 1992-93
Copa del Rey de fútbol 1993-94,코파 델 레이 1993-94
Copa del Rey de fútbol 1995-96,코파 델 레이 1995-96
Copa del Rey de fútbol 1994-95,코파 델 레이 1994-95
Copa del Rey de fútbol 1996-97,코파 델 레이 1996-97
Universiada de Invierno 1995,1995년 동계 유니버시아드
Divisiones regionales de fútbol de España,디비시오네스 레히오날레스
Monumento,스페인 국가문화재
Unió Esportiva Sant Andreu,UE 산트 안드레우
Línea de alta velocidad Madrid-Levante,마드리드-레반테 고속선
Algar,알가르
Segunda División de España 1940/41,세군다 디비시온 1940-41
Segunda División de España 1933/34,세군다 디비시온 1933-34
español murciano,무르시아어
Mazamorra,마사모라
Copa del Rey de fútbol 2005-06,코파 델 레이 2005-06
Copa del Rey de fútbol 2007-08,코파 델 레이 2007-08
Copa del Rey de fútbol 2008-09,코파 델 레이 2008-09
Copa del Rey de fútbol 2009-10,코파 델 레이 2009-10
Copa del Rey de fútbol 2006-07,코파 델 레이 2006-07
Copa del Rey de fútbol 1998-99,코파 델 레이 1998-99
Copa del Rey de fútbol 1999-00,코파 델 레이 1999-2000
Copa del Rey de fútbol 2002-03,코파 델 레이 2002-03
Copa del Rey de fútbol 2001-02,코파 델 레이 2001-02
Copa del Rey de fútbol 2003-04,코파 델 레이 2003-04
Copa del Rey de fútbol 2004-05,코파 델 레이 2004-05
Segunda División de España 1953/54,세군다 디비시온 1953-54
Algodonales,알고도날레스
Cornisa Cantábrica,에스파냐 베르데
Costa de la Luz,코스타데라루스
Virgen de la Almudena,알무데나의 성모
Historia del constitucionalismo español,스페인 헌법
Segunda División de España 1950/51,세군다 디비시온 1950-51
PortAventura World,포르트아벤투라
Segunda División de España 1949/50,세군다 디비시온 1949-50
Aeropuerto de Tenerife Sur,테네리페 수르 공항
plaza de Cataluña,카탈루냐 광장
Final de la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 결승전
Himno del Fútbol Club Barcelona,칸트 델 바르사
Orbea,오베아
Segunda División de España 1974/75,세군다 디비시온 1974-75
Imperio español en Asia y Oceanía,스페인령 동인도
Segunda División de España 1973/74,세군다 디비시온 1973-74
Segunda División de España 1970/71,세군다 디비시온 1970-71
Segunda División de España 1958/59,세군다 디비시온 1958-59
Segunda División de España 1994/95,세군다 디비시온 1994-95
Vejer de la Frontera,베헤르데라프론테라
Tomatina,토마티나
Meseta Central,메세타고원
Sahagún,사아군
Parla,파를라
Paralelo 39 norte,북위 39도
Torre Emperador Castellana,토레 에스파시오
Segunda División de España 1959/60,세군다 디비시온 1959-60
Segunda División de España 1960/61,세군다 디비시온 1960-61
Segunda División de España 1963/64,세군다 디비시온 1963-64
Segunda División de España 1996/97,세군다 디비시온 1996-97
Himno de las Cortes,코르테스 찬가
árabe andalusí,안달루시아 구어체 아랍어
Nou Mestalla,노우 메스타야
Segunda División de España 1965/66,세군다 디비시온 1965-66
Segunda División de España 1981/82,세군다 디비시온 1981-82
Segunda División de España 1962/63,세군다 디비시온 1962-63
Segunda División de España 1967/68,세군다 디비시온 1967-68
Segunda División de España 1957/58,세군다 디비시온 1957-58
Segunda División de España 1961/62,세군다 디비시온 1961-62
Campo de Fútbol de Vallecas,캄포 데 푸트볼 데 바예카스
Almarza,알마르사
Laredo,라레도
Cambrils,캄브릴스
Bershka,버쉬카
Valls,발스
Gran Premio de España de Motociclismo,스페인 그랑프리
Copa del Rey de fútbol 2000-01,코파 델 레이 2000-01
Orden de Frailes Menores,작은형제회
Alentisque,알렌티스케
Estaca de Bares,에스타카데바레스곶
Museo Picasso Málaga,피카소 미술관
Cola Cao,콜라 카오
Academia del Aragonés,아라곤어 아카데미아
Narón,나롱
Aldealices,알데알리세스
Aldealafuente,알데알라푸엔테
cántabro,칸타브리아어
Adradas,아드라다스
Estadio Carlos Tartiere,에스타디오 카를로스 타르티에레
Marca,마르카
Estadio Municipal de Anoeta,에스타디오 아노에타
real español,스페인 레알
FON,FON
Abejar,아베하르
Valencia Club de Fútbol Mestalla,발렌시아 CF 메스타야
Granada 74 Club de Fútbol,그라나다 74 CF
Font màgica de Montjuïc,몬주이크 마법의 분수
Alconaba,알코나바
Estadio Metropolitano,메트로폴리탄 스타디움
Arenillas,아레니야스
Almajano,알마하노
Vinaroz,비나로스
Estadio de Mendizorroza,에스타디오 데 멘디소로차
Estadio Municipal de Butarque,에스타디오 무니시팔 데 부타르케
Estrella Damm,에스트렐라 담
Edificabilidad,용적률
Palma del Río,팔마델리오
Trofeo Teresa Herrera,트로페오 테레사 에레라
Camp de Les Corts,캄 데 레스 코르츠
Oliva,올리바
Molina de Segura,몰리나데세구라
Archidiócesis de Toledo,가톨릭 톨레도 대교구
Madrid Arena,마드리드 아레나
Costa Blanca,블랑카 해안
Instituto Nacional de Técnica Aeroespacial,스페인 국립 항공우주 기술 기구
Constitución de España de 1812,1812년 스페인 헌법
Villaverde,비야베르데
Observatorio Fabra,파브라 천문대
Teneguía,테네기아
ruta europea E82,유럽 고속도로 82호선
Aeropuerto de Ciudad Real,시우다드레알 센트랄 공항
Aeropuerto de Valladolid,바야돌리드 공항
Copa del Rey de Fútbol 1927,코파 델 레이 1927
Obras de Antoni Gaudí,안토니 가우디의 건축
Pinar de Chamartín,피나르 데 차마르틴 역
El Escorial,엘에스코리알
El Mundo,엘 문도
Ortigueira,오르티게이라
Iberdrola,이베르드롤라
Aeropuerto de Granada,그라나다 국제공항
Aeropuerto de Ibiza,이비사 공항
Vino de España,스페인 와인
Leiro,레이로
Aeropuerto de San Sebastián,산세바스티안 공항
Aeropuerto de Santiago-Rosalía de Castro,산티아고 로살리아 데 카스트로 공항
Laracha,아라라차
Aeropuerto de La Coruña,라코루냐 공항
Aeropuerto César Manrique Lanzarote,란사로테 공항
Aeropuerto de Asturias,아스투리아스 공항
Gran Premio de Cataluña de Motociclismo,카탈루냐 그랑프리
Anexo:Vela en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 요트
Rois,로이스
Montiel,몬티엘
Anexo: Autopistas y autovías de España,부록: 스페인의 고속도로 및 이중 차도
Puebla de la Calzada,푸에블라데라칼사다
Club de Futbol Reus Deportiu,CF 레우스
Villagarcía de Arosa,빌라가르시아데아로우사
Final de la Copa de Campeones de Europa 1955-56,1956 유러피언컵 결승전
Final de la Liga Europa de la UEFA 2011-12,2012 UEFA 유로파리그 결승전
Ciudadanos,시민당
Centro de Satélites de la Unión Europea,유럽연합 인공위성 센터
Cuerpo de Infantería de Marina,스페인 해병대
Estación de Duque de Pastrana,두케 데 파스트라나 역
Estadio El Molinón-Enrique Castro Quini,엘 몰리논
Supercopa de España de Fútbol 2011,수페르코파 데 에스파냐 2011
Coliseum Alfonso Pérez,콜리세움 알폰소 페레스
Estación de Hospital 12 de Octubre,오스피탈 12 데 옥투브레 역
Sociedad Deportiva Compostela,SD 콤포스텔라
Estación de Canillejas,카니예하스역
Rioja,리오하
Costa Cálida,칼리다 해안
Montalbán,몽탈반
Aeropuerto de Tenerife Norte,로스로데오스 공항
Línea de alta velocidad La Sagra-Toledo,마드리드-톨레도 고속선
Universidad Politécnica de Cataluña,카탈루냐 공과대학교
La Masía,라 마시아
Lasarte-Oria,라사르테오리아
Muniesa,무니에사
Guardia Civil,과르디아 시빌
Nogales,노갈레스
Porriño,오 포리뇨
Lousame,로우사메
Mundo Deportivo,엘 문도 데포르티보
Día de las Letras Gallegas,갈리시아 문학의 날
Catedral de Santa María de Valencia,발렌시아 대성당
paseo de la Castellana,파세오 데 라 카스테야나
La Acebeda,라아세베다
Paradores de Turismo,파라도르
Mora,모라
línea 8 del Metro de Madrid,마드리드 지하철 8호선
Catedral de Santa María de Segovia,세고비아 대성당
La Estrada,아에스트라다
Pegaso,페가소
GTA Motor,스파니아 GTA
Autovía del Sur,오토비아 델 수르 (스페인)
Siemens Gamesa,지멘스 가메사
Ramal,마드리드 지하철 라말선
Festival Sónar,소나르 페스티벌
Primera División de España 1999/2000,프리메라리가 1999-2000
Organización Internacional de Comisiones de Valores,국제증권관리위원회
puente de San Martín,산마르틴 다리
Balenciaga,발렌시아가
plaza de Cibeles,시벨레스 광장
Capitán General de las Filipinas,스페인령 필리핀 총독
Grupo ACS,ACS
Grupo Compostela,콤포스텔라 그룹
Valga,발가
Iberia Express,이베리아 익스프레스
Tribunal Constitucional,스페인 헌법재판소
línea 5 del Metro de Madrid,마드리드 지하철 5호선
fútbol tiquitaca,티키타카
Rioja,리오하
línea 12 del Metro de Madrid,마드리드 지하철 12호선
Carcagente,카르카익센트
Asociación Internacional de Sociología,국제사회학회
Selección de voleibol de España,스페인 배구 국가대표팀
plaza de España,스페인 광장
Real Club Deportivo de La Coruña "B",데포르티보 파브릴
Himno de Ceuta,세우타의 국가
Himno de Melilla,멜리야의 국가
España napoleónica,조제프 보나파르트 치하의 스페인
Final de la Copa del Rey de fútbol 2010-2011,2011 코파 델 레이 결승전
Juntas de Ofensiva Nacional-Sindicalista,국민생디칼리슴 공세평의회
Javier,하비에르
Ducado de Medinaceli,메디나셀리 공작
Campeonato Mundial de Natación en Piscina Corta de 1993,1993년 세계 쇼트 코스 수영 선수권 대회
nacionalismo catalán,카탈루냐 민족주의
gastronomía de Cataluña,카탈루냐 요리
Salamanca,살라망카
Tetuán,테투안
Copa del Generalísimo de fútbol 1972-73,코파 델 헤네랄리시모 1972-73
Transportes Metropolitanos de Barcelona,바르셀로나 광역 교통
Arroyomolinos,아로요몰리노스
Aya,아이아
Real Jardín Botánico de Madrid,마드리드 왕립식물원
Trofeo Miguel Muñoz,트로페오 미겔 무뇨스
Villaviciosa de Odón,비야비시오사데오돈
Cuntis,쿤티스
Clasificación de Conmebol para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 남아메리카 지역 예선
Tariego de Cerrato,타리에고데세라토
Catalán oriental,동부 카탈루냐어
Reino de Granada,그라나다 왕국
ruta europea E901,유럽 고속도로 901호선
La Romana,라로마나 (스페인)
Jalón,할론
Club Deportivo Calahorra,CD 칼라오라
línea 2 del Metro de Madrid,마드리드 지하철 2호선
línea 7 del Metro de Madrid,마드리드 지하철 7호선
Softonic,소프트오닉
Autovía de Castilla,오토비아 데 카스티야 (스페인)
línea 3 del Metro de Madrid,마드리드 지하철 3호선
línea 1 del Metro de Madrid,마드리드 지하철 1호선
línea 4 del Metro de Madrid,마드리드 지하철 4호선
Anchuelo,안추엘로
Autopista AP-37,AP-37 고속도로 (스페인)
Palacio de Cibeles,시벨레스궁
Eurorregión Pirineos Mediterráneo,피레네-지중해 유로리전
Productores de Música de España,푸로무시카에
École pour l'informatique et les nouvelles technologies,에피텍
Priorato,프리오라트 포도주
El Raval,라발 / 바리 크시니스
línea 9 del Metro de Madrid,마드리드 지하철 9호선
línea 10 del Metro de Madrid,마드리드 지하철 10호선
Quesada,케사다
Estadio Metropolitano de Madrid,에스타디오 메트로폴리타노 데 마드리드
Era Galáctica del Real Madrid,갈락티코스
Iglesia Palmariana,팔마리아나 가톨릭 교회
Estación de Argüelles,아르궤예스역
Ciudad Lineal,시우다드리네알
Chamberí,참베리
Centro,센트로
Estación de Sol,솔역
Estación de La Elipa,라 엘리파 역
Estación de Lago,라고역
Copa del Rey de fútbol 1979-80,코파 델 레이 1979-80
Chamartín,차마르틴
Palacio Vistalegre,팔라시오 비스탈레그레
Alameda del Valle,알라메다델바예
Alginet,알히네트
Torrebeses,토레베세스
Estación de Plaça de Sants,플라사 데 산츠 역
Estación de Carabanchel,카라반첼역
Estación de Legazpi,레가스피역
Estación de Manuel Becerra,마누엘 베세라 역
Retiro,레티로역
Rubén Darío,루벤 다리오 역
Estación de Marqués de Vadillo,마르케스 데 바디요 역
Estación de Colonia Jardín,콜로니아 하르딘 역
Callao,카야오역
Estación de Rivas Futura,리바스 푸투라 역
Estación de Estrecho,에스트레초역
Diego de León,디에고 데 레온 역
Estación de San Bernardo,산 베르나르도 역
Estación de Conde de Casal,콘데 데 카살 역
Estación de Ventura Rodríguez,벤투라 로드리게스 역
Estación de La Moraleja,라 모랄레하 역
Estación de Fuencarral,푸엥카랄역
Estación de Puerta de Arganda,푸에르타 데 아르간다 역
Estación de Batán,바탄역
Estación de Valdeacederas,발데아세데라스역
Estación de Arganda del Rey,아르간다 델 레이 역
Estación de Gregorio Marañón,그레고리오 마라뇬 역
Estación de Arganzuela-Planetario,아르간수엘라-플라네타리오 역
Estación de San Cristóbal,산 크리스토발 역
Estación de Pirámides,피라미데스역
Estación de Hospital de Bellvitge,우스피탈 데 벨비제 역
estación de Cuatro Vientos,콰트로 비엔토스 역
Estación de San Francisco,산 프란시스코 역
Oporto,오포르토역
Estación de Empalme,엠팔메역
Estación de San Fermín-Orcasur,산 페르민-오르카수르 역
Estación de Cartagena,카르타헤나역
Estación de Eugenia de Montijo,에우헤니아 데 몬티호 역
Isla del Trocadero,트로카데로섬
Universiada de invierno 2015,2015년 동계 유니버시아드
Estación de Ciudad Lineal,시우다드 리네알 역
municipio de España,스페인의 무니시피오
Alameda de Osuna,알라메다 데 오수나 역
Intercambiador de Aluche,알루체역
Estación de San Fernando,산 페르난도 역
Estación de Peñagrande,페냐그란데역
Estación de Jarama,하라마역
Metro Ligero 1,마드리드 경전철 1호선
Estación de Montecarmelo,몬테카르멜로역
Estación de Reyes Católicos (Metro de Madrid),레예스 카톨리코스 역
Estación de Henares,에나레스역
Estación de Torre Arias,토레 아리아스 역
Estación de Sevilla (Madrid),세비야역
Estación de El Capricho,엘 카프리초역
Puerta de Toledo,푸에르타 데 톨레도 역
Estación de Prosperidad,프로스페리다드역
Estación de Hortaleza,오르탈레사역
Estación de Villaverde Bajo-Cruce,비야베르데 바호-크루세 역
Estación de Cuatro Caminos,콰트로 카미노스 역
paseo del Prado,파세오 델 프라도
Clasificación de UEFA para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 유럽 지역 예선
Supercopa de España de Fútbol 2009,수페르코파 데 에스파냐 2009
Irizar,이리사르
Tratado de San Lorenzo (1795),핑크니 조약
Copa RFEF,코파 RFEF
Algemesí,알헤메시
calle de Alcalá,알칼라가
Moratalaz,모라탈라스
Primavera Sound,프리마베라 사운드
Copa Intercontinental 2002,2002년 인터콘티넨털컵
nacionalcatolicismo,국민가톨릭
Estadio Montilivi,에스타디 무니시팔 데 몬틸리비
ruta europea E803,유럽 고속도로 803호선
Pulpo a la gallega,폴부 아 페이라
Estación de Herrera Oria,에레라 오리아 역
Estación de Colombia,콜롬비아역
Plaza de Castilla,플라사 데 카스티야 역
Concha Espina,콘차 에스피나 역
Eclipse solar del 12 de agosto de 2026,2026년 8월 12일 일식
Estación de Ibiza,이비사역
Estación de Estrella,에스트레야역
Supercopa de España de Fútbol 2002,수페르코파 데 에스파냐 2002
Club de Madrid,마드리드클럽
río Tirón,티론강
Autovía Ruta de la Plata,루타 데 라 플라타 고속도로 (스페인)
Estación de Santo Domingo,산토 도밍고 역
Radio Exterior de España,라디오 엑스테리오르 데 에스파냐
Segunda División de España 2012/13,세군다 디비시온 2012-13
Estación de Moncloa,몽클로아역
Comité Olímpico Español,스페인 올림픽 위원회
Copa del Generalísimo de fútbol 1948,코파 델 헤네랄리시모 1947-48
Supercopa de España de Fútbol 2006,수페르코파 데 에스파냐 2006
Supercopa de España de Fútbol 1982,수페르코파 데 에스파냐 1982
Verja de Gibraltar,스페인-지브롤터 국경
Estación de Feria de Madrid,페리아 데 마드리드 역
Estación de Antón Martín,안톤 마르틴 역
Espronceda,에스프론세다
Montes vascos,바스크산맥
República Argentina,레푸블리카 아르헨티나 역
Estación de Ríos Rosas,리오스 로사스 역
Estación de Rivas Vaciamadrid,리바스 바시아마드리드 역
Estación de Rivas-Urbanizaciones,리바스 우르바니사시오네스 역
Estación de Pavones,파보네스역
Estación de Canal,카날역
Fiestas españolas,스페인의 공휴일
Palacio de San Telmo,산텔모궁
Estación de Barrio del Pilar,바리오 델 필라르 역
ruta europea E801,유럽 고속도로 801호선
Teleférico de Montserrat,몬세라트 케이블카
frontera entre España y Andorra,스페인-안도라 국경
Museo de Bellas Artes de Sevilla,세비야 미술관
Estación de Ascao,아스카오역
Estación de Cuzco,쿠스코역
Antonio Machado,안토니오 마차도 역
Estación de Las Musas,라스 무사스 역
Estación de San Blas,산 블라스 역
Estación de Avenida de la Ilustración,아베니다 데 라 일루스트라시온 역
Copa Intercontinental 1992,1992년 인터콘티넨털컵
Estación de Aeropuerto T1-T2-T3,아에로푸에르토 T1-T2-T3역
Metro de Málaga,말라가 지하철
