Alexandra Stan,亞歷山德拉·斯坦
Gheorghiță Ștefan,格奥尔基策·斯特凡
Rodica Șerban,罗迪卡·谢尔班
Aurel Baranga,A. 巴兰格
Radu Berceanu,拉杜·贝尔恰努
Nancy Brandes,西爾維奧·南西·布蘭德斯
Ioana Papuc,伊万娜·罗塔鲁
Grigore Ion Răceanu,格雷戈里·扬·勒强努
Mihaela Buzărnescu,米哈埃拉·布扎内斯库
Gheorghe Pîrvan,格奥尔基·珀尔万
Simona Mușat,西蒙娜·穆沙特
Grigore Obreja,格里戈里·奧布雷賈
Marin Sorescu,M. 索雷斯库
Andreea Bălan,安德烈亚·巴兰
Principesa Elena a României,埃列娜公主
Rareș Dumitrescu,拉雷什·杜米特雷斯库
Mihail Manoilescu,米哈伊爾·馬諾萊斯庫
Claudiu Bleonț,克劳迪乌·布莱翁茨
Ștefan Foriș,斯特凡·福里什
Lucrețiu Pătrășcanu,卢克雷奇·帕特拉什卡努
Henry Deutschmeister,亨利·德意志迈斯特
Günther Enescu,金特·埃内斯库
Raluca Turcan,拉卢卡·图尔坎
Geo Bogza,杰奥·博格萨
Relu Fenechiu,雷盧·費內基烏
Iacob Felecan,雅各布·费莱坎
Paul-Philippe Hohenzollern Lambrino,保罗-菲利普·霍亨索伦
Henry Moskowitz,亨利·莫斯科维茨
Ioan Grigoraș,伊万·格里戈拉什
Haralamb Georgescu,哈拉蘭姆·H·喬治斯庫
Edmund Nagy,纳吉·米克洛什
Rodica Frîntu,罗迪卡·弗伦图
Rodica Popescu Bitănescu,罗迪卡·波佩斯库·比塔内斯库
Călin Peter Netzer,卡林·皮特·内策尔
Remus Pricopie,萊姆斯·普里科皮耶
Haralambie Ivanov,哈拉兰比耶·伊万诺夫
Victor Iliu,維克多·伊柳
Pantelimon Erhan,潘泰利蒙·埃尔汉
Iacob Zadik,雅各布·扎迪克
Andrei Igorov,安德烈·伊戈罗夫
Toma Simionov,托马·西苗诺夫
Guess Who,格斯·胡
Samoilă Mârza,薩摩伊拉·默爾札
Simion Cuțov,西米翁·库措夫
Roman Vartolomeu,罗曼·瓦尔托洛梅乌
Nicolae Pescaru,尼古拉·佩斯卡鲁
Marin Tufan,马林·图凡
Ștefan Petrescu,斯特凡·彼得雷斯库
Sari Szasz,萨里·萨斯
Gheorghe Duca,格奥尔基·杜卡
Constantin Christescu,康斯坦丁·克里斯泰斯庫
Silviu Prigoană,西尔维·普利戈亚纳
Simion Popescu,西米翁·波佩斯库
Constantin I. Angelescu,康斯坦丁·安盖列斯库
Constantin Negruzzi,康斯坦丁·內格魯濟
Constantin Prezan,康斯坦丁·普雷贊
Vasile Patilineț,瓦西列·帕蒂利内茨
Spiru Haret,斯皮鲁·哈雷特
Ernest Grunfeld,厄尔尼·格伦菲尔德
Horia Macellariu,霍里亚·默切拉留
Anastasia Lazariuc,安娜斯塔西亚·拉扎里克
Alexandru N. Lahovari,亞歷山大·拉霍瓦里
Horace Dediu,Horace Dediu
Horațiu Năstase,贺拉斯· 讷斯塔塞
Grigore C. Moisil,格里戈里·C·莫伊西爾
Camil Petrescu,卡米尔·佩特雷斯库
Ion Popescu-Gopo,伊恩·波佩斯库-戈波
Victoraș Astafei,维克多拉斯·阿斯塔菲
Stelică Morcov,斯泰利克·莫尔科夫
Axel Moustache,阿克塞尔·穆斯塔切
József Bíró,约瑟夫·比罗
Horia Brenciu,霍里亚布伦丘
Aylin Cadîr,艾琳·卡迪尔
Petre Capusta,彼得·卡普斯塔
Barbu Zaharescu,巴尔布·查哈勒斯库
Claudia Laura Grigorescu,克劳迪娅·格里戈雷斯库
Elisabeta Tufan-Guzganu,伊丽莎白·古兹加努-图凡
Horia Moculescu,霍里亚·莫库列斯库
Sorin Macavei,索林·马卡韦伊
Eszter Tompa,埃斯特·汤帕
Rukmini Maria Callimachi,魯克米尼·瑪麗亞·卡利馬基
Tatiana Niculescu,塔蒂亞娜·尼古列斯庫
Florin Tene,弗洛林·泰恩
Serghei Covaliov,谢尔盖·科瓦廖夫
Alexandru Papană,亚历山德鲁·帕帕讷
Emil Loteanu,埃米爾·洛泰納
Dumitru Hubert,杜米特鲁·胡贝特
Ioan Florariu,伊万·弗洛拉留
Alexandru Potocean,亚力山德鲁·波托西恩
Ioana Strungaru,伊万娜·斯特伦加鲁
Traian Cihărean,特拉扬·奇赫雷安
Ion Nistor,扬·尼斯托尔
Traian Moșoiu,特拉扬·莫绍尤
Elena Bogdan,艾莲娜·博格丹
Alexandru Borbely,亚历山德鲁·博尔贝利
Victor Zilberman,维克托·齐尔伯曼
George Alexandru,喬治·亞歷山德魯
Ioana Tudoran,伊万娜·图多兰
Brăduț Covaliu,布勒杜·科瓦留
Bubu Cernea,布布·切尔内亚
Cheloo,切尔卢
Tudor Istodor,图尔多·伊斯托多尔
Tudor Postelnicu,图多尔·波斯泰尔尼库
Bobby Păunescu,鲍比·帕勒斯库
Iulian Vizitiu,伊萬·維齊蒂烏
Camelia Zorlescu,卡米莉亚·佐尔莱斯库
George Motoi,喬治·莫托伊
Cella Serghi,塞拉·塞尔吉
Georgiana Drumen,乔治亚娜·德鲁门
Clara Vodă,克拉拉·沃达
Corneliu Chifu,瓦尔特·基富
Dorel Năstase,瓦西里·讷斯塔塞
Ioanel Sinescu,约安内尔·西内斯库
Ionut Avram,阿夫拉姆
Ion Stoian,扬·斯托扬
Vasile Măstăcan,瓦西里·默斯特坎
Cella Delavrancea,切拉·代拉夫兰恰
Valentin Coșereanu,瓦伦丁·库埃雷亚努
Iulică Ruican,尤利克·鲁伊坎
Gheorghe Barbu,格奧爾基·巴爾布
Iosif Demian,约瑟夫·德米安
Istrate Micescu,伊斯特拉特·米切斯库
Claudiu Istodor,克劳迪·斯托多尔
Veronica Necula,韦罗妮卡·尼古拉
Irina Livezeanu,伊里娜·利韦泽亚努
Iulia Bobeică,尤利娅·布列
Gheorghe Demetrescu,格奧爾基·德梅特雷斯庫
Viorel Hrebenciuc,维奥雷尔·赫本丘克
Viorel Manole,维奥雷尔·马诺莱
Miron Nicolescu,米龙·尼科列斯库
Mircea Veroiu,米塞亚·贝罗
Victor Surdu,维克托·苏尔杜
Gheorghe Grigurcu,G. 格里古尔库
JerryCo,杰里科
Andra,安德拉
Constantin Mișelăricu,康斯坦丁·米塞拉里库
Vitalia Pavlicenco,維塔利亞·帕夫利琴科
Gheorghe Naghi,格奧爾基·納吉
Viorica Lepădatu,维多利亚·莱珀达图
Justin Georgescu,積斯甸·佐治斯古
Gheorghe Stoica,格奥尔基·斯托伊卡
Ștefan de la Bărbulești,什特凡·德拉·巴尔布尔什特
Ștefan Ciobanu,斯特凡·乔巴努
Ilie Ceaușescu,伊利耶·齐奥塞斯库
Iulian Arhire,尤利安·阿赫雷
Herta Anitaș,赫尔塔·阿尼塔什
Valentina Farcas,瓦倫提娜·法卡絲
Horia Hulubei,霍里亞·胡盧貝伊
Ion Caramitru,I. 卡拉米特鲁
Margareta Pâslaru,玛格丽塔·帕斯拉鲁
Petra Szőcs,佩特拉·斯佐茨
Ștefan Gușă,斯特凡·古沙
Lea Lexis,丽雅·莱克希斯
Constantin Sterea,康斯坦丁·斯泰雷亚
Teodora Albon,特奥多拉·阿尔邦
Alina Sorescu,阿丽娜·索雷斯库
Lucia Dumitrescu,露西亚·杜米特雷斯库
Constantin Popescu,康斯坦汀·波佩斯库
Larion Serghei,拉里翁·谢尔盖
Ladislau Lovrenschi,拉迪斯劳·洛夫伦斯基
Constantin Olteanu,康斯坦丁·奥尔泰亚努
Ștefan Voitec,斯特凡·沃伊捷克
Mariana Limbău,玛丽安娜·林伯乌
Lică Movilă,里克·莫维勒
Sanda Toma,珊达·托马 (皮划艇运动员)
Grasu XXL,德拉戈什·尼基福尔
Lili Sandu,莉莉·桑杜
Valentin Robu,瓦伦丁·罗布
Oana Gregory,奥纳·格雷戈里
Irina Loghin,伊丽娜·洛
Liviu Dragnea,利維烏·德拉格內亞
Vlad Ivanov,弗拉德·伊凡諾夫
Viorica Ioja,维奥丽卡·约扎
Principesa Irina a Romaniei,伊琳娜公主 (羅馬尼亞)
Cezar Florin Ouatu,塞扎尔
Márta Károlyi,玛尔塔·卡罗里伊
Corina Dănilă,科里纳·丹尼拉
Adelina Pastor,阿德利娜·帕斯托尔
Diana Moldovan,黛安娜·摩尔多瓦
Haralambie Boroș,哈拉蘭姆比·鮑羅什
Lucia Sauca,露西娅·托阿德尔
Lucian Dan Teodorovici,露西安·丹·特奥多罗维奇
Lothar Rădăceanu,洛塔尔·拉德齐亚努
Marcel Roșca,马塞尔·罗什卡
Corneliu Gârbea,科尔内留·吉尔比亚
Andreea Boghian,安德烈娅·博吉安
Cristina Ciobănașu,克里斯蒂娜·西奥班苏河
Maria Constantinescu,玛丽亚·康斯坦丁内斯库
Maria Magdalena Dumitrache,玛丽亚·玛格达列娜·杜米特拉凯
Maria Antonescu,玛丽亚·安东内斯库
Maria Pădurariu,玛丽亚·珀杜拉鲁
Maria Micșa,玛丽亚·米克沙
Maria Fricioiu,玛丽亚·弗里乔尤
Maricica Țăran,玛丽奇卡·策兰
Cătălin Saizescu,切塔林·塞泽斯库
Cristian Popescu Piedone,克里斯蒂安·安波佩斯库·佩多
Maria Dinulescu,玛丽亚·蒂努列斯库
Mario Marinică,馬里奧·馬里尼卡
Marioara Trașcă,马里瓦拉·特拉什克
Dan Condurache,达恩·康德里奇
Maria Obrenovici,瑪麗亞·歐布雷諾維奇
Cristina Grigoraș,克里斯蒂娜·格里戈拉什 (赛艇运动员)
Meyer Abraham Halevy,梅耶·亚伯拉罕·阿莱维
Marin Gheorghe,马林·格奥尔基
Ada Condeescu,阿达·孔代埃斯库
Marius Căta-Chițiga,马里乌斯·克塔-基齐加
Ioan Grigorescu,I. 格里戈列斯库
Marlena Zagoni-Predescu,马尔莱娜·扎戈尼
Mihai Macovei,米哈伊·馬科維
Gheorghe Lichiardopol,格奥尔基·利基亚尔多波尔
Serafina Moritz,莫里茨·塞拉菲娜
Mihai Cioc,米哈伊·乔克
Mihai Stoica,米海·斯托伊卡
Mihai Șora,米海·修拉
Mihai Morar,米哈伊·莫雷尔
Mihai Nicorec,尼科雷奇
Mihaela Armășescu,米哈埃拉·阿尔默塞斯库
Adrian Titieni,阿德里安·蒂蒂尼
Mircea Drăgan,米尔恰·德拉甘
Mircea Frățică,米尔恰·弗勒齐克
Vasilica-Viorica Dăncilă,維奧麗卡·登奇勒
Dan Nuțu,达恩·纳图
Mircea Daneliuc,米爾切亞·丹流克
Alexandru Darie,亚历山德鲁·达里
Mircea Nedelciu,M. 内德尔丘
Miron Constantinescu,米隆·康斯坦丁内斯库
Valer Toma,瓦莱尔·托马
Alexia Talavutis,亚历克西娅·塔拉乌蒂斯
Miron Mitrea,米隆·米特雷亞
Alexandru Ioanițiu,亚历山德鲁·约阿尼丘
Ion Bostan,艾恩·博斯坦
Amos Guttman,阿莫斯·格特曼
Sandu Eliad,桑杜·伊里亚德
Ion Gheorghe Truică,伊羅·喬治·特魯卡
Gheorghe Țițeica,格奧爾基·特捷伊卡
Smiley,斯迈利
Nicolae Breban,尼古拉·布雷班
Meinhard Edwin Mayer,迈因哈德·E·迈耶
Nicu Stoian,尼库·斯托扬
Niculae Nedeff,尼古拉·奈德夫
Draga Olteanu-Matei,德拉加·奧爾泰亞努·馬泰
Dragoș Buhagiar,德拉戈什·布哈吉亚尔
Ion Jinga,Ion Jinga
Nicolae Petrescu-Comnen,尼古拉·彼得雷斯库-科姆嫩
Anca Țurcașiu,安卡·特卡西
Ion Bunoaica,扬·布诺阿卡
Ion Bîrlădeanu (sportiv),扬·伯尔勒德亚努
Mihaela Gabriela Delcea,米哈埃拉·加布里埃拉·德爾恰
Ana Mureșan,安娜·穆雷尚
Ana Maria Moldovan,安娜·玛丽亚·莫尔多万
Neculae Pop,尼古拉·波普
Nicolae Rotaru,尼古拉·罗塔鲁
Ecaterina Oproiu,艾卡特琳娜·奧普羅尤
Andi Vasluianu,安迪·瓦斯卢亚努
Alina Rotaru-Kottmann,阿林娜·罗塔鲁-科特曼
Nicușor Dan,尼古松·丹
Alexandru Deaconu,阿里克桑德魯·德阿克諾
Ion Coman,扬·科曼
Ion Siminie,扬·西米尼
Ion Traian Ștefănescu,扬·特拉扬·斯特凡内斯库
Mihai Bobocica,米哈伊·博博奇卡
Angela Similea,安吉拉·西米莉亚
Dumitru Petrescu,杜米特鲁·彼特列斯库
Dumitru Popescu,杜米特鲁·波佩斯库
Dumitru Popa,杜米特鲁·波帕
Ion Pățan,扬·珀仓
Dumitru Velicu,杜米特鲁·韦利库
Noah Brosch,諾亞·布勒施
Ovidiu Iuliu Moldovan,奥维迪乌·尤柳·莫尔多万
Ovidiu Cornea,奥维迪乌·科尔内亚
Dumitru Georgescu-Kiriac,杜米特鲁·杰奥尔杰斯库·基里亚克
Paul Georgescu,保羅·佐治斯古
Elan Schwartzenberg,伊兰·施瓦曾伯格
Angel Tîlvăr,安杰尔·特尔沃尔
Octav Onicescu,奧克塔夫·奧尼采斯庫
Anghelache Donescu,安盖拉凯·多内斯库
Petre Ceapura,彼得·恰普拉
Petre Borilă,彼得·博里勒
István Kovács,伊斯特雲·科瓦茨
Elisa Leonida Zamfirescu,埃莉萨·莱奥尼达·扎姆菲雷斯库
Ernest Broșteanu,歐內斯特·布羅蒂亞努
Emil Lassaria,埃米尔·拉萨里亚
Matei Boilă,馬太·玻利拉
Mia Braia,米娅·布拉娅
Elvira Deatcu,埃尔维拉·迪特库
Emil Dumitrescu,埃米尔·杜米特雷斯库
Mihai Iacob,米哈伊·雅各布
Jesus del Cerro,杰斯·戴尔·塞罗
Laurențiu Cazan,劳伦廷·卡赞
Marius Vasile Cozmiuc,马里乌斯·科兹缪克
Mihai Constantinescu,米哈伊·康斯坦丁奈斯科
Aurel Miheleș,奧萊爾·米赫萊斯
Eugenia Vodă,欧根尼娅·沃达
Tudor Chirilă,杜铎·奇里拉
Mihaela Petrilă,米哈埃拉·彼得里勒
Mihai Tudose,米哈伊·杜多斯
Felicia Meleșcanu,费利恰·梅莱什卡努
Laurențiu Damian,劳伦蒂乌·达米安
Mihail Lupoi,米哈伊·卢波
Lina Ciobanu,利娜·乔巴努
Florea Dumitrescu,弗洛列亚·杜米特列斯库
Lora,洛拉
Mihail G. Cantacuzino,米哈伊尔·G·坎塔库兹诺
Ludovic Fazekas,卢德维克·法泽卡什
Leny Caler,莱尼·卡勒
Adrian Alin Demeter,乌齐
Horia Lovinescu,霍里亚·洛维内斯库
Florentin Pandele,弗劳兰丁·潘德雷
Mircea Anca,米爾恰·安卡
Mircea Banias,米尔恰·巴尼亚什
Nicolae Zamfir,尼古拉·扎姆菲尔
Clody Bertola,克洛迪·贝尔托拉
Florin Aurelian Popescu,弗洛林·奥勒扬·波佩斯库
Gabriel Pintilei,加布里埃尔·平蒂利
Malvina Urșianu,馬爾維娜·烏爾夏努
Mitzura Arghezi,米祖拉·阿尔盖济
Lucian Ifrim,露西安·伊夫里姆
Laura-Ioana Paar,劳拉·伊万娜·帕尔
Vasile Duță,瓦西里·杜塔
Manuela Hărăbor,曼努埃拉·哈甘布若
Mirel Ilieșiu,米雷爾·伊利埃休
Gabriel Huian,加布里埃尔·惠安
Marian Crișan,馬力安·克里桑
Petre Mihai Bănărescu,彼得·米哈伊·伯讷雷斯库
Mariu Manouly,马里乌斯·曼诺
Virgil Ogășanu,维吉尔·奥加萨努
Viorica Neculai,维奥丽卡·尼古拉
Jean Georgescu,让·杰奥尔杰斯库
Nae Caranfil,内伊·卡兰费
Vlad Rădescu,弗拉德·勒代斯库
Viorel Sălăgean,沙拉基恩
Virginia Andreescu Haret,維吉妮亞·安德萊斯克·哈雷特
Marius Bodochi,马里乌斯·博多奇
Marius Chivu,马里乌斯·基伏
Nicodim Ungurin,尼库丁·恩古里亚努
Andrian Candu,安德里安·坎杜
Valentin Balint,瓦伦丁·巴林特
Paul Ipate,保罗·伊帕特
Florian Tudor,弗洛里安·图尔多
Marian Sandu,马里安·桑杜
Csaba Ciugulitu,恰巴·丘古利图
Nicușor Constantinescu,尼克松·康斯坦丁奈斯科
Nicușor Constantinescu,尼克松·康斯坦丁奈斯科
Neda Marinescu,內達·馬里內斯庫
Aristide Teică,阿里斯蒂德·泰卡
Loredana Toma,洛雷达娜·托马
Mihai Dalea,米哈伊·达列亚
Anca Damian,安卡·达米安
Ricky Dandel,瑞奇·丹德尔
Valentin Teodosiu,范倫廷·泰多蘇
Eugen Uricaru,E. 乌力卡鲁
Marius Stan,馬里烏斯·史丹
Désirée Malonga,德西蕾·马隆加
Nicolae Lupu (istoric),尼古拉·卢普
Călin Turcu,卡林·圖爾庫
Nicolae Gheorghe,尼古拉·格奧爾基
Șerban Pavlu,谢尔班·帕弗卢
Petrisor Voinea,禾尼亞
Andreea Diaconu,安德烈娅·迪亚科努
Lucian Viziru,卢奇安·比斯鲁
Ștefan Velniciuc,斯特凡·韦尔尼西克
Gheorghe Visu,格奥尔格·维苏
Marius Florea Vizante,马鲁斯·弗瑞尔·维扎特
Augustin Viziru,Augustin Viziru
Dan Farcaș,丹·法卡斯
Bernadette Szőcs,伯納黛特·斯佐科斯
George Pușcaș,乔治·普什卡什
Iosif Uglar,约瑟夫·乌格拉尔
Mihai Roman,米哈伊·羅曼
Șerban Valeca,谢尔班·瓦莱卡
Victor Ioan Frunză,维克多·伊安·弗伦扎
Dinu Gavrilescu,卡瑞雷斯庫
Ștefan Tudor,斯特凡·图多尔
Viorel Sergovici,维奥雷尔·谢尔戈维奇
Márton Venczel,毛尔通·文采尔
Ovidiu Niculescu,奥维迪乌·尼古列斯库
Dinu Tănase,迪·塔纳西
Paul Păcuraru,保羅·帕庫拉魯
Albert Kitzl,艾伯特·基茨
Corina Chiriac,科里纳·奇里亚克
Dana Rogoz,达娜·罗戈斯
Dorin Recean,多林·雷切安
Gheorghe Ifrim,格奥尔格·伊夫里姆
Cornel Burtică,科尔内尔·布尔蒂卡
Costin Petrescu,科斯汀·佩特雷斯庫
Sorin Grindeanu,索林·葛林多努
Eduard-Michael Grosu,艾都華-麥可·葛洛蘇
Gheorghe Ghibănescu,格奧爾基·吉貝內斯庫
Beatrice Huștiu,比阿特丽斯·胡斯图
Alexandru Bindea,亚历山德鲁·波托赛昂
Alexandru Lăpușan,亞歷山德魯·納普山
Gheorghe Flondor,格奧爾格·弗隆多爾
Ilie Sârbu,伊利耶·瑟爾布
Olimpia Melinte,奥林匹娅·梅林特
Pimen Zainea,皮文·扎伊拿
Marina Florea,滨海弗洛雷亚
Alexandru Mazăre,亚历山德鲁·马萨雷
Ioan Șnep,伊万·什内普
Angelo Miculescu,安杰洛·米库列斯库
Simion Cuciuc,西米翁·库丘克
Hilda Péter,希尔达·佩特
Ioana Vafloana,伊万娜·帕尔乌莱斯库
Lavinia Pârva,拉维尼亚·麦穗鱼
Sergiu Luca,赛尔久·卢卡
Patricia Maria Țig,帕翠夏·瑪麗亞·蒂吉
Gheorghe Balș,格奧爾基·巴爾什
Isabela Neamțu,伊莎贝拉·尼姆图
Mihai Țurcaș,米哈伊·楚尔卡什
Marius Bațu,马里乌斯·巴圖
Anda Onesa,安达·奥内萨
Mirela Oprișor,米雷拉·普里莎
Ozana Barabancea,奥扎纳·巴拉班卡
Remus Kofler,雷穆斯·科夫勒
Gheorghe Cartianu-Popescu,格奧爾基·卡蒂亞努-波佩斯庫
Iulia Verdeș,尤利娅·迪斯
Rodica Mureșan,罗迪卡·穆雷桑
Alexander Nanau,亚历山大·纳瑙
Andrei Muntean (gimnast),安德雷伊·蒙泰安
Constantin Cotimanis,康斯坦丁·科蒂马尼斯
Ana Ularu,安娜·乌拉鲁
Octavian Morariu,歐塔萬·莫拉劉
Chris Serban,克里斯迪安·舍班
George Bălăiță,喬治·巴拉塔
Rudi Rosenfeld,鲁迪·罗森菲尔德
Nadia Ileana Bogorin,伊莲娜·康斯坦丁内斯库
Răzvan Rădulescu,勒兹万·勒杜雷斯库
Ender Memet,恩代尔·梅梅特
Tudor Ratiu,圖多爾·拉蒂烏
Sică Alexandrescu,S. 亚历山德雷斯库
Virgil Teodorescu,V. 特奥多雷斯库
Angela Moldovan,安吉拉·莫尔多万
Sebastian Colțescu,塞巴斯蒂安·科萊斯庫
Doina Jela,多依娜·耶拉
Laura Oprea,劳拉·奥普雷亚
Tudor Cristian Jurgiu,都鐸克里斯帝安朱爾尼
Maia Sandu,瑪雅·桑杜
George Simion,乔治·西蒙
Iulian Chifu,尤利安·奇福
Mircea Dușa,米尔恰·杜沙
Silvia Dumitrescu,西尔维娅·杜米特雷斯库
Erwin Stoff,埃文·斯托夫
Mădălina Bereș,默德利娜·贝雷什
Irina Bara,伊琳娜·芭拉
Gheorghe Oprea,格奥尔基·奥普雷亚
Silviu Curticeanu,西尔维乌·库尔蒂恰努
Anne Fabini,安娜·法比妮
Florin Piersic,小弗洛林·皮尔斯齐
Anton Arghira,安东·阿尔吉拉
Mihai Cișmaș,米哈伊·奇什马什
Petru Sudureac,彼得鲁·苏杜雷亚克
Ianis Hagi,亞尼斯·哈吉
Florin Zamfirescu,弗洛林·扎姆菲雷斯库
Alexandru Papadopol,亚历山德鲁·帕帕多波尔
Suzana Gâdea,苏扎娜·格德亚
Liviu Lucaci,利维乌·卢卡奇
Bogdan Albulescu,保丹·阿尔比莱斯卡
Roxana Gabriela Cogianu,罗克萨娜·科贾努
Ion Dichiseanu,伊翁·狄奇塞努
Dan-Mircea Popescu,丹-米爾恰·樸比斯古
Florin Tănase,弗罗林·塔纳塞
Titus Munteanu,提图斯·蒙泰安
Anca Puiu,安卡·普优
Dorian Popa,多利安·波帕
Astrid Fodor,Astrid Fodor
Tatiana Iekel,塔蒂阿娜·伊耶歌
Alina Grigore,阿丽娜·格里戈雷
Jean de la Craiova,让·德拉·克拉约瓦
Ovidiu Savin,奥维迪乌·萨温
Teodor Corban,特奥多·科本
Cuzin Toma,库津·托马
Ciprian Cezar Tudorascu,西普里安·塞扎爾·圖多拉斯庫
Mircea Rusu,米尔恰·鲁苏
Lia Bugnar,莉亚·巴格纳
Didier Nunes,迪·努涅斯
Adrian Sârbu,阿德里安·萨布
Mihai Bobonete,米哈伊·波波内特
Adél Csobot,阿德尔·乔博特
Mihaela Rădescu,米哈埃拉·勒代斯库
Puiu-Mircea Lăscuș,普优-米尔卡·拉斯库斯
Cosmin Seleși,科斯明·塞列斯
Ion Sapdaru,伊昂·萨普达鲁
Teodor T. Nalbant,特奥多尔·T·纳尔班特
Mariana Șora,玛丽安娜·索拉
Réka Mán-Várhegyi,雷卡·曼·瓦尔赫吉
Cătălin Bălescu,克特林·博雷斯库
Benone Sinulescu,伯诺娜·辛耳斯丘
Giulia Nahmany,朱莉娅·纳赫曼
Bogdan Dumitrache,博格丹·杜米特拉克
Ion Georgescu,扬·杰奥尔杰斯库
Andrea Miklos,安德烈娅·米克洛什
Oana Nechiti,瓦娜·内基蒂
Radu Bălan,拉杜·巴兰
Amna,阿姆娜
Emil Străinu,埃米爾·斯特勒伊努
Octavian Strunilă,奥克塔文·斯特鲁尼拉
Iosif Szasz,约瑟夫·萨斯
Ștefan Iancu,斯蒂芬·扬库
Gheorghe Mărdărescu,格奥尔基·默尔德雷斯库
Simona Pop,西蒙娜·波普
Gheorghe Crețu,格奧爾基·克雷蘇
Ion Frunzetti,扬·弗伦泽蒂
Ana Luiza Filiorianu,安娜·路易莎·菲廖里亚努
Nicolae Popescu,尼古拉·波佩斯库
Ion Tripșa,扬·特里普沙
Victor Vlad Cornea,维克托·弗拉达·科尔内亚
Ion Lungu,Ion Lungu
Grigore Gheorghe Cantacuzino,格里戈雷·格奥尔基·坎塔库兹诺
Răzvan Cotovelea,勒茲萬·科托韋萊亞
Petre Roșca,彼得·罗什卡
Andrei Gag,安德烈·加格
Jaqueline Cristian,杰奎琳·克里斯蒂安
Ștefania Mărăcineanu,斯特凡妮娅·默勒奇内亚努
Florin Andone,弗洛林·安多尼
Andrei Gruzsniczki,安德烈·格鲁兹尼茨基
Silviu Purcărete,西尔维乌·普卡雷特
Amos Frâncu,阿莫斯·弗伦库
Matei Balș,马泰·巴尔什
Nicolae Constantin,尼古拉·康斯坦丁
Bálint Adorjáni,巴尔林特·阿多贾尼
Denisa Tîlvescu,德尼莎·特尔韦斯库
Bogdan Aurescu,博格丹·奥雷斯库
Elisa Știrbei,埃莉薩·布勒蒂亞努
Dan Condrea,丹·康德里亚
Vergil Chițac,韦尔吉列·基察克
Olguța Berbec,奧古塔·贝尔贝克
Adrian Ovidiu Teban,阿德里安·奥维迪乌·特班
Elena-Gabriela Ruse,埃列娜-加布丽埃拉·鲁塞
Adrian Văncică,艾德里安·凡希加
Răzvan Marin,拉茲萬·馬林
Daniel Buzdugan,丹尼尔·布资杜甘
Ion Chelaru,伊昂·切拉鲁
Nelu Bălășoiu,内罗·伯勒绍尤
Răzvan Ciobanu,勒兹万·乔巴努
Lumi Docan,鲁米妮塔·多坎
Virgil Cazacu,维尔吉尔·卡扎库
Ada Moldovan,阿达
Constantin Bărbulescu,康斯坦丁·布尔布雷斯库
Florinel Coman,弗洛里內爾·科曼
Nicolae Soare,尼可拉·索阿雷
Mihai Voicu,米哈伊·沃伊库
Sevil Shhaideh,塞維爾·什海德
Sorin Cîmpeanu,索林·坎佩亞努
Anca Pop,安卡·波普
Bogdan Mirică,博格丹·马里卡
Ramona Pop,拉蒙娜·珀普
Cosmin Alin Popescu,科斯敏·阿林·波佩斯庫
Marcel Ciolacu,马切尔·乔拉库
Ilinca Călugăreanu,伊琳卡·卡卢加雷亚努
Andrei Toader,安德烈·托阿德尔
Adrian Romcescu,阿德里安·罗姆斯库
Mircea Romcescu,米尔恰·罗姆斯库
Alexandru Novac,亚历山德鲁·诺瓦克
Constantin Tutunaru,康斯坦丁·图图纳鲁
Anca Paliu Dragu,安卡·德拉古
Petru Mlendea-Căluș,Petru Mlendea-Căluș
Marius Raul Bostan,馬里斯·博斯坦
Patriciu Achimaș-Cadariu,帕特里克·阿奇玛什-卡达留
Vlad Voiculescu,弗拉德·沃库列斯库
Robert Alexander Baer,罗伯特·亚历山大·贝尔
Robert Glință,罗伯特·格林特
Ilinca Băcilă,伊琳卡·贝西拉
Nicolae Constantin Tănase,尼古拉·科斯坦丁·塔纳塞
Ronaldo Deaconu,羅納爾多·迪科努
Minelli,米内利
Ben-Oni Ardelean,本-奧尼·阿德萊恩
Florin Lazarescu,弗洛林·拉扎雷斯库
Alex Florea,亚历克斯·弗洛瑞亚
Dennis Man,丹尼斯·曼
Eugenia Șerban,欧亨尼娅·塞爾班
Alexandru Bologa,亚历克斯·博洛加
Ionuț Andrei Radu,约努茨·拉杜
Andrei Burcă,安德雷·布爾卡
Marius Panduru,马吕斯·潘杜鲁
Marius Marin,馬里烏斯·馬林
Ionela Cozmiuc,约内拉-利维娅·科兹缪克
Nicolae Ciucă,尼古拉·丘克
Darius-Adrian Postelnicu,达里乌斯-阿德里安·波斯特尔尼库
Bogdan Chipirliu,波格丹·奇皮尔鲁
Adina Galupa,阿迪娜·加鲁帕
Ruxandra Zenide,鲁珊德拉·泽尼德
Iulia Rugină,尤利娅·鲁吉纳
Marcela Topor,瑪琪拉·德波爾
Anton Tauf,安东·陶夫
Ovidiu Anton,奥维迪乌·安通
Adrian-Ioan Veștea,阿德里安-伊万·韦什泰亚
Cesonia Postelnicu,切塞尼亚·波斯特尔尼库
Bianca Andreescu,比安卡·安德列絲庫
Cristina Vasiu,克里斯蒂娜·瓦苏
Andrei Ciobanu,安德烈·乔巴努
Alexandru Cicâldău,亚历山德鲁·西卡尔道
Alexandru Mățan,亚历山德鲁·默灿
Tudor Băluță,杜陀·巴路達
Macanache,马赛南奇
Andrei Bernevig,B·安德烈·博纳维克
