GND-Kennung,GND ID
Bundesstraße 299,연방도 제299호선
6. Infanterie-Division,제6보병사단
Erzbistum München und Freising,가톨릭 뮌헨-프라이징 대교구
Blohm + Voss,블롬 플루스 포스
Zollkriminalamt,관세형사청
KiKA,KiKA
U-Bahnhof Alt-Mariendorf,알트마리엔도르프역
Bundesstraße 18,연방도 제18호선
Gemeinde in Deutschland,독일의 도시
Bundesstraße 244,연방도 제244호선
Simbach am Inn,짐바흐암인
Kölner Karneval,쾰른 카니발
Kabinett Merkel I,제1차 메르켈 내각
Füssen,퓌센
707. Infanterie-Division,제707경비사단
Radio-Sinfonieorchester Stuttgart,슈투트가르트 남서독일 방송 교향악단
Frankfurt-Niederursel,니더우어젤
Großer Preis von Deutschland 2011,2011년 포뮬러 원 독일 그랑프리
Württemberg-Hohenzollern,뷔르템베르크호헨촐레른주
Prüm,프륌
Schöppenstedt,쇠펜슈테트
Bahnhof Berlin-Hermsdorf,베를린 헤름스도르프역
U-Bahnhof Rehberge,레베르게역
Waldfriedhof München-Großhadern,뮌헨 발트프리트호프
Regierungsbezirk Halle,할레현
Bahnhof Berlin Messe Nord/ICC,베를린 메세 노르트/ICC역
Main Tower,마인 타워
Burghausen,부르크하우젠
Deutsche Volleyballnationalmannschaft der Männer,독일 배구 국가대표팀
oberdeutsche Mundarten,상부 독일어
Walhalla,발할라
Deutsch-niederländische Beziehungen,네덜란드-독일 관계
Ägyptisches Museum Berlin,베를린 이집트 박물관
Breg,브레그강
Halloren Schokoladenfabrik,할로렌 초콜릿 공장
Pascha,파샤
Anhalt-Köthen,안할트쾨텐
München-Unterhaching,운터하힝
Preußen Münster,프로이센 뮌스터
Brabus,브라부스
Nakam,나캄
München Hauptbahnhof,하우프트반호프
Städtisches Stadion an der Grünwalder Straße,그륀발데어 슈타디온
Mousesports,Mousesports
Barclays Arena,O2 월드 함부르크
Frankfurter Opern- und Museumsorchester,프랑크푸르트 무제움 관현악단
Faun,타다노 파운
Erzbistum Berlin,가톨릭 베를린 대교구
beyerdynamic,베이어다이나믹
Q Cells,한화솔라원
Lufthansa Cargo,루프트한자 카고
n-tv,n-tv
FSV Zwickau,FSV 츠비카우
Justus-Liebig-Universität Gießen,기센 유스투스 리비히 대학교
Max-Planck-Medaille,막스 플랑크 메달
Hallescher FC,할레셔 FC
Fußball-Regionalliga Südwest,레기오날리가 쥐트베스트
Bundeskanzleramt,독일 총리관저
Mecklenburger Bucht,메클렌부르크만
Schloss Bellevue,벨뷔궁
Straße des 17. Juni,6월 17일 거리
Uhlsport,울스포츠
Europastraße E22,유럽 고속도로 22호선
Red Dot Design Award,레드닷 디자인 어워드
Gamescom,게임스컴
Level 3 Communications,레벨 3 커뮤니케이션스
Hallstadt,할슈타트
Universität Mannheim,만하임 대학교
Olympia-Einkaufszentrum,올림피아 아인카우프스첸트룸
Vogelsberg,포겔스베르크산맥
Heinrich-Heine-Universität Düsseldorf,뒤셀도르프 대학교
Bundesstraße 263,연방도 제263호선
Düsseldorf Hauptbahnhof,뒤셀도르프 중앙역
Bundesstraße 513,연방도 제513호선
Uber Arena,메르세데스-벤츠 아레나
Photokina,포토키나
Bahnhof Berlin Heidelberger Platz,베를린 하이델베르거 플라츠역
Flughafen Nürnberg,뉘른베르크 공항
Universität zu Lübeck,뤼베크 대학교
Hauzenberg,하우첸베르크
trivago,트리바고
SSV Jahn Regensburg,SSV 얀 레겐스부르크
Kabel Eins,카벨 아인스
Audi Sport GmbH,아우디 스포트
Museumsinsel,박물관섬
Benediktinerabtei Neresheim,네레스하임 수도원
Ablösungsrecht,대위변제
Bahnstrecke Berlin–Blankenheim,베를린-블랑켄하임선
Oberstdorf,오베르스트도르프
Hertie School,헤르티 스쿨
DFL-Ligapokal,리가포칼
Bundesliga 2001/02,푸스발-분데스리가 2001-02
Museum für Photographie,사진박물관
CFosSpeed,cFosSpeed
Bahnhof Berlin-Westend,베를린 베스트엔트역
Bahnhof Berlin Beusselstraße,베를린 보이셀슈트라세역
Bahnhof Görlitz,괴를리츠역
Pilz,Pilz
Bahnhof Berlin-Adlershof,베를린 아들러스호프역
American Folk Blues Festival,American Folk Blues Festival
Finale der Fußball-Weltmeisterschaft 2006,2006년 FIFA 월드컵 결승전
Friedrich-Naumann-Stiftung für die Freiheit,프리드리히 나우만 재단
Deutscher Olympischer Sportbund,독일 올림픽 체육 연맹
Agfa,아그파게바트
Fußball-Europameisterschaft der Frauen 2001/Qualifikation,UEFA 여자 유로 2001 예선
Schloss Elmau,슐로스 엘마우
Nivea,니베아
Schlacht bei Großbeeren,그로스베렌 전투
Lanxess Arena,랑세스 아레나
SC Fortuna Köln,SC 포르투나 쾰른
SV Wehen Wiesbaden,SV 베헨 비스바덴
Technische Universität Darmstadt,다름슈타트 공과대학교
Worpswede,보릅스베데
Gesellschaft für Angewandte Mathematik und Mechanik,응용수학 및 역학 학회
Max-Planck-Institut für Wissenschaftsgeschichte,막스 플랑크 과학사 연구소
Kreuzberg,크로이츠베르크
S-Bahnhof Baumschulenweg,베를린 바움슐렌베크역
Bundesstraße 492,연방도 제492호선
Generalgouvernement Belgien,벨기에 총독부
Unglück bei der Loveparade 2010,러브 퍼레이드 압사 참사
Romantische Straße,로맨틱 가도
Staatsbibliothek Bamberg,밤베르크 주립도서관
Kitzingen,키칭엔
Bundesamt für Verfassungsschutz,독일 연방헌법수호청
Ruhr-Universität Bochum,보훔 루르 대학교
Karlsruher Institut für Technologie,카를스루에 공과대학교
OSRAM Licht AG,오스람
Konrad-Adenauer-Stiftung,아데나워재단
Reichspräsidentenwahl 1919,1919년 독일 대통령 선거
Infineon,인피니온 테크놀로지스
Edition of Contemporary Music,ECM 레코드
Dreisamstadion,드라이잠슈타디온
E.ON SE,E.ON
Beethoven-Haus,베토벤 하우스
Fürstenberg/Havel,퓌르스텐베르크/하벨
Bundesliga 2012/13,푸스발-분데스리가 2012-13
Toni&Guy,토니앤가이
Deutsche Erd- und Steinwerke,독일토공석공
Skulptur.Projekte,뮌스터 조각 프로젝트
Deutsche Eishockeynationalmannschaft,독일 아이스하키 국가대표팀
Acta Eruditorum,학술기요
Bundesnachrichtendienst,독일 연방정보부
RWTH Aachen,아헨 라인 베스트팔렌 공과대학교
Europäische Agentur für Flugsicherheit,유럽 연합 항공 안전청
KZ Flossenbürg,플로센부르크 강제 수용소
Warnemünde,바르네뮌데
Élysée-Vertrag,엘리제 조약
Fußballer des Jahres,독일 올해의 축구 선수
Our,오우르강
Deutsche Presse-Agentur,dpa 통신
Europastraße E532,유럽 고속도로 532호선
AbeBooks,AbeBooks
Bin Air,빈에어
Europapokal der Pokalsieger 1980/81,1980-81년 유러피언컵위너스컵
Condor Flugdienst,콘도르
Staatsoper Unter den Linden,베를린 국립 오페라
Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig,라이프치히 펠릭스 멘델스존 바르톨디 음악연극대학교
Fujitsu Siemens Computers,후지쯔 지멘스 컴퓨터스
Henkel,헨켈
World Wind Energy Association,세계풍력에너지협회
Europastraße E45,유럽 고속도로 45호선
Bundesstraße 318,연방도 제318호선
Adelsdorf,아델스도르프
Schöneberg,쇠네베르크
Bundesautobahn,아우토반
Sat.1,Sat.1
Tanztheater Wuppertal Pina Bausch,부퍼탈 시립무용단
Berliner Festspiele,베를린 페스티벌
Heliotrop,헬리오트롭
Tamron,Tamron
Telefunken,텔레풍켄
Deutsche Arbeitsfront,독일노동전선
DCF77,DCF77
Wolgadeutsche,볼가 독일인
ICE-Unfall von Eschede,에세데 대참사
Europastraße E55,유럽 고속도로 55호선
Heidelberger Ruderklub,하이델베르크 RK
Jefferies & Company,제프리스 & 컴퍼니
Olympische Sommerspiele 1972/Schwimmen,1972년 하계 올림픽 수영
Olympische Sommerspiele 1936/Fußball,1936년 하계 올림픽 축구
Flughafen Dortmund,도르트문트 공항
Europastraße E35,유럽 고속도로 35호선
Air Cargo Germany,독일화물항공
East Side Gallery,이스트 사이드 갤러리
FC Viktoria 09 Urberach,FC 빅토리아 09 우르베라흐
Kickers Emden,키커스 엠덴
Einwohnerentwicklung von Hamburg,함부르크의 인구
Bundesstraße 303,연방도 제303호선
Bundesregierung,독일 연방내각
Berchtesgaden,베르히테스가덴
Liste der politischen Parteien in Deutschland,독일의 정당 목록
Bayerischer Rundfunk,바이에른 방송
Kalk,칼크
Hamburger Abendblatt,함부르거 아벤트블라트
Cannstatter Volksfest,칸슈탄트 축제
S-Bahn Mitteldeutschland,중부독일 S반
Mainzer Fastnacht,라인 카니발
Musik Produktion Schwarzwald,MPS 레코드
Pommersche Bucht,포메라니아만
A. Lange & Söhne,아 랑에 운트 죄네
Bogenhausen,보겐하우젠
Bundesstraße 24,연방도 제24호선
Freisinnige Volkspartei,독일 자유사상당
Pfalz,팔츠
Neoplan,네오플랜
Heubach,호이바흐
Bundesstraße 322,연방도 제322호선
Usedomer Bäderbahn,우제도머 베더반
Bad Tölz,바트 톨즈
Leaves’ Eyes,리브즈 아이즈
Bahnhof Berlin Julius-Leber-Brücke,베를린 율리우스레버브뤼케역
Bahnstrecke Berlin–Halle,베를린-할레선
Demografie Deutschlands,독일의 인구
ASICS,아식스
Betriebsstellenverzeichnis,독일철도 철도역 코드 목록
Bereitschaftspolizei,상비경찰
Schmidt & Bender,슈미트 앤드 벤더
Railjet,레일젯
Wanne-Eickel,바네아이켈
Regierungsbezirk Braunschweig,브라운슈바이크현
Regierungsbezirk Lüneburg,뤼네부르크현
Bundesstraße 2 R,연방도 제2R호선
Brita,브리타
Stadtbahn Duisburg,뒤스부르크 슈타트반
Rechtsextremismus in Deutschland,독일의 극우 정치
Sozialversicherung,독일의 근로복지제도
Bundesstraße 495,연방도 제495호선
Heidelberger Schloss,하이델베르크성
Frieden von Aachen,엑스라샤펠 조약
HUS-Epidemie 2011,2011년 독일 슈퍼박테리아 확산
Europastraße E40,유럽 고속도로 40호선
Führungsakademie der Bundeswehr,연방군지휘참모대학
Schwäbisch,슈바벤어
Fußball-Weltmeisterschaft 2006/Gruppe G,2006년 FIFA 월드컵 G조
Bundesliga 2004/05,푸스발-분데스리가 2004-05
T-Mobile,T-모바일
Fliegerhorst Büchel,뷔셀 공군 기지
Moldauhafen,몰다우하펜
Sixtinische Madonna,시스티나 성모
Bundesliga 2003/04,푸스발-분데스리가 2003-04
Europastraße E28,유럽 고속도로 28호선
St. Salvator,구세주 교회
Fußball-Weltmeisterschaft 1974/Qualifikation,1974년 FIFA 월드컵 예선
Wahl in Deutschland,독일 선거 제도
Audi R15 TDI,아우디 R15
Carl Zeiss,칼자이스
Wahl des deutschen Bundespräsidenten 1949,1949년 독일 대통령 선거
Fußball-Weltmeisterschaft 2006/Gruppe D,2006년 FIFA 월드컵 D조
Fußball-Weltmeisterschaft 2006/Gruppe C,2006년 FIFA 월드컵 C조
Fußball-Weltmeisterschaft 2006/Gruppe E,2006년 FIFA 월드컵 E조
Fußball-Weltmeisterschaft 2006/Gruppe F,2006년 FIFA 월드컵 F조
Landtagswahl in Sachsen-Anhalt 2011,2011년 작센안할트 주의회 선거
Obersalzberg,오버잘츠베르크
Bundeskanzleramt,연방 총리실
Bundesstraße 224,연방도 제224호선
Frankfurt am Main Flughafen Fernbahnhof,프랑크푸르트 공항 장거리열차역
Bundesstraße 213,연방도 제213호선
Straßenbahn Frankfurt am Main,프랑크푸르트암마인 노면전차
Deutsche Fußballnationalmannschaft (U-21-Männer),독일 U-21 축구 국가대표팀
Tiergarten,티어가르텐
Bundesstraße 472,연방도 제472호선
NATO-Flugplatz Geilenkirchen,가일렌키르헨 NATO 공군기지
Freiwillige Selbstkontrolle der Filmwirtschaft,독일 영화등급분류기구
VfL Wolfsburg,VfL 볼프스부르크
Flughafen München-Riem,뮌헨 라임 공항
Kaltennordheim,칼텐노르트하임
Bingen am Rhein,빙겐암라인
Bundesstraße 475,연방도 제475호선
Preußische Akademie der Wissenschaften,프로이센 과학 아카데미
Lichtenberg,리히텐베르크구
U-Bahnhof Hansaplatz,한자플라츠역
Gameforge,게임포지 AG
Achern,아헤른
Fußball-Weltmeisterschaft 2006/Gruppe A,2006년 FIFA 월드컵 A조
S-Bahnhof Bellevue,베를린 벨뷔역
U-Bahnhof Moritzplatz,모리츠플라츠역
U-Bahnhof Bülowstraße,뷜로슈트라세역
Schlacht bei Großgörschen,뤼첸 전투
Bahnhof Berlin Südkreuz,베를린 쥐트크로이츠역
Biblis,비블리스
Glückstadt,글뤼크슈타트
Sowjetische Militäradministration in Deutschland,독일 소군정
Bundesstraße 485,연방도 제485호선
Wega,WEGA
World Games 1989,1989년 월드 게임
Bahnhof Berlin Karl-Bonhoeffer-Nervenklinik,베를린 카를본회퍼네르펜클리니크역
Britische Botschaft in Berlin,주독일 영국 대사관
DB Fernverkehr,DB 페른페르케하
Liqui Moly,리퀴 몰리
U-Bahnhof Osthafen,오스트하펜역
Akademie der Bildenden Künste München,뮌헨 미술원
Niedersächsische Akademie der Wissenschaften zu Göttingen,괴팅겐 과학원
Nord-Süd-Fernbahn,베를린 남북 장거리선
Aktiengesellschaft,악티엔게젤샤프트
Adtranz,ADtranz
Bundesstraße 240,연방도 제240호선
Koreaner in Deutschland,재독 한국인
Aerologic,에어로로직
Bahnhof Berlin Brandenburger Tor,베를린 브란덴부르거 토어역
Bahnhof Berlin-Staaken,베를린 슈타켄역
Bahnhof Konstanz,콘스탄츠역
Germanisches Nationalmuseum,게르만족 국립박물관
Mauermuseum,체크포인트 찰리 박물관
Büdingen,뷔딩겐
Wahl zum Abgeordnetenhaus von Berlin 2011,2011년 베를린 주의회 선거
Bürgerschaftswahl in Hamburg 2011,2011년 함부르크 주의회 선거
Landtagswahl in Mecklenburg-Vorpommern 2011,2011년 메클렌부르크포어포메른 주의회 선거
"Hochschule für Musik, Theater und Medien Hannover",하노버 음악연극미디어대학교
Bahnhof Berlin Greifswalder Straße,베를린 그라이프스발더 슈트라세역
Olympiapark,올림피아파크
U-Bahnhof Friedrichsfelde,프리드리히스펠데역
Landtagswahl in Schleswig-Holstein 2012,2012년 슐레스비히홀슈타인 주의회 선거
Deutsches Schifffahrtsmuseum,독일 해양박물관
Faber-Castell,파버카스텔
Karl-Liebknecht-Haus,카를 리프크네히트 하우스
Bahnstrecke Berlin–Dresden,베를린-드레스덴선
Berliner Nordbahn,베를린 북부선
Rote Zora,붉은 조라
SIGMA Elektro,시그마 스포츠
SC Frankfurt 1880,SC 1880 프랑크푸르트
Glückauf-Kampfbahn,글뤼카우프-캄프반 경기장
Industrielle Revolution in Deutschland,독일의 산업혁명
Rhein-Main Air Base,라인마인 공군기지
Britz,브리츠
Bundesliga 1999/2000,푸스발-분데스리가 1999-2000
Himmelfahrt Mariä mit Heiligen,성모 승천
Deutschland Cup,도이칠란트컵
Landtagswahl in Rheinland-Pfalz 2011,2011년 라인란트팔츠 주의회 선거
Bürgerschaftswahl in Bremen 2011,2011년 브레멘 주의회 선거
Internationale Filmfestspiele Berlin 1995,제45회 베를린 국제 영화제
Internationale Filmfestspiele Berlin 1994,제44회 베를린 국제 영화제
European Air Transport Leipzig,유로 에어 트랜스포트 라이프치히
MeetYourMakers,MeetYourMakers
FC Eilenburg,FC 아일렌부르크
SV Darmstadt 98,SV 다름슈타트 98
Bahnhof Berlin-Grunewald,베를린 그루네발트역
Internationale Vegetarier-Union,국제 채식인 연맹
EvoBus,이보버스
International Arctic Science Committee,국제북극과학위원회
Porz,포르츠
Tokio Hotel,토쿄 호텔
Reiskirchen,라이스키르헨
Bahnhof Bernau,베르나우 바이 베를린역
Verwaltungsgliederung Deutschlands,독일의 행정 구역
AnimalBase,애니멀베이스
GameStar,게임스타
U-Bahnhof Onkel Toms Hütte,옹켈 톰스 휘테역
Altniederländisch,고대 네덜란드어
Kremmener Bahn,크레멘선
Mewa Arena,메바 아레나
DQS,DQS
S-Bahnhof Oranienburger Straße,베를린 오라니엔부르거 슈트라세역
Universität Ingolstadt,잉골스타트 대학교
Kicker,키커
Alte Bundesländer,구연방주
Preußische Ostbahn,프로이센 동방철도
Taekwondo-Weltmeisterschaften 1979,1979년 세계 태권도 선수권 대회
Museum Karl-Marx-Haus,카를 마르크스 생가
Regierungsbezirk Weser-Ems,베저엠스현
Bahnhof Berlin Bundesplatz,베를린 분데스플라츠역
Bahnstrecke Berlin–Stettin,베를린-슈체친선
Haltepunkt Berlin Humboldthain,베를린 훔볼트하인역
GEMA,독일 음악저작권협회
S-Bahn Rostock,로스토크 S반
S-Bahn Hannover,하노버 S반
S-Bahn Rhein-Ruhr,라인루르 S반
Technische Universität Clausthal,클라우스탈 공과대학교
S-Bahnhof Sonnenallee,베를린 존넨알레역
Hochschule für Bildende Künste Dresden,드레스덴 미술대학
KSV Baunatal,KSV 바우나탈
Kabinett Schmidt II,제2차 슈미트 내각
SC 07 Bad Neuenahr,SC 07 바트노이에나어
Uerdingen,위어딩겐
Kabinett Wirth II,제2기 비르트 내각
Regio-S-Bahn Bremen/Niedersachsen,레기오 S반 브레멘/니더작센
Doggerbank,도거 뱅크
Bahnhof Berlin Westhafen,베를린 베스트하펜역
Dr. Hoch’s Konservatorium,호흐 음악원
Weil der Stadt,바일데어슈타트
Kabinett Schmidt III,제3차 슈미트 내각
Regierungsbezirk Magdeburg,마그데부르크현
Internationale Filmfestspiele Berlin 1990,제40회 베를린 국제 영화제
BMW 3er,BMW 3 시리즈
Demag,데마그
Bundeskartellamt,연방담합청
Regierungsbezirk Hannover,하노버현
G. Henle Verlag,G. Henle Verlag
Alzey,알차이
Entente Florale,꽃들의 협상
Helmstedt,헬름슈테트
Hochschule für Künste Bremen,브레멘 예술대학교
VEB Lokomotivbau Elektrotechnische Werke Hans Beimler Hennigsdorf,LEW 헤니그슈도르프
Krisis,크리시스
Thalys,탈리스
Fulda Gap,풀다 갭
Lutherstadt Eisleben,아이슬레벤
Internationale Filmfestspiele Berlin 1992,제42회 베를린 국제 영화제
Salzwedel,잘츠베델
Dessau,데사우
Elze,엘체
Meiningen,마이닝겐
Avira,아비라
Allianz SE,알리안츠
Bahnhof Berlin-Lichterfelde Ost,베를린 리히터펠데 오스트역
Marktl,마르크틀
Calw,칼브
Templin,템플린
Würzburger Kickers,뷔르츠부르거 키커스
Vergewaltigungen im besetzten Deutschland,독일 점령 기간의 강간
Reichswehrministerium,국가방위부
U-Bahnhof Karl-Marx-Straße,카를마르크스슈트라세역
Neckarsulm,네카르줄름
Schwarze Schar,슈바르체 샤르
Grimme-Preis,그림메상
Straßenbahn Düsseldorf,뒤셀도르프 노면전차
Altenkirchen (Westerwald),알텐키르헨
Anklam,앙클람
Liste deutscher Gerichte,독일의 사법부
1. Deutsch-Niederländisches Korps,제1독일-네덜란드 군단
Schmalkalden,슈말칼덴
Nördlingen,뇌르틀링겐
Günzburg,귄츠부르크
DHL,DHL
Walsrode,발스로데
Ratzeburg,라체부르크
Baseball-Bundesliga,베이스볼 분데스리가
Evonik Industries,에보닉 인더스트리스
Gernsbach,게른스바흐
Pfaffenhofen an der Ilm,파펜호펜안데어일름
Eutin,오이틴
U-Bahnhof Magdalenenstraße,마그달레넨슈트라세역
Eckernförde,에케른푀르데
Bundesliga 1979/80,푸스발-분데스리가 1979-80
Strausberg,슈타우스베르크
Bundeszentrale für politische Bildung,연방공민교육국
United States Air Forces in Europe,미국 유럽-아프리카 공군
Arnstadt,아른슈타트
Prenzlau,프렌츨라우
Rendsburg,렌츠부르크
Lottstetten,로트슈테튼
Bad Ems,바트엠스
Malchower SV,말초워 SV
Boppard,보파르트
Senftenberg,젠프텐베르크
InnoTrans,이노트란스
Oberkochen,오버코헨
Hugo Boss,휴고 보스
Erbach,에르바흐
Jettingen-Scheppach,예팅겐
Heide,하이데
Peißenberg,파이센베르크
Nesselwang,네셀방
Fritzlar,프리츨라어
Bergen auf Rügen,베르겐아우프뤼겐
Wolgast,볼가스트
Bundesministerium der Verteidigung,연방방위부
Landsberg am Lech,란츠베르크암레흐
Wacken,바켄
Denzlingen,덴츨링겐
SAP,SAP SE
Fehmarnbelt,페마른벨트 해협
Mözen,모젠
Sassnitz,자스니츠
Kronach,크로나흐
Gelnhausen,겔른하우젠
Varel,파렐
Angewandte Chemie,앙게반테 케미
Jungingen,융깅겐
Mainfränkisch,마인프랑크어
Deutsche Reichspartei,독일 제국당
Thale,탈레
Bad Segeberg,바트제게베르크
Plön,플뢴
Meersburg,메어스부르크
Röttingen,뢰팅겐
Bad Schwalbach,바트슈발바흐
Bad Neuenahr-Ahrweiler,바트노이에나르아르바일러
Bundesministerium der Justiz,연방법무부
Don Karlos,돈 카를로스
Bahnhof Wuhletal,베를린 불레탈역
U-Bahnhof Kaulsdorf-Nord,카울스도르프노르트역
Bahnhof Berlin Frankfurter Allee,베를린 프랑크푸르터 알레역
U-Bahnhof Samariterstraße,자마리터슈트라세역
U-Bahnhof Schillingstraße,실링슈트라세역
Northeim,노르트하임
Perleberg,페를레베르크
Jagdgeschwader 1 „Oesau“,제1전투비행단 외자우
Luckau,루카우
Ueckermünde,위케르뮌데
J. G. Anschütz,J. G. 안슈츠
Kirrberg,키어베르크
W. Kordes’ Söhne,W. 코르데스 죄네
Bundesministerium der Finanzen,연방재무부
Wittenburg,비텐부르크
U-Bahnhof Platz der Luftbrücke,플라츠 데어 루프트브뤼케역
Schleiz,슐라이츠
Preetz,프레츠
Universität Bremen,브레멘 대학교
Bad Wurzach,바트부르차흐
Bad Belzig,벨치히
Brest,브레스트
Herbolzheim,헤르볼츠하임
Schleswig,슐레스비히
Ettenheim,에텐하임
Bahnstrecke Berlin–Hamburg,베를린-함부르크선
FC Bayern München Frauen,FC 바이에른 뮌헨
Internationale Filmfestspiele Berlin 1996,제46회 베를린 국제 영화제
Feldafing,펠다핑
Bauchamphora des Andokides-Malers,안도키데스 화공의 일체형 암포라
Tierpark Hagenbeck,하겐베크 동물원
Kirkel,키르켈
Hornberg,호른베르크
SG Wattenscheid 09,SG 바텐샤이트 09
Sangerhausen,장거하우젠
Deep Silver,딥 실버
Bahnhof Berlin-Schöneweide,베를린 쇠네바이데역
Gundremmingen,군트레밍겐
Dürrhennersdorf,뒤어헤너스도르프
Bischofsheim in der Rhön,비쇼프스하임안데어뢴
Karlstadt am Main,카를슈타트암마인
Daimler-Benz AG,다임러-벤츠
Internationale Filmfestspiele Berlin 1993,제43회 베를린 국제 영화제
Schlacht an der Göhrde,괴르데 전투
Freiburg/Elbe,프라이부르크/엘베
Wittenberge,비텐베르게
Berliner Ringbahn,베를린 순환선
Bundesministerium des Innern und für Heimat,연방내무부
Wallenstein,발렌슈타인
U-Bahnhof Borsigwerke,보르지히베르케역
Französische Botschaft in Berlin,주 독일 프랑스 대사관
Rathenow,라테노프
Staßfurt,슈타스푸르트
Grips-Theater,그리프스 극단
Bundesministerium für innerdeutsche Beziehungen,양독관계연방부
Lunden,룬덴
Marktredwitz,마르크트레트비츠
Greiz,그라이츠
TUIfly,TUI플라이
Wirges,비르게스
Hoechst,회흐스트 AG
Halstenbek,할슈텐베크
Vechelde,페헬데
Chilehaus,칠레하우스
Karlsbad,칼스바드
S-Bahn Rhein-Neckar,라인네카어 S반
U-Bahnhof Schwartzkopffstraße,슈바르츠코프슈트라세역
S-Bahnhof Savignyplatz,베를린 사비니플라츠역
U-Bahnhof Seestraße,제슈트라세역
FH Münster,뮌스터 응용학문대학
U-Bahnhof Naturkundemuseum,나투어쿤데무제움역
Enercon,에네르콘
U-Bahnhof Schloßstraße,슐로스슈트라세역
U-Bahnhof Rathaus Reinickendorf,라트하우스 라이니켄도르프역
U-Bahnhof Westphalweg,베스트팔베크역
Ettal,에탈
Hersbruck,허스부르크
Bahnhof Berlin-Schöneberg,베를린 쇠네베르크역
Bahnhof Berlin Yorckstraße,베를린 요르크슈트라세역
Filmfest München,뮌헨 국제영화제
Münchner Stadtderby,뮌헨 더비
Max-Planck-Institut für Radioastronomie,막스플랑크전파천문학연구소
BMW-Vierzylinder,BMW 헤드쿼터스
Marktoberdorf,마르크도버도르프
Stadthagen,슈타트하겐
Königsbrunn,쾨니히스브룬
Herzberg,헤르츠베르크
Lindenberg im Allgäu,린덴베르크 임 알고이
Krün,크륀
Plattling,플라틀링
Stiftung Warentest,슈티프퉁 바렌테스트
Landtagswahl in Baden-Württemberg 2011,2011년 바덴뷔르템베르크 주의회 선거
Olympische Winterspiele 1936/Militärpatrouille,1936년 동계 올림픽 밀리터리 패트롤
Parsberg,파르스베르크
Hochstadt am Main,호흐슈타트암마인
Johannesberg,요하네스베르크
Künzelsau,퀸첼자우
Bahnhof Berlin Rathaus Steglitz,베를린 라트하우스 슈테글리츠역
Europastraße 531,유럽 고속도로 531호선
Anhalter Vorortbahn,안할트 근교선
Stuttgarter Ballett,슈투트가르트 발레단
Magirus,마지루스
Bundesstraße 214,연방도 제214호선
Auschwitzprozesse,프랑크푸르트 아우슈비츠 재판
Hohen Neuendorf,호헨노이엔도르프
Konz,콘츠
Herzberg am Harz,헤르츠베르크 암 하르츠
United States European Command,미국 유럽 사령부
Elchingen,엘힝겐
Langenfeld,랑엔펠트
Illertissen,일러티센
Tropical Islands,트로피컬 아일랜즈
U-Bahnhof Kurt-Schumacher-Platz,쿠르트슈마허플라츠역
Bundestagswahl 2013,2013년 독일 총선거
Wiefelstede,비펠슈테데
U-Bahnhof Kienberg (Gärten der Welt),킨베르크역
U-Bahnhof Lindauer Allee,린다우어 알레역
U-Bahnhof Nauener Platz,나우에너 플라츠역
U-Bahnhof Franz-Neumann-Platz (Am Schäfersee),프란츠노이만플라츠역
U-Bahnhof Birkenstraße,비르켄슈트라세역
Deutsch-japanische Beziehungen,독일-일본 관계
U 1,U-1
Bad Pyrmont,바트피르몬트
Salzbergen,잘츠베르겐
Bundesliga 1989/90,푸스발-분데스리가 1989-90
Mensur,멘주어
Jerichow,예리호
Eheöffnungsgesetz,독일의 동성결혼
Luftschiffbau Zeppelin,체펠린 비행조선
Dingelstädt,딩겔슈테트
Gesellschaft für Erdkunde zu Berlin,Berlin Geographical Society
Feinwerkbau,파인베르크바우
Syke,쉬케
MTU Friedrichshafen,MTU 프리드리히스하펜
Kronprinzenpalais,베를린 황태자궁
Kunstsammlung Nordrhein-Westfalen,노르트라인베스트팔렌 미술전시관
S-Bahn Dresden,드레스덴 S반
Bundesstraße 233,연방도 제233호선
Bundesstraße 417,연방도 제417호선
Berlin Görlitzer Bahnhof,베를린 괴를리츠역
Europastraße E641,유럽 고속도로 641호선
Sieper,시쿠 (완구)
Hausgesetz,독일의 제위 계승 순위
U-Bahnhof Hönow,회노역
Havelberg,하벨베르크
Bergkirchen,베르크키르헨
Nebra,네브라
Tutzing,투칭
Hinterzarten,힌터차르텐
FC Remscheid,FC 렘샤이트
Deutz AG,도츠
U-Bahnhof Paradestraße,파라데슈트라세역
Preisklasse,독일 철도역 분류
U-Bahnhof Residenzstraße,레지덴츠슈트라세역
U-Bahnhof Amrumer Straße,암루머 슈트라세역
U-Bahnhof Otisstraße,오티스슈트라세역
U-Bahnhof Scharnweberstraße,샤른베버슈트라세역
Vizekanzler,독일의 부수상
U-Bahnhof Holzhauser Straße,홀츠하우저 슈트라세역
U-Bahnhof Cottbusser Platz,코트부서 플라츠역
U-Bahnhof Louis-Lewin-Straße,루이스레빈슈트라세역
U-Bahnhof Paracelsus-Bad,파라첼수스바트역
Münsingen (Württemberg),뮌징겐
Oberwolfach,오버볼파흐
Gatow,가토
Helmstadt,헬름슈타트
Goldbach,골트바흐
Renchen,렌헨
Schlacht bei Lübeck,뤼베크 전투
Berliner Ensemble,베를리너 앙상블
Friedberg,프리트베르그
Clausthal-Zellerfeld,클라우스탈 첼러펠트
deutsche Staatsangehörigkeit,독일 국적법
Geisenheim,가이젠하임
Netinera,네티네라
Burgfriedenspolitik,성내평화정치
