Ocna Sibiului,オクナ・シビウルイ
Luna,ルナ (クルジュ県)
Nițchidorf,ニツキドルフ
Limba tătară dobrogeană,ルーマニア・タタール語
Ostra,オストラ
Tăul lui Dumitru,タウル・ルイ・ドゥミトル湖
Teatrul Evreiesc de Stat din București,国立ユダヤ劇場 (ルーマニア)
MediaPro Pictures,メディアプロピクチャーズ
Horia,ホリア
Podari,ポダリ
Podul Eiffel,エッフェル橋
Liga I 2013-2014,リーガ1 2013-14
Puiești,プイェシュティ
Cetățean de onoare al Timișoarei,ティミショアラ名誉市民
Siliștea Gumești,シリシュテア＝グメシュティ
Siminicea,シミニチャ
Campionatul European de Baschet Masculin din 2017,2017年ユーロバスケット
Săvădisla,トルダセントラースロー
Rotunda,ロトゥンダ
Prejmer,プラージュマール
listă de țări în care româna este limbă oficială,ルーマニア語を公用語としている国の一覧
Sânnicolau Român,スンニコラウ・ロムン
Universitatea Craiova,CSウニヴェルシタテア・クラヨーヴァ
Hemeiuș,ヘメイウシュ (バカウ県)
CSM Slatina,CSMスラティナ
prim-ministru al României,ルーマニアの首相
Negri,ネグリ
Mănăstirea Mihai Vodă,ミハイ・ヴォダ修道院
Vorona,ヴォロナ
Ministerul Afacerilor Externe,外務省
Biharia,ビハリア
gara Ploiești Vest,プロイェシュティ西駅
oraș,ルーマニアの町
Inundațiile din Europa de Sud-est,2014年バルカン半島洪水
Oradea,オラデア
Săcueni,サクエニ
Bucharest Open,ブカレスト・オープン
Partidul Mișcarea Populară,人民運動党
Palatul Brukenthal din Sibiu,シビウ・ブルケンタール宮殿
Ansamblul fostului Palat Știrbei,ブフテア宮殿
Lacul Morărenilor,モラレニロル湖
Institutul de Fizică Atomică,原子物理学研究所
Institutul Național al Patrimoniului,国立遺産研究所
Năsăud,ナサウド
2014 în România,2014年のルーマニア
Șomcuta Mare,ショムクタ・マーレ
The Fishing & Hunting Channel,フィッシング＆ハンティングチャンネル
Colegiul Național „Samuel von Brukenthal” din Sibiu,国立ザムエル・フォン・ブルケンタール高等学校
Compania de Transport Public Arad,アラド公共交通会社
Radisson Blu București,ラディソン・ブル・ブカレスト
Pădurea Pietrosu,ピエトロスの森
Liga a VI-a,リーガ6
Digi Animal World,Digi Animal World
Divizia 2 Infanterie „GETICA”,第2歩兵師団
Etno TV,Etno TV
Deta,デタ
Proclamația de la Padeș,パデシュ宣言
Orange Sport,Orange Sport
Universitatea Ecologică din București,ブカレスト生態学大学
Trântă,トレンタ（Trîntă）
Școala Japoneză din București,ブカレスト日本人学校
2005 în România,2005年のルーマニア
Jimbolia,ジンボリア
Stadionul Național (1953),リア・マノリウ・スタジアム
Cricău,クリカウ
Pogromul de la București,鉄衛団の反乱とブカレスト虐殺
2004 în România,2004年のルーマニア
CSM Bacău,Știința Dedeman Bacăuen
ZU TV,ZU TV
"Cheile Tătarului, Munții Gutâi",タタル峡谷
Euroregiunea Prutul de Sus,上プルト・ユーロリージョン
Jidvei,ジドヴェイ
Blandiana,ブランディアナ
Corupția în România,ルーマニアの汚職
Liga I 2014-2015,リーガ1 2014-15
2015 în România,2015年のルーマニア
Partidul Democrației Sociale din România,ルーマニア社会民主党
Vox News,Vox News
Mănăstirea Săpânța-Peri,サプンツァ・ペリ木造教会
Peștera Vârfurașu,ヴルフノス洞窟
Opera Națională Română Timișoara,ルーマニア国立歌劇場（ティミショアラ）
doctor inginer,工学博士
Noșlac,アルバ県
1989 în România,1989年のルーマニア
Fix & Foxi,フィックス＆フォクシー
Colegiul Național „Gheorghe Lazăr” din Sibiu,国立ゲオルゲ・ラザル高等学校 (シビウ)
senator al României,ルーマニア元老院議員
România la Jocurile Olimpice de vară din 2016,2016年リオデジャネイロオリンピックのルーマニア選手団
Liga I 2015-2016,リーガ1 2015-16
1992 în România,1992年のルーマニア
Vințu de Jos,ヴィンツ・デ・ジョス
Prima Doamnă a României,ルーマニアのファーストレディ
Săliștea,ルーマニアのタルタリア
Hopârta,ホプルタ
1990 în România,1990年のルーマニア
1991 în România,1991年のルーマニア
1999 în România,1999年のルーマニア
Partidul Socialist Țărănesc,社会主義農民党
deputat al României,ルーマニア代議院議員
TVR News,TVR News
ministru al Afacerilor Externe,外務大臣 (ルーマニア)
Mooz Dance,Mooz Dance
Mooz Hits,Mooz Hits
Grupa montană Bucegi-Leaota-Piatra Craiului,ブチェジ山群
Bucovina Rădăuți,CSMブコヴィナ・ラダウツィ
AdePlast SA,アデプラスト
Partidul „Pentru Patrie”,「全ては国の為に」党
Ordinul „Meritul Sportiv”,スポーツ功労章
Partidul Alianța Liberalilor și Democraților,自由民主同盟
alegeri parlamentare în România,ルーマニアの立法選挙
Stadionul Central-Academia Gheorghe Hagi,スタディオヌル・ヴィトルル
Partidul Național Liberal-Tătărăscu,タタレスク派国民自由党
România la Jocurile Olimpice de Tineret 2016,2016年リレハンメルユースオリンピックのルーマニア選手団
Industria auto din România,ルーマニア
Vladimirescu,ヴラディミレスク
incendiul din clubul Colectiv,コレクティブ・ナイトクラブ火災
2016 în România,2016年のルーマニア
România la Jocurile Paralimpice de vară din 2016,2016年リオデジャネイロパラリンピックのルーマニア選手団
Hilișeu-Horia,ヒリシュ・ホリア
Mitoc,ミトク
Uniunea Salvați România,ルーマニア救出同盟
FC Voluntari,FCヴォルンタリ
Moldova,ボーダン
Mehadia,メハディア
Tinca,ティンカ
Ciurila,チュリラ
Păltiniș,パルティニー
1996 în România,1996年のルーマニア
2000 în România,2000年のルーマニア
2002 în România,2002年のルーマニア
2010 în România,2010年のルーマニア
2006 în România,2006年のルーマニア
1998 în România,1998年のルーマニア
1994 în România,1994年のルーマニア
Apahida,アパヒダ
evreii din România,ルーマニア系ユダヤ人
2008 în România,2008年のルーマニア
Lista stațiilor de cale ferată din România,ルーマニアの鉄道駅のリスト
Pădurea Bârnova,ブルノヴァの森
Pădurea Bârnova - Repedea,ブルノヴァ-レペデアの森
Protestele din România din 2017-2018,ルーマニア反政府運動
Recensământul populației din 1859-1860 (România),1859年-1860年ルーマニア国勢調査
Recensământul populației din 1899 (România),1899年ルーマニア国勢調査
Recensământul General al Populației din 1912 (România),1912年ルーマニア国勢調査
Recensământul populației din ianuarie 1948 (România),1948年ルーマニア国勢調査
Recensământul populației din februarie 1956 (România),1956年2月ルーマニア国勢調査
Recensământul populației și locuințelor din anul 1977 (România),1977年ルーマニア国勢調査
Recensământul populației și locuințelor din anul 1992 (România),1992年ルーマニア国勢調査
Dara,ダラ
Turul Ciclist al Buhorului,ツアー・オブ・ビホル
FC Hermannstadt,FCヘルマンシュタット
Metaloglobus București,FCメタログロブス・ブカレスト
Derbiul Vestului,デルビウル・ヴェストゥルイ
"alegeri parlamentare în România, 2020",2020年ルーマニア国会議員選挙
ambasador în România,在ルーマニア大使
Orhideea Towers,オルヒデーア・タワーズ
Alexeni,アレクセニ
Stadionul Municipal (Sfântu Gheorghe),スタディオヌル・ムニチパル
Bastionul Măcelarilor,肉屋の要塞
ambasador al României,ルーマニアの大使
Partidul Puterii Umaniste,人道主義者の力党
2017 în România,2017年のルーマニア
România la Jocurile Olimpice de iarnă din 2018,2018年平昌オリンピックのルーマニア選手団
Institutul de Chimie Macromoleculară „Petru Poni”,ペトルポニ高分子化学研究所
Sănătatea în România,ルーマニアの保健
Stadionul Clinceni,スタディオヌル・クリンチェニ
Stadionul Anghel Iordănescu,スタディオヌル・アンゲル・ヨルダネスク
Tramvaiul din Satu Mare,サトゥ・マーレ市電
Observatorul astronomic „Bosianu”,ボシアヌ天文台
Biserica reformată din Sic,改革派教会
Softrans,ソフトトランス
Turnul Sfatului din Sibiu,シビウ市参事塔
Neptun TV,Neptun TV
Campionatul European de Haltere din 2018,2018年欧州重量挙げ選手権
Relațiile dintre România și Japonia,日本とルーマニアの関係
Liceul Teoretic „Jean Monnet” din București,ジャン・モネ高等学校
Marca,マルカ
Putna,プトナ
Dorna Candrenilor,ドルナ・カンドレニロル
Crasna,クラスナ (サラージュ県)
Suhaia,スハヤ
Blocul Identității Naționale în Europa,ヨーロッパ国民意識連合
"alegeri prezidențiale în România, 2019",2019年ルーマニア大統領選挙
FSCB,CSAステアウア・ブカレスト
România la Jocurile Olimpice de vară din 2020,2020年東京オリンピックのルーマニア選手団
1945 în România,1945年のルーマニア
2007 în România,2007年のルーマニア
"Partidul Libertății, Unității și Solidarității",自由統一連帯党
Gloria Buzău,SCMグロリア・ブザウ
Comedy Central România,コメディ・セントラル
Fotbal Comuna Recea,ACSFコムナ・レチェア
Stadionul Arcul de Triumf (1913),スタディオヌル・ナツィオナル・デ・トリンフ
2019 în România,2019年のルーマニア
Astra Trans Carpatic,アストラトランスカルパチック
gara Halmeu,ハルメウ駅
Partidul PRO România,PROルーマニア
România la Jocurile Olimpice de iarnă din 2022,2022年北京オリンピックのルーマニア選手団
gara Apold,アポルト駅
2018 în România,2018年のルーマニア
Familia Regală Română,ルーマニア王室
Năsăud,ナサウド
gara Năsăud h.,ナサウド駅
gara Năsăud,ナサウド駅
Bollywood TV,Bollywood TV
podul peste Dunăre de la Brăila,ブレイラ橋
Bollywood Clasic,Bollywood Clasic
Bollywood Film,Bollywood Film
ambasador al României în Japonia,駐日ルーマニア大使
Stadionul Francisc Neuman,スタディオヌル・フランシスク・ヴォン・ノイマン
pandemia de coronaviroză COVID-19,新型コロナウイルス感染症 (COVID-19) の世界的流行
USR PLUS,ルーマニア救出同盟・自由統一連帯党
Campionatul European de Volei Feminin din 2021,2021年バレーボール女子欧州選手権
1993 în România,1993年のルーマニア
1995 în România,1995年のルーマニア
1997 în România,1997年のルーマニア
2001 în România,2001年のルーマニア
Pasul Cavnic,カヴニク峠
Pasul Neteda,ネテダ峠
Stadionul Steaua,ステアウア スタジアム
"alegeri prezidențiale în România, 2024",2024年ルーマニア大統領選挙
Agro TV,Agro TV
Coridorul Rin-Dunăre,ストラスブール-ドナウ川回廊
Realitatea Plus,Realitatea Plus
Leprozeria din Tichilești,ティキレシュティ
Pandemia de coronaviroză (COVID-19) în Europa,ヨーロッパにおける新型コロナウイルス感染症の流行状況
pandemia de coronaviroză (COVID-19) în România,ルーマニアにおける2020年コロナウイルス感染症の流行状況
Stadionul Rapid-Giulești,スタディオヌル・ラピド＝ジュレシュティ
2020 în România,2020年のルーマニア
"Alegeri pentru Parlamentul European, 2024",2024年欧州議会議員選挙
Formatul București,ブカレストナイン
"Alegeri locale în România, 2020",2020年ルーマニア地方選挙
Liga I 2020-2021 (fotbal feminin),1位
Alianța pentru Unirea Românilor,ルーマニア統一同盟
primar al comunei Breaza,ブラーザ村長
România la Jocurile Paralimpice de vară din 2020,2020年東京パラリンピックのルーマニア選手団
"Alegeri locale în România, 2024",2024年ルーマニア地方選挙
Ambasada Japoniei în România,在ルーマニア日本国大使館
Cupa României 2020-2021,詳細
români,ルーマニア人
ACS Progresul Ezeriș,ACSプログレスル・エゼリシュ
Recesământul Populației și Locuințelor 2021 (România),2021年ルーマニア国勢調査
Poarta Focșanilor,フォクシャニ・ゲート
CANAL 33,CANAL 33
Rapid București,CSラピド・ブカレスト
Inundațiile din iulie 2021 din Europa,2021年ヨーロッパ洪水
2023 în România,2023年のルーマニア
Profit News,Profit News
2022 în România,2022年のルーマニア
Transylvania Open,トランシルヴァニア・オープン
Teatrul Național „Ion Luca Caragiale”,ブカレスト国立劇場
Opera Națională București,ルーマニア国立歌劇場（ブカレスト）
Teatrul Evreiesc de Stat din București,国立ユダヤ劇場 (ルーマニア)
Money News,Money News
Digi 4K,Digi 4K
2003 în România,2003年のルーマニア
Campionatul European de Fotbal Sub-21 2023,UEFA U-21欧州選手権2023
"alegeri parlamentare în România, 2024",2020年ルーマニア国会議員選挙
Buciumul Român,ルーマニアのブシウム
Sport Extra,Sport Extra
Primvs Derby,プリムヴス・デルビ
TVR Folclor,TVR Folclor
TVR Sport,TVR Sport
2021 în România,2021年のルーマニア
