Aachener Dom,아헨 대성당
Continental AG,콘티넨탈 AG
FC Sachsen Leipzig,FC 작센 라이프치히
Großer Preis von Deutschland 2009,2009년 독일 그랑프리
Henschel %26 Sohn,헨셸
WWK-Arena,WWK 아레나
Bezirk Marzahn-Hellersdorf,마르찬헬러스도르프구
Fußball-Bundesliga 2009/10,분데스리가 2009-10
RWE,RWE
Philipps-Universität Marburg,마르부르크 대학교
Rot-Weiß Oberhausen,로트바이스 오버하우젠
Deutsches Zentrum für Luft- und Raumfahrt,독일 항공우주 센터
Goethe-Institut,독일 문화원
Bayreuther Festspiele,바이로이트 축제
Deutsche Zentrumspartei,독일 중앙당
Bundesarbeitsgericht,연방노동법원
Gendarmenmarkt,잔다르멘마르크트
FC Erzgebirge Aue,FC 에르츠게비르게 아우에
Deutsche Fußballnationalmannschaft der Frauen,독일 여자 축구 국가대표팀
Loveparade,러브 퍼레이드
ReactOS,ReactOS
Fußball-Bundesliga 2002/03,분데스리가 2002-03
Mousesports,Mousesports
Ruhr-Universität Bochum,보훔 루르 대학교
Fußball-Weltmeisterschaft 2006/Gruppe E,2006년 FIFA 월드컵 E조
Europastraße 55,유럽 고속도로 55호선
Europastraße 40,유럽 고속도로 40호선
Heidelberger Schloss,하이델베르크성
Ägyptisches Museum Berlin,베를린 이집트 박물관
Frankfurter Opern- und Museumsorchester,프랑크푸르트 무제움 관현악단
Hauzenberg,하우첸베르크
Prüm,프륌
Sozialversicherung (Deutschland),독일의 사회보장제도
Deutz AG,도츠
DCF77,DCF77
Fujitsu Siemens Computers,후지쯔 지멘스 컴퓨터스
Bingen am Rhein,빙겐암라인
Europastraße 45,유럽 고속도로 45호선
Obersalzberg,오버잘츠베르크
Kabinett Schröder I,제1기 슈뢰더 내각
Berliner Festspiele,베를린 페스티벌
Breg,브레그강
Walhalla,발할라 (독일)
Göllheim,괼하임
Göttinger Achtzehn,괴팅겐 18인
Islam in Deutschland,독일의 이슬람교
Landtagswahl in Nordrhein-Westfalen 2012,2012년 노르트라인베스트팔렌주 주의회 선거
Museum für Fotografie (Berlin),사진박물관 (베를린)
Bad Ems,바트엠스
Deep Silver,딥 실버
Ruf Automobile,RUF 오토모빌
Rugby-Bundesliga,럭비-분데스리가
SC 07 Bad Neuenahr,SC 07 바트노이에나어
SC Frankfurt 1880,SC 1880 프랑크푸르트
Greiz,그라이츠
BPitch Control,BPitch Control
VfB Lübeck,VfB 뤼베크
Germania Fluggesellschaft,게르마니아 (항공사)
Eutin,오이틴
Spreuerhofstraße,슈프로이어호프 거리
U-Bahnhof Adenauerplatz,아데나워플라츠역
U-Bahnhof Wilmersdorfer Straße,빌머스도르퍼 슈트라세역
Alter Botanischer Garten (Göttingen),괴팅겐 대학교 식물원
Demag,데마그
Lokomotivbau Elektrotechnische Werke „Hans Beimler“ Hennigsdorf,LEW 헤니히스도르프
Glückauf-Kampfbahn,글뤼카우프-캄프반 경기장
Baseball-Bundesliga,베이스볼 분데스리가
Fußball-Bundesliga 1979/80,분데스리가 1979-80
Jungingen,융깅겐
Geisenheim,가이젠하임
United States European Command,미국 유럽 사령부
U-Bahnhof Freie Universität (Thielplatz),자유대학교역
Bundesverband Musikindustrie,독일 음반 산업 협회
Nationalpolitische Erziehungsanstalt,나폴라
TuRU Düsseldorf,TuRU 뒤셀도르프
Bundestagswahl 1976,1976년 독일 연방의회 선거
GfK (Unternehmen),GfK
Südwestrundfunk,남서독일방송
KNDS Deutschland,크라우스-마파이 베크만
Exzellenzinitiative,우수대학육성정책
Glashütte Original,글라스휘테 오리기날
Emporis,엠포리스
Eurofighter Jagdflugzeug,유로파이터 (기업)
Europastraße 53,유럽 고속도로 53호선
Thomanerchor,성 토마스 합창단
Bundesministerium der Finanzen,연방재무부 (독일)
Ettal,에탈
Eisschnelllauf-Einzelstreckenweltmeisterschaften 2011,2011년 세계 종목별 스피드스케이팅 선수권 대회
TUI (Touristikunternehmen),TUI (기업)
Blomberg-Fritsch-Krise,블롬베르크-프리치 위기
Leibniz-Gemeinschaft,라이프니츠 협회
Ludendorff-Brücke,루덴도르프 교
Sportpark Ronhof,슈포르트파르크 론호프
Grünes Band Deutschland,그뤼네스반트
Flughafen Münster/Osnabrück,뮌스터 오스나브뤼크 국제공항
Justizvollzugsanstalt Landsberg,란츠베르크 교도소
Revierderby,레비어 더비
Schlosskirche (Lutherstadt Wittenberg),슐로스키르헤
U-Bahnhof Bayerischer Platz,바이에리셔 플라츠역
Botschaft der Republik Korea in Berlin,주독일 대한민국 대사관
Großer Tiergarten,티어가르텐 (공원)
KidsCo,키즈코
Tropical Islands,트로피컬 아일랜즈
Schlacht an der Göhrde,괴르데 전투
Rüdesheim am Rhein,뤼데스하임암라인
Kaufhaus des Westens,카우프하우스 데스 베스텐스
Schlacht bei Hoyerswerda,호이어스베르다 전투
Friedrich-Ebert-Stiftung,프리드리히 에버트 재단
Fußball-Weltmeisterschaft 2006/Gruppe B,2006년 FIFA 월드컵 B조
Landtagswahl in Niedersachsen 1998,1998년 니더작센 주의회 선거
KfW,KfW
SV Sandhausen,SV 잔트하우젠
Babelsberg,바벨스베르크
GfK Entertainment,GfK 엔터테인먼트
Fußball-Ligasystem in Deutschland,독일 축구 리그 시스템
Rotring,로트링
Willy-Brandt-Haus,빌리 브란트 하우스
Bundesverband Interaktive Unterhaltungssoftware,독일연방인터랙티브엔터테인먼트소프트웨어협회
KiK,KiK
Käthe Wohlfahrt,캐테 볼파르트
Bosniaken,보슈냐크인
Internationaler Bund der Konfessionslosen und Atheisten,IBKA
Deutsche Mystik,독일 신비주의
Ägypter (Volk),이집트인
Spiel des Jahres,슈필데스야레스
Erima,에리마
International Commission on Non-Ionizing Radiation Protection,국제 비이온화 방사 보호 위원회
Schwere SS-Panzer-Abteilung 101,제101SS중전차대대
American-Football-Weltmeisterschaft 2003,2003년 미식축구 월드컵
Einsatzflottille 2,제2기동전단
Herzogenaurach,헤르초게나우라흐
Kommando Heer,육군사령부 (독일)
DFL-Supercup 2011,DFL-슈퍼컵 2011
Diözesen der römisch-katholischen Kirche in Deutschland,독일의 로마 가톨릭 교구 목록
Fernbusverkehr in Deutschland,독일의 고속버스
Internationaler Gesangswettbewerb Neue Stimmen,노이에 슈팀멘
Niederbarnimer Eisenbahn,니더바르님 철도
Bagger 288,바거 288
DFB-Supercup 1989,DFB-슈퍼컵 1989
Europastraße 552,유럽 고속도로 552호선
Preußische Hauptkadettenanstalt,독일 육군사관학교
Siemens Gamesa,지멘스 가메사
Grenze zwischen Dänemark und Deutschland,덴마크-독일 국경
Hans-Dietrich-Genscher-Haus,한스디트리히 겐셔 하우스
Techno Viking,테크노 바이킹
Reisewarnung,여행경보
Top Ten Club,톱 텐 클럽
Amt für Heeresentwicklung,육군개발청
DFL-Supercup 2013,DFL-슈퍼컵 2013
Munich International School,뮌헨 국제 학교
DFL-Supercup 2014,DFL-슈퍼컵 2014
Olympische Sommerspiele 2016/Teilnehmer (Deutschland),2016년 하계 올림픽 독일 선수단
DFL-Supercup 2015,DFL-슈퍼컵 2015
Landtagswahl in Sachsen-Anhalt 2016,2016년 작센안할트 주의회 선거
Schlachtfeld im Tollensetal,톨렌제 싸움터
DFB-Pokal-Finale 2017,2017 DFB-포칼 결승전
Mastodon (Soziales Netzwerk),마스토돈 (소프트웨어)
Stopselclub,마개 클럽
League of Legends EMEA Championship,리그 오브 레전드 EMEA 챔피언십
Ionity,아이오니티
Pavillon der Einheit,통일정
100 Beste Plakate,100 베스테 플라카테
Fußball-Bundesliga 2018/19,분데스리가 2018-19
DFL-Supercup 2019,DFL-슈퍼컵 2019
Europa-Park-Stadion,유로파파크 슈타디온
Marburg,마르부르크
Main,마인강
Lippstadt,립슈타트
Rügen,뤼겐섬
Spree,슈프레강
Berliner Mauer,베를린 장벽
Borgward,보그바르트
Universität Bielefeld,빌레펠트 대학교
Deutsche Marine,독일 해군
Germania magna,게르마니아
Konstanz,콘스탄츠
Bundesautobahn 555,아우토반 555호선
NSU Motorenwerke,NSU 모토렌베르케
Johann Wolfgang Goethe-Universität Frankfurt am Main,프랑크푸르트 대학교
Ludwig-Maximilians-Universität München,뮌헨 대학교
Chiemsee,킴호
Landkreis Prignitz,프리그니츠군
Volkswagen,폭스바겐
Hamburg,함부르크
Stuttgart,슈투트가르트
Niederländische Sprache,네덜란드어
Gifhorn,기프호른
Rötha,뢰타
Erfurt,에어푸르트
Saale,잘레강
Chaos Computer Club,카오스 컴퓨터 클럽
Ischtar-Tor,이슈타르의 문
Wahl zum Abgeordnetenhaus von Berlin 2023,2023년 베를린 시의회 선거
Bundesautobahn 19,아우토반 19호선
Bundesautobahn 24,아우토반 24호선
Pirmasens,피르마젠스
Lutherstadt Wittenberg,비텐베르크
Dülmen,뒬멘
Stade,슈타데
Meißen,마이센
Bad Doberan,바트도베란
Deutsche Bahn,독일철도
Hamburg-HafenCity,하펜시티
Havel,하펠강
Chemnitz,켐니츠
Bundesautobahn 42,아우토반 42호선
Bundesautobahn 70,아우토반 70호선
Mittelfranken,미텔프랑켄현
Mühlhausen/Thüringen,뮐하우젠
Memmingen,메밍겐
Hagen,하겐
Koblenz,코블렌츠
Bundesgrenzschutz,연방국경경비대
Bundeskriminalamt (Deutschland),연방형사청
Emmerich am Rhein,에미리히암라인
Universität der Künste Berlin,베를린 예술대학교
Sinsheim,진스하임
Jülich,율리히
Hochdeutsche Dialekte,고지 독일어
Niedersachsen,니더작센주
Gütersloh,귀터슬로
Neumünster,노이뮌스터
Internationale Automobil-Ausstellung,프랑크푸르트 국제 모터쇼
Schwarzenberg/Erzgeb.,슈바르첸베르크 (작센주)
Starnberg,슈타른베르크
BayArena,바이아레나
Reichenau (Insel),라이헤나우섬
Deutscher Bundestag,독일 연방의회
Merkur Spiel-Arena,메르쿠어 슈필 아레나
Partei des Demokratischen Sozialismus,민주사회당 (독일)
Weiße Rose,백장미단
Schlacht um Berlin,베를린 공방전
Osnabrück,오스나브뤼크
Siegen,지겐
Sylt,질트섬
Zugspitze,추크슈피체산
Prähistorische Pfahlbauten um die Alpen,알프스 주변의 선사시대 말뚝 주거지
Euro,유로
Landkreis Ostprignitz-Ruppin,오스트프리그니츠루핀군
Rothschild (Familie),로스차일드가
Welthauptstadt Germania,세계수도 게르마니아
Deutsche Männer-Handballnationalmannschaft,독일 핸드볼 국가대표팀
Flughafen Berlin Brandenburg,베를린 브란덴부르크 공항
Politisches System der Bundesrepublik Deutschland,독일의 내각제
Mercedes-AMG,메르세데스-AMG
Das Lied der Deutschen,독일의 국가
Rottweil,로트바일
Arminia Bielefeld,아르미니아 빌레펠트
Fußball-Bundesliga 2010/11,분데스리가 2010-11
Fußball-Bundesliga 2011/12,분데스리가 2011-12
Die Bremer Stadtmusikanten,브레멘 음악대
Ruhrgebiet,루르
Rheinische Friedrich-Wilhelms-Universität Bonn,본 대학교
Starnberger See,슈타른베르크호
Alemannische Dialekte,알레만어
Südniederfränkisch,림뷔르흐어
Barclaycard,바클리카드
Reinheitsgebot,맥주 순수령
Dreiländerbrücke,세 나라 다리
U-Bahn-Linie U4 (Berlin),베를린 지하철 4호선
U-Bahn-Linie U5 (Berlin),베를린 지하철 5호선
Landkreis,독일의 군
Zeitpyramide,시간 피라미드
Olympische Winterspiele 1928/Teilnehmer (Deutsches Reich),1928년 동계 올림픽 독일 선수단
Haldensleben,할덴슬레벤
Zentralfriedhof Friedrichsfelde,프리드리히스펠데 중앙 묘지
Staatsbibliothek zu Berlin,베를린 주립도서관
Gemäldegalerie (Berlin),베를린 국립회화관
Justizpalast (Nürnberg),정의궁
Olympiastadion München,올림피아슈타디온 뮌헨
Bezirk Mitte,미테구
Irminsul,이르민술
Neues Schloss Herrenchiemsee,헤렌킴제
SGS Essen,SGS 에센
Bezirk Steglitz-Zehlendorf,슈테글리츠첼렌도르프구
DFL-Supercup,DFL-슈퍼컵
Kieler Friede,킬 조약
Entartete Kunst,퇴폐예술
Junkers Ju 88,융커스 Ju 88
Alte Pinakothek,알테 피나코테크
Eurovision Song Contest 1957,유로비전 송 콘테스트 1957
Germanwings,저먼윙스
Volkswagen Arena,폭스바겐 아레나
Bundeswappen Deutschlands,독일의 국장
Dynamo Dresden,뒤나모 드레스덴
Bundesrat (Deutschland),독일 연방상원
Franken (Region),프랑켄
Hockenheimring Baden-Württemberg,호켄하임링
Potsdamer Platz,포츠담 광장
2. Fußball-Bundesliga,2. 분데스리가
Sieg (Fluss),지크강
Völkischer Beobachter,푈키셔 베오바흐터
Albert-Ludwigs-Universität Freiburg,프라이부르크 대학교
Kaiser-Wilhelm-Gedächtniskirche,카이저 빌헬름 기념 교회
Falknerei,매사냥
Liste der Städte in Deutschland,독일의 인구순 도시 목록
Bezirk Spandau,슈판다우구
Stern (Zeitschrift),슈테른 (잡지)
Europastraße 30,유럽 고속도로 30호선
GSG 9 der Bundespolizei,연방경찰 제9국경경비대
Süddeutsche Zeitung,쥐트도이체 차이퉁
Denkmal für die ermordeten Juden Europas,학살된 유럽 유대인을 위한 기념물
Oder-Neiße-Grenze,오데르-나이세선
Beiersdorf AG,바이어스도르프
Litauer,리투아니아인
Kabel Eins,카벨 아인스
Tadano Faun,타다노 파운
München Hauptbahnhof,뮌헨 중앙역
Dreisamstadion,드라이잠슈타디온
A. Lange %26 Söhne,아 랑에 운트 죄네
Audi Sport GmbH,아우디 스포트
Oberstdorf,오베르스트도르프
Erzbistum Berlin,가톨릭 베를린 대교구
Moldauhafen,몰다우하펜
Europastraße 35,유럽 고속도로 35호선
Uber Arena,메르세데스-벤츠 아레나 (베를린)
Asics,아식스
East Side Gallery,이스트 사이드 갤러리
Museum für Photographie (Braunschweig),사진박물관 (브라운슈바이크)
Our,우르강
ECM Records,ECM 레코드
SV Wehen Wiesbaden,SV 베헨 비스바덴
Hallescher FC,할레셔 FC
Regierungsbezirk Halle,할레현
Straße des 17. Juni,6월 17일 거리
Herbolzheim,헤르볼츠하임
Reichspräsidentenwahl 1919,1919년 독일 대통령 선거
Nivea,니베아
Aerologic,에어로로직
Olympiapark (München),올륌피아파르크
Deutsche Arbeitsfront,독일노동전선
Flughafen Dortmund,도르트문트 공항
Fußballer des Jahres (Deutschland),독일 올해의 축구 선수
Staatsoper Unter den Linden,베를린 국립 오페라
Liste wichtiger Wahltermine und Wahlperioden in Deutschland,독일의 선거
Regierungsbezirk Lüneburg,뤼네부르크현
Frankfurt am Main Flughafen Fernbahnhof,프랑크푸르트 공항 장거리열차역
Railjet (Zuggattung),레일젯
Bundeskartellamt,연방담합청
Evonik Industries,에보닉 인더스트리스
Senftenberg,젠프텐베르크
Dessau,데사우
MeetYourMakers,MeetYourMakers
S-Bahn Rostock,로스토크 S반
Taekwondo-Weltmeisterschaften 1979,1979년 세계 태권도 선수권 대회
Günzburg,귄츠부르크
Berliner Ensemble,베를리너 앙상블
Sieper,시쿠 (완구)
Vizekanzler (Deutschland),독일의 부총리
Schleswig,슐레스비히 (도시)
Olympische Winterspiele 1936/Militärpatrouille,1936년 동계 올림픽 밀리터리 패트롤
InnoTrans,이노트란스
Jerichow,예리호
Fußball-Bundesliga 1990/91,분데스리가 1990-91
U-Bahnhof Eisenacher Straße,아이제나허 슈트라세역
Fußball-Bundesliga 1995/96,분데스리가 1995-96
Jagdgeschwader 1 „Oesau“,제1전투비행단 외자우
Sassnitz,자스니츠
Hausgesetz (Preußen),독일의 제위 계승 순위
Hünfeld,휜펠트
Boehringer Ingelheim,베링거인겔하임
Fußball-Bundesliga 1963/64,분데스리가 1963-64
Voigtländer,보이그랜더
Bundestagswahl 1980,1980년 독일 연방의회 선거
Hamburgische Staatsoper,함부르크 국립 오페라 극장
Simplicissimus,심플리치시무스
Bundestagswahl 1983,1983년 독일 연방의회 선거
Bundestagswahl 1987,1987년 독일 연방의회 선거
Schauspielhaus (Berlin),콘체르트하우스 베를린
Deutsche Baseballnationalmannschaft,독일 야구 국가대표팀
Deutscher Außenminister,독일의 외무장관
Freie Arbeiter-Union Deutschlands,독일자유노동자연합
Netinera,네티네라
Römisch-katholische Kirche in Deutschland,독일의 로마 가톨릭교회
Rohde %26 Schwarz,로데 슈바르츠
Weingarten (Württemberg),바인가르텐
Lübben (Spreewald),뤼벤 (슈프레발트)
Sächsische Staatskapelle Dresden,드레스덴 국립 관현악단
Waldi,발디
Tennis Borussia Berlin,테니스 보루시아 베를린
Jamaika-Koalition,자메이카 연정
Konstantinbasilika,아울라 팔라티나
Neue Länder,신연방주
Autostadt,아우토슈타트
Nationaltheater (München),뮌헨 국립극장
Christlicher Gewerkschaftsbund Deutschlands,독일 기독교노동조합
Nationalsozialistischer Deutscher Studentenbund,민족사회주의 독일 학생동맹
Realschule,레알슐레
U-Bahnhof Richard-Wagner-Platz,리하르트바그너플라츠역
Walldorf (Meiningen),발도르프 (튀링겐주)
Schloss Babelsberg,바벨스베르크궁
Hannover-Messe,하노버 산업 박람회
Nadrensee,나드렌제
Hauptschule,하우프트슐레
Deutsche Hockeynationalmannschaft der Herren,독일 필드하키 국가대표팀
Taktisches Luftwaffengeschwader 51 „Immelmann“,제51전술공군비행단 이멜만
Wolf (Fluss),볼프강 (바덴뷔르템베르크주)
Bambi (Auszeichnung),밤비상
Montabaur,몬타바우어
U-Bahnhof Berliner Straße,베를리너 슈트라세역
James-Simon-Galerie,제임스 사이먼 미술관
Rheinstadion,라인슈타디온
Echo (Musikpreis),에코상
Europastraße 44,유럽 고속도로 44호선
Borussia Dortmund II,보루시아 도르트문트 II
Max-Planck-Institut für Marine Mikrobiologie,막스 플랑크 해양 미생물학 연구소
Deichmann SE,하인리히 다이히만 슈헤
VfR Mannheim,VfR 만하임
Deutschlandfunk,도이칠란트푼크
Nielebock,니엘레보크
Sozialistische Arbeiterpartei Deutschlands (1931),독일 사회주의노동자당 (1931년)
Universität Duisburg-Essen,뒤스부르크-에센 대학교
Barmherzige Brüder vom hl. Johannes von Gott,천주의 성 요한 수도회
Chinesen in Deutschland,중국계 독일인
Fußball-Bundesliga 1967/68,분데스리가 1967-68
Berufliches Gymnasium,산업수요 맞춤형 고등학교
German Wings,저먼 윙스
Wahl des deutschen Bundespräsidenten 1954,1954년 독일 대통령 선거
Wahl des deutschen Bundespräsidenten 1959,1959년 독일 대통령 선거
Franckh-Kosmos,코스모스 (출판사)
BMW S 1000 RR,BMW S1000RR
Alpidischer Gebirgsgürtel,알프스-히말라야 조산대
Internationale Mathematische Union,국제 수학 연맹
Jägerregiment 1,제1엽병연대 (독일)
Castle Gate,캐슬게이트 고정 전쟁 본부
Buttbrunnen,버트브루넨
Olympische Winterspiele 1936/Skispringen,1936년 동계 올림픽 스키점프
Einsatzführungskommando der Bundeswehr,연방방위군작전지도사령부
Fachhochschule Kiel,킬 응용학문대학
Kirche in Not,고통받는 교회 돕기
Entschieden für Christus,기독청년면려회
Paul-Ehrlich-Institut,파울 에를리히 연구소
Statkraft,스태트크래프트
Landtagswahl in Niedersachsen 1974,1974년 니더작센 주의회 선거
Gymnasium an der Stadtmauer,김나지움 안 더 슈타트마우어
Audi A7,아우디 A7
IU Internationale Hochschule,IU 국제응용과학대학교
Puppenmuseum Dresden,드레스덴 인형 박물관
Vollstreckbarkeit,집행력
Fauna Europaea,유럽동물지
SIG Sauer (Deutschland),지크자우어
ADM Wild,빌트 (식품 기업)
Schlacht von Nürnberg,뉘른베르크의 전투
DFB-Supercup 1987,DFB-슈퍼컵 1987
Audi Cup,아우디컵
Volksabstimmung über das Staatsoberhaupt des Deutschen Reichs,1934년 독일 국민투표
Bezirk Neukölln,노이쾰른구
Schwarz-rote Koalition,대연정 (독일)
Baden (Land),바덴
Schwaben,슈바벤
Aktienbuch,주주명부
UEFA-Champions-League-Finale 2015,2015 UEFA 챔피언스리그 결승전
Wahl zum Abgeordnetenhaus von Berlin 2016,2016년 베를린 주의회 선거
Sexuelle Übergriffe in der Silvesternacht 2015,독일 신년전야 동시다발 성폭행 사건
PM-International,PM-International
Das architektonische Werk von Le Corbusier (Welterbe),르 코르뷔지에의 건축 작품
Fußball-Bundesliga 2019/20,분데스리가 2019-20
Landtagswahl in Niedersachsen 2022,2022년 니더작센주 주의회 선거
COVID-19-Pandemie,코로나19 범유행
Nordhausen,노르트하우젠
Internationale Filmfestspiele Berlin 2020,제70회 베를린 국제 영화제
Großer Preis der Eifel 2020,2020년 아이펠 그랑프리
Fußball-Bundesliga 2020/21,분데스리가 2020-21
DFL-Supercup 2020,DFL-슈퍼컵 2020
DFB-Pokal 2022/23,DFB-포칼 2022-23
Bautzen,바우첸
Bundesautobahn 38,아우토반 38호선
Bad Oeynhausen,바트외인하우젠
Bundesautobahn 25,아우토반 25호선
Regierungsbezirk Münster,뮌스터현
Hamburg Hauptbahnhof,함부르크 중앙역
Hildesheim,힐데스하임
Bielefeld,빌레펠트
Augsburg,아우크스부르크
Oberhausen,오버하우젠
Aalen,알렌 (바덴뷔르템베르크주)
Celle,첼레 (독일)
Schwetzingen,슈베칭겐
Deutsche Sprache,독일어
Ludwigsburg,루트비히스부르크
Brandenburg,브란덴부르크주
Inn,인강
Zeithain,자이틴
Mainz,마인츠
Suhl,줄 (독일)
Landkreis Oder-Spree,오데르슈프레군
Landkreis Schaumburg,샤움부르크
Wernigerode,베르니게로데
Deutscher Orden,튜턴 기사단
Zschopau,초파우
Werra,베라강
Die Welt,디 벨트
Rheinfelden (Baden),라인펠덴 (바덴)
Gesamtdeutsche Mannschaft,올림픽 독일 연합 선수단
UFA,우파 (기업)
Mecklenburg-Vorpommern,메클렌부르크포어포메른주
Nordrhein-Westfalen,노르트라인베스트팔렌주
Heidenheim an der Brenz,하이덴하임안데어브렌츠
Singen (Hohentwiel),징겐
Bundeswehr,독일 연방방위군
ZDF,독일 제2텔레비전
Deutsche Wiedervereinigung,독일의 재통일
FC Schalke 04,FC 샬케 04
Friedrich-Alexander-Universität Erlangen-Nürnberg,프리드리히 알렉산더 대학교
München,뮌헨
Rivalität zwischen dem Hamburger SV und Werder Bremen,노르트 더비
Mülheim an der Ruhr,뮐하임안데어루르
1. FC Köln,1. FC 쾰른
Friesen,프리슬란트인
Eintracht Braunschweig,아인트라흐트 브라운슈바이크
Bahnstrecke Eglisau–Neuhausen,에글리자우-노이하우젠 철도 노선
1. Panzer-Division (Wehrmacht),제1기갑사단 (독일 국방군)
1. Panzerdivision (Bundeswehr),제1기갑사단 (독일 연방방위군)
11. Panzergrenadierdivision,제11기갑척탄병사단
Nürnberger Ärzteprozess,의사 재판
Fortuna Düsseldorf,포르투나 뒤셀도르프
Olympische Winterspiele 2010/Teilnehmer (Deutschland),2010년 동계 올림픽 독일 선수단
Zalando,잘란도
Moers,뫼르스
Recklinghausen,레클링하우젠
Ratingen,라팅엔
Bocholt,보홀트 (독일)
Minden,민덴
Landshut,란츠후트
Bayer 04 Leverkusen,바이어 04 레버쿠젠
U-Bahn-Linie U3 (Berlin),베를린 지하철 3호선
U-Bahn-Linie U8 (Berlin),베를린 지하철 8호선
Bad Salzuflen,바트잘추플렌
Langenfeld (Rheinland),랑엔펠트 (노르트라인베스트팔렌주)
Bayer AG,바이엘 (기업)
Lausitzer Neiße,나이세강
Wedel,베델 (슐레스비히홀슈타인주)
Bamberger Dom,밤베르크 대성당
Landkreis Märkisch-Oderland,메르키슈오데를란트군
S-Bahn,S반
VfL Wolfsburg,VfL 볼프스부르크
Energie Cottbus,FC 에네르기 콧부스
Bauhaus,바우하우스
Münchner Abkommen,뮌헨 협정
Zweite Schlacht bei Höchstädt,블레넘 전투
Deutscher Fußball-Bund,독일 축구 연맹
Zoologischer Garten Berlin,베를린 동물원
Deutsche Börse,도이치 뵈르제
FSV Frankfurt,FSV 프랑크푸르트
Großer Preis von Deutschland 2012,2012년 독일 그랑프리
Olympische Sommerspiele 1972/Fußball,1972년 하계 올림픽 축구
Olympische Sommerspiele 1936/Leichtathletik,1936년 하계 올림픽 육상
SC Paderborn 07,SC 파더보른 07
Chemnitzer FC,켐니츠 FC
Frankfurt (Main) Hauptbahnhof,프랑크푸르트 중앙역
SV Waldhof Mannheim,SV 발트호프 만하임
Deutscher Werkbund,독일 공작연맹
Ramstein Air Base,람슈타인 공군기지
Rheinmetall,라인메탈
Bach (Musikerfamilie),바흐가
Julius-Maximilians-Universität Würzburg,뷔르츠부르크 대학교
Malmedy-Massaker,말메디 학살
Regierungsbezirk Dessau,데사우현
Blohm %2B Voss,블롬 플루스 포스
Bernsteinstraße,호박의 길
Max-Morlock-Stadion,막스 모를로크 슈타디온
Rheinland,라인란트
Georg-August-Universität Göttingen,괴팅겐 대학교
Peenestrom,페네슈트롬 해협
Allianz Arena,알리안츠 아레나
Deutsche Welle,도이체 벨레
Lippe (Fluss),리페강
Schiefer Turm von Suurhusen,주르후젠의 사탑
6. Infanterie-Division (Wehrmacht),제6보병사단 (독일 국방군)
Lindau (Bodensee),린다우
Universität Hamburg,함부르크 대학교
Füssen,퓌센
Wolgadeutsche,볼가 독일인
Air Cargo Germany,에어 카고 저머니
Romantische Straße,로맨틱 가도
Technische Universität Darmstadt,다름슈타트 공과대학교
Generalgouvernement Belgien,벨기에 총독부
ZbMATH,첸트랄블라트 마트
Löwenbräu,뢰벤브로이
Deutscher Olympischer Sportbund,독일 올림픽 체육 연맹
35. SS-Polizei-Grenadier-Division,제35SS경찰척탄병사단
AFM Records,AFM 레코드
Hamburger Abendblatt,함부르거 아벤트블라트
Fußball-Weltmeisterschaft 2006/Gruppe A,2006년 FIFA 월드컵 A조
Sat.1,Sat.1
Tokio Hotel,토쿄 호텔
Cannstatter Volksfest,칸슈타트 축제
Condor Flugdienst,콘도르 (항공사)
Tokyopop,토쿄팝
Berchtesgaden,베르히테스가덴
Karlsruher Institut für Technologie,카를스루에 공과대학교
N-tv,N-tv
Agfa,아그파게바트
Bundesamt für Verfassungsschutz,연방헌법수호청
Osram,오스람
Bereitschaftspolizei,상비경찰
Heidelberger Ruderklub,하이델베르크 RK
Hertie School,헤르티 스쿨
Musik Produktion Schwarzwald,MPS 레코드
Pilz (Unternehmen),필츠
Glückstadt,글뤼크슈타트
Grimme-Preis,그림메상
Boppard,보파르트
Syke,쉬케
Fulda Gap,풀다 간격
Avira,아비라 오퍼레이션
Emscher,엠셔강
Soltau,졸타우
Bundeszentrale für politische Bildung,연방공민교육국
Oberkochen,오버코헨
MTU Friedrichshafen,MTU 프리드리히스하펜
Reichsbank,국가은행
Bernhard-Nocht-Institut für Tropenmedizin,베른하르트 노흐트 열대의학 연구소
Schlacht bei Lutter,루터 전투
TUIfly,TUI플라이
Bauchamphora des Andokides-Malers (München 2301),안도키데스 화공의 일체형 암포라
Oettinger Brauerei,외팅어
Schweriner Schloss,슈베린성
U-Bahnhof Altstadt Spandau,알트슈타트 슈판다우역
Dr. Hoch’s Konservatorium,호흐 음악원
Faber-Castell,파버카스텔
Wahl zum Abgeordnetenhaus von Berlin 2011,2011년 베를린 주의회 선거
Salzwedel,잘츠베델
Luftschiffbau Zeppelin,체펠린 비행조선
Interregio,인터레기오
Perleberg,페를레베르크
Halstenbek,할슈텐베크
Neckarsulm,네카르줄름
Ratzeburg,라체부르크
Völkerschlachtdenkmal,전승기념비 (라이프치히)
Meersburg,메어스부르크
Internationaler Seegerichtshof,국제해양법법원
Heidelberg Materials,하이델베르크시멘트
Europastraße 41,유럽 고속도로 41호선
Kulturlandschaft Dresdner Elbtal,드레스덴 엘베 계곡
Kunstakademie Düsseldorf,쿤스트아카데미 뒤셀도르프
Mödlareuth,뫼들라로이트
Krombacher Brauerei,크롬바커
Bad Neuenahr-Ahrweiler,바트노이에나르아르바일러
Fürst-Pückler-Eis,나폴리 아이스크림
Rosa-Luxemburg-Platz,로자 룩셈부르크 광장
Sony Center,소니 센터
Eurex,Eurex
Fresenius (Unternehmen),프레제니우스
