Pioneer plaque,先驅者鍍金鋁板
"Liberty Township, St. Joseph County, Indiana",利柏提鎮區·(印地安納州聖約瑟夫縣)
"Libertyville, Indiana",利柏提維爾·(印地安納州)
Lillis Business Complex,利麗思商學綜合大樓
"Lincoln Township, Cloud County, Kansas",林肯鎮區·(堪薩斯州克勞德縣)
"Linden, Arizona",林登·(亞利桑那州)
"Linnsburg, Indiana",林斯堡·(印地安納州)
List of Baltimore Light RailLink stations,巴爾的摩輕軌車站列表
"Junction City, California",章克申城·(加利福尼亞州)
Origins (cosmetics),悦木之源
"Plumas Lake, California",普盧默斯湖·(加利福尼亞州)
"Sisquoc, California",錫斯闊克·(加利福尼亞州)
"Topock, Arizona",托波克·(亞利桑那州)
"Vina, California",維納·(加利福尼亞州)
"Wikieup, Arizona",威基阿普·(亞利桑那州)
Little Applegate River,小阿普爾蓋特河
Little Fishing Creek,小钓鱼溪
"Little Lake City, Florida",小湖城·(佛羅里達州)
"Little Rock, Illinois",利特爾羅克·(伊利諾伊州)
"Little Valley, California",利特爾瓦利·(加利福尼亞州)
"Liverpool Township, Fulton County, Illinois",利物浦鎮區·(伊利諾伊州富爾頓縣)
"Loami Township, Sangamon County, Illinois",洛阿米鎮區·(伊利諾伊州桑加蒙縣)
"Long Creek Township, Searcy County, Arkansas",長溪鎮區·(阿肯色州瑟西縣)
Longwood Medical Area station,长木医学区站
"Lonoak, California",洛諾克·(加利福尼亞州)
"Loogootee, Illinois",盧古蒂·(伊利諾伊州)
"Loveless, Alabama",洛夫萊斯·(阿拉巴馬州)
"Loves Corner, Illinois",拉夫斯科納·(伊利諾伊州)
"Lowder, Illinois",洛德·(伊利諾伊州)
Loyola University Chicago School of Law,芝加哥洛约拉大学法学院
"Lucas, Illinois",盧卡斯·(伊利諾伊州)
"Robinson Mill, California",羅賓遜米爾·(加利福尼亞州)
"Luray, Indiana",盧瑞·(印地安納州)
"Lyles Station, Indiana",萊爾斯站·(印地安納州)
"Lynn Center, Illinois",林森特·(伊利諾伊州)
"Lyona, Kansas",萊昂納·(堪薩斯州)
"Mandeville, Arkansas",曼德維爾·(阿肯色州)
"Joslin, Illinois",喬斯林·(伊利諾伊州)
"Ak Chin, Pima County, Arizona",阿克欽·(亞利桑那州)
MacDougal–Sullivan Gardens Historic District,麦克杜加尔-沙利文花园历史区
"Madison Township, Jay County, Indiana",麥迪遜鎮區·(印地安納州傑伊縣)
"Madison Township, Montgomery County, Indiana",麥迪遜鎮區·(印地安納州蒙哥馬利縣)
"Magley, Indiana",馬格利·(印地安納州)
"Maher, Colorado",馬埃爾·(科羅拉多州)
Malone University,马龙大学
Marblehead Light (Massachusetts),马布尔黑德灯塔
"Marbletown, Illinois",馬布爾敦·(伊利諾伊州)
MIA Mover,邁亞密國際機場旅客捷運系統
"McClusky, Illinois",麥克盧斯基·(伊利諾伊州)
"McHenry Township, McHenry County, Illinois",麥克亨利鎮區·(伊利諾伊州麥克亨利)
"McNair, Arkansas",麥克奈爾·(阿肯色州)
"McShan, Alabama",麥克沙恩·(阿拉巴馬州)
"Moreland, Arkansas",莫爾蘭·(阿肯色州)
"Morris, Indiana",莫里斯·(印地安納州)
"Morrow, Arkansas",莫洛·(阿肯色州)
"Mount Lawn, Indiana",芒特洛恩·(印地安納州)
"Mount Olive, Izard County, Arkansas",芒特奧利夫·(阿肯色州伊澤德縣)
"Mount Pisgah, Indiana",芒特皮斯加·(印地安納州)
"Mount Pleasant, Mississippi",芒特普林森·(密西西比州)
"Mount Sterling, Alabama",芒特斯特寧
"Mountain Lake, Florida",芒廷湖·(佛羅里達州)
"Mountjoy, Illinois",芒特喬伊·(伊利諾伊州)
"Mulberry Township, Clay County, Kansas",馬爾伯里鎮區·(堪薩斯州克萊縣)
Murder of Laci Peterson,蕾西皮特森谋杀案
"Muse, Florida",繆思·(佛羅里達州)
Museum of Osteology,骨骼博物馆
"Millington, Connecticut",米林頓·(康乃狄克州)
Millstone Hill Observatory,磨盤山觀測所
"Milmine, Illinois",米爾邁恩·(伊利諾伊州)
Milton Center Historic District,米爾頓森特歷史區
Milwaukee Institute of Art %26 Design,密爾沃基藝術設計學院
Mima mounds,美馬塚
"Mira, Illinois",米拉·(伊利諾州香檳郡)
"Miracle Hot Springs, California",奇蹟溫泉·(加利福尼亞州)
"Mirage Township, Kearney County, Nebraska",幻影鎮區·(卡尼縣)
Mississippi College,密西西比學院
Mississippi's 1st congressional district,密西西比州第一國會選區
Missouri General Assembly,密苏里州议会
"Mitchellsville, Illinois",米切爾斯維爾·(伊利諾伊州)
"Modoc, Arkansas",莫多克·(阿肯色州)
"Mohawk, Arizona",莫霍克·(亞利桑那州)
19th Avenue/Montebello station,19大道／蒙特貝羅站
"Monroe Park, Delaware",門羅帕克·(特拉華州)
"Monroe Precinct, Hardin County, Illinois",門羅縣區·(伊利諾伊州哈丁縣)
"Monroe Township, Delaware County, Indiana",門羅鎮區·(印地安納州特拉華縣)
"Monroe Township, Kosciusko County, Indiana",門羅鎮區·(印地安納州科西阿斯科縣)
"Montchanin, Delaware",蒙查寧·(特拉華州)
"Monticello Township, Piatt County, Illinois",蒙蒂塞洛鎮區·(伊利諾伊州皮亞特縣)
Montlake Bridge,蒙特萊克大橋
"Moonstone, California",蒙斯通·(加利福尼亞州)
Morehead Planetarium and Science Center,莫尔黑德天文和科学中心
"Marengo Township, McHenry County, Illinois",馬倫戈鎮區·(伊利諾伊州麥克亨利)
"Marengo, Alabama",馬倫戈·(阿拉巴馬州)
Margaret Mitchell House and Museum,玛格丽特·米切尔故居
Marine Raider Regiment,美國海軍陸戰隊突襲兵團
"Marinwood, California",馬林伍德·(加利福尼亞州)
"Marion Township, Bourbon County, Kansas",馬里恩鎮區·(堪薩斯州波旁縣)
"Marston, Illinois",馬斯頓·(伊利諾伊州)
"Massack, California",馬薩克·(加利福尼亞州)
"Massbach, Illinois",馬斯巴奇·(伊利諾伊州)
Medicare fraud,聯邦醫療保險詐欺
"Meriwether, Georgia",梅里韋瑟·(喬治亞州)
"Merom Station, Indiana",梅羅姆站·(印地安納州)
Merrimack Premium Outlets,梅里马克名牌折扣购物中心
"Merritt, Illinois",梅里特·(伊利諾伊州)
"Messick, Indiana",梅西克·(印地安納州)
Metropolitan Missionary Baptist Church,大都会传教士浸信会教堂
"Metz, Indiana",梅茲·(印地安納州)
"Middlebury Township, Elkhart County, Indiana",米德爾伯里鎮區·(印地安納州埃爾克哈特縣)
"Midland, California",米德兰·(加利福尼亚州)
"Midway, Colorado",米德韋·(科羅拉多州)
"Midway, Fulton County, Illinois",米德韋·(伊利諾伊州富爾頓縣)
"Midway, Massac County, Illinois",米德韋·(伊利諾伊州馬薩克縣)
"Mill Basin, Brooklyn",磨坊盆地
"Mill Creek, Delaware",米爾克里克·(特拉華州)
"Mill Creek, Pope County, Arkansas",米爾克里克·(阿肯色州波普縣)
"Miller, Indiana",米勒·(印地安納州)
"Milligan, Indiana",米利根·(印地安納州)
"Mentor, Indiana",門托·(印地安納州)
"Miami Bend, Indiana",邁阿密本德·(印地安納州)
"Miami, Indiana",邁阿密·(印地安納州)
"Milo, Indiana",邁洛·(印第安納州)
Misty (satellite program),迷雾卫星
Nez Perce in Yellowstone Park,内兹珀斯人在黄石公园
North Central State College,北中央州立學院
"North Dardanelle, Arkansas",北達達尼爾·(阿肯色州)
"North Harrison Township, Boone County, Arkansas",北哈里森鎮區·(阿肯色州布恩縣)
"North Prairie Acres, Illinois",北草原畝·(伊利諾伊州)
"North Yocum Township, Carroll County, Arkansas",北約克姆鎮區·(阿肯色州卡羅爾縣)
"Northern Township, Franklin County, Illinois",北鎮區·(伊利諾伊州富蘭克林縣)
List of NBA rivalries,NBA世仇組合列表
"Preston Township, Richland County, Illinois",普雷斯頓鎮區·(伊利諾伊州里奇蘭縣)
Princeton Junction station,普林斯顿枢纽站
"Noyo, California",諾約·(加利福尼亞州)
"O'Brien, California",奧布萊恩·(加利福尼亞州)
"Oak Bowery, Alabama",奧克鮑厄里·(阿拉巴馬州)
"Oak Grove Township, Benton County, Indiana",奧克格羅夫鎮區·(印地安納州本頓縣)
"Oak Point, Illinois",奧克波因特·(伊利諾伊州)
"Oasis, Iowa",奥阿西斯·(艾奥瓦州)
"Oasis, Riverside County, California",奧阿西斯·(加利福尼亞州河濱縣)
"Plain Township, Kosciusko County, Indiana",普萊恩鎮區·(印地安納州科西阿斯科縣)
"Pleasant Grove, Van Buren County, Arkansas",普萊森特格羅夫·(阿肯色州范布倫縣)
"Pleasant Hill, Alabama",普萊森特希爾·(達拉斯縣)
"Pleasant Hill, Polk County, Arkansas",普萊森特山·(阿肯色州波爾克縣)
"Pleasant Hill, Saline County, Arkansas",普萊森特山·(阿肯色州薩林縣)
"Pleasant Hill, Stone County, Arkansas",普萊森特山·(阿肯色州斯通縣)
Pleasant Street station (MBTA),普莱森特街站
"Pleasant Township, Harvey County, Kansas",普萊森特鎮區·(堪薩斯州哈維縣)
"Pleasant Township, Switzerland County, Indiana",普萊森特鎮區·(印地安納州瑞士縣)
"Pleasant Township, Wabash County, Indiana",普萊森特鎮區·(印地安納州沃巴什縣)
"Pleasant Valley Township, Finney County, Kansas",普萊森特瓦利鎮區·(芬尼縣)
"Prairie City, Kansas",普雷里城·(堪薩斯州)
"Prairie Township, Boone County, Arkansas",普雷爾鎮區·(阿肯色州布恩縣)
"Newbury Park, California",紐伯里公園·(加利福尼亞州)
"Newby, Illinois",紐比·(伊利諾伊州)
"Newcastle Township, Fulton County, Indiana",紐卡斯爾鎮區·(印地安納州富爾頓縣)
Newport station (PATH),新港車站·(PATH)
"Nicodemus Township, Graham County, Kansas",尼科迪默斯鎮區·(堪薩斯州葛蘭姆縣)
"Noble Township, Dickinson County, Kansas",諾布爾鎮區·(堪薩斯州迪金森縣)
"Noble Township, Jay County, Indiana",諾布爾鎮區·(印地安納州傑伊縣)
"Nokomis Township, Montgomery County, Illinois",諾科米斯鎮區·(伊利諾伊州蒙哥馬利縣)
Noodles %26 Company,Noodles·%26·Company
North Fork White River,怀特河北汊
"Northeast Township, Adams County, Illinois",東北鎮區·(伊利諾伊州亞當斯縣)
Northland College (Wisconsin),諾思蘭學院·(威斯康星州)
Northside station,诺斯赛德站
Northwest Missouri State University,西北密苏里州立大学
"Norwood, Arkansas",諾伍德·(阿肯色州)
"Nothing, Arizona",諾辛·(亞利桑那州)
"Notleys Landing, California",諾特利斯蘭丁·(加利福尼亞州)
"Nottingham Township, Wells County, Indiana",諾丁漢鎮區·(印地安納州韋爾斯縣)
Newman University (Kansas),紐曼大學·(威奇托)
"Old Alabam, Arkansas",舊阿拉巴姆·(阿肯色州)
"Old Garlock, California",舊加洛克·(加利福尼亞州)
Old Town station (Staten Island Railway),老镇车站·(史泰登岛铁路)
"Old Town Township, McLean County, Illinois",舊市鎮區·(伊利諾伊州麥克萊恩縣)
"Our Lady of Lourdes Catholic Church (Minneapolis, Minnesota)",露德圣母堂·(明尼阿波利斯)
Palmyra New York Temple,紐約州抛邁拉聖殿
San Francisco riot of 1877,1877年三藩市反华暴乱
Seattle Public Library,西雅图公立图书馆
"Ontario Township, Knox County, Illinois",安大略鎮區·(伊利諾伊州諾克斯縣)
"Oriole Beach, Florida",奧里奧爾海灘·(佛羅里達州)
"Osage Township, Bourbon County, Kansas",歐塞奇鎮區·(堪薩斯州波旁縣)
"Owen Township, Winnebago County, Illinois",歐文鎮區·(伊利諾伊州溫納貝戈縣)
"Oxford, Florida",牛津·(佛羅里達州)
"Paicines, California",派西恩斯·(加利福尼亞州)
"Palestine Precinct, Randolph County, Illinois",巴勒斯坦縣區·(伊利諾伊州蘭道夫縣)
"Palm Beach Hotel (Palm Beach, Florida)",棕榈滩酒店
Palmetto station,帕尔梅托站
Palo Alto Baylands Nature Preserve,帕罗奥图海湾湿地自然保护区
"Panola Township, Woodford County, Illinois",帕諾拉鎮區·(伊利諾伊州伍德福德縣)
"Pansey, Alabama",潘茜·(阿拉巴馬州)
"Paradise Cay, California",帕拉代爾凱·(加利福尼亞州)
"Park, Indiana",帕克·(印地安納州)
"Passport, Illinois",帕斯波特·(伊利諾伊州)
"Patoka Township, Pike County, Indiana",帕托卡鎮區·(印地安納州派克縣)
"Penn Township, Shelby County, Illinois",賓鎮區·(伊利諾伊州謝爾比縣)
Pennsylvania's 3rd congressional district,賓夕凡尼亞州第三國會選區
Philadelphia Ronald McDonald House,費城麥當勞叔叔之家
"Ponca, Arkansas",龐卡·(阿肯色州)
"Pontoon, Arkansas",龐通·(阿肯色州)
Powell Hall,鲍威尔交响乐大厅
"Ranchita, California",蘭奇塔·(加利福尼亞州)
"Rancho Dominguez, California",蘭喬多明格茲·(加利福尼亞州)
"Randolph Township, McLean County, Illinois",蘭道夫鎮區·(伊利諾伊州麥克萊恩縣)
"Randolph Township, Tippecanoe County, Indiana",蘭道夫鎮區·(印地安納州蒂珀卡努縣)
"Raub, Indiana",羅布·(印地安納州)
"Ravendale, California",雷文代爾·(加利福尼亞州)
RMS Titanic Maritime Memorial Act,鐵達尼號海事紀念法
"Raymond Township, Champaign County, Illinois",雷蒙德鎮區·(伊利諾伊州尚佩恩縣)
"Raymond Township, Montgomery County, Illinois",雷蒙德鎮區·(伊利諾伊州蒙哥馬利縣)
"Red Bud Precinct, Randolph County, Illinois",雷德巴德縣區·(伊利諾伊州蘭道夫縣)
"Red Head, Florida",雷德黑德·(佛羅里達州)
"Redington, Arizona",雷廷頓·(亞利桑那州)
"Redland, Florida",雷德蘭·(佛羅里達州)
"Reds Corner, Indiana",雷茲科納·(印地安納州)
"Reo, Indiana",里奧·(印地安納州)
"Reward, Inyo County, California",雷沃德·(加利福尼亞州因約縣)
"Rheem, California",里姆·(加利福尼亞州)
Rhode Island's 1st congressional district,羅德島州第一國會選區
Rhode Island's 2nd congressional district,羅德島州第二國會選區
"Richland Township, Harvey County, Kansas",里奇蘭鎮區·(堪薩斯州哈維縣)
"Richland Township, Madison County, Indiana",里奇蘭鎮區·(印地安納州麥迪遜縣)
"Richland Township, Tama County, Iowa",里奇蘭鎮區·(愛荷華州泰馬縣)
"Safford, Arizona micropolitan area",薩福德小型都會區
Sagamore Hill,萨加莫尔山
"Salina, Colorado",薩利納·(科羅拉多州)
"Saline City, Indiana",薩林城·(印地安納州)
"Saline Township, Madison County, Illinois",薩林鎮區·(伊利諾伊州麥迪遜縣)
Salmon–Challis National Forest,萨门-夏利斯国家森林
"Salt Creek Township, Chautauqua County, Kansas",索爾特克里克鎮區·(堪薩斯州學托擴縣)
"Salt Creek Township, Mason County, Illinois",索爾特克里克鎮區·(伊利諾伊州梅森縣)
"Saluda, Indiana",薩盧達·(印地安納州)
"San Ramon Village, California",聖拉蒙村·(加利福尼亞州)
San Ysidro Port of Entry,聖伊西德羅入境口岸
"Santa Rita Park, California",聖里塔公園·(加利福尼亞州)
"Santa Rosa Beach, Florida",聖羅薩海灘·(佛羅里達州)
"Saratoga Springs, California",薩拉托加斯普林斯·(加利福尼亞州)
"Saratoga Township, Grundy County, Illinois",薩拉托加鎮區·(伊利諾伊州格蘭迪縣)
"Saratoga Township, Marshall County, Illinois",薩拉托加鎮區·(伊利諾伊州馬歇爾縣)
Saugus Iron Works National Historic Site,索格斯鐵工廠
Savannah River National Laboratory,萨凡纳河国家实验室
"Scheller, Illinois",舍勒·(伊利諾伊州)
"Scotland, Arkansas",蘇格蘭·(阿肯色州)
Second Hannibal Bridge,汉尼拔二桥
"Secret Town, California",秘密鎮·(加利福尼亞州)
Nassau station,纳萨乌车站·(史泰登岛铁路)
National Committee on United States–China Relations,美中關係全國委員會
National Energy Technology Laboratory,国家能源技术实验室
National Gallery of Art Sculpture Garden,国家美术馆雕塑园
National Louis University,國家路易斯大學
National Marrow Donor Program,國家骨髓捐贈計劃
National University of Health Sciences,國家健康科學大學
"Navajo Springs, Arizona",納瓦霍泉·(亞利桑那州)
Naval Air Systems Command,美國海軍航空系統司令部
Naval Education and Training Command,美國海軍教育與訓練司令部
"Navy Town, Alaska",內維鎮
Nebraska's 3rd congressional district,內布拉斯加州第三國會選區
NEO Surveyor,近地天体照相机
"Nevada, Indiana",內華達·(印地安納州)
"Nevins Township, Vigo County, Indiana",內文斯鎮區·(印地安納州維哥縣)
New Hampshire's 2nd congressional district,新罕布什爾州第二國會選區
"New Town, Georgia",新鎮·(喬治亞州)
"New Trenton, Indiana",新特倫頓·(印地安納州)
988 (telephone number),988自杀防治热线
South Fork White River,怀特河南汊
"South Otter Township, Macoupin County, Illinois",南奥特鎮區·(伊利諾伊州馬庫平縣)
"South Palmyra Township, Macoupin County, Illinois",南帕邁拉鎮區·(伊利諾伊州馬庫平縣)
"South Salem Township, Greenwood County, Kansas",南塞勒姆鎮區·(堪薩斯州格林伍德縣)
South Street station (MBTA),南街站
St. George's United Methodist Church (Philadelphia),圣乔治联合卫理公会教堂
St. Louis Gateway Film Critics Association Award for Best Director,圣路易斯影评人协会奖最佳导演
St. Louis Gateway Film Critics Association Award for Best Supporting Actress,圣路易斯影评人协会奖最佳女配角
St. Mary's Street station,圣玛丽街站
T54 (American tank),T54中型戰車
New York Military Academy,紐約軍事學院
"Oil Township, Perry County, Indiana",奧伊爾鎮區·(印地安納州佩里縣)
Harlem River Lift Bridge,公园大道桥·(纽约市)
"Oleander, California",奧林德·(加利福尼亞州)
"Olio Township, Woodford County, Illinois",奧利奧鎮區·(伊利諾伊州伍德福德縣)
"Omnia Township, Cowley County, Kansas",奧姆尼亞鎮區·(堪薩斯州考利縣)
"Ophiem, Illinois",奧普海姆·(伊利諾伊州)
"Optimus, Arkansas",奧普蒂馬斯·(阿肯色州)
"Orange Township, Noble County, Indiana",奧蘭治鎮區·(印地安納州諾布爾縣)
"Oregon House, California",俄勒岡屋·(加利福尼亞州)
"Orvil Township, Logan County, Illinois",奧維爾鎮區·(伊利諾伊州洛根縣)
"Osco Township, Henry County, Illinois",奧斯科鎮區·(伊利諾伊州亨利縣)
"Ospur, Illinois",奧斯珀·(伊利諾伊州)
"Otto Township, Kankakee County, Illinois",奧托鎮區·(伊利諾伊州坎卡基縣)
"Otto, Indiana",奧托·(印地安納州)
"Oxley Township, Searcy County, Arkansas",奧克斯利鎮區·(阿肯色州瑟西縣)
"Ozone, Arkansas",奧桑恩·(阿肯色州)
"Panorama Hills, Illinois",全景山·(伊利諾伊州)
Parakey,Parakey
"Patricksburg, Indiana",帕德里克斯堡·(印地安納州)
Rosalia Railroad Bridge,罗萨莉娅铁路桥
"Rosamond, Illinois",羅薩蒙德·(伊利諾伊州)
"Roseburg, Grant County, Indiana",羅斯堡·(印地安納州格蘭特縣)
Rosendale Library,羅森代爾圖書館
"Ross Township, Edgar County, Illinois",羅斯鎮區·(伊利諾伊州埃德加縣)
"Rossburg, Indiana",羅斯堡·(印地安納州)
Rosslyn station,羅斯林站
"Rosston, Indiana",羅斯頓·(印地安納州)
"Round Mountain, Arkansas",朗德芒廷·(阿肯色州)
"Rouse, California",勞斯·(加利福尼亞州斯坦尼斯洛斯縣)
Rowland Unified School District,羅蘭聯合學區
"Ruby, Okanogan County, Washington",紅寶石·(華盛頓州)
"Ruskin, Georgia",拉斯金·(喬治亞州)
"Russell, Illinois",拉塞爾·(伊利諾伊州)
"Rutland Township, LaSalle County, Illinois",拉特蘭鎮區·(伊利諾伊州拉薩爾縣)
Ryan White CARE Act,瑞安·怀特保健法
"Ryde, California",賴德·(加利福尼亞州)
"Ryland, Alabama",賴蘭·(阿拉巴馬州)
"Ryus, Kansas",琉斯·(堪薩斯州)
Richmond Valley station,里克蒙德谷車站·(史泰登島鐵路)
"Riddle Hill, Illinois",里德爾山·(伊利諾伊州)
"Ridge Township, Dickinson County, Kansas",里奇鎮區·(堪薩斯州迪金森縣)
"Ridgeland Township, Iroquois County, Illinois",里奇蘭鎮區·(伊利諾伊州易洛魁縣)
"Ridgeview Village, California",里奇維尤村·(加利福尼亞州)
"Ridgewood Heights, California",里奇伍德高地·(加利福尼亞州)
"Riggston, Illinois",里格斯頓·(伊利諾伊州)
"Riley, Illinois",里利·(伊利諾伊州)
"Rinard, Illinois",里納德·(伊利諾伊州)
"River Oaks, California",里弗奧克斯·(加利福尼亞州)
"Riverside, Fountain County, Indiana",里弗賽德·(印地安納州方廷縣)
"Riverview, Indiana",里弗維尤·(印地安納州)
"Rivoli Township, Mercer County, Illinois",里沃利鎮區·(伊利諾伊州默瑟縣)
"Robb Township, Posey County, Indiana",羅布鎮區·(印地安納州波西縣)
"Robinson Township, Brown County, Kansas",魯賓遜鎮區·(堪薩斯州布朗縣)
"Roby, Illinois",羅比·(伊利諾伊州)
"Rochester Township, Kingman County, Kansas",羅切斯特鎮區·(堪薩斯州金曼縣)
"Rock Island Township, Rock Island County, Illinois",羅克艾蘭鎮區·(伊利諾伊州羅克艾蘭縣)
Rockefeller Chapel,洛克菲勒礼拜堂
"Rockport, Illinois",羅克波特·(伊利諾伊州)
Rocks State Park,岩石州立公园
"Rockwood Precinct, Randolph County, Illinois",羅克伍德縣區·(伊利諾伊州蘭道夫縣)
"Rogers Township, Ford County, Illinois",羅傑斯鎮區·(伊利諾伊州福德縣)
University of Washington School of Law,华盛顿大学法学院·(西雅图)
"Patton Hill, Indiana",帕頓山·(印地安納州)
"Pauma Valley, California",波馬谷·(加利福尼亞州)
"Peach Orchard Township, Ford County, Illinois",桃果園鎮區·(伊利諾伊州福德縣)
"Peanut, California",皮納特·(加利福尼亞州)
"Peconic County, New York",佩孔尼克縣
"Peerless, Indiana",皮爾勒斯·(印地安納州)
"Pembroke Township, Kankakee County, Illinois",彭布羅克鎮區·(伊利諾伊州坎卡基縣)
"Pentland, California",彭特蘭·(加利福尼亞州)
Pepper Road station,胡椒路站
"Perkins, Georgia",珀金斯·(喬治亞州)
"Perks, Illinois",珀克斯·(伊利諾伊州)
"Perry Township, Delaware County, Indiana",佩里鎮區·(印地安納州特拉華縣)
"Perry Township, Noble County, Indiana",佩里鎮區·(印地安納州諾布爾縣)
"Perry Township, Tama County, Iowa",佩里鎮區·(愛荷華州泰馬縣)
"Perryton Township, Mercer County, Illinois",佩里頓鎮區·(伊利諾伊州默瑟縣)
"Perth, Indiana",珀斯·(印地安納州)
"Petersburg East No. 13 Precinct, Menard County, Illinois",東彼得斯堡縣區·(伊利諾伊州默納德縣)
"Peterstown, Illinois",彼得斯敦·(伊利諾伊州)
"Petersville, Illinois",彼得斯維爾·(伊利諾伊州)
"Petersville, Indiana",彼得斯維爾·(印地安納州)
Rivian,Rivian
"Sage, Arkansas",塞奇·(阿肯色州)
Saipan Tribune,塞班島論壇報
"Salem Township, Cowley County, Kansas",塞勒姆鎮區·(堪薩斯州考利縣)
Sam Adams Award,山姆·亞當斯獎
San Francisco Municipal Transportation Agency,三藩市交通局
"Sand Creek Township, Bartholomew County, Indiana",桑德克里克鎮區·(印地安納州巴塞洛繆縣)
"Sand Slough, Arkansas",桑德斯洛·(阿肯色州)
School District of the City of Pontiac,庞蒂亚克学区
"Sebastopol, Nevada County, California",塞瓦斯托波爾·(加利福尼亞州內華達縣)
"Selvin, Indiana",塞爾文·(印地安納州)
"Smith Township, Whitley County, Indiana",史密斯鎮區·(印地安納州惠特利縣)
"Smith Valley, Indiana",史密斯瓦利·(印地安納州)
"Smithshire, Illinois",史密斯夏爾·(伊利諾伊州)
"Snake Run, Gibson County, Indiana",斯內克倫·(印地安納州吉布森縣)
"Solomon, Illinois",所羅門·(伊利諾伊州)
"South Bend Township, Barton County, Kansas",南本德鎮區·(堪薩斯州)
South Canyon Fire,南谷大火
"Petty, Georgia",佩蒂·(喬治亞州)
"Phillips Hill, Delaware",菲利普斯希爾·(特拉華州)
"Pickaway Township, Shelby County, Illinois",皮卡韋鎮區·(伊利諾伊州謝爾比縣)
"Pickens, White County, Arkansas",皮肯斯·(阿肯色州懷特縣)
"Piedra, California",皮德拉·(加利福尼亞州)
"Pierson Township, Vigo County, Indiana",皮爾森鎮區·(印地安納州維哥縣)
"Pigeon Grove Township, Iroquois County, Illinois",皮根格羅夫鎮區·(伊利諾伊州易洛魁縣)
"Pike Township, Jay County, Indiana",派克鎮區·(印地安納州傑伊縣)
"Pike Township, Warren County, Indiana",派克鎮區·(印地安納州沃倫縣)
Pilot Rock (Oregon),派勒特岩
"Pimento, Indiana",皮門托·(印地安納州)
"Pioneer Township, Graham County, Kansas",派厄尼爾鎮區·(堪薩斯州葛蘭姆縣)
"Pittsburg, Walker County, Georgia",匹茲堡·(喬治亞州沃克縣)
"Polk, Illinois",波爾克·(伊利諾伊州)
Pomona College,波莫納學院
"Portsville, Delaware",波茨維爾·(特拉華州)
"Posey Township, Washington County, Indiana",波西鎮區·(印地安納州華盛頓縣)
"Possum Grape, Arkansas",波薩姆格雷普·(阿肯色州)
"Punkin Center, Colorado",潘金森特·(科羅拉多州)
"Pyatts, Illinois",派亞茨·(伊利諾伊州)
Temple Beth El of Borough Park,菠萝园神的殿
"Terre Coupee, Indiana",特里庫皮·(印地安納州)
"Terry Township, Finney County, Kansas",特里鎮區·(芬尼縣)
"Teutopolis Township, Effingham County, Illinois",圖托波利斯鎮區·(伊利諾伊州埃芬漢縣)
"Texas City, Illinois",德克薩斯城·(伊利諾伊州)
Texas Interconnection,德克薩斯州電網
The Baked Potato,烤馬鈴薯·(爵士樂俱樂部)
The Evening and the Morning Star,夜與晨星
"The First Church of Christ, Scientist",基督教科学派第一教会·(波士顿)
"Sherman Township, Sedgwick County, Kansas",謝爾曼鎮區·(堪薩斯州塞奇威克縣)
"Shiloh, Pope County, Arkansas",希洛·(阿肯色州波普縣)
Shinnecock Hills Golf Club,辛尼科克山高爾夫俱樂部
"Shirkieville, Indiana",舍基維爾·(印地安納州)
"Shirley Township, Cloud County, Kansas",雪莉鎮區·(堪薩斯州克勞德縣)
"Sicard Flat, California",西卡德弗拉特·(加利福尼亞州)
"Sicily, Illinois",西西里·(伊利諾伊州)
"Siegel, Iowa",西格爾·(愛荷華州)
"Sierra Sky Park, California",西埃拉斯凱帕克·(加利福尼亞州)
"Silver City, Idaho",錫爾弗城·(愛達荷州)
Silver Streak Zephyr,银色闪电微风号列车
Innovators Under 35,TR35
"Taftville, Connecticut",塔夫脫維爾·(康乃狄克州)
"Tag, Arkansas",塔格·(阿肯色州)
"Tallahatta Springs, Alabama",塔拉哈塔斯普林斯·(阿拉巴馬州)
"Tamalco, Illinois",塔瑪爾科·(伊利諾伊州)
"Tanner, Indiana",坦納·(印地安納州)
"Tarrytown, Florida",塔里敦·(佛羅里達州)
"Taswell, Indiana",坦斯威爾·(印地安納州)
"Taylor Township, Greene County, Indiana",泰勒鎮區·(印地安納州格林縣)
"Taylor Township, Harrison County, Indiana",泰勒鎮區·(印地安納州哈里森縣)
"Teakettle Junction, California",蒂凱特爾章克申·(加利福尼亞州)
Quincy Public Schools,昆市公立學校
"Quincy Township, Greenwood County, Kansas",昆西鎮區·(堪薩斯州格林伍德縣)
"Quincy, Indiana",昆西·(印地安納州)
R211 (New York City Subway car),紐約地鐵R211型列車
"Raber, Indiana",拉伯·(印地安納州)
"Range, Alabama",朗格·(阿拉巴馬州)
RealClearPolitics,真清晰政治
Republican Party of Florida,佛羅里達州共和黨
"Seville, Illinois",西維爾·(伊利諾伊州)
"Shale City, Illinois",頁岩城·(伊利諾伊州)
"Sharptown, Indiana",夏普敦·(印地安納州)
"Shawswick Township, Lawrence County, Indiana",肖斯威克鎮區·(印地安納州勞倫斯縣)
"Sheephorn, Colorado",希普霍恩·(科羅拉多州)
"Shelby Township, Jefferson County, Indiana",謝爾比鎮區·(印地安納州傑佛遜縣)
"Shelby Township, Tippecanoe County, Indiana",謝爾比鎮區·(印地安納州蒂珀卡努縣)
"Shell Lake, Arkansas",謝爾湖·(阿肯色州)
