Dortmund,ドルトムント
Unternehmen Beowulf,ベオウルフ作戦
Nesenbach,ネーゼンバッハ川
Adelsried,アーデルスリート
Fürth (Bayern) Hauptbahnhof,フュルト中央駅
MVG Museum,MVG博物館
Moldauhafen,モルダウハフェン
Koelnmesse,ケルンメッセ
Freilichtmuseum Hessenpark,ヘッセンパルク
Rund um die Hainleite,ルント・ウム・ディー・ハインライテ
Ludwigshafener SC,ルートヴィヒスハーフェンSC
Tötungsanstalt Grafeneck,グラーフェネック
Webasto SE,ベバスト
Koziol,コジオル
Adelschlag,アデルシュラグ
Adelsdorf,アーデルスドルフ
Pommersche Bucht,ポメラニア湾
Tour de France 1980,ツール・ド・フランス1980
Europastraße E28,E28号線
Maschinenfabrik Esslingen,エスリンゲン (鉄道車両メーカー)
Sude,スード
Philippsthal (Werra),フィリップスタール (ヴェラ)
Brita,ブリタ
Spirkelbach,シュピルケルバッハ
Schwarz-grüne Koalition,黒緑連立
A1 Team Deutschland,A1チーム ドイツ
Adldorf,アードルドルフ
"Adler 2,5 Liter",アドラー・2.5リッター
Interregio-Express,インターレギオ・エクスプレス
PSD Bank Arena,シュターディオン・アム・ボルンハイマー・ハング
Tempelhof,ベルリン＝テンペルホーフ
Bahnhof Bebra,ベーブラ駅
UCI-Bahn-Weltmeisterschaften 1991,世界選手権自転車競技大会トラックレース1991
Martfeld,マルトフェルト
Kandel,カンデル山
Regensburger Dom,レーゲンスブルク大聖堂
Adler Mannheim,アドラー・マンハイム
Adlergestell,アードラーゲシュテル
Samtgemeinde Neuenkirchen,ザムトゲマインデ・ノイエンキルヒェン
Reichsabtei Hersfeld (Benediktiner),ヘルスフェルト修道院
Hagelberg,ハーゲルベルク
Barnacken,バルナッケン
Henninger-Turm,ヘニンガー塔
Stadtbahn Duisburg,デュイスブルク・シュタットバーン
Burghaslach,ブルクハスラッハ
Bahnstrecke Meckesheim–Neckarelz,オーデンヴァルト線 (バーデン)
Platz der Luftbrücke,空の架け橋広場
Heubach,ホイバッハ
Landesbank Berlin,カイザース・テンゲルマン
FSV Wacker 90 Nordhausen,FSVヴァッカー90ノルトハウゼン
Ahrensfelde,アーレンスフェルデ
Adoption (Deutschland),ドイツにおける養子縁組
Vils,フィルス川
Mercy Ships,マーシーシップス
Morlautern,モアラウターン
Botschafter der Vereinigten Staaten in Deutschland,在ドイツアメリカ合衆国大使
A. Lange & Söhne,ランゲ・アンド・ゾーネ
Markgräfliches Opernhaus,バイロイト辺境伯歌劇場
Kraiburg am Inn,クライブルク・アム・イン
Kirchheim am Ries,キルヒハイム・アム・リース
Partenstein,パルテンシュタイン
Aplerbeck,アプラーベック
Nagold,ナーゴルト川
Zittauer Schmalspurbahn,ツィッタウ・オイビン・ヨーンスドルフ鉄道
Winter-Paralympics 2006/Teilnehmer (Deutschland),2006年トリノパラリンピックのドイツ選手団
Bahnstrecke Berlin–Halle,ベルリン-ハレ線
Fleher Brücke,フレーエ橋
Pfalz,プファルツ地方
Höllentalbahn,ヘレンタール線 (シュヴァルツヴァルト)
Stever,シュテファー川
Großer Preis von Deutschland 2005,2005年ドイツグランプリ
Tröstau,トレスタウ
Rodenstock,ローデンストック
Kinzigtalbahn,キンツィヒタール線 (シュヴァルツヴァルト)
Hercules,ハーキュレスW2000
Neuer Garten Potsdam,ノイアーガルテン
Bundesliga 2004/05,ドイツ・ブンデスリーガ2004-2005
Niedersächsischer Landtag,ニーダーザクセン州議会議員
Schmidt & Bender,シュミット・アンド・ベンダー
Bahnstrecke München–Augsburg,ミュンヘン-アウクスブルク線
SV Schalding-Heining,SVシャルディンク＝ハイニンク
Railjet,Railjet
Schlacht um Aachen,アーヘンの戦い
Frankenwald,フランケンヴァルト
Europa-Union Deutschland,欧州連邦主義者連合ドイツ支部
Marineakademie und -schule,キール海軍兵学校・海軍大学校
Bad Tölz,バート・テルツ
Metropolregion Bremen/Oldenburg,ブレーメン/オルデンブルク大都市圏
Bahnhof Göttingen,ゲッティンゲン駅
Deutsche Vermögensberatung,ドイチェ・フェルメーゲンスベラトゥン
von Alvensleben,アルフェンスレーベン家
Landesregierung,州政府 (ドイツ)
Darmstädter Künstlerkolonie,ダルムシュタット芸術家村
Wurmberg,ヴュルムベルク
Heidelberger Schloss,ハイデルベルク城
Frieden von Aachen,アーヘンの和約
Flender-Werke,フレンダー ヴェルケ
Liste von Persönlichkeiten der Stadt Frankfurt am Main,フランクフルト・アム・マインの人物
Deutsche Ausrüstungswerke,DAW
Wirtschaft Berlins,ベルリンの経済
Grubenunglück von Lengede,レンゲデの奇跡
Rieneck,リーネック家
Deutsche Fußballnationalmannschaft (U-21-Männer),U-21サッカードイツ代表
Bosch Rexroth,ボッシュ・レクストール
Schwarzwaldbahn,シュヴァルツヴァルト線 (ヴュルテンベルク)
Neue Kammern,新迎賓館
SPIEL Essen,シュピール
Schwäbisch Hall Unicorns,シュヴェービッシュ・ハル・ユニコーンズ
LWL-Freilichtmuseum Detmold,デトモルト野外博物館
Deutscher Luftsportverband,ドイツ航空協会
Baarbach,バールバッハ川
Präsident des Bundesrates,連邦参議院議長
HUS-Epidemie 2011,2011年の欧州における腸管出血性大腸菌感染事件
Europastraße E40,E40号線
TW 6000,ハノーファー・シュタットバーンTW6000形電車
Bubenheim,ブーベンハイム (マインツ＝ビンゲン)
Heeresflugplatz Niederstetten,ニーダーシュテッテン陸軍飛行場
Flugplatz Rheine-Bentlage,ライネ＝ベントラーゲ陸軍飛行場
Straßenbahn Frankfurt am Main,フランクフルト市電
Directmedia Publishing GmbH,ダイレクトメディア出版社
Frankfurt-Praunheim,フランクフルト＝プラウンハイム
Kölner Autobahnring,ケルン環状アウトバーン
Demografie Deutschlands,ドイツの人口統計
ASICS,アシックス
Admiralitätswerft Hamburg,ハンブルク提督府造船所
Admiralspalast,アドミラルスパラスト
Adolf-Jäger-Kampfbahn,アードルフ＝イェーガー＝カンプフバーン
Adolf-von-Baeyer-Denkmünze,アドルフ・フォン・バイヤー金メダル
Adolf Hitler als Ehrenbürger,名誉市民としてのアドルフ・ヒトラー
Deutscher Rugby-Verband,ドイツラグビー連盟
Evangelische Marienschwesternschaft Darmstadt,マリア福音姉妹会
Internationaler Musikwettbewerb der ARD,ミュンヘン国際音楽コンクール
Eschweiler Hauptbahnhof,エシュヴァイラー中央駅
Bahnhof Lingen,リンゲン駅
Fliegerhorst Büchel,ビューヒェル航空基地
Fliegerhorst Nörvenich,ネルフェニッヒ航空基地
Mark Landsberg,ランツベルク辺境伯
Waldkraiburg,ヴァルトクライブルク
Maxsain,マックススン
Samtgemeinde Elbtalaue,エルブタラウェ統合自治体
Bauerfeind,バウアーファインド
SGL Carbon SE,SGLカーボン
Schwetzinger SWR Festspiele,シュヴェツィンゲン音楽祭
Bahnhof Hamburg-Bergedorf,ハンブルク＝ベルゲドルフ駅
T-Mobile,T-モバイル
Osterode am Harz,オステローデ・アム・ハルツ
Münchner Merkur,ミュンヘナー・メルクーア
Russisch-Deutsche Legion,ドイツ人連隊 (ロシア帝国軍)
Zuse-Institut Berlin,ベルリン・コンラート＝ツーゼ情報技術センター
Universität der Bundeswehr München,ミュンヘン連邦軍大学
Bahnstrecke Regensburg Hbf–Nürnberg Hbf,ニュルンベルク-レーゲンスブルク線
Studienstiftung des deutschen Volkes,ドイツフォルクス学術財団
Leipziger Volkszeitung,ライプツィガー・フォルクスツァイトゥング
DFB-Pokal,女子DFBポカール
Nagel,ナーゲル
Stralsund Hauptbahnhof,シュトラールズント中央駅
"Benediktinerabtei St. Alban, Mainz",聖アルバン修道院
Obersalzberg,オーバーザルツベルク
Schwäbisch,シュヴァーベン語
Bahnstrecke Mainz Hbf–Frankfurt (Main) Hbf,マインツ - フランクフルト線
Freie Wähler,無党派連合
Deutscher Amateur-Radio-Club,ドイツアマチュア無線クラブ
Erbeskopf,アーベスコフ
Bundesstraße 475,連邦道475号線
Ahrensdorf,アーレンスドルフ
Preis der Diana,ディアナ賞
Bundesstraße 495,ドイツ連邦道路495号線
Carl Zeiss,カール・ツァイス
Fußball-Weltmeisterschaft 2006/Gruppe C,2006 FIFAワールドカップ・グループC
Fußball-Weltmeisterschaft 2006/Gruppe E,2006 FIFAワールドカップ・グループE
Fußball-Weltmeisterschaft 2006/Gruppe F,2006 FIFAワールドカップ・グループF
Lautenthal,ラウテンタール
Longkamp,ロングカンプ
Zisterzienserabtei Schöntal,シェーンタル修道院
Wahl in Deutschland,ドイツの選挙
Leibniz-Institut für Europäische Geschichte,欧州歴史研究所
Taschen,タッシェン
Sixtinische Madonna,システィーナの聖母
Mülheim,ケルン＝ミュールハイム
Kasbach-Ohlenberg,カスバッハ＝オーレンベルク
Driedorf,ドリードルフ
Bickenbach,ビッケンバッハ
Genthin,ゲンティン
Tschammerpokal 1935,チャンマーポカール1935
Stadion am Gesundbrunnen,ヘルタ・プラッツ・スタジアム
Linden,リンデン (カイザースラウテルン)
Bilfinger SE,ビルフィンガー
Rechtsextremismus in Deutschland,ドイツにおける極右
Flugplatz Wiesbaden-Erbenheim,ヴィースバーデン陸軍飛行場
Hamburger Terrorzelle,ハンブルク・セル
St. Sebald,聖セバルドゥス教会
Stadion am Bieberer Berg,シュパーダ＝バンク＝ヘッセン＝シュターディオン
Standenbühl,シュタンデンビュール
Vorarlbergbahn,フォアアールベルク線
Festool,フェスツール
Bahnstrecke Nürnberg Hbf–Bamberg,ニュルンベルク-バンベルク線
Hüls,ヒュルス
Halle (Saale) Hbf,ハレ（ザーレ）中央駅
Straßenbahn Gotha,ゴータ市電
Schleuse,シュロイゼ川
Steckerlfisch,シュテッカルフィッシュ
Flugplatz Augsburg,アウクスブルク空港
Fußball-Weltmeisterschaft 1974/Qualifikation,1974 FIFAワールドカップ・予選
Südfriedhof Leipzig,南墓地
Bistum Worms,ヴォルムス司教区
Kirchdorf,キルヒドルフ
Leimbach,ライムバッハ (ビットブルク＝プリュム)
Funtensee,フンテン湖
Ceska-Mordserie,NSU連続殺人事件
Bundesliga 2003/04,ドイツ・ブンデスリーガ2003-2004
Nebel,ネーベル川
Sparrenburg,シュパレンブルク城
Festung Marienberg,マリエンベルク要塞
Transrapid-Versuchsanlage Emsland,エムスランド実験線
Bundeskanzleramt,連邦首相府 ベルリン
Bahnstrecke Hannover Hbf–Kassel Hbf,南部鉄道 (ハノーファー)
Nürburgring Langstrecken-Serie,ニュル耐久シリーズ（VLN）
Deutscher Science Fiction Preis,ドイツSF大賞
Bahnstrecke Stuttgart–Ulm,フィルスタール線
Alliierte Hohe Kommission,連合軍高等委員会
Samtgemeinde Fürstenau,ザムトゲマインデ・フュルステナウ
Tötungsanstalt Bernburg,ベレンブルク安楽死施設
Schmidthachenbach,シュミットハッヘンバッハ
Molzhain,モルツハイン
Die sieben Freuden Mariens,キリストの降臨と勝利
Penny,ペニーマーケット
Oberelsbach,オーバーエルスバッハ
Bobenthal,ボーベンタール
Lucka,ルッカ (ドイツ)
Sauensiek,ザウエンジーク
Untersberg,ウンタースベルク山
Fußball-Weltmeisterschaft 2006/Gruppe A,2006 FIFAワールドカップ・グループA
Maschsee,マッシュ湖
Nahe,ナーエ
Breunigweiler,ブロイニヒヴァイラー
Audi R15 TDI,アウディ・R15 TDI
Kalle,カッレ川
Fußball-Weltmeisterschaft 2006/Gruppe G,2006 FIFAワールドカップ・グループG
SV Lichtenberg 47,SVリヒテンベルク47
Landesparlament,ラントタック
Eulenbis,オイレンビス
Tannhausen,タンハウゼン
BMW Park,アウディ・ドーム
Polizei Berlin,ベルリン警察
Siegessäule Hakenberg,ハーケンベルク戦勝記念塔
Hochhaus Uptown München,ミュンヘン・アップタウンビル
German Open,ドイツ・オープン
Monbijoupark,モンビュー公園
Plauen (Vogtl) ob Bf,プラウエン上駅
Fußball-Weltmeisterschaft 2006/Gruppe D,2006 FIFAワールドカップ・グループD
Lechbruck am See,レヒブルック・アム・ゼー
Hannover Messe/Laatzen,ハノーファー・メッセ/ラッツェン駅
Bahnstrecke Stuttgart–Würzburg,フランケン線
Gesellschaft Deutscher Chemiker,ドイツ化学会
Bahnstrecke Berlin–Magdeburg,ベルリン-ポツダム鉄道
Tiergarten,ベルリン・ティーアガルテン
Hotel Kaiserhof,ホテル・カイザーホーフ
Samtgemeinde Lüchow (Wendland),ザムトゲマインデ・リュショー
Duburg,ドゥボー城
Alexanderplatz-Demonstration,アレクサンダー広場デモ
Porsche-Museum,ポルシェミュージアム
Frankfurt (Main) Süd,フランクフルト南駅
Opladen,オプラデン
Bahlsen,バールゼン
Kanonenbahn,大砲鉄道
Alter Hof,アルター・ホーフ
Hochschule Darmstadt,ダルムシュタット専門大学
VfL Wolfsburg,VfLヴォルフスブルク
Oldenburger Münsterland,オルデンブルガー・ミュンスターラント
Nordrhein-Westfälische Akademie der Wissenschaften und der Künste,ノルトライン＝ヴェストファーレン州科学芸術アカデミー
Straßenbahn Jena,イェーナ市電
Bahnhof Herford,ヘルフォルト駅
Sächsischer Verdienstorden,ザクセン州功労勲章
City West,シティ・ウエスト (ベルリン)
Kaiserpreis,カイザープライズ
Petersberg,ペータースベルク
Semikron,セミクロン
Kloster Himmerod,ヒンメロート修道院
Vegesack,フェーゲザック
Hallbergmoos,ハルベルクモース
Riesbürg,リースビュルク
Kleine Elster,小エルスター川
Seebek,ジーベック
Adolf Bleichert & Co.,ブライヘルト
Adox,アドックス
Eberfing,エーバーフィング
Tschammerpokal 1942,チャンマーポカール1942
TSV Marl-Hüls,TSVマール・ヒュルス
Emden Hauptbahnhof,エムデン中央駅
Erlensee,エルレンゼー
AAA – Auto-Ausstellung Berlin,ベルリン・モーターショー
Wondreb,ヴォントレプ川
Museum für Asiatische Kunst,ベルリン国立東洋美術館
Groß Pankow,グロース・パンコウ (プリーグニッツ)
Bingen am Rhein,ビンゲン・アム・ライン
Flugplatz Mannheim City,マンハイム・シティ空港
Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg,ハノーファー＝ブラウンシュヴァイク＝ゲッティンゲン＝ヴォルフスブルク大都市圏
Katholische Universität Eichstätt-Ingolstadt,アイヒシュテット・インゴルシュタット・カトリック大学
Hochschule für Grafik und Buchkunst Leipzig,ライプツィヒ版画・製本芸術大学
Gymnasium zum Grauen Kloster,グラウエン・クロスター・ギムナジウム
Hambühren,ハムビューレン
Haus der Geschichte,ドイツ連邦共和国歴史館
Silbernes Lorbeerblatt,ジルバーネス・ロールベアブラット
Schloss Rastatt,ラシュタット城
Tellig,テリヒ
Robur-Werke,ロブル
1. FC Frankfurt,1.FCフランクフルト
Niederrhein,低ライン
Samtgemeinde Land Wursten,ラント・ヴルシュテン
VfR Heilbronn,VfRハイルブロン
NATO-Flugplatz Geilenkirchen,ガイレンキルヒェン航空基地
Internationaler Volkssportverband,国際市民スポーツ連盟
Freiwillige Selbstkontrolle der Filmwirtschaft,映画ビジネス自主規制協会
Amt Falkenberg-Höhe,アムト・ファルケンベルク＝ヘーエ
Buddenbrookhaus,ブッデンブロークハウス
Amt Meyenburg,アムト・マイエンブルク
Biggesee,ビッゲゼー
Amt Neuzelle,アムト・ノイツェレ
Weiterstadt,ヴァイターシュタット
Lumda,ルムダ川
Amt Neuhardenberg,アムト・ノイハルデンベルク
Bundesstelle für Flugunfalluntersuchung,連邦航空機事故調査局
Ochtum,オクトゥム川
Deutsche Sporthochschule Köln,ドイツ体育大学ケルン
Brandenburgisch-Afrikanische Compagnie,ブランデンブルク・アフリカ会社
Mathematisch-Physikalischer Salon,数学物理学サロン
Ailertchen,アイラートヘン
Samtgemeinde Eschershausen,ザムトゲマインデ・エッシャースハウゼン
DE-CIX,DE-CIX
KZ Moringen,モーリンゲン強制収容所
Bad Neuenahr,バート・ノイエンアール
Seeberg-Sternwarte,ゼーベルク天文台
Lilienstein,リーリエンシュタイン
Sternwarte Lilienthal,リリエンタール天文台
Liebenscheid,リーベンシャイト
Rabenau,ラーベナウ
Bundesverband der Deutschen Industrie,ドイツ産業連合
Preußische Akademie der Wissenschaften,プロイセン科学アカデミー
Mammut,マムート
BMW International Open,BMWインターナショナル・オープン
Bahnhof Wittenberge,ヴィッテンベルゲ駅
Bistum Verden,フェルデン司教区
Lichtenberg,リヒテンベルク区
Armsheim,アルムスハイム
Frankfurt am Main Flughafen Fernbahnhof,フランクフルト空港駅
Richard-Wagner-Festspielhaus,バイロイト祝祭劇場
Doberlug-Kirchhain,ドーバールーク
Murgtalbahn,ムルクタール線
Docomomo,DOCOMOMO
Goldener Ehrenbär,金熊名誉賞
Landtagswahl in Nordrhein-Westfalen 2010,2010年ノルトライン＝ヴェストファーレン州議会選挙
Aichelberg,アイヒェルベルク
Rettert,レタート
Deutsche Glaubensbewegung,ドイツ信仰運動
Schöninger Speere,シェーニンゲンの槍
Deutsche Leichtathletik-Meisterschaften,ドイツ陸上競技選手権大会
Sengwarden,ゼングヴァルデン
Giro d’Italia 2002,ジロ・デ・イタリア 2002
Bischofrode,ビショーフローデ
Spandauer Vorstadt,シュパンダウアー・フォアシュタット
Trilux,トリルクス
Palais Porcia,パレ・ポルキア
Kopenhagener Straße,コペンハーゲナー・シュトラーセ
Enspel,エンシュペル
Park Babelsberg,バーベルスベルク公園#小宮殿
Hohe Acht,ホーエ・アハト
Wiesent,ヴィーゼント川
Burg Maus,ネズミ城
Württembergische C,王立ヴュルテンベルク邦有鉄道C型蒸気機関車
Bahnhof Potsdam Griebnitzsee,ポツダム・グリーブニッツゼー駅
Elbsandsteingebirge,エルベ砂岩山地
Volkskunde- und Freilichtmuseum Roscheider Hof,ローシャイダー・ホーフ
Wernersberg,ヴェルナースベルク
U-Bahnhof Hansaplatz,ハンザプラッツ駅
Robert-Schumann-Hochschule Düsseldorf,ロベルト・シューマン大学デュッセルドルフ
Mannheimer Sternwarte,マンハイム天文台
Münchener Kammerorchester,ミュンヘン室内管弦楽団
Bahnstrecke Kassel Hbf – Frankfurt (Main) Hbf,マイン＝ヴェーザー線
Flughafen München-Riem,リーム空港
Frankfurt-Kalbach-Riedberg,フランクフルト＝カルバッハ＝リートベルク
Amt Ziesar,アムト・ツィエーザー
Bessenbach,ベッセンバッハ
SkyLine,スカイライン
Benediktinerabtei Amorbach,アモールバッハ修道院
Vidal & Sohn Tempo-Werk,テンポ
Staatspark Wilhelmsbad,ヴィルヘルムスバート
Dambach,ダムバッハ
Überlingen,ユーバーリンゲン
Wiesen,ヴィーゼン (ウンターフランケン)
Neuhaus am Rennweg,ノイハウス・アム・レンヴェーク
Deutsche Alleenstraße,ドイツ並木街道
Justizvollzugsanstalt Brandenburg a. d. Havel,ブランデンブルク刑務所
Bahnstrecke Mannheim–Saarbrücken,マンハイム-ザールブリュッケン線
MTU Turbomeca Rolls-Royce,MTU・チュルボメカ・ロールス・ロイス
Schlacht bei Großgörschen,リュッツェンの戦い
Übereisenbach,ユーバーアイゼンバッハ
Tour de France 2006,ツール・ド・フランス2006
Oldenburger Land,オルデンブルガー・ラント
Liste der Hochschulen in Deutschland,ドイツの大学一覧
Air Hamburg,エア・ハンブルク
Abstatt,アプシュタット
Waldthurn,ヴァルトトゥルン
Fritz-Walter-Medaille,フリッツ・ヴァルター・メダル
Federal-Mogul,フェデラル-モーグル
Rathaus Charlottenburg,シャルロッテンブルク庁舎
Hoppenrade,ホッペンラーデ
Kaltennordheim,カルテンノルトハイム
Niemetal,ニーメタール
Schunter,シュンター川
ADAC-Schauinsland-Rennen,ADACシャウインスラントレース
ADAC Junior Cup,ADACジュニアカップ
ADAC GT Masters,ADAC GTマスターズ
Stadion der Freundschaft,シュタディオン・デア・フロイントシャフト
Turn-Weltmeisterschaften 2007,2007年世界体操競技選手権
ACT,ACTミュージック
Leinach,ライナッハ
Nationalsozialistische Volkswohlfahrt,国家社会主義公共福祉
Schmalenberg,シュマーレンベルク
Gutbrod,グートブロート
DFB-Pokal 1989/90,DFBポカール1989-1990
Aitrang,アイトラング
Liederbach am Taunus,リーダーバッハ・アム・タウヌス
Alter Park,旧公園 (ベルリン)
Schönau,シェーナウ (ラインラント＝プファルツ)
Überherrn,ユーバーヘルン
Absberg,アプスベルク
Bodenseegürtelbahn,ボーデンゼーギュルテル線
Tagebau Hambach,ハンバッハ鉱山
Schleswig-Holstein Musik Festival,シュレースヴィヒ＝ホルシュタイン音楽祭
Rechte Rheinstrecke,右ライン線
Benediktinerkloster Elchingen,エルヒンゲン寺院
WDR Fernsehen,WDRテレビ
Bahnhof Konstanz,コンスタンツ駅
Allgemeines Ehrenzeichen,ヘッセン勇敢メダル
SC Opel Rüsselsheim,SCオペル06リュッゼルスハイム
Aixtron,アイクストロン
Gräfenhainichen,グレーフェンハイニッヒェン
Akademie der Künste Berlin,ベルリン芸術アカデミー
Kloster Lamspringe,ランスプリング修道院
AFM Records,AFMレコード
Niedersächsische Akademie der Wissenschaften zu Göttingen,ゲッチンゲン科学アカデミー
Akaflieg,アカフリーク
Aken (Elbe),アーヘン
Alter St.-Matthäus-Kirchhof Berlin,旧聖マティウス教会墓地
Akademie der Bildenden Künste Nürnberg,ニュルンベルク美術アカデミー
Akademie der Bildenden Künste München,ミュンヘン美術院
Akademie der Künste (Hanseatenweg),ベルリン・ハンザ地区芸術アカデミー
Aktionsgemeinschaft Unabhängiger Deutscher,独立したドイツ人の運動連合
Amt Burg (Spreewald),アムト・ブルク (シュプレーヴァルト)
Nationaltheater Mannheim,マンハイム国立劇場
Achern,アーハーン
U-Bahnhof Moritzplatz,モーリッツプラッツ駅
"Alter Johannisfriedhof, Einzeldenkmale",（ドイツ語）
TV Rottenburg,TVロッテンブルク
Ortenau,オルテナウ
Amöneburg,アメーネブルク
Benediktinerabtei Brauweiler,ブラウヴァイラー修道院
Akademiepreis der Berlin-Brandenburgischen Akademie der Wissenschaften,ベルリン＝ブランデンブルク科学アカデミー賞
Ruhrstadion,ルールシュタディオン
Wintrich,ヴィントリヒ
Plech,プレヒ
Übersee-Museum,ブレーメン海外博物館
Überseesender Eilvese,アイルヴェーゼ送信機
AEG-Turbinenfabrik,AEGタービン工場
Bad Emstal,バート・エムスタール
Eishockey in Deutschland,Category:ドイツのアイスホッケー
Feuerbach,フォイアーバッハ (シュトゥットガルト)
ADAC,ドイツ自動車連盟
Hardegsen,ハルデクゼン
Bad Herrenalb,バート・ヘレンアルプ
"Benediktinerabtei St. Salvator, Prüm",プリュム修道院
Alter Südfriedhof,旧南墓地
Ehemalige Hauptkirche St. Nikolai,聖ニコライ教会
Flugplatz Bremgarten,ブレムガルテン航空基地
Ühlingen-Birkendorf,ユーリンゲン・ビルゲンドルフ
"Benediktinerabtei St. Heribert, Deutz",ドイッツ修道院
Benediktinerabtei Laach,マリア・ラーハ修道院
Benediktinerabtei Neresheim,ネーレスハイム修道院
Benediktinerabtei Neuburg,ノイブルク修道院
S-Bahnhof Bellevue,ベルヴュー駅
Aktienbrauerei Kaufbeuren,カウフボイレン醸造株式会社
Aktiengesellschaft,株式会社 (ドイツ)
Aktion Demokratischer Fortschritt,民主進歩運動
Alter Zwölf-Apostel-Kirchhof,旧十二使徒教会墓地
Alterkülz,アルターキュルツ
Abtswind,アプツヴィント
Altes Bach-Denkmal,ライプツィヒの旧バッハ記念碑
VfB Friedrichshafen,VfBフリードリヒスハーフェン
Ürzig,ユルツィヒ
Akademischer Gesangverein München,AGVミュンヘン
AG Weser,AGヴェーザー
AIDA Cruises,アイーダ・クルーズ
Aktion Sühnezeichen Friedensdienste,行動・償いの印・平和奉仕
Parkstein,パルクシュタイン
Technik Museum Sinsheim,ジンスハイム自動車・技術博物館
Rinnthal,リンタール
Moerser SC,メルザーSC
Chemie Volley Mitteldeutschland,CVミッテルドイチュランド
Abtweiler,アプトヴァイラー
Berschweiler bei Kirn,バシュヴァイラー・バイ・キルン
U-Bahnhof Bülowstraße,ビューロウ通り駅
Fischbach bei Dahn,フィッシュバッハ・バイ・ダーン
Hoppegarten,ホッペガルテン
Freiburger Barockorchester,フライブルク・バロック管弦楽団
Treptowers,トレープタワーズ
Frankfurter Fürstentag,フランクフルト王侯会議
Karl-Liebknecht-Haus,リープクネヒト館
Aktion & Kultur mit Kindern,アッキ
Augustinereremitenkloster Erfurt,アウグスティーナー修道院
Wega,ベガ
Kettler,ケトラー
Kugelbake,クーゲルバーケ
Bahnhof Berlin Greifswalder Straße,ベルリン・グライフスヴァルダー・シュトラーセ駅
Amt Gartz (Oder),アムト・ガルツ (オーダー)
Amt Oder-Welse,アムト・オーダー＝ヴェルゼ
Samtgemeinde Bersenbrück,ザムトゲマインデ・ベルゼンブリュック
Leuterod,ロイターオード
Opekta,オペクタ商会
U-Bahnhof Garching-Forschungszentrum,ガーヒング＝フォァシュングスツェントルム駅
U-Bahnhof Garching,ガーヒング駅
Megesheim,メーゲスハイム
Altes Rathaus,ミュンヘン旧市庁舎
Abtsteinach,アプトシュタイナハ
Bahnhof Angermünde,アンガーミュンデ駅
Vuelta a España 2009,ブエルタ・ア・エスパーニャ2009
"Kanonissenstift Heeslingen, später Benediktinerinnenabtei Zeven",ツェーフェン修道院
Bruchweiler,ブルッフヴァイラー
Drahnsdorf,ドラーンスドルフ
Ückeritz,ユッケリッツ
Üdersdorf,ウーダースドルフ
Hochstadt,ヘーヒシュタット (プファルツ)
Bad Bergzabern,バート・ベルクツァバン
Museum Fünf Kontinente,五大陸博物館
Georgsorden,聖ゲオルギウス騎士団
Ensdorf,エンスドルフ (ザールラント)
Bahnhof Berlin Brandenburger Tor,ブランデンブルク門駅
Siedlung Schillerpark,ジードルング・シラーパルク
Bahnstrecke Lübeck–Hamburg,リューベック-ハンブルク線
Heilsbronn,ハイルスブロン
Leuchtturm Westerheversand,ヴェスターヘーヴァー灯台
Gladiators Trier,TBBトリーア
Wertheim-Konzern,ヴェルトハイム
Kiel Hauptbahnhof,キール中央駅
Qatar Total German Open 2005,Category:カタール・トータル・オープン2005
Stadtsteinach,シュタットシュタイナハ
Niedernhausen,ニーデルンハウゼン
Festung Peitz,パイツ要塞
Biblis,ビブリス
Abtsgmünd,アプツグミュント
Pettstadt,ペットシュタット
Henau,ヘナウ
Bahnstrecke Berlin–Dresden,ベルリン-ドレスデン線
Samtgemeinde Hambergen,ザムトゲマインデ・ハムベルゲン
Grob G 120,G 120 (航空機)
Piesport,ピースポルト
Altes Land,アルテス・ラント
Knipex,クニペックス
Volkspark Mariendorf,マリーエンドルフ市民公園
Operation Gold,金工作
Bahnhof Berlin Südkreuz,ベルリン・ズュートクロイツ駅
Bahnhof Berlin-Staaken,ベルリン＝シュターケン駅
Wilhelminischer Ring,ヴィルヘルミニッシャー・リング
Perikopenbuch Heinrichs II.,ハインリヒ2世のペリコーペ
Borstel,ボルステル (ディープホルツ郡)
Bremer Sechstagerennen,ブレーメン6日間レース
Hansaviertel,ハンザ地区 (ベルリン)
Linden-Museum,リンデン民族学博物館
Ostflucht,オストフルフト
Mangfallgebirge,マングファル山地
Steingraeber & Söhne,シュタイングレーバー&ゼーネ
Römisches Theater Mainz,ローマ劇場 (マインツ)
Katharineum zu Lübeck,カタリネウム
Schloss Agathenburg,アガーテンブルク城
Amt Barnim-Oderbruch,アムト・アムト＝オーダーブルッフ
Bad Freienwalde,バート・フライエンヴァルデ (オーダー)
Amt Joachimsthal (Schorfheide),アムト・ヨアヒムスタール (ショルフハイデ)
Amt Brüssow,アムト・ブリュッソウ (ウッカーマルク)
Faber-Castell,ファーバーカステル
Amt Dahme/Mark,アムト・ダーメ/マルク
Altheim,アルトハイム (エーインゲン)
Marineamt,海軍局
Deutsche Rugby-Frauen,ドイツの女子サッカー
Amt Brieskow-Finkenheerd,アムト・ブリースコウ＝フィンケンヘールト
Rövershagen,レーファースハーゲン
Eulgem,オイルゲム
Straßenbahn Woltersdorf,ヴォルタースドルフ軌道
St. Peter und Paul,聖ペテロ聖パウロ教会
