Григорий Яковлевич Перельман,グリゴリー・ペレルマン
Сергей Николаевич Ивлев,セルゲイ・イブレフ
Сергей Эдуардович Приходько,セルゲイ・プリホチコ
Шамиль Анвярович Тарпищев,シャミル・タルピシェフ
Мэджик,マジック
Дмитрий Алексеевич Тарасов,ドミトリ・タラソフ
Анна Александровна Азарова,アンナ・アザロワ
"Саркисян, Альберт Эльвадикович",アルベリト・サルキシャン
Людмила Аринина,リュドミラ・アリニン
"Поташова, Ольга Дмитриевна",オルガ・ポタショーワ
"Абдулаев, Магомед Имранович",マゴメド・アブドゥラエフ
Ольга Альбертовна Арнтгольц,オルガ・アルンゴルト
Тарас Александрович Бурлак,タラス・ブルラク
Сергей Александрович Шаргунов,セルゲイ・シャルグノフ
Сергей Алексеевич Козлов,セルゲイ・コーズロフ
Сергей Николаев,セルゲイ・ニコラエフ
"Подкользин, Павел Николаевич",パベル・ポドコルジン
Сергей Петрович Новиков,セルゲイ・ノビコフ
"Караганов, Сергей Александрович",セルゲイ・カラガノフ
Владимир Петрович Заманский,ヴラジーミル・ザマンスキー
"Арефьева, Лидия Олеговна",リディア・アレフィエワ
Зинаида Михайловна Кириенко,ジナイダ・キリエンコ
Шамиль Абдурахимов,シャミル・アブドゥラヒモフ
Ксения Сфири,クセニア・ユスポフ
Ильдар Амирович Абдразаков,イルダール・アブドラザコフ
Олег Владимирович Аронсон,オレグ・アロンソン
Вячеслав Гайзер,ヴャチェスラフ・ガイゼル
Людмила Артемьева,リュドミラ・アルテミエワ
Игорь Владимирович Васильев,イーゴリ・バシリエフ
Артемий Лебедев,アルテミー・レベデフ
Сергей Шилов,セルゲイ・シロフ
"Жевнов, Юрий Владимирович",ユーリ・ゼフノフ
Михаил Борисович Пиотровский,ミハイル・ピオトロフスキー
Владислав Николаевич Радимов,ウラディスラフ・ラディモフ
Александр Лукин,アレクサンダー・ルーキン
"Лоза, Евгения Фёдоровна",エヴェニヤ・ローザ
Иван Павлович Абоимов,イヴァン・アボイモフ
Тёмная звезда,ダークスター
Фёдор Сергеевич Бондарчук,フョードル・ボンダルチューク
"Яковлев, Павел Владимирович",パーヴェル・ヤーコヴレフ
Казбек Хазизович Гетериев,カズベク・ゲテリエフ
Евгений Александрович Бушманов,エフゲニー・ブシュマノフ
Анна Адольфовна Арланова,アンナ・アラノワ
"Ситак, Артём Юрьевич",アルテム・シタク
Артур Римович Юсупов,アルトゥル・ユスポフ
Симон Набатов,サイモン・ナバトフ
Иван Драго,イワン・ドラゴ
Ирина Александровна Винер-Усманова,イリナ・ヴィネル
Владимир Владимирович Артяков,ウラジーミル・アルチャコフ
"Каневский, Виталий Евгеньевич",ヴィターリー・カネフスキー
Мустай Карим,ムスタイ・カリム
Некро,ネクロ
"Арцибашев, Сергей Николаевич",セルゲイ・アルツィバシェフ
Сергей Николаевич Абельцев,セルゲイ・アベルツェフ
Алексей Геннадьевич Гуськов,アレクセイ・グシュコブ
Георгий Александрович Ярцев,ゲオルギー・ヤルツェフ
"Сафронова, Наталья Андреевна",ナタリヤ・サフローノワ
Андрей Владимирович Пятницкий,アンドレイ・ピャトニツキー
Хёга,白鳥星座の氷河
"Абрамов, Сергей Алексеевич",アブラーモフ
"Ревякин, Сергей Павлович",セルゲイ・レヴィアキン
"Леонович, Станислав Викторович",スタニスラフ・レオノビッチ
"Федюкин, Анатолий Викторович",アナトーリー・フェデューキン
"Рекечинский, Андрей Михайлович",アンドレイ・レケチンスキー
Александр Владимирович Филимонов,アレクサンドル・フィリモノフ
"Мантуров, Денис Валентинович",デニス・マントゥロフ
"Гамзатханов, Магомедхан Аманулаевич",ヴォルク・ハン
Алексей Сергеевич Ионов,アレクセイ・イオノフ
"Лесун, Александр Леонидович",アレクサンドル・レスン
Виктор Манаков,ヴィクトル・マナコフ
"Рыбаков, Евгений Николаевич",エフゲニー・ルイバコフ
"Шкуренёв, Илья Юрьевич",イリヤ・シュクレニュフ
"Фомин, Дмитрий Александрович",ドミトリー・フォーミン
"Авдеенко, Александр Остапович",アレクサンドル・アヴデーエンコ
"Авдонин, Александр Николаевич",アレクサンドル・アヴドーニン
"Удалов, Максим Львович",マキシム・ウダロフ
Михаил Анатольевич Абызов,ミハイル・アブィゾフ
"Яновский, Игорь Сергеевич",イーゴリ・ヤノフスキー
"Хамутцких, Вадим Анатольевич",ワジム・ハムツキフ
"Симонов, Юрий Иванович",ユーリ・シモノフ
"Коробейникова, Лариса Викторовна",ラリーサ・コロベイニコワ
"Сауко, Максим Викторович",マックス・サウコ
Психо Мантис,サイコ・マンティス
"Ефремов, Дмитрий Владиславович",ドミトリー・イェフレモフ
Ольга Пащенко,オルガ・パシチェンコ
"Абрамович, Юрий Гарриевич",ユーリイ・アブラモーヴィチ
Ара Аршавирович Абрамян,アラ・アブラミアン
Фёдор Васильевич Кудряшов,フョードル・クドリャショフ
Дмитрий Налбандян,ドミトリー・ナルバンディアン
Евгений Иосифович Габрилович,イェフゲニー・ガブリロヴィッチ
Эдуард Яковлевич Володарский,エドアルド・ヴォルダルスキー
Юлия Ауг,ユリア・アウグ
Татьяна Агриевна Аугшкап,タチアナ・アウグシュカップ
"Динерштейн, Александр Григорьевич",アレキサンダー・ディナーシュタイン
Сергей Иосифович Авакянц,セルゲイ・アヴァクヤンツ
Владимир Наумович Наумов,ウラジミール・ナウモフ
"Прудскова, Валентина Александровна",ワレンチナ・プルスコヴァ
Борис Петрушанский,ボリス・ペトルシャンスキー
Ольга Арефьева,オルガ・アレフィエワ
"Богомазова, Анна Витальевна",アンナ・ボゴマゾヴァ
"Малова, Анна Александровна",アンナ・マロワ
"Грушко, Александр Викторович",アレクサンドル・グルシコ
"Гапликов, Сергей Анатольевич",セルゲイ・ガプリコフ
Светлана Вячеславовна Нагейкина,スヴェトラナ・ナゲイキナ
"Карданов, Мурат Наусбиевич",ムラト・カルダノフ
Мария Александровна Киселёва,マリア・キセリョーワ
Василиса Алексеевна Бардина,バシリサ・バルディナ
Алтынай Асылмуратова,アルティナイ・アスィルムラートワ
"Кабанов, Александр Сергеевич",アレクサンドル・カバノフ
Александр Леонович Кемурджиан,アレクサンドル・ケムルジャン
"Малофеев, Эдуард Васильевич",エドゥアルド・マロフェエフ
"Филатов, Андрей Васильевич",アンドレイ・フィラトフ
Анастасия Баранова,アナスタシア・バラノワ
"Аверьянов, Леонид Владимирович",レオニード・アヴェリャノフ
Вадим Валентинович Зудилин,ヴァディム・ズディリン
"Космачёва, Татьяна Владимировна",タチアナ・コスマチェバ
"Филиштинская, Ирина Николаевна",イリーナ・フィリシチンスカヤ
Александр Владимирович Емельяненко,エメリヤーエンコ・アレキサンダー
"Фет, Абрам Ильич",アブラム・イリイチ・フェット
Ольга Игоревна Кабо,オルガ・カボ
Николай Караченцов,ニコライ・カラチェンツォフ
Асламбек Ахмедович Аслаханов,アスランベク・アスラハノフ
Борис Петрович Игнатьев,ボリス・イグナチェフ
Сергей Александрович Соловьёв,セルゲイ・ソロヴィヨフ
Александр Николаевич Ефимов,アレクサンドル・エフィーモフ
"Княжинский, Александр Леонидович",アレクサンドル・クニャズィンスキー
"Кобелев, Андрей Николаевич",アンドレイ・コベレフ
"Агапов, Иван Валерьевич",イヴァン・アガポフ
Максим Павлович Ковтун,マキシム・コフトゥン
"Агалакова, Жанна Леонидовна",ジャンナ・アガラコワ
"Латышев, Пётр Михайлович",ピョートル・ラティシェフ
Валентина Васильевна Сидорова,ヴァレンティナ・シドロヴァ
"Квашнин, Анатолий Васильевич",アナトーリー・クワシュニン
"Фёдоров, Алексей Леонидович",アレクセイ・フェドロフ
"Оловников, Алексей Матвеевич",アレクセイ・オロヴニコフ
Сергей Александрович Афанасьев,セルゲイ・アファナーシェフ
Пётр Николаевич Мамонов,ピョートル・マモノフ
"Агаларов, Руслан Агабекович",ルスラン・アガラロフ
"Афанасьев, Евгений Владимирович",エフゲニー・アファナーシエフ
"Ахеджаков, Меджид Салехович",メジド・アヘジャコフ
Александр Константинович Котт,アレクサンドル・コット
"Мишарин, Александр Николаевич",アレクサンドル・ミシャリン
Александр Пугачёв,アレクサンドル・パガチヨブ
"Шакура, Николай Иванович",ニコライ・シャクラ
Валерий Павлинович Шанцев,ヴァレリー・シャンツェフ
Камиль Шамильевич Исхаков,カミーリ・イスハコフ
"Голованова, Елизавета Игоревна",エリザヴェタ・ゴロヴァノワ
"Бичелдей, Каадыр-оол Алексеевич",カーディル＝オール・ビチルデイ
Наталья Игоревна Селезнёва,ナターリヤ・セレズニョワ
"Иващенко, Елена Викторовна",エレナ・イワシェンコ
Элина Авраамовна Быстрицкая,エリナ・ビストリツカヤ
Александр Шефтельевич Гиндин,アレクサンドル・ギンジン
Клара Румянова,クラーラ・ルミャーノヴァ
"Титов, Константин Алексеевич",コンスタンチン・チトフ
"Агафонова, Полина Владиславовна",ポリーナ・アガフォノワ
"Адаров, Аржан Ойинчинович",アルツァン・アダロフ
Екатерина Сергеевна Васильева,エカテリーナ・バシリーエワ
"Семёнов, Андрей Алексеевич",アンドレイ・セミョーノフ
Сергей Александрович Мартынов,セルゲイ・マルチノフ
"Косолапов, Александр Семёнович",アレクサンドル・コソラポフ
"Пешехонов, Александр Анатольевич",アレキサンドル・ペシェホノフ
Андрей Андреевич Василевский,アンドレイ・ワシレフスキー
Елена Владимировна Афанасьева,エレーナ・アファナシェワ
"Сомова, Алина Алексеевна",アリーナ・ソーモワ
"Савченко, Анастасия Васильевна",アナスタシア・サフチェンコ
"Макаров, Виталий Валерьевич",ビタリー・マカロフ
Михаил Олегович Ефремов,ミハイル・イエフレモフ
Юлия Викторовна Махалина,ユリア・マハリナ
Дмитрий Вадимович Харатьян,ドミトリー・ハラチャン
"Кузютина, Наталья Юрьевна",ナタリア・クジュティナ
"Юсков, Денис Игоревич",デニス・ユスコフ
Леонид Вячеславович Куравлёв,レオニード・クラブリョフ
"Исаева, Дарья Леонидовна",ダリア・イサエワ
Пётр Иванович Сумин,ピョートル・スーミン
"Азбелев, Сергей Николаевич",セルゲイ・アズベレフ
"Фёдорова, Светлана Георгиевна",スベトラーナ・グリンベル
Андрей Владимирович Панин,アンドレイ・パニン
"Капранова, Ольга Сергеевна",オルガ・カプラノワ
Михаил Иванович Барсуков,ミハイル・バルスコフ
"Ивашутин, Пётр Иванович",ピョートル・イワシュチン
Александр Айнетдинов,アレクサンドル・アイネトゥディノフ
"Бабак, Владимир Петрович",ウラジーミル・ババク
Дмитрий Александрович Бертман,ドミトリー・ベルトマン
Вайно Антон Эдуардович,アントン・ヴァイノ
Нина Аркадьевна Шацкая,ーナ・シャツカヤ
Дмитрий Петрович Дюжев,ドミートリ・ジュゼフ
Виктор Маслов,ヴィクトル・マスロフ (レーサー)
Алексей Валерьевич Серебряков,アレックセイ・セレブリャコブ
Сергей Викторович Скрипаль,セルゲイ・スクリパリ
"Кривов, Андрей Анатольевич",アンドレイ・クリヴォフ
Александр Адабашьян,アレクサンドル・アダバシャン
"Адамишин, Анатолий Леонидович",アナトリー・アダムシン
Артур Сергеевич Смольянинов,アルトゥル・スモリアニノフ
Артём Никитич Михалков,アルテム・ミハルコフ
"Клыков, Вячеслав Михайлович",ヴャチェスラフ・クリコフ
Игорь Николаевич Родионов,イーゴリ・ロジオノフ
Антон Батагов,アントン・バタゴフ
Андрей Николаевич Илларионов,アンドレイ・イラリオノフ
"Уваров, Андрей Иванович",A・ウヴァーロフ
Андрей Александрович Остриков,アンドレイ・オストリコフ
Вадим Иванович Юсов,ワジーム・ユーソフ
Геннадий Григорьевич Онищенко,ゲンナジー・オニシチェンコ
"Адырхаева, Светлана Дзантемировна",スヴェトラーナ・アジルフェーワ
"Голод, Евгений Соломонович",エフゲニー・ゴロド
"Бадичкин, Сергей Александрович",セルゲイ・バディチキン
Анна Валерьевна Чурина,アンナ・チャーイーナ
"Цыганкова, Наталья Юрьевна",ナタリア・ラピツカヤ
Рамазан Гаджимурадович Абдулатипов,ラマザン・アブドゥラチーポフ
"Шаров, Юрий Дмитриевич",ユーリー・シャロフ
"Бабич, Михаил Викторович",ミハイル・バービチ
Владимир Степанович Бабичев,ウラジーミル・バビチェフ
"Адиев, Магомед Мусаевич",マゴメド・アディエフ
Наталья Валентиновна Акимова,ナタリア・アキモワ
Кристина Константиновна Бабушкина,クリスティーナ・バブシュキナ
"Бабушкина, Людмила Валентиновна",リュドミーラ・バブシュキナ
"Джалилов, Манучехр Насруллоевич",マヌチェフル・ジャリロフ
"Аюшеев, Дамба Бадмаевич",ダンバ・アユシェエフ
"Аяцков, Дмитрий Федорович",ドミトリー・アヤツコフ
Дмитрий Игоревич Азаров,ドミートリー・アザロフ
"Баголей, Игорь Михайлович",イゴール・バゴリー
"Бадалов, Карэн Карлосович",カレン・バダロフ
Эдхам Шукриевич Акбулатов,エドハム・アクブラトフ
Алексей Алексеевич Венедиктов,アレクセイ・ヴェネディクトフ
"Штаркман, Наум Львович",ナウム・シュタルクマン
"Кабаев, Евгений Геннадьевич",エヴゲーニイ・カバエフ
"Ондар, Конгар-оол Борисович",コンガルオール・オンダール
"Баглай, Марат Викторович",マラート・バグライ
Владимир Говоров,ウラジーミル・ゴヴォロフ
"Аксенчук, Иван Семёнович",イワン・アクセンチュク
Татьяна Владимировна Аксюта,タチアナ・アクシュタ
Игнатий Романович Акрачков,イグナート・アカクコーブ
"Аксаков, Валерий Евгеньевич",ヴァレリー・アクサーコフ
"Ширко, Александр Петрович",アレクサンドル・シルコ
"Рузиматов, Фарух Садуллаевич",ファルフ・ルジマートフ
"Леоненко, Виктор Евгеньевич",ヴィクトール・レオネンコ
"Акулиничев, Борис Акимович",ボリス・アクリニチェフ
Екатерина Лычёва,カーチャ・リチョワ
"Акопов, Александр Завенович",アレクサンドル・アコポフ
Алексей Анатольевич Козлов,アレクセイ・コズロフ
"Баева, Алёна Михайловна",アレーナ・バーエワ
Роман Сергеевич Мадянов,ローマ・マディヤノフ
Михаил Ефимович Николаев,ミハイル・ニコラエフ
"Зарубина, Елена Михайловна",エレーナ・ザルビナ
Хазрет Меджидович Совмен,ハズレト・ソヴメン
Шломо Шарф,シュロモ・シャーフ
Тимур Родригез,ティムール・ロドリゲス
Оксана Корсо,オクサナ・コルソ
"Попов, Алексей Владиславович",アレクセイ・ポポフ
"Евдокимов, Юрий Алексеевич",ユーリ・エヴドキモフ
Пётр Николаевич Грузинский,ピョートル・グルジンスキー
Юрий Аксюта,ユリ・アクシュタ
Николай Емельянович Аксёненко,ニコライ・アクショーネンコ
Алексей Иванович Лебедь,アレクセイ・レベジ
"Сесина, Вера Валерьевна",ベラ・セシナ
"Косоротов, Сергей Александрович",セルゲイ・コソロトフ
Игорь Александрович Смольников,イーゴリ・スモルニコフ
Юрий Николаевич Коптев,ユーリ・コプテフ
Александр (Калинин),アレクサンドル (カリーニン)
"Байрамян, Хорен Робертович",ホレン・バイラミアン
"Байсаров, Мовлади Зайпуллаевич",モブラディ・バイサロフ
Михаил Семёнович Полицеймако,ミハイル・ポリツェイマコ
Евгения Павловна Симонова,イェブゲニヤ・シモノバ
"Абрамов, Сергей Борисович",セルゲイ・アブラモフ
"Бородулин, Артём Игоревич",アルチョム・ボロドゥリン
"Дандамаев, Магомед Абдул-Кадырович",ムハンマド・ダンダマエブ
"Головко, Александр Валентинович",アレクサンドル・ゴロフコ
Владимир Евгеньевич Турчинский,ウラディミール・トゥルチンスキー
Александр Сергеевич Самедов,アレクサンドル・サメドフ
"Фирсова, Ольга Валерьевна",オルガ・フィルソワ
Татьяна Котова,タチアナ・コトヴァ
"Назаренко, Александр Васильевич",アレクサンドル・ナザレンコ
"Пушной, Александр Борисович",アレクサンドル・プーシュノイ
"Павлова, Надежда Васильевна",ナデジダ・パヴロワ
Олег Михайлович Газманов,オレグ・ガズマノフ
Павел Владимирович Санаев,パベル・サナエフ
Ольга Георгиевна Харлампович,オルガ・ハランポビッチ
Светлана Владимировна Капанина,スベトラナ・キャパニナ
"Шевченко, Виталий Викторович",ヴィタリー・シェフチェンコ
Владимир Сергеевич Ивашов,ブラディミール・アイバショブ
"Игонин, Алексей Андреевич",アレクセイ・イゴニン
Руслан Германович Гелаев,ルスラン・ゲラエフ
Алексей Геннадьевич Дюмин,アレクセイ・デューミン
"Александрова, Елена Анатольевна",エレーナ・アレクサンドロワ
"Карташова, Алёна Владимировна",アレーナ・カルタショワ
"Тменов, Тамерлан Русланович",タメルラン・トメノフ
Людмила Леонидовна Аржанникова,リュドミラ・アルハンニコワ
Татьяна Фердман,タチアナ・フェルドマン
"Ширяева, Людмила Валентиновна",リュドミーラ・シリャーエヴァ
"Байрамов, Назар Караджаевич",ナザル・バイラモフ
"Красноруцкая, Лина Владимировна",リナ・クラスノルツカヤ
Красный Омега,オメガレッド
"Джемаль, Гейдар Джахидович",ゲイダール・ジェマーリ
Александр Сергеевич Шешуков,アレクサンドル・シェシュコフ
Никита Александрович Баженов,ニキータ・バジェノフ
Всеволод Васильевич Санаев,フセボロド・サネイバ
"Благовещенский, Алексей Сергеевич",アレクセイ・ブラゴヴェシチェンスキー
Владимир Михалкин,ウラジーミル・ミハールキン
"Ларюков, Анатолий Владимирович",アナトリー・ラリュコフ
"Рыскаль, Инна Валерьевна",インナ・リスカル
Леонид Алексеевич Нечаев,レオニード・ネチャーエフ
"Бронштейн, Михаил Цалевич",ミハイル・ブロンシュテイン
Валентина Николаевна Журавлёва,ワレンチナ・ジュラヴリョーワ
Юлия Путинцева,ユリア・プチンツェワ
"Алдонин, Сергей Эдуардович",セルゲイ・アルドニン
"Самойлов, Владимир Яковлевич",ウラジーミル・サモイロフ
Анастасия Юрьевна Волочкова,アナスタシア・ヴォロチコワ
Яна Чурикова,ヤナ・チューリコワ
"Тюрина, Елена Николаевна",エレーナ・チューリナ
Алла Давидовна Балтер,アラ・バルター
"Алкснис, Виктор Имантович",ヴィクトル・アルクスニス
Михаэль Драу,ミハイル・セルゲーエフ
Данила Козловский,ダニーラ・コズロフスキー
Дарья Сергеевна Чикризова,ダリア・ピリペンコ
Дмитрий Владимирович Нагиев,ディミトリー・ナギーエフ
"Алексеев, Александр Николаевич",アレクサンドル・アレクセーエフ (1951年生の外交官)
"Белозорович, Леонид Григорьевич",レオニード・ベロゾロヴィッチ
Сергей Алексашенко,セルゲイ・アレクサシェンコ
Александр Иванович Алексеев,アレクサンドル・アレクセーエフ (1913年生の外交官)
"Алексеев, Александр Иванович",アレクサンドル・アレクセーエフ (歴史家)
Ирина Александровна Медведева,イリーナ・メドベージェワ
Лев Яковлевич Рохлин,レフ・ロフリン
"Баконина, Людмила Михайловна",リュドミラ・バコニナ
"Тарабин, Дмитрий Сергеевич",ドミトリー・タラビン
"Алексеев, Олег Александрович",オレグ・アレクセーエフ
Сергей Сергеевич Алексеев,セルゲイ・セルゲーヴィチ・アレクセーエフ
"Урсуляк, Александра Сергеевна",アレクサンドラ・ウルスリャク
Марина Сергеевна Акулова,マリナ・アクロワ
"Бакин, Владимир Юрьевич",ウラジーミル・バキン
Николай Михайлович Харитонов,ニコライ・ハリトーノフ
Алентова Вера Валентиновна,ヴェーラ・アレントワ
Иосиф Григорьевич Аллилуев,ヨシフ・アリルーエフ
Юлия Викторовна Началова,ジュリア・ナチャロワ
"Казаков, Алексей Валерьевич",アレクセイ・カザコフ
"Дьяченко, Екатерина Владимировна",イェカチェリナ・ジヤチェンコ
"Докшицер, Тимофей Александрович",ティモフェイ・ドクシツェル
Русский,ロシアン
Сергей Александрович Марков,サルゲイ・アレクサンドロビッチ・マルコフ
Александр Николаевич Балуев,アレクサンドル・バルーエフ
Николай Николаевич Ерёменко,ニコライ・エリョーメンコ
"Баранкевич, Анатолий Константинович",アナトーリー・バランケヴィッチ
"Митрофанова, Элеонора Валентиновна",エレノア・ミトロファノワ
Бари Каримович Алибасов,バリ・アリバソフ
Дмитрий Алексеевич Хлестов,ドミトリー・フレストフ
Эпифания Принц,エピファニー・プリンス
"Холина, Татьяна Викторовна",タチアナ・ゴルシュコワ
Марио Фернандес,マリオ・フィゲイラ・フェルナンデス
"Котульская, Елена Владимировна",エレーナ・コファノワ
"Макарова, Елена Алексеевна",エレーナ・マカロワ
Динара Анатольевна Друкарова,ディナーラ・ドルカーロワ
Евгения Куликовская,エフゲニア・クリコフスカヤ
"Попов, Дмитрий Львович",ドミトリー・ポポフ
"Гуляк, Софья Мейеровна",ソフィア・グルャク
Евгений Степанович Савченко,エフゲニー・サフチェンコ
"Алексеев, Михаил Николаевич",ミハイル・アレクセーエフ
Анна Борисовна Банщикова,アンナ・バンシチコワ
Константин Леонардович Банников,コンスタンチン・バン二コフ
"Алисова, Нина Ульяновна",ニーナ・アリーソヴァ
"Лукьянов, Фёдор Александрович",フュードル・ルキヤノフ
Иван Александрович Белозерцев,イワン・ベロゼルチェフ
Аран Хакутора,阿覧欧虎
Дмитрий Александрович Сенников,ドミートリー・センニコフ
Юрий Васильевич Прохоров,ユリ・プロホロフ
Владимир Михайлович Алпатов,ヴラジーミル・アルパトフ
Даниил Белых,ダニール・ベリフ
Дарья Гаврилова,ダリア・ガブリロワ
"Левин, Владимир Леонидович",ウラジーミル・レヴィン
"Балашов, Дмитрий Михайлович",ドミトリー・バラショーフ
"Алиев, Адалло Магомедович",アダロ・アリエフ
"Алиев, Ариф Тагиевич",アリフ・アリエフ
Анатолий Александрович Белый,アナトリー・ベリー
Арсен Георгиевич Аваков,アルセイ・ヘオルヒイオヴィチ・アヴァコフ
"Мессерер, Асаф Михайлович",アサフ・メッセレル
Мустафа Азрет-Алиевич Батдыев,ムスタファ・バトドゥイエフ
"Коршунов, Владислав Сергеевич",ウラジスラフ・コルシュナフ
Ксения Александровна Алфёрова,クセニア・アルフェロワ
Андрей Рэмович Белоусов,アンドレイ・ベロウソフ
Женя Белоусов,ゼニア・ベルソーヴ
"Северин, Гай Ильич",ガイ・イリッチ・セヴェリン
"Донгузашвили, Теа Гайозовна",テア・ドングザシビリ
Владимир Романович Алекно,ウラジミール・アレクノ
Дмитрий Александрович Галямин,ドミトリー・ガリャーミン
Николай Васильевич Денин,ニコライ・デニン
"Чен, Олег Борисович",オレグ・チェン
Даниил Дубов,ダニイル・デュボフ
"Баранников, Виликтон Иннокентьевич",ヴェリクトン・バラニコフ
"Баранов, Александр Николаевич",アレクサンドル・ヴァラノフ
Николь Госвияни,ニコル・ゴスヴィアニ
"Белоногов, Александр Михайлович",アレクサンドル・ベロノゴフ
Георгий Михайлович Романов,ゲオルギー・ミハイロヴィチ・ロマノフ
"Батов, Павел Иванович",パーヴェル・バトフ
"Маренич, Александр Игоревич",アレクサンドル・マレニッチ
Тамара Ивановна Алёшина,タマラ・アリシナ
"Барабаш, Алексей Игоревич",アレクセイ・バラバシ
Юрий Владиславович Барабаш,ユリ・バラバシュ
Аслан Алиевич Джаримов,アスラン・ジャリモフ
"Лопырёва, Виктория Петровна",ヴィクトリア・ロピレヴァ
"Любушкина, Екатерина Валерьевна",エカテリーナ・リュブシュキナ
"Орлова, Екатерина Николаевна",エカテリーナ・オルロワ
"Баранцев, Даниил Сергеевич",ダニイル・バランツェフ
"Афанасьев, Андрей Игоревич",アンドレイ・アファナシエフ
"Панкова, Екатерина Вадимовна",エカテリーナ・パンコワ
"Третьякова, Екатерина Евгеньевна",エカテリーナ・トレチャコワ
"Белый, Михаил Михайлович",ミハイル・ベールイ
Наталья Барбашина,ナターリア・バルバシナ
"Бонгард-Левин, Григорий Максимович",グリゴリー・マクシモヴィチ・ボンガルド＝レーヴィン
"Бережков, Валентин Михайлович",ヴァレンティン・ベレジュコフ
"Березин, Анатолий Иванович",アナトリー・ベレジン
"Минаев, Александр Алексеевич",アレクサンドル・ミナエフ
Максим Сергеевич Григорьев,マクシム・グリゴリエフ
Валерий Романович Белякович,ワレリー・ベリャコーヴィチ
Евгения Альбац,エヴゲーニヤ・アルバーツ
Владимир Павлович Бармин,ウラジーミル・バーミン
Евгений Степанович Павлов,イェウヘン・パウロウ
Ильдар Арсланов,イルダール・アルスラノフ
Юрий Викторович Беляев,ユリー・ビライエフ
"Амелина, Яна Александровна",ヤナ・アメリーナ
"Лазько, Игорь Алексеевич",イーゴリ・ラシコ
Иван Вадимович Бариев,イヴァン・バリエフ
Марина Голуб,マリーナ・ゴラブ
Алексей Викторович Баринов,アレクセイ・バリノフ
Игорь Юрьевич Савочкин,イガー・サボックキン
Вячеслав Васильевич Баранов,ヴャチェスラフ・バラノフ
"Баранов, Игорь Леонидович",イーゴリ・バラノフ
"Берг, Иосиф Вениаминович",ジョエル・バー
"Подскальная, Юлия Владимировна",ユリア・ポドスカルナヤ
"Козлова, Валерия Сергеевна",バレリア・コズロワ
"Касперская, Наталья Ивановна",ナターリア・カスペルスキー
Альгис Иозасович Арлаускас,アルギス・アルラスカス
Мария Кожевникова,マリア・コジェフニコワ
Эцио Гамба,エツィオ・ガンバ
"Грачёва, Татьяна Александровна",タチアナ・グラチェワ
Людмила Степановна Булдакова,リュドミラ・ブルダコワ
"Затеев, Николай Владимирович",ニコライ・ウラジミロビッチ・ザテエフ
"Ильченко, Ирина Анатольевна",イリーナ・スミルノーワ
Елена Питьева,エレーナ・V・ピジェワ
Наина Иосифовна Ельцина,ナイーナ・エリツィナ
Амуру Мицухиро,阿夢露光大
"Бархин, Борис Григорьевич",ボリス・バルヒン
Игорь Боев,イゴール・ボエフ
"Барковский, Сергей Дмитриевич",セルゲイ・バコフスキー
Владимир Алексеевич Андреев,ウラジーミル・アンドレイエフ
Александр Леонидович Бурков,アレクサンドル・ブルコフ
"Андреев, Фёдор Владимирович",フェドール・アンドレーエフ
Денис Беспалый,デニス・ベスパリー
Сарик Андреасян,サリク・アンドレアシアン
Юлия Беретта,ユリヤ・ベレッタ
Евгений Шалунов,エフゲニー・シャルノフ
Юрий Александрович Берг,ユーリー・ベルク
Андрей Владимирович Бурковский,アンドレイ・バーコフスキー
Нина Уланова,ニーナ・ウラノワ
"Черязова, Лина Анатольевна",リナ・チェリャゾワ
"Гайсанов, Рашид Яхьяевич",ラシード・ガイサノフ
"Бурмистров, Никита Александрович",ニキータ・ブルミストロフ
Владимир Викторович Васильев,ウラジーミル・ワシーリエフ
Юрий Фёдорович Маликов,ユリ・マリコフ
Мария Берсенева,マリヤ・バーセネバ
Иван Николаевич Бурляев,イワン・ブルヤエフ
"Аниканова, Мария Викторовна",マリヤ・アニカノワ
"Румянцев, Алексей Матвеевич",アレクセイ・ルミャーンツェフ
Алексей Иванович Бугаев,アレクセイ・ブガエフ
Сергей Николаевич Бабурин,セルゲイ・バブーリン
"Бурунов, Сергей Вандалович",セルゲイ・ブルノフ
"Баскаков, Василий Владимирович",ヴァシリ・バスカコフ
Артур Беркут,アルトゥル・ベルクト
Ринат Саярович Билялетдинов,リナト・ビリャレトディノフ
Александр Эммануилович Нудельман,アレクサンドル・ヌデリマーン
Владимир Иванович Долгих,ウラジーミル・ドルギフ
"Маминов, Владимир Александрович",ウラジーミル・マミノフ
"Бахин, Аркадий Викторович",アルカディー・バーヒン
Владлен Ефимович Бахнов,ヴラドレン・バフノフ
Дато Бахтадзе,ダト・バフタゼーズ
"Бахтин, Александр Алексеевич",サーシャ・バクティン
"Морозова, Юлия Константиновна",ユリア・モロゾワ
Юлия Александровна Высоцкая,ユリア・ヴィソツカヤ
"Болдырев, Юрий Юрьевич",ユーリ・ボルドィレフ
"Буш, Жан Вячеславович",ジャン・ブシュ
"Филипенко, Егор Всеволодович",イゴール・フィリペンコ
"Кульчий, Александр Николаевич",アレクサンドル・クルチー
"Попова, Валентина Вадимовна",ワレンチナ・ポポワ
Александр Николаевич Баширов,アレクサンドル・バラシロフ
Михаил Башкатов,ミハイル・バシカトフ
"Кулешов, Алексей Владимирович",アレクセイ・クレショフ
