Lionel Messi,リオネル・メッシ
Mauro Picone,マウロ・ピコーネ
Gianpaolo Castorina,ジャンパオロ・カストリーナ
Paolo Castellini,パオロ・カステッリーニ
Marcello Castellini,マルセロ・カステッリーニ
Gianni Bui,ジャンニ・ブーイ
Peter Mitterrutzner,ピーター・ミッタールッツナー
Enzo Mascherini,エンツォ・マスケリーニ
Matteo Viola,マッテオ・ヴィオラ
Renato Cellini,レナート・チェリーニ
Pier Miranda Ferraro,ピエール・ミランダ・フェラーロ
Alessio Di Mauro,アレッシオ・ディ・マウロ
Rômulo Souza Orestes Caldeira,ロムロ・ソウザ・オレステス・カルデイラ
Tullio Altamura,トゥッリオ・アルタムーラ
Jessica Rossi,ジェシカ・ロッシ
Piero Del Papa,ピエロ・デル・パパ
Piero Lulli,ピエロ・ルッリ
Piero Pierotti,ピエロ・ピエロッティ
Pierfrancesco Pavoni,ピエールフランチェスコ・パボーニ
Alberto Colombo,アルベルト・コロンボ (サッカー選手)
Ugo Liberatore,ウーゴ・リベラトーレ
Paolo Hernán Dellafiore,パオロ・デッラフィオーレ
Ughetto Bertucci,ウゲット・ベルトゥッチ
Antonio Buscè,アントニオ・ブシェ
Gianni Comandini,ジャンニ・コマンディーニ
Corrado Colombo,コッラード・コロンボ
Fabrizio Cacciatore,ファブリツィオ・カッチャトーレ
Gianluca Colonnello,ジャンルカ・コロンネッロ
Francesco Colonnese,フランチェスコ・コロンネーゼ
Ugo Chiti,ウーゴ・キティ
Nicola Caccia,ニコラ・カッチャ
Federico Viviani,フェデリコ・ヴィヴィアーニ
Simona Caparrini,シモーナ・カパリーニ
Pino Ferrara,ピノ・フェッラーラ
Pino Cacucci,ピノ・カカッチ
Pietro Gabrielli,ピエトロ・ガブリエッリ
Paolo Fornaciari,パオロ・フォルナチャーリ
Luca Novelli,ルカノベリミラ
Umberto Scarpelli,ウンベルト・スカルペッリ
Giuseppe Pelosi,ピーノ・ペロージ
Giovanni Allevi,ジョヴァンニ・アレヴィ
Piero Pizzi Cannella,ピエロ・ピッツィ・カンネッラ
Antonio Comi,アントニオ・コミ
Oreste Lionello,オレステ・リオネッロ
Dario Pieri,ダリオ・ピエリ
Luciano Martino,ルチアーノ・マルティーノ
Lucia Peretti,ルチア・ペレッティ
Massimo Bogianckino,マッシモ・ボジャンキーノ
Enrico Barbin,エンリコ・バルビン
Dominique D'Onofrio,ドミニク・ドノフリオ
Gregorio Paltrinieri,グレゴリオ・パルトリニエリ
Anna Vania Mello,アンナバニア・メッロ
Maria Gabriella di Savoia,マリーア・ガブリエッラ・ディ・サヴォイア
Gianluca Comotto,ジャンルカ・コモット
Luigi Caffarelli,ルイージ・カファレッリ
Gabriele Ferro,ガブリエーレ・フェッロ
Quirino Majorana,クイリーノ・マヨラナ
Elio Verde,エリオ・ヴェルデ
Guido Quaroni,グイド・カローニ
Diego Polenta,ディエゴ・ポレンタ
Ezio Gamba,エツィオ・ガンバ
Urbano Barberini,ウルバノ・バルベリーニ
Luigi Cagni,ルイジ・カーニ
Alfonso Badini Confalonieri,アルフォンソ・バディーニ・コンファロニエーリ
Gaetano Pesce,ガエタノ・ペッシェ
Alejandro Martinuccio,アレハンドロ・マルティヌシオ
Raffaele Giammaria,ラファエル・ジャンマリア
Raffaele Mertes,ラッファエーレ・メルテス
Marco Bui,マルコ・ブーイ
Giacomo Losi,ジャコモ・ロッシ
Gaetano Morelli,ガエターノ・モレッリ
Gaetano Kanizsa,ガエタノ・カニッツァ
Salvatore Puccio,サルヴァトーレ・プッチョ
Flavio Cecconi,フラヴィオ・チェッコーニ
Luca Cecconi,ルカ・チェッコーニ
Roberto Innocenti,ロベルト・インノチェンティ
Fred Buscaglione,フレッド・ブスカリオーネ
Radu Aldulescu,ラドゥ・アルドゥレスク
Raf Baldassarre,ラフ・バルダサーレ
Horacio Pagani,オラチオ・パガーニ
Luciano Folgore,ルチアーノ・フォルゴレ
Luciano Biondini,ルチアーノ・ビオンディーニ
Pietro Grasso,ピエトロ・グラッソ
Lucilla Agosti,ルチッラ・アゴスティ
Remo De Angelis,レモ・デ・アンジェリス
Lucidio Sentimenti,ルチディオ・センティメンティ
Luigi Meroni,ジジ・メローニ
Humiaki Huzita,藤田文章
Fabio Ceravolo,ファビオ・チェラヴォロ
Emanuele Concetti,エマヌエレ・コンチェッティ
Claudio Lotito,クラウディオ・ロティート
Lucio Russo,ルシオ・ルソ
Giorgio Puia,ジョルジョ・プーヤ
Cereseto,チェレゼート
Bruno Conca,ブルーノ・コンカ
Alejandro Giammattei,アレハンドロ・ジャマティ
Renato Chiantoni,レナート・チアントーニ
Alessandro Conticchio,アレッサンドロ・コンティッキオ
Renato Terra,レナート・テッラ
Gavino Ledda,ガヴィーノ・レッダ
Giancarlo Corradini,ジャンカルロ・コラッディーニ
Paolo Zanetti,パオロ・ザネッティ
Pablo Chavarría,パブロ・チャバリア
Andrea Consigli,アンドレア・コンシーリ
Luigi Lavitrano,ルイージ・ラヴィトラーノ
Riccardo Agostini,リカルド・アゴスチーニ
Renato Palumbo,レナート・パルンボ
Renato Lupi,レナード・ルピ
Alessandro Calori,アレッサンドロ・カローリ
Ivan Origone,イバン・オリゴーネ
Fabio Rossitto,ファビオ・ロッシット
Michele Soavi,ミケーレ・ソアヴィ
Bruno Grandi,ブルーノ・グランディ
Liassine Cadamuro,リアシヌ・カダムロ＝ベンタイーバ
Paolo Conti,パオロ・コンティ
Felice Cerri,フェリーチェ・チェッリ
Andrea Conti,アンドレア・コンティ
Roberto D'Ettorre Piazzoli,ロベルト・デットーレ・ピアッツォーリ
Diego Alonso,ディエゴ・アロンソ
Renato De Carmine,レナート・デ・カルミネ
Renato Baldini,レナート・バルディーニ
Samuel Di Carmine,サムエル・ディ・カルミネ
Valentina Fiorin,ヴァレンティーナ・フィオリン
Andrea Santoro,アンドレア・サントロ
Giovanni Cervone,ジョヴァンニ・チェルヴォーネ
Carlo Mattrel,カルロ・マットレル
Lionello Venturi,リオネロ・ヴェントーリ
Vinzenz Goller,ヴィンツェンツ・ゴラー
Antonio Sacconi,アントーニオ・サッコーニ
Renzo Contratto,レンッオ・コントラット
Alex Cordaz,アレックス・コルダツ
Riccardo Minasi,リッカルド・ミナージ
Marina Rei,ジャミー・ディー
Gerardo Amato,ジェラルド・アマート
Fausto Pocar,ファウスト・ポーカー
Mario Zampedroni,マリオ・ザンペドロニ
Emiliano Alfaro,エミリアーノ・アルファロ
Vincenzo Camporini,ヴィチェンツォ・カンポリーニ
Roberto Bianchi Montero,ロベルト・ビアンキ・モンテーロ
Rino Di Silvestro,リーノ・シルヴェストーロ
Vincenzo Chiarenza,ヴィンチェンツォ・キアレンツァ
Roberta Rodeghiero,ロベルタ・ロデギエーロ
Roberto Andò,ロベルト・アンド
Lorenzo Gicca Palli,ロレンツォ・パッリ
Luigi Borgato,ルイジ・ボルガート
George Hilton,ジョージ・ヒルトン (俳優)
Leonard Mann,レオナード・マン
Luis Induni,ルイス・インデュニ
Roberto Leoni,ロベルト・レオーニ
Vito Chimenti,ヴィト・キメンティ
Gino Pollini,ジノ・ポリーニ
Osvaldo Hernández,オズワルド・エルナンデス
Serafino Sprovieri,セラフィーノ・スプロヴィエリ
Giacomo Ciarrapico,ジャコモ・チャラピーコ
Pietro Testa,ピエトロ・テスタ
Francesco Messina,フランチェスコ・メッシーナ
Vittorio De Sisti,ヴィットリオ・デ・システィ
Vittorio Terranova,ヴィットーリオ・テッラノーヴァ
Luigi Kuveiller,ルイジ・クヴェイレル
Francesco Chimenti,フランチェスコ・キメンティ
Marco Meoni,マルコ・メオーニ
The Bloody Beetroots,ザ・ブラッディ・ビートルーツ
Luigi Pezzuto,ルイジ・ペッツート
Gherardo Gherardi,ゲラルド・ゲラルディ
Serena Ortolani,セレナ・オルトラーニ
Luigi Moretti,ルイジ・モレッティ
Italo Galbiati,イタロ・ガルビアーティ
Alessandro Motti,アレッサンドロ・モッティ
Giampiero Mele,ジャンピエロ・メーレ
Luigi Simoni,ルイジ・シモーニ
Doriano Romboni,ドリアーノ・ロンボニ
Nelo Risi,ネロ・リージ
Giacomo Albanese,ジアコモ・アルバネーゼ
Nicola Corrent,ニコラ・コッレント
Rocco Cesareo,ロッコ・チェザレオ
Virgilio Giotti,ヴィルジリオ・ジョッティ
Giacomo Mari,ジャコモ・マリ
Romolo Guerrieri,ロモロ・グェッリエリ
Romolo Marcellini,ロモロ・マルチェリーニ
Romulo Cincinnato,ロムロ・チンチナート
Gian Carlo Wick,ジャン・カルロ・ヴィック
Rose,ローズ
Giusto Traina,ジュスト・トライナ
Paola Croce,パオラ・クローチェ
Mario Almondo,マリオ・アルモンド
Romano Ferrara,マイク・ウィリアムズ
Luigi Sartor,ルイジ・サルトル
Giovanni Cornacchini,ジョヴァンニ・コルナッキーニ
Michele Marcolini,ミケーレ・マルコリーニ
Edoardo Garzena,エドアルド・ガルツェナ
Luis Aguiar,ルイス・アギアル
Romano Puppo,ロマーノ・プポー
Gianfranco Moscati,ジャンフランコ・モスカーティ
Claudia Ciccotti,クラウディア・チコッティ
Gianfranco Baldanello,ジャンフランコ・バルダネッロ
Daniele Archibugi,ダニエル・アーチブージ
David Fisher,デビッド・フィッシャー
Rossella Bergamonti,ロセッラ・ベルガモンティ
Massimo Paci,マッシモ・パーチ
Carlo Orlandi,カルロ・オルランディ
Giuseppe Greco,ピーノ・グレコ
Harry Bertoia,ハリー・ベルトイア
Fausto Brizzi,ファウスト・ブリッツィ
Giancarlo Raimondi,ジャンカルロ・ライモンディ
Giancarlo Ferrando,ジャンカルロ・フェルナンド
Aldo Ronconi,アルド・ロンコーニ
Gianfranco Matteoli,ジャンフランコ・マッテオーリ
Rudolf Stingel,ルドルフ・スティンゲル
Giancarlo del Monaco,ジャンカルロ・デル・モナコ
Giangiacomo Guelfi,ジャンジャコモ・グェルフィ
Gabriele Cioffi,ガブリエレ・シオフィ
Ubaldo Soddu,ウバルド・ソッドゥ
Ettore Mendicino,エットーレ・メンディチーノ
Gianni Ferrio,ジャンニ・フェッリオ
Luigi Cingolani,ルイージ・シンゴラニ
Alexander Robotnick,アレクサンダー・ロボトニック
Russell Teibert,ラッセル・タイバート
Stefano Agostini,ステファノ・アゴスティーニ
Mario Ricci,マリオ・リッチ
Manuel De Sica,マヌエル・デ・シーカ
Gianmaria Testa,ジャンマリア・テスタ
Renato Brunetta,レナート・ブルネッタ
Enrico Donati,エンリコ・ドナティ
Giannetto De Rossi,ジャンネット・デ・ロッシ
Nicola Pasini,ニコラ・パシーニ
Roberto Nobile,ロベルト・ノービレ
Renzo Rosso,レンツォ・ロッソ
Massimo Ciocci,マッシモ・チョッチ
Mino Doro,ミーノ・ドーロ
Taismary Agüero,タイスマリー・アゲロ
Mario Magnozzi,マリオ・マグノッツィ
Carolina Costagrande,カロリーナ・コスタグランデ
Giuseppe Bastianini,ジュゼッペ・バスティアニーニ
Stefano Pilati,ステファノ・ピラティ
Eduardo Tuzzio,エドゥアルド・トゥッシオ
Marco Fortin,マルコ・フォルティン
Stefano Tamburini,ステファノ・タンブリーニ
Fulco di Verdura,フルコ・ディ・ヴェルドゥーラ
Cesare Emiliani,チェザーレ・エミリアーニ
Francesco Modesto,フランチェスコ・モデスト
Gianni Di Venanzo,ジャンニ・ディ・ヴェナンツォ
Gianni Rizzo,ジャンニ・リッツォ
Yuri Confortola,ユーリ・コンフォルトラ
Loretta Napoleoni,ロレッタ・ナポレオニ
Bruno Canino,ブルーノ・カニーノ
Enzo Miccio,エンツォ・ミッチョ
Alessandro Trotter,アレッサンドロ・トロッター
Marcello Semeraro,マルセッロ・セメラーロ
Alberto Bonacossa,アルベルト・ボナコッサ
Marcelo Tubert,マルセロ・タバート
Gigio Alberti,ジジョ・アルベルティ
Salvatore Maira,サルヴァトーレ・マイラ
Salvatore Mancuso,サルヴァトーレ・マンクーゾ
Ninetta Bagarella,ニネッタ・バガレッラ
Marco Fraccaro,マルコ・フラッカーロ
Elisabetta Gnone,エリザベッタ・グノーネ
Andrea Sartoretti,アンドレア・サルトレッティ
Christian Stuani,クリスティアン・ストゥアーニ
Gianni Poli,ジャンニ・ポリ
Gianni Quaranta,ジャンニ・クァランタ
Massimo Marazzina,マッシモ・マラッツィーナ
Venere Pizzinato,ヴェーネレ・ピッツィナート＝パポ
Carmela Corleone,カルメーラ・コルレオーネ
Carlo Bonomi,カルロ・ボノーミ
Roy Paci,ロイ・パチ
Marco Pontecorvo,マルコ・ポンテコルヴォ
Sandro Giglio,サンドロ・ジリオ
Mattia Mustacchio,マッティア・ムスタッキオ
Toni Bertorelli,トニ・ベルトレッリ
Gina Rovere,ジーナ・ロヴェレ
Iolanda Margherita di Savoia,イオランダ・マルゲリータ・ディ・サヴォイア
Gloria Milland,グロリア・ミランド
Gian Gaspare Napolitano,ジャン・ガスパーレ・ナポリターノ
Marco Risi,マルコ・リージ
Marco Serafini,マルコ・セラフィーニ
Luca Banti,ルカ・バンティ
Gino Rossetti,ジーノ・ロッセッティ
Nicola Mora,ニコラ・モーラ
Marco Piccinini,マルコ・ピッチーニ
Luigi Vanzi,ヴァンス・ルイス
Tiziano Crudeli,ティツィアーノ・クルデーリ
Luigi Samele,ルイジ・ザメーレ
Gabriele Tredozi,ガブルエル・トレドッツィ
João Pedro,ジョアン・ペドロ
Sante Ghedini,サンテ・ゲディーニ
Albert Band,アルバート・バンド
Sandro Continenza,サンドロ・コンティエンツァ
Margareth Madè,マルガレット・マデ
Bernardino Molinari,ベルナルディーノ・モリナーリ
Giorgio Gaja,ジョルジオ・ガヤ
Giotto Bizzarrini,ジオット・ビッツァリーニ
Alceo Galliera,アルチェオ・ガリエラ
Sara Franchetti,サラ・フランケッティ
Mario Rossi,マリオ・ロッシ
Ferdinando di Savoia-Genova,フェルディナンド・ディ・サヴォイア＝ジェノヴァ
Mario Amendola,マリオ・アメンドラ
Mario Alicata,マリオ・アリカータ
Mario Almirante,マリオ・アルミランテ
Aureliano Brandolini,アウレリアーノ・ブランドリニ
Bobo Craxi,ボボ・クラクシ
Massimo Righi,マッシモ・リーギ
Alessandro Bisolti,アレッサンドロ・ビソルティ
Emanuela Pierantozzi,エマヌエーラ・ピエラントッツィ
Giorgio Mariuzzo,ジョルジオ・マリウッゾ
Gian Piero Ventura,ジャンピエロ・ヴェントゥーラ
Eugenio di Savoia-Genova,エウジェーニオ・ディ・サヴォイア＝ジェノヴァ
Paolo Cirino Pomicino,パオロ・チリーノ・ポミチーノ
Gianandrea Noseda,ジャナンドレア・ノセダ
Giorgio Stegani,ジョルジオ・ステガーニ
Luca Saudati,ルカ・サウダーティ
Arturo Labriola,アルトゥーロ・ラブリオーラ
Nuto Revelli,ヌート・レヴェッリ
Simone Vagnozzi,シモン・ヴァニョッツィ
Giorgio Caproni,ジョルジョ・カプローニ
Irene Pivetti,イレーネ・ピヴェッティ
Paolo Costella,パオロ・コステッラ
Mario Chiari,マリオ・キアーリ
Mario Greco,マリオ・グレコ
Roberto Meloni,ロベルト・メローニ
Emilio Greco,エミリオ・グレコ
Arturo Michelini,アルトゥーロ・ミケリーニ
Patrizia Ciofi,パトリツィア・チョーフィ
Marino Marini,マリオ・マリーニ
Il Cerano,ジョヴァンニ・バッティスタ・クレスピ
Giovanni Brusca,ジョヴァンニ・ブルスカ
Giorgio Ferrara,ジョルジオ・フェラーラ
Giovanni Anfossi,ジョヴァンニ・アンフォッシ
Carlo Cavagnoli,カルロ・カバニョーリ
Giovanni Micheletto,ジョヴァンニ・ミケレット
Scipione Pulzone,スキピオーネ・パルゾーネ
Alessandro Fei,アレッサンドロ・フェイ
Stelio Frati,ステリオ・フラティ
Damiano Pippi,ダミアーノ・ピッピ
Giovanni Bilivert,ジョヴァンニ・ビリヴェルティ
Giovanni Pellielo,ジョバンニ・ペリエロ
Gavino Matta,ガバノ・マッタ
Gaetano Merola,ガエターノ・メローラ
Mario Panzeri,マリオ・パンツェーリ
Danilo Petrucci,ダニロ・ペトルッチ
Marcello Abbado,マルチェッロ・アバド
Thomas Mangani,トーマス・マンガニ
Mario Imperoli,マリオ・インペロリ
Mario Maffei,マリオ・マッフェイ
Carla Boni,カルラ・ボーニ
Pasquale Gravina,パスクアーレ・グラビーナ
Mario Vulpiani,マリオ・ヴルピアーニ
Maya Sansa,マヤ・サンサ
Giovanni Fidanza,ジョヴァンニ・フィダンツァ
Alberto Cardone,アルバート・カーディフ
Alberto Dell'Acqua,アルベルト・デラクア
Luciano Violante,ルチアーノ・ヴィオランテ
Mario Montuori,マリオ・モントゥオーリ
Giovanni Columbu,ジョヴァンニ・コロンブ
Franco Capuana,フランコ・カプアーナ
Massimiliano Gioni,マッシミリアーノ・ジオーニ
Gennaro Ruotolo,ジェンナーロ・ルオートロ
Franco Berardi,フランコ・ベラルディ
Gianni De Gennaro,ジョヴァンニ・デ・ジェンナーロ
Daniele Molmenti,ポルデノーネのオドリック
Gleb Wataghin,グレブ・ワタギン
Manuela Leggeri,マヌエラ・レッジェーリ
Carlo Scorza,カルロ・スコルツァ
Alberto da Zara,アルベルト・ダ・ザーラ
Mogol,モゴル
Roberto Vecchioni,ロベルト・ヴェッキオーニ
Giovanni Grimaldi,ジョヴァンニ・グリマルディ
Gian Paolo Gobbo,ジェン・パオロ・ゴッボ
Felice Mario Boano,フェリーチェ マリオ・ボアーノ
Diego Della Valle,ディエゴ・デッラ・ヴァッレ
Alessandro Marchetti,アレッサンドロ・マルケッティ
Azio Corghi,アツィオ・コルギ
Francesco Nucara,フランチェスコ・ヌカーラ
Giorgia Palmas,ジョルジア・パルマス
Giovanni Gerbi,ジョヴァンニ・ジェルビ
Aldo Berti,アルド・ベルティ
Aldo Crudo,アルド・クルード
Lorenzo Milani,ロレンツォ・ミラーニ
Berel Lazar,ベレル・ラザル
Mirella D'Angelo,ミレッラ・ダンジェロ
Adriano Mantelli,アドリアーノ・マンテッリ
Maso da San Friano,マソ・デ・サン・フリアーノ
Alberto Di Stasio,アルベルト・ディ・スタシオ
Marracash,マラカシュ
Matteo Guardalben,マッテオ・グァルダルベン
Fabio Moro,ファビオ・モーロ
Giovanni Jona-Lasinio,ジョヴァンニ・ヨナラシニオ
Giovanni Mazzarino,ジョヴァンニ・マッツァリーノ
Andrea D'Angelo,アンドレア・ダンジェロ
Vincenzo Florio,ヴィンチェンツォ・フローリオ
Roberto Galia,ロベルト・ガリア
Massimo Ceccherini,マッシモ・チェッケリーニ
Giuseppe Maria Lo Duca,ジョゼフ＝マリー・ロ・デュカ
Massimo Gaudioso,マッシモ・ガウディオソ
Andrea Tofanelli,アンドレア・トファネッリ
Roberto Stellone,ロベルト・ステッローネ
Aldo Romano,アルド・ロマーノ
Lorenzo Tonelli,ロレンツォ・トネッリ
Massimo Tamburini,マッシモ・タンブリーニ
Riccardo Garrone,リカルド・ガッローネ
Aldo Rendine,アルド・レンディネ
Aldo Grimaldi,アルド・グリマルディ
Alberto Pinton,アルベルト・ピントン
Nicolò Melli,ニコロ・メリ
Massimo Paganin,マッシモ・パガニン
Giovanni Pinarello,ジョヴァンニ・ピナレロ
Massimo Inguscio,マッシモ・イングーショ
Pipolo,ジュゼッペ・モッチア
Giovanni Treccani,ジョヴァンニ・トレッカーニ
Giacomo Marramao,ジャコモ・マラマオ
Bruno Martino,ブルーノ・マルティーノ
Alessandro Melli,アレッサンドロ・メッリ
Simone Tomassini,シモーネ・トマシーニ
Enzo Staiola,エンツォ・スタヨーラ
Pierina Gilli,奇しき薔薇の聖母
Eugenio Corti,エウジェーニオ・コトリ
Mattia Pozzo,マッティア・ポッツォ
Giuliano Sarti,ジュリアーノ・サルティ
Alessio Figalli,アレッシオ・フィガリ
Alessio Allegrini,アレッシオ・アレグリーニ
Alessandro De Marchi,アレッサンドロ・デ・マルキ
Maurizio Nannucci,マウリッツィオ・ナンヌッチ
Massimo Paris,マッシモ・パリス
Matteo Liviero,マッテオ・リヴィエロ
Alessandro Nova,アレッサンドロ・ノヴァ
Giulio Bonasone,ジュリオ・ボナソーネ
Giulio Battiferri,ジュリオ・バッティフェリ
Maurizio Bonuglia,マウリツィオ・ボヌリア
Maurizio Calvesi,マウリツィオ・カルヴェージ
Enzo Moavero Milanesi,エンツォ・モアベロ・ミラネージ
Vincenzo Castaldi,ヴィンチェンツォ・カスタルディ
Giovita Garavaglia,ジョヴィータ・ガラヴァリア
Virgilio Felice Levratto,ヴィルジリオ・レヴラット
Marco Zanchi,マルコ・ザンキ
Andrea Gardini,アンドレア・ガルディーニ
Ignazio Spalla,イグナツィオ・スパラ
Ighli Vannucchi,イグリ・ヴァンヌッキ
Giovanni Zenatello,ジョヴァンニ・ゼナテッロ
Maurizio Costanzo,マウリツィオ・コスタンツォ
Mauro Bianchi,マウロ・ビアンキ
Silvano Arieti,シルヴァーノ・アリエティ
Girolamo Mazzola Bedoli,ジローラモ・マッツォーラ・ベドリ
Aldo Notari,アルド・ノタリ
Marco Rigoni,マルコ・リゴーニ
Franco Vázquez,フランコ・バスケス
Giuseppe Addobbati,ジュゼッペ・アドバッティ
Giuseppe Adami,ジュゼッペ・アダーミ
Ferdinando De Giorgi,フェルディナンド・デジョルジ
Carlo Geloso,カルロ・ジェロソ
Filippo Silvestri,フィリッポ・シルヴェストリ
Marcello Fois,マルチェロ・フォイス
Michele Padovano,ミケーレ・パドヴァーノ
Joseph Olivadoti,ジョセフ・オリヴァドーティ
Raffaele Paolucci,ラファエル・パオルッチ
Alessandro Crescenzi,アレッサンドロ・クレシェンツィ
Giovanni Stroppa,ジョバンニ・ストロッパ
Davide Succi,ダヴィデ・スッチ
Gianni Munari,ジャンニ・ムナーリ
Osmany Juantorena,オスマニー・ユアントレーナ
Girolamo Giovinazzo,ジローラモ・ジオビナッツォ
Walter Santesso,ウォルター・サンテッソ
Giuseppe Amato,ジュゼッペ・アマト
Giuseppe Antonio Borgese,ジュゼッペ・アントニオ・ボルジェーゼ
Giuseppe Belluzzo,ジュゼッペ・ベッルッツォ
Michele Paramatti,ミチェーレ・パラマッティ
Emilio Bianchi,エミリオ・ビアンキ
Marcello Dudovich,マルチェッロ・ドゥドヴィック
Piero Piccioni,ピエロ・ピッチオーニ
Luca Vigiani,ルカ・ヴィジャーニ
Michele Cimarosa,ミケーレ・チマローザ
Giulio Ricciarelli,ジュリオ・リッチャレッリ
Giulio Manfredonia,ジュリオ・マンフレドニア
Giuseppe Capotondi,ジュゼッペ・カポトンディ
Giuseppe Cigala Fulgosi,フルゴーシ
Giuseppe Cocconi,ジュゼッペ・コッコーニ
Marco Bracci,マルコ・ブラッチ
Renata Viganò,レナータ・ヴィガノ
Nadya Ochner,ナディア・オホナー
Nando Angelini,ナンド・アンジェリーニ
Rosanna Fratello,ロザンナ・フラテッロ
Rodolfo Lipizer,ロドルフォ・リピツァー
Giampaolo Giuliani,ジャンパオロ・ジュリアーニ
Simona Rinieri,シモーナ・リニエーリ
Silvia Fontana,シルビア・フォンタナ
Ondřej Hotárek,オンドジェイ・ホターレク
Franca Viola,フランカ・ヴィオラ
Bruno Cabrerizo,ブルーノ・カブレリーゾ
Stefano Zacchiroli,ステファノ・ザッキローリ
Franco Lerda,フランコ・レルダ
Felice Natalino,フェリチェ・ナタリーノ
Raffaele Maiello,ラッファエレ・マイエッロ
Ivano Beggio,イバノ・バッジオ
Beni Montresor,ベニ・モントレゾール
Ivan Artipoli,イヴァン・アルティポリ
Dino Alfieri,ディーノ・アルフィエリ
Mostro di Firenze,フィレンツェの怪物事件
Damiano Ferronetti,ダミアーノ・フェロネッティ
Giuseppe Sulfaro,ジュゼッペ・スルファーロ
Giuseppe Vari,ジュゼッペ・ヴァリ
Giuseppe M. Gaudino,ジュゼッペ・M・ガウディーノ
Giuseppe Fiorello,ジュゼッペ・フィオーレロ
Arturo Lupoli,アルトゥーロ・ルポリ
Marco D'Alessandro,マルコ・ダレッサンドロ
Maria Francesca di Savoia,マリーア・フランチェスカ・ディ・サヴォイア
Ugo da Carpi,ウーゴ・ダ・カルピ
Massimo Introvigne,マッシモ・イントロヴィーニャ
Jack Dragna,ジャック・ドラグナ
Giuliano Urbani,ジュリアーノ・ウルバーニ
Maurizio Zamparini,マウリツィオ・ザンパリーニ
Martina Grimaldi,マルティナ・グリマルディ
Pupo,エンツォ・ギナッツィ
Pietro Scalia,ピエトロ・スカリア
Nicola Rossi-Lemeni,ニコラ・ロッシ＝レメーニ
Marina Lotar,マリナ・ヘドマン
Nunzio Giuliano,ヌンツィオ・ジュリアーノ
Giuseppe Virgili,ジュゼッペ・ヴィルジーリ
Marco Lanna,マルコ・ランナ
Paul Hildgartner,パウル・ヒルドガートナー
Giuseppe Papadopulo,ジュゼッペ・パパドプーロ
Giuseppe Wilson,ジュゼッペ・ウィルソン
Giuseppe Romagnoli,ジュゼッペ・ロマニョーリ
Stefano Bontate,ステファノ・ボンターデ
Salvo Lima,サルヴォ・リマ
Roberto Infascelli,ロベルト・インファセッリ
Nerio Bernardi,ネリオ・ベルナルディ
Massimo Bruno,マッシモ・ブルーノ
Nicola Boem,ニコラ・ボエム
Andrea Pazzagli,アンドレア・パッツァーリ
Joseph Zoderer,ヨーゼフ・ツォーデラー
Staffan de Mistura,スタファン・デ・ミストゥラ
Niccolò Castiglioni,ニッコロ・カスティリオーニ
Manlio Rocchetti,マンリオ・ロケッティ
Nadir Caselli,ナーディル・カゼッリ
Pierino Fanna,ピエトロ・ファンナ
Matteo Martino,マッテオ・マルティーノ
Luis Felipe Gallegos,フェリペ・ガジェゴス
Sergio Luzzatto,セルジョ・ルッツァット
Nicola Samale,ニコラ・サマーレ
Sergio Graziani,セルジオ・グラツィアーニ
Sergio Garrone,セルジオ・ガローネ
Jeff Cameron,ジェフ・キャメロン
Jenny Barazza,ジェニー・バラッツァ
Joe Yellow,ジョー・イエロー
Franco Battaini,フランコ・バッタイーニ
Luigi Raimondi,ルイージ・ライモンディ
Diego De Ascentis,ディエゴ・デ・アシェンティス
Sergio Benvenuto,セルジョ・ベンヴェヌート
Pio La Torre,ピオ・ラ・トッレ
Paolo Romani,パオロ・ロマーニ
Marco Giampaolo,マルコ・ジャンパオロ
Peppino Gagliardi,ペピーノ・ガリアルディ
Andrea Giani,アンドレア・ジャーニ
Paolo Tofoli,パオロ・トフォリ
Fiorella Mannoia,フィオレッラ・マンノイア
Vincenzo Scotti,ヴィンチェンツォ・スコッティ
Nicolò Ferrari,ニコロ・フェッラーリ
Michele Greco,ミケーレ・グレコ
Paolo Sammarco,パオロ・サンマルコ
Giovanni Campari,ジョヴァンニ・カンパーリ
Francesco Pratali,フランチェスコ・プラターリ
Romolo Tavoni,ロモロ・タヴォーニ
Roberto Colciago,ロベルト・コルチアゴ
Gian Paolo Montali,ジャン・パオロ・モンターリ
Andrea Campagnolo,アンドレア・カンパニョーロ
Paola Paggi,パオラ・パッジ
Stefano Desideri,ステファーノ・デジデーリ
Migidio Bourifa,ミジーディオ・ブーリファ
Cancer,蟹座のデスマスク
Ugo Cerletti,ツェルレッティ
Leo Valiani,レオ・ヴァリアーニ
Diego Fabbrini,ディエゴ・ファッブリーニ
Sara Anzanello,サラ・アンツァネッロ
Milo Campari,ミロ・カンパーリ
Don Fanucci,ドン・ファヌッチ
Salvatore Cascio,サルヴァトーレ・カシオ
Mario Caroli,マリオ・カーロリ
Pinuccio Ardia,ピヌッチオ・アルディア
Daniela Dessì,ダニエラ・デッシー
Corrado Barazzutti,コラド・バラズッティ
Andrea Lo Cicero,アンドレア・ロ・チチェロ
Selen,セレン
Valentina Marchei,ヴァレンティーナ・マルケイ
Franco Cristaldi,フランコ・クリスタルディ
Aldo Ceccato,アルド・チェッカート
Ninni Bruschetta,ニンニ・ブルスケッタ
Silverio Blasi,シルヴェリオ・ブラージ
Daniele Zoratto,ダニエレ・ゾラット
