Polska,波蘭
Gopło,戈普沃湖
Opactwo Cystersów w Krzeszowie,克熱舒夫修道院
powiat braniewski,布拉涅沃縣
powiat wałecki,瓦烏奇縣
katedra Świętych Apostołów Piotra i Pawła w Gliwicach,聖伯多祿和聖保祿主教座堂
katedra Podwyższenia Krzyża Świętego w Opolu,聖十字主教座堂
Stocznia Gdańska,格但斯克列宁造船厂
Międzynarodowe Targi Katowickie,卡托維治國際博覽會
Krakowski Festiwal Filmowy,克拉科夫电影节
Chemik Police,波利采化工女排俱樂部
Golina,戈利納
Województwo suwalskie,蘇瓦烏基省
Województwo łomżyńskie,沃姆札省
Zamek Ujazdowski w Warszawie,烏亞茲多夫城堡
Korsze,科爾謝
Sulejów,苏莱尤夫
Santok,桑托克
Nurzec,努熱茨河
Wprost,直接 (波蘭週刊)
Wola,沃拉區
Kościół św. Andrzeja w Krakowie,圣安德肋教堂
Warta Poznań,波兹南瓦塔足球俱乐部
Górnik Łęczna,戈尼克文奇納足球俱樂部
Czarne,恰尔内
Czersk,切爾斯克
województwo warszawskie,華沙省
CD Projekt RED,紅光盤項目
Aero,Aero航空
Polskie Sieci Elektroenergetyczne,波蘭電網
Braniccy herbu Gryf,布拉尼基
Piotrówka,佩特魯夫卡河
Trefl Sopot,特里弗索波特
Rawa,拉瓦河 (布雷尼察河支流)
Halowe Mistrzostwa Europy w Lekkoatletyce 1975,1975年欧洲室内田径锦标赛
Ochota,奥霍塔区
Redzikowo,雷濟科沃
Marszałek Polski,波蘭元帥
Stal Stalowa Wola,實達斯塔洛瓦沃拉足球會
Metropolis Software,都市软件
Nagroda Muzyczna „Fryderyk”,弗雷德里克音乐奖
Polskie Stronnictwo Ludowe „Piast”,波兰人民党皮亚斯特派
Kołbaskowo,科乌巴斯科沃
Plac Bankowy w Warszawie,银行广场
województwo bielskie,別爾斯科-比亞瓦省
Wolany,沃拉尼
Bystrzyca,貝斯奇察河 (奧得河支流)
Osława,奧斯瓦瓦河
Herb Wrocławia,弗羅茨瓦夫市徽
Uniwersytet Gdański,格但斯克大学
Nowa Sarzyna,新薩日納
Muzeum Kolekcji Jana Pawła II w Warszawie,若望·保祿二世藏品博物館
Diecezja warszawska,華沙路德教區
ulica Marszałkowska w Warszawie,馬薩科斯卡大街
Wilanów,維拉諾夫區
GKS Tychy,GKS蒂黑足球俱樂部
Pionki,皮翁基
Łaskarzew,瓦斯卡熱夫
Województwo słupskie,斯武普斯克省
CCC-Liv,丽芙女子车队
Blachownia,布拉霍夫尼亞
Jezioro Solińskie,索利納湖
Zamek Ostrogskich w Warszawie,奧斯卓斯基宮
PKP Szybka Kolej Miejska w Trójmieście,三聯市快速城市軌道
Morasko,摩拉斯科隕石坑
województwo siedleckie,謝德爾采省
Uniwersytet Mikołaja Kopernika w Toruniu,哥白尼大學
kultura Polski,波蘭文化
Turzonowie,圖盧佐家族
Pałac Krasińskich w Warszawie,克拉辛斯基宮
Zwierzyniec,茲維日涅茨
Tyczyn,蒂琴
Pilawa,皮拉瓦
Nowe Miasto nad Pilicą,皮利察河畔新城
herb Warszawy,華沙市徽
Smęcino,舒曼森
Uniwersytet Ekonomiczny w Krakowie,克拉科夫经济大学
Motława,摩特拉瓦河
Galeria Mokotów,莫科图夫广场
Skawa,斯卡瓦河
Radunia,拉杜尼亞河
Zagórz,扎古日
Tyszowce,蒂紹夫采
Suchedniów,蘇海德紐夫
Polska Agencja Prasowa,波兰通讯社
Stadion GOSiR,格地尼亚体育场
Województwo zielonogórskie,綠山城省
Województwo gdańskie,格但斯克省
bazylika prymasowska Wniebowzięcia Najświętszej Maryi Panny w Gnieźnie,圣母升天圣亚德伯圣殿总主教座堂
bazylika archikatedralna w Gdańsku-Oliwie,天主圣三、圣母玛利亚及圣伯尔纳铎圣殿总主教座堂
Rembertów,倫貝托夫區
Mistrzostwa Świata w Zapasach 1913,1913年世界摔跤锦标赛
Skra Bełchatów,PGE Skra貝烏哈圖夫
Wisła Płock,維斯拉普沃茨克足球會
Uniwersytet Szczeciński,什切青大学
Województwo sieradzkie,謝拉茲省
Województwo skierniewickie,斯凱爾涅維采省
województwo toruńskie,托倫省
Województwo chełmskie,海烏姆省
Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie,克拉科夫音乐学院
Grzechotki,格热霍特基
Kamienna,卡緬納河
Zwoleń,茲沃倫
Unia Demokratyczna,民主联盟
Wisłok,維斯沃克河
Bitwa pod Kuryłówką,库里沃夫卡战役
województwo częstochowskie,琴斯托霍瓦省
Pustków (obóz),党卫队海德拉格训练场
Puszcza Romincka,羅明卡森林
Bazylika Świętej Trójcy w Krakowie,天主圣三圣殿
Polska Lewica,波蘭左派
Targówek,塔尔古韦克区
Ergo Arena,Ergo體育館
Drawa (dopływ Noteci),德拉瓦河 (波蘭)
Grodzisk Mazowiecki Radońska,馬佐夫舍地區格羅濟斯克拉頓車站
Siechnice,謝赫尼采
Drawsko (jezioro),德拉瓦湖
Instytut Spraw Publicznych,公共事务研究所
Toruń Główny,托伦火车总站
rodzimowierstwo słowiańskie,罗德教
Słupia,斯武皮亚河
broń masowego rażenia w Polsce,波蘭與大規模殺傷性武器
Wasilków,瓦西爾庫夫
Rejowiec Fabryczny,雷約維茨法布里奇內
droga ekspresowa S2,S2快速公路
droga ekspresowa S22,S22高速公路
Getto w Kielcach,凯尔采隔都
Kunów,庫努夫湖
Rajgród,拉伊格魯德
Stawiski,斯塔維斯基
Kłodnica,克沃德尼察河
Pałac Mostowskich,莫斯托夫斯基宮
Łosice,沃西采
Marka polska,波兰马克
Reprezentacja Polski U-21 w piłce nożnej,波蘭21歲以下國家足球隊
Dobrodzień,多布羅津
Ożarów Mazowiecki,馬佐夫舍地區奧扎魯夫
Narodowy Instytut Dziedzictwa,国家文化遗产研究院
droga ekspresowa S1,S1快速公路
Muzeum Sztuki Nowoczesnej w Warszawie,華沙摩登藝術博物館
Ner,內爾河 (瓦爾塔河支流)
Katedra Polowa Wojska Polskiego w Warszawie,波蘭軍隊主教座堂
Muzeum Ziemi PAN w Warszawie,地球博物館
Ciołek,喬切克軍徽
Opole Lubelskie,盧布林地區奧波萊
Opactwo Cystersów w Lubiążu,盧比亞茲修道院
Opactwo Cystersów w Mogile,莫吉拉熙笃会修道院
Bitwa pod Warszawą 1944,拉济明战役
Łomianki,沃米安基
Mordy,莫爾迪
Gościno,戈希齊諾
sołectwo,村
Związek Miast Bałtyckich,波罗的海城市联盟
Archidiecezja przemyska,天主教普热梅希尔总教区
Supraśl,蘇普拉希爾
Zabłudów,扎布武杜夫
Wolbrom,沃爾布羅姆
tablice rejestracyjne w Polsce,波蘭車牌
Dobre Miasto,多布雷城
Międzynarodowy Festiwal Sztuki Autorów Zdjęć Filmowych Camerimage,Camerimage電影節
Unia Pracy,勞動聯盟
Polska Organizacja Wojskowa,波蘭軍事組織
Kościoły i inne związki wyznaniowe w Polsce,波兰宗教
Kopalnia Węgla Kamiennego Wujek,乌耶克煤矿
Pieskowa Skała,佩斯科瓦城堡
Drwęca,德爾文察河
Nida,尼達河
Diecezja zielonogórsko-gorzowska,天主教绿山城-戈茹夫教区
Ratusz w Głogówku,格沃古韋克市政廳
Bazylika konkatedralna Wniebowzięcia Najświętszej Maryi Panny w Kołobrzegu,科沃布热格圣母升天圣殿共主教座堂
Medyka,梅迪卡
Nałęczów,納文丘夫
Ustrzyki Dolne,下烏斯奇基
Reda,雷達車站
Lipsk,利普斯克乡
ORP Sęp,秃鹫号潜艇
Tarbut,特巴
Towarzystwo Naukowe Warszawskie,华沙科学学会
Tramwaje w Krakowie,克拉科夫電車
Polska Jest Najważniejsza,波蘭優先黨
Nałęcz,納文奇
Palmiarnia Miejska w Gliwicach,格利維采市植物園
Świsłocz,斯維斯洛奇河
Ożarów,奧扎魯夫
Tarczyn,塔爾琴
Sulechów,苏莱胡夫乡
Radość,拉多希奇
Dylewska Góra,Dylewska Góra
Stadion Dziesięciolecia,十周年紀念體育場
Ratusz Głównego Miasta w Gdańsku,格但斯克主城市政厅
Muzeum Narodowe w Gdańsku,國立格但斯克博物館
Uniwersytet Medyczny w Lublinie,盧布林醫科大學
Stadion Olimpijski we Wrocławiu,赫尔曼·戈林体育场
Politechnika Koszalińska,科沙林理工大学
Sztutowo,施图托沃
Międzynarodowy Konkurs Skrzypcowy im. Henryka Wieniawskiego,維尼奧夫斯基國際小提琴大賽
tramwaje we Wrocławiu,弗羅茨瓦夫電車
Bielany Wrocławskie,比拉尼弗羅茨瓦夫斯基
Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,弗罗茨瓦夫医科大学
Tramwaje w Górnośląsko-Zagłębiowskiej Metropolii,西里西亞市際鐵路
Kolej Górnośląska,上西里西亞鐵路
Krobielowice,克洛比洛维采
Pu29,Pu29型蒸汽机车
Tuchów,圖胡夫
Zawichost,扎維霍斯特
Ryki,雷基
Zakerzonie,外寇松地區
Żyrardów,日拉爾杜夫車站
Dywizjon 303,波兰第303战斗机中队
Dziennik Polska-Europa-Świat,波兰-欧洲-世界日报
Dzierzgoń,傑日貢河
Unia Polityki Realnej,现实政治联盟
trasa europejska E373,欧洲E373公路
Wieprza,維普扎河
Krakowskie Przedmieście w Warszawie,克拉科夫郊区街
Wieża ciśnień przy alei Wiśniowej we Wrocławiu,弗罗茨瓦夫水塔
Elektrownia Kozienice,科傑尼采發電廠
Wieża ratuszowa w Krakowie,市政厅钟楼 (克拉科夫)
Nowogród,諾沃格魯德
PZL-104 Wilga,PZL-104黃鸝
Pałac Paca-Radziwiłłów w Warszawie,帕克宮
Otyń,奥滕乡
Lelów,萊盧夫
Awaryjne lądowanie lotu PLL LOT 016,LOT波蘭航空16號班機事故
Malbork,馬爾堡車站
Województwo tarnowskie,塔尔努夫省
Jasionówka,雅希奥努夫卡
Oświęcim,奧斯威辛鎮
Jezioro Otmuchowskie,奧特穆胡夫湖
Polska na Letnich Igrzyskach Paraolimpijskich 2008,2008年夏季殘奧會波蘭代表團
Łukowica,武科维察乡
Łódź Widzew,羅茲維澤車站
Nikiszowiec,尼基佐維克
Gdańsk Zaspa,格但斯克札斯帕車站
Martwa Wisła,死維斯瓦河
Kopiec Piłsudskiego w Krakowie,毕苏斯基丘
Dukla,杜克拉乡
Uniwersytet Opolski,歐波爾大學
Warsaw Financial Center,華沙金融中心
Jabłonki,雅布沃恩基
Pruszków,普魯斯科夫車站
ulica Świdnicka,希维德尼察街
Drzwi Gnieźnieńskie,格涅兹诺大门
Gwardia Ludowa,人民卫队
Ogorzelec,奥戈热列茨
Grób Nieznanego Żołnierza w Warszawie,华沙无名冢
Grabowa (dopływ Wieprzy),格拉博瓦河
Zakłady Przemysłu Ciągnikowego „Ursus”,乌尔苏斯
Brochów,布羅霍
Dzika Orlica,迪沃卡奧爾利采河
Zamek Książąt Pomorskich w Darłowie,達爾沃沃城堡
Wrocław Brochów,弗罗茨瓦夫Brochów
Piła Główna,皮瓦火车总站
Kliczków,克里采科夫
Baborówko,巴博哈夫科
Związek Harcerstwa Polskiego,波蘭童军和指導協會
Zamek w Niedzicy,涅茲卡城堡
Tczew,特切夫車站
Bełżyce,贝乌日采乡
województwo przemyskie,普热梅希尔省
województwo bydgoskie,比得哥什省
granica polsko-słowacka,波兰-斯洛伐克边界
granica polsko-czeska,捷克共和国-波兰边境
Przedstawiciele Stolicy Apostolskiej w Polsce,教廷驻波兰大使馆
Pasłęka,帕斯文卡河
Gorzów Wielkopolski,大波兰地区戈茹夫车站
Raczki,拉奇基
Planty krakowskie,普蘭提公園
Ostrów Lubelski,盧布林地區奧斯特魯夫
Mogilica (rzeka),莫吉利察河
PlusLiga,波蘭男子排球聯賽
Kraków Główny,克拉科夫火車總站
Ogrodniki,奧格羅尼基
Łemkowszczyzna,蘭基斯奇恩
Niegocin,涅戈欽湖
demografia Polski,波蘭人口
Zbąszynek,兹邦希内克乡
Mogielnica,莫蓋爾尼察
bazylika archikatedralna Świętych Apostołów Piotra i Pawła w Poznaniu,波兹南圣伯多禄圣保禄圣殿总主教座堂
tramwaje w Gdańsku,格但斯克路面電車
archidiecezja gdańska,天主教格但斯克总教区
Trybuna Ludu,人民论坛
Parsęta,帕爾森塔河
Radomiak Radom,拉多米亞克體育會
Kolporter Arena,凱爾采市立體育場
Rzeczpospolita,共和国报
Nowe Brzesko,新布熱斯科
Ambasada Ukrainy w Polsce,烏克蘭駐波蘭大使館
Most Poniatowskiego,波尼亞托夫斯基橋
Pomnik Mikołaja Kopernika w Toruniu,哥白尼纪念碑 (托伦)
Bobowa,博博瓦
Górnośląski Okręg Przemysłowy,上西里西亞工業區
Łaszczów,瓦什丘夫
Wejherowo Nanice,韋伊海羅沃尼采車站
Białystok,比亞維斯托克車站
Gidle,吉德列乡
Parczew,帕爾切夫
Korczyna,科尔奇纳乡
Port lotniczy Gdynia-Kosakowo,格丁尼亞－科薩科沃機場
Przyrów,普什鲁夫
Techland,Techland
getto w Międzyrzecu Podlaskim,缅济热茨隔都
Rawka,拉夫卡河
Uniwersytet Morski w Gdyni,格丁尼亞海事大學
Bledzew,布莱泽夫乡
Lipsko,利普斯科
Terespol,泰雷斯波尔站
Port lotniczy Warszawa-Radom,拉多姆
Wojska Specjalne,波蘭特種部隊
Stadion Miejski w Gliwicach,Piast體育場
polskie listy przebojów,波兰音乐排行榜
Krutynia,克魯蒂尼亞河
Komunistyczna Partia Polski,波兰共产党
Stronnictwo Demokratyczne,民主党
Sobór św. Aleksandra Newskiego w Warszawie,亞歷山大·涅夫斯基主教座堂
Korwin,科温纹章
Dolny Śląsk,下西利西亞
Oksza,斧頭
Bazylika Bożego Ciała w Krakowie,基督圣体圣殿
Radziłów,拉齐乌夫
Trzcianne,特什产内
Zaklików,扎克利库夫乡
Polska Akademia Umiejętności,波蘭學習學院
Czyżew,奇熱夫
Leoncin,萊昂欽
Roczyny,罗辛尼
Międzyrzecz,缅济热奇乡
Wybory parlamentarne w Polsce w 1989 roku,1989年波蘭國會大選
Tuchola,圖霍拉鄉
Łódź Kaliska,羅茲卡利斯卡車站
osiedle,次分区
Resovia Rzeszów,雷索維亞
Santok,桑托克乡
Trzciel,奇切尔乡
Uniwersytet Przyrodniczy w Poznaniu,波兹南生命科学大学
Pałacyk Sikorskiego,西科爾斯基宮
Wadąg,瓦棟格河
Kunice,库尼采乡
Filipów,菲利普夫乡
Michałowo,米哈沃沃
Kamionka,卡缅卡乡
Lotos Petrobaltic,波羅的海石油
Lesko,莱斯科乡
Przecław,普熱茨瓦夫
Ordynariat dla wiernych obrządków wschodnich w Polsce,亞美尼亞禮天主教波蘭教長區
Język ormiańsko-kipczacki,亞美尼亞欽察語
Annopol,安诺波尔乡
Jednostka Wojskowa Formoza,福爾摩沙部隊
Czarny Dunajec,黑杜納耶茨
Raczki,拉奇基乡
Przerośl,普热罗希尔
Park Skaryszewski,斯卡伊茨維斯基公園
Tramwaje w Gorzowie Wielkopolskim,大波蘭地區戈茹夫電車
Osowa Sień,奥索瓦斯恩
Gdańsk Przymorze-Uniwersytet,格但斯克滨海-大学车站
Sieradz,谢拉兹乡
Gdańsk Żabianka-AWFiS,格但斯克札比安卡-AWFiS車站
Zamek w Będzinie,本津城堡
Dubicze Cerkiewne,杜比切-采尔凯夫内乡
Kleszczele,克莱什切莱乡
Narewka,纳雷夫卡乡
Szalejów Górny,萨勒尤夫戈尔尼
Zamek w Golubiu,戈盧布-多布任城堡
Pozdrowienia z Alej Jerozolimskich,华沙人造椰枣树
Tłuszcz,特武什奇車站
Zakład Narodowy im. Ossolińskich,国立奥索林斯基研究所
Kolej Wschodnia,斯塔德勒KISS
Czeremcha,切雷姆哈乡
Białowieża,比亚沃维耶扎乡
Czyże,奇热乡
SkyTaxi,空中的士
Polska Partia Pracy – Sierpień 80,波兰劳动党－80年8月
Ambasada Włoch w Polsce,意大利驻波兰大使馆
Szybka Kolej Regionalna,上西里西亞區域快鐵
Szybka Kolej Miejska w Warszawie,快速城市鐵路
Parlament Rzeczypospolitej Polskiej,波兰议会
Praga-Południe,北普拉格區
Praga-Północ,南普拉格區
Polskie Linie Oceaniczne,波蘭遠洋運輸公司
Oś Saska,萨克森中轴线
Pałac Sobańskich w Warszawie,索班斯基宮
Pałac Branickich w Białymstoku,布蘭尼基宮
Gniezno,格涅茲諾車站
Stadion Ruchu Chorzów,盧什球場
Tychowo,蒂霍沃
Jeleniewo,耶莱涅沃乡
Łowicz Główny,沃维奇火车总站
Sławięcice (Kędzierzyn-Koźle),斯拉文茨
TVP1,波蘭電視台第一台
Bochotnica,波葛列查
Sztabin,什塔宾
Unia Wolności,自由聯盟 (波蘭)
Wiskitki,维斯吉特基乡
Radom,拉多姆車站
Strzyżów,格米納斯特日茹夫
Szypliszki,希普利什基
Pszczew,普什切夫乡
Lębork,倫堡車站
Muzeum Sportu i Turystyki w Warszawie,體育和旅遊博物館
AZS Częstochowa,AZS琴斯托霍瓦
budynek dworca Iława Główna,伊瓦瓦火车总站
Narew,纳雷夫乡
Przeźmierowo,普利澤米爾洛沃
Przekrój,横切面
Ogród Saski w Warszawie,薩克森花園
Prudnik,普魯德尼克河 (奧索布洛加河支流)
Pruchnik,普魯赫尼克
Górzyca,古日察乡
Jezioro Maltańskie,馬爾他湖
Kościół św. Maurycego we Wrocławiu,圣穆里思堂 (弗罗茨瓦夫)
Zielona Góra,綠山城火車總站
Wiżajny,维扎伊内乡
Politechnika Opolska,奥伯莱工业大学
Akademia Techniczno-Humanistyczna w Bielsku-Białej,別爾斯科比亞瓦大學
Zatoka Pucka,普茨克灣
Szypliszki,希普利什基乡
Dubicze Cerkiewne,杜比切-采尔凯夫内
Kościół Najświętszej Marii Panny na Piasku we Wrocławiu,沙地圣母堂
Warszawa Śródmieście,华沙斯罗德米斯切车站
Oława,奧瓦瓦社區
Aleje Jerozolimskie,耶路撒冷大道
Pyry,皮里区
Polska Liga Koszykówki,波兰篮球甲级联赛
Samica Kierska,薩米察凱爾斯卡河
Firlej,菲尔列伊
Krzeszyce,克热希采乡
Elektrociepłownia Kawęczyn,華沙-卡韋津發電廠
Magnuszew,马格努谢夫
Sterdyń,斯特丁乡
Rutka-Tartak,鲁特卡-塔尔塔克乡
podporucznik,少尉
Winnica,温尼察乡
Skwierzyna,斯克维日纳乡
Rzepin,热平乡
Sława,斯瓦瓦乡
Leszno,莱什诺乡
Czarnca,恰尔恩察
Bruśnik,布盧絲尼克 (波蘭)
Gruchawka,搖鈴
Krzywa Wieża w Toruniu,托倫斜塔
Radew,拉代夫河
Świlcza,希维尔查
Rawa Blues Festival,拉瓦藍調音樂節
Przytoczna,普日托奇纳乡
Sanok,萨诺克乡
Ełdyty Wielkie,大埃乌迪蒂
Wizna,维兹纳
Żywiec,日維茨車站
Krzyż Pamiątkowy Monte Cassino,卡西諾山紀念十字勛章
trasa europejska E372,欧洲E372公路
Torzym,托日姆乡
Biuro Bezpieczeństwa Narodowego,波蘭國家安全局
Krzyż Walecznych,英勇十字勋章
Legionowo,萊吉奧諾沃車站
Nowa Sól,新苏尔乡
Biblioteka Śląska,西里西亚图书馆
Śląski Uniwersytet Medyczny w Katowicach,西里西亚医科大学
Muzeum Śląskie w Katowicach,西里西亚博物馆
Słońsk,斯翁斯克乡
Zbrzyca,茲布日察河
Przerośl,普热罗希尔乡
Przełęcz Łupkowska,武普库夫山口
Radymno,拉迪姆诺乡
Milejów,米列尤夫 (卢布林省
Kamieńsk,卡缅斯克乡
Lubniewice,卢布涅维采乡
Kukuryki,库库雷基
Niemysłowice,涅米斯沃维茨
Graniczna Wieś,格拉尼茨纳村
trasa europejska E371,欧洲E371公路
Mistrzostwa Europy w Tenisie Stołowym 2011,2011年歐洲乒乓球錦標賽
Brody,布罗迪乡
Leżajsk,莱扎伊斯克乡
Warszawa Lotnisko Chopina,華沙蕭邦機場車站
Warszawa Stadion,華沙體育場車站
Narol,納羅爾
Baboszewo,巴博谢沃乡
Bakałarzewo,巴卡瓦热沃乡
Chotomów,科托穆夫
Stegny,斯特格尼溜冰場
Mińsk Mazowiecki,馬佐夫舍地區明斯克車站
Rutka-Tartak,鲁特卡-塔尔塔克
Łagów,瓦古夫乡
Wytwórnia Sprzętu Komunikacyjnego "PZL-Świdnik",波兰斯威德尼克直升机公司
Getto będzińskie,本津隔都
Województwo włocławskie,弗沃茨瓦韋克省
Bazylika Narodzenia Najświętszej Maryi Panny w Chełmie,圣母圣诞圣殿 (海乌姆)
Leszno,莱什诺
Warszawa Zachodnia,华沙西站
Teatr Narodowy,國家劇院
Puszcza Kampinoska,坎皮诺斯森林
Raba Wyżna,上拉巴
Rymanów,雷馬努夫
Gdynia Redłowo,格丁尼亞雷德沃沃車站
Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy,比得哥熙音樂學院
Brzeg Dolny,下布热格
Grodków,格罗德库夫乡
Grodzisko Dolne,格洛基什科
Sosnowiec Główny,索斯诺维茨火车总站
Warszawa Rembertów,華沙倫貝托夫車站
Hajnówka,哈伊努夫卡乡
Kutno,库特诺乡
Białowieża,比亞沃維耶扎
Karta Polaka,波兰人证明
Sokoły,索科维
Wąsosz,翁索什
Barwinek,巴维内克
granica polsko-litewska,立陶宛－波蘭邊界
Chełm,海乌姆乡
Chodecz,霍代奇乡
Bolków,博尔库夫乡
Siedlce,謝德爾采車站
Sudety Zachodnie,西苏台德
Bystrzyca Kłodzka,贝斯奇察克沃兹卡乡
Trolejbusy w Gdyni,格丁尼亞無軌電車
Pałac Tyszkiewiczów w Warszawie,蒂什基維奇宮
Mistrzostwa Świata Juniorów Młodszych w Lekkoatletyce 1999,1999年世界少年田径锦标赛
Galewice,加莱维采乡
Dołhobyczów,多乌霍贝丘夫乡
Bitwa pod Radzyminem,拉濟明戰役
Teatr Żydowski w Warszawie,華沙猶太劇院
Wiżajny,维扎伊内
Ziemie Odzyskane,收復的領土
Nagłowice,納果威切
granica polsko-ukraińska,波蘭—烏克蘭邊界
Tramwaje w Toruniu,托倫電車
dorzecze Wisły,维斯瓦河流域
Stadion Miejski w Białymstoku,比亞韋斯托克市立體育場
Biały Dunajec,白杜納耶茨
Rynek Starego Miasta w Warszawie,老城集市广场
Wierzchosławice,小波兰省维尔茨霍斯瓦维采
Kotlina Sandomierska,桑多梅日盆地
Wybory parlamentarne w Polsce w 1991 roku,1991年波蘭國會選舉
Tarnów (stacja kolejowa),塔爾努夫車站
Synagoga w Lesku,萊斯科猶太會堂
Samodzielna Brygada Strzelców Podhalańskich,波兰高地旅
Oświęcim,奧斯威辛車站
Reprezentacja Polski U-17 w piłce nożnej,波蘭17歲以下國家足球隊
Polski Komitet Olimpijski,波蘭奧林匹克委員會
Wałbrzych Główny,瓦乌布日赫火车总站
Zamek w Lublinie,盧布林城堡
Zrzeszenie Wolność i Niezawisłość,自由与独立运动
Mentor Toruń Cup,波蘭托倫盃
Chroberz,赫羅貝日
Sky Tower,天空之塔 (弗羅茨瓦夫)
Synagoga im. Małżonków Nożyków w Warszawie,諾茲克猶太會堂
Olesno,奥莱斯诺乡
Wiar,維戈爾河
Ogród Botaniczny w Krakowie,亞捷隆大學植物園
Powązki,波万茨基
Samodzielna Brygada Strzelców Karpackich,波兰独立喀尔巴阡旅
Uniejów,乌涅尤夫乡
Babimost,巴比莫斯特乡
gmina miejska,市（波兰）
Wola Okrzejska,沃拉奥克热斯卡
Winnica,温尼察
Janów,亚努夫
Wołów,沃武夫乡
województwo krakowskie,克拉科夫省
Pisanka,烏克蘭紕繪蛋
Energetyka jądrowa w Polsce,波兰的核能
Wólka Dobryńska,沃卡-杜博尔斯卡
Drezdenko,德雷兹登科乡
Biała Rawska,比亞瓦拉夫斯卡鄉
Droga Królewska,皇家之路
Katedra św. Mikołaja w Bielsku-Białej,聖尼古拉斯主教座堂
Warszawa Wileńska,華沙維爾紐斯站
Prezes Rady Ministrów,波兰总理
Warszawa Śródmieście WKD,華沙斯羅德米斯切WKD站
Raczki Elbląskie,埃尔布隆格地区拉茨基
Stary Dzików,旧齐库夫
granica polsko-białoruska,白俄羅斯－波蘭邊界
Bitwa pod Grunwaldem,格伦瓦尔德战役
sport w Polsce,波蘭體育
Służew,斯武熱夫站
Bielsko,别尔斯科
Blok Mniejszości Narodowych,少数民族集团
Ministerstwo Obrony Narodowej,波蘭國防部
Wojsko Polskie we Francji (1939–1940),驻法波兰陆军
Kryspinów,克里斯皮诺夫
Berżniki,畢揚尼奇
Kościół Chrześcijan Baptystów w RP,波蘭聯合浸信會
Niezależny Samorządny Związek Zawodowy Rolników Indywidualnych „Solidarność”,团结农会
Collegium Novum Uniwersytetu Jagiellońskiego,新學院 (克拉科夫)
Monaster Zwiastowania Przenajświętszej Bogurodzicy i św. Jana Teologa w Supraślu,苏普拉希尔修道院
Zamek w Krasiczynie,克拉希津城堡
Konsulat Generalny Francji w Krakowie,法国驻克拉科夫总领事馆
Puńsk,朋斯克縣
Pałac Uruskich,烏魯斯基宮
Kancelaria Prezesa Rady Ministrów,波蘭總理的總理府
Łukowica,武科维察
Warszawa Powiśle,華沙波維謝爾車站
Akademia Muzyczna im. Karola Lipińskiego we Wrocławiu,卡羅爾·利平斯基音樂大學
Białorusini w Polsce,波兰的白俄罗斯族
Twierdza Osowiec,奥索维茨要塞
Warszawa Wschodnia,華沙東站
Katastrofa lotnicza w Lesie Kabackim,LOT波蘭航空5055號班機空難
Bitwa pod Łomżą,沃姆扎戰役
Inwałd,因瓦烏德
Teatr Polski w Poznaniu,波兰剧院
Kłodzko Główne,克沃茲科火车总站
Stadion Miejski w Bielsku-Białej,别尔斯科-比亚瓦体育场
Opera Krakowska,克拉科夫歌剧院
liceum ogólnokształcące,高级中学
Częstochowa,琴斯托霍瓦車站
Ostrów Tumski we Wrocławiu,弗罗茨瓦夫座堂岛
Daleszyce,達萊希采
Hala Torwar,托瓦尔中央体育中心
Warszawa Choszczówka,華沙丘茨沃卡車站
Cmentarz Wojskowy na Powązkach,波瓦茨基軍人公墓
1 Armia Wojska Polskiego,波蘭第一軍團
Kolej Warszawsko-Terespolska,華沙 - 特雷斯波爾鐵路
Muzeum Archeologiczne w Krakowie,克拉科夫考古博物馆
Rumia,魯米亞車站
linia kolejowa nr 1,波兰铁路1号线
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2014,2014年世界男子排球锦标赛
Wybory parlamentarne w Polsce w 1935 roku,1935年波兰立法选举
Wybory parlamentarne w Polsce w 1961 roku,1961年波兰议会选举
Sochocin,索霍钦
Wyry,維雷
Krzyż i Medal Niepodległości,独立十字勋章
36 Specjalny Pułk Lotnictwa Transportowego,第36特别航空团
Wieniawa,維尼亞瓦
Bitwa pod Wołyniem,布格河战役
Wybory parlamentarne w Polsce w 1957 roku,1957年波兰立法选举
Warsaw Cup,華沙杯
Jezioro Drwęckie,德爾文察湖
Dworzec Gdański,格但斯克站
Wilanowska,維拉諾夫站
Spytkowice,史比高維茲
Zagnańsk,扎格南斯克
Twierdza Zamość,扎莫希奇要塞
Muzeum Narodowe w Szczecinie,國立斯塞新博物館
Bnin,布寧
Międzynarodowy Festiwal Kina Niezależnego PKO Off Camera,國際獨立影院節畫外獎
1 Warszawska Dywizja Piechoty,波兰第1塔德乌什·柯斯丘什科步兵师
2 Warszawska Dywizja Piechoty,波蘭第2華沙步兵師
Chełmno,内尔河畔海乌姆诺
Wybory do Sejmu Ustawodawczego w 1947 roku,1947年波兰立法选举
Wilga,维尔加
polski wkład w II wojnę światową,波兰对第二次世界大战的贡献
Wejherowo,韋伊海羅沃車站
Reprezentacja Polski U-19 w piłce nożnej,波蘭U19
Zjednoczone Stronnictwo Ludowe,人民聯合黨 (波蘭)
Sopot Kamienny Potok,索波特卡米尼波托克車站
Fabryka Broni Łucznik,阿切爾武器工廠
