곡산군,谷山郡
마식령,馬息嶺
명사십리,明沙十里
명천역,明川站
무산역,茂山站
배천역,白川站
백금산역,白金山站
베개봉역,枕峰站
벽성역,碧城站
복계역,福溪站
부전강,赴戰江
부포역,釜浦站
청산리방법,青山里方式
청년전위,青年前衛
마평선,马坪线
룡암선,龙岩线
조선민주주의인민공화국 주석,朝鲜民主主义人民共和国主席
평성역,平城站
오만동역,烏蔓洞站
제9군단,朝鲜人民军第9军
강건종합군관학교,姜健军官综合学校
조선민주주의인민공화국 수도건설위원회,朝鮮民主主義人民共和國首都建設委員會
신전역,新田站 (咸鏡北道)
제로코비드,清零政策
동,洞 (行政区划)
화성구역,和盛区域
청산리협동농장,靑山里 協同農場
낙동강,洛東江
문수거리,纹绣街
아시아의 코로나19 범유행,2019冠状病毒病亚洲疫情
조선민주주의인민공화국의 코로나바이러스감염증-19 범유행,2019冠狀病毒病朝鮮疫情
함지원역,咸地院站
경흥역,慶興站
동흥역,東興站
송하역,松下站 (咸鏡南道)
흥덕역,興德站
선봉체육단,先鋒體育團
한중 해저 터널,中韩海底隧道
2.8비날론련합기업소,一座大型的维尼纶复合化工厂
공민증,公民证
목란비데오,木蘭影片
식수절,植樹節
청주 전투,定州戰役
청춘거리,青春街
락원거리,乐园街
청년거리,青年街
장진읍,长津邑
조선의 출판물,朝鲜的出版物
백운역,白雲站
팔영역,八营站
방현역,方岘站
대장역,大将站
코로나바이러스감염증-19 유행,2019冠狀病毒病疫情
연탄호,燕灘湖
인민극장,人民劇場
신의주 원형아파트,“一心团结”楼
대동강려관,大同江旅馆
평양기계대학,平壤机械大学
영흥 아파트,龍興洞公寓
대성산아이스크림공장,大城山冰淇淋厂
조선영화수출입사,朝鲜电影进出口公
평양미술대학,平壤美术大学
훤화역,萱花站
외국어서점,外文书店
보통강강안다락식주택구,普通江江岸阶梯式住宅区
말전,末箭
영수역,永綏站
도내역,岛内站 (两江道)
해방산려관,解放山旅館
2017년 8월 29일 조선민주주의인민공화국 미사일 발사,2017年8月29日北韓導彈試驗
2017년 조선민주주의인민공화국 핵 실험,2017年朝鲜核试验
2018년 동계 올림픽 조선민주주의인민공화국 선수단,2018年冬季奥林匹克运动会朝鲜代表团
목란광명회사,木兰光明会社
모학선,慕鶴線
2018년 조선민주주의인민공화국,2018年朝鲜
평양속도,平壤速度
조선료리협회,朝鮮烹飪協會
김군옥영웅함,金君玉英雄号潜艇
경현서원,景賢書院
미카 3형 증기 기관차,朝鲜总督府铁道Mikasa型蒸汽机车
차가평역,車家坪站
파시 4형 증기 기관차,朝鲜总督府铁道Pashishi型蒸汽机车
국가관광총국,旅游总局
미카 4형 증기 기관차,朝鲜总督府铁道Mikashi型蒸汽机车
미카 2형 증기 기관차,朝鲜总督府铁道Mikani型蒸汽机车
미카 1형 증기 기관차,朝鲜总督府铁道Mikai型蒸汽机车
파시 3형 증기 기관차,鲜铁Pasisŏ型机车
스위스-조선민주주의인민공화국 관계,朝鮮－瑞士關係
김일성고급당학교,金日成高級黨校
목란관,木蘭館
2018년 아시안 게임 남북 단일 선수단,2018年亚洲运动会朝韩联队
주청진 중국 총영사관,中华人民共和国驻清津总领事馆
선군의 기치를 더 높이 추켜들고 최후승리를 향하여 힘차게 싸워나가자,更高地举起先军旗帜为争取最后胜利奋勇前进
려명체육단,黎明體育團
백화원 영빈관,百花園迎賓館
류경동,柳京洞
황해북도예술극장,黃海北道藝術劇場
려도,麗島
모학역,慕鶴站
제14기 최고인민회의 대의원 선거,2019年朝鮮民主主義人民共和國最高人民會議選舉
조선로동당 선전선동부,朝鲜劳动党中央委员会宣传鼓动部
2018년 1차 남북정상회담,2018年4月朝韩首脑会晤
2018년 조선민주주의인민공화국 버스 사고,2018年朝鲜大巴车祸
통일각,統一閣
조선민주주의인민공화국의 국가 원수 부인,朝鮮民主主義人民共和國第一夫人
병진,并进
2018년 2차 남북정상회담,2018年5月朝韩首脑会晤
판문각,板門閣
북미정상회담,朝美峰會
종다리,雲雀
2019년 조선민주주의인민공화국,2019年朝鲜
양지역,陽地站 (咸鏡南道)
대동강수산물식당,大同江水产品餐馆
평양직할시의 마천루 목록,平壤摩天大樓列表
주 복한 인도네시아 대사관,印度尼西亞駐朝鮮大使館
