"Достоевский, Фёдор Михайлович",표도르 도스토옙스키
"Касперская, Наталья Ивановна",나탈리아 카스퍼스키
"Некрасов, Сергей Владимирович",세르게이 네크라소프
"Тагава, Кэри-Хироюки",케리히로유키 다가와
"Лазарев, Сергей Вячеславович",세르게이 라자레프
"Крючков, Владимир Александрович",블라디미르 크류치코프
"Воронин, Лев Геннадиевич",레프 보로닌 (핸드볼 선수)
"Филиппов, Дмитрий Рудольфович",드미트리 필리포프 (핸드볼 선수)
"Хаджибеков, Артём Александрович",아르툠 하지베코프
"Дацюк, Павел Валерьевич",파벨 다추크
"Неструев, Михаил Валерьевич",미하일 네스트루예프
"Садовская, Татьяна Кирилловна",타티야나 사돕스카야
"Канайкин, Владимир Алексеевич",블라디미르 카나이킨
"Набоков, Евгений Викторович",예브게니 나보코프
"Песьяков, Сергей Александрович",세르게이 페시야코프
"Тихонов, Виктор Васильевич",빅토르 티호노프 (1930년)
"Филипенко, Егор Всеволодович",예고르 필리펜코
"Кульчий, Александр Николаевич",알략산드르 쿨치
"Куренцов, Виктор Григорьевич",빅토르 쿠렌초프
"Траньков, Максим Леонидович",막심 트란코프
"Антюфеев, Владимир Юрьевич",블라디미르 안튜페예프
"Красносельский, Вадим Николаевич",바딤 크라스노셀스키
"Иванова, Наталья Николаевна (тхэквондистка)",나탈리야 이바노바 (태권도 선수)
"Елистратов, Семён Андреевич",세묜 옐리스트라토프
"Бережная, Елена Викторовна",옐레나 베레즈나야
"Вилухина, Ольга Геннадьевна",올가 빌루히나
"Падерина, Наталья Фёдоровна",나탈리야 파데리나
"Шатов, Олег Александрович",올레크 샤토프
"Гришаева, Нонна Валентиновна",논나 그리샤예바
"Абрамова, Татьяна Альбертовна",타티야나 아브라모바
"Максимов, Владимир Салманович",블라디미르 막시모프 (핸드볼 선수)
"Логунова, Татьяна Юрьевна",타티야나 로구노바
"Абальян, Борис Георгиевич",보리스 아발리얀
"Ведерников, Александр Александрович",알렉산드르 베데르니코프
"Фаткулина, Ольга Александровна",올가 팟쿨리나
"Абдулбеков, Загалав Абдулбекович",자갈라프 아브둘베코프
"Дворцевой, Сергей Владимирович",세르게이 드보르체보이
"Орджоникидзе, Сергей Александрович",세르게이 오르조니키제
"Баскова, Светлана Юрьевна",스베틀라나 바스코바
"Агашков, Сергей Николаевич",세르게이 아가시코프
"Нурмагомедов, Хабиб Абдулманапович",하비프 누르마고메도프
"Калашников, Виктор Михайлович",빅토르 칼라시니코프
"Агуреева, Полина Владимировна",폴리나 아구레예바
"Алибасов, Бари Каримович",바리 알리바소프
"Габулов, Георгий Борисович",게오르기 가불로프
"Бибилов, Анатолий Ильич",아나톨리 비빌로프
"Таянович, Вениамин Игоревич",베니아민 타야노비치
"Невзоров, Владимир Михайлович",블라디미르 네브조로프
"Шеремет, Павел Григорьевич",파벨 샤라메트
"Кержаков, Михаил Анатольевич",미하일 케르자코프
"Ходьков, Олег Валерьевич",올레크 호디코프
"Сукосян, Павел Алексеевич",파벨 수코샨
"Литвинова, Рената Муратовна",레나타 리트비노바
"Кокорев, Борис Борисович",보리스 코코레프
"Бондарев, Виктор Николаевич",빅토르 본다레프
"Гусева, Екатерина Константиновна",예카테리나 구세바
"Ещенко, Андрей Олегович",안드레이 예셴코
"Хотиненко, Владимир Иванович",블라디미르 호티넨코
"Арзамасова, Елизавета Николаевна",리자 아르자마소바
"Антонов, Анатолий Иванович (дипломат)",아나톨리 안토노프
"Бочаров, Никита Владимирович",니키타 보차로프
"Мартынович, Александр Владимирович",알략산드르 마르티노비치
"Нифонтов, Иван Витальевич",이반 니폰토프
"Овчинников, Сергей Анатольевич (тренер)",세르게이 옵친니코프 (배구인)
"Брулетова, Любовь Александровна",류보비 브룰레토바
"Карпович, Мирослава Олеговна",미로슬라바 카르포비치
"Гарипова, Дина Фагимовна",디나 가리포바
"Шапошников, Евгений Иванович",예브게니 샤포시니코프
"Уфимцев, Пётр Яковлевич",표트르 우핌체프
"Баширов, Александр Николаевич",알렉산드르 바시로프
"Васильев, Владимир Абдуалиевич",블라디미르 바실리예프
"Козлова, Мария Владимировна",마리야 코즐로바
"Авен, Пётр Олегович",페트르 아벤
"Китаев, Алексей Юрьевич",알렉세이 키타예프
"Трифонов, Даниил Олегович",다닐 트리포노프
"Васильева, Татьяна Григорьевна",타티야나 바실리예바
"Брызгалов, Сергей Владимирович",세르게이 브리즈갈로프
"Снигирь, Юлия Викторовна",율리야 스니기리
"Купченко, Ирина Петровна",이리나 쿱첸코
Мэджик (Marvel Comics),매직 (마블 코믹스)
"Соболев, Алексей Александрович",알렉세이 소볼레프
"Редникова, Екатерина Валерьевна",예카테리나 레드니코바
"Ашманов, Игорь Станиславович",이고리 아시마노프
"Венгеров, Геннадий Аронович",겐나디 벤게로브
"Бабенко, Алёна Олеговна",알료나 바벤코
"Бетова, Маргарита Меликовна",마르가리타 가스파랸
"Глушенко, Евгения Константиновна",예브게니야 글루셴코
"Внуков, Константин Васильевич",콘스탄틴 브누코프
"Данилова, Елена Юрьевна",옐레나 다닐로바
"Блантер, Ярослав Михайлович",야로슬라프 블란테르
"Дворников, Александр Владимирович",알렉산드르 드보르니코프
"Екамасова, Дарья Николаевна",다리야 예카마소바
"Еприкян, Наталья Андреевна",나탈리야 예프리캰
"Воронин, Александр Никифорович",알렉산드르 보로닌
"Ерёмин, Олег Адольфович",올레그 에레민
Джиган,지간
"Иванова, Светлана Андреевна",스베틀라나 이바노바
"Жукова, Дарья Александровна",다샤 주코바
"Иванова, Лина Игоревна",리나 이바노바
"Денисов, Андрей Иванович (дипломат)",안드레이 데니소프
"Гагарина, Полина Сергеевна",폴리나 가가리나
"Граф, Ольга Борисовна",올가 그라프
"Добронравов, Виктор Фёдорович",빅토르 도브론라보프
"Идову, Брайан",브라이언 이도우
"Дмитриева, Оксана Генриховна",옥사나 드미트리예바
"Ильин, Владимир Адольфович",블라디미르 일린
"Карсаков, Дмитрий Борисович",드미트리 카르자코프
"Исакова, Виктория Евгеньевна",빅토리야 이사코바
"Грушин, Пётр Дмитриевич",피터 그루신
"Кацаев, Адлан Зелимханович",아들란 카차예프
"Дужников, Станислав Михайлович",스타니슬라프 두즈니코프
"Киселёв, Дмитрий Константинович",드미트리 키셀료프 (언론인)
"Каган, Моисей Самойлович",모이세이 카간
"Каюмов, Альмир Измайлович",알미르 카유모프
"Константинов, Владимир Андреевич",블라디미르 콘스탄티노프 (정치인)
"Исьянов, Равиль Ахмедуллович",레이빌 이시아노브
"Коренев, Владимир Борисович",블라디미르 코레네프
"Корнуков, Анатолий Михайлович",아나톨리 코르누코프
"Клячкин, Евгений Исаакович",이브제니 클리아킨
"Кожникова, Анна Сергеевна",안나 코즈니코바
"Куликов, Анатолий Сергеевич",아나톨리 쿨리코프
"Карасёв, Сергей Геннадьевич",세르게이 카라쇼프 (축구 심판)
"Мадуев, Сергей Александрович",세르게이 마두예프
"Мавлянова, Ханифа Мухиддиновна",하니파 마블랴노바
"Куркова, Равшана Бахрамовна",랍샤나 쿠르코바
"Львов-Анохин, Борис Александрович",보리스 르보프-아노킨
"Костюшкин, Стас",스타니슬라프 코스튜시킨
"Лядова, Елена Игоревна",옐레나 랴도바
"Кэптукэ, Галина Ивановна",갈리나 바를라모바
"Курцын, Роман Дмитриевич",로만 쿠르친
"Кутепов, Илья Олегович",일리야 쿠테포프
"Колокольников, Юрий Андреевич",유리 콜로콜니코프
"Крюков, Константин Витальевич",콘스탄틴 크류코프
"Кузнецов, Александр Константинович",알렉산드르 쿠즈네초프 (1959년)
"Муцениеце, Агата Эдгаровна",아가테 무체니에체
"Лазарев, Евгений Николаевич",예브게니 라자레프
"Мамедалиев, Гейдар Нураддин оглы",게이다르 마메달리예프
"Маркина, Надежда Константиновна",나데즈다 마르키나
"Кузнецова, Агния Евгеньевна",아그니야 쿠즈네초바
"Невский, Александр Александрович",알렉산드르 넵스키 (배우)
"Полуян, Алексей Владимирович",알렉세이 폴루얀
"Михалкова, Анна Никитична",안나 미할코바
"Пономарёв, Илья Владимирович",일리야 포노마료프
"Пегова, Ирина Сергеевна",이리나 페고바
"Мишустин, Михаил Владимирович",미하일 미슈스틴
"Пархоменко, Сергей Борисович",세르게이 파르호멘코
"Липницкая, Юлия Вячеславовна",율리야 리프니츠카야
"Мороз, Дарья Юрьевна",다리야 모로스
"Пересильд, Юлия Сергеевна",율리야 페레실트
"Ротенберг, Аркадий Романович",아르카디 로텐베르크
"Лихачёв, Василий Николаевич",바슬리 리카쵸프
"Литвинович, Марина Алексеевна",마리나 리트비노비치
"Овчинникова, Александра Яковлевна",알렉산드라 옵친니코바
"Морозова, Елена Игоревна",옐레나 모로조바
"Пикайзен, Виктор Александрович",빅토르 피카이젠
"Носов, Дмитрий Юрьевич",드미트리 노소프
"Песков, Дмитрий Сергеевич",드미트리 페스코프
"Пехтин, Владимир Алексеевич",블라디미르 페흐틴
"Пустовойтова, Анастасия Вячеславовна",아나스타시야 푸스토보이토바
"Петренко, Игорь Петрович",이고리 페트렌코
"Оболдина, Инга Петровна",잉가 스트렐코바오볼디나
"Руденко, Анатолий Кириллович",아나톨리 루덴코
"Умаханов, Мурад Мустафаевич",무라트 우마하노프
"Симоньян, Маргарита Симоновна",마르가리타 시모냔
"Пирогов, Кирилл Альфредович",키릴 피로고프
"Плотников, Борис Григорьевич",보리스 플로트니코프
"Плучек, Валентин Николаевич",발렌틴 플루체크
"Подкаминская, Елена Ильинична",옐레나 포드카민스카야
"Рябков, Сергей Алексеевич",세르게이 럅코프
"Симонов, Евгений Рубенович",예브게니 시모노프
"Сагалова, Дарья Дмитриевна",다리야 사갈로바
"Ребенок, Александра Вячеславовна",알렉산드라 레베노크
"Ребров, Артём Геннадьевич",아르툠 레브로프
"Сайко, Наталья Петровна",나탈리야 사이코
"Подшивалов, Александр Викторович",알렉산드르 폿시발로프
"Суханов, Максим Александрович",막심 수하노프
"Устинова, Светлана Владимировна",스페틀라나 유스티노바
"Усатова, Нина Николаевна",니나 우사토바
"Цыпленков, Денис Иванович",데니스 시플렌코프
"Тодуа, Эльвира Зурабовна",옐비라 토두아
"Федотов, Виктор Андреевич",빅토르 페도토프
"Федькин, Юрий Николаевич",유리 페디킨
"Тихомиров, Игорь Рувимович",이고리 티호미로프
"Соловьёв, Иван Владимирович (футболист)",이반 솔로비요프 (축구 선수)
"Чиповская, Анна Борисовна",안나 치폽스카야
"Фонда, Ольга",올가 폰다
"Фомина, Елена Александровна",옐레나 포미나
"Семёнов, Андрей Сергеевич",안드레이 세묘노프
"Троянова, Яна Александровна",야나 트로야노바
"Сочнева, Екатерина Александровна",예카테리나 소치네바
"Спивак, Марьяна Тимофеевна",마리야나 스피바크
"Фёдоров, Олег Павлович",올리거 페도로
"Фёдоров, Пётр Петрович",표트르 표도로프
Тутта Ларсен,투타 라르센
"Хайруллина, Роза Вакильевна",로자 하이룰리나
"Стёпушкин, Геннадий Николаевич",겐나디 스툐푸시킨
"Стырикович, Михаил Адольфович",미하일 스티리코비치
"Шалаева, Мария Александровна",마리야 샬라예바
"Шпица, Екатерина Анатольевна",카테리나 시피차
"Шведов, Денис Эдуардович",데니스 시베도프
"Кузяев, Далер Адьямович",달레르 쿠자예프
"Шарко, Зинаида Максимовна",지나이다 샤르코
"Новосельцев, Иван Евгеньевич",이반 노보셀체프
"Студилина, Янина Сергеевна",야니나 스투딜리나
"Хинштейн, Александр Евсеевич",알렉산드르 힌시테인
"Шукшина, Мария Васильевна",마리아 슈크시나
"Щиголев, Алексей Николаевич",알렉세이 쉬골레프
"Акатьев, Алексей Николаевич",알렉세이 아카티예프
"Шикшина, Светлана Валерьевна",스베틀라나 식시나
Данг Ван Лам,당반럼
"Стёпкин, Юрий Викторович",유리 스툡킨
"Самойлова, Юлия Олеговна",율리야 사모일로바
"Вараксин, Кирилл Александрович",키릴 바락신
"Тутберидзе, Этери Георгиевна",예테리 투트베리제
"Ясулович, Игорь Николаевич",이고리 야술로비치
"Яценко, Александр Викторович",알렉산드르 야첸코
"Заболотный, Антон Константинович",안톤 자볼로트니
"Соловьёв, Михаил Николаевич (футболист)",미하일 솔로비요프 (축구인)
"Миранчук, Алексей Андреевич",알렉세이 미란추크
"Коляда, Михаил Сергеевич",미하일 콜랴다
"Матвиенко, Игорь Григорьевич",이호르 마트비옌코
"Мудранов, Беслан Заудинович",베슬란 무드라노프
"Олюнин, Николай Игоревич",니콜라이 올류닌
"Царнаев, Тамерлан Анзорович",타메를란 차르나예프
"Жиров, Евгений Николаевич",예브게니 지로프
"Бабурин, Егор Константинович",예고르 바부린
"Газинский, Юрий Александрович",유리 가진스키
"Гедуев, Аниуар Борисович",아니우아르 게두예프
"Ганиева, Зиба Паша кызы",지바 가니예바
"Давыдов, Денис Алексеевич",데니스 다비도프 (축구 선수)
"Востросаблин, Борис Александрович",보리스 보스트로사블린
"Лодыгин, Юрий Владимирович",유리 로디긴
"Митрюшкин, Антон Владимирович",안톤 미트류시킨
"Бурдин, Сергей Николаевич",세르게이 부르딘
"Головин, Александр Сергеевич (футболист)",알렉산드르 골로빈
"Судариков, Алексей Александрович",알렉세이 수다리코프
"Нисияма, Сокити",니시야마 소키치
"Васьянов, Роман Сергеевич",로만 바시야노프
"Карлов, Андрей Геннадьевич",안드레이 카를로프
"Тищенко, Евгений Андреевич",예브게니 티셴코
"Сноуден, Эдвард",에드워드 스노든
"Титова, Мария Павловна",마리야 티토바
"Стрелков, Игорь Иванович",이고리 기르킨
"Рамонов, Сослан Людвикович",소슬란 라모노프
"Бутерин, Виталик",비탈릭 부테린
"Ведерников, Анатолий Иванович",아나톨리 베데르니코프
"Кудрявцева, Яна Алексеевна",야나 쿠드럅체바
"Пушилин, Денис Владимирович",데니스 푸실린
"Мамун, Маргарита",마르가리타 마문
"Ахмеднабиев, Ахмеднаби Омардибирович",아흐메드나비 아흐메드나비예프
"Хачанов, Карен Абгарович",카렌 하차노프
"Солдатова, Александра Сергеевна",알렉산드라 솔다토바
"Сергеева, Надежда Викторовна",나데즈다 세르게예바 (봅슬레이 선수)
"Медведева, Евгения Армановна",예브게니야 메드베데바
"Сватковская, Дарья Дмитриевна",다리야 스밧콥스카야
"Могилевец, Павел Сергеевич",파벨 모길레베츠
"Березовский, Денис Валентинович",데니스 베레좁스키
"Айо, Бенес Христоферович",아이조 베네스
Малком (футболист),마우콩
"Арутюнян, Мигран Эдикович",미흐란 하루튜냔
"Аксёнов, Сергей Валерьевич",세르게이 악쇼노프
"Трегубов, Никита Михайлович",니키타 트레구보프
"Поклонская, Наталья Владимировна",나탈리야 포클론스카야
"Бородай, Александр Юрьевич",알렉산드르 보로다이
"Шейдаев, Рамиль Теймурович",라밀 셰이다예프
"Губарев, Павел Юрьевич",파벨 구바레프
"Попков, Михаил Викторович",미하일 폽코프
"Третиков, Лайла",라일라 트레티코프
"Ким, Марина Евгеньевна",마리나 김
"Андреева, Паулина Олеговна",폴리나 안드레예바
"Рублёв, Андрей Андреевич",안드레이 루블료프 (테니스 선수)
"Садулаев, Абдулрашид Булачевич",아브둘라시트 사둘라예프
"Лусс, Саша",사샤 루스
"Сафин, Тимур Марселевич",티무르 사핀
"Ахметов, Ильзат Тоглокович",일자트 아흐메토프
"Тимонин, Александр Андреевич",알렉산드르 티모닌
"Ларин, Владислав Владимирович",블라디슬라프 라린
"Соловкин, Станислав Александрович",스타니슬라프 솔롭킨
"Вороненков, Денис Николаевич",데니스 보로넨코프
"Пименова, Кристина Руслановна",크리스티나 피메노바
"Халмурзаев, Хасан Магометович",하산 할무르자예프
"Бортич, Александра Николаевна",알렉산드라 보르티치
"Алексеенко, Кирилл Алексеевич",키릴 알렉센코
"Шикшин, Илья Валерьевич",일리야 식신
"Мацегора, Александр Иванович",알렉산드르 마체고라
"Чакветадзе, Давит Гочаевич",다비트 차크베타제
"Мкртчян, Маргарита Гегамовна",마르가리타 므크르찬
"Захарова, Мария Владимировна",마리야 자하로바
"Пригожин, Евгений Викторович",예브게니 프리고진
"Семёнов, Сергей Викторович",세르게이 세묘노프 (레슬링 선수)
"Рашидов, Гаджимурад Газигандович",가지무라트 라시도프
"Аввакумова, Екатерина Сергеевна",예카테리나 아바쿠모바
"Дашидоржиева, Туяна Норполовна",투야나 다시도르지예바
"Бида, Сергей Олегович",세르게이 비다
"Ондуа, Гаэль",가엘 온두아
"Сидоркина, Вита",비타 시도르키나
"Григорьева, Екатерина Сергеевна",케이트 그리고리예바
"Чаруша, Дарья Борисовна",다샤 차루샤
"Абакарова, Патимат Серажутдиновна",파티마트 아바카로바
"Николаев, Сергей Николаевич (футболист)",세르게이 니콜라예프
Настя Стен,나스탸 스텐
"Кауфман, Валерия",발레리 카우프만
"Костов, Кристиан",크리스티안 코스토프
"Родченков, Григорий Михайлович",그리고리 롯첸코프
"Страхов, Дмитрий Владимирович",드미트리 스트라호프
"Лазарева, Анна Николаевна",안나 라자레바
"Арутюнян, Арцвик Бориковна",아르츠비크
"Минина, Татьяна Алексеевна",타티야나 미니나
"Найшуллер, Илья Викторович",일리야 나이슐레르
"Терентьева, Наталья Михайловна",나탈리야 네프랴예바
"Евлоев, Муса Гиланиевич",무사 예블로예프
"Миранчук, Антон Андреевич",안톤 미란추크
"Загитова, Алина Ильназовна",알리나 자기토바
"Карпова, Надежда Алексеевна",나데즈다 카르포바
"Дадин, Ильдар Ильдусович",일다르 다딘
"Горбачёва, Ирина Анатольевна",이리나 고르바초바
"Емелин, Сергей Александрович",세르게이 예멜린 (레슬링 선수)
"Хаджиев, Зелимхан",젤림칸 카지에브
"Башаев, Тамерлан Таусович",타메를란 바샤예프
"Янковский, Иван Филиппович",이반 얀콥스키
"Александровская, Екатерина Дмитриевна",예카테리나 알렉산드롭스카야
"Шишкин, Дмитрий Игоревич",드미트리 쉬스킨
"Большунов, Александр Александрович",알렉산드르 볼슈노프
"Сидаков, Заурбек Казбекович",자우르베크 시다코프
"Щербакова, Анна Станиславовна",안나 셰르바코바
"Евгеньев, Роман Алексеевич",로만 예브게니예프
"Трусова, Александра Вячеславовна",알렉산드라 트루소바
"Стародубец, Александр Александрович",알렉산드르 스타로두베츠
"Грикайте, Кристина",크리스 그리카이테
"Швыткин, Юрий Николаевич",유리 시빗킨
"Храмцов, Максим Сергеевич",막심 흐람초프
"Данилова, Ангелина Сергеевна",안젤리나 다닐로바
"Пасечник, Леонид Иванович",레오니트 파세치니크
"Артамонов, Михаил Владимирович",미하일 아르타모노프 (태권도 선수)
Манижа,마니자 (가수)
"Аюшеева, Бадма-Ханда",바드마한다 아유셰예바
"Зак, Анна",안나 자크
"Угуев, Заур Ризванович",자우르 우구예프
"Грудинин, Павел Николаевич",파벨 그루디닌
"Самсонов, Екатерина",예카테리나 삼소노프
"Ханагян, Севак Тигранович",세바크 카나갼
"Косторная, Алёна Сергеевна",알료나 코스토르나야
"Жидко, Геннадий Валериевич",겐나디 짓코
"Фаткуллин, Фархад Наилевич",파르하트 팟쿨린
"Уткин, Дмитрий Валерьевич",드미트리 웃킨
"Кулик, Андрей Борисович",안드레이 쿨리크
"Ильясов, Нияз Анварович",니야스 일리야소프
"Галашина, Анастасия Валерьевна",아나스타시야 갈라시나
"Онейогоу, Грета",그레타 오니에오고우
"Ян, Пётр Евгеньевич",페트르 얀
"Полячихина, Юлия Сергеевна",율리야 폴리야치키나
"Позднякова, София Станиславовна",소피야 포즈드냐코바
"Найфонов, Артур Эдикович",아르투르 나이포노프
"Ефлов, Борис Александрович",보리스 예플로프
"Валиева, Камила Валерьевна",카밀라 발리예바
"Кузнецов, Александр Александрович (актёр, 1992)",알렉산드르 쿠즈네초프 (1992년)
Лайк Настя,Like Nastya
"Драгунов, Илья",일리야 드라구노프
"Хромых, Майя Владиславовна",마야 크로미크
Лия Сильвер,리야 실버
"Осипова, Елена Александровна",옐레나 오시포바 (양궁 선수)
"Ивлиев, Константин Алексеевич",콘스탄틴 이블리예프
"Батыргазиев, Альберт Ханбулатович",알베르트 바티르가지예프
"Волошинов, Виталий Борисович",비탈리 볼로시노프
"Захарян, Арсен Норайрович",아르센 자하랸
"Куляк, Иван Витальевич",이반 쿨랴크
"Львова-Белова, Мария Алексеевна",마리야 리보바벨로바
"Бородачёв, Кирилл Викторович",키릴 보로다초프
"Овсянникова, Марина Владимировна",마리나 옵샨니코바
"Дугина, Дарья Александровна",다리야 두기나
