François Hollande,フランソワ・オランド
Antoine de Vaudémont,アントワーヌ・(ヴォーデモン伯)
Jean Ier de Lorraine,ジャン1世・(ロレーヌ公)
René Barjavel,ルネ・バルジャベル
Mathieu de Foix-Castelbon,マチュー・(フォワ伯)
Gaston Defferre,ガストン・ドフェール
Ernest Bour,エルネスト・ブール
Pierre Lepautre (1659-1744),ピエール・ルポートル・(彫刻家)
Fernand Lamaze,フェルナン・ラマーズ
Dieudonné Costes,デュドネ・コスト
Louis Charles César Le Tellier,ルイ・シャルル・セザール・ル・テリエ
Kenny Elissonde,ケニー・エリソンド
Nicolas Sanson (cartographe),ニコラ・サンソン
Gabriel Yared,ガブリエル・ヤレド
Robert d'Orléans,ロベール・ドルレアン・(シャルトル公)
Jérôme Pineau,ジェローム・ピノー
Andreï Volkonski,アンドレイ・ヴォルコンスキー
Biréli Lagrène,ビレリ・ラグレーン
Brice Hortefeux,ブリス・オルトフー
Rachid Taha,ラシッド・タハ
Sylvain Calzati,シルヴァン・カルザティ
Jules Bastien-Lepage,ジュール・バスティアン＝ルパージュ
Jacques Clément,ジャック・クレマン
Jean-Baptiste Regnault,ジャン＝バプティスト・ルニョー
Séverine,セヴリーヌ
Julien Duvivier,ジュリアン・デュヴィヴィエ
Musidora (actrice),ミュジドラ
François de Neufville de Villeroy,フランソワ・ド・ヌフヴィル・(ヴィルロワ公)
Louis II d'Anjou,ルイ2世・ダンジュー
Louis-Joseph de Montcalm,ルイ＝ジョゼフ・ド・モンカルム
Igor Markevitch,イーゴリ・マルケヴィチ
Jean-Baptiste Boussingault,ジャン・バティスト・ブサンゴー
Max Decugis,マックス・デキュジス
Jean de Dunois,ジャン・ド・デュノワ
André Leducq,アンドレ・ルデュック
Théophile Delcassé,テオフィル・デルカッセ
Tony Sylva,トニー・シルヴァ
Barbet Schroeder,バーベット・シュローダー
Olivier Martinez,オリヴィエ・マルティネス
Cyril Collard,シリル・コラール
Guillaume II d'Eu,ギヨーム2世・(ウー伯)
Pascal Engel,パスカル・アンジェル
Laurent Brochard,ローラン・ブロシャール
Bernard Heuvelmans,ベルナール・ユーヴェルマンス
Benjamin Baillaud,バンジャマン・バイヨー
Philippe Séguin,フィリップ・セガン
Hippolyte Aucouturier,イポリト・オクテュリエ
Charles Ier de Bourbon (archevêque de Rouen),シャルル1世・ド・ブルボン・(ルーアン大司教)
Raymond Aubrac,レーモン・オーブラック
René Hardy,ルネ・アルディ
Sándor Végh,シャーンドル・ヴェーグ
Abdelhamid El Kaoutari,アブデルハミド・エル・カウタリ
Jean Laplanche,ジャン・ラプランシュ
Ferdinand de Marsin,フェルディナン・ド・マルサン
Marie de Castellane,マリー・フォン・ラジヴィウ
Berty Albrecht,ベルティー・アルブレヒト
Amandine Bourgeois,アマンジーヌ・ブルジョワ
Laurent Robert,ローラン・ロベール
Alexandre Alexeïeff,アレクサンドル・アレクセイエフ
Julien Doré,ジュリアン・ドレ
Alphonse Bertillon,アルフォンス・ベルティヨン
Ferdinand Coly,フェルディナンド・コリー
Léon Cogniet,レオン・コニエ
Louis d'Orléans (1814-1896),ルイ・シャルル・ドルレアン・(ヌムール公)
Sophie Moniotte,ソフィー・モニオット
François d'Orléans (1818-1900),フランソワ・ドルレアン・(ジョアンヴィル公)
Charles Frederick Worth,シャルル・フレデリック・ウォルト
Henri Pitot,アンリ・ピトー
Charles IV de Lorraine,シャルル4世・(ロレーヌ公)
Charles III de Lorraine,シャルル3世・(ロレーヌ公)
Jean Robic,ジャン・ロビック
Antoine Coysevox,アントワーヌ・コワズヴォ
Henri Milne Edwards,アンリ・ミルヌ＝エドワール
Brigitte Deydier,ブリジット・ディディエ
Christine Deviers-Joncour,クリスチーヌ・ドヴィエ＝ジョンクール
Pierre Henry,ピエール・アンリ
Jean V de Bretagne,ジャン5世・(ブルターニュ公)
Sandrine Bélier,サンドリーヌ・ベリエ
Anne d'Alençon,アンヌ・ダランソン
Henri Rabaud,アンリ・ラボー
Charles Munch,シャルル・ミュンシュ
Maurice Pialat,モーリス・ピアラ
Charles de Blois,シャルル・ド・ブロワ
Alain Perrin,アラン・ペラン
Arthur III de Bretagne,アルテュール3世・(ブルターニュ公)
Léon Boëllmann,レオン・ボエルマン
Dominique Perrault,ドミニク・ペロー
Steve Marlet,スティーヴ・マルレ
Jacques-Nicolas Billaud-Varenne,ジャック・ニコラ・ビョー＝ヴァレンヌ
Yona Friedman,ヨナ・フリードマン
Richard Belzer,リチャード・ベルザー
Guillaume Dubois,ギヨーム・デュボワ
François l'Olonnais,フランソワ・ロロネー
Oscar Vladislas de Lubicz-Milosz,オスカル・ミロシュ
Charles Bitsch,シャルル・L・ビッチ
Pierre II de Bretagne,ピエール2世・(ブルターニュ公)
Sylvain Chomet,シルヴァン・ショメ
Félix Kir,フェリックス・キール
Jean-Jacques Beineix,ジャン＝ジャック・ベネックス
Nicos Poulantzas,ニコス・プーランツァス
Maurice Herzog,モーリス・エルゾーグ
Raoul Lévy,ラウール・レヴィ
Dominique René Vandamme,ドミニク・ヴァンダム
Anne-Jules de Noailles,アンヌ＝ジュール・ド・ノアイユ
Paul Janet (philosophe),ポール・ジャネ
Michel Winock,ミシェル・ヴィノック
Gislebert de Lotharingie,ギゼルベルト・(ロートリンゲン公)
Anne Hilarion de Costentin de Tourville,アンヌ・イラリオン・ド・コタンタン
Henriette de France (1727-1752),アンリエット・ド・フランス
Anne L'Huillier,アンヌ・リュイリエ
Boris Vildé,ボリス・ヴィルデ
Anne Parillaud,アンヌ・パリロー
Anne de Bourbon (1380-1408),アンヌ・ド・ブルボン・(1380-1408)
Frédéric Ier de Lorraine,フリードリヒ1世・(上ロートリンゲン公)
Jules Chéret,ジュール・シェレ
Michel Henry,ミシェル・アンリ
Marcellin Boule,マルスラン・ブール
Bruno Cheyrou,ブルーノ・シェイル
Jacques-Louis-Henri Sobieski,ヤクプ・ルドヴィク・ソビェスキ
Frédéric Sy,フレデリック・シー
Just Jaeckin,ジュスト・ジャカン
Robert III de La Marck,ロベール3世・ド・ラ・マルク
Eva Ionesco,エヴァ・イオネスコ
Willy Boly,ウィリー・ボリー
Philippe Sansonetti,フィリップ・サンソネッティ
Robert Ier de Bar,ロベール1世・(バル公)
Jean Carlu,ジャン・カルリュ
Anthony Delon,アントニー・ドロン
Piotr Kowalski,ピオトル・コワルスキー
Louis James Alfred Lefébure-Wély,ルイ・ジェームズ・アルフレッド・ルフェビュール＝ヴェリー
Anri Sala,アンリ・サラ
Louis Rossi,ルイ・ロッシ
Kévin Monnet-Paquet,ケビン・モネ＝パケ
Roudolphe Douala,ルドルフ・ドゥアラ
Nicolas Bacri,ニコラ・バクリ
Marcel Couraud,マルセル・クーロー
Pierre Favre (jésuite),ピエール・ファーヴル
Sarah Bouhaddi,サラ・ブアディ
Jean-Pierre Darroussin,ジャン＝ピエール・ダルッサン
Claude de Givray,クロード・ド・ジヴレー
Jacques Roux (1752-1794),ジャック・ルー
Louis VIII de Bavière,ルートヴィヒ8世・(バイエルン公)
Paul Chemetov,ポール・シュメトフ
Edwige Lawson-Wade,エドウィージュ・ローソン＝ワド
Serge Silberman,セルジュ・シルベルマン
Sylviane Carpentier,シルヴィアン・カルパンティエ
Valentin Magnan,ヴァレンティン・マニャン
Jean-Baptiste Vuillaume,ジャン＝バティスト・ヴィヨーム
Céline Dumerc,セリーヌ・ドゥメルク
Antoine Brumel,アントワーヌ・ブリュメル
Henri Leconte,アンリ・ルコント
Pierre Legendre (juriste),ピエール・ルジャンドル
Jean-François Revel,ジャン＝フランソワ・ルヴェル
Louis IV Henri de Bourbon-Condé,ルイ4世アンリ・(コンデ公)
Antoine Griezmann,アントワーヌ・グリーズマン
Pierre-Augustin Hulin,ピエール・ユラン
Jean-Claude Éloy,ジャン＝クロード・エロワ
Marcel Domingo,マルセル・ドミンゴ
Antoine-Isaac Silvestre de Sacy,アントワーヌ＝イザーク・シルヴェストル・ド・サシ
Louis Faidherbe,ルイ・フェデルブ
René Desfontaines,ルネ・デフォンテーヌ
Morgane Dubled,モルガン・デュブレ
Kenzō Takada,高田賢三
Mademoiselle Du Parc,マルキーズ・デュ・パルク
Louis Jean-Marie Daubenton,ルイ・ドバントン
Antonin Magne,アントナン・マーニュ
Blanche de France (1282-1305),ブランシュ・ド・フランス・(オーストリア公妃)
Valérie Pécresse,ヴァレリー・ペクレス
Paul Virilio,ポール・ヴィリリオ
Frédéric Makowiecki,フレデリック・マコヴィッキィ
Pierre Sonnerat,ピエール・ソヌラ
Françoise d'Orléans (1844-1925),フランソワーズ・ドルレアン・(1844-1925)
Jean Wahl,ジャン・ヴァール
Jean-Christophe Napoléon,ジャン・クリストフ・ナポレオン
Fabrice Luchini,ファブリス・ルキーニ
Maximilien Luce,マクシミリアン・リュス
Louis Jolliet,ルイ・ジョリエ
Charles III de Bourbon,シャルル3世・(ブルボン公)
Joël Lautier,ジョエル・ローティエ
Jacques Tardi,ジャック・タルディ
Henri Herz,アンリ・エルツ
Jean-Marie Guéhenno,ジャン＝マリー・ゲーノ
Thomas Alexandre Dumas,トマ＝アレクサンドル・デュマ
Pierre Boiteau,ピエール・ボワトー
Jacques Bourboulon,ジャック・ブーブロン
Raoul de Lorraine,ラウル・(ロレーヌ公)
Thiébaud II de Lorraine,ティボー2世・(ロレーヌ公)
Thiébaud Ier de Lorraine,ティボー1世・(ロレーヌ公)
Jean-Baptiste Alexandre Le Blond,アレクサンドル・ル・ブロン
Guillaume Ier de Hainaut,ギヨーム1世・(エノー伯)
Amand Marie Jacques de Chastenet de Puységur,アマン・マリー・ジャック・ド・シャストネ・ド・ピュイゼギュール
Bernard Garnier,対立教皇ベネディクトゥス14世・(先代)
Jeanne-Marie Darré,ジャンヌ＝マリー・ダルレ
Vitalic,ヴィタリック
Emmeline Ndongue,エメリーヌ・ンドンゲ
Jean Vanier,ジャン・バニエ
Jean Sauvagnargues,ジャン・ソヴァニャルグ
Édouard III de Bar,エドゥアール3世・(バル公)
Yannis Tafer,ヤニス・タフェール
Amaury Leveaux,アモリ・ルボー
France Nuyen,フランス・ニュイエン
Monique Haas,モニク・アース
Vanessa Gusmeroli,ヴァネッサ・グスメロリ
Charles Dullin,シャルル・デュラン
Jean-Baptiste-Donatien de Vimeur de Rochambeau,ジャン＝バティスト・ド・ロシャンボー
Blel Kadri,ブレル・カドリ
Madeleine Delbrêl,マドレーヌ・デルブレル
Gabriel Bibron,ガブリエル・ビブロン
Charles Ier de Mantoue,カルロ1世・ゴンザーガ＝ネヴェルス
Tristan Garcia,トリスタン・ガルシア
Charles Tournemire,シャルル・トゥルヌミール
Alexandre de Beauharnais,アレクサンドル・ド・ボアルネ
Yōko Tani,谷洋子
Gilbert Amy,ジルベール・アミ
Henri IV de Bar,アンリ4世・(バル伯)
Jean-François Carteaux,ジャン・フランソワ・カルトー
Anthony Losilla,アントニー・ルジア
Henri II de Bar,アンリ2世・(バル伯)
Charles Eugène Gabriel de La Croix de Castries,シャルル・ウジェーヌ・ガブリエル・ド・ラ・クロワ・ド・カストリー
Rudy Riou,ルディ・リウ
Pierre Samuel du Pont de Nemours,ピエール＝サミュエル・デュ・ポン・ド・ヌムール
Anthony Modeste,アントニー・モデスト
Pascal Greggory,パスカル・グレゴリー
Robert de Sorbon,ロベール・ド・ソルボン
Jacques Rivière,ジャック・リヴィエール
Didier Deschamps,ディディエ・デシャン
Roland Dumas,ローラン・デュマ
Arsène d'Arsonval,ジャック＝アルセーヌ・ダルソンバール
Émilie Gomis,エミリ・ゴミス
Alex Varenne,アレックス・ヴァレンヌ
Alfred Agache (peintre),アルフレッド・アガッシュ・(画家)
Madeleine Lebeau,マデリーン・ルボー
Youssef El-Arabi,ユセフ・エル＝アラビ
Charles Ier d'Albret,シャルル1世・ダルブレ
Joachim Barrande,ヨアヒム・バランデ
Bertrand de Toulouse,ベルトラン・(トゥールーズ伯)
Paule Maurice,ポール・モーリス
François Delecour,フランソワ・デルクール
Lucette Descaves,リュセット・デカーヴ
Amaël Moinard,アマエル・モワナール
Jacques Brugnon,ジャック・ブルニョン
Gérard Grisey,ジェラール・グリゼー
Fernand Ledoux,フェルナン・ルドゥー
Sandrine Piau,サンドリーヌ・ピオー
Jean-Georges Wille,ヨハン・ゲオルク・ヴィレ
Roger Walkowiak,ロジェ・ワルコヴィアック
Hubert Robert,ユベール・ロベール
Thierry Lhermitte,ティエリー・レルミット
Jacques Ier de Bourbon-La Marche,ジャック1世・(ラ・マルシュ伯)
Valérien Ismaël,ヴァレリアン・イスマエル
Babacar M'Baye Gueye,ババカル・グェイェ
Vitaa,ヴィタ
François Leclerc du Tremblay,フランソワ・ルクレール・デュ・トランブレー
Jean-David Morvan,ジャン＝ダヴィッド・モルヴァン
Pierre Cartier,ピエール・カルティエ
Yves Meyer,イヴ・メイエ
Antoine de Souroge,アントニー・ブルーム
Louis Buffet,ルイ・ビュフェ
Guillaume Ier de Champlitte,ギヨーム1世・ド・シャンリット
Jean-René Lisnard,ジャン＝ルネ・リスナール
Alexandra Lamy,アレクサンドラ・ラミー
Guirane N'Daw,ギラネ・エンドゥ
Sally Nyolo,サリー・ニョロ
Clara Sanchez,クララ・サンチェス
Louis-François de Bourbon-Conti,ルイ・フランソワ1世・(コンティ公)
Louis de Lorraine (1555-1588),ルイ・ド・ロレーヌ・(1555-1588)
Béatrice de Bourgogne (1257-1310),ベアトリス・ド・ブルゴーニュ・(ブルボン女領主)
Henri de Massué,ヘンリー・デ・マシュー・(初代ゴールウェイ伯爵)
Thomas Joannes Stieltjes,トーマス・スティルチェス
Eugène Gigout,ウジェーヌ・ジグー
Sylvain Cambreling,シルヴァン・カンブルラン
RoBERT,ロベール・(歌手)
Conan Ier de Bretagne,コナン1世・(ブルターニュ公)
Jean Epstein,ジャン・エプシュタイン
Audrey Fleurot,オドレイ・フルーロ
Marie-France Hirigoyen,マリー＝フランス・イルゴイエンヌ
Fernand Cormon,フェルナン・コルモン
Pascale Jeuland-Tranchant,パスカル・ジュラン
Nina Companeez,ニナ・コンパネーズ
Auguste Dupin,C・オーギュスト・デュパン
Joseph-Charles Mardrus,ジョゼフ＝シャルル・マルドリュス
Maximilien Sébastien Foy,マクシミリアン・セバスティアン・フォワ
Philippe Vernet,フィリップ・ヴェルネ
Philippe Laguérie,フィリップ・ラゲリ
Edmond Aman-Jean,エドモン＝フランソワ・アマン＝ジャン
François Berléand,フランソワ・ベルレアン
Henri Le Sidaner,アンリ・ル・シダネル
Léon Vaillant,レオン・ヴァイヤン
Françoise d'Orléans (1902-1953),フランソワーズ・ドルレアン・(1902-1953)
Pierre de Maricourt,ペトルス・ペレグリヌス
Solage,ソラージュ
Albert Lebourg,アルベール・ルブール
Robert d'Eu,ロベール・(ウー伯)
Benjamin Corgnet,バンジャマン・コルニェ
Benny Lévy,ベニ・レヴィ
André Messager,アンドレ・メサジェ
Emmanuelle Laborit,エマニュエル・ラボリ
Marie Darrieussecq,マリー・ダリュセック
Gisèle Halimi,ジゼル・アリミ
Laurent Pichon,ローラン・ピション
Leopold Trepper,レオポルド・トレッペル
Gilles Panizzi,ジル・パニッツィ
Jean-Claude Rousseau,ジャン＝クロード・ルソー
Cyril Raffaelli,シリル・ラファエリ
Alexandre Tansman,アレクサンデル・タンスマン
Nicolas de Largillierre,ニコラ・ド・ラルジリエール
Émile Baudot,エミール・ボドー
Antoine Bruny d'Entrecasteaux,アントワーヌ・ブリュニー・ダントルカストー
Chester Himes,チェスター・ハイムズ
Hugues de Crécy,ユーグ・ド・クレシー
Alice de Lencquesaing,アリス・ドゥ・ランクザン
Camille Cabral,カミーユ・カブラル
Louis-Armand de Bourbon-Conti (1695-1727),ルイ・アルマン2世・(コンティ公)
Charles de Bourbon-Soissons,シャルル・ド・ブルボン＝ソワソン
Charles André Pozzo di Borgo,ポッツォ・ディ・ボルゴ
Francis Planté,フランシス・プランテ
Archambaud IX de Bourbon,アルシャンボー9世・ド・ブルボン
Paul Poiret,ポール・ポワレ
Benoît Tréluyer,ブノワ・トレルイエ
Jean d'Orléans (1874-1940),ジャン・(ギーズ公)
Nicolas Mas,ニコラ・マス
Eliaquim Mangala,エリアカン・マンガラ
Suzanne Schiffman,シュザンヌ・シフマン
Alexandre-Gabriel Decamps,アレクサンドル＝ガブリエル・ドゥカン
Félix Bracquemond,フェリックス・ブラックモン
François Bazin,フランソワ・バザン
Delphin Alard,ジャン・アラール
Maud Mannoni,モード・マノーニ
Françoise Bonnot,フランソワーズ・ボノー
Tatiana Riabouchinska,タチアナ・リアブーシンスカ
Jacqueline Sassard,ジャクリーヌ・ササール
Claude Chevalley,クロード・シュヴァレー
Adolphe Nourrit,アドルフ・ヌーリ
Lola Créton,ローラ・クレトン
Thomas Pesquet,トマ・ペスケ
Pierre Baillot,ピエール・バイヨ
Joseph Bodin de Boismortier,ジョゼフ・ボダン・ド・ボワモルティエ
Jean-Léonard-Marie Poiseuille,ジャン・ポアズイユ
Jean-Baptiste Isabey,ジャン＝バティスト・イザベイ
Olivier Assayas,オリヴィエ・アサヤス
Louis Blaringhem,ルイ・ブラランゲム
Antoine d'Orléans (1824-1890),アントワーヌ・ドルレアン・(モンパンシエ公)
Michele Mascitti,ミケーレ・マスチッティ
Jean Djorkaeff,ジャン・ジョルカエフ
Michel Verne,ミシェル・ヴェルヌ
Pierre Rabhi,ピエール・ラビ
Jean Rollin,ジャン・ローラン
Louis Picamoles,ルイ・ピカモール
François-Marie de Broglie,フランソワ＝マリー・(初代ブロイ公爵)
Ferdinand-Philippe d'Orléans,フェルディナン・フィリップ・(オルレアン公)
Benjamin Jaurès,バンジャマン・ジョレス
Jean-Claude Malgoire,ジャン＝クロード・マルゴワール
Marie de Bourbon (1606-1692),マリー・ド・ブルボン＝ソワソン
Ambroise Vollard,アンブロワーズ・ヴォラール
Ambroise Marie François Joseph Palisot de Beauvois,アンブロワーズ・マリー・フランソワ・ジョセフ・パリゾ・ド・ボーヴォワ
Frédéric François-Marsal,フレデリック・フランソワ＝マルサル
Armand-Emmanuel du Plessis de Richelieu,アルマン・エマニュエル・ド・ヴィニュロー・デュ・プレシ
Caroline Champetier,カロリーヌ・シャンプティエ
Martial Mbandjock,マルシャル・ムバンジョク
Gérard Lenorman,ジェラール・ルノルマン
Anthony Roux (cyclisme),アントニー・ルー
Robert-François Damiens,ロベール＝フランソワ・ダミアン
Jean-Henri d'Anglebert,ジャン＝アンリ・ダングルベール
Patrick Dewaere,パトリック・ドヴェール
Jean-Claude Carrière,ジャン＝クロード・カリエール
Robert de Visée,ロベール・ド・ヴィゼー
Jean Maximilien Lamarque,ジャン・マクシミリアン・ラマルク
Thierry Arbogast,ティエリー・アルボガスト
Daniel Pauly,ダニエル・ポーリー
Claude Mauriac,クロード・モーリアック
Claude Helffer,クロード・エルフェ
Raoul Ruiz,ラウル・ルイス
Claire Lacombe,クレール・ラコンブ
Ferdinand de Savoie,フェルディナンド・アルベルト・アメデーオ・ディ・サヴォイア
Lucien Goldmann,リュシアン・ゴルドマン
Claude Lanzmann,クロード・ランズマン
Antoine Barnave,アントワーヌ・バルナーヴ
Chrétien Guillaume de Lamoignon de Malesherbes,クレティアン＝ギヨーム・ド・ラモワニョン・ド・マルゼルブ
Maurice de Guérin,モーリス・ド・ゲラン
Jean Langlais,ジャン・ラングレー
Jean-Christophe Grangé,ジャン＝クリストフ・グランジェ
Louis de Luxembourg-Saint-Pol,ルイ・ド・リュクサンブール・(サン＝ポル伯)
Jean Goujon,ジャン・グージョン
Jules Dalou,ジュール・ダルー
Pierre-Joseph Redouté,ピエール＝ジョゼフ・ルドゥーテ
Édouard-Émile Violet,エドゥアール＝エミール・ヴィオレ
Alain Madelin,アラン・マドラン
Christian Ferras,クリスチャン・フェラス
Jean-Marc Barr,ジャン＝マルク・バール
François Dosse,フランソワ・ドッス
Édouard Riou,エドゥアール・リウー
Rodrigue Beaubois,ロドリグ・ボーボワ
Jean-Sylvain Babin,ジャン＝シルヴァン・ババン
Emily Atef,エミリ・アテフ
Hervé de Luze,エルヴェ・ド・リューズ
Cédric Klapisch,セドリック・クラピッシュ
Ferdinand Brunot,フェルディナン・ブリュノ
Nicolas de Grigny,ニコラ・ド・グリニー
Francis Ponge,フランシス・ポンジュ
Yolande de Dreux (1212-1248),ヨランド・ド・ドルー・(ブルゴーニュ公妃)
Anne de Laval (1505-1554),アンヌ・ド・ラヴァル・(1505-1554)
Armand-Louis Couperin,アルマン＝ルイ・クープラン
Louis Boyer (astronome),ルイ・ボワイエ
Elsa Zylberstein,エルザ・ジルベルスタイン
Georgette Leblanc,ジョルジェット・ルブラン
Yacine Abdessadki,ヤシン・アブデサドキ
Denise René,ドニズ・ルネ
Jacques Bertillon,ジャック・ベルティヨン
Franck Sauzée,フランク・ソゼー
Christophe Honoré,クリストフ・オノレ
Pierre Benoit,ピエール・ブノア
François Villiers,フランソワ・ヴィリエ
Frantz Granvorka,フランツ・グランボルカ
Nicolas Frey,ニコラ・フレイ
Louis de Jaucourt,ルイ・ド・ジョクール
Paul-Élie Ranson,ポール・ランソン
Antoine-François Callet,アントワーヌ＝フランソワ・カレ
Pascal Berenguer,パスカル・ベレンゲール
Jérémy Berthod,ジェレミ・ベルト
Booba,ブーバ
Antoine Argoud,アントワーヌ・アルグー
Antoine-Léonard Chézy,アントワーヌ＝レオナール・ド・シェジー
Antoine Bussy,アントワーヌ・ビュシー
Jean-Hugues Anglade,ジャン＝ユーグ・アングラード
Théodore Ballu,テオドール・バリュー
Claude Perron,クロード・ペロン
Amélie Beaury-Saurel,アメリ・ボーリー＝ソレール
Jules-César Savigny,ジュール＝セザール・サヴィニー
Olivier Schoenfelder,オリヴィエ・シェーンフェルダー
Gaston Paris,ガストン・パリス
Jean-François Heidenreich,ジャン＝フランソワ・ヘイデンレイシュ
Eugène Minkowski,ウジェーヌ・ミンコフスキー
"Luc de Clapiers, marquis de Vauvenargues",リュック・ド・クラピエ・ド・ヴォーヴナルグ
Paul Scarron,ポール・スカロン
Claude-Nicolas Ledoux,クロード・ニコラ・ルドゥー
André-Georges Haudricourt,アンドレ＝ジョルジュ・オドリクール
Max Gallo,マックス・ガロ
Jacques Peletier du Mans,ジャック・ペルチエ・デュ・マン
René-Louis de Girardin,ルネ・ド・ジラルダン
Pierre Auger,ピエール・オージェ
Carle Vernet,カルル・ヴェルネ
Arnaud Démare,アルノー・デマール
Antoine Louis,アントワーヌ・ルイ
Antoine Forqueray,アントワーヌ・フォルクレ
Antoine-François Marmontel,アントワーヌ・マルモンテル
Charles-Louis Philippe,シャルル＝ルイ・フィリップ
Frédéric III de Lorraine,フリードリヒ3世・(上ロートリンゲン公)
Henri II de Guise,アンリ2世・(ギーズ公)
Jules Supervielle,ジュール・シュペルヴィエル
Ninomiya Masayuki,二宮正之
Jules Girardet,ジュール・ジラルデ
Christophe Barratier,クリストフ・バラティエ
Jacques Hittorff,ジャック・イニャス・イトルフ
Auguste Vestris,オーギュスト・ヴェストリス
Gharib Amzine,ガリブ・アムジネ
Arnaud Desplechin,アルノー・デプレシャン
Arnaud-Amanieu d'Albret,アルノー＝アマニュー・ダルブレ
Antoine Coypel,アントワーヌ・コワペル
Jean-Marie de Lanessan,ジャン・マリー・アントワーヌ・ド・ラヌッサン
Maurice Gendron,モーリス・ジャンドロン
Jacques Massu,ジャック・マシュ
Antoine Duhamel,アントワーヌ・デュアメル
Renaud Capuçon,ルノー・カピュソン
Georges Mandjeck,ジョルジュ・マンジューク
Jacques Babinet,ジャック・バビネ
Antoine Nicolas Duchesne,アントワーヌ・ニコラ・デュシェーヌ
Stéphane Robert,ステファン・ロベール
Arnaud Di Pasquale,アルノー・ディ・パスカル
Youssouf M'Changama,ユスフ・ムチャンガマ
Antoine Rigaudeau,アントワン・リゴドー
Philippe Bugalski,フィリップ・ブガルスキー
Antoine Gouan,アントワーヌ・グアン
Gilles Lellouche,ジル・ルルーシュ
Norbert Gœneutte,ノルベール・グヌット
Antoine Grimaldi (1697-1784),アントワーヌ・グリマルディ・(1697-1784)
Pierre-Jules Hetzel,ピエール＝ジュール・エッツェル
Antoine Vollon,アントワーヌ・ヴォロン
Gaston de France,ガストン・(オルレアン公)
Quentin Meillassoux,クァンタン・メイヤスー
Henri de Lorraine (1661-1713),アンリ・ド・ロレーヌ・(1661-1713)
Louis de Branges de Bourcia,ルイ・ド・ブランジュ
Olivier Marchal,オリヴィエ・マルシャル
Carlos Schwabe,カルロス・シュヴァーベ
Nicolas Luckner,ニコラ・リュクネール
Antoine Ier (prince de Monaco),アントワーヌ1世・(モナコ公)
Antoine Guillemet,アントワーヌ・ギュメ
Antoine Kombouaré,アントワーヌ・コンブアレ
Alfred Lacroix,アルフレッド・ラクロワ
Antoine Joseph Santerre,アントワーヌ＝ジョゼフ・サンテール
Armand Point,アルマン・ポワン
François Lemoyne,フランソワ・ルモワーヌ
André Testut,アンドレ・テスツー
Gérard Wertheimer,ジェラール・ヴェルテメール
Charles-Bretagne-Marie de La Trémoille,シャルル・ブルターニュ・マリー・ド・ラ・トレモイユ
François Ier de Nevers,フランソワ1世・(ヌヴェール公)
Nicolas Minassian,ニコラ・ミナシアン
Simon Arnauld de Pomponne,シモン・アルノー・ド・ポンポンヌ
Marie Tudor (1496-1533),メアリー・テューダー・(フランス王妃)
Jules Roy,ジュール・ロワ
Jean-Baptiste Vaquette de Gribeauval,ジャン＝バティスト・ヴァケット・ド・グリボーバル
Louis Théodore Gouvy,テオドール・グヴィ
Pierre-Joseph Cambon,ピエール・ジョゼフ・カンボン
Ernest Fanelli,エルネスト・ファネリ
Edmond Jouhaud,エドモン・ジュオー
Eudon II de Porhoët,ウード2世・ド・ポルオエ
Bonne de Berry,ボンヌ・ド・ベリー
Yves Robert (réalisateur),イヴ・ロベール
Nicolas Edme Restif de La Bretonne,ニコラ・エドム・レチフ・ド・ラ・ブルトンヌ
Charles Vildrac,シャルル・ヴィルドラック
Henri Ier de La Trémoille,アンリ1世・ド・ラ・トレモイユ
Arnaud Vincent (pilote moto),アルノー・ヴァンサン
Ennius Quirinus Visconti,エンニオ・キリノ・ヴィスコンティ
Marc Sautet,マルク・ソーテ
Charles Ier de Bourbon,シャルル1世・(ブルボン公)
Philippe Djian,フィリップ・ジヤン
Anthony Mfa Mezui,アントニー・ムファ・メズィ
Frédéric Déhu,フレデリック・デウ
Henri Regnault,アンリ・ルニョー
Grégory Baugé,グレゴリー・ボジェ
Joseph Monier,ジョゼフ・モニエ
Piotr Świerczewski,ピオトル・シビエルチェフスキ
Joseph-Marie Vien,ジョゼフ＝マリー・ヴィアン
Charles-Amédée de Savoie-Nemours,シャルル・アメデ・ド・サヴォワ＝ヌムール
Philippe de Vendôme,フィリップ・(ヴァンドーム公)
Jean Sorel,ジャン・ソレル
Auguste Czartoryski,アウグスト・チャルトリスキ
Brantôme (écrivain),ブラントーム・(フランスの作家)
Louis de Bourbon (1725-1793),ルイ・ジャン・マリー・ド・ブルボン
Guillaume Musso,ギョーム・ミュッソ
Jean-Paul-Égide Martini,ジャン・ポール・マルティーニ
Joseph Daul,ジョゼフ・ドール
Victor-François de Broglie (1718-1804),ヴィクトル＝フランソワ・(第2代ブロイ公爵)
Guy Môquet,ギィ・モケ
Léon Werth,レオン・ヴェルト
René Huyghe,ルネ・ユイグ
Gustave Lanson,ギュスターヴ・ランソン
Albert Memmi,アルベール・メンミ
Henry Bataille,アンリ・バタイユ
Michel de Certeau,ミシェル・ド・セルトー
Sébastien Bourdon,セバスチャン・ブルドン
Joseph Paul Gaimard,ジョセフ・ポール・ガイマール
Jean d'Orléans (1965),ジャン・ドルレアン・(1965-)
Albert Kahn (banquier),アルベール・カーン
Jean Antoine Verdier,ジャン＝アントワーヌ・ヴェルディエ
Henri-Edmond Cross,アンリ＝エドモン・クロス
