Lionel Messi,리오넬 메시
Lodovica Comello,로도비카 코멜로
Diego Alonso,디에고 알론소
Alejandro Giammattei,알레한드로 잠마테이
Renato Baldini,레나토 발디니
Irene Vecchi,이레네 베키
Marco Risi,마르코 리시
Graziano Bini,그라치아노 비니
Massimo Volta,마시모 볼타
Valerio Aspromonte,발레리오 아스프로몬테
Alessandro Bianchi (calciatore 1966),알레산드로 비앙키
Marco Biagianti,마르코 비아잔티
Ivano Blason,이바노 블라손
Giuliano Sarti,줄리아노 사르티
Bruno Bolchi,브루노 볼키
Rosanna Fratello,로산나 프라텔로
Michele Camporese,미켈레 캄포레세
Piero Campelli,피에로 캄펠리
Mario Genta,마리오 젠타
Frida Giannini,프리다 지아니니
Giuseppe Wilson,주세페 윌손
Luigi Barlassina,루이지 바를라시나
Vincenzo Amato (attore),빈첸초 아마토
Damiano Pippi,다미아노 피피
Jeff Blynn,제프 브린
Mauro Numa,마우로 누마
Mostro di Firenze,피렌체의 괴물
Comunardo Niccolai,코무나르도 니콜라이
Davide Moro,다비데 모로
Osvaldo Fattori,오스발도 파토리
Maya Sansa,마야 산사
Daniele Capelli,다니엘레 카펠리
Rômulo (calciatore 1987),로물로 소자 오레스테스 칼데이라
Marco Capuano,마르코 카푸아노
Lorenzo Insigne,로렌초 인시녜
Nerio Bernardi,네리오 베르나르디
Gianluca Caprari,잔루카 카프라리
Ciro Capuano,치로 카푸아노
Gino Cappello,지노 카펠로
Virgilio Felice Levratto,비르질리오 레브라토
Ugo Sasso,우고 삭소
Vincenzo Grifo,빈첸초 그리포
Silvio Longobucco,실비오 론고부코
Zeffiro Furiassi,체피로 푸리아시
Diego Polenta,디에고 폴렌타
Ezio Gamba,에치오 감바
Mimì Aguglia,미미 아거글리아
Daniele Paponi,다니엘레 파포니
Giuseppe Viani,주세페 비아니
Pietro Grasso,피에트로 그라소
Giorgio Puia,조르조 푸이아
Giovanni Varglien,조반니 발리엔
Francesco Della Rocca,프란체스코 델라 로카
Manlio Scopigno,만리오 스코피뇨
Giuseppe Sabadini,주세페 사바디니
Patrizio Sala,파트리초 살라
Fabio Rossitto,파비오 로시토
Giuseppe Tonani,주세페 토나니
Laura Giuliani,라우라 줄리아니
Tommaso Maestrelli,톰마소 마에스트렐리
Emiliano Alfaro,에밀리아노 알파로
Rino Marchesi,리노 마르케시
Liassine Cadamuro,리아신 카다무로벤타이바
Nino Benvenuti,니노 벤베누티
Giuseppe Moro,주세페 모로
Gianmarco Tamberi,잔마르코 탐베리
Giuseppe Marotta (dirigente sportivo),주세페 마로타
Piera Degli Esposti,피에라 델리 에스포스티
Valentino Degani,발렌티노 데가니
Enrico Rivolta,엔리코 리볼타
Roberto De Zerbi,로베르토 데 제르비
Achille Piccini,아킬레 피치니
Amleto Frignani,암레토 프리냐니
Olga Villi,올가 빌리
Donatella Finocchiaro,도나텔라 피노키아로
Jo Prestia,조 프레스티아
Dino Ciani,디노 치아니
Margherita Granbassi,마르게리타 그란바시
Carlo Orlandi (pugile),카를로 오를란디 (권투 선수)
Paolo Seganti,파올로 시갠티
Matías Vecino,마티아스 베시노
Fabrizio Rongione,파브리치오 론조네
Daniele Gastaldello,다니엘레 가스탈델로
Mario Magnozzi,마리오 마뇨치
Fabio Sciacca,파비오 시아카
Lia Di Leo,리아 디 레오
Sofia Goggia,소피아 고자
Giulio Migliaccio,줄리오 밀리아초
Luca de Meo,루카 데 메오
Alberto Frison,알베르토 프리손
Luca Dotto,루카 도토
Cristhian Stuani,크리스티안 스투아니
Attilio Giovannini,아틸리오 조반니니
Sebastián Cristóforo,세바스티안 크리스토포로
Grazia Maria Pinto,그라치아 마리아 핀토
Alberta Ferretti,알베르타 페레티
Alex Baresi,알렉스 바레시
Stefano Gobbi,스테파노 곱비
Cesare Natali,체사레 나탈리
Antonio Rozzi,안토니오 로치
Marco Messeri,마르코 메세리
Marco Tarchi,마르코 타르키
Gian Piero Ventura,잔 피에로 벤투라
Edoardo Ballerini,에도아르도 발레리니
Diego Hernán Valeri,디에고 발레리
Edoardo Reja,에도아르도 레야
Luigi Samele,루이지 사멜레
Giorgio Avola,조르조 아볼라
Chiara Caselli,키아라 카셀리
Alessio Figalli,알레시오 피갈리
Davide Moscardelli,다비데 모스카르델리
Andrea Lazzari (calciatore),안드레아 라차리
Achille Majeroni (attore 1881-1964),아킬레 마제로니
Dino Abbrescia,디노 아브레시아
David Sassoli,다비드 사솔리
Marco D'Alessandro,마르코 달레산드로
Nathalie Moellhausen,나탈리 모엘하우젠
Elisa Cegani,엘리사 체가니
Monica Scattini,모니카 스카티니
Gianni Munari,잔니 무나리
Girolamo Giovinazzo,지롤라모 조비나초
Maurizio Micheli,마우리치오 미켈리
Filippo Bottino,필리포 보티노
Sergio Gori,세르조 고리
Benedicta Boccoli,베네딕타 보콜리
Andrea Giani,안드레아 자니
Selen,셀렌 (배우)
Fanfulla (attore),판풀라
Nina Soldano,니나 솔다노
Fabio Paratici,파비오 파라티치
Marco Giampaolo,마르코 잠파올로
Fabrizia Sacchi,파브리치아 사키
Carlo Galli (calciatore),카를로 갈리
Teobaldo Depetrini,테오발도 데페트리니
Anna Dello Russo,안나 델로 루소
Renzo Morigi,렌초 모리지
Antonietta Stella,안토니에타 스텔라
Franco Cristaldi,프랑코 크리스탈디
Pierino Gabetti,피에리노 가베티
Filippo Grandi (diplomatico),필리포 그란디
Matteo Rubin,마테오 루빈
Roberto Cravero,로베르토 크라베로
Domenico Maietta,도메니코 마이에타
Gastón Silva,가스톤 실바
Aldo Bufi Landi,알도 부피 란디
Ilaria Salvatori,일라리아 살바토리
Pino Maddaloni,주세페 마달로니
Carlo Pinsoglio,카를로 핀솔리오
Giorgio Ghezzi,조르조 게치
Annibale Frossi,안니발레 프로시
Gabriele Dell'Otto,가브리엘레 델오토
Regina Bianchi,레지나 비앙키
Renato Montalbano,레나토 몬탈바노
Roberto Giolito,로베르토 지올리토
Richard Benedict,리처드 베네딕
Roberta Torre,로베르타 토레
Giuseppe Blanc,주세페 블란크
Giuseppe Della Valle,주세페 델라 발레
Alessia Barela,알레시아 바렐라
Andrea Bosca,앤드리아 보스카
Andrea Tidona,안드레아 티도나
Wilma Goich,윌마 고이크
America Olivo,아메리카 올리보
Guglielmo Epifani,굴리엘모 에피파니
Guido Crosetto,기도 크로세토
Pinot Gallizio,주세페 피노갈라지오
Uberto Pasolini,우베르토 파솔리니
Riccardo Saponara,리카르도 사포나라
Teresa Saponangelo,테레사 사포난젤로
Andrea Benetti (artista),안드레아 베네티
Tullio Carminati,털리오 카미나티
Stefano Sollima,스테파노 솔리마
Antonia Liskova,안토니아 리스코바
Angela Luce,안젤라 루체
Angelica Ippolito,안젤리카 이폴리토
Annalisa (cantante),안나리사
Anita Kravos,아니타 크라보스
Anna Favella,안나 파벨라
Anna Foglietta,안나 폴리에타
Amedeo Trilli,아메데오 트릴리
Barbara Cupisti,바바라 커피스티
Barbara Bonansea,바르바라 보난세아
Augusto Rangone,아우구스토 랑고네
Augusto Zucchi,아구스토 주치
Anna Rita Del Piano,안나 리타 델 피아노
Clara Moroni,클라라 모로니
Barbara Tabita,바바라 타비타
Antonio Pierfederici,안토니오 피에르페데리치
Claudia Potenza,클라우디아 포텐차
Carlo Masi,카를로 마시
Claudia Pandolfi,클라우디아 판돌피
Sarah Felberbaum,세라 펠버바움
Bernardino Nogara,베르나르디노 노가라
Bruno Corazzari,브루노 코라자리
Armando Migliari,아르만도 밀리아리
Clelia Matania,클레리아 마타냐
Biagio Pelligra,비아지오 펠리그라
Carmine Di Giandomenico,카르미네 디잔도메니코
Davide Gavazzi,다비데 가바치
Bruno Zuculini,브루노 수쿨리니
Cecilia Dazzi,체칠리아 다치
Elena Fabrizi,엘레나 파브리치
Elena Cotta,엘레나 코타
Edy Vessel,에디 베셀
Enzo Cerusico,엔초 체루시코
Fabrizio Gifuni,파브리치오 지푸니
Fausto Cigliano,파우스토 칠리아노
Fausto Guerzoni,포스토 구에르조니
Elisabetta Pozzi,엘리사베타 포치
Federica Vincenti,페데리카 빈첸티
Enzo Salvi,엔조 살비
Dominik Fischnaller,도미니크 피슈날러
Daniele Pecci,다니엘레 페치
Emanuela Pacotto,에마누엘라 파코토
Ernesto Mahieux,에르네스토 마히스
Edoardo Pesce,에도아르도 페셰
Emilio Veratti,에밀리오 베라티
Francesco Carnelutti (attore),프란체스코 카르넬루티
Federica Mogherini,페데리카 모게리니
Emilio De Marchi (attore),에밀리오 드 마치
Danilo D'Ambrosio,다닐로 담브로시오
Gabriella Pession,가브리엘라 페션
Felice Mariani (judoka),펠리체 마리아니
Emma Morano,엠마 모라노
Gabriele Paonessa,가브리엘레 파오네사
Galatea Ranzi,갈라테아 란치
Furio Meniconi,푸리오 메니코니
Fulvio Mingozzi,풀비오 민고지
Francesco Signori,프란체스코 시뇨리
Francesco Scianna,프란체스코 시안나
Francesco Magnanelli,프란체스코 마냐넬리
Fabio De Luigi,파비오 드 루이지
Franca Scagnetti,프란카 스카그네티
Francesca Inaudi,프란체스카 이나우디
Fiorella Mari,피오렐라 마리
Gianfranco Rosi (regista),잔프랑코 로시
Italo De Zan,이탈로 데 잔
Giorgio Frezzolini,조르조 프레촐리니
Franco Giacobini,프랑코 지아코비니
Giorgio Colangeli,조르조 콜란젤리
Giorgio Dal Monte,조르조 달 몬테
Gianluca Sansone,잔루카 산소네
Gianmarco Tognazzi,잔마르코 토나치
Gilda Giuliani,길다 줄리아니
Ivano Marescotti,이바노 마레스코티
Jeanne Modigliani,잔 모딜리아니
Gian Francesco Giudice,잔 프란체스코 주디체
Isabelle Adriani,이사벨 아드리아니
James Rivière,제임스 리버
Giulia Lazzarini,줄리아 라차리니
Giulia Elettra Gorietti,줄리아 엘레트라 고리에티
Ivo Pulga,이보 풀가
Giuseppe Camuncoli,주세페 카문콜리
Jorginho (calciatore 1991),조르지뉴 (1991년)
Jimmy il Fenomeno,지미 일 페노메노
Lorenza Indovina,로렌차 인도비나
Jimmy McShane,지미 맥셰인
Loredana Cannata,로레데이너 칸나타
Greta Zuccheri Montanari,그레타 추케리 몬타나리
Luigi Giorgi (calciatore),루이지 조르지
Guido Carrillo,귀도 카리요
Lorenzo Richelmy,로렌초 리켈미
Michela Murgia,미켈라 무르자
Iaia Forte,이아이아 포르테
Howard Ross,하워드 로스
Luisa Rivelli,루이사 리벨리
Ilaria Mauro,일라리아 마우로
Luca Marinelli,루카 마리넬리
Luca Tedeschi,루카 테데스키
Hal Yamanouchi,할 야마노우치
Lelio Luttazzi,렐리오 루타지
Lucia Mascino,루차 마시노
Lianella Carell,리아넬라 카렐
Licinia Lentini,리시니아 렌티니
Maddalena Crippa,마달레나 크리파
Lucia Sardo,루시아 사도
Maurizio Sarri,마우리치오 사리
Luciano Gaucci,루차노 가우치
Mario Ponzo,마리오 폰조
Marianna Madia,마리아나 마디아
Lina Polito,리나 폴리토
Martina Rosucci,마르티나 로수치
Nando Gazzolo,난도 가촐로
Massimiliano Alto,마시밀라노 알토
Massimiliano Bruno,마시밀리아노 브루노
Marina Confalone,마리나 콘팔로네
Paola Minaccioni,파올라 미나초니
Nazzareno Natale,나차레노 나탈레
Mauro Pelosi,마우로 펠로시
Massimo Popolizio,마시모 포폴리치오
Paolo Stringara,파올로 스트린가라
Michela Cescon,미켈라 체스콘
Michele Riondino,미켈레 리온디노
Mirca Viola,미르카 비올라
Miriam Giovanelli,미리암 조바넬리
Mirko Eramo,미르코 에라모
Mirko Valdifiori,미르코 발디피오리
Remo Germani,레모 제르마니
Osiride Pevarello,오시리데 페바레로
Romina Mondello,로미나 몬델로
Rolando Maran,롤란도 마란
Riccardo Zinna,리카르도 진나
Rosabell Laurenti Sellers,로자벨 로렌티 셀러스
Serena Rossi,세레나 로시
Roberto Accornero,로베르토 아코르네로
Stefano Lavarini,스테파노 라바리니
Sabrina Impacciatore,사브리나 임파차토레
Rossella Falk,로셀라 폴크
Sergio Mattarella,세르조 마타렐라
Susanna Nicchiarelli,수산나 니키아렐리
Valeria D'Obici,발레리아 도비치
Valeria Bilello,발레리아 빌렐로
Valeria Fabrizi,발레리아 파브리치
Rafael Tolói,하파엘 톨로이
Tecla Scarano,테클라 스카라노
Ralph Marterie,랄프 마테리
Raffaella Rea,라파엘라 레아
Valentina Carnelutti,발렌티나 카르넬루티
Simone Bianchi,시모네 비앙키
Tony Kendall,토니 켄들
Cristiano Piccini,크리스티아노 피치니
Cristian Galano,크리스티안 갈라노
Valentina Lodovini,발렌티나 로도비니
Valentina Greco,발렌티나 그레코
Zerocalcare,제로칼카레
Zoe Incrocci,초에 인크로치
Antonio Donnarumma,안토니오 돈나룸마
Sonia Bergamasco,소니아 베르가마스코
Vasco Regini,바스코 레지니
Tony Sperandeo,토니 스페란데오
Daniele Baselli,다니엘레 바셀리
Stefano Caselli,스테파노 카셀리
Simone Zaza,시모네 차차
Davide Bariti,다비데 바리티
Pietro Terracciano,피에트로 테라차노
Stefano Abbati,스테파노 아바티
Simone Verdi,시모네 베르디
Davide Zappacosta,다비데 차파코스타
Umberto D'Orsi,움베르토 디올시
Vincenzo Ferdinandi,빈첸초 페르디난디
Veronica Pivetti,베로니카 피베티
Bryan Cristante,브리안 크리스탄테
Vinicio Marchioni,비니시오 마치오니
Luis Gnecco,루이스 그네코
Emerson Palmieri,이메르송 팔미에리
Baby K,베이비 K
Alfredo Campoli,알프레도 캄폴리
Nicola Murru,니콜라 무루
Alessandro De Vitis,알레산드로 데 비티스
Andrea Belotti,안드레아 벨로티
Francesco Illy,프란체스코 일리
Steve Bastoni,스티브 바스토니
Rodrigo de Paul,로드리고 데 폴
Vittorio Amandola,비토리오 아만돌라
William Edmunds,윌리엄 에드먼즈
Pinocchio,피노키오
Gianluca Lapadula,잔루카 라파둘라
Leonardo Spinazzola,레오나르도 스피나촐라
Sara Pichelli,사라 피켈리
Emanuele Padella,에마누엘레 파델라
Bruno Martella,브루노 마르텔라
Simone Corazza,시모네 코라차
Marco Sportiello,마르코 스포르티엘로
Maria Elena Boschi,마리아 엘레나 보스키
Marcello Trotta,마르첼로 트로타
Luca Martinelli (calciatore),루카 마르티넬리
Dylan Sprouse,딜런 스프라우스
Leonardo Capezzi,레오나르도 카페치
Matteo Bianchetti,마테오 비안케티
Matteo Politano,마테오 폴리타노
Chiara Ferragni,키아라 페라니
Cécile Kyenge,세실 키엥게
Federico Bernardeschi,페데리코 베르나르데스키
Regina Baresi,레지나 바레시
Jeremy Mbakogu,제리 음바코구
Manuel Pucciarelli,마누엘 푸차렐리
Danilo Cataldi,다닐로 카탈디
Bartolomeo Pepe,바르톨로메오 페페
Achraf Lazaar,아쉬라프 라자르
Lorenzo Rosseti,발레리오 로세티
Roberto Gagliardini,로베르토 갈리아르디니
Diego Laxalt,디에고 락살트
Tea Falco,테아 팔코
Aldo Gucci,알도 구찌
Erika Stefani,에리카 스테파니
Alfred Gomis,알프레드 고미스
Alessio Cragno,알레시오 크라뇨
Cristiana Girelli,크리스티아나 지렐리
Luigi Di Maio,루이지 디 마이오
Giorgian De Arrascaeta,히오르히안 데 아라스카에타
Francesco Fedato,프란체스코 페다토
Leonardo Pavoletti,레오나르도 파볼레티
Alberto Cerri,알베르토 체리
Daniela Stracchi,다니엘라 스트라키
Oriana Sabatini,오리아나 사바티니
Simone Scuffet,시모네 스쿠페트
Carina Vitulano,카리나 비툴라노
Luca Crecco,루카 크레코
José Mauri,호세 마우리
Giovanni Di Lorenzo (calciatore),조반니 디 로렌초
Luca Bittante,루카 비탄테
Pier Carlo Padoan,피에르 카를로 파도안
Federico Ricci (calciatore),페데리코 리치
Elena Radonicich,엘레나 라도니치츠
Daniele Rugani,다니엘레 루가니
Valentina Nappi,발렌티나 나피
Stefano Sturaro,스테파노 스투라로
Salvatore Garau,살바토레 가라우
Armando Izzo (calciatore),아르만도 이초
Carlo Tavecchio,카를로 타베키오
Salvatore Cuomo,살바토레 쿠오모
Alberto Cirio,알베르토 치리오
Lidia Vitale,리디아 비테일
Cristina Scuccia,크리스티나 스쿠차
Mattia Caldara,마티아 칼다라
Margherita Vicario,마르게리타 비카리오
Carlo Biotti,카를로 비 오티
Matilda Lutz,마틸다 루츠
Sara Serraiocco,사라 세라이오코
Emil Audero,에밀 아우데로
Milena Bertolini,밀레나 베르톨리니
Elena Linari,엘레나 리나리
Maurizio Malvestiti,마우리치오 말베스티티
Simona Tabasco,시모나 타바스코
Luca Lezzerini,루카 레체리니
Matilde Gioli,마틸데 졸리
Daniele Garozzo,다니엘레 가로초
Luca Rizzo,루카 리초
Saidy Janko,사이디 양코
Rolando Mandragora,롤란도 만드라고라
Maria Pia Calzone,마리아 피아 칼초네
Pierluigi Gollini,피에를루이지 골리니
Lorenzo Pellegrini,로렌초 펠레그리니
Diana Bacosi,디아나 바코시
Nicolò Barella,니콜로 바렐라
Alessia Cara,알레시아 카라
Davide Calabria,다비데 칼라브리아
Giacomo Gianniotti,자코모 잔니오티
Ivan Provedel,이반 프로베델
Irma Testa,이르마 테스타
Alice Volpi,알리체 볼피
Mariarosa Dalla Costa,마리아로사 델라 코스타
Enrica Maria Modugno,엔리카 마리아 모두그노
Gianluca Scamacca,잔루카 스카마카
Federico Dimarco,페데리코 디마르코
Stefano Sensi,스테파노 센시
Vittoria Ceretti,비토리아 세레티
Alessandro Michele,알레산드로 미켈레
Mattia Gaspari,마티아 가스파리
Pietro Boselli,피에트로 보셀리
Nicolò Fazzi,니콜로 파치
Dado Coletti,다도 콜레티
Carlo Bazzi (artista),카를로 바치
Aisling Franciosi,애쉴링 프란초지
Alex Meret,알렉스 메레트
Matteo Pessina,마테오 페시나
Giovani Lo Celso,조바니 로 셀소
Francesco Gabbani,프란체스코 가바니
Odette Giuffrida,오데테 주프리다
Paola Egonu,파올라 에고누
Alessandro Borghi (attore),알레산드로 보르기
Ilenia Pastorelli,일레니아 파스토렐리
Gianluigi Donnarumma,잔루이지 돈나룸마
Massimo Stano,마시모 스타노
Sergio Rossi (designer),세르조 로시
Abraham Conyedo,아브라암 코니에도
Mariano Di Vaio,마리아노 디 바이오
Andrea Conti (calciatore 1994),안드레아 콘티
Mariana di Girolamo,마리아나 디 지롤라모
Elettra Lamborghini,엘레트라 람보르기니
Andrea Santarelli,안드레아 산타렐리
Salvatore Farina (generale),살바토레 파리나 (군인)
Manuel Locatelli,마누엘 로카텔리
Fabio Basile,파비오 바실레
Agustín Rogel,아구스틴 로헬
Virginia Raggi,비르지니아 라지
Pietro Pellegri,피에트로 펠레그리
Patrick Cutrone,파트리크 쿠트로네
Matilda De Angelis,마틸다 데 안젤리스
Marcell Jacobs,마르셀 자콥스
Domenico Tedesco,도메니코 테데스코
Davide Ghiotto,다비데 기오토
Stefano Massini,스테파노 마시니
Lucilla Boari,루칠라 보아리
Alessandro Bastoni,알레산드로 바스토니
Moise Kean,모이스 켄
Riccardo Orsolini,리카르도 오르솔리니
Gianluca Mancini,잔루카 만치니
Nicolò Zaniolo,니콜로 차니올로
Mattia Zaccagni,마티아 자카니
Andrea Pinamonti,안드레아 피나몬티
Gabriele Rossetti (tiratore),가브리엘레 로세티 (사격 선수)
Manuel Lazzari,마누엘 라차리
Federico Baschirotto,페데리코 바스키로토
Sveva Alviti,스베바 알비티
Matteo Gabbia,마테오 가비아
Federico Chiesa,페데리코 키에사
Gualtiero Galmanini,구알티에로 갈마니니
Pasquale Mazzocchi,파스콸레 마초키
Nicolò Casale,니콜로 카살레
Kára McCullough,카라 매컬로
Vito Dell'Aquila,비토 델라퀼라
Guglielmo Vicario,굴리엘모 비카리오
Siciliani,시칠리아인
Mateo Retegui,마테오 레테기
Sandro Tonali,산드로 토날리
Leonardo Balerdi,레오나르도 발레르디
Santiago Giménez,산티아고 히메네스
Patrizia Barbieri,파트리치아 바르비에리
Giulia Guerrini,줄리아 게리니
Giuseppe Conte,주세페 콘테
Gaetano Castrovilli,가에타노 카스트로빌리
Davide Frattesi,다비데 프라테시
Alessandro Buongiorno,알레산드로 부온조르노
Tommaso Pobega,톰마소 포베가
Nicolò Fagioli,니콜로 파지올리
Luca Pellegrini (calciatore 1999),루카 펠레그리니
Hans Nicolussi Caviglia,한스 니콜루시 카빌리아
Federico Cesari,페데리코 체사리
Benedetta Porcaroli,베네데타 포르카롤리
Raoul Bellanova,라울 벨라노바
Antonino Gallo,안토니노 갈로
Ludovico Tersigni,루도비코 테르시니
Lucas Beltrán,루카스 벨트란
Giacomo Raspadori,자코모 라스파도리
Stefano Turati,스테파노 투라티
Mahmood,마무드 (가수)
Lorenzo Colombo,로렌초 콜롬보
Maria Centracchio,마리아 첸트라키오
Federica Isola,페데리카 이솔라
Marco Carnesecchi,마르코 카르네세키
Luca Moro (calciatore),루카 모로
Simone Alessio,시모네 알레시오
Andrea Colpani,안드레아 콜파니
Nicolò Rovella,니콜로 로벨라
Andrea Cambiaso,안드레아 캄비아소
Destiny Udogie,데스티니 우도기
Fabiano Parisi,파비아노 파리시
Michele Morrone,미켈레 모로네
Daniel Maldini,다니엘 말디니
Matteo Ruggeri,마테오 루게리
Fabrizio Romano (giornalista),파브리치오 로마노
Amedeo Bagnis,아메데오 바니스
Fabrizio Soccorsi,파브리치오 소코르시
Khaby Lame,카비 라메
Chiara Rebagliati,키아라 레발리아티
Riccardo Calafiori,리카르도 칼라피오리
Wilfried Gnonto,윌프리드 뇬토
Tommaso Baldanzi,톰마소 발단치
Federico Gatti,페데리코 가티
Cher Ndour,셰르 은두르
Mattia Viti,마티아 비티
Fabio Miretti,파비오 미레티
Lorenzo Lucca,로렌초 루카
Giorgio Scalvini,조르조 스칼비니
Filippo Terracciano,필리포 테라치아노
Tommaso Marini,톰마소 마리니
Ibrahima Bamba,이브라히마 밤바
Cesare Casadei,체사레 카사데이
Virginia Stablum,버지니아 스태블럼
Alessandra Mele,알레산드라 멜레
Michael Kayode,마이클 카요데
