동해시,東海市·(韓國)
대한민국의 차량 번호판,韩国车辆号牌
CUCN,中美海纜
가사 (문학),歌辞
2005년 A3 챔피언스컵,2005年A3冠军杯
대정역,大井站·(京畿道)
송추역,松湫站
KBS 1TV,KBS第1频道
일영역,日迎站
네오위즈,Neowiz·Games
온릉역,温陵站
벽제역,碧蹄站
원릉역,元陵站
노량진동,鷺梁津洞
삼릉역,三陵站·(京畿道)
시청역 (서울),市廳站·(首爾)
한국철도공사 8000호대 전기 기관차,韩国铁道8000型电力机车
반포대교,盤浦大橋
스타쉽 엔터테인먼트,STARSHIP娛樂
강동면 (경주시),江東面·(慶州市)
대한민국 제5대 대통령 선거,1963年大韓民國總統選舉
이원역,伊院站
한강진역,汉江镇站
대한민국의 대법원장,韩国大法院长
대한민국 제7대 대통령 선거,1971年大韓民國總統選舉
지탄역,池滩站
대한민국 제6대 대통령 선거,1967年大韓民國總統選舉
옥천역,沃川站
대한민국 제4대 대통령 선거,1960年8月大韓民國總統選舉
명동역 (안동),鳴洞站
세븐일레븐,7-Eleven
선풍기 사망설,電風扇致死
미투데이,Me2day
올림픽 대한민국 선수단,奧林匹克運動會韓國代表團
대한민국 제3대 대통령 선거,1956年大韓民國總統選舉
연평도,延坪岛
대한민국 통일부,统一部
대한민국 제2대 대통령 선거,1952年大韓民國總統選舉
대한민국 제1대 대통령 선거,1948年大韓民國總統選舉
1986년 아시안 게임,1986年亚洲运动会
한강의 기적,漢江奇蹟
대한민국의 지역별 국내 총생산,韩国各地国内生产总值列表
신촌역 (지하),新村站·(首尔地铁)
이태원,梨泰院
환구단,圜丘坛·(首尔)
제주 화산섬과 용암 동굴,濟州火山島和熔岩洞
해녀,海女·(韓國)
대한민국의 정치,韩国政治
리그컵 (대한민국),韩国联赛杯
바다열차,海列车
SBS,SBS·(韓國)
임성리역,任城里站
동백산역,東栢山站
솔안역,率安信號場
무안역,务安站
임곡역,林谷站
하남역,河南站·(光州)
고막원역,古幕院站
도계역,道溪站
장성역,长城站·(韩国)
함평역,咸平站
통리역,桶里站
몽탄역,梦滩站
강릉역,江陵站
노안역,老安站
2019년 1월 6일 일식,2019年1月6日日食
일로역,一老站
정동진역,正东津站
다시역,多侍站
나주역,罗州站
흥전역,兴田站·(韩国)
이랜드그룹,衣戀集團
도산안창호기념관,安昌浩纪念馆
부처님 오신 날,佛誕
부산 동삼동 패총,東三洞貝塚
동대문 디자인 플라자,东大门设计广场
두산 핸드볼,斗山手球俱樂部
동아방송예술대학교,東亞放送藝術大學
대한민국의 교통,韩国交通
강화 양민 학살 사건,江華島屠殺事件
ISO 3166-2:KR,ISO·3166-2:KR
산청·함양 양민 학살 사건,山清·咸陽屠殺事件
대한민국 농구 국가대표팀,韩国国家男子篮球队
임진강,臨津江
대한축구협회,大韓蹴球協會
부산 롯데타워,釜山樂天塔
한울원자력발전소,韓蔚核能發電廠
대한민국의 교육,韓國教育
대한민국의 정당,韩国政党列表
한빛원자력발전소,韩光核电站
방배동,方背洞
BF (음악 그룹),Boyfriend·(男子团体)
국군기무사령부,國軍機務司令部
내곡동 (서울),內谷洞
대한민국-덴마크 관계,丹麥—韓國關係
부용역,芙蓉站·(韓國)
황등역,黄登站
2035년 9월 2일 일식,2035年9月2日日食
신태인역,新泰仁站
서초동,瑞草洞
와룡역,卧龙站
천원역,川原站
함열역,咸悦站
백양사역,白羊寺站
노령역,芦岭站·(韩国)
감곡역,甘谷站·(韩国)
봉성역,凤城站
문단역,文丹信号场
법전역,法田站
나한정역,罗汉亭站
녹동역 (봉화),鹿洞站·(庆尚北道)
거촌역,巨村站
춘양역,春阳站
신동역,新洞站
사곡역,沙谷站
왜관역,倭馆站
대신역,大新站·(庆尚北道)
추풍령역,秋风岭站
구미역,龟尾站
국립고궁박물관,國立古宮博物館
아포역,牙浦站
직지사역,直指寺站
황간역,黄涧站
신암역,新岩信号场
연화역,莲花站·(庆尚北道)
광곡역,广谷站
코원시스템,COWON
대우그룹,大宇集团
고모역,顾母站
지천역,枝川站·(韓國)
온돌,溫突
SK하이닉스,SK海力士
서대구역,西大邱站
한화오션,大宇造船海洋
센텀시티,Centum·City
대한민국의 국립공원,韩国国立公园列表
롯데마트,乐天玛特
연합뉴스,韓國聯合通訊社
한반도 비무장 지대,朝韩非军事区
우포늪,牛浦沼
1991년 대한민국 지방 선거,1991年大韓民國地方議會議員選舉
대한민국 제19대 대통령 선거,2017年大韓民國總統選舉
제3회 전국동시지방선거,2002年大韓民國地方選舉
제4회 전국동시지방선거,2006年大韓民國地方選舉
제1회 전국동시지방선거,1995年大韓民國地方選舉
대한민국 제20대 국회의원 선거,2016年大韓民國國會選舉
제2회 전국동시지방선거,1998年大韓民國地方選舉
세종문화회관,世宗文化會館
대한민국의 철도,韓國鐵路運輸
KBS 월드라디오,韩国国际广播电台
양원역 (봉화),两元站
서해안고속도로,西海岸高速公路
청룡영화상,青龍電影獎
가거초,日向礁
임기역,林基站
분천역,汾川站
장충체육관,奖忠体育馆
현동역,县洞站
우도,牛岛·(济州市)
송정역 (부산),松亭站·(釜山)
나원역,罗原站
불국사역,佛国寺站
기장역,机张站
죽동역,竹东站·(韩国)
한국 수어,韩国手語
동방역,东方站·(庆尚北道)
센텀역,Centum站
호남고속철도,湖南高速線
Kt wiz,KT巫師
수서평택고속선,水西平澤高速線
한성대입구역,漢城大學站
숙대입구역,淑明女子大學站
신용산역,新龙山站
구로역,九老站
인천역,仁川站·(韓國)
주안역,朱安站
중앙역 (안산),中央站·(京畿道)
수리산역,修理山站
혜화역,惠化站
대종상,大鐘獎
계룡산,雞龍山
안면도,安眠島
간송미술관,澗松美術館
강릉 단오제,江陵端午祭
남산골 한옥마을,南山谷韓屋村
대한민국의 성소수자 권리,韩国LGBT权益
영종대교,永宗大桥
서울중앙성원,首尔中央圣院
KB국민은행,KB國民銀行
KTX-산천,KTX-山川
경희대학교,慶熙大學
오수역,獒樹站
삼례역,参礼站
관촌역,馆村站
봉덕역,凤德站·(全罗南道)
동익산역,东益山站
서도역,书道站
금지역,金池站
압록역,鸭绿站
임실역,任实站
안락역,安乐站·(釜山)
죽림온천역,竹林温泉站
태풍 너구리,颱風浣熊
재송역,栽松站
구례구역,求礼口站
남원역,南原站
주생역,周生站
개운역,开云站
곡성역,谷城站·(全罗南道)
동산역,东山站·(韩国)
신리역,新里站·(韩国)
한국바둑리그,韩国围棋联赛
주한 미국 대사관,美國駐韓國大使館
대한민국-콜롬비아 관계,哥倫比亞—韓國關係
한국어의 남북 간 차이,朝鮮語南北差異
삼양옵틱스,三陽光學
하고사리역,下古士里站
철암역,铁岩站
북위 36도,北緯36度線
고사리역,古士里站
판도라TV,潘多拉TV
상정역,上鼎信号场
백산역,栢山站·(韓國)
동점역,铜店站
마차리역,马次里站
북위 34도,北緯34度線
여천역,丽川站
도경리역,桃京里信号场
동해역,东海站·(韩国)
미로역,未老站
율촌역,栗村站
안인역,安仁站·(韩国)
덕양역,德阳站·(全罗南道)
동운역,东云站·(全罗南道)
여수엑스포역,麗水世博會站
북위 37도,北緯37度線
묵호역,墨湖站
망상해수욕장역,望祥海水浴场站
망상역,望祥站
옥계역,玉溪站·(韓國)
안강-기계 전투,慶州戰役
평안남도 (대한민국),平安南道·(韩国)
황해도 (대한민국),黄海道·(韩国)
여행경보,旅遊警示
휘닉스 평창,鳳凰雪上公園
전동성당,殿洞主教座堂
동아시아 경기 대회,東亞運動會
함경북도 (대한민국),咸镜北道·(韩国)
평안북도 (대한민국),平安北道·(韩国)
제1·2차 원주 전투,第一次與第二次原州戰役
금융감독원,金融监督院
부산해운대경찰서,釜山海雲台警察署
2012년 핵안보정상회의,2012年核安全峰會
인천아시아드주경기장,仁川亞運主體育場
인천대학교,仁川大学
영동선,嶺東線
자유당 (대한민국),自由黨·(大韓民國)
대한민국의 인권,韩国人权
남북 관계,朝鮮半島南北關係
현대모비스,現代摩比斯
한양도성,首尔城墙
부산교통공사,釜山交通公社
대한민국의 경제 개발 5개년 계획,韩国经济开发五年计划
정선 알파인 경기장,旌善高山滑雪中心
안강역,安康站·(庆尚北道)
일광역,日光站·(韓國)
동래역 (한국철도공사),东莱站·(韩国铁道公社)
덕하역,德下站
모화역,毛火站
효문역,孝门站
청령역,青令站
사방역,士方站
부조역,扶助站
월내역,月内站
호계역,虎溪站
신해운대역,新海云台站
양자동역,良子洞站
서생역,西生站
개운포역,開雲浦站
입실역,入室站
강릉실내종합체육관,江陵室內滑冰場
제6회 전국동시지방선거,2014年大韓民國地方選舉
스타제국,明星帝國娛樂
부산대양산캠퍼스역,釜山大學梁山分校站
G1방송,G1廣播
진주역,晉州站·(韓國)
서울올림픽주경기장,首爾奧林匹克主競技場
국립경주박물관,国立庆州博物馆
서강대학교,西江大学
에어부산,釜山航空
안랩,安博士
대한민국 제14대 대통령 선거,1992年大韓民國總統選舉
회현역,会贤站
수도권 (대한민국),首都圈·(韓國)
산본역,山本站·(京畿道)
대한민국 제15대 대통령 선거,1997年大韓民國總統選舉
경남 FC,慶南足球俱樂部
대한민국 국가청렴위원회,國家清廉委員會
대한민국 제16대 대통령 선거,2002年大韓民國總統選舉
불국사,佛国寺
MBK 엔터테인먼트,MBK娛樂
중양절,重陽節
숭례문,崇禮門
경주 월성,半月城
간치역,艮峙站
남포역 (보령),蓝浦站
대천역,大川站·(韩国)
장항역,长项站
신곡역,新谷站·(韓國)
광천역,广川站
한림정역,翰林亭站
오산리역,五山里站
웅천역,熊川站·(忠清南道)
텔레비전 등급 제도,電視分級制度
원죽역,元竹站
홍성역,洪城站
임피역,临陂站
판교역 (서천),板桥站·(忠清南道)
서천역,舒川站
군산역,群山站
서원대학교,西原大学
대야역,大野站·(韩国)
석포역,石浦站
승부역,承富站
닌텐도 Wi-Fi 커넥션,任天堂Wi-Fi连接
동아시아 공동체,東亞共同體
대한민국의 영화 목록,韓國電影列表
용산선,龍山線
대한민국 핸드볼 국가대표팀,韓國國家男子手球隊
TvN,TvN
대한민국 제12대 대통령 선거,1981年大韓民國總統選舉
Wii 게임 목록,Wii遊戲列表
조선왕조의궤,朝鮮王室儀軌
112 (응급 전화번호),112·(求救电话)
한국철도공사 8200호대 전기 기관차,韩国铁道8200型电力机车
대한민국 제13대 대통령 선거,1987年大韓民國總統選舉
조선왕조실록,朝鮮王朝實錄
독립문,獨立門
어버이날,全球父母节
FC MEN,FC·MEN
한국지엠,韓國通用汽車
경향신문,京鄉新聞
서울 삼전도비,大清皇帝功德碑
강원대학교,江原大学
대한민국 여자 아이스하키 국가대표팀,韩国国家女子冰球队
PC방,PC房
아시아나항공 733편 추락 사고,韓亞航空733號班機空難
효성 (기업),曉星集團
성 베네딕도회 왜관수도원,倭館修道院
국방대학교,国防大学·(韩国)
한국물가정보배 프로기전,物价信息杯
핸드볼 H리그,韓國手球聯賽
건천읍,乾川邑
2AM,2AM
새남터,沙南基
B2M 엔터테인먼트,B2M娛樂
2002년 아시안 게임 유도,2002年亞洲運動會柔道比賽
2002년 아시안 게임 스쿼시,2002年亞洲運動會壁球比賽
수원 FC,水原足球俱乐部
하동역,河东站·(韩国)
예당역,礼堂站
능주역,绫州站
군북역,郡北站
득량역,得粮站
보성역,宝城站
진상역,津上站
옥곡역,玉谷站
명봉역,鸣凤站
골약역,骨若站
원창역,元仓站
대한민국의 설치순 도시 목록,韩国城市列表
평화역,平和站·(韓國)
유수역,柳树站
양보역,良甫站
조성역,鳥城站
광양역,光阳站
횡천역,横川站·(韩国)
벌교역,筏桥站
진례역,进礼站
태풍 제비,颱風飛燕
북위 35도,北纬35度线
함안역,咸安站
진영역,进永站
완사역,浣纱站
용강신호소,龍岡站·(慶尚南道)
다솔사역,多率寺站
창원중앙역,昌原中央站
중리역,中里站·(庆尚南道)
김포선,金浦线
금정산성,金井山城
금강대학교,金剛大學
뚜레쥬르,多乐之日
한독 관계,德國—韓國關係
당신의 여자,你的女人
금관총,金冠塚
남평역,南平站·(全罗南道)
골굴사,骨窟寺
부석사,浮石寺
효천역,孝泉站
화순역,和顺站·(全罗南道)
대곡-소사선,大谷—素砂線
고려산,高丽山
안산역,安山站
성신여대입구역,誠信女子大學站
대한민국 풋살 국가대표팀,韩国国家五人制足球队
동인천역,東仁川站
써클 디지털 차트,Circle数字榜
구일역,九一站
인덕원역,仁德院站
정부과천청사역,政府果川厅舍站
처용무,處容舞
둔촌동역,遁村洞站
합정역,合井站
영등포시장역,永登浦市场站
충정로역,忠正路站
과천역,果川站
삽교역,插桥站
석계역,石溪站·(首尔)
효자역 (포항),孝子站·(庆尚北道)
신당역,新堂站·(首爾)
화양역,华阳站·(忠清南道)
개롱역,開籠站
신례원역,新礼院站
오가역,吾可站
예산역,礼山站
신금호역,新金湖站
여의도역,汝矣岛站
장한평역,长汉坪站
광화문역,光化門站·(首爾)
한국국제교류재단,韓國國際交流財團
평창알펜시아리조트,阿爾卑西亞度假村
남사당놀이,男寺黨
캠프 보니파스,柏尼法斯營
대한민국의 경찰,韓國警察
대한민국-말레이시아 관계,韩国—马来西亚关系
광희문,光熙門
경주 양동 관가정,觀稼亭
의정부 KB손해보험 스타즈,議政府KB保險明星
소백산맥,小白山脈
상주역,尚州站
동송정역,东松汀信号场
함창역,咸昌站
점촌역,店村站
예천역,醴泉站
청리역,青里站
용궁역,龙宫站
닌텐도 DS의 게임 목록,任天堂DS游戏列表
개포역,开浦站
제진역,猪津站
옥산역,玉山站·(庆尚北道)
추전역,杻田站·(江原特别自治道)
경산역,庆山站
가천역,佳川站
물금역,勿禁站
신거역,新巨站
삼성역 (경산),三省站
미전역,美田信号场
원동역,院洞站
원더걸스,Wonder·Girls
삼랑진역,三浪津站
남성현역,南省岘站
청도역,清道站
밀양역,密阳站
FC 서울,首爾足球俱樂部
K리그,K聯賽
아무르판,阿穆尔板块
한국방송공사,韓國廣播公司
화명역 (한국철도공사),华明站·(韩国铁道公社)
창덕궁,昌德宮
부산진역 (한국철도공사),釜山镇站·(韩国铁道公社)
구포역 (한국철도공사),龟浦站·(韩国铁道公社)
사상역 (한국철도공사),沙上站·(韩国铁道公社)
흑산도,黑山島
용문역 (양평),龙门站·(京畿道)
타타대우상용차,塔塔大宇商用車
강강술래,强羌水越来
태풍 볼라벤 (2012년),颱風布拉萬·(2012年)
어등역,鱼登站
2002년 FIFA 월드컵 D조,2002年國際足協世界盃D組
2002년 FIFA 월드컵 결선 토너먼트,2002年國際足協世界盃淘汰賽
대한민국의 대통령 목록,韓國總統列表
대구스타디움,大邱體育場
1960년 AFC 아시안컵,1960年亞足聯亞洲盃
수원 화성,水原华城
광화문광장,光化门广场
경주향교,庆州乡校
광주기아챔피언스필드,光州起亞冠軍球場
강릉 아이스 아레나,江陵冰上運動場
2002년 FIFA 월드컵 G조,2002年國際足協世界盃G組
KBS경인방송센터,KBS京仁放送中心
2002년 FIFA 월드컵 C조,2002年國際足協世界盃C組
2002년 FIFA 월드컵 F조,2002年國際足協世界盃F組
2002년 FIFA 월드컵 A조,2002年國際足協世界盃A組
2002년 FIFA 월드컵 E조,2002年國際足協世界盃E組
서울특별시의 시내버스,首尔巴士
서울 경전철 동북선,首爾輕電鐵東北線
송정공원역,松汀公园站
대한민국의 경제,韓國經濟
도산역,道山站
한남동,漢南洞
한원미술관,翰園美術館
시청역 (대전),市厅站·(大田)
월평역,月坪站
탄방역,炭坊站
중구청역,中区厅站
현충원역,显忠院站
구암역 (대전),九岩站
월드컵경기장역 (대전),世界杯竞技场站·(大田)
반석역,盘石站
오룡역,五龙站
유성온천역,儒城温泉站
서대전네거리역,西大田四街站
지족역,智足站
노은역,老隐站
써클차트 뮤직 어워즈,Circle·Chart·Music·Awards
하나회,新军部
황남동,皇南洞
황오동,皇吾洞
한빛소프트,HanbitSoft
한강로동,漢江路洞
Rebirth (EP),Rebirth·(SS501迷你專輯)
서울 경전철 신림선,首爾輕電鐵新林線
서울 경전철 우이신설선,首爾輕電鐵牛耳新設線
2011년 서울특별시장 보궐선거,2011年首爾市長補選
크래프톤,魁匠團
대동역,大洞站
금남로4가역,锦南路4街站
문화전당역,文化殿堂站
운천역 (광주),云泉站·(光州)
쌍촌역,双村站
상무역,尚武站·(光州)
화정역 (광주),花亭站
판암역,板岩站
양동시장역,良洞市场站
돌고개역,石脊站
신흥역 (대전),新兴站·(大田)
갑천역,甲川站
농성역,农城站
대전역 (도시철도),大田站·(大田地铁)
평동역,平洞站
갈마역 (대전),葛马站
김대중컨벤션센터역,金大中會展中心站
금남로5가역,锦南路5街站
광주송정역 (도시철도),光州松汀站·(光州地铁)
남영동,南營洞
후암동,厚岩洞
광주문화방송,光州文化广播
공항역 (광주),机场站·(光州)
부산문화방송,釜山文化广播
2002년 FIFA 월드컵 H조,2002年國際足協世界盃H組
한라산국립공원,漢拏山國立公園
윤도,羅庚
대전문화방송,大田文化广播
대구문화방송,大邱文化广播
1988년 하계 올림픽 테니스,1988年夏季奥林匹克运动会网球比赛
제주국제공항,濟州國際機場
재벌,韩国财阀
써클 차트,Circle·Chart
남북통일,朝鮮半島統一問題
인천 유나이티드 FC,仁川聯足球俱樂部
제주월드컵경기장,濟州世界盃競技場
전남 드래곤즈,全南天龙足球俱乐部
성남 FC,城南足球俱樂部
휠라,斐乐
부산아시아드주경기장,釜山亞運會主競技場
코스피,韓國綜合股價指數
서울과학기술대학교,首爾科學技術大學
국립강릉원주대학교,江陵原州大学
용인대학교,龍仁大學
을지대학교,乙支大學
인제대학교,仁濟大學
서울예술대학교,首爾藝術大學
배재대학교,培材大学
육군사관학교 (대한민국),陸軍士官學校·(韓國)
국립한밭대학교,韩巴大学
공군사관학교 (대한민국),空軍士官學校·(韓國)
삼산역 (서천),三山站·(忠清南道)
선장역,仙掌站
1988년 하계 올림픽 양궁,1988年夏季奥林匹克运动会射箭比赛
1988년 하계 올림픽 유도,1988年夏季奥林匹克运动会柔道比赛
정부청사역,政府大樓站
석교역,石桥站·(忠清南道)
성거역,聖居站
구절역,九切站
동백정역,冬栢亭站
신도역,新都站·(忠清南道)
공주역,公州站
기동역,奇洞站
중앙로역 (대전),中央路站·(大田)
대한민국-헝가리 관계,匈牙利—韓國關係
무주덕유산리조트,茂朱渡假村
2002년 아시안 게임 배드민턴,2002年亞洲運動會羽毛球比賽
동예천역,東醴泉站
2011년 세계 태권도 선수권 대회,2011年世界跆拳道锦标赛
마전역 (안성),麻田站·(安城市)
만성역,万圣站
마성역,麻城站·(庆尚北道)
마항역,马项站
만수역 (화순),万水站
동순천역,东顺天站
망월역,望月站
두원역,杜院站
마평역,麻坪站
동촌역 (한국철도공사),东村站·(韩国铁道公社)
인천 차이나타운,仁川唐人街
대한민국-인도 관계,印度—韓國關係
김포국제공항,金浦國際機場
대한민국 축구 국가대표팀,韓國國家男子足球隊
경복궁,景福宮·(韓國)
수원 삼성 블루윙즈,水原三星藍翼足球俱樂部
반야월역 (한국철도공사),半夜月站·(韩国铁道公社)
방송소앞역,放送所前站
문학역,文鹤站
매산역,梅山站·(京畿道)
산양역,山阳站·(庆尚北道)
빈정역,滨汀站
미양역,薇陽站
박람회역,博览会站·(韩国)
사천역,泗川站
복암역,福巖站
미평역,美坪站
병영역,兵营站
미생정역,弥生町站
매류역,梅柳站
무촌역,茂村站
보문역 (예천),普門站·(慶尚北道)
불정역,佛井站
북광주역,北光州站
명산역,明山站
반구역,盤邱站
미룡역,美龍站
미산역,眉山站·(庆尚北道)
벽도역,碧桃站
부산잔교역,釜山栈桥站
주포역,周浦站·(韩国)
주교역,舟桥站
옥마역,玉马站
입장역,笠場站
연무대역,鍊武臺站
장항화물역,长项货物站
주산역,珠山站
청소역,青所站
채화역,彩花站
신성역,新城站·(忠清南道)
춘장대역,春长台站
2013년 동계 스페셜 올림픽,2013年世界冬季特殊奧林匹克運動會
온동역,温洞站
옥서역,玉西站
신천지예수교 증거장막성전,新天地耶穌教證據帳幕聖殿教會
원두역,元头站
신부역,新富站·(忠清南道)
연산역 (논산),连山站·(忠清南道)
장항잔교역,长项栈桥站
한러 관계,俄羅斯—韓國關係
이대 (지역),梨大·(首尔)
이촌동,二村洞
인천공항 자기부상철도,仁川空港磁氣浮上鐵道
한국산업은행,韩国产业银行
"민주당 (대한민국, 1991년)",民主黨·(大韓民國1991年)
홍대 (지명),弘大·(首尔)
포항 전투,浦項戰役
호남고속도로지선,湖南高速公路支线
2017년 FIFA U-20 월드컵,2017年國際足協U-20世界盃
서울대학교병원,首爾大學醫院
매곡역,梅谷站·(韓國)
월곶역,月串站
만종역,萬鍾站
서원주역,西原州站
원주역,原州站
일신역 (양평),日新站·(京畿道)
동화역,桐華站
호구포역,虎口浦站
소래포구역,苏莱浦口站
지평역,砥平站
삼산역,三山站·(京畿道)
연수역,延寿站
양동역,杨东站
용문역 (대전),龙汶站
울산문수축구경기장,蔚山文殊足球競技場
대전월드컵경기장,大田世界盃競技場
문화방송,文化廣播公司
신화 (음악 그룹),神话·(组合)
제주 유나이티드 FC,濟州聯足球俱樂部
제주항공,濟州航空
덕수궁,德壽宮
부산국제영화제,釜山國際電影節
설악산,雪嶽山
금정산,金井山
섬진강,蟾津江
단양역,丹阳站·(忠清北道)
연박역,硯朴站
상당역,上唐站
가은역,加恩站
공덕리역,孔德里站
경포대역,镜浦台站
고평역,高坪站
가풍역,加丰站
송학역 (제천),松鹤站·(忠清北道)
가동역,佳洞站
광대리역,廣大里站
갈촌역,葛村站
도안역 (증평),道安站·(忠清北道)
고지역,古池站
금암역,琴巖站
간현역,艮岘站
개양역,开阳站·(庆尚南道)
경북풍산역,慶北豐山站
문암역 (음성),文岩站·(忠清北道)
학성역,鹤城站
가릉역,佳陵站·(废站)
미륵역,弥勒站·(韩国)
1988년 하계 올림픽 배구,1988年夏季奧林匹克運動會排球比賽
태백산맥,太白山脈
전주월드컵경기장,全州世界盃競技場
1988년 하계 올림픽 탁구,1988年夏季奥林匹克运动会乒乓球比赛
남문산역,南文山站
덕곡역,德谷站
답내역,沓内站
능내역,陵内信号场
동교역,东交站
내동역,奈洞站
낙산사역,洛山寺站
금문역,琴聞站
군산부두역,群山埠头站
구랑리역,九郎里站
내금강역,内金刚站
남화순역,南和順站
남울산역,南蔚山站
구마산역,旧马山站
교원역,校原站
군산항역 (폐역),群山港站·(廢站)
도림역,道林站·(全罗南道)
금오산역,金乌山站
당인리역,唐人里站
도암역,道岩站
대성역,大成站·(庆尚南道)
다산역 (폐역),多山站
대서역,大西站·(京畿道)
담양역,潭阳站
대전선,大田線
수요집회,水曜集會
한국불교태고종,太古宗
인천 현대제철 레드엔젤스,仁川现代制铁红天使女子足球俱乐部
해운대 엘시티 더샵,海雲臺LCT頂尖
한국선물거래소,韩国期货交易所
2002년 FIFA 월드컵 B조,2002年國際足協世界盃B組
동목포역,东木浦站
동막역 (서울),东幕站·(首尔)
남광주역 (폐역),南光州站·(廢站)
군자역 (폐역),君子站·(国铁)
달리역,达里站
도지역,道只站
김포역,金浦站·(韓國)
노룡역,魯龍站
제1보병사단 (대한민국),韓國陸軍第1步兵師
대포역,大浦站·(韓國)
속리산,俗離山
국가보안법 (대한민국),国家保安法
흥인지문,興仁之門
한림대학교,翰林大學
성공회대학교,圣公会大学
자유민주연합,自由民主联合
제헌절 (대한민국),制憲節
대한민국 기상청,氣象廳·(韓國)
2002년 아시안 게임 테니스,2002年亞洲運動會網球比賽
대한민국-이란 관계,伊朗—韩国关系
대한민국-이탈리아 관계,意大利—韓國關係
호남고속도로,湖南高速公路·(韓國)
남한산성,南漢山城
반제민족민주전선,反帝民族民主戰線
인터파크트리플,INTERPARK
시화호조력발전소,始华湖潮汐电厂
서울종합운동장,首爾綜合運動場
가야선,伽倻線
서울특별시청,首尔特别市厅
KBS충주방송국,KBS忠州放送局
제6보병사단 (대한민국),韩国陆军第6步兵师
월미도,月尾島
전국체육대회,全国体育大会·(韩国)
각계역,觉溪站
논산역,论山站
KC-100,KC-100
KCC (기업),KCC·(公司)
티맥스소프트,TmaxSoft
KBS 제2라디오,KBS第2广播
서울신문,首尔新闻
전주대학교,全州大學
티머니,T-money
숙명여자대학교,淑明女子大學
한성대학교,漢城大學
서울광장,首尔广场
경성대학교,慶星大學
대한민국 미래창조과학부,未來創造科學部
수원대학교,水原大學
고신대학교,高神大学
칼빈대학교,加爾文大學
국립부경대학교,釜慶大學
ESA (기업),Softmax·(游戏开发商)
서울외국어고등학교,首尔外国语高等学校
운부군옥,韻府羣玉
육군훈련소 인분 사건,韓國陸軍訓練所食糞事件
태풍 개미,台风格美
KTV 국민방송,KTV国民放送
무령왕릉,武寧王陵
한국콘텐츠진흥원,韓國文化產業振興院
천주교 군종교구,天主教韓國軍中教長區
2008년 세계 쇼트트랙 선수권 대회,2008年世界短道速滑锦标赛
카투사,美國陸軍附編韓軍
첨성대,瞻星臺
코리아헤럴드,韩国先驱报
논산천안고속도로,論山天安高速公路
상명대학교,祥明大學
대한민국 제17대 대통령 선거,2007年大韓民國總統選舉
백제 금동대향로,百济金铜大香炉
대한민국 법무부,韩国法务部
롯데그룹,樂天·(1948年成立)
창경궁,昌慶宮
광역시,廣域市·(韓國)
대한민국 (연호),大韓民國紀年
레일크루즈 해랑,海浪号
성신여자대학교,誠信女子大學
천안 봉선홍경사 갈기비,天安奉先弘慶寺碣記碑
대한민국–일본 관계,日本—韩国关系
제주민군복합형관광미항,濟州民軍複合型觀光美港
대전남부순환고속도로,大田南環高速公路
명지대학교,明知大學
한반도 군사 분계선,三八线
서울숲,首爾森林
농심,農心
부산일보,釜山日報
판소리,盘索里
양정역 (남양주),养正站
낙동강 방어선 전투,釜山環形防禦圈戰役
양원역 (서울),养源站
중앙고속도로,中央高速公路·(韓國)
인천국제공항고속도로,仁川國際機場高速公路
영동고속도로,嶺東高速公路
전라선,全羅線
울산고속도로,蔚山高速公路
현대해상화재보험,现代海上火灾保险公司
반곡역,盘谷站
대일 전승 기념일,第二次世界大战对日战争胜利纪念日
유교역,流交信号场
대한민국 합동참모본부,聯合參謀本部
금교역,金交信号场
대한민국의 대통령,韓國總統
대한민국의 방송사,韩国电视
대전방송,大田廣播
대한민국의 전화번호 체계,韩国电话号码系统
석전대제,釋奠禮
정교회 성모희보성당,正教会圣母喜报圣堂
행궁,行宫
부산 해군기지,釜山海軍基地
서울 모터쇼,首尔车展
대구국제공항,大邱國際機場
JYP 엔터테인먼트,JYP娛樂
대한민국 육군,韓國陸軍
한강철교,漢江鐵橋
수도권 전철의 차량,首都圈电铁车辆
천등산 (충북),天登山
대한민국 대법원,韩国大法院
엠넷 아시안 뮤직 어워드,MAMA大獎
광주교통공사 1000호대 전동차,光州广域市都市铁道公社1000系电力动车组
소요산,逍遙山·(韓國)
서울특별시청사,首爾特別市廳舍
계관산,鸡冠山·(韩国)
소태역,所台站
서울의 봄,漢城之春
동호대교,東湖大橋
대한민국 검찰청,韩国检察厅
서경대학교,西京大学
마니산,摩尼山
낙동강역,洛东江站
국가철도공단,國家鐵道公團
수려선,水骊线
봉정사,鳳停寺
군산화물선,群山货物线
한국독립당,韓國獨立黨
계성고등학교 (대구),启圣高等学校
2013년 코리아 그랑프리,2013年韩国大奖赛
대한민국의 비자 정책,韩国签证政策
한국어의 언어 순수주의,國語純化運動
환기미술관,煥基美術館
우석대학교,又石大學
응봉산 (서울),鷹峰山
대한민국 보건복지부,保健福祉部
신평역,新平站·(釜山)
평택제천고속도로,平澤堤川高速公路
동해고속도로,東海高速公路
충무로,忠武路
대한민국 경찰청,韓國警察廳
경인고속도로,京仁高速公路
10·26 사건,朴正熙遇刺案
수원케이티위즈파크,水原棒球場
제2경인고속도로,第二京仁高速公路
수도권제1순환고속도로,首都圈一環高速公路
전주방송,全州廣播
제주국제자유도시개발센터,济州国际自由城市开发中心
조선호텔앤리조트,威斯汀朝鮮酒店
제주방송,濟州廣播
