Polska,波兰
Diecezja opolska,天主教奥波莱教区
Diecezja płocka,天主教普沃茨克教区
Diecezja legnicka,天主教莱格尼察教区
Diecezja pelplińska,天主教佩爾普林教區
Diecezja włocławska,天主教弗沃茨瓦韦克教区
Diecezja zamojsko-lubaczowska,天主教扎莫希奇-卢巴丘夫教区
Diecezja sandomierska,天主教桑多梅日教区
Diecezja toruńska,天主教托伦教区
Diecezja sosnowiecka,天主教索斯诺维茨教区
Czarne,恰尔内
Skarszewy,斯卡爾謝維
Działoszyn,賈沃申
Diecezja łowicka,天主教沃维奇教区
Diecezja łomżyńska,天主教沃姆扎教区
Armia Polska we Francji,藍軍·(波蘭)
Pałac Blanka,布蘭克宮
Grodków,格羅德庫夫
Pisa (dopływ Narwi),皮薩河·(納雷夫河支流)
Powiat kartuski,卡爾圖濟縣
Powiat sokólski,索科烏卡縣
Mikołajki,米科瓦伊基
Plac Bankowy w Warszawie,银行广场
Korsze,科爾謝
Czersk,切爾斯克
Korona Kielce,凱爾采科羅納足球俱樂部
Mały Młyn w Gdańsku,格但斯克小磨坊
Województwo legnickie,萊格尼察省
Bystrzyca (dopływ Odry),貝斯奇察河·(奧得河支流)
Ochota,奥霍塔区
Wola (Warszawa),沃拉區·(華沙)
Nowe Miasto nad Pilicą,皮利察河畔新城
Krotoszyn,克羅托申
Zakliczyn,扎克利琴
Pol’and’Rock Festival,波蘭胡士托音樂藝術節
Mszana Dolna,下姆沙納
Ostrowiec Świętokrzyski,聖十字地區奧斯特羅維茨
Legionowo,萊吉奧諾沃
Myszków,梅什库夫
Jawor (miasto),亚沃尔
Trójmiasto,三聯市·(波蘭)
Powiat płocki,普沃茨克縣
Powiat łosicki,沃西采縣
Boguchwała,博古赫瓦瓦
Czartoryscy herbu własnego,恰尔托雷斯基家族
Andrychów,安德雷胡夫
Chociwel,霍齊韋爾
Nowy Staw,新斯塔夫
Okonek,奧科內克
Górzno,古日諾
Powiat kozienicki,科傑尼采縣
Dębica,登比察
Bodzentyn,博曾滕
Powiat mławski,姆瓦瓦縣
Powiat gostyniński,戈斯蒂寧縣
Gołdap,戈乌达普
Gorlice,戈爾利采
Boguszów-Gorce,博古舒夫-戈爾采
Zamek w Bolkowie,博爾庫夫城堡
Powiat miński,明斯克縣
Powiat grójecki,格魯耶茨縣
Pisz,皮什
Głogów Małopolski,小波蘭地區格沃古夫
Miłosław,米沃斯瓦夫
Stronie Śląskie,斯托尼拉斯奇
Kunów,庫努夫
Pszczyna,普什奇納
Janowiec Wielkopolski,大波蘭地區亞諾維茨
Orneta,奥尔内塔
Rydułtowy,雷杜烏托維
Wilamowice,维拉莫维采
Powiat nowodworski (województwo pomorskie),格但斯克新莊園縣
Województwo płockie (1975–1998),普沃茨克省
Józefów (powiat biłgorajski),約瑟夫烏·(盧布林省)
Drwęca,德爾文察河
TVP Sport,波蘭電視台體育頻道
Lubliniec,盧布利涅茨
Goniądz,戈尼翁茲
Węgrów,文格魯夫
Sojusz Lewicy Demokratycznej,民主左派聯盟
Szczytno,什奇特諾
Kobyłka,科貝烏卡
Międzynarodowy Konkurs Skrzypcowy im. Henryka Wieniawskiego,维尼亚夫斯基国际小提琴比赛
Ostróda,奧斯特魯達
Kościół św. Wojciecha w Krakowie (Rynek Główny),圣亚德伯堂·(克拉科夫)
Pałac Branickich w Warszawie (ul. Miodowa),布蘭尼基宮·(華沙)
Europa Środkowo-Wschodnia,中东欧
Zamek Grodno,格羅德諾城堡
Olecko,奧萊茨科
Przysucha,普日蘇哈
Józefów (powiat otwocki),約瑟夫烏·(馬佐夫舍省)
Wojkowice,沃伊科維采
Brwinów,布爾維努夫
Ciechocinek,切霍齊內克
Kowary,科瓦雷
Chełmek,海烏梅克
Konstancin-Jeziorna,康斯坦欽-耶焦爾納
Gozdnica,戈茲德尼察
Borne Sulinowo,博爾內蘇利諾沃
Rudnik nad Sanem,桑河畔鲁德尼克
Pelplin,佩爾普林
Archidiecezja przemyska,天主教普热梅希尔总教区
Drzwi Gnieźnieńskie,格涅兹诺门
Góra Kalwaria,古拉卡爾瓦里亞
Bukowno,布科夫諾
Brześć Kujawski,庫亞維地區布熱希奇
Frampol,弗蘭波爾
Ulica Świdnicka we Wrocławiu,希维德尼察街
Dzierzgoń (rzeka),傑日貢河
Reprezentacja Polski w hokeju na trawie mężczyzn,波兰国家曲棍球队
Uniwersytet Latający (1882–1905),移動大學
Warsaw Trade Tower,華沙貿易塔
Spodek (hala widowiskowa),Spodek
Pilzno (Polska),皮爾茲諾
Polskie Radio,波蘭廣播電台
Niezależny Samorządny Związek Zawodowy „Solidarność” w latach 1980–1989,團結工聯歷史
Prezydent Rzeczypospolitej Polskiej,波兰总统
Martynów (województwo mazowieckie),马尔蒂努夫
Województwo tarnowskie,塔尔努夫省
Polska na Letnich Igrzyskach Paraolimpijskich 2008,2008年夏季殘疾人奧林匹克運動會波蘭代表團
Jezioro Otmuchowskie,奧特穆胡夫湖
Poniatowscy herbu Ciołek,波尼亚托夫斯基家族
Świna,希維納河
Grób Nieznanego Żołnierza w Warszawie,无名烈士墓·(华沙)
Grabowa (dopływ Wieprzy),格拉博瓦河
Narodowe Odrodzenie Polski,波兰民族复兴
Mistrzostwa Świata w Podnoszeniu Ciężarów 2002,2002年世界举重锦标赛
Sukiennice w Krakowie,纺织会馆·(克拉科夫)
Tatry Zachodnie,西塔特拉山
Archikatedra Chrystusa Króla w Katowicach,基督君王主教座堂·(卡托维兹)
Bazylika katedralna św. Jana Chrzciciela i św. Jana Ewangelisty w Toruniu,聖若翰洗者與聖史若望聖殿主教座堂·(托倫)
Chocianów,霍恰努夫
Wojnicz,沃伊尼奇
Unia Polityki Realnej,現實政治聯盟
Skórcz,斯庫爾奇
Kudowa-Zdrój,庫多瓦-茲德魯伊
Ursynów,乌尔瑟努夫区
Stary Sącz,舊松奇
Cedynia,采迪尼亞
Chojna,霍伊納
Skawinka,斯卡溫卡河
Powiat strzyżowski,斯奇茹夫縣
Głogówek,格沃古韋克
Skała (miasto),斯卡瓦
Piwniczna-Zdrój,皮夫尼奇納-兹德魯伊
Powiat suski,蘇哈縣
Polski październik 1956,波兰十月事件
Wielka Zbrojownia w Gdańsku,格但斯克大軍械庫
Rynek we Wrocławiu,中央集市广场·(弗罗茨瓦夫)
Wielka Synagoga w Warszawie,大猶太會堂·(華沙)
Ulica Nowy Świat w Warszawie,新世界街
Kolegium Europejskie,歐洲學院
Plac Zamkowy w Warszawie,城堡广场·(华沙)
Warsaw Snooker Tour,2007年华沙斯诺克巡回赛
Transport w Polsce,波蘭交通
Lotte Wedel,E·威德爾
Barbakan w Warszawie,華沙甕城
Nowe Miasto (Warszawa),华沙新城区
Port lotniczy Wrocław-Strachowice,弗羅茨瓦夫機場
Ulica Piotrkowska w Łodzi,皮歐考斯卡大街
Hala Targowa przy ul. Piaskowej we Wrocławiu,弗罗茨瓦夫集市大厅
Czarna Hańcza,黑漢恰河
Pałac Kazimierzowski w Warszawie,卡齊米日宮
Powiat zduńskowolski,茲敦斯卡沃拉縣
Rudawa (rzeka),魯達瓦河
Katedra św. Marii Magdaleny we Wrocławiu,圣玛利亚玛达肋纳堂·(弗罗茨瓦夫)
Gunica,古利察河
Piława Górna,上皮瓦瓦
Maszt radiowy w Konstantynowie,華沙電台廣播塔
Powiat piaseczyński,皮亞塞奇諾縣
Witkowo,維特科沃
Festiwal Kultury Żydowskiej w Krakowie,克拉科夫猶太文化節
Powiat starachowicki,斯塔拉霍維采縣
Mikstat,米克斯塔特
Szczucin,什丘欽
Radłów,拉德武夫
Ryglice,雷格利采
Wielimie,維利梅湖
Konstytucja Rzeczypospolitej Polskiej,波兰宪法
Bojanowo,博亞諾沃
Prudnik,普魯德尼克
Rogoźno,羅戈伊諾
Kałuszyn,卡武申
Lubawa,盧巴瓦
Górowo Iławeckie,古羅沃伊瓦韋茨凱
Powiat bartoszycki,巴爾托希采縣
Powiat człuchowski,奇武胡夫縣
Powiat sieradzki,謝拉茲縣
Powiat zambrowski,贊布魯夫縣
Powiat mrągowski,姆龍戈沃縣
Żołnierze wyklęci,被诅咒的士兵
Netta (rzeka),內塔河
Kowalewo Pomorskie,波莫瑞地區科瓦萊沃
Cmentarz Mauzoleum Żołnierzy Radzieckich,華沙蘇聯軍人公墓
Ruda (dopływ prawy Brdy),哈默弗利斯河
Katastrofa lotnicza na Okęciu (1980),LOT波蘭航空007號班機空難
Powiat augustowski,奧古斯圖夫縣
Powiat łomżyński,沃姆扎縣
Powiat sochaczewski,索哈切夫縣
Paszporty w Polsce,波兰护照
Powiat myślenicki,梅希萊尼采縣
Kolumna Zygmunta III Wazy,西吉斯蒙德圆柱
Szczuczyn (województwo podlaskie),什丘琴
Ciężkowice,錢日科維采
Powiat grodziski (województwo mazowieckie),馬佐夫舍地區格羅濟斯克縣
Powiat siemiatycki,謝米亞蒂切縣
Kościół św. Anny w Krakowie,聖亞納協同教堂·(克拉科夫)
Powiat grajewski,格拉耶沃縣
Port morski Gdańsk,格但斯克港
Muzeum Plakatu w Wilanowie,海報博物館
Samoobrona Rzeczpospolitej Polskiej,波兰共和国自卫党
Powiat zgierski,茲蓋日縣
Powiat pajęczański,帕延奇諾縣
Powiat wysokomazowiecki,馬佐夫舍地區維索凱縣
Reszel,雷謝爾
Poniatowa,波尼亞托瓦
Dąbrowa Białostocka,比亞韋斯托克的棟布羅瓦
Powiat białostocki,比亞韋斯托克縣
Przedecz,普熱代奇
Powiat hajnowski,哈伊努夫卡縣
Krzywy Domek,哈哈屋
Nowogard,諾沃加德
Maszewo,馬謝沃
Błaszki,布瓦什基
Pełczyce,佩烏奇采
Niepołomice,涅波沃米采
Recz,雷奇
Kisielice,基謝利采
Kalisz Pomorski,波莫瑞地區卡利什
Obra (rzeka),奧布拉河
Wielka Orkiestra Świątecznej Pomocy,聖誕慈善大樂隊
Powiat leżajski,萊扎伊斯克縣
Reprezentacja Polski w hokeju na lodzie kobiet,波蘭國家女子冰球隊
Muzeum Kolejnictwa w Warszawie,華沙鐵路博物館
Parki narodowe w Polsce,波兰国家公园
Krzyżtopór,庫茲托波爾城堡
Słowiński Park Narodowy,斯沃溫斯基國家公園
Państwowe Muzeum Etnograficzne w Warszawie,國立民族學博物館·(波蘭)
Pałac Sapiehów w Warszawie,薩皮埃哈宮·(華沙)
Bytom Odrzański,奧得河畔比托姆
Skoczów,斯科丘夫
Jedlina-Zdrój,耶德利納-茲德魯伊
Wojcieszów,沃伊切舒夫
Chodecz,霍代奇
Nowy Młyn (Komorniki),新米赫莱
Prochowice,普羅霍維采
Gryfów Śląski,希隆斯克地區格雷富夫
Glinojeck,格利諾耶茨克
Pałac Prymasowski w Warszawie,大主教宮·(華沙)
Hotel Polonia Palace,波隆尼亞宮酒店
Krzywiń,克日溫
Pałac Pod Czterema Wiatrami w Warszawie,四風宮
Hotel Europejski w Warszawie,歐羅普斯基酒店
Wilga (rzeka w województwie mazowieckim),維爾加河·(加爾沃林)
Powiat zawierciański,扎維爾切縣
Powiat dąbrowski,棟布羅瓦縣
Powiat ełcki,埃烏克縣
Olza (rzeka),奥尔扎河
Mamry,马姆雷湖
Powiat łódzki wschodni,東羅茲縣
Powiat włoszczowski,弗沃什喬瓦縣
Orzyc,奧日茨河
Bazylika św. Franciszka z Asyżu w Krakowie,圣方济各圣殿·(克拉科夫)
Muzeum Narodowe we Wrocławiu,弗羅茨瓦夫國家博物館
Wigry (jezioro),維格雷湖
Bazylika św. Elżbiety we Wrocławiu,匈牙利的圣伊撒伯尔圣殿·(弗罗茨瓦夫)
Rakoniewice,拉科涅維采
Muzeum Historii Polskiego Ruchu Ludowego,波蘭農民運動博物館
Nasielsk,納謝爾斯克
Warszawski Międzynarodowy Festiwal Filmowy,华沙国际电影节
Biblioteka Uniwersytecka w Warszawie,華沙大學圖書館
Tanew,塔內夫河
Kościół i klasztor Karmelitów bosych w Przemyślu,加尔默罗会教堂·(普热梅希尔)
Reprezentacja Polski U-21 w piłce nożnej mężczyzn,波蘭21歲以下國家足球隊
Dobrodzień,多布羅津
Zamek Pieskowa Skała,佩斯科瓦城堡
Sieraków,謝拉庫夫
Prabuty,普拉布蒂
Piechowice,佩霍維采
Paczków,帕奇庫夫
Powiat sejneński,塞伊內縣
Nakło nad Notecią,諾泰奇河畔納克沃
Pałac w Mosznej,莫斯納城堡
Wieprz (rzeka),維普日河
Powiat olecki,奧萊茨科縣
Powiat poddębicki,波德登比采縣
Powiat suwalski,蘇瓦烏基縣
Powiat żywiecki,日維茨縣
Powiat kętrzyński,肯琴縣
Pasłęk,帕斯文克
Połaniec,波瓦涅茨
Kłodawa,克沃達瓦
Centrum Nauki Kopernik w Warszawie,哥白尼科學中心
Powiat słupski,斯武普斯克縣
Powiat bytowski,貝圖夫縣
Powiat iławski,伊瓦瓦縣
Powiat ostrowski (województwo mazowieckie),馬佐夫舍地區奧斯特魯夫縣
Powiat radomszczański,拉多姆斯科縣
Powiat jasielski,亞斯沃縣
Powiat świdwiński,希維德溫縣
Powiat łańcucki,萬楚特縣
Drawno,德拉夫諾
Dobrzany,多布扎內
Mieszkowice,梅什科維采
Ińsko,因斯科
Wyrzysk,維日斯克
Sianów,夏努夫
Karlino,卡爾利諾·(波蘭)
Moryń,莫倫·(波蘭)
Pruszcz Gdański,格但斯克普魯什奇
Wieleń,维伦·(波兰)
Kępice,肯皮采
Polanów,波拉努夫
Dobiegniew,多别格涅夫
Mirosławiec,米羅斯瓦維茨
Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach,波蘭國家廣播交響樂團
Ruch Palikota,帕利科特運動
Pulwa,普爾瓦河
Uniwersytet Muzyczny Fryderyka Chopina,蕭邦音樂大學
Powiat nowodworski (województwo mazowieckie),馬佐夫舍地區新莊園縣
Witnica,維特尼察
Powiat działdowski,賈烏多沃縣
Opera Wrocławska,弗羅茨瓦夫歌劇院
Polska Jest Najważniejsza,波蘭優先
Tramwaje w Krakowie,克拉科夫電車
Religia w Polsce,波兰宗教
Powiat konecki,孔斯凱縣
Powiat kraśnicki,克拉希尼克縣
Powiat ropczycko-sędziszowski,羅普奇采-森濟舒夫縣
Powiat nidzicki,尼濟察縣
Powiat przeworski,普熱沃斯克縣
Powiat kielecki,凱爾采縣
Powiat leski,萊斯科縣
Powiat rzeszowski,熱舒夫縣
Powiat buski,布斯科縣
Powiat jędrzejowski,延傑尤夫縣
Powiat kazimierski,卡齊米日縣
Orzysz,奧日什
Tolkmicko,托爾克米茨科
Siewierz,謝維日
Powiat cieszyński,切申縣
Powiat mikołowski,米科武夫縣
Powiat elbląski,埃爾布隆格縣
Powiat wejherowski,韋伊海羅沃縣
Tuczno,圖奇諾
Stare Miasto w Warszawie,华沙老城
Powiat wadowicki,瓦多維采縣
Powiat bielski (województwo śląskie),別爾斯科縣
Powiat limanowski,利馬諾瓦縣
Sokołów Podlaski,波德拉謝地區索科武夫
Powiat chrzanowski,赫扎努夫縣
Bazylika archikatedralna św. Stanisława Kostki w Łodzi,圣达尼老圣殿总主教座堂
Powiat olkuski,奧爾庫什縣
Powiat sanocki,薩諾克縣
Powiat myszkowski,梅什庫夫縣
Powiat kołobrzeski,科沃布熱格縣
Wieża ratuszowa w Krakowie,市政厅钟楼·(克拉科夫)
Wieża ciśnień Borek we Wrocławiu,弗罗茨瓦夫水塔
Towarzystwo Naukowe Warszawskie,华沙科学学会
Ulica Krakowskie Przedmieście w Warszawie,克拉科夫郊区街
Kobylin,科貝林
Rzepin,熱平
Gąbin,貢賓
Jaworzyna Śląska,希隆斯克地區亞沃日納
Raszków,拉什庫夫
Gniewkowo,格涅夫科沃
Dolsk,多爾斯克
Pogorzela,波戈熱拉
Pyzdry,佩茲德雷
Grybów,格雷布夫
Kozienice,科傑尼采
Margonin,馬爾戈寧
Powiat sztumski,什圖姆縣
Powiat starogardzki,格但斯克舊城縣
Powiat tczewski,特切夫縣
Powiat stargardzki,什切青縣
ISO 3166-2:PL,ISO·3166-2:PL
Powiat tarnowski,塔爾努夫縣
Byczyna,貝奇納
Debrzno,代布日諾
Dziwnów,濟夫努夫
Człopa,奇沃帕
Powiat łowicki,沃維奇縣
Powiat wieluński,維隆縣
Powiat piotrkowski,彼得庫夫縣
Powiat łaski,瓦斯克縣
Powiat opoczyński,奧波奇諾縣
Powiat opatowski,奧帕圖夫縣
Powiat kwidzyński,克維曾縣
Województwo bialskopodlaskie,比亞瓦-波德拉斯卡省
Narodowe Święto Niepodległości,波蘭國家獨立日
Bystrzyca Kłodzka,貝斯奇察克沃茲卡
Kolbuszowa,科爾布紹瓦
Pałac Janaszów w Warszawie,雅納茲宮
Powiat białogardzki,比亞沃加德縣
Enter Air,安特航空
Góry Izerskie,伊澤拉山脈
Halinów,哈利努夫
Chęciny,亨齊內
Kowal (miasto),科瓦爾
Libiąż,利比翁日
Sobótka (miasto),索布特卡
Karczew,卡爾切夫
Chmielnik (województwo świętokrzyskie),赫梅爾尼克
Chorzele,霍熱萊
Kąty Wrocławskie,弗羅茨瓦夫的孔蒂
Europejskie Siły Żandarmerii,歐洲憲兵部隊
Eparchia wrocławsko-koszalińska,烏克蘭希臘禮天主教弗羅茨瓦夫-格但斯克教區
Janów Lubelski,盧布林地區亞努夫
Mirsk,米爾斯克
Więcbork,溫茨堡
Kock,科茨克
Kamieńsk,卡緬斯克·(波蘭)
Szlichtyngowa,什利赫滕戈瓦
Kolej Górnośląska,上西里西亞鐵路
Skaryszew,斯卡雷謝夫
Powiat rawski,拉瓦縣
Kościół archiprezbiterialny Wniebowzięcia Najświętszej Marii Panny w Krakowie,圣母圣殿·(克拉科夫)
Powiat sandomierski,桑多梅日縣
Powiat legionowski,萊吉奧諾沃縣
Powiat skierniewicki,斯凱爾涅維采縣
Reprezentacja Polski w piłce siatkowej kobiet,波兰国家女子排球队
Województwo katowickie (1975–1998),卡托維茲省
Park Narodowy „Bory Tucholskie”,圖霍拉森林國家公園
Kolno,科爾諾
Marki,馬爾基
Lipsk (Polska),利普斯克
Ciechanowiec,切哈諾維茨
Kłecko,克韋茨科
Opoczno,奧波奇諾
Brusy,布魯瑟
Skwierzyna,斯克維日納
Różan,羅贊·(城鎮)
Brzeg Dolny,下布熱格
Powiat brzeziński,布熱濟內縣
Powiat proszowicki,普羅紹維采縣
Pałac Potockich w Warszawie,波托茨基宮·(華沙)
Zamek Królewski w Sanoku,薩諾克城堡
Warsaw Spire,華沙尖塔
Plac Trzech Krzyży w Warszawie,三十字广场
Port lotniczy Poznań-Ławica,波茲南-拉威卡機場
Powiat lubaczowski,盧巴丘夫縣
Brama Floriańska w Krakowie,圣福里安门
Archidiecezja wrocławska,天主教弗罗茨瓦夫总教区
Archidiecezja białostocka,天主教比亚韦斯托克总教区
Pałac Jabłonowskich w Warszawie,雅布羅夫斯基宮
Hotel Bristol,布里斯托酒店
Orlanka (dopływ Narwi),奧爾蘭卡河
Hotel Monopol we Wrocławiu,莫諾普爾酒店
Iławka (dopływ Drwęcy),伊瓦夫卡河
Archidiecezja warmińska,天主教瓦尔米亚总教区
Mokotów,莫科托夫區
Reprezentacja Polski w piłce siatkowej mężczyzn,波蘭國家男子排球隊
Pałac Brühla w Warszawie,布呂爾宮
Torzym,托日姆
Pałac Czapskich w Warszawie,恰普斯基宮
Powiat krośnieński (województwo podkarpackie),克羅斯諾縣
Powiat dębicki,登比察縣
Powiat brzozowski,布若祖夫縣
Powiat oświęcimski,奧斯威辛縣
Brzezinka (powiat oświęcimski),布热津卡
Gorzów Śląski,西里西亚地区戈茹夫
Dobrzyń nad Wisłą,維斯瓦河畔多布任
Bychawa,貝哈瓦
Powiat częstochowski,琴斯托霍瓦縣
Powiat tarnogórski,塔爾諾夫斯凱古雷縣
Powiat lubliniecki,盧布利涅茨縣
Kościół Wizytek w Warszawie,聖母訪親女修會教堂
Powiat lęborski,倫堡縣
Powiat kłobucki,克沃布茨克縣
Powiat kościerski,科希切日納縣
Powiat bieruńsko-lędziński,別倫-倫濟內縣
Województwo ciechanowskie,切哈努夫省
Powiat mielecki,梅萊茨縣
Zimowa Uniwersjada 1993,1993年冬季世界大學生運動會
Iłża,伊烏扎
Kleczew,克萊切夫
Powiat miechowski,梅胡夫縣
Powiat tarnobrzeski,塔爾諾布熱格縣
Powiat nowosądecki,新松奇縣
Pomarańczowa Alternatywa,橙色運動·(波蘭)
Szczawnica,什恰夫尼察
Toszek,托謝克
Gogolin,戈戈林
Ustroń,烏斯特龍
Nowogrodziec,諾沃格羅傑茨
Trybunał Konstytucyjny (Polska),宪法法庭·(波兰)
Syców,瑟楚夫
Jeziorany,耶焦拉內
Pyskowice,佩斯科維采
Pałac Komisji Rządowej Przychodów i Skarbu,財政部長宮
Jegrznia,萊加河
Nysa Szalona,尼斯沙洛納河
Widawa (rzeka),維達瓦河
Jezioro Turawskie,圖拉瓦湖
Ina,伊納河
Supraśl (rzeka),蘇普拉希爾河
Turystyka w Polsce,波蘭觀光
Muszyna,穆希納
Kościół św. Anny w Warszawie (Śródmieście),聖亞納教堂·(華沙)
People Can Fly,People·Can·Fly
Kościół Matki Bożej Łaskawej w Warszawie,耶穌會教堂·(華沙)
Cybinka,齊賓卡
Ustrój polityczny Polski,波蘭政治
Małomice,馬沃米采
Międzylesie,緬濟萊謝
Radków,拉德庫夫
Szamocin,沙莫欽
Czerniejewo,切爾涅耶沃
Rydzyna,雷濟納·(波蘭)
Mieroszów,梅羅舒夫
Lądek-Zdrój,隆代克-茲德魯伊
Miłomłyn,米沃姆溫
Powiat bocheński,博赫尼亞縣
Powiat lidzbarski,利茲巴克縣
Powiat tatrzański,塔特拉縣
Archidiecezja katowicka,天主教卡托维兹总教区
Przemsza,普熱姆沙河
Archidiecezja krakowska,天主教克拉科夫总教区
Archidiecezja lubelska,天主教卢布林总教区
Archidiecezja gnieźnieńska,天主教格涅兹诺总教区
Prószków,普魯什庫夫
Duszniki-Zdrój,杜什尼基-茲德魯伊
Węgorzyno,文戈日諾
Kalety,卡萊蒂
Pszów,普舒夫
Archieparchia przemysko-warszawska,烏克蘭希臘禮天主教普熱梅希爾-華沙總教區
Archidiecezja łódzka,天主教罗兹总教区
Archidiecezja szczecińsko-kamieńska,天主教什切青-卡缅总教区
InterContinental Warszawa,华沙洲际酒店
Wesoła (Warszawa),韦索瓦区
Kościół Nawiedzenia Najświętszej Marii Panny w Warszawie,聖母訪親教堂·(華沙)
Koniecpol,科涅茨波尔
Czchów,奇胡夫
Międzybórz,緬濟布日
Kcynia,克齊尼亞
Dobczyce,多布奇采
Kietrz,凱奇·(波蘭)
Łeba (rzeka),韋巴河
Poniec,波涅茨
Wielichowo,維利霍沃
Trzemeszno,切梅什諾
Stawiszyn,斯塔維申
Stal Mielec (piłka nożna),梅萊茨鋼鐵足球俱樂部
Olsztynek,奧爾什蒂內克
Sędziszów,森濟舒夫
Wiązów,維翁祖夫
Szubin,舒賓
Sompolno,松波爾諾
Zalewo,扎萊沃
Przemków,普熱姆庫夫
Dąbie,棟別
Otmuchów,奧特穆胡夫
Twardogóra,特瓦爾多古拉
Lidzbark,利茲巴克
Warta (miasto),瓦爾塔
Kolonowskie,科洛諾夫斯凱
Orkiestra Filharmonii Narodowej,華沙國家愛樂樂團
Niemodlin,涅莫德林
Pasym,帕瑟姆
Korfantów,科爾凡圖夫
Krzepice,克熱皮采
Sława (miasto),斯瓦瓦
Krośniewice,克羅希涅維采
Pakość,帕科希奇
Krasnobród,克拉斯諾布魯德
Piotrków Kujawski,庫亞維地區彼得庫夫
Kościół katolicki w Polsce,波兰天主教
Zdzieszowice,茲傑紹維采
Leśnica (miasto),萊希尼察
Ostroróg,奧斯特羅魯格
Jutrosin,尤特羅辛
Szkoła Główna Handlowa w Warszawie,華沙經濟大學
Muzeum Historyczne w Bielsku-Białej – Zamek książąt Sułkowskich,別爾斯科-比亞瓦博物館和城堡
Śnieżnik (góra),克拉里茨峰
Lwówek,勒武韋克
Wąsosz (miasto),翁索什
Wołczyn,沃烏琴
Rabka-Zdrój,拉布卡-茲德魯伊
Pałac Saski w Warszawie,薩克森宮
Zalipie (województwo małopolskie),薩利派
Strzelno,斯切爾諾
Drzewica (miasto),德熱維察
Ujazd (województwo opolskie),烏亞茲德
Lubawka,盧巴夫卡
Włochy (Warszawa),弗沃黑區
Ogrodzieniec,奧格羅傑涅茨
Drobin,德羅賓
Młynary,姆維納雷
Politechnika Poznańska,波兹南理工大学
Jamno,亞姆諾湖
Pomnik księcia Józefa Poniatowskiego w Warszawie,约瑟夫·波尼亚托夫斯基纪念碑
Hale Mirowskie w Warszawie,米羅夫斯基廳
Halowe Mistrzostwa Świata w Lekkoatletyce 2014,2014年世界室內田徑錦標賽
Skalbmierz,斯卡爾布梅日
Zamek w Kliczkowie,克里佐夫城堡
Port lotniczy Warszawa-Modlin,華沙莫德林機場
Województwo ostrołęckie,奧斯特羅文卡省
Województwo piotrkowskie,彼得庫夫省
CD Projekt Red,CD·Projekt·RED
Jeziorak,耶焦拉克湖
Gardno,加爾德諾湖
Województwo przemyskie,普热梅希尔省
Naczelny Sąd Administracyjny,波兰最高行政法院
Dąbie (jezioro w Szczecinie),棟別湖
Jezioro Nyskie,尼斯凱湖
Powiat łobeski,沃貝茲縣
Królikarnia,克羅利卡尼亞宮
Port lotniczy Katowice-Pyrzowice,卡托維治國際機場
Powiat pabianicki,帕比亞尼采縣
Powiat krakowski,克拉科夫縣
Powiat wałecki,瓦烏奇縣
Stare Miasto (Gdańsk),格但斯克老城
Powiat braniewski,布拉涅沃縣
Powiat gdański,格但斯克縣
Kazimierza Wielka,大卡齊米日
Marzec 1968,1968年波兰政治危机
Województwo gorzowskie,戈茹夫省
Kresy Wschodnie,波兰前东部领土
Powiat sławieński,斯瓦夫諾縣
Województwo konińskie,科寧省
Województwo elbląskie,埃尔布隆格省
Osobłoga,奧索布洛加河
Mała Panew,小帕內夫河
Powiat goleniowski,戈萊紐夫縣
Powiat drawski,德拉夫斯科縣
Powiat pyrzycki,佩日采縣
Powiat choszczeński,霍什奇諾縣
Barcin,巴爾欽
Wierzyca,維日察河
Pojazdy Szynowe Pesa Bydgoszcz,比得哥什Pesa鐵道車輛
Województwo tarnobrzeskie,塔爾諾布熱格省
Golina,戈利納
Województwo krośnieńskie,克罗斯诺省
Województwo wałbrzyskie,瓦烏布日赫省
Hańcza (jezioro),漢恰湖
Miejska Górka,梅伊斯卡古爾卡
Tuliszków,圖利什庫夫
Bazylika św. Michała Archanioła i św. Stanisława Biskupa w Krakowie,圣弥额尔圣达尼老圣殿
Archikatedra św. Jana Chrzciciela i św. Jana Ewangelisty w Lublinie,盧布林主教座堂
Wicko (jezioro),維茨科湖
Województwo bydgoskie (1975–1998),比得哥什省
Suraż,蘇拉日·(波蘭)
Port lotniczy Rzeszów-Jasionka,熱舒夫-賈西翁卡機場
Nowa Huta (Kraków),诺瓦胡塔
Medal „Zasłużony Kulturze Gloria Artis”,「榮耀藝術」文化勳章獎章
Tłuszcz (miasto),特武什奇
Mleczna (dopływ Radomki),姆萊奇納河
Gwda,格夫達河
Zimowa Uniwersjada 2001,2001年冬季世界大學生運動會
Kościół św. Andrzeja w Krakowie,圣安德肋教堂·(克拉科夫)
Brama Złota w Gdańsku,金门·(格但斯克)
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Płocku,普沃茨克主教座堂
Kaczawa,卡恰瓦河
Pałac Pod Blachą,銅屋頂宮
Narewka (rzeka),納列夫卡河
Górnik Polkowice,波爾科維采足球會
Politechnika Warszawska,华沙理工大学
Powiat kamieński,卡緬縣
Powiat skarżyski,斯卡日斯科縣
Górnik Łęczna,戈尼克文奇納足球俱樂部
Województwo zielonogórskie (1975–1998),绿山省·(波兰)
Województwo gdańskie (1975–1998),格但斯克省
