Zygmunt I Stary,齐格蒙特一世
Pascal Brodnicki,百事高
Zbigniew Kwiatkowski (piłkarz ręczny),兹比格涅夫·克维亚特科夫斯基
Władysław Szuszkiewicz,瓦迪斯瓦夫·舒什凯维奇
Władysław Karaś,瓦迪斯瓦夫·卡拉希
Zbigniew Lubiejewski,兹比格涅夫·卢别耶夫斯基
Tomasz Kędziora,托馬什·科奇奧拉
Rafał Janicki,拉法爾·雅尼基
Zbigniew Zarzycki,兹比格涅夫·扎日茨基
Łukasz Skorupski,盧卡什·斯科魯普斯基
Tomasz Tomiak,托马什·托米亚克
Alfons Ślusarski,阿尔方斯·希卢萨尔斯基
Piotr Zieliński (piłkarz),彼得·傑林斯基
Anna Omielan,安娜·奧米蘭
Dariusz Jemielniak,达留斯·耶米尔尼阿克
Dawid Dryja,達維德·德里亞
Eugeniusz Molczyk,尤金纽斯·莫尔奇克
Stefan Jędrychowski,斯特凡·英德里霍夫斯基
Janusz Pawłowski (judoka),雅努什·帕夫沃夫斯基
Danuta Stachow,达努塔·斯塔霍夫
Dawid Konarski,大衛·康納爾斯基
Damian Kulig,達米安·庫利格
Ewa Durska,埃娃·杜尔斯卡
Fabian Drzyzga,法比安·德爾奇佳
Emil Wojtaszek,埃米尔·沃伊塔谢克
Rafał Trzaskowski,拉法·特扎斯科夫斯基
Szymon Romać,希蒙·羅馬奇
Szymon Hołownia,西蒙·霍洛尼亞
Witold Jabłoński (sinolog),夏伯龍
Grzegorz Łomacz,格热戈日·沃马奇
Tadeusz Reger,塔德烏什·雷格
Witold Waszczykowski,维托尔德·瓦什奇科夫斯基
Zbigniew Szczepkowski,兹比格涅夫·什切普科夫斯基
Stefan Olszowski,斯特凡·奥尔绍夫斯基
Tom Swoon,多利安·多馬夏克
Zbigniew Ślusarski,兹比格涅夫·希卢萨尔斯基
Magdalena Fręch,玛格达莱娜·弗雷希
Tymoteusz Karpowicz,蒂蒙图斯·卡波维兹
Wojciech Ferens,沃伊切赫·費倫斯
Wojciech Nowicki (lekkoatleta),沃伊切赫·诺维茨基
Zbigniew Rau (prawnik),兹比格涅夫·拉乌
Wojciech Włodarczyk (siatkarz),沃伊切赫·沃達雷茲克
Łukasz Perłowski,盧卡斯·佩羅夫斯基
Łukasz Krawczuk,武卡什·克拉夫丘克
Dorota Horzonek-Jokiel,多萝塔·霍尔佐内克-约凯尔
Andrzej Wrona,安德烈·弗羅納
Gerard Mach,傑洛·馬克
Filip Starzyński (piłkarz),菲利普·斯塔辛斯基
Jarosław Mika,雅罗斯瓦夫·米卡
Barbara Ślizowska,芭尔芭拉·希利佐夫斯卡
Jan Zalasiewicz,揚·扎拉謝維奇
Damian Wojtaszek,達米安·沃伊塔謝克
Jan Szymański (łyżwiarz),扬·希曼斯基
Justyna Święty-Ersetic,尤斯蒂娜·希温蒂-埃尔塞蒂茨
Józef Baryła,约瑟夫·巴里瓦
Jerzy Greszkiewicz,耶日·格雷什凯维奇
Joanna Linkiewicz,约安娜·林凯维奇
Krzysztof Siemion,克日什托夫·谢米翁
Jolanta Ogar-Hill,约兰塔·奥加尔-希尔
Lidia Szczerbińska,利迪娅·什切尔宾斯卡
Marek Karbarz,马雷克·卡尔巴日
Marian Orzechowski,马里安·奥热霍夫斯基
Konrad Krajewski,龔拉·克拉耶夫斯基
Maciej Wilusz,馬齊·威盧斯
Michał Szyba,米哈乌·希巴
Ludwik Wertenstein,路德维克·佩韦尔滕斯泰恩
Paulina Guba,宝琳娜·古巴
Marek Seweryn,马雷克·塞韦伦
Malwina Kopron,玛尔维娜·科普龙
Maryna Gąsienica-Daniel,玛琳娜·贡谢尼察-达涅尔
Maria Wiłkomirska,玛丽亚·维科米尔斯卡
Mateusz Mika,馬特烏什·米卡
Mateusz Michalski (lekkoatleta),马特乌什·米哈尔斯基
Malwina Smarzek,马尔维纳·斯马泽克
Robert Bernatowicz,羅伯特·伯奈托維斯茲
Mateusz Morawiecki,馬泰烏什·莫拉維茨基
Rafał Buszek,拉法爾·布斯澤克
Rafał Omelko,拉法乌·奥梅尔科
Milena Olszewska,米莱娜·奥尔谢夫斯卡
Małgorzata Hołub-Kowalik,马乌戈热塔·霍武布-科瓦利克
Przemysław Karnowski,普熱澤梅克·卡諾夫斯基
Przemysław Krajewski,普热梅斯瓦夫·克拉耶夫斯基
Piotr Lisek,彼得·里萨科
Marcin Janusz,马尔钦·雅努什
Ewa Swoboda,埃娃·斯沃博达
Konrad Bukowiecki,康拉德·布科维茨基
Jan Nowakowski (siatkarz),揚·諾瓦考斯基
Michał Daszek,米哈乌·达谢克
Marcin Krukowski,馬爾辛·庫克沃斯基
Piotr Masłowski (piłkarz ręczny),彼得·马斯沃夫斯基
Adam Czerniaków,亞當·塞尼亞科夫
Natalia Kot-Wala,纳塔利娅·科特
Paweł Jaroszyński,帕維爾·雅羅辛斯基
Adam Kowalski (siatkarz),亞當·科沃斯基
Sofia Ennaoui,索菲亚·恩纳奥伊
Natalia Starr,娜塔莉亞·斯塔爾
Kamil Majchrzak,卡米尔·迈赫扎克
Michał Kędzierski,米哈爾·克孜爾斯基
Katarzyna Niewiadoma,卡塔日娜·涅维亚多马
Paweł Dawidowicz,帕維爾·達維多維茨
Bartosz Kapustka,巴爾托什·卡佩斯卡
Przemysław Frankowski (piłkarz),普热梅斯瓦夫·弗兰科夫斯基
Kamila Lićwinko,卡米拉·利奇温科
Katarzyna Kawa,卡塔日娜·卡瓦
Dawid Kownacki,大衛·考納茨基
Aleksander Śliwka,亞歷山大·斯里夫卡
Matylda Damięcka,玛蒂尔达·达明茨卡
Aleksandra Mirosław,亞歷山德拉·米羅斯洛
Joanna Jędrzejczyk,乔安娜·延杰伊奇克
Mateusz Wieteska,马特乌什·维特斯卡
Bartłomiej Drągowski,巴托米耶·德隆哥夫斯基
Oktawia Nowacka,奥克塔维亚·诺瓦茨卡
Renata Knapik-Miazga,雷娜塔·克纳皮克-米亚兹加
Krystian Bielik,克里斯蒂安·别利克
Maria Sajdak,玛丽亚·萨伊达克
Bartosz Bednorz,巴尔托什·贝德诺尔兹
Jan Bednarek (piłkarz),揚·貝德納雷克
Adrian Dziółko,阿德里安·齐奥尔科
Zofia Wichłacz,蘇菲亞·威拉奇
Aneta Wojtkowska,阿内塔·维特科夫斯卡
Tomasz Fornal,托马什·福纳尔
Jan Zieliński (tenisista),扬·杰林斯基
Karol Gruszecki,卡羅爾·格魯茨基
Hubert Hurkacz,胡贝特·胡尔卡奇
Jerzy Duszyński (biochemik),耶日·杜辛斯基
Łukasz Kaczmarek (siatkarz),武卡什·卡奇马雷克
Michał Haratyk,米哈乌·哈拉蒂克
Kajetan Duszyński,卡耶坦·杜申斯基
Mateusz Kus,马特乌什·库斯
Maria Andrejczyk,瑪麗亞·安德雷奇克
Damian Szymański,达米安·希曼斯基
Jarosław Niezgoda,雅羅斯拉夫·涅哥達
Mateusz Bieniek,馬特烏斯·比尼克
Łukasz Gierak,武卡什·盖拉克
Matty Cash,馬蒂·卡什
Katarzyna Jurkowska-Kowalska,卡塔知娜·尤科斯卡-克瓦爾斯卡
Jan Świtkowski,揚·斯威特科夫斯基
Karol Świderski,卡罗尔·希维德尔斯基
Mateusz Borkowski,马特乌什·博尔科夫斯基
Mateusz Biskup,马特乌什·比斯库普
Mateusz Dubowski,马特乌什·杜博夫斯基
Krzysztof Piątek,克日什托夫·皮亚特克
Patryk Lipski,帕特里克·利普斯基
Wojciech Wojdak,沃伊切赫·沃伊达克
Igor Miecik,伊戈爾·梅奇克
Daria Pikulik,达里娅·皮库利克
Alina Scholtz,阿林娜·紹爾茨
Paweł Śmiłowski,帕维尔·斯梅洛夫斯基
Magdalena Świerczyńska,马格达莱纳·斯维尔琴斯卡
Kamil Semeniuk,卡米爾·塞梅紐克
Tadeusz Michalik,塔德乌什·米哈利克
Mirosław Ziętarski,米罗斯瓦夫·津塔尔斯基
Mateusz Wilangowski,马特乌什·维兰戈夫斯基
Miłosz Jankowski,米沃什·扬科夫斯基
Maria Wierzbowska,玛丽亚·维日博夫斯卡
Artur Mikołajczewski,阿图尔·米科瓦伊切夫斯基
Jarosław Jach,雅羅斯拉夫·雅赫
Szymon Sajnok,希蒙·萨伊诺克
Mateusz Rudyk,马特乌什·鲁德克
Robert Gumny,罗伯特·古姆尼
Iga Świątek,伊加·斯维亚特克
Julia Przyłębska,朱莉娅·普兹列布斯卡
Katarzyna Zillmann,卡塔日娜·齐尔曼
Martyna Łukasik,马蒂娜·武卡西克
Anna Puławska,安娜·普瓦夫斯卡
Przemysław Płacheta,普热梅斯瓦夫·普瓦赫塔
Jan Rudziński,扬·鲁津斯基
Paweł Prądziński,帕维尔·帕拉津斯基
Sebastian Szymański (piłkarz),塞巴斯蒂安·希曼斯基
Maja Chwalińska,玛雅·赫瓦林斯卡
Justyna Iskrzycka,尤斯蒂娜·伊斯克日茨卡
Aleksandra Gaworska,亚历山德拉·加沃尔斯卡
Norbert Huber (siatkarz),诺贝特·胡贝尔·(排球运动员)
Aleksandra Jarecka,亚历山德拉·亚雷茨卡
Nela mała reporterka,內拉
Szymon Żurkowski,希蒙·茹尔科夫斯基
Katarzyna Zdziebło,卡塔日娜·兹杰布沃
Natalia Kaczmarek,娜塔莉亞·卡奇馬雷克
Andżelika Wójcik,安杰莉卡·武伊齐克
Pia Skrzyszowska,皮娅·斯克日绍夫斯卡
Olga Michałkiewicz,奥尔加·米哈乌凯维奇
Joanna Dittmann,约安娜·迪特曼
Marta Wieliczko,玛尔塔·维利奇科
Adam Sobczak,亚当·索布查克
Karolina Bosiek,卡罗利娜·博谢克
Kaja Ziomek,卡娅·焦梅克
Kryscina Cimanouska,克里斯蒂娜·齊馬努斯卡婭
Jakub Moder,積及·莫達
Aleksandra Kowalczuk,亚历山德拉·科瓦尔丘克
Patrycja Adamkiewicz,派翠西亞·亞當凱維奇
Łukasz Kuczyński,武卡什·库琴斯基
Jan Hołub,扬·霍武布
Tekla Juniewicz,泰克拉·朱尼維茨
Tomasz Bartnik,湯瑪斯·巴特尼克
Jekatierina Kurakowa,叶卡捷琳娜·库拉科娃
Helena Wiśniewska (kajakarka),海伦娜·维希涅夫斯卡
Kamil Grabara,卡米尔·格拉巴拉
Elżbieta Wójcik,埃尔日别塔·武伊齐克
Jakub Kiwior,雅各布·基维奥尔
Roksana Węgiel,罗沙娜·维奇尔
Monika Chabel,莫妮卡·哈贝尔
Michał Skóraś,米哈乌·斯库拉希
Dariusz Kowaluk,達留什·科瓦盧克
Barbara Hermel-Niemczyk,芭尔芭拉·涅姆奇克
Magdalena Stysiak,玛格达莱娜·斯蒂夏克
Viki Gabor,薇琪·加博爾
Mateo Klimowicz,马特奥·克里莫维奇
Blanka Lipińska,布兰卡·利平斯卡
Sylwia Zyzańska,瑟尔维娅·齐扎尼斯卡
Nicola Zalewski,尼科拉·扎勒维斯基
Adrianna Sułek,阿德里安娜·苏韦克
Jakub Kamiński (piłkarz),雅各布·卡明斯基
Piotr Kosewicz,彼得·科塞维奇
Kacper Żuk,卡茨佩尔·祖克
Gabriel Slonina,加比爾·史隆連拿
Anna-Maria Sieklucka,安娜-玛丽亚·西克鲁卡
Krzysztof Chmielewski,克日什托夫·赫梅莱夫斯基
Jakub Majerski,雅各布·马耶尔斯基
Damian Żurek,达米安·茹雷克
Michał Niewiński,米哈乌·涅温斯基
Kinga Gacka,金加·加茨卡
Maciej Gaca,梅西亚·(波兰)
Ksawery Masiuk,克萨韦里·马休克
