당진시,唐津市 (忠清南道)
선암사,仙岩寺
성동동 (경주시),城東洞
성동시장,城東市場
성인봉,聖人峰
성남종합운동장,城南スタジアム
석룡산,石龍山
영남 지방,嶺南地方
문경 양민 학살 사건,聞慶虐殺事件
2011년 7월 한국 중부 집중호우,2011年のソウルにおける洪水
YTN,YTN
서울대입구역,ソウル大入口駅
보신각,普信閣
공학교육인증,大韓民国の工学教育引証
공항고등학교,空港高等学校
과천고등학교,果川高等学校
과천대로,果川大路
과천동,果川洞
봉담과천로,峰潭果川路
과천여자고등학교,果川女子高等学校
과학의 날,科学の日
관교동,官校洞
관문대로,釜山第三都市高速道路
부산외국어대학교,釜山外国語大学校
국민생각,国民の考え
소청도,小青島
정의당,正義党
남이섬,南怡島
제2연평해전,第2延坪海戦
장수경찰서,長水警察署
진안경찰서,鎮安警察署
임실경찰서,任実警察署
완주경찰서,完州警察署
고창경찰서,高敞警察署
정읍경찰서,井邑警察署
김제경찰서,金堤警察署
군산경찰서,群山警察署
익산경찰서,益山警察署
전주완산경찰서,全州完山警察署
전주덕진경찰서,全州徳津警察署
순창경찰서,淳昌警察署
여수경찰서,麗水警察署
순천경찰서,順天警察署
구례경찰서,求礼警察署
제주동부경찰서,済州東部警察署
제주서부경찰서,済州西部警察署
인천중부경찰서,仁川中部警察署
신안산대학교,新安山大学校
신일고등학교,信一高等学校
iHQ,iHQ
통일민주당,統一民主党
통합민주당,民主党
대한민국의 특별자치도,特別自治道
판교 분기점,板橋ジャンクション
평택 분기점,平沢ジャンクション
포항 냉수리 신라비,迎日冷水碑
풍납토성,風納土城
피마길,ピマッコル
대한민국-카자흐스탄 관계,カザフスタンと大韓民国の関係
한겨레민주당,ハンギョレ民主党
한국교육과정평가원,韓国教育課程評価院
한국마사회,韓国馬事会
한국방송광고진흥공사,韓国放送広告振興公社
한국언론재단,韓国言論財団
한국언론진흥재단,韓国言論振興財団
함백선,咸白線
해운대,海雲台
시공사,時空社
신라역사과학관,新羅歴史科学館
신륵사,神勒寺
한성백제역,漢城百済駅
신불산,神仏山
신천,新川
신천 (대구),新川 (大邱広域市)
신도 (옹진군),信島
신길동,新吉洞
신교동,新橋洞
신정동,新亭洞
대구달성소방서,大邱達城消防署
대구달성초등학교,大邱達城初等学校
대구대덕초등학교,大邱大徳初等学校
대구대동초등학교,大邱大東初等学校
대구교통공사,大邱都市鉄道公社
대구동부경찰서,大邱東部警察署
대구명덕초등학교,大邱明徳初等学校
대구명곡초등학교,大邱椧谷初等学校
대구백화점,大邱百貨店
대구북부소방서,大邱北部消防署
대구분지,大邱盆地
남북협력기금,南北協力基金
남북회담본부,南北会談本部
남산동,南山洞
남산면,南山面
남산식물원,南山植物園
남양동,南陽洞
남양동,南陽洞
남양읍,南陽邑
남양면,南陽面
남양산 나들목,南梁山インターチェンジ
남양유업,南陽乳業
삼산월드체육관,三山ワールド体育館
삼서면,森西面
삼성동,三城洞
삼성동,三星洞
삼성면,三成面
삼성어린이박물관,三星子供博物館
삼양동 (제주시),三陽洞
삼양사,三養社
삼일동,三日洞
삼일공업고등학교,三一工業高等学校
삼일대로,三一大路
곤지암고등학교,昆池岩高等学校
곤지암읍,昆池岩邑
공군항공과학고등학교,空軍航空科学高等学校
공도읍,孔道邑
공룡능선,雪嶽山恐竜稜線
공릉,恭陵
공무원연금공단,公務員年金公団
공산성,公山城
공음면,孔音面
공주 무령왕릉과 왕릉원,宋山里古墳群
공주고등학교,公州高等学校
금촌동,金村洞
금호동,金湖洞
금호동,金好洞
기독교대한감리회,キリスト教大韓メソジスト教会
기독교대한복음교회,基督教大韓福音教会
기린면,麒麟面
기산면,麒山面
기성면,箕城面
대구상원고등학교,大邱商苑高等学校
대구서부경찰서,大邱西部警察署
대구수성경찰서,大邱寿城警察署
대구영화학교,大邱栄話学校
대구율원초등학교,大邱栗園初等学校
대구이곡초등학교,大邱梨谷初等学校
대구일중학교,大邱一中学校
대구농업마이스터고등학교,大邱自然科学高等学校
전세권,伝貰
전주한옥마을,全州韓屋村
정교회 성 니콜라스 대성당,ソウル聖ニコラス大聖堂
정문경,多鈕細文鏡
제3경인고속화도로,第三京仁高速化道路
제주국제컨벤션센터,済州国際コンベンションセンター
제주특별자치도의 기념물,済州特別自治道記念物
제주특별자치도의 유형문화재,済州特別自治道有形文化財
제주해협,済州海峡
조선방역지도,朝鮮方域之図
중부대학교,中部大学校
중석불 사건,重石ドル事件
진돗개 경보,珍島犬警報
만경읍,万頃邑
서울교육대학교,ソウル教育大学校
2012년 동계 청소년 올림픽 대한민국 선수단,2012年インスブルックユースオリンピックの韓国選手団
1964년 하계 올림픽 대한민국 선수단,1964年東京オリンピックの韓国選手団
인천국제공항철도,仁川国際空港鉄道
1948년 하계 올림픽 대한민국 선수단,1948年ロンドンオリンピックの韓国選手団
범어사,梵魚寺
마산고등학교,馬山高等学校
마산가포고등학교,馬山架浦高等學校
마산면,馬山面
마산소방서,馬山消防署
마산용마고등학교,馬山龍馬高等学校
마산제일고등학교,青剛高等学校
마산제일여자고등학교,馬山第一女子高等学校
마산중앙고등학교,馬山中央高等学校
마서면,馬西面
마창대교,馬昌大橋
마포대로,麻浦大路
마포평생학습관,麻浦生涯学習館
만경강,万頃江
대일고등학교,大一高等学校
대전 도시철도 2호선,大田広域市都市鉄道公社2号線
대전광역시한밭도서관,大田広域市ハンバッ図書館
대전광역시의 마을버스 노선 목록,大田広域市の市内バス路線の一覧
대전광역시의 박물관과 미술관 목록,大田広域市の博物館と美術館の一覧
대전광역시의 시내버스,大田広域市の市内バス
대전광역시의 시내버스 노선 목록,大田広域市の市内バス路線の一覧
대전광역시의 신문,大田広域市の新聞
대전교도소,大田矯導所
대전구봉고등학교,大田グボン高等学校
대전동산중학교,大田東山中学校
대전둔산여자고등학교,大田屯山女子高等学校
모슬포항,摹瑟浦港
모피아,モフィア
모현동,慕県洞
목동,牧洞
목동 신시가지 건설 사업,木洞新市街地建設事業
목동아이스링크,木洞アイスリンク
목릉,穆陵
목운중학교,木雲中学校
목원대학교,牧園大学校
목천읍,木川邑
목포고등학교,木浦高等学校
목포공업고등학교,木浦工業高等学校
목포마리아회고등학교,木浦マリア会高等学校
시화호,始華湖
신광양항선,新光陽港線
신민주공화당,新民主共和党
아리랑 5호,アリラン5号
안양 초등학생 납치 살해 사건,安養小学生拉致殺害事件
양산 분기점,梁山ジャンクション
양산화물선,梁山貨物線
양평동,楊坪洞
여의도동,汝矣島洞
여천선,麗川線
연천 군부대 총기 난사 사건,漣川軍部隊銃乱射事件
영일만,迎日湾
예술고등학교,芸術高等学校
오륙도,五六島
오산고등학교,五山高等学校
오송선,五松線
옥구선,沃溝線
온산선,温山線
용산 초등학생 살해 사건,龍山小学生性暴行殺害事件
용산고등학교,龍山高等学校
용화교,龍華教
우면산터널,牛眠山トンネル
울산광역시의 유형문화재,蔚山広域市有形文化財
한국어족,朝鮮語族
울산비행장,蔚山飛行場
울산항선,蔚山港線
원주대학,原州大学
월간조선,月刊朝鮮
월드컵공원,ワールドカップ公園
유신정우회,維新政友会
의창,義倉
1988년 동계 올림픽 대한민국 선수단,1988年カルガリーオリンピックの韓国選手団
인천 도시철도 1호선,仁川都市鉄道1号線
중부내륙고속도로,中部内陸高速道路
대한민국의 공항,韓国の空港の一覧
6·15 남북 공동선언,6.15南北共同宣言
동묘앞역,東廟前駅
만어산,万魚山
망우로,忘憂路
망운산,望雲山
망월사 (의정부시),望月寺
망진산,望鎮山
매교동,梅橋洞
매듭장,メドゥプ
매미산,メミ山
매봉산 (강원),鷹峰山
매송면,梅松面
근남면,近南面
근덕면,近徳面
근로복지공단,勤労福祉公団
근화동,槿花洞
가의도,賈誼島
글로벌녹색성장연구소,グローバル・グリーン成長研究所
금강고속,金剛高速
금강로,金剛路
금강역,琴江驛
금고 (악기),金鼓
금남고속,錦南高速
2002년 아시안 게임 대한민국 선수단,2002年アジア競技大会韓国選手団
2006년 아시안 게임 대한민국 선수단,2006年アジア競技大会韓国選手団
1978년 아시안 게임 대한민국 선수단,1978年アジア競技大会韓国選手団
1986년 아시안 게임 대한민국 선수단,1986年アジア競技大会韓国選手団
1990년 아시안 게임 대한민국 선수단,1990年アジア競技大会韓国選手団
1994년 아시안 게임 대한민국 선수단,1994年アジア競技大会韓国選手団
1998년 아시안 게임 대한민국 선수단,1998年アジア競技大会韓国選手団
2018년 동계 패럴림픽,2018年平昌パラリンピック
자유의 마을,自由の村
녹색당,緑色党+
대한민국 제17대 국회의원 선거,第17代総選挙
만해문학상,万海文学賞
리움미술관,サムスン美術館 Leeum
대한민국의 버스 교통,韓国のバス
대한민국 보물,大韓民国指定宝物
대한민국의 사적 및 명승,大韓民国指定史跡及び名勝
대한민국의 소방,大韓民国の消防
대한민국의 신호등,韓国の道路信号機
대한민국의 자동차 전용도로,韓国の自動車専用道路
대한민국의 지방자치단체,韓国の地方自治
대한민국의 철도 노선 목록,韓国の鉄道路線一覧
대한민국의 철도역 목록,韓国の鉄道駅一覧
대한민국의 항공 교통,韓国の航空
대한예수교장로회(합동),大韓イエス教長老会（合同）
대한항공 015편 착륙 사고,大韓航空015便着陸失敗事故
티오피미디어,TOP メディア
덕산선,徳山線
도동 분기점,道洞ジャンクション
도로교통공단,道路交通公団
남조선민족해방전선준비위원회,南朝鮮民族解放戦線準備委員会
대한민국 축구 리그 시스템,韓国サッカーのリーグ構成
국적법,大韓民国国籍法
대한민국 원 (1945년-1953년),圓 (1945年-1953年)
대한민국-태국 관계,泰韓関係
한영 관계,英韓関係
내외동,内外洞
내의원,内医院
내장상동,内蔵上洞
내촌면,乃村面
넥센 히어로즈의 트레이드 파동,ネクセン・ヒーローズ トレード問題
노곡면,芦谷面
노량해협,露梁海峡
노령산맥,蘆嶺山脈
노무현 정부,盧武鉉政権
노원동,魯院洞
2011년 동계 아시안 게임 대한민국 선수단,2011年南アジア冬季競技大会韓国選手団
2014년 동계 올림픽 대한민국 선수단,2014年ソチオリンピックの韓国選手団
아시안 게임 대한민국 선수단,アジア競技大会韓国選手団
2012년 하계 패럴림픽 대한민국 선수단,2012年ロンドンパラリンピックの韓国選手団
패럴림픽 대한민국 선수단,パラリンピックの韓国選手団
청구역,青丘駅
동국대학교,東国大学校
1976년 하계 올림픽 대한민국 선수단,1976年モントリオールオリンピックの韓国選手団
2010년 아시안 게임 대한민국 선수단,2010年アジア競技大会韓国選手団
인천계양경찰서,仁川桂陽警察署
인천강화경찰서,仁川江華警察署
인천광역시 소방안전본부,仁川消防安全本部
인천서부경찰서,仁川西部警察署
원흥역,元興駅
보령경찰서,保寧警察署
광주광산경찰서,光州光山警察署
광주북부경찰서,光州北部警察署
광주 여중생 집단 성폭행 사건,光州女子中学生集団性暴行事件
광주남부경찰서,光州南部警察署
광주동부경찰서,光州東部警察署
광주광역시 소방안전본부,光州消防安全本部
광주서부경찰서,光州西部警察署
광명경찰서,光明警察署
광양소방서,光陽消防署
광양경찰서,光陽警察署
전라북도 소방본부,全北消防安全本部
전라남도 소방본부,全南消防本部
공주경찰서,公州警察署
귀함별황자총통,別黄字銃筒捏造事件
가평소방서,加平消防署
가평경찰서,加平警察署
무안경찰서,務安警察署
의료기기법,医療機器法
남원소방서,南原消防署
남양주경찰서,南楊州警察署
원주경찰서,原州警察署
반민족행위특별조사위원회,反民族行為特別調査委員会
기초과학연구원,基礎科学研究院
길상사 (서울),吉祥寺
길주로,吉州路
김대중 정부,金大中政権
김룡사,金龍寺 (聞慶市)
김선영,キム・ソニョン (김선영)
김제소방서,金堤消防署
김종학 프로덕션,キム・ジョンハク・プロダクション
효창공원앞역,孝昌公園前駅
신대방역,新大方駅
경상국립대학교,慶尚国立大学校
경북대학교,慶北大学校
신림역,新林駅
문래역,文来駅
제주대학교,済州大学校
남한 상록수림,韓国南部常緑樹林
소양강,昭陽江
대한민국의 특별시,韓国の特別市
서울 서남부 연쇄살인 사건,ソウル西南部連続殺人事件
서울 암사동 유적,岩寺先史遺跡
서울 일본인 학교 습격 사건,ソウル日本人学校園児襲撃事件
서울관악경찰서,ソウル冠岳警察署
서울기독대학교,ソウル基督大学校
서울신학대학교,ソウル神学大学校
서울올림픽기념국민체육진흥공단,国民体育振興公団
서울외국어대학원대학교,ソウル外国語大学院大学校
서울전차,ソウル市電
서울특별시의 무형문화재,ソウル特別市無形文化財
서울특별시의 문화재자료,ソウル特別市文化財資料
서울특별시의 민속문화재,ソウル特別市民俗文化財
서울특별시의 유형문화재,ソウル特別市有形文化財
석도,石島
석보상절,釈譜詳節
선학학원,学校法人鮮文学院
성광고등학교,ソングァン高等学校
성동고등학교,城東高等学校
세종북부경찰서,世宗警察署
소래포구항,蘇莱浦口港
수도국산 달동네 박물관,水道局山タルトンネ博物館
수도권 매립지,首都圏埋立地
수도방위사령부,首都防衛司令部
수원 공군기지,水原（スウォン）空軍基地
김천 나들목,金泉インターチェンジ
김천고등학교,金泉高等学校
김태지,金太智
김포골드라인,金浦都市鉄道
김포 FC,金浦FC
김포군,金浦郡
김포동,金浦本洞
김해생명과학고등학교,金海生命科学高等学校
김해신명초등학교,金海新明初等学校
김해율하고등학교,金海栗下高等学校
가톨릭꽃동네대학교,コットンネ大学校
꿀벅지,クルボクチ
대구중부경찰서,大邱中部警察署
대구지방검찰청,大邱地方検察庁
대구지방법원,大邱地方法院
대구지방법원 경주지원,大邱地方法院慶州支院
대구지방법원 김천지원,大邱地方法院金泉支院
대구지방법원 안동지원,大邱地方法院安東支院
대구지방법원 영덕지원,大邱地方法院盈徳支院
대구지방보훈청,大邱地方報勲庁
대구지방법원 의성지원,大邱地方法院義城支院
대구지방법원 포항지원,大邱地方法院浦項支院
대구천내초등학교,大邱川内初等学校
대구화남초등학교,大邱花南初等学校
대구화원초등학교,大邱花園初等学校
상대동,上大洞
삼천포여자고등학교,三千浦女子高等学校
삼포세대,三放世代
삼학동,三鶴洞
삽교천,挿橋川
상공의 날,商工の日
상교동,上橋洞
상남면,上南面
대성고등학교 (서울),大成高等学校
대신고등학교 (서울),大新高等学校
대신동,大新洞 (大邱広域市)
대야동,大夜洞
대야면,大野面
대우산업개발,大宇産業開発
대원관광,大元観光
나우누리,ナウヌリ
나운동,羅雲洞
나포면,羅浦面
낙동고등학교,洛東高等学校
낙동남로,洛東南路
낙산,駱山
낙안면,楽安面
낙화암,落花岩
차귀도,遮帰島
창비,創作と批評
창조 (잡지),創造
천변도시고속화도로,川辺都市高速化道路
철도박물관,鉄道博物館 (韓国)
청남대,青南台
청도 소싸움 축제,清道闘牛祭り
청송경찰서,青松警察署
청원 분기점,清原ジャンクション
초량초등학교,草梁初等学校
초록봉,草録峰
충청남도의 기념물,忠清南道記念物
충청남도의 민속문화재,忠清南道民俗文化財
충청북도의 기념물,忠清北道記念物
친한파,親韓
코오롱그룹,コーロングループ
태백역,太白駅
테크노마트,テクノマート
통일국민당,統一国民党
신월동,新月洞
신원사 (사찰),新元寺
신영동 (서울),新営洞
성서학회,聖書文学会
2002년 아시안 게임 소프트볼,2002年アジア競技大会におけるソフトボール競技
아시아인스티튜트,アジアインスティチュート
부여 송국리 유적,松菊里遺跡
송파동,松坡洞
송탄,松炭
숙명여자고등학교,淑明女子高等学校
횡성소방서,横城消防署
함경남도 (대한민국),咸鏡南道
국도 제42호선,国道42号線
1958년 아시안 게임 대한민국 선수단,1958年アジア競技大会韓国選手団
남계서원 (함양군),濫渓書院
대진디자인고등학교,大真デザイン高等学校
대청면,大青面
대평고등학교,太平高等学校
대평동 (세종특별자치시),大平洞
대포동,大浦洞 (束草市)
대학산,大学山
대한검도회,韓国剣道連盟
대한건설협회,大韓建設協会
대한고속,大韓高速
단국대학교 부속소프트웨어고등학교,檀国工業高等学校
단국대학교 사범대학 부속고등학교,檀国大学校師範大学附属高等学校
단국대학교병원,檀国大学校病院
단대동,丹垈洞
한국호텔관광고등학교,韓国ホテル観光高等学校
단양읍,丹陽邑
단원고등학교,檀園高等学校
달구벌고등학교,達句伐高等学校
달구벌대로,達句伐大路
새문안로,新門内路
생극면,笙極面
샵마넷,ショップマ・ネット
서강동,西崗洞
서광주우체국,西光州郵便局
서귀동,西帰洞
서귀포고등학교,西帰浦高等学校
서남동,瑞南洞
남구미 나들목,南亀尾インターチェンジ
남대문중학교,南大門中学校
남대전고등학교,南大田高等学校
남면,南面
국토정중앙면,国土正中央面
남면,南面
남면,南面
남면,南面
남면,北面
남면,南面
남면,南面
남면,南面
남면,南面
남면,沙坪面
남부순환로,南部循環路
남해고속도로제1지선,南海高速道路第一地線
남해고속도로제3지선,南海高速道路第三支線
남해고속도로제2지선,南海高速道路第二支線
남해해양조사사무소,南海海洋調査事務所
납세자의 날,納税者の日
남흥여객,南興旅客
납태기도,蝋台基島
내가면,内可面
내려갈 팀은 내려간다,下がるチームは下がる
내물왕릉,奈勿王陵
내서읍,内西邑
에어인천,エア・インチョン
코레일 패스,コリアレールパス
서울중랑경찰서,ソウル中浪警察署
서울방배경찰서,ソウル方背警察署
서울강북경찰서,ソウル江北警察署
서울강서경찰서,ソウル江西警察署
서울특별시 소방재난본부,ソウル消防災難本部
서울서초경찰서,ソウル瑞草警察署
서울노원경찰서,ソウル蘆原警察署
서울금천경찰서,ソウル衿川警察署
서울도봉경찰서,ソウル道峰警察署
서울동작경찰서,ソウル銅雀警察署
서울양천경찰서,ソウル陽川警察署
브리더스컵,ブリーダーズカップ
일산동부경찰서,一山警察署
삼척경찰서,三陟警察署
단양경찰서,丹陽警察署
구미경찰서,亀尾警察署
구포왜성,亀浦倭城
경성일본인세화회 이재민구제병원,京城日本人世話会罹災民救済病院
경기도 소방재난본부,京畿道消防災難本部
경기도 북부소방재난본부,京畿道第2消防災難本部
인천남동경찰서,仁川南洞警察署
인천미추홀경찰서,仁川弥鄒忽警察署
인천부평경찰서,仁川富平警察署
명곡동,明谷洞
명덕고등학교 (서울),明徳高等學校
명덕여자고등학교,明徳女子高等学校
명박산성,明博山城
명신여자고등학교,明新女子高等学校
명일여자고등학교,明逸女子高等学校
명지전문대학,明知専門大学
모락산,慕洛山
달성중학교,達城中学校
달안동,達安洞
담양읍,潭陽邑
답동성당,沓洞聖堂
당진여객,唐津旅客運輸
당처물동굴,タンチョムル洞窟
대경생활과학고등학교,大京生活科学高等学校
서울 약사사 석불입상,ソウル薬師寺石仏立像
서울 ADEX,ソウル国際航空宇宙・防衛産業展示会
서울 행당동 버스 폭발 사고,ソウル杏堂洞バス爆発事故
서울강서소방서,江西消防署
서울개원초등학교,ソウル開元初等学校
서울개일초등학교,ソウル開日初等学校
서울경제,ソウル経済
서울계남초등학교,ソウル桂南初等学校
서울고등검찰청,ソウル高等検察庁
서울고등법원,ソウル高等法院
서울고속 (충북),ソウル高速
서울관광고등학교,ソウル観光高等学校
서울관악소방서,ソウル冠岳消防署
서울광남초등학교,ソウル光南初等学校
서울광진소방서,ソウル広津消防署
서울구산초등학교,ソウル亀山初等学校
서울구치소,ソウル拘置所
서울국제고등학교,ソウル国際高等学校
서울남부지방검찰청,ソウル南部地方検察庁
서울남부지방법원,ソウル南部地方法院
제5보병사단,第5歩兵師団 (韓国陸軍)
제7포병여단,第7砲兵旅団
대한민국 경제기획원,大韓民国経済企画院
대한민국 공보처,広報処
대한민국 공보실,公報室
공직선거법,公職選挙法 (韓国)
대한민국 국가과학기술위원회,国家科学技術委員会
대한민국 국가원로자문회의,大韓民国国家元老諮問会議
국군의무사령부,義務司令部
대한민국 국무원,国務院
대한민국 국무원 사무국,国務院事務局
대한민국 국무조정실,大韓民国国務調整室
대곶면,大串面
대광고등학교 (서울),大光高等学校
대교동,大橋洞
대구 4차순환선,大邱4次循環線
대구가톨릭대학교 사범대학 부속 무학중학교,大邱カトリック大学校師範大学附属舞鶴中学校
대구경북과학기술원,大邱慶北科学記述院
대구고등검찰청,大邱高等検察庁
대구과학대학교,大邱科学大学校
대구광역시동부교육지원청,大邱広域市東部教育支援庁
대구광역시 특수구조단,大邱広域市特殊救助団
대구광역시교육과학연구원,大邱広域市教育科学研究院
대구광역시교육연수원,大邱広域市教育研修院
대구광역시립두류도서관,大邱広域市立頭流図書館
대구광역시립동부도서관,大邱広域市立東部図書館
대구광역시의 문화재자료,大邱広域市文化財資料
대구광역시의 시내버스 노선 목록,大邱広域市の市内バス路線の一覧
대구광역시장,大邱広域市長
세종대왕면,陵西面
니가타 디젤 동차,韓国鉄道日本製動車
다남산,多南山
다대동,多大洞
다대포항,多大浦港
다사읍,多斯邑
다산 부대,茶山部隊
아성다이소,アソンダイソー
대전복합터미널,大田複合ターミナル
대전송촌중학교,大田宋村中学校
대전예술고등학교,大田藝術高等學校
대전중앙고등학교,大田中央高等学校
대전중학교,大田中学校
대전지방검찰청,大田地方検察庁
대정중학교,大静中学校
대종교유지재단,大倧教維持財団
대덕산 (강원),大徳山
대덕읍,大徳邑
대룡산,大龍山
대마도,大馬島
대명중학교,大明中学校
대모산,大母山
대봉동,大鳳洞
대산면,大山面
대삼도,大三島
대상 (기업),大象
대서면,大西面
서울남산초등학교,ソウル南山初等学校
서울논현초등학교,ソウル論峴初等学校
서울노원소방서,蘆原消防署
서울다솜학교,ソウルダソム観光高等学校
서울대도초등학교,ソウル大道初等学校
서울대곡초등학교,ソウル大谷初等学校
서울대학교 법학전문대학원,ソウル大学校法学専門大学院
서울대학교 박물관,ソウル大学校博物館
서울대학교 사범대학 부설고등학교,ソウル大学校師範大学付設高等学校
서울대학교 사범대학 부설중학교,ソウル大学校師範大学附属中学校
서울대학교 사범대학 부설여자중학교,ソウル大学校師範大学付属女子中学校
서울대학교 도서관,ソウル大学校中央図書館
서울도서관,ソウル図書館
서울도봉소방서,道峰消防署
서울도곡초등학교,ソウル道谷初等学校
서울도성초등학교,道成初等学校
서울독립영화제,ソウル独立映画祭
서울동대문소방서,ソウル東大門消防署
서울디자인고등학교,ソウルデザイン高等学校
서울디지털대학교,ソウルデジタル大学校
서울디지텍고등학교,ソウルデジテック高等学校
예당컴퍼니,イェダンエンターテインメント
현대 유니콘스,現代ユニコーンズ
현대문학상,現代文学賞
현종산,縣鐘山
호남대학교,湖南大学校
홍성 지진,洪城地震
화성종합경기타운,華城総合運動場
인제스피디움,インジェ・オートピア
회덕 분기점,懐徳ジャンクション
효창동,孝昌洞
미륵도,弥勒島
미림마이스터고등학교,美林女子情報科学高等学校
미림여자고등학교,美林女子高等学校
미성동,米星洞
미성동,美星洞
미시령,弥矢嶺
미전신호소 열차 충돌 사고,美田信号所列車衝突事故
미조면,弥助面
상대동,上大洞
상도로,上道路
상동고등학교 (경기),上洞高等学校
상동,上洞
상록고등학교,常緑高等学校
상면,上面
상명고등학교,祥明高等学校
상문고등학교,尚文高等学校
상봉동,上鳳洞
상봉시외버스터미널,上鳳ターミナル
상북면,上北面 (梁山市)
상서면,上西面 (華川郡)
상서면,上西面
상일고등학교,上一高等学校
상주고등학교,尚州高等学校
상주면,尚州面
상지영서대학교,尚志嶺西大学校
새누리당의 역사,大韓民国の保守政党の歴史
새롬기술,セロム技術
새마을금고,セマウル金庫
새만금북로,セマングム北路
대한민국 국무총리실,大韓民国国務総理室
대한민국의 중요민속문화재,大韓民国指定重要民俗文化財
천안서북경찰서,天安西北警察署
태백경찰서,太白警察署
봉화경찰서,奉化警察署
학도의용군,学徒兵
안성경찰서,安城警察署 (京畿道)
안동경찰서,安東警察署
보성경찰서,宝城警察署
밀양소방서,密陽消防署
부천오정경찰서,富川梧亭警察署
부천소사경찰서,富川素砂警察署
부천원미경찰서,富川遠美警察署
영월경찰서,寧越警察署
상주경찰서,尚州警察署
평화의 소녀상,慰安婦像
평창경찰서,平昌警察署
평택경찰서,平沢警察署
광주경찰서,広州警察署
강진소방서,康津消防署
강진경찰서,康津警察署
연세대학교 한국어학당,延世大学校 韓国語学堂
언양 분기점,彦陽ジャンクション
망우리공동묘지,忘憂里共同墓地
충주경찰서,忠州警察署
충청북도 소방본부,忠清北道消防本部
충청남도 소방본부,忠清南道消防安全本部
급행열차,急行列車 (韓国)
대한민국의 대통령비서실장,大統領秘書室長
대한민국의 대법관,大法官
대한민국의 문화체육관광부 장관,文化体育観光部長官
대한민국의 과학기술정보통신부 장관,科学技術情報通信部長官
민사소송법,韓国民事訴訟法
대한민국의 법무부 장관,法務部長官
대한민국의 병무청장,兵務庁長
대한민국의 병역 제도에 대한 비판,大韓民国の兵役制度に関する批判
대한민국의 보건복지부 차관,大韓民国保健福祉部次官
무역의 날,貿易の日
무진장여객,茂鎮長旅客
무학여자고등학교,舞鶴女子高等学校
무학중학교,舞鶴中学校
문백면,文白面
미추홀외국어고등학교,弥鄒忽外国語高等学校
미평동,美坪洞
민간인출입통제구역,民間人出入統制区域
민음사,民音社
민족자주연맹,民族自主連盟
바다의 날,海の日
박근혜 정부,朴槿恵政権
반곡관설동,盤谷観雪洞
반남면,潘南面
안법고등학교,安法高等学校
안산단원경찰서,安山檀園警察署
안산디자인문화고등학교,安山デザイン文化高等学校
안산상록경찰서,安山常緑警察署
안성천,安城川
안양고등학교,安養高等学校
안양만안경찰서,安養万安警察署
안양공업고등학교,安養工業高等学校
안양동안경찰서,安養東安警察署
안양소방서,安養消防署
안양시의 시외버스,安養市の市外バス
안양여자고등학교,安養女子高等学校
능곡동,陵谷洞
각종학교,各種学校
화순소방서,和順消防署
화순경찰서,和順警察署
함평경찰서,咸平警察署
당진경찰서,唐津警察署
기쁜소식선교회,喜びのニュース宣教会
기흥휴게소,器興サービスエリア
지방자치에관한임시조치법,地方自治に関する臨時措置法
파주경찰서,坡州警察署
성남중원경찰서,城南中院警察署
성남수정경찰서,城南寿井警察署
제천경찰서,堤川警察署
보은경찰서,報恩警察署
성우극회,声優劇会
대아고속해운,大亜高速海運
대불선,大仏線
대전중부경찰서,大田中部警察署
대전대덕경찰서,大田大徳警察署
대전둔산경찰서,大田屯山警察署
대전동부경찰서,大田東部警察署
대전광역시 소방본부,大田消防本部
대전서부경찰서,大田西部警察署
대통령배 (KRA),大統領杯 (韓国競馬)
대구북부경찰서,大邱北部警察署
대구성서경찰서,大邱城西警察署
대구 초등학생 집단 성폭행 사건,大邱小学生集団性暴行事件
대구광역시 소방안전본부,大邱消防安全本部
대구달성경찰서,大邱達城警察署
대구달서경찰서,大邱達西警察署
대한예수교장로회,大韓イエス教長老会 (高麗改革)
대한민국의 역대 정당,大韓民国の政党
서도면,西島面
서둔동,西屯洞
서라벌예술대학,徐羅伐芸術大学
서면,西面
서면,西面
서면,西面
서면,西面
서면,西面
노형동,老衡洞
녹도,鹿島
녹사평대로,緑莎坪大路
논공읍,論工邑
논산소방서,論山消防署
농림축산검역본부 서울지역본부,農林畜産検疫本部ソウル地域本部
농림축산검역본부,農林畜産検疫本部
농림축산검역본부 영남지역본부,農林畜産検疫本部嶺南地域本部
농림축산검역본부 인천공항지역본부,農林畜産検疫本部仁川空港地域本部
농소동,農所洞
농소면,農所面
농업과학도서관,農業科学図書館
농업인의 날,農業人の日
뉴시스,ニューシス
늘푸른고등학교,ヌルプルン高等学校
제11기동사단,第11機械化歩兵師団 (韓国軍)
제11전투비행단,第11戦闘航空団
제15보병사단,第15歩兵師団 (韓国陸軍)
해병대 제1사단,第1海兵師団
제20기계화보병사단,第20機械化歩兵師団 (韓国陸軍)
제17보병사단,第17歩兵師団
제21보병사단,第21歩兵師団
제26기계화보병사단,第26機械化歩兵師団
제2포병여단,第2砲兵旅団
제30기계화보병사단,第30機械化歩兵師団
목포종합버스터미널,木浦総合バスターミナル
몽고정,蒙古井
묘도동,猫島洞
무량사 (부여군),無量寺
무릉교통,武陵交通
무룡산,舞龍山
무성서원,武城書院
서울지방보훈청,ソウル地方報勲庁
서울지방우정청,ソウル地方郵政庁
서울지방항공청,ソウル地方航空庁
서울천동초등학교,ソウル天東初等学校
