Angela Merkel,アンゲラ・メルケル
Werner Brinkmann,ヴェルナー・ブリンクマン
Bodo Lafferentz,ボド・ラフェレンツ
Oskar von Miller,オスカル・フォン・ミラー
Werner Teske,ヴェルナー・テスケ
Raúl Rojas,ラウル・ロハス
Svenja Würth,スベンニャ・ビュルト
Henriette Richter-Röhl,ヘンリエッテ・リヒター＝ロール
Karsten Friedrich Hoppenstedt,カルステン・フリードリヒ・ホッペンシュテット
Karl Gerland,カール・ゲルラント
Karl Kriebel,カール・クリーベル
Abraham Roentgen,アブラハム・レントゲン
Ludwig Bemelmans,ルドウィッヒ・ベーメルマンス
Jakob Michael Reinhold Lenz,ヤーコプ・ミヒャエル・ラインホルト・レンツ
Louis Schmeisser,ルイス・シュマイザー
Julia Harting,ユリア・フィッシャー (陸上選手)
Karl von Müller,カール・フォン・ミューラー
Jürgen Schrempp,ユルゲン・シュレンプ
Magdalene Hoff,マグダレーネ・ホフ
Kurt Eisner,クルト・アイスナー
Agnes Bernauer,アグネス・ベルナウアー
Karl Friedrich von Hohenzollern,カール・フリードリヒ・フォン・ホーエンツォレルン＝ジグマリンゲン
Karlheinz Senghas,カールハインツ・ゼンガス
Hans Burgeff,ハンス・ブルゲフ
Ludwig III.,ルートヴィヒ3世 (テューリンゲン方伯)
Bruno Balz,ブルーノ・バルツ
Michael Uhrmann,ミヒャエル・ウアマン
Heinrich Mann,ハインリヒ・マン
Siegfried Westphal,ジークフリート・ヴェストファール
Hansjoachim Tiedge,ハンス・ティートゲ
Alexander Fehling,アレクサンダー・フェーリング
Alexander Langsdorff,アレクサンダー・ラングスドルフ
Wolfgang Ketterle,ヴォルフガング・ケターレ
Benno Sterzenbach,ベンノ・シュターゼンバッハ
Sebastian Köber,セバスチャン・コーベル
Charlotte Johanna von Waldeck-Wildungen,シャルロッテ・ヨハンナ・フォン・ヴァルデック＝ヴィルドゥンゲン
Ruth Drexel,ルート・ドレクセル
Hans Busch,ハンス・ブシュ
Edmund Heusinger von Waldegg,エトムント・ホイジンガー・フォン・ヴァルデッグ
Theodor Schwenk,テオドール・シュヴェンク
Johannes Schaaf,ヨハネス・シャーフ
Siegfried Schneider,ジークフリート・シュナイダー
Magdalena Neuner,マグダレナ・ノイナー
Sophie Wilhelmine von Sachsen-Coburg-Saalfeld,ゾフィー・ヴィルヘルミーネ・フォン・ザクセン＝コーブルク＝ザールフェルト
Tuiskon Ziller,トゥイスコン・ツィラー
Marianne Sägebrecht,マリアンネ・ゼーゲブレヒト
Georg Andreas Sorge,ゲオルク・アンドレアス・ゾルゲ
Magdalena Claudia von Pfalz-Zweibrücken-Birkenfeld,マグダレーナ・クラウディア・フォン・プファルツ＝ツヴァイブリュッケン＝ビルケンフェルト
Philipp VII. von Waldeck-Wildungen,フィリップ7世 (ヴァルデック＝ヴィルドゥンゲン伯)
Ernst Bader,エルンスト・バーダー
Johann Daniel Schöpflin,ヨハン・ダニエル・シェプフリン
Andreas Bolek,アンドレアス・ボーレク
Hugo Heermann,フーゴ・ヒアマン
Walther Bothe,ヴァルター・ボーテ
Hubert Burda,ヒューバート・ブルダ
Joachim von Kortzfleisch,ヨアヒム・フォン・コルツフライシュ
Erasmus Francisci,エラスムス・フィンクス
Karl-Otto Saur,カール・ザウアー
Clemens August von Galen,クレメンス・アウグスト・グラフ・フォン・ガーレン
Leander Haußmann,レアンダー・ハウスマン
Walter Greiner,ワルター・グライナー
Frieda Hempel,フリーダ・ヘンペル
Jörg van Ommen,イェルク・ファン・オンメン
Adolf von Thadden,アドルフ・フォン・タッデン
Christoph Bernhard von Galen,クリストフ・ベルンハルト・フォン・ガーレン
Michael Ende,ミヒャエル・エンデ
Jan Schütte,ジャン・シュッテ
Andreas Dorau,アンドレアス・ドラウ
Julius Adolph Stöckhardt,ユリウス・ステックハルト
Klaus Gysi,クラウス・ギジ
Kirsten Dunst,キルスティン・ダンスト
Heinz Heimsoeth,ハインツ・ハイムゼート
Katharina von Braunschweig-Wolfenbüttel,カタリーナ・フォン・ブラウンシュヴァイク＝ヴォルフェンビュッテル (1518-1574)
Karl Henckell,カール・ヘンケル
Rainer Maria Rilke,ライナー・マリア・リルケ
Nicolai Hartmann,ニコライ・ハルトマン
Armin Laschet,アルミン・ラシェット
Georg Maurer,ゲオルク・マウラー
Max Bernstein,マックス・ベルンシュタイン
Karl Scheidemantel,カール・シャイデマンテル
Ernst-August Köstring,エルンスト＝アウグスト・ケストリング
Hermann Einstein,ヘルマン・アインシュタイン
Carl-Heinz Schroth,カール・ハインツ・シュロス
Talla 2XLC,Talla 2XLC
Hellmuth Heye,ヘルムート・ハイエ
Anja Jaenicke,アンヤ・ジャネイケ
Sebastian Weigle,セバスティアン・ヴァイグレ
Alfred Proksch,アルフレート・プロクシュ
Karl Gustav von Baden-Durlach,カール・グスタフ
Fritz Krüger,フリッツ・クリューガー
Max Scheler,マックス・シェーラー
Helmuth Plessner,ヘルムート・プレスナー
Karl Jaspers,カール・ヤスパース
Jens Seipenbusch,イェンス・ザイペンブッシュ
Peter Fox,ペーター・フォックス
Alfred Braun,アルフレート・ブラウン
Walther Bauersfeld,ヴァルター・バウアースフェルト
Johann Pachelbel,ヨハン・パッヘルベル
Helge Schneider,ヘルゲ・シュナイダー
Iain Dilthey,イアイン・ディルタイ
Hans Grimm,ハンス・グリム
Artur Rother,アルトゥール・ローター
Gerd Achgelis,ゲルト・アハゲリス
Ludwig Güttler,ルートヴィヒ・ギュトラー
Alexander Gottlieb Baumgarten,アレクサンダー・ゴットリープ・バウムガルテン
Hans Vaihinger,ハンス・ファイヒンガー
Hans Hopf,ハンス・ホップ
Franz Kruckenberg,フランツ・クルッケンベルク
Wolfgang Wippermann,ヴォルフガング・ヴィッパーマン
Robert Atzorn,ロベルト・アルツォルン
Rainer Hildebrandt,ライナー・ヒルデブラント
Nikias Arndt,ニキアス・アルント
Gerhard Himmel,ゲルハルト・ヒメル
Johann Friedrich Kind,ヨハン・フリードリヒ・キント
Matthias Mellinghaus,マティアス・メリングハウス
Friedrich Benda,フリードリヒ・ベンダ
Karl Stetter,カール・シュテッター
Julius Neßler,ユリウス・ネスラー
Richard Krautheimer,リヒャルト・クラウトハイマー
Eva Löbau,エバ・ロバウ
Lena Stolze,レナ・シュトルツェ
Tina Engel,ティナ・エンゲル
Barbara Engleder,バーバラ・エングレーダー
Götz Alsmann,ゲッツ・アルスマン
Ernst Fraenkel,エルンスト・フレンケル
Christian Kraft zu Hohenlohe-Öhringen,ホーヘンローヘ
Dieter Giebken,ディーター・ギープケン
Emil Eichhorn,エミール・アイヒホルン
Joachim Daniel Jauch,ヨアヒム・ダニエル・フォン・ヤウフ
Bettina Röhl,ベティーナ・ロール
Henning von Berg,ヘニング・フォン・ベルク
Heinrich Porges,ハインリッヒ・ポルゲス
Michael Sebastian Kurth,カース
Carina Vogt,カリーナ・フォクト
Dorothee Stapelfeldt,ドラティー・スタペルフェルト
Oliver Janich,オリバー・ジャニッチ
Hans Joachim Pabst von Ohain,ハンス・フォン・オハイン
Max Nonne,マックス・ノンネ
Burghart Schmidt,ブルクハルト・シュミット
Horst Mahler,ホルスト・マーラー
Sarah Stork,サラ・コウノトリ
Johann Gregor Memhardt,ヨハン・グレゴール・メムハールト
Martin Hohmann,マルティン・ホーマン
Philipp I.,フィリップ1世
Rolf Alexander Wilhelm,ロルフ・アレクサンダー・ヴィルヘルム
Alfred Weber,アルフレート・ヴェーバー
Erich Rothacker,エーリヒ・ロータッカー
Günter Verheugen,ギュンター・フェアホイゲン
Anke Spoorendonk,アンケ・スポーレンドンク
Hans Friedrich Blunck,ハンス・フリードリヒ・ブルンク
Heinrich Claß,ハインリヒ・クラース
Manfred Weber,マンフレート・ヴェーバー
Gertrude von Hanau,ゲルトルーデ・レーマン
Gustav Wyneken,グスタフ・ヴィネケン
Ernst Friedrich Schumacher,エルンスト・フリードリッヒ・シューマッハー
Max Eyth,マックス・フォン・アイト
Christian Werner,クリスティアン・ヴェルナー
Carl Friedrich von Pückler-Burghauss,カール・フォン・ピュックラー＝ブルクハウス
Kurt Gerstein,クルト・ゲルシュタイン
Hans Fallada,ハンス・ファラダ
Samy Deluxe,サミー・デラックス
Sebastian Nerz,ゼバスティアン・ネルツ
Karl von Decker,カール・フォン・デンカー
Karl Wahl,カール・ヴァール
Karl Storch,カール・シュトルフ
Wilhelm Cramer,ヴィルヘルム・クラーマー
Stefan Heym,シュテファン・ハイム
Hans Richter-Haaser,ハンス・リヒター＝ハーザー
Karl Strölin,カール・シュトローリン
Erhard Melcher,エアハルト・メルヒャー
Peter Stuhlmacher,ペーター・シュトゥールマッハー
Hans Bergel,ハンス・ベルゲル
Arthur Korn,アーサー・コーン
Heinrich Schreiber,ハインリヒ・シュライベル
Angelo Neumann,アンゲロ・ノイマン
Konrad Heiden,コンラート・ハイデン
Werner Krauss,ヴェルナー・クラウス
Anne-Karin Glase,アンネ＝カーリン・グラーゼ
Meister Eckhart,マイスター・エックハルト
Ulrike Meinhof,ウルリケ・マインホフ
Kurt Student,クルト・シュトゥデント
Klaus-Dieter Petersen,クラウス＝ディーター・ペターセン
Michael Gabriel Fredersdorf,ミヒャエル・ガブリエル・フレーダースドルフ
Otto Nathan,オットー・ネーサン
Chaim Rabin,ハイム・メナヘム・ラビン
Siegmund G. Warburg,ジーグムント・ゲオルグ・ヴァールブルク
Paul Hensel,ポール・ヘンゼル
Heinrich Botho Scheube,ハインリヒ・ボート・ショイベ
Johannes Zahn,ヨハネス・ツァーン
Friedrich Hildebrandt,フリードリヒ・ヒルデブラント
Nico Hülkenberg,ニコ・ヒュルケンベルグ
Ernst Zindel,エルンスト・ツィンデル
Heinrich Cornelius Agrippa von Nettesheim,ハインリヒ・コルネリウス・アグリッパ
Johann Ernst von Hanxleden,ヨハン・エルンスト・フォン・ハンクスレーデン
George W. F. Hallgarten,ジョージ・ハルガーテン
Maria Simon,マリア・サイモン
Siegbert Tarrasch,ジークベルト・タラッシュ
Rudolf Kerner,ルドルフ・ケルナー
Susanne Lothar,ズザンネ・ロータ
Therese Neumann,テレーゼ・ノイマン
Harry Boldt,ハリー・ボルト
Thomas Brasch,トマス・ブラッシュ
Leopold von Mildenstein,レオポルト・フォン・ミルデンシュタイン
Hajo Meyer,ハージョ・マイヤー
Alfred Brinckmann,アルフレッド・ブリンクマン
Erich Kästner,エーリッヒ・ケストナー
Jörg Tauss,イェルク・タウス
Herbert Fröhlich,ヘルベルト・フレーリッヒ
Hans von Mangoldt,ハンス・カール・エミル・フォン・マンゴルト
John Rewald,ジョン・リウォルド
Johann Ludwig,ヨハン・ルートヴィヒ・フォン・ナッサウ＝ハダマール
Hans-Peter Kaul,ハンスペーター・カウル
Hermann Köhler,ヘルマン・ケーラー
Hans Karl August Simon von Euler-Chelpin,ハンス・フォン・オイラー＝ケルピン
Devid Striesow,デーヴィト・シュトリーゾフ
Hans Geisler,ハンス＝フェルディナント・ガイスラー
Kurt Alder,クルト・アルダー
Richard Dehmel,リヒャルト・デーメル
Johann Nikuradse,ヨセフ・ニクラーゼ
Friedrich Bergius,フリードリッヒ・ベルギウス
Manfred Eigen,マンフレート・アイゲン
Anton Hackl,アントーン・ハックル
Franz Fischer,フランツ・フィッシャー
Gerhard Herzberg,ゲルハルト・ヘルツベルク
Berthold Maria Schenk Graf von Stauffenberg,ベルトルト・フォン・シュタウフェンベルク (1934-)
Julius Weizsäcker,ユリウス・ヴァイツゼッカー
Paul Kollsman,ポール・コールズマン
Eugen Dühring,オイゲン・デューリング
Karl Kautsky,カール・カウツキー
Richard Cassirer,リヒャルト・カッシーラー
Brigitte Kuhlmann,ブリギッテ・キュールマン
Hans Delbrück,ハンス・デルブリュック
Max Dessoir,マックス・デソワール
Michael Frede,ミヒャエル・フレーデ
Michael Witzel,ミヒャエル・ヴィツェル
Franz von Fürstenberg,フランツ・フォン・フュルステンベルク
Karl Ziegler,カール・ツィーグラー
Nicolas Berggruen,ニコラス・バーグルエン
Johannes Junius,ヨハネス・ユニウス
Michael Wolffsohn,ミハエル・ウォルフゾーン
Heinz-Klaus Metzger,ハインツ＝クラウス・メッツガー
Friedrich Hoffmann,フリードリッヒ・ホフマン
Johann Deisenhofer,ヨハン・ダイゼンホーファー
Dominik Eulberg,ドミニク・オイルベルク
Rudolf Jung,ルドルフ・ユング
Ingo Pohlmann,インゴ・ポールマン
Otto Strasser,オットー・シュトラッサー
Henny Porten,ヘニー・ポルテン
Robert Huber,ロベルト・フーバー
Johann Philipp Franz von Schönborn,ヨハン・フィリップ・フランツ・フォン・シェーンボルン
Gerd der Mutige,ゲルハルト6世 (オルデンブルク伯)
Arthur Heffter,アルトゥール・ヘッフター
Günter Klass,ギュンター・クラス
Wilhelm Schott,ヴィルヘルム・ショット
Alfred Naujocks,アルフレート・ナウヨックス
Josef Budenz,ヨーゼフ・ブンデンツ
Gui Bonsiepe,ギー・ボンシーペ
Johann Albrecht Widmannstetter,ヨハン・アルプレヒト・ヴィドマンシュテッター
Reinhold Brinkmann,ラインホルト・ブリンクマン
Gotthilf Fischer,ゴットヒルフ・フィッシャー
Bernd Rothmann,ベルンハルト・ロートマン
Johann Georg von Sachsen,ベルトルト・フォン・シュタウフェンベルク
Stefan-Peter Greiner,シュテファン＝ペーター・グライナー
Wilibald Gurlitt,ヴィリバルト・グルリット
Lea Rosh,レア・ロッシュ
Paul Maar,パウル・マール
Roderich Fick,ローデリヒ・フィック
Hans Fischer,ハンス・フィッシャー
Margarete Klose,マルガレーテ・クローゼ
Dennis Wolf,デニス・ウルフ
Marc Albrecht,マルク・アルブレヒト
Alexander Schenk Graf von Stauffenberg,アレクサンダー・フォン・シュタウフェンベルク
Else von Richthofen,エルゼ・フォン・リヒトホーフェン
Louise Ebert,ルイーゼ・エーベルト
Ferdy Mayne,ファーディ・メイン
Bettina Hauert,ベッティーナ・ハウエルト
Bascha Mika,バーシャ・ミーカ
Léo Apotheker,レオ・アポテカー
Harald Kujat,ハラルド・クヤート
Carl Jules Weyl,カール・ジュールズ・ウェイル
Adolph Mayer,アドルフ・マイヤー
Martin Bormann junior,アドルフ・マルティン・ボルマン
Heinrich II. von Virneburg,ハインリヒ2世
Johannes Theobald,ヨハネス・テオバルト
Therese von Bacheracht,テレーゼ・フォン・バヘラハト
Isabel Drescher,イザベル・ドレッシャー
Otto Diels,オットー・ディールス
Siegfried Flügge,ジークフリート・フリューゲ
Michael Mendl,ミヒャエル・メンドル
Marco Holzer,マルコ・ホルツァー
Hans-Joachim Queisser,ハンスヨアヒム・クアイサー
Joachim Coeler,ヨアヒム・ケーラー
Karl William Kapp,カール・ウィリアム・カップ
Melitta Bentz,メリタ・ベンツ
Greta Schröder,グレータ・シュレーダー
Mathias Rust,マチアス・ルスト
Nusch Éluard,ヌーシュ・エリュアール
Volker Spengler,フォルカー・シュペングラー
Ketino Kachiani-Gersinska,ケティノ・カチアニ
Arnold Flammersfeld,アルノルト・フランマースフェルト
Eppelein von Gailingen,エッペライン・フォン・ガイリンゲン
Hans-Joachim Jabs,ハンス＝ヨアヒム・ヤープス
Hans-Ulrich Treichel,ハンス＝ウルリヒ・トライヒェル
Otto Merz,オットー・メルツ
Georg von Sodenstern,ゲオルク・フォン・ゾーデンシュテルン
Paul Henckels,ポール・ヘンケルス
Simon Verhoeven,ジーモン・ファーフーフェン
Götz Friedrich,ゲッツ・フリードリヒ
Carl Koch,カルル・コッホ
Ossi Oswalda,オッシー・オスヴァルダ
Nadja Auermann,ナジャ・アウアマン
Christian Alvart,クリスティアン・アルヴァルト
Heinrich Friedrich Siedentopf,ハインリヒ・フリードリヒ・ジーデントプフ
Emil Hilb,エミール・ヒルプ
Friedrich Karl Schmidt,フリードリッヒ・シュミット
Detlef Laugwitz,デトレフ・ラウグヴィッツ
Leni Stern,レニ・スターン
Richard A. Werner,リチャード・ヴェルナー
Adolf Lasson,アドルフ・ラッソン
Gustav Adolf Wislicenus,グスタフ・アドルフ・ウィスリツェヌス
Kurt Wolff,クルト・ウォルフ
Rainer Simon,ライナー・ジモン
Karl Emil von Brandenburg,カール・エーミール・フォン・ブランデンブルク
Andrea Berg,アンドレア・ベルク
Wilhelm Schäfer,ヴィルヘルム・シェーファー
Christoph Daum,クリストフ・ダウム
Roland Jahn,ローラント・ヤーン
Henriette von Schirach,ヘンリエッテ・フォン・シーラッハ
Ludwig von Oettingen-Wallerstein,ルートヴィヒ・フォン・エッティンゲン＝ヴァラーシュタイン
Wilhelm Schulz,ゲオルグ＝ヴィルヘルム・シュルツ
Adolph Hoffmann,アドルフ・ホフマン
Johann Wilhelm Klein,ヨハン・ヴィルヘルム・クライン
Peter Kreuder,ペーター・クロイダー
Alexander Witting,アレクサンダー・ヴィッティヒ
Kurt Mahr,クルト・マール
Hans Adalbert Schlettow,ハンス・アダルベルト・フォン・シュレットウ
Hans Riegel,ハンス・リーゲル
Ernst Fritz Fürbringer,エルンスト・フリッツ・フュアブリンガー
Karl Germer,カール・ゲルマー
Rolf Huisgen,ロルフ・フーズゲン
Walter Frank,ヴァルター・フランク
Suzan Anbeh,スーザン・アンベー
Frank-Walter Steinmeier,フランク＝ヴァルター・シュタインマイアー
Marquard Sebastian Schenk von Stauffenberg,マルクヴァルト・ゼバスティアン・シェンク・フォン・シュタウフェンベルク
Marion Freisler,マリオン・フライスラー
Ernst Pöhner,エルンスト・ペーナー
Wilhelm Holtz,ヴィルヘルム・ホルツ
Carl Oskar Ursinus,オスカル・ウルシヌス
Reinhold Ebertin,ラインホルト・エヴァーティン
Wilhelm Blos,ウイルヘルム・ブロス
Heinrich Boere,ハインリッヒ・ボーレ
Laura Siegemund,ラウラ・シグムント
Harry Piel,ハリー・ピール
Hermann Oldenberg,ヘルマン・オルデンベルク
Oskar Minkowski,オスカル・ミンコフスキー
Ludwig Prandtl,ルートヴィヒ・プラントル
Johannes Georg Bednorz,ヨハネス・ベドノルツ
Monika Hohlmeier,モニカ・ホールマイアー
Marion Michael,マリオン・ミハエル
Oswald von Nell-Breuning,オスヴァルト・フォン・ネル＝ブロイニング
Johann Conrad Schlaun,ヨハン・コンラート・シュラウン
Herman Bing,ハーマン・ビング
Fritz Kuhn,フリッツ・クーン
Arnulf Klett,アルヌルフ・クレット
Hans-Hermann Hoppe,ハンス＝ヘルマン・ホッペ
Kasper Straube,カスパー・シュトラウベ
Jörg Fauser,イェルク・ファウザー
Johann Christian Fischer,ジャン・クレティアン・フィッシャー
Wilhelm Brückner-Rüggeberg,ヴィルヘルム・ブリュックナー＝リュッゲベルク
Otto Wilhelm Thomé,オットー・ヴィルヘルム・トーメ
Karl Lagerfeld,カール・ラガーフェルド
Jan Niklas,ジャン・ニクラス
Laci Boldemann,ラーシ・ボーデマン
Dieter Glemser,ディーター・グレムザー
Max Wolf,マックス・ヴォルフ
Friedrich Nobbe,フリードリヒ・ノッベ
Bernhard Schlink,ベルンハルト・シュリンク
Rudolf Hell,ルドルフ・ヘル
Jawed Karim,ジョード・カリム
Georg Joos,ゲオルク・ヨース
Ernst Gadermann,エルンスト・ガーデルマン
Max Strub,マックス・シュトループ
Andreas Umland,アンドレアス・ウムランド
Klaus Koch,クラウス・コッホ
Joachim Kaiser,ヨアヒム・カイザー
Ina Menzer,イナ・メンツァー
Werner Streib,ヴェルナー・シュトライプ
Heinz Gollwitzer,ハインツ・ゴルヴィツァー
Carl Moeli,カール・メーリ
Friedrich Theodor von Schubert,フョードル・イヴァーノヴィチ・シューベルト
Wilfried Böse,ヴィルフリート・ボーゼ
Irm Hermann,イルム・ヘルマン
Herbert Schnädelbach,ヘルベルト・シュネーデルバッハ
Wilhelmine Herzlieb,ミンナ・ヘルツリープ
Mari-Doris Vartmann,マリ・ヴァルトマン
Thomas Risse,トーマス・リッセ
Helmut Maucher,ヘルムート・マウハー
Fried Walter,フリート・ヴァルター
Ernst Zierke,エルンスト・ツィールケ
Berthold Leibinger,ベルトルト・ライビンガー
Claudia Schiffer,クラウディア・シファー
Lars Vogt,ラルス・フォークト
Heinz Baumann,ハインツ・バウマン
Pinchas Lapide,P.ラピデ
Hermine Braunsteiner-Ryan,ヘルミーネ・ブラウンシュタイナー
Robert Hohlbaum,ロベルト・ホルバウム
Tina Riegel,クリスティーナ・リーゲル
Anton Raphael Mengs,アントン・ラファエル・メングス
Timo Glock,ティモ・グロック
Reinhard Höppner,ラインハルト・ヘプナー
Franz Rosenzweig,フランツ・ローゼンツヴァイク
Nastassja Kinski,ナスターシャ・キンスキー
Friedrich Stolz,フリードリヒ・シュトルツ
Leonie Tepe,レオニー・テペ
Reinhold Würth,ラインホルト・ヴュルト
Christophorus Clavius,クリストファー・クラヴィウス
Bruno Taut,ブルーノ・タウト
Max Adalbert,マックス・アーダルベルト
Heinz Reincke,ハインツ・ラインケ
Curt Courant,クルト・クーラン
Kai Krause,カイ・クラウス
Heinz Hopf,ハインツ・ホップ
Gerhard Hessenberg,ゲルハルト・ヘッセンベルク
Ernst Jünger,エルンスト・ユンガー
Romy Schneider,ロミー・シュナイダー
Nathalie Weinzierl,ナタリー・ヴァインツィアール
Heinrich von Sachsen-Lauenburg,ハインリヒ・フォン・ザクセン＝ラウエンブルク
Wilhelm von Leube,ヴィルヘルム・オリヴァー・ロイベ
Heinrich Cunow,ハインリッヒ・クノー
Heinrich Müller-Breslau,ハインリヒ・ミューラー＝ブレスラウ
Otto Ostrowski,オットー・オストロウスキー
Konrad Meyer,コンラート・マイヤー
Mathias Herrmann,マティアス・ヘルマン
Heinz-Harald Frentzen,ハインツ＝ハラルド・フレンツェン
Adam Schall von Bell,アダム・シャール
Siegfried Müller,ジークフリート・ミュラー
Stefan Hussong,シュテファン・フッソング
Ricarda Lisk,リカルダ・リスク
Wolf von Engelhardt,ヴォルフ・フォン・エンゲルハート
Erich Mendelsohn,エーリヒ・メンデルゾーン
Oskar Heil,オスカー・ハイル
Heinz Hilpert,ハインツ・ヒルペルト
Hermann Ehlers,ヘルマン・エーラース
Johann Bayer,ヨハン・バイエル
Sandra Köppen-Zuckschwerdt,サンドラ・ケッペン
Karl Joseph Wilhelm Juchheim,カール・ユーハイム
Florian Just,フロリアン・ユスト
Dimitri Terzakis,ディミトリー・テルツァキス
Ferdinand Heinrich Thieriot,フェルディナント・ティエリオ
Gerhard Taschner,ゲルハルト・タシュナー
Heinrich Mendelssohn,ハインリヒ・メンデルスゾーン
Richard Paul Wagner,リヒャルト・ワーグナー
Martin Schempp,マルティン・シェンプ
Moritz von Sachsen,モーリス・ド・サックス
Peter Behrens,ペーター・ベーレンス
Timo Hoffmann,ティーモ・ホフマン
Horst Janson,ホルスト・ヤンソン (俳優)
D-Flame,Dフレーム
Alexander Granach,アレクサンダー・グラナック
Uwe Ommer,ウーヴェ・オンマー
Rainer Zitelmann,ライナー・ツィテルマン
Fritz Werner,フリッツ・ヴェルナー
August,アウグスト (シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝ベック公)
Friedrich Wilhelm I.,フリードリヒ・ヴィルヘルム1世 (シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝ベック公)
Joachim Starbatty,ヨアヒム・シュターバティ
Franz Defregger,フランツ・デフレガー
Fritz Streletz,フリッツ・シュトレーレッツ
Thomas Thieme,トーマス・ティーメ
Friedrich Domin,フリードリッヒ・ドミン
Rudolf Querner,ルドルフ・クヴェルナー
Ernst Casimir II. zu Ysenburg und Büdingen,エルンスト・カジミール2世・ツー・イーゼンブルク・ウント・ビューディンゲン
Sigfrid Riedel,ジークフリート・リーデル
Gertrud von Hindenburg,ゲルトルート・フォン・ヒンデンブルク
Karl-Josef Laumann,カール＝ヨーゼフ・ラウマン
Maximilian Heinrich von Bayern,マクシミリアン・ハインリヒ・フォン・バイエルン
Friedrich Kellner,フリードリッヒ・ケルナー
Nicolas Kiefer,ニコラス・キーファー
Hermann Oberth,ヘルマン・オーベルト
Bernhard Wicki,ベルンハルト・ヴィッキ
Manuela Ruben,マヌエラ・ルーベン
Renate Hoy,レナーテ・ホイ
Andreas Rumpf,アンドレアス・ルンプ
Mathis Landwehr,マティアス・ラントヴェール
Jürgen Fuchs,ユルゲン・フクス
Stefan Schnabel,ステファン・シュナーベル
Sandra Borgmann,サンドラ・ボークマン
Hans-Jürgen Krahl,ハンス=ユルゲン・クラール
Wolfgang Meyer,ヴォルフガング・マイヤー
Tobias Schenke,トビアス・シェンケ
Hagen Kleinert,ハーゲン・クライネルト
Hakan Serbes,ハカン・ゼルベス
Rainer Schüttler,ライナー・シュットラー
Wilhelm Eduard Schmid,ヴィルヘルム・エドゥワルト・シュミット
Fritz Gosslau,フリッツ・ゴスラウ
Klaus J. Behrendt,クラウス・ヨハネス・ベーレント
Kunibert von Köln,聖クニベルト
Elyas M’Barek,エリヤス・エンバレク
Ferry Porsche,フェルディナンド・アントン・エルンスト・ポルシェ
Adolf Dassler,アドルフ・ダスラー
Tim Borowski,ティム・ボロウスキ
Alfred Bucherer,アルフレート・ブヘラ
Max Delbrück,マックス・デルブリュック
Carl Zuckmayer,カール・ツックマイヤー
Sabine Lösing,ザビーネ・レージング
Ilka Bessin,イルカ・ベシーン
Fritz Kortner,フリッツ・コルトナー
Bettina Hoy,ベッティーナ・ホイ
Margarete Schütte-Lihotzky,マルガレーテ・シュッテ＝リホツキー
Gerhard Kubik,ゲルハルト・クービック
Matthias Ettrich,マティアス・エトリッヒ
Klaus Schwab,クラウス・シュワブ
Eva Mattes,エーファ・マッテス
Karl Haushofer,カール・ハウスホーファー
Edith Stein,エーディト・シュタイン
Miroslav Klose,ミロスラフ・クローゼ
Karl Richter,カール・リヒター
Peter Fechter,ペーター・フェヒター
Gustaaf Willem van Imhoff,グスタフ・ウィレム・ファン・イムホフ
Gerd Binnig,ゲルト・ビーニッヒ
Beno Gutenberg,ベノー・グーテンベルグ
Christof Arnold,クリストフ・アーノルド
Gustav Heinrich Ralph von Koenigswald,グスタフ・ハインリヒ・ラルフ・フォン・ケーニヒスヴァルト
Maria von Hanau und zu Hořowitz,マリア・フォン・ハーナウ＝ホロヴィッツ
Sebastian Zbik,セバスチャン・ズビク
Karl Mannheim,カール・マンハイム
Max Horkheimer,マックス・ホルクハイマー
Helmut H. Schaefer,ヘルムート・H・シェーファー
Friedrich Wilhelm III.,フリードリヒ・ヴィルヘルム3世 (シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝ベック公)
Friedrich Wilhelm II.,フリードリヒ・ヴィルヘルム2世 (シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝ベック公)
Waldemar Kobus,ヴァルデマル・コブス
Hans Heinrich Eggebrecht,ハンス・ハインリヒ・エッゲブレヒト
Will Quadflieg,ヴィリー・クヴァトフリーク
Franz Wilhelm Seiwert,フランツ・ヴィルヘルム・ザイヴェルト
Stephan Winkelmann,シュテファン・ヴィンケルマン
Diepold von Schweinspeunt,ディーポルト (アチェッラ伯)
Christoph Pfingsten,クリストフ・フィングステン
Dirk van den Berg,ダーク・ヴァン・デン・バーグ
Lothar Wolleh,ローター・ヴァレー
Friedrich Naumann,フリードリヒ・ナウマン
Bernhard Erdmannsdörffer,ベルンハルト・エルトマンスデルファー
Brigitte Helm,ブリギッテ・ヘルム
Emmy Hennings,エミー・ヘニングス
Franz von Werner,フランツ・フォン・ヴェルナー
Robin Knoche,ロビン・クノッヘ
Christoph Waltz,クリストフ・ヴァルツ
Siegfried Heinrich Aronhold,ジークフリート・ハインリッヒ・アロンホルト
Florian David Fitz,フロリアン・ダーヴィト・フィッツ
Felix Hollaender,フェリックス・ホレンダー
Julia Sahin,ジュリア・サヒン
Friedrich August,フリードリヒ・アウグスト (ブラウンシュヴァイク＝ヴォルフェンビュッテル＝エールス公)
Daniel Cohn-Bendit,ダニエル・コーン＝ベンディット
Franz Boas,フランツ・ボアズ
