Diego Velázquez,委拉斯開茲
Óliver Torres,奧利弗·托雷斯
Juan Antonio Anquela,胡安·安东尼奥·安克拉
Borja Valero,博尔哈·巴莱罗
Grigori Sokolov,格里戈里·利普马诺维奇·索科洛夫
Bigas Luna,比加斯·卢纳
Joaquín Sánchez de Toca,华金·桑切斯·德托卡
Pablo Herrera Allepuz,巴勃罗·埃雷拉
Míchel Herrero,米卓爾·靴里路
Alejo Vidal-Quadras,阿莱霍·维达尔-夸德拉斯·罗查
Xavi Fernández,哈维·费尔南德斯
Antonio Martín Espina,安东尼奥·马丁
Gioconda Belli,希奥孔达·贝利
Inés Sastre,伊莉絲·莎特莉
José Luis Abajo,何塞·路易斯·阿瓦霍
Ana Miranda Paz,安娜·米兰达·帕斯
Ana Matnadze,阿娜·马特纳泽
Sergio Ramos,塞尔希奥·拉莫斯
Antonio López García,安东尼奥·洛佩斯·加西亚
Francisco Silvela,弗朗西斯科·西尔维拉
José López Domínguez,何塞·洛佩兹·多明格斯
Óscar de la Renta,奥斯卡·德拉伦塔
Víctor Fernández,域陀·費南迪斯
Fernando Martín Espina,费尔南多·马丁
Carlos Marín (cantante),卡洛斯·马林
Papus,傑勒爾·昂柯斯
He Zhi Wen,何志文·(乒乓球运动员)
Universidad de Alcalá,阿爾卡拉大學
Marcelo Azcárraga Palmero,马塞洛·阿斯卡拉加·帕尔梅罗
Manel Silvestre,曼努埃尔·西尔韦斯特雷
Pedro Morenés,佩德罗·莫雷内斯
Pedro García Aguado,佩德罗·加西亚·阿瓜多
Pedro Obiang,佩羅·奧比安
Elena Valenciano,埃莱娜·巴伦西亚诺
Pasieguito,帕西耶奎托
Blanca Portillo,布兰卡·波蒂略
Sebastián Mora,塞巴斯蒂安·莫拉
Américo Castro,阿美利科·卡斯特罗
Ferenc Puskás,普斯卡什·费伦茨
Nacho Vidal,納喬·比達爾
Samuel Eto'o,萨缪埃尔·埃托奥
Marco Antonio González,马尔科·安东尼奥·冈萨雷斯
Josep Picó,何塞普·比科
Rubén Michavila,鲁文·米查维拉
Ángel Andreo,安赫尔·安德烈奥
Íñigo Cervantes Huegun,伊尼戈·塞万提斯
Jordi Vinyals,约尔迪·比尼亚尔斯
Rivaldo,里瓦尔多
José Carreras,何塞·卡雷拉斯
Antonio Adán,安東尼奧·阿丹
Bárbara Dührkop,芭芭拉·迪尔科普
Félix Pons,费利克斯·庞斯
Álvaro de Orleans-Borbón y Sajonia-Coburgo y Gotha,加列拉公爵阿爾瓦羅·德·奧爾良
Ladislao Kubala,庫巴拉·拉迪斯勞
Unai Emery,烏拿·艾瑪利
José María Gil-Robles,何塞·马利亚·吉尔-罗伯斯
Carlos Saura,卡洛斯·索拉
Luis García Sanz,路易斯·哈维尔·加西亚·桑斯
Olivier Martinez,奧利佛·馬丁內斯
Carlos Amigo,嘉祿·阿米戈·巴列霍
Eduardo Martínez Somalo,愛德華·馬丁內斯-索馬洛
David Albelda,大衛·阿爾貝爾達
Gaizka Mendieta,盖兹卡·门迭塔
José Bono,何塞·博诺·马丁内斯
Gonzalo de Borbón y Battenberg,冈萨罗王子·(西班牙)
Óscar García Junyent,奧斯卡·加西亞
Óscar Hernández (tenista),奧斯卡·埃爾南德斯
Paco Gento,弗朗西斯科·亨托
Fernando Romay,费尔南多·罗迈
Viran Morros,比兰·莫罗斯
Urbano Navarrete,乌尔巴诺·纳瓦雷特·科尔特斯
Estrella Morente,伊絲翠雅·莫倫特
Joaquín (futbolista),华金·桑切斯
Roberto Carretero,罗伯托·卡雷特罗
Esperanza Aguirre,埃斯佩兰萨·阿吉雷
Ander Herrera,安德尔·埃雷拉
Enrique Granados,恩里克·格拉纳多斯
Eduardo Gurbindo,爱德华多·古尔温多
Guillermo Molina,吉列尔莫·莫利纳
Roberto Fresnedoso,罗伯托·弗雷斯内多索
Denis Suárez,丹尼斯·蘇亞雷斯
Xavier O'Callaghan,哈维尔·奥卡拉汉
Jordi Núñez Carretero,霍尔迪·努涅斯
Antonio Ugalde García,安东尼奥·乌加尔德
Antonio Carlos Ortega,安东尼奥·卡洛斯·奥尔特加
Jesús Olalla Iraeta,赫苏斯·奥拉利亚
Nacho Fernández Iglesias,拿祖
César Azpilicueta,塞萨尔·阿斯皮利奎塔
Luisa Teresa de Borbón,路易莎·特蕾莎·德·波旁
Iñigo Calderón,伊尼戈·卡尔德隆
Ricardo Zamora,里卡多·薩莫拉
Vicente Rodríguez Guillén,維辛迪
Carlos Ruiz Zafón,卡洛斯·魯依斯·薩豐
Javier Irureta,哈维尔·伊鲁雷塔
Fernando Soriano,費蘭度·蘇利安奴
Alfonso de Borbón-Dos Sicilias y Borbón,阿方索·(卡拉布里亞公爵)
Iván Helguera,艾雲·希古拿
George Meade,乔治·米德
Emmanuel Drake del Castillo,埃马纽埃尔·德拉克·德尔卡斯蒂洛
Enric Masip,恩里克·马西普
Roberto Dueñas,罗伯托·杜埃尼亚斯
Ramón Mercader,拉蒙·麥卡德
Samuel Sánchez,萨穆埃尔·桑切斯
Jorge Valdano,豪尔赫·巴尔达诺
Mariano José de Larra,馬里亞諾·何塞·德·拉臘
Fabricio Agosto,法比斯奧·阿戈斯塔·拉米雷斯
Francisco Javier Bosma,哈维尔·博斯马
Javier López Rodríguez (futbolista español),哈維·洛佩茲
Paco Alcácer,柏高·艾卡沙
José Luis Lacunza,若瑟·類思·拉昆薩·馬埃斯特羅胡安
Oriol Riera,奥里奥爾·里埃拉
Juan Carlos Holgado,胡安·奥尔加多
Santi Denia,聖地牙哥·德尼亞
Pedro Machuca,佩德罗·马丘卡
José Manuel Soria,何塞·曼努埃尔·索里亚
Emiliano Rodríguez,埃米利亚诺·罗德里格斯
Joaquín Dualde (hockey hierba),华金·杜阿尔德
Carmen Calvo,卡门·卡尔沃
Toni Jiménez,托尼·希门尼斯
Javier Marías,哈维尔·马里亚斯
Santiago Carrillo,圣地亚哥·卡里略
Antonio López (futbolista nacido en 1981),安东尼奥·洛佩斯
Albert Montañés,阿爾伯特·蒙塔涅斯
Joan Cañellas,霍安·卡涅利亚斯
Russian Red,羅素紅
Javier Clemente,哈维尔·克莱门特
Ana Botín,安娜·柏廷
Rubén Baraja,鲁本·巴拉哈
José Manuel Beirán,何塞·曼努埃尔·贝兰
Carlos Coloma Nicolás,卡洛斯·科洛马·尼古拉斯
Diego Laínez (jesuita),迭戈·莱内斯·(神学家)
Gregorio Peces-Barba,格雷戈里奥·佩塞斯-巴尔瓦
Manuel Castells,曼紐·卡斯提爾
Pedro León (futbolista),柏度·利安
Fernando Navarro Corbacho,费尔南多·纳瓦罗
Antón Lamazares,安东·拉玛萨雷斯
Gerardo Torrado,赫拉多·托拉多
José Antonio Páez,何塞·安东尼奥·派斯
Guillermo García López,吉列爾莫·加西亞·洛佩斯
Ramiro Ledesma,拉米罗·莱德斯马
Federico Madrazo,费德里科·马德拉索
José Gallegos y Arnosa,何塞·加列戈斯·阿诺萨
Ángel Acebes,安赫尔·阿塞韦斯
Francisco Javier de Borbón,法蘭西斯科·哈維爾·德·波旁
Toni Velamazán,托尼·贝拉马桑
Antonio Pascual de Borbón,安東尼奧·帕斯卡·德·波旁
Joseba Etxeberria,何塞巴·埃切贝里亚
Javi García,查維·加西亞
Diego Velázquez de Cuéllar,迭戈·貝拉斯克斯·德奎利亞爾
Juan Carlos Navarro,胡安·卡洛斯·納瓦羅
Valeri Karpin,瓦列里·卡尔平
José Luis Cuerda,何塞·路易斯·奎尔达
Francisco Xavier de Luna Pizarro,弗朗西斯科·哈维尔·德卢纳·皮萨罗
Per-Ingvar Brånemark,佩爾-英格瓦·布倫馬克
Juana Galán,胡安娜·加蘭
Garcilaso de la Vega,加尔西拉索·德·拉·维加
Francisco de Miranda,弗朗西斯科·德·米蘭達
Albert Luque,阿尔伯特·卢克
Tomás Pina,托馬斯·皮納·伊斯拉
Úrsula Corberó,烏蘇拉·可貝蘿
Marc Bartra,马克·巴特拉
Alberto Undiano Mallenco,阿尔贝托·乌恩蒂亚诺
Juan Carlos Sánchez Martínez,胡安·卡洛斯·桑切斯·馬丁內斯
Vicente de Valverde,文森特·德·巴爾韋德
José Antonio Camacho,何塞·安东尼奥·卡马乔
Juan Carlos Valerón,胡安·卡洛斯·貝萊隆
Ramón María del Valle-Inclán,拉蒙·德尔巴列-因克兰
Sergi Bruguera,塞爾希·布魯格拉
Miguel Ángel Nadal,米格尔·安赫尔·纳达尔
Rafael Moneo,拉斐尔·莫内欧
Joan Laporta,胡安·拉波尔塔
Philippe Coutinho,菲利普·库蒂尼奥
Jordi Sans,霍尔迪·桑斯
Sebastián Coates,施巴斯坦·高亞迪斯
Dani Aranzubia,丹尼尔·阿兰苏比亚
Daniel Pacheco,丹尼爾·柏捷高
Asier del Horno,阿西尔·德尔奥尔诺
Rudy Fernández,鲁迪·费尔南德斯
Mikel San José,米基·聖荷西
Sancho IV de Castilla,桑喬四世·(卡斯蒂利亞)
Camarón de la Isla,卡馬隆·德·拉·伊斯拉
Francisco Largo Caballero,弗朗西斯科·拉尔戈·卡巴列罗
Vladimir Gusinsky,弗拉基米尔·古辛斯基
Roberto Moya (atleta),罗伯托·莫亚
Pedro Arico Suárez,阿里科·苏亚雷斯
Chechu Fernández,赫苏斯·费尔南德斯
Raúl González Gutiérrez,劳尔·冈萨雷斯·(手球运动员)
Joan Manuel Serrat,胡安·曼努埃尔·色拉特
Juan Bautista de Toledo,胡安·包蒂斯塔·德·托莱多
Juan Negrín,胡安·内格林
Yū Shirota,城田優
Alfonso Guerra,阿方索·格拉
Javier García Chico,哈维尔·加西亚·(田径运动员)
Laura Molina,劳拉·莫利纳
Beatriz Corrales,比阿特丽斯·科拉莱斯
Salva Esquer,萨尔瓦多·埃斯克尔
Serge Ibaka,賽爾吉·伊巴卡
Francisco Tárrega,弗朗西斯科·塔雷加
Javier Garrido Behobide,查維·加列度
Juan Crisóstomo de Arriaga,胡安·克里索斯托莫·阿里亚加
Albert Jorquera,阿爾伯特·霍爾克拉
Oleguer Presas,奥莱格·普雷萨斯
José Manuel Moreno Periñán,何塞·曼努埃尔·莫雷诺
Víctor Tomás González,维克托·托马斯
Niceto Alcalá-Zamora,尼塞托·阿尔卡拉-萨莫拉
José María Calatrava,何塞·马里亚·卡拉特拉瓦
Juan González de Mendoza,胡安·冈萨雷斯·德·门多萨
Ferrán Martínez Garriga,费兰·马丁内斯
Isabel de Habsburgo-Lorena,伊莉莎白·哈布斯堡-洛林
Héctor Moreno,埃克托·莫雷诺
Claudio Bravo (futbolista),哥迪奧·巴禾
Luis Carrero Blanco,路易斯·卡雷罗·布兰科
Juan Arango,胡安·阿朗戈
Sergio García de la Fuente,沙治奧·加西亞·(足球運動員)
Álvaro de Mendaña,阿尔瓦罗·德·门达尼亚·德·内拉
Miguel Ángel Angulo,米格尔·安赫尔·安古洛
Antonio Barragán,安东尼奥·巴拉甘
Mauricio Pochettino,毛里西奥·波切蒂诺
Juan de Esquivel,胡安·德埃斯基韦尔
Marc Muniesa,马克·穆涅萨
Xavier García Gadea,哈维尔·加西亚·(水球运动员)
Mamadou Samb,马马杜·桑伯
Carme Forcadell,卡梅·福卡德利
Toché,托切
Bridgette B,布莉姬
Gisela Morón,希塞拉·莫龙
Raquel Corral,拉克尔·科拉尔
Xavi Rabaseda,哈维·拉瓦塞达
Carlos Fernando de Borbón-Dos Sicilias,兩西西里的卡洛·費迪南多
Gary Alexander,加里·亚历山大
Kike García,基克·加西亚
Javi Guerra,哈維·古埃拉
Mista,米斯達
Josep Borrell,何塞普·博雷利
Alejandro Farnesio (duque de Parma),亞歷山德羅·法爾內塞·(帕爾馬公爵)
Alexis Ruano,阿萊克西斯·(1985年)
Raúl Tamudo,魯爾·達蒙度
Iker Muniain,伊克尔·穆尼亚因
Fernando Amorebieta,费尔南多·阿莫雷别塔
Ariel Ibagaza,阿里埃爾·伊巴加薩
Raúl Bravo,魯爾·巴禾
Diego Capel,迪亞高·卡普
Marcel Granollers,馬塞爾·格拉諾勒斯
David Mateos,大衛·馬迪奧斯
Diego López Rodríguez,迪亞高·盧比斯·洛迪古斯
Carlos Velasco Carballo,卡路士·韋拿斯高·卡巴洛
Fran Mérida,法蘭·梅里達
Rafael Lozano,拉斐尔·洛萨诺
José Luis Oltra,何塞·路易斯·奥尔特拉
Jorge Pulido,豪尔赫·普利多
Diego Rivas,迪亞高·利華斯·古迪利斯
Facundo Campazzo,法昆多·卡帕佐
Borja Bastón,博尔哈·巴斯顿
Adrián López Álvarez,阿祖安·洛佩斯·阿爾瓦雷斯
Juan de Borbón,胡安·德·波旁
Hugo Mallo,乌戈·马略
Miguel Torres Gómez,米基爾·托利斯
Pablo Ibáñez,柏保路·伊賓尼斯
Sergio Asenjo,塞尔希奥·阿森霍
Moncho Gil,蒙乔·希尔
Corín Tellado,科林·特利亚多
Conde de Floridablanca,第一代弗洛里达夫兰卡伯爵何塞·莫尼诺
Brayan Angulo,布莱恩·安古洛
Jonathan Viera,莊拿芬·韋拉
Diego Hurtado de Mendoza (poeta y diplomático),乌尔塔多·德·门多萨
Alejandro Arribas,亚历杭德罗·阿里瓦斯
César Sánchez Domínguez,施薩·山齊士
Luis Fernández (fútbol),路易斯·费尔南德斯
Gomes Eanes de Zurara,戈梅斯·埃亚内斯·德祖拉拉
Recesvinto,拉斯文思
Lauren Bisan-Etame,羅倫·(足球運動員)
Antonio Soler Ramos,安东尼奥·索勒
Luis José de Vendôme,路易·约瑟夫·德·旺多姆
Carlos Salinas de Gortari,卡洛斯·萨利纳斯
Carlos Pérez Rial,卡洛斯·佩雷斯
Paco Jémez,帕科·赫梅斯
Víctor Casadesús,維克多·卡薩德蘇斯
Dídac Vilà,迪达克·比拉
José Manuel Calderón,何塞·卡尔德隆
Bernal Díaz del Castillo,貝爾納爾·迪亞斯·德爾卡斯蒂略
Andrés Gimeno,安德烈斯·希梅諾
Francisco Suárez,弗朗西斯科·苏亚雷斯
Manuel Godoy,曼努埃尔·戈多伊
Ion Belaustegui,約恩·貝勞斯特吉
Julia García-Valdecasas,胡利娅·加西亚-巴尔德卡萨斯
Gabriel de Borbón,加布里埃爾·德·波旁
Sergio López Miró,塞尔希奥·洛佩斯·米罗
Maialen Chourraut,玛亚伦·乔劳特
José María Maravall,何塞·马里亚·马拉瓦尔
Víctor Sánchez Mata,维克托·桑切斯·马塔
Miki Oca,米基·奥卡
Paqui Veza,帕基
Pedro Iturralde,佩德罗·伊图拉尔德
Juanma López Iturriaga,胡安马·洛佩斯·伊图里亚加
Francesc Buscató,弗朗西斯科·布斯卡托
Juan Domingo de la Cruz,胡安·多明戈·德拉克鲁斯
Manuel Rivas,曼努埃尔·里瓦斯
Luis Alfonso de Borbón,路易斯·阿方索·德·波旁
Luis Goytisolo,路易斯·戈伊狄索洛
Jaime Penedo,海梅·佩內多
Iván Campo,伊万·坎波
Raúl García Escudero,劳尔·加西亚
Jorge Garbajosa,豪尔赫·加瓦霍萨
Mateo Alemán,马特奥·阿莱曼
Albert Ferrer,艾拔·費拿
Nenê (futbolista),尼利·(足球員)
Manuel Vázquez Montalbán,曼努埃尔·巴斯克斯·蒙塔尔万
Juan Antonio Corbalán,胡安·安东尼奥·科尔巴兰
Nati Mistral,那提·米斯特拉爾
Alfonso Martínez,阿方索·马丁内斯
Javier Manjarín,哈维尔·曼哈林
Guillermo Falasca,吉利爾莫·法拉斯加
Fernando Arcega,费尔南多·阿塞加
Josep Maria Margall,何塞普·马里亚·马加利
Iván de la Peña,艾雲·迪拉彭拿
José de Anchieta,何塞·安切塔
Jordi Savall,約迪·薩瓦爾
Quino,季諾
Txiki Begiristain,提克希奇·贝吉里斯坦
Andoni Iraola,安杜尼·伊拉奧拿
Manuel Enrique Mejuto González,文奴·米捷圖·干沙利斯
Jordi Galí,霍尔迪·加利
José Antonio Alonso Suárez,何塞·安东尼奥·阿隆索
Rolando Uríos,罗兰多·乌里奥斯
Luis de Borbón y Farnesio,路易斯·德·波旁-法爾內塞
Gervasio Antonio de Posadas,赫瓦西奥·安东尼奥·德·波萨达斯
Joaquín Turina,华金·图里纳
Fernando Savater,费尔南多·萨瓦特尔
Alfonso Pérez,阿方索·佩雷斯
Andrés Nin,安德烈斯·宁
Albert Costa,阿尔韦特·科斯塔
Abel Matutes,阿韦尔·马图特斯
Abel Resino,阿贝尔·雷西诺
Fernando Fernán Gómez,费尔南多·费尔南·戈麦斯
Manolo Sanchís Hontiyuelo,文奴爾·辛捷士
Baltasar Garzón,巴爾塔薩·加爾松
Rufino Segovia del Burgo,羅勳奴·塞哥維亞
José Luis Sampedro,何塞·路易斯·桑佩德罗
Manuel Orantes,曼努埃尔·奥兰特斯
Abelardo Fernández,艾比拿度·費南迪斯
Gonzalo Fernández de Córdoba,貢薩洛·費爾南德斯·科爾多瓦
Ernest Lluch,埃内斯特·留奇
David Bagration de Mujrani,大卫·巴格拉季昂·德·穆赫拉尼
Antonio Díaz-Miguel,安东尼奥·迪亚斯-米格尔
Francisco Álvarez-Cascos,弗朗西斯科·阿尔瓦雷斯-卡斯科斯
Santiago Freixa,桑蒂·弗雷克萨
Luis de Zulueta,路易斯·德·祖鲁埃塔
Enrique Jordá,恩里克·霍尔达
José Luis Llorente,何塞·路易斯·略伦特
Mario Mola,馬里奧·莫拉
Vega (Street Fighter),巴洛克·(街头霸王)
Alfonso de Hohenlohe-Langenburg,阿方索·霍恩洛厄-朗根堡
Jordi Codina,霍尔迪·科迪纳
Fernando de Alva Ixtlilxóchitl,費爾南多·德·阿爾瓦·科爾特斯·伊斯特雷索提爾
Juan Garaizabal,胡安·加賴薩瓦爾
Maximiliano Eugenio de Hohenlohe-Langenburg,馬克斯·埃貢·(霍恩洛厄-朗根堡)
Salva Chamorro,沙華·查莫洛
Léo Baptistão,莱奥·巴普蒂斯唐
Natxo Insa,纳特索·英沙
Fernando Hernández Casado,费尔南多·埃尔南德斯
Fernando Estévez,费尔南多·埃斯特韦斯
Antoni Asunción,安东尼·亚森松
Abraham Olano,阿夫拉姆·奥拉诺
José Zorrilla,何塞·索里利亚
Aureliano de Beruete,奥雷利亚诺·德·贝鲁埃特
Álvaro Vadillo,艾華路·華迪路
Bernat Soria,贝尔纳特·索里亚
Justo Mullor García,胡斯托·穆略爾·加西亞
Cresques Abraham,亚伯拉罕·克雷斯克斯
Pepe Marchena (Niño de Marchena),佩佩·马切纳
Fernando Sánchez Cipitria,费尔南多·桑切斯·西皮特里亚
Iñigo Urkullu,伊尼戈·乌尔库留
Francisco Morazán,弗朗西斯科·莫拉桑
Sebastián de Belalcázar,塞巴斯蒂安·德·贝拉尔卡萨尔
Luis Martínez Noval,路易斯·马丁内斯·诺瓦尔
Juan José Lucas,胡安·何塞·卢卡斯
Luis Carlos Croissier,路易斯·卡洛斯·克罗西尔
Silvia Domínguez,西尔维娅·多明格斯
Álex López Sánchez,阿萊克斯·洛佩茲
Luciano Vietto,盧西亞諾·比埃托
José María de Heredia,若瑟-马里亚·德·埃雷迪亚
Tomás Jofresa,托马斯·霍夫雷萨
Sabino Arana,萨维诺·阿拉纳
Fernando II de las Dos Sicilias,费迪南多二世·(两西西里)
Josep Seguer,何塞普·塞古埃尔
Luis Villoro,路易斯·维尧罗
Carlos Solchaga,卡洛斯·索尔查加
Landelino Lavilla,兰德利诺·拉维利亚
Vicente Calderón,比森特·卡爾德隆
Mikel Aguirrezabalaga,米凯尔·阿吉雷萨瓦拉加
Quim Torra,奎姆·托拉
Alfredo Pérez Rubalcaba,阿尔弗雷多·佩雷斯·鲁瓦尔卡瓦
Julián García Valverde,胡利安·加西亚·巴尔韦德
José María Castellet,何塞·马里亚·卡斯特耶特
Sergi Barjuan,塞爾吉·巴胡安
Nacho Monreal,拿祖·蒙利爾
Iker Romero,伊凯尔·罗梅罗
Guillermo Amor,吉列尔莫·阿莫尔
Francisco Jiménez de Cisneros,弗朗西斯科·希梅内斯·德·西斯内罗斯
José Samitier,何塞普·萨米铁尔
Patricio Montojo y Pasarón,帕特里西奥·蒙托霍-帕萨隆
Enric Duran,安立克·杜蘭
Pepe Mel,佩佩·梅尔
Marc Crosas,馬克·哥薩斯
Fermín Cacho,费尔明·卡乔
Luis Alberto Lacalle,路易斯·阿尔贝托·拉卡列
Alberto Lora,艾拔圖·羅拉
María Cristina de Borbón y Battenberg,瑪麗亞·克里斯蒂娜·(西班牙)
Agustín Eizaguirre,阿古斯丁·埃萨吉雷
Adrián Ortolá,阿德里安·奧爾托拉
Francisco Fernández Ordóñez,弗朗西斯科·费尔南德斯·奥多涅斯
Héctor Yuste,赫克托·尤斯特
José Ángel Arcega Aperte,何塞·阿塞加
Antonio Carro Martínez,安东尼奥·卡罗·马丁内斯
Juan Cruz Sol,胡安·克鲁斯·索尔
Enrique Gaspar,恩里克·加斯帕爾-林包
José Ignacio Sáenz,何塞·伊格纳西奥
Antonio Cánovas del Castillo,安东尼奥·卡诺瓦斯·德尔卡斯蒂略
Javier Arizmendi,查維·艾里斯文迪
Agustín Aranzabal,阿古斯丁·阿兰萨瓦尔
Albert Serra,亞柏·賽拉
Albert Rivera,阿爾韋特·里維拉
Marcelino Sanz de Sautuola,马塞利诺·桑斯·德·桑图奥拉
José Campaña,何塞·坎帕尼亞
Alberto Oliart,阿尔韦托·奥利亚特
Gregorio Fuentes,格雷戈里奧·富恩特斯
Goyo Benito,戈约·贝尼托
María del Pilar de Borbón y Borbón,西班牙的瑪麗亞·皮拉
Willy Hernangómez,吉列爾莫·埃爾南戈麥斯
Alejandro García Padilla,亚历山大·加尔西亚·帕迪利亚
Juan Antonio Villacañas,胡安·安東尼奧·比亞加亞斯
David Navarro,大衛·拿華路·柏度斯
Carlos María Isidro de Borbón,卡洛斯·瑪麗亞·伊西德羅·德·波旁
Ernesto Lecuona,埃内斯托·莱库奥纳
Belisario Betancur,贝利萨里奥·贝坦库尔·夸尔塔斯
Ricardo Sánchez Alarcón,里卡多·桑切斯
Esteban Batista,埃斯特万·巴蒂斯塔
Quique Setién,基克·施迪安
Paco Roca,帕科·羅卡
Saúl Craviotto,萨乌尔·克拉维奥托
Iván Moro,伊万·莫罗
Pedro Vallana,佩德罗·巴利亚纳
Esther Ferrer,埃絲特·費雷爾
Juan Escarré,胡安·埃斯卡雷
Alberto Núñez Feijóo,阿尔韦托·努涅斯·费霍
Pablo Couñago,柏普·干拿高
Fernando Morán López,费尔南多·莫兰·洛佩斯
Fernando María Castiella,费尔南多·马利亚·卡斯铁利亚
Andrea Fuentes,安德鲁·富恩特斯
Francisco Javier Sáenz de Oiza,弗朗西斯科·哈维尔·萨恩斯·德·奥伊萨
Quino Colom,基诺·科洛姆
Almudena Muñoz,阿尔穆德纳·穆尼奥斯
Louis Ségura,路易·塞居拉
Paola Tirados,保拉·蒂拉多斯
Paloma O'Shea,帕洛玛·奥谢
Xabier Fernández,哈维尔·费尔南德斯
Miguel Hernández Sánchez,米格尔·埃尔南德斯
Gabriel Vidal,加夫列尔·比达尔
Rafa Berges,拉斐尔·贝尔赫斯
Néstor Susaeta,内斯托尔·苏塞塔
Ricardo Cabot Durán,里卡多·卡沃特·杜兰
Mercedes Coghen,梅塞德丝·科亨
Manuel Jiménez de Parga,曼努埃爾·希門內斯·德·帕爾加
Manuel Núñez Pérez,曼努埃尔·努涅斯·佩雷斯
Lydia Valentín,莉迪娅·巴伦廷
Jordi Ferrón,霍尔迪·费龙
Jorge Mijáilovich Románov (1981),格奥尔基·米哈伊洛维奇
Julián Besteiro,朱利安·贝斯特罗
Almudena Cid,阿爾姆德娜·希德
Anne Hidalgo,安妮·伊达尔戈
Anna Birulés,安娜·比鲁莱斯
Andrés Junquera,安德烈斯·洪克拉
Francisco Miralles,法蘭西斯克·米拉萊斯
Francisco Calvo Serraller,弗朗西斯科·卡尔沃·塞拉列尔
Mariano Fernández Bermejo,马里亚诺·费尔南德斯·贝尔梅霍
Margarita Mariscal de Gante,玛格丽塔·马里斯卡尔·德甘特
Enrique Rodríguez Cal,恩里克·罗德里格斯
Fran Rico,弗蘭·里科
Narciso Ventalló,纳西斯·本塔略
Fernando Ledesma,费尔南多·莱德斯马
Sergi Enrique,塞尔希·恩里克
Francisco Fábregas Monegal,弗朗西斯科·法夫雷加斯
Xavier Ribas,哈维尔·里瓦斯
Eduard Arbós,爱德华·阿沃斯
Víctor Sojo,维克托·索霍
Francisco Fábregas Bosch,弗朗西斯科·法夫雷加斯·博施
Francisco Cortés Juncosa,弗朗西斯科·科尔特斯·洪科萨
Ramón Alegre,拉蒙·阿莱格雷
Albert Sala,阿尔韦特·萨拉
David Alegre,戴维·阿莱格雷
Alexandre Fàbregas,亚历克斯·法夫雷加斯
José Alberto Cañas Ruiz-Herrera,何塞·卡納斯
María Pagés,玛丽亚·帕赫斯
Borja Viguera,博揚·維古埃拉
Francisco Becerra (arquitecto),弗朗西斯科·贝塞拉
Antonio Ribera,安東尼奧·里維拉
Carles Fages de Climent,查爾斯·克萊門特
Juan Fernández La Villa,胡安·费尔南德斯·拉比利亚
Juan Carlos Campo,胡安·卡洛斯·坎波
Francisco Portillo Soler,法蘭斯高·樸迪路
Rafa Jordà,拉法·约尔达
Leopoldo María Panero,萊奧波爾多·馬里亞·帕內羅
Carmen Alborch,卡门·阿尔沃奇
Carmen Balcells,卡門·巴塞爾斯
Carlos Romero Herrera,卡洛斯·罗梅罗·埃雷拉
Antero Rubín Homent,安特羅·魯賓
Raimundo Madrazo,雷蒙多·马德拉索
Julio Álvarez del Vayo,胡利奥·阿尔瓦雷斯·德尔巴约
Juan Domingo de Haro,胡安·多明戈·德·苏尼加·伊·方塞卡（蒙特雷伯爵）
Miguel Boyer,米格尔·博耶尔
Miguel Celdrán,米格尔·塞尔德兰
Roberto Losada,盧比度·羅沙達
Vicente Moreno Peris,比森特·莫雷諾
Luis Otero (futbolista),路易斯·奥特罗
Iván Amaya,伊万·阿马亚
José Manuel Romay Beccaría,何塞·曼努埃尔·罗迈·贝卡里亚
Jesús Posada Moreno,赫苏斯·波萨达
María Jesús San Segundo,玛丽亚·赫苏斯·圣塞贡多
Rafael Arias-Salgado,拉斐尔·阿里亚斯-萨尔加多
Sinibaldo de Mas,瑪斯·(外交官)
Jesús Carballo Martínez,赫苏斯·卡瓦略
Ángela Pumariega,安赫拉·普马列加
Támara Echegoyen,塔玛拉·埃切戈延
Miguel Urdangarin y Borbón,米格爾·烏丹加林
Vicente Iborra de la Fuente,文森特·伊沃拉
Margarita Salas,玛加丽塔·萨拉斯
Sofía Toro,索菲娅·托罗
Luis García Plaza,路易斯·加西亚·普拉萨
Juan Domínguez Lamas,胡安·多明戈斯
Rubén Suárez,鲁本·苏亚雷斯
Rafael Calvo Ortega,拉斐尔·卡尔沃·奥尔特加
Pío Cabanillas Alonso,皮奥·卡瓦尼利亚斯·阿隆索
Íñigo Cavero,伊尼戈·卡维罗
Iván Zarandona,艾雲·沙蘭當拿
Quique Andreu,恩里克·安德鲁
Rafael Jofresa,拉斐尔·霍夫雷萨
Ignacio Solozábal,伊格纳西奥·索洛萨瓦尔
David Billabona,戴维·比利亚沃纳
Ona Meseguer,奥纳·梅塞格尔
Salvador Sánchez-Terán,萨尔瓦多·桑切斯-特兰
Santiago Aldama Alesón,圣地亚哥·阿尔达马
Juan Bermúdez,胡安·百慕大
Andrés Jiménez (baloncestista),安德烈斯·希门尼斯
Cristina Alberdi,克里斯蒂娜·阿尔维蒂
Luis Jiménez Aranda,路易斯·希门内斯·阿兰达
Agustín Sancho,阿古斯丁·桑乔
Julio Anguita,胡利奥·安吉塔
Álex Bergantiños,阿莱克斯·贝尔甘蒂尼奥斯
Francisco Frutos,弗朗西斯科·弗鲁托斯
Elena Espinosa,埃莱娜·埃斯皮诺萨
César Antonio Molina,塞萨尔·安东尼奥·莫利纳
