Россия,俄罗斯
Шаблыкинский район,沙布雷基諾區
Добринский район,多布林卡區
Глазуновский район,格拉祖諾沃區
Новосильский район,諾沃西利區
Урицкий район (Орловская область),烏里茨基區
Усть-Кубинский район,乌斯季库边斯科耶区
Мценский район,姆岑斯克區
Шурышкарский район,舒雷什卡雷區
Жарковский район,扎爾科夫斯基區
Залегощенский район,扎列戈希區
Задонский район,扎頓斯克區
Северсталь (авиакомпания),北方钢铁航空
Тагул,塔古爾河
Уральский (Пермский край),乌拉尔斯基·(彼尔姆边疆区)
Зубцовский район,祖布佐夫區
Верховажский район,韦尔霍瓦日耶区
Сямженский район,夏姆扎区
Забайкальский район,外贝加尔斯克区
Приуральский район,普里烏拉爾斯基區
Подосиновский район,波多西諾韋茨區
Свободненский район,斯沃博德内区
Трансмашхолдинг,运输机械控股集团
Алней-Чашаконджа,阿爾涅伊-恰沙孔賈火山
Московский авиационный институт,莫斯科航空学院
Александровский дворец,亞歷山大宮
Общественная палата Российской Федерации,俄罗斯联邦公众院
Российский государственный университет нефти и газа,俄罗斯国立石油天然气大学
Калининградская железная дорога,加里宁格勒铁路局
Людиновский тепловозостроительный завод,柳季诺沃内燃机车制造厂
Гусь (река),古西河
Черноморское,黑海村·(克里米亞)
Троицкий мост (Санкт-Петербург),圣三一桥·(圣彼得堡)
Невское (озеро),多来加湖
Момский хребет,莫馬山脈
Кумандинцы,庫曼丁人
Кубань (стадион),庫班體育場
Верхнекамская возвышенность,上卡馬高地
Первомайский район (Томская область),五一村區
Михайловский район (Алтайский край),米哈伊洛夫斯科耶區
Катастрофа Ту-134 под Петрозаводском,RusAir·9605號班機空難
Партия народной свободы,人民自由党
Сым,瑟姆河·(克拉斯诺亚尔斯克边疆区)
Камасинцы,卡马辛人
Урми (река),烏爾米河
Ка-226,Ka-226
Ивановский район (Амурская область),伊万诺夫卡区
Можайский район (Москва),莫扎伊斯克區·(莫斯科)
Усть-Камчатск,烏斯季堪察茨克
Вялозеро,維亞洛澤羅湖
Октябрьский (Рязанская область),十月镇·(梁赞州)
"Улья (река, впадает в Охотское море)",烏利亞河
Чона,喬納河
Чуня,丘尼亞河
Симферополь-Пассажирский,辛菲洛普車站
Читинка,赤塔河
Советский район (Ростовская область),蘇維埃茨卡亞區·(羅斯托夫州)
Большая российская энциклопедия,俄羅斯大百科全書
Яковлевский район (Белгородская область),雅科夫列沃区
Фреден (остров),弗雷登島
Остров Аделаиды,阿德莱德岛·(俄罗斯)
Свердловский район (Орловская область),斯維爾德洛夫區
Воловский район (Липецкая область),沃洛沃區·(利佩茨克州)
Культура (телеканал),俄羅斯-K
Остров Луиджи,路易吉島
Уфимский государственный авиационный технический университет,乌法国立航空技术大学
Воронцовский дворец (Санкт-Петербург),沃龍佐夫宮·(聖彼得堡)
Сарс (рабочий посёлок),萨尔斯
Ворьема (губа),沃里耶馬灣
Коммунарка (расстрельный полигон),科穆纳尔卡射击场
Переяславка,佩列亚斯拉夫卡
Новый Порт,诺维港
Другая Россия Э. В. Лимонова,另一個俄羅斯
Битва под Суздалем,蘇茲達爾之戰
Угличский район,烏格利奇區
Енотаевский район,叶诺塔耶夫卡区
Угранский район,烏格拉區
Сафоновский район,薩福諾沃區
Шимановский район,施马诺夫斯克区
Вязниковский район,維亞茲尼基區
Тындинский район,腾达区
Вожегодский район,沃热加区
Тунгокоченский район,通戈科琴區
Ракитянский район,拉基特诺耶区
Вашкинский район,瓦什金斯基区
Вышневолоцкий район,上沃洛喬克區
Верхнекетский район,上克季區
Вичугский район,维丘加区
Кинешемский район,基涅什马区
Шацкий район (Рязанская область),沙茨克區
Сызранский район,瑟茲蘭區
Пестяковский район,佩斯佳基区
Муромский район,穆罗姆区
Российский государственный архив социально-политической истории,俄羅斯國家社會政治史檔案館
Смоленская крепостная стена,斯摩棱斯克克里姆林
Кубена,庫別納河
Кёрлинг на зимних Олимпийских играх 2014,2014年冬季奧林匹克運動會冰壺比賽
Остров Галля,霍爾島
Остров Солсбери (Россия),索爾茲伯里島
Южно-Уральская железная дорога,南乌拉尔铁路局
Острова Иеске,伊耶斯克群島
Остров Джексона,傑克遜島
Острова Кучина,庫欽群島
Юрьевецкий район,尤里耶韦茨区
Остров Кольдевея,科爾德威島
Монархическая партия России,俄罗斯君主党
Приватизация в России,俄罗斯私有化
Москва 24,莫斯科24
Китой,基托伊河
Красноярская железная дорога,克拉斯诺亚尔斯克铁路局
Бытошь,贝托希
Большое Полпино,大波尔皮诺
Хиславичи,希斯拉維奇
"Дубровка (рабочий посёлок, Дубровский район)",杜布罗夫卡·(杜布罗夫卡区)
Кокоревка,科科列夫卡
Лухский район,卢赫区
Родниковский район,罗德尼基区
Серышевский район,谢雷舍沃区
Сковородинский район,斯科沃罗季诺区
Шебекинский район,舍别基诺区
Саткинский район,薩特卡區
Заокский район,扎奧克斯基區
Кемаль-Эгерек,克馬利·葉格列克山
"Песчаный (остров, Якутия)",佩夏內島
Прохоровский район,普洛霍罗夫卡区
Первомайский (Коркинский район),五一镇·(车里雅宾斯克州)
Песьво (озеро),佩西沃湖
Лежневский район,列日涅沃区
Тейковский район,捷伊科沃区
Мурашинский район,穆拉希區
Шуйский район,舒亚区
Неверкинский район,涅韋爾基諾區
Палехский район,帕列赫区
Забайкальская железная дорога,后贝加尔铁路局
Теза (река),捷扎河
Кума (приток Конды),庫馬河·(孔達河支流)
Тауйская губа,陶伊灣
Сал (река),薩爾河·(俄羅斯)
Янисъярви,亞尼斯湖
Истра (река),伊斯特拉河
Малый Узень (река),小烏津河
Могила Неизвестного Солдата,无名烈士墓·(莫斯科)
Вулкан Шмидта,施密特火山
Елизово (аэропорт),堪察加彼得羅巴甫洛夫斯克機場
Пижанский район,皮然卡區
Селемджинский район,谢列姆金斯克区
Волоконовский район,沃洛科诺夫卡区
Ярцевский район,亞爾采沃區
Зейский район,结雅区
Савинский район,萨维诺区
Переславский район,佩列斯拉夫爾區
Кадомский район,卡多姆區
Чесменский район,切斯馬區
Похвистневский район,波赫維斯特涅沃區
Шабалинский район,沙巴利諾區
Шенталинский район,申塔拉區
Тырма (река),特爾馬河
Кладбище чехословацких легионеров во Владивостоке,海參崴捷克斯洛伐克軍團公墓
Колонна Славы,光榮之柱
Немский район,涅馬區
"Пушкинская (станция метро, Санкт-Петербург)",普希金站·(聖彼得堡地鐵)
Белая Земля,白地群島
Петровский район (Ставропольский край),彼得羅夫斯科耶區·(斯塔夫羅波爾邊疆區)
Пушкинский городской округ,普希金諾區
Белозерский район (Вологодская область),别洛泽尔斯克区
Дубовский район (Ростовская область),杜博夫斯科耶區
Богатырь (хребет),博加特耶嶺
Пермь-36,彼爾姆36號勞改營
"Первомайский (Первомайский район, Тамбовская область)",五一镇·(坦波夫州)
Остров Пайера,派耶爾島
Остров Циглера,齊格勒島
Геральд (остров),赫勒爾德島
Малое Хантайское,小漢泰卡湖
Селижарово,谢利扎罗沃
Колвица (река),科爾維察河
Знаменск (Калининградская область),兹纳缅斯克·(加里宁格勒州)
Мост Ломоносова,罗蒙诺索夫桥
Калашниково (Тверская область),卡拉什尼科沃·(特维尔州)
Большечерниговский район,大切爾尼戈夫卡區
Хохольский район,霍霍利斯基区
Здание Двенадцати коллегий,十二學院
Тарасовский район,塔拉索夫斯基區
Южный военный округ (Россия),南部军区
Паша (приток Свири),帕沙河
Камышинский район,卡梅申区
Песчанокопский район,佩夏諾科普斯科耶區
52-я параллель северной широты,北緯52度線
Фурмановский район,富尔马诺夫区
Алексеевский район (Волгоградская область),阿列克谢耶夫斯卡亚区
Московский государственный строительный университет,莫斯科国立建筑大学
Петроградский остров,彼得格勒岛
Остров Кейна,凱恩島
Остров Кверини,奎里尼島
Свод основных государственных законов Российской империи,俄羅斯帝國基本法
Столичка (остров),斯托利奇卡島
Острова Мириам,米里厄姆群島
Остров Иванова,伊萬諾夫島
Остров Куна,庫恩島
Острова Александра,亞歷山大群島·(俄羅斯)
Югра (историческая область),尤格拉
Рифы Миловзорова,米洛夫佐羅夫群礁
Вязьма (приток Днепра),維亞濟馬河
Октябрьский район (Ростовская область),十月區·(羅斯托夫州)
Орловский район (Ростовская область),奧爾洛夫斯基區
Пролетарский район (Ростовская область),普羅列塔爾斯卡亞區
Багаевский район,巴加耶夫斯卡亞區
Богородский район (Кировская область),博戈羅茨科耶區
Дзержинский район (Калужская область),捷尔任斯克区·(卡卢加州)
Ток (приток Самары),托克河
Южно-Уральский государственный университет,南乌拉尔国立大学
Рязанский район (Рязанская область),梁贊區
Кромской район,克羅梅區
Георгиевский собор (Юрьев-Польский),聖喬治大教堂·(尤里耶夫-波利斯基)
Сараевский район,薩賴區
Список национальных парков России,俄罗斯国家公园
Сальский район,薩利斯克區
Верхнедонской район,上頓斯科耶區
Ремонтненский район,列蒙特諾耶區
Родионово-Несветайский район,羅季奧諾沃-涅斯韋泰斯卡亞區
Обливский район,奧布利夫斯卡亞區
Усть-Донецкий район,烏斯季頓涅茨基區
Цимлянский район,齊姆良斯克區
Латышские стрелки,拉脫維亞步槍兵
Грибановский (посёлок городского типа),格里巴诺夫斯基
Большая Чукочья,大丘科奇亞河
Заполярный (Ямало-Ненецкий автономный округ),扎波利亚尔内·(亚马尔-涅涅茨自治区)
Омский метрополитен,鄂木斯克地鐵
Союз комитетов солдатских матерей России,俄罗斯士兵母亲委员会联盟
Исетский район,伊謝茨科耶區
Саргатское,萨尔加茨科耶
Куртамышский район,庫爾塔梅什區
Вагайский район,瓦蓋區
Сорокинский район,索羅基諾區
Щучанский район,休奇耶區
Ибреси,伊布列西
"Кюльхири (озеро, Вурнарский район)",丘利希里湖·(武爾納雷區)
Россия и НАТО,俄羅斯—北約關係
Высшая школа экономики,高等经济大学
Колючинская губа,科柳欽灣
Остров Самойловича,薩莫伊洛維恰島
Кизи (озеро),基濟湖
Патриотическая песня,爱国歌·(俄罗斯)
Олюторский залив,奧柳托爾斯基灣
Любытино,柳贝季诺
Кулотино (Новгородская область),库洛季诺·(诺夫哥罗德州)
Московский государственный горный университет,莫斯科国立矿业大学
Купчино (станция метро),庫普辛諾站
"Партизанская (станция метро, Москва)",游擊隊站·(莫斯科地鐵)
Церковь Иоанна Предтечи в Толчкове,施洗圣约翰教堂·(雅罗斯拉夫尔)
Керченский полуостров,刻赤半岛
Агул (река),阿古爾河
Сабинский район,薩貝區
Апастовский район,阿帕斯托沃區
Таборинский район,塔博雷区
Зеленодольский район,澤廖諾多利斯克區
Заветинский район,扎韋特諾耶區
Весёловский район (Ростовская область),韋肖雷區
Мечеть Нурулла,努尔拉清真寺
Лобное место,羅波諾耶梅思托平台
Казанский мост,喀山桥
Заячий остров (Санкт-Петербург),兔子岛
Дом Советов (Калининград),蘇維埃宮·(加里寧格勒)
РАТАН-600,RATAN-600
Остров Хейса,海斯島
Коммерсантъ,生意人报
Коноша,科诺沙
Неболчи,涅博尔奇
"Солнечный (ЗАТО, Тверская область)",索尔涅奇内·(特维尔州)
Рутка,魯特卡河
Ивановская площадь (Москва),伊万诺沃广场
Бухарестская (станция метро),布加勒斯特站
Руза (река),魯扎河
Центральный военный округ (Россия),中部军区
Коломна (футбольный клуб),科洛姆納足球會
Зырянка (Якутия),濟良卡·(薩哈共和國)
Ольдё,奧利焦河
Конструкторское бюро приборостроения,俄联邦仪器设计局
Лексозеро,列克索澤羅湖
Поповка (приток Колымы),波波夫卡河
"Ленинский проспект (станция метро, Санкт-Петербург)",列寧大道站
Южно-Курильский район,南庫里爾斯克區
Воротынск (Бабынинский район),沃洛滕斯克·(市级镇)
Новосёловское (Крым),新塞利夫斯凱
Российско-украинские отношения,俄羅斯—烏克蘭關係
Погынден,波根堅河
Малая Волоковая,小沃洛科瓦亞灣
Иэттунуп,萊圖努普火山
Лахтинско-Правобережная линия,拉赫金-右岸線
Коркодон,科爾科東河
Проня (приток Оки),普羅尼亞河
Кормиловка,科尔米洛夫卡
Селеннях,謝連尼亞赫河
Черёха (река),切廖哈河
Международная (станция метро),國際站·(聖彼得堡地鐵)
Ртищевский район,勒季謝沃區
Териберка (река),捷里別爾卡河
Редья,列季亞河
Муром (река),穆羅姆河
Смертная казнь в России,俄罗斯死刑制度
Елховский район,葉爾霍夫卡區
Чугуш,丘古什山
Маяк (радиостанция),灯塔广播电台
Пролив Малыгина,馬雷金海峽
Озерки (станция метро),湖區站·(聖彼得堡地鐵)
Черноморский район,黑海村區
Большеуковский район,大烏基區
Большереченский район,大列奇耶區
Большая Никитская улица,尼基茨卡亞大街
Красные ворота,紅門·(莫斯科)
Пелым (посёлок городского типа),佩雷姆
Симферопольский район,辛菲罗波尔区
Красноперекопский район,克拉斯诺彼列科普斯克区
Корватунтури,耳朵山
Тюкян,秋基揚河
Сива (приток Камы),錫瓦河
Таватуй,塔瓦圖伊湖
Шербакуль,舍尔巴库尔
Амурский лиман,阿穆尔溺谷
Удыль,烏德利湖
Эворон,埃沃龍湖
Средства массовой информации России,俄羅斯媒體
Кочечум,科切丘姆河
Тосна,托斯納河
Острова Гейберга,海伯格群島
"Мелкое (озеро, Красноярский край)",梅爾科埃湖
Лосиный Остров,駝鹿島國家公園
Остров Завьялова,扎維亞洛瓦島
Остров Спафарьева,斯帕法里耶夫群島
Лыжа (река),雷扎河
Собор Святого Александра Невского (Ялта),亚历山大·涅夫斯基主教座堂·(雅尔塔)
Родина-мать (Волгоград),祖国母亲在召唤
Чульман (посёлок городского типа),丘利曼
"Красное (озеро, Чукотка)",克拉斯諾耶湖
Виви (озеро),維維湖
Вятка (автодорога),R176公路·(俄羅斯)
Красноярское водохранилище,克拉斯諾亞爾斯克水庫
Красногорский (Челябинская область),克拉斯诺戈尔斯基·(车里雅宾斯克州)
Узола,烏佐拉河
Остров Вильчека,維爾切克島
Мучной мост,面粉桥
Посьет,波西耶特
Красногорский (Марий Эл),克拉斯诺戈尔斯基·(马里埃尔共和国)
Щучья (приток Оби),舒奇亞河
Комсомольский (Чукотский автономный округ),共青城·(楚科奇自治區)
Жуя,茹亞河
Белые Берега,白别列加
Ивот,伊沃特·(俄罗斯)
Рамасуха,拉马苏哈
Любохна,柳博赫纳
Залегощь,扎列戈希
Радица-Крыловка,拉季察-克雷洛夫卡
Кашира (городской округ),卡希拉区
Манежная площадь (Москва),馴馬場廣場·(莫斯科)
Терней,捷尔涅伊
Туманская,圖曼斯卡亞河
Шмидтовский район,施密特區
Верхнеуральский район,上烏拉爾斯克區
Усть-Удинский район,乌斯季乌达区
ОКБ Мясищева,米亚西舍夫试验设计局
Тунгиро-Олёкминский район,通吉爾-奧廖克馬區
Сукко,蘇科·(俄羅斯)
"Богородское (рабочий посёлок, Сергиево-Посадский район)",博戈罗茨科耶·(市级镇)
Ярославль-Главный,雅羅斯拉夫爾火車總站
Каменный мост (Санкт-Петербург),石桥·(圣彼得堡)
Проспект Ветеранов (станция метро),老將大道站
Кузьмоловский,库兹莫洛夫斯基
Гусевский (Владимирская область),古谢夫斯基·(弗拉基米尔州)
Центросоюз,苏联消费合作社
Бежаницкая возвышенность,別扎尼齊高地
Тегульдетский район,捷古利傑特區
Вейделевка,韦伊杰列夫卡
Малая Курильская гряда,小千岛群岛
Усвяча,烏斯維亞恰河
Гора Рудакова,魯達科夫火山
Россия и Европейский союз,俄罗斯—欧盟关系
Верхошижемский район,上希熱米耶區
Камско-Устьинский район,卡姆斯科耶烏斯季耶區
Лаишевский район,萊舍沃區
Омутнинский район,奧穆特寧斯克區
Сармановский район,薩爾馬諾沃區
Ольгинский район,奥尔加区
Шемышейский район,舍梅舍伊卡區
Целинский район,采利納區
Мензелинский район,緬澤林斯克區
Семикаракорский район,謝米卡拉科爾斯克區
Шолоховский район,肖洛霍夫区
Рыбно-Слободский район,雷布納亞鎮區
Зимовниковский район,濟莫夫尼基區
Шерловая Гора,舍尔洛瓦亚戈拉
Царское Село (музей-заповедник),沙皇村
Черлак (Омская область),切尔拉克
Чистые Боры,奇斯特耶博雷
Чуя (приток Катуни),丘亞河·(卡通河支流)
ВДНХ (станция метро),國經成就展站
"Пушкинская (станция метро, Москва)",普希金站·(莫斯科地鐵)
Кульдур (посёлок городского типа),库利杜尔
Кулундинская равнина,庫倫達平原
Самарский научно-технический комплекс имени Н. Д. Кузнецова,库兹涅佐夫设计局
Курчатовский институт,库尔恰托夫研究所
Кута (приток Лены),庫塔河
Кутсайоки,庫察約基河
"Динамо (футбольный клуб, Киров)",基洛夫戴拿模足球會
Челябинск (футбольный клуб),車里雅賓斯克足球會
Алмазный (Якутия),阿爾馬茲內
Лютеранская церковь Святых Петра и Павла (Санкт-Петербург),信義宗聖彼得和保羅教堂
Советский (Марий Эл),苏维埃茨基·(马里埃尔共和国)
Ленинградская (гостиница),莫斯科列寧格勒希爾頓酒店
Семендер (посёлок городского типа),謝緬傑爾
Мордыяха,莫爾德亞哈河
"Волга (футбольный клуб, Тверь)",伏爾加特維爾足球會
Тюхтетский район,秋赫捷特區
Казачинский район,卡扎欽斯科耶區
Ушканьи острова,烏什卡尼群島
Тауй (река),陶伊河
Пировский район,皮羅夫斯科耶區
Северо-Енисейский район,北葉尼塞斯基區
Нижний Бестях,下別斯佳赫
Озеро Левинсон-Лессинга,列溫松-列斯辛加湖
Партизанский район (Красноярский край),游擊隊村區
Красные Баррикады,红巴里卡德
Альбурикент,阿利布里肯特
Союз саамов,薩米理事會
Верхнеландеховский район,上兰杰赫区
Мечеть Мухтарова (Владикавказ),穆赫塔羅夫清真寺
Сергиевский район,謝爾吉耶夫斯克區
Юрьянский район,尤里亞區
Даровской район,達羅夫斯科伊區
Московская агломерация,莫斯科都市圈
Большеглушицкий район,大格盧希察區
Куйбышевская железная дорога,古比雪夫铁路局
Владимирский дворец,弗拉基米爾宮
Военный институт (инженерных войск) Общевойсковой академии Вооружённых сил Российской Федерации,古比雪夫军事工程学院
Куйбышевский Затон,古比雪夫斯基扎通
Кроноцкий заповедник,克羅諾基自然保護區
Пролив Крузенштерна,克魯森施滕海峽
"Титовка (река, впадает в Баренцево море)",季扎夫卡河
Ирбит (река),伊爾比特河
Циолковский (город),齐奥尔科夫斯基
Оренбург (футбольный клуб),奥伦堡足球俱乐部
"Стрельна (река, впадает в Белое море)",斯特列利納河
Троицкий собор (Псков),三一主教座堂·(普斯科夫)
Левый фронт (Россия),左翼阵线·(俄罗斯)
Свердловская железная дорога,斯维尔德洛夫斯克铁路局
Пильна,皮利纳·(俄罗斯)
Шексна (Шекснинский район),舍克斯纳
Политехническая (станция метро),綜合技術站
Седедема,謝傑傑馬河
Самотлорское нефтяное месторождение,萨莫特洛尔油田
Липецкий район,利佩茨克區
Васильсурск,瓦西里苏尔斯克
Санкт-Петербургский государственный архитектурно-строительный университет,圣彼得堡国立建筑大学
Собор Непорочного Сердца Божией Матери,圣母无玷圣心主教座堂·(伊尔库茨克)
Санкт-Петербургский государственный университет аэрокосмического приборостроения,圣彼得堡国立航空航天仪器大学
Попигай (река),波皮蓋河
Орден «За заслуги перед Отечеством»,祖国功勋勋章
Нерча,尼布楚河
Каспий (автодорога),R22公路·(俄羅斯)
Остров Свердрупа,斯韋德魯普島
Лумбовка (река),倫博夫卡河
Каспля (река),卡斯普利亞河
Лабаз (озеро),拉巴兹湖
Чёрная гвардия,黑衛軍
Фрунзенско-Приморская линия,伏龍芝-海濱線
Нейва (река),涅伊瓦河
Ярок (остров),亞羅克島
Политехнический музей,工藝博物館
Прево (вулкан),普雷沃峰
Печенга (губа),佩琴加灣
Знак отличия «За благодеяние»,慈善事業勳章
Погиби,波吉比
Кавказ (порт),高加索港
Полуй,波盧伊河
Шкотово,什科托沃
"Куршская коса (национальный парк, Россия)",庫爾斯沙嘴國家公園·(俄羅斯)
Вохтога,沃赫托加
Крынка (река),克倫卡河
Берёзовая (приток Колвы),別廖佐瓦亞河
Равань,拉萬河
Российско-белорусские отношения,白俄羅斯—俄羅斯關係
Горномарийский язык,山地馬里語
Чагода,恰戈达
Ангарский городской округ,安加爾斯克區
Нижегородская канатная дорога,下诺夫哥罗德索道
Театральная площадь (Москва),剧院广场·(莫斯科)
Агаповский район,阿加波夫卡區
"Иртыш (футбольный клуб, Омск)",額爾齊斯河鄂木斯克足球會
Лазарев (Хабаровский край),拉扎列夫·(市级镇)
Ладожский вокзал,拉多加站
Золотая медаль Ландау,朗道金质奖章
Нежеголь (река),涅熱戈利河
Российская коммунистическая рабочая партия в составе КПСС,苏联共产党俄罗斯共产主义工人党
Пор-Бажын,博爾巴任
"Нерпичье (озеро, Якутия)",涅爾皮奇耶湖·(薩哈共和國)
Орловский район (Кировская область),奧爾洛夫區
Колымский край,科雷馬
Корсаковский район (Орловская область),科爾薩科沃區
Белиджи (посёлок городского типа),別利吉
Молмыс (река),莫爾梅斯河
Ильинский район (Ивановская область),伊利因斯科耶区
Михайловский район (Рязанская область),米哈伊洛夫区
Спасский район (Рязанская область),斯帕斯克區·(梁贊州)
Приволжский район (Самарская область),普里沃爾日耶區
Волжский район (Самарская область),伏爾加區
Приамурский,普里阿穆尔斯基
Козульский район,科祖利卡區
Ермаковский район,葉爾馬科夫斯科耶區
Северо-Курильский район,北庫里爾斯克區
Канский район,坎斯克區
Краснотуранский район,克拉斯諾圖蘭斯克區
Тюлячинский район,秋利亞奇區
Лениногорский район,列寧諾戈爾斯克區
Зерноградский район,澤爾諾格勒區
Бавлинский район,巴夫雷區
Новошешминский район,新舍什明斯克區
Нордвик (бухта),諾爾德維克灣
Жупанова,茹帕諾瓦河
Выборгский замок,維堡城堡
Елабужский район,葉拉布加區
Верхнеуслонский район,上烏斯隆區
Высокогорский район,維索卡亞戈拉區
Бугульминский район,布古利馬區
Белохолуницкий район,別洛霍盧尼茨基區
Кунашакский район,庫納沙克區
Айсберг (ледовый дворец спорта),冰山冬季运动宫
Тихвинское кладбище (Санкт-Петербург),季赫温公墓
Большой (ледовый дворец),波尔肖冰宫
"Сергозеро (озеро, Мурманская область)",謝爾格湖
Муслюмовский район,穆斯柳莫沃區
Нижнекамский район,下卡姆斯克區
Кача (приток Енисея),卡恰河
Фалёнский район,法廖恩基區
Атнинский район,阿特尼亞區
Каргопольский район,卡爾戈波爾區
Воронежский государственный университет,沃羅涅日國立大學
Чулышман,丘雷什曼河
Вишерка,維舍爾卡河
Выборгский залив,維堡灣
"Днепр (футбольный клуб, Смоленск)",第聶伯斯摩棱斯克足球會
Грэсовский,格雷索夫斯基
Барабашевка,巴拉巴舍夫卡河
Псков-747,普斯科夫747足球會
Культура России,俄罗斯文化
Павлово (Кировский район),巴甫洛沃·(基洛夫斯克区)
Красносельский (Гулькевичский район),克拉斯诺谢利斯基·(克拉斯诺达尔边疆区)
Двиница,德維尼察河
Западная добровольческая армия,西俄罗斯志愿军
"Парк Победы (станция метро, Москва)",勝利公園站·(莫斯科地鐵)
Вагай,瓦蓋河
Курагинский район,庫拉吉諾區
Приволжский (Саратовская область),普里沃尔日斯基·(萨拉托夫州)
Чемпионат России по волейболу среди мужчин,俄羅斯排球超級聯賽
Транссибирская автомагистраль,西伯利亞公路
Серышево,谢雷舍沃
"Амба (река, впадает в Амурский залив)",安巴河
Полисть (приток Ловати),波利斯季河
Сестра (приток Дубны),謝斯特拉河·(莫斯科州)
Чукотавиа,楚科奇航空
Старотимошкино,舊季莫什基諾
Сенная площадь (станция метро),乾草廣場站
Новая (приток Хатанги),諾瓦亞河
"Пекин (гостиница, Москва)",北京饭店·(莫斯科)
Майн (приток Анадыря),邁恩河
Плюсса (река),普柳薩河
Орь,奧爾河
Рублёвка,卢布廖夫卡
Пышма (Свердловская область),佩什马
Рощино (Ленинградская область),罗希诺·(列宁格勒州)
Тыры,特雷河
Урик (приток Большой Белой),烏里克河
Агульское,阿古利斯科耶湖
Инсар (река),因薩爾河
Балтийская (станция метро),波羅的海站·(聖彼得堡地鐵)
Удорский район,烏多爾區
Вулкан Комарова,科馬羅夫火山
Московские ворота (станция метро),莫斯科門站
Острова Коломейцева,科洛梅伊采瓦群島
Сиваки,锡瓦基
Адмиралтейские верфи,海军部造船厂
Синявино (Ленинградская область),锡尼亚维诺·(列宁格勒州)
Московский трамвай,莫斯科電車
Чирко-Кемь,奇爾卡凱姆河
Владивостокский трамвай,符拉迪沃斯托克电车
Шушенское,舒申斯科耶
Владимирский собор (Санкт-Петербург),弗拉基米爾教堂
Валдайское озеро,瓦爾代湖
Балтийский пролив,波羅的斯克海峽
Катастрофа Ту-154 в Сургуте,科加雷姆航空348號班機事故
"Арбатская (станция метро, Филёвская линия)",阿爾巴特站·(菲利線)
История Российской Федерации,俄罗斯联邦历史
Лужская губа,盧加灣
Тункинские Гольцы,通卡山脈
Уренгой,乌连戈伊
Ипуть,伊普季河
Физический институт имени П. Н. Лебедева РАН,列別捷夫物理研究所
Тюлений (Охотское море),海豹岛
Кашлык,喀什里克
Транснефть,俄羅斯國家石油管道運輸公司
Таймырский залив,泰梅爾海灣
Тазы (народ),塔兹族
Пронский район,普龍斯克區
Пронск,普龙斯克
Кувандыкский район,庫萬德克區
Инской,因斯科伊
Тверская улица (Москва),特維爾大街
Высоко-Петровский монастырь,圣彼得修道院·(莫斯科)
Нижнее Куйто,下奎托湖
Автаткууль,阿夫塔特庫利河
Серовский район,谢罗夫区
Меленковский район,梅连基区
Тобольский район,托博爾斯克區
Александровский район (Оренбургская область),亞歷山德羅夫卡區
Бакчарский район,巴克恰爾區
Чапаевка (река),恰帕耶夫卡河
Аннинский район,安娜区
Балаганский район,巴拉甘斯克区
Бабынинский район,巴貝尼諾區
Барятинский район,巴里亞季諾區
Адамовский район,阿達莫夫卡區
Бодайбинский район,博代博区
Базарно-Карабулакский район,巴扎爾內卡拉布拉克區
Бутурлиновский район,布图尔利诺夫卡区
Мурино,穆里诺·(列宁格勒州)
Армяно-российские отношения,亞美尼亞—俄羅斯關係
Медаль «За развитие железных дорог»,鐵路發展獎章
Ярославово дворище,雅罗斯拉夫大院
Новый русский,新俄罗斯人
Сириус Арена,阿德列尔竞技场
Целинный район (Алтайский край),采林諾耶區·(阿爾泰邊疆區)
Собор Успения Пресвятой Девы Марии,圣母升天主教座堂·(圣彼得堡)
Уралмашзавод,乌拉尔重型机器制造厂
Гагаринский район (Смоленская область),加加林區·(斯摩棱斯克州)
Ил-112В,伊尔-112
Флаг Москвы,莫斯科市旗
Алейский район,阿列伊斯克區
Мотыгинский район,莫特吉諾區
Колючин,科柳欽島
Тасеевский район,塔謝耶沃區
Туруханский район,圖魯漢斯克區
Манский район,馬納區
Рыбинский район (Красноярский край),雷賓斯科耶區
Минусинский район,米努辛斯克區
Нижнеингашский район,下因加什區
Новосёловский район,新肖洛沃區
Глушковский район,格盧什科沃區
Боханский район,博汉区
Бессоновский район,別索諾夫卡區
Акбулакский район,阿克布拉克區
Богородицкий район,博戈羅季茨克區
Арзамасский район,阿爾扎馬斯區
Асиновский район,阿西諾區
Антроповский район,安特羅波沃區
Тикси (бухта),季克西灣
Базаиха (река),巴扎伊哈河
Маньпупунёр,曼普普納岩石群
Моргаушский район,莫爾高希區
Борисоглебский монастырь (Торжок),鲍里索格布斯基大教堂
Острова Фаддея,法杰伊群島
Нижнегорский район,下戈爾斯基區
Красногвардейский район (Крым),赤衛軍村區·(克里米亞)
Катастрофа A320 под Сочи,亞美尼亞航空967號班機空難
Вишера (приток Малого Волховца),維舍拉河·(諾夫哥羅德州)
Вяла,維亞拉河
Икатский хребет,伊卡特山脈
Хатынгнах (приток Уяндины),哈滕格納赫河
Тембенчи,堅邊奇河
Учами (река),烏恰米河
Солнечный (Хабаровский край),索尔涅奇内·(哈巴罗夫斯克边疆区)
"Солнечный (ЗАТО, Красноярский край)",索尔涅奇内·(克拉斯诺亚尔斯克边疆区)
Воря (приток Клязьмы),沃里亞河
Пола,波拉河
Арбатская площадь,阿尔巴特广场
Спасская (станция метро),救世主站
