Diego Velázquez,디에고 벨라스케스
Marcelino Pérez,마르셀리노 페레스
Enrique Cerezo,엔리케 세레소
Alberto Núñez Feijóo,알베르토 누녜스 페이호
Miguel Hernández Sánchez,미겔 에르난데스 산체스
Verónica Sánchez,베로니카 산체스
Pedro Regueiro,페드로 레게이로
Pedro Obiang,페드로 오비앙
Sergi Enrich,세르지 엔리히
Adolfo Mengotti,아돌프 멩고티
Perla Cristal,펄라 크리스탈
Ricardo Arias (futbolista),리카르도 페네야 아리아스
Gregorio Fuentes,그레고리오 푸엔테스
Goyo Benito,그레고리오 베니토
Tintín Márquez,틴틴 마르케스
Richard Ortiz,리차르드 오르티스
Urko Vera,우르코 베라
Imanol Arias,이마놀 아리아스
Jorge Aizkorreta,호르헤 아이스코레타
Javier Sagarzazu,하비에르 사가르사수
Achero Mañas,아체로 마냐스
Jesús Landáburu,헤수스 란다부루
Lucía Gil,루시아 힐
Urbano Ortega,우르바노 오르테가
Macarena Gómez,마카레나 고메스
Nausicaa Bonnín,나우시카 보닌
Marina Salas,마리나 살라스
Fran Escribá,프란 에스크리바
Iñigo Pérez,이니고 페레스
Francisco Portillo Soler,프란시스코 포르티요
Luis Mariano,루이스 마리아노
Willy Hernangómez,윌리 에르난고메스
Juan Carlos Arteche,후안 카를로스 아르테체
Pilar Rubio,필라르 루비오
Gonzalo Arconada,곤살로 아르코나다
Antonio de la Torre Martín,안토니오 데 라 토레 마틴
Dani Martínez,다니 마르티네스
Amadeo García de Salazar,아마데오 가르시아
Sígfrid Gracia,시그프리드 그라시아
Crisanto Bosch,크리산트 보스치
Agustín Eizaguirre,아구스틴 에이사기레 오스톨라사
José Bañón,호세 바뇬
Lucía Ramos,루시아 라모스
Luis Alberni,루이스 알베르니
Luis García Plaza,루이스 가르시아 플라사
Antonio Betancort,안토니오 베탕코르트
Vicente Iborra de la Fuente,비센테 이보라
Borja Ekiza,보르하 에키사
Alexandra Jiménez,알렉산드라 히메네스
Alberto Vitoria,알베르토 비토리아
Juanma López,후안 마누엘 로페스 마르티네스
Joaquín Alonso,호아킨 알론소
Peio Uralde,페드로 우랄데
María Adánez,마리아 아다네스
Isaac Oceja,이사크 오세하
Ernesto Pérez Lobo,에르네스토 페레스
Eva Santolaria,에바 산톨라리아
Eugenia Silva,에우헤니아 실바
Beatriz Rico,베아트리스 리코
Agustín Sancho,아구스틴 산초
Marcelino Martínez Cao,마르셀리노 마르티네스
David Billabona,다비드 비야보나
Isacio Calleja,이사시오 카예하
Mónica Cervera,모니카 세르베라
Fanny Gautier,파니 고티에
El Juli,엘 훌리
Pedro Vallana,페드로 바야나
Juanjo Cañas,후안호 카냐스
Nancho Novo,난코 노보
Almudena Muñoz,알무데나 무뇨스
Manuel Lacunza,마누엘 라쿤자
Cecilia Freire,세실리아 프레이레
María Esteve,마리아 에스테베
Amparo Baró,암파로 바로
José Alberto Cañas Ruiz-Herrera,호세 카냐스 루이스에레라
Julia Gutiérrez Caba,훌리아 구티에레스 카바
Alberto Garzón,알베르토 가르손
Manuel Cervantes,마누엘 세르반테스
Bárbara Goenaga,바르바라 고에나가
Esteban Vigo,에스테반 비고
José Coronado,호세 코로나도
Marta Hazas,마르타 아사스
Miguel Abellán,미겔 아벨란
Anne Hidalgo,안 이달고
Andrés Junquera,안드레스 훙케라
David Alegre,다비드 알레그레
Juan Fernández La Villa,후안 페르난데스 (필드하키 선수)
Sílvia Munt,실비아 문트
Cayetana Guillén Cuervo,카예타나 기옌 쿠에르보
María Castro,마리아 카스트로
Charo López,차로 로페스
Chábeli Iglesias,차벨리 이글레시아스
Gómez Pérez das Mariñas,고메스 페레스 다스마리냐스
Sabino Bilbao,사비노 빌바오
Norma Ruiz,노르마 루이스
Lydia Bosch,리디아 보스크
Luis Otero (futbolista),루이스 오테로
Iván Amaya,이반 아마야
Mariano Arrate,마리아노 아라테
Vicente Moreno Peris,비센테 모레노
Martiño Rivas,마르티뇨 리바스
Miguel Ángel Silvestre,미겔 앙헬 실베스트레
Víctor Álvarez,빅토르 알바레스 델가도
Francisco Pagaza,프란시스코 파가사우르툰두아
Domingo Gómez-Acedo,도밍고 고메스아세도
Juan Artola,후안 아르톨라
Silverio Izaguirre,실베리오 이사기레
Montxo Armendáriz,몽소 아르멘다리스
Goyo Vergel,그레고리오 베르헬
Cristina Brondo,크리스티나 브론도
Yolanda Ramos,욜란다 라모스
Cristóbal Martínez-Bordiú,크리스토발 마르티네스보르디우이오르테가 데 비야베르데 후작
Adrián San Miguel,아드리안 산미겔 델 카스티요
Paco Flores,파코 플로레스
Constantino Romero,콘스탄티노 로메로
Juan Merino,후안 메리노
José Bordalás,호세 보르달라스
Ramón Gabilondo,라몬 가빌론도
Patricia Vico,파트리시아 비코
Álex González (actor),알렉스 곤살레스
Edurne (cantante),에두르네
Javier Manquillo,하비에르 망키요
Javier Botet,하비에르 보테트
José Antonio Irulegui,호세 안토니오 이룰레기
Alberto San Juan,알베르토 산 후안
Andrés Mendieta,안드레스 멘디에타
Andrés Sabido,안드레스 사비도
José Quirante,호세 키란테
Jesús Larraza,헤수스 라라사
Antonio Mateu Lahoz,안토니오 마테우 라오스
Clara Alonso,클라라 알론소 (모델)
Jonny Otto,조나단 카스트로 오토
Laura Ponte,라우라 폰테
José María Igartua,호세 마리아 이가르투아
José María Núñez Urrezola,호세 마리아 누녜스 우레솔라
Manuela Vellés,마누엘라 베예스
José Mari Amorrortu,호세 마리아 아모로르투
Juan Araujo,후안 아라우호
Juan Urquizu,후안 우르키수
José Ramón Gallego,호세 라몬 가예고
Yuri Berchiche,유리 베르치체
José Manzanedo,호세 루이스 페르난데스 만사네도
Carmen Franco y Polo,카르멘 프랑코이폴로
Alfredo Ortuño,알프레도 오르투뇨
Luis Costa,루이스 코스타 후안
Aura Garrido,아우라 가리도
Endika Guarrotxena,엔디카 과로체나
José María Peña,호세 마리아 페냐
Fernando Serena,페르난도 세레나
Gabriel Esparza Pérez,가브리엘 에스파르사
Patricio Arabolaza,파트리시오 아라볼라사
Nieve de Medina,니에베 데 메디나
Eneko Bóveda,에네코 보베다
Jordi Masip,조르디 마시프
Juana Acosta,후아나 아코스타
Kepa Arrizabalaga,케파 아리사발라가
Óscar Casas,오스카르 카사스
Josep Maria Nogués,주제프 마리아 노게스
Alejandro Martínez Sánchez,알렉스 마르티네스
Cristian Gómez García,크리스티안 고메스 가르시아
Francisco Gamborena,프란시스코 감보레나
Victoria Federica de Marichalar y Borbón,빅토리아 데 마리차라르이보르본
Roger Casamajor,로저 카사마조
Sotero Aranguren,소테로 아랑구렌
Gabino Diego,가비노 디에고
Felipe Juan Froilán de Marichalar y Borbón,펠리페 데 마리차라르이보르본
Agustín Gajate,아구스틴 가하테
Raquel Martínez,라켈 마르티네스 라바날
Luisa Martín,루이사 마르틴
Xabier Elorriaga,사비에르 엘로리아가
Amat Escalante,아마트 에스칼란테
Patricio Caicedo,파트리시오 카이세도
Ruth Díaz,루트 디아스
Aida Folch,아이다 폴크
Jesús García Pitarch,헤수스 가르시아 피타르치
Olegar Fedoro,올리거 페도로
Paquito García,프란시스코 가르시아 고메스
Julio Prieto,훌리오 프리에토
Ángel Jesús Mejías,앙헬 헤수스 메히아스
Carolina Bang,카롤리나 방
Christina Ochoa,크리스티나 오초아
Jesús Fernández Santos,헤수스 페르난데스 산토스
Alberto Machimbarrena,알베르토 마침바레나
Alberto Moreno,알베르토 모레노
Clara Lago,클라라 라고
Alejandro Rodríguez (futbolista español),알레한드로 로드리게스 데 미겔
Alexia Putellas,알렉시아 푸테야스
Alexis Trujillo,알렉시스 트루히요
Toni Muñoz,토니 무뇨스
Melchor García Sampedro,멜초르 가르시아 삼페드로
Carles Puigdemont,카를레스 푸지데몬
Amanda Sampedro,아만다 삼페드로
David López Silva,다비드 로페스 실바
Tomás Zarraonandia,토마스 사라오난디아
Toni Acosta,토니 아코스타
Daniel Acuña,다니엘 아쿠냐
Ana Álvarez,아나 알바레스
Luis Pérez das Mariñas,루이스 페레스 다스마리냐스
Marina Comas,마리나 코마스
David Aja,다비드 아하
Paco Tous,파코 토우스
David Selvas,다비드 셀바스
David López (historietista),다비드 로페스
Jorge David López Fernández,다비드 로페스 페르난데스
Luis de la Fuente Castillo,루이스 데 라 푸엔테 카스티요
Luis Marín Sabater,루이스 마린 사바테르
Del Negro,델 네그로
Gaspar Rubio,가스파르 루비오
Carme Elías,카르메 엘리아스
Antonio Benítez Fernández,안토니오 베니테스 페르난데스
Francisco Bizcocho,프란시스코 비스코초
Antonio Bonet Silvestre,안토니오 보네트 실베스트레
Alba Messa,알바 메사
Paco Llorente,프란시스코 요렌테 헨토
Belén Fabra,벨렌 파브라
Javier López García,하비에르 로페스 가르시아
Miguel Jones,미겔 존스
Juan Carlos Álvarez,후안 카를로스 알바레스
Luis Gálvez Rodríguez de Arias,루이스 갈베스 로드리게스 데 아리아스
Emilio Gavira,에밀리오 가비라
Jacinto Grau,하신토 그라우
Aymeric Laporte,에므리크 라포르트
Francisco Reiguera,프란시스코 레이게라
Asier Garitano,아시에르 가리타노
Pau Masó,파우 마소
Moisés Arteaga,모이세스 아르테아가
Pedro de Felipe,페드로 데 펠리페
Javi Gracia,하비 그라시아
Miriam Giovanelli,미리암 조바넬리
Ignacio Agirrezabala,이그나시오 아기레사발라
Carlos García Cantarero,카를로스 가르시아 칸타레로
Quique Ramos,키케 라모스
Julio Olaizola,훌리오 올라이솔라
Moi Gómez,모이 고메스
Bea Segura,베아 세구라
Juanpi,후안피
Rosa María Castillejo,로사 마리아 카스티예호
Roberto Bertol,로베르토 베르톨
Patxi Ferreira,파치 페레이라
Pedro Febles,페드로 페블레스
Carlota Olcina,카를로타 올시나
Félix Quesada,펠릭스 케사다
Manuel Zúñiga,마누엘 수니가
Taymi Chappé,타이미 차페
Gerard Moreno,제라르 모레노
Alba Ribas,알바 리바스
Miguel Gallastegui,미겔 갈라스테기
Patricia Montero,파트리시아 몬테로
Juan Fernández Vilela,후안 페르난데스 빌렐라
Marta Poveda,마르타 포베다
Adriana Torrebejano,아드리아나 토레베하노
Germán Gómez Gómez,헤르만 고메스
Wilma González,윌마 곤살레스
Venancio Pérez,베낭시오 페레스
Ángel de los Santos,앙헬 데 로스 산토스
Ángel Atienza,앙헬 아티엔사
Eulogio Aranguren,에울로히오 아랑구렌
Anna Castillo,아나 카스티요
Ángela Cremonte,앙헬라 크레몬테
Rafaela Aparicio,라파엘라 아파리시오
Trino Arizcorreta,트리노 아리스코레타
Carles Gil,카를레스 힐
Rubi (entrenador),주안 프란세스크 페레르 시실리아
Andrea Ros,안드레아 로스 (1993년)
Amparo Valle,암파로 밸
Ruth Vega Fernandez,루트 베가 페르난데스
Paula Echevarría,파울라 에체바리아
Alicia Rubio,알리시아 루비오
Alicia Sanz,알리시아 산스
Carla Campra,카를라 캄프라
Carla Nieto,카를라 니에토 헬리
Ana Risueño,아나 리수에뇨
Ana Rujas,아나 루하스
Eva Llorach,에바 요라치
Celia Freijeiro,셀리아 프레이헤이로
Karla Sofía Gascón,카를라 소피아 가스콘
Carlos Sánchez Aguiar,카를로스 산체스 아기아르
Carmen Ruiz,카르멘 루이스
Félix Pérez Marcos,펠릭스 페레스 마르코스
Carola Baleztena,카롤라 발레스테나
Carolina Lapausa,카롤리나 라파우사
Carmina Barrios,카르미나 바리오스
Belén Cuesta,벨렌 쿠에스타
Elena Rivera,엘레나 리베라 비야호스
Giselle Calderón,히세예 칼데론
Clemente Villaverde,클레멘테 비야베르데
Guillermo Sierra Arredondo,기예르모 시에라 아레돈도
Hiba Abouk,히바 아부크
Emilio Cruz,에밀리오 크루스
Elvira Mínguez,엘비라 밍게스
Joan Cornellà,주안 쿠르넬랴
Jorge Rando,호르헤 란도
Inma Cuesta,인마 쿠에스타
Laura Cepeda,라우라 세페다
Lola Marceli,롤라 마르첼리
Lidia San José,리디아 산호세
José Antonio Barrios,호세 안토니오 바리오스
José Manuel Espinosa,호세 마누엘 에스피노사
Mar Saura,마르 사우라
Lucas Vázquez,루카스 바스케스
Mariano Yurrita,마리아노 유리타
Luis Hernández Rodríguez,루이스 에르난데스 (1989년생 축구 선수)
Miquel Mir,미켈 미르
Monchín Triana,몬친 트리아나
Nadia de Santiago,나디아 데 산티아고
Marta Nieto,마르타 니에토
Marta Milans,마르타 밀란스
Juan José Rubio,후안 호세 루비오
Martín Mazza,마르틴 마사
José Ramón Eizmendi,호세 라몬 에이스멘디
María León (actriz),마리아 레온
Nathalie Poza,나탈리에 포사
Mariam Hernández,마리암 에르난데스
Marian Álvarez,마리안 알바레스
Marta Belmonte,마르타 벨몬테
María Isasi,마리아 이사시
Macarena García,마카레나 가르시아
María Toledo,마리아 톨레도
Nieves Álvarez,니에베스 알바레스
Paula Prendes,파울라 프렌데스
Patrick Criado,패트릭 크리아도
Pablo Casado,파블로 카사도
Silvia Alonso,실비아 알론소
Sergio Rico,세르히오 리코
Susi Sánchez,수시 산체스
Rafael Alcaide Crespín,라파엘 알카이데 크레스핀
Pedro Camus,페드로 카무스
Joan Pedrola,주안 페드룰라
Pedro Sánchez,페드로 산체스
Luis Olaso,루이스 올라소
Luis Pasarín,루이스 파사린
Pepe Carcelén,페페 카르셀렌
Jennifer Hermoso,헤니페르 에르모소
Daniel García Pérez,다니엘 가르시아 로드리게스
Teresa Hurtado de Ory,테레사 우르타도
Manu Trigueros,마누 트리게로스
Vicky Losada,비키 로사다
Ruth Lorenzo,루트 로렌소
Vicky Luengo,비키 루엥고
Isabel Ordaz,이사벨 오다즈
Jorge Bartual,호르헤 바르투알
Vitolo Machín,비톨로
Álvaro Martín Uriol,알바로 마르틴
Javier Godino,하비에 고디노
Jaume Costa,자우메 코스타
Rogelio Sosa Ramírez,로헬리오 소사 라미레스
Javier Patiño,하비에르 파티뇨
Maria del Mar (actriz),마리아 델 마르
Yanko Daucik,얀코 다우치크
Juan Armet,후안 아르메트
Juan Diego (actor),후안 디에고
Marta Torrejón,마르타 토레혼
Juan Monjardín,후안 몬하르딘
Juan Carlos Vellido,후안 카를로스 벨리도
Alba Flores,알바 플로레스
Sandra Cervera,산드라 세르베라
Aina Clotet,아이나 클로테트
Miguel Ángel Ruiz García,미겔 앙헬 루이스 가르시아
Juan de Cárcer,후안 데 카르세르
Ana Fernández García,아나 페르난데스 가르시아
Amadeo Labarta,아마데오 라바르타
Pablo Marí Villar,파블로 마리
Paloma Pedrero,팔로마 페드레로
Pedro Gómez Labrador,라브라도 후작 페드로 고메스
Omar Mascarell,오마르 마스카렐
Antonio Juantegui,안토니오 후안테기
Pablo Carreño,파블로 카레뇨 부스타
Josep Sastre,주제프 사스트레
Francisco Javier Gutiérrez,F. 하비에르 구티에레스
Fernando Cayo,페르난도 카요
José María Yermo Solaegui,호세 마리아 예르모
Francisco Núñez Rodríguez,프란시스코 누녜스 로드리게스
Kubrat de Bulgaria,쿠브라트 데 사호니아코부르고고타이고메즈아세보
Giovanni Simeone,히오바니 시메오네
Gregorio Céspedes,그레고리오 세스페데스
Genaro Celayeta,헤나로 셀라예타
Gaztelu (futbolista),호세 아구스틴 아란사발
Jesús Izaguirre,헤수스 이사기레
Santi Mina,산티 미나
Imanol Alguacil,이마놀 알과실
Carmelo Goyenechea,카르멜로 고예네체아
Guillem March,길롐 마르크
Cholín,이그나시오 마리아 알코르타
María Cotiello,마리아 코티에요
Ramón Encinas,라몬 엔시나스
Luis Belló,루이스 베요
Carriega,루이스 시드 페레스
Miryam Gallego,미리암 가예고
Clara Segura,클라라 세구라
Santiago Idígoras,산티아고 이디고라스
Sandra Paños,산드라 파뇨스
Irene Visedo,이레네 비세도
Antonio Soto (sindicalista),안토니오 소토 카날레호
César Ferrando,세사르 페란도
Marta Larralde,마르타 라랄데
Eduardo Cubells,에두아르도 쿠벨스
Ángel Mariscal,앙헬 마리스칼
Mar Flores,마르 플로레스
Pablo Villa,파블로 비야
Emma Ríos,에마 리오스
Jon Toral,존 토랄
Nuria Gago,누리아 가고
Ramón Alfonseda,라몬 알폰세다
Ramón Moya,라몬 모야
Llum Barrera,윰 바레라
Kiriki (futbolista),루이스 이루레타고예나
Mariano Díaz Mejía,마리아노 디아스 메히아
Irene Paredes,이레네 파레데스
Bartomeu Marí Ribas,바르토메우 마리 리바스
Mariano Pulido,마리아노 풀리도
Pedro Valentín Mora,페드로 발렌틴 모라
Pepa Rus,페파 루스
Toni Grande,토니 그란데
Silvia Pérez Cruz,실비아 페레스 크루스
José Noriega Agüera,호세 노리에가 아궤라
Santiago Abascal,산티아고 아바스칼
Ricardo Rodríguez Suárez,리카르도 로드리게스 (축구인)
Pablo Machín,파블로 마친
Pedro González Martínez,페드로 곤살레스 마르티네스
Terele Pávez,테렐레 파베스
Tito Valverde,페르난도 발베르드
Xenia Tostado,세니아 토스타도
Xan das Bolas,샌 다스 볼라스
José María Díaz Sanjurjo,호세 마리아 디아스 상후르호
José Legarreta,호세 레가레타
Antero González de Audicana,안테로 곤살레스
Katia Klein,카티아 클레인
Andoni Elizondo,안도니 엘리손도
Domingo Zaldúa,도밍고 살두아
Marcelino Agirrezabala,마르셀리노 아기레사발라
Diego Tristán,디에고 트리스탄
Jagoba Arrasate,하고바 아라사테
Carlos Akapo,카를로스 아카포
Pablo Iglesias Turrión,파블로 이글레시아스 투리온
Diego Llorente,디에고 요렌테
Fernando Pacheco Flores,페르난도 파체코 플로레스
Burgui (futbolista),호르헤 프랑코 알비스
Natalia de Molina,나탈리아 데 몰리나
Laia Costa,라이아 코스타
Francisco Espíldora,프란시스코 에스필라도라
Héctor Bellerín,엑토르 베예린
Keita Balde,케이타 발데
Carlos Fernández Luna,카를로스 페르난데스 루나
Álvaro Medrán,알바로 메드란
Pere Aragonès,페레 아라구네스
Igor Szpakowski (actor),이고르 슈파코프스키
Marco Asensio,마르코 아센시오
Heliodoro Castaño Pedrosa,엘리오도로 카스타뇨 페드로사
Francisco Javier Bermejo,프란시스코 하비에르 베르메호
Sara Sálamo,사라 살라모
Juan Antonio Felipe,후안 안토니오 펠리페
Ayoze Pérez,아요세 페레스
Francisco Güerri,프란시스코 구에리
Joseba Zaldua,호세바 살두아
José Luis Gayà,호세 루이스 가야
Adama Traoré Diarra,아다마 트라오레 디아라
Bárbara Santa-Cruz,바르바라 산타크루스
Aritz Elustondo,아리츠 엘루스톤도
José Luis Garzón,호세 루이스 가르손
Nicolás Estévez Martínez,니코 에스테베스
Miguel Ángel Ochoa,미겔 앙헬 오초아
Josep Maria Bartomeu,주제프 마리아 바르토메우
Dani García (futbolista),다니엘 가르시아 카리요
Rafael Jaén Rodríguez,라파엘 하엔
Marina Ginestà,마리나 기네스타
Ander Capa,안데르 카파
Natalia Rodríguez (actriz),나탈리아 로드리게스
Juan Manuel Delgado Lloria,후안 마누엘 델가도 요리아
Andrés Villena,안드레스 비예나
Diego Rico,디에고 리코
Jesús Castro (actor),헤수스 카스트로
Jesús Vallejo (futbolista),헤수스 바예호
Rubén Sobrino,루벤 소브리노
Alexandre Moreno,알렉스 모레노
Clément Lenglet,클레망 랑글레
Dani Ceballos,다니 세바요스
Eva Calvo Gómez,에바 칼보
Francisco Sanjosé,프란시스코 산호세
Jaime Mata,하이메 마타
Adelfa Calvo,아델파 칼보
Álex Berenguer,알렉스 베렝게르
Ager Aketxe,아헤르 아케체
Rubén Yáñez (futbolista),루벤 야녜스
Portu (futbolista nacido en 1992),크리스티안 포르투게스
David Gallego,다비드 가예고
Antonio Emery,안토니오 에메리
Sandro Ramírez,산드로 라미레스
Javier Eraso,하비에르 에라소
Nerea Barros,네레아 바로스
Prudencio de la Cruz,푸르덴시오
Íñigo Errejón,이니고 에레혼
Munir Mohand Mohamedi,무니르 모하메디
José Kanté,호세 캉테
Lucas Hernández,루카스 에르난데스
Jaume Doménech,하우메 도메네크
Sebastián Yatra,세바스티안 야트라
Pau López,파우 로페즈
Mariona Tena,마리오나 테나
Mikel Merino,미켈 메리노
Unai Bustinza,우나이 부스틴사
Unai López,우나이 로페스
Gerard Gumbau,제라르드 굼바우
Borja Mayoral,보르하 마요랄
Luca Zidane,루카 지단
Iñaki Williams,이냐키 윌리암스
Blanca Padilla,블랑카 파디야
Jack Harper,잭 하퍼 (축구 선수)
José Ángel Jurado,호세 앙헬 후라도
Samu Castillejo,사무 카스티예호
David García Zubiria,다비드 가르시아
Joan Jordán,주안 호르단
Aleix García,알레시 가르시아
Fabián Ruiz Peña,파비안 루이스
Michelle Calvó,미셸 칼보 페드레이라
Dani Olmo,다니 올모
Borja Iglesias,보르하 이글레시아스
Fernando Ortuño Blasco,페르난도 오르투뇨
Eugenio Mira,에우헤니오 미라
Iñigo Lekue,이니고 레쿠에
David Raya,다비드 라야
Yeray Álvarez,예라이 알바레스
Mikel Vesga,미켈 베스가
Asier Villalibre,아시에르 비얄리브레
Javier Pulido,하비에르 풀리도
Jorge Meré,호르헤 메레
Álex Remiro,알렉스 레미로
Berta Vázquez,베르타 바스케스
Martín Merquelanz,마르틴 메르켈란스
Álvaro Odriozola,알바로 오드리오솔라
Luca Sangalli,루카 상가이
Pablo Fornals,파블로 포르날스
Félix Zubizarreta,펠릭스 수비사레타
Manuel Prast,마누엘 프라스트
Sabin Merino,사빈 메리노
Angeliño,앙헬리뇨
Mario Hermoso,마리오 에르모소
Claudia Traisac,클라우디아 트라이사크
Marcos Llorente,마르코스 요렌테
Pape Cheikh Diop,파페 셰이크 디오프
Barei,바레이
Gorka Guruzeta,고르카 구루세타
Rafa Mir,라파 미르
Pedro Chirivella,페드로 치리베야
Rodri Hernández,로드리 에르난데스
Carles Aleñá,카를레스 알레냐
Mikel Oyarzabal,미켈 오야르사발
Luisa Gavasa,루이사 가바사
Marc Cucurella,마르크 쿠쿠레야
Carles Pérez,카를레스 페레스
Jokin Ezkieta,호킨 에스키에타
David Soria Solís,다비드 소리아
Pablo Maffeo,파블로 마페오
Bad Gyal,배드 걸 (음악가)
Andrea Pereira,안드레아 페레이라 세후도
Igor Zubeldia,이고르 수벨디아
Álex de Miñaur,앨릭스 디미노어
Unai Simón,우나이 시몬
Diego Martínez Penas,디에고 마르티네스 페나스
Fátima Diame,파티마 디아메
Sergio Reguilón,세르히오 레길론
Candela Serrat,칸델라 세라트
Óscar Álvarez González,오스카르 알바레스 곤살레스
Millie Bobby Brown,밀리 보비 브라운
Jon Rahm,욘 람
Ingrid García-Jonsson,잉리드 가르시아 욘손
Dafne Keen,다프네 킨
Susana Abaitua,수사나 아바이투아
Mathías Olivera,마티아스 올리베라
Sandra Sánchez,산드라 산체스
Youssef En-Nesyri,유세프 엔네시리
Pol Lirola,폴 리롤라
Francisco Garrigós,프란시스코 가리고스
Marc Roca,마르크 로카
Teodoro García Egea,테오도로 가르시아 에헤아
Mamen Camacho,마멘 카마초
Alejandro Pozo,알레한드로 포소
Carlos Soler,카를로스 솔레르
Luis Javier Suárez,루이스 수아레스 (1997년)
Achraf Hakimi,아슈라프 하키미
Rosalía (cantante),로살리아 (가수)
Oriol Paulo,오리올 파울로
Ángel González Castaños,앙헬 곤살레스 카스타뇨스
Aarón Martín,아론 마르틴
Brahim Díaz,브라힘 디아스
Robin Le Normand,로뱅 르 노르망
Ferrán Solé,페란 솔레
Ana Mena,아나 메나
Carla Simón,카를라 시몬
Vinícius Júnior,비니시우스 주니오르
Jon Guridi,혼 구리디
Éder Militão,에데르 밀리탕
Bruna Cusí,브루나 쿠시
Rodrygo Goes,호드리구 고이스
Andoni Gorosabel,안도니 고로사벨
Brais Méndez,브라이스 멘데스
Sergio Gómez Martín,세르히오 고메스
Hugo Guillamón,우고 기야몬
Aia Kruse,아이아 크루세
Pau Torres,파우 토레스
Ainhoa Santamaría,아이노아 산타마리아
Eloísa González,엘로이사 곤살레스
Amaia Romero,아마이아 로메로
Hugo Duro,우고 두로
Pedro Porro,페드로 포로
Sandra Escacena,산드라 에스카세나
Ander Guevara,안데르 게바라
Yara Puebla,야라 푸에블라
Alfred García,알프레드 가르시아
Unai Nuñez,우나이 누녜스
Ferran Torres,페란 토레스
Junior Firpo,주니오르 피르포
Juan Miranda González,후안 미란다
María Pedraza,마리아 페드라사
Peru Nolaskoain,페루 놀라스코아인
Félix Sánchez Bas,펠릭스 산체스 바스
Riqui Puig,리키 푸치
Esther Acebo,에스테르 아세보
Ana Cela,아나 셀라
Laia Manzanares,라이아 만사나레스
Susy Gala,수시 갈라
David Andújar Jiménez,데이비드 안두하르
Patricia López Arnaiz,파트리시아 로페스 아르나이스
Ana Guerra,아나 게라
Elena Martín Gimeno,엘레나 마르틴
Lola Índigo,롤라 인디고
Aitana (cantante),아이타나
Robert Sánchez,로베르트 산체스
María Teresa de Borbón-Parma,마리아 테레사 데 보르본파르마
María Albiñana,마리아 알비냐나
Ander Barrenetxea Muguruza,안데르 바레네체아
Alonso Guerrero Pérez,알론소 게레로 페레즈
Eric García,에릭 가르시아 (축구 선수)
Bruno Guimarães,브루누 기마랑이스
Ester Expósito,에스테르 엑스포시토
Aihen Muñoz,아이엔 무뇨스
Juani Castillo,후아니 카스티요
Miki Núñez,미키 누녜스
Bryan Gil,브리안 힐
Nathy Peluso,나티 펠루소
Macarena Olona,마카레나 올로나 초클란
Carolina Yuste,카롤리나 유스테
Martín Zubimendi,마르틴 수비멘디
Dani Vivian,다니엘 비비안
Greta Fernández,그레타 페르난데스
Sergi Cardona,세르지 카르도나
Ilaix Moriba,일라시 모리바
Oihan Sancet,오이안 산세트
Robert Moreno,로베르트 모레노
Begoña Vargas,베고냐 바르가스
Pedri,페드리
Georgina Amorós,헤오르히나 아모로스
José García Corral,호세 가르시아 코랄
Rodrigo Riquelme Reche,로드리고 리켈메
Paula Usero,파울라 우세로
Fran Navarro,프란 나바로
Álvaro Valles,알바로 바예스
Miguel Gutiérrez Ortega,미겔 구티에레스
Ansu Fati,안수 파티
Iñaki Peña,이냐키 페냐
Olivia Delcán,올리비아 델칸
Arnau Tenas,아르나우 테나스
Javier López Carballo,하비 로페스 (2002년생 축구 선수)
Chanel Terrero,차넬 테레로
Unai Vencedor,우나이 벤세도르
Maria Branyas Morera,마리아 브라냐스 모레라
Luka Romero,루카 로메로
Alejandro Baena Rodríguez,알렉스 바에나
Fran García,프란 가르시아
Jon Morcillo,혼 모르시요
Marvin Park,마빈 박
Nico Williams,니코 윌리암스
Óscar Mingueza,오스카르 밍게사
Alejandro Balde,알레한드로 발데
Yéremi Pino,예레미 피노
Gabri Veiga,가브리 베이가
Eva Armisén,에바 알머슨
Nicolás González Iglesias,니코 곤살레스
Adriana Cerezo,아드리아나 세레소
Ez Abde,압데 에잘줄리
Almudena Amor,알무데나 아모르
Bryan Zaragoza,브리안 사라고사
Gavi (futbolista),가비 (축구 선수)
Alberto Moleiro,알베르토 모레이로
Iván Fresneda,이반 프레스네다
Taz Skylar,태즈 스카일러
Dean Huijsen,딘 하위선
Alejandro Garnacho,알레한드로 가르나초
Blanca Paloma,블랑카 팔로마
Álvaro Fernández Carreras,알바로 페르난데스
Javier Guerra Moreno,하비 게라 (2003년생 축구인)
Estibaliz Urresola Solaguren,에스티발리스 우레솔라 솔라구렌
Nico Paz,니코 파스
Lamine Yamal,라민 야말
Stefan Bajčetić,스테판 바이체티치
Sofía Otero,소피아 오테로
Joan González,조안 곤잘레스
Fermín López Marín,페르민 로페스
Pau Cubarsí,파우 쿠바르시
