Douglas Adams,ダグラス・アダムズ
James Bourne,ジェイムス・ボーン
Laurence Kirby,ローレンス・カービー
Cristian Solimeno,クリスチャン・ソリメノ
Charles Joughin,チャールズ・ジョーヒン
Albert Lee,アルバート・リー
Lisa Nandy,リサ・ナンディー
Eugene Laverty,ユージーン・ラバティ
Chris Baird,クリス・ベアード
Chi Onwurah,チー・オヌラー
Mark Pawsey,マーク・ポージー
"Margaret Cambridge, Marchioness of Cambridge",マーガレット・ケンブリッジ
John Hick,ジョン・ヒック
"Mary Cavendish, Duchess of Devonshire",メアリー・ガスコイン＝セシル
Peter Mayle,ピーター・メイル
Darren Clarke,ダレン・クラーク
Julie Tullis,ジュリー・トゥリス
Kyle Lightbourne,カイル・ライトボーン
Kelvin Davis,ケルヴィン・デイヴィス
Betty Balfour,ベティ・バルフォア
Richard Ottaway,リチャード・オッタウェー
Guy Opperman,ガイ・オッパーマン
Adrian Sherwood,エイドリアン・シャーウッド
Carl Dickinson,カール・ディッキンソン
Richard Wright,リチャード・ライト
Jesse Norman,ジェス・ノーマン
Fred West,フレデリック・ウェスト
Dave Gahan,デイヴ・ガーン
Alex Thomson,アレックス・トムソン
Ben Chaplin,ベン・チャップリン
William Hall-Jones,ウィリアム・ホール＝ジョーンズ
Richard Southwood,リチャード・サウスウッド
Nick Faldo,ニック・ファルド
John Gidman,ジョン・ギドマン
Mary Wesley,メアリー･ウェズレー
Dave Gibbons,デイヴ・ギボンズ
Jane Lapotaire,ジェイン・ラポテア
Paul Oliver,ポール・オリヴァー
Eric Marshall,エリック・マーシャル
Hanna Segal,スィーガル H.
Bernard Cornwell,バーナード・コーンウェル
Roger Mynors,ロジャー・マイナーズ
Helen Walsh,ヘレン・ウォルシュ
"Francis Baring, 6th Baron Northbrook",フランシス・ベアリング (第6代ノースブルック伯爵)
Caroline Nokes,キャロライン・ノークス
Timothy Bateson,ティモシー・ベイトソン
Malorie Blackman,マロリー・ブラックマン
Sarah Newton,サラ・ニュートン
Rachel Seiffert,レイチェル・シーファー
Elinor Glyn,エリノア・グリン
Dorothy Richardson,ドロシー・リチャードソン
Jelly d'Arányi,イェリー・ダラーニ
Reginald Owen,レジナルド・オーウェン
John Normington,ジョン・ノーミントン
Alan Hume,アラン・ヒューム
Richard Sanderson,リチャード・サンダーソン
Thomas Killigrew,トマス・キリグルー
Ian Martin,イアン・マーティン
Sebastian Shaw,セバスチャン・ショウ
Ken Bates,ケン・ベイツ
Albert Armitage,アルバート・アーミテージ
Geoffrey Unsworth,ジェフリー・アンスワース
Roger Livesey,ロジャー・リヴセイ
Steve Perryman,スティーブ・ペリマン
Alfred Robb,アルフレッド・ロッブ
John Palmer,フランシス・ビーディング
Andrea Levy,アンドレア・レヴィ
Frederick DuCane Godman,フレデリック・デュ・ケイン・ゴッドマン
David J. C. MacKay,デイヴィッド・J・C・マッカイ
George Cohen,ジョージ・コーエン
Louise Welsh,ルイーズ・ウェルシュ
Pamela Franklin,パメラ・フランクリン
Sophie Ward,ソフィー・ワード
Barbara Levick,B. レヴィック
Tasmin Little,タスミン・リトル
Margaret Scriven,マーガレット・スクリブン
Peter Firth,ピーター・ファース
Michael D. Ford,マイケル・フォード
Robin Reid,ロビン・リード
John McGuinness,ジョン・マクギネス
Isaac Shoenberg,アイザック・ショーエンバーグ
Tina Brown,ティナ・ブラウン
China Chow,チャイナ・チョウ
Edward FitzGerald,エドワード・フィッツジェラルド
Robert Smith,ロバート・スミス
Chris Barber,クリス・バーバー
Alun Owen,アラン・オーウェン
Alec McCowen,アレック・マッコーエン
Alun Hoddinott,アラン・ホディノット
Mike Hodges,マイク・ホッジス
Andi Bell,アンディ・ベル (記憶術)
Patrick Caulfield,パトリック・カウルフィールド
Thomas Burrow,トーマス・バロー
Dorian Yates,ドリアン・イエーツ
Norman Davies,ノーマン・デイヴィス
Natalie Imbruglia,ナタリー・インブルーリア
Kate Rusby,ケイト・ラズビー
Enid Bagnold,イーニッド・バグノルド
Steve Smith,スティーブ・スミス
Kiki Dee,キキ・ディー
Joanna David,ジョアンナ・デヴィッド
Peter Biziou,ピーター・ビジウ
David B. Norman,デビッド・ノーマン
Marcus Fleming,マーカス・フレミング
David Humphreys,デービッド・ハンフリーズ
Matt Derbyshire,マット・ダービーシャー
Lester Piggott,レスター・ピゴット
Natasha Jonas,ナターシャ・ジョナス
Martin Gore,マーティン・ゴア
Michael Oakes,マイケル・オークス
Binnie Barnes,ビニー・バーンズ
Mike Blair,マイク・ブレア
John Stott,ジョン・ストット
Launceston Elliot,ローンセストン・エリオット
Gary Hooper,ギャリー・フーパー
George Hillyard,ジョージ・ヒルヤード
Michael Gray,マイケル・グレイ
Alun Armstrong,アラン・アームストロング
Alun Francis,アラン・フランシス
Daniel Mays,ダニエル・メイズ
Marc Pickering,マーク・ピカリング
Andrew Murrison,アンドルー・マリソン
Sheryll Murray,シェリル・マレー
Ian Murray,イアン・マレー
Aleksander Kolkowski,アレクサンダー・コルコフスキ
Ron Yeats,ロン・イェイツ
Christopher Gunning,クリストファー・ガニング
Roxy Jezel,ロキシー・ジェゼル
Scott Dann,スコット・ダン
Rebecca Saunders,レベッカ・サンダース
"Edward Stanley, 3rd Earl of Derby",エドワード・スタンリー (第3代ダービー伯爵)
Patrick Malahide,パトリック・マラハイド
Thomas Woodcock,トマス・ウッドコック
Wilfred Thomason Grenfell,ウィルフレッド・トマソン・グレンフェル
Jonathan Tiernan-Locke,ジョナサン・ティエナン・ロック
Robert d'Escourt Atkinson,ロバート・アトキンソン
Allan Warren,アラン・ウォーレン (写真家)
Oliver Leese,オリヴァー・リース
Rhys Murphy,リース・マーフィー
"James Graham, 4th Duke of Montrose",ジェイムズ・グラハム (第4代モントローズ公爵)
Robert Addie,ロバート・アディ
Anne Marie Morris,アン・マリー・モリス
Hannah Waterman,ハンナ・ウォーターマン
Noel Harrison,ノエル・ハリソン
Averil Cameron,エーヴリル・キャメロン
Graham Rix,グラハム・リックス
John Dankworth,ジョン・ダンクワース
Apsley Cherry-Garrard,アプスリー・チェリー＝ギャラード
Ian Bannen,イアン・バネン
Dalian Atkinson,ダリアン・アトキンソン
E. B. Ford,エドモンド・ブリスコ・フォード
Cynthia Mosley,シンシア・モズレー
Alun Wyn Jones,アリン・ウィン・ジョーンズ
Jim Telfer,ジェイムズ・テルファー
Ray Coulthard,レイモンド・クルサード
Lorraine Copeland,ロレーヌ・コープランド
Robert Cornthwaite,ロバート・コーンスウェイト
Emile Ford,エミル・フォード
Angela Douglas,アンジェラ・ダグラス
J. H. C. Whitehead,J・H・C・ホワイトヘッド
Sophie Dee,ソフィー・ディー
Jamie Green,ジェイミー・グリーン
Anne Fine,アン・ファイン
Elliott Bennett,エリオット・ベネット
Anne Milton,アン・ミルトン
Nigel Mills,ナイジェル・ミルズ
Grahame Morris,グラハム・モリス
Graeme Storm,グレーム・ストーム
Conor Murphy,コナー・マーフィー
Stephanie Leonidas,ステファニー・レオニダス
Julian Glover,ジュリアン・グローヴァー
Willie John McBride,ウィリー・ジョン・マクブライド
Poppy Morgan,ポピー・モーガン
Leon Clarke,レオン・クラーク
David Morris,デービッド・モリス
Pannonica de Koenigswarter,キャスリーン・アニー・パノニカ・ロスチャイルド
Philibert Jacques Melotte,フィリベール・ジャック・メロッテ
"Edward Fitzalan-Howard, 18th Duke of Norfolk",エドワード・フィッツアラン＝ハワード
David Mowat,デービッド・モワット
John Robertson,ジョン・ロバートソン
Adrienne Corri,エイドリアン・コリ
Nicky Morgan,ニッキー・モーガン
Penny Mordaunt,ペニー・モーダント
Ray Parlour,レイ・パーラー
Paul Warwick,ポール・ワーウィック
Maurice Kendall,モーリス・ケンドール
Horace Smith-Dorrien,ホレス・スミス＝ドリエン
Michael Levey,マイケル・レヴィー
"Thomas Cochrane, 1st Baron Cochrane of Cults",トマス・コクラン (初代カルツのコクラン男爵)
Mackenzie Crook,マッケンジー・クルック
David Jack,デイヴィッド・ジャック
Joseph Barcroft,ジョゼフ・バークロフト
Jason Bonham,ジェイソン・ボーナム
Edwin Lutyens,エドウィン・ラッチェンス
Herbert Baddeley,ハーバート・バデリー
Alexander King,アレキサンダー・キング
Alfred Young,アルフレッド・ヤング
David Lammy,デイビッド・ラミー
Paddy Considine,パディ・コンシダイン
James McCartney,ジェイムズ・マッカートニー
Janet Stancomb-Wills,ジャネット・スタンコム＝ウィルス
Elarica Gallacher,エラリカ・ギャラ
Solomon Schonfeld,ソロモン・ショーフェルド
Wilfrid Mellers,ウィルフリッド・メラーズ
John Brunner,ジョン・ブラナー
Jim Fox,ジム・フォックス
Graham Sutherland,グレアム・サザランド
Jeremy Moore,ムーア
Peter Haggett,ピーター・ハゲット
Ronald Searle,ロナルド・サール
Andrew Robathan,アンドリュー・ロバサン
Bill Browder,ビル・ブラウダー
Niall Ferguson,ニーアル・ファーガソン
Ian Mearns,イアン・マーンズ
Robert Irwin,ロバート・アーウィン
Jean Lambert,ジーン・ランバート
Elizabeth Craig,エリザベス・クレイグ
Alec Dankworth,アレク・ダンクワース
James Frain,ジェームズ・フレイン
Eric Neal,エリック・ニール
Ben Ainslie,ベン・エインズリー
Steve Clarke,スティーブ・クラーク
Bernice Rubens,バーニス・ルーベンス
Mark Menzies,マーク・メンジーズ
Rebecca James,レベッカ・ジェイムス
Jay Rodriguez,ジェイ・ロドリゲス
Edmund Pevensie,エドマンド・ペベンシー
Cynthia Cleese,シンシア・クリーズ
Dodie Smith,ドディー・スミス
Harry Lloyd,ハリー・ロイド
Leapy Lee,リーピー・リー
Syd Millar,シド・ミラー
Bobby Windsor,ボビー・ウィンザー
Arthur Russell,アーサー・ラッセル
Harry Catterick,ハリー・カタリック
Paul McGrath,ポール・マグラー
Alex Stepney,アレックス・ステップニー
Mark Randall,マーク・ランドール
Gavin Hoyte,ギャヴィン・ホイト
Michael Buckland,マイケル・バックランド
Anna Russell,アンナ・ラッセル
Jonathan Harvey,ジョナサン・ハーヴェイ
Emily Gravett,エミリー・グラヴェット
Davina McCall,ダヴィーナ・マッコール
Gwen Raverat,グウェンドリン・ラヴェラット
Twinkle,トゥインクル
John Muir,ジョン・ミューア
Stephen Spender,スティーブン・スペンダー
Clifford Cocks,クリフォード・コックス
Barbara Windsor,バーバラ・ウィンザー
Googie Withers,グーギー・ウィザース
Bernard Lewis,バーナード・ルイス
Emlyn Williams,エムリン・ウィリアムズ
Jordon Mutch,ジョードン・マッチ
James Henry,ジェームズ・ヘンリー
Esther McVey,エスター・マクベイ
Stephen McPartland,スティーブン・マクパートランド
Pauline Black,ポーリーン・ブラック
Paul Cattermole,ポール・キャターモール
Alastair Cook,アラステア・クック
Philip Tonge,フィリップ・タング
Norma Winstone,ノーマ・ウィンストン
Alan Meale,アラン・ミール
Michael Meacher,マイケル・ミーチャー
Alan Bush,アラン・ブッシュ
Barry Morgan,バリー・モーガン
Laura Ashley,ローラ・アシュリー
Andrew Fletcher,アンディ・フレッチャー
Morris Travers,モーリス・トラバース
Norman Whiteside,ノーマン・ホワイトサイド
Wilfred Baddeley,ウィルフレッド・バデリー
Anthony Andrews,アンソニー・アンドリュース
Steve Cummings,スティーヴ・カミングス
Joyce Smith,ジョイス・スミス
Hans Matheson,ハンス・マシソン
Sarah Parish,サラ・パリッシュ
Dave Mackay,デイブ・マッケイ (1934年生まれのサッカー選手)
Brian Blessed,ブライアン・ブレスド
Shanaze Reade,シャネーズ・リード
Angharad Rees,アンガラッド・リース
Jamie Roberts,ジェイミー・ロバーツ
John Booth,ジョン・アルフレッド・ブース
Samuel Alexander,サミュエル・アレクサンダー
Harold Jeffreys,ハロルド・ジェフリーズ
Gilbert Sheldon,ギルバート・シェルドン
Roger Norrington,ロジャー・ノリントン
Hattie Jacques,ハティー・ジェイクス
Robert Conquest,ロバート・コンクエスト
Oliver Lodge,オリバー・ロッジ
Graeme Lowdon,グレアム・ローデン
Sydney Bromley,シドニー・ブロムリー
Joan Sims,ジョーン・シムズ
Tony Stratton-Smith,トニー・ストラットン＝スミス
Roy Bentley,ロイ・ベントリー
Andrey Kapitsa,アンドレイ・カピッツァ
J. B. Bury,J・B・ベリー
Albert Ketèlbey,アルバート・ケテルビー
Sally Gardner,サリー・ガードナー
Richard Cobb,リチャード・コブ
Ludovic Kennedy,ルドヴィク・ケネディ
St John Philby,ジョン・フィルビー
Roderic Noble,ロデリック・ノーブル
Maurice Bembridge,モーリス・ベンブリッジ
Richard E. Grant,リチャード・E・グラント
Michael Winterbottom,マイケル・ウィンターボトム
Richard Parkes Bonington,リチャード・パークス・ボニントン
Luke Charteris,ルーク・チャータリス
Alvin Langdon Coburn,アルヴィン・ラングダン・コバーン
Maddy Prior,マディ・プライアー
Alvin Martin,アルヴィン・マーティン
Edward B. Titchener,エドワード・ティチェナー
Kevin Warwick,ケビン・ワーウィック
Paul McGillion,ポール・マクギリオン
Joe Dempsie,ジョー・デンプシー
Dani Filth,ダニ・フィルス
Eric Morecambe,エリック・モーレキャンベ
Joseph Larmor,ジョゼフ・ラーモア
Jenny Seagrove,ジェニー・シーグローヴ
Annie Whitehead,アニー・ホワイトヘッド
David Frost,デービッド・フロスト
David Bellos,デイヴィッド・ベロス
Paul Mariner,ポール・マリナー
Brian Locking,ブライアン・ロッキング
Lee Westwood,リー・ウエストウッド
Jason Robinson,ジェイソン・ロビンソン (ラグビー選手)
Jessica Garlick,ジェシカ・ガーリック
Derren Brown,ダレン・ブラウン
Nina Hamnett,ニーナ・ハムネット
Norman Reynolds,ノーマン・レイノルズ
Andrew Amers-Morrison,アンドルー・アメルス＝モリソン
Corin Redgrave,コリン・レッドグレイヴ
Hermann Bondi,ヘルマン・ボンディ
David Knopfler,デヴィッド・ノップラー
Michael Giles,マイケル・ジャイルズ
Tacita Dean,タシタ・ディーン
Georgia Brown,ジョージア・ブラウン
Alastair Reynolds,アレステア・レナルズ
Antony Beevor,アントニー・ビーヴァー
Gary Pallister,ガリー・パリスター
Richard Pankhurst,リチャード・パンクハースト
Paul W. S. Anderson,ポール・W・S・アンダーソン
Rory McIlroy,ローリー・マキロイ
Thelma Hopkins,セルマ・ホプキンズ
Elaine Morgan,エレイン・モーガン
Terry McDermott,テリー・マクダーモット
Terry Paine,テリー・ペイン
Ian Bryce,イアン・ブライス
Ford Madox Ford,フォード・マドックス・フォード
Kim McLagan,キム・ケリガン
Harold Abrahams,ハロルド・エイブラハムス
Neil Aspinall,ニール・アスピノール
Michael J. D. Powell,マイケル・J・D・パウエル
Jeff Clyne,ジェフ・クライン
Chas Chandler,チャス・チャンドラー
Geoffrey Burgon,ジェフリー・バーゴン
Samuel Clarke,サミュエル・クラーク
Ralph Richardson,ラルフ・リチャードソン
Wendy Barrie,ウェンディ・バリー
Alan Fersht,アラン・ファーシュト
Eva Bartok,エヴァ・バルトーク
Michael White,マイケル・ホワイト
Sid Castle,シド・カッスル
Marjorie Bowen,マーガレット・ガブリエル・ロング
Arthur Gore,アーサー・ゴア
Charles Kay Ogden,チャールズ・ケイ・オグデン
William McDougall,ウィリアム・マクドゥーガル
Trafford Leigh-Mallory,トラッフォード・リー＝マロリー
James Haskell,ジェームス・ハスケル
Marcus du Sautoy,マーカス・デュ・ソートイ
Paul Simonon,ポール・シムノン
Roy Axe,ロイ・アックス
Sharman Macdonald,シャーマン・マクドナルド
Joe Garner,ジョー・ガーナー
John Pope-Hennessy,ジョン・ポープ＝ヘネシー
Joyce Tyldesley,ジョイス・ティルディスレイ
Peter Pears,ピーター・ピアーズ
Henry Wood,ヘンリー・ウッド
Toyah Willcox,トーヤ・ウィルコックス
Brian Robertson,ブライアン・ロバートソン
Lord Nicholas Gordon-Lennox,ニコラス・ゴードン＝レノックス
James White,ジェームズ・ホワイト (作家)
Kerrea Gilbert,ケリー・ギルバート
Aelred of Rievaulx,エイルレッド・オブ・リーヴォール
James Whale,ジェイムズ・ホエール
Patrick Geddes,パトリック・ゲデス
Geoffrey Gilbert,ジェフリー・ギルバート
William Davenant,ウィリアム・ダヴェナント
Aly Bain,アリ・ベイン
Andrew Birkin,アンドルー・バーキン
Peter Checkland,ピーター・チェックランド
Brian Desmond Hurst,ブライン・デズモンド・ハースト
Patrick Hadley,パトリック・ハドリー
"Henry FitzRoy, 1st Duke of Grafton",ヘンリー・フィッツロイ
Will Stevens,ウィル・スティーブンス
Dudley E. Littlewood,ダッドリー・アーネスト・リトルウッド
Andrew Bird,アンドリュー・バード
Alyn Smith,アリン・スミス
Georgie Fame,ジョージィ・フェイム
Bob Anderson,ボブ・アンダーソン
Mitch Murray,ミッチ・マレイ
Gary McKinnon,ゲイリー・マッキノン
Celia Gregory,セリア・グレゴリー
Benita Hume,ベニータ・ヒューム
Jack Balmer,ジャック・バルマー
Jamie Harris,ジェイミー・ハリス
Gino Watkins,ジーノ・ワトキンス
Edward VIII,エドワード8世 (イギリス王)
Sarah Jane Smith,サラ・ジェーン・スミス
Jule Styne,ジューリー・スタイン
Jodie Whittaker,ジョディ・ウィテカー
Emma Chambers,エマ・チェンバーズ
Annie Scott Dill Maunder,アニー・ラッセル・モーンダー
Jason Connery,ジェイソン・コネリー
Siobhan Dowd,シヴォーン・ダウド
Roger Hodgson,ロジャー・ホジスン
Robert Alexander Rankin,ロバート・ランキン
Francis Sowerby Macaulay,マッカーレイ
Simon P. Norton,シモン・ノートン
Tony Kaye,トニー・ケイ
Peter Banks,ピーター・バンクス
Sharon Small,シャロン・スモール
Isobel Elsom,イソベル・エルソム
Dominic Howard,ドミニク・ハワード
Fay Compton,フェイ・コンプトン
Bruce Barrymore Halpenny,ブルース・バリモア・ハルペニー
Simon Jenkins,サイモン・ジェンキンス
Andrew Hodges,アンドルー・ハジス
Alison Hargreaves,アリソン・ハーグリーブス
Anjem Choudary,アンジェム・チャウダリー
Felicity Palmer,フェリシティ・パーマー
Katharine Merry,キャサリン・メリー
Nesta Helen Webster,ネスタ・ヘレン・ウェブスター
Hugh Hudson,ヒュー・ハドソン
Louise Jopling,ルイーズ・ジョプリング
Robert Clive,ロバート・クライヴ
Chris Maguire,クリス・マグワイア
Tony Oxley,トニー・オクスレイ
Lee Wallace,リー・ウォレス
"Davina Ingrams, 18th Baroness Darcy de Knayth",ダヴィナ・イングラムズ
Jai McDowall,ジャイ・マクドウォール
High Contrast,ハイ・コントラスト
Katharine Burdekin,キャサリン・バーデキン
Brian Labone,ブライアン・ラボーン
Terry Kilburn,テリー・キルバーン
Julian Stockwin,ジュリアン・ストックウィン
Simon Kernick,サイモン・カーニック
John Daly,ジョン・デイリー
Andrew Buchan,アンドリュー・バカン
John Hathaway,ジョン・ハザウェイ
Cosey Fanni Tutti,コージー・ファニ・トゥッティ
John Hartley,ジョン・ハートリー
Ruby Turner,ルビー・ターナー
Billy Snaddon,ビリー・スナッドン
Reginald Blomfield,レギナルド・ブロムフィールド
Shaun Perry,ショーン・ペリー
Anton Lesser,アントン・レッサー
Mara Yamauchi,マーラ・ヤマウチ
Arthur Tansley,アーサー・タンズリー
Dorothy de Rothschild,ドロシー・ド・ロスチャイルド
John Abbott,ジョン・アボット
Philip Ziegler,フィリップ・ジーグラー
Callum Davidson,カラム・デイヴィッドソン
Eric Stewart,エリック・スチュワート
Allan Guthrie,アラン・ガスリィ
Anton Dolin,アントン・ドーリン
Alister McGrath,アリスター・マクグラス
Xiaolu Guo,シャオルー・グォ
Jill Haworth,ジル・ハワース
Caroline Lavelle,キャロライン・ラベル
Stuart Hall,スチュアート・ホール
Frank Turner,フランク・ターナー
Gregory Clark,グレゴリー・クラーク
Albert Hammond,アルバート・ハモンド
Jimmy Bullard,ジミー・ブラード
William Bennett,ウィリアム・ベネット
Rory Lamont,ローリー・ラモント
Maureen Gardner,モーリン・ガードナー
Virginia Field,ヴァージニア・フィールド
Andrew Irvine,アンドリュー・アーヴィン
Phyllis Nicolson,フィリス・ニコルソン
Eric Woolfson,エリック・ウルフソン
Ruth Lawrence,ラス・ローレンス
Henry Cooper,ヘンリー・クーパー
George Stubbs,ジョージ・スタッブス
Jeannie Robertson,ジーニー・ロバートソン
Vera Brittain,ヴェラ・ブリテン
Irene von Meyendorff,イレーネ・フォン・マイエンドルフ
Andrew Eldritch,アンドルー・エルドリッチ
Thomas Elyot,トマス・エリオット (ユマニスト)
Andrew Casson,アンドリュー・キャッソン
Gareth Cooper,ガレス・クーパー
Vincent Regan,ヴィンセント・リーガン
Chris Coleman,クリス・コールマン
Jonathan Evans,ジョナサン・エヴァンズ (MI5長官)
"Andrew Davidson, 2nd Viscount Davidson",アンドリュー・デイヴィッドソン
A. David Thackeray,A・デヴィッド・サッカレー
Black,ブラック
Henadiy Boholyubov,ヘナジー・ボホリュボフ
Al Alvarez,アル・アルヴァリーズ
"Richard de Beauchamp, 13th Earl of Warwick",リチャード・ド・ビーチャム (第13代ウォリック伯)
Lou Gish,ルー・ギッシュ
Simon Napier-Bell,サイモン・ネイピア＝ベル
Marius de Vries,マリウス・デ・ヴリーズ
Ernest Howard Shepard,E・H・シェパード
Henry Victor,ヘンリー・ヴィクター
Steve-O,スティーヴォー
Julian Opie,ジュリアン・オピー
Charlotte Hatherley,シャーロット・ハザレイ
Antony Flew,アントニー・フリュー
Orde Wingate,オード・ウィンゲート
Andrew Davies,アンドリュー・デイヴィス
Peter Burke,ピーター・バーク
Gordon Haskell,ゴードン・ハスケル
Richard Thompson,リチャード・トンプソン (音楽家)
Scilla Elworthy,シーラ・エルワージー
Wilfrid Hodges,ウィルフリッド・ホッジス
Trevor Wooley,トレヴォール・ウーレイ
Emily Perry,エミリー・ペリー
Elisabeth Lutyens,エリザベス・ラッチェンス
Dorothy Manley,ドロシー・マンリー
Tessie O'Shea,テシー・オシェア
Conel Hugh O'Donel Alexander,コーネル・ヒュー・オドネル・アレグザンダー
Nikolas Rose,ニコラス・ローズ
Stephen Morris,スティーヴン・モリス
Douglas Hartree,ダグラス・ハートリー
Michael Anderson,マイケル・アンダーソン
Donald Winnicott,ドナルド・ウィニコット
Nik Gowing,ニック・ゴーイング
Andrew Duff,アンドリュー・ダフ
Apache Indian,アパッチ・インディアン
Alfred Edward Woodley Mason,A・E・W・メイソン
David Olive,デイヴィッド・オリーヴ
John Nunn,ジョン・ナン
Oliver Onions,ジョージ・オリバー・オニオンズ
Simon Bird,サイモン・バード
Snowy White,スノウィー・ホワイト
Lilian Bond,リリアン・ボンド
Andrew Cruickshank,アンドリュー・クルークシャンク
Andrew Claude de la Cherois Crommelin,アンドリュー・クロンメリン
Andrew Dalby,アンドリュー・ドルビー
William Faversham,ウィリアム・フェイヴァシャム
"Richard Beeching, Baron Beeching",リチャード・ビーチング博士 (Dr.Richard Beeching)
William Frederick Denning,ウィリアム・デニング
Greg Owen,グレッグ・オーウェン
Neil Jackson,ニール・ジャクソン
Lianne La Havas,リアン・ラ・ハヴァス
Alison Balsom,アリソン・バルサム
Matthew Carter,マシュー・カーター
Simon Mayo,サイモン・メイヨー
John Berger,ジョン・バージャー
John Greaves,ジョン・グリーヴス
Andrew Lawson,アンドリュー・ローソン
Dave Stewart,デイヴ・スチュワート
Nigel Glendinning,ナイジェル・グレンディニング
Tom Walkinshaw,トム・ウォーキンショー
Wilfred Thesiger,ウィルフレッド・セシジャー
Guy Smith,ガイ・スミス
Andrew Keir,アンドリュー・キア
Ralph Alger Bagnold,ラルフ・アルジャー・バグノルド
William Gaminara,ウィリアム・ガミナラ
David Glass,デイヴィッド・グラス (社会学者)
Jonas Poole,ジョナス・プール
Len Shackleton,レン・シャクルトン
Frank Wild,フランク・ワイルド
Cyril Frankel,シリル・フランケル
Guy Martin,ガイ・マーティン
Paul Burrell,ポール・バレル
"Alan, 1st Earl of Richmond",初代リッシュモン伯アラン
"John Spencer, 8th Earl Spencer",エドワード・スペンサー (第8代スペンサー伯爵)
Kenneth Binmore,ケン・ビンモア
Keith Moffatt,キース・モファット
Andrew Cohen,アンドリュー・コーヘン
The Ready Set,ザ・レディ・セット
Peter Woodward,ピーター・ウッドワード
Rodney Heath,ロドニー・ヒース
Hugh Johnson,ヒュー・ジョンソン
David Lodge,デイヴィッド・ロッジ (俳優)
Hereward Carrington,ヘレワード・キャリントン
Richard Stearman,リチャード・ステアマン
Lancelot Ware,ランス・ウェア
Ken Aston,ケネス・アストン
Grace Chisholm Young,グレース・チザム・ヤング
Stephen Maguire,スティーブン・マグワイア
Gerry Anderson,ジェリー・アンダーソン
Sidney Herbert Ray,シドニー・ハーバート・レイ
R. G. D. Allen,R. G. D. アレン
Leigh Bromby,リー・ブロンビー
Peter Crane,ピーター・クレイン
Alan Garner,アラン・ガーナー
Stanley Morison,スタンリー・モリスン
Richard Titmuss,リチャード・ティトマス
Martin Peters,マーティン・ピータース
Andy Holmes,アンディ・ホームズ
Topper Headon,トッパー・ヒードン
Harry Golombek,ハリー・ゴロンベック
Michael Foale,マイケル・フォール
Robin Hill,ロビン・ヒル
Clive Sullivan,クライヴ・サリヴァン
Mary Cartwright,メアリー・カートライト
Marc Almond,マーク・アーモンド
James O. Fraser,ジェームズ・アウトラム・フレイザー
Robert Powell,ロバート・パウエル
Herbert Baker,ハーバート・ベイカー
Christopher Fairbank,クリストファー・フェアバンク
Coky Giedroyc,コーキー・ギェドロイツ
Elinor Dashwood,エレノア・ダッシュウッド
Joel Hopkins,ジョエル・ホプキンズ
Dave Holland,デイヴ・ホランド
Len Deighton,レン・デイトン
Beryl Cook,ベリル・クック
Michael Fortescue,マイケル・ホーテスキュー
Arthur Machen,アーサー・マッケン
Tom Wheatcroft,トム・ウィートクロフト
Theo Travis,セオ・トラヴィス
Gabrielle Drake,ガブリエル・ドレイク
Amanda Burton,アマンダ・バートン
Danny MacAskill,ダニー・マッカスキル
Peter Blake,ピーター・ブレイク
Chris Cohen,クリス・コーエン
William Collum,ウィリー・コルム
Kate Adie,ケイト・エイディ
Cecil Street,ジョン・ロード (小説家)
Gertrude Jekyll,ガートルード・ジーキル
William Willcocks,ウィリアム・ウィルコックス
Herbert Akroyd Stuart,ハーバート・アクロイド＝スチュアート
Idries Shah,イドリース・シャー
"Wavell Wakefield, 1st Baron Wakefield of Kendal",ウェーヴェル・ウェークフィールド (初代ケンダルのウェークフィールド男爵)
Vince Hayes,ヴィンス・ヘイズ
Noddy Holder,ノディ・ホルダー
Maggie Bell,マギー・ベル
Ian Callaghan,イアン・キャラハン
Dexter Fletcher,デクスター・フレッチャー
Dario Franchitti,ダリオ・フランキッティ
Iain Softley,イアン・ソフトリー
Greg Wise,グレッグ・ワイズ
Jonathan Kennard,ジョナサン・ケナード
Piers Sellers,ピアーズ・セラーズ
Winston Graham,ウィンストン・グレアム
Antonia Campbell-Hughes,アントニア・キャンベル＝ヒューズ
Michael Frayn,マイケル・フレイン
Andrew Granville,アンドリュー・グランヴィル
Henry Jackson,サー・ヘンリー・ジャクソン
Dennis Taylor,デニス・テイラー
John Taylor,ジョン・テイラー
Andrew-Lee Potts,アンドリュー・リー・ポッツ
Kenneth E. Boulding,ケネス・E・ボールディング
Andrew Johns,アンドリュー・ジョンズ
Tom Kirkwood,トム・カークウッド
Andrew Lintott,A. リントット
David S. Hall,デヴィッド・ホール
Judy Grinham,ジュディー・グリナム
Michael G. Coney,マイクル・コニイ
Davey Boy Smith,デイビーボーイ・スミス
Colin Bell,コリン・ベル
Jordan Scott,ジョーダン・スコット
Anthony Phillips,アンソニー・フィリップス
Julian Bream,ジュリアン・ブリーム
John Robinson,ジョン・ロビンソン
Sidney Gilliat,シドニー・ギリアット
Hugh Stott Taylor,ヒュー・テイラー
Mantovani,マントヴァーニー
Peter Murphy,ピーター・マーフィー
Thomas Mun,トーマス・マン
Lucy Walker,ルーシー・ウォーカー
Bruno Pontecorvo,ブルーノ・ポンテコルヴォ
Lytton Strachey,リットン・ストレイチー
John Collier,ジョン・コリア
