Alexandra Stan,アレクサンドラ・スタン
Donca Steriade,ドンカ・ステリアーデ
Mihai Bobocica,ミハイ・ボボチーカ
Ilinca Goia,イリンカ・ゴヤ
Francisc Cocoș,フランチスク・ココシュ
Darius Bogdan Vâlcov,ダリウス・ヴァルコフ
Marta Trancu-Rainer,マルタ・レイナー
Ioan-Aurel Pop,ヨアン・アウレル・ポップ
Mihai Gruia Sandu,サンダミハイグルイア
Mihai Constantinescu,ミハイ・コンスタンティネスク
Ioan Dem. Dimăncescu,イオアン・ディマネスク
Ioan Moța,ヤン・モタ
Doina Aldea Teodorovici,ドイナ・アルデア・テオドロヴィチ
Mihai Petre,ミハイ・ペトレ
Mihai Tudose,ミハイ・トゥドセ
Guccifer,グッチファー
Alexandru Papadopol,アレクサンドル・パパドポル
Mircea Basarab,ミルチャ・バサラブ
Sorin Vieru,ソリン・ヴィエル
Alexandru Tomescu,アレクサンドル・トメスコウ
Minodora,ミノドーラ
Mitzura Arghezi,ミツラ・アルゲジ
Ion Monoran,イオン・モノラン
Ioan Niculae,ヨアン・ニクラエ
Ovidiu Savin,オヴィディウ・サヴィン
Bogdan Dumitrache,ボグダン・ドゥミトラケ
Mircea Teodor Mureșan,ミルチャ・ムレサン
Erlend Krauser,エルレンド・クラウザー
Emil Lassaria,エミール・ラッサリア
Ion Traian Ștefănescu,イオン・トライアン・ステファネスク
Nae Caranfil,ナー・カランフィル
Simona Pop,シモナ・ポップ
Amna,アムナ
Tudor Caranfil,チューダー・カランフィル
Natașa Raab,ナターシャ・ラーブ
Traian Bratu,トライアン・ブラトゥ
Aurora Cornu,オーロラ・コルニュ
Nelu Ploieșteanu,ネル・プロイエスタエヌ
Adrian Alin Demeter,ウッツィ
István Kovács,イシュトヴァーン・コヴァーチ
Isidor Sârbu,イシドール・サルブ
Valentin Cojocaru,ヴァレンティン・コジョカル
Iulian Mincu,ユリアン・ミンク
Nicolae Dabija,ニコラエ・ダビバ
Valeria Seciu,ヴァレリア・セシウ
Iustin Marchiș,ユスティン・マルキシュ
Eugen Chebac,エウゼン・チェバック
Daniel Buzdugan,ダニエル・ブズゥガン
Nicolae Malaxa,ニコラエ・マラクサ
Marius Stan,マリウス・スタン
Andrian Candu,アンドリアン・カンドゥ
Cătălin Carp,カタリン・カルプ
Lia Olguța Vasilescu,リア・オルグツァ・バシレスク
Mihnea Constantinescu,ミフネア・コンスタンティネスク
Andrei Rădoi,アンドレイ・ラドイ
Florin Surugiu,フロリン・スルジュ
Cornelia Catangă,コルネリア・カタンガ
Octavian Fodor,フォドル・オクタヴィアン
Valentin Popârlan,バレンティン・ポパルラン
Ionuț Ursu,ヨヌツ・ウルス
Victor Socaciu,ビクター・ソカシウ
Anca Damian,アンカ・ダミアン
Paul Bujor,ポール・ビュジョール
Alexandru Mitriță,アレクサンドル・ミトリツァ
Poliana Cristescu,ポリアナ・クリステスク
Constantin Pristăvița,コンスタンティン・プリスタヴィツァ
Mihai Roman,ロマン
Tudorița Chidu,ツドリタ・キドウ
Ionuț Dumitru,イオヌツ・デュミトゥル
Sorin Dumitrescu,ソーリン・ドミトレスク
Adrian Fochi,アドリアン・フォキ
George Pușcaș,ジェオルジェ・プシュカシュ
Bernadette Szőcs,ベルナデッテ・スッチ
Cătălin Ilea,カタリン・イレア
Eugen Simion,エウゼン・シミオン
Bogdan Stanoevici,ボグダン・スタノエヴィッチ
Șerban Pavlu,サーバン・パブルー
Șerban Marinescu,セルバン・マリネスク
Radu Mironovici,ラドゥ・ミロノヴィッチ
Ionel Tudorache,イオネル・トゥドゥラチェ
Theodor Munteanu,テオドール・ムンテアヌ
Beatrice Huștiu,ベアトリス・フスティウ
Aristide Teică,アリスティド・テイカ
Ștefan Hepites,シュテファン・ヘピテス
Ion Țurai,イオン・ジュライ
Anamaria Prodan,アナマリア・プロダン
Mihai Ungheanu,ミハイ・ウンゲアヌ
Richard Franasovici,リチャード・フランソヴィチ
Eduard-Michael Grosu,エドワード・グロス
George Homoștean,ジョルジェ・ホモシュタン
Remus Kofler,レムス・コフレー
Gheorghe Vlăduțescu,ゲオルゲ・ヴラドゥシェスク
Carmen Galin,カルメン・ガリン
Ionuț Nedelcearu,ヨヌツ・ネデルチャル
Răzvan Rădulescu,ラズヴァン・ラドゥレスク
Mirela Oprișor,ミレーラ・オプリショル
Oana Orlea,オアナ・オルレア
Olimpia Melinte,オリンピア・メリンテ
Maria Ploae,マリア・フロエ
Carmen Iohannis,カルメン・ヨハニス
Gabriel Marinescu,ガブリエル・マリネスク
Sandu Borș,サンドゥ・ルチアン・ボルシュ
Nicușor Bancu,バンク
Andreea Iridon,アンドレエア・イリドン
Andrei Ivan,アンドレイ・イヴァン
Dorin Recean,ドリン・レチャン
Mirela Zeța,ミレラ・ゼッタ
Emil Simon,エミル・シモン
Gabriela Firea,ガブリエラ・フィーラ
Irina Margareta Nistor,イリーナ・マルガレータ・ニストル
Albert Kitzl,アルバート・キツル
Tudorel Toader,トゥドレル・トアデール
Dana Rogoz,ダナ・ロゴズ
Florentina-Cristina Petre,フローレンティーナ・ペトル
Andreea Ispas,アンドレエア・イスパス
Sorin Grindeanu,ソリン・グリンデアヌ
Dragoș Nedelcu,ドラゴシュ・ネデルク
Anca Ionescu,アンカ・イオネスク
Theodor Codreanu,テオドール・コドレアヌ
Julia Sauter,ユリア・ザウター
Mircea Mureșan,ミルチャ・ムレサン
Ianis Hagi,ヤニス・ハジ
Tudor Pamfile,トゥドル・パムフィレ
Valeriu Graur,ヴァレリュー・グラウル
Sergiu Luca,セルジウ・ルカ
Patricia Maria Țig,パトリチア・マリア・ツィグ
Alexander Nanau,アレクサンダー・ナナウ
Cristian Manea,クリスティアン・マネア
Eugen Dijmărescu,ユージェン・ディジュマレスコ
Nicolae Mătcaș,ニコラエ・マトカシュ
Ilie Sârbu,イリエ・スルブ
Robert Cătălin Dascălu,ロベルト・ダスカル
Florin Tănase,タナセ
Levente Molnár,モルナール・レヴェンテ
Anita Nagy,アニタ・ナジ
Francisc Iosif Rainer,フランチェスク・レイナー
Constantin Papp,コンスタンティン・パップ
Svetozar Popović,スヴェトザル・ポポヴィッチ
Niță Cireașă,ニツァ・チレアシャ
Otar Turașvili,オタル・トゥラシビリ
Răzvan Marin,ラズヴァン・マリン
Lia Bugnar,リア・バニャー
Mihai Ralea,ミハイ・ラレア
Ana Ularu,アナ・ウラル
Dorian Popa,ドリアン・ポパ
Andreea Aanei,アンドレエア・アアネイ
Florin Zamfirescu,フロリン・ザムフィレスク
Vasile Bolea,ヴァシレ・ボレア
Maia Sandu,マイア・サンドゥ
Constantin Niculae,コンスタンティン・ニクラエ
Tudor Cristian Jurgiu,トゥドール・クリスチャン・ジュルギウ
Iulian Chifu,イウリアン・チフ
Michael Horodniceanu,マイケル・ホロドニチアヌ
Erwin Stoff,アーウィン・ストフ
Giulia Nahmany,ジュリア・ナハマニー
Ionuț Silaghi de Oaș,Ionuț Silaghi de Oaș
Grigore Leșe,グリゴア・レシェ
Florin Ioniță,フロリン・イオニタ
Johannes van Heerden,ヨハネス・ファンヒアデン
Camelia Ceasar,カメリア・シーザー
Constantin Doncea,コンスタンティン・ドンチャ
Mihail Ghelmegeanu,ミハイル・ゲルメギェアヌ
Irina Bara,イリナ・バラ
Jean de la Craiova,ジャン・デ・ラ・クライオバ
Astrid Fodor,アストリド・フォドル
Doina Bumbea,ドイナ・ブンベア
Sorin Cîmpeanu,ソリン・クンペアーヌ
Marius Antonescu,マリウス・アントネスク
Andrei Ursache,アンドレイ・ウルサケ
Viorel Lucaci,ビオレル・ルカチ
Vlad Nistor (sportiv),ブラッド・ニストル
Nick Stuart,ニック・スチュアート
Vlad Dragomir,ヴラド・ドラゴミール
Marius Nichiteanu,マリウス・ニシテーネ
Charles-Adolphe Cantacuzène,シャルル・アドルフ・カンタキュゼーヌ
Nicușor Fota,ニクショル・フォタ
Lica Gheorghiu,リカ・ゲオルギウ
Yusuf Isa Halim,ユスフ・イサ・ハリム
Marcel Ciolacu,マルチェル・チョラク
Didier Nunes,ディディ・ヌネス
Florin Andone,フロリン・アンドネ
Eugen Teodorovici,エウゼン・テオドロヴィチ
Ștefania Mărăcineanu,シュテファニア・マラチネヌ
Tudorel Bratu,トゥドレル・ブラトゥ
Sabin Strătilă,サビン・ストラティラ
Andreea D,アンドレエア・D
Matei Balș,マテイ・バルシュ
Daniel Natea,ダニエル・ナテア
Liviu Voinea,リヴィウ・ヴォイネア
Silviu Purcărete,シルヴィウ・プルカレーテ
Raul Palmeș,ラウル・パルメシュ
Cristiana Pașca-Palmer,クリスティアナ・パスカ・パルマ―
Olguța Berbec,オルグタ・ベルベック
Andreea Adespii Molnar,アンドレエア・アデスピイ
Bogdan Aurescu,ボグダン・アウレスク
Magda Puskas,マグダ・プシュカシュ
Alla Dolință,アラ・ドリンツァ
Corneliu Furculiță,コルネリウ・フォルクリツァ
Adrian Lebedinschi,アドリアン・レベディンシュ
Ghenadi Mitriuc,ゲナディ・ミトリウク
Radu Mudreac,ラドゥ・マドラック
Ioan Negrei,イオアン・ネグレイ
Ioan Crișan,イオアン・クリシャン
Cosmin Bîrnoi,コスミン・ブルノイ
Alexandru Ciorbă,サンドゥ・チョルバ
Marcela Topor,マルセラ・トポル
Răzvan Horj,ラズヴァン・ホルジ
Petru Florescu,ペトル・フロレスク
Teodor Coste,テオドル・コステ
Bianca Andreescu,ビアンカ・アンドレースク
Mariana Șora,マリアナ・ショラ
Vlad Voiculescu,ヴラド・ヴォイクレスク
Anca Pop,アンカ・ポップ
Radu Vâlcan,ラドゥ・ヴァルカン
Benonie Ștefan,ベノニエ・シュテファン
Laurențiu Popescu,ラウレンツィウ・ポペスク
Denisa Golgotă,デニサ・ゴルゴタ
Dennis Man,デニス・マン
Cristian Albu,アレクサンドル・アルブ
Florinel Coman,フロリネル・コマン
Alin Ignea,アリン・イグネア
Ioan Botez,ヨアン・ヤンク・ボテズ
Ionuț Andrei Radu,ヨヌーツ・ラドゥ
Gheorghe Fazekaș,ジョルジ・ファゼカス
Ionel Badiu,イオネル・バディウ
Alin Dudea,アリン・ドゥデア
Marian Târșă,マリアン・トゥルシャ
Andrei Burcă,アンドレイ・ブルカ
Valeriu-Nicolae Filipiac,ヴァレリウ＝ニコラエ・フィリピアック
Marius Ungureanu,マリウス・ウングレアーヌ
Iuliana Popa,イウリアナ・ポパ
Marcel Pigulea,マルセル・ピグレア
Anton Tauf,アントン・タウフ
Nicolae Panța,ニコラエ・パンツァ
Tudor Băluță,トゥドゥール・バルツァ
Alexandru Cicâldău,アレクサンドル・チクルダウ
Mihaela Irina Dorlan,ミハエラ・ドルラン
Jovan Marković,ヨヴァン・マルコヴィッチ
Răzvan Oaidă,オイダ
Răzvan Trif,ラズヴァン・トリフ
Diana Cavallioti,ダイアナ・カヴァリオティ
Mihai Fifor,ミハイ・フィフォル
Ion Cucu,ヨン・クク
Marian Stoenac,マリアン・ストエナク
Alexandru Stoica,アレクサンドル・ユリアン・ストイカ
Andreea Chira,アンドレエア・キーラ
Gheorghe Chira,ゲオルゲ・キーラ
Radu Petrescu,ラドゥ・ペトレスク
Florian Munteanu,フロリアン・ムンテアヌ
Iulian Carabela,ユリアン・カラベラ
Tiberiu Lung,ティベリウ・ルング
Stelian-Cristian Ion,ステリアン・イオン
Cristian Măcelaru,クリスティアン・マチェラル
Andrei Finți,アンドレイ・フィンツィ
Francisc Dobrai,フランチスク・ドブライ
Florin Cîțu,フロリン・クツ
Dumitru Enescu,エネスク・ドゥミトゥル
Aida Moga,アイダ・モガ
Feli Donose,フェリ・ドノセ
Tudor Boldor,チューダー・ボルドール
Alex Dobre,アレックス・ドブレ
Denis Drăguș,デニス・ドラグシュ
Maria Nistor,マリア・スラティナル＝ニストゥール
Oltin Hurezeanu,オルティン・フレゼアヌ
Dan Barna,ダン・バルナ
Paul Stănescu,ポール・スタネスク
Lucian Ion,ルチアン・イオン
Rada Mihalcea,ラダ・ミハルセア
Ianis Stoica,ヤニス・ストイカ
Paul Antoche,パウル・アントケ
Aurel Pădureanu,オーレル・パドゥレアヌ
Ștefan Târnovanu,シュテファン・タルノヴァヌ
Alina Berzunțeanu,アリーナ・ベルズンシェアヌ
Ilinca Hărnuț,イリンカ・ハーナット
Ingrid Bisu,イングリット・ビス
Eneli,エネリ
Irina Rimes,イリナ・リメス
Petre Bejan,ペトレ・ベジャン
Cristian Balgiu,クリスティアン・バルジュ
Neculai Predica,ネキュライ・プレディカ
Ghiță Popp,ギツァ・ポップ
Ilinca Băcilă,イリンカ・バチラ
Alexandru Pașcanu,アレックス・パシュカヌ
Alec Secăreanu,アレック・セカレアヌ
Dana Bunescu,ダナ・ブネスク
Radu Boboc,ラドゥ・ボボク
Olimpiu Moruțan,オリンピウ・モルタン
Florin Borța,フロリン・ボルツァ
Ada Solomon,アダ・ソロモン
Alexandru Cîrneală,アレクサンドル・シルネアラ
Constantin Fugașin,コンスタンティン・フガシン
Nathan Ross Margold,ネイサン・ロス・マーゴールド
Claudiu Petrila,クラウディウ・ペトリラ
Ionuț Biceanu,ヨヌツ・ビチェアヌ
Nicolae Ciucă,ニコラエ・チウカ
Alex Florea,アレックス・フローラ
Valentin Mihăilă,ヴァレンティン・ミハイラ
Ester Peony,エスター・ピオニー
Bogdan Chipirliu,ボグダン・チピルリウ
Anton Tauf,アントン・タウフ
Marius Panduru,マリウス・パンドゥル
Karim Adeyemi,カリム・アデイェミ
Cornel Feruță,コルネル・フェルータ
Alexandru Costache,アレクサンドル・コスタケ
Luis Nițu,ルイス・ニツ
Romeo Adrian Niță,ロメオ・ニツァ
Ion Chicu,イオン・チク
Silvia Bădescu,シルビア・バデスク
Claudiu Pamfile,クラウディウ・パムフィレ
Tania Popa,タニア・ポパ
Anca Dumitra,アンカ・ドゥミトラ
Anghel Damian,アンゲル・ダミアン
Ovidiu Horșia,オヴィディウ・ホルシア
Levent Sali,レベント・サリ
Cristian Dumitru,ドゥミトル
Robert Ion,ロベルト・イオン
Corneliu Ulici,コーネリウ・ウリチ
Sorin Brotnei,ソリン・ブロトニー
Toma Niga,トマ・ニガ
Francisc Papp,フランチスク・パップ
Mihai Velisar,ミハイ・ヴェリサル
Paula P’Cay,パウラ・ペーカイ
Andrei Rațiu,アンドレイ・ラティウ
Elisabeta Karina de Roumanie-Medforth-Mills,カリーナ・メドフォース＝ミルズ
Cristian Terheș,クリスティアン・テルヘシュ
Ramona Barta,ラモーナ・バルター
Adrian Zaluschi,アドリアン・ザルスキ
Maria Fotino,マリア・フォティノ
Nora Steriadi,ノラ・ステリアディ
Gabriel Croitoru,ガブリエル・クロイトル
Adina Pintilie,アディナ・ピンティリエ
Marius Leca,マリウス・レカ
Sorin Medeleni,ソリン・メデレニ
Claudiu Trandafir,クラウディウ・トランダフィール
Rareș Lazăr,レアシュ・ラザール
Sabrina Ionescu,サブリナ・イオネスク
Luminița-Teodora Odobescu,ルミニタ・オドベスク
Ilie Poenaru,イリエ・ポエナル
David Raul Miculescu,ダヴィド・ミクレスク
Dragoș Penescu,ドラゴシュ・ペネスク
Horațiu Moldovan,ホラツィウ・モルドヴァン
Francisc Cristea,フランシスク・クリステア
români,ルーマニア人
Dumitru Comănescu,ドミトル・コマネスク
Constantin Iancovescu,コンスタンティン・イアンコヴェスク
Andrei Cordea,アンドレイ・コルデア
Bogdan Jica,ボグダン・ジカ
Constantin Radu,コンスタンティン・ラドゥ
Octavian-George Popescu,オクタヴィアン・ポペスク (2002年生のサッカー選手)
Alexandru Pantea,アレクサンドル・パンテア
Radu Drăgușin,ラドゥ・ドラグシン
Ioanel Sinescu,イオアネル・シネスク
Mihai Udrea,ミハイ・ウドレア
Marian Adochiței,マリアン・アドチシェイ
Ionuț Mitran,ヨヌツ・ミトラン
Attila Deák,アティッラ・ディーク
Mihai Popa,ミハイ・ポパ
Alin Fică,アリン・フィカ
Alexandru Iulian Zaharia,アレクサンドル・ザハリア
Andrei Istrate,アンドレイ・イストラテ
Răzvan Matiș,ラズヴァン・マティシュ
Petre Gagea-Neaga,ペトレ・ガージャ＝ナーガ
Alin Panc,アリン・パンチ
Cătălin Itu,カタリン・イトゥ
Sergiu Costache,セルジュ・コスターケ
Laurențiu Ardelean,ラウレンツィウ・アルデレアン
Florin Birta,フロリン・ビルタ
Adrian Lustig,アドリアン・ラスティグ
Emanuela Ionica,エマヌエラ・イオニカ
Manuela Ciucur,マヌエラ・シウクル
Eduard Crăciun,Eduard Crăciun
Natalia Gavrilița,ナタリア・ガブリリツァ
Maria Junghetu,マリア・ユングヘトゥ
Theo Rose,テオ・ローズ
George Ulmeni,ジョージ・ウルメニ
Dorina Done,ドリナ・ドーン
Cezara Curmei,Cezara Curmei
Mihai Mag,ミハイ・マグ
Alcina Dimitrescu,オルチーナ・ドミトレスク
Filip Ugran,フィリップ・ウグラン
Olivia Nita,オリビア・ニタ
Igor Grosu,イゴル・グロス
Costin Cambir,コスティン・キャンバー
Monica Odagiu,モニカ・オダギウ
Răzvan Onea,ラズヴァン・オネア
Ioana Mihăilă,イワナ・ミハイラ
Mihaela Nestorescu,ミハエラ・ネストレスク
Tzancă Uraganu,ツァンカ・ウラガヌ
Marcello Cobzarju,マルセル・コブザリウ
Olga Verbitchi,オルガ・ヴェルビッチ
David Popovici,ダビド・ポポビッチ
Aarne,アアルネ
Lucian Ghimiși,ルシアン・ギミシ
Petre Cănciulescu,ペトレ・カンチュレスク
Karl Heisenberg,カール・ハイゼンベルク
The Duke,デューク
Cristian Comeagă,クリスチャン・コマガ
Andia,アンディア
Patricia Poienaru,パトリシア・ポイナール
Claudiu Mitcu,クラウディウ・ミク
Tudor Smoleanu,チュードル・スモレヌ
Dorin C. Zachei,ドリン・C・ザケイ
Conrad Mihai Mericoffer,コンラッド・メリコファー
Nicu Mihoc,ニク・ミホック
Emil Măndănac,エミル・マンダナック
Enes Sali,エネス・サリ
Adelina Pestritu,アデリナ・ペストリトゥ
Alexandra Poiana,アレクサンドラ・ポイアナ
Cătălin Preda,カタリン・プレダ
Emaa,エマー
Mario Fresh,マリオ・フレッシュ
Maruca Băiașu,マルカ・バイアシュ
Alecs Năstoiu,アレックス・ナストイウ
Andreea Grămoșteanu,アンドレア・グラモステアヌ
Dragoș Nicolae Mădăraș,ドラゴシュ・ニコラエ・マダラシュ
Ana Baniciu,アナ・バニシウ
Vescan,ベスカン
Marian Ciripan,マリアン・シリパン
Ana Odagiu,アナ・オダギウ
Cătălin Jugravu,カタリン・ジュグラブ
Irina Saulescu,イリーナ・サウレスク
