Portugal,ポルトガル
Condestável de Portugal,ポルトガル軍総司令官
Casa do Sport Lisboa e Benfica em Macau,SLベンフィカ・エン・マカオ
Ponta de Sagres,サグレス岬
Saint Julian's School,聖ジュリアン学校
Benafim,ベナフィン
berrão,ベラコ
Rio Vascão,ヴァスカン川
Copa do Mundo FIFA de Futebol de Areia de 2015,2015 FIFAビーチサッカーワールドカップ
Arquivo.pt,ポルトガル・ウェブアーカイブ
Fundação para a Ciência e a Tecnologia,ポルトガル政府科学技術機構
Grupo Desportivo de Joane,GDジョアネ
Futebol Clube Tirsense,FCティルセンセ
Sound of Kuduro,サウンド・オブ・クドゥル
Sousel,ソウゼル
Santuário de Nossa Senhora da Conceição do Sameiro,サメイロの聖母の聖地
Serra de Montejunto,モンテジュント山
Serra de Santa Bárbara,セッラ・デ・サンタバルバラ山
Parque Natural da Serra de São Mamede,サン・マメーデ山地自然公園
Grande Prémio de Portugal de 1991,1991年ポルトガルグランプリ
Grande Prémio de Portugal de 1992,1992年ポルトガルグランプリ
Grande Prémio de Portugal de 1986,1986年ポルトガルグランプリ
Grande Prémio de Portugal de 1987,1987年ポルトガルグランプリ
Grande Prémio de Portugal de 1988,1988年ポルトガルグランプリ
Grande Prémio de Portugal de 1990,1990年ポルトガルグランプリ
Ministro dos Negócios Estrangeiros,外務大臣
Sporting Clube Lourinhanense,SCロウリニャネンセ
Museu dos Cordofones,弦楽器博物館
Estação Ferroviária do Lavradio,ラブラディオ
Venezuelanos,ベネズエラ人
Cortes Gerais e Extraordinárias da Nação Portuguesa,1820年ポルトガル制憲議会
Cartaz (licença),カルタス
Ministério da Administração Interna,ポルトガル内務省
Igreja de Santo António de Lisboa,サント・アントニオ・デ・リシュボア教会
Clube Desportivo Pinhalnovense,CDピニャルノヴェンセ
Clube Desportivo Montijo,CDモンティージョ
Clube Operário Desportivo,CDオペラリオ
Asas de Portugal,アサス・ド・ポルトガル
Crise financeira em Portugal de 2010–Presente,2010年〜2013年ポルトガル金融危機
Barragem de Alqueva,アルケヴァ・ダム
Fortaleza de São João Baptista,サン・ジョアン・バティスタ要塞
Sinagoga de Tomar,トマール・シナゴーグ
Reserva Natural do Estuário do Tejo,テージョ川河口自然保護区
Tapada Nacional de Mafra,マフラの王家の建物‐宮殿、バシリカ、修道院、セルク庭園、狩猟公園（タパダ）
Restaurante Tavares,タヴァレス
Taça de Portugal Feminina,タサ・デ・ポルトガル・フェミニーナ
Igreja de Santa Maria,サンタ・マリア教会
Igreja de São Julião de Setúbal,サン・ジュリアン教会 (セトゥーバル)
Transportes na Madeira,マデイラ諸島の交通
União de Tomar,ウニオン・トマール
"Igreja do antigo Mosteiro de Jesus e claustro, incluindo a primitiva Casa do Capítulo",イエスの教会 (セトゥーバル)
Integralismo Lusitano,ポルトガル統合主義運動
Voo Martinair 495,マーティンエアー495便着陸失敗事故
Palácio de Monserrate,モンセラーテ宮殿
Pico da Vara,バラ山
Adidas Roteiro,ロテイロ
Horário de verão em Portugal,ポルトガル時間
Túmulo do Soldado Desconhecido (Portugal),無名戦士の墓
Museu Coleção Berardo,ベラルド現代近代美術館
Funicular dos Guindais,ポルト・ケーブルカー
Equipa da Superleague Fórmula do Futebol Clube do Porto,FCポルト
Sinagoga Shaaré Tikva,リスボン・シナゴーグ
Mesquita Central de Lisboa,リスボン・モスク
Grupo Desportivo Direito,GDディレイト
Grupo Desportivo Nazarenos,GDナザレノス
Estádio da Luz,エスタディオ・ダ・ルス
Universidade Lusófona de Humanidades e Tecnologias,ルゾフォナ大学
Biblioteca Geral da Universidade de Coimbra,コインブラ大学総合図書館
Santiago,サンティアゴ
Azores Airlines,SATAインターナショナル
Embaixada da Ucrânia em Lisboa,在ポルトガル・ウクライナ大使館
Ilhéu da Praia,プライア島
Estação Ferroviária de Pampilhosa,パンピリョーザ駅
Monarquia do Norte,北部王国
Igreja da Graça (Santarém),グラサ教会
Inspeção-Geral das Atividades Culturais,文化活動監察機構
lista de embaixadores da Rússia em Portugal,在ポルトガルロシア大使
desporto em Portugal,ポルトガルのスポーツ
Pousadas de Portugal,ポルトガルのポザーダ一覧
eleições presidenciais portuguesas de 1980,1980年ポルトガル共和国大統領選挙
Formação Lourinhã,ロウリニャン層
Forte de São João Baptista das Berlengas,サン・ジョアン・バプティスタ・ダス・ベルレンガス要塞
EuroVelo 1 - Rota da Costa Atlântica,ユーロヴェロ1
FC Porto versus Sporting CP,FCポルトとスポルティングCPのライバル関係
eleições parlamentares europeias de 1994 em Portugal,1994年欧州議会議員選挙
eleições presidenciais portuguesas de 1996,1996年ポルトガル共和国大統領選挙
Penhas da Saúde,ペーニャス・ダ・サウーデ
Imortal DC,イモルタルDC
distrito de Portugal,ポルトガルの県
Parque Natural da Arrábida,アラビーダ自然公園
Fundação Calouste Gulbenkian,カルースト・グルベンキアン財団
Estádio José Alvalade (1956),エスタディオ・ジョゼ・アルヴァラーデ
eleições para a Assembleia Constituinte Portuguesa de 1975,1975年ポルトガル議会選挙
Motim 1-2-3,一二・三事件
Mister Mundo 2007,ミスター・ワールド2007
Cerco do Porto,ポルトで包囲
Lei de Portugal,ポルトガルの法
Associação de Futebol de Viana do Castelo,AFヴィアナ・ド・カステロ・プリメイラ・ディヴィゾン
Apeadeiro do Penteado,ペンテアド
Copa Europeia/Sul-Americana de 2004,インターコンチネンタルカップ2004
Prêmios da LPFP,CNIDアウォーズ・ブレイクスルー監督
Ladies Open of Portugal,ISPSハンダ・ポルトガル女子オープン
Línguas de Portugal,ポルトガルの言語
Cerro da Velha,ベーリャ小山
Instituto Superior de Engenharia de Lisboa,リスボン・エンジニア上級学校
Laboratório Ibérico Internacional de Nanotecnologia,国際イベリアナノテクノロジー研究所
Campeonato do Mundo de Hóquei em Patins Masculino de 1991,世界選手権
Grupo Desportivo de Ribeirão,リベイロン1968 FC
Gabinete de Prevenção e Investigação de Acidentes com Aeronaves,航空機・鉄道事故防止調査室
Batalha Naval de Vila Franca,ポンタ・デルガダの海戦
Ciclismo do Sport Lisboa e Benfica,ベンフィカ
Real Sport Clube,レアル・スポルト・クルーベ
lista de governadores-gerais do Brasil,ブラジル総督の一覧
Aqueduto da Amoreira,アモレイラの水道橋
Senhor Roubado,セニョール・ロウバド駅
Mosteiro de Tibães,ティバエス修道院
Mocidade Portuguesa,ポルトガル青年団
religião em Portugal,ポルトガルの宗教
Algar do Carvão,アルガル・ド・カルヴァン
Almada Atlético Clube,アルマダAC
Apeadeiro de Alhos Vedros,アロスべドロス
Apeadeiro de Baixa da Banheira,バイサダバネイラ
Apeadeiro de Barreiro-A,バレイロA
Algarve Cup de 2013,アルガルヴェ・カップ2013
AXN White,AXNホワイト
lista de representantes portugueses para o Oscar de Melhor Filme Estrangeiro,アカデミー外国語映画賞ポルトガル代表作品の一覧
lista de Presidentes do Governo Regional dos Açores,アゾレス自治地域の自治政府主席
Lista de futebolistas do Sport Lisboa e Benfica,SLベンフィカの選手一覧
Assembleia Legislativa dos Açores,アゾレス諸島立法議会
Praça da Liberdade (Porto),リベルダーデ広場
Farol da Ponta da Barca,ポンタ・ダ・バルカ灯台
Base Naval de Lisboa,アルフェイテ造船所
Canelas,カネラス
Grupo Desportivo de Bragança,GDブラガンサ
eleições presidenciais portuguesas de 2001,2001年ポルトガル共和国大統領選挙
Elétricos do Porto,ポルト市電
Clube Atlético de Valdevez,クルーベ・アトレチコ・ドス・アルコス - アソシアソン・デスポルチーヴァ
Base Aérea de Montijo,モンティジョ航空基地
Teleférico Funchal-Monte,フンシャルケーブルカー
Partido Comunista (Reconstruído),ポルトガル共産党 (再建派)
Estação Ferroviária de Penalva,ペナルヴァ駅
lista dos responsáveis pela administração colonial de Moçambique,モザンビーク総督
lista de governadores de São Tomé e Príncipe,ポルトガル領サントメ・プリンシペ総督の一覧
Aborto em Portugal,ポルトガルにおける中絶
Laboratório Nacional de Engenharia Civil,ポルトガル国立土木研究所
Taça Ibérica,コパ・イベリカ
Aptoide,Aptoide
Ovar,オヴァール
Estação Ferroviária de Benfica,ベンフィカ駅
Oratory,オラトリー
Estação Ferroviária da Moita,モイタ
"NetJets Transportes Aéreos, S.A.",ネットジェッツ・ヨーロッパ
Nickelodeon (Portugal),ニコロデオン (ポルトガル)
Fé Bahá'í em Portugal,ポルトガルのバハーイー教
Directório Revolucionário Ibérico de Libertação,イベリア解放革命運動
NRP Barracuda,バラクーダ
Monte Brasil,ブラジル山
Taça Ibérica de Rugby,コパ・イベリカ・デ・ラグビー
Penedo dos Três Reinos,三王国の岩
Estação Ferroviária de Fogueteiro,フォゲテイロ駅
Galveias,ガルヴェイアス
Ponte Rodo-Ferroviária de Valença,国際橋
Clube Desportivo Portosantense,CDポルトサンテンセ
Santa Maria Futebol Clube,サンタ・マリアFC
Combate de Campo Maior,カンポ・マイオルの戦い
Mr. World 2000,ミスター・ワールド2000
Mr. World 1996,ミスター・ワールド1996
Mr. World 1998,ミスター・ワールド1998
Mr. World 2003,ミスター・ワールド2003
Lusitânia Futebol Clube Lourosa,ルシタニアFC
Estação Ferroviária de Corroios,コロイオス駅
Odivelas Futebol Clube,オディヴェラスFC
Instituto Nacional da Propriedade Industrial (Portugal),ポルトガル国家工業所有権庁
Museu Nacional de Etnologia,国立民族学博物館
Serra de Sintra,シントラ山脈
Basquetebol da União Desportiva Oliveirense,UDオリヴェイレンセ
Paço dos Duques de Cadaval,カダヴァル公爵邸
Museu de Lisboa,ピメンタ宮殿
Instituto Politécnico de Castelo Branco,インスティトゥト・ポリテークニコ・デ・カステロ・ブランコ
lista de vilas em Portugal,ポルトガルの町の一覧
Livraria Lello,レロ書店
Quinta das Lágrimas,キンタ・ダス・ラグリマス
Sport Clube Maria da Fonte,SCマリア・ダ・フォンテ
Sport Clube Vila Real,SCヴィラ・レアル
Rio Coura,コウラ川
eleições de Portugal,ポルトガルの選挙
Portugal nos Jogos Paralímpicos,パラリンピックのポルトガル選手団
Polícia de Segurança Pública,公共治安警察
Porto Brandão,ポルト・ブランダン
Círculo eleitoral de Portugal,ポルトガル
Portugal nos Jogos Paralímpicos de Verão de 1996,1996年アトランタパラリンピックのポルトガル選手団
Serra de São Mamede,サン・マメーデ山地
Federação Portuguesa de Voleibol,ポルトガルバレーボール連盟
arte portuguesa,ポルトガル美術
Serra da Arrábida,アラビダ
"Palácio e Quinta do Ramalhão, também denominado «Paço Real do Ramalhão» (actualmente Colégio de São José das Irmãs Dominicanas Portuguesas)",ラマリャン宮殿
Parque Natural do Alvão,アルヴァオン自然公園
Partido Republicano da Esquerda Democrática,民主左翼共和党
Batalha das Flores (1591),フローレス島の戦い (1591)
Batalha das Berlengas,ベルレンガの戦い (1666年)
cerveja em Portugal,ポルトガルのビール
Palácio da Bemposta,ベンポスタ宮殿
Sogrape,ソグラペ
Teixeira,テイシェイラ
Sporting Clube de Portugal B,スポルティング・クルーベ・デ・ポルトゥガルB
Zona Internacional de Tânger,タンジェ国際領域
Prior do Crato,クラート修道院長
Prostituição em Portugal,ポルトガルにおける売春
Academia da Força Aérea,空軍士官学校
Código Penal Português,刑法 (ポルトガル)
Estação Ferroviária de Setúbal,セトゥーバル駅
Milagre do Sol,太陽の奇跡
Pevidem,ペヴィデム
Pico da Esperança,エスペランサ山
Cemitério dos Ingleses em Elvas,エルヴァス英軍墓地
Nacionalidade portuguesa,ポルトガル国籍法
Referendo sobre a regionalização em Portugal,国民投票
Carlucci American International School of Lisbon,リスボン・カールッチ・アメリカンインターナショナルスクール
Igreja do Carmo,カルモ教会
Paço dos Duques de Bragança,ブラガンサ公爵館 (ギマランイス)
Igreja de Nossa Senhora da Oliveira,ノッサ・セニョーラ・ダ・オリヴェイラ教会 (ギマランイス)
Cerco de Almeida (1811),アルメイダ包囲戦 (1811年)
União Desportiva Vilafranquense,UDヴィラフランクエンセ
União Recreativa Mirense,URミレンセ
Lista de entidades da mitologia lusitana,ルシタニア神話
Estádio do Futebol Clube de Vizela,フットボール クラブ デ ビゼラ スタジアム
Estádio de São Miguel,エスタディオ・デ・サン・ミゲル (ポンタ・デルガダ)
Feijó,フェイジョ
Estação Ferroviária do Entroncamento,エントロンカメント駅
Tratado de Madrid-Lisboa (1985),欧州連合加盟条約
Apeadeiro de Praias do Sado-A,プライサドサドA
Queijo picante da Beira Baixa,ピカンテ・ダ・ベイラ・バイシャ
Queijo Terrincho,テリンチョ
Castelo de Alcácer do Sal,アルカセル・ド・サル城
Sé Velha de Coimbra,コインブラの旧大聖堂
Portugal nos Jogos Paralímpicos de Verão de 2004,2004年アテネパラリンピックのポルトガル選手団
Portugal no Campeonato Mundial de Atletismo de 2009,2009年世界陸上競技選手権大会ポルトガル選手団
Portugal no Campeonato Mundial de Atletismo de 2011,2011年世界陸上競技選手権大会ポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのポルトガル選手団
Portugal na Segunda Guerra Mundial,第二次世界大戦下のポルトガル
Vilanovense Futebol Clube,ヴィラノヴェンセSC
Castelo de São Filipe,サン・フィリペ砦 (セトゥーバル)
Museu Nacional do Traje,国立衣装・ファッション博物館
Farol de Santa Clara,サンタ・クララ燈台
Club Sport Marítimo B,CSマリティモB
Clube Futebol Benfica,CFベンフィカ
Clube União Micaelense,CUミカエレンセ
Cabo de Santa Maria,サンタ・マリア岬 (ファロ)
Estação Ameixoeira,アメイショエイラ駅
Estação Baixa-Chiado,バイシャ＝シアード駅
Campo Grande,カンポ・グランデ駅
Castelo de Palmela,パルメラ城
Três F,3F政策
eleições parlamentares europeias de 1999 em Portugal,1999年欧州議会議員選挙
eleições parlamentares europeias de 1987 em Portugal,1987年欧州議会議員選挙
eleições parlamentares europeias de 1989 em Portugal,1989年欧州議会議員選挙
Académico Viseu Futebol Club,アカデミコ・デ・ヴィゼウFC
Seleção Portuguesa de Râguebi Sevens Masculino,7人制ラグビー男子ポルトガル代表
Pena de morte em Portugal,ポルトガルにおける死刑
Igreja do Carmo,カルモ教会 (ファロ)
Clube de Futebol Andorinha de Santo António,アンドリーニャ
Associação Desportiva Esposende,ADエスポセンデ
Viagem do Japão,日本航海
Zoomarine,ズーマリン
Oliveira do Bairro Sport Clube,オリヴェイラ・ド・バイーロSC
Euronext Lisboa,ユーロネクスト・リスボン
Selecção Portuguesa de Futebol de Praia,ビーチサッカーポルトガル代表
Castelo de Braga,ブラガ城
Reserva Natural do Sapal de Castro Marim e Vila Real de Santo António,カストロ・マリムおよびヴィラ・レアル・デ・サント・アントニオ沼地自然保護区
Parchal,パルシャル
Museu Nacional do Azulejo,国立アズレージョ博物館
Alto Tâmega,アルト・タメガ都市間共同体
Câmara dos Digníssimos Pares do Reino,貴族院 (ポルトガル)
relações entre China e Portugal,中国・ポルトガル関係
Painéis de São Vicente de Fora,サン・ヴィセンテの祭壇画
Academia das Ciências de Lisboa,リスボン科学アカデミー
Campo,カンポ
lista de tópicos relacionados com Portugal,ポルトガル関係記事の一覧
Feriados em Portugal,ポルトガルの祝日
Santo Espírito,サントエスピリト
Área Metropolitana de Lisboa,リスボン都市圏
Igreja e Convento do Carmo,ノッサ・セニョーラ・ド・カルモ修道院
Missão da Rodésia em Lisboa,駐ポルトガル・ローデシア代表部
Cova da Iria,コーバ・ダ・イリア
Ditadura Militar (Portugal),ディタドゥーラ・ミリタール
Autorretrato (Columbano Bordalo Pinheiro),自画像
Delicado,デリカード
alferes,アルフェーレス
dobrada,ドブラーダ
Igreja de São Miguel do Castelo,サン・ミゲル教会
Olisipo,オリシポ
eleições presidenciais portuguesas de 1986,1986年ポルトガル共和国大統領選挙
eleições presidenciais portuguesas de 1991,1991年ポルトガル共和国大統領選挙
Eletricidade em Portugal,ポルトガルのエネルギー
Selecção Portuguesa de Futebol sub-17,U-17サッカーポルトガル代表
Transportes Sul do Tejo,TST社
Transtejo & Soflusa,Soflusa フェリー
Arquivo Histórico Ultramarino,海外領土史資料館
Série 2620 da CP,ポルトガル鉄道2620形電気機関車
Associação Portuguesa de Escritores,ポルトガル作家協会
Atlético Clube Alcanenense,ACアルカネンセ
Final da Liga Europa da UEFA de 2013–14,UEFAヨーロッパリーグ 2013-14 決勝
Eusébio Cup,エウゼビオ・カップ
Política de drogas de Portugal,ポルトガルの薬物政策
Museu Nacional Ferroviário,国立鉄道博物館 (ポルトガル)
De expugnatione Lyxbonensi,リスボンの征服に関して
Aeródromo de Vila Real,ビラレアル飛行場
Grupo Sportivo de Loures,GSローレシュ
Base Aérea de Sintra,シントラ航空基地
Intervenção Democrática,民主参戦
Castelo de Marvão,マルヴァオン城
Farol do Carapacho,ポンタ・ド・カラパショ灯台
Capela de Nossa Senhora da Conceição,コインブラス礼拝堂
Colégio Militar,コレジオ・ミリタール
Bienal Internacional de Arte de Cerveira,セルヴェイラ・インターナショナル・アート・ビエンナーレ
Caldeira da Graciosa,グラシオーザ・カルデラ
Aeródromo Militar de Lisboa,リスボン軍用飛行場
Aeródromo de Manobra n.º 1 de Maceda,オヴァール軍用飛行場
Grupo Desportivo de Sesimbra,GDセジンブラ
Avenidas Novas,リスボン
Bairro do Cerco,セルコ地区
Fajã da Caldeira de Santo Cristo,サント・クリスト・カルデラ・ファジャン
Mosteiro de Santa Cruz,サンタ・クルース修道院
Os Três Grandes,トレス・グランデス
Forte de Nossa Senhora da Graça,グラーサ要塞
Eclipse solar de 12 de agosto de 2026,2026年8月12日の日食
Forte de Santa Luzia,サンタ・ルジーア要塞
São Mateus,サン・マテウス
"Igreja de Nossa Senhora da Assunção, antiga Sé de Elvas",ノッサ・セニョーラ・ダ・アスンサオン教会
Vera Cruz,Vera Cruz
Tratado de Windsor,ウィンザー条約
Liga Portuguesa de Basquetebol,ポルトガルリーグ
Campeonato Português de Futsal,リーガ・ポルトゥゲーザ・ヂ・フットサル
Vasconcelos,バスコンセロス
Lagoa Seca (Ilha do Pico),セカ湖
Forcada,フォルカーダ島
Palácio dos Duques de Aveiro,アヴェイロ公爵宮殿
Grande Prêmio de Portugal de 2006 (MotoGP),2006年のポルトガルグランプリ
Café A Brasileira,カフェ・ア・ブラジレイラ
Força Marítima Europeia,欧州海洋部隊
Estação Ferroviária de Braga,ブラガ駅
Seia,セイア
Entre Douro e Minho,エントレ・ドウロ・イ・ミーニョ
Exército Português,ポルトガル陸軍
Junta de Badajoz-Elvas,エルヴァス＝バダホス会議
Furna do Enxofre,フルナ・ド・エンソフレ
Geopark Naturtejo,ナツールテジョ・ジオパーク
Igreja da Lapa,ラパ教会 (ポルト)
Instituto Superior de Agronomia,農業経営学院
Instituto da Nobreza Portuguesa,ポルトガル貴族評議会
Lei Mental,メンタル法
Grupo Desportivo Vitória de Sernache,GDヴィトーリア・デ・セルナーシェ
Grupo Desportivo Velense,GDヴェレンセ
Capela de Nossa Senhora das Salvas,Capela de Nossa Senhora das Salvas
Escola Superior de Belas-Artes do Porto,ポルト高等美術学院
Companhia da Zambézia,ザンベジア会社
Clube Olímpico do Montijo,クルーベ・オリンピコ・ド・モンティージョ
Clube de Albergaria,クラブ・デ・アルベルガリア
Comissão Nacional de Eleições,ポルトガル国立選挙委員会
Estação de Radar n.º 1,第1レーダーサイト
Estação de Radar n.º 2,第2レーダーサイト
Estação de Radar n.º 3,第3レーダーサイト
Paiã,パイアン
Furnas do Enxofre,フルナス・ド・エンジョフレ
Futebol Clube de São Marcos,FCサンマルコス
Futebol Clube do Bom Sucesso,FCボン・スセッソ
Comunidade Intermunicipal do Oeste,オエステ都市間共同体
Ordenanças,オルデナンサス
Lisnave,リスボン造船所
Mosteiro de Santa Marinha da Costa,ポザーダ・デ・サンタ・マリーニャ
Convento dos Lóios,ロイオス教会
Porto Novo,ポルトノボ
Porto Novo (São Mateus),ポルトノボ
Ouguela,オーゲルワ
Material circulante do Metropolitano de Lisboa,ML90系以降のいずれか
Palácio dos Condes de Castro Guimarães,カストロ・ギマランイス伯宮殿
STOXX Europe 600,ストックス欧州600指数
Mesa da Consciência e Ordens,良心と秩序の法廷
Ministério da Guerra (Portugal),陸軍省
Miradouro da Ponta da Barca,ポンタ・ダ・バルカ
Monte Grosso,グロッソ山
Monte da Guia,ギア山
Monumento Natural da Caldeira Velha,ヴェーリャ・カルデラ
Palácio de Cristal (Porto),水晶宮 (ポルト)
Serra da Lousã,ロウゾン山地
Museu Conde de Castro Guimarães,カストロ・ギマランイス伯博物館
Museu Militar de Lisboa,軍事博物館
Sala dos Capelos,帽子の間
Serra do Moradal,モラダル山地
"Vieira de Castro – Produtos Alimentares, S.A.",ビエイラ・デ・カストロ
Vila Meã,フィーラ・メアン
Santa Maria Maior,リスボン
Museu da Escrita do Sudoeste,西南文字博物館
Museu da Lourinhã,ロウリニャン博物館
Real Colégio das Artes e Humanidades,コレジオ・ダス・アルテス
Zona Especial de Conservação da Zona Central e Morro Alto (Flores),アウトゥ丘
Pico dos Sete Pés,セーテ・ペス山
Vasco da Gama Atlético Clube,ヴァスコ・ダ・ガマAC
Região de Coimbra,コインブラ都市間共同体
Pico Alto (Vila do Porto),アルト山
Museu do Ar,航空博物館
Museu Nacional de História Natural e da Ciência,国立自然史科学博物館
Penafiel,ペナフィエル
Rio Mouro,モウロ川
Cascata do Pulo do Lobo,プーロ・ド・ロボ
Cevide,セビデ
Comunidade Intermunicipal do Alto Minho,アルト・ミーニョ都市間共同体
Super Dragões,スーパードラジェス
Mosteiro da Serra do Pilar,セラ・ド・ピラール修道院
Mosteiro de Lorvão,ロルヴン修道院
Sociedade Portuguesa de Química,ポルトガル化学会
"Alhandra, São João dos Montes e Calhandriz",アリャンドラ
Sport Futebol Palmense,SFパウメンセ
Povoação,ポーボアサン
Sete Maravilhas de Origem Portuguesa no Mundo,ポルトガル由来の世界の七不思議
Floresta Laurissilva na Madeira,マデイラ島の照葉樹林
Palácio das Necessidades,ネセシダーデス宮殿
relações entre Japão e Portugal,日葡関係
Montalvo,モンタルヴォ
talha dourada,ターリャ・ドウラーダ
Portugal no Campeonato Mundial de Atletismo,世界陸上競技選手権大会ポルトガル選手団
Arco da Vila,アルコ・ダ・ヴィラ
Campo e Sobrado,カンポ・イ・ソブラード
Termas do Carapacho,カラパチョ温泉
lista de ducados em Portugal,ポルトガルの公爵一覧
Cidadela de Cascais,カスカイス城塞
arte islâmica em Portugal,ポルトガルのイスラーム美術
Associação Desportiva de Oeiras,ADオエイラス
Valadares Gaia Futebol Clube,ヴァラダレス・ガイアFC
Air Luxor,エア・ルクソール
Biblioteca Pública de Évora,ポルトガル・エヴォラ公立図書館
Parque Florestal de Monsanto,モンサント森林公園
Tragédia de Entre-os-Rios,ヒンツェ・リベイロ橋崩落事故
Ponte Rainha Santa Isabel,エウロパ橋
União Recreativa e Desportiva de Tires,URDタレス
Atlético Clube da Malveira,ACマルヴェイラ
Atlético Clube do Cacém,アトレチコ・クルーベ・ド・カーセン
Tá na manga,タ・ナ・マンガ
ATP de Estoril,ミレニアム・エストリル・オープン
Espinho,エスピーニョ
Grande Prémio Internacional de Rio Maior em Marcha Atlética,リオマイオル国際競歩グランプリ
Barragem de Santa Luzia,サンタ・ルチアダム
Associação Desportiva Oliveirense,ADオリヴェイレンセ
Clube Desportivo da Cova da Piedade,CDコヴァ・ダ・ピエダーデ
Web Summit,Web・サミット
Conselho de Ministros,ポルトガルの内閣
Primeira Liga de 2014–15,プリメイラ・リーガ2014-2015
Portugal no Campeonato do Mundo de Futebol,FIFAワールドカップポルトガル代表
Portugal no Campeonato Mundial de Atletismo de 2013,2013年世界陸上競技選手権大会ポルトガル選手団
Cronologia dos descobrimentos portugueses,ポルトガルの歴史
Beiras e Serra da Estrela,ベイラ・エ・セーラ・ダ・エストレラ都市間共同体
Clube de Futebol Os Repesenses,CFOレペセンセス
Copa do Mundo FIFA de 2030,2030 FIFAワールドカップ
Autoridade Nacional de Aviação Civil,ポルトガル国立民間航空研究所
Portugal no Campeonato do Mundo de Futebol de 2014,2014 FIFAワールドカップポルトガル代表
Direcção-Geral de Segurança,ポルトガル国家保安局
Centro Social e Desportivo de Câmara de Lobos,CSDカマラ・デ・ロボス
Belém,ベレン
Apeadeiro de Praça do Quebedo,Praça do Quebedo駅
Centro Científico e Cultural de Macau,マカオ科学文化館
Campeonato Nacional de Seniores,カンペオナート・デ・ポルトゥガル
Base Aérea de Alverca,アルベルカ空軍基地
Portugal nos Jogos Olímpicos de Inverno de 2014,2014年ソチオリンピックのポルトガル選手団
Convento do Espinheiro e respectiva cerca,エスピンヘイロ修道院
Convento da Graça,コンヴェント・ダ・グラサ教会
Arte mudéjar,ムデハル様式
Estação de Radar n.º 4,第4レーダーサイト
Amadora BD,アマドーラ国際コミックフェスティバル
Polícia Judiciária,司法警察
eleições legislativas portuguesas de 2015,ポルトガル総選挙
Mosteiro dos Jerónimos e Torre de Belém,リスボンのジェロニモス修道院とベレンの塔
Universidade de Coimbra - Alta e Sofia,コインブラ大学-アルタとソフィア
Serradura,セラドゥーラ
LIVRE,自由党
lista de governantes dos Açores,アゾレス諸島におけるカピタニア制
Prémios CDP,CDPアワーズ
Infraestruturas de Portugal,インフラストラクチュラス・デ・ポルトガル
Rivalidade Cristiano Ronaldo–Messi,リオネル・メッシとクリスティアーノ・ロナウドのライバル関係
Algarve Cup 2015,アルガルヴェ・カップ2015
Tâmega e Sousa,タメガ・エ・ソウザ都市間共同体
Terras de Trás-os-Montes,テラズ・デ・トラスウスモンテス都市間共同体
Região de Aveiro,アヴェイロ都市間共同体
Liga Portuguesa de Basebol,ポルトガル アトランティック ベースボール リーグ
Lista de marechais das Forças Armadas Portuguesas,ポルトガルの元帥の一覧
"Paço Episcopal de Castelo Branco, incluindo o Jardim Episcopal e o passadiço",フランススク・タヴァーリシュ・プロエンサ・ジュニオール美術館
Portugal no Campeonato Mundial de Atletismo de 2015,2015年世界陸上競技選手権大会ポルトガル選手団
Divisão de Honra da AF Braga,ディヴィゾン・デ・オンラ・ダ・AFブラガ
Primeira-dama de Portugal,ポルトガルのファーストレディ
Banda das Duas Ordens,キリストおよび聖ベントのアヴィス勲章
Barroco mineiro,ミナス・バロック
cidade de Portugal,ポルトガルの都市
Imóvel de Interesse Público,ポルトガル国定文化財IIP
Estação Ferroviária da Venda do Alcaide,ヴェンダ・ド・アルカイデ駅
Estação Ferroviária de Foros de Amora,フォロス・デ・アモーラ駅
Estação Ferroviária de Palmela-A,パルメラA駅
Alentejo,アレンテージョ
canábis em Portugal,ポルトガルにおける大麻
Cinema Passos Manuel,パッソス・マヌエル映画館
Grã-Cruz da Ordem Militar de Sant'Iago da Espada,サンティアゴ・ダ・エスパーダ軍事勲章大十字章
Portugal no Campeonato Mundial de Atletismo de 1987,1987年世界陸上競技選手権大会ポルトガル選手団
Portugal no Campeonato Mundial de Atletismo de 1983,1983年世界陸上競技選手権大会ポルトガル選手団
Portugal no Campeonato Mundial de Atletismo de 1993,1993年世界陸上競技選手権大会ポルトガル選手団
Literatura de Cabo Verde,カーボベルデ文学
mitologia portuguesa,ポルトガル神話
embaixador em Portugal,在ポルトガル大使
embaixador de Portugal,ポルトガルの大使
TAP Express,TAPエクスプレス
Rali de Portugal de 2015,第49回 ラリー・ド・ポルトガル
2016 em Portugal,2016年のポルトガル
Grã-Cruz da Ordem do Infante Dom Henrique,エンリケ航海王子勲章大十字章
Taça do Algarve 2016,アルガルヴェ・カップ2016
Região de Leiria,レイリア都市間共同体
Monumento de Interesse Público,ポルトガルの重要記念物
vila de Portugal,ポルトガルの町
Serra dos Pinheirinhos,Serra dos Pinheirinhos
Instituto de Telecomunicações,電気通信研究所
Direção-Geral do Património Cultural,文化遺産総局
lista de ministros da Defesa Nacional de Portugal,ポルトガルの国防大臣一覧
Palácio Penafiel,ペナフィエル伯宮殿
Portugal no Campeonato Mundial de Atletismo de 1995,1995年世界陸上競技選手権大会ポルトガル選手団
