"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Батурин, Юрий Михайлович",ユーリー・バトゥーリン
"Новицкий, Олег Викторович",オレッグ・ノヴィツキー
"Никифоров, Николай Анатольевич",ニコライ・ニキフォロフ
"Ковалёв, Николай Дмитриевич",ニコライ・コヴァレフ
"Щербаков, Леонид Михайлович",レオニード・シチェルバコフ
"Некрасов, Никита Александрович",ニキータ・ネクラソフ
"Кириенко, Сергей Владиленович",セルゲイ・キリエンコ
"Крикалёв, Сергей Константинович",セルゲイ・クリカレフ
"Степашин, Сергей Вадимович",セルゲイ・ステパーシン
"Руцкой, Александр Владимирович",アレクサンドル・ルツコイ
"Грищук, Александр Игоревич",アレクサンドル・グリシチューク
"Глушаков, Денис Борисович",デニス・グルシャコフ
"Малкин, Евгений Владимирович",エヴゲニー・マルキン
"Бут, Виктор Анатольевич",ビクトル・ボウト
"Щекочихин, Юрий Петрович",ユーリ・シェコチーヒン
"Литвинов, Сергей Николаевич",セルゲイ・リトビノフ
Хамелеон (Marvel Comics),カメレオン・(マーベル・コミック)
"Окунь, Лев Борисович",レフ・オクン
"Мансуров, Фуат Шакирович",フアト・マンスロフ
"Рязанцев, Александр Александрович",アレクサンドル・リャザンツェフ
"Михайлов, Максим Михайлович",マキシム・ミハイロフ・(バレーボール)
"Копылов, Сергей Владимирович",セルゲイ・コピロフ
"Кара-оол, Шолбан Валерьевич",ショルバン・カラ＝オール
"Янукович, Виктор Фёдорович",ヴィクトル・ヤヌコーヴィチ
"Михалкова, Надежда Никитична",ナージャ・ミハルコワ
"Михальчук, Илья Филиппович",イリヤ・ミハルチュク
"Эппель, Асар Исаевич",アサール・エッペリ
"Быстров, Владимир Сергеевич",ウラジーミル・ビストロフ
"Воробьёв, Алексей Владимирович (музыкант)",アレクセイ・ヴォロビヨフ
"Ковалёнок, Владимир Васильевич",ウラジーミル・コワリョーノク
"Окуньков, Андрей Юрьевич",アンドレイ・オクンコフ
"Дерипаска, Олег Владимирович",オレグ・デリパスカ
"Аксёнов, Василий Павлович",ワシリー・アクショーノフ
"Тихонов, Николай Александрович",ニコライ・チーホノフ
"Сердюков, Анатолий Эдуардович",アナトーリー・セルジュコフ
"Хряпа, Виктор Владимирович",ヴィクトル・ハラッパ
"Хуштов, Асланбек Витальевич",アスランベク・フシュトフ
"Бароев, Хасан Махарбекович",ハッサン・バロエフ
"Абалкин, Леонид Иванович",レオニード・アバルキン
"Постникова, Виктория Валентиновна",ヴィクトリア・ポストニコワ
"Доронина, Ксения Сергеевна",クセニア・ドロニナ
"Куроедов, Владимир Иванович",ウラジーミル・クロエドフ
"Громов, Феликс Николаевич",フェリックス・グロモフ
"Ерин, Виктор Фёдорович",ヴィクトル・エリン
"Борисов, Егор Афанасьевич",エゴール・ボリソフ
"Прилуков, Юрий Александрович",ユリ・プリルコフ
"Аленичев, Дмитрий Анатольевич",ドミトリー・アレニチェフ
"Карпоносов, Геннадий Михайлович",ゲンナジー・カルポノソフ
"Маринато, Гильерме",ギリェルメ・アルヴィム・マリナト
"Поляков, Валерий Владимирович",ワレリー・ポリャコフ
"Смирнов, Александр Викторович",アレクサンドル・スミルノフ
"Шадрин, Владимир Николаевич",ウラジーミル・シャドリン
"Мозякин, Сергей Валерьевич",セルゲイ・モジャーキン
"Лукин, Владимир Петрович",ウラジーミル・ルキン
"Кузнецов, Анатолий Борисович",アナトーリー・クズネツォフ
"Третьяк, Владислав Александрович",ウラディスラフ・トレチャク
"Ягудин, Алексей Константинович",アレクセイ・ヤグディン
"Сечин, Игорь Иванович",イーゴリ・セーチン
"Монсон, Джефф",ジェフ・モンソン
"Гранат, Владимир Васильевич",ウラジーミル・グラナト
"Пичушкин, Александр Юрьевич",アレクサンドル・ピチュシキン
"Христенко, Виктор Борисович",ヴィクトル・フリステンコ
"Давыдов, Евгений Витальевич",エフゲニー・ダビドフ
"Борзаковский, Юрий Михайлович",ユーリー・ボルザコフスキー
"Брумель, Валерий Николаевич",ワレリー・ブルメル
"Сорокин, Владимир Георгиевич",ウラジーミル・ソローキン
"Мосолов, Георгий Константинович",ゲオルギー・モソロフ
"Феоктистов, Константин Петрович",コンスタンチン・フェオクチストフ
"Цветков, Дмитрий Александрович",ドミトリー・ツヴェトコフ
"Жуков, Игорь Михайлович",イーゴリ・ジューコフ
"Бакланов, Олег Дмитриевич",オレグ・バクラーノフ
"Овсянников, Олег Владимирович (фигурист)",オレグ・オフシアンニコフ
"Ловчев, Евгений Серафимович",エフゲニー・ロフチェフ
"Сидельников, Николай Николаевич",ニコライ・シデルニコフ
"Пасынкова, Александра Аркадьевна",アレクサンドラ・パシンコワ
"Головатов, Михаил Васильевич",ミハイル・ゴロヴァトフ
"Тер-Ованесян, Игорь Арамович",イゴール・テルオバネシアン
"Ибрагимов, Султан-Ахмед Магомедсалихович",スルタン・イブラギモフ
"Евкуров, Юнус-Бек Баматгиреевич",ユヌス＝ベク・エフクロフ
"Алханов, Али Дадашевич",アル・アルハノフ
"Кардашёв, Николай Семёнович",ニコライ・カルダシェフ
"Собянин, Сергей Семёнович",セルゲイ・ソビャーニン
"Газзаев, Валерий Георгиевич",ヴァレリー・ガザエフ
"Ревишвили, Нукри Патович",ヌクリ・レヴィシュヴィリ
"Перкинс, Шейн",シェーン・パーキンス
"Бочаров, Александр Викторович",アレクサンドル・ボチャロフ
"Галоян, Сергей Сасуникович",セルゲイ・ガロヤン
"Хусаинов, Галимзян Салихович",ガリムジャン・フサイノフ
"Евтушенков, Владимир Петрович",ウラジーミル・イェフトゥシェンコフ
"Новицкий, Сергей Николаевич",セルゲイ・ノビツキー
"Павленко, Александр Евгеньевич",アレクサンドル・パヴレンコ
"Васильев, Владимир Викторович",ウラジーミル・ワシーリエフ
"Бабурин, Сергей Николаевич",セルゲイ・バブーリン
"Бугаев, Алексей Иванович",アレクセイ・ブガエフ
"Леман, Альберт Семёнович",アリベルト・レーマン
Рохо Юкио,露鵬幸生
"Приб, Эдгар",エドガー・プリプ
"Дежуров, Владимир Николаевич",ウラジーミル・デジュロフ
"Козеев, Константин Мирович",コンスタンチン・コゼエフ
"Лебедев, Валентин Витальевич",ワレンティン・レベデフ
"Соловьёв, Владимир Алексеевич (космонавт)",ウラジーミル・ソロフィエフ・(宇宙飛行士)
"Леонова, Елена Рудольфовна",エレーナ・レオノワ
"Маисурадзе, Нодари Отариевич",ノダリー・マイスラーゼ
"Карев, Сергей Анатольевич",セルゲイ・カレフ
"Смирнов, Станислав Константинович",スタニスラフ・スミルノフ
"Хворостовский, Дмитрий Александрович",ディミトリー・ホロストフスキー
"Термен, Лев Сергеевич",レフ・テルミン
"Евтухович, Валерий Евгеньевич",ワレリー・エフトゥホヴィッチ
"Кулешов, Алексей Владимирович",アレクセイ・クレショフ
"Татаринов, Александр Аркадьевич",アレクサンドル・タタリノフ
"Собчак, Анатолий Александрович",アナトリー・サプチャーク
"Новиков, Сергей Петрович (математик)",セルゲイ・ノヴィコフ・(数学者)
"Копин, Роман Валентинович",ロマン・コピン
"Горшкова, Кристина Валерьевна",クリスチーナ・ゴルシュコワ
"Бугорский, Анатолий Петрович",アナトーリ・ブゴルスキー
"Донгузашвили, Теа Гайозовна",テア・ドングザシビリ
"Логашов, Арсений Максимович",アルセニー・ロガショフ
"Королёв, Ярослав Игоревич",ヤロスラフ・コロレフ
"Кармазин, Роман Александрович",ローマン・カルマジン
"Бордюжа, Николай Николаевич",ニコライ・ボルジュジャ
"Игудесман, Алексей",アレクセイ・イグデスマン
"Инкин, Денис Анатольевич",デニス・インキン
"Гудзь, Борис Игнатьевич",ボリス・グジ
"Скотников, Леонид Алексеевич",レオニド・スコトニコフ
"Хрулёв, Анатолий Николаевич",アナトリー・フルリョフ
"Круглов, Сергей Геннадьевич",セルゲイ・クルグロフ・(詩人)
"Дмитриев, Александр Сергеевич (дирижёр)",アレクサンドル・ドミトリエフ
"Долгих, Владимир Иванович",ウラジーミル・ドルギフ
"Година, Елена Михайловна",エレーナ・ゴーディナ
"Филипенко, Егор Всеволодович",イゴール・フィリペンコ
"Маминов, Владимир Александрович",ウラジーミル・マミノフ
"Кульчий, Александр Николаевич",アレクサンドル・クルチー
"Орлова, Екатерина Николаевна (волейболистка)",エカテリーナ・オルロワ
"Третьякова, Екатерина Евгеньевна",エカテリーナ・トレチャコワ
"Панкова, Екатерина Вадимовна",エカテリーナ・コシアネンコ
"Любушкина, Екатерина Олеговна",エカテリーナ・リュブシュキナ
"Айги, Геннадий Николаевич",ゲンナジイ・アイギ
"Швед, Алексей Викторович",アレクセイ・シェヴド
"Песьяков, Сергей Александрович",セルゲイ・ペスヤコフ
"Ямадаев, Джабраил Бекмирзаевич",ジャブライル・ヤマダエフ
"Котов, Олег Валериевич",オレッグ・コトフ
"Цвейба, Ахрик Сократович",アフリク・ツベイバ
"Рудин, Александр Израилевич",アレクサンドル・ルディン
"Паршивлюк, Сергей Викторович",セルゲイ・パルシヴリュク
"Медведев, Вадим Андреевич",ワジム・メドヴェージェフ
"Габашвили, Теймураз Бесикович",ティムラズ・ガバシュビリ
"Левичев, Николай Владимирович",ニコライ・レヴィチェフ
"Бутиков, Виталий Юрьевич",ヴィタリー・ブチコフ
"Кулахметов, Марат Минюрович",マラート・クラフメートフ
"Шуплецов, Сергей Борисович",セルゲイ・シュプレツォフ
"Гаджибеков, Али Амрахович",アリ・ガジベコフ
"Бакиев, Максим Курманбекович",マクシム・バキエフ
"Морозова, Юлия Константиновна",ユリア・モロゾワ
"Подскальная, Юлия Владимировна",ユリア・ポドスカルナヤ
"Болдырев, Юрий Юрьевич",ユーリ・ボルドィレフ
"Ларюков, Анатолий Владимирович",アナトリー・ラリュコフ
"Игнатьев, Михаил Борисович",ミハイル・イグナティエフ
"Маленченко, Юрий Иванович",ユーリ・マレンチェンコ
"Мостовой, Александр Владимирович",アレクサンドル・モストヴォイ
"Буяновский, Виталий Михайлович",ヴィタリー・ブヤノフスキー
"Бекмамбетов, Тимур Нуруахитович",ティムール・ベクマンベトフ
"Ситковецкий, Дмитрий Юлианович",ドミトリー・シトコヴェツキー
"Калери, Александр Юрьевич",アレクサンドル・カレリ
"Эрмлер, Марк Фридрихович",マルク・エルムレル
"Чернышёв, Пётр Андреевич",ピーター・チェルニシェフ
"Быстров, Пётр Александрович",ピョートル・ビストロフ
"Динейкин, Станислав Анатольевич",スタニスラフ・ディネイキン
"Глушков, Алексей Юрьевич",アレクセイ・グルチコフ
"Королёва, Ирина Владимировна",イリーナ・ザリャジュコ
"Гребенников, Женя",ジェニア・グルベニコフ
"Госвияни, Николь Романовна",ニコル・ゴスヴィアニ
"Шефер, Иван Александрович",イワン・シェフェル
"Сергеев, Аркадий Михайлович",アルカジー・セルゲーエフ
"Максимишин, Андрей Николаевич",アンドレイ・マキシミーシン
"Успенский, Александр Сергеевич",アレクサンドル・ウスペンスキー
"Сайтиев, Адам Хамидович",アダム・サイティエフ
"Горбатко, Виктор Васильевич",ヴィクトル・ゴルバトコ
"Житова, Ольга Игоревна",オルガ・ジトワ
"Шатов, Олег Александрович",オレグ・シャトフ
"Озерова, Ксения Михайловна",クセニヤ・オゼロワ
"Зайков, Лев Николаевич",レフ・ザイコフ
"Лукьяненко, Евгений Юрьевич",エフゲニー・ルキャネンコ
"Энберт, Александр Юрьевич",アレクサンドル・エンベルト
"Баранкевич, Анатолий Константинович",アナトーリー・バランケヴィッチ
"Назаренко, Александр Васильевич",アレクサンドル・ナザレンコ
"Семёнов, Владимир Магомедович",ウラジーミル・マゴメドヴィチ・セミョーノフ
"Каллош, Шандор Эрнестович",シャンドル・カロシュ
"Баранов, Сергей Андреевич",セルゲイ・バラノフ・(バレーボール)
"Мартюшева, Анастасия Васильевна",アナスタシヤ・マルチュシェワ
"Рогонов, Алексей Александрович",アレクセイ・ロゴノフ
"Кузнецов, Михаил Владимирович",ミハイル・クズネツォフ
"Шереметьева, Екатерина Александровна",エカテリーナ・シェレメティエワ
Лео Хао,レオ・ハオ
"Гусева, Наталия Евгеньевна",ナタリア・グセヴァ
"Ивашов, Леонид Григорьевич",レオニード・イヴァショフ
"Кадиевич, Велько",ヴェリコ・カディイェヴィッチ
"Кюрдзидис, Эвклид Кириакович",ユークリッド・キュルジディス
"Борзенков, Альберт Валентинович",アリベルト・ボルゼンコフ
"Красносельский, Вадим Николаевич",ワジム・クラスノセリスキー
"Кудрин, Алексей Леонидович",アレクセイ・クドリン
"Наумов, Вадим Владимирович",ヴァディム・ナウモフ
"Моня, Сергей Александрович",セルゲイ・モニア
"Халидов, Мамед Саидович",マメッド・ハリドヴ
"Коробов, Матвей Георгиевич",マット・コロボフ
"Мазунов, Дмитрий Вячеславович",ドミトリ・マズノフ
"Тахтаджян, Армен Леонович",アルメン・タハタジャン
"Юрчихин, Фёдор Николаевич",フョードル・ユールチキン
"Тайманов, Марк Евгеньевич",マルク・タイマノフ
"Берлинская, Людмила Валентиновна",リュドミラ・ベルリンスカヤ
"Барковский, Владимир Борисович",ウラジーミル・バルコフスキー
"Кузнецов, Виталий Яковлевич",ビタリー・クズネツォフ
"Сотникова, Аделина Дмитриевна",アデリナ・ソトニコワ
"Добровольский, Игорь Иванович",イーゴリ・ドブロヴォリスキー
"Грачёв, Александр Павлович",アレクサンドル・グラチェフ
"Успенский, Владимир Сергеевич",ウラジーミル・ウスペンスキー
"Ведерников, Александр Александрович",アレクサンドル・ヴェデルニコフ・(指揮者)
"Афонин, Юрий Вячеславович",ユーリ・アフォーニン
"Таов, Хасанби Урусбиевич",ハサンビ・タオフ
"Горевой, Михаил Витальевич",ミハイル・ゴアヴォイ
"Задорнов, Михаил Михайлович",ミハイル・ザドルノフ
DJ Dlee,DJドリー
"Егоров, Борис Борисович",ボリス・エゴロフ
"Василевская, Елена Васильевна",エレーナ・バシレフスカヤ
"Громов, Михаил Леонидович",ミハイル・グロモフ
"Ерёменко, Роман Алексеевич",ロマン・エレメンコ
"Мозгов, Тимофей Павлович",ティモフェイ・モズコフ
"Чебукина, Елена Васильевна",エレーナ・チェブキナ
"Ткаченко, Илья Алексеевич",イリヤ・トカチェンコ
"Королёв, Юрий Николаевич",ユリ・コロレフ
"Караулов, Сергей Николаевич",セルゲイ・カラウロフ
"Сафронов, Виктор Сергеевич",ヴィクトル・サフロノフ
"Брунцева, Мария Вячеславовна",マリア・ブルンツェワ
"Кузаков, Константин Степанович",コンスタンティン・クザコフ
"Галкин, Владислав Борисович",ヴラディスラフ・ガルキン
Хакуродзан Юта,白露山佑太
"Лисовский, Игорь Олегович",イゴール・リソフスキー
"Абрамов, Павел Сергеевич",パーベル・アブラーモフ
"Ушаков, Константин Анатольевич",コンスタンチン・ウシャコフ
"Морозов, Станислав Александрович",スタニスラフ・モロゾフ
"Пушкаш, Екатерина Викторовна",エカテリーナ・プシュカシュ
"Колпакова, Ирина Александровна",イリーナ・コルパコーワ
"Шелепень, Полина Сергеевна",ポリーナ・シェレペン
"Мандрыкин, Вениамин Анатольевич",ヴェニアミン・マンドリキン
"Яковлев, Роман Николаевич",ロマン・ヤコブレフ
"Даев, Вячеслав Евгеньевич",ヴャチェスラフ・ダイェフ
"Каретников, Николай Николаевич",ニコライ・カレートニコフ
"Королёв, Евгений Евгеньевич",エフゲニー・コロレフ
"Нургалиев, Рашид Гумарович",ラシド・ヌルガリエフ
"Хиль, Эдуард Анатольевич",エドゥアルト・ヒーリ
"Ерёменко, Алексей Алексеевич",アレクセイ・エレメンコ・ジュニア
"Кизим, Леонид Денисович",レオニード・キジム
"Тюрин, Михаил Владиславович",ミハイル・チューリン
Витас,ヴィタス
"Ливанов, Василий Борисович",ワシーリー・リヴァーノフ
"Саенко, Иван Иванович",イヴァン・サエンコ
"Колобнев, Александр Васильевич",アレクサンドル・コロブネフ
"Бородин, Павел Павлович",パーヴェル・ボロジン
"Ямадаев, Руслан Бекмирзаевич",ルスラン・ヤマダエフ
"Падалка, Геннадий Иванович",ゲンナジー・パダルカ
"Баршай, Рудольф Борисович",ルドルフ・バルシャイ
"Серебров, Александр Александрович",アレクサンドル・セレブロフ
"Халявин, Кирилл Леонидович",キリル・ハリャヴィン
"Монько, Ксения Ивановна",クセニヤ・モンコ
"Зенцов, Роман Павлович",ローマン・ゼンツォフ
"Шеремет, Павел Григорьевич",パーヴェル・シェレメト
"Шляхтуров, Александр Васильевич",アレクサンドル・シュリャフトゥロフ
"Джанаев, Сослан Тотразович",ソスラン・ジャナエフ
"Невзоров, Владимир Михайлович",ウラジーミル・ネフゾロフ
"Богомолов, Алексей Фёдорович",アレクセイ・フヨドロビッチ・ボゴモロフ
"Гаджиев, Гаджи Муслимович",ガジ・ガジエフ
"Соломин, Юрий Мефодьевич",ユーリー・ソローミン
"Герман, Алексей Юрьевич",アレクセイ・ゲルマン
"Садовничий, Виктор Антонович",ヴィクトル・A・サドーヴニチィ
"Куницын, Игорь Константинович",イーゴリ・クニツィン
"Рыжков, Николай Иванович",ニコライ・ルイシコフ
"Голодец, Ольга Юрьевна",オリガ・ゴロジェツ
"Иваньков, Вячеслав Кириллович",ヴャチェスラーフ・イヴァニコーフ
"Ветрова, Вера Александровна",ベラ・ベトロワ
"Чернышёва, Людмила Георгиевна",リュドミラ・チェルニショワ
"Григорович, Юрий Николаевич",ユーリー・グリゴローヴィチ
"Абельцев, Сергей Николаевич",セルゲイ・アベルツェフ
"Абдурахимов, Шамиль Гентович",シャミル・アブドゥラヒモフ
"Немцов, Борис Ефимович",ボリス・ネムツォフ
"Бубельников, Павел Аронович",パヴェル・ブベリニコフ
"Береговой, Георгий Тимофеевич",ゲオルギ・ベレゴヴォイ
"Булатов, Виктор Геннадьевич",ヴィクトル・ブラトフ
"Аверьянов, Леонид Владимирович",レオニード・アヴェリャノフ
"Абызов, Михаил Анатольевич",ミハイル・アブィゾフ
"Абрамян, Ара Аршавирович",アラ・アブラミアン
"Полтавский, Семён Владимирович",セミョン・ポルタフスキー
"Ашкенази, Давид Владимирович",ダヴィッド・アシュケナージ
"Бабешина, Марина Игоревна",マリナ・シェシェニナ
"Сердюков, Валерий Павлович",ヴァレリー・セルジュコフ
"Тернавский, Владислав Михайлович",ウラジスラフ・テルナフスキー
"Хренников, Тихон Николаевич",ティホン・フレンニコフ
"Михайлов, Борис Петрович",ボリス・ミハイロフ・(アイスホッケー)
"Линде, Андрей Дмитриевич",アンドレイ・リンデ
"Бердыев, Курбан Бекиевич",グルバン・ベルディエフ
"Шаймиев, Минтимер Шарипович",ミンチメル・シャイミーエフ
"Васильев, Иван Владимирович",イワン・ワシリーエフ
"Илюхин, Михаил Иванович",イリューヒン・ミーシャ
"Кержаков, Михаил Анатольевич",ミハイル・ケルジャコフ
"Емельянов, Роман Павлович",ロマン・エメリヤノフ
"Иванов, Виктор Петрович (государственный деятель)",ヴィクトル・イワノフ
"Веретенников, Олег Александрович",オレグ・ヴェレテンニコフ
"Васиев, Фарход Саиджонович",ファルハド・ヴァシエフ
"Иванов, Андрей Алексеевич (футболист)",アンドレイ・イヴァノフ
"Мержанов, Виктор Карпович",ヴィクトル・メルジャーノフ
"Ещенко, Андрей Олегович",アンドレイ・エシュチェンコ
"Шапошников, Евгений Иванович",エフゲニー・シャポシニコフ
"Мороз, Регина Викторовна",レジーナ・モロズ
"Соловцов, Николай Евгеньевич",ニコライ・ソロフツォフ
"Агафонова, Полина Владиславовна",ポリーナ・アガフォノワ
"Алёшин, Михаил Петрович",ミハイル・アリョーシン
"Миронов, Сергей Михайлович",セルゲイ・ミロノフ
"Козин, Виктор Михайлович",コズィン・ヴィクトル・ミハイロヴィチ
"Илизаров, Гавриил Абрамович",ガブリル・イリザロフ
"Концевич, Максим Львович",マキシム・コンツェビッチ
"Рапота, Григорий Алексеевич",グリゴリー・ラポータ
"Каун, Александр Олегович",サーシャ・カーン
"Норштейн, Юрий Борисович",ユーリ・ノルシュテイン
"Корабельников, Валентин Владимирович",ワレンチン・コラベリニコフ
"Устинов, Александр Иванович",アレクサンダー・ウスティノフ
"Крунич, Александра",アレクサンドラ・クルニッチ
"Егорчев, Андрей Николаевич",アンドレイ・エゴルチェフ
"Адамишин, Анатолий Леонидович",アナトリー・アダムシン
"Адабашьян, Александр Артёмович",アレクサンドル・アダバシャン
"Лоськов, Дмитрий Вячеславович",ドミトリ・ロスコフ
"Аганбегян, Рубен Абелович",ルーベン・アガンベギャン
"Медведев, Жорес Александрович",ジョレス・メドヴェージェフ
"Ходьков, Олег Валерьевич",オレグ・ホドコフ
"Лагутин, Сергей Сергеевич",セルゲイ・ラグティン
"Бобёр, Антон Анатольевич",アントン・ボビョル
"Тагирбеков, Расим Загирбегович",ラシム・タギルベコフ
"Гарипова, Дина Фагимовна",ジーナ・ガリーポヴァ
"Закарин, Ильнур Азатович",イルヌール・ザカリン
"Ульянов, Михаил Александрович",ミハイル・ウリヤーノフ
"Смертин, Алексей Геннадьевич",アレクセイ・スメルティン
"Звонарёва, Вера Игоревна",ベラ・ズボナレワ
"Петров, Евгений Владимирович",エフゲニー・ペトロフ
"Кононенко, Олег Дмитриевич",オレグ・コノネンコ
"Маскаев, Олег Александрович",オレグ・マスカエフ
"Немов, Алексей Юрьевич",アレクセイ・ネモフ
"Авен, Пётр Олегович",ピョートル・アーヴェン
"Серова, Елена Олеговна",エレナ・セロヴァ
"Бетин, Олег Иванович",オレーグ・ベーチン
"Вартанян, Геворк Андреевич",ゲヴォルク・ワルタニャン
"Усачёв, Юрий Владимирович",ユーリー・ウサチェフ
"Скобрев, Иван Александрович",イワン・スコブレフ
"Антонов-Овсеенко, Антон Владимирович",アントン・アントーノフ＝オフセーエンコ
"Улюкаев, Алексей Валентинович",アレクセイ・ウリュカエフ
"Мартынов, Владимир Иванович",ウラジーミル・マルティノフ
"Баскова, Светлана Юрьевна",スベトラーナ・バスコバ
"Садовый, Евгений Викторович",エフゲニー・サドウィ
"Иванов, Игорь Сергеевич",イーゴリ・イワノフ
"Соколов, Александр Сергеевич (волейболист)",アレクサンドル・ソコロフ・(バレーボール)
"Макин, Андрей",アンドレイ・マキーヌ
"Поповкин, Владимир Александрович",ウラジーミル・ポポフキン
"Обмочаев, Алексей Александрович",アレクセイ・オブモチャエフ
"Мединский, Владимир Ростиславович",ウラジーミル・メジンスキー
"Цискаридзе, Николай Максимович",ニコライ・ツィスカリーゼ
"Тебенихина, Ирина Викторовна",イリナ・テベニヒナ
"Чермаев, Серж",アイヴァン・チャマイエフ
"Феклисов, Александр Семёнович",アレクサンドル・フェクリソフ
"Ротенберг, Борис Борисович",ボリス・ボリソヴィチ・ローテンベルク
"Гатагов, Алан Маратович",アラン・ガタゴフ
"Караев, Алан Таймуразович",アラン・カラエフ
"Красножан, Юрий Анатольевич",ユーリー・クラスノジャン
"Трифонов, Даниил Олегович",ダニール・トリフォノフ
"Панченко, Виктор Вячеславович",ヴィクトル・パンチェンコ
"Мусин, Илья Александрович",イリヤ・ムーシン
"Королёв, Владимир Иванович",ウラジーミル・コロリョフ
"Михайлин, Александр Вячеславович",アレクサンドル・ミハイリン
"Денисов, Кирилл Георгиевич",キリル・デニソフ
"Дацюк, Павел Валерьевич",パーヴェル・ダツュク
"Данелия, Георгий Николаевич",ゲオルギー・ダネリヤ
"Смоктуновский, Иннокентий Михайлович",インノケンティ・スモクトゥノフスキー
"Подкользин, Павел Николаевич",パベル・ポドコルジン
"Елисеев, Алексей Станиславович",アレクセイ・エリセーエフ
"Аксёненко, Николай Емельянович",ニコライ・アクショーネンコ
"Нурмагомедов, Хабиб Абдулманапович",ハビブ・ヌルマゴメドフ
"Старобинский, Алексей Александрович",アレクセイ・スタロビンスキー
"Бибилов, Анатолий Ильич",アナトリー・ビビロフ
"Нифонтов, Иван Витальевич",イワン・ニフォントフ
"Овчинников, Сергей Анатольевич (тренер)",セルゲイ・オフチニコフ・(バレーボール)
"Тагава, Кэри-Хироюки",ケイリー＝ヒロユキ・タガワ
"Лазарев, Сергей Вячеславович",セルゲイ・ラザレフ
"Рязанов, Эльдар Александрович",エリダール・リャザーノフ
"Крючков, Владимир Александрович",ウラジーミル・クリュチコフ
"Бойко, Ростислав Григорьевич",ロスティスラフ・ボイコ
"Китаев, Алексей Юрьевич",アレクセイ・キタエフ
"Лебедев, Алексей Константинович",アレクセイ・コンスタンチノヴィッチ・レベデフ
"Тарасов, Дмитрий Алексеевич",ドミトリ・タラソフ・(サッカー選手)
"Двойников, Валерий Васильевич",ワレリー・ドボイニコフ
"Полянский, Валерий Кузьмич",ヴァレリー・ポリャンスキー
"Артемьев, Василий Григорьевич",ヴァシリー・アルテミエフ
Александр (Калинин),アレクサンドル・(カリーニン)
"Бородюк, Александр Генрихович",アレクサンドル・ボロデュク
"Бетербиев, Артур Асильбекович",アルツール・ベテルビエフ
"Хасимиков, Салман Алхазурович",サルマン・ハシミコフ
"Тихонов, Виктор Васильевич",ビクトル・チーホノフ・(1930年生)
"Покровский, Борис Александрович",ボリス・ポクロフスキー
"Александрова, Марина Андреевна",マリーナ・アレクサーンドロヴァ
"Дудинская, Наталия Михайловна",ナタリア・ドゥジンスカヤ
"Лазарев, Александр Николаевич",アレクサンドル・ラザレフ
"Мисуркин, Александр Александрович",アレクサンドル・ミシュルキン
"Морозова, Наталья Игоревна",ナターリヤ・モロゾワ
"Поташова, Ольга Дмитриевна",オルガ・ポタショーワ
"Гресев, Виктор Андреевич",ヴィクトル・グレセフ
"Кузякина, Виктория Александровна",ビクトリア・クジャキナ
"Русакова, Виктория Дмитриевна",ビクトリア・チャプリナ
"Александрова, Елена Анатольевна",エレーナ・アレクサンドロワ
"Приходько, Сергей Эдуардович",セルゲイ・プリホチコ
"Султанов, Алексей Файзулхакович",アレクセイ・スルタノフ
"Кнорозов, Юрий Валентинович",ユーリー・クノロゾフ
"Горностаева, Вера Васильевна",ヴェラ・ゴルノスタエヴァ
"Траньков, Максим Леонидович",マキシム・トランコフ
"Савиных, Виктор Петрович",ヴィクトル・サヴィヌイフ
"Кубасов, Валерий Николаевич",ワレリー・クバソフ
"Бережная, Елена Викторовна",エレーナ・ベレズナヤ
"Бродский, Александр Саввич",アレクサンドル・ブロツキー
"Новиков, Сергей Петрович (дзюдоист)",セルゲイ・ノヴィコフ・(柔道)
"Бурлак, Тарас Александрович",タラス・ブルラク
"Саркисян, Альберт Эльвадикович",アルベリト・サルキシャン
"Караганов, Сергей Александрович",セルゲイ・カラガノフ
"Анненко, Наталья Валерьевна",ナタリア・アンネンコ
"Бондарчук, Фёдор Сергеевич",フョードル・ボンダルチュク
"Мантуров, Денис Валентинович",デニス・マントゥロフ
"Ярцев, Георгий Александрович",ゲオルギー・ヤルツェフ
"Сафронова, Наталья Андреевна",ナタリヤ・サフローノワ
"Гуськов, Алексей Геннадьевич",アレクセイ・グシュコブ
"Пятницкий, Андрей Владимирович",アンドレイ・ピャトニツキー
"Винер, Ирина Александровна",イリナ・ヴィネル
"Радимов, Владислав Николаевич",ウラディスラフ・ラディモフ
Амуру Мицухиро,阿夢露光大
"Бушманов, Евгений Александрович",エフゲニー・ブシュマノフ
"Кудряшов, Фёдор Васильевич",フョードル・クドリャショフ
"Гетериев, Казбек Хазизович",カズベク・ゲテリエフ
"Яковлев, Павел Владимирович",パーヴェル・ヤーコヴレフ
"Ионов, Алексей Сергеевич",アレクセイ・イオノフ
"Хамутцких, Вадим Анатольевич",ワジム・ハムツキフ
"Яновский, Игорь Сергеевич",イーゴリ・ヤノフスキー
"Карданов, Мурат Наусбиевич",ムラト・カルダノフ
"Симонов, Юрий Иванович",ユーリ・シモノフ
"Андреев, Фёдор Владимирович",フェドール・アンドレーエフ
"Нагейкина, Светлана Вячеславовна",スヴェトラナ・ナゲイキナ
"Киселёва, Мария Александровна",マリア・キセリョーワ
