François Hollande,弗朗索瓦·奥朗德
Archambaud IX de Bourbon,阿尔尚博九世·德·波旁
Gaston de Galliffet,加斯东·德·加利费
Louis Napoléon,路易·拿破崙
Mathieu Ier de Lorraine,馬修一世·(洛林)
Eugène Burnouf,欧仁·比尔努夫
Jean Baptiste Denis,让-巴蒂斯特·德尼
Paul Héroult,保罗·埃鲁
Frédéric II de Lorraine,腓特烈二世·(洛林)
Raoul Thiercelin,拉乌尔·蒂埃瑟兰
Józef Czapski,约瑟夫·恰普斯基
Bernard Chiarelli,貝爾納·查雷利
Daniel Defert,丹尼尔·德菲
Joël Abati,若埃尔·阿巴蒂
Marc Riboud,马克·吕布
Nicolas-François de Lorraine,洛林公爵尼古拉二世
René Chocat,勒内·肖卡
Bernard Loiseau,貝爾納·盧瓦索
Bernard Natan,伯納德·納坦
Matthieu Ricard,馬蒂厄·里卡爾
Henri II de Guise,亨利二世·德·吉斯
Jules Supervielle,于勒·苏佩维埃尔
Julien Brulé,朱利安·布吕莱
Léonce Quentin,莱昂斯·康坦
Sotigui Kouyaté,索提古·庫亞特
Maurice Couette,莫里斯·庫埃特
Philippe Cattiau,菲利普·卡蒂奥
Hubert Gardas,于贝尔·加尔达斯
Cédric Bakambu,塞德里克·巴坎布
Pierre de Margerie,马士理
Bernard d'Espagnat,伯納德·德斯班雅
Bertrand Bonello,貝特朗·波尼洛
Lionel Plumenail,利昂内尔·普吕默纳伊
Gustave Lanson,居斯塔夫·朗松
Bonaventure Des Périers,博纳旺蒂尔·德佩里耶
Pearl Witherington,珀尔·维什林顿
Charles Bonaparte (1950),夏尔·波拿巴
Émile Fisseux,埃米尔·菲瑟
Nicolas-Joseph Maison,尼古拉·约瑟夫·迈松
Charles Huntziger,夏尔·安齐热
Henri II de Lorraine,洛林公爵亨利二世
Albert Memmi,阿爾貝·梅米
Guillaume Musso,紀優·穆索
Laurent Sagart,沙加尔
Gaston II de Foix-Candale,坎代爾伯爵加斯東·德·富瓦
Valentin Haüy,瓦朗坦·阿维
Daouda Karaboué,达乌达·卡拉布埃
Nicolas de Lorraine,洛林公爵尼古拉一世
Albert Rust,阿尔贝·吕斯特
Bertrand-François Mahé de La Bourdonnais,貝特朗-弗朗索瓦·馬埃·德·拉布爾多內
Jean Ribault,让·里博
Gaston Lenôtre,加斯東·勒諾特
Nicolas Edme Restif de La Bretonne,雷蒂夫
Louis Ramond de Carbonnières,路易斯·雷蒙德·德·卡尔博尼埃
Henri Béraud,亨利·贝罗
Philippe Petit (funambule),菲利普·珀蒂
Honoré V (prince de Monaco),奧諾雷五世
Christian Boltanski,克里斯提安·波坦斯基
Nikola Petrović-Njegoš,尼古拉·(蒙特內哥羅王儲)
Isaac La Peyrère,伊萨克·德·拉·培伊埃尔
Alfred Lévy,阿尔弗雷德·莱维
Charles Dupin,夏尔·迪潘
Jean Ier de Dreux,若望一世·(德勒)
Éric Renaud,埃里克·雷诺
Jimmy Vicaut,吉米·維科
Julien Boutter,朱利安·布特
Michel Andrieux,米歇尔·安德里厄
Hamilton Sabot,汉密尔顿·萨博
Jean d'Orléans (1399-1467),昂古萊姆伯爵約翰
Arsène Darmesteter,阿尔塞纳·达梅斯特泰
Charles Poulenard,夏尔·普勒纳尔
Matthieu Rosset,馬修·羅塞特
François Baroin,弗朗索瓦·巴鲁安
Gaston Amson,加斯东·安松
Élisabeth de Savoie-Carignan,瑪麗亞·埃莉莎貝塔·(薩伏依-卡里尼亞諾)
Guillaume Nicloux,紀洛姆·尼克婁
Yvon Le Roux,伊瑪·勒魯
Bruno Martini (football),布鲁诺·马蒂尼
Billy Ketkeophomphone,比利·克特克奥丰丰
Jacques Faty,雅克·法蒂
Oscar Temaru,奥斯卡·特马鲁
Eran Zahavi,埃兰·扎哈维
Louis Claude Cadet de Gassicourt,路易斯·克勞德·卡戴特·德伽西科特
Thierry Dusserre,蒂埃里·迪塞尔
Gaston de France,奥尔良公爵加斯东
Quentin Meillassoux,甘丹·梅亚苏
Bakary Soumare,巴卡利·蘇馬爾
Jean-Pierre Chevènement,让-皮埃尔·舍韦内芒
Brantôme (écrivain),布朗托姆·(法国作家)
Louis Étienne Thouvenin,路易-艾蒂安·图弗南
Yohann Diniz,约昂·迪尼兹
Peter Wyngarde,彼得·溫賈德
Arnaud Montebourg,阿诺·蒙特堡
Saphir Taïder,萨菲尔·泰德尔
Édouard Dubar,杜巴尔
Louis II de Vendôme,路易二世·德·波旁-旺多姆
Alphonse de Brienne,布列訥的阿爾方斯
Michel Bibard,米歇尔·比巴尔
Jean-Marie de Lanessan,让·马里·安托万·德拉内桑
Francis Biddle,弗朗西斯·貝弗利·比德尔
Charles-Louis Havas,夏尔-路易·哈瓦斯
Marcel Petiot,马塞尔·珀蒂奥
Edmond Jaloux,埃德蒙·雅卢
Albert Vanhoye,亞爾伯·梵浩耶
Charles Cousin-Montauban,八里桥伯爵夏尔·库赞-蒙托邦
Michel Guérard,米歇爾·蓋拉爾
Leos Carax,李歐·卡霍
Jean-Marc Ferreri,讓·馬克·費拉尼
Richard Morris Hunt,理查德·莫里斯·亨特
Jean Vercoutter,尚·韋寇
Clémence Saint-Preux,克莱曼斯·圣·皮瑞
Émile Gsell,艾米尔·基瑟尔
Saint-Loup (écrivain),马克·奥日埃
Bernard Panafieu,伯尔纳铎·帕纳菲厄
Charles Fehrenbach,夏尔·费伦巴赫
Charles-François Lebrun,夏尔-弗朗索瓦·勒布伦
Émile Derlin Zinsou,埃米尔·德兰·津苏
Michael Brooks,迈克尔·布鲁克斯
Charles-Amédée de Savoie-Nemours,夏尔-阿梅代·(萨伏依-讷穆尔)
Auguste de Saint-Hilaire,奥古斯丁·圣-希莱尔
François de Paule de Bourbon-Siciles,兩西西里的法蘭西斯科
Jean Piot,让·皮奥
Nicolas de Neufville de Villeroy,维勒鲁瓦公爵尼古拉·德·纽夫维尔
Pierre Allemane,皮埃尔·阿勒马纳
Victor de Faÿ de La Tour-Maubourg,維克托·德·拉圖爾-莫布爾
Philippe Delerm,菲利普·德莱姆
Olivier Girault,奥利维耶·吉罗
Jean Hardouin,让·哈杜安
Pierre Tirard,皮埃尔·蒂拉尔
Paul Veyne,保罗·韦纳
Éric Poujade,埃里克·布热德
Pierre-Joseph Cambon,皮埃尔-约瑟夫·康邦
Jean-Paul Penin,让-保尔·佩内
Pascal Barré,帕斯卡尔·巴雷
Patrick Barré,帕特里克·巴雷
Philippe Duplessis-Mornay,莫爾奈的菲力浦
Émilie Le Pennec,埃米莉·勒佩内克
Pierre Soulages,皮埃尔·苏拉热
Guy-André-Pierre de Montmorency-Laval,居伊·安德烈·皮埃尔·德·蒙莫朗西-赖伐尔
Maurice Kouandété,莫里斯·库昂德特
Jacques Philippe de Choiseul-Stainville,雅克·菲利普·德·舒瓦瑟尔-斯坦维尔
Amadou-Mahtar M'Bow,阿马杜-马赫塔尔·姆博
Emmanuel Candès,伊曼紐爾·坎德斯
Frantz Reichel,弗朗茨·雷谢尔
Charles-Louis Hanon,夏尔-路易·哈农
Jean Vincent,尚·文森
Bertrand Barère,贝特朗·巴雷尔
Philippe d'Orléans (1869-1926),菲利普·德·奧爾良·(1869年)
Robert Jonquet,羅伯特·瓊奎特
Roger Piantoni,羅傑·皮安東尼
François Marie Daudin,弗朗索瓦·馬里·多丹
Eugène Simon,歐仁·西蒙
Herman Willem Daendels,赫尔曼·威廉·丹德尔斯
Robin Duvillard,罗班·迪维拉尔
Boris Cyrulnik,鲍里斯·西吕尔尼克
Amédée Thubé,阿梅代·蒂贝
Vincent Laban,文森特·拉班
Edmond Frémy,埃德蒙·弗雷米
Joseph Bienaimé Caventou,约瑟夫·别奈梅·卡旺图
Louis-Camille Maillard,路易·卡米耶·马亚尔
François de Créquy,弗朗索瓦·德·克雷基
Hervé This,艾維·蒂斯
Cécilia Cara,希西莉亞·卡拉
Georges-Charles de Heeckeren d'Anthès,喬治·丹特斯
Philippe Lioret,菲利普·里奥雷
Jean-Joseph Dessolles,让-约瑟夫·(德索勒侯爵)
Guillaume-François Rouelle,纪尧姆-弗朗索瓦·鲁埃勒
Stephen Heller,斯蒂芬·海勒
Alexandre Lacassagne,亚历山大·拉卡萨涅
Paul Landowski,保羅·蘭多斯基
John Theophilus Desaguliers,约翰·西奥菲勒斯·德札古利埃
Jean Effel,让·埃费尔
D'Artagnan,達太安
Pierre de Ségur,皮埃爾·德·塞居爾
Serge Maury,塞尔日·莫里
Charles Le Gendre,李仙得
Pierre Gaveston,第一代康沃尔伯爵皮尔斯·加韦斯顿
Clément Lefert,克莱芒·勒费尔
Grégory Gaultier,基哥利·基尼地亞
Bruno Marie-Rose,布鲁诺·马里-罗斯
Albert Robida,亞伯特·羅比達
Gonzalve de Bourbon (1937-2000),岡薩洛·(阿基坦公爵)
Pierre Jonquères d'Oriola,皮埃尔·容凯尔·多里奥拉
Philippe Montanier,菲利普·蒙塔尼耶
Félix Julien Jean Bigot de Préameneu,费利克斯·朱利安·让·比戈·德·普雷阿默纳
Christian de La Croix de Castries,克里斯蒂安·德·卡斯特里
François Bonlieu,弗朗索瓦·邦利厄
Henri Sainte-Claire Deville,亨利·圣克莱尔·德维尔
Jacques-Joseph Ebelmen,雅克-约瑟夫·埃贝尔蒙
René Rémond,勒内·雷蒙
Robert Charpentier,罗贝尔·沙尔庞捷
Félix Savart,菲利克斯·沙伐
Carine Roitfeld,卡琳·洛菲德
Brice Guyart,布里斯·居亚尔
Raymond Boudon,雷蒙·布东
Didier Raoult,迪迪埃·拉乌尔
Henri Chrétien,亨利·雅克·克雷蒂安
Bernard Chevallier (équitation),贝尔纳·舍瓦利耶
Trương Vĩnh Ký,張永記
Jérôme Pétion de Villeneuve,热罗姆·佩蒂翁·德·维尔纳夫
Jean-Michel Papillon,讓-米歇爾·帕皮隆
Jean-Pierre Changeux,让-皮埃尔·尚热
Ernest Fourneau,埃内斯特·富尔诺
Nicolas Ghesquière,尼古拉·蓋斯奇埃爾
Ronald Pognon,罗纳德·波尼翁
Charles Bettelheim,夏尔·贝特兰
Marcel Cachin,马赛尔·加香
Edmond Decottignies,埃德蒙·德科蒂尼
Philippe Barbarin,斐理伯·巴爾巴蘭
Charles Rigoulot,夏尔·里古洛
Albert Gleizes,阿尔伯特·格列兹
Jules Ladoumègue,朱尔·拉杜梅格
Dorian Dervite,多里安·德爾維特
Pierre Victurnien Vergniaud,皮埃尔·维克蒂尼安·韦尼奥
Jean-Pierre Lafon,蓝峰
Philippe de Lorraine,菲利普·德·洛林
Bernard Casoni,貝爾納·卡索尼
Damien Éloi,达米安·埃洛瓦
Olivier Gruner,奧利佛·葛魯納
Prosper Menière,普罗斯珀·梅尼埃
Frédéric Pietruszka,弗雷德里克·彼得鲁斯卡
Catherine de Foix (comtesse de Candale),凱瑟琳·德·富瓦
Ernest Doudart de Lagrée,埃内斯特·杜达尔·德·拉格雷
Fulcanelli,Fulcanelli
Georges Madon,喬治·馬東
Charles de Lorraine (1524-1574),夏尔·德·洛林
Alexis Weissenberg,亞歷克西·魏森伯格
Hincmar de Reims,辛克馬爾
Claude-Michel Schönberg,克勞德-米歇爾·勳伯格
François-Auguste Mignet,弗朗索瓦·米涅
François Weyergans,法蘭斯瓦·維耶爾岡
Jean Douchet,让·杜谢
George Cœdès,乔治·赛代斯
Henri d'Orléans (1822-1897),奧馬勒公爵亨利·德·奧爾良
Jean-Pierre Vidal,让-皮埃尔·维达尔
Thierry Vigneron,蒂埃里·维涅龙
Jacques Barzun,雅克·巴尔赞
Philippe Ier de Tarente,菲利波一世·(塔蘭托)
Simon II de Lorraine,洛林公爵西蒙二世
Charles II de Lorraine,洛林公爵查理二世
La Esmeralda (personnage),爱丝梅拉达
Georges Garnier,乔治·加尼耶
François du Jon,弗朗西斯库斯·尤尼乌斯
George du Maurier,乔治·杜穆里埃
Jean-Christophe Rufin,让-克里斯托夫·吕芬
Bernard Schmetz,贝尔纳·施梅茨
Alfred Manessier,阿爾弗雷德·馬內西爾
Rémi Brague,雷米·卜拉葛
Georges Lefebvre (historien),乔治·勒费弗尔
Esprit Requien,埃斯普里·勒基安
François de Bourbon (1519-1546),昂吉安伯爵法蘭索瓦·德·波旁
Max Robert (bobsleigh),马克斯·罗贝尔
Charles-François Brisseau de Mirbel,夏尔-弗朗索瓦·布里索·德米尔贝尔
Darius Khondji,达吕斯·康第
Léon Brunschvicg,莱昂·不伦瑞克
Marc Lavoine,马克·拉万
Michel Talagrand,米歇尔·塔拉格朗
Kristofer Schipper,施舟人
Marcel Granet,葛兰言
Émile Demangel,埃米尔·德芒热尔
Camille Lacourt,卡米耶·拉库尔
Louis Bastien (sportif),路易·巴斯蒂安
Clément Juglar,克里门特·朱格拉
Jacques Alexandre Law de Lauriston,雅克·劳里斯顿
Christian Lopez,克里斯汀·盧比斯·(足球員)
Henry des Abbayes,亨利·尼科隆·德阿贝伊
Sébastien Castellion,塞巴斯蒂安·卡斯特利奧
Charles-Henri Sanson,夏爾·亨利·桑松
Jacques Curie,雅克·居里
Nicolas Touzaint,尼古拉·图赞
Raymond Salles,雷蒙·萨勒
Georges Darboy,乔治·达尔博伊
Edmond-Charles Genêt,埃德蒙·查尔斯·热内
Henri Tauzin,亨利·托赞
Hugues de Lionne,于格·德·利奥纳
Emmanuel Todd,埃马纽埃尔·托德
Max-Alain Gradel,麥斯·格拉度
Claude-Joseph Geoffroy,克洛德·约瑟夫·若弗鲁瓦
Henri Estienne,亨利·艾蒂安
Jean-Jacques Henner,讓-雅克·亨納
René Bousquet,雷内·布斯凯
Audrey Fontaine,奥德丽·米特莱尔泽
Victor Cadet,维克托·卡代
Jacques Laffitte,雅克·拉菲特
Jacques Rozier,賈克·侯吉耶
Yann Kermorgant,扬恩·科莫甘特
Georges Florovsky,格奥尔基·弗洛罗夫斯基
Jean-François Delacroix,让-弗朗索瓦·德拉克鲁瓦
Christian Poncelet,克里斯蒂安·蓬斯莱
Louis Claude Richard,路易·克洛德·里夏尔
César de Choiseul du Plessis-Praslin,塞萨尔·德·舒瓦瑟尔
Édouard II de Bar,爱德华二世·(巴尔伯爵)
Jules Valton,朱尔·瓦尔顿
Ernest Barberolle,埃内斯特·巴贝罗勒
Dominique Lecourt,多米尼克·勒古
Gustave Hervé,古斯塔夫·埃尔维
Guy Lacombe,居伊·拉孔布
Henri II de Montmorency,亨利二世·德·蒙莫朗西
Eugène Isabey,欧仁·伊萨贝
Nicolas Devilder,尼古拉·德维尔代
Auguste Chevalier,奥古斯特·让·巴蒂斯特·谢瓦利埃
Auguste Duméril,奥古斯特·迪梅里
Jean-Luc Crétier,让-吕克·克雷捷
Jean-François Mattei,让-弗朗索瓦·马泰
Abel Albert,A·阿尔贝
Marius Jacob,馬里烏斯·雅各
Ulrich Robeiri,于尔里克·罗贝里
Jacques Dixmier,雅克·迪克斯米耶
Pierre Gobert,皮埃尔·戈贝尔
Benoît Caranobe,伯努瓦·卡拉诺布
Joyce Jonathan,喬伊絲·強納森
Pierre Canivet,皮埃尔·卡尼韦
Raymond Flacher,雷蒙·弗拉谢
Kévin Sireau,凯万·西罗
Artur Ávila,阿图尔·阿维拉
Charles d'Éon de Beaumont,夏尔·德·博蒙
Rudi Garcia,魯迪·加西亞
Pierre Michel (écrivain),皮埃尔·米歇尔
Alexandre Tharaud,亞歷山大·薩洛
Jules Favre,朱尔·法夫尔
Jean-Féry Rebel,讓·弗里·雷貝爾
Ysaora Thibus,伊索拉·蒂比斯
Jean Poton de Xaintrailles,让·波东·德·桑特拉耶
Louis d'Orléans (1845-1866),孔代親王路易·德·奧爾良
Pierre Joseph Pelletier,皮埃爾-約瑟夫·佩爾提埃
Jérôme Golmard,熱羅姆·戈爾馬
Guillaume Raoux,紀堯姆·拉烏
Josselin Ouanna,若瑟蘭·歐安納
Gabriel Hanotaux,加布里埃尔·阿诺托
Fabien Lefèvre (kayak),法比安·勒菲弗
Jean-François Lamour,让-弗朗索瓦·拉穆尔
Victor Laloux,维克多·拉卢
Walter Krivitsky,瓦尔特·格尔马诺维奇·克里维茨基
Maurice Mandrillon,莫里斯·芒德里永
François Pervis,弗朗索瓦·佩尔维
Henri Gervex,亨利·热尔韦
Pierre Bec,皮埃尔·贝克
Moshe Feldenkrais,摩謝·費登奎斯
Georges Daressy,乔治·达雷西
Auguste Pavie,奥古斯特·帕维
Auguste Serrurier,奥古斯特·塞吕里耶
Stéphane Audeguy,史岱凡·奧德紀
Jean-Pierre Abel-Rémusat,雷慕沙
Charles II d'Orléans,查理二世·德·奥尔良
Christophe Legoût,克里斯托夫·勒古
Jean d'Estrées (ecclésiastique),让·德斯特雷
Olivier Ayache-Vidal,奥利维·阿雅什·维达尔
Ishak Belfodil,伊沙克·贝尔福迪
Jean-Baptiste Reboul,讓-巴蒂斯特·勒布爾
Yacine Brahimi,雅辛尼·布拉希米
Jean-Baptiste Sylvère Gaye de Martignac,让·巴蒂斯特·盖·(马蒂尼亚克子爵)
Maurice Grammont,莫里斯·格拉蒙
Sylvain Guillaume,西尔万·纪尧姆
Henri-Alexandre Danlos,亨利-亞歷山大·當洛斯
Léon Charles Thévenin,萊昂·夏爾·戴維南
René Laloux,赫內·拉魯
Alexandre Henri Gabriel de Cassini,亨利·卡西尼
Élie Guadet,马格里特-埃利·加代
Pierre de Polignac,皮埃尔·德·波利尼亚克
Edmond Locard,埃德蒙·洛卡德
Pierre Joxe,皮埃尔·若克斯
Louis-Léopold Boilly,路易-利奥波德·布瓦伊
Rémy Cabella,雷米·卡貝拉
Gustave Sandras,古斯塔夫·桑德拉
Auguste Laurent,奥古斯特·罗朗
Jean Bouin,让·布安
Shlomo Sand,施羅默·桑德
Sourou Migan Apithy,苏鲁-米冈·阿皮蒂
Alain Richard (homme politique),阿兰·里夏尔
Frédéric Weis (basket-ball),弗雷德里克·維斯
Charles Marion,夏尔·马里昂
Alexis Vastine,亞歷克西·瓦斯蒂納
Gérard Souzay,傑拉德·蘇才
Jules Ferry,茹费理
Joseph de Villèle,约瑟夫·德·维莱勒
Joseph Vendryes,约瑟夫·房德里耶斯
Guillaume de Mortain,威廉·(莫尔坦伯爵)
Henri-Joseph Paixhans,亨利約瑟夫·匹希斯
Marie-Georges Picquart,乔治·皮卡尔
Joseph Dréher,约瑟夫·德勒埃
François Jullien,弗朗索瓦·于连
Alain Peyrefitte,阿兰·佩雷菲特
Jacques-Pierre Amette,雅克-皮埃尔·阿梅特
Jean-Marc Gaillard,让-马克·加亚尔
Théodore Steeg,泰奥多尔·斯泰格
Augustin Dumay,奧古斯丁·杜梅
Jules Dupré,朱爾·迪普雷
Neeskens Kebano,内斯肯斯·凯巴诺
Jean-Jacques Marcel,讓-雅克·馬塞爾
Edgar Grospiron,埃德加·格罗斯皮龙
Robert Guédiguian,侯貝·葛地基揚
Daniel Bravo,丹尼爾·巴禾
Pierre Bergé,皮埃爾·貝爾傑
Albert Séguin,阿尔贝·塞甘
Henri Hazebrouck,亨利·阿泽布鲁克
Philippe Couplet,柏應理
Jean-Louis Verdier,让-路易·韦迪耶
Charles Julien Brianchon,夏尔·朱利安·布利安生
Louis Charles Breguet,路易·夏尔·布勒盖
Steve Missillier,史蒂夫·米希利爾
Jean-Michel Monin,让-米歇尔·莫南
Fantine,芳汀
Michel Plasson,米歇尔·普拉松
Julien Robert,朱利安·罗贝尔
Yves Dreyfus,伊夫·德雷富斯
Conrad Malte-Brun,康拉德·马尔特·布戎
Maurice Vignerot,莫里斯·维涅罗
Jean-Christophe Rolland,让-克里斯托夫·罗兰
Franck Piccard,弗兰克·皮卡尔
Jean Graczyk,让·格拉奇克
Jacky Courtillat,雅基·库尔蒂亚
Claude Rostain,克劳德·罗斯坦
Claude Étienne Minié,克洛德-艾蒂安·米尼耶
Claude Bartolone,克洛德·巴尔托洛内
Claude Allègre,克洛德·阿莱格尔
Claude Bazin de Bezons,克劳德·巴赞·德·伯宗
Christophe Guénot,克里斯托夫·盖诺
Fleur Delacour,花兒·戴樂古
Claude Le Roy,克洛德·勒鲁瓦
Jacques Forestier,雅克·福雷斯捷
Charles Pacôme,夏尔·帕科姆
Jean II de Lorraine,洛林公爵讓二世
Nicolas Trigault,金尼阁
Anne Serre,安娜·塞尔
Gérard de Vaucouleurs,熱拉爾·佛科留斯
Maurice Larrouy (tir sportif),莫里斯·拉鲁伊
Michel Ancel,米歇尔·安西尔
Étienne Dolet,艾蒂安·多雷
Félix d'Hérelle,费利克斯·德雷勒
Momar N'Diaye,莫马尔·恩迪亚耶
Jean-Thomas Arrighi de Casanova,让-图桑·阿里吉·德·卡萨诺瓦
Félix Vicq d'Azyr,费利克斯·维克-达齐尔
Charles Wolf,夏爾·沃爾夫
Jean II de Bourbon,讓二世·德·波旁
Édouard Fritch,愛德華·弗里奇
Louise d'Orléans (1882-1958),路易絲·德·奧爾良·(1882年—1958年)
Alexandre Astruc,亚历山大·阿斯特吕克
Fabrice Guy,法布里斯·居伊
Raphaël Enthoven,拉斐爾·恩多芬
Paul-Émile Botta,保罗-埃米尔·博塔
Tahar Rahim,塔哈·拉辛
Jordan Veretout,佐敦·韋尼杜特
Mélinda Hennaoui,梅林達·翰諾威
Hermann Barrelet,埃尔曼·巴勒莱
Ibrahima Traoré,伊巴謙馬·查奧爾
Salim Arrache,萨利姆·阿拉切
François Claude de Bouillé,弗朗索瓦·克洛德·阿穆尔·(布耶侯爵)
Christophe Willem,克里斯多夫·威廉
Julien Dupré,朱利安·迪普雷
Patrick Mboma,柏特歷·麥保馬
Eugène Grisot,欧仁·格里索
Kentin Mahé,康坦·马埃
Claude Papi,克洛德·帕皮
Claude Onesta,克洛德·奥内斯塔
Claude Piquemal,克洛德·皮克马尔
Clément Turpin,克萊芒·蒂爾潘
Auguste-Léopold Protet,卜羅德
Jean-Pierre Haigneré,让-皮埃尔·艾涅尔
Slavoljub Muslin,斯拉沃柳布·穆斯林
Nicolas Jenson,尼古拉·詹森
Rosmah Mansor,罗斯玛·曼梳
Albert Samain,阿尔贝·萨曼
Jean-Baptiste Treilhard,让-巴蒂斯特·特雷亚尔
Pierre II de Bourbon,皮埃爾二世·德·波旁
Maryan Wisniewski,馬里安·維西涅斯基
Louis Antoine Poirot,賀清泰
Albéric Magnard,阿尔伯里克·马尼亚尔
Edmond de Goncourt,埃德蒙·德·龚古尔
Jacques de Flesselles,雅克·德·弗莱塞勒
Vassilis Alexakis,瓦西利斯·亚历克萨基斯
Jean-Louis Marie Poiret,让·路易斯·玛丽·波伊列
Simon Plouffe,西蒙·普勞夫
Séraphin Couvreur,顾赛芬
Laurent Sciarra,洛朗·夏拉
Henri Cordier (orientaliste),亨利·柯蒂埃
Geoffroi Ier de Provence,若弗魯瓦一世·(普羅旺斯)
Olympe Maxime,歐琳·美心
"Georges Bonnet (homme politique, 1889-1973)",乔治·博内
Lucien Huteau,吕西安·于托
Paul Meyer (musicien),保羅·梅耶
Jacques-Louis Lions,雅克-路易·利翁
Gustave Le Gray,古斯塔夫·勒·格雷
Pierre André de Suffren,皮埃爾·安德烈·德·蘇弗朗
Sigrid Agren,西格莉德·雅格倫
Jean-Louis Gassée,让-路易·加西
Antoinette de Monaco,安托瓦內特郡主·(摩納哥)
Sergio de Castro,塞尔吉奥·德·卡斯特罗
Gérard Soler,傑拉德·索萊
René-Nicolas de Maupeou,勒内-尼古拉·德·莫普
Eugène de Mazenod,马善乐
Gaston Aumoitte,加斯东·奥穆瓦特
Albert Corey,阿尔贝·科雷
Frédéric Volle,弗雷德里克·沃勒
Gabrielle Delacour,佳兒·戴樂古
Marcel Brillouin,马塞尔·布里渊
Louis de France (1682-1712),勃艮第公爵路易
Louis de France (1729-1765),王太子路易-费迪南
Nabil Lasmari,纳比勒·拉斯马里
Maurice Lœwy,莫里茨·洛维
Régis Dorn,雷吉·道尔
Jean-Jacques Kantorow,让-雅克·康投侯福
Jacques Rouvier,雅克·魯維耶
Benjamin-Constant,让-约瑟夫·本杰明-康斯坦特
Georges Thierry d'Argenlieu,喬治·蒂埃里·阿讓利厄
Yannick Borel,扬尼克·博雷尔
Louis-Sébastien Lenormand,路易-塞巴斯蒂安·雷诺曼
Xavier Le Pichon,格扎维埃·勒皮雄
Marguerite de Lorraine,洛林的瑪格麗特
Louis Bach,路易·巴克
Jérôme Savary,热罗姆·萨瓦里
Johan Clarey,若昂·克拉雷
Jean-Guillaume Béatrix,让-纪尧姆·贝亚特里克斯
Grégory Mallet,格雷戈里·马莱
Pierre Trentin,皮埃尔·特朗坦
Salim Kechiouche,薩利姆·凱希烏什
Georges Buchard,乔治·比沙尔
Jean Taris,让·塔里
Gérard Mestrallet,热拉尔·梅斯特拉莱
Henri Hérouin,亨利·埃鲁安
Emmanuel Saez,伊曼纽尔·赛斯
Jacques Pépin,雅克·貝潘
Stéphane Stoecklin,斯特凡纳·斯特克兰
René Llense,勒内·连塞
Joël Robuchon,若埃尔·罗比雄
Louis Moreau (escrime),路易·穆罗
Louis IV de Gonzague-Nevers,盧多維科·貢扎加-尼維爾
Sébastien Corchia,塞巴斯蒂安·科齊亞
Eustaquio de Escandón,欧斯塔基奥·埃斯坎东
André Prévost (tennis),安德烈·普雷沃
Thomas Piketty,湯瑪斯·皮克提
François Du Bois,弗朗索瓦·杜·博瓦
Pio Marmaï,皮奥·马麦
Alain Portes,阿兰·波尔特
Denis Lathoud,德尼·拉图
Alessandro Gassmann,亞利桑德羅·加斯曼
Philippe Gardent,菲利普·加尔当
Roger-Yves Bost,罗歇-伊夫·博斯特
Nicolas Bal,尼古拉·巴尔
Eugène Mougin,欧仁·穆然
Victor Thibault,维克托·蒂博
Richard Descoings,戴國安
Jean de Vienne de Hautefeuille,文贵斌
Bruno Rodzik,布魯諾·羅茲克
Bryan Coquard,布里安·科卡尔
Lionel Laurent,利昂内尔·洛朗
Daniel Senet,达尼埃尔·塞内
Goran Paskaljević,戈兰·帕斯卡列维奇
Pierre-Gaston d'Orléans-Bragance,佩德羅·加斯東·(奧爾良-布拉干薩)
Bruno Le Maire,布鲁诺·勒梅尔
Félix Éboué,费利克斯·埃布埃
François-Henri Pinault,弗朗索瓦-亨利·皮诺
Mathieu Molé,路易-马蒂厄·莫莱
Hugues-Bernard Maret,于格-贝尔纳·马雷
Henri François d'Aguesseau,亨利·弗朗索瓦·德·阿格索
Léon Bouthillier,莱昂·布蒂利耶
Eddy Etaeta,艾迪·伊泰達
François Hanriot,弗朗索瓦·昂里奥
Frederik X,腓特烈十世
François Bourguignon,弗朗索瓦·布吉尼翁
David Marty,大卫·马蒂
Paul Halter (auteur),保羅·霍爾特
Cédric Burdet,塞德里克·比尔代
Patrice Rio,帕特里斯·里奧
Olivier Rouyer,奧利維爾·羅耶
Cyprien Katsaris,希普林·卡萨利斯
Michel Chion,米歇尔·希翁
Philippe Kahn,菲利普·卡恩
Philippe de Gaulle,菲利普·戴高乐
Grégory Anquetil,格雷戈里·安克蒂尔
Célestin Oliver,塞萊斯廷·奧利佛
Cédric Paty,塞德里克·帕蒂
Charles Tillon,夏尔·蒂永
Bruno Bini,布鲁诺·比尼
Jean Cugnot,让·屈尼奥
Marc Berdoll,馬克·貝多爾
René Ferrier,勒內·費里爾
Michel Stievenard,米歇爾·斯蒂文納
Marc Ferro,馬克·費侯
Léon Moreaux,莱昂·莫罗
Jean-Claude Borelly,杰恩·克拉德波里莱
François Brisson,弗朗索瓦·布里松
Sophie de France (1734-1782),索菲·德·法蘭西
Edmond-Louis-Alexis Dubois-Crancé,埃德蒙·路易·亚历克西·迪布瓦-克朗塞
Louis-Ernest Barrias,路易-埃内斯特·巴里亚斯
Jean-Jacques Laffont,让-雅克·拉丰
The Supermen Lovers,超級愛人合唱團
Louis Le Comte,李明·(传教士)
Louis Renou,路易·勒努
Paul Brousse,保罗·布鲁斯
Annie Ernaux,安妮·艾諾
