Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
Robert Hübner,罗伯特·胡伯纳
Johannes Gottfried Hallier,约翰内斯·戈特弗里德·哈利尔
Hans Stille,汉斯·施蒂勒
Franz Bracht,弗朗茨·布拉赫特
Daniel Didavi,丹尼尔·迪达维
Max Tidof,马克斯·特多夫
Walter Grotrian,瓦爾特·格羅特里安
Tankred Dorst,丹里德·多斯特
Jakob Erbar,雅各布·埃尔巴
Friedrich XI.,腓特烈十一世
Günther XLI.,金特四十一世 (施瓦茨堡-阿恩施塔特)
Erich III.,埃里希三世 (薩克森-勞恩堡)
Christian Brückner,克里斯蒂安·布吕克纳
Henning Baum,亨宁·包姆
Wilfried Hochholdinger,威尔弗莱德·霍赫霍丁格
Alfons Rebane,阿方斯·雷班
Valentin Weigel,瓦伦丁·韦格尔
Florian Geyer,弗洛里安·蓋爾
Veronika Neugebauer,维罗尼卡·纽格鲍尔
Roland Hemmo,罗兰·亨莫
Jürgen Thormann,于尔根·索曼
Adalbert von Magdeburg,马格德堡的圣道博
Bass Sultan Hengzt,贝斯·苏丹·亨兹特
Wolfgang,沃爾夫岡
Wolfgang Lukschy,沃尔夫冈·卢克斯奇
Richard Lipinski,里夏德·利平斯基
Robert Gysae,罗伯特·居塞
Paul Thieme,保罗·蒂姆
Simon VI.,西門六世
Franz Meyers,弗朗茨·邁耶斯
Hans Cloos,漢斯・克魯斯
Friedrich I. von Schwarzenburg,腓特烈一世
Carl Zimmer,卡爾·威廉·埃里希·齊默爾
Julius von Zech-Burkersroda,朱廖斯·馮·錫-博卡蘇達
Jie Schöpp,施婕
Franz Rellich,弗朗茲·瑞利希
Wilhelm Brückner-Rüggeberg,威廉·布吕克纳-吕格贝格
Hinrich Lohse,欣里希·洛泽
Reinhold Rüdenberg,萊因霍爾德·盧登堡
Lars Vogt,拉尔斯·沃格特
Horst Janson,霍斯特·揚森
Wilhelm Koppers,威廉·庫珀斯
Paul Heinrich Gerhard Möhring,保羅‧莫寧
Joseph Helffrich,约瑟夫·亨弗里奇
Paul Leni,保罗·莱妮
Bela B,贝拉·B.
Dagmar Lassander,妲歌玛·拉桑德
Stephan Bodecker,史帝芬·博多克
Veit Helmer,维特·荷默
Curt Joël,库尔特·约埃尔
O. E. Hasse,O·E·汉斯
Johanna Hofer,约翰娜·霍费尔
Winfried Zillig,温弗里德·齐利希
Michael Zittel,迈克尔·齐特尔
Daniela Götz,丹妮拉·格茨
Karin Baal,卡琳·巴力
Paul Klinger,保羅·克林格爾
Julius Fromm,朱利葉斯·弗洛姆
Friedrich Stolz,弗里德里希·斯托尔兹
Wolfgang Mattheuer,沃尔夫冈·马托伊尔
Kasper Straube,卡斯帕·施特劳布
Gracia Baur,格雷西亚·巴尔
Horst Hoeck,霍斯特·赫克
Volker Pispers,福尔克尔·皮斯佩斯
Siegfried Müller,西格弗里德·米勒 (雇佣兵)
Barbara Wirth,芭芭拉·维尔特
Ernst Bornemann,歐內斯特·博內曼
Klaus J. Behrendt,克劳斯·约翰内斯·贝伦特
Ernst Back,恩斯特·埃米尔·亚历山大·贝克
Benno Vigny,本诺·威戈尼
Carl Hauptmann,卡尔·霍普特曼
Berndt Seite,伯恩特·塞特
Julia Stegner,茱莉亞·斯提格勒
Roger Willemsen,罗杰·威廉森
Carl Krauch,卡尔·克劳赫
Mark Pinger,马克·平格
Reinhard Hauff,萊因哈特·豪夫
Stefan Schnabel,施蒂芬·施纳贝尔
Max Reimann,马克斯·雷曼
Lena Gercke,蓮娜·嘉琪
Carl Joachim Friedrich,卡尔·约阿希姆·弗里德里希
Hans Paasche,汉斯·帕舍
Kirsten Boie,克尔斯滕·博伊
Peter Härtling,彼得·哈特林
Arnold I.,阿諾一世
Heinrich Schroth,海因里希·施罗特
Jutta Claricia von Thüringen,霍亨斯陶芬的朱迪絲
Kai Wiesinger,凯·魏辛格
Hans Carossa,漢斯·卡羅薩
Friedrich Giesel,弗里德里希·奧斯卡·吉塞爾
Georg Pfeffer,喬治·約翰·普費弗
Curt Siodmak,科特·西奧德梅克
Margarete Buber-Neumann,玛加蕾特·布贝-诺伊曼
Karl Meiler,卡尔·梅勒
Tobias Schenke,托拜西·宣克
Renate Ewert,雷娜特·尤尔特
Mutz Greenbaum,穆茨·格林鲍姆
Anna von Croÿ,波美拉尼亞的安娜
Hans Freudenthal,漢斯·弗賴登塔爾得
Andreas Floer,安德烈斯·弗洛爾
Dagny Servaes,達妮·塞爾瓦斯
Irma von Cube,伊尔玛·冯·库贝
Tim Sander,蒂姆·桑德
Ernst Kreuder,恩斯特·克鲁德
Winnie Markus,温妮·马库斯
Georg Helm,格奥尔格·亥姆
Jakob Segal,雅各布·西格尔
Franz Ernst Brückmann,弗朗茲·恩斯特·布魯克曼
Christoph Hein,克里斯多夫·海因
Ernst Kantorowicz,恩斯特·坎托罗威茨
Ermin Bičakčić,埃爾明·比卡契奇
Meike Freitag,迈克·弗赖塔格
Hans Gugelot,H. 古格洛特
Dieter F. Uchtdorf,迪特尔·f·乌奇多夫
Sönke Möhring,宋克・莫林
Konrad Meyer,康拉德·迈尔
Mathias Herrmann,马蒂亚斯·埃尔曼
Karl Ernst Wedel,卡爾·恩斯特·威德尔
Karl-Josef Laumann,卡尔-约瑟夫·劳曼
Angelika Beer,安格莉卡·贝尔
Albert Sing,赫尔伯特·辛格
Sebastian Urzendowsky,賽巴斯丁·烏曾道斯基
Michael Wolfgramm,米夏埃尔·沃尔夫格拉姆
Eddi Arent,艾迪·艾伦特
Walther Kausch,瓦尔特·考施
Heinz Stahlschmidt,海因茨·施塔尔施密特
Michael Naumann,麦克·瑙曼
John Pauls,约翰·保罗斯
Hellmuth Kneser,赫尔穆特·克内泽尔
Wilhelm Süss,威廉·聚斯
Siegfried Jost Casper,西格弗利德·約斯特·卡斯珀
Erich,梅克倫堡的埃里希
Theodor Zahn,西奥多·察恩
Johann Max Emanuel Plenge,約翰·普倫格
Horst Wendlandt,霍斯特·温德兰特
Falk Hoffmann,法尔克·霍夫曼
Max Noether,马克斯·诺特
Joseph Vollmer,约瑟夫·沃尔默
Leopold Löwenheim,李奧帕德·勒文海姆
Lena Müller,莱娜·米勒
Fatmire Alushi,法特米尔·阿鲁希
Gerhard Schrader,格哈德·施拉德
Maria Margaretha Kirch,瑪麗亞·瑪格麗塔·基希
Richard Rado,理查德·拉多
Luan Krasniqi,卢安·克拉斯尼奇
Doris Pack,多丽丝·帕克
Robert Häusser,罗伯特·霍伊塞尔
Alfred Stock,阿爾弗雷德·史托克
Emil Knoevenagel,克脑文盖尔
Carl Mannich,卡尔·曼尼希
Walther Kossel,華爾特·科塞爾
Konrad Kyeser,孔拉德·基斯尔
Urs Käufer,乌尔斯·科伊费尔
Felix Bernstein,费利克斯·伯恩斯坦
Heinrich Julius,海因里希·尤利烏斯
Josef Grohé,约瑟夫·格罗埃
Philipp I.,腓力一世 (哈瑙-里希坦伯格)
Uwe Proske,乌韦·普罗斯克
Daniel Strigel,丹尼尔·施特里格尔
Thomas Finck,湯瑪斯·芬克
Karl Groos,卡爾·谷鲁司
Martin Wagner,馬丁·華格納
Danny Schwarz,丹尼·施瓦茨
Erich Hoffmann,埃里克·霍夫曼
Jürgen Fanghänel,于尔根·方黑内尔
Klaus Scholtz,克劳斯·朔尔茨
Dieter Schuh,迪特·舒赫
Hendrik Feldwehr,亨德里克·費爾德威爾
Clemens Klotz,克萊門斯·克洛茲
Christian Schwarz-Schilling,克里斯坦·施瓦茨
Hans-Peter Dürr,漢斯·彼得·杜爾
Frank Castorf,法蘭克·卡斯托夫
Friedrich (Pfalz-Zweibrücken-Veldenz),腓特烈
Michael Sommer,迈克尔·佐默尔
Leopold Ludwig,利奧波德·路德維希 (普法爾茨-費爾登茨)
Hilde Domin,希尔德·多米
Hans Guido Mutke,漢斯·基多·穆克
Martin Sonneborn,馬丁·索內博恩
Thorsten Schäfer-Gümbel,托尔斯滕·舍费尔-金贝尔
Laura Tonke,劳拉·汤克
Karl Woermann,卡尔·沃尔曼
Ida Noddack,伊达·诺达克
Lothar Warneke,洛薩·沃內克
Florian David Fitz,佛洛里昂・大衛・費茲
Sandy Mölling,桑迪·莫林
Karin Schubert,卡琳·舒伯特
Elmar Wepper,艾瑪‧魏波
Hans Schweikart,汉斯·施瓦卡尔特
Steve Holmes,史蒂夫·霍姆斯
Wichmann II.,小魏赫曼
Hermann III.,赫爾曼三世
Herbert Reinecker,赫伯特·赖内克尔
Christopher Linke,克里斯托弗·林克
Otto Heinrich Schindewolf,O.H. 申德沃尔夫
Will Quadflieg,威尔·奎得福立格
Esther Schweins,以斯帖·施万恩斯
Fritz Wepper,弗里茨·韦普尔
Mary Roos,瑪莉·鲁斯
Simon August,西蒙·奧古斯特
Willigis,威利吉斯
Michael Jung,米夏埃尔·容
Katja Ebbinghaus,卡佳·艾賓浩斯
Yvonne Schäfer,伊冯娜·玛丽亚·舍费尔
Engelbert II.,英格爾貝特二世 (拿騷)
Friedrich von Berg-Altena,腓特烈一世
Wilbrand von Oldenburg,威爾布蘭德·馮·奧爾登堡
Heinrich Credner,卡尔·弗里德里希·海因里希·克雷德纳
Linda Maria Koldau,琳達·瑪麗亞·科爾道
August Becker,奧古斯都·貝克
Jürgen Faßbender,尤尔根·法斯宾德
Wilhelm Bungert,威廉·邦格特
Carl Helmut Hertz,卡爾·赫茲
Richard Thurnwald,理查德·图恩瓦尔德
Nadine Keßler,娜丁內·凱斯勒
Ernest Cassel,欧内斯特·卡赛尔
Eitel Friedrich von Hohenzollern,艾特爾·腓特烈
Leon Lichtenstein,利昂·利希滕斯坦
Rick Kavanian,里克·卡瓦尼安
Jürgen von der Lippe,尤尔根·冯·德利珀
Carl Johannes Thomae,卡爾·約翰尼斯·托馬
Thomas Fritsch,托马斯·弗里奇
Henricus Martellus Germanus,亨利克斯·馬特拉斯·傑馬努斯
Ida Ehre,艾达·埃勒
Arabella Kiesbauer,阿拉贝拉·基泽包尔
Christian Tramitz,克里斯蒂安·特拉米茨
Rainer Hunold,莱纳·胡诺尔德
Egon Schultz,埃贡·舒尔茨
Ludwig Heck,路德维希·赫克
Kay One,凯·一
Erich Obst,卡爾·奧古斯特·埃里希·奧布斯特
Hans F. Zacher,漢斯·察赫
Hermann Rasch,赫尔曼·拉施
Karl Walter Lindenlaub,卡爾·華特·連登律
Hans-Gustav Felber,漢斯-古斯塔夫·費爾伯
Paul Bader,保羅·巴德
Rudolf Ladenburg,魯道夫·拉登堡
Antje Hagen,安特耶·哈根
Wolf Roth,沃尔夫·罗特
Helga Nowitzki,赫尔加·诺维茨基
Erik Ode,埃里克·奥德
Uli Edel,烏利·艾道
Klausjürgen Wussow,克劳斯尤根·武索
Hanna Ralph,汉娜·拉尔夫
Hans Hass,汉斯·哈斯
Hubert Schmundt,胡贝特·施蒙特
C.H. Stratz,卡尔·海因里希·施特拉茨
Wilhelm Dunker,威廉·邓克尔
Johannes Werner,约翰尼斯·维尔纳
Hans Talhoffer,汉斯·塔尔霍夫
August Föppl,弗普爾
Ernst Bormann,恩斯特·鮑曼
Walter Tollmien,沃尔特·托尔米恩
Caspar Schoppe,卡斯帕爾·施彭
Dieter Nuhr,迪特尔·努尔
Adolf August Friedrich Rudorff,阿道夫·奥古斯特·弗里德里希·鲁道夫
Heinrich Schurtz,海因里希·舒赫兹
Edith Hamilton,伊迪絲·漢密爾頓
Philipp Moritz,菲利普·莫里茲
Tobias Schellenberg,托比亚斯·舍伦贝格
Friedrich Julius Rosenbach,弗里德里希·尤利乌斯·罗森巴赫
Didrik Pining,迪德里克·皮宁
Roland Schimmelpfennig,施梅芬尼
Kurt Jahnke,庫爾特·楊克
Christoph Eichhorn,克里斯托夫·艾希霍恩
Gerdy Troost,格迪·特羅斯特
Gerhart Lippert,格哈特·利珀特
Adolfo Hohenstein,阿道夫·霍恩斯坦
Sylvester Groth,西爾維斯特·格羅斯
Irina Korschunow,伊丽娜·科舍诺
Max Riemelt,馬克斯·里梅爾特
Jennifer Ulrich,詹妮弗·乌尔里希
Stefan Dohr,斯特凡·多爾
Ernst Gabor Straus,恩斯特·史特勞斯
Dorothea Susanne von der Pfalz,多蘿西亞·蘇珊 (普法爾茨-錫門)
Gerd Theißen,格德·泰森
Sophie von Braunschweig-Lüneburg,不倫瑞克-呂訥堡的索菲
Thomas Ohrner,托马斯·奥尔纳
Vural Öger,武尔·奥格尔
Emilia Schüle,艾米丽亚·舒勒
Peter Melander von Holzappel,彼得·梅蘭德·馮·霍爾扎佩爾
Oktay Urkal,奥克塔伊·乌尔卡尔
Fahriye Evcen,法赫里耶·埃夫坚
Sara Nuru,萨拉·努鲁
Kurt Dinter,莫里茨·库尔特·丁特尔
Horst Matthai Quelle,霍斯特·马太·奎尔
Heinz Kühn,海因茨·庫恩
Stephanie zu Guttenberg,斯蒂芬妮·古滕贝格
Armin Rohde,阿敏·罗德
Fritz Graebner,R.F. 格雷布纳
Martin Kusch,马丁·库施
Karl Bücher,卡爾·畢歇爾
Wilhelm Mauser,威廉·毛瑟
Matthias Hues,馬提亞斯·修斯
Reinhard Bendix,賴因哈德·本迪克斯
René Lohse,里内·罗赫斯
Hilmar Thate,希勒瑪·塔特
Bernd Brunnhofer,伯恩德·布伦霍费尔
Friedrich August Carus,弗里德里希·奥古斯特·卡鲁斯
Hans Neuenfels,汉斯·诺依恩费尔斯
Johannes Winkler,约翰内斯·温克勒
Hermann von Balk,赫爾曼·馮·巴爾克
Ruth Westheimer,露丝韦斯特海默
Gerhard Glogowski,格哈德·格洛戈夫斯基
Heinz Maier-Leibnitz,海因茨·迈尔-莱布尼茨
Sebastian Edathy,塞巴斯蒂安·艾达提
Peter Hintze,彼得·辛特
Christoph Hochhäusler,克里斯托夫·霍奇豪斯勒
Hannes Heer,漢內斯·赫爾
Nicola Tiggeler,尼古拉·蒂盖勒
Fiona Erdmann,菲奥娜·埃德曼
Peter Longerich,彼得·朗格里希
Florian Wörner,福利安·韋爾內爾
Lisa Brennauer,莉萨·布伦瑙尔
Hans-Reinhard Koch,漢斯-萊因哈德·科赫
Karlheinz Diez,卡爾海因茨·迪茨
Anna Frebel,安娜·弗瑞貝爾
Burhan Qurbani,布尔汗·奎巴尼
Anni Biechl,安妮·比希尔
Wolfgang Schleif,沃爾夫岡·施萊夫
Sebastian Ströbel,塞巴斯蒂安·斯特罗贝尔
Lisa Martinek,麗莎·馬特林克
Christina Rau,克里斯蒂娜·劳
Rainer Klug,賴內爾·克盧格
Martin Böttcher,马丁·博特
Eugen Schuhmacher,歐根·舒馬赫
Almut Eggert,阿尔穆特·埃格特
Philipp II.,腓力二世
Georg Adolf Demmler,乔治·阿道夫·丹姆勒
Ott Christoph Hilgenberg,奧特·克里斯托弗·希爾根貝格
Sven Mende,斯文·門德
Peter Przygodda,彼得·普高达
Rudolf Geiger,鲁道夫·盖格尔
Natalia Avelon,娜塔莉·爱娃隆
Franz Roestel,弗朗茲·羅斯戴爾
Barbara Becker,芭芭拉·贝克尔
Harald Hein,哈拉尔德·海因
Curt von Gottberg,柯特·馮·哥特堡
Norbert Walter,诺伯特·沃尔特
Sabine Bischoff,扎比内·比朔夫
Theo Vennemann,特歐‧韋內曼
Ludwig von Henk,路德维希·冯·亨克
Emil Ketterer,埃米尔·克特雷尔
Günter Mast,君特·马斯特
Josef Hopmann,约瑟夫·霍普曼
Michael Kohlhase,迈克尔·科尔哈泽
Elisabeth von der Pfalz,普法爾茨的伊莉莎白
Peter Gröning,彼得·格勒宁
Ursula Franklin,耳舒拉·富蘭克林
Albert Osswald,阿爾伯特·奧斯瓦爾德
Claudia Bokel,克劳迪娅·博克尔
Cornelia Hanisch,科尔内利娅·哈尼施
Hermann Lenz,赫尔曼·伦茨
Eike von Repgow,艾克·馮·萊普哥夫
Walter Kaaden,沃爾特·卡登
Georg Ludwig Jochum,乔治·路德维希·约胡姆
Uwe Potteck,乌韦·波特克
Manuela,玛努艾拉
Hans-Georg Panczak,汉斯·格奥尔格·潘科萨克
Johann Haller,约翰·哈勒
Anja Noske,安雅·诺斯克
Max von der Grün,马克斯·冯·德·格伦
Doris Dörrie,桃丽丝·多利
Hans Jürgen Press,汉斯·尤尔根·普雷斯
Manuela Kay,曼努埃拉·卡伊
Bernd Klotz,贝恩德·克罗茨
Kraft Schepke,克拉夫特·舍普克
Elli Erl,埃利·埃尔
Günther Krause,君特·克劳斯
Rodolfo Pedro Wirz Kraemer,盧道·維爾斯
Alexander Neumeister,亞歷山德·諾伊麥斯特
Gérard Tichy,杰拉德·蒂奇
Christoph Hemlein,克里斯托弗·黑姆莱因
Johann Hoffmann,約翰·霍夫曼 (神經學家)
Selina Jörg,赛琳娜·约克
Carsten Herrmann-Pillath,何夢筆
Karl Krolow,卡尔·克罗洛
Helmut Heißenbüttel,赫尔穆特·海森比特尔
Rita Streich,丽塔·史塔里希
Peter Chatel,彼得·沙泰勒
Dieter Thomas Heck,迪特·托马斯·海克
Britta Becker,布丽塔·贝克尔
Bülent Ceylan,比伦特·杰兰
Hans Goldschmidt,漢斯·戈爾德施密特
Philipp III.,腓力三世
Stephan Hermlin,斯蒂芬·赫姆林
Franz Josef Degenhardt,弗朗兹·约瑟夫·德根哈特
Adolf Martin Schlesinger,阿道夫·馬田·施萊辛格
Rolf Hansen,羅爾夫·漢森
Otto Steinbrinck,奥托·施泰因布林克
Katharina Schmid,卡塔琳娜·阿爾特豪斯
Lena Goeßling,列娜·戈斯林
Rolf Thiele,羅爾夫·提艾利
Kurt Heinrich Debus,库尔特·海因里希·德布斯
Hans Paetsch,汉斯·帕特施
Beate Merk,贝特·默尔克
Ulrike Ottinger,乌尔丽克·奥廷格
Fritz Arno Wagner,費立茲·華格納
Alexandra Neldel,亞莉珊卓·奈戴兒
Heinrich Matthaei,J·海因里希·马特伊
Renate Loll,里內·洛爾
Anna Thalbach,安娜·塔巴赫
Axel von Ambesser,阿克塞尔·冯·安贝瑟
Günther XLIII.,金特四十三世 (施瓦茨堡-松德斯豪森)
Wolfgang Thomale,沃爾夫岡·圖馬勒
Julian Nida-Rümelin,猶利安·尼達-諾姆林
Helme Heine,赫尔姆·海涅
Barbara Klemm,芭芭拉·克莱姆
Adolf Cluss,阿道夫·格拉斯
Dieter Arend,迪特尔·阿伦德
Georg Nolte,格奥格·诺尔特
Rudolf Jaenisch,鲁道夫·耶尼施
Barbara Auer,芭芭拉·奧爾
Maria Michalk,玛丽亚·米哈尔克
Ralf Richter,拉尔夫·瑞克特
Sonja Zietlow,松贾·齐特洛
Maria Furtwängler,玛利亚·佛万格勒
Hermann Detzner,赫爾曼·德茨納
Valerie Niehaus,瓦莱丽·涅豪斯
Thomas Loebb,托马斯·勒布
Harald Braun,哈拉爾德·布勞恩
Gabriele Zimmer,齊默
Anne Will,安妮·威尔
Demond Greene,德蒙·格雷内
Paul Söllner,保罗·泽尔纳
Hannskarl Bandel,漢斯卡爾·班德爾
Antje Huber,安特耶·胡伯
Martin Haspelmath,M. 哈斯普马特
Lucca Staiger,盧卡·斯泰格爾
Niklas Graf Salm der Ältere,薩爾姆的尼古拉
Hans Erich Nossack,汉斯·埃里希·诺萨克
Albert Arnheiter,阿尔贝特·阿恩海特尔
Andreas Roland Grüntzig,安德里亞斯·格倫登希
Peter Carsten,彼得·卡斯滕
Karl Reger,嘉祿·雷格爾
Hans Deppe,汉斯·德普
Gottlieb Redecker,戈特利布·雷德克
Barbara Schöneberger,芭芭拉·施乔恩伯格
Heiko Schaffartzik,海科·沙法茨克
Hannelore Elsner,漢娜蘿蕾‧艾爾斯納
"Prinzessin Adelgunde, Fürstin von Hohenzollern",阿黛尔·冈德公主
Thomas Jahn,托马斯·雅恩
Michael Schindhelm,迈克尔·辛德海姆
Claudia Hürtgen,克勞迪婭·赫特根
Fred Kelemen,福瑞德·科勒曼
Jutta Speidel,尤塔·施派德尔
Wilhelm von Gennep,格內普的威廉
Konrad II.,達豪和梅拉尼亞公爵康拉德二世
Philip Wiegratz,菲利浦·韋格拉茲
Janine Habeck,吉妮·哈贝克
Karl von Gerber,卡尔·弗里德里希·冯·格贝尔
Adolph Lowe,阿道夫·洛
Heinrich Laufenberg,海因里希·劳芬堡
Paul Deichmann,保羅·戴克曼
Robert Curjel,羅伯特·庫傑爾
Robert Cibis,罗伯特·西比斯
Hans von Storch,汉斯·冯·斯多赫
Bodo Hombach,博多·霍姆巴赫
Jörg Schmidt-Reitwein,佐尔格·施密特-瑞文
Franz Schwede,弗朗茨·許威德-科堡
Paul Wolfskehl,保羅·弗里德里希·沃爾夫斯凱爾
Ernst Christian Julius Schering,恩斯特·克里斯蒂安·朱利葉斯·舍林
Caroline Masson,卡罗琳·马松
Heinrich Breloer,海恩里奇·布罗尔
Curt Meyer,柯特·邁耶爾
Ernst Glaeser,恩斯特·格莱泽
Martin Wagenschein,瓦根舍因
Mike Leon Grosch,迈克·利昂·格罗希
Eberhard Zeidler,艾伯哈德·蒒德勒
Adolf Cornelius Piening,阿道夫·皮宁
Philipp Reinhard,菲利普·萊因哈德
Okan Aydın,奥坎·艾丁
Eleonore Maria Anna von Löwenstein-Wertheim,勒文施泰因-韋爾特海姆的艾蕾諾爾
Jennifer Hof,珍妮佛·霍夫
Heiner Carow,海納·卡羅
Ambrosius Blarer,安布羅斯·布拉瑞爾
Karl Vorländer,卡尔·福尔伦德
Hanns-Peter Boehm,汉斯-彼得·伯姆
Alfred Loewy,阿爾弗雷德·洛威
Hermann IV.,赫爾曼四世 (巴登)
Rudolf VI.,魯道夫六世 (巴登)
Adolf I. von der Mark,阿道夫一世
Otto I. von Geldern,海爾德的奧托
Ulrike Frank,乌尔里克·弗兰克
Thor Freudenthal,托尔·弗洛伊德桑尔
Franz Konrad von Rodt,方濟各·高拉·馮·羅德特
Kurt Bühligen,庫特·布赫林根
Claus Helmut Drese,克劳斯·赫尔穆特·德雷泽
Ulrich Noethen,乌尔里希·诺登
Stefan Hell,斯特凡·W·赫尔
Sonja Pfeilschifter,索尼娅·普法伊尔席夫特
Bernd Giese,贝恩德·吉泽
Sebastian Krumbiegel,赛巴斯提安·克鲁姆比格尔
Hartmut Mehdorn,哈特穆特·梅多恩
Karl Dall,卡尔·达尔
Hendrik Born,亨德里克·玻恩
Olaf Rose,奥拉夫·罗塞
Heinrich II.,亨利二世 (巴登-哈赫貝格)
Rudolf IV.,魯道夫四世 (巴登)
Jürgen Flimm,于尔根·弗利姆
Dorothea Hedwig von Braunschweig-Wolfenbüttel,多蘿西亞·海德薇希
Rudolf I.,魯道夫一世
Hans Gustav Güterbock,漢斯·古特博克
Henriette Marie von Brandenburg-Schwedt,亨麗埃特·瑪麗
Dieter Lüst,迪特·吕斯特
Hellmut Wilhelm,衛德明
Sepp Allgeier,塞普·阿杰尔
Ernst Waldschmidt,恩斯特·瓦尔德施米特
Dieter Seebach,迪特·泽巴赫
Michael Mutzel,米夏埃尔·穆策尔
Georg Bruchmüller,格奥尔格·布吕赫穆勒
Georg von Vollmar,格奥尔格·冯·福尔马尔
Franz-Ulrich Hartl,弗朗兹-乌尔里奇·哈特尔
Konrad von Hochstaden,康拉德·馮·霍希斯塔登
Adalbert von Sachsen,薩克森的阿達爾貝特
Axel Ullrich,阿克塞尔·乌尔里希
Rudolf Kippenhahn,魯道夫·基彭哈恩
Hartmut Maurer,哈特穆特·毛雷尔
Heinz Piontek,海因茨·皮昂特克
Jürgen Kehrer,尤尔根·科雷尔
Conrad Haußmann,康拉德·豪斯曼
Gunter Henn,贡特·海茵
Heinz Sielmann,海因兹·塞尔曼
Max Berek,麦克斯·别雷克
Andreas Wistuba,安德烈亚斯·维斯图巴
Ernst Wandersleb,恩斯特·万德斯莱布
Ingolf Lück,英戈尔·卢克
Ulrike Tillmann,乌尔丽克·蒂尔曼
Hermann VII.,赫爾曼七世 (巴登)
Friedrich III.,腓特烈三世 (巴登)
Hans Welzel,汉斯·韦尔泽尔
Rudolf G. Wagner,魯道夫·瓦格納
Walter Mandler,瓦尔特·曼德勒
Otto von Glasenapp,奧圖·馮·格拉森納普
Joachim Nerz,约阿希姆·那兹
Manfred Stücklschwaiger,曼弗雷德·斯特克施瓦格
Elke Heidenreich,埃尔克·海登莱希
Hans-Heinrich Jescheck,汉斯-海因里希·耶塞克
Luna Schweiger,卢娜·施威格
Dieter Eppler,迪特·埃普勒
Anna Katharina Schönkopf,安娜·卡特麗娜·勳考普夫
Axel Pape,阿克塞尔·佩普
Herbert Giersch,赫伯特·吉尔施
Friedrich Gaedcke,斐德烈
Heinar Kipphardt,海納·基普哈特
Otto I.,哈赫贝格-绍森贝格藩侯奥托一世
Christian Jakob Kraus,克里斯蒂安·雅各布·克勞斯
Wolfgang Kubin,顧彬
Ines Geipel,茵尼斯·蓋博爾
Johann Gottlieb Christaller,約翰·戈特利布·克里斯塔勒
Waldemar von Preußen,普魯士的瓦爾德馬
Katharina Hacker,卡特琳娜·哈克
Kurt Hoffmann,柯特·哈佛曼
Georg Diederichs,喬治·迪德里希斯
Hermann J. Giskes,赫曼·吉斯克斯
Amalie Sophie von Wallmoden,亞茅斯女伯爵
Kira von Preußen,普魯士的琪拉
Bernhard Thalheim,伯恩哈德·塔尔海姆
Detlev Buchholz,德特勒夫·布赫霍尔茨
Roland Mack,罗兰·马克
Philipp III.,腓力三世 (巴登-羅德馬亨)
Paul Mendelssohn Bartholdy der Ältere,保罗·门德尔松·巴托尔迪
Erich Paulun,埃里希·宝隆
Kurt Fricke,庫爾特·弗里克
Heinz Hoenig,海茵茨·霍尼格
Valentin Schweiger,瓦伦丁·施威格
Samuel Gotthold Lange,塞繆爾·戈特霍爾德·蘭格
Johann II.,約翰二世
Dietrich IV./VI.,迪特里希五世
Emma Schweiger,爱玛·施威格
Isgaard,伊思嘉
Erika Böhm-Vitense,艾莉卡·貝姆-費坦瑟
Annemarie Kleinert-Ludwig,安娜玛丽·克莱纳特
Anna Brüggemann,安娜·布鲁格曼
Stephan Feck,斯蒂芬·菲克
Siriusmo,西里厄斯莫
Annemarie Wendl,安玛丽·文德尔
Emil Cohen,埃米尔·科亨
Marion van de Kamp,馬里昂·范·德·坎普
Rufus Beck,鲁弗斯·贝克
Dario Flick,达里奥·弗利克
Toni Cottura,托尼·科图拉
William Prager,威廉·普拉格
Michael Michalsky,迈克尔·米夏尔斯基
Heike Fischer,海克·菲舍尔
Alexander Stolz,亚历山大·施托尔茨
Werner Kienitz,維爾納·基尼茨
Wilhelm Meisel,威廉·邁塞爾
Lothar Ledderose,雷德侯
Cyrillus Jarre,杨恩赉
Martina Hill,玛蒂娜·希尔
Johann Baptist Gradl,约翰·巴普蒂斯特·格拉德尔
Lassa Oppenheim,拉萨·奥本海
Günter Nimtz,金特·尼姆茨
Reichard,普法爾茨-錫門-施蓬海姆伯爵理查
Simon V.,西蒙五世
Johann,约翰
Albrecht V.,阿爾布雷希特五世
Sabriye Tenberken,萨布利亚·坦贝肯
Ernst Siemerling,恩斯特·西馬林
Uwe Böning,乌维·伯宁
Annemarie von Gabain,葛玛丽
Christian Ahlmann,克里斯蒂安·阿尔曼
Jakob Milich,雅各布·米利希
Peter Florin,彼得·弗洛林
Tanja Wenzel,谭雅·温泽尔
Bas Kast,巴斯·卡斯特
Augustin Olbert,吴伯禄
Arthur Looss,阿瑟·洛斯
Sonja Gerhardt,桑雅·杰哈特
Henning Kagermann,孔翰宁
Jacob Matschenz,雅各布·马特施恩茨
Thea Dorn,特亚·多恩
Armin Meier,阿明·迈耶
Erdmuthe Dorothea von Zinzendorf,厄德穆特·多蘿西亞
George Hurdalek,乔治·胡达勒克
Theodor Goldstücker,西奥多·戈德斯图克
Karl Dziatzko,K.F.O. 齐亚茨科
Alfred Landé,阿尔佛雷德·朗德
